from_stop,AE,AG,AL,AO,AS,BA,BC,BQ,BU,BZ,CD,CI,CP,CX,DD,DE,DN,DS,EE,EF,EG,EH,EN,EO,ER,EU,EW,FM,FQ,FR,FT,FV,GI,GL,GS,GY,HF,HH,HI,HM,HS,HU,HX,ID,IF,IJ,IQ,IZ,JD,JI,JJ,JK,JM,JN,JO,JP,JQ,KB,KE,KK,KR,KW,KX,KY,LB,LI,LK,LU,MM,MS,MW,NB,NI,NL,NM,NO,NQ,NW,OA,OG,PB,PD,PL,QB,QS,QU,RC,RM,RN,RP,SA,SB,SH,SN,SS,SV,SZ,TA,TB,TL,TX,TY,UG,UI,UP,UY,VG,VP,WG,WH,WK,WL,WU,XG,XJ,XN,XP,XQ,XU,XV,XW,YN,YU,ZD,ZF,ZL,ZU,ZW,ZY
EU,68.6,475.1,290.5,449.2,193.3,304.2,359.4,266.8,164.2,374.5,615.0,285.6,98.2,644.6,225.5,295.1,178.1,288.8,457.9,547.0,489.0,352.1,131.0,650.4,302.2,0.0,285.7,30.4,222.1,101.3,429.0,404.0,1072.2,573.5,311.1,274.3,98.7,186.0,372.8,121.0,292.9,330.1,324.9,437.6,286.6,30.6,149.9,538.6,336.7,395.6,105.1,357.1,804.1,491.5,490.3,268.1,782.9,397.9,781.1,482.9,766.5,86.9,345.8,282.0,434.5,310.7,175.6,686.0,381.3,249.0,468.0,558.6,178.3,363.8,45.2,759.4,344.2,158.6,587.3,270.4,323.6,320.9,427.0,125.8,351.9,824.6,316.9,134.8,126.5,229.2,578.5,128.9,178.1,194.2,66.4,212.9,172.4,301.8,146.5,216.4,429.9,303.9,506.2,321.0,617.5,334.1,351.6,147.6,141.0,88.9,375.7,587.7,432.3,374.1,510.8,253.4,750.0,424.8,381.8,708.2,178.5,512.6,95.1,166.3,190.5,73.1,522.4,277.7,112.1
EW,280.3,535.5,350.9,508.5,365.7,130.4,419.8,34.0,248.5,433.8,675.4,42.3,260.4,705.0,28.4,355.7,350.5,443.2,518.3,607.4,548.3,506.5,258.0,710.8,456.6,255.7,0.0,239.0,394.5,313.0,585.1,464.4,946.9,633.9,423.6,428.7,228.7,361.7,432.2,268.8,447.3,382.8,286.8,593.7,441.0,243.4,276.9,599.0,227.1,548.1,277.5,416.4,864.5,551.9,600.8,328.5,843.3,458.3,841.5,543.3,826.9,270.4,236.2,172.4,493.8,220.7,101.6,746.4,516.4,403.4,528.4,619.0,179.5,520.4,253.8,819.8,306.1,331.0,647.7,37.6,451.9,520.4,486.3,191.7,491.5,885.0,377.3,316.9,160.7,384.1,638.9,283.3,329.2,143.7,222.8,174.8,238.3,456.2,212.4,71.6,490.3,416.4,566.6,475.4,677.9,515.7,462.1,310.3,268.0,205.2,502.7,641.0,491.6,530.2,571.2,163.4,810.4,555.1,537.9,768.6,300.5,573.0,262.9,338.7,365.1,230.7,582.8,338.1,255.7
FM,38.1,434.2,249.6,418.7,162.8,307.2,318.5,269.8,147.2,344.0,574.1,288.6,81.2,603.7,228.5,254.2,147.6,258.3,417.0,506.1,458.5,321.6,100.5,609.5,271.7,118.7,324.4,0.0,191.6,70.8,398.5,363.1,1041.7,532.6,280.6,243.8,101.7,155.5,342.3,90.5,262.4,299.6,363.6,407.1,256.1,33.6,119.4,497.7,375.4,365.1,74.6,326.6,763.2,450.6,499.5,227.2,742.0,357.0,740.2,442.0,725.6,56.4,384.5,320.7,404.0,349.4,178.6,645.1,350.8,218.5,427.1,517.7,181.3,333.3,14.8,718.5,382.9,128.1,546.4,273.4,293.1,290.4,396.5,108.8,321.4,783.7,276.0,104.3,129.5,198.7,537.6,98.4,147.6,197.2,85.5,251.6,155.4,271.3,129.5,219.4,389.0,273.4,465.3,290.5,576.6,303.6,321.1,117.1,110.5,91.9,345.2,546.8,401.8,343.6,469.9,292.1,709.1,394.3,351.3,667.3,148.0,471.7,64.6,135.8,160.0,56.1,481.5,236.8,95.1
FQ,150.6,299.0,110.1,391.0,28.7,360.2,179.0,427.5,159.1,345.4,434.6,472.7,109.3,464.2,412.6,124.4,43.9,246.6,277.5,366.6,430.8,309.9,227.0,470.0,260.0,292.0,423.2,196.5,0.0,143.6,344.3,223.6,1042.9,393.1,268.9,64.4,288.7,32.7,360.0,178.5,83.0,287.9,445.8,352.9,236.5,236.1,245.9,358.2,457.6,307.3,128.8,328.0,623.7,311.1,360.0,115.2,617.8,217.5,600.7,302.5,586.1,144.8,466.7,402.9,369.8,431.6,351.9,505.6,358.4,206.8,287.6,378.2,365.4,279.6,177.7,579.0,465.1,64.0,406.9,434.8,281.4,315.3,362.3,201.7,250.7,649.2,136.5,78.8,302.8,19.8,398.1,107.7,145.5,370.5,212.0,333.8,248.3,251.7,222.4,364.8,249.5,261.7,325.8,278.8,437.1,285.5,301.5,126.6,237.0,265.2,346.5,407.3,385.6,289.4,330.4,374.3,569.6,314.3,297.1,527.8,145.8,332.2,190.5,55.9,88.6,159.6,342.0,106.8,188.0
FR,32.6,375.3,224.8,334.5,165.6,387.6,293.7,364.6,179.3,292.4,447.5,369.0,139.1,544.8,308.9,238.9,150.4,193.6,358.1,447.2,374.3,256.9,123.3,492.2,207.0,188.3,358.3,78.5,144.9,0.0,333.8,304.2,977.0,406.0,215.9,179.1,171.3,158.3,270.7,78.5,197.7,234.9,397.5,342.4,191.4,132.4,142.2,389.1,409.3,300.4,77.4,275.0,704.3,391.7,395.1,240.4,683.1,298.1,681.3,383.1,666.7,59.2,418.4,354.6,322.3,383.3,248.2,586.2,286.1,153.8,368.2,458.8,261.7,268.6,59.7,659.6,416.8,130.9,419.8,368.2,228.4,225.7,314.8,187.4,256.7,724.8,251.2,107.1,199.1,134.0,478.7,61.8,82.9,266.8,108.3,285.5,234.0,206.6,208.1,289.9,330.1,208.7,406.4,225.8,517.7,238.9,256.4,52.4,133.3,161.5,280.5,429.5,330.1,278.9,411.0,326.0,650.2,329.6,286.6,608.4,150.8,412.8,87.4,138.6,162.8,110.9,422.6,221.5,173.7
FT,271.6,275.0,241.4,155.0,229.7,518.1,194.8,453.6,302.0,165.5,302.1,488.0,306.7,444.5,439.4,307.2,244.9,167.0,257.8,346.9,194.8,234.7,340.1,346.8,184.8,405.1,549.2,313.3,213.2,264.6,0.0,203.9,1065.3,260.6,234.2,247.4,388.1,237.0,114.9,299.5,266.0,208.2,607.6,8.5,144.8,312.9,359.0,243.7,614.8,176.0,245.0,148.1,604.0,291.4,270.7,298.2,582.8,197.8,581.0,270.4,566.4,257.9,623.9,560.1,124.8,593.4,393.1,485.9,106.6,127.2,267.9,358.5,392.2,144.2,294.5,559.3,626.9,265.0,274.4,457.2,119.5,119.2,117.3,352.8,152.4,624.5,201.6,274.7,415.9,202.3,378.4,210.7,173.0,435.2,325.1,495.6,399.4,124.1,373.5,387.2,229.8,227.0,306.1,203.6,417.4,114.5,77.4,195.2,350.1,378.3,83.5,284.1,140.6,154.5,310.7,536.1,549.9,205.2,162.2,508.1,318.4,312.5,304.2,256.9,282.8,260.5,322.3,289.8,339.1
FV,355.5,143.0,301.4,167.3,313.6,599.3,278.7,533.8,362.0,232.7,234.3,571.9,390.6,392.0,523.3,391.3,328.8,250.9,205.3,294.4,207.1,300.6,420.8,279.0,250.7,489.0,529.5,397.2,297.1,348.5,120.6,0.0,1149.2,192.8,300.1,331.3,485.7,317.6,180.9,383.4,349.9,275.4,691.5,129.2,228.7,396.8,442.9,175.9,698.7,83.6,328.9,215.3,551.5,238.9,181.9,382.1,545.6,168.2,528.5,150.5,513.9,341.8,707.8,644.0,190.7,677.3,477.0,433.4,172.5,211.1,156.0,244.7,476.1,55.9,378.4,506.8,710.8,348.9,206.6,541.1,198.5,141.6,183.2,436.7,174.8,577.0,291.8,363.0,499.8,289.1,325.9,294.6,259.3,519.1,409.0,579.5,483.3,128.5,457.4,471.1,25.8,292.9,253.6,269.5,364.9,88.4,156.4,273.0,434.0,462.2,167.4,236.4,166.9,65.7,258.2,620.0,497.4,111.2,73.4,455.6,402.3,260.0,387.5,340.8,366.7,346.5,269.8,387.1,423.0
GI,1014.4,1109.1,1035.9,1089.6,972.5,1023.9,979.3,988.5,1084.9,1047.5,1226.8,992.6,1049.5,1296.6,988.0,1050.0,987.7,948.7,1113.2,1199.0,1129.4,1012.0,1082.9,1271.5,962.1,1149.2,961.1,1056.1,956.0,1007.4,1088.9,1059.3,0.0,1185.3,971.0,990.2,1086.1,979.8,1025.8,1042.3,1008.8,990.0,963.1,1097.5,946.5,1055.7,1101.8,1168.4,1000.2,1055.5,987.8,1030.1,1456.1,1143.5,1174.4,1041.0,1434.9,1053.2,1433.1,1116.9,1418.5,1000.7,1009.3,1085.3,1077.4,992.6,970.0,1338.0,1041.2,908.9,1102.0,1210.6,1047.9,1023.7,1037.3,1411.4,997.6,1007.8,1199.1,998.3,983.5,980.8,1069.9,1085.2,1011.8,1476.6,986.1,1017.5,1029.1,945.1,1230.5,953.5,915.8,1012.1,1067.9,979.5,1131.8,961.7,1105.9,928.3,1085.2,963.8,1158.2,980.9,1269.5,994.0,1011.5,938.0,1092.9,1076.3,1035.6,1208.8,1085.2,1034.0,1162.8,1048.9,1402.0,1128.7,1041.7,1360.2,1061.2,1164.6,1047.0,999.7,1025.6,1003.3,1174.4,1032.6,1081.9
GL,453.2,154.3,391.8,176.8,411.3,702.1,376.4,635.2,452.4,268.7,147.0,683.5,488.3,138.5,623.4,488.8,426.5,367.9,314.1,156.3,194.1,353.4,503.5,86.1,333.0,586.7,730.8,494.9,394.8,446.2,181.5,270.4,1246.9,0.0,370.2,429.0,569.7,418.6,263.2,481.1,447.6,311.4,783.5,190.1,326.4,527.7,522.4,167.9,798.8,187.5,426.6,251.3,339.2,245.9,165.4,479.8,318.0,244.2,348.3,169.6,333.7,439.5,807.9,744.1,226.7,769.3,577.1,264.4,288.2,353.0,163.0,157.4,576.2,220.8,476.1,294.5,802.8,446.6,119.3,638.8,304.8,300.8,219.2,534.4,334.0,378.5,332.0,456.3,597.5,383.9,156.9,392.3,354.6,619.2,506.7,671.5,581.0,292.3,555.1,568.8,296.3,363.0,225.4,351.8,111.4,252.2,315.0,376.8,513.5,559.9,265.1,23.4,203.7,209.8,230.0,712.0,270.0,163.2,202.1,286.6,500.0,216.0,485.8,438.5,464.4,442.1,241.6,471.4,520.7
GS,269.3,193.6,239.1,118.5,227.4,509.8,192.5,451.3,299.7,76.4,265.6,491.2,304.4,424.2,431.1,304.9,242.6,142.8,237.5,326.6,158.3,145.6,311.2,310.3,95.7,402.8,546.9,311.0,210.9,262.3,136.4,183.6,1063.0,224.1,0.0,245.1,385.8,234.7,54.6,297.2,263.7,119.1,605.3,145.0,142.5,310.6,330.1,207.2,606.5,155.7,242.7,59.0,583.7,271.1,250.4,295.9,562.5,177.5,560.7,236.5,546.1,255.6,615.6,551.8,106.3,591.1,384.8,465.6,70.1,127.9,202.3,276.0,383.9,123.9,292.2,539.0,624.6,262.7,237.9,454.9,12.4,98.9,98.8,350.5,132.1,604.2,199.3,272.4,413.6,200.0,358.1,208.4,170.7,426.9,322.8,493.3,397.1,103.8,371.2,384.9,209.5,137.9,285.8,114.5,397.1,94.2,40.6,192.9,321.2,376.0,81.2,247.6,114.1,134.2,290.4,533.8,474.9,184.9,141.9,487.8,316.1,292.2,301.9,254.6,280.5,258.2,302.0,287.5,336.8
GY,156.1,400.2,211.3,405.9,108.1,312.6,280.2,424.8,170.4,355.6,527.6,478.0,132.6,565.4,417.9,59.9,92.9,265.0,378.7,467.8,445.7,328.3,229.1,563.0,270.2,297.3,420.5,202.0,136.9,149.1,445.5,324.8,1048.4,494.3,287.3,0.0,285.8,104.1,342.0,184.0,10.3,306.3,400.9,445.9,262.8,241.4,251.5,459.4,404.5,408.5,134.1,346.4,716.7,404.1,453.0,50.7,719.0,310.5,701.9,403.7,687.3,150.1,421.8,365.4,393.7,386.7,357.2,598.6,364.3,225.2,388.8,479.4,370.7,372.6,183.2,680.2,420.6,87.5,499.9,440.3,302.3,297.1,386.2,225.0,351.9,750.4,244.0,102.3,299.9,146.9,499.3,105.0,142.8,367.6,217.3,288.9,271.6,269.8,237.5,370.3,350.7,280.1,427.0,297.2,538.3,302.1,327.8,132.1,242.3,270.5,351.9,529.3,401.5,382.4,423.4,321.2,670.8,419.6,398.3,629.0,81.3,433.4,195.8,79.4,94.1,156.9,443.2,34.1,211.3
HF,241.4,473.0,284.1,559.7,298.9,210.6,353.0,175.8,181.7,485.0,608.6,192.0,184.3,638.2,131.9,288.7,283.7,376.4,451.5,540.6,599.5,439.7,282.6,644.0,389.8,188.9,159.5,219.4,327.7,274.1,518.3,397.6,993.1,567.1,398.7,361.9,0.0,294.9,483.4,228.6,380.5,417.7,212.4,526.9,374.2,176.6,305.0,532.2,224.2,481.3,210.7,467.6,797.7,485.1,534.0,261.7,776.5,391.5,774.7,476.5,760.1,203.6,233.3,176.9,543.8,198.2,63.1,679.6,475.7,336.6,461.6,552.2,117.5,453.6,234.2,753.0,232.1,264.2,580.9,183.1,416.0,408.5,536.3,124.9,424.7,818.2,310.5,250.1,14.0,316.8,572.1,216.5,262.4,81.7,182.5,100.4,171.5,389.4,145.6,104.8,423.5,391.5,499.8,408.6,611.1,459.5,439.2,243.5,295.8,154.1,463.3,581.3,542.8,463.4,504.4,140.9,743.6,488.3,471.1,701.8,233.7,506.2,204.0,271.9,305.1,163.9,516.0,271.3,188.9
HH,117.8,315.2,130.6,411.5,4.0,324.7,199.5,394.7,144.2,325.5,455.1,439.9,76.5,484.7,379.8,144.7,11.1,226.7,298.0,387.1,451.3,290.0,194.2,490.5,240.1,259.2,390.4,163.7,32.7,110.8,364.8,244.1,1010.1,413.6,249.0,84.9,255.9,0.0,303.7,145.7,103.5,268.0,413.0,373.4,224.5,203.3,213.4,378.7,424.8,327.8,96.0,308.1,644.2,331.6,380.5,135.7,623.0,238.0,621.2,323.0,606.6,112.0,433.9,370.1,390.3,398.8,319.1,526.1,372.1,186.9,308.1,398.7,332.6,300.1,144.9,599.5,432.3,31.2,427.4,402.0,261.5,258.8,382.8,168.9,271.2,664.7,163.3,45.3,270.0,39.8,418.6,74.9,112.7,337.7,179.2,301.0,215.5,239.7,189.6,332.0,270.0,241.8,346.3,258.9,457.6,306.0,289.5,93.8,204.2,232.4,367.0,448.6,406.1,309.9,350.9,341.5,590.1,334.8,317.6,548.3,115.7,352.7,157.7,23.1,49.0,126.8,362.5,140.7,155.2
HI,285.3,216.9,240.7,76.2,243.5,488.4,194.0,471.4,301.2,68.5,288.9,469.7,320.5,329.8,409.7,279.3,258.7,116.8,253.5,342.6,116.1,119.6,289.8,262.7,69.7,395.6,437.2,327.0,227.0,278.4,141.7,199.6,1079.0,247.5,119.1,219.3,392.3,247.5,0.0,313.3,237.9,111.1,621.3,150.4,144.1,313.9,308.7,230.5,585.0,161.8,258.8,51.0,530.5,287.1,260.1,270.1,509.3,193.6,576.8,241.8,562.2,271.6,594.2,537.8,61.6,607.1,363.3,481.7,104.2,101.9,263.6,299.4,362.5,140.9,308.3,485.8,640.7,278.8,261.3,474.9,46.4,114.9,54.1,366.5,148.1,513.1,200.9,292.9,406.3,216.6,374.1,224.5,189.1,405.5,315.5,509.3,413.2,119.8,387.3,400.6,225.6,112.0,301.8,88.6,302.7,110.2,56.7,202.9,299.7,368.8,97.3,234.7,59.4,150.2,306.5,549.8,461.3,194.7,157.9,503.8,300.7,308.3,294.1,270.7,296.6,276.4,318.0,261.7,352.9
HM,56.9,449.7,260.8,393.6,163.6,329.8,329.7,295.0,203.1,318.9,585.3,311.2,137.1,614.9,251.1,265.4,148.4,254.8,428.2,517.3,433.4,318.1,72.2,554.0,268.2,122.4,278.7,87.3,192.4,84.8,395.0,374.3,1038.2,543.8,277.1,244.6,119.1,159.6,317.2,0.0,263.2,296.1,331.6,403.6,252.6,66.5,94.6,508.9,343.4,361.6,75.4,301.5,774.4,461.8,456.3,238.4,768.5,368.2,751.4,453.2,736.8,57.2,352.5,288.7,378.9,317.4,182.3,656.3,354.1,215.0,438.3,528.9,213.8,330.8,75.7,729.7,350.9,128.9,557.6,302.3,289.6,286.9,371.4,164.7,317.9,794.9,293.5,114.8,133.2,199.5,548.8,99.2,140.8,200.9,42.4,219.6,211.3,267.8,185.4,224.0,400.2,269.9,476.5,287.0,587.8,300.1,347.2,121.9,85.4,95.6,341.7,558.0,376.7,340.1,481.1,260.1,720.3,385.6,347.8,678.5,148.8,482.9,20.9,136.6,160.8,110.1,492.7,261.4,151.0
HS,137.5,377.3,192.7,387.3,89.5,294.0,261.6,418.1,151.8,345.2,517.2,459.4,114.0,546.8,399.3,41.1,74.3,246.4,360.1,449.2,427.1,309.7,210.5,552.6,259.8,278.7,410.1,183.4,118.3,130.5,426.9,306.2,1029.8,475.7,268.7,170.5,275.4,85.5,323.4,165.4,0.0,287.7,382.3,435.5,244.2,222.8,232.6,440.8,394.1,393.5,115.5,327.8,706.3,393.7,442.6,32.1,685.1,300.1,683.3,385.1,668.7,131.5,403.2,339.4,375.1,368.1,338.6,588.2,338.9,206.6,370.2,460.8,352.1,362.2,164.6,661.6,401.6,68.9,489.5,421.7,281.2,278.5,367.6,206.4,333.3,726.8,225.4,83.8,289.5,128.3,480.7,94.6,132.4,357.2,198.7,270.3,253.0,259.4,227.1,351.7,332.1,261.5,408.4,278.6,519.7,291.7,309.2,113.5,223.7,251.9,333.3,512.6,382.9,372.0,413.0,310.8,652.2,396.9,379.7,610.4,62.7,414.8,177.8,60.8,68.7,146.5,424.6,23.7,192.7
HU,254.5,327.7,240.4,237.5,246.7,430.8,193.8,413.8,301.0,184.0,384.6,412.2,327.0,497.2,352.1,278.8,346.0,116.6,310.5,399.6,277.3,41.9,232.2,390.3,83.7,338.0,529.0,277.2,230.2,287.2,255.4,256.6,1082.3,343.1,118.9,219.0,321.0,254.0,173.7,243.0,237.6,0.0,587.2,264.0,143.8,256.4,251.1,326.2,527.5,252.8,273.0,166.6,656.7,344.1,347.5,269.8,635.5,250.5,633.7,335.5,619.1,254.8,536.6,472.8,225.3,573.0,305.8,538.6,189.1,101.7,320.6,411.2,304.9,221.0,273.3,612.0,606.5,326.5,356.9,417.4,131.4,178.1,217.8,354.6,209.1,677.2,200.6,302.7,348.8,219.3,431.1,296.8,190.0,347.9,258.0,475.2,401.2,159.0,375.3,343.0,282.5,111.7,358.8,63.9,470.1,191.3,159.6,212.2,242.2,311.2,200.2,366.6,233.1,231.3,363.4,515.7,588.9,282.0,239.0,560.8,346.4,365.2,237.1,334.2,358.4,301.9,375.0,261.4,340.9
HX,408.1,635.4,450.8,702.7,465.6,231.4,519.7,238.1,348.4,628.0,775.3,236.5,351.0,804.9,176.4,455.4,450.4,543.1,618.2,707.3,742.5,606.4,452.2,810.7,556.5,355.6,251.7,371.8,494.4,440.8,685.0,564.3,978.1,733.8,565.4,528.6,337.0,458.3,626.4,401.7,547.2,584.4,0.0,693.6,540.9,343.3,471.1,698.9,90.4,651.6,377.4,610.6,964.4,651.8,700.7,428.4,943.2,558.2,941.4,643.2,926.8,370.3,99.5,175.5,688.0,53.0,254.2,846.3,703.8,503.3,628.3,718.9,290.6,621.4,386.6,919.7,185.7,430.9,747.6,241.7,646.1,575.2,680.5,291.6,591.4,984.9,477.2,407.1,289.8,483.5,738.8,383.2,432.4,254.8,355.6,178.9,338.2,556.1,312.3,265.8,590.2,558.2,666.5,575.3,777.8,626.2,656.3,401.9,462.2,327.2,696.9,748.0,685.8,630.1,671.1,127.3,910.3,655.0,637.8,868.5,400.4,672.9,376.5,438.6,465.0,332.5,682.7,438.0,355.6
ID,263.0,266.4,232.8,146.4,221.1,506.8,186.2,441.3,293.4,156.9,293.5,479.4,288.6,435.9,430.8,298.6,236.3,158.4,249.2,338.3,186.2,226.1,328.3,338.2,176.2,396.5,437.0,304.7,204.6,256.0,164.3,195.3,1056.7,252.0,225.6,238.8,393.2,225.1,106.3,290.9,257.4,199.6,599.0,0.0,136.2,304.3,350.7,235.1,606.2,163.8,236.4,139.5,595.4,282.8,262.1,289.6,589.5,189.2,572.4,261.8,557.8,249.3,615.3,558.9,116.2,584.8,384.5,477.3,104.8,118.6,259.3,349.9,383.6,136.6,285.9,550.7,618.3,256.4,265.8,448.6,113.4,110.6,108.7,344.2,143.8,620.9,193.0,270.5,407.3,193.7,369.8,202.1,166.8,426.6,316.5,487.0,390.8,115.5,364.9,378.6,221.2,218.4,297.5,195.0,408.8,105.9,68.8,180.5,341.5,369.7,74.9,275.5,132.0,145.9,302.1,527.5,541.3,196.6,153.6,499.5,309.8,303.9,295.0,248.3,281.0,254.0,313.7,294.6,330.5
IF,277.1,183.8,187.8,189.0,235.2,523.6,200.3,459.1,248.4,153.0,256.0,493.5,312.2,353.3,444.9,312.7,250.4,172.5,166.6,255.7,228.8,222.2,345.6,300.7,172.3,410.6,554.7,318.8,218.7,270.1,142.3,112.7,1070.8,214.5,221.7,252.9,393.6,242.5,131.3,305.0,271.5,195.7,613.1,150.9,0.0,318.4,364.5,197.6,620.3,108.9,250.5,135.6,512.8,200.2,203.6,303.7,491.6,106.6,489.8,191.6,475.2,263.4,629.4,565.6,176.2,598.9,398.6,394.7,158.0,132.7,176.7,267.3,397.7,77.1,300.0,468.1,632.4,270.5,228.3,462.7,107.0,34.2,168.7,358.3,65.2,533.3,128.0,280.2,421.4,207.8,287.2,216.2,178.5,440.7,330.6,501.1,404.9,15.1,379.0,392.7,138.6,214.5,214.9,191.1,326.2,47.4,64.9,200.7,355.6,383.8,89.0,238.0,188.6,87.4,219.5,541.6,458.7,138.1,95.1,416.9,323.9,221.3,309.7,262.4,288.3,266.0,231.1,295.3,344.6
IJ,58.9,423.5,238.9,396.9,160.2,273.5,307.8,236.1,136.5,327.0,563.4,254.9,70.5,593.0,194.8,243.5,145.0,256.0,406.3,495.4,436.7,319.3,121.3,598.8,269.4,85.0,255.0,20.7,189.0,91.6,396.2,352.4,1039.4,521.9,278.3,241.2,68.0,152.9,325.3,111.3,259.8,297.3,294.2,404.8,253.8,0.0,140.2,487.0,306.0,362.8,95.4,309.6,752.5,439.9,488.8,216.5,731.3,346.3,729.5,431.3,714.9,77.2,315.1,251.3,384.7,280.0,144.9,634.4,348.5,216.2,416.4,507.0,147.6,331.0,35.5,707.8,313.5,125.5,535.7,239.7,290.8,288.1,377.2,98.1,319.1,773.0,265.3,101.7,95.8,196.1,526.9,96.1,145.3,163.5,35.7,182.2,144.7,269.0,118.8,185.7,378.3,271.1,454.6,288.2,565.9,301.3,318.8,114.8,131.3,58.2,342.9,536.1,384.8,341.3,459.2,222.7,698.4,392.0,349.0,656.6,163.4,461.0,85.4,133.2,157.4,45.4,470.8,226.1,84.4
IQ,95.7,464.6,275.7,433.6,197.0,267.0,344.6,228.6,173.3,358.6,599.9,251.1,116.6,629.8,191.0,280.5,181.8,292.8,443.1,532.2,473.4,356.1,112.2,635.3,306.2,110.6,218.3,57.5,225.5,128.4,433.0,388.9,1076.2,558.7,315.1,286.2,107.0,193.0,357.2,87.1,296.6,334.1,319.8,441.6,290.6,36.7,0.0,523.8,366.1,396.0,132.2,341.5,789.0,476.4,525.3,253.3,783.4,382.8,766.3,468.1,751.7,114.0,375.5,319.1,418.6,305.6,144.7,670.9,392.1,253.0,453.2,543.8,143.8,368.8,72.3,744.6,339.5,162.3,572.5,235.9,330.1,324.9,411.4,134.9,355.9,814.8,308.4,147.9,121.4,235.8,563.7,132.9,178.8,186.8,41.3,207.8,181.5,305.8,155.6,181.9,415.1,307.9,491.4,325.0,602.7,337.8,355.6,159.6,125.1,83.8,379.4,568.0,416.7,377.8,496.0,248.3,735.2,423.6,385.8,693.4,200.2,497.8,62.8,170.0,201.0,80.3,507.6,262.9,121.2
IZ,377.0,78.1,315.6,170.0,335.1,623.5,300.2,559.0,376.2,278.0,150.1,593.4,412.1,322.8,544.8,412.6,350.3,272.4,237.9,225.2,203.4,340.1,445.5,194.8,290.2,510.5,654.6,418.7,318.6,370.0,105.3,194.2,1170.7,108.6,339.6,352.8,493.5,342.4,220.4,404.9,371.4,320.7,707.3,113.9,250.2,418.3,464.4,0.0,719.1,111.3,350.4,260.6,482.3,169.7,89.2,403.6,461.1,168.0,459.3,93.4,444.7,363.3,728.2,664.4,236.0,693.1,498.5,364.2,212.0,232.6,86.8,160.5,497.6,144.6,399.9,437.6,726.6,370.4,122.4,562.6,224.9,224.6,228.5,458.2,257.8,502.8,255.8,380.1,521.3,307.7,256.7,316.1,278.4,540.6,430.5,595.3,504.8,216.1,478.9,492.6,220.1,332.4,184.4,309.0,295.7,176.0,182.8,300.6,455.5,483.7,188.9,132.1,169.6,133.6,189.0,635.8,378.7,87.0,125.9,386.4,423.8,190.8,409.6,362.3,388.2,365.9,200.6,395.2,444.5
JD,382.0,626.5,441.9,664.2,496.1,200.7,510.8,249.9,339.5,589.5,766.4,252.0,342.1,796.0,191.9,446.7,480.9,573.6,609.3,698.4,704.0,636.9,401.7,801.8,587.0,386.1,219.5,343.8,524.9,414.7,676.1,555.4,1077.3,724.9,595.9,567.3,322.7,492.1,587.8,373.7,577.7,614.9,230.4,684.7,571.4,323.0,420.9,690.0,0.0,642.7,407.9,572.1,955.5,642.9,691.8,419.5,949.6,549.3,932.5,634.3,917.9,400.8,9.1,92.4,649.5,173.6,226.2,837.4,672.1,533.8,619.4,710.0,262.6,611.4,358.6,910.8,249.7,461.4,738.7,257.2,610.1,605.7,642.0,322.1,582.5,976.0,474.6,447.3,261.8,514.0,729.9,413.7,459.6,226.8,327.6,194.4,368.7,586.6,342.8,267.9,581.3,588.7,657.6,605.8,768.9,617.3,617.8,440.7,411.7,299.2,660.5,761.8,647.3,621.2,662.2,116.3,901.4,650.2,628.9,859.6,391.5,664.0,348.5,469.1,456.1,361.1,673.8,429.1,346.7
JI,331.7,55.7,237.0,104.6,289.8,575.5,254.9,509.8,297.6,208.9,147.0,548.1,357.3,313.2,499.5,367.5,305.0,227.1,126.5,215.6,148.3,276.8,397.0,195.3,226.9,465.2,501.8,373.4,273.3,324.7,61.8,198.6,1125.4,105.5,276.3,315.7,458.0,289.9,153.1,355.7,322.2,251.6,667.7,66.5,204.9,373.0,419.4,88.6,674.9,0.0,305.1,191.5,472.7,160.1,98.2,358.3,466.8,89.4,449.7,102.8,435.1,318.0,684.0,627.6,163.0,653.5,453.2,354.6,155.5,187.3,68.7,157.4,452.3,32.1,354.6,428.0,687.4,325.1,122.9,517.3,177.2,117.8,155.5,412.9,151.0,498.2,196.4,335.3,472.1,265.3,247.1,266.9,231.6,491.4,385.2,555.7,459.5,104.7,433.6,447.3,228.4,269.1,174.8,245.7,286.1,64.6,132.6,245.3,410.2,438.4,139.7,151.0,108.1,18.3,179.4,592.3,418.6,23.9,14.5,376.8,378.5,181.2,363.7,317.0,349.7,322.7,191.0,359.4,399.2
