from_stop,AI,AL,AM,AP,BE,BF,BJ,BK,BL,BM,BU,BX,CC,CP,CT,CW,CY,DB,DL,DV,DW,EE,EG,ES,EV,EX,EY,EZ,FA,FB,FK,FX,FY,GE,GN,GP,GR,HA,HI,HN,HR,HX,IB,IC,IJ,IS,JB,JH,JQ,JS,JX,JZ,KE,KF,KG,KJ,KT,KX,LI,LN,LQ,LV,LX,MF,MG,MH,MN,MP,MT,NB,NL,NM,NR,NU,NV,NY,NZ,OD,OP,OS,OW,OZ,PD,PJ,PK,PT,PV,PW,PZ,QE,QF,QO,QR,QT,QV,RH,RK,RL,RN,RX,RZ,SB,SM,SN,SQ,SR,ST,TD,TF,TJ,TK,TO,TX,TZ,UD,UF,UM,UN,UO,UP,US,UU,VA,VK,VN,VO,VQ,VV,VY,VZ,WC,WF,WI,WN,WO,WT,WV,WW,WZ,XE,XH,XI,XJ,XV,YC,YW,YX,YZ,ZH,ZK,ZM,ZV
DW,924.3,1021.7,972.8,84.2,401.1,321.3,242.2,424.5,259.7,136.2,309.1,116.8,177.7,994.0,74.9,136.7,272.1,597.1,1002.2,110.6,0.0,192.5,883.7,719.6,372.8,269.2,681.3,297.0,300.0,173.8,442.7,119.3,86.5,387.1,113.6,156.5,209.8,942.0,273.9,138.8,145.1,105.4,138.8,266.4,407.6,155.2,143.1,157.2,252.5,928.4,793.5,531.9,294.2,463.9,496.8,93.7,1024.5,213.5,482.2,785.4,158.0,402.5,947.5,103.4,319.3,269.4,571.9,104.4,111.0,386.2,994.4,155.0,166.0,94.4,173.8,72.9,93.2,100.6,906.7,870.5,144.8,89.6,82.8,115.3,550.6,562.7,390.6,232.6,898.4,725.1,720.2,166.3,119.6,78.0,640.7,404.5,699.8,179.0,195.0,533.7,108.9,296.0,75.8,212.8,696.1,97.1,172.8,61.5,717.7,586.1,215.8,281.5,124.5,216.5,195.9,557.0,481.8,829.6,280.0,100.6,219.0,356.2,310.8,331.0,512.3,95.7,327.2,311.9,856.9,165.1,41.7,115.5,903.4,148.5,812.2,65.7,317.4,933.0,1005.8,21.7,242.9,289.0,115.2,276.3,579.5,509.0,310.3,193.3,173.0,78.7,157.5,93.5
EE,1016.1,1111.7,1064.6,171.7,559.7,522.6,400.8,582.6,153.9,294.8,467.7,186.3,368.1,1085.8,207.3,239.0,430.7,688.9,1028.0,180.1,185.3,0.0,975.5,824.3,534.5,470.5,771.6,455.6,501.3,52.2,601.3,119.2,245.1,561.7,318.7,50.7,104.0,1033.8,96.8,175.8,179.9,312.0,172.5,437.9,566.2,313.8,237.1,236.0,102.4,1020.2,885.3,728.7,452.8,620.7,671.4,89.5,1050.3,372.1,656.8,877.2,198.7,561.1,1039.3,127.1,482.8,428.0,645.7,309.5,324.0,568.2,1086.2,33.4,200.3,198.3,112.7,135.6,251.8,307.2,999.3,962.3,144.7,152.3,246.4,275.2,725.2,654.5,549.2,114.9,990.2,787.3,842.9,44.7,219.3,286.4,732.5,612.8,804.5,177.7,353.6,625.5,150.8,454.6,181.8,91.2,800.8,198.2,67.0,233.3,761.2,677.9,374.4,482.8,166.4,110.7,117.9,701.8,656.4,921.4,438.6,306.4,377.6,513.1,469.4,499.1,686.9,286.1,485.8,513.2,948.8,328.7,186.5,322.1,995.2,355.1,904.0,208.7,476.0,1024.8,1057.0,246.3,137.1,447.6,136.3,434.9,671.3,683.6,468.9,87.5,331.6,144.7,241.0,163.1
EG,110.8,208.2,159.3,936.1,778.3,647.1,762.1,801.7,1151.5,809.0,760.9,968.7,754.4,180.5,902.0,987.0,766.1,412.2,262.9,962.5,890.4,1044.4,0.0,332.3,674.9,701.4,346.7,735.3,677.3,1020.2,819.9,971.2,807.4,559.6,795.8,1008.4,1101.6,128.5,1017.4,922.2,906.0,814.2,922.2,717.7,607.2,765.5,860.3,1007.5,1009.6,114.9,114.6,431.1,744.3,841.1,552.8,945.6,265.7,799.0,522.5,145.7,1010.1,830.1,134.0,955.3,771.1,768.8,392.6,803.4,830.7,720.9,180.9,1006.9,895.0,944.7,1011.0,924.8,800.8,841.1,120.8,180.4,1001.7,941.5,863.7,831.2,593.1,377.8,717.3,992.7,84.9,275.1,264.6,1018.2,969.9,830.3,220.1,645.7,350.1,989.1,757.7,329.7,960.8,751.0,928.2,993.8,296.3,949.0,1024.7,928.2,267.7,300.1,769.2,635.5,976.4,1108.3,996.2,404.2,533.8,117.3,805.6,847.6,724.2,776.3,589.6,699.8,435.4,825.8,746.8,712.4,108.7,779.9,911.6,803.6,89.9,774.4,112.6,917.6,726.4,119.5,192.3,864.7,1134.7,749.3,967.1,624.9,281.2,583.5,777.6,1085.1,783.3,930.6,853.9,945.4
ES,354.1,451.5,402.6,761.8,554.6,472.8,587.8,577.5,894.1,631.6,586.6,794.4,580.1,423.8,727.7,812.7,542.4,302.3,506.2,788.2,716.1,870.1,313.5,0.0,500.6,527.1,213.7,561.0,503.0,851.4,596.2,796.9,630.0,368.5,618.4,790.9,844.2,371.8,804.2,747.9,728.6,639.9,747.9,543.4,416.1,591.2,683.3,833.2,796.4,358.2,250.0,239.7,520.6,615.6,361.7,771.3,509.0,624.7,331.4,241.9,835.8,606.4,377.3,781.0,601.7,545.1,201.2,626.0,656.4,509.7,424.2,832.6,720.7,770.4,800.0,750.5,623.4,666.8,297.9,225.0,827.4,767.2,689.4,656.9,402.0,267.9,510.8,779.5,328.2,178.4,87.4,843.9,795.6,656.0,213.7,480.4,71.5,814.8,583.4,238.9,786.5,576.7,753.9,780.6,50.2,774.7,807.2,753.9,152.3,291.3,594.9,461.2,802.1,850.9,783.0,212.8,342.7,184.1,584.5,673.3,549.9,600.3,398.5,524.0,244.3,651.5,572.5,538.1,211.5,605.6,737.3,629.3,333.2,600.1,268.7,745.7,552.1,362.8,435.6,687.3,877.3,525.6,792.8,433.8,284.7,431.4,553.9,827.7,546.4,759.6,678.2,771.1
EV,792.6,890.0,841.1,359.9,173.1,27.9,162.4,196.5,533.6,217.6,119.3,336.8,163.0,862.3,309.5,405.6,166.0,465.4,930.8,343.0,299.3,454.2,752.0,572.0,0.0,110.0,549.6,127.2,22.2,402.3,214.7,395.0,216.0,406.0,204.4,454.0,483.7,810.3,399.5,330.8,314.6,222.8,330.8,126.3,426.5,174.1,268.9,426.1,391.7,796.7,661.8,400.2,172.8,235.9,296.0,369.4,947.5,165.4,301.7,653.7,443.6,262.5,815.8,379.1,129.5,168.7,440.2,212.0,239.3,165.5,862.7,424.2,303.6,363.3,393.1,348.6,209.4,249.7,775.0,738.8,420.5,379.4,272.3,239.8,349.8,431.0,169.9,374.8,766.7,593.4,572.6,412.3,388.5,238.9,509.0,192.6,552.2,464.6,166.3,402.0,384.6,159.6,344.7,375.9,548.5,314.9,470.3,293.6,586.0,454.4,177.8,187.5,400.2,490.4,378.3,425.3,313.0,697.9,190.0,256.2,132.8,135.5,329.7,65.7,398.6,234.4,109.8,97.1,725.2,188.5,331.4,212.2,771.7,183.0,680.5,328.1,89.4,801.3,874.1,273.3,516.8,149.2,390.9,295.2,447.8,251.4,177.5,467.2,191.9,354.4,262.5,357.0
EX,774.7,872.1,823.2,330.2,108.6,126.3,115.9,132.0,503.9,187.9,72.8,307.1,133.3,844.4,279.8,375.9,156.7,447.5,912.9,313.3,269.6,424.5,734.1,600.9,98.3,0.0,531.7,80.7,109.3,372.6,150.2,365.3,186.3,360.0,174.7,424.3,454.0,792.4,369.8,301.1,284.9,193.1,301.1,96.6,380.5,144.4,239.2,396.4,362.0,778.8,643.9,382.3,126.3,171.4,278.1,339.7,929.6,118.9,283.8,635.8,413.9,198.0,797.9,349.4,83.0,159.4,422.3,182.3,209.6,147.6,844.8,394.5,273.9,333.6,363.4,318.9,179.7,220.0,757.1,720.9,390.8,349.7,242.6,210.1,331.9,413.1,152.0,345.1,748.8,575.5,570.6,382.6,358.8,209.2,491.1,174.7,581.1,434.9,136.6,384.1,354.9,129.9,315.0,346.2,577.4,285.2,440.6,263.9,568.1,436.5,140.6,169.6,370.5,460.7,348.6,407.4,295.1,680.0,143.5,226.5,103.1,117.6,283.7,56.5,380.7,204.7,45.3,120.0,707.3,158.8,301.7,182.5,753.8,153.3,662.6,298.4,24.9,783.4,856.2,243.6,487.1,139.9,361.2,249.2,429.9,233.5,168.2,437.5,162.2,324.7,232.8,327.3
EY,363.6,461.0,412.1,757.4,501.3,553.0,580.1,524.7,840.8,615.1,532.1,734.3,660.3,433.3,707.0,803.1,489.1,249.0,515.7,740.5,696.8,805.6,323.0,310.1,580.8,535.3,0.0,556.5,583.2,753.7,542.9,774.7,613.5,352.0,601.9,737.6,790.9,381.3,750.9,742.1,712.1,720.1,742.1,623.6,399.6,548.5,692.5,823.6,743.1,367.7,232.8,186.4,467.3,564.1,365.9,758.4,518.5,568.1,351.3,224.7,841.1,553.1,386.8,760.0,520.5,491.8,147.9,609.5,699.5,456.4,433.7,775.6,714.9,760.8,744.5,746.1,606.9,709.9,346.0,309.8,813.6,776.9,678.0,656.1,419.7,214.6,457.5,726.2,337.7,164.4,215.9,763.7,786.0,645.1,80.0,420.1,208.3,895.0,590.4,185.6,782.1,656.9,742.2,727.3,204.6,729.6,753.9,692.6,157.0,135.2,605.1,496.4,797.7,797.6,729.7,159.5,343.4,268.9,531.2,665.2,630.1,516.3,382.0,492.1,324.5,644.9,483.3,555.6,296.2,604.0,728.9,709.5,342.7,680.3,251.5,728.1,507.7,372.3,445.1,670.8,824.0,472.3,788.4,417.3,116.3,378.1,500.6,774.4,529.9,751.9,661.7,754.5
EZ,797.2,894.6,845.7,330.2,135.5,135.2,86.6,158.4,503.9,187.9,25.5,307.1,133.3,866.9,279.8,375.9,149.8,470.0,935.4,313.3,269.6,424.5,756.6,623.4,107.2,62.8,554.2,0.0,118.2,372.6,177.1,365.3,186.3,330.7,174.7,424.3,454.0,814.9,369.8,301.1,284.9,193.1,301.1,90.1,351.2,144.4,239.2,396.4,362.0,801.3,666.4,404.8,79.0,198.3,300.6,339.7,952.1,89.6,306.3,658.3,413.9,171.3,820.4,349.4,35.7,147.1,444.8,182.3,209.6,170.1,867.3,394.5,273.9,333.6,363.4,318.9,179.7,220.0,779.6,743.4,390.8,349.7,242.6,210.1,354.4,435.6,174.5,345.1,771.3,598.0,597.9,382.6,358.8,209.2,513.6,197.2,603.6,434.9,136.6,406.6,354.9,119.7,315.0,346.2,599.9,285.2,440.6,263.9,590.6,459.0,111.3,192.1,370.5,460.7,348.6,429.9,317.6,702.5,114.2,226.5,103.1,140.1,254.4,65.4,403.2,204.7,72.2,128.9,729.8,158.8,301.7,182.5,776.3,153.3,685.1,298.4,51.8,805.9,878.7,243.6,487.1,90.5,361.2,219.9,452.4,256.0,118.8,437.5,138.9,324.7,232.8,327.3
FA,777.0,874.4,825.5,353.2,175.5,21.2,164.0,198.9,526.9,210.9,121.7,330.1,156.3,846.7,302.8,398.9,150.4,449.8,915.2,336.3,292.6,447.5,736.4,603.2,33.1,103.3,534.0,129.6,0.0,395.6,217.1,388.3,209.3,399.3,197.7,447.3,477.0,794.7,392.8,324.1,307.9,216.1,324.1,119.6,419.8,167.4,262.2,419.4,385.0,781.1,646.2,384.6,128.6,238.3,280.4,362.7,931.9,167.8,286.1,638.1,436.9,214.4,800.2,372.4,131.9,153.1,424.6,205.3,232.6,149.9,847.1,417.5,296.9,356.6,386.4,341.9,202.7,243.0,759.4,723.2,413.8,372.7,265.6,233.1,334.2,415.4,154.3,368.1,751.1,577.8,565.9,405.6,381.8,232.2,493.4,177.0,583.4,457.9,159.6,386.4,377.9,152.9,338.0,369.2,579.7,308.2,463.6,286.9,570.4,438.8,171.1,171.9,393.5,483.7,371.6,409.7,297.4,682.3,192.4,249.5,126.1,119.9,323.0,43.4,383.0,227.7,112.2,74.8,709.6,181.8,324.7,205.5,756.1,176.3,664.9,321.4,91.8,785.7,858.5,266.6,510.1,133.6,384.2,288.5,432.2,235.8,161.9,460.5,185.2,347.7,255.8,350.3
FB,1014.6,1018.2,971.6,129.9,550.6,466.4,391.7,573.5,152.4,285.7,458.6,143.2,311.9,1084.3,205.8,277.9,421.6,687.4,934.5,138.3,210.5,49.4,974.0,822.8,478.3,414.3,770.1,446.5,445.1,0.0,592.2,134.7,236.0,536.6,251.5,49.2,102.5,1032.3,97.6,127.9,123.7,270.2,127.9,381.7,557.1,304.7,180.9,274.9,78.6,1018.7,883.8,727.2,443.7,613.4,646.3,130.3,956.8,363.0,631.7,875.7,186.3,552.0,1037.8,119.1,468.8,418.9,644.2,242.3,275.8,512.0,1084.7,19.4,141.0,196.8,63.9,174.5,242.7,265.4,997.0,960.8,163.4,191.2,190.2,219.0,700.1,653.0,540.1,58.7,988.7,785.8,841.4,7.5,258.2,230.2,731.0,549.6,803.0,165.3,344.5,624.0,183.2,415.0,180.3,38.9,799.3,156.4,65.5,191.5,759.7,676.4,365.3,426.6,198.4,109.2,61.7,700.3,631.3,919.9,429.5,250.2,368.5,505.7,460.3,444.4,661.8,229.9,476.7,457.0,947.2,272.5,185.0,280.3,993.7,299.8,902.5,169.7,466.9,1023.3,963.5,204.5,135.6,438.5,158.4,425.8,669.8,608.4,459.8,86.0,322.5,180.3,188.7,121.3
FK,771.4,868.8,819.9,420.7,61.4,197.9,177.6,56.8,606.6,278.4,129.6,397.6,270.7,841.1,370.3,466.4,86.6,444.2,909.6,403.8,360.1,527.2,730.8,636.2,183.6,137.3,528.4,156.8,176.6,475.3,0.0,455.8,276.8,303.7,265.2,527.0,556.7,789.1,472.5,413.3,375.4,330.5,413.3,193.9,324.2,211.8,355.8,486.9,464.7,775.5,640.6,379.0,64.8,96.7,274.8,430.2,926.3,198.6,280.5,632.5,504.4,145.9,794.6,439.9,118.0,89.3,419.0,272.8,362.8,144.3,841.5,491.5,396.9,424.1,466.1,409.4,270.2,373.2,753.8,717.6,481.3,440.2,341.3,319.4,328.6,409.8,148.7,447.8,745.5,572.2,636.8,485.3,449.3,308.4,487.8,171.4,616.4,525.4,229.3,380.8,445.4,223.5,405.5,448.9,612.7,392.9,543.3,355.9,564.8,433.2,202.6,166.3,461.0,563.4,451.3,404.1,291.8,676.7,128.7,328.5,214.6,114.3,227.4,123.8,428.9,308.2,85.3,187.3,704.0,267.3,392.2,319.9,750.5,290.7,659.3,391.4,109.7,780.1,852.9,334.1,589.8,69.8,451.7,192.9,426.6,230.2,98.1,540.2,193.2,415.2,325.0,417.8
FX,1057.0,1029.7,983.1,91.0,504.6,424.8,345.7,527.5,220.1,239.7,412.6,123.6,283.9,1064.4,152.2,183.9,375.6,675.3,946.0,117.4,130.2,157.3,956.1,811.9,476.3,372.7,824.2,400.5,403.5,153.0,546.2,0.0,190.0,490.6,243.9,146.2,170.2,1074.7,235.1,130.2,138.0,226.9,130.2,369.9,511.1,258.7,170.7,180.9,240.7,981.0,865.9,635.4,397.7,567.4,600.3,66.7,968.3,317.0,585.7,857.8,165.6,506.0,1017.9,50.2,422.8,372.9,698.3,234.7,232.5,489.7,1064.8,119.8,155.3,143.2,127.2,80.5,196.7,222.1,996.6,928.9,47.7,97.2,168.0,200.5,654.1,653.8,494.1,176.6,1031.1,828.6,812.5,131.1,164.2,208.3,744.2,508.0,792.1,186.6,298.5,637.2,95.7,399.5,126.7,192.0,788.4,124.7,181.3,146.7,813.8,689.6,319.3,385.0,82.7,176.9,149.3,660.5,585.3,888.0,383.5,222.1,322.5,459.7,414.3,434.5,615.8,201.9,430.7,415.4,915.3,260.3,131.4,237.0,1036.1,270.0,884.6,114.6,420.9,1003.4,975.0,152.0,203.3,392.5,81.2,379.8,683.0,612.5,413.8,153.7,276.5,86.3,199.1,100.3
FY,837.7,935.1,886.2,143.8,314.5,234.7,155.6,337.4,319.3,49.6,222.5,120.7,115.0,907.4,93.4,189.5,185.5,510.5,975.9,126.9,83.2,252.1,797.1,633.0,286.2,182.6,594.7,210.4,213.4,228.8,356.1,178.9,0.0,300.5,39.4,216.1,269.4,855.4,247.7,136.4,98.5,101.7,136.4,179.8,321.0,68.6,102.3,210.0,253.3,841.8,706.9,445.3,207.6,377.3,410.2,153.3,992.6,126.9,395.6,698.8,227.5,315.9,860.9,163.0,232.7,182.8,485.3,47.0,85.9,299.6,907.8,214.6,129.5,147.2,215.7,132.5,6.7,96.3,820.1,783.9,204.4,163.3,64.4,73.2,464.0,476.1,304.0,187.4,811.8,638.5,633.6,225.9,172.4,49.4,554.1,317.9,613.2,248.5,108.4,447.1,168.5,209.4,128.6,203.2,609.5,116.0,232.4,79.0,631.1,499.5,129.2,194.9,184.1,276.1,190.9,470.4,395.2,743.0,193.4,51.6,132.4,269.6,224.2,244.4,425.7,31.3,240.6,225.3,770.3,106.7,115.3,91.1,816.8,101.2,725.6,114.5,230.8,846.4,919.2,57.2,302.5,202.4,174.8,189.7,492.9,422.4,223.7,252.9,86.4,138.3,99.2,140.9
GE,582.8,680.2,631.3,471.0,290.7,317.7,369.5,313.6,651.7,328.7,321.5,447.9,351.6,652.5,420.6,516.7,278.5,255.6,721.0,454.1,410.4,572.3,542.2,378.1,341.3,324.7,339.8,345.9,334.3,520.4,332.3,506.1,327.1,0.0,315.5,572.1,601.8,600.5,517.6,463.6,425.7,428.9,463.6,384.6,113.2,262.1,406.1,537.2,509.8,586.9,452.0,190.4,256.7,353.5,155.3,480.5,737.7,281.7,140.7,443.9,554.7,342.5,606.0,490.2,309.9,281.2,230.4,323.1,413.1,245.8,652.9,541.8,447.2,474.4,511.2,459.7,320.5,423.5,565.2,529.0,531.6,490.5,391.6,369.7,209.1,221.2,246.9,492.9,556.9,383.6,378.7,530.4,499.6,358.7,299.2,209.5,358.3,575.7,304.0,192.2,495.7,414.2,455.8,494.0,354.6,443.2,588.4,406.2,376.2,244.6,303.8,285.8,511.3,608.5,496.4,215.5,140.3,488.1,320.6,378.8,328.0,305.7,95.6,281.5,170.8,358.5,272.7,345.0,515.4,317.6,442.5,418.3,561.9,428.4,470.7,441.7,297.1,591.5,664.3,384.4,634.9,261.7,502.0,130.9,238.0,167.5,290.0,585.3,243.5,465.5,375.3,468.1
GN,836.4,933.8,884.9,173.6,313.2,233.4,154.3,336.6,349.1,48.3,221.2,143.2,113.7,906.1,123.2,219.3,184.2,509.2,974.6,149.4,113.0,281.9,795.8,631.7,284.9,181.3,593.4,209.1,212.1,258.6,354.8,208.7,29.7,299.2,0.0,245.9,299.2,854.1,243.5,158.8,128.3,131.5,158.8,178.5,319.7,67.3,90.5,239.8,235.7,840.5,705.6,444.0,206.3,376.0,408.9,183.1,991.3,125.6,394.3,697.5,257.3,314.6,859.6,192.8,231.4,181.5,484.0,7.5,115.7,298.3,906.5,244.4,131.6,177.0,245.5,162.3,23.1,126.1,818.8,782.6,234.2,193.1,86.6,54.1,462.7,474.8,302.7,217.2,810.5,637.2,632.3,255.7,202.2,43.1,552.8,316.6,611.9,278.3,107.1,445.8,198.3,208.1,158.4,233.0,608.2,136.5,262.2,107.9,629.8,498.2,127.9,193.6,213.9,305.9,220.7,469.1,393.9,741.7,192.1,81.4,131.1,268.3,222.9,243.1,424.4,61.1,239.3,224.0,769.0,85.3,145.1,120.9,815.5,131.0,724.3,143.3,229.5,845.1,917.9,87.0,332.3,201.1,204.6,188.4,491.6,421.1,222.4,282.7,85.1,168.1,59.7,166.1
GP,999.7,1034.1,987.5,109.7,523.3,443.5,364.4,546.2,103.1,258.4,431.3,142.3,302.6,1069.4,170.9,202.6,394.3,679.7,950.4,136.1,148.9,70.3,959.1,807.9,495.0,391.4,755.2,419.2,422.2,51.6,564.9,82.8,208.7,509.3,262.6,0.0,53.2,1017.4,151.7,143.5,175.4,245.6,140.2,388.6,529.8,277.4,192.1,199.6,130.3,985.4,868.9,654.1,416.4,584.3,619.0,53.1,972.7,335.7,604.4,860.8,184.3,524.7,1022.9,86.9,441.5,391.6,629.3,253.4,259.6,508.4,1069.8,32.8,170.7,161.9,96.2,99.2,215.4,240.8,1016.1,933.3,108.3,115.9,186.7,219.2,672.8,638.1,512.8,110.4,973.8,770.9,831.2,44.1,182.9,227.0,716.1,533.7,788.1,126.9,317.2,609.1,114.4,418.2,145.4,90.6,784.4,143.4,33.6,165.4,744.8,661.5,338.0,403.7,130.0,59.9,113.4,685.4,604.0,892.4,402.2,240.8,341.2,444.9,433.0,453.2,634.5,220.6,449.4,434.1,919.8,291.8,150.1,255.7,978.8,288.7,887.6,127.7,439.6,1008.4,979.4,170.7,86.3,411.2,97.9,398.5,654.9,631.2,432.5,36.7,295.2,108.3,209.3,119.0
GR,1068.4,1101.9,1055.3,178.4,592.0,512.2,433.1,615.4,62.6,327.1,500.0,211.0,371.3,1138.1,239.6,271.3,463.0,747.5,1018.2,204.8,217.6,139.0,1027.8,876.6,563.7,460.1,823.9,487.9,490.9,120.3,633.6,151.5,277.4,578.0,331.3,68.6,0.0,1086.1,220.4,212.2,244.1,314.3,212.2,457.3,598.5,346.1,258.1,211.9,199.0,1053.2,937.6,722.8,485.1,654.8,687.7,121.8,1040.5,404.4,673.1,929.5,167.3,593.4,1091.6,155.6,510.2,460.3,698.0,322.1,319.9,577.1,1138.5,101.5,239.4,230.6,166.6,167.9,284.1,309.5,1084.0,1001.1,122.1,184.6,255.4,287.9,741.5,706.8,581.5,179.1,1042.5,839.6,899.9,112.8,251.6,295.7,784.8,595.4,856.8,146.3,385.9,677.8,183.1,486.9,214.1,159.3,853.1,212.1,81.1,234.1,813.5,730.2,406.7,472.4,198.7,19.4,182.1,754.1,672.7,960.2,470.9,309.5,409.9,547.1,501.7,521.9,703.2,289.3,518.1,502.8,987.5,360.5,218.8,324.4,1047.5,357.4,956.3,202.0,508.3,1077.1,1047.2,239.4,45.8,479.9,168.6,467.2,723.6,699.9,501.2,28.0,363.9,173.7,278.0,187.7
HA,67.4,233.9,185.0,993.4,835.6,704.4,819.4,858.5,1208.8,866.3,818.2,1026.0,811.7,206.2,959.3,1044.3,823.4,469.5,288.6,1019.8,947.7,1101.7,106.5,389.6,732.2,758.7,404.0,792.6,734.6,1077.5,877.2,1028.5,864.7,616.9,853.1,1065.7,1158.9,0.0,1074.7,979.5,963.3,871.5,979.5,775.0,664.5,822.8,917.6,1064.8,1066.9,140.6,171.9,488.4,801.6,898.4,610.1,1002.9,291.4,856.3,579.8,203.0,1067.4,887.4,159.7,1012.6,828.4,826.1,449.9,860.7,888.0,778.2,206.6,1064.2,952.3,1002.0,1068.3,982.1,858.1,898.4,178.1,237.7,1059.0,998.8,921.0,888.5,650.4,435.1,774.6,1050.0,39.0,332.4,321.9,1075.5,1027.2,887.6,277.4,703.0,407.4,1046.4,815.0,387.0,1018.1,808.3,985.5,1051.1,353.6,1006.3,1082.0,985.5,325.0,357.4,826.5,692.8,1033.7,1165.6,1053.5,461.5,591.1,174.6,862.9,904.9,781.5,833.6,646.9,757.1,492.7,883.1,804.1,769.7,166.0,837.2,968.9,860.9,46.5,831.7,169.9,974.9,783.7,145.2,218.0,922.0,1192.0,806.6,1024.4,682.2,338.5,640.8,834.9,1142.4,840.6,987.9,911.2,1002.7
HI,1093.1,1065.8,1019.2,195.6,514.9,458.3,393.2,538.3,220.9,287.2,460.1,164.1,332.8,1100.5,274.3,346.4,423.1,711.4,982.1,170.3,279.0,117.9,1042.5,891.3,470.2,406.2,838.6,412.8,437.0,68.4,556.5,191.0,256.9,538.1,238.8,117.7,171.0,1110.8,0.0,148.8,144.6,321.2,152.1,373.6,558.6,306.2,201.8,287.2,5.5,1017.1,952.3,682.9,445.2,575.9,647.8,198.8,1004.4,364.5,633.2,944.2,242.6,553.5,1054.0,176.3,475.2,420.4,712.7,229.6,288.7,503.9,1100.9,87.9,161.9,265.3,99.6,243.0,262.0,315.8,1037.9,965.0,231.9,259.7,211.1,223.1,701.6,689.9,500.3,79.6,1067.2,854.3,876.5,76.0,326.7,251.1,799.5,548.5,871.5,221.6,354.0,692.5,248.9,406.9,248.8,30.1,867.8,195.5,134.0,232.4,828.2,744.9,379.0,418.5,264.5,177.7,82.6,768.8,632.8,924.1,431.0,271.1,378.0,505.5,461.8,434.8,663.3,250.8,478.2,448.9,951.5,264.4,253.5,310.6,1072.2,320.7,971.0,234.3,431.2,1039.5,1011.1,258.5,204.1,440.0,224.9,427.3,738.3,600.3,461.3,154.5,324.0,252.1,176.0,187.0
HN,1009.6,982.3,935.7,77.7,409.1,352.5,295.8,432.5,273.1,189.8,332.6,47.3,216.0,1017.0,177.2,208.9,325.7,627.9,898.6,53.5,158.3,170.1,937.3,770.1,364.4,300.4,734.9,307.0,331.2,118.2,450.7,119.3,140.1,440.7,150.5,169.9,223.2,1027.3,163.3,0.0,27.8,204.4,0.0,267.8,461.2,208.8,85.0,205.9,168.9,933.6,847.1,585.5,347.8,471.9,550.4,84.7,920.9,267.1,535.8,839.0,190.6,456.1,970.5,77.6,342.8,323.0,636.4,141.3,188.6,398.1,1017.4,140.1,27.1,168.2,109.0,105.5,146.8,199.0,954.7,881.5,131.4,122.2,94.3,123.1,604.2,606.4,394.5,103.0,983.7,778.7,770.7,128.2,189.2,134.3,694.3,435.7,750.3,211.6,248.6,587.3,131.0,301.1,151.7,118.8,746.6,78.7,186.2,115.6,771.3,639.7,269.4,312.7,133.8,229.9,106.5,610.6,535.4,840.6,333.6,154.3,272.6,409.8,364.4,330.5,565.9,134.0,345.8,343.1,867.9,158.6,156.4,193.8,988.7,203.9,865.8,117.5,325.4,956.0,927.6,141.7,256.3,342.6,88.2,329.9,633.1,494.5,363.9,206.7,226.6,111.3,87.7,69.1
HR,950.0,982.9,936.3,50.9,426.8,356.3,267.9,450.2,285.7,161.9,334.8,19.4,188.1,1017.6,186.2,203.8,297.8,628.5,899.2,25.6,138.1,182.7,909.4,745.3,368.2,304.2,707.0,322.7,335.0,133.2,468.4,137.1,112.2,412.8,138.7,182.5,235.8,967.7,149.1,37.8,0.0,176.5,37.8,292.1,433.3,180.9,57.1,200.8,154.7,934.2,819.2,557.6,319.9,489.6,522.5,107.0,921.5,239.2,507.9,811.1,185.5,428.2,971.1,118.3,345.0,295.1,597.6,129.5,160.7,411.9,1018.0,152.7,30.9,176.7,117.1,100.4,118.9,171.1,932.4,882.1,159.1,117.1,66.4,95.2,576.3,588.4,416.3,88.8,924.1,750.8,745.9,140.8,184.1,106.4,666.4,439.5,725.5,206.5,220.7,559.4,104.2,321.7,160.2,104.6,721.8,50.8,198.8,87.7,743.4,611.8,241.5,316.5,119.8,242.5,92.3,582.7,507.5,841.2,305.7,126.4,244.7,381.9,336.5,356.7,538.0,106.1,352.9,346.9,868.5,162.4,157.9,165.9,929.1,176.0,837.9,92.4,343.1,956.6,928.2,113.8,268.9,314.7,126.1,302.0,605.2,534.7,336.0,219.3,198.7,106.2,77.0,42.3
