from_stop,AI,AP,BA,BC,BR,BX,BZ,CA,CE,CI,CJ,CV,CW,CY,CZ,DO,DW,EJ,EK,EL,EP,ER,FC,FE,FH,FR,FV,GD,GF,GI,GP,GR,GW,GX,HK,HL,HM,HO,HQ,HY,ID,IM,IV,IY,JE,JH,JX,KB,KC,KD,KH,KI,KJ,KN,KO,KV,LI,LV,LX,MD,MJ,MN,MQ,NA,NH,NI,NM,NO,NR,NZ,OE,OF,OJ,OO,OQ,OS,OW,OX,PA,PB,PO,PP,PU,QJ,QL,RG,SG,SN,SV,TF,TM,TX,UK,UW,UZ,VB,VG,VH,VJ,VM,VU,VW,WN,WQ,WS,WU,WW,XO,XR,XT,YA,YR,YV,YZ,ZB,ZC,ZL
GF,462.5,476.0,561.8,20.7,474.7,292.0,379.8,560.9,170.8,521.1,547.4,349.7,443.4,535.8,257.2,408.0,129.0,132.5,465.3,621.8,409.6,587.6,440.5,159.4,274.3,348.2,484.5,80.3,0.0,536.7,297.8,419.4,228.4,463.8,305.7,414.0,157.0,451.6,399.6,319.5,587.1,525.8,488.9,208.5,439.7,96.4,212.0,532.9,426.1,415.6,467.1,562.6,2453.4,254.2,512.5,516.9,566.7,210.3,604.8,228.7,200.6,55.9,208.0,168.6,218.3,316.7,563.1,232.2,221.4,211.6,466.0,396.0,325.9,236.2,412.4,424.4,189.2,204.7,237.6,552.1,142.2,457.9,337.8,252.6,216.2,511.7,319.0,455.5,541.1,364.4,572.2,376.8,312.3,426.3,169.3,508.2,403.8,326.8,132.1,230.2,415.6,405.3,126.8,243.3,137.3,443.6,224.5,584.4,358.5,484.7,415.7,194.0,505.0,329.5,100.0,194.0,494.2
GI,106.2,94.9,25.0,523.0,95.2,540.9,248.1,101.0,458.7,15.0,70.0,263.4,230.6,36.3,338.3,175.7,464.5,484.3,124.2,85.0,634.8,50.8,691.6,481.9,337.8,303.1,49.4,590.8,551.5,0.0,294.7,242.2,408.8,95.3,556.8,201.3,417.4,238.8,624.8,290.5,177.3,65.3,740.0,407.8,148.8,598.6,371.1,45.3,197.5,234.6,69.6,161.5,2431.8,307.0,111.4,56.4,29.9,449.2,68.0,540.9,395.6,484.9,399.6,374.8,353.0,254.6,153.3,376.5,365.7,428.9,233.7,621.2,245.4,427.8,216.0,675.5,503.7,422.0,369.0,15.3,464.4,709.0,274.1,354.0,377.5,51.2,570.1,223.2,81.2,266.0,35.4,224.6,305.9,142.9,437.3,100.0,192.6,266.6,634.3,331.3,234.6,630.5,413.0,434.9,639.5,123.7,416.1,47.6,237.9,252.4,156.8,604.4,108.6,298.2,602.2,508.5,93.1
GP,230.1,235.0,320.8,275.8,233.7,307.5,130.3,319.9,211.5,280.1,346.0,88.5,193.9,294.8,117.9,167.1,222.1,237.1,224.3,380.8,409.9,346.6,456.0,295.3,64.6,116.6,243.5,335.3,304.3,295.7,0.0,152.1,151.8,222.8,321.2,164.5,138.2,202.1,399.9,58.3,365.7,276.0,504.4,187.4,172.3,351.4,91.9,291.9,158.7,144.5,226.1,341.2,2468.9,114.9,291.1,275.9,325.7,225.2,363.8,264.0,124.0,240.6,120.4,140.9,89.4,41.3,341.7,114.6,104.5,208.5,225.1,396.3,50.5,148.6,145.0,439.9,224.5,201.6,148.6,311.1,195.5,473.4,76.6,133.6,113.9,270.7,334.5,214.6,300.1,114.9,331.2,101.4,80.7,206.5,216.9,237.3,136.4,38.0,387.1,90.9,144.5,405.6,165.8,155.7,392.3,208.3,136.9,343.4,83.1,243.8,174.8,368.8,264.1,40.7,355.0,229.3,272.8
GR,168.7,170.7,256.5,379.0,169.4,399.1,121.2,258.5,314.7,218.7,296.6,89.0,160.6,233.4,163.9,105.7,320.5,340.3,160.0,316.5,498.6,285.2,547.6,307.5,163.4,128.7,184.5,408.5,410.4,234.3,120.3,0.0,225.8,161.4,412.8,128.4,243.0,168.8,488.6,116.1,304.3,217.2,596.0,233.4,108.0,457.5,196.7,227.6,97.3,16.0,161.8,276.9,2432.1,132.6,226.8,211.6,264.3,274.1,299.5,368.8,224.1,343.8,225.2,232.5,178.6,80.2,280.3,202.1,194.2,257.4,160.8,485.0,73.9,256.3,80.5,531.5,329.3,250.5,192.7,249.7,290.0,565.0,99.7,179.6,203.1,209.3,426.1,153.2,235.8,100.3,266.9,50.2,131.5,145.1,265.8,173.0,72.1,92.2,442.2,156.9,2.9,497.2,269.0,260.5,444.5,144.0,241.7,282.0,66.4,179.5,113.4,460.4,202.7,123.8,410.1,337.0,208.5
GW,333.4,332.0,414.2,210.3,330.7,239.8,209.4,416.9,152.3,377.1,434.8,196.4,273.0,398.1,62.5,264.1,158.1,171.6,321.3,477.8,359.6,449.9,396.8,221.5,151.4,188.6,349.2,278.1,238.8,392.7,144.4,249.1,0.0,319.8,255.7,243.6,90.7,281.2,349.6,159.9,469.0,375.6,438.9,107.3,269.3,292.2,52.4,388.9,255.7,228.2,323.1,438.2,2403.4,90.1,394.4,379.2,422.7,148.7,460.8,214.2,37.2,172.2,72.9,118.6,161.0,185.8,438.7,128.9,118.1,128.4,322.1,352.3,195.0,101.1,238.9,380.7,177.0,121.5,26.6,408.1,148.0,414.2,178.2,36.8,136.1,367.7,269.0,317.9,397.1,188.5,428.2,217.3,152.7,303.5,136.8,334.3,233.4,167.2,321.6,84.5,241.5,355.3,100.3,108.2,326.8,305.3,89.4,440.4,227.6,347.1,271.8,303.3,340.9,169.9,289.5,188.1,369.8
GX,63.3,24.9,110.7,460.4,32.6,480.5,191.7,109.8,396.1,70.0,147.0,214.8,184.1,84.7,289.7,129.2,392.1,421.7,61.6,170.7,591.4,136.5,640.3,433.3,289.2,254.5,33.4,534.3,488.9,85.6,246.1,193.6,348.7,0.0,494.2,154.8,368.8,192.3,581.4,241.9,136.0,74.7,663.8,359.2,63.0,536.0,322.5,81.8,111.7,186.0,16.0,111.5,2369.2,258.4,61.4,65.8,115.6,397.0,153.7,494.6,347.0,425.2,351.0,312.2,304.4,206.0,112.0,327.9,317.1,380.3,187.2,577.8,196.8,379.2,130.2,624.2,455.1,373.4,320.4,101.0,415.8,657.7,225.5,305.4,328.9,60.6,507.5,176.7,90.0,194.4,121.1,176.0,257.3,72.9,388.7,57.1,160.6,218.0,565.1,282.7,186.0,587.1,350.4,386.3,570.3,53.7,367.5,133.3,189.3,205.9,86.8,541.8,157.0,249.6,533.0,459.9,43.1
HK,477.5,491.0,576.8,266.9,489.7,13.7,394.8,575.9,202.6,536.1,562.4,368.8,458.4,550.8,272.2,423.0,198.6,228.2,480.3,636.8,245.8,602.6,276.7,370.0,289.3,364.7,499.5,326.4,295.4,551.7,312.8,434.4,255.0,478.8,0.0,429.0,224.1,466.6,235.8,338.6,602.1,540.8,325.1,298.1,454.7,342.5,241.1,547.9,441.1,430.6,482.1,577.6,2289.6,269.2,527.5,531.9,581.7,299.9,619.8,318.3,227.2,231.7,241.6,183.6,233.3,331.7,578.1,247.2,236.4,301.2,481.0,232.2,340.9,269.8,427.4,260.6,278.8,294.3,264.2,567.1,231.8,294.1,356.9,279.2,231.2,526.7,61.9,470.5,556.1,379.4,587.2,391.8,328.8,441.3,258.9,523.2,418.8,345.9,245.8,245.2,430.6,241.5,156.9,276.9,240.5,458.6,258.1,599.4,373.5,499.7,430.7,189.5,520.0,348.6,278.2,283.6,509.2
HL,115.1,140.2,223.3,393.8,237.3,413.9,36.8,282.2,329.5,182.6,200.0,103.8,29.2,197.3,178.7,24.5,325.5,355.1,227.9,313.1,513.4,242.1,562.4,322.3,184.1,143.5,162.7,423.3,422.3,198.2,144.5,155.7,237.7,226.4,427.6,0.0,257.8,37.4,503.4,130.9,259.2,148.0,610.8,248.2,121.9,469.4,211.5,202.8,162.3,148.1,157.2,234.7,2467.3,147.4,184.6,158.3,258.0,286.0,230.8,383.6,236.0,358.6,240.0,244.4,223.2,124.8,235.2,216.9,206.1,269.3,81.0,499.8,115.6,268.2,148.6,546.3,344.1,262.4,209.4,213.6,304.8,579.8,114.5,194.4,224.1,164.4,440.9,70.5,251.9,39.5,233.7,117.6,146.3,84.5,277.7,122.3,140.0,116.4,454.1,171.7,148.1,509.1,283.8,275.3,459.3,101.8,256.5,238.9,130.9,99.7,73.9,475.2,157.6,148.0,422.0,348.9,166.3
HM,354.3,359.2,445.0,149.2,357.9,221.4,236.6,444.1,100.2,404.3,470.2,192.6,300.2,419.0,114.0,291.3,83.8,110.5,348.5,505.0,339.0,470.8,369.9,195.4,153.9,191.1,367.7,208.7,177.7,419.9,146.9,272.5,86.8,347.0,235.1,270.8,0.0,308.4,329.0,162.4,489.9,400.2,418.3,123.5,296.5,224.8,54.9,416.1,282.9,268.7,350.3,465.4,2382.8,111.0,415.3,400.1,449.9,125.3,488.0,125.7,59.0,114.0,50.9,98.0,147.7,188.3,465.9,131.4,120.6,126.6,349.3,325.4,197.5,79.1,269.2,353.8,86.2,119.7,96.0,435.3,57.2,387.3,180.7,111.0,138.6,394.9,248.4,338.8,424.3,221.2,455.4,248.4,155.2,330.7,84.3,361.5,260.6,169.7,260.5,87.0,268.7,334.7,56.2,86.2,265.7,332.5,67.4,467.6,230.1,368.0,299.0,282.7,388.3,172.4,228.4,91.0,397.0
HO,168.2,193.3,272.8,427.0,270.5,444.9,70.0,335.3,362.7,235.7,244.9,137.0,9.8,250.4,211.9,77.6,368.5,388.3,261.1,366.2,546.6,295.2,595.6,355.5,217.3,176.7,218.2,456.5,455.5,251.3,177.7,185.1,282.4,259.6,460.8,53.0,291.0,0.0,536.6,164.1,312.3,201.1,644.0,281.4,209.1,502.6,244.7,255.9,195.5,168.0,210.3,287.8,2520.4,180.6,237.7,211.4,311.1,322.8,283.9,416.8,269.2,388.9,273.2,277.6,256.4,158.0,288.3,250.1,239.3,302.5,134.1,533.0,148.8,301.4,178.7,579.5,377.3,295.6,242.6,266.7,338.0,613.0,147.7,227.6,257.3,217.5,474.1,123.6,305.0,72.7,286.8,150.8,179.5,137.6,310.9,175.4,173.2,149.6,487.3,204.9,181.3,542.3,317.0,308.5,492.5,154.9,289.7,292.0,164.1,152.8,127.0,508.4,210.7,181.2,455.2,382.1,219.4
HQ,553.7,515.3,601.1,372.4,514.0,241.1,465.4,600.2,308.1,560.4,637.4,439.4,515.9,575.1,342.8,461.0,304.1,333.7,504.6,661.1,87.6,626.9,267.3,360.5,359.9,435.3,523.8,322.4,360.6,576.0,383.4,472.4,360.5,503.1,227.4,486.6,329.6,524.1,0.0,409.2,626.4,565.1,208.7,412.3,484.2,395.9,334.8,572.2,470.6,468.6,506.4,601.9,2265.6,339.8,551.8,556.2,606.0,405.4,644.1,423.8,332.7,337.2,363.3,272.2,303.9,402.3,602.4,317.8,307.0,433.4,519.0,27.1,411.5,391.5,456.9,254.7,384.3,426.5,373.5,591.4,337.3,284.7,427.5,358.5,301.8,551.0,289.4,508.5,580.4,450.0,611.5,458.6,399.4,479.3,364.4,547.5,448.3,416.5,230.4,315.8,468.6,5.7,262.4,398.6,225.1,496.6,379.8,623.7,444.1,537.7,468.7,174.1,558.0,419.2,262.8,389.1,533.5
HY,228.6,233.5,319.3,298.4,232.2,330.1,110.9,318.4,234.1,278.6,344.5,30.2,174.5,293.3,136.6,165.6,244.7,259.7,222.8,379.3,434.4,345.1,478.6,280.2,87.2,101.4,242.0,381.2,326.9,294.2,45.4,146.8,174.4,221.3,343.8,145.1,160.8,182.7,424.4,0.0,364.2,274.5,527.0,206.1,170.8,374.0,114.5,290.4,157.2,143.0,224.6,339.7,2491.5,105.3,289.6,274.4,324.2,243.9,362.3,286.6,146.6,263.2,143.0,165.4,134.9,86.8,340.2,137.9,127.1,227.2,223.6,420.8,96.0,171.2,143.5,462.5,247.1,220.3,167.3,309.6,218.1,496.0,18.2,152.3,145.1,269.2,357.1,213.1,298.6,95.5,329.7,112.5,103.3,205.0,235.6,235.8,134.9,68.2,412.0,113.5,143.0,430.1,188.4,178.3,417.2,206.8,159.5,341.9,128.6,242.3,173.3,391.4,262.6,70.9,379.9,251.9,271.3
ID,177.4,139.8,193.1,585.9,158.1,603.8,306.6,99.5,521.6,191.7,240.9,326.3,299.0,213.0,401.2,244.1,527.4,547.2,187.1,253.1,697.7,218.9,754.5,544.8,400.7,366.0,120.6,645.4,614.4,168.0,357.6,305.1,460.2,158.2,619.7,269.7,480.3,307.2,687.7,353.4,0.0,154.9,802.9,470.7,193.7,661.5,434.0,164.2,242.4,297.5,140.8,86.4,2494.7,369.9,88.0,148.2,198.0,512.1,271.7,603.8,458.5,547.8,462.5,437.7,415.9,317.5,19.7,439.4,428.6,491.8,302.1,684.1,308.3,490.7,265.1,738.4,566.6,484.9,427.1,183.4,527.3,771.9,337.0,416.9,440.4,143.0,633.0,291.6,69.2,314.8,203.5,287.5,368.8,187.8,500.2,171.2,283.2,329.5,697.2,394.2,297.5,693.4,475.9,497.8,702.4,168.6,479.0,215.7,300.8,320.8,201.7,667.3,281.4,361.1,665.1,571.4,108.4
IM,72.0,124.7,80.0,487.8,97.5,507.9,174.5,100.7,425.7,40.3,111.7,225.8,166.9,57.6,300.7,112.0,431.5,449.1,208.4,143.6,579.8,106.8,628.7,444.3,300.2,265.5,51.7,553.6,516.3,58.5,257.1,200.8,371.2,97.6,521.6,137.6,379.8,177.3,569.8,252.9,177.0,0.0,652.2,370.2,92.4,563.4,333.5,54.7,141.1,183.7,71.9,163.8,2498.7,269.4,113.7,10.2,88.5,411.6,126.6,503.3,360.2,449.7,362.0,339.6,315.4,217.0,155.6,338.9,328.1,393.5,170.0,568.4,207.8,390.2,162.2,612.6,466.1,384.4,326.6,73.9,426.8,648.3,236.5,316.4,342.1,16.3,534.9,161.7,83.5,182.7,94.0,187.0,268.3,104.5,399.7,79.2,156.7,229.0,576.1,293.7,197.0,575.5,377.8,397.3,581.3,86.3,378.5,106.2,200.3,188.7,105.3,569.2,90.7,260.6,544.0,473.1,95.4
IV,587.9,549.5,635.3,401.1,548.2,269.8,499.6,634.4,336.8,594.6,671.6,473.6,550.1,609.3,377.0,495.2,332.8,362.4,538.8,695.3,150.5,661.1,184.1,389.2,394.1,469.5,558.0,351.1,389.3,610.2,417.6,506.6,389.2,537.3,256.1,520.8,358.3,558.3,140.5,443.4,660.6,599.3,0.0,432.3,518.4,424.6,375.3,606.4,504.8,502.8,540.6,636.1,2197.0,374.0,586.0,590.4,640.2,434.1,678.3,452.5,361.4,365.9,375.8,317.8,338.1,436.5,636.6,352.0,341.2,435.4,553.2,136.9,445.7,404.0,491.1,168.0,413.0,428.5,398.4,625.6,366.0,155.7,461.7,392.7,336.0,585.2,318.1,542.7,614.6,484.2,645.7,492.8,433.6,513.5,393.1,581.7,482.5,450.7,259.1,350.0,502.8,146.2,291.1,411.1,253.8,530.8,392.3,657.9,478.3,571.9,502.9,202.8,592.2,453.4,291.5,417.8,567.7
IY,340.7,345.6,431.4,188.3,344.3,283.0,223.0,430.5,161.8,390.7,456.6,193.8,286.6,405.4,76.1,277.7,102.0,149.6,334.9,491.4,400.6,457.2,431.5,107.8,181.1,211.1,354.1,208.8,216.8,406.3,192.1,258.9,130.4,333.4,296.7,257.2,95.7,294.8,390.6,207.6,476.3,386.6,479.9,0.0,282.9,282.3,150.2,402.5,269.3,255.1,336.7,451.8,2444.4,97.4,401.7,386.5,436.3,37.7,474.4,161.9,128.7,153.1,146.7,159.6,190.7,233.5,452.3,158.6,147.8,21.0,335.7,387.0,242.7,174.9,255.6,415.4,122.4,14.1,102.1,421.7,56.5,448.9,225.9,87.1,165.8,381.3,310.0,325.2,410.7,207.6,441.8,224.6,175.2,317.1,29.4,347.9,247.0,214.9,239.6,113.4,255.1,396.3,117.8,182.0,244.8,318.9,163.2,454.0,237.9,354.4,285.4,301.5,374.7,217.6,207.5,127.2,383.4
JE,57.7,74.3,179.0,449.5,125.3,467.4,152.9,216.3,385.2,141.9,198.9,151.7,145.3,156.6,226.6,90.4,391.0,410.8,115.9,274.7,541.5,208.4,590.4,370.2,226.1,191.4,107.7,471.2,478.0,157.5,183.0,130.5,297.1,91.7,483.3,116.0,305.7,153.5,531.5,178.8,193.3,103.6,613.9,296.1,0.0,525.1,259.4,153.7,48.6,109.6,91.3,168.8,2393.8,195.3,118.7,113.9,219.6,333.9,203.3,429.2,283.9,411.4,287.9,292.3,241.3,142.9,169.3,264.8,254.0,317.2,148.4,527.9,133.7,316.1,67.1,574.3,392.0,310.3,257.3,172.9,352.7,607.8,162.4,242.3,265.8,120.0,496.6,137.9,186.0,161.1,193.0,112.9,194.2,34.1,325.6,64.9,97.5,154.9,502.0,219.6,122.9,537.2,339.5,323.2,507.2,35.9,304.4,205.2,126.2,167.1,48.0,530.9,128.4,186.5,469.9,396.8,100.4
JH,577.6,546.6,632.4,91.3,545.3,360.4,459.9,631.5,241.4,591.7,672.5,420.3,523.5,606.4,327.8,478.6,209.4,203.1,535.9,692.4,414.8,658.2,445.7,168.2,344.9,418.4,557.5,89.1,89.9,607.3,368.4,490.0,299.0,534.4,391.8,494.1,227.6,531.7,404.8,390.1,713.2,594.2,494.1,275.2,519.8,0.0,282.6,603.5,506.2,472.9,537.7,688.7,2458.6,324.8,638.6,587.5,637.3,243.3,675.4,297.0,271.2,129.4,278.6,239.2,288.9,387.3,689.2,302.8,292.0,282.2,536.6,401.2,396.5,306.8,489.4,429.6,259.8,275.3,313.0,622.7,212.8,463.1,408.4,323.2,286.8,582.3,389.6,526.1,611.7,439.0,642.8,447.4,382.9,554.0,239.9,584.8,483.9,397.4,140.9,300.8,486.2,410.5,197.4,313.9,146.1,555.8,295.1,655.0,429.1,555.3,486.3,202.8,555.4,400.1,108.8,264.6,620.3
JX,299.3,304.2,390.0,183.8,302.9,215.5,181.6,389.1,119.5,349.3,415.2,137.6,245.2,364.0,59.0,236.3,130.1,145.1,293.5,450.0,333.1,415.8,364.0,236.4,98.9,136.1,312.7,243.3,212.3,364.9,91.9,217.5,59.8,292.0,229.2,215.8,46.2,253.4,323.1,107.4,434.9,345.2,412.4,128.5,241.5,259.4,0.0,361.1,227.9,213.7,295.3,410.4,2376.9,56.0,360.3,345.1,394.9,166.3,433.0,172.0,32.0,148.6,28.4,92.1,108.5,133.3,410.9,76.4,65.6,149.6,294.3,319.5,142.5,56.6,214.2,347.9,132.5,142.7,69.0,380.3,103.5,381.4,125.7,74.7,83.6,339.9,242.5,283.8,369.3,166.2,400.4,193.4,100.2,275.7,130.6,306.5,205.6,114.7,295.1,32.0,213.7,328.8,73.8,63.7,300.3,277.5,44.9,412.6,175.1,313.0,244.0,276.8,333.3,117.4,263.0,137.3,342.0
KB,93.1,81.8,81.1,509.9,82.1,530.0,254.7,87.9,445.6,40.4,117.4,250.3,219.2,55.1,325.2,164.3,441.6,471.2,111.1,141.1,621.7,106.9,678.5,468.8,324.7,290.0,38.7,569.4,538.4,56.0,281.6,225.3,384.2,82.2,543.7,189.9,404.3,227.4,611.7,277.4,164.2,52.2,726.9,394.7,135.7,585.5,358.0,0.0,184.4,221.5,56.5,148.4,2418.7,293.9,98.3,43.3,86.0,432.5,124.1,530.1,382.5,474.7,386.5,361.7,339.9,241.5,140.2,363.4,352.6,415.8,222.3,608.1,232.3,414.7,202.9,662.4,490.6,408.9,355.9,71.4,451.3,695.9,261.0,340.9,364.4,38.1,557.0,211.8,68.1,270.1,91.5,211.5,292.8,129.8,424.2,86.9,179.5,253.5,621.2,318.2,221.5,617.4,399.9,421.8,626.4,110.6,403.0,103.7,224.8,241.0,143.7,591.3,127.4,285.1,589.1,495.4,80.0
KC,103.3,119.9,219.1,429.3,132.0,449.4,174.1,261.9,365.0,178.4,219.2,139.1,166.5,193.1,214.0,111.6,361.0,390.6,122.6,320.3,521.3,244.9,570.2,357.6,213.5,178.8,141.8,458.6,457.8,194.0,170.4,114.1,273.0,121.1,463.1,137.2,293.1,174.7,511.3,166.2,238.9,149.2,593.7,283.5,45.5,504.9,246.8,190.2,0.0,110.3,124.4,214.4,2440.2,182.7,164.3,159.5,265.2,321.3,248.9,418.9,271.3,394.1,275.3,279.7,228.7,130.3,214.9,252.2,241.4,304.6,169.6,507.7,121.1,303.5,18.5,554.1,379.4,297.7,244.7,209.4,340.1,587.6,149.8,229.7,253.2,165.6,476.4,159.1,231.6,155.9,229.5,100.3,181.6,79.7,313.0,110.5,77.3,142.3,489.4,207.0,110.3,517.0,319.3,310.6,494.6,81.5,291.8,241.7,113.6,188.3,93.6,510.7,177.3,173.9,457.3,384.2,146.0
KD,162.9,167.8,250.0,376.1,166.5,394.0,118.3,242.5,301.6,202.7,270.6,75.9,154.8,217.4,161.0,99.9,317.6,337.4,146.9,313.6,495.7,269.2,544.7,304.6,160.5,125.8,178.7,413.9,404.6,218.3,117.4,17.1,231.5,155.6,409.9,125.5,240.1,152.8,485.7,113.2,288.3,211.4,593.1,230.5,105.1,441.5,193.8,224.7,91.5,0.0,158.9,274.0,2429.2,129.7,213.7,208.7,258.5,271.9,296.6,363.6,208.1,338.0,222.3,226.7,165.5,77.3,274.5,199.2,188.4,241.4,157.9,482.1,68.1,250.5,74.7,528.6,316.2,244.7,186.9,233.7,287.1,562.1,96.8,176.7,200.2,203.5,423.2,137.2,232.9,97.4,264.0,37.1,128.6,139.3,260.0,170.1,69.2,89.3,436.4,154.0,0.0,491.4,266.1,257.6,441.6,141.1,238.8,276.2,60.6,176.6,107.6,457.5,176.7,120.9,404.3,321.0,205.6
KH,47.2,25.2,94.6,453.3,25.5,473.4,193.9,93.7,389.0,53.9,130.9,193.7,186.3,68.6,268.6,131.4,385.0,414.6,54.5,154.6,565.1,120.4,621.9,412.2,268.1,233.4,17.3,512.8,481.8,69.5,225.0,168.7,327.6,25.6,487.1,157.0,347.7,194.5,555.1,220.8,116.3,58.6,670.3,338.1,94.9,528.9,301.4,65.7,143.6,164.9,0.0,91.8,2362.1,237.3,41.7,49.7,99.5,375.9,137.6,473.5,325.9,418.1,329.9,305.1,283.3,184.9,92.3,306.8,296.0,359.2,189.4,551.5,175.7,358.1,162.1,605.8,434.0,352.3,299.3,84.9,394.7,639.3,204.4,284.3,307.8,44.5,500.4,178.9,109.0,196.6,105.0,154.9,236.2,107.0,367.6,41.0,122.9,196.9,564.6,261.6,164.9,560.8,343.3,365.2,569.8,88.8,346.4,117.2,168.2,208.1,120.9,534.7,140.9,228.5,532.5,438.8,23.4
KI,186.5,96.9,200.7,543.0,115.2,563.1,263.7,111.0,478.7,203.2,252.4,283.4,256.1,224.5,358.3,201.2,474.7,504.3,144.2,260.7,654.8,226.5,711.6,501.9,357.8,323.1,134.5,602.5,571.5,175.6,314.7,258.4,417.3,115.3,576.8,226.8,437.4,264.3,644.8,310.5,88.0,164.7,760.0,427.8,150.8,618.6,391.1,171.8,199.5,254.6,114.4,0.0,2451.8,327.0,45.1,155.8,205.6,465.6,283.2,563.2,415.6,507.8,419.6,394.8,373.0,274.6,64.0,396.5,385.7,448.9,259.2,641.2,265.4,447.8,218.0,695.5,523.7,442.0,389.0,191.0,484.4,729.0,294.1,374.0,397.5,150.6,590.1,248.7,80.7,266.4,211.1,244.6,325.9,144.9,457.3,147.1,240.3,286.6,654.3,351.3,254.6,650.5,433.0,454.9,659.5,125.7,436.1,223.3,257.9,277.9,158.8,624.4,260.5,318.2,622.2,528.5,65.5
KJ,2347.3,2308.9,2354.3,2322.2,2307.6,2190.9,2419.9,2480.4,2257.9,2394.4,2410.1,2387.7,2424.2,2415.7,2335.9,2369.3,2253.9,2283.5,2298.2,2371.4,2122.1,2362.8,1983.8,2310.3,2353.0,2427.4,2317.4,2272.2,2310.4,2379.3,2419.0,2362.7,2310.3,2296.7,2177.2,2394.9,2279.4,2432.4,2112.1,2414.8,2420.0,2358.7,2117.6,2353.4,2319.9,2345.7,2296.4,2365.8,2325.6,2358.9,2300.0,2395.5,0.0,2431.3,2345.4,2349.8,2375.4,2355.2,2384.7,2373.6,2282.5,2287.0,2296.9,2228.5,2297.0,2378.9,2396.0,2310.9,2300.1,2356.5,2427.3,2108.5,2369.7,2325.1,2311.9,2008.0,2334.1,2349.6,2319.5,2363.9,2287.1,2102.6,2398.4,2334.5,2294.9,2344.6,2239.2,2416.8,2460.6,2404.5,2405.9,2348.9,2430.2,2354.1,2314.2,2341.1,2316.9,2390.9,2180.2,2308.9,2358.9,2117.8,2212.2,2332.2,2174.9,2337.7,2313.4,2359.6,2362.2,2446.0,2368.0,2123.9,2488.0,2422.5,2212.6,2338.9,2327.1
KN,243.2,248.1,330.3,246.3,246.8,264.2,125.5,333.0,182.0,293.2,350.9,96.3,189.1,307.9,31.2,180.2,187.8,207.6,237.4,393.9,365.9,359.7,414.9,208.6,91.9,84.0,259.0,317.9,274.8,308.8,102.9,161.4,90.2,235.9,280.1,159.7,110.3,197.3,355.9,118.4,378.8,289.1,463.3,100.7,185.4,321.9,64.0,305.0,171.8,144.3,239.2,354.3,2427.8,0.0,304.2,289.0,338.8,138.5,376.9,233.8,88.5,208.2,92.5,96.9,101.5,144.3,354.8,69.4,58.6,121.8,238.2,352.3,153.5,120.7,155.0,398.8,196.6,114.9,57.1,324.2,157.3,432.3,136.7,46.9,76.6,283.8,293.4,227.7,313.2,104.6,344.3,127.1,86.0,219.6,130.2,250.4,149.5,125.7,340.4,24.2,157.6,361.6,136.3,127.8,345.6,221.4,109.0,356.5,140.4,256.9,187.9,327.7,257.0,128.4,308.3,201.4,285.9
KO,141.3,51.7,155.5,497.8,70.0,515.7,218.5,97.5,433.5,114.8,183.6,238.2,210.9,129.5,313.1,156.0,439.3,459.1,99.0,215.5,609.6,181.3,666.4,456.7,312.6,277.9,118.6,565.6,526.3,130.4,269.5,217.0,372.1,70.1,531.6,181.6,392.2,219.1,599.6,265.3,74.5,117.3,714.8,382.6,105.6,573.4,345.9,126.6,154.3,209.4,100.9,50.0,2406.6,281.8,0.0,110.6,160.4,424.0,198.5,515.7,370.4,459.7,374.4,349.6,327.8,229.4,50.5,351.3,340.5,403.7,214.0,596.0,220.2,402.6,177.0,650.3,478.5,396.8,339.0,145.8,439.2,683.8,248.9,328.8,352.3,105.4,544.9,203.5,67.2,226.7,165.9,199.4,280.7,99.7,412.1,101.9,195.1,241.4,609.1,306.1,209.4,605.3,387.8,409.7,614.3,80.5,390.9,178.1,212.7,232.7,113.6,579.2,212.0,273.0,577.0,483.3,20.3
KV,80.9,133.6,73.3,496.7,87.2,514.6,183.4,93.0,432.4,32.6,113.4,234.7,175.8,47.3,309.6,120.9,438.2,458.0,116.2,133.3,588.7,99.1,637.6,453.2,309.1,274.4,41.4,554.2,525.2,48.2,266.0,209.7,368.6,87.3,530.5,146.5,388.7,184.0,578.7,261.8,169.3,8.9,661.1,379.1,101.3,572.3,342.4,44.4,150.0,192.6,61.6,153.5,2507.6,278.3,103.4,0.0,78.2,416.9,116.3,512.2,366.9,458.6,370.9,348.5,324.3,225.9,145.3,347.8,337.0,400.2,178.9,575.1,216.7,399.1,168.5,621.5,475.0,393.3,340.3,63.6,435.7,655.0,245.4,325.3,348.8,6.0,543.8,168.4,73.2,186.1,83.7,195.9,277.2,113.4,408.6,88.1,165.6,237.9,585.0,302.6,205.9,584.4,386.7,406.2,590.2,95.2,387.4,95.9,209.2,197.6,114.2,578.1,99.6,269.5,552.9,479.8,85.1
