from_stop,AG,AK,AL,AM,AN,AO,AS,AT,BA,BK,BM,BP,BV,BY,CE,CF,CG,CI,DC,DE,DH,DP,DT,DV,EK,ES,EY,FC,FD,FE,FH,FO,FP,FQ,FW,GD,GI,GJ,GW,HE,HG,HT,HU,HZ,IB,IF,IJ,IO,IR,IW,JE,JF,JI,JJ,JP,JX,JZ,KF,KL,KN,KY,KZ,LA,LE,LI,LJ,LO,LW,MC,ME,MI,MN,MR,MT,NB,NG,NI,OC,OP,OV,PB,PJ,PR,PT,PZ,QC,QF,QJ,QK,QL,QQ,QR,QS,QT,RG,RI,RP,RQ,RR,RT,SH,SM,SX,SY,TO,TQ,TR,TX,UF,UH,UL,UN,UQ,UR,UU,VB,VF,VG,VH,VP,VW,WA,WF,WJ,WS,WU,WV,WX,XI,XK,XO,XP,XQ,XW,YG,YJ,YR,YV,YW,ZC,ZK,ZS,ZT,ZY
DT,778.1,717.5,485.7,306.9,102.6,354.6,145.4,331.0,545.3,1527.9,484.9,209.8,190.5,343.2,352.3,787.9,715.5,588.9,324.5,469.2,851.8,170.2,0.0,436.0,624.4,677.9,365.6,384.6,702.5,404.5,124.7,669.3,833.7,335.1,670.3,724.0,410.5,368.9,662.0,390.6,492.0,161.0,360.1,399.0,333.2,806.7,405.1,363.2,249.4,360.7,202.5,377.7,343.1,279.8,115.8,377.3,286.5,799.5,643.3,354.9,396.8,665.9,696.8,699.1,178.9,272.4,767.3,257.7,248.6,841.5,192.5,753.8,183.1,465.3,349.2,367.4,62.7,791.4,702.9,461.8,708.5,585.8,391.3,579.2,452.2,326.9,252.4,328.8,240.9,417.0,614.2,769.0,227.0,374.7,187.6,634.4,679.2,364.4,328.9,673.6,235.4,440.1,498.7,311.9,368.1,841.0,824.3,347.7,706.6,304.2,821.0,30.9,691.5,541.6,452.6,342.2,569.4,803.4,345.7,791.4,829.2,76.0,356.6,337.1,809.3,109.1,313.0,168.5,496.0,319.7,367.4,370.8,211.9,776.5,224.2,694.3,436.1,288.4,725.4,519.0,633.0,396.4,295.4,356.2
DV,421.0,356.5,124.7,712.7,508.4,751.1,551.2,476.0,189.1,1402.9,490.0,437.4,456.7,391.6,497.3,555.5,354.5,227.9,699.5,32.1,619.4,576.0,405.7,0.0,263.4,316.9,482.4,493.8,341.5,549.5,530.5,308.3,601.3,740.9,309.3,363.0,531.8,774.7,301.0,480.0,553.9,478.8,765.9,521.3,467.9,574.3,184.7,470.8,517.8,414.1,519.8,522.7,477.8,477.1,521.6,783.1,692.3,450.7,278.9,760.7,513.6,304.9,335.8,338.1,499.7,355.8,418.5,453.0,464.2,480.5,598.3,393.7,588.9,104.3,457.2,535.1,468.5,428.2,343.2,267.6,347.5,224.8,490.1,218.2,457.3,429.3,658.2,463.5,646.7,222.8,253.2,417.7,632.8,519.7,508.4,273.4,318.2,501.6,463.6,195.2,641.2,460.9,304.5,717.7,484.9,480.0,463.3,519.9,345.6,710.0,460.0,436.7,330.5,180.6,258.4,479.1,208.4,437.6,474.7,559.0,468.2,481.8,491.2,453.9,448.3,480.6,361.4,489.3,301.8,436.5,773.2,469.6,617.7,544.1,630.0,333.3,372.3,694.2,364.4,158.0,272.0,444.8,371.1,490.9
EK,432.2,331.7,181.2,880.1,672.9,915.6,715.7,640.5,86.5,1567.4,654.5,601.9,621.2,556.1,661.8,504.2,329.7,39.7,864.0,299.3,568.1,740.5,570.2,266.1,0.0,292.1,646.9,658.3,316.7,714.0,695.0,317.6,550.0,905.4,284.5,361.6,696.3,939.2,297.5,644.5,718.4,643.3,930.4,685.8,632.4,523.0,349.2,635.3,699.9,578.6,684.3,687.2,642.3,640.9,686.1,947.6,856.8,453.6,254.1,925.2,678.1,280.1,311.0,313.3,664.2,520.3,421.4,614.6,625.8,478.5,762.8,368.9,753.4,275.4,621.7,699.6,633.0,426.2,190.2,377.4,360.3,238.6,654.6,230.1,621.8,593.8,822.7,628.0,811.2,332.6,257.1,423.1,797.3,684.2,660.1,116.4,161.2,666.1,628.1,262.0,805.7,625.4,414.3,882.2,649.4,478.0,438.5,684.4,320.8,874.5,458.0,601.2,343.3,147.1,368.2,643.6,183.6,435.6,639.2,507.7,466.2,646.3,655.7,618.4,446.3,645.1,525.9,653.8,411.6,601.0,937.7,634.1,782.2,492.8,794.5,176.3,536.8,858.7,339.6,232.5,266.2,609.3,535.6,655.4
ES,125.7,61.2,329.2,1009.0,804.7,1047.4,847.5,843.0,270.5,1480.6,786.3,733.7,753.0,687.9,864.3,354.0,153.0,337.5,995.8,447.3,417.9,872.3,702.0,414.1,373.0,0.0,778.7,790.1,24.6,916.5,826.8,121.5,399.8,1037.2,107.8,118.7,828.1,1071.0,81.1,776.3,850.2,775.1,1062.2,817.6,764.2,372.8,497.2,767.1,814.1,710.4,816.1,889.7,774.1,773.4,817.9,1079.4,988.6,194.1,34.9,1057.0,809.9,11.9,18.9,136.6,796.0,652.1,160.7,749.3,760.5,216.0,894.6,98.4,885.2,423.4,753.5,879.4,764.8,163.7,255.5,525.4,103.2,253.2,786.4,371.9,753.6,725.6,954.5,759.8,943.0,480.6,398.9,122.4,929.1,886.7,804.7,271.6,231.1,797.9,759.9,410.0,937.5,757.2,562.3,1014.0,781.2,215.5,261.8,859.7,28.7,1006.3,195.5,733.0,60.8,295.1,516.2,775.4,275.9,173.1,771.0,357.5,203.7,778.1,787.5,750.2,183.8,776.9,657.7,785.6,559.6,732.8,1069.5,765.9,914.0,342.6,926.3,215.2,668.6,990.5,47.5,380.5,125.4,741.1,667.4,787.2
EY,791.6,731.0,499.2,556.9,434.5,563.8,406.1,165.5,563.6,1541.4,225.4,354.0,416.3,192.1,186.8,801.4,729.0,602.4,512.2,482.7,865.3,499.0,328.7,449.5,637.9,691.4,0.0,117.6,716.0,239.0,453.5,682.8,847.2,585.1,683.8,737.5,147.3,618.9,675.5,134.9,228.8,383.8,610.1,205.2,139.4,820.2,418.6,176.3,475.2,214.6,424.8,212.2,149.3,393.7,444.6,627.3,509.9,813.0,653.4,604.9,133.6,679.4,710.3,712.6,404.7,240.0,780.8,369.6,380.8,855.0,453.2,768.2,443.8,478.8,166.0,224.6,391.5,802.7,716.4,475.3,722.0,599.3,179.6,592.7,192.7,345.9,580.0,135.0,501.6,430.5,627.7,782.5,487.7,209.2,413.4,647.9,692.7,170.6,135.1,557.0,496.1,152.1,512.2,546.4,101.1,854.5,837.8,209.4,720.1,547.9,834.5,359.7,705.0,555.1,466.1,168.6,582.9,812.1,146.2,804.9,842.7,404.8,201.9,45.4,822.8,385.6,161.9,394.3,509.5,62.8,617.0,159.1,472.6,790.0,451.0,707.8,190.5,569.3,738.9,532.5,646.5,137.6,204.4,162.4
FC,784.5,723.9,492.1,522.0,458.2,526.0,392.8,135.7,556.5,1534.3,232.2,377.7,440.0,185.0,157.0,794.3,721.9,595.3,474.4,475.6,858.2,469.8,352.4,442.4,630.8,684.3,102.3,0.0,708.9,209.2,424.3,675.7,840.1,547.3,676.7,730.4,171.0,581.1,668.4,158.6,252.5,407.5,572.3,181.0,163.1,813.1,411.5,61.9,498.9,207.5,448.5,182.4,173.0,417.4,415.4,589.5,472.1,805.9,646.3,567.1,157.3,672.3,703.2,705.5,428.4,232.9,773.7,393.3,404.5,847.9,439.9,761.1,430.5,471.7,48.3,194.8,362.3,795.6,709.3,468.2,714.9,592.2,149.8,585.6,199.5,369.6,499.8,158.7,488.3,423.4,620.6,775.4,474.4,179.4,437.1,640.8,685.6,161.3,158.8,549.9,482.8,175.8,505.1,508.6,16.6,847.4,830.7,179.6,713.0,577.2,827.4,383.4,697.9,548.0,459.0,138.8,575.8,805.0,169.9,797.8,835.6,375.6,150.9,73.8,815.7,409.3,154.8,418.0,502.4,98.9,579.2,129.3,459.3,782.9,413.2,700.7,183.4,531.5,731.8,525.4,639.4,183.6,197.3,186.1
FD,150.3,85.8,353.8,1033.6,829.3,1072.0,872.1,867.6,290.3,1505.2,810.9,758.3,777.6,712.5,888.9,378.6,177.6,362.1,1020.4,471.9,442.5,896.9,726.6,438.7,397.6,24.6,803.3,814.7,0.0,941.1,851.4,146.1,424.4,1061.8,132.4,143.3,852.7,1095.6,105.7,793.4,874.8,802.7,1086.8,842.2,788.8,397.4,521.8,791.7,838.7,730.0,840.7,914.3,798.7,798.0,842.5,1104.0,1013.2,169.5,56.6,1081.6,834.5,36.6,5.7,161.2,820.6,676.7,185.3,773.9,785.1,191.4,919.2,122.1,909.8,448.0,777.7,904.0,789.4,141.3,280.1,550.0,127.8,271.9,811.0,390.6,778.2,750.2,979.1,784.4,967.6,505.2,417.6,147.0,953.7,911.3,829.3,296.2,255.7,822.5,784.5,434.6,962.1,780.7,586.9,1038.6,805.8,186.0,286.4,884.3,4.0,1027.7,170.9,757.6,85.4,319.7,540.8,800.0,294.6,153.3,801.3,382.1,179.1,802.7,812.1,774.8,159.2,801.5,682.3,810.2,584.2,757.4,1094.1,790.5,938.6,367.2,950.9,239.8,693.2,1015.1,22.8,405.1,157.5,765.7,692.0,811.8
FE,838.8,778.2,546.4,536.0,460.4,542.9,409.7,88.9,610.8,1588.6,286.5,436.5,442.2,239.3,46.8,848.6,776.2,649.6,491.3,529.9,912.5,486.7,354.6,496.7,685.1,738.6,199.1,187.8,763.2,0.0,441.2,730.0,894.4,564.2,731.0,784.7,244.0,598.0,722.7,231.6,325.5,409.7,589.2,179.9,181.4,867.4,465.8,164.8,501.1,261.8,450.7,16.0,190.0,458.9,432.3,606.4,489.0,860.2,700.6,584.0,230.3,726.6,757.5,759.8,430.6,287.2,828.0,434.8,446.0,902.2,456.8,815.4,447.4,526.0,151.2,55.5,379.2,849.9,763.6,522.5,769.2,646.5,148.7,639.9,253.8,411.1,516.7,225.3,505.2,477.7,674.9,829.7,491.3,40.1,439.3,695.1,739.9,160.2,185.7,604.2,499.7,257.4,559.4,525.5,201.6,901.7,885.0,75.2,767.3,594.1,881.7,385.6,752.2,602.3,513.3,137.7,630.1,859.3,236.5,852.1,889.9,392.5,149.8,170.6,870.0,411.5,209.1,420.2,556.7,153.2,596.1,128.2,476.2,837.2,430.1,755.0,237.7,548.4,786.1,579.7,693.7,292.5,251.6,252.7
FH,848.1,787.5,555.7,341.0,111.6,388.7,179.5,365.1,620.1,1570.0,511.6,264.6,245.3,413.2,386.4,857.9,785.5,658.9,358.6,539.2,921.8,149.7,245.5,506.0,694.4,747.9,399.7,418.7,772.5,438.6,0.0,739.3,903.7,369.2,740.3,794.0,444.6,403.0,732.0,432.2,526.1,212.8,394.2,433.1,367.3,876.7,475.1,397.3,265.5,435.7,257.3,411.8,377.2,295.9,95.3,411.4,320.6,869.5,709.9,389.0,430.9,735.9,766.8,769.1,205.0,342.4,837.3,283.8,274.7,911.5,226.6,824.7,217.2,535.3,383.7,401.5,50.5,859.2,772.9,531.8,778.5,655.8,425.4,649.2,478.9,344.8,286.5,362.9,275.0,487.0,684.2,839.0,261.1,408.8,225.7,704.4,749.2,398.5,363.0,653.1,269.5,449.4,568.7,346.0,402.2,911.0,894.3,381.8,776.6,338.3,891.0,197.8,761.5,611.6,522.6,376.3,639.4,868.6,374.1,861.4,899.2,55.5,390.7,371.2,879.3,165.7,383.0,223.3,566.0,353.8,401.5,404.9,246.0,846.5,258.3,764.3,470.2,322.5,795.4,589.0,703.0,466.4,365.4,390.3
FO,223.3,158.8,271.5,970.4,763.2,1005.9,806.0,730.8,212.8,1509.0,744.8,692.2,711.5,646.4,752.1,382.4,181.4,279.8,954.3,389.6,446.3,830.8,660.5,356.4,315.3,137.2,737.2,748.6,161.8,804.3,785.3,0.0,428.2,995.7,136.2,142.7,786.6,1029.5,80.7,734.8,808.7,733.6,1020.7,776.1,722.7,401.2,439.5,725.6,790.2,668.9,774.6,777.5,732.6,731.2,776.4,1037.9,947.1,277.6,105.8,1015.5,768.4,125.2,156.1,165.0,754.5,610.6,245.4,704.9,716.1,260.2,853.1,196.0,843.7,365.7,712.0,907.8,723.3,207.9,197.8,467.7,127.2,207.8,744.9,326.5,712.1,684.1,913.0,718.3,901.5,422.9,353.5,220.0,887.6,774.5,750.4,213.9,173.4,756.4,718.4,352.3,896.0,715.7,504.6,972.5,739.7,259.7,290.2,888.1,165.9,964.8,239.7,691.5,110.2,237.4,458.5,733.9,230.5,217.3,729.5,385.9,247.9,736.6,746.0,708.7,228.0,735.4,616.2,744.1,501.9,691.3,1028.0,724.4,872.5,371.0,884.8,157.5,627.1,949.0,184.7,322.8,53.9,699.6,625.9,745.7
FP,439.6,393.4,526.2,1081.3,874.1,1116.8,916.9,912.4,467.5,1550.0,855.7,803.1,822.4,757.3,933.7,55.5,382.8,506.3,1065.2,644.3,18.0,941.7,771.4,611.1,541.8,435.2,848.1,859.5,459.8,985.9,896.2,497.1,0.0,1106.6,337.6,494.3,897.5,1140.4,456.7,845.7,919.6,844.5,1131.6,887.0,833.6,64.0,729.4,836.5,883.5,779.8,885.5,959.1,843.5,842.8,887.3,1148.8,1058.0,461.0,428.5,1126.4,879.3,423.2,454.1,432.9,865.4,721.5,428.8,818.7,829.9,489.2,964.0,452.8,954.6,620.4,822.9,948.8,834.2,482.8,364.4,722.4,478.8,504.2,855.8,606.5,823.0,795.0,1023.9,829.2,1012.4,677.6,633.5,430.5,998.5,956.1,874.1,446.0,428.1,867.3,829.3,607.0,1006.9,826.6,759.3,1083.4,850.6,500.0,413.9,929.1,463.9,1075.7,514.6,802.4,436.4,492.1,713.2,844.8,526.9,492.2,840.4,77.2,522.8,847.5,856.9,819.6,502.9,846.3,727.1,855.0,756.6,802.2,1138.9,835.3,983.4,67.8,995.7,412.2,738.0,1059.9,482.7,577.5,444.6,810.5,736.8,856.6
FQ,1056.9,996.3,764.5,17.9,402.9,112.5,291.0,479.3,828.9,1705.5,633.2,461.9,467.6,586.0,500.6,1066.7,994.3,867.7,128.0,748.0,1130.6,441.0,380.0,714.8,903.2,956.7,513.9,532.9,981.3,552.8,395.5,948.1,1112.5,0.0,949.1,1002.8,558.8,86.6,940.8,546.4,640.3,435.1,77.8,547.3,481.5,1085.5,683.9,511.5,526.5,608.5,476.1,526.0,491.4,556.9,386.6,95.0,125.7,1078.3,918.7,72.6,545.1,944.7,975.6,977.9,456.0,551.2,1046.1,534.8,525.7,1120.3,186.2,1033.5,146.8,744.1,497.9,515.7,333.5,1068.0,981.7,740.6,987.3,864.6,539.6,858.0,600.5,537.0,107.9,477.1,321.0,695.8,893.0,1047.8,307.1,523.0,464.7,913.2,958.0,512.7,477.2,822.3,315.5,563.6,777.5,162.2,516.4,1119.8,1103.1,496.0,985.4,113.0,1099.8,375.5,970.3,820.4,731.4,490.5,848.2,1077.4,488.3,1070.2,1108.0,346.8,504.9,485.4,1088.1,436.9,555.8,445.6,774.8,468.0,68.9,519.1,188.1,1055.3,186.3,973.1,584.4,97.2,1004.2,797.8,911.8,639.2,574.2,504.5
FW,238.7,192.5,307.3,988.8,784.5,1027.2,827.3,822.8,248.6,1460.4,766.1,713.5,732.8,667.7,844.1,333.8,45.1,287.4,975.6,425.4,371.4,852.1,681.8,392.2,322.9,234.3,758.5,769.9,258.9,896.3,806.6,277.1,379.6,1017.0,0.0,293.4,807.9,1050.8,255.8,748.6,830.0,754.9,1042.0,797.4,744.0,314.7,475.3,746.9,793.9,690.2,795.9,869.5,753.9,753.2,797.7,1059.2,968.4,260.1,224.7,1033.2,789.7,222.3,253.2,116.4,770.3,631.9,227.9,729.1,740.3,288.3,874.4,251.9,865.0,401.5,732.9,859.2,744.6,284.1,251.6,503.5,277.9,285.3,766.2,387.6,733.4,705.4,934.3,739.6,922.8,458.7,414.6,229.6,908.9,866.5,784.5,261.5,209.2,777.7,739.7,388.1,917.3,737.0,539.9,993.8,761.0,304.0,153.9,839.5,263.0,986.1,313.7,712.8,235.5,273.2,494.3,755.2,308.0,296.1,756.5,299.4,321.9,757.9,767.3,730.0,302.0,756.7,637.5,765.4,537.7,712.6,1049.3,745.7,893.8,322.4,906.1,193.3,648.4,970.3,281.8,358.6,225.7,720.9,647.2,767.0
GD,196.4,131.9,312.1,1008.1,803.8,1046.5,846.6,771.4,253.4,1569.3,785.4,732.8,752.1,687.0,792.7,442.7,241.7,320.4,994.9,430.2,506.6,871.4,701.1,397.0,355.9,110.3,777.8,789.2,134.9,844.9,825.9,138.6,488.5,1036.3,196.5,0.0,827.2,1070.1,69.7,775.4,849.3,774.2,1061.3,816.7,763.3,461.5,480.1,766.2,830.8,709.5,815.2,818.1,773.2,771.8,817.0,1078.5,987.7,177.2,123.6,1056.1,809.0,98.3,129.2,225.3,795.1,651.2,184.7,745.5,756.7,159.7,893.7,169.1,884.3,406.3,752.6,830.5,763.9,107.4,238.4,508.3,71.1,211.3,785.5,330.0,752.7,724.7,953.6,758.9,942.1,463.5,357.0,145.5,928.2,815.1,791.0,254.5,214.0,797.0,759.0,392.9,936.6,756.3,545.2,1013.1,780.3,159.2,350.5,948.4,139.0,1005.4,139.2,732.1,83.3,278.0,499.1,774.5,234.0,116.8,770.1,446.2,147.4,777.2,786.6,749.3,127.5,776.0,656.8,784.7,542.5,731.9,1068.6,765.0,913.1,431.3,925.4,198.1,667.7,989.6,150.0,363.4,132.6,740.2,666.5,786.3
GI,787.4,726.8,495.0,552.7,430.3,559.6,401.9,161.3,559.4,1537.2,189.8,349.8,412.1,187.9,182.6,797.2,724.8,598.2,508.0,478.5,861.1,494.8,324.5,445.3,633.7,687.2,118.2,137.2,711.8,234.8,449.3,678.6,843.0,580.9,679.6,733.3,0.0,614.7,671.3,99.3,87.6,379.6,605.9,201.0,135.2,816.0,414.4,195.9,471.0,210.4,420.6,208.0,145.1,389.5,440.4,623.1,505.7,808.8,649.2,600.7,80.0,675.2,706.1,708.4,400.5,235.8,776.6,365.4,376.6,850.8,449.0,764.0,439.6,474.6,185.6,220.4,387.3,798.5,712.2,471.1,717.8,595.1,175.4,588.5,157.1,341.7,575.8,130.8,497.4,426.3,623.5,778.3,483.5,205.0,409.2,643.7,688.5,166.4,130.9,552.8,491.9,116.5,508.0,542.2,120.7,850.3,833.6,205.2,715.9,543.7,830.3,355.5,700.8,550.9,461.9,164.4,578.7,807.9,142.0,800.7,838.5,400.6,197.7,89.7,818.6,381.4,157.7,390.1,505.3,72.3,612.8,154.9,468.4,785.8,446.8,703.6,186.3,565.1,734.7,528.3,642.3,241.1,200.2,158.2
GJ,1100.9,1040.3,808.5,74.5,446.9,156.5,335.0,523.3,872.9,1749.5,677.2,505.9,511.6,630.0,544.6,1110.7,1038.3,911.7,172.0,792.0,1174.6,485.0,424.0,758.8,947.2,1000.7,557.9,576.9,1025.3,596.8,439.5,992.1,1156.5,73.2,993.1,1046.8,602.8,0.0,984.8,590.4,684.3,479.1,8.8,591.3,525.5,1129.5,727.9,555.5,570.5,652.5,520.1,570.0,535.4,600.9,430.6,8.3,169.7,1122.3,962.7,14.0,589.1,988.7,1019.6,1021.9,500.0,595.2,1090.1,578.8,569.7,1164.3,230.2,1077.5,190.8,788.1,541.9,559.7,377.5,1112.0,1025.7,784.6,1031.3,908.6,583.6,902.0,644.5,581.0,151.9,521.1,365.0,739.8,937.0,1091.8,351.1,567.0,508.7,957.2,1002.0,556.7,521.2,866.3,359.5,607.6,821.5,206.2,560.4,1163.8,1147.1,540.0,1029.4,157.0,1143.8,419.5,1014.3,864.4,775.4,534.5,892.2,1121.4,532.3,1114.2,1152.0,390.8,548.9,529.4,1132.1,480.9,599.8,489.6,818.8,512.0,23.6,563.1,232.1,1099.3,230.3,1017.1,628.4,141.2,1048.2,841.8,955.8,683.2,618.2,548.5
GW,158.8,94.3,248.0,944.0,739.7,982.4,782.5,707.3,189.3,1517.6,721.3,668.7,688.0,622.9,728.6,391.0,190.0,256.3,930.8,366.1,454.9,807.3,637.0,332.9,291.8,72.7,713.7,725.1,97.3,780.8,761.8,76.6,436.8,972.2,144.8,78.2,763.1,1006.0,0.0,711.3,785.2,710.1,997.2,752.6,699.2,409.8,416.0,702.1,766.7,645.4,751.1,754.0,709.1,707.7,752.9,1014.4,923.6,213.2,86.0,992.0,744.9,60.7,91.6,173.6,731.0,587.1,193.8,681.4,692.6,195.7,829.6,131.5,820.2,342.2,688.5,766.4,699.8,143.4,174.3,444.2,62.7,172.0,721.4,290.7,688.6,660.6,889.5,694.8,878.0,399.4,317.7,155.5,864.1,751.0,726.9,190.4,149.9,732.9,694.9,328.8,872.5,692.2,481.1,949.0,716.2,195.2,298.8,751.2,101.4,941.3,175.2,668.0,45.7,213.9,435.0,710.4,194.7,152.8,706.0,394.5,183.4,713.1,722.5,685.2,163.5,711.9,592.7,720.6,478.4,667.8,1004.5,700.9,849.0,379.6,861.3,134.0,603.6,925.5,120.2,299.3,68.5,676.1,602.4,722.2
HE,757.2,696.6,464.8,566.0,443.6,572.9,415.2,174.6,524.4,1507.0,123.7,363.1,425.4,157.7,195.9,767.0,694.6,568.0,521.3,448.3,830.9,508.1,337.8,415.1,603.5,657.0,131.5,150.5,681.6,248.1,462.6,648.4,812.8,594.2,649.4,703.1,105.0,628.0,641.1,0.0,109.1,392.9,619.2,214.3,148.5,785.8,384.2,209.2,484.3,175.2,433.9,221.3,158.4,402.8,453.7,636.4,519.0,778.6,619.0,610.4,111.3,645.0,675.9,678.2,413.8,205.6,746.4,378.7,389.9,820.6,462.3,732.9,452.9,444.4,198.5,233.7,400.6,770.5,682.0,440.9,687.6,564.9,188.7,558.3,91.0,355.0,589.1,144.1,510.7,396.1,593.3,748.1,490.2,218.3,422.5,613.5,658.3,179.7,144.2,522.6,505.2,75.2,477.3,555.5,134.0,815.2,803.4,218.5,685.7,557.0,800.1,368.8,670.6,520.7,431.7,177.7,548.5,777.7,161.0,770.5,808.3,413.9,211.0,103.0,788.4,394.7,127.5,403.4,475.1,85.6,626.1,168.2,481.7,755.6,460.1,673.4,156.1,578.4,704.5,498.1,612.1,210.9,170.0,171.5
HG,862.6,802.0,570.2,641.4,519.0,648.3,490.6,250.0,634.6,1612.4,229.1,438.5,500.8,263.1,271.3,872.4,800.0,673.4,596.7,553.7,936.3,583.5,413.2,520.5,708.9,762.4,206.9,225.9,787.0,323.5,538.0,753.8,918.2,669.6,754.8,808.5,88.6,703.4,746.5,120.6,0.0,468.3,694.6,289.7,223.9,891.2,489.6,284.6,559.7,285.6,509.3,296.7,233.8,478.2,529.1,711.8,594.4,884.0,724.4,689.4,168.7,750.4,781.3,783.6,489.2,311.0,851.8,454.1,465.3,926.0,537.7,839.2,528.3,549.8,274.3,309.1,476.0,873.7,787.4,546.3,793.0,670.3,264.1,663.7,196.4,430.4,664.5,219.5,586.1,501.5,698.7,853.5,572.2,293.7,497.9,718.9,763.7,255.1,219.6,628.0,580.6,155.8,583.2,630.9,209.4,925.5,908.8,293.9,791.1,632.4,905.5,444.2,776.0,626.1,537.1,253.1,653.9,883.1,230.7,875.9,913.7,489.3,286.4,178.4,893.8,470.1,232.9,478.8,580.5,161.0,701.5,243.6,557.1,861.0,535.5,778.8,261.5,653.8,809.9,603.5,717.5,316.3,275.4,246.9
HT,824.3,763.7,585.2,416.9,93.3,420.9,239.0,358.3,591.5,1464.3,430.8,51.7,32.4,389.4,379.6,834.1,761.7,635.1,369.3,515.4,898.0,244.8,96.5,482.2,670.6,724.1,370.7,389.7,745.7,431.8,211.5,715.5,879.9,442.2,713.5,770.2,415.6,476.0,708.2,395.7,497.1,0.0,467.2,404.1,338.3,852.9,448.3,377.1,120.8,406.9,44.4,405.0,348.2,151.2,193.4,484.4,367.0,845.7,689.5,458.4,401.9,712.1,743.0,745.3,44.8,315.6,813.5,129.1,120.0,887.7,286.1,800.0,276.7,511.5,363.1,394.7,156.3,834.6,749.1,560.3,754.7,632.0,396.4,625.4,464.0,198.3,346.0,333.9,334.5,515.5,660.4,815.2,314.0,402.0,59.0,680.6,725.4,369.5,334.0,547.4,329.0,445.2,596.7,403.5,373.2,882.3,870.5,375.0,752.8,439.6,867.2,124.5,737.7,584.8,551.1,352.1,615.6,849.6,350.8,837.6,875.4,165.9,369.5,345.2,855.5,44.4,359.2,10.4,594.5,324.8,474.1,375.9,305.5,822.7,308.1,740.5,427.3,426.4,771.6,584.6,671.7,442.6,341.6,361.3
HU,1092.1,1031.5,799.7,80.4,438.1,147.7,326.2,514.5,864.1,1740.7,668.4,497.1,502.8,621.2,535.8,1101.9,1029.5,902.9,163.2,783.2,1165.8,476.2,415.2,750.0,938.4,991.9,549.1,568.1,1016.5,588.0,430.7,983.3,1147.7,82.0,984.3,1038.0,594.0,8.8,976.0,581.6,675.5,470.3,0.0,582.5,516.7,1120.7,719.1,546.7,561.7,643.7,511.3,561.2,526.6,592.1,421.8,17.1,160.9,1113.5,953.9,5.1,580.3,979.9,1010.8,1013.1,491.2,586.4,1081.3,570.0,560.9,1155.5,221.4,1068.7,182.0,779.3,533.1,550.9,368.7,1103.2,1016.9,775.8,1022.5,899.8,574.8,893.2,635.7,572.2,143.1,512.3,356.2,731.0,928.2,1083.0,342.3,558.2,499.9,948.4,993.2,547.9,512.4,857.5,350.7,598.8,812.7,197.4,551.6,1155.0,1138.3,531.2,1020.6,148.2,1135.0,410.7,1005.5,855.6,766.6,525.7,883.4,1112.6,523.5,1105.4,1143.2,382.0,540.1,520.6,1123.3,472.1,591.0,480.8,810.0,503.2,32.4,554.3,223.3,1090.5,221.5,1008.3,619.6,132.4,1039.4,833.0,947.0,674.4,609.4,539.7
HZ,842.0,781.4,549.6,522.1,443.6,526.1,392.9,117.8,614.0,1591.8,310.7,419.7,425.4,242.5,139.1,851.8,779.4,652.8,474.5,533.1,915.7,469.9,337.8,499.9,688.3,741.8,187.7,206.7,766.4,191.3,424.4,733.2,897.6,547.4,734.2,787.9,232.6,581.2,725.9,220.2,314.1,392.9,572.4,0.0,66.8,870.6,469.0,168.0,484.3,265.0,433.9,164.5,75.4,405.8,415.5,589.6,472.2,863.4,703.8,567.2,218.9,729.8,760.7,763.0,413.8,290.4,831.2,381.7,392.9,905.4,440.0,818.6,430.6,529.2,154.4,176.9,362.4,853.1,766.8,525.7,772.4,649.7,105.5,643.1,278.0,358.0,499.9,110.7,488.4,480.9,678.1,832.9,474.5,161.5,422.5,698.3,743.1,45.6,71.1,607.4,482.9,237.4,562.6,508.7,190.2,904.9,888.2,196.6,770.5,577.3,884.9,368.8,755.4,605.5,516.5,47.9,633.3,862.5,121.9,855.3,893.1,375.7,42.0,159.2,873.2,394.7,212.3,403.4,559.9,141.8,579.3,85.0,459.4,840.4,413.3,758.2,240.9,531.6,789.3,582.9,696.9,269.0,254.8,138.1
IB,778.5,717.9,486.1,528.8,403.5,532.8,389.5,138.2,550.5,1528.3,243.8,323.0,385.3,179.0,159.5,788.3,715.9,589.3,481.2,469.6,852.2,466.5,297.7,436.4,624.8,678.3,120.8,139.8,702.9,211.7,421.0,669.7,834.1,554.1,670.7,724.4,165.7,587.9,662.4,153.3,247.2,352.8,579.1,65.7,0.0,807.1,405.5,127.2,444.2,201.5,393.8,184.9,9.8,362.7,412.1,596.3,478.9,799.9,640.3,573.9,152.0,666.3,697.2,699.5,373.7,226.9,767.7,338.6,349.8,841.9,436.6,755.1,427.2,465.7,113.6,197.3,359.0,789.6,703.3,462.2,708.9,586.2,125.9,579.6,211.1,314.9,496.5,43.8,485.0,417.4,614.6,769.4,471.1,181.9,382.4,634.8,679.6,31.1,4.3,543.9,479.5,170.5,499.1,515.4,123.3,841.4,824.7,217.0,707.0,573.9,821.4,328.7,691.9,542.0,453.0,68.3,569.8,799.0,55.0,791.8,829.6,372.3,62.4,92.3,809.7,354.6,148.8,363.3,496.4,74.9,586.0,105.4,456.0,776.9,420.0,694.7,177.4,538.3,725.8,519.4,633.4,202.1,191.3,71.2
