from_stop,AD,AI,AO,CC,CL,CO,CX,CY,DK,DO,DV,EB,EC,ED,EG,EH,EX,FB,FD,FF,FI,FL,FQ,FT,GF,GG,GJ,GN,GO,GQ,HR,IK,IO,IQ,IT,JB,JF,JH,JL,JO,JT,JU,JW,JZ,KF,KN,KV,KW,LD,LK,LU,LX,MG,MI,MO,MQ,ND,NH,NI,NL,NO,NX,OH,OI,OR,PA,PB,PE,PR,PX,PY,PZ,QB,QK,QO,RB,RD,RH,RL,RT,RY,SE,SM,TD,TP,TW,TZ,UM,UU,UV,UX,VB,VH,VN,VV,WC,WF,WM,WR,WU,XG,XN,XO,XX,XZ,YO,ZA,ZE,ZI,ZJ,ZV,ZX
GQ,247.9,610.9,208.6,207.7,597.2,215.5,227.9,661.3,552.0,520.0,288.6,124.0,319.2,189.0,258.5,286.9,384.1,374.0,215.5,220.9,380.7,253.0,479.8,428.4,350.9,462.8,371.7,459.5,370.4,0.0,214.2,153.6,255.3,678.6,186.5,201.6,57.0,250.9,621.8,483.3,529.0,529.5,80.3,101.8,568.3,135.5,216.1,267.5,122.7,335.6,151.7,284.5,390.6,596.0,613.8,149.0,532.2,195.8,359.7,546.4,168.9,495.8,458.4,195.3,158.7,378.7,640.6,339.9,237.0,270.5,123.4,167.1,328.6,510.6,347.7,171.7,126.9,247.4,425.1,337.7,223.7,160.9,342.4,328.6,542.3,447.4,356.9,431.2,291.3,153.1,240.0,451.1,375.1,2168.1,339.1,133.0,274.5,434.0,269.7,293.9,610.0,199.2,292.1,196.9,124.6,250.3,414.8,201.8,350.1,163.1,306.9,248.6
HR,87.7,602.0,240.1,222.7,588.3,25.2,66.9,652.4,543.1,447.6,508.8,260.0,235.6,133.8,203.3,134.9,308.0,315.9,25.2,448.8,296.5,176.9,470.9,419.5,418.7,540.7,439.5,375.3,294.3,255.1,0.0,168.6,474.8,669.7,414.4,146.4,206.7,192.8,612.9,439.1,520.1,520.6,216.3,329.7,566.1,363.4,158.0,402.7,258.7,277.5,184.7,200.9,332.5,593.8,604.9,281.7,503.3,140.6,301.6,537.5,37.8,486.9,382.3,34.3,386.6,320.6,631.7,281.8,181.8,490.5,351.3,395.0,270.5,434.5,355.2,186.7,354.8,192.2,653.0,318.4,135.4,293.6,528.6,270.5,533.4,363.2,347.5,421.3,236.1,381.0,25.7,375.0,299.0,2025.1,254.9,288.4,198.4,425.1,497.6,181.5,607.8,38.2,207.6,141.7,352.5,420.8,466.7,429.7,370.2,208.5,248.8,476.5
IK,216.4,475.0,71.4,117.0,461.3,184.0,196.4,525.4,416.1,535.0,381.8,220.3,316.5,157.5,225.7,255.4,422.2,389.3,184.0,298.1,349.2,290.1,343.9,292.5,291.7,413.7,312.5,428.0,407.5,154.1,182.7,0.0,347.8,542.7,263.7,170.1,153.3,306.0,485.9,536.1,393.1,393.6,176.6,228.7,439.1,262.4,271.2,275.7,219.0,347.4,109.5,281.8,405.9,466.8,477.9,245.3,376.3,164.3,375.0,410.5,137.4,359.9,469.7,163.8,285.6,394.0,504.7,355.2,183.4,363.5,250.3,294.0,340.4,539.6,468.4,81.0,253.8,214.6,502.3,464.6,192.2,257.2,401.6,343.9,406.4,415.9,460.7,474.0,258.5,280.0,208.5,457.4,412.2,2015.4,307.6,199.2,311.6,298.1,346.9,262.4,480.8,167.7,320.8,165.4,251.5,293.8,339.7,279.0,483.4,106.9,322.2,325.8
IO,450.8,446.7,418.6,383.0,432.5,418.4,430.8,496.6,387.3,626.2,33.7,326.9,460.0,391.9,461.4,482.3,541.2,576.4,418.4,73.6,583.6,408.4,315.6,263.7,152.2,285.1,172.5,662.4,525.8,256.8,416.6,347.1,0.4,506.8,56.5,402.2,259.9,453.8,457.1,590.0,364.8,365.3,283.2,264.8,383.0,232.3,418.5,68.5,264.4,537.1,354.1,487.4,593.0,410.7,449.1,288.9,349.3,398.7,570.0,382.2,371.8,331.6,593.7,398.2,192.4,581.6,428.3,542.8,439.4,15.1,243.8,239.0,530.6,593.0,453.9,366.0,240.5,449.8,243.6,444.4,426.6,301.3,99.7,531.0,377.6,578.1,463.6,537.4,493.7,224.5,442.9,607.0,531.0,1968.6,541.5,335.9,429.9,269.8,88.2,496.3,424.7,401.6,380.9,399.8,243.5,51.3,200.2,41.5,456.3,435.5,509.8,67.6
IQ,551.3,98.0,614.3,563.3,80.9,630.3,569.1,155.7,157.3,804.5,501.8,657.3,581.6,605.1,594.6,569.9,664.9,654.4,630.3,487.1,632.3,631.5,147.1,200.3,341.8,322.5,322.9,711.1,651.2,591.1,629.0,507.9,468.5,0.0,469.5,617.7,590.3,596.8,87.6,796.0,127.9,234.4,613.6,665.7,106.2,597.9,617.0,395.9,656.0,612.5,591.4,546.9,671.0,79.2,181.0,682.3,174.8,611.9,640.1,145.3,583.7,206.8,739.2,610.1,538.6,659.1,135.0,620.3,607.7,483.7,609.9,598.2,605.5,791.4,712.1,527.3,606.6,583.5,478.4,720.6,638.5,694.2,568.3,609.0,109.5,699.0,704.4,757.1,627.4,590.6,654.8,731.9,655.9,1714.0,590.7,636.2,612.6,192.9,482.7,527.5,115.3,614.0,677.3,620.2,609.1,414.0,294.5,455.0,727.1,499.5,587.3,407.3
IT,393.2,458.1,334.2,298.6,444.4,360.8,373.2,508.5,399.2,569.1,101.0,269.3,402.1,334.3,403.8,426.4,482.4,519.3,360.8,33.3,526.0,351.3,327.0,275.6,163.6,275.2,184.4,604.8,468.7,199.7,359.5,262.7,67.7,510.8,0.0,345.1,202.3,396.2,421.0,532.4,376.2,376.7,225.6,207.7,387.0,174.7,361.4,79.9,206.8,480.0,297.0,429.8,535.9,414.7,461.0,231.8,344.6,341.1,512.4,393.6,314.2,343.0,536.6,340.6,135.3,524.0,431.8,485.2,382.3,82.9,186.7,181.4,473.0,535.9,396.8,282.1,183.4,392.7,237.5,386.8,369.0,243.7,167.5,473.9,389.5,521.0,406.0,480.3,436.6,167.4,385.3,549.4,473.4,1980.5,484.4,278.3,385.7,281.2,82.1,439.2,428.7,344.5,323.3,342.2,185.9,62.7,227.2,14.2,399.2,341.0,452.2,61.0
JB,160.1,593.4,231.5,194.6,579.7,127.7,141.8,643.8,534.5,478.7,500.2,268.9,260.2,22.6,118.9,192.1,365.9,333.0,127.7,396.4,292.9,233.8,462.3,416.8,410.1,532.1,430.9,371.7,351.2,202.7,160.5,160.0,466.2,661.1,362.0,0.0,201.9,249.7,604.3,479.8,511.5,512.0,225.2,277.3,557.5,311.0,214.9,394.1,267.6,291.1,176.1,225.5,349.6,585.2,596.3,338.6,496.0,13.0,318.7,528.9,125.1,478.3,413.4,139.6,334.2,337.7,623.1,298.9,98.5,481.9,298.9,342.6,284.1,483.3,412.1,178.1,302.4,107.8,600.4,375.3,179.9,350.5,520.0,287.6,524.8,359.6,404.4,417.7,151.7,328.6,148.8,401.1,355.9,2083.8,251.3,247.8,268.2,416.5,445.2,206.1,599.2,136.0,264.5,13.1,300.1,412.2,458.1,377.3,427.1,124.1,265.9,424.1
JF,210.5,549.6,171.2,170.3,535.9,178.1,190.5,600.0,490.7,466.6,309.7,66.9,262.1,151.6,221.1,249.5,327.0,316.9,178.1,242.0,343.3,195.9,418.5,367.1,366.3,483.9,387.1,422.1,313.3,48.3,176.8,116.2,275.9,617.3,207.6,164.2,0.0,193.8,560.5,458.1,467.7,468.2,23.2,122.9,513.7,156.6,159.0,288.6,65.6,278.5,114.3,227.4,333.5,541.4,552.5,91.9,450.9,158.4,302.6,485.1,131.5,434.5,401.3,157.9,179.8,321.6,579.3,282.8,199.6,291.6,144.5,188.2,271.5,453.5,374.2,134.3,148.0,210.0,446.2,333.7,186.3,103.8,363.5,271.5,481.0,386.7,366.5,444.8,253.9,174.2,202.6,394.0,318.0,2090.0,301.7,81.6,217.4,372.7,290.8,256.5,555.4,161.8,235.0,159.5,145.7,271.4,435.9,222.9,389.2,125.7,249.8,269.7
JH,211.6,784.0,422.1,385.2,770.3,217.3,190.8,834.4,725.1,325.9,570.9,314.4,83.9,271.8,355.5,165.3,186.3,138.6,217.3,503.2,233.4,117.9,652.9,601.5,600.7,722.7,621.5,293.2,172.6,309.5,231.2,350.6,537.1,678.0,468.8,291.6,261.1,0.0,794.9,317.4,702.1,702.6,270.7,384.1,748.1,417.8,103.3,549.8,313.1,100.2,375.5,49.1,155.2,775.8,786.9,336.1,685.3,278.6,128.8,719.5,235.8,668.9,260.6,208.6,441.0,143.3,813.7,104.5,334.0,552.8,405.7,449.4,93.2,312.8,233.5,368.7,409.2,344.4,707.4,258.5,333.4,348.0,696.2,93.2,715.4,246.0,225.8,304.1,388.3,435.4,238.4,253.3,177.3,1960.3,208.1,342.8,99.0,607.1,552.0,84.5,789.8,205.0,156.3,293.9,406.9,532.6,648.7,484.1,248.5,360.7,71.5,530.9
JL,582.2,10.3,562.4,517.2,96.0,584.2,596.6,68.0,69.6,835.4,449.9,650.3,612.5,593.9,602.9,600.8,695.8,685.3,584.2,435.2,663.2,662.4,156.5,167.4,289.9,270.6,271.0,742.0,682.1,584.1,582.9,538.4,416.1,145.5,417.6,578.4,583.3,627.7,0.0,826.9,132.3,243.8,606.6,658.7,54.3,584.1,647.9,344.0,649.0,643.4,539.5,577.8,701.9,49.4,97.7,675.3,122.9,584.2,671.0,149.7,537.6,216.2,770.1,564.0,524.8,690.0,47.3,651.2,560.6,431.8,596.1,584.4,636.4,822.3,743.0,481.2,592.8,591.8,426.5,805.5,592.4,687.2,516.4,639.9,71.2,729.9,735.3,788.0,635.7,576.8,608.7,762.8,686.8,1744.9,621.6,629.2,643.5,173.0,430.8,558.4,45.4,567.9,708.2,568.3,595.3,362.1,242.6,403.1,758.0,447.6,618.2,355.4
JO,335.7,942.2,580.3,562.9,928.5,395.2,353.5,992.6,883.3,192.2,722.1,470.8,182.1,430.0,513.7,354.3,177.2,281.7,395.2,582.6,201.0,254.1,811.1,759.7,712.6,824.5,733.4,229.5,166.1,466.2,408.4,508.8,616.5,867.0,548.2,442.6,428.7,282.7,890.4,0.0,860.3,860.8,438.3,463.5,872.4,497.2,303.6,629.2,402.0,200.7,543.1,217.5,298.3,900.1,945.1,427.0,843.5,436.8,226.0,877.7,413.0,827.1,190.9,385.8,520.4,242.8,917.2,247.6,492.2,713.9,485.1,528.8,207.0,3.5,120.6,526.9,488.6,502.6,786.8,155.0,510.6,438.9,751.7,213.9,873.6,135.6,112.9,103.4,546.5,514.8,434.2,186.9,161.4,2149.3,243.5,510.4,235.2,765.3,631.4,273.5,914.1,382.2,236.8,452.1,486.3,612.0,776.5,563.5,135.6,518.9,278.5,610.3
JT,559.6,121.7,476.3,460.2,108.0,527.2,539.6,172.1,94.9,878.2,385.4,554.2,659.7,500.7,570.2,598.6,765.4,732.5,527.2,389.9,692.4,633.3,44.0,97.2,295.5,231.6,232.0,771.2,750.7,488.0,525.9,404.8,352.1,207.4,372.3,513.3,487.2,649.2,132.6,879.3,0.0,131.3,510.5,562.6,179.3,494.8,614.4,279.5,552.9,690.6,481.4,625.0,749.1,152.3,124.6,579.2,247.9,507.5,718.2,17.3,480.6,103.7,812.9,507.0,435.5,737.2,151.4,698.4,548.7,367.3,506.8,495.1,683.6,882.8,811.6,424.2,503.5,559.1,387.5,750.3,535.4,591.1,451.9,687.1,53.1,759.1,803.9,817.2,603.0,487.5,551.7,800.6,755.4,1815.6,650.8,533.1,654.8,89.8,366.3,605.6,188.4,510.9,664.0,508.6,506.0,297.6,203.6,357.8,826.6,501.1,665.4,316.4
JU,560.2,233.5,476.9,460.8,219.8,527.8,540.2,283.9,174.6,878.8,386.0,554.8,660.3,501.3,570.8,599.2,766.0,733.1,527.8,390.5,693.0,633.9,95.3,97.8,296.1,232.2,232.6,771.8,751.3,488.6,526.5,405.4,352.2,301.2,372.9,513.9,487.8,649.8,244.4,879.9,151.6,0.0,511.1,563.2,291.1,495.4,615.0,280.1,553.5,691.2,482.0,625.6,749.7,264.1,236.4,579.8,214.8,508.1,718.8,169.0,481.2,45.7,813.5,507.6,436.1,737.8,263.2,699.0,549.3,367.9,507.4,495.7,684.2,883.4,812.2,424.8,504.1,559.7,388.1,750.9,536.0,591.7,452.5,687.7,164.9,759.7,804.5,817.8,603.6,488.1,552.3,801.2,756.0,1909.4,651.4,533.7,655.4,90.4,366.9,606.2,300.2,511.5,664.6,509.2,506.6,298.2,204.2,358.4,827.2,501.7,666.0,317.0
JW,204.0,582.9,204.5,184.1,569.2,211.4,183.2,633.3,524.0,466.2,343.0,43.6,261.8,184.9,254.4,251.2,326.6,316.5,211.4,275.3,376.6,195.5,451.8,400.4,399.6,517.2,420.4,455.4,312.9,81.6,210.1,149.5,309.7,650.6,240.9,195.7,33.2,193.4,593.8,457.7,501.0,501.5,0.0,156.2,547.0,189.9,158.6,321.9,42.3,278.1,147.6,227.0,333.1,574.7,585.8,68.6,484.2,191.7,302.2,518.4,164.8,467.8,400.9,191.2,213.1,321.2,612.6,282.4,232.9,324.9,177.8,221.5,271.1,453.1,373.8,167.6,181.3,243.3,479.3,322.3,219.6,80.5,396.8,271.1,514.3,386.3,366.1,444.4,287.2,207.5,235.9,393.6,317.6,2123.3,335.0,114.9,217.0,406.0,324.1,289.8,588.7,195.1,234.6,192.8,179.0,304.7,469.2,256.2,388.8,159.0,249.4,303.0
JZ,441.6,585.2,358.3,342.2,571.5,409.2,421.6,635.6,526.3,577.5,262.9,277.7,541.7,382.7,452.2,480.6,490.8,614.5,409.2,195.2,574.4,359.7,454.1,402.7,325.2,437.1,346.0,653.2,477.1,370.0,407.9,286.8,229.6,652.9,160.8,395.3,210.7,404.6,596.1,540.8,503.3,503.8,234.0,0.0,542.6,53.1,369.8,241.8,215.2,572.6,363.4,507.0,631.1,570.3,588.1,240.2,506.5,389.5,600.2,520.7,362.6,470.1,545.0,389.0,133.0,619.2,614.9,580.4,430.7,244.8,21.5,114.8,565.6,544.3,405.2,306.2,44.5,441.1,399.4,395.2,417.4,252.1,316.7,569.1,516.6,641.1,414.4,488.7,485.0,51.7,433.7,682.6,481.8,2142.4,532.8,415.1,381.2,408.3,244.0,487.6,584.3,392.9,331.7,390.6,42.2,224.6,389.1,176.1,407.6,365.1,547.4,222.9
KF,578.1,88.9,523.9,459.2,174.6,545.7,558.1,74.3,148.2,849.5,411.4,611.8,626.6,555.4,564.4,609.1,709.9,699.4,545.7,396.7,710.9,651.8,180.3,128.9,251.4,232.1,232.5,789.7,696.2,545.6,544.4,499.9,377.6,159.6,379.1,532.7,544.8,641.8,87.1,841.0,210.9,230.0,568.1,620.2,0.0,545.6,632.9,305.5,610.5,657.5,501.0,591.9,716.0,63.5,176.3,636.8,84.4,545.7,685.1,228.3,499.1,196.3,784.2,525.5,486.3,704.1,44.7,665.3,521.0,393.3,557.6,545.9,650.5,836.4,757.1,442.7,554.3,553.3,377.8,767.0,553.9,648.7,477.9,654.0,149.8,777.6,749.4,835.7,597.2,538.3,570.2,776.9,700.9,1759.0,669.3,590.7,657.6,134.5,392.3,572.5,77.5,529.4,682.5,529.8,556.8,323.6,204.1,364.6,772.1,409.1,632.3,316.9
KN,449.2,592.8,365.9,349.8,579.1,416.8,429.2,643.2,533.9,609.6,298.4,309.8,442.6,390.3,459.8,488.2,522.9,559.8,416.8,230.7,582.0,391.8,461.7,410.3,332.8,465.7,353.6,660.8,509.2,240.2,415.5,294.4,264.6,660.5,196.3,402.9,242.8,436.7,603.7,572.9,510.9,511.4,266.1,64.3,550.2,0.0,401.9,277.3,247.3,520.5,371.0,514.6,576.4,577.9,595.7,272.3,494.1,397.1,545.5,528.3,370.2,477.7,577.1,396.6,134.4,564.5,622.5,525.7,438.3,280.3,43.3,80.4,513.5,576.4,437.3,313.8,8.6,448.7,434.9,427.3,425.0,284.2,352.2,514.4,524.2,648.7,446.5,520.8,492.6,24.0,441.3,589.9,513.9,2153.5,540.4,422.7,413.3,415.9,279.5,495.2,591.9,400.5,363.8,398.2,11.1,260.1,424.6,211.6,439.7,372.7,492.7,258.4
KV,128.3,700.7,330.3,301.9,687.0,134.0,107.5,751.1,641.8,333.9,468.8,212.3,128.9,188.5,272.2,168.5,194.3,186.0,134.0,401.1,272.7,63.2,569.6,518.2,517.4,639.4,538.2,301.2,180.6,207.4,147.9,267.3,435.5,768.4,366.7,208.3,159.0,62.9,711.6,325.4,618.8,619.3,168.6,282.0,664.8,315.7,0.0,447.7,211.0,147.6,273.4,96.5,202.6,692.5,703.6,234.0,602.0,195.3,173.8,636.2,152.5,585.6,268.6,125.3,338.9,190.7,730.4,151.9,250.7,450.7,303.6,347.3,140.6,320.8,241.5,285.4,307.1,261.1,605.3,248.6,250.1,245.9,522.6,140.6,632.1,254.0,233.8,312.1,305.0,333.3,155.1,261.3,185.3,2007.7,294.6,240.7,97.6,523.8,449.9,131.9,706.5,121.7,75.9,210.6,304.8,430.5,595.0,382.0,256.5,277.4,118.9,428.8
KW,432.3,377.1,349.0,332.9,363.4,399.9,412.3,427.5,318.2,661.9,104.8,362.1,532.4,373.4,442.9,471.3,638.1,605.2,399.9,109.3,565.1,506.0,246.0,194.6,82.6,215.5,103.4,643.9,623.4,360.7,398.6,277.5,71.5,437.7,91.7,386.0,295.1,521.9,388.0,625.2,295.2,295.7,318.4,326.5,313.9,293.5,487.1,0.0,299.6,563.3,354.1,497.7,621.8,341.6,380.0,324.6,278.4,380.2,590.9,312.6,353.3,262.0,685.6,379.7,234.2,609.9,358.7,571.1,421.4,86.7,305.5,293.8,556.3,628.7,489.6,296.9,302.2,431.8,259.3,479.6,408.1,336.5,171.3,559.8,308.5,631.8,498.8,573.1,475.7,286.2,424.4,673.3,628.1,1899.5,523.5,405.8,527.5,200.2,103.9,478.3,355.6,383.6,416.1,381.3,304.7,17.0,130.6,77.2,492.0,365.9,538.1,82.8
LD,246.4,625.3,246.9,246.0,611.6,253.8,225.6,675.7,566.4,462.2,328.2,68.7,304.1,227.3,296.8,293.6,369.0,358.9,253.8,260.5,419.0,237.9,494.2,442.8,390.5,502.4,411.3,497.8,355.3,124.0,252.5,191.9,294.9,693.0,226.1,239.9,75.6,235.8,636.2,500.1,543.4,543.9,42.3,141.4,589.4,175.1,201.0,307.1,0.0,320.5,190.0,269.4,375.5,617.1,628.2,26.2,526.6,234.1,344.6,560.8,207.2,510.2,443.3,233.6,198.3,363.6,655.0,324.8,275.3,310.1,163.0,206.7,313.5,495.5,289.9,210.0,166.5,285.7,464.7,279.9,262.0,38.1,382.0,313.5,556.7,428.7,299.1,373.4,329.6,192.7,278.3,436.0,360.0,2165.7,377.4,157.3,259.4,448.4,309.3,332.2,631.1,237.5,277.0,235.2,164.2,289.9,454.4,241.4,292.3,201.4,291.8,288.2
LK,230.5,802.9,432.5,404.1,789.2,236.2,209.7,853.3,744.0,210.4,655.7,314.5,54.4,290.7,374.4,204.4,72.0,123.9,236.2,503.3,149.2,86.2,671.8,626.3,619.6,741.6,640.4,177.7,76.3,309.6,250.1,369.5,537.2,717.1,468.9,310.5,261.2,116.7,813.8,201.9,721.0,721.5,270.8,384.2,722.5,417.9,140.7,549.9,313.2,0.0,375.6,67.6,140.5,750.2,805.8,336.2,704.2,297.5,109.6,738.4,254.7,687.8,145.1,227.5,441.1,128.6,832.6,89.8,352.9,552.9,405.8,449.5,6.3,197.3,118.0,387.6,409.3,363.3,707.5,152.4,352.3,348.1,685.3,78.5,734.3,130.5,110.3,188.6,407.2,435.5,257.3,137.8,81.0,1999.4,247.2,342.9,67.3,626.0,552.1,123.6,764.2,223.9,140.1,312.8,407.0,532.7,697.2,484.2,133.0,379.6,56.8,531.0
LU,243.9,563.0,146.6,164.2,549.3,211.5,223.9,613.4,504.1,562.5,415.7,220.5,344.0,210.9,219.9,282.9,448.5,416.8,211.5,348.0,376.7,317.6,431.9,386.4,379.7,501.7,400.5,455.5,435.0,154.3,210.2,122.6,382.4,630.7,313.6,188.2,153.5,347.4,573.9,563.6,481.1,481.6,176.8,228.9,527.1,262.6,312.6,394.6,219.2,374.9,0.0,309.3,433.4,554.8,565.9,245.5,464.3,201.2,402.5,498.5,164.9,447.9,497.2,191.3,285.8,421.5,592.7,382.7,176.5,397.6,250.5,294.2,367.9,567.1,495.9,147.7,254.0,208.8,552.2,464.8,219.7,257.4,469.5,371.4,494.4,443.4,488.2,501.5,252.7,280.2,236.0,484.9,439.7,2103.4,335.1,199.4,352.0,386.1,396.8,289.9,568.8,195.2,348.3,185.3,251.7,377.4,427.7,328.9,510.9,101.1,349.7,375.7
LX,118.1,724.6,362.7,345.3,710.9,203.7,177.2,775.0,665.7,257.5,557.3,300.8,34.6,212.4,296.1,136.7,117.9,128.0,203.7,489.6,204.8,84.5,593.5,542.1,541.3,663.3,562.1,283.6,104.2,295.9,217.6,291.2,523.5,649.4,455.2,225.0,247.5,65.1,672.8,249.0,642.7,643.2,257.1,370.5,654.8,404.2,89.7,536.2,299.5,89.6,361.9,0.0,144.6,682.5,727.5,322.5,625.9,219.2,113.7,660.1,222.2,609.5,192.2,195.0,427.4,132.7,699.6,93.9,274.6,539.2,392.1,435.8,82.6,244.4,165.1,309.3,395.6,285.0,693.8,173.6,319.8,334.4,682.6,82.6,656.0,177.6,157.4,235.7,328.9,421.8,224.8,184.9,108.9,1931.7,179.5,329.2,65.6,547.7,538.4,55.9,696.5,191.4,130.3,234.5,393.3,519.0,589.3,470.5,180.1,301.3,60.9,517.3
MG,278.3,850.7,480.3,471.4,837.0,284.0,257.5,901.1,791.8,315.2,618.8,362.3,186.3,338.5,422.2,252.6,175.6,27.8,284.0,551.1,320.7,218.2,719.6,668.2,667.4,789.4,688.2,282.5,208.3,357.4,297.9,417.3,585.0,765.3,516.7,351.1,309.0,206.7,861.6,306.7,768.8,769.3,318.6,432.0,770.7,465.7,213.1,597.7,361.0,153.3,423.4,186.4,0.0,798.4,853.6,384.0,752.0,345.3,89.5,786.2,302.5,735.6,249.9,275.3,488.9,90.3,880.4,51.2,400.7,600.7,453.6,497.3,146.3,302.1,222.8,435.4,457.1,411.1,755.3,257.2,400.1,395.9,672.6,94.1,782.1,235.3,215.1,293.4,455.0,483.3,305.1,242.6,207.4,2047.6,295.4,390.7,199.3,673.8,599.9,171.8,812.4,271.7,272.1,360.6,454.8,580.5,745.0,532.0,237.8,427.4,85.7,578.8
MI,549.0,55.0,571.3,563.9,47.2,593.7,566.8,112.7,114.3,802.2,486.9,657.9,579.3,602.8,592.3,567.6,662.6,652.1,593.7,444.1,630.0,629.2,161.1,176.3,298.8,279.5,279.9,708.8,648.9,591.7,621.7,547.3,453.6,112.3,426.5,615.4,590.9,594.5,44.6,793.7,136.9,248.4,614.2,613.5,63.2,580.5,614.7,381.0,656.0,610.2,548.4,544.6,668.7,0.0,142.4,681.0,131.8,609.6,637.8,154.3,626.3,220.8,736.9,599.1,521.2,656.8,92.0,618.0,605.4,468.8,592.5,580.8,603.2,789.1,709.8,527.9,589.2,581.2,435.4,718.3,639.1,692.9,553.4,606.7,89.5,696.7,702.1,754.8,625.1,573.2,614.8,729.6,653.6,1711.7,588.4,636.8,610.3,181.9,467.8,525.2,87.2,595.5,675.0,624.9,591.7,399.1,251.5,412.0,724.8,456.5,585.0,364.3
MO,672.7,75.4,648.8,573.3,96.6,640.3,652.7,125.8,88.2,991.3,498.5,667.3,742.0,613.8,689.3,711.7,825.3,814.8,640.3,503.0,805.5,746.4,157.1,210.3,376.3,357.0,357.4,884.3,811.6,601.1,639.0,517.9,464.7,231.9,485.4,626.4,600.3,757.2,86.3,956.4,132.9,244.4,623.6,675.7,140.7,607.9,727.5,392.6,666.0,772.9,594.5,707.3,831.4,149.1,0.0,692.3,209.3,620.6,800.5,150.3,593.7,216.8,926.0,620.1,548.6,819.5,105.1,780.7,647.0,480.4,619.9,608.2,765.9,951.8,872.5,537.3,616.6,678.2,512.9,863.4,648.5,704.2,565.0,769.4,71.8,872.2,864.8,930.3,722.1,600.6,664.8,892.3,816.3,1908.7,763.9,646.2,773.0,202.9,479.4,687.9,131.8,624.0,777.1,621.7,619.1,410.7,329.0,470.9,887.5,534.0,747.7,441.8
MQ,285.7,664.6,286.2,285.3,650.9,293.1,264.9,715.0,605.7,480.2,346.2,108.0,343.4,266.6,336.1,332.9,408.3,398.2,293.1,278.5,458.3,277.2,533.5,482.1,408.5,520.4,429.3,537.1,394.6,162.1,291.8,231.2,312.4,732.3,244.1,279.2,114.9,275.1,675.5,443.5,582.7,583.2,81.6,159.4,628.7,193.1,240.3,325.1,39.2,359.8,229.3,308.7,414.8,656.4,667.5,0.0,565.9,273.4,383.9,600.1,246.5,549.5,482.6,272.9,216.3,402.9,694.3,364.1,314.6,328.1,181.0,224.7,352.8,447.0,307.9,249.3,184.5,325.0,482.7,297.9,301.3,11.9,400.0,352.8,596.0,468.0,317.1,391.4,368.9,210.7,317.6,475.3,399.3,2205.0,416.7,196.6,298.7,487.7,327.3,371.5,670.4,276.8,316.3,274.5,182.2,307.9,472.4,259.4,310.3,240.7,331.1,306.2
ND,492.6,225.9,409.3,373.4,212.2,460.2,472.6,276.3,167.0,811.2,318.4,487.2,592.6,433.7,502.9,524.6,697.2,665.5,459.9,311.2,625.4,566.3,94.8,49.3,165.9,146.6,146.7,704.2,683.7,421.0,458.9,337.8,284.3,293.6,293.2,444.2,420.2,581.9,236.8,812.3,144.0,144.5,443.5,495.6,283.2,427.8,547.1,212.5,485.9,623.3,414.1,558.0,682.1,256.5,228.8,512.2,0.0,440.5,655.5,161.4,413.6,110.8,745.9,440.0,368.5,669.9,255.3,631.1,482.8,300.3,439.8,427.8,616.6,815.5,691.5,357.2,436.5,492.1,292.3,681.5,468.1,524.1,372.6,619.8,157.3,691.8,700.7,749.9,536.0,420.5,484.7,733.6,688.4,1901.8,583.8,466.1,600.7,49.0,299.3,538.6,292.6,443.9,597.0,441.6,439.0,230.6,118.3,279.1,759.3,451.9,598.4,231.4
NH,147.1,580.4,218.5,181.6,566.7,114.7,128.8,630.8,521.5,465.7,487.2,255.9,247.1,9.6,131.9,186.1,352.9,320.0,114.7,383.4,279.9,220.8,449.3,403.8,397.1,519.1,417.9,358.7,338.2,189.7,147.5,147.0,453.7,648.1,349.0,13.0,188.9,236.7,591.3,466.8,498.5,499.0,212.2,264.3,544.5,298.0,201.9,381.1,254.6,278.1,163.1,212.5,336.6,572.2,583.3,325.6,481.7,0.0,305.7,515.9,112.1,465.3,400.4,126.6,321.2,324.7,610.1,285.9,110.4,468.9,285.9,329.6,271.1,470.3,399.1,165.1,289.4,120.8,587.4,362.3,166.9,337.5,507.0,274.6,511.8,346.6,391.4,404.7,164.7,315.6,135.8,388.1,342.9,2120.8,238.3,234.8,242.3,403.5,432.2,193.1,586.2,123.0,251.5,26.1,287.1,399.2,445.1,364.3,414.1,137.1,252.9,411.1
NI,256.5,828.9,458.5,422.7,815.2,262.2,235.7,879.3,770.0,252.0,597.0,340.5,138.0,321.3,393.0,225.5,112.4,64.9,256.9,529.3,205.8,155.0,697.8,646.4,645.6,767.6,671.2,234.1,160.1,335.6,276.1,395.5,555.8,743.5,487.5,329.1,287.2,177.5,839.8,243.5,747.0,747.5,289.4,410.2,741.5,443.9,196.1,575.9,339.2,105.5,394.2,136.4,81.5,776.6,831.8,362.2,730.2,323.5,0.0,764.4,280.7,713.8,186.7,253.5,467.1,32.9,851.2,34.2,378.9,578.9,431.8,468.1,97.0,231.5,174.4,413.6,435.3,389.3,738.1,194.0,370.9,374.1,643.4,52.9,760.3,164.7,151.9,224.9,433.2,461.5,283.3,179.4,144.2,2025.8,273.6,368.9,136.1,652.0,578.1,150.0,790.6,242.5,208.9,331.4,433.0,558.7,715.8,510.2,167.2,398.2,63.9,557.0
