from_stop,AF,AH,AO,AT,BA,BM,BP,BQ,BS,BU,BX,CD,CM,CX,DH,DT,DV,EB,EH,EL,EO,EU,FI,FK,FL,FP,FQ,FS,FX,GK,GU,HA,HD,HH,HN,HP,IE,IK,IN,IU,IZ,JD,JL,JP,JY,KA,KB,KH,KJ,KR,KV,KX,LA,LE,LI,LQ,LR,LS,MQ,MS,MU,MZ,NA,NC,NI,NL,OG,OJ,OQ,OS,PL,PV,PW,QE,QJ,QP,QY,RF,RH,RO,RW,RX,RZ,SA,SB,SD,SK,SM,SP,TC,TF,TQ,TW,UD,UQ,UZ,VA,VO,VT,VU,VV,VY,VZ,WI,WJ,WP,WR,WV,WY,XA,XG,XO,XU,YB,YC,YL,YR,YV,ZA,ZB,ZF,ZG,ZM,ZN,ZV,ZW
FP,186.5,560.1,239.1,642.0,658.7,515.7,645.2,359.7,705.1,483.3,271.7,256.5,665.0,107.6,453.3,707.9,690.8,700.6,687.8,294.7,165.2,726.3,228.7,646.3,474.5,0.0,2220.4,203.5,672.6,655.4,651.0,253.1,96.9,391.6,188.3,442.2,222.5,387.2,696.6,676.6,711.0,673.6,362.9,643.7,688.1,720.2,709.7,750.1,605.5,695.5,438.7,275.7,627.4,770.0,785.8,306.7,413.6,281.8,763.9,685.7,653.5,431.4,239.2,514.7,190.1,291.9,657.2,302.0,435.7,686.8,113.4,606.9,354.1,193.2,563.7,515.2,738.9,380.0,159.1,821.1,683.3,763.3,150.9,698.8,668.0,236.9,263.5,679.5,238.1,646.8,417.0,693.2,53.7,681.2,695.6,758.4,499.1,276.8,682.6,521.0,649.8,677.9,645.7,232.0,277.5,623.2,654.2,275.5,225.3,319.4,226.6,705.3,443.8,297.9,228.1,750.0,498.1,276.5,79.9,719.3,215.7,635.5,777.6,706.7,429.3,696.3
FQ,1956.1,2023.8,1937.6,2165.6,2122.4,1979.4,2104.5,1916.0,2168.8,1947.0,2069.5,1812.4,2128.7,2004.2,1912.6,2171.6,2154.5,2164.3,2151.5,1911.3,1963.0,2169.0,2026.5,2140.5,1938.2,2065.6,0.0,2001.3,2210.3,2119.1,2114.7,2051.1,2091.7,1855.3,1986.1,1905.9,2020.3,1850.9,2159.4,2140.3,2201.4,2137.3,1826.6,2123.6,2178.9,2183.9,2173.4,2183.0,2069.2,2159.2,1902.4,1922.7,2091.1,2212.7,2160.2,2104.5,1877.3,1838.1,2138.3,2176.5,2133.4,1895.1,2001.3,1978.4,1952.6,1990.4,2120.9,1863.8,1895.0,2150.5,2059.8,2070.6,1859.2,1959.6,2027.4,1978.9,2094.2,1843.7,1983.9,2176.4,2198.8,2206.0,2010.5,2161.6,2131.7,1878.6,2061.3,2143.2,1916.6,2160.8,1880.7,2166.5,2026.2,2144.9,2159.3,2113.7,1962.8,1853.1,2146.3,1984.7,2140.6,2141.6,2109.4,1937.3,1894.1,2086.9,2117.9,1831.8,1987.4,1824.8,1925.1,2155.9,1907.5,1854.2,2031.2,2111.1,1961.8,1893.1,2074.7,2182.1,1952.5,2099.2,2132.9,2149.4,1893.0,2160.0
FS,97.3,464.7,131.9,567.1,563.3,420.3,570.3,284.8,609.7,387.9,68.1,181.6,569.6,119.2,378.4,612.5,595.4,605.2,592.4,245.8,49.7,630.9,29.3,581.4,379.1,225.2,2183.2,0.0,597.7,560.0,555.6,53.7,251.3,296.2,25.5,346.8,18.9,291.8,601.2,581.2,615.6,578.2,267.5,564.5,592.7,624.8,614.3,654.7,510.1,600.1,343.3,168.5,532.0,674.6,690.4,103.1,318.2,206.9,668.5,590.3,574.3,336.0,56.1,419.3,100.9,184.7,561.8,227.1,360.8,591.4,160.4,511.5,258.7,86.0,468.3,419.8,643.5,284.6,69.9,725.7,608.4,667.9,125.5,603.4,572.6,129.7,82.1,584.1,130.9,601.7,321.6,597.8,185.8,585.8,600.2,663.0,403.7,169.6,587.2,425.6,554.4,582.5,550.3,124.8,228.6,527.8,558.8,200.6,101.3,244.5,119.4,609.9,348.4,223.0,138.9,654.6,402.7,227.6,234.3,623.9,108.5,540.1,682.2,611.3,333.9,600.9
FX,528.1,358.7,534.8,88.2,192.6,294.3,77.2,513.2,220.7,329.2,666.7,409.6,165.5,601.4,386.9,141.9,129.7,216.2,52.7,508.5,560.2,331.2,623.7,257.3,292.0,662.8,2284.7,598.5,0.0,260.3,261.3,623.1,688.9,389.2,583.3,328.3,617.5,448.1,301.5,192.2,315.9,329.0,423.8,254.7,293.0,200.9,225.3,284.0,237.8,300.4,439.4,519.9,194.7,374.9,301.4,701.7,474.5,435.3,279.5,290.6,264.5,360.4,573.3,313.3,524.6,587.6,276.9,461.0,369.3,291.7,657.0,263.9,474.4,556.8,362.3,361.1,336.7,440.9,555.9,398.0,39.3,368.2,607.7,303.7,264.0,475.8,658.5,151.0,513.8,83.4,439.0,208.8,623.4,135.3,43.3,279.8,345.0,450.3,287.5,482.4,254.7,152.9,246.1,534.5,491.3,244.8,169.8,429.0,559.4,422.0,522.3,220.9,326.0,451.4,603.2,265.6,418.8,490.3,671.9,324.2,549.7,263.7,299.0,311.6,437.9,211.9
GK,492.3,252.0,517.0,220.1,176.9,193.3,290.0,495.4,213.3,222.5,652.0,391.7,183.2,572.0,369.9,226.1,209.0,218.8,206.0,490.7,548.8,166.0,583.5,177.0,185.3,678.0,2277.8,583.8,264.8,0.0,151.2,587.3,704.1,282.5,571.9,221.6,602.8,317.9,134.5,194.8,132.7,201.0,367.8,160.1,109.8,238.4,227.9,251.7,105.7,40.0,332.7,502.1,145.6,209.7,244.6,687.0,360.6,415.6,222.7,107.4,169.9,423.3,537.5,206.6,488.8,575.1,157.4,443.2,388.2,31.3,613.2,157.2,464.9,556.8,255.6,254.4,178.6,384.9,520.1,260.8,253.3,203.0,578.3,130.7,191.4,458.0,653.8,197.2,496.0,215.3,332.3,250.9,638.6,199.4,213.8,198.1,238.3,432.5,25.6,375.7,71.5,196.1,145.9,516.7,473.5,123.4,172.4,411.2,523.6,403.8,504.5,240.3,219.3,431.7,567.4,195.5,312.1,472.5,687.1,159.0,531.9,139.0,217.3,146.4,331.2,233.2
GU,493.8,253.5,541.9,201.6,158.4,189.1,274.9,520.3,204.8,224.0,653.5,416.7,164.7,573.5,371.4,207.6,190.5,200.3,187.5,515.6,550.3,208.0,585.0,128.0,186.8,669.9,2291.8,585.3,246.3,137.1,0.0,588.8,696.0,284.0,573.4,223.1,604.3,319.4,178.3,176.3,192.7,152.0,369.3,27.0,169.8,219.9,209.4,249.8,67.4,177.2,334.2,527.0,72.0,251.7,286.6,688.5,362.1,442.4,264.7,167.4,68.4,367.5,539.0,208.1,490.3,594.7,108.4,468.1,376.4,168.5,614.7,163.6,466.4,558.3,257.1,255.9,220.6,386.4,521.6,302.8,234.8,245.0,579.8,180.5,142.4,482.9,648.6,179.2,520.9,196.8,333.8,192.9,630.5,128.3,195.3,240.1,249.2,457.4,164.3,377.2,131.5,177.6,90.1,541.6,498.4,74.4,153.9,436.1,525.1,429.1,529.4,205.0,220.8,458.5,568.9,237.5,313.6,497.4,679.0,201.0,556.8,108.2,259.3,188.4,332.7,196.0
HA,114.5,460.6,173.9,602.4,559.2,416.2,576.8,326.8,605.6,383.8,134.3,223.6,565.5,161.2,384.9,608.4,591.3,601.1,588.3,287.8,91.7,626.8,65.8,577.3,375.0,267.2,2189.7,66.1,647.1,555.9,551.5,0.0,293.3,292.1,67.5,342.7,85.1,287.7,597.1,577.1,611.5,574.1,263.4,560.4,588.6,620.7,610.2,650.6,506.0,596.0,339.2,210.5,527.9,670.5,686.3,169.3,314.1,248.9,664.4,586.2,570.2,331.9,52.0,415.2,111.0,226.7,557.7,269.1,367.3,587.3,202.4,507.4,254.6,128.0,464.2,415.7,639.4,280.5,111.9,721.6,635.6,663.8,167.5,599.3,568.5,171.7,144.1,580.0,172.9,597.6,317.5,593.7,227.8,581.7,596.1,658.9,409.0,211.6,583.1,421.5,550.3,578.4,546.2,166.8,270.6,523.7,554.7,242.6,97.2,270.2,161.4,605.8,344.3,265.0,180.9,650.5,398.6,269.6,276.3,619.8,150.5,536.0,678.1,607.2,329.8,596.8
HD,182.1,555.7,234.7,637.6,654.3,511.3,640.8,355.3,700.7,478.9,267.3,252.1,660.6,103.2,448.9,703.5,686.4,696.2,683.4,290.3,160.8,721.9,224.3,641.9,470.1,93.7,2216.0,199.1,668.2,651.0,646.6,248.7,0.0,387.2,183.9,437.8,218.1,382.8,692.2,672.2,706.6,669.2,358.5,639.3,683.7,715.8,705.3,745.7,601.1,691.1,434.3,271.3,623.0,765.6,781.4,302.3,409.2,277.4,759.5,681.3,649.1,427.0,234.8,510.3,185.7,287.5,652.8,297.6,431.3,682.4,109.0,602.5,349.7,188.8,559.3,510.8,734.5,375.6,154.7,816.7,678.9,758.9,146.5,694.4,663.6,232.5,259.1,675.1,233.7,642.4,412.6,688.8,49.3,676.8,691.2,754.0,504.1,272.4,678.2,516.6,645.4,673.5,641.3,227.6,273.1,618.8,649.8,271.1,220.9,315.0,222.2,700.9,439.4,293.5,223.7,745.6,493.7,272.1,14.8,714.9,211.3,631.1,773.2,702.3,424.9,691.9
HH,209.7,168.4,234.4,310.2,267.0,124.0,383.5,212.8,313.4,91.6,369.4,109.2,273.3,289.4,286.3,316.2,299.1,308.9,296.1,208.1,266.2,334.6,300.9,285.1,82.8,395.4,2104.8,301.2,354.9,263.7,259.3,304.7,421.5,0.0,289.3,50.5,320.2,35.3,304.9,284.9,319.3,281.9,85.2,268.2,296.4,328.5,318.0,358.4,213.8,303.8,47.0,219.5,235.7,378.3,394.1,404.4,78.0,134.9,372.2,294.0,278.0,133.5,254.9,123.0,206.2,287.2,265.5,160.6,304.6,295.1,330.6,215.2,182.3,274.2,172.0,123.5,347.2,102.3,237.5,429.4,343.4,371.6,295.7,307.1,276.3,175.4,364.5,287.8,213.4,305.4,49.7,301.5,356.0,289.5,303.9,366.7,107.4,149.9,290.9,129.3,258.1,286.2,254.0,234.1,190.9,231.5,262.5,128.6,241.0,121.2,221.9,313.6,52.1,151.0,284.8,358.3,106.4,189.9,404.5,327.6,249.3,243.8,385.9,315.0,48.6,304.6
HN,71.7,445.3,106.3,541.5,543.9,400.9,544.7,259.2,590.3,368.5,83.3,156.0,550.2,93.6,352.8,593.1,576.0,585.8,573.0,220.2,24.1,611.5,40.3,562.0,359.7,199.6,2157.6,15.1,572.1,540.6,536.2,64.7,225.7,276.8,0.0,327.4,34.1,272.4,581.8,561.8,596.2,558.8,248.1,545.1,573.3,605.4,594.9,635.3,490.7,580.7,323.9,142.9,512.6,655.2,671.0,118.3,298.8,181.3,649.1,570.9,554.9,316.6,67.1,399.9,75.3,159.1,542.4,201.5,335.2,572.0,134.8,492.1,239.3,60.4,448.9,400.4,624.1,265.2,44.3,706.3,582.8,648.5,99.9,584.0,553.2,104.1,75.1,564.7,105.3,546.3,302.2,578.4,160.2,566.4,580.8,643.6,384.3,144.0,567.8,406.2,535.0,563.1,530.9,99.2,203.0,508.4,539.4,175.0,110.5,218.9,93.8,590.5,329.0,197.4,113.3,635.2,383.3,202.0,208.7,604.5,82.9,520.7,662.8,591.9,314.5,581.5
HP,270.6,117.8,295.3,259.6,216.4,73.4,329.5,273.7,252.8,41.0,430.3,170.0,222.7,350.3,235.7,265.6,248.5,258.3,245.5,269.0,327.1,284.0,361.8,234.5,32.2,456.3,2088.8,362.1,304.3,213.1,208.7,365.6,482.4,60.8,350.2,0.0,381.1,96.2,252.5,234.3,268.7,231.3,146.1,217.6,245.8,277.9,267.4,307.8,163.2,253.2,134.6,280.4,185.1,327.7,343.5,465.3,144.5,193.9,321.6,243.4,227.4,194.4,315.8,72.4,265.4,353.4,214.9,221.5,254.0,244.5,391.5,164.6,243.2,335.1,121.4,72.9,296.6,163.2,298.4,378.8,292.8,321.0,356.6,248.7,225.7,236.3,432.1,236.7,274.3,254.8,110.6,250.9,416.9,238.9,253.3,316.1,56.8,210.8,240.3,154.0,207.5,235.6,203.4,295.0,251.8,180.9,211.9,189.5,301.9,182.1,282.8,263.0,1.5,210.0,345.7,307.7,90.4,250.8,465.4,277.0,310.2,193.2,335.3,264.4,109.5,272.7
IE,116.5,483.9,151.1,586.3,582.5,439.5,589.5,304.0,628.9,407.1,49.1,200.8,588.8,138.4,397.6,631.7,614.6,624.4,611.6,265.0,68.9,650.1,48.5,600.6,398.3,244.4,2202.4,19.1,616.9,579.2,574.8,72.9,270.5,315.4,44.7,366.0,0.0,311.0,620.4,600.4,634.8,597.4,286.7,583.7,611.9,644.0,633.5,673.9,529.3,619.3,362.5,187.7,551.2,693.8,709.6,84.1,337.4,226.1,687.7,609.5,593.5,355.2,75.3,438.5,120.1,203.9,581.0,246.3,380.0,610.6,179.6,530.7,277.9,105.2,487.5,439.0,662.7,303.8,89.1,744.9,627.6,687.1,144.7,622.6,591.8,148.9,101.3,603.3,150.1,620.9,340.8,617.0,205.0,605.0,619.4,682.2,432.3,188.8,606.4,444.8,573.6,601.7,569.5,144.0,247.8,547.0,578.0,219.8,120.5,263.7,138.6,629.1,367.6,242.2,158.1,673.8,421.9,246.8,253.5,643.1,127.7,559.3,701.4,630.5,353.1,620.1
IK,218.6,197.1,243.3,338.9,295.7,152.7,412.2,221.7,342.1,120.3,378.3,118.1,302.0,298.3,315.0,344.9,327.8,337.6,324.8,217.0,275.1,363.3,309.8,313.8,111.5,404.3,2133.5,310.1,383.6,292.4,288.0,313.6,430.4,28.6,298.2,79.2,329.1,0.0,333.6,313.6,348.0,310.6,94.1,296.9,325.1,357.2,346.7,387.1,242.5,332.5,75.7,228.4,264.4,407.0,422.8,413.3,86.9,143.8,400.9,322.7,306.7,142.4,263.8,151.7,215.1,296.1,294.2,169.5,333.3,323.8,339.5,243.9,191.2,283.1,200.7,152.2,375.9,111.2,246.4,458.1,372.1,400.3,304.6,335.8,305.0,184.3,373.4,316.5,222.3,334.1,58.6,330.2,364.9,318.2,332.6,395.4,136.1,158.8,319.6,158.0,286.8,314.9,282.7,243.0,199.8,260.2,291.2,137.5,249.9,130.1,230.8,342.3,80.8,159.9,293.7,387.0,135.1,198.8,413.4,356.3,258.2,272.5,414.6,343.7,66.3,333.3
IN,512.8,272.5,537.5,240.6,197.4,208.1,313.9,515.9,233.8,243.0,672.5,412.2,203.7,592.5,390.4,246.6,229.5,239.3,226.5,511.2,569.3,178.5,604.0,197.5,205.8,698.5,2290.3,604.3,285.3,135.6,171.7,607.8,724.6,303.0,592.4,242.1,623.3,338.4,0.0,215.3,92.6,221.5,388.3,180.6,72.0,258.9,248.4,264.2,126.2,175.7,353.2,522.6,166.1,222.2,257.1,707.5,386.7,436.3,235.2,74.5,190.4,443.8,558.0,227.1,507.6,595.6,177.9,463.7,408.7,167.0,633.7,177.7,485.4,577.3,276.1,274.9,191.1,405.4,540.6,273.3,273.8,215.5,598.8,57.8,211.9,478.5,674.3,217.7,516.5,235.8,352.8,231.9,659.1,219.9,234.3,210.6,258.8,453.0,161.3,396.2,101.1,216.6,166.4,537.2,494.0,143.9,192.9,431.7,544.1,424.3,525.0,252.8,239.8,452.2,587.9,208.0,332.6,493.0,707.6,57.7,552.4,159.5,229.8,158.9,351.7,235.0
IU,514.8,274.5,539.5,153.3,108.4,210.1,226.6,517.9,130.9,245.0,674.5,414.3,90.8,594.5,392.4,133.7,116.6,126.4,139.2,513.2,571.3,247.0,606.0,217.5,207.8,700.5,2333.0,606.3,198.0,176.1,183.1,609.8,726.6,305.0,594.4,244.1,625.3,340.4,217.3,0.0,231.7,241.5,390.3,215.3,208.8,146.0,135.5,199.8,146.2,216.2,355.2,524.6,116.5,290.7,128.2,709.5,383.1,440.0,106.3,206.4,210.4,438.7,560.0,229.1,511.3,592.3,197.9,465.7,410.7,207.5,635.7,179.7,487.4,579.3,278.1,276.9,148.7,407.4,542.6,230.9,186.5,284.0,600.8,219.5,231.9,480.5,669.6,105.3,518.5,148.5,354.8,35.6,661.1,150.8,147.0,106.6,260.8,455.0,203.3,398.2,170.5,103.7,186.4,539.2,496.0,163.9,80.0,433.7,546.1,426.3,527.0,47.7,241.8,456.1,589.9,92.4,334.6,495.0,709.6,240.0,554.4,179.5,125.8,227.4,353.7,122.1
IZ,524.6,284.3,549.3,252.4,209.2,219.9,325.7,527.7,255.6,254.8,684.3,424.1,215.5,604.3,402.2,258.4,241.3,251.1,238.3,523.0,581.1,195.5,615.8,209.3,217.6,710.3,2307.3,616.1,297.1,129.4,183.5,619.6,736.4,314.8,604.2,253.9,635.1,350.2,61.8,227.1,0.0,233.3,400.1,192.4,37.2,270.7,260.2,281.2,138.0,169.5,365.0,534.4,177.9,239.2,274.1,719.3,392.9,449.8,252.2,39.7,202.2,455.6,569.8,238.9,521.1,602.1,189.7,475.5,420.5,160.8,645.5,189.5,497.2,589.1,287.9,286.7,208.1,417.2,552.4,290.3,285.6,232.5,610.6,113.0,223.7,490.3,679.4,230.0,528.3,247.6,364.6,243.7,670.9,231.7,246.1,227.6,280.0,464.8,156.6,408.0,66.3,228.4,178.2,549.0,505.8,155.7,204.7,443.5,555.9,436.1,536.8,269.8,251.6,465.9,599.7,225.0,344.4,504.8,719.4,92.5,564.2,171.3,246.8,175.9,363.5,246.8
JD,498.6,258.3,574.8,238.5,195.3,193.9,308.4,553.2,241.7,228.8,658.3,449.6,201.6,578.3,376.2,244.5,227.4,237.2,224.4,548.5,555.1,248.7,589.8,95.9,191.6,684.3,2324.7,590.1,283.2,177.8,141.1,593.6,710.4,288.8,578.2,227.9,609.1,324.2,217.2,213.2,233.4,0.0,374.1,137.2,210.5,256.8,246.3,286.7,86.6,217.9,339.0,559.9,164.0,292.4,322.4,693.3,372.5,473.6,300.5,208.1,147.0,400.4,543.8,212.9,493.4,632.9,76.3,501.0,409.3,209.2,619.5,81.7,471.2,563.1,261.9,260.7,261.3,391.2,526.4,343.4,271.7,285.7,584.6,213.4,68.7,515.8,660.1,216.1,553.8,233.7,338.6,229.8,644.9,217.8,232.2,280.8,244.6,490.3,203.5,382.0,172.2,214.5,123.0,574.5,531.3,85.8,190.8,469.0,529.9,462.0,562.3,241.9,225.6,489.5,573.7,278.2,318.4,530.3,693.4,241.7,589.7,42.2,300.0,229.1,337.5,232.9
JL,172.2,264.9,196.9,406.7,363.5,220.5,416.4,175.3,409.9,188.1,331.9,71.7,369.8,251.9,224.5,412.7,395.6,405.4,392.6,170.6,228.7,431.1,263.4,381.6,179.3,357.9,2029.3,263.7,451.4,360.2,355.8,267.2,384.0,96.4,251.8,147.0,282.7,92.0,401.4,381.4,415.8,378.4,0.0,364.7,392.9,425.0,414.5,454.9,310.3,400.3,143.5,182.0,332.2,474.8,490.6,366.9,118.4,97.4,468.7,390.5,374.5,136.2,217.4,219.5,168.7,249.7,362.0,123.1,206.9,391.6,293.1,311.7,144.8,236.7,268.5,220.0,443.7,53.7,200.0,525.9,439.9,468.1,258.2,403.6,372.8,137.9,327.0,384.3,175.9,401.9,121.8,398.0,318.5,386.0,400.4,463.2,203.9,112.4,387.4,225.8,354.6,382.7,350.5,196.6,153.4,328.0,359.0,91.1,203.5,83.7,184.4,410.1,148.6,113.5,247.3,454.8,202.9,152.4,367.0,424.1,211.8,340.3,482.4,411.5,134.1,401.1
JP,489.3,249.0,514.8,197.1,153.9,184.6,267.0,493.2,200.3,219.5,646.7,389.6,160.2,569.0,366.9,203.1,186.0,195.8,183.0,488.5,540.2,203.5,580.5,100.9,182.3,642.8,2264.7,578.5,241.8,132.6,28.8,584.3,668.9,279.5,563.3,218.6,597.5,314.9,172.0,171.8,188.2,124.9,364.8,0.0,165.3,215.4,204.9,245.3,40.3,172.7,329.7,499.9,86.0,247.2,282.1,681.7,363.2,413.6,260.2,162.9,41.3,340.4,534.5,203.6,484.1,572.9,81.3,441.0,349.3,164.0,610.2,150.1,454.4,536.8,252.6,251.4,216.1,381.9,517.1,298.3,230.3,240.5,575.3,168.2,115.3,455.8,645.2,174.2,493.8,192.3,329.3,188.4,603.4,142.3,192.3,235.6,235.3,430.3,158.3,372.7,127.0,173.1,63.0,514.5,471.3,47.3,149.4,409.0,520.6,402.0,502.3,200.5,216.3,429.5,564.4,233.0,309.1,470.3,651.9,196.5,529.7,94.7,254.8,183.9,328.2,210.2
JY,500.3,260.0,525.0,228.1,184.9,195.6,301.4,503.4,231.3,230.5,660.0,399.8,191.2,580.0,377.9,234.1,217.0,226.8,214.0,498.7,556.8,181.4,591.5,185.0,193.3,686.0,2293.2,591.8,272.8,105.1,159.2,595.3,712.1,290.5,579.9,229.6,610.8,325.9,47.7,202.8,63.7,209.0,375.8,168.1,0.0,246.4,235.9,267.1,113.7,145.2,340.7,510.1,153.6,225.1,260.0,695.0,368.6,425.5,238.1,2.4,177.9,431.3,545.5,214.6,496.8,577.8,165.4,451.2,396.2,136.5,621.2,165.2,472.9,564.8,263.6,262.4,194.0,392.9,528.1,276.2,261.3,218.4,586.3,98.9,199.4,466.0,655.1,205.7,504.0,223.3,340.3,219.4,646.6,207.4,221.8,213.5,246.3,440.5,132.3,383.7,29.0,204.1,153.9,524.7,481.5,131.4,180.4,419.2,531.6,411.8,512.5,231.5,227.3,441.6,575.4,210.9,320.1,480.5,695.1,78.4,539.9,147.0,232.7,161.8,339.2,222.5
KA,569.2,328.9,647.2,139.0,162.8,264.5,208.9,625.6,40.6,299.4,728.9,521.9,67.9,648.9,446.8,35.4,47.2,131.4,124.9,620.9,625.7,301.4,660.4,271.9,262.2,754.9,2289.4,660.7,183.7,230.5,244.5,664.2,781.0,359.4,648.8,298.5,679.7,394.8,269.9,136.8,286.1,295.9,444.7,276.7,263.2,0.0,53.1,254.2,200.6,270.6,409.6,632.3,177.9,345.1,246.0,763.9,443.1,545.8,224.1,260.8,264.8,472.8,614.4,283.5,564.0,705.3,252.3,573.4,481.7,261.9,690.1,234.1,541.8,633.7,332.5,331.3,266.5,461.8,597.0,348.7,172.2,338.4,655.2,266.1,286.3,588.2,730.7,53.9,626.2,134.2,409.2,153.4,715.5,118.5,132.7,224.4,315.2,562.7,256.2,452.6,224.9,105.5,240.8,646.9,603.7,218.3,78.7,541.4,600.5,534.4,634.7,165.5,296.2,561.9,644.3,210.2,389.0,602.7,764.0,294.4,662.1,233.9,243.6,281.8,408.1,145.8
KB,544.5,304.2,569.2,198.0,138.1,239.8,271.3,547.6,74.8,274.7,704.2,444.0,126.9,624.2,422.1,94.4,106.2,106.7,183.9,542.9,601.0,276.7,635.7,247.2,237.5,730.2,2264.7,636.0,242.7,205.8,212.8,639.5,756.3,334.7,624.1,273.8,655.0,370.1,247.0,112.1,261.4,271.2,420.0,245.0,238.5,58.9,0.0,229.5,175.9,245.9,384.9,554.3,146.2,320.4,221.3,739.2,412.8,469.7,199.4,236.1,240.1,468.4,589.7,258.8,541.0,622.0,227.6,495.4,440.4,237.2,665.4,209.4,517.1,609.0,307.8,306.6,241.8,437.1,572.3,324.0,231.2,313.7,630.5,249.2,261.6,510.2,699.3,112.4,548.2,193.2,384.5,128.7,690.8,177.5,191.7,199.7,290.5,484.7,233.0,427.9,200.2,123.2,216.1,568.9,525.7,193.6,99.5,463.4,575.8,456.0,556.7,140.8,271.5,485.8,619.6,185.5,364.3,524.7,739.3,269.7,584.1,209.2,218.9,257.1,383.4,102.4
KH,580.6,340.3,605.3,237.4,132.6,275.9,310.7,583.7,240.6,310.8,740.3,480.1,200.5,660.3,458.2,243.4,226.3,236.1,223.3,579.0,637.1,133.8,671.8,283.3,273.6,766.3,2365.8,672.1,282.1,241.9,248.9,675.6,792.4,370.8,660.2,309.9,691.1,406.2,259.9,205.5,297.5,307.3,456.1,281.1,274.6,255.7,245.2,0.0,212.0,282.0,421.0,590.4,182.3,177.5,154.3,775.3,448.9,505.8,132.4,272.2,276.2,504.5,625.8,294.9,577.1,658.1,263.7,531.5,476.5,273.3,701.5,245.5,553.2,645.1,343.9,342.7,67.2,473.2,608.4,128.5,270.6,170.8,666.6,262.1,297.7,546.3,735.4,215.0,584.3,232.6,420.6,160.6,726.9,234.9,231.1,107.8,336.0,520.8,269.1,464.0,236.3,213.4,252.2,605.0,561.8,229.7,189.7,499.5,611.9,492.1,592.8,150.0,307.6,521.9,655.7,105.2,400.4,560.8,775.4,282.6,620.2,245.3,127.0,139.5,419.5,231.8
KJ,448.9,208.6,491.9,156.7,113.5,144.2,226.6,470.3,149.9,179.1,623.8,366.6,119.8,528.6,344.0,162.7,145.6,155.4,142.6,465.6,517.3,163.1,540.1,71.2,141.9,619.9,2241.8,555.6,201.4,92.2,55.5,543.9,646.0,239.1,540.4,178.2,574.6,274.5,131.6,131.4,147.8,95.2,324.4,54.3,124.9,175.0,164.5,204.9,0.0,132.3,289.3,477.0,82.2,206.8,241.7,658.8,322.8,392.4,219.8,122.5,64.1,317.5,494.1,163.2,443.7,550.0,51.6,418.1,326.4,123.6,569.8,122.6,431.5,513.9,212.2,211.0,175.7,341.5,476.7,257.9,189.9,200.1,534.9,127.8,85.6,432.9,622.3,133.8,470.9,151.9,288.9,148.0,580.5,136.0,150.4,195.2,194.9,407.4,117.9,332.3,86.6,132.7,40.1,491.6,448.4,17.6,109.0,386.1,480.2,379.1,479.4,160.1,175.9,406.6,524.0,192.6,268.7,447.4,629.0,156.1,506.8,54.3,214.4,143.5,287.8,169.8
KR,536.8,296.5,561.5,264.6,221.4,232.1,337.9,539.9,257.8,267.0,696.5,436.2,227.7,616.5,414.4,270.6,253.5,263.3,250.5,535.2,593.3,210.5,628.0,221.5,229.8,722.5,2322.3,628.3,309.3,44.4,195.7,631.8,748.6,327.0,616.4,266.1,647.3,362.4,179.0,239.3,177.2,245.5,412.3,204.6,154.3,282.9,272.4,296.2,150.2,0.0,377.2,546.6,190.1,254.2,289.1,731.5,410.7,460.1,267.2,151.9,214.4,467.8,582.0,251.1,531.6,619.6,201.9,487.7,432.7,29.3,657.7,201.7,509.4,601.3,300.1,298.9,223.1,429.4,564.6,305.3,297.8,247.5,622.8,175.2,235.9,502.5,698.3,241.7,540.5,259.8,376.8,295.4,683.1,243.9,258.3,242.6,282.8,477.0,10.1,420.2,116.0,240.6,190.4,561.2,518.0,167.9,216.9,455.7,568.1,448.3,549.0,284.8,263.8,476.2,611.9,240.0,356.6,517.0,731.6,203.5,576.4,183.5,261.8,190.9,375.7,259.0
KV,278.7,204.4,303.4,346.2,303.0,160.0,419.5,281.8,349.4,127.6,438.4,178.2,309.3,358.4,322.3,352.2,335.1,344.9,332.1,277.1,335.2,370.6,369.9,321.1,118.8,464.4,2140.8,370.2,390.9,299.7,295.3,373.7,490.5,68.9,358.3,86.5,389.2,104.3,340.9,320.9,355.3,317.9,154.2,304.2,332.4,364.5,354.0,394.4,249.8,339.8,0.0,288.5,271.7,414.3,430.1,473.4,147.0,203.9,408.2,330.0,314.0,202.5,323.9,159.0,275.2,356.2,301.5,229.6,340.6,331.1,399.6,251.2,251.3,343.2,208.0,159.5,383.2,171.3,306.5,465.4,379.4,407.6,364.7,343.1,312.3,244.4,433.5,323.8,282.4,341.4,118.7,337.5,425.0,325.5,339.9,402.7,152.8,218.9,326.9,165.3,294.1,322.2,290.0,303.1,259.9,267.5,298.5,197.6,310.0,190.2,290.9,349.6,88.1,220.0,353.8,394.3,142.4,258.9,473.5,363.6,318.3,279.8,421.9,351.0,117.6,340.6
