from_stop,AA,AH,AK,AM,AO,AS,AU,BH,BT,BW,BZ,CB,CC,CI,CU,CY,CZ,DA,DB,DG,DH,DI,DK,DY,EC,EF,EJ,EL,ET,EX,EZ,FB,FI,FL,FM,FR,FU,FV,GA,GK,GL,GM,GO,GQ,GS,GX,GZ,HC,HU,HV,IC,IF,IH,II,IQ,IR,IS,IU,IV,JB,JF,JH,JN,JP,JU,KC,KE,KG,KR,KS,KU,KY,LE,LG,LP,LR,LS,LT,MG,MJ,MM,MP,NF,NL,NT,NX,OC,OE,OF,OH,OQ,PJ,PL,PP,PQ,PW,PX,QA,QN,QP,QR,QT,QW,QZ,RL,RN,RU,SH,SL,SM,SP,SR,SY,SZ,TB,TI,TN,TS,TU,TX,TY,TZ,UE,UG,UI,UU,VJ,VP,VV,VW,VX,WJ,WK,WL,WT,XB,XC,XG,XR,XV,XX,YD,YG,YM,YN,YS,YW,ZC,ZD,ZM,ZX
DI,561.6,540.5,315.9,326.2,294.6,279.4,271.6,384.7,214.7,836.3,232.2,646.9,772.0,561.0,272.0,830.9,249.9,293.2,603.0,220.3,181.9,0.0,305.8,359.6,372.9,280.9,164.5,575.1,565.9,762.7,846.3,393.2,276.5,417.5,284.7,296.0,270.0,2353.3,194.6,790.0,306.4,178.9,227.5,455.9,447.4,776.8,273.5,798.4,176.7,95.1,271.8,243.3,184.9,588.3,563.5,571.0,795.2,302.6,284.4,799.8,215.9,312.9,571.6,228.9,261.2,557.8,364.7,105.5,208.6,572.5,287.5,888.2,177.8,290.8,343.2,261.1,279.5,287.9,604.6,225.9,215.9,798.1,378.8,169.6,200.5,67.2,827.9,846.2,641.0,309.9,338.8,200.2,781.7,618.4,817.2,240.3,873.8,227.0,244.9,531.4,344.1,560.9,808.7,143.5,796.1,317.6,283.3,258.1,261.1,339.1,375.1,441.5,528.4,598.0,280.9,494.9,164.8,252.1,225.4,730.3,69.8,561.1,191.4,412.8,295.0,408.5,349.8,524.0,207.1,181.6,352.9,212.9,260.2,223.8,293.2,182.9,350.8,187.1,432.5,298.5,167.1,321.3,421.4,829.9,207.4,847.2,483.3,622.9,586.7,93.1,280.2
DK,593.2,572.1,263.3,233.8,118.7,251.5,243.7,264.2,200.1,867.9,234.5,678.5,803.6,592.6,272.2,862.5,222.0,278.6,634.6,116.8,255.7,278.2,0.0,307.0,320.3,228.3,136.6,606.7,597.5,794.3,877.9,340.6,223.9,329.2,256.8,100.1,132.5,2306.5,166.7,821.6,308.8,199.3,134.6,487.5,479.0,808.4,245.6,830.0,238.6,211.3,124.5,215.4,295.8,619.9,595.1,602.6,826.8,210.2,137.1,831.4,261.7,157.8,603.2,136.0,246.6,589.4,312.1,221.7,194.0,604.1,289.9,919.8,338.4,154.0,290.6,92.0,226.9,42.5,636.2,252.1,277.8,829.7,263.1,172.0,274.3,271.5,859.5,877.8,672.6,160.8,158.2,262.1,813.3,650.0,848.8,147.4,905.4,199.1,230.3,563.0,346.5,592.5,840.3,279.0,827.7,152.1,190.4,205.5,125.3,246.7,316.3,473.1,560.0,629.6,131.8,526.5,167.2,199.5,210.8,761.9,227.9,592.7,98.5,324.5,242.4,298.4,169.2,555.6,280.9,342.2,294.1,120.0,58.2,195.9,240.6,328.6,195.2,207.5,464.1,283.9,341.7,174.0,453.0,861.5,114.5,878.8,514.9,654.5,618.3,297.4,143.4
DY,732.1,711.0,43.6,256.0,274.8,449.7,411.7,195.2,333.0,1006.8,304.2,817.4,942.5,731.5,405.1,1001.4,423.7,411.5,773.5,200.5,352.4,374.9,286.0,0.0,61.0,168.9,338.3,745.6,736.4,933.2,1016.8,40.7,138.5,228.0,455.0,276.2,250.2,2489.6,368.4,960.5,423.5,250.9,336.3,626.4,617.9,947.3,443.8,968.9,347.2,308.0,252.0,417.1,355.4,758.8,734.0,741.5,965.7,271.5,264.6,970.3,386.4,293.1,742.1,337.7,379.5,728.3,67.3,318.4,326.9,743.0,404.6,1058.7,398.0,327.8,47.7,241.3,90.1,329.7,775.1,385.0,386.4,968.6,189.3,286.7,371.0,368.2,998.4,1016.7,811.5,290.1,312.0,370.7,952.2,788.9,987.7,321.8,1044.3,400.8,363.2,701.9,461.2,731.4,979.2,375.7,966.6,297.8,364.8,146.1,299.1,233.8,431.0,612.0,698.9,768.5,261.1,665.4,281.9,140.1,343.7,900.8,324.6,731.6,300.2,223.3,157.0,219.0,323.0,694.5,377.6,401.8,408.8,321.7,305.1,397.6,103.8,388.2,331.0,259.1,603.0,416.8,399.3,301.5,591.9,1000.4,316.2,1017.7,653.8,793.4,757.2,394.1,317.2
EC,735.4,714.3,58.5,270.9,278.1,456.5,426.6,210.1,347.9,1010.1,307.5,820.7,945.8,734.8,420.0,1004.7,427.0,426.4,776.8,203.8,355.7,378.2,289.3,51.0,0.0,172.2,341.6,748.9,739.7,936.5,1020.1,20.2,146.4,242.9,461.8,279.5,253.5,2493.7,371.7,963.8,426.8,254.2,339.6,629.7,621.2,950.6,450.6,972.2,350.5,311.3,255.3,420.4,358.7,762.1,737.3,744.8,969.0,286.4,267.9,973.6,389.7,296.4,745.4,341.0,394.4,731.6,8.1,321.7,341.8,746.3,407.9,1062.0,401.3,342.7,37.7,244.6,93.3,333.0,778.4,399.7,389.7,971.9,204.2,290.0,374.3,371.5,1001.7,1020.0,814.8,293.4,322.3,374.0,955.5,792.2,991.0,336.7,1047.6,404.1,378.1,705.2,464.5,734.7,982.5,379.0,969.9,301.1,379.7,149.4,314.0,248.7,434.3,615.3,702.2,771.8,264.4,668.7,285.2,143.4,358.6,904.1,327.9,734.9,303.5,238.2,164.9,233.9,333.3,697.8,380.9,405.1,412.1,325.0,308.4,400.9,79.6,391.5,334.3,262.4,606.3,431.7,402.6,304.8,595.2,1003.7,319.5,1021.0,657.1,796.7,760.5,397.4,332.1
EF,656.1,638.6,111.5,241.1,202.4,380.8,369.8,180.3,318.1,934.4,231.8,745.0,870.1,659.1,370.1,929.0,351.3,396.6,698.2,128.1,280.0,302.5,213.6,155.2,168.5,0.0,265.9,673.2,664.0,860.8,944.4,188.8,37.4,213.1,386.1,203.8,176.2,2418.0,296.0,888.1,354.9,178.5,263.9,554.0,545.5,874.9,374.9,896.5,274.8,235.6,179.6,344.7,283.0,688.9,661.6,669.1,893.3,256.6,192.2,897.9,314.0,220.7,669.7,265.3,364.6,655.9,160.3,246.0,312.0,665.4,332.2,986.3,325.6,283.3,138.8,168.9,75.1,257.3,702.7,324.0,314.0,896.2,174.4,214.3,298.6,296.3,926.0,944.3,739.1,217.7,246.6,298.3,879.8,721.6,915.3,276.7,971.9,328.4,348.3,629.5,388.8,659.0,906.8,303.3,894.2,225.4,319.7,18.4,250.7,218.9,358.6,539.6,626.5,696.1,188.7,593.0,209.5,25.0,328.8,828.4,252.2,659.2,227.8,208.4,55.2,204.1,257.6,622.1,305.2,329.4,336.4,249.3,232.7,325.2,88.8,315.8,258.6,186.7,530.6,401.9,326.9,229.1,519.5,928.0,243.8,945.3,581.4,721.0,684.8,321.7,272.7
EJ,532.4,511.3,317.8,219.9,173.2,111.4,103.6,250.3,108.4,807.1,294.0,617.7,742.8,531.8,132.4,801.7,81.9,186.1,573.8,171.3,211.1,242.8,158.8,361.5,374.8,282.8,0.0,545.9,536.7,733.5,817.1,395.1,278.4,315.3,116.7,154.6,187.0,2247.0,26.6,760.8,292.8,240.7,121.2,426.7,418.2,747.6,105.5,769.2,98.5,219.3,179.0,75.3,155.7,559.1,534.3,541.8,766.0,196.3,191.6,770.6,162.8,188.3,542.4,122.6,154.9,528.6,366.6,229.7,102.3,543.3,273.9,859.0,198.3,184.5,345.1,146.5,281.4,181.6,575.4,160.4,137.7,768.9,249.2,156.0,231.8,231.3,798.7,817.0,611.8,191.3,188.7,122.0,752.5,589.2,788.0,134.0,844.6,59.0,138.6,502.2,330.5,531.7,779.5,227.5,766.9,182.6,177.0,260.0,154.8,232.8,345.9,412.3,499.2,568.8,186.3,465.7,151.2,254.0,119.1,701.1,187.7,531.9,85.1,310.6,296.9,284.5,199.7,494.8,238.4,202.1,323.7,106.6,153.9,55.8,295.1,188.5,225.7,248.9,403.3,191.4,201.6,223.6,392.2,800.7,101.1,818.0,454.1,593.7,557.5,257.2,173.9
EL,274.7,56.2,774.4,817.7,689.0,616.1,637.2,848.1,652.5,365.6,589.5,237.3,301.3,211.9,637.5,360.2,546.4,681.9,183.7,678.8,547.4,639.5,674.6,818.1,831.4,739.4,574.0,0.0,168.0,413.2,455.0,851.7,735.0,876.0,621.4,670.4,728.5,2424.7,581.8,390.4,487.8,637.4,637.0,229.2,220.7,306.1,610.2,448.9,524.2,598.4,730.3,539.8,503.0,169.0,153.5,22.9,324.5,794.1,742.9,329.1,581.4,704.1,3.7,638.4,649.9,120.5,823.2,608.8,658.6,152.7,468.9,417.5,545.6,700.3,801.7,662.3,738.0,697.4,185.3,591.4,563.4,406.8,847.0,527.0,566.0,628.0,436.6,375.5,221.7,707.1,704.5,547.7,432.2,250.9,346.5,649.8,403.1,549.4,654.4,183.8,525.5,159.7,338.0,534.0,325.4,698.4,692.8,716.6,670.6,830.6,444.9,240.8,301.7,199.8,739.4,268.2,522.2,710.6,634.9,380.8,584.4,123.8,600.9,871.3,753.5,882.3,715.5,244.6,572.6,549.4,422.7,622.4,669.7,606.7,751.7,495.0,741.5,645.6,191.6,687.2,508.1,779.8,202.0,359.2,616.9,376.5,256.6,203.6,167.4,653.9,689.7
ET,152.4,122.2,744.4,787.7,659.0,586.1,607.2,818.1,622.5,396.0,559.5,101.5,331.7,60.7,607.5,390.6,516.4,651.9,113.8,648.8,517.4,609.5,644.6,788.1,801.4,709.4,544.0,156.8,0.0,322.4,406.0,821.7,705.0,846.0,591.4,640.4,698.5,2394.7,551.8,349.7,457.8,607.4,607.0,174.8,183.3,336.5,580.2,358.1,494.2,568.4,700.3,509.8,473.0,98.9,51.5,152.7,354.9,764.1,712.9,359.5,551.4,674.1,153.3,608.4,619.9,95.9,793.2,578.8,628.6,50.7,438.9,447.9,515.6,670.3,771.7,632.3,708.0,667.4,145.4,561.4,533.4,357.8,817.0,497.0,536.0,598.0,387.6,405.9,151.7,677.1,674.5,517.7,341.4,82.8,376.9,619.8,433.5,519.4,624.4,69.1,495.5,94.2,368.4,504.0,355.8,668.4,662.8,686.6,640.6,800.6,414.9,210.8,196.8,31.7,709.4,199.1,492.2,680.6,604.9,290.0,554.4,54.1,570.9,841.3,723.5,852.3,685.5,135.8,542.6,519.4,392.7,592.4,639.7,576.7,721.7,465.0,711.5,615.6,161.6,657.2,478.1,749.8,172.0,389.6,586.9,406.9,147.4,169.2,127.5,623.9,659.7
EX,324.8,316.5,915.9,959.2,830.5,757.6,778.7,989.6,794.0,216.2,731.0,345.5,135.2,320.0,779.0,210.8,687.9,823.4,266.1,820.3,688.9,781.0,816.1,959.6,972.9,880.9,715.5,351.1,324.9,0.0,83.5,993.2,876.5,1017.5,762.9,811.9,870.0,2425.8,723.3,27.2,629.3,778.9,778.5,348.5,357.0,140.0,751.7,35.6,665.7,739.9,871.8,681.3,644.5,281.0,322.5,347.0,158.4,935.6,884.4,179.7,722.9,845.6,347.6,779.9,791.4,313.8,964.7,750.3,800.1,346.0,610.4,251.4,687.1,841.8,943.2,803.8,879.5,838.9,317.4,732.9,704.9,35.3,988.5,668.5,707.5,769.5,65.1,226.1,304.1,848.6,846.0,689.2,18.9,377.4,197.1,791.3,253.7,690.9,795.9,290.4,667.0,319.9,171.9,675.5,176.0,839.9,834.3,858.1,812.1,972.1,586.4,384.5,370.5,357.0,880.9,372.8,663.7,852.1,776.4,22.9,725.9,317.1,742.4,1012.8,895.0,1023.8,857.0,309.5,714.1,690.9,564.2,763.9,811.2,748.2,893.2,636.5,883.0,787.1,335.3,828.7,649.6,921.3,345.7,193.1,758.4,227.1,321.1,286.0,299.5,795.4,831.2
EZ,373.5,312.5,964.6,1007.9,879.2,806.3,827.4,1038.3,842.7,199.8,779.7,341.5,117.5,382.8,827.7,194.4,736.6,872.1,262.1,869.0,737.6,829.7,864.8,1008.3,1021.6,929.6,764.2,347.1,357.3,48.6,0.0,1041.9,925.2,1066.2,811.6,860.6,918.7,2474.5,772.0,21.2,678.0,827.6,827.2,397.2,405.7,122.3,800.4,43.5,714.4,788.6,920.5,730.0,693.2,277.0,342.8,343.0,140.7,984.3,933.1,163.3,771.6,894.3,343.6,828.6,840.1,309.8,1013.4,799.0,848.8,342.0,659.1,233.7,735.8,890.5,991.9,852.5,928.2,887.6,313.4,781.6,753.6,17.5,1037.2,717.2,756.2,818.2,6.6,209.7,300.1,897.3,894.7,737.9,29.5,440.2,180.7,840.0,237.3,739.6,844.6,353.2,715.7,349.0,154.2,724.2,159.6,888.6,883.0,906.8,860.8,1020.8,635.1,412.1,419.2,389.1,929.6,421.5,712.4,900.8,825.1,71.6,774.6,313.1,791.1,1061.5,943.7,1072.5,905.7,358.2,762.8,739.6,612.9,812.6,859.9,796.9,941.9,685.2,931.7,835.8,362.9,877.4,698.3,970.0,373.3,175.4,807.1,210.7,369.8,282.0,295.5,844.1,879.9
FB,755.7,734.6,74.4,286.8,298.4,476.8,442.5,226.0,363.8,1030.4,327.8,841.0,966.1,755.1,435.9,1025.0,447.3,442.3,797.1,224.1,376.0,398.5,309.6,30.7,20.2,192.5,361.9,769.2,760.0,956.8,1040.4,0.0,166.7,258.8,482.1,299.8,273.8,2514.0,392.0,984.1,447.1,274.5,359.9,650.0,641.5,970.9,470.9,992.5,370.8,331.6,275.6,440.7,379.0,782.4,757.6,765.1,989.3,302.3,288.2,993.9,410.0,316.7,765.7,361.3,410.3,751.9,28.4,342.0,357.7,766.6,428.2,1082.3,421.6,358.6,58.0,264.9,113.6,353.3,798.7,415.8,410.0,992.2,220.1,310.3,394.6,391.8,1022.0,1040.3,835.1,313.7,342.6,394.3,975.8,812.5,1011.3,352.6,1067.9,424.4,394.0,725.5,484.8,755.0,1002.8,399.3,990.2,321.4,395.6,169.7,329.9,264.6,454.6,635.6,722.5,792.1,284.7,689.0,305.5,163.7,374.5,924.4,348.2,755.2,323.8,254.1,185.2,249.8,353.6,718.1,401.2,425.4,432.4,345.3,328.7,421.2,99.9,411.8,354.6,282.7,626.6,447.6,422.9,325.1,615.5,1024.0,339.8,1041.3,677.4,817.0,780.8,417.7,348.0
FI,659.0,637.9,85.6,208.2,201.7,380.1,363.9,147.4,285.2,933.7,231.1,744.3,869.4,658.4,357.3,928.3,350.6,363.7,700.4,127.4,279.3,301.8,212.9,129.3,144.2,51.1,265.2,672.5,663.3,860.1,943.7,164.5,0.0,180.2,385.4,203.1,177.1,2417.3,295.3,887.4,350.4,177.8,263.2,553.3,544.8,874.2,374.2,895.8,274.1,234.9,178.9,344.0,282.3,685.7,660.9,668.4,892.6,223.7,191.5,897.2,313.3,220.0,669.0,264.6,331.7,655.2,136.0,245.3,279.1,669.9,331.5,985.6,324.9,280.0,116.4,168.2,53.0,256.6,702.0,323.3,313.3,895.5,141.5,213.6,297.9,295.1,925.3,943.6,738.4,217.0,245.9,297.6,879.1,715.8,914.6,274.0,971.2,327.7,315.4,628.8,388.1,658.3,906.1,302.6,893.5,224.7,317.0,42.8,251.3,186.0,357.9,538.9,625.8,695.4,188.0,592.3,208.8,48.8,295.9,827.7,251.5,658.5,227.1,175.5,17.7,171.2,256.9,621.4,304.5,328.7,335.7,248.6,232.0,324.5,66.7,315.1,257.9,186.0,529.9,369.0,326.2,228.4,518.8,927.3,243.1,944.6,580.7,720.3,684.1,321.0,269.4
FL,778.5,757.4,153.6,138.6,300.0,357.4,319.4,102.9,240.7,1053.2,350.6,863.8,988.9,777.9,312.8,1047.8,362.5,319.2,817.0,246.9,370.6,421.3,285.6,197.3,212.2,215.3,277.1,792.0,782.8,979.6,1063.2,232.5,178.7,0.0,362.7,281.4,294.9,2397.3,307.2,1006.9,449.3,297.3,264.7,672.8,664.3,993.7,351.5,1015.3,379.1,354.4,286.9,355.9,401.8,805.2,780.4,787.9,1012.1,137.0,274.5,1016.7,302.3,219.3,788.5,266.1,287.2,774.7,204.0,364.8,234.6,784.2,430.4,1105.1,444.4,235.5,184.4,273.3,172.5,290.4,821.5,292.7,418.3,1015.0,97.0,312.5,391.3,407.8,1044.8,1063.1,857.9,222.3,219.7,402.6,998.6,840.4,1034.1,229.5,1090.7,339.6,270.9,748.3,487.0,777.8,1025.6,422.1,1013.0,213.6,272.5,192.5,202.9,141.5,456.8,658.4,745.3,814.9,307.5,711.8,307.7,186.5,251.4,947.2,371.0,778.0,259.6,5.1,197.2,82.7,230.7,740.9,397.9,448.2,434.6,244.4,262.7,336.4,186.2,434.6,256.7,305.5,649.4,324.5,445.7,254.6,638.3,1046.8,249.9,1064.1,700.2,839.8,803.6,440.5,224.9
FM,537.2,519.7,386.1,297.9,258.4,4.4,65.8,328.3,161.2,815.5,302.4,626.1,751.2,540.2,94.6,810.1,90.3,148.3,576.0,290.5,173.3,251.2,244.0,429.8,443.1,351.1,101.7,554.3,545.1,741.9,825.5,463.4,346.7,393.3,0.0,239.8,272.2,2332.2,65.5,769.2,401.0,249.1,206.4,435.1,426.6,756.0,9.3,777.6,106.9,227.7,264.2,83.7,164.1,570.0,542.7,550.2,774.4,274.3,276.8,779.0,125.0,262.8,550.8,216.5,120.2,537.0,434.9,238.1,155.1,546.5,378.3,867.4,206.7,279.0,413.4,231.7,349.7,266.8,583.8,135.0,146.1,777.3,327.2,239.8,194.0,240.2,807.1,825.4,620.2,265.8,263.2,130.4,760.9,602.7,796.4,219.2,853.0,67.4,134.0,510.6,434.9,540.1,787.9,235.9,775.3,257.1,262.2,328.3,250.3,310.8,354.3,420.7,507.6,577.2,271.5,474.1,235.0,322.3,113.4,709.5,196.1,536.8,170.3,388.6,365.2,362.5,274.2,503.2,200.6,210.5,332.1,191.8,239.1,90.4,363.4,196.9,300.2,257.3,411.7,153.6,210.0,298.1,400.6,809.1,186.3,826.4,462.5,602.1,565.9,265.6,268.4
FR,595.1,574.0,219.6,235.7,57.0,253.4,245.6,288.4,202.0,869.8,236.4,680.4,805.5,594.5,274.1,864.4,223.9,280.5,636.5,73.1,295.9,318.4,86.2,263.3,276.6,184.6,138.5,608.6,599.4,796.2,879.8,296.9,180.2,321.2,258.7,0.0,88.8,2308.4,168.6,823.5,310.7,194.4,136.5,489.4,480.9,810.3,247.5,831.9,240.5,251.5,80.8,217.3,297.7,621.8,597.0,604.5,828.7,212.1,93.4,833.3,263.6,121.9,605.1,137.9,248.5,591.3,268.4,261.9,195.9,606.0,291.8,921.7,340.3,155.9,246.9,48.3,183.2,129.9,638.1,254.0,279.7,831.6,282.5,173.9,314.5,311.7,861.4,879.7,674.5,118.9,147.8,264.0,815.2,651.9,850.7,149.3,907.3,201.0,232.2,564.9,348.4,594.4,842.2,319.2,829.6,126.6,192.3,161.8,127.2,248.6,318.2,475.0,561.9,631.5,88.1,528.4,169.1,155.8,212.7,763.8,268.1,594.6,100.4,316.5,198.7,312.2,158.8,557.5,321.1,344.1,296.0,121.9,105.3,197.8,196.9,330.5,159.8,202.6,466.0,285.8,342.8,130.3,454.9,863.4,116.4,880.7,516.8,656.4,620.2,337.6,145.3
FU,638.0,620.5,185.6,250.3,89.6,268.0,260.2,254.4,216.6,916.3,213.7,726.9,852.0,641.0,288.7,912.5,238.5,296.7,676.8,39.1,261.9,284.4,100.8,229.3,242.6,152.2,153.1,655.1,645.9,842.7,926.3,262.9,146.2,288.8,273.3,91.0,0.0,2323.0,183.2,870.0,329.1,160.4,151.1,535.9,527.4,856.8,262.1,878.4,256.7,217.5,8.0,243.0,264.9,670.8,643.5,651.0,875.2,226.7,57.0,879.8,278.2,85.5,651.6,161.2,263.1,637.8,234.4,227.9,210.5,647.3,306.4,968.2,307.5,155.2,212.9,56.1,151.3,144.5,684.6,268.6,294.3,878.1,248.5,188.5,280.5,270.9,907.9,926.2,721.0,82.5,111.4,278.6,861.7,703.5,897.2,149.2,953.8,215.6,246.8,611.4,363.0,640.9,888.7,285.2,876.1,90.2,192.2,128.4,122.6,293.0,332.8,521.5,608.4,678.0,75.9,574.9,183.7,121.8,227.3,810.3,234.1,637.6,115.0,282.5,164.7,278.2,122.4,604.0,287.1,311.3,310.6,136.5,119.9,212.4,162.9,297.7,123.4,168.6,512.5,300.4,308.8,93.9,501.4,909.9,131.0,928.8,563.3,702.9,666.7,303.6,144.6
FV,2467.3,2503.0,2520.4,2388.8,2391.3,2435.6,2381.0,2419.2,2302.3,2609.8,2418.6,2569.0,2545.5,2462.5,2374.4,2604.4,2406.1,2380.8,2566.0,2389.4,2416.9,2462.3,2376.9,2564.1,2577.4,2485.4,2320.7,2537.6,2467.4,2536.2,2619.8,2597.7,2481.0,2484.2,2440.9,2372.7,2405.1,0.0,2350.8,2563.5,2339.3,2383.4,2339.3,2491.0,2407.9,2550.3,2429.7,2571.9,2422.7,2395.4,2397.1,2399.5,2372.5,2550.8,2465.0,2533.5,2568.7,2365.2,2409.7,2573.3,2363.9,2353.7,2534.1,2340.7,2348.8,2513.2,2569.2,2405.8,2296.2,2474.0,2320.4,2661.7,2415.1,2369.9,2547.7,2364.6,2484.0,2399.7,2567.1,2354.3,2461.9,2571.6,2418.1,2356.1,2435.5,2455.6,2601.4,2619.7,2604.0,2356.7,2354.1,2446.2,2555.2,2519.9,2590.7,2352.1,2647.3,2383.2,2332.5,2432.9,2377.0,2462.4,2582.2,2403.5,2569.6,2348.0,2395.1,2462.6,2341.2,2401.7,2296.4,2402.0,2513.0,2499.5,2404.4,2515.3,2351.3,2456.6,2313.0,2503.8,2412.0,2502.9,2303.2,2479.5,2499.5,2453.4,2365.1,2452.0,2442.1,2418.9,2274.2,2324.7,2372.0,2380.0,2497.7,2364.5,2391.1,2391.6,2393.0,2386.1,2377.6,2389.0,2381.9,2603.4,2319.2,2620.7,2463.6,2585.9,2549.2,2481.5,2359.3
GA,505.7,484.6,351.0,239.5,192.8,84.7,76.9,269.9,128.0,780.4,267.3,591.0,716.1,505.1,105.7,775.0,55.2,159.4,547.1,190.9,184.4,216.1,178.4,394.7,408.0,316.0,36.1,519.2,510.0,706.8,790.4,428.3,311.6,334.9,90.0,174.2,206.6,2266.6,0.0,734.1,362.1,214.0,140.8,400.0,391.5,720.9,78.8,742.5,71.8,192.6,198.6,48.6,129.0,532.4,507.6,515.1,739.3,215.9,211.2,743.9,136.1,207.9,515.7,142.2,131.3,501.9,399.8,203.0,121.9,516.6,343.2,832.3,171.6,204.1,378.3,166.1,314.6,201.2,548.7,146.1,111.0,742.2,268.8,204.7,205.1,204.6,772.0,790.3,585.1,210.9,208.3,95.3,725.8,562.5,761.3,153.6,817.9,32.3,145.1,475.5,399.8,505.0,752.8,200.8,740.2,202.2,196.6,293.2,174.4,252.4,319.2,385.6,472.5,542.1,205.9,439.0,199.9,287.2,124.5,674.4,161.0,505.2,104.7,330.2,330.1,304.1,219.3,468.1,211.7,175.4,297.0,126.2,173.5,29.1,328.3,161.8,245.3,222.2,376.6,164.7,174.9,243.2,365.5,774.0,120.7,791.3,427.4,567.0,530.8,230.5,193.5
GK,352.2,302.9,943.3,986.6,857.9,785.0,806.1,1017.0,821.4,190.2,758.4,331.9,107.9,347.4,806.4,184.8,715.3,850.8,252.5,847.7,716.3,808.4,843.5,987.0,1000.3,908.3,742.9,337.5,347.7,27.3,56.2,1020.6,903.9,1044.9,790.3,839.3,897.4,2453.2,750.7,0.0,656.7,806.3,805.9,375.9,384.4,112.7,779.1,22.2,693.1,767.3,899.2,708.7,671.9,267.4,333.2,333.4,131.1,963.0,911.8,153.7,750.3,873.0,334.0,807.3,818.8,300.2,992.1,777.7,827.5,332.4,637.8,224.1,714.5,869.2,970.6,831.2,906.9,866.3,303.8,760.3,732.3,8.0,1015.9,695.9,734.9,796.9,37.8,200.1,290.5,876.0,873.4,716.6,8.3,404.8,171.1,818.7,227.7,718.3,823.3,317.8,694.4,339.4,144.6,702.9,150.0,867.3,861.7,885.5,839.5,999.5,613.8,411.9,397.9,379.5,908.3,400.2,691.1,879.5,803.8,50.3,753.3,303.5,769.8,1040.2,922.4,1051.2,884.4,336.9,741.5,718.3,591.6,791.3,838.6,775.6,920.6,663.9,910.4,814.5,362.7,856.1,677.0,948.7,373.1,165.8,785.8,201.1,348.5,272.4,285.9,822.8,858.6
GL,392.8,375.3,387.6,379.9,333.2,333.1,325.3,410.3,268.4,674.9,233.7,481.7,606.8,395.8,340.5,665.7,303.6,346.9,431.6,292.0,287.0,309.5,318.8,431.3,444.6,352.6,218.2,409.9,400.7,597.5,681.1,464.9,348.2,489.2,338.4,314.6,340.1,2225.0,248.3,624.8,0.0,250.6,281.2,290.7,282.2,611.6,327.2,633.2,313.0,242.6,339.0,308.1,290.0,425.6,402.1,405.8,630.0,356.3,351.6,634.6,321.0,348.3,406.4,291.3,314.9,392.6,436.4,253.0,262.3,402.1,28.8,723.0,332.6,344.5,414.9,306.5,353.3,341.6,443.2,320.4,352.2,632.9,409.2,171.2,305.6,296.0,662.7,681.0,475.8,351.3,348.7,332.7,616.5,458.3,652.0,297.8,712.4,280.7,298.6,366.2,37.6,395.7,643.5,310.3,630.9,342.6,337.0,330.4,311.9,392.8,119.5,276.3,363.2,432.8,346.3,329.7,166.4,323.8,279.1,565.1,259.2,392.4,248.9,488.3,366.7,448.3,359.7,358.8,312.2,336.4,97.3,266.6,313.9,281.3,364.9,322.8,385.7,258.8,267.3,352.2,333.9,383.6,256.2,664.7,261.1,682.0,321.9,457.7,421.5,328.7,333.9
GM,545.2,527.7,224.6,354.2,203.3,233.2,258.9,293.4,168.5,823.5,53.2,634.1,759.2,548.2,259.2,818.1,203.7,247.0,584.0,129.0,169.1,191.6,214.5,268.3,281.6,189.6,118.3,562.3,553.1,749.9,833.5,301.9,185.2,326.2,238.5,204.7,177.1,2307.1,148.4,777.2,240.2,0.0,264.8,443.1,434.6,764.0,227.3,785.6,163.9,124.7,180.5,208.2,172.1,578.0,550.7,558.2,782.4,256.4,193.1,787.0,203.1,221.6,558.8,266.2,215.0,545.0,273.4,135.1,162.4,554.5,221.3,875.4,214.7,284.2,251.9,169.8,188.2,258.2,591.8,213.1,203.1,785.3,287.5,100.6,187.7,184.9,815.1,833.4,628.2,218.6,247.5,187.4,768.9,610.7,804.4,277.6,861.0,180.8,198.7,518.6,277.9,548.1,795.9,192.4,783.3,226.3,320.6,166.8,251.6,332.0,247.7,428.7,515.6,585.2,189.6,482.1,98.6,160.8,179.2,717.5,141.3,544.8,228.7,321.5,203.7,317.2,258.5,511.2,194.3,218.5,225.5,250.2,233.6,177.6,201.9,204.9,259.5,15.0,419.7,252.3,216.0,230.0,408.6,817.1,244.7,834.4,470.5,610.1,573.9,210.8,273.6
