from_stop,AD,AF,AJ,AK,AM,AQ,AR,AV,AY,AZ,BE,BK,CG,CI,CJ,CK,CP,CR,DI,DK,DQ,DT,DV,DY,EE,EH,EJ,EK,EM,EN,EQ,FH,FM,FN,GF,GI,GN,GQ,GW,GY,HF,HK,HL,HS,HT,HV,IC,IF,IG,IJ,IL,IN,IS,IU,IZ,JU,JV,KE,KG,KI,KJ,KP,KQ,KT,KU,KW,KY,LF,LJ,LK,LL,MC,MF,ML,MP,MQ,MR,MY,NA,OB,OD,OR,OT,PB,PF,PJ,PN,PP,QI,QN,QQ,QR,QT,QU,RH,RI,RJ,RM,RT,RZ,SL,ST,SX,TB,TF,TQ,TT,TY,UD,UO,UR,UW,UX,VA,VK,VO,VX,VZ,WC,WE,WH,WI,WQ,WR,WX,WY,WZ,XA,XI,XK,XL,XQ,XV,XW,YF,YG,YI,YL,YR,YT,ZE,ZI,ZN
DV,705.4,319.0,909.8,610.9,968.5,409.7,893.4,860.4,558.4,375.1,906.2,1017.3,920.6,881.1,876.9,673.7,711.8,959.6,126.7,957.4,962.8,925.2,0.0,1016.9,1012.3,992.8,835.4,69.7,855.2,54.7,889.2,839.2,179.2,999.7,919.0,928.3,147.3,975.7,920.1,3.3,982.5,1039.6,930.6,941.3,65.0,855.5,910.6,954.9,965.7,441.2,943.3,7.2,908.6,106.0,970.0,169.5,840.8,888.5,892.3,818.9,960.9,1005.6,920.2,878.2,450.0,631.4,433.7,112.3,94.1,378.5,931.4,361.5,368.0,624.1,109.0,1760.3,678.1,902.5,939.8,928.6,946.1,319.0,982.9,907.1,854.6,991.8,205.0,856.7,418.3,892.0,563.5,607.1,441.2,940.4,935.1,611.3,824.1,921.5,959.0,345.1,425.4,951.1,805.6,131.1,989.1,953.6,962.0,943.7,851.8,454.4,561.8,943.9,109.4,863.0,890.2,919.0,857.0,167.4,196.7,931.9,447.1,961.5,355.9,471.2,909.9,570.6,926.2,422.2,849.2,887.4,963.7,937.6,187.1,921.8,1001.1,872.0,695.4,882.8,926.1,969.9,724.3,76.8,472.7
DY,911.3,796.1,261.7,816.8,356.3,842.8,379.7,309.3,764.3,801.0,392.5,369.2,304.0,330.0,333.0,845.9,628.1,311.5,883.6,336.4,125.6,308.6,919.9,0.0,44.3,344.7,339.9,917.2,418.7,902.2,241.1,399.9,801.3,383.1,302.4,150.9,811.4,359.1,144.4,923.2,362.9,23.2,314.0,108.9,912.5,365.6,181.1,61.2,349.1,867.1,326.7,913.0,379.8,870.0,353.4,781.9,185.0,344.6,192.2,300.9,127.7,389.0,272.1,232.1,875.9,904.7,859.6,888.8,847.3,804.4,283.3,787.4,793.9,901.8,865.8,1550.4,695.4,351.4,121.2,220.8,202.0,796.1,41.1,259.0,206.5,375.2,884.0,354.6,844.2,340.9,769.4,776.3,867.1,292.3,228.9,457.1,667.7,356.2,310.9,771.0,698.9,321.4,583.5,897.6,341.0,137.1,345.4,119.5,361.9,880.3,965.4,295.8,881.4,373.1,210.1,363.7,627.1,865.5,794.1,376.6,873.0,178.9,781.8,897.1,354.6,776.5,309.6,848.1,176.3,207.3,90.8,290.5,788.0,341.8,33.1,382.1,901.3,392.9,375.0,49.3,913.9,908.0,737.1
EE,898.4,783.2,259.3,803.9,353.9,829.9,377.3,306.9,751.4,778.3,390.1,366.8,301.6,327.6,330.6,833.0,615.2,309.1,870.7,338.4,66.2,306.2,907.0,48.5,0.0,342.3,337.5,904.3,405.8,889.3,238.7,397.5,788.4,380.7,300.0,91.5,798.5,356.7,117.9,910.3,360.5,44.4,311.6,88.5,899.6,363.2,168.2,48.3,346.7,854.2,324.3,900.1,377.4,857.1,351.0,769.0,172.1,342.2,144.3,298.5,68.3,386.6,269.7,229.7,863.0,891.8,846.7,875.9,834.4,791.5,280.9,774.5,781.0,888.9,852.9,1537.5,682.5,349.0,100.8,161.4,150.5,783.2,75.2,256.6,204.1,372.8,871.1,352.2,831.3,338.5,756.5,763.4,854.2,289.9,169.5,444.2,654.8,353.8,308.5,758.1,686.0,319.0,570.6,884.7,338.6,124.2,343.0,104.7,359.5,867.4,952.5,293.4,868.5,370.7,193.2,361.3,624.7,852.6,781.2,374.2,860.1,149.4,768.9,884.2,352.2,763.6,307.2,835.2,160.7,190.4,70.4,288.1,770.7,339.4,10.8,379.7,888.4,390.5,372.6,61.5,901.0,895.1,724.2
EH,903.6,788.4,136.0,809.1,98.8,835.1,206.5,199.8,756.6,793.3,219.3,278.1,78.5,220.5,223.5,838.2,620.4,128.4,875.9,163.2,344.1,171.3,912.2,347.9,344.8,0.0,230.4,909.5,411.0,894.5,92.5,290.4,793.6,127.2,165.1,292.3,803.7,171.3,284.1,915.5,43.2,372.1,129.6,246.2,904.8,225.9,274.6,288.6,21.7,859.4,138.9,905.3,270.3,862.3,18.1,774.2,204.8,235.1,256.3,191.4,342.2,133.1,181.0,141.0,868.2,850.4,851.9,881.1,839.6,796.7,192.2,779.7,786.2,847.5,858.1,1468.9,687.7,241.9,244.7,292.6,302.8,788.4,310.1,108.1,140.3,55.5,876.3,241.5,836.5,204.9,761.7,768.6,859.4,201.2,299.1,449.4,660.0,183.0,23.5,763.3,691.2,97.1,575.8,889.9,4.8,270.4,87.9,248.6,229.0,872.6,970.6,105.1,873.7,240.2,254.2,190.5,555.6,857.8,786.4,203.4,865.3,312.2,774.1,889.4,181.4,768.8,71.5,840.4,211.2,251.4,268.6,199.4,780.3,204.5,333.6,249.2,893.6,250.6,251.3,302.9,859.6,900.3,729.4
EJ,843.1,728.7,166.0,748.6,185.5,768.2,129.0,70.4,696.1,723.8,141.8,235.3,130.6,91.1,121.7,826.3,608.5,215.8,816.2,163.0,319.5,135.2,852.5,323.3,320.2,203.8,0.0,849.8,386.4,834.8,145.4,59.9,733.9,209.7,129.0,267.7,744.0,185.7,259.5,855.8,192.5,347.5,140.6,221.6,845.1,91.1,250.0,264.0,175.7,799.7,153.3,845.6,87.9,802.6,180.0,714.5,178.0,87.5,232.9,28.9,317.6,215.6,138.2,88.2,808.5,685.8,792.2,821.4,779.9,737.0,149.4,720.0,726.5,682.9,798.4,1342.1,675.8,112.5,220.1,268.0,285.5,728.7,285.5,163.3,115.7,201.8,816.6,33.7,776.8,102.0,701.2,756.7,799.7,158.4,274.5,424.8,648.1,182.8,215.2,703.6,631.5,161.1,530.7,830.2,208.7,245.8,172.0,224.0,87.4,812.9,806.0,200.1,814.0,98.6,229.6,154.6,391.0,798.1,726.7,167.5,805.6,287.6,714.4,829.7,145.5,708.3,136.2,780.7,186.6,226.8,244.0,156.6,720.6,137.1,309.0,107.6,833.1,118.4,136.1,278.3,695.0,840.6,678.8
EK,683.7,297.3,888.1,554.7,946.8,395.2,871.7,838.7,536.7,353.4,884.5,995.6,898.9,859.4,855.2,617.5,650.5,937.9,56.9,931.3,941.1,903.5,88.1,995.2,990.6,971.1,813.7,0.0,833.5,26.8,867.5,817.5,117.9,978.0,897.3,906.6,143.0,954.0,898.4,91.4,960.8,1017.9,908.9,919.6,37.1,833.8,888.9,933.2,944.0,419.5,921.6,81.2,886.9,101.7,948.3,165.2,816.9,866.8,870.6,797.2,939.2,983.9,898.5,856.5,428.3,570.1,412.0,108.0,89.8,356.8,909.7,339.8,346.3,562.8,39.2,1738.6,616.8,880.8,918.1,906.9,924.4,297.3,961.2,885.4,832.9,970.1,149.4,832.7,396.6,870.3,541.8,545.8,419.5,918.7,913.4,589.6,762.8,899.8,937.3,323.4,403.7,929.4,783.9,61.7,967.4,931.9,940.3,921.8,830.1,432.7,500.5,922.2,81.5,841.3,868.5,897.3,835.3,163.1,144.8,910.2,425.4,960.4,334.2,449.5,888.2,548.9,904.5,400.5,825.5,865.7,942.0,916.9,154.4,905.4,979.4,850.3,673.7,861.1,904.4,947.5,663.0,7.1,451.0
EM,817.2,702.8,341.3,798.6,431.5,742.3,459.3,388.9,670.2,707.7,472.1,448.8,383.6,409.6,412.6,752.6,534.8,391.1,790.3,420.4,394.3,388.2,826.6,448.4,443.8,424.3,419.5,823.9,0.0,808.9,320.7,480.7,708.0,462.7,382.0,359.8,718.1,438.7,351.6,829.9,444.4,471.1,393.6,372.8,819.2,445.2,342.1,386.4,428.7,773.8,406.3,819.7,459.4,776.7,433.0,688.6,272.3,424.2,323.8,380.5,392.4,468.6,351.7,311.7,782.6,811.4,766.3,795.5,754.0,711.1,362.9,694.1,700.6,808.5,772.5,1314.9,602.1,431.0,371.3,360.1,377.6,702.8,414.4,338.6,286.1,454.8,790.7,434.2,750.9,420.5,675.3,683.0,773.8,371.9,366.6,381.8,574.4,435.8,390.5,677.7,605.6,401.0,490.2,804.3,420.6,385.1,425.0,375.2,441.5,787.0,871.3,375.4,788.1,452.7,321.7,443.3,494.0,772.2,700.8,456.2,779.7,393.0,688.5,803.8,434.2,682.4,389.2,754.8,280.7,318.9,395.2,369.1,694.7,416.1,432.6,461.7,807.2,472.5,454.6,401.4,820.6,814.7,652.9
EN,676.1,289.7,880.5,581.6,939.2,380.4,864.1,831.1,529.1,345.8,876.9,988.0,891.3,851.8,847.6,644.4,675.7,930.3,93.8,928.1,933.5,895.9,63.1,987.6,983.0,963.5,806.1,36.8,825.9,0.0,859.9,809.9,149.9,970.4,889.7,899.0,118.0,946.4,890.8,66.4,953.2,1010.3,901.3,912.0,10.3,826.2,881.3,925.6,936.4,411.9,914.0,56.2,879.3,76.7,940.7,140.2,811.5,859.2,863.0,789.6,931.6,976.3,890.9,848.9,420.7,595.3,404.4,83.0,64.8,349.2,902.1,332.2,338.7,588.0,76.1,1731.0,642.0,873.2,910.5,899.3,916.8,289.7,953.6,877.8,825.3,962.5,175.7,825.1,389.0,862.7,534.2,571.0,411.9,911.1,905.8,582.0,788.0,892.2,929.7,315.8,396.1,921.8,776.3,76.3,959.8,924.3,932.7,914.4,822.5,425.1,525.7,914.6,54.6,833.7,860.9,889.7,827.7,138.1,167.4,902.6,417.8,932.2,326.6,441.9,880.6,541.3,896.9,392.9,819.9,858.1,934.4,908.3,157.8,892.5,971.8,842.7,666.1,853.5,896.8,940.6,688.2,43.9,443.4
EQ,811.2,696.0,43.4,716.7,168.4,735.5,196.2,125.8,664.2,700.9,209.0,185.7,120.5,146.5,149.5,745.8,528.0,70.3,783.5,157.3,251.7,125.1,819.8,255.5,252.4,103.7,156.4,817.1,318.6,802.1,0.0,216.4,701.2,199.6,118.9,199.9,711.3,175.6,191.7,823.1,144.1,279.7,130.5,153.8,812.4,182.1,182.2,196.2,125.5,767.0,143.2,812.9,196.3,769.9,121.8,681.8,112.4,161.1,163.9,117.4,249.8,205.5,88.6,48.6,775.8,782.5,759.5,788.7,747.2,704.3,99.8,687.3,693.8,779.6,765.7,1376.5,595.3,167.9,152.3,200.2,217.7,696.0,217.7,17.8,47.9,159.3,783.9,171.1,744.1,157.4,669.3,676.2,767.0,108.8,206.7,357.0,567.6,172.7,69.9,670.9,598.8,100.7,483.4,797.5,100.0,178.0,161.9,156.2,178.4,780.2,902.7,54.6,781.3,189.6,161.8,180.2,487.7,765.4,694.0,193.1,772.9,203.2,681.7,797.0,171.1,676.4,126.1,748.0,120.8,159.0,176.2,106.0,687.9,153.0,241.2,198.6,801.2,209.4,191.5,211.2,791.7,807.9,637.0
FH,843.0,728.6,228.8,748.5,248.3,768.1,177.1,133.2,696.0,723.7,189.9,298.1,193.4,153.9,143.0,826.2,608.4,278.6,816.1,225.8,382.3,198.0,852.4,386.1,383.0,266.6,62.7,849.7,449.2,834.7,208.2,0.0,733.8,272.5,191.8,330.5,743.9,248.5,322.3,855.7,252.3,410.3,203.4,284.4,845.0,139.2,321.3,326.8,238.5,799.6,216.1,845.5,109.2,802.5,242.8,714.4,240.8,108.8,294.5,91.7,380.4,278.4,201.0,151.0,808.4,685.7,792.1,821.3,779.8,736.9,212.2,719.9,726.4,682.8,798.3,1342.0,675.7,175.3,282.9,330.8,341.0,728.6,348.3,226.1,178.5,264.6,816.5,55.0,776.7,164.8,701.1,756.6,799.6,221.2,337.3,487.6,648.0,205.2,278.0,703.5,631.4,223.9,530.6,830.1,271.5,308.6,234.8,286.8,135.5,812.8,805.9,262.9,813.9,146.7,292.4,202.7,390.9,798.0,726.6,215.6,805.5,350.4,714.3,829.6,193.6,708.2,199.0,780.6,249.4,289.6,306.8,219.4,716.1,199.9,371.8,155.7,833.0,166.5,198.9,341.1,694.9,840.5,678.7
FM,577.0,190.6,781.4,482.5,840.1,288.5,765.0,732.0,430.0,236.9,777.8,888.9,792.2,752.7,748.5,545.3,621.5,831.2,96.9,824.6,834.4,796.8,168.1,888.5,883.9,864.4,707.0,128.4,726.8,150.4,760.8,710.8,0.0,871.3,790.6,799.9,78.3,847.3,791.7,171.4,851.1,911.2,802.2,812.9,160.7,727.1,782.2,826.5,837.3,312.8,814.9,161.2,780.2,136.9,841.6,48.8,712.4,760.1,763.9,690.5,832.5,877.2,791.8,749.8,321.6,541.1,305.3,155.7,114.2,250.1,803.0,233.1,239.6,449.3,79.1,1631.9,587.8,774.1,811.4,800.2,817.7,190.6,854.5,778.7,726.2,863.4,67.4,728.3,289.9,763.6,435.1,535.4,312.8,812.0,806.7,482.9,761.4,793.1,830.6,216.7,297.0,822.7,677.2,121.1,860.7,825.2,833.6,815.1,723.4,326.0,471.5,815.5,152.8,734.6,761.8,790.6,728.6,105.0,21.6,803.5,318.7,833.1,227.5,342.8,781.5,442.2,797.8,293.8,720.8,759.0,835.3,810.2,35.6,798.7,872.7,743.6,567.0,754.4,797.7,840.8,549.5,121.3,344.3
FN,977.6,863.2,245.0,883.1,57.9,902.7,176.4,194.9,830.6,868.1,189.2,314.3,83.4,215.6,218.6,960.8,743.0,273.1,950.7,137.5,398.5,166.4,987.0,402.3,399.2,144.6,230.3,984.3,465.4,969.3,237.2,277.5,868.4,0.0,160.2,346.7,878.5,99.6,338.5,990.3,133.3,426.5,57.9,300.6,979.6,195.8,329.0,343.0,116.5,934.2,67.2,980.1,265.4,937.1,120.8,849.0,259.2,230.2,310.7,186.5,396.6,19.2,217.2,167.2,943.0,820.3,926.7,955.9,914.4,871.5,228.4,854.5,861.0,817.4,932.9,1476.6,810.3,237.0,299.1,347.0,364.5,863.2,364.5,252.8,194.7,142.6,951.1,240.2,911.3,200.0,835.7,891.2,934.2,237.4,353.5,503.8,782.6,152.9,168.2,838.1,766.0,184.2,665.2,964.7,149.5,324.8,51.4,303.0,198.9,947.4,940.5,249.8,948.5,210.1,308.6,160.4,525.5,932.6,861.2,173.3,940.1,350.0,848.9,964.2,151.3,842.8,76.4,915.2,267.6,305.8,323.0,234.6,855.1,194.3,388.0,219.1,967.6,220.5,246.4,358.0,829.5,975.1,813.3
GF,910.0,795.6,156.6,815.5,141.3,835.1,169.1,88.6,763.0,800.5,181.9,225.9,93.4,91.2,130.2,804.2,586.4,206.4,883.1,130.2,310.1,13.4,919.4,313.9,310.8,166.6,137.1,916.7,377.0,901.7,136.0,197.1,800.8,172.5,0.0,258.3,810.9,148.5,250.1,922.7,155.3,338.1,103.4,212.2,912.0,162.8,240.6,254.6,138.5,866.6,116.1,912.5,177.0,869.5,142.8,781.4,170.8,141.8,222.3,98.1,308.2,178.4,128.8,78.8,875.4,752.7,859.1,888.3,846.8,803.9,140.0,786.9,793.4,749.8,865.3,1434.9,653.7,112.6,210.7,258.6,276.1,795.6,276.1,153.9,106.3,164.6,883.5,148.2,843.7,47.0,768.1,734.6,866.6,149.0,265.1,415.4,626.0,145.6,185.2,770.5,698.4,123.9,597.6,897.1,171.5,236.4,134.8,214.6,159.1,879.8,872.9,190.7,880.9,170.3,220.2,153.1,457.9,865.0,793.6,166.0,872.5,261.6,781.3,896.6,144.0,775.2,99.0,847.6,179.2,217.4,234.6,146.2,787.5,41.3,299.6,179.3,900.0,190.1,93.4,269.6,761.9,907.5,745.7
GI,820.8,705.6,211.0,726.3,301.2,745.1,329.0,258.6,673.8,710.5,341.8,318.5,253.3,279.3,282.3,755.4,537.6,260.8,793.1,290.1,34.4,257.9,829.4,143.9,90.3,294.0,289.2,826.7,328.2,811.7,190.4,350.4,710.8,332.4,251.7,0.0,720.9,308.4,29.8,832.7,314.1,139.8,263.3,130.0,822.0,314.9,84.3,118.2,298.4,776.6,276.0,822.5,329.1,779.5,302.7,691.4,94.5,293.9,51.5,250.2,32.5,338.3,221.4,181.4,785.4,814.2,769.1,798.3,756.8,713.9,232.6,696.9,703.4,811.3,775.3,1459.9,604.9,300.7,98.6,69.8,58.9,705.6,146.2,208.3,155.8,324.5,793.5,300.3,753.7,290.2,678.9,685.8,776.6,241.6,77.9,366.6,577.2,305.5,260.2,680.5,608.4,270.7,493.0,807.1,290.3,111.3,294.7,94.3,311.2,789.8,874.9,245.1,790.9,322.4,101.6,313.0,558.4,775.0,703.6,325.9,782.5,119.2,691.3,806.6,303.9,686.0,258.9,757.6,83.1,98.8,139.0,238.8,697.5,285.8,106.2,331.4,810.8,342.2,324.3,133.2,823.4,817.5,646.6
GN,567.8,181.4,772.2,473.3,835.3,272.1,755.8,722.8,420.8,227.7,768.6,879.7,783.0,743.5,739.3,536.1,639.6,822.0,171.0,819.8,825.2,787.6,138.2,879.3,874.7,855.2,697.8,135.5,717.6,120.5,751.6,701.6,84.4,862.1,781.4,790.7,0.0,838.1,782.5,141.5,841.9,902.0,793.0,803.7,130.8,717.9,781.5,817.3,828.1,303.6,805.7,131.3,771.0,58.5,832.4,31.9,701.0,750.9,754.7,681.3,823.3,868.0,782.6,740.6,312.4,564.6,296.1,78.7,65.6,240.9,793.8,223.9,230.4,467.9,153.2,1622.7,605.9,764.9,802.2,791.0,808.5,181.4,845.3,769.5,717.0,854.2,121.4,716.8,280.7,754.4,425.9,526.2,303.6,802.8,797.5,473.7,752.2,783.9,821.4,207.5,287.8,813.5,668.0,153.7,851.5,816.0,824.4,805.9,714.2,316.8,447.1,806.3,132.0,725.4,752.6,781.4,719.4,83.8,59.1,794.3,309.5,844.5,218.3,333.6,772.3,433.0,788.6,284.6,709.6,749.8,826.1,801.0,49.5,789.5,863.5,734.4,557.8,745.2,788.5,832.3,568.1,142.6,335.1
GQ,951.8,837.4,219.2,857.3,104.6,884.1,150.6,169.1,804.8,832.5,163.4,288.5,125.7,189.8,192.8,935.0,717.2,269.0,924.9,107.3,372.7,140.6,961.2,376.5,373.4,186.9,204.5,958.5,439.6,943.5,198.6,251.7,842.6,117.8,134.4,320.9,852.7,0.0,312.7,964.5,172.6,400.7,48.7,274.8,953.8,170.0,311.7,317.2,158.8,908.4,39.1,954.3,239.6,911.3,163.1,823.2,233.4,204.4,284.9,160.7,370.8,123.7,191.4,141.4,917.2,794.5,900.9,930.1,888.6,845.7,202.6,828.7,835.2,791.6,907.1,1450.8,784.5,211.2,273.3,321.2,338.7,837.4,338.7,216.5,168.9,184.9,925.3,210.8,885.5,174.2,809.9,865.4,908.4,211.6,327.7,478.0,756.8,127.1,210.5,812.3,740.2,175.9,639.4,938.9,191.8,299.0,93.7,277.0,173.1,921.6,914.7,253.3,922.7,184.3,282.8,134.6,499.7,906.8,835.4,147.5,914.3,324.2,823.1,938.4,125.5,817.0,118.7,889.4,241.8,280.0,297.2,209.8,824.9,173.8,362.2,193.3,941.8,194.7,220.6,331.5,803.7,949.3,787.5
GW,794.0,678.8,184.2,699.5,274.4,718.3,302.2,231.8,647.0,683.7,315.0,291.7,226.5,252.5,255.5,728.6,510.8,234.0,766.3,263.3,54.0,231.1,802.6,160.7,109.9,267.2,262.4,799.9,301.4,784.9,163.6,323.6,684.0,305.6,224.9,19.5,694.1,281.6,0.0,805.9,287.3,159.4,236.5,128.5,795.2,288.1,54.4,98.7,271.6,749.8,249.2,795.7,302.3,752.7,275.9,664.6,67.7,267.1,60.1,223.4,52.1,311.5,194.6,154.6,758.6,787.4,742.3,771.5,730.0,687.1,205.8,670.1,676.6,784.5,748.5,1433.1,578.1,273.9,97.1,78.4,53.8,678.8,126.7,181.5,129.0,297.7,766.7,273.5,726.9,263.4,652.1,659.0,749.8,214.8,86.5,339.8,550.4,278.7,233.4,653.7,581.6,243.9,466.2,780.3,263.5,81.4,267.9,92.8,284.4,763.0,848.1,218.3,764.1,295.6,92.8,286.2,531.6,748.2,676.8,299.1,755.7,89.3,664.5,779.8,277.1,659.2,232.1,730.8,56.3,75.8,137.5,212.0,670.7,259.0,125.8,304.6,784.0,315.4,297.5,113.7,796.6,790.7,619.8
GY,709.0,322.6,913.4,614.5,972.1,413.3,897.0,864.0,562.0,378.7,909.8,1020.9,924.2,884.7,880.5,677.3,715.4,963.2,130.3,961.0,966.4,928.8,3.5,1020.5,1015.9,996.4,839.0,73.3,858.8,58.3,892.8,842.8,182.8,1003.3,922.6,931.9,150.9,979.3,923.7,0.0,986.1,1043.2,934.2,944.9,68.6,859.1,914.2,958.5,969.3,444.8,946.9,10.7,912.2,109.6,973.6,173.1,844.4,892.1,895.9,822.5,964.5,1009.2,923.8,881.8,453.6,635.0,437.3,115.9,97.7,382.1,935.0,365.1,371.6,627.7,112.6,1763.9,681.7,906.1,943.4,932.2,949.7,322.6,986.5,910.7,858.2,995.4,208.6,858.0,421.9,895.6,567.1,610.7,444.8,944.0,938.7,614.9,827.7,925.1,962.6,348.7,429.0,954.7,809.2,134.7,992.7,957.2,965.6,947.3,855.4,458.0,565.4,947.5,113.0,866.6,893.8,922.6,860.6,171.0,200.3,935.5,450.7,965.1,359.5,474.8,913.5,574.2,929.8,425.8,852.8,891.0,967.3,941.2,190.7,925.4,1004.7,875.6,699.0,886.4,929.7,973.5,727.9,80.4,476.3
HF,927.2,897.4,177.0,832.7,106.4,944.1,210.6,178.6,780.2,892.5,223.4,304.7,83.5,202.3,202.3,861.8,644.0,168.0,984.9,167.3,367.7,150.1,1021.2,371.5,368.4,42.5,209.2,1016.4,434.6,1003.5,135.1,269.2,900.5,132.2,143.9,315.9,912.7,176.3,307.7,1024.5,0.0,395.7,131.6,272.8,1013.8,230.0,306.7,312.2,26.7,968.4,143.9,1012.2,249.1,971.3,18.7,883.2,226.2,213.9,281.1,170.2,368.8,138.1,204.6,164.6,977.2,854.5,960.9,988.0,948.6,905.7,215.8,888.7,895.2,851.6,967.1,1492.5,711.3,220.7,268.3,316.2,326.4,897.4,336.7,150.7,163.9,9.2,985.3,223.3,945.5,183.7,785.3,792.2,968.4,224.8,322.7,473.0,683.6,187.1,66.1,872.3,800.2,50.8,599.4,998.9,47.4,297.0,92.9,272.0,231.2,981.6,974.7,147.7,982.7,242.4,277.8,194.6,559.7,966.8,895.4,207.5,972.2,335.8,883.1,998.4,185.5,792.4,76.5,947.3,234.8,275.0,292.2,226.0,884.9,186.3,357.2,251.4,917.2,254.7,233.1,326.5,863.7,1009.3,753.0
HK,935.0,819.8,289.0,840.5,386.2,866.5,407.0,336.6,788.0,824.7,419.8,396.5,331.3,357.3,360.3,869.6,651.8,338.8,907.3,368.1,125.9,335.9,943.6,36.7,44.6,372.0,367.2,940.9,442.4,925.9,268.4,427.2,825.0,410.4,329.7,151.2,835.1,386.4,161.7,946.9,392.1,0.0,341.3,125.1,936.2,392.9,204.8,84.9,376.4,890.8,354.0,936.7,407.1,893.7,380.7,805.6,208.7,371.9,202.8,328.2,128.0,416.3,299.4,259.4,899.6,928.4,883.3,912.5,871.0,828.1,310.6,811.1,817.6,925.5,889.5,1574.1,719.1,378.7,129.7,221.1,202.9,819.8,77.9,286.3,233.8,402.5,907.7,378.3,867.9,368.2,793.1,800.0,890.8,319.6,229.2,480.8,691.4,383.5,338.2,794.7,722.6,348.7,607.2,921.3,368.3,143.3,372.7,125.7,389.2,904.0,989.1,323.1,905.1,400.4,233.8,391.0,654.4,889.2,817.8,403.9,896.7,168.5,805.5,920.8,381.9,800.2,336.9,871.8,200.0,214.8,107.0,317.8,811.7,369.1,49.3,409.4,925.0,420.2,402.3,86.5,937.6,931.7,760.8
HL,919.6,805.2,187.0,825.1,58.4,851.9,118.4,136.9,772.6,800.3,131.2,256.3,76.9,157.6,160.6,902.8,685.0,266.6,892.7,75.1,340.5,108.4,929.0,344.3,341.2,138.1,172.3,926.3,407.4,911.3,166.4,219.5,810.4,69.0,102.2,288.7,820.5,41.6,280.5,932.3,123.8,368.5,0.0,242.6,921.6,137.8,279.5,285.0,110.0,876.2,9.2,922.1,207.4,879.1,114.3,791.0,201.2,172.2,252.7,128.5,338.6,74.9,159.2,109.2,885.0,762.3,868.7,897.9,856.4,813.5,170.4,796.5,803.0,759.4,874.9,1418.6,752.3,179.0,241.1,289.0,306.5,805.2,306.5,184.3,136.7,136.1,893.1,178.6,853.3,142.0,777.7,833.2,876.2,179.4,295.5,445.8,724.6,94.9,161.7,780.1,708.0,143.7,607.2,906.7,143.0,266.8,44.9,244.8,140.9,889.4,882.5,243.3,890.5,152.1,250.6,102.4,467.5,874.6,803.2,115.3,882.1,292.0,790.9,906.2,93.3,784.8,69.9,857.2,209.6,247.8,265.0,177.6,792.7,141.6,330.0,161.1,909.6,162.5,188.4,299.3,771.5,917.1,755.3
HS,839.6,724.4,170.7,745.1,260.9,771.1,288.7,218.3,692.6,729.3,301.5,278.2,213.0,239.0,242.0,774.2,556.4,220.5,811.9,249.8,120.7,217.6,848.2,103.1,98.5,253.7,248.9,845.5,347.0,830.5,150.1,308.9,729.6,292.1,211.4,129.7,739.7,268.1,116.8,851.5,273.8,125.8,223.0,0.0,840.8,274.6,125.3,65.2,258.1,795.4,235.7,841.3,288.8,798.3,262.4,710.2,138.6,253.6,155.0,209.9,118.8,298.0,181.1,141.1,804.2,830.9,787.9,817.1,775.6,732.7,192.3,715.7,722.2,828.0,794.1,1424.9,623.7,260.4,21.3,191.3,170.7,724.4,87.1,168.0,115.5,284.2,812.3,260.0,772.5,249.9,697.7,704.6,795.4,201.3,197.8,385.4,596.0,265.2,219.9,699.3,627.2,230.4,511.8,825.9,250.0,47.0,254.4,25.2,270.9,808.6,893.7,204.8,809.7,282.1,139.3,272.7,536.1,793.8,722.4,285.6,801.3,72.2,710.1,825.4,263.6,704.8,218.6,776.4,147.2,118.5,45.2,199.5,716.3,250.8,87.3,291.1,829.6,301.9,284.0,73.4,840.1,836.3,665.4
HT,686.4,300.0,890.8,569.6,949.5,390.7,874.4,841.4,539.4,356.1,887.2,998.3,901.6,862.1,857.9,632.4,665.4,940.6,104.1,938.4,943.8,906.2,73.4,997.9,993.3,973.8,816.4,47.1,836.2,10.3,870.2,820.2,160.2,980.7,900.0,909.3,128.3,956.7,901.1,76.7,963.5,1020.6,911.6,922.3,0.0,836.5,891.6,935.9,946.7,422.2,924.3,66.5,889.6,87.0,951.0,150.5,821.8,869.5,873.3,799.9,941.9,986.6,901.2,859.2,431.0,585.0,414.7,93.3,75.1,359.5,912.4,342.5,349.0,577.7,86.4,1741.3,631.7,883.5,920.8,909.6,927.1,300.0,963.9,888.1,835.6,972.8,186.0,835.4,399.3,873.0,544.5,560.7,422.2,921.4,916.1,592.3,777.7,902.5,940.0,326.1,406.4,932.1,786.6,66.0,970.1,934.6,943.0,924.7,832.8,435.4,515.4,924.9,44.3,844.0,871.2,900.0,838.0,148.4,177.7,912.9,428.1,942.5,336.9,452.2,890.9,551.6,907.2,403.2,830.2,868.4,944.7,918.6,168.1,902.8,982.1,853.0,676.4,863.8,907.1,950.9,677.9,54.2,453.7
