from_stop,AB,AG,AY,BC,BF,BM,BS,BZ,CA,CB,CF,CO,CW,CX,CY,DA,DJ,DK,DY,EA,EE,EF,EH,EK,EL,ET,EW,EZ,FB,FF,FG,FI,FK,FL,FQ,GA,GG,GH,GI,GL,GY,GZ,HB,HC,HP,HS,HT,HV,HW,HX,IB,IJ,IN,IR,IT,JA,JF,JK,JM,JP,JX,KC,KE,KH,KN,KT,KZ,LK,ME,MO,MS,MV,MW,NB,ND,NK,NN,NQ,NR,NU,OA,OJ,OL,OM,ON,OW,OX,PQ,PY,QA,QJ,QN,QO,QQ,QR,RG,RM,RS,SB,SC,SD,SK,SL,SP,SR,SS,SV,TB,TD,TK,TQ,TR,UJ,UN,UQ,UV,UY,VJ,VT,VY,WF,WJ,WT,WW,WX,XB,XH,XJ,XQ,XZ,YC,YH,YT,YU,ZB,ZF,ZJ,ZL,ZO,ZW
EH,505.2,2657.7,343.4,294.5,570.6,52.5,426.9,313.4,62.9,550.0,363.8,238.9,455.0,29.9,251.1,553.7,545.7,559.1,539.5,240.5,356.3,511.4,0.0,428.3,531.4,359.1,356.9,290.1,576.2,456.0,504.4,403.9,142.2,265.9,200.9,280.0,491.2,121.8,250.3,424.2,306.3,538.6,324.0,431.5,555.9,463.7,449.8,443.6,228.8,396.9,48.5,247.8,269.8,469.4,218.6,338.8,248.7,325.0,186.5,445.4,124.3,291.4,278.6,42.6,190.9,499.8,314.6,312.2,495.6,259.5,279.1,193.7,334.7,492.1,154.2,484.9,185.9,305.9,531.6,273.6,326.5,169.2,319.7,546.4,465.0,268.5,251.5,139.8,478.0,493.0,167.4,568.7,432.6,217.0,311.1,178.5,446.7,220.8,325.5,121.7,513.4,376.2,208.9,165.7,318.1,264.5,369.6,503.7,180.9,554.1,233.2,363.6,240.8,249.9,91.2,322.4,338.6,209.5,303.0,326.5,143.6,192.4,255.0,290.3,288.0,294.2,509.3,249.0,276.0,324.8,227.2,332.2,367.7,122.6,307.8,568.5,300.0,335.3,380.5,445.3
EK,200.8,2533.7,201.8,665.1,265.4,456.3,164.1,469.5,492.3,236.2,734.4,609.5,55.1,438.4,621.7,239.9,243.6,158.3,237.4,396.6,726.9,197.6,428.3,0.0,217.6,729.7,727.5,665.0,274.1,124.6,200.0,81.5,396.7,422.0,583.3,650.6,177.4,551.2,620.9,161.4,676.9,224.8,480.1,82.8,242.1,66.1,121.1,121.2,361.5,134.1,457.0,618.4,640.4,155.6,289.4,709.1,619.3,695.6,392.6,17.1,553.7,233.9,649.2,472.0,443.3,186.0,220.4,387.1,191.2,630.1,293.6,564.3,208.6,169.7,494.4,180.5,440.4,676.5,217.8,644.2,689.9,352.2,690.3,232.6,66.1,639.1,302.9,569.2,173.6,188.6,484.8,254.9,98.9,502.2,681.7,431.3,63.4,591.4,696.1,414.3,199.6,746.8,461.3,420.2,688.7,246.9,740.2,189.9,551.5,206.1,319.2,734.2,271.5,324.8,424.3,693.0,709.2,419.7,673.6,697.1,483.8,477.6,343.6,660.9,444.1,450.3,207.2,337.6,464.0,695.4,306.6,702.8,738.3,397.1,224.3,254.7,488.0,706.5,753.9,96.6
EL,127.3,2493.6,312.1,740.4,207.3,566.6,274.4,544.8,598.1,62.7,809.7,684.8,216.2,548.7,697.0,22.2,185.5,216.9,179.3,471.9,802.2,23.1,538.6,221.9,0.0,805.0,802.8,740.3,216.0,367.6,87.1,209.8,507.0,497.3,658.6,725.9,55.3,654.8,696.2,271.7,752.2,74.1,555.4,201.6,84.0,155.7,364.1,235.3,471.8,244.4,567.3,693.7,715.7,65.7,399.7,784.4,694.6,770.9,502.9,204.8,659.5,344.2,724.5,577.8,553.6,63.9,330.7,480.4,78.3,705.4,403.9,639.6,318.9,240.2,505.5,107.0,550.7,751.8,59.7,719.5,765.2,462.5,765.6,92.5,238.5,714.4,413.2,636.1,237.7,115.1,518.7,96.8,159.8,612.5,757.0,541.6,216.8,666.7,771.4,524.6,59.5,822.1,571.6,530.5,764.0,357.2,815.5,31.8,626.8,211.9,429.5,809.5,381.8,418.1,534.6,768.3,784.5,495.0,748.9,772.4,494.9,587.9,453.9,736.2,519.4,525.6,149.1,447.9,539.3,770.7,416.9,778.1,813.6,507.4,334.6,44.2,563.3,781.8,829.2,215.4
ET,805.8,2940.4,636.1,135.7,853.5,466.9,745.3,596.3,326.0,861.5,57.7,206.1,770.1,427.9,258.2,865.2,828.6,842.0,822.4,523.4,138.3,822.9,396.9,743.4,842.9,0.0,2.1,218.8,859.1,771.1,805.0,719.0,499.2,548.8,320.2,176.8,806.3,266.6,226.0,739.3,123.9,850.1,606.9,746.6,867.4,778.8,764.9,758.7,511.7,712.0,446.5,367.1,216.4,784.5,579.9,167.4,198.9,24.0,539.6,760.5,349.3,648.4,230.7,347.5,547.9,814.9,671.6,595.1,796.2,235.2,636.1,241.3,642.9,865.3,437.1,785.5,542.9,129.8,843.1,170.4,130.5,526.2,148.3,857.9,780.1,165.3,608.5,247.9,862.8,793.6,450.3,880.2,747.7,526.9,150.6,535.5,761.8,265.0,154.1,478.7,824.9,17.0,565.9,522.7,30.9,626.0,52.2,815.2,300.2,837.0,528.7,145.6,597.8,532.8,448.2,196.4,142.6,492.4,173.8,109.2,426.5,502.3,612.0,145.4,570.9,577.1,792.2,606.0,558.9,174.0,584.2,160.8,54.0,479.6,664.8,880.0,582.9,114.2,128.0,760.4
EW,803.6,2938.2,633.9,133.5,851.3,464.7,744.0,594.1,323.8,859.3,59.9,203.9,767.9,425.7,256.0,863.0,826.4,839.8,820.2,521.2,136.1,820.7,394.7,741.2,840.7,2.1,0.0,208.7,856.9,768.9,802.8,716.8,497.0,546.6,329.8,174.6,804.1,264.4,223.8,737.1,121.7,847.9,604.7,744.4,865.2,776.6,762.7,756.5,509.5,709.8,444.3,364.9,214.2,782.3,577.7,165.2,196.7,21.8,537.4,758.3,347.1,646.2,228.5,345.3,545.7,812.7,669.4,592.9,794.0,233.0,633.9,239.1,640.7,863.1,434.9,783.3,540.7,127.6,840.9,168.2,128.3,524.0,146.1,855.7,777.9,163.1,606.3,245.7,860.6,791.4,448.1,878.0,745.5,524.7,148.4,533.3,759.6,253.3,151.9,476.5,822.7,19.2,563.7,520.5,28.7,619.3,54.4,813.0,298.0,834.8,526.5,143.4,595.6,530.6,446.0,194.2,140.4,490.2,171.6,107.0,424.3,500.1,609.8,143.2,568.7,574.9,790.0,603.8,556.7,171.8,582.0,158.6,56.2,477.4,662.6,877.8,580.7,112.0,128.6,758.2
EZ,706.3,2834.2,536.6,72.7,754.0,353.1,646.7,491.2,305.0,762.0,178.3,57.4,670.6,325.6,64.0,765.7,729.1,742.5,722.9,423.9,208.9,723.4,299.5,643.9,743.4,204.7,202.5,0.0,762.6,676.5,705.5,619.5,452.4,449.3,178.2,127.1,706.8,240.7,51.6,644.7,84.5,750.6,507.4,652.0,767.9,679.3,665.4,659.2,417.1,617.4,344.2,225.1,24.1,685.0,473.8,199.9,51.1,201.7,481.2,661.0,328.3,550.8,36.5,295.3,463.6,715.4,555.2,495.6,696.7,42.4,556.5,99.3,543.4,765.8,337.6,686.0,496.1,153.0,739.0,28.1,197.5,450.0,166.8,758.4,680.6,115.6,522.4,222.0,768.2,694.1,350.8,785.6,648.2,427.4,84.1,451.2,662.3,70.8,186.6,389.5,725.4,221.8,481.6,475.9,208.6,523.9,184.1,715.7,158.2,737.5,434.1,212.6,496.0,433.3,363.9,169.5,209.6,392.9,150.1,176.2,327.0,402.8,570.1,137.4,476.3,477.6,692.7,559.2,459.4,171.9,537.4,179.3,182.2,395.3,559.1,780.5,488.3,94.2,195.0,660.9
FB,161.3,2512.2,311.4,774.7,42.0,568.9,277.9,573.5,601.9,217.0,844.0,722.1,230.5,548.0,731.3,220.7,52.5,215.5,111.2,506.2,840.1,178.4,537.9,264.2,198.4,842.3,840.1,770.3,0.0,281.2,160.5,209.1,506.3,531.6,681.1,760.2,176.2,660.8,730.5,274.0,786.5,205.6,589.7,210.0,222.9,239.2,275.0,233.9,474.1,243.7,566.6,728.0,750.0,166.6,403.3,819.0,728.9,805.2,498.3,258.6,666.3,343.5,761.8,581.6,552.9,184.8,330.0,496.7,151.7,739.7,403.2,673.9,318.2,238.8,604.0,141.0,550.0,786.1,194.0,753.8,806.7,465.2,799.9,213.4,241.5,748.7,412.5,678.8,236.3,149.1,594.4,235.7,208.1,611.8,791.3,540.9,222.2,710.5,808.7,523.9,180.4,856.4,570.9,529.8,801.3,359.1,849.8,170.7,661.1,210.5,431.8,843.8,381.1,434.4,533.9,802.6,818.8,529.3,783.2,806.7,593.4,587.2,456.2,770.5,553.7,559.9,87.5,447.2,573.6,805.0,416.2,812.4,847.9,506.7,333.9,235.5,600.6,816.1,860.7,220.8
FF,213.6,2546.5,214.6,677.9,281.3,469.1,176.9,482.3,505.1,258.4,747.2,622.3,140.2,451.2,634.5,262.1,256.4,171.1,250.2,409.4,739.7,219.8,441.1,89.7,239.8,742.5,740.3,673.5,289.9,0.0,212.8,94.3,409.5,434.8,584.3,663.4,199.6,564.0,633.7,174.2,689.7,247.0,492.9,139.9,264.3,155.9,3.0,134.0,374.3,146.9,469.8,631.2,653.2,177.8,306.5,722.2,632.1,708.4,401.5,106.8,566.5,246.7,662.0,484.8,456.1,208.2,233.2,399.9,204.0,642.9,306.4,577.1,221.4,182.5,507.2,193.3,453.2,689.3,240.0,657.0,709.9,365.4,703.1,254.8,128.8,651.9,315.7,582.0,186.4,201.4,497.6,277.1,141.0,515.0,694.5,444.1,131.9,604.2,708.9,427.1,221.8,759.6,474.1,433.0,701.5,259.7,753.0,212.1,564.3,218.9,332.0,747.0,284.3,337.6,437.1,705.8,722.0,432.5,686.4,709.9,496.6,490.4,356.4,673.7,456.9,463.1,220.0,350.4,476.8,708.2,319.4,715.6,751.1,409.9,237.1,276.9,500.8,719.3,763.9,153.7
FG,103.2,2469.5,288.7,716.3,183.2,543.2,251.0,520.7,574.0,99.5,785.6,660.7,199.6,525.3,672.9,103.2,161.4,192.8,155.2,447.8,778.1,60.9,515.2,205.3,80.9,780.9,778.7,716.2,191.9,258.5,0.0,186.4,483.6,473.2,634.5,701.8,58.7,630.7,672.1,248.3,728.1,88.1,531.3,185.0,105.4,139.1,255.0,211.2,448.4,221.0,543.9,669.6,691.6,49.1,376.3,760.3,670.5,746.8,479.5,188.2,635.4,320.8,700.4,553.7,530.2,67.3,307.3,456.3,8.7,681.3,380.5,615.5,295.5,216.1,481.4,82.9,527.3,727.7,81.1,695.4,741.1,439.1,741.5,95.9,221.9,690.3,389.8,612.0,213.6,91.0,494.6,118.2,143.2,589.1,732.9,518.2,200.2,642.6,747.3,501.2,62.9,798.0,548.2,507.1,739.9,333.8,791.4,53.2,602.7,187.8,406.1,785.4,358.4,394.0,511.2,744.2,760.4,470.9,724.8,748.3,470.8,564.5,430.5,712.1,495.3,501.5,125.0,424.5,515.2,746.6,393.5,754.0,789.5,484.0,311.2,118.0,539.2,757.7,805.1,198.8
FI,176.0,2508.9,157.0,620.3,243.7,411.5,119.3,424.7,447.5,220.8,689.6,564.7,131.6,393.6,576.9,224.5,218.8,76.7,212.6,351.8,682.1,182.2,383.5,81.1,202.2,684.9,682.7,620.2,249.3,108.8,175.2,0.0,351.9,377.2,538.5,605.8,162.0,506.4,576.1,116.6,632.1,209.4,435.3,136.9,226.7,147.3,105.3,39.6,316.7,89.3,412.2,573.6,595.6,140.2,248.9,664.6,574.5,650.8,347.8,98.2,508.9,189.1,604.4,427.2,398.5,170.6,175.6,342.3,166.4,585.3,248.8,519.5,163.8,88.1,449.6,155.7,395.6,631.7,202.4,599.4,652.3,307.8,645.5,217.2,117.8,594.3,258.1,524.4,205.1,163.8,440.0,239.5,153.0,457.4,636.9,386.5,123.3,546.6,651.3,369.5,184.2,702.0,416.5,375.4,643.9,202.1,695.4,174.5,506.7,179.3,274.4,689.4,226.7,280.0,379.5,648.2,664.4,374.9,628.8,652.3,439.0,432.8,298.8,616.1,399.3,405.5,182.4,292.8,419.2,650.6,261.8,658.0,693.5,352.3,179.5,239.3,443.2,661.7,706.3,150.7
FK,487.5,2688.9,242.2,460.4,605.6,98.2,409.2,352.8,166.5,532.3,475.3,360.5,437.3,125.2,372.7,536.0,583.8,463.0,577.6,279.9,502.3,493.7,152.6,410.6,513.7,501.7,499.5,416.0,614.3,438.3,486.7,386.2,0.0,305.3,334.3,401.6,473.5,225.4,371.9,406.5,448.6,520.9,363.4,413.8,538.2,446.0,434.8,425.9,164.3,379.2,136.3,369.4,391.4,451.7,150.4,531.1,370.3,446.0,114.0,427.7,227.9,190.2,400.2,146.2,118.4,482.1,213.4,338.7,477.9,381.1,177.9,315.3,233.5,474.4,118.7,467.2,43.6,493.8,513.9,395.2,480.4,97.1,512.3,528.7,449.7,390.1,150.3,243.4,460.3,475.3,109.1,551.0,414.9,126.5,475.3,106.0,429.0,342.4,518.1,56.2,495.7,518.8,136.4,23.5,439.1,167.8,481.1,486.0,302.5,492.8,160.7,509.6,168.3,276.4,48.6,444.0,506.6,247.6,424.6,473.2,108.1,101.9,153.8,411.9,327.4,333.6,547.4,147.8,347.3,446.4,126.0,524.8,479.2,50.1,206.6,550.8,371.3,438.9,494.8,427.6
FL,511.6,2639.5,374.0,475.7,559.3,407.2,483.2,88.1,333.4,603.0,545.0,420.1,508.0,343.4,432.3,606.7,534.4,547.8,528.2,33.5,537.5,564.4,312.4,481.3,584.4,540.3,538.1,475.6,564.9,509.0,510.8,456.9,350.0,0.0,393.9,461.2,544.2,390.1,431.5,477.2,487.5,591.6,98.7,484.5,608.9,516.7,505.5,496.6,199.5,449.9,445.3,429.0,451.0,522.4,265.4,520.0,429.9,506.2,272.4,498.4,394.8,338.1,459.8,313.1,323.1,552.8,361.3,300.9,502.0,440.7,343.8,374.9,380.8,571.1,240.8,491.3,393.7,487.1,584.6,454.8,507.7,232.4,500.9,599.4,520.4,449.7,309.7,371.4,568.6,499.4,254.0,621.7,485.6,330.6,492.3,311.1,499.7,402.0,506.7,365.2,566.4,557.4,341.1,373.5,499.3,315.7,550.8,556.7,362.1,542.8,216.5,544.8,283.3,238.6,308.9,503.6,519.8,131.9,484.2,507.7,230.2,306.0,371.7,471.5,62.7,68.9,498.0,365.7,144.2,506.0,363.9,513.4,548.9,276.9,354.5,621.5,168.2,517.1,561.7,498.3
FQ,641.7,2769.6,472.0,193.0,689.4,283.6,582.1,426.6,235.5,697.4,298.6,113.7,606.0,261.0,125.9,701.1,664.5,677.9,651.1,359.3,252.7,658.8,222.8,579.3,678.8,317.8,322.8,164.9,698.0,599.8,640.9,554.9,387.8,384.7,0.0,172.8,642.2,176.1,125.1,568.0,204.8,686.0,442.8,582.5,703.3,614.7,600.8,594.6,347.6,547.9,279.6,124.0,167.7,620.4,409.2,224.4,141.5,292.2,416.6,596.4,258.8,486.2,153.4,230.7,399.0,650.8,490.6,431.0,632.1,134.3,491.9,68.5,478.8,701.2,273.0,621.4,431.5,198.7,674.4,148.4,212.1,380.5,212.5,693.8,616.0,161.3,457.8,157.4,691.5,629.5,286.2,708.9,583.6,362.8,204.4,386.6,597.7,105.1,218.3,324.9,660.8,342.1,417.0,411.3,285.3,459.3,304.4,651.1,57.1,672.9,364.6,256.4,431.4,368.7,299.3,215.2,231.4,328.3,195.8,219.3,262.4,338.2,500.6,183.1,406.8,413.0,628.1,494.6,394.8,217.6,472.8,225.0,302.5,330.7,494.5,715.9,418.8,214.5,259.8,596.3
GA,710.2,2838.1,540.5,120.7,754.8,352.1,646.4,500.7,304.0,765.9,139.9,145.2,674.5,329.5,137.8,769.6,733.0,746.4,726.8,427.8,97.3,727.3,298.5,647.8,747.3,166.3,164.1,110.2,763.5,675.5,709.4,623.4,456.3,453.2,194.0,0.0,710.7,244.6,139.4,643.7,132.5,754.5,511.3,651.0,771.8,683.2,672.0,663.1,416.1,616.4,348.1,229.1,96.0,688.9,482.0,73.3,74.9,163.3,489.0,664.9,327.3,554.7,110.3,299.2,467.5,719.3,559.1,499.5,700.6,130.2,560.4,155.0,547.3,769.7,341.5,689.9,500.0,46.9,747.5,124.6,60.3,448.6,60.7,762.3,686.9,11.4,526.3,225.9,767.2,698.0,354.7,784.6,652.1,431.3,137.3,455.1,666.2,168.1,66.5,393.4,729.3,183.4,485.5,479.8,170.2,532.3,145.7,719.6,162.2,741.4,433.1,104.6,499.9,437.2,367.8,42.3,79.6,396.8,18.9,67.5,330.9,406.7,569.1,31.3,475.3,481.5,696.6,563.1,463.3,64.7,541.3,73.2,143.8,399.2,563.0,784.4,487.3,142.2,110.8,664.8
GG,101.2,2467.5,268.0,714.3,184.3,522.5,233.6,513.1,558.5,90.0,783.6,658.7,172.1,504.6,670.9,93.7,159.4,190.8,153.2,445.8,776.1,51.4,494.5,177.8,71.4,778.9,776.7,714.2,192.9,323.5,61.0,165.7,462.9,471.2,632.5,699.8,0.0,617.4,670.1,227.6,726.1,78.6,529.3,157.5,95.9,111.6,320.0,205.4,427.7,200.3,523.2,667.6,689.6,21.6,355.6,758.6,668.5,744.8,458.8,160.7,619.9,300.1,698.4,538.2,509.5,8.6,286.6,453.3,52.2,679.3,359.8,613.5,274.8,214.1,479.4,80.9,506.6,725.7,67.0,693.4,746.3,418.8,739.5,86.4,192.0,688.3,369.1,610.0,200.8,89.0,492.6,108.7,115.7,568.4,730.9,497.5,172.7,640.6,745.3,480.5,53.4,796.0,527.5,486.4,737.9,313.1,789.4,43.7,600.7,185.8,385.4,783.4,337.7,391.0,490.5,742.2,758.4,468.9,722.8,746.3,468.8,543.8,409.8,710.1,493.3,499.5,123.0,403.8,513.2,744.6,372.8,752.0,787.5,463.3,290.5,108.5,537.2,755.7,800.3,171.3
GH,614.8,2742.7,433.7,234.9,659.4,200.2,551.0,405.3,59.3,670.5,249.8,199.2,579.1,161.2,211.4,674.2,637.6,651.0,631.4,332.4,276.8,631.9,130.2,552.4,651.9,276.2,274.0,310.1,668.1,580.1,614.0,528.0,232.5,357.8,173.0,240.3,615.3,0.0,210.6,548.3,223.1,659.1,415.9,555.6,676.4,587.8,576.6,567.7,320.7,521.0,179.8,208.1,230.1,593.5,313.2,305.6,209.0,220.5,276.8,569.5,82.6,381.7,238.9,80.8,281.2,623.9,404.9,404.1,605.2,219.8,369.4,154.0,425.0,674.3,246.1,594.5,276.2,268.3,652.1,269.6,254.9,259.9,286.8,666.9,591.5,228.8,341.8,17.9,671.8,602.6,259.3,689.2,556.7,307.3,249.8,268.8,570.8,181.1,292.6,212.0,633.9,293.3,299.2,256.0,213.6,359.3,255.6,624.2,141.2,646.0,323.5,284.1,331.1,341.8,181.5,334.9,281.1,301.4,312.3,247.7,235.5,282.7,345.3,283.9,379.9,386.1,601.2,339.3,367.9,312.5,317.5,299.3,253.7,212.9,398.1,689.0,391.9,213.4,269.3,569.4
GI,681.4,2809.3,511.7,89.1,726.0,323.3,617.6,471.9,275.2,737.1,194.7,5.8,645.7,300.7,49.6,740.8,704.2,717.6,698.0,399.0,221.7,698.5,269.7,619.0,718.5,221.1,218.9,53.7,734.7,646.7,680.6,594.6,427.5,424.4,147.2,156.3,681.9,215.8,0.0,614.9,100.9,725.7,482.5,622.2,743.0,654.4,643.2,634.3,387.3,587.6,319.3,182.3,53.3,660.1,453.2,214.8,80.3,218.1,460.2,636.1,298.5,525.9,39.0,270.4,438.7,690.5,530.3,470.7,671.8,9.1,531.6,56.5,518.5,740.9,312.7,661.1,471.2,182.2,718.7,44.5,199.8,419.8,196.0,733.5,658.1,144.8,497.5,197.1,738.4,669.2,325.9,755.8,623.3,402.5,100.5,426.3,637.4,70.7,201.8,364.6,700.5,238.2,456.7,451.0,225.0,503.5,200.5,690.8,115.4,712.6,404.3,229.0,471.1,408.4,339.0,198.7,226.0,368.0,179.3,192.6,302.1,377.9,540.3,166.6,446.5,452.7,667.8,534.3,434.5,201.1,512.5,208.5,198.6,370.4,534.2,755.6,458.5,110.6,214.2,636.0
GL,227.5,2560.4,166.9,630.2,295.2,421.4,11.1,434.6,457.4,272.3,699.5,574.6,177.3,403.5,586.8,276.0,270.3,203.0,264.1,361.7,692.0,233.7,393.4,150.6,253.7,694.8,692.6,625.8,300.8,178.3,226.7,126.2,361.8,387.1,536.6,615.7,213.5,516.3,586.0,0.0,642.0,260.9,445.2,153.8,278.2,186.0,172.1,165.9,326.6,42.3,422.1,583.5,605.5,191.7,258.8,674.5,584.4,660.7,353.8,167.7,518.8,199.0,614.3,437.1,408.4,222.1,185.5,352.2,217.9,595.2,258.7,529.4,173.7,214.4,459.5,207.2,405.5,641.6,249.3,609.3,662.2,317.7,655.4,268.7,187.3,604.2,268.0,534.3,200.3,215.3,449.9,291.0,154.9,467.3,646.8,396.4,169.0,556.5,661.2,379.4,235.7,711.9,426.4,385.3,653.8,212.0,705.3,226.0,516.6,232.8,284.3,699.3,236.6,289.9,389.4,658.1,674.3,384.8,638.7,662.2,448.9,442.7,308.7,626.0,409.2,415.4,233.9,302.7,429.1,660.5,271.7,667.9,703.4,362.2,189.4,290.8,453.1,671.6,716.2,167.6
GY,742.2,2870.1,572.5,11.7,786.8,430.0,678.4,532.7,289.1,797.9,93.7,82.1,706.5,391.0,134.2,801.6,765.0,778.4,758.8,459.8,120.7,759.3,360.0,679.8,779.3,120.1,117.9,86.9,795.5,707.5,741.4,655.4,462.3,485.2,208.0,159.2,742.7,229.7,102.0,675.7,0.0,786.5,543.3,683.0,803.8,715.2,704.0,695.1,448.1,648.4,409.6,243.1,92.4,720.9,543.0,149.5,74.9,117.1,506.6,696.9,312.4,611.5,106.7,310.6,511.0,751.3,634.7,531.5,732.6,111.2,599.2,117.3,579.3,801.7,373.5,721.9,506.0,112.2,779.5,46.4,98.8,489.7,130.7,794.3,718.9,147.7,571.6,211.0,799.2,730.0,386.7,816.6,684.1,463.3,26.6,498.6,698.2,131.5,136.5,441.8,761.3,137.2,529.0,485.8,124.0,589.1,99.5,751.6,176.2,773.4,465.1,128.0,560.9,469.2,411.3,178.8,125.0,428.8,156.2,91.6,362.9,438.7,575.1,127.8,507.3,513.5,728.6,569.1,495.3,156.4,547.3,143.2,97.6,442.7,627.9,816.4,519.3,9.6,113.2,696.8
GZ,130.2,2496.5,315.0,743.3,210.2,569.5,277.3,547.7,601.0,11.3,812.6,687.7,219.1,551.6,699.9,55.3,188.4,219.8,182.2,474.8,805.1,40.4,541.5,224.8,60.4,807.9,805.7,743.2,218.9,370.5,90.0,212.7,509.9,500.2,661.5,728.8,58.2,657.7,699.1,274.6,755.1,0.0,558.3,204.5,104.9,158.6,367.0,238.2,474.7,247.3,570.2,696.6,718.6,68.6,402.6,787.3,697.5,773.8,505.8,207.7,662.4,347.1,727.4,580.7,556.5,66.8,333.6,483.3,81.2,708.3,406.8,642.5,321.8,243.1,508.4,109.9,553.6,754.7,80.6,722.4,768.1,465.4,768.5,50.0,241.4,717.3,416.1,639.0,240.6,118.0,521.6,117.7,162.7,615.4,759.9,544.5,219.7,669.6,774.3,527.5,15.0,825.0,574.5,533.4,766.9,360.1,818.4,52.7,629.7,214.8,432.4,812.4,384.7,421.0,537.5,771.2,787.4,497.9,751.8,775.3,497.8,590.8,456.8,739.1,522.3,528.5,152.0,450.8,542.2,773.6,419.8,781.0,816.5,510.3,337.5,29.9,566.2,784.7,832.1,218.3
HB,535.8,2663.7,398.2,499.9,580.4,431.4,504.1,58.9,357.6,627.2,569.2,444.3,532.2,367.6,456.5,630.9,558.6,572.0,552.4,57.7,561.7,588.6,336.6,505.5,608.6,564.5,562.3,499.8,589.1,533.2,535.0,481.1,374.2,84.8,418.1,485.4,568.4,414.3,455.7,501.4,511.7,615.8,0.0,508.7,633.1,540.9,529.7,520.8,223.7,474.1,469.5,453.2,475.2,546.6,289.6,543.9,454.1,530.4,296.6,522.6,419.0,362.3,484.0,337.3,347.3,577.0,385.5,325.1,526.2,464.9,368.0,399.1,405.0,595.3,265.0,515.5,417.9,511.3,608.8,479.0,524.7,256.2,525.1,623.6,544.6,473.9,333.9,395.6,592.8,523.6,278.2,645.9,509.8,354.8,516.5,335.3,523.9,426.2,530.9,389.4,590.6,581.6,365.3,397.7,523.5,339.9,575.0,580.9,386.3,567.0,240.7,569.0,307.5,262.8,333.1,527.8,544.0,156.1,508.4,531.9,254.4,330.2,395.9,495.7,20.8,17.2,522.2,389.9,168.4,530.2,388.1,537.6,573.1,301.1,378.7,645.7,192.4,541.3,588.7,522.5
HC,158.3,2491.2,247.6,738.0,226.0,502.1,209.9,536.8,538.1,203.1,807.3,682.4,59.1,484.2,694.6,206.8,201.1,204.1,194.9,469.5,801.8,164.5,474.1,92.8,184.5,802.6,800.4,737.9,234.6,170.4,157.5,127.3,442.5,494.9,656.2,723.5,144.3,597.0,693.8,207.2,749.8,191.7,553.0,0.0,209.0,62.8,164.2,167.0,407.3,179.9,502.8,691.3,713.3,122.5,339.5,782.3,692.2,768.5,434.5,87.2,599.5,279.7,722.1,517.8,489.1,152.9,266.2,432.9,148.7,703.0,339.4,637.2,254.4,215.5,540.2,138.0,486.2,749.4,184.7,717.1,762.8,398.4,763.2,199.5,72.5,712.0,348.7,615.0,200.7,146.1,530.6,221.8,31.7,548.0,754.6,477.1,50.8,664.3,769.0,460.1,166.5,819.7,507.1,466.0,761.6,292.7,813.1,156.8,624.4,174.9,365.0,807.1,317.3,370.6,470.1,765.9,782.1,492.6,746.5,770.0,529.6,523.4,389.4,733.8,517.0,523.2,164.7,383.4,536.9,768.3,352.4,775.7,811.2,442.9,270.1,221.6,560.9,779.4,824.0,13.7
HP,150.2,2516.5,335.0,763.3,230.2,589.5,297.3,567.7,621.0,99.0,832.6,707.7,239.1,571.6,719.9,84.7,208.4,239.8,202.2,494.8,825.1,42.4,561.5,244.8,62.4,827.9,825.7,763.2,238.9,390.5,110.0,232.7,529.9,520.2,681.5,748.8,78.2,677.7,719.1,294.6,775.1,87.6,578.3,224.5,0.0,178.6,387.0,258.2,494.7,267.3,590.2,716.6,738.6,88.6,422.6,807.3,717.5,793.8,525.8,227.7,682.4,367.1,747.4,600.7,576.5,86.8,353.6,503.3,101.2,728.3,426.8,662.5,341.8,263.1,528.4,129.9,573.6,774.7,16.6,742.4,788.1,485.4,788.5,95.4,261.4,737.3,436.1,659.0,260.6,138.0,541.6,12.8,182.7,635.4,779.9,564.5,239.7,689.6,794.3,547.5,62.4,845.0,594.5,553.4,786.9,380.1,838.4,35.6,649.7,234.8,452.4,832.4,404.7,441.0,557.5,791.2,807.4,517.9,771.8,795.3,517.8,610.8,476.8,759.1,542.3,548.5,172.0,470.8,562.2,793.6,439.8,801.0,836.5,530.3,357.5,106.7,586.2,804.7,852.1,238.3
HS,198.5,2531.4,262.6,725.9,281.2,517.1,224.9,530.3,553.1,170.0,795.2,670.3,60.4,499.2,682.5,173.7,259.4,224.5,253.2,457.4,787.7,131.4,489.1,66.1,151.4,790.5,788.3,725.8,289.9,190.8,161.0,147.7,457.5,482.8,644.1,711.4,111.2,612.0,681.7,222.2,737.7,158.6,540.9,92.8,175.9,0.0,187.3,187.4,422.3,194.9,517.8,679.2,701.2,89.4,350.2,769.9,680.1,756.4,453.4,49.0,614.5,294.7,710.0,532.8,504.1,119.8,281.2,447.9,152.2,690.9,354.4,625.1,269.4,235.9,555.2,178.2,501.2,737.3,151.6,705.0,750.7,413.0,751.1,166.4,127.7,699.9,363.7,630.0,195.4,186.3,545.6,188.7,58.9,563.0,742.5,492.1,68.7,652.2,756.9,475.1,133.4,807.6,522.1,481.0,749.5,307.7,801.0,123.7,612.3,215.1,380.0,795.0,332.3,385.6,485.1,753.8,770.0,480.5,734.4,757.9,544.6,538.4,404.4,721.7,504.9,511.1,223.0,398.4,524.8,756.2,367.4,763.6,799.1,457.9,285.1,188.5,548.8,767.3,814.7,106.6
