from_stop,AG,AM,AZ,BE,BP,BR,BX,CA,CC,CD,CE,CG,CY,DA,DB,DF,DG,DP,DQ,DY,DZ,EJ,EL,EU,FA,FB,FF,FH,FR,FW,FZ,GA,GJ,GQ,GR,GV,GW,HC,HK,HM,HO,HQ,HR,HU,HV,IA,IC,IF,IG,IN,IQ,IT,JF,JI,JJ,JQ,JR,JY,KB,KD,KF,KL,KO,KQ,KT,KX,LP,LU,MH,MP,MQ,MS,MT,MX,MY,MZ,NA,NB,NC,NE,NP,NT,NW,OD,OF,OL,OO,OQ,OV,PH,PJ,PN,PQ,PT,PU,PZ,QN,QU,QV,RD,RI,RM,RN,RO,RS,SD,SH,SL,SO,ST,SW,TD,TH,TZ,UF,UI,UL,UM,UU,VC,VG,VL,VQ,VV,WN,WW,WY,XF,XG,XJ,XR,XU,XZ,YB,YF,YG,ZE,ZH,ZL,ZS
EL,273.7,1450.2,500.5,523.7,686.6,401.9,450.9,633.4,500.8,597.1,443.4,465.0,179.5,235.5,357.6,612.2,526.9,470.1,92.7,342.1,618.4,704.8,0.0,367.9,115.8,346.8,548.2,525.5,657.6,458.2,106.7,565.4,184.4,523.2,207.5,611.1,504.6,497.2,334.1,702.0,658.9,79.9,433.5,392.4,226.0,160.1,24.0,15.5,632.3,337.1,485.2,151.2,567.2,454.7,396.6,362.5,657.7,485.3,220.2,328.7,192.8,582.1,308.9,460.6,560.3,450.4,377.4,463.4,125.1,161.5,379.5,59.2,665.2,424.8,596.0,129.2,569.6,249.5,513.5,566.6,285.7,220.4,658.6,578.6,368.5,419.0,168.4,72.5,202.5,447.1,533.0,290.6,533.8,661.5,115.5,549.4,473.7,435.0,228.0,563.4,376.5,432.9,96.0,141.8,98.7,380.1,86.4,551.2,387.5,150.6,341.4,245.1,464.0,164.9,477.3,689.6,123.0,84.9,332.3,571.7,660.2,148.3,123.9,421.4,657.5,442.4,589.2,296.2,401.5,434.9,510.0,528.8,453.1,501.1,556.1,201.5,491.8,525.6,184.6,197.9
EU,166.9,1783.6,374.0,424.4,571.0,116.5,287.3,561.1,401.1,481.5,99.2,192.5,302.5,375.6,170.4,496.6,411.3,121.8,354.2,64.7,483.3,642.3,373.7,0.0,270.6,97.5,406.1,466.7,542.0,109.9,423.1,465.7,307.4,407.6,174.9,495.5,389.0,415.5,47.8,566.9,585.2,389.4,85.2,185.8,175.7,262.9,397.8,359.2,516.7,194.5,358.7,254.0,432.1,81.4,277.3,79.3,559.6,403.6,240.0,130.2,343.0,484.0,167.3,180.6,386.4,352.3,29.1,115.1,382.2,330.4,133.6,368.7,592.9,76.5,460.9,298.1,454.0,332.0,413.8,451.0,178.9,197.0,586.3,478.9,124.7,320.9,425.7,352.5,325.5,320.6,433.3,97.5,434.1,545.9,304.4,367.6,257.5,296.2,298.6,465.3,250.0,303.6,430.0,416.0,408.2,192.9,451.4,451.5,72.8,406.5,124.9,156.6,277.5,353.8,361.7,554.5,353.6,315.5,105.9,397.8,562.1,317.2,463.1,350.9,522.4,371.9,473.6,93.0,62.9,307.4,336.1,463.2,292.9,395.7,456.4,302.7,376.2,351.7,307.6,212.1
FA,155.1,1529.7,554.3,556.9,746.4,298.6,403.1,693.6,533.6,656.9,319.3,347.5,153.3,190.6,320.9,667.8,582.5,379.5,100.3,223.5,674.0,831.2,119.8,287.5,0.0,228.2,538.6,599.2,713.2,375.1,169.2,598.2,177.4,578.8,207.6,666.7,560.2,548.0,236.0,755.8,720.4,139.7,339.7,336.3,107.4,11.8,143.9,105.3,687.9,345.0,510.9,23.1,622.8,330.1,409.8,264.4,684.6,536.1,272.7,202.6,152.7,616.5,190.3,360.4,518.9,529.3,308.9,380.3,128.3,152.0,292.4,128.6,725.4,341.7,651.6,140.1,625.2,242.5,546.3,622.2,159.6,229.7,718.8,618.4,248.2,453.4,128.3,98.6,209.9,493.9,565.8,172.0,566.6,721.3,97.6,500.1,390.0,428.9,127.4,597.8,423.3,463.6,176.1,163.0,154.3,335.9,197.7,584.0,289.4,152.6,258.7,126.5,410.0,142.8,532.9,743.4,82.9,49.0,264.7,530.3,694.6,154.4,214.2,483.4,703.8,504.4,644.8,177.6,282.9,439.9,468.6,595.7,425.4,566.9,588.9,179.4,547.4,484.2,162.5,79.2
FB,108.4,1781.4,375.9,399.1,572.9,187.2,308.4,522.7,422.2,483.4,156.7,232.3,341.4,414.5,209.5,498.5,413.2,179.3,352.0,103.6,485.2,644.2,371.5,77.1,251.6,0.0,427.2,440.4,543.9,167.4,420.9,486.8,346.3,409.5,213.8,497.4,390.9,372.6,86.7,568.8,543.8,387.2,142.7,224.9,156.7,243.9,395.6,357.0,518.6,233.6,360.6,235.0,434.0,163.9,298.4,118.2,531.0,360.7,278.9,32.6,381.9,457.5,78.9,245.9,407.5,325.8,86.6,172.6,380.0,369.3,64.1,366.5,550.0,134.0,462.8,337.0,455.9,370.9,434.9,452.9,96.3,235.9,512.0,500.0,138.5,294.4,380.0,350.3,364.4,322.5,454.4,136.4,455.2,547.8,343.3,388.7,278.6,317.3,329.8,438.8,251.9,305.5,427.8,413.8,406.0,232.0,449.2,472.6,143.2,404.3,27.3,137.6,298.6,392.7,363.6,556.4,334.6,296.5,144.8,418.9,533.5,356.1,460.9,296.8,524.3,317.8,475.5,131.9,120.4,328.5,357.2,484.3,314.0,397.6,477.5,341.6,378.1,372.8,346.5,193.1
FF,431.5,1843.9,294.0,45.9,376.4,347.2,279.9,295.8,135.8,291.5,388.7,346.1,578.5,478.5,349.5,292.6,301.4,492.6,622.3,429.6,280.7,278.7,555.8,457.5,518.1,459.9,0.0,201.4,346.7,498.1,641.0,152.6,490.9,324.5,436.8,356.8,255.2,71.1,446.3,358.0,319.9,589.0,473.4,364.9,468.3,510.4,579.9,541.3,312.7,373.6,243.6,501.5,444.1,540.4,220.2,474.7,383.9,76.4,501.9,441.8,522.7,390.2,395.5,373.9,174.7,308.7,429.0,461.3,601.9,592.3,448.5,568.8,327.6,464.7,313.8,560.0,250.0,451.0,148.5,247.0,419.4,458.9,321.0,213.6,335.1,277.3,530.8,602.1,526.7,212.5,168.0,486.6,168.8,287.1,650.2,48.8,223.7,262.4,542.5,407.7,182.4,276.4,647.6,633.9,571.0,372.0,642.3,169.7,499.7,624.4,410.4,460.7,212.7,699.6,271.9,345.6,576.4,590.9,444.5,186.1,352.2,579.1,651.3,168.8,313.5,189.8,316.1,482.1,405.9,242.6,124.4,84.7,285.5,248.5,191.1,628.5,313.1,140.0,539.0,459.6
FH,428.9,1768.7,225.0,203.2,307.3,344.6,235.4,226.7,123.9,222.4,386.1,343.5,621.2,521.2,346.9,223.5,173.5,490.0,587.3,472.3,211.6,284.7,520.8,401.9,572.1,402.8,227.7,0.0,277.6,495.5,606.0,143.7,533.6,249.3,479.5,288.1,121.4,172.3,489.0,288.9,250.8,554.0,470.8,362.3,477.2,564.4,544.9,506.3,243.6,305.9,156.3,555.5,368.9,488.7,189.6,517.4,314.8,180.0,544.6,439.2,565.4,321.1,392.9,371.3,217.4,192.6,426.4,458.7,566.9,630.8,413.5,533.8,258.5,462.1,244.7,602.7,180.9,493.7,136.6,177.9,416.8,501.6,251.9,114.5,332.5,189.4,573.5,567.1,569.4,177.5,156.1,505.3,156.9,272.8,610.1,165.0,216.1,177.4,580.0,363.6,147.4,141.8,614.7,598.9,536.0,369.4,607.3,138.0,480.1,589.4,375.4,458.1,178.4,659.5,196.7,276.5,619.1,617.0,487.2,228.8,283.1,621.8,646.0,111.0,244.4,102.5,266.2,510.9,403.3,149.3,167.1,142.5,228.1,114.7,122.0,671.2,237.9,182.7,581.7,513.6
FR,558.3,1758.3,385.1,281.5,114.3,539.5,431.3,136.1,273.5,195.9,581.0,538.4,770.8,670.8,541.8,53.4,215.8,684.9,741.0,621.9,185.1,196.1,702.1,554.4,701.5,555.3,306.0,315.5,0.0,690.4,677.5,256.2,683.2,238.9,629.1,261.2,213.5,252.1,602.3,120.7,242.3,654.9,665.7,557.2,606.6,693.8,726.2,687.6,60.0,487.2,318.0,684.9,289.0,641.2,385.5,667.0,306.3,264.5,694.2,571.1,715.0,312.6,522.3,566.2,367.0,257.7,621.3,653.6,655.0,784.6,566.0,637.6,250.0,657.0,218.2,752.3,87.0,643.3,286.2,144.0,546.2,651.2,243.4,228.4,527.4,360.3,723.1,720.8,719.0,364.2,305.7,634.7,306.5,127.8,763.8,307.2,412.0,373.3,734.8,330.1,334.1,318.8,702.8,644.4,636.9,564.3,697.6,273.3,632.6,634.9,527.9,587.5,374.3,813.2,186.3,108.3,768.7,733.2,636.8,378.4,274.6,771.4,691.5,306.9,142.6,280.9,220.5,647.5,598.2,345.2,316.7,220.8,424.0,220.2,193.3,820.8,227.5,332.3,731.3,643.0
FW,196.3,1784.2,419.6,424.7,616.6,127.5,287.6,561.4,401.4,527.1,92.2,203.5,387.8,460.9,181.4,542.2,456.9,22.4,439.5,150.0,528.9,687.9,425.9,85.2,339.5,182.8,406.4,467.0,587.6,0.0,508.4,466.0,392.7,453.2,260.2,541.1,434.6,415.8,133.1,612.5,585.5,474.7,7.7,196.8,244.6,331.8,450.0,411.4,562.3,205.5,404.3,322.9,477.7,172.0,277.6,164.6,559.9,403.9,325.3,157.5,428.3,484.3,160.3,188.3,386.7,352.6,56.7,80.5,467.5,415.7,137.6,454.0,593.2,41.9,506.5,383.4,499.6,417.3,414.1,496.6,184.2,282.3,586.6,479.2,117.7,321.2,467.9,437.8,410.8,366.2,433.6,182.8,434.4,591.5,389.7,367.9,257.8,296.5,383.9,465.6,295.6,349.2,515.3,501.3,441.1,203.9,512.4,451.8,163.4,491.8,114.3,225.5,277.8,439.1,407.3,600.1,422.5,384.4,191.2,398.1,562.4,402.5,548.4,351.2,568.0,372.2,519.2,178.3,55.9,307.7,336.4,463.5,293.2,441.3,456.7,388.0,421.8,352.0,392.9,281.0
FZ,324.7,1451.8,549.0,595.4,675.9,468.2,522.6,622.7,572.5,586.4,488.9,513.3,233.2,289.2,429.3,601.5,516.2,556.6,146.4,371.1,607.7,766.7,97.9,436.3,169.5,397.8,619.9,618.8,646.9,544.7,0.0,673.7,238.1,512.5,261.2,600.4,493.9,568.9,387.8,691.3,646.8,51.2,520.0,464.1,277.0,181.4,122.0,83.4,621.6,408.8,556.9,192.7,556.5,481.9,468.3,416.2,639.0,557.0,273.9,379.7,246.5,563.4,359.9,526.9,632.0,486.5,465.5,549.9,60.4,215.2,451.2,43.0,654.5,511.3,585.3,182.9,558.9,303.2,585.2,555.9,336.7,274.1,647.9,610.3,419.5,488.0,222.1,126.2,256.2,518.8,686.2,341.6,605.5,650.8,169.2,621.1,545.4,506.7,258.9,544.7,448.2,483.9,108.2,83.6,70.0,451.8,28.2,668.0,441.2,92.4,413.1,296.1,535.7,218.6,466.6,678.9,176.7,138.6,386.0,643.4,641.5,202.0,65.7,493.1,646.8,568.7,578.5,347.2,452.5,506.6,581.7,672.5,524.8,500.6,567.8,255.2,481.1,597.3,238.3,248.8
GA,468.9,1806.7,290.8,108.5,339.2,384.6,271.3,258.6,54.5,254.3,426.1,383.5,615.9,515.9,386.9,206.2,264.2,530.0,619.1,467.0,243.5,238.3,552.6,433.7,555.5,434.6,133.0,164.2,309.5,535.5,637.8,0.0,528.3,287.3,474.2,319.6,189.1,100.0,483.7,320.8,282.7,585.8,510.8,402.3,505.7,547.8,576.7,538.1,226.3,337.7,240.4,538.9,406.9,577.8,217.0,512.1,346.7,85.3,539.3,479.2,560.1,353.0,432.9,411.3,212.1,260.3,466.4,498.7,598.7,629.7,445.3,565.6,290.4,502.1,276.6,597.4,212.8,488.4,41.8,209.8,456.8,496.3,283.8,101.8,372.5,274.1,568.2,598.9,564.1,209.3,55.6,524.0,54.2,237.7,641.9,134.2,261.1,227.2,579.9,370.5,179.2,209.5,646.5,630.7,567.8,409.4,639.1,52.7,537.1,621.2,407.2,498.1,250.1,691.3,234.7,308.4,613.8,628.3,481.9,223.5,315.0,616.5,677.8,165.6,276.3,186.6,278.9,519.5,443.3,199.1,161.8,47.8,273.5,182.4,153.9,665.9,275.9,177.4,576.4,497.0
GJ,330.3,1503.7,661.0,547.2,764.5,435.2,606.0,683.9,523.9,679.6,417.9,511.2,87.5,68.1,489.1,680.7,669.4,440.5,187.2,253.4,668.8,821.5,260.3,318.6,175.1,354.9,528.9,589.5,734.8,428.6,301.3,588.5,0.0,665.7,143.5,753.6,647.1,538.3,270.1,746.1,708.0,222.4,403.9,504.5,282.6,187.0,234.6,275.8,700.8,513.2,645.7,198.3,709.7,364.2,557.1,298.5,779.5,526.4,156.2,385.3,64.9,703.9,365.5,499.3,509.2,572.2,347.8,433.8,301.7,163.4,391.0,201.7,715.7,395.2,738.5,131.1,638.1,65.0,536.6,635.1,342.3,156.4,709.1,601.7,425.1,540.8,119.1,185.5,35.7,607.6,556.1,310.4,556.9,730.0,192.8,490.4,576.2,614.9,207.1,685.2,537.0,554.7,272.6,324.0,241.2,511.6,281.0,574.3,323.5,239.5,382.3,301.7,596.2,242.2,619.8,733.7,119.0,133.5,268.3,520.6,740.3,150.2,276.3,581.9,701.6,602.9,731.7,305.9,381.6,595.4,458.9,586.0,611.6,653.8,579.2,137.5,634.3,474.5,48.0,254.4
GQ,413.0,1565.1,266.6,324.0,216.7,369.1,312.8,147.7,249.1,141.7,410.6,368.0,682.5,646.4,371.4,202.6,90.4,514.5,595.7,473.9,110.2,269.2,556.8,409.1,556.2,410.0,328.7,273.9,270.8,520.0,532.2,313.7,658.8,0.0,584.1,122.4,95.0,297.5,457.0,193.8,157.2,509.6,495.3,386.8,461.3,548.5,580.9,542.3,213.1,341.9,199.5,539.6,104.1,495.9,267.0,488.5,156.0,285.6,649.2,425.8,690.6,115.7,377.0,395.8,342.6,110.0,450.9,483.2,509.7,655.0,420.7,492.3,181.4,486.6,87.8,647.1,160.0,618.9,261.8,157.0,400.9,606.2,137.0,211.4,357.0,212.6,698.7,575.5,694.6,254.9,281.3,489.4,282.1,200.9,618.5,290.2,293.5,254.8,617.5,133.2,224.8,200.3,557.5,499.1,491.6,393.9,552.3,299.5,487.3,489.6,382.6,442.2,255.8,667.9,67.7,181.4,626.0,587.9,515.1,354.0,158.5,666.2,546.2,188.4,149.3,162.4,145.3,502.2,427.8,226.7,292.3,273.4,305.5,101.7,168.9,711.9,64.2,307.9,706.9,497.7
GR,236.2,1608.6,549.1,440.7,658.0,291.6,462.4,577.4,417.4,573.1,274.3,367.6,127.5,200.6,345.5,574.2,586.4,296.9,179.2,109.8,562.3,715.0,198.7,175.0,152.6,211.3,422.4,483.0,628.3,285.0,248.1,482.0,132.4,582.7,0.0,670.6,564.1,431.8,126.5,639.6,601.5,214.4,260.3,360.9,166.5,164.5,222.8,184.2,594.3,369.6,533.8,175.8,607.2,220.6,452.4,154.9,673.0,419.9,65.0,244.0,168.0,597.4,271.4,355.7,402.7,465.7,204.2,290.2,207.2,155.4,247.4,193.7,609.2,251.6,636.0,123.1,531.6,197.5,430.1,528.6,248.2,22.0,602.6,495.2,299.8,434.3,250.7,177.5,150.5,495.7,449.6,166.8,450.4,623.5,129.4,383.9,432.6,471.3,199.1,578.7,425.1,478.7,255.0,241.0,233.2,368.0,276.4,467.8,179.9,231.5,238.7,185.6,452.6,178.8,536.8,627.2,228.2,141.7,124.7,414.1,633.8,142.2,288.1,526.0,595.1,547.0,597.7,162.3,238.0,482.5,352.4,479.5,468.0,570.8,472.7,127.7,551.3,368.0,132.6,231.9
GV,484.5,1625.4,311.3,347.0,200.7,466.7,357.5,131.7,272.1,65.2,508.2,465.6,769.4,669.4,469.0,217.2,142.0,612.1,667.2,545.4,94.2,253.2,628.3,480.6,627.7,481.5,351.7,296.3,253.2,617.6,603.7,336.7,681.8,165.1,627.7,0.0,139.7,320.5,528.5,177.8,157.7,581.1,592.9,484.4,532.8,620.0,652.4,613.8,197.1,413.4,244.2,611.1,164.4,567.4,311.7,560.0,168.8,308.6,692.8,497.3,713.6,160.6,448.5,493.4,365.6,183.9,548.5,580.8,581.2,726.5,492.2,563.8,165.4,584.2,71.8,718.6,182.4,641.9,284.8,179.4,472.4,649.8,149.8,234.4,454.6,286.5,721.7,647.0,717.6,299.6,304.3,560.9,305.1,184.9,690.0,313.2,338.2,299.5,689.0,178.1,269.5,245.0,629.0,570.6,563.1,491.5,623.8,322.5,558.8,561.1,454.1,513.7,300.5,739.4,112.5,165.4,697.5,659.4,635.4,377.0,171.3,737.7,617.7,233.1,133.3,207.1,57.3,573.7,525.4,271.4,315.3,296.4,350.2,146.4,191.9,819.4,153.7,330.9,729.9,569.2
GW,411.2,1612.5,171.5,238.4,229.7,326.9,217.7,186.9,201.8,140.2,368.4,325.8,641.6,541.6,329.2,155.3,52.0,472.3,569.6,449.0,149.4,308.4,503.1,384.2,554.4,385.1,262.9,135.4,200.7,477.8,581.7,190.3,554.0,93.1,499.9,161.6,0.0,211.9,432.1,233.0,200.6,529.7,453.1,344.6,459.5,546.7,527.2,488.6,175.4,288.2,104.4,537.8,212.7,471.0,171.9,463.6,195.2,200.0,565.0,421.5,585.8,171.7,375.2,353.6,295.3,111.9,408.7,441.0,549.2,613.1,395.8,516.1,208.3,444.4,127.0,605.2,112.7,514.1,214.5,109.7,399.1,522.0,201.7,164.1,314.8,152.8,593.9,549.4,589.8,159.8,234.0,487.6,234.8,204.6,592.4,242.9,198.4,159.7,562.3,207.4,129.7,105.2,597.0,525.0,511.7,351.7,589.6,184.6,462.4,515.5,357.7,440.4,160.7,641.8,40.5,220.6,637.4,599.3,507.6,306.7,197.7,624.3,572.1,93.3,188.5,67.3,132.3,493.2,385.6,131.6,245.0,189.1,210.4,6.6,121.6,691.6,81.7,260.6,602.1,495.9
HC,381.3,1767.3,241.5,53.5,334.9,327.8,198.3,254.3,94.3,250.0,369.3,336.8,577.6,482.4,301.5,251.1,247.8,477.3,562.8,428.7,239.2,207.5,496.3,377.4,506.3,378.3,78.0,159.9,305.2,484.3,581.5,106.5,490.0,283.0,435.9,315.3,195.7,0.0,425.3,316.5,281.1,529.5,449.6,318.3,429.6,502.8,520.4,481.8,271.2,281.4,184.1,493.9,367.5,464.2,160.7,456.8,342.4,12.3,501.0,394.1,521.8,348.7,345.3,360.8,173.8,261.4,409.6,446.0,542.4,610.3,389.0,523.1,286.1,450.5,272.3,598.4,208.5,450.1,107.0,205.5,369.2,458.0,279.5,121.1,322.0,217.8,529.9,542.6,525.8,153.0,126.5,457.7,127.3,241.0,585.6,79.2,209.6,170.7,555.5,362.2,122.9,231.7,590.2,574.4,511.5,324.0,582.8,123.6,455.6,564.9,350.9,410.5,171.9,635.0,230.4,304.1,575.5,555.0,443.6,185.2,310.7,617.5,626.5,109.3,272.0,130.3,274.6,470.5,392.8,142.8,123.5,38.6,217.2,189.0,149.6,627.6,300.0,139.1,538.1,452.0
HK,119.0,1735.7,422.5,472.9,619.5,165.0,335.8,609.6,449.6,530.0,147.7,241.0,254.6,327.7,218.9,545.1,459.8,170.3,306.3,16.8,531.8,690.8,325.8,48.4,222.7,84.7,454.6,515.2,590.5,158.4,375.2,514.2,259.5,456.1,127.0,544.0,437.5,464.0,0.0,615.4,633.7,341.5,133.7,234.3,127.8,215.0,349.9,311.3,565.2,243.0,407.2,206.1,480.6,94.0,325.8,28.3,608.1,452.1,192.1,117.4,295.1,532.5,154.2,229.1,434.9,400.8,77.6,163.6,334.3,282.5,120.8,320.8,641.4,125.0,509.4,250.2,502.5,284.1,462.3,499.5,131.0,149.1,634.8,527.4,173.2,369.4,377.8,304.6,277.6,369.1,481.8,49.6,482.6,594.4,256.5,416.1,306.0,344.7,250.7,513.8,298.5,352.1,382.1,368.1,360.3,241.4,403.5,500.0,53.3,358.6,112.1,108.7,326.0,305.9,410.2,603.0,305.7,267.6,58.0,446.3,610.6,269.3,415.2,399.4,570.9,420.4,522.1,45.1,111.4,355.9,384.6,511.7,341.4,444.2,504.9,254.8,424.7,400.2,259.7,164.2
HM,575.4,1615.8,426.6,305.4,68.1,521.0,429.3,95.5,308.6,161.8,562.5,519.9,769.9,669.9,515.8,119.2,178.9,666.4,767.0,621.0,130.3,75.3,710.6,571.5,718.6,572.4,292.3,314.6,127.5,671.9,703.5,258.1,682.3,192.2,628.2,165.7,251.8,214.2,619.4,0.0,136.4,690.1,647.2,532.6,623.7,710.9,734.7,696.1,64.5,495.7,356.3,702.0,203.7,658.3,375.0,650.9,208.1,226.6,693.3,588.2,714.1,199.9,539.4,547.7,366.1,296.0,602.8,635.1,681.0,820.6,583.1,663.6,144.1,638.5,94.7,751.4,125.3,642.4,321.3,182.3,563.3,650.3,137.5,230.3,508.9,399.0,722.2,746.8,718.1,367.3,293.4,651.8,280.8,33.3,789.8,293.5,415.1,411.6,769.8,217.4,337.2,351.4,728.8,670.4,672.1,538.3,731.8,275.2,649.7,660.9,545.0,604.6,412.6,839.2,224.6,8.9,767.8,759.2,635.9,377.5,168.7,770.5,717.5,323.6,41.0,319.2,186.4,664.6,579.7,383.5,315.8,252.9,431.5,258.5,192.4,819.9,265.8,331.4,730.4,660.1
HO,526.0,1579.3,356.5,298.1,168.0,489.2,359.2,99.0,223.2,130.2,530.7,491.9,716.4,625.3,491.5,194.7,183.5,634.6,708.7,571.6,119.4,229.1,657.2,522.1,655.9,523.0,302.8,265.2,222.3,640.1,645.2,287.8,632.9,160.8,578.8,134.3,181.2,274.9,588.3,188.7,0.0,625.9,604.7,506.9,610.3,652.4,681.3,642.7,164.4,442.3,330.9,643.5,155.6,608.9,321.6,616.7,61.2,259.7,643.9,538.8,664.7,70.2,490.0,512.8,316.7,225.6,571.0,603.3,622.7,731.9,533.7,629.2,62.1,606.7,63.3,702.0,152.1,593.0,235.9,149.1,513.9,600.9,60.3,192.5,478.8,321.9,672.8,688.5,672.0,313.9,255.4,628.6,256.2,152.2,731.5,264.3,365.7,340.8,684.5,87.7,283.8,274.3,670.5,613.0,604.6,514.0,665.2,273.6,641.7,602.6,498.9,555.2,354.7,780.9,154.0,132.7,721.7,736.2,586.5,328.1,32.2,716.3,664.2,270.2,139.0,248.6,154.8,624.1,547.9,312.9,266.4,247.5,391.7,187.9,143.0,770.5,195.2,282.0,681.0,601.6
HQ,319.8,1430.4,504.7,569.8,642.9,448.0,480.3,589.7,614.9,553.4,489.5,514.9,216.1,276.2,403.7,568.5,483.2,559.8,133.4,358.1,574.7,733.7,84.9,457.6,164.0,392.9,594.3,567.5,613.9,547.9,51.9,622.4,225.1,479.5,248.2,567.4,460.9,543.3,374.8,658.3,616.5,0.0,512.5,438.5,272.1,206.2,109.0,70.4,588.6,383.2,554.4,197.3,523.5,468.9,442.7,403.2,606.0,531.4,260.9,374.8,233.5,530.4,355.0,506.7,606.4,430.0,467.1,553.1,47.4,202.2,469.2,6.6,621.5,514.5,552.3,169.9,525.9,290.2,627.6,522.9,331.8,261.1,614.9,584.3,412.9,436.7,209.1,113.2,243.2,493.2,634.9,336.7,647.9,617.8,156.2,595.5,519.8,480.9,274.1,511.7,422.6,432.6,95.2,62.8,18.8,426.2,80.2,616.7,428.2,53.3,431.1,291.2,510.1,205.6,433.6,645.9,163.7,125.6,373.0,617.8,608.5,184.2,122.7,543.4,613.8,517.4,545.5,342.3,447.6,481.0,556.1,621.2,499.2,467.6,534.8,242.2,448.1,571.7,225.3,244.0
HR,188.6,1776.5,418.9,417.0,608.9,133.7,263.2,553.7,393.7,533.3,84.5,192.0,376.0,458.0,173.7,534.5,449.2,61.8,431.8,142.3,521.2,680.2,418.2,77.5,327.6,175.1,398.7,459.3,579.9,24.6,500.7,458.3,385.0,445.5,252.5,533.4,426.9,408.1,125.4,604.8,580.5,480.9,0.0,189.1,236.9,324.1,442.3,403.7,554.6,197.8,375.5,315.2,470.0,164.3,269.9,156.9,552.2,396.2,317.6,163.7,420.6,476.6,152.6,183.7,379.0,409.9,49.0,72.8,459.8,405.6,129.9,474.0,585.5,34.2,498.8,375.7,491.9,409.6,406.4,488.9,176.5,274.6,578.9,478.5,108.3,313.5,474.1,430.1,417.0,372.4,425.9,175.1,426.7,597.7,395.9,360.2,250.1,289.0,376.2,457.9,287.9,341.5,507.6,494.5,433.4,210.1,504.9,458.0,155.7,484.1,120.5,217.8,270.1,431.4,399.6,592.4,428.7,376.7,183.5,404.3,568.6,390.0,545.7,343.5,560.3,364.5,511.5,170.6,48.2,300.0,328.7,455.8,285.5,433.6,449.0,380.3,414.1,344.3,385.2,273.3
HU,162.0,1835.0,322.1,336.0,553.3,59.7,198.9,472.7,312.7,468.4,101.2,122.8,472.6,465.9,54.8,469.5,401.0,209.2,405.6,234.8,457.6,610.3,406.2,170.0,305.2,190.4,317.7,378.3,523.6,216.2,474.5,377.3,477.5,371.5,345.0,445.6,348.9,318.8,217.9,534.9,496.8,440.8,201.0,0.0,210.3,297.5,430.3,391.7,489.6,65.6,306.8,288.6,382.2,256.8,188.9,249.4,471.2,306.9,410.1,172.3,458.0,395.6,126.0,118.4,298.0,263.9,141.5,177.9,433.6,404.0,187.7,420.1,504.5,182.4,411.0,396.1,426.9,438.4,325.4,423.9,149.9,367.1,497.9,390.5,65.6,232.5,433.6,403.9,495.6,268.7,344.9,238.4,345.7,518.8,420.3,279.2,169.1,207.8,383.4,376.9,198.1,246.4,481.4,467.4,459.6,77.3,492.7,363.1,248.2,457.9,149.6,191.2,189.1,469.7,316.8,522.5,388.2,350.1,276.0,309.4,473.7,415.2,514.5,262.5,490.4,283.5,428.7,244.0,134.3,219.0,247.7,374.8,204.5,342.2,368.0,472.8,314.7,263.3,477.7,246.7
HV,47.6,1624.6,470.6,449.4,666.7,191.1,312.3,586.1,426.1,581.8,211.8,236.2,252.3,290.3,213.4,582.9,508.2,279.5,195.2,116.0,571.0,723.7,214.7,180.0,94.8,120.7,431.1,491.7,637.0,267.6,264.1,490.7,272.3,504.5,165.2,548.0,462.3,440.5,128.5,648.3,610.2,230.4,242.9,228.8,0.0,87.1,238.8,200.2,603.0,237.5,455.3,78.2,484.6,222.6,302.3,156.9,584.6,428.6,230.3,102.6,247.6,509.0,82.8,249.8,411.4,377.3,201.4,272.8,223.2,193.6,184.9,209.7,617.9,234.2,513.4,185.7,540.3,304.3,438.8,537.3,59.6,187.3,611.3,503.9,142.4,345.9,223.2,193.5,304.8,417.2,458.3,64.5,459.1,632.2,209.9,392.6,282.5,321.2,173.0,490.3,346.6,356.1,271.0,257.0,249.2,235.9,292.4,476.5,181.9,247.5,151.2,19.0,302.5,259.3,458.6,635.9,177.8,139.7,157.2,422.8,587.1,204.8,304.1,375.9,603.8,396.9,570.5,70.1,175.4,332.4,361.1,488.2,317.9,455.6,481.4,274.3,428.1,376.7,257.4,36.3
IA,143.2,1537.4,535.4,545.0,762.3,286.7,407.9,681.7,521.7,660.4,307.4,331.8,165.1,203.1,309.0,675.5,590.2,375.1,108.0,211.6,666.6,819.3,127.5,275.6,7.6,216.3,526.7,587.3,732.6,363.2,176.9,586.3,185.1,586.5,195.7,643.6,567.9,536.1,224.1,743.9,705.8,143.2,338.5,324.4,95.5,0.0,151.6,113.0,695.6,333.1,520.1,11.2,580.2,318.2,397.9,252.5,680.2,524.2,260.8,198.2,160.4,604.6,178.4,345.4,507.0,472.9,297.0,368.4,136.0,136.1,280.5,122.5,713.5,329.8,609.0,128.2,632.9,250.2,534.4,629.9,155.2,217.8,706.9,599.5,238.0,441.5,136.0,106.3,217.6,482.0,553.9,160.1,554.7,724.8,101.1,488.2,378.1,416.8,115.5,585.9,411.4,451.7,183.8,169.8,162.0,331.5,205.2,572.1,277.5,160.3,246.8,114.6,398.1,150.5,540.6,731.5,90.6,52.5,252.8,518.4,682.7,147.3,216.9,471.5,699.4,492.5,652.5,165.7,271.0,428.0,456.7,583.8,413.5,551.2,577.0,187.1,555.1,472.3,170.2,67.3
