from_stop,AD,AR,AX,BA,BO,CC,CE,CI,CR,CW,DB,DD,DH,DT,DX,EM,EO,ET,FE,FT,FU,FY,FZ,GB,GF,GI,GJ,GL,GR,GS,GT,HD,HG,HT,IC,IH,IQ,IT,IY,JB,JE,JI,JJ,JK,JQ,JR,JT,JY,JZ,KD,KX,LK,LM,LU,LW,LX,LZ,MC,MD,ME,MI,MK,ML,MU,MW,MX,ND,NF,NM,NO,NQ,NS,NX,OB,OG,OK,ON,OQ,OX,OZ,PC,PF,PQ,PR,PY,QA,QG,QH,QM,QS,QW,QY,RK,RP,RY,SB,SH,SI,SL,SX,TD,TF,TQ,TR,TX,UK,UY,UZ,VE,VF,VJ,VM,VO,VP,VW,VX,WA,WE,WI,WJ,WO,WW,XD,XW,YC,YE,YF,YJ,YP,YV,ZD,ZE,ZG,ZL,ZQ,ZR,ZT
GB,205.1,225.2,75.8,697.5,916.2,797.9,524.4,181.8,808.0,689.7,716.8,880.9,324.4,786.4,427.0,102.6,449.6,165.5,23.9,564.0,933.0,87.9,187.4,0.0,198.0,150.3,270.9,234.4,792.1,309.3,157.5,661.8,867.0,735.2,231.3,296.6,879.1,183.2,772.5,152.8,514.6,326.6,261.1,3043.9,343.2,851.1,251.0,198.6,823.2,161.1,682.0,955.0,305.0,815.8,582.8,778.6,900.2,779.8,524.9,877.4,774.9,142.8,522.5,834.6,950.8,186.1,199.4,228.5,795.9,298.4,147.9,823.0,24.7,82.8,886.6,169.9,381.8,163.9,840.7,160.7,693.3,555.8,718.2,764.1,867.0,452.3,150.3,834.0,148.1,54.5,121.5,730.5,230.8,929.1,856.3,750.3,874.2,651.0,207.8,43.5,829.1,100.9,715.2,593.4,215.7,887.4,446.8,102.8,179.9,525.0,241.4,878.0,79.7,921.1,913.2,447.8,79.8,751.3,312.0,794.5,746.1,907.4,77.5,807.9,769.7,849.1,120.6,433.6,876.9,854.4,766.4,331.8,209.9,763.3,130.5,374.6,832.3
GF,111.1,181.2,151.4,603.5,822.2,703.9,430.9,137.8,714.0,595.7,622.8,786.9,231.5,692.4,333.0,183.1,355.6,136.8,218.2,470.0,839.0,143.5,93.4,190.9,0.0,205.9,176.9,190.4,698.1,215.3,119.2,567.8,779.3,641.2,137.3,202.6,785.1,86.1,673.2,71.8,420.1,282.6,167.1,2944.4,249.2,757.1,157.0,154.6,729.2,41.3,588.0,861.0,211.0,721.8,488.8,684.6,806.2,691.4,430.9,783.4,680.9,121.1,428.5,740.6,856.8,92.1,105.4,184.5,701.9,204.4,168.1,729.0,171.2,158.4,792.6,50.1,287.8,60.7,746.7,283.4,599.3,461.8,624.2,666.9,773.0,358.3,205.9,740.0,280.3,203.7,202.0,636.5,28.1,835.1,762.3,656.3,780.2,557.0,163.8,234.5,735.1,118.9,628.0,499.4,171.7,793.4,352.8,235.0,135.9,431.0,197.4,784.0,270.7,827.1,819.2,353.8,160.3,657.3,218.0,700.5,652.1,813.4,158.0,713.9,675.7,755.1,252.8,339.6,782.9,760.4,672.4,237.8,165.9,669.3,186.1,280.6,742.6
GI,217.8,237.9,70.5,710.2,928.9,810.6,537.1,194.5,820.7,702.4,729.5,893.6,338.2,799.1,439.7,120.2,462.3,178.2,152.0,576.7,945.7,44.8,200.1,128.0,215.3,0.0,283.6,247.1,804.8,322.0,170.2,674.5,886.0,747.9,244.0,309.3,891.8,195.9,785.2,165.5,526.8,339.3,273.8,3038.6,355.9,863.8,263.7,211.3,835.9,173.8,694.7,967.7,317.7,828.5,595.5,791.3,912.9,798.1,537.6,890.1,787.6,155.5,535.2,847.3,963.5,198.8,212.1,241.2,808.6,311.1,160.6,835.7,108.3,77.5,899.3,182.6,394.5,176.6,853.4,220.5,706.0,568.5,730.9,776.8,879.7,465.0,0.0,846.7,217.4,140.8,139.1,743.2,243.5,941.8,869.0,763.0,886.9,663.7,220.5,171.6,841.8,113.6,734.7,606.1,228.4,900.1,459.5,172.1,192.6,537.7,254.1,890.7,207.8,933.8,925.9,460.5,97.4,764.0,324.7,807.2,758.8,920.1,95.1,820.6,782.4,861.8,189.9,446.3,889.6,867.1,779.1,344.5,222.6,776.0,75.9,387.3,849.3
GJ,140.7,258.5,228.7,555.4,774.1,655.8,382.3,215.1,665.9,547.6,574.7,738.8,48.7,644.3,284.9,260.4,307.5,218.8,292.2,421.9,790.9,220.8,122.3,268.2,201.3,283.2,0.0,267.7,650.0,38.3,210.8,519.7,724.9,593.1,41.8,154.5,737.0,209.2,630.4,194.9,372.5,192.0,9.7,2943.4,201.1,709.0,88.5,231.9,681.1,164.4,539.9,812.9,29.3,673.7,440.7,636.5,758.1,637.7,382.8,735.3,632.8,198.4,380.4,692.5,808.7,121.7,135.0,261.8,653.8,27.4,240.0,680.9,248.5,235.7,744.5,173.2,239.7,183.8,698.6,360.7,551.2,413.7,576.1,622.0,724.9,310.2,283.2,691.9,357.6,278.3,279.3,588.4,234.1,787.0,714.2,608.2,732.1,508.9,241.1,311.8,687.0,196.2,573.1,451.3,249.0,745.3,304.7,312.3,213.2,382.9,274.7,735.9,348.0,779.0,771.1,305.7,237.6,609.2,169.9,652.4,604.0,765.3,235.3,665.8,627.6,707.0,330.1,291.5,734.8,712.3,624.3,189.7,243.2,621.2,263.4,232.5,690.2
GL,232.0,53.2,182.2,654.1,872.8,754.5,481.0,107.4,764.6,646.3,673.4,837.5,246.2,743.0,383.6,213.9,406.2,174.4,245.7,520.6,889.6,174.3,214.3,221.7,224.9,236.7,297.8,0.0,748.7,238.0,166.4,618.4,823.6,691.8,258.2,253.2,835.7,192.1,729.1,161.7,471.2,192.7,288.0,3044.8,299.8,807.7,207.6,75.4,779.8,188.0,638.6,911.6,277.6,772.4,539.4,735.2,856.8,736.4,481.5,834.0,731.5,128.5,479.1,791.2,907.4,213.0,226.3,27.0,752.5,325.3,213.2,779.6,202.0,189.2,843.2,183.4,338.4,172.8,797.3,314.2,649.9,512.4,674.8,720.7,823.6,408.9,236.7,790.6,311.1,231.8,232.8,687.1,257.7,885.7,812.9,706.9,830.8,607.6,53.9,265.3,785.7,131.2,671.8,550.0,18.7,844.0,403.4,265.8,65.6,481.6,29.0,834.6,301.5,877.7,869.8,404.4,191.1,707.9,268.6,751.1,702.7,864.0,188.8,764.5,726.3,805.7,283.6,390.2,833.5,811.0,723.0,288.4,111.9,719.9,216.9,331.2,788.9
GR,667.6,674.5,755.6,150.8,329.7,91.7,379.2,742.0,101.8,230.9,101.9,282.6,622.7,5.1,556.4,787.3,533.8,745.7,819.1,311.1,371.9,747.7,649.2,795.1,728.2,810.1,656.4,737.8,0.0,614.5,737.7,208.0,211.1,54.8,663.2,571.8,269.3,736.1,17.8,721.8,437.5,651.1,666.2,3320.0,618.4,252.8,584.1,673.0,31.0,691.3,228.2,347.5,654.1,125.7,437.6,91.6,318.7,142.0,379.7,279.1,137.1,725.3,377.3,236.3,341.0,648.6,661.9,700.7,24.3,657.8,766.9,167.1,775.4,762.6,183.7,700.1,586.2,710.7,242.4,887.6,239.5,410.6,103.3,205.2,160.8,459.3,810.1,127.8,884.5,805.2,806.2,137.6,761.0,319.3,150.1,118.9,275.9,197.2,768.0,838.7,230.8,723.1,153.3,334.9,756.6,288.9,385.6,839.2,701.7,379.8,766.9,268.2,874.9,311.3,331.7,495.5,764.5,192.4,587.2,220.7,123.5,351.6,762.2,36.3,89.3,193.2,857.0,496.5,221.0,151.5,86.0,568.6,748.0,82.9,790.3,579.0,60.7
GS,177.6,165.9,265.6,502.0,720.7,602.4,328.9,252.0,612.5,494.2,521.3,685.4,66.9,590.9,231.5,297.3,254.1,255.7,329.1,368.5,737.5,257.7,159.2,305.1,238.2,320.1,36.8,229.2,596.6,0.0,247.7,466.3,671.5,539.7,78.7,101.1,683.6,246.1,577.0,231.8,319.1,142.5,46.6,2943.7,147.7,655.6,35.1,164.4,627.7,201.3,486.5,759.5,66.2,620.3,387.3,583.1,704.7,584.3,329.4,681.9,579.4,235.3,327.0,639.1,755.3,158.6,171.9,192.1,600.4,38.2,276.9,627.5,285.4,272.6,691.1,210.1,186.3,220.7,645.2,397.6,497.8,360.3,522.7,568.6,671.5,256.8,320.1,638.5,394.5,315.2,316.2,535.0,271.0,733.6,660.8,554.8,678.7,455.5,278.0,348.7,633.6,233.1,519.7,397.9,285.9,691.9,251.3,349.2,193.1,329.5,258.3,682.5,384.9,725.6,717.7,252.3,274.5,555.8,116.5,599.0,550.6,711.9,272.2,612.4,574.2,653.6,367.0,238.1,681.4,658.9,570.9,136.3,280.1,567.8,300.3,179.1,636.8
GT,132.3,134.4,122.6,624.7,843.4,725.1,451.6,91.0,735.2,616.9,644.0,808.1,251.6,713.6,354.2,154.3,376.8,72.5,186.1,491.2,860.2,114.7,114.6,162.1,97.1,177.1,198.1,143.6,719.3,236.5,0.0,589.0,794.2,662.4,158.5,223.8,806.3,60.6,699.7,30.2,441.8,235.8,188.3,2930.3,270.4,778.3,178.2,107.8,750.4,60.7,609.2,882.2,232.2,743.0,510.0,705.8,827.4,707.0,452.1,804.6,702.1,74.3,449.7,761.8,878.0,113.3,126.6,137.7,723.1,225.6,111.3,750.2,142.4,134.0,813.8,51.9,309.0,41.3,767.9,254.6,620.5,483.0,645.4,691.3,794.2,379.5,177.1,761.2,251.5,172.2,173.2,657.7,129.9,856.3,783.5,677.5,801.4,578.2,117.0,205.7,756.3,90.1,642.4,520.6,124.9,814.6,374.0,206.2,89.1,452.2,150.6,805.2,241.9,848.3,840.4,375.0,131.5,678.5,239.2,721.7,673.3,834.6,129.2,735.1,696.9,776.3,224.0,360.8,804.1,781.6,693.6,259.0,119.1,690.5,157.3,301.8,759.5
HD,520.6,527.5,608.6,122.7,341.4,223.1,232.2,595.0,233.2,68.7,142.0,306.1,474.2,211.6,409.4,640.3,386.8,598.7,672.1,164.1,358.2,600.7,502.2,648.1,585.8,663.1,509.4,590.8,217.3,467.5,590.7,0.0,298.5,160.4,516.2,424.8,304.3,589.1,192.4,574.8,290.5,504.1,519.2,3173.0,471.4,276.3,437.1,526.0,248.4,544.3,20.1,380.2,507.1,241.0,290.6,203.8,325.4,210.6,232.7,302.6,200.1,578.3,230.3,259.8,376.0,501.6,514.9,553.7,221.1,510.8,627.4,248.2,628.4,615.6,311.8,553.1,439.2,563.7,265.9,740.6,52.3,263.6,143.4,185.3,292.2,312.3,663.1,259.2,737.5,660.9,659.2,155.7,614.0,354.3,281.5,258.9,299.4,6.5,621.0,691.7,254.3,576.1,230.6,187.9,609.6,312.6,238.6,692.2,554.7,232.8,619.9,303.2,727.9,346.3,338.4,348.5,617.5,194.9,440.2,173.5,254.7,332.6,615.2,233.1,194.9,274.3,710.2,349.5,302.1,279.6,191.6,421.6,601.0,188.5,643.3,432.0,261.8
HG,738.3,745.2,826.3,233.5,118.5,120.0,450.6,812.7,130.1,308.3,172.6,159.0,698.6,186.9,633.8,858.0,604.5,816.4,893.1,381.8,160.7,818.4,719.9,865.8,810.2,880.8,727.1,808.5,192.6,685.2,808.4,285.4,0.0,189.8,733.9,642.5,58.1,813.5,167.7,792.5,508.7,717.6,736.9,3390.7,689.1,114.0,654.8,743.7,223.7,762.0,305.6,136.3,724.8,263.7,508.3,226.5,128.2,78.3,450.4,87.7,82.1,796.0,448.0,107.6,129.8,719.3,732.6,771.4,196.4,728.5,845.1,44.0,846.1,833.3,105.1,770.8,656.9,788.1,102.0,958.3,310.2,481.3,180.7,296.9,113.0,530.0,880.8,73.3,961.9,885.3,883.6,264.7,831.7,108.1,103.4,234.2,165.7,267.9,838.7,909.4,54.0,793.8,258.0,412.3,827.3,77.7,456.3,909.9,772.4,450.5,837.6,57.0,945.6,100.1,121.5,566.2,835.2,287.3,657.9,291.4,243.9,140.4,832.9,208.4,217.6,24.6,927.9,567.2,9.8,72.9,214.3,646.0,818.7,217.9,867.7,649.7,243.8
HT,612.4,619.3,700.4,95.6,321.9,83.9,324.7,686.8,94.0,175.7,46.7,274.8,566.0,70.8,501.2,732.1,478.6,690.5,763.9,255.9,364.1,692.5,594.0,739.9,677.6,754.9,601.2,682.6,76.5,559.3,682.5,152.8,209.6,0.0,608.0,516.6,261.5,680.9,56.9,666.6,382.8,595.9,611.0,3264.8,563.2,245.0,528.9,617.8,94.7,636.1,173.0,339.7,598.9,80.5,382.4,43.3,310.9,139.8,324.5,271.3,129.3,670.1,322.1,228.5,333.2,593.4,606.7,645.5,80.3,602.6,719.2,159.3,720.2,707.4,175.9,644.9,531.0,655.5,234.6,832.4,184.3,355.4,48.1,146.8,153.0,404.1,754.9,120.0,829.3,752.7,751.0,82.4,705.8,311.5,142.3,58.6,268.1,142.0,712.8,783.5,223.0,667.9,98.1,279.7,701.4,281.1,330.4,784.0,646.5,324.6,711.7,260.4,819.7,303.5,323.9,440.3,709.3,137.2,532.0,165.5,68.3,343.8,707.0,92.3,34.4,185.4,801.8,441.3,213.2,143.7,31.1,513.4,692.8,28.0,735.1,523.8,121.0
IC,98.8,216.6,186.8,540.6,759.3,641.0,367.5,173.2,651.1,532.8,559.9,724.0,93.0,629.5,270.1,218.5,292.7,176.9,250.3,407.1,776.1,178.9,80.4,226.3,159.4,241.3,39.5,225.8,635.2,77.9,168.9,504.9,710.1,578.3,0.0,139.7,722.2,167.3,615.6,153.0,357.7,150.1,29.7,2901.5,186.3,694.2,94.1,190.0,666.3,122.5,525.1,798.1,73.6,658.9,425.9,621.7,743.3,622.9,368.0,720.5,618.0,156.5,365.6,677.7,793.9,79.8,93.1,219.9,639.0,67.0,198.1,666.1,206.6,193.8,729.7,131.3,224.9,141.9,683.8,318.8,536.4,398.9,561.3,607.2,710.1,295.4,241.3,677.1,315.7,236.4,237.4,573.6,192.2,772.2,699.4,593.4,717.3,494.1,199.2,269.9,672.2,154.3,558.3,436.5,207.1,730.5,289.9,270.4,171.3,368.1,232.8,721.1,306.1,764.2,756.3,290.9,195.7,594.4,155.1,637.6,589.2,750.5,193.4,651.0,612.8,692.2,288.2,276.7,720.0,697.5,609.5,174.9,201.3,606.4,221.5,217.7,675.4
IH,172.3,179.2,260.3,457.4,676.1,557.8,284.3,246.7,567.9,449.6,476.7,640.8,127.4,546.3,186.9,292.0,209.5,250.4,323.8,323.9,692.9,252.4,153.9,299.8,232.9,314.8,161.1,242.5,552.0,119.2,242.4,421.7,626.9,495.1,167.9,0.0,639.0,240.8,532.4,226.5,274.5,155.8,170.9,2957.0,46.5,611.0,88.8,177.7,583.1,196.0,441.9,714.9,158.8,575.7,342.7,538.5,660.1,539.7,284.8,637.3,534.8,230.0,282.4,594.5,710.7,153.3,166.6,205.4,555.8,162.5,271.6,582.9,280.1,267.3,646.5,204.8,141.7,215.4,600.6,392.3,453.2,315.7,478.1,524.0,626.9,212.2,314.8,593.9,389.2,309.9,310.9,490.4,265.7,689.0,616.2,510.2,634.1,410.9,272.7,343.4,589.0,227.8,475.1,353.3,261.3,647.3,206.7,343.9,206.4,284.9,271.6,637.9,379.6,681.0,673.1,207.7,269.2,511.2,15.3,554.4,506.0,667.3,266.9,567.8,529.6,609.0,361.7,193.5,636.8,614.3,526.3,91.7,252.7,523.2,295.0,134.5,592.2
IQ,761.7,768.6,849.7,256.9,60.3,186.3,473.3,836.1,196.4,325.0,196.0,100.8,716.8,253.2,650.5,881.4,627.9,839.8,913.2,405.2,107.8,841.8,743.3,889.2,822.3,904.2,750.5,831.9,258.9,708.6,831.8,302.1,66.2,232.4,757.3,665.9,0.0,830.2,239.3,815.9,531.6,745.2,760.3,3489.7,712.5,55.8,678.2,767.1,290.0,785.4,322.3,86.3,748.2,313.0,531.7,275.8,76.3,137.5,473.8,29.5,142.4,819.4,471.4,77.6,79.8,742.7,756.0,794.8,262.7,751.9,861.0,110.3,869.5,856.7,171.4,794.2,680.3,804.8,72.0,981.7,333.6,504.7,197.4,323.4,179.3,553.4,904.2,139.6,978.6,899.3,900.3,281.4,855.1,58.1,168.6,262.7,107.5,291.3,862.1,932.8,58.7,817.2,274.6,429.0,850.7,19.5,479.7,933.3,795.8,473.9,861.0,27.0,969.0,50.1,63.3,589.6,858.6,310.7,681.3,314.8,267.3,82.2,856.3,274.7,266.9,84.2,951.1,590.6,55.8,139.2,263.6,662.7,842.1,260.5,884.4,673.1,299.1
IT,134.9,168.1,156.3,627.3,846.0,727.7,454.9,124.7,737.8,619.5,646.6,810.7,255.3,716.2,356.8,188.0,379.4,106.2,219.8,493.8,862.8,148.4,117.2,195.8,76.6,210.8,200.7,177.3,721.9,239.1,88.6,591.6,803.1,665.0,161.1,226.4,808.9,0.0,697.0,41.2,443.9,265.3,190.9,2968.2,273.0,780.9,180.8,141.5,753.0,35.6,611.8,884.8,234.8,745.6,512.6,708.4,830.0,715.2,454.7,807.2,704.7,108.0,452.3,764.4,880.6,115.9,129.2,171.4,725.7,228.2,145.0,752.8,176.1,163.3,816.4,26.8,311.6,30.1,770.5,288.3,623.1,485.6,648.0,690.7,796.8,382.1,210.8,763.8,285.2,208.6,206.9,660.3,104.8,858.9,786.1,680.1,804.0,580.8,150.7,239.4,758.9,123.8,651.8,523.2,158.6,817.2,376.6,239.9,122.8,454.8,184.3,807.8,275.6,850.9,843.0,377.6,165.2,681.1,241.8,724.3,675.9,837.2,162.9,737.7,699.5,778.9,257.7,363.4,806.7,784.2,696.2,261.6,152.8,693.1,191.0,304.4,766.4
IY,649.7,656.6,737.7,132.9,311.8,73.8,362.0,724.1,83.9,213.0,84.0,264.7,603.3,13.8,538.5,769.4,515.9,727.8,804.5,293.2,354.0,729.8,631.3,777.2,714.9,792.2,638.5,719.9,19.5,596.6,719.8,184.8,199.5,36.9,645.3,553.9,251.4,712.9,0.0,703.9,420.1,629.0,648.3,3302.1,600.5,234.9,566.2,655.1,50.6,673.4,210.3,329.6,636.2,117.5,419.7,80.3,300.8,124.4,361.8,261.2,119.2,707.4,359.4,218.4,323.1,630.7,644.0,682.8,23.3,639.9,756.5,149.2,757.5,744.7,165.8,682.2,568.3,692.8,224.5,869.7,221.6,392.7,80.1,184.1,142.9,441.4,792.2,109.9,866.6,784.7,788.3,114.4,743.1,301.4,133.3,95.9,258.0,179.3,750.1,820.8,212.9,705.2,128.9,317.0,738.7,271.0,362.4,821.3,683.8,361.9,749.0,250.3,857.0,288.1,313.8,477.6,746.6,174.5,569.3,202.8,105.6,333.7,744.3,40.6,71.4,170.0,839.3,478.6,203.1,133.6,68.1,545.4,730.1,65.0,772.4,561.1,64.0
JB,124.7,126.8,115.0,617.1,835.8,717.5,444.0,83.4,727.6,609.3,636.4,800.5,244.0,706.0,346.6,146.7,369.2,64.9,178.5,483.6,852.6,107.1,107.0,154.5,66.8,169.5,190.5,136.0,711.7,228.9,47.3,581.4,786.6,654.8,150.9,216.2,798.7,30.3,692.1,0.0,434.2,228.2,180.7,2977.7,262.8,770.7,170.6,100.2,742.8,30.4,601.6,874.6,224.6,735.4,502.4,698.2,819.8,699.4,444.5,797.0,694.5,66.7,442.1,754.2,870.4,105.7,119.0,130.1,715.5,218.0,103.7,742.6,134.8,122.0,806.2,21.6,301.4,11.1,760.3,247.0,612.9,475.4,637.8,683.7,786.6,371.9,169.5,753.6,243.9,164.6,165.6,650.1,99.6,848.7,775.9,669.9,793.8,570.6,109.4,198.1,748.7,82.5,634.8,513.0,117.3,807.0,366.4,198.6,81.5,444.6,143.0,797.6,234.3,840.7,832.8,367.4,123.9,670.9,231.6,714.1,665.7,827.0,121.6,727.5,689.3,768.7,216.4,353.2,796.5,774.0,686.0,251.4,111.5,682.9,149.7,294.2,751.9
JE,389.6,396.0,477.6,274.1,492.8,374.5,101.0,464.0,384.6,265.8,293.4,457.5,342.7,363.0,352.9,509.3,376.0,467.7,544.4,140.6,509.6,469.7,371.2,517.1,454.3,531.6,378.4,459.8,368.7,336.5,459.7,237.9,449.9,311.3,385.2,293.8,455.7,457.6,343.8,443.8,0.0,368.9,388.2,3042.0,340.4,427.7,306.1,395.0,399.8,413.3,258.6,531.6,376.1,392.4,159.4,355.2,476.3,361.5,101.5,454.0,351.5,447.3,99.1,411.2,526.9,370.6,383.9,422.7,372.5,379.8,496.4,399.6,497.4,484.6,463.2,422.1,307.7,432.7,416.8,609.6,269.9,132.4,294.3,337.5,443.6,248.4,532.1,410.6,606.0,529.9,528.2,306.6,483.0,505.7,434.0,331.6,450.8,227.6,490.0,560.7,405.7,445.1,298.6,169.5,478.6,464.0,174.7,561.2,423.7,101.6,488.9,454.6,596.9,497.7,489.8,374.2,486.5,327.9,309.2,371.1,322.7,484.0,484.2,384.5,346.3,425.7,579.2,360.0,453.5,431.0,343.0,290.6,470.0,339.4,512.3,301.0,412.7
JI,153.0,129.0,241.0,547.0,765.7,647.4,374.6,198.0,657.5,539.2,566.3,730.4,137.6,635.9,272.5,272.7,299.1,231.1,307.8,413.5,782.5,233.1,134.6,280.5,218.2,291.5,172.8,192.3,641.6,130.9,223.1,507.3,722.8,584.7,148.6,146.1,728.6,217.5,616.7,207.2,363.6,0.0,178.4,2937.7,192.7,700.6,100.5,127.5,672.7,176.7,531.5,804.5,170.5,665.3,432.3,628.1,745.7,634.9,374.4,726.9,624.4,210.7,372.0,684.1,800.3,134.0,147.3,155.2,645.4,174.2,259.8,672.5,260.8,248.0,736.1,185.5,227.3,192.1,690.2,373.0,542.8,405.3,563.7,610.4,716.5,301.8,295.5,683.5,369.9,289.3,291.6,576.0,246.4,778.6,706.9,604.5,723.7,500.5,245.2,324.1,678.6,208.5,571.5,442.9,211.1,736.9,292.3,324.6,156.2,374.5,221.4,727.5,360.3,770.6,762.7,297.3,249.9,600.8,161.5,644.0,595.6,756.9,247.6,657.4,619.2,698.6,342.6,283.1,726.4,703.9,615.9,177.3,202.5,608.8,275.7,224.1,682.1
JJ,130.9,248.7,218.9,565.2,783.9,665.6,392.1,205.3,675.7,557.4,584.5,748.6,63.2,654.1,294.7,250.6,317.3,209.0,282.4,431.7,800.7,211.0,112.5,258.4,191.5,273.4,9.7,257.9,659.8,48.1,201.0,529.5,734.7,602.9,32.0,164.3,746.8,199.4,640.2,185.1,382.3,182.2,0.0,2933.6,210.9,718.8,98.3,222.1,690.9,154.6,549.7,822.7,43.8,683.5,450.5,646.3,767.9,647.5,392.6,745.1,642.6,188.6,390.2,702.3,818.5,111.9,125.2,252.0,663.6,37.2,230.2,690.7,238.7,225.9,754.3,163.4,249.5,174.0,708.4,350.9,561.0,423.5,585.9,631.8,734.7,320.0,273.4,701.7,347.8,268.5,269.5,598.2,224.3,796.8,724.0,618.0,741.9,518.7,231.3,302.0,696.8,186.4,582.9,461.1,239.2,755.1,314.5,302.5,203.4,392.7,264.9,745.7,338.2,788.8,780.9,315.5,227.8,619.0,179.7,662.2,613.8,775.1,225.5,675.6,637.4,716.8,320.3,301.3,744.6,722.1,634.1,199.5,233.4,631.0,253.6,242.3,700.0
JK,3037.4,3094.1,3101.9,3293.8,3512.5,3394.2,3120.7,3139.3,3404.3,3286.0,3313.1,3477.2,3053.3,3382.7,3190.7,3179.8,3213.3,3120.8,3168.0,3160.3,3529.3,3122.2,3019.0,3192.0,3111.1,3184.6,3052.6,3191.9,3388.4,3045.1,3048.2,3258.1,3463.3,3331.5,3013.0,3060.3,3475.4,3108.9,3368.8,3078.5,3228.3,3070.7,3042.8,0.0,3106.9,3447.4,3014.7,3092.6,3419.5,3061.1,3278.3,3551.3,3084.7,3412.1,3179.1,3374.9,3496.5,3376.1,3121.2,3473.7,3371.2,3122.6,3118.8,3430.9,3547.1,3018.4,3031.7,3120.3,3392.2,3080.1,3159.6,3419.3,3167.9,3094.7,3482.9,3100.2,3145.5,3089.6,3437.0,3275.9,3289.6,3152.1,3314.5,3360.4,3463.3,3216.0,3184.6,3430.3,3263.3,3185.9,3198.7,3326.8,3143.9,3525.4,3452.6,3346.6,3470.5,3247.3,3165.3,3181.4,3425.4,3092.9,3311.5,3189.7,3173.2,3483.7,3210.5,3218.0,3137.4,3121.3,3198.9,3474.3,3224.9,3517.4,3509.5,3211.5,3157.0,3347.6,3075.7,3390.8,3342.4,3503.7,3154.7,3404.2,3366.0,3445.4,3235.8,3197.3,3473.2,3450.7,3362.7,3095.5,3167.4,3359.6,3164.8,3138.3,3428.6
JQ,209.2,216.1,297.2,495.8,714.5,596.2,322.7,283.6,606.3,488.0,515.1,679.2,164.3,584.7,225.3,328.9,247.9,287.3,360.7,362.3,731.3,289.3,190.8,336.7,269.8,351.7,198.0,279.4,590.4,156.1,279.3,460.1,665.3,533.5,204.8,38.3,677.4,277.7,570.8,263.4,312.9,192.7,207.8,2993.9,0.0,649.4,125.7,214.6,621.5,232.9,480.3,753.3,195.7,614.1,381.1,576.9,698.5,578.1,323.2,675.7,573.2,266.9,320.8,632.9,749.1,190.2,203.5,242.3,594.2,199.4,308.5,621.3,317.0,304.2,684.9,241.7,180.1,252.3,639.0,429.2,491.6,354.1,516.5,562.4,665.3,250.6,351.7,632.3,426.1,346.8,347.8,528.8,302.6,727.4,654.6,548.6,672.5,449.3,309.6,380.3,627.4,264.7,513.5,391.7,298.2,685.7,245.1,380.8,243.3,323.3,308.5,676.3,416.5,719.4,711.5,246.1,306.1,549.6,22.0,592.8,544.4,705.7,303.8,606.2,568.0,647.4,398.6,231.9,675.2,652.7,564.7,130.1,289.6,561.6,331.9,172.9,630.6
JR,725.0,731.9,813.0,220.2,92.3,197.4,436.6,799.4,207.5,288.3,159.3,49.2,680.1,228.9,613.8,844.7,591.2,803.1,876.5,368.5,139.8,805.1,706.6,852.5,785.6,867.5,713.8,795.2,234.6,671.9,795.1,265.4,132.9,195.7,720.6,629.2,66.6,793.5,215.0,779.2,494.9,708.5,723.6,3377.4,675.8,0.0,641.5,730.4,265.7,748.7,285.6,153.0,711.5,276.3,495.0,239.1,108.3,100.8,437.1,26.2,105.7,782.7,434.7,50.4,146.5,706.0,719.3,758.1,238.4,715.2,824.3,118.9,832.8,820.0,182.5,757.5,643.6,768.1,56.5,945.0,296.9,468.0,160.7,286.7,190.4,516.7,867.5,150.7,941.9,862.6,863.6,244.7,818.4,124.8,179.7,226.0,55.9,254.6,825.4,896.1,92.3,780.5,237.9,392.3,814.0,36.2,443.0,896.6,759.1,437.2,824.3,93.7,932.3,116.8,95.3,552.9,821.9,274.0,644.6,278.1,230.6,114.2,819.6,250.4,230.2,145.0,914.4,553.9,122.5,150.3,226.9,626.0,805.4,223.8,847.7,636.4,274.8
JT,123.8,130.7,211.8,466.8,685.5,567.2,293.7,198.2,577.3,459.0,486.1,650.2,38.5,555.7,196.3,243.5,218.9,201.9,275.3,333.3,702.3,203.9,105.4,251.3,184.4,266.3,72.2,194.0,561.4,30.3,193.9,431.1,636.3,504.5,114.1,65.9,648.4,192.3,541.8,178.0,283.9,107.3,82.0,2908.5,112.5,620.4,0.0,129.2,592.5,147.5,451.3,724.3,69.9,585.1,352.1,547.9,669.5,549.1,294.2,646.7,544.2,181.5,291.8,603.9,720.1,104.8,118.1,156.9,565.2,73.6,223.1,592.3,231.6,218.8,655.9,156.3,151.1,166.9,610.0,343.8,462.6,325.1,487.5,533.4,636.3,221.6,266.3,603.3,340.7,261.4,262.4,499.8,217.2,698.4,625.6,519.6,643.5,420.3,224.2,294.9,598.4,179.3,484.5,362.7,212.8,656.7,216.1,295.4,157.9,294.3,223.1,647.3,331.1,690.4,682.5,217.1,220.7,520.6,81.3,563.8,515.4,676.7,218.4,577.2,539.0,618.4,313.2,202.9,646.2,623.7,535.7,101.1,204.2,532.6,246.5,143.9,601.6
