from_stop,AL,AO,AV,BF,BI,BK,BM,BQ,BR,CH,CI,CR,CS,CT,CZ,DA,DD,DF,DK,DL,DN,DO,EB,EI,EJ,EK,EL,EO,ES,EU,FB,FF,FU,FW,FX,GC,GJ,GL,GS,GV,GX,HK,HR,HS,HU,HV,HZ,IG,IJ,IQ,JA,JE,JF,JZ,KF,KJ,KL,KM,KN,KU,KW,KX,KY,LB,LE,LG,LO,LR,LW,MA,MD,MJ,MM,MO,MR,MW,MY,NE,NO,NQ,NR,NT,NU,NW,OI,OQ,OX,OZ,PC,PH,PJ,PK,PQ,PR,PS,PZ,QD,QE,QG,QK,QN,RB,RC,RE,RH,RL,RT,RW,SA,SJ,SL,SM,SP,SQ,SX,SY,TC,TD,TE,TL,TU,UA,UB,UD,UF,UG,UN,UQ,UT,UZ,VE,VK,VL,VQ,VT,WF,WH,WL,WO,WP,WU,WV,XA,XD,XF,XH,XQ,XT,XX,YB,YH,YQ,YV,YY,YZ,ZB,ZP,ZV,ZX
DN,520.7,533.4,325.9,355.1,213.7,362.0,592.1,518.5,341.6,564.0,320.5,546.3,342.0,242.4,231.7,244.8,494.7,458.5,446.2,275.4,0.0,487.2,564.3,509.7,505.8,414.7,235.8,458.3,503.7,224.4,372.5,103.5,194.9,157.0,445.1,494.1,361.6,496.9,269.3,596.5,563.5,559.2,561.7,539.2,528.6,120.9,242.7,577.5,211.3,454.3,443.3,550.0,329.0,513.4,329.6,431.8,1367.0,386.4,433.8,431.3,325.3,504.9,306.7,216.4,290.5,572.9,373.9,480.3,219.7,485.1,553.6,497.6,501.2,217.4,271.6,518.1,471.0,517.6,560.1,535.2,577.6,445.1,243.7,250.4,426.3,504.5,431.1,454.9,316.8,539.3,534.1,311.4,145.3,542.4,503.7,497.4,264.9,439.8,26.7,393.2,290.3,179.3,510.8,320.6,114.2,527.3,337.4,517.1,541.6,479.6,566.7,487.9,527.8,500.1,506.7,455.0,38.3,441.8,507.7,70.9,540.3,429.9,477.8,273.8,482.2,528.3,527.2,530.5,566.3,200.1,505.6,263.6,530.1,146.1,276.4,549.0,491.1,533.3,384.1,469.6,205.5,534.3,450.9,217.8,511.9,512.7,420.9,419.8,519.4,576.5,332.8,322.5,172.9,500.8,452.9,497.7,563.1,275.6,481.5
DO,896.0,908.7,381.5,295.9,442.1,258.1,963.8,919.4,378.4,939.3,695.8,921.6,329.8,470.8,421.8,602.1,160.3,287.3,238.4,378.6,478.8,0.0,223.1,205.2,150.3,223.4,464.2,250.5,162.5,413.0,274.2,459.6,552.2,532.3,274.9,68.1,253.1,897.8,378.1,971.8,938.8,934.5,937.0,188.6,271.9,537.9,471.1,952.8,586.6,829.6,818.6,925.3,704.3,172.2,297.6,206.3,1581.0,248.2,263.6,806.6,518.0,880.2,343.5,591.7,364.8,85.6,749.2,855.6,595.0,860.4,928.9,872.9,61.0,592.7,646.9,893.4,846.3,153.5,935.4,47.9,192.4,820.4,472.1,405.3,256.1,879.8,806.4,235.1,390.6,183.7,86.3,686.7,519.4,183.2,904.6,872.7,640.2,815.1,505.6,223.0,665.6,553.4,886.1,395.2,470.3,267.8,712.7,918.0,916.9,854.9,181.5,863.2,40.5,875.4,127.3,290.8,441.1,817.1,908.6,632.0,82.8,805.2,853.1,499.2,123.0,232.4,285.1,90.3,941.6,412.3,263.5,492.0,165.8,521.4,651.7,924.3,892.0,908.6,245.9,844.9,433.9,208.7,323.3,446.2,912.8,888.0,217.2,795.1,132.0,951.8,374.6,697.8,547.0,876.1,828.2,149.7,938.4,380.1,856.8
EB,903.5,916.2,451.1,365.5,529.7,345.7,974.9,982.9,448.0,946.8,712.0,929.1,399.4,599.5,491.4,711.4,199.6,210.5,308.0,448.2,566.4,230.4,0.0,221.7,189.6,302.3,551.8,320.1,49.6,547.4,343.8,547.2,661.5,700.9,252.3,154.2,340.7,969.6,394.2,979.3,946.3,942.0,944.5,227.9,349.0,672.3,558.7,960.3,647.2,837.1,826.1,932.8,711.8,80.5,376.5,285.2,1553.6,317.8,235.2,814.1,587.6,887.7,413.1,642.1,434.4,168.4,756.7,863.1,710.8,867.9,936.4,880.4,193.8,676.5,663.1,900.9,853.8,147.0,942.9,196.5,154.8,827.9,598.2,474.9,242.7,887.3,813.9,314.0,460.2,132.5,277.3,702.9,607.0,222.5,968.1,880.2,729.8,822.6,593.2,285.8,736.7,641.0,893.6,464.8,627.1,337.4,720.2,988.5,924.4,862.4,167.7,870.7,250.1,882.9,196.9,214.0,528.7,824.6,980.4,719.6,168.9,812.7,860.6,568.8,162.3,181.2,208.3,178.7,949.1,481.9,186.7,579.0,235.4,630.7,667.9,931.8,963.8,916.1,315.5,852.4,521.5,157.5,246.5,533.8,976.3,895.5,296.1,802.6,185.3,959.3,444.2,705.3,634.6,883.6,835.7,219.3,945.9,449.7,864.3
EI,936.0,948.7,402.8,317.2,481.4,297.4,1007.4,1015.4,399.7,979.3,744.5,961.6,351.1,551.2,443.1,641.4,74.9,272.2,259.7,399.9,518.1,217.9,208.0,0.0,86.0,254.0,503.5,271.8,147.4,452.3,295.5,498.9,591.5,571.6,314.0,140.9,292.4,1002.1,426.7,1011.8,978.8,974.5,977.0,36.0,300.7,577.2,510.4,992.8,679.7,869.6,858.6,965.3,744.3,157.1,328.2,236.9,1586.1,269.5,296.9,846.6,539.3,920.2,364.8,674.6,386.1,189.5,789.2,895.6,743.3,900.4,968.9,912.9,180.5,709.0,695.6,933.4,886.3,161.3,975.4,183.2,205.3,860.4,549.9,426.6,304.4,919.8,846.4,265.7,411.9,183.0,229.0,735.4,558.7,40.5,1000.6,912.7,762.3,855.1,544.9,347.5,769.2,592.7,926.1,416.5,509.6,289.1,752.7,1021.0,956.9,894.9,218.2,903.2,236.8,915.4,148.6,275.7,480.4,857.1,1012.9,671.3,155.6,845.2,893.1,520.5,103.3,172.0,270.0,165.4,981.6,433.6,248.4,530.7,187.1,560.7,700.4,964.3,996.3,948.6,267.2,884.9,473.2,178.0,308.2,485.5,1008.8,928.0,247.8,835.1,163.1,991.8,395.9,737.8,586.3,916.1,868.2,171.0,978.4,401.4,896.8
EJ,904.5,917.2,401.2,315.6,479.8,295.8,975.9,983.9,398.1,947.8,713.0,930.1,349.5,549.6,441.5,639.8,67.5,240.7,258.1,398.3,516.5,165.3,176.5,108.3,0.0,252.4,501.9,270.2,115.9,450.7,293.9,497.3,589.9,570.0,282.5,88.3,290.8,970.6,395.2,980.3,947.3,943.0,945.5,116.3,299.1,575.6,508.8,961.3,648.2,838.1,827.1,933.8,712.8,125.6,326.6,235.3,1554.6,267.9,265.4,815.1,537.7,888.7,363.2,643.1,384.5,158.0,757.7,864.1,711.8,868.9,937.4,881.4,127.9,677.5,664.1,901.9,854.8,129.8,943.9,130.6,173.8,828.9,548.3,425.0,272.9,888.3,814.9,264.1,410.3,151.5,230.0,703.9,557.1,110.9,969.1,881.2,730.8,823.6,543.3,316.0,737.7,591.1,894.6,414.9,508.0,287.5,721.2,989.5,925.4,863.4,186.7,871.7,184.2,883.9,147.0,244.2,478.8,825.6,981.4,669.7,103.0,813.7,861.6,518.9,50.7,140.5,238.5,112.8,950.1,432.0,216.9,529.1,185.5,559.1,668.9,932.8,964.8,917.1,265.6,853.4,471.6,146.5,276.7,483.9,977.3,896.5,246.2,803.6,131.6,960.3,394.3,706.3,584.7,884.6,836.7,169.4,946.9,399.8,865.3
EK,814.1,826.8,313.0,208.4,343.0,331.4,885.5,893.5,287.8,857.4,613.9,839.7,242.3,371.7,276.3,538.2,230.6,364.4,85.1,201.6,416.1,224.3,300.2,245.6,241.7,0.0,365.1,97.2,239.6,486.3,117.5,396.9,488.3,450.4,348.2,230.0,326.4,880.2,451.4,889.9,856.9,852.6,855.1,275.1,167.5,432.3,372.0,870.9,504.7,747.7,736.7,843.4,622.4,249.3,74.1,17.0,1587.4,133.6,336.9,724.7,430.5,798.3,252.9,509.8,277.3,281.7,667.3,773.7,513.1,778.5,847.0,791.0,238.3,510.8,565.0,811.5,764.4,253.5,853.5,272.3,285.9,738.5,373.0,295.0,329.4,797.9,724.5,40.1,303.9,275.2,271.2,604.8,456.7,278.3,878.7,790.8,558.3,733.2,442.9,296.3,583.7,490.7,804.2,307.7,407.6,262.0,630.8,899.1,835.0,773.0,275.0,781.3,264.9,793.5,105.6,367.9,378.4,735.2,891.0,512.9,244.7,723.3,771.2,403.1,218.1,264.2,362.2,254.5,859.7,217.3,340.6,392.9,115.3,439.5,569.8,842.4,874.4,826.7,135.9,763.0,334.8,270.2,354.0,347.1,886.9,806.1,6.2,713.2,255.3,869.9,319.9,615.9,484.3,794.2,746.3,82.9,856.5,292.6,774.9
EL,629.4,642.1,250.5,279.7,17.4,410.3,700.8,708.8,266.2,672.7,429.2,655.0,266.6,94.4,156.3,353.5,520.4,506.8,370.8,200.0,231.4,530.9,590.0,535.4,531.5,339.3,0.0,382.9,529.4,351.1,297.1,212.2,303.6,265.7,493.4,519.8,409.9,695.5,317.6,705.2,672.2,667.9,670.4,564.9,453.2,247.6,6.8,686.2,320.0,563.0,552.0,658.7,437.7,539.1,254.2,356.4,1415.3,311.0,482.1,540.0,177.3,613.6,231.3,325.1,215.1,571.5,482.6,589.0,328.4,593.8,662.3,606.3,544.9,326.1,380.3,626.8,579.7,543.3,668.8,562.1,587.3,553.8,95.7,175.0,474.6,613.2,539.8,379.5,241.4,565.0,577.8,420.1,272.0,568.1,694.0,606.1,373.6,548.5,258.2,441.5,399.0,306.0,619.5,239.8,222.9,451.9,446.1,714.4,650.3,588.3,600.2,596.6,571.5,608.8,431.3,503.3,193.7,550.5,706.3,310.2,534.5,538.6,586.5,125.8,507.9,554.0,652.0,544.3,675.0,124.7,630.4,115.6,454.7,254.8,385.1,657.7,689.7,642.0,308.7,578.3,23.9,560.0,499.2,69.8,702.2,621.4,345.5,528.5,545.1,685.2,257.4,431.2,299.6,609.5,561.6,422.3,671.8,200.2,590.2
EO,880.9,893.6,379.8,275.2,409.8,342.4,952.3,960.3,354.6,924.2,680.7,906.5,309.1,438.5,343.1,605.0,241.6,375.4,13.6,268.4,482.9,252.1,311.2,256.6,252.7,100.4,431.9,0.0,250.6,497.3,184.3,463.7,555.1,517.2,359.2,241.0,337.4,947.0,462.4,956.7,923.7,919.4,921.9,286.1,130.9,499.1,438.8,937.7,571.5,814.5,803.5,910.2,689.2,260.3,140.9,117.5,1598.4,200.4,347.9,791.5,497.3,865.1,319.7,576.6,344.1,292.7,734.1,840.5,579.9,845.3,913.8,857.8,266.1,577.6,631.8,878.3,831.2,264.5,920.3,283.3,308.5,805.3,439.8,361.8,340.4,864.7,791.3,140.6,370.7,286.2,299.0,671.6,523.5,289.3,945.5,857.6,625.1,800.0,509.7,307.3,650.5,557.5,871.0,374.5,474.4,273.0,697.6,965.9,901.8,839.8,321.4,848.1,292.7,860.3,116.6,378.9,445.2,802.0,957.8,579.7,255.7,790.1,838.0,469.9,229.1,275.2,373.2,265.5,926.5,284.1,351.6,459.7,148.5,506.3,636.6,909.2,941.2,893.5,202.7,829.8,401.6,281.2,365.0,413.9,953.7,872.9,106.6,780.0,266.3,936.7,379.8,682.7,551.1,861.0,813.1,132.4,923.3,359.4,841.7
ES,853.8,866.5,401.4,315.8,480.0,296.0,925.2,933.2,398.3,897.1,662.3,879.4,349.7,549.8,441.7,661.7,149.9,160.8,258.3,398.5,516.7,180.7,60.5,172.0,139.9,252.6,502.1,270.4,0.0,497.7,294.1,497.5,611.8,651.2,202.6,104.5,291.0,919.9,344.5,929.6,896.6,892.3,894.8,178.2,299.3,622.6,509.0,910.6,597.5,787.4,776.4,883.1,662.1,30.8,326.8,235.5,1503.9,268.1,185.5,764.4,537.9,838.0,363.4,592.4,384.7,118.7,707.0,813.4,661.1,818.2,886.7,830.7,144.1,626.8,613.4,851.2,804.1,97.3,893.2,146.8,105.1,778.2,548.5,425.2,193.0,837.6,764.2,264.3,410.5,82.8,227.6,653.2,557.3,172.8,918.4,830.5,680.1,772.9,543.5,236.1,687.0,591.3,843.9,415.1,577.4,287.7,670.5,938.8,874.7,812.7,118.0,821.0,200.4,833.2,147.2,164.3,479.0,774.9,930.7,669.9,119.2,763.0,810.9,519.1,112.6,131.5,158.6,129.0,899.4,432.2,137.0,529.3,185.7,581.0,618.2,882.1,914.1,866.4,265.8,802.7,471.8,107.8,196.8,484.1,926.6,845.8,246.4,752.9,135.6,909.6,394.5,655.6,584.9,833.9,786.0,169.6,896.2,400.0,814.6
EU,465.6,478.3,434.9,464.1,322.7,284.0,537.0,545.0,450.6,508.9,271.1,491.2,451.0,351.4,340.7,207.5,416.7,380.5,555.2,384.4,251.5,409.2,486.3,431.7,427.8,523.7,344.8,567.3,425.7,0.0,481.5,134.1,157.6,137.7,367.1,416.1,283.6,531.7,135.9,541.4,508.4,504.1,506.6,461.2,545.8,124.8,351.7,522.4,206.3,396.2,385.2,494.9,270.9,435.4,438.6,540.8,1285.7,495.4,355.8,376.2,434.3,449.8,415.7,201.2,399.5,494.9,315.8,425.2,200.4,427.0,498.5,439.5,423.2,198.1,222.2,463.0,415.9,439.6,505.0,457.2,499.6,387.0,352.7,359.4,348.3,449.4,373.0,563.9,425.8,461.3,456.1,262.0,174.5,464.4,530.2,442.3,245.6,381.7,278.3,315.2,271.0,208.5,452.7,429.6,123.2,534.2,279.3,550.6,486.5,421.5,488.7,429.8,449.8,445.0,393.7,377.0,213.8,383.7,542.5,322.5,462.3,371.8,419.7,382.8,404.2,474.6,449.2,452.5,511.2,309.1,427.6,372.6,432.2,126.8,227.0,493.9,525.9,478.2,493.1,411.5,314.5,480.6,372.9,326.8,538.4,454.6,529.9,361.7,441.4,521.4,441.8,264.4,202.1,442.7,397.8,416.1,508.0,384.6,423.4
FB,782.7,795.4,195.4,90.8,311.6,373.3,854.1,862.1,173.3,826.0,582.5,808.3,124.7,324.8,216.7,506.8,272.5,406.3,139.8,170.2,384.7,283.0,342.1,287.5,283.6,108.3,333.7,151.9,281.5,528.2,0.0,365.5,456.9,419.0,390.1,271.9,368.3,848.8,493.3,858.5,825.5,821.2,823.7,317.0,222.2,400.9,340.6,839.5,473.3,716.3,705.3,812.0,591.0,291.2,42.7,125.4,1568.6,16.0,378.8,693.3,312.9,766.9,138.4,478.4,159.7,323.6,635.9,742.3,481.7,747.1,815.6,759.6,297.0,479.4,533.6,780.1,733.0,295.4,822.1,314.2,339.4,707.1,323.5,200.2,371.3,766.5,693.1,148.5,186.3,317.1,329.9,573.4,425.3,320.2,847.3,759.4,526.9,701.8,411.5,338.2,552.3,459.3,772.8,190.1,376.2,204.0,599.4,867.7,803.6,741.6,352.3,749.9,323.6,762.1,183.4,409.8,347.0,703.8,859.6,481.5,286.6,691.9,739.8,294.1,260.0,306.1,404.1,296.4,828.3,185.9,382.5,304.3,221.9,408.1,538.4,811.0,843.0,795.3,18.3,731.6,303.4,312.1,395.9,315.7,855.5,774.7,114.5,681.8,297.2,838.5,202.3,584.5,452.9,762.8,714.9,191.3,825.1,175.0,743.5
FF,417.1,429.8,300.7,329.9,188.5,336.8,488.5,496.5,316.4,460.4,216.9,442.7,316.8,217.2,206.5,141.2,469.5,433.3,421.0,250.2,117.5,462.0,539.1,484.5,480.6,389.5,210.6,433.1,478.5,149.5,347.3,0.0,91.3,53.4,419.9,468.9,336.4,483.2,247.0,492.9,459.9,455.6,458.1,514.0,495.9,113.7,217.5,473.9,107.7,350.7,339.7,446.4,225.4,488.2,304.4,406.6,1341.8,361.2,408.6,327.7,300.1,401.3,281.5,112.8,265.3,547.7,270.3,376.7,116.1,381.5,450.0,394.0,476.0,113.8,168.0,414.5,367.4,492.4,456.5,510.0,552.4,341.5,218.5,225.2,401.1,400.9,327.5,429.7,291.6,514.1,508.9,207.8,138.1,517.2,481.7,393.8,161.3,336.2,144.3,368.0,186.7,172.1,407.2,295.4,10.6,502.1,233.8,502.1,438.0,376.0,541.5,384.3,504.0,396.5,481.5,429.8,79.8,338.2,494.0,188.5,515.1,326.3,374.2,248.6,457.0,496.4,502.0,505.3,462.7,174.9,480.4,238.4,504.9,42.5,172.8,445.4,477.4,429.7,358.9,366.0,180.3,509.1,425.7,192.6,489.9,409.1,395.7,316.2,484.2,472.9,307.6,218.9,165.7,397.2,349.3,472.5,459.5,250.4,377.9
FU,442.5,455.2,396.0,425.2,283.8,402.5,513.9,521.9,411.7,485.8,220.7,468.1,412.1,312.5,301.8,89.8,535.2,499.0,516.3,345.5,212.8,527.7,604.8,550.2,546.3,484.8,305.9,528.4,544.2,156.9,442.6,95.2,0.0,78.8,485.6,534.6,402.1,508.6,254.4,518.3,485.3,481.0,483.5,579.7,598.7,209.0,312.8,499.3,133.1,376.1,365.1,471.8,238.9,553.9,399.7,501.9,1422.2,456.5,474.3,353.1,395.4,426.7,376.8,138.2,360.6,613.4,295.7,402.1,141.5,406.9,475.4,419.4,541.7,139.2,190.1,439.9,392.8,558.1,481.9,575.7,618.1,366.9,313.8,320.5,466.8,426.3,352.9,525.0,386.9,579.8,574.6,233.2,233.4,582.9,507.1,419.2,186.7,361.6,239.6,433.7,158.5,267.4,432.6,390.7,84.3,597.4,259.2,527.5,463.4,401.4,607.2,409.7,568.3,421.9,512.2,495.5,175.1,363.6,519.4,283.8,580.8,351.7,399.6,343.9,522.7,568.8,567.7,571.0,488.1,270.2,546.1,333.7,550.7,67.9,176.6,470.8,502.8,455.1,454.2,391.4,275.6,574.8,491.4,287.9,515.3,434.5,491.0,341.6,559.9,498.3,402.9,244.3,261.0,422.6,374.7,534.6,484.9,345.7,403.3
FW,363.6,376.3,354.7,383.9,242.5,379.2,435.0,443.0,370.4,406.9,163.4,389.2,370.8,271.2,260.5,145.3,511.9,475.7,475.0,304.2,171.5,504.4,581.5,526.9,523.0,443.5,264.6,487.1,520.9,133.6,401.3,53.9,95.4,0.0,462.3,511.3,378.8,429.7,231.1,439.4,406.4,402.1,404.6,556.4,557.4,167.7,271.5,420.4,54.2,297.2,286.2,392.9,171.9,530.6,358.4,460.6,1395.8,415.2,451.0,274.2,354.1,347.8,335.5,59.3,319.3,590.1,216.8,323.2,62.6,328.0,396.5,340.5,518.4,60.3,114.5,361.0,313.9,534.8,403.0,552.4,594.8,288.0,272.5,279.2,443.5,347.4,274.0,483.7,345.6,556.5,551.3,154.3,192.1,559.6,428.2,340.3,107.8,282.7,198.3,410.4,133.2,226.1,353.7,349.4,43.0,556.1,180.3,448.6,384.5,322.5,583.9,330.8,545.0,343.0,488.9,472.2,133.8,284.7,440.5,242.5,557.5,272.8,320.7,302.6,499.4,545.5,544.4,547.7,409.2,228.9,522.8,292.4,558.9,11.4,119.3,391.9,423.9,376.2,412.9,312.5,234.3,551.5,468.1,246.6,436.4,355.6,449.7,262.7,536.6,419.4,361.6,165.4,219.7,343.7,295.8,526.5,406.0,304.4,324.4
FX,848.9,861.6,488.6,403.0,395.0,211.0,920.3,872.3,485.5,892.2,648.7,874.5,436.9,423.7,413.0,555.0,257.4,87.8,345.5,456.7,431.7,249.9,274.4,272.4,268.5,339.8,417.1,357.6,213.8,365.9,381.3,412.5,505.1,485.2,0.0,256.8,206.0,850.7,331.0,924.7,891.7,887.4,889.9,301.9,386.5,490.8,424.0,905.7,539.5,782.5,771.5,878.2,657.2,181.7,414.0,322.7,1467.0,355.3,63.1,759.5,506.6,833.1,450.6,544.6,471.8,309.9,702.1,808.5,547.9,813.3,881.8,825.8,263.9,545.6,599.8,846.3,799.2,288.5,888.3,297.9,296.3,773.3,425.0,431.7,55.6,832.7,759.3,351.5,497.7,274.0,296.8,639.6,472.3,305.1,857.5,825.6,593.1,768.0,458.5,51.8,618.5,506.3,839.0,501.9,423.2,374.9,665.6,870.9,869.8,807.8,309.2,816.1,290.5,828.3,234.4,84.3,394.0,770.0,861.5,584.9,303.0,758.1,806.0,455.1,244.9,233.0,82.0,293.2,894.5,381.4,60.4,444.9,272.9,474.3,604.6,877.2,844.9,861.5,353.0,797.8,386.8,239.0,5.7,399.1,865.7,840.9,333.6,748.0,270.7,904.7,481.7,650.7,499.9,829.0,781.1,256.8,891.3,456.9,809.7
GC,880.0,892.7,358.7,273.1,437.3,240.9,947.8,914.6,355.6,923.3,688.5,905.6,307.0,507.1,399.0,597.3,89.2,216.2,215.6,355.8,474.0,93.1,152.0,134.1,79.2,209.9,459.4,227.7,91.4,408.2,251.4,481.0,547.4,527.5,258.0,0.0,248.3,893.0,370.7,955.8,922.8,918.5,921.0,117.5,249.1,533.1,466.3,936.8,581.8,813.6,802.6,909.3,688.3,101.1,284.1,192.8,1509.3,225.4,240.9,790.6,495.2,864.2,320.7,586.9,342.0,158.0,733.2,839.6,590.2,844.4,912.9,856.9,40.6,587.9,639.6,877.4,830.3,107.2,945.6,42.2,228.4,804.4,505.8,382.5,248.4,863.8,790.4,221.6,367.8,127.0,158.7,679.4,514.6,112.1,899.8,853.1,635.4,825.3,500.8,218.2,660.8,548.6,870.1,372.4,465.5,245.0,696.7,913.2,900.9,865.1,217.5,847.2,115.6,859.4,104.5,219.7,436.3,801.1,903.8,627.2,14.6,789.2,837.1,476.4,51.9,105.4,214.0,29.9,925.6,389.5,192.4,486.6,150.2,516.6,644.4,908.3,887.2,892.6,223.1,828.9,429.1,122.0,252.2,441.4,908.0,872.0,203.7,779.1,97.1,962.0,378.0,681.8,568.4,860.1,812.2,153.1,922.4,357.3,840.8
GJ,758.6,771.3,416.9,446.1,304.7,131.8,830.0,782.0,432.6,801.9,558.4,784.2,433.0,333.4,322.7,464.7,245.3,209.1,333.4,366.4,341.4,237.8,314.9,260.3,256.4,327.7,326.8,345.5,254.3,275.6,369.2,322.2,414.8,394.9,195.7,244.7,0.0,760.4,240.7,834.4,801.4,797.1,799.6,289.8,374.4,400.5,333.7,815.4,449.2,692.2,681.2,787.9,566.9,264.0,420.6,310.6,1376.7,343.2,184.4,669.2,416.3,742.8,397.7,454.3,381.5,323.5,611.8,718.2,457.6,723.0,791.5,735.5,251.8,455.3,509.5,756.0,708.9,268.2,798.0,285.8,328.2,683.0,334.7,341.4,176.9,742.4,669.0,339.4,407.8,289.9,284.7,549.3,382.0,293.0,767.2,735.3,502.8,677.7,368.2,143.8,528.2,416.0,748.7,411.6,332.9,362.8,575.3,780.6,779.5,717.5,317.3,725.8,278.4,738.0,222.3,205.6,303.7,679.7,771.2,494.6,290.9,667.8,715.7,364.8,232.8,278.9,277.8,281.1,804.2,291.1,256.2,354.6,260.8,384.0,514.3,786.9,754.6,771.2,340.9,707.5,296.5,284.9,201.5,308.8,775.4,750.6,321.5,657.7,270.0,814.4,423.8,560.4,409.6,738.7,690.8,244.7,801.0,366.6,719.4
GL,197.8,85.0,753.2,782.4,641.0,747.4,117.5,69.6,768.9,109.5,317.5,127.3,769.3,669.7,659.0,612.6,880.1,843.9,873.5,746.5,492.1,872.6,949.7,895.1,891.2,842.0,663.1,885.6,889.1,528.8,799.8,521.2,554.9,467.2,830.5,879.5,747.0,0.0,654.7,30.1,183.1,140.2,89.4,924.6,955.9,613.1,670.0,50.8,413.5,284.6,273.5,158.1,299.8,898.8,756.9,859.1,1254.9,813.7,819.2,162.8,752.6,128.9,734.0,408.4,717.8,958.3,277.0,197.5,477.1,319.4,173.2,216.5,886.6,442.8,355.1,122.6,168.2,903.0,83.7,920.6,963.0,302.5,671.0,677.7,811.7,159.6,217.0,882.2,744.1,945.9,919.5,415.4,637.5,927.8,54.8,194.6,496.1,228.3,465.7,778.6,430.4,671.5,329.5,747.9,510.3,954.6,300.1,20.1,122.6,225.2,952.1,288.6,913.2,96.9,857.1,840.4,530.5,206.0,10.8,483.5,925.7,248.4,278.5,701.1,867.6,913.3,912.6,915.9,55.0,627.4,891.0,690.9,895.6,478.7,350.3,136.7,5.3,114.3,811.4,299.9,632.8,919.3,836.3,645.1,63.0,313.4,848.2,238.3,904.8,109.9,760.1,293.3,665.1,319.5,170.1,879.5,80.7,702.9,198.1
GS,615.1,627.8,414.9,444.1,302.7,221.2,686.5,694.5,430.6,658.4,423.6,640.7,431.0,331.4,320.7,317.1,353.9,317.7,442.0,364.4,339.4,346.4,423.5,368.9,365.0,436.3,324.8,454.1,362.9,128.0,461.5,243.7,267.2,247.3,304.3,353.3,220.8,681.2,0.0,690.9,657.9,653.6,656.1,398.4,483.0,252.9,331.7,671.9,358.8,548.7,537.7,644.4,423.4,372.6,418.6,419.2,1297.4,451.8,293.0,525.7,414.3,599.3,395.7,353.7,379.5,394.5,468.3,574.7,310.0,579.5,648.0,592.0,360.4,307.7,374.7,612.5,565.4,366.3,654.5,394.4,385.3,539.5,332.7,339.4,285.5,598.9,525.5,448.0,405.8,363.0,393.3,414.5,381.9,401.6,679.7,591.8,355.2,534.2,366.2,252.4,380.6,415.9,605.2,409.6,232.8,471.4,431.8,700.1,636.0,574.0,425.9,582.3,387.0,594.5,330.9,314.2,301.7,536.2,692.0,492.6,399.5,524.3,572.2,362.8,341.4,330.4,386.4,389.7,660.7,289.1,364.8,352.6,369.4,236.4,379.5,643.4,675.4,627.7,449.5,564.0,294.5,336.4,310.1,306.8,687.9,607.1,430.1,514.2,368.1,670.9,421.8,416.9,409.5,595.2,547.3,353.3,657.5,364.6,575.9
GV,167.7,54.9,781.0,810.2,668.8,775.2,145.3,97.4,796.7,79.4,319.0,97.2,797.1,697.5,686.8,614.1,907.9,871.7,901.3,774.3,519.9,900.4,977.5,922.9,919.0,869.8,690.9,913.4,916.9,530.3,827.6,522.7,556.4,468.7,858.3,951.1,774.8,27.7,682.5,0.0,153.0,110.1,59.3,952.4,983.7,640.9,697.8,20.6,415.0,286.1,275.0,128.0,301.3,926.6,784.7,886.9,1224.8,841.5,847.0,164.3,780.4,98.8,761.8,409.9,745.6,978.9,278.5,199.0,478.6,320.9,143.1,218.0,914.4,444.3,356.6,124.1,169.7,950.7,53.6,948.4,969.7,304.0,698.8,705.5,839.5,161.1,218.5,910.0,771.9,947.4,947.3,416.9,665.3,955.6,82.6,191.0,497.6,229.8,493.5,806.4,431.9,699.3,331.0,775.7,511.8,982.4,301.6,9.1,92.5,226.7,979.9,290.1,941.0,98.4,884.9,868.2,558.3,207.5,17.7,511.3,953.5,249.9,280.0,728.9,895.4,914.8,940.4,943.7,24.9,655.2,918.8,718.7,923.4,480.2,351.8,106.6,33.0,84.2,839.2,301.4,660.6,920.8,864.1,672.9,90.8,314.9,876.0,239.8,952.5,137.7,787.9,294.8,692.9,321.0,171.6,907.3,50.6,730.7,199.6
GX,33.4,96.5,774.7,803.9,662.5,715.6,85.3,132.6,790.4,183.9,270.2,55.5,790.8,691.2,680.5,565.3,848.3,812.1,895.0,724.2,632.0,840.8,917.9,863.3,859.4,863.5,684.6,907.1,857.3,452.0,821.3,473.9,507.6,419.9,798.7,902.3,715.2,167.9,567.5,159.6,0.0,41.5,124.8,892.8,977.4,587.7,691.5,140.6,366.2,270.0,258.9,25.2,252.5,856.8,778.4,880.6,1071.7,835.2,787.4,115.5,774.1,158.7,755.5,361.1,739.3,930.1,262.4,132.2,429.8,304.8,10.4,201.9,854.8,395.5,307.8,116.3,83.6,901.9,158.1,944.6,920.9,287.9,692.5,699.2,779.9,119.3,202.4,903.7,765.6,898.6,887.7,368.1,612.1,896.0,147.4,56.7,448.8,213.7,605.6,746.8,383.1,646.1,314.9,769.4,463.0,976.1,278.9,168.8,60.2,210.6,933.8,274.0,881.4,90.6,825.3,808.6,553.8,191.4,177.4,623.4,917.0,233.8,263.9,722.6,835.8,866.0,880.8,926.8,129.4,648.9,859.2,712.4,863.8,431.4,303.0,211.1,162.1,68.5,832.9,285.3,654.3,872.0,804.5,666.6,139.2,298.8,869.7,223.7,903.7,102.1,781.6,246.0,639.7,304.9,104.8,946.5,155.1,724.4,183.5
