from_stop,AD,AW,AX,AZ,BJ,BL,BS,CB,CC,CU,CV,CZ,ED,EQ,EV,EZ,FM,FN,FO,HH,HL,HQ,IE,IT,JB,JQ,JW,KE,KF,KG,KL,KM,KV,KZ,LD,LI,LU,LW,LX,MG,ML,MO,MP,MQ,NF,NS,NV,OV,PA,PP,QN,QR,QU,RA,RF,RI,RQ,RT,SA,SB,SG,SH,SK,SZ,TC,TE,TP,TW,UI,UP,UU,UV,UZ,VA,VE,VM,WI,WJ,XE,XI,XJ,XK,YF,YG,YJ,YP,YS,YX,ZA,ZB,ZG,ZI,ZL
LI,293.4,107.9,82.8,53.7,215.5,221.6,128.3,205.6,26.8,2079.0,197.3,107.0,396.3,128.3,83.8,130.6,300.3,34.7,9.1,286.3,140.9,228.8,30.4,94.4,230.3,135.0,133.1,63.7,345.1,99.6,310.2,161.0,122.7,49.6,312.5,0.0,57.5,99.1,80.2,147.8,233.2,152.3,155.3,299.9,165.0,173.5,271.3,311.5,60.2,112.8,251.9,189.9,269.2,148.9,344.8,164.1,70.1,273.2,72.2,244.8,13.2,88.6,97.6,211.7,79.4,46.0,101.4,105.4,100.2,256.5,141.5,250.8,238.4,50.9,92.4,107.8,90.9,24.1,201.6,139.8,168.9,322.9,42.7,168.5,45.1,315.1,224.9,95.0,306.3,232.2,47.8,396.7,72.0
LU,238.5,165.2,139.6,104.0,272.3,258.6,185.1,277.9,36.9,2135.8,142.4,138.9,341.4,183.9,139.6,187.4,357.6,20.0,48.3,245.2,197.7,285.6,87.2,151.2,287.6,168.3,72.7,120.5,290.2,58.2,367.0,224.3,179.5,110.7,369.7,56.7,0.0,44.2,25.3,204.6,290.0,209.1,212.6,361.2,221.8,230.3,328.1,368.3,117.0,169.6,282.4,246.7,326.0,203.1,289.9,218.2,71.7,330.5,17.3,301.6,70.0,145.9,134.9,268.5,136.2,72.1,158.2,162.2,45.3,313.3,86.6,307.6,295.2,107.7,129.7,164.6,147.7,80.9,258.9,196.6,114.0,268.0,84.5,113.6,105.6,260.2,281.7,194.0,363.1,289.0,104.6,341.8,109.3
LW,257.7,196.0,170.4,121.8,303.1,289.4,215.9,308.7,67.7,2166.6,173.1,169.7,372.1,214.7,170.4,218.2,388.4,50.8,77.0,275.9,228.5,316.4,118.0,182.0,318.4,203.1,33.9,150.8,320.9,116.6,397.8,248.6,218.2,122.2,400.4,87.5,30.7,0.0,56.0,235.4,320.8,239.9,243.4,392.0,252.6,261.1,358.9,399.1,147.8,200.4,313.2,277.5,356.8,233.9,320.6,249.0,102.5,361.3,48.0,332.4,100.8,176.7,165.7,299.3,166.6,102.9,189.0,193.0,76.0,344.1,117.3,338.4,326.0,138.5,160.5,195.4,178.5,111.7,289.7,227.4,144.7,298.7,115.3,144.3,136.4,290.9,312.5,224.8,393.9,304.0,135.4,372.5,140.1
LX,213.1,190.6,165.0,116.4,297.7,303.8,210.5,288.3,53.3,2161.2,117.0,189.2,316.0,210.5,166.5,212.8,383.0,45.4,73.7,206.0,223.1,311.0,112.6,176.6,313.0,197.7,83.5,145.9,264.8,83.6,392.4,243.2,204.9,116.8,344.3,82.1,22.6,49.5,0.0,230.0,315.4,234.5,238.0,382.1,247.2,255.7,353.5,393.7,142.4,195.0,334.1,272.1,351.4,231.1,264.5,246.3,81.3,355.9,33.0,327.0,95.4,171.3,160.3,293.9,161.6,83.8,183.6,187.6,19.9,338.7,61.2,333.0,320.6,133.1,155.1,190.0,173.1,106.3,284.3,222.0,88.6,242.6,109.9,88.2,127.8,234.8,307.1,177.2,388.5,314.4,130.0,316.4,136.4
MG,434.5,260.5,115.1,196.8,247.8,130.7,160.6,329.0,177.0,1931.1,349.9,80.2,541.7,74.0,158.1,41.7,360.5,187.3,160.0,452.7,8.3,107.1,120.1,67.9,338.7,208.5,280.2,88.3,497.7,256.3,342.5,76.6,39.7,202.2,420.9,152.5,207.4,251.7,232.8,0.0,106.1,61.4,216.6,176.9,68.7,205.8,144.2,184.4,128.5,59.7,104.0,136.8,142.1,96.1,497.4,108.3,222.7,381.6,224.8,117.7,145.9,241.2,241.9,120.8,72.6,217.4,107.5,74.1,252.8,288.8,294.1,112.8,270.7,122.3,158.1,122.1,159.2,127.1,261.8,86.7,321.5,475.5,195.3,321.1,193.6,467.7,97.8,57.0,179.2,88.3,103.7,549.3,224.6
ML,513.9,339.9,194.5,281.2,327.2,161.3,240.0,408.4,258.9,1874.4,429.3,177.6,621.1,153.4,237.5,139.1,439.9,266.7,241.1,532.1,109.4,92.3,199.5,165.3,418.1,305.9,365.1,168.2,577.1,328.9,421.9,107.2,89.6,281.6,500.3,231.9,286.8,331.1,312.2,105.6,0.0,74.0,296.0,117.5,65.8,285.2,102.1,110.0,207.9,139.1,153.6,216.2,35.9,175.5,576.8,187.7,317.9,461.0,304.2,11.5,217.4,320.6,329.6,151.4,152.0,296.8,186.9,171.5,332.2,368.2,373.5,188.7,350.1,218.6,255.5,219.5,238.6,206.5,341.2,166.1,400.9,554.9,274.7,400.5,273.0,547.1,8.3,136.4,73.0,104.2,183.1,628.7,304.0
MO,467.4,281.9,136.5,227.7,269.2,83.3,182.0,335.4,200.8,1989.5,371.3,134.5,563.1,96.6,179.5,78.0,381.9,208.7,181.4,460.3,51.4,165.5,141.5,107.3,360.1,233.4,307.1,109.7,519.1,273.6,363.9,22.7,39.5,223.6,442.3,173.9,231.5,273.1,254.2,58.3,76.9,0.0,238.0,143.6,8.7,227.2,115.0,155.2,149.9,81.1,162.4,158.2,112.9,117.2,518.8,132.4,244.1,403.0,246.2,88.5,160.7,262.6,270.8,73.4,94.0,220.0,128.9,113.5,274.2,310.2,315.5,171.2,292.1,160.6,197.5,161.5,180.6,148.5,283.2,108.1,342.9,496.9,216.7,342.5,218.2,489.1,68.6,78.4,150.0,146.7,125.1,570.7,246.0
MP,346.9,57.3,91.4,194.8,85.4,266.3,45.9,112.3,170.5,2143.5,343.4,146.6,325.0,192.8,90.2,195.1,143.8,180.8,153.5,427.8,205.4,293.3,132.3,158.9,122.0,249.9,273.7,128.2,348.4,249.8,180.1,232.0,187.2,195.7,204.2,164.7,200.9,245.2,226.3,212.3,297.7,216.8,0.0,368.9,229.5,43.4,335.8,376.0,119.6,177.3,290.1,254.4,333.7,213.7,472.5,225.9,216.2,164.9,218.3,309.3,158.1,76.6,225.7,276.2,143.5,192.1,165.9,177.7,246.3,126.4,287.6,315.3,108.3,145.2,199.5,192.8,76.6,139.3,45.1,204.3,296.1,326.2,188.8,314.6,128.9,461.2,289.4,201.7,370.8,296.7,115.9,400.0,200.1
MQ,582.4,408.0,262.6,349.7,395.7,209.9,308.5,461.9,326.9,1838.4,497.8,245.7,689.2,221.5,305.6,207.2,389.4,334.8,307.9,586.8,177.9,119.0,267.6,233.8,486.6,369.9,427.7,236.2,645.6,399.7,490.4,168.8,165.6,369.4,568.4,300.4,354.9,399.2,380.7,173.7,112.5,142.1,364.1,0.0,133.9,353.7,32.6,7.4,276.4,207.6,153.2,284.3,118.8,243.3,644.9,256.2,386.4,529.5,372.3,124.1,285.9,388.7,397.7,219.9,220.5,346.1,255.0,258.9,400.7,436.3,442.0,144.0,418.2,287.1,323.6,288.0,306.7,274.5,409.3,234.6,450.5,623.0,342.8,468.6,344.3,615.2,104.2,204.9,134.7,130.5,251.2,696.8,372.1
NF,448.0,274.0,128.6,219.8,261.3,80.0,174.1,342.5,192.9,1981.6,363.4,111.7,555.2,88.7,171.6,73.2,374.0,200.8,173.5,466.2,43.5,157.6,133.6,99.4,352.2,240.0,299.2,101.8,511.2,265.7,356.0,41.3,23.7,235.0,434.4,166.0,220.9,265.2,246.3,50.4,68.1,8.1,230.1,138.9,0.0,219.3,106.2,146.4,142.0,73.2,128.2,150.3,104.1,109.6,510.9,121.8,236.2,395.1,238.3,79.7,152.8,254.7,263.7,85.5,86.5,225.8,121.0,105.6,266.3,302.3,307.6,163.3,284.2,152.7,189.6,153.6,172.7,140.6,275.3,100.2,316.1,489.0,208.8,334.6,210.3,481.2,59.8,97.6,141.2,176.8,117.2,562.8,238.1
NS,368.9,90.8,100.6,209.8,41.9,295.3,55.1,130.8,200.8,2152.7,371.3,180.7,358.5,202.0,99.4,204.3,177.3,208.7,181.4,447.5,214.6,302.5,141.5,168.1,155.5,255.1,307.1,137.4,381.9,273.6,136.6,234.7,196.4,223.6,237.7,173.9,231.5,273.1,254.2,221.5,306.9,226.0,33.4,373.6,238.7,0.0,345.0,385.2,128.8,186.5,325.6,263.6,342.9,222.6,506.0,237.8,244.1,198.4,246.2,318.5,160.7,110.1,253.7,285.4,153.1,220.0,175.1,185.1,274.2,82.9,315.5,324.5,64.8,154.4,208.7,202.0,85.8,148.5,78.6,213.5,342.9,359.7,216.7,342.5,138.1,489.1,298.6,168.7,380.0,305.9,125.1,433.5,228.1
NV,560.8,375.3,229.9,321.1,362.6,196.7,275.4,443.8,291.8,1871.1,464.7,213.0,656.5,191.0,272.9,174.5,475.3,302.1,274.8,553.7,144.8,151.7,234.9,200.7,453.5,337.3,400.5,203.1,612.5,394.6,457.3,136.1,132.9,336.3,535.7,267.3,322.2,366.5,347.6,141.0,79.4,109.4,331.4,32.6,101.2,320.6,0.0,40.1,243.3,174.5,189.0,251.6,115.4,208.0,612.2,223.1,337.5,496.4,339.6,91.0,260.7,356.0,365.0,186.8,187.4,327.1,222.3,226.2,367.6,403.6,408.9,224.1,385.5,254.0,290.9,254.9,274.0,241.9,376.6,201.5,417.4,590.3,310.1,435.9,308.4,582.5,71.1,198.9,152.5,163.6,218.5,664.1,339.4
OV,601.0,415.5,270.1,361.3,402.8,236.9,315.6,484.0,358.7,1830.9,504.9,253.2,696.7,229.0,313.1,214.7,382.3,342.3,315.0,593.9,185.0,111.5,275.1,240.9,493.7,377.5,440.7,243.3,652.7,434.8,497.5,176.3,173.1,376.5,575.9,307.5,362.4,406.7,387.8,181.2,119.6,149.6,371.6,7.4,141.4,360.8,40.1,0.0,283.5,214.7,145.7,291.8,111.3,248.2,652.4,263.3,377.7,536.6,379.8,131.2,293.0,396.2,405.2,227.0,227.6,353.6,262.5,266.4,407.8,443.8,449.1,136.9,425.7,294.2,331.1,295.1,314.2,282.1,416.8,241.7,457.6,630.5,350.3,476.1,348.6,622.7,111.3,239.1,127.6,137.1,258.7,704.3,379.6
PA,338.8,138.7,36.5,105.5,158.5,194.4,71.3,224.7,108.0,2071.6,254.2,74.7,452.4,119.7,29.5,114.3,271.2,91.6,64.3,357.0,133.5,221.4,24.4,87.0,249.4,130.2,184.5,55.8,402.0,160.6,253.2,160.1,115.3,106.5,331.6,56.8,111.7,156.0,137.1,140.4,225.8,144.9,127.3,292.4,157.6,116.5,263.9,304.1,0.0,105.4,244.5,182.5,261.8,138.9,401.7,154.0,142.8,292.3,129.1,237.4,43.6,119.4,154.5,204.3,71.6,102.9,94.0,81.9,157.1,199.5,198.4,243.4,181.4,25.5,79.8,82.4,30.6,31.4,172.5,132.4,225.8,379.8,99.6,225.4,65.0,372.0,217.5,129.8,298.9,224.8,40.4,453.6,128.9
PP,396.2,222.2,76.8,168.0,209.5,130.4,122.3,290.7,165.4,1957.9,311.6,67.3,503.4,16.4,119.8,79.2,322.2,149.0,121.7,400.6,69.5,115.9,81.8,79.6,300.4,201.6,241.9,50.0,459.4,241.5,304.2,96.1,51.3,163.9,382.6,114.2,169.1,213.4,194.5,76.4,161.8,80.9,178.3,215.8,93.6,167.5,199.9,208.3,90.2,0.0,146.7,77.0,156.9,33.4,459.1,48.5,200.2,343.3,186.5,173.4,99.7,202.9,211.9,140.3,34.3,160.3,69.2,99.3,214.5,250.5,255.8,137.9,232.4,100.9,155.2,142.3,120.9,88.8,223.5,26.9,264.3,437.2,157.0,282.8,161.5,429.4,153.5,37.5,163.1,103.5,65.4,511.0,186.3
QN,538.2,364.2,192.5,287.5,351.5,219.0,264.3,432.7,280.7,1888.9,453.6,157.6,619.1,177.7,263.3,145.4,341.8,291.0,265.4,556.4,112.0,44.7,223.8,145.3,442.4,312.2,383.9,192.5,601.4,383.5,339.6,180.3,143.4,325.2,524.6,256.2,284.8,329.1,336.5,77.3,106.1,165.1,320.3,128.0,136.3,309.5,160.7,120.5,232.2,163.4,0.0,240.5,69.1,203.6,601.1,185.7,342.2,485.3,328.5,120.8,249.6,344.9,345.6,224.5,176.7,321.1,211.2,197.1,330.2,392.5,371.5,8.7,374.4,226.0,261.8,225.8,262.9,230.8,365.5,164.1,406.3,579.2,299.0,424.8,297.3,571.4,114.4,196.4,101.6,56.6,181.1,626.7,328.3
QR,479.5,294.0,148.6,239.8,281.3,222.0,194.1,347.5,212.9,2025.1,383.4,146.6,575.2,82.6,191.6,151.0,394.0,220.8,193.5,472.4,141.3,183.1,153.6,151.4,372.2,273.4,319.2,121.8,531.2,285.7,376.0,161.4,123.1,235.7,454.4,186.0,243.6,285.2,266.3,148.2,233.6,152.7,250.1,286.1,165.4,239.3,271.7,275.5,162.0,71.7,213.9,0.0,224.1,103.2,530.9,118.4,256.2,415.1,258.3,245.2,172.8,274.7,283.7,212.1,106.1,232.1,141.0,171.1,286.3,322.3,327.6,205.1,304.2,172.7,227.0,214.1,192.7,160.6,295.3,94.1,355.0,509.0,228.8,354.6,230.3,501.2,225.3,90.5,230.3,186.5,137.2,582.8,258.1
QU,562.4,376.9,231.5,322.7,364.2,178.5,277.0,445.4,320.1,1838.4,466.3,214.6,658.1,192.6,274.5,176.1,327.1,303.7,276.4,569.1,146.4,56.3,236.5,202.3,455.1,338.9,402.1,204.7,614.1,368.6,351.2,144.2,126.6,337.9,537.3,268.9,323.8,368.1,349.2,142.6,36.9,111.0,333.0,81.5,102.8,322.2,114.2,74.0,244.9,176.1,90.5,253.2,0.0,216.3,613.8,129.0,354.9,498.0,341.2,25.3,262.3,357.6,366.6,188.4,189.0,328.7,223.9,208.5,369.2,405.2,410.5,81.7,387.1,255.6,292.5,256.5,275.6,243.5,378.2,203.1,419.0,591.9,311.7,437.5,313.2,584.1,45.2,200.5,37.0,81.9,220.1,665.7,341.0
RA,431.4,257.4,109.8,216.1,244.7,170.0,157.5,325.9,174.2,1921.8,346.8,100.3,538.9,18.9,156.5,112.2,355.2,184.2,160.7,449.6,104.7,79.8,114.8,112.6,335.6,240.8,277.1,85.7,494.6,276.7,339.4,131.3,94.4,218.4,417.8,149.4,202.1,248.9,229.7,115.4,160.4,116.1,213.8,179.4,128.8,202.7,208.3,168.1,129.2,32.9,136.9,87.6,120.8,0.0,494.3,8.3,235.4,378.5,225.5,145.9,142.8,238.1,247.1,175.5,69.9,214.3,104.4,153.8,249.7,285.7,288.8,101.8,267.6,136.1,190.4,177.5,156.1,124.3,258.7,6.0,299.5,472.4,192.2,318.3,190.5,464.6,168.7,72.7,129.6,67.4,98.4,544.0,225.3
RF,137.0,460.4,434.8,386.2,567.5,573.6,480.3,375.1,323.1,2431.0,142.6,459.0,239.9,480.3,436.3,482.6,627.5,315.2,341.4,58.4,492.9,580.8,382.4,446.4,441.1,467.5,353.3,415.7,188.7,353.4,662.2,513.0,474.7,386.6,268.2,351.9,292.4,319.3,269.7,499.8,585.2,504.3,482.5,651.9,517.0,525.5,623.3,663.5,412.2,464.8,603.9,541.9,621.2,500.9,0.0,516.1,351.1,307.5,302.8,596.8,365.2,441.1,430.1,563.7,431.4,353.6,453.4,457.4,249.7,608.5,272.3,602.8,590.4,402.9,424.9,459.8,442.9,376.1,528.8,491.8,304.5,166.5,379.7,171.4,397.6,101.2,576.9,447.0,658.3,584.2,399.8,240.3,404.5
RI,443.0,269.0,123.6,227.7,256.3,197.0,169.1,337.5,188.0,1909.3,358.4,114.1,550.2,32.7,168.1,126.0,369.0,195.8,168.5,447.4,116.3,67.3,128.6,126.4,347.2,248.4,288.7,96.8,506.2,260.7,351.0,136.4,98.1,210.7,429.4,161.0,218.6,260.2,241.3,123.2,145.3,127.7,225.1,166.8,140.4,214.3,199.9,159.7,137.0,46.7,98.1,99.2,108.3,7.7,505.9,0.0,247.0,390.1,233.3,133.7,146.5,249.7,258.7,187.1,81.5,225.9,116.0,146.1,261.3,297.3,302.6,89.3,279.2,147.7,202.0,189.1,167.7,135.6,270.3,19.8,330.0,484.0,203.8,329.6,202.1,476.2,153.6,65.5,114.5,54.9,112.2,557.8,233.1
RQ,288.6,166.1,153.7,104.9,273.2,263.9,186.0,278.8,31.2,2136.7,204.0,153.0,416.2,184.8,140.5,201.5,358.5,41.4,49.2,306.8,211.8,286.5,101.3,152.1,288.5,169.2,134.3,120.9,351.8,133.9,367.9,225.2,188.3,111.6,370.7,57.6,74.7,105.8,86.9,218.7,304.1,210.0,226.7,361.7,235.9,231.2,329.0,369.2,131.1,170.5,283.3,247.6,340.1,210.7,351.5,232.3,0.0,331.4,92.1,315.7,64.6,146.8,135.8,269.4,136.7,78.1,159.1,164.9,120.1,314.2,161.4,308.5,296.1,121.8,130.6,165.5,148.6,81.8,259.8,210.7,156.7,329.6,85.4,188.4,106.5,321.8,282.6,203.5,377.2,274.1,105.5,416.6,123.4
RT,170.4,165.2,266.4,289.7,260.4,461.1,220.9,67.5,280.8,2318.5,281.7,346.5,160.0,367.8,265.2,370.1,319.9,288.7,261.4,249.0,380.4,468.3,303.9,333.9,133.5,371.0,387.1,303.2,183.4,353.6,355.1,400.5,362.2,303.6,39.2,273.4,311.5,353.1,334.2,387.3,472.7,391.8,174.9,539.4,404.5,218.4,510.8,551.0,294.6,352.3,491.4,429.4,508.7,388.4,307.5,403.6,324.1,0.0,326.2,484.3,286.7,184.5,333.6,451.2,318.9,300.0,340.9,350.9,354.2,301.4,395.5,490.3,283.3,320.2,328.4,367.8,251.6,297.6,221.2,379.3,422.9,161.2,296.7,310.5,245.7,408.8,464.4,334.5,545.8,471.7,290.9,235.0,308.0
SA,224.7,192.6,167.0,131.4,299.7,305.8,212.5,305.3,64.3,2163.2,140.1,166.3,339.1,211.3,168.5,214.8,385.0,47.4,73.6,242.9,225.1,313.0,114.6,178.6,315.0,195.7,80.0,147.9,287.9,89.7,394.4,251.7,214.8,138.1,367.4,84.1,27.3,51.5,23.0,232.0,317.4,236.5,240.0,388.2,249.2,257.7,355.5,395.7,144.4,197.0,336.1,274.1,353.4,233.1,287.6,245.6,99.1,357.9,0.0,329.0,97.4,173.3,162.3,295.9,163.6,104.6,185.6,189.6,43.0,340.7,84.3,335.0,322.6,135.1,157.1,192.0,175.1,108.3,286.3,224.0,92.8,265.7,111.9,111.3,129.8,257.9,309.1,179.2,390.5,316.4,132.0,339.5,136.7
SB,537.0,351.5,206.1,297.3,338.8,153.1,251.6,420.0,270.5,1862.8,440.9,189.2,632.7,165.0,249.1,150.7,351.5,278.3,251.0,529.9,121.0,80.7,211.1,176.9,429.7,313.5,376.7,179.3,588.7,370.8,433.5,112.3,101.2,312.5,511.9,243.5,298.4,342.7,323.8,117.2,11.5,85.6,307.6,105.5,77.4,296.8,113.7,98.4,219.5,150.7,165.2,227.8,24.3,184.2,588.4,199.3,329.5,472.6,315.8,0.0,236.9,332.2,341.2,163.0,163.6,289.6,198.5,202.4,343.8,379.8,385.1,106.1,361.7,230.2,267.1,231.1,250.2,218.1,352.8,177.7,393.6,566.5,286.3,412.1,284.6,558.7,19.9,183.7,61.4,92.6,194.7,640.3,315.6
SG,307.9,121.1,68.5,68.2,202.2,194.8,115.0,220.1,41.3,2065.7,210.5,67.6,402.9,113.8,75.3,123.6,313.7,47.9,14.0,300.8,133.9,215.5,15.9,81.1,243.5,137.1,147.6,49.2,358.3,114.1,296.9,146.5,108.2,64.1,325.7,13.1,68.0,105.7,93.4,140.8,218.7,139.0,168.5,289.9,158.0,160.2,256.8,297.0,45.7,98.3,237.4,176.6,262.2,134.4,358.0,146.9,84.6,286.4,78.8,237.8,0.0,101.8,110.8,198.4,64.9,71.4,88.1,90.9,113.4,243.2,148.1,237.5,225.1,43.9,91.9,94.5,77.6,9.6,214.8,132.8,183.4,336.1,55.9,175.1,59.6,328.3,217.9,123.9,293.0,217.7,33.3,409.9,78.6
SH,355.0,19.3,158.1,105.1,152.1,310.5,112.6,116.9,96.2,2167.9,266.7,195.9,344.6,217.2,99.8,219.5,211.6,104.1,76.8,355.7,229.8,317.7,119.3,183.3,141.6,186.4,202.5,152.6,368.0,169.0,246.8,249.9,211.6,119.0,223.8,88.8,126.9,168.5,149.6,236.7,322.1,241.2,66.6,388.8,253.9,110.1,360.2,400.4,131.7,201.7,340.8,278.8,358.1,237.8,414.2,253.0,139.5,184.5,141.6,333.7,102.1,0.0,149.0,300.6,168.3,115.4,190.3,194.3,169.6,193.1,210.9,339.7,175.0,139.8,143.8,196.7,123.4,113.0,112.9,228.7,238.3,345.8,112.1,237.9,61.1,384.5,313.8,183.9,395.2,321.1,136.7,419.6,123.4
SK,393.2,189.7,182.1,71.1,314.8,310.6,227.6,287.4,126.6,2150.0,297.1,206.3,496.1,227.6,165.6,180.1,382.1,134.5,107.2,386.1,211.9,326.0,129.7,177.4,312.1,37.4,232.9,163.0,444.9,199.4,409.5,250.0,211.7,149.4,394.3,99.2,157.3,198.9,180.0,218.8,322.2,241.3,237.1,388.9,254.0,272.8,360.3,400.5,159.5,212.1,322.9,289.2,358.2,248.2,444.6,263.4,169.9,355.0,172.0,333.8,112.5,170.4,0.0,291.4,178.7,145.8,200.7,147.7,200.0,355.8,241.3,331.7,337.7,139.8,109.8,148.2,189.2,123.4,283.4,239.1,268.7,422.7,142.5,268.3,126.9,414.9,313.9,194.3,395.3,307.2,147.1,496.5,25.5
SZ,573.2,387.7,242.3,321.4,375.0,66.3,287.8,441.2,306.6,2036.8,477.1,240.3,668.9,202.4,285.3,174.7,487.7,314.5,288.9,566.1,143.8,212.8,247.3,203.4,465.9,266.1,412.9,215.5,624.9,379.4,469.7,148.5,145.3,329.4,548.1,279.7,337.3,378.9,360.0,135.4,131.0,121.8,343.8,197.7,113.6,333.0,169.1,209.3,255.7,186.9,209.7,264.0,167.0,223.0,624.6,238.2,349.9,508.8,352.0,142.6,266.5,368.4,303.5,0.0,199.8,325.8,234.7,209.6,380.0,416.0,421.3,218.5,397.9,257.8,282.7,257.6,286.4,254.3,389.0,213.9,448.7,602.7,322.5,448.3,324.0,594.9,122.7,184.2,204.1,194.0,230.9,676.5,329.1
TC,361.8,187.8,34.1,146.5,175.1,126.7,87.9,256.3,104.3,1999.5,277.2,32.5,468.6,47.6,86.9,71.5,287.8,114.6,88.6,380.0,61.8,149.3,47.0,44.8,266.0,171.2,207.5,16.1,425.0,207.1,269.8,88.0,51.1,148.8,348.2,79.8,134.3,178.6,160.1,68.3,153.7,72.8,143.5,224.9,85.9,133.1,192.2,232.0,55.4,33.3,146.1,110.4,189.7,73.5,424.7,81.9,165.8,308.9,152.1,165.3,73.2,168.5,177.5,132.2,0.0,144.7,34.8,84.2,179.7,216.1,221.0,171.3,198.0,66.5,120.8,107.9,86.5,54.0,189.1,60.3,229.9,402.8,122.6,248.4,120.9,395.0,145.4,66.3,226.8,136.9,30.6,476.2,151.5
TE,318.0,157.4,131.8,83.2,264.5,255.5,177.3,255.1,51.4,2128.0,221.9,131.1,420.9,177.3,133.3,184.3,354.5,59.3,38.4,310.9,177.5,277.8,67.0,131.0,279.8,164.5,157.7,112.7,369.7,124.2,359.2,210.0,171.7,83.6,362.0,48.9,67.0,128.4,104.8,184.4,282.2,201.3,192.4,340.6,201.6,222.5,320.3,360.5,109.2,161.8,300.9,238.9,305.8,197.9,369.4,198.0,94.7,322.7,96.8,281.4,60.6,138.1,127.1,260.7,128.4,0.0,150.4,154.4,112.4,305.5,153.7,299.8,287.4,104.6,121.9,156.8,139.9,73.1,251.1,193.5,193.5,347.5,76.7,193.1,94.6,339.7,273.9,182.4,355.3,281.2,96.8,408.9,101.5
TP,382.9,197.4,52.0,143.2,184.7,184.6,97.5,250.9,116.3,2042.0,286.8,5.6,478.6,91.3,95.0,93.6,297.4,124.2,96.9,375.8,103.9,191.8,57.0,57.4,275.6,176.8,222.6,25.2,434.6,189.1,279.4,124.0,85.7,139.1,357.8,89.4,147.0,188.6,169.7,110.8,196.2,115.3,153.5,262.9,128.0,142.7,234.3,274.5,65.4,75.8,214.9,152.9,232.2,111.9,434.3,127.1,159.6,318.5,161.7,207.8,76.2,178.1,187.1,174.7,42.4,135.5,0.0,77.1,189.7,225.7,231.0,213.8,207.6,76.1,130.4,117.5,96.1,64.0,198.7,102.8,258.4,412.4,132.2,258.0,133.7,404.6,187.9,58.0,269.3,195.2,40.6,486.2,161.5
TW,387.8,210.3,74.4,109.6,207.1,147.4,119.9,288.3,130.3,2002.2,303.2,41.9,512.8,112.6,102.6,32.3,331.6,140.6,113.3,406.0,64.1,178.2,73.4,29.6,298.0,134.3,233.5,54.8,451.0,233.1,301.8,108.7,71.8,174.8,380.2,105.8,160.7,216.8,186.1,80.3,174.4,93.5,187.7,254.5,106.2,165.1,221.8,252.7,71.5,98.3,148.8,175.4,210.4,138.5,450.7,146.9,191.8,340.9,178.1,186.0,99.2,191.0,167.7,152.9,64.5,170.7,93.0,0.0,217.9,248.1,259.2,183.9,230.0,48.1,83.9,47.9,102.2,80.4,221.1,125.3,255.9,428.8,148.6,274.4,136.6,421.0,166.1,131.3,256.8,201.9,57.0,514.4,177.9
UI,208.3,210.6,185.0,136.4,317.7,304.0,230.5,323.3,73.2,2181.2,97.0,184.3,311.2,229.3,185.0,232.8,403.0,65.4,91.6,201.2,243.1,331.0,132.6,196.6,333.0,217.7,98.0,165.9,260.0,107.7,412.4,269.7,224.9,136.8,339.5,102.1,45.3,69.5,19.9,250.0,335.4,254.5,258.0,406.2,267.2,275.7,373.5,413.7,162.4,215.0,354.1,292.1,371.4,248.5,259.7,263.6,117.1,375.9,53.0,347.0,115.4,191.3,180.3,313.9,181.6,122.6,203.6,209.4,0.0,358.7,41.2,353.0,340.6,153.1,175.1,210.0,193.1,126.3,304.3,242.0,48.4,237.8,129.9,68.2,147.8,214.8,327.1,248.0,408.5,318.6,150.0,311.6,154.7
UP,441.9,163.8,173.6,282.8,76.0,368.3,128.1,203.8,273.8,2063.4,444.3,253.7,431.5,275.0,172.4,277.3,250.3,281.7,256.1,520.5,287.6,346.7,214.5,241.1,228.5,328.1,380.1,210.4,454.9,346.6,53.6,307.7,269.4,296.6,310.7,246.9,304.5,346.1,327.2,294.5,379.9,299.0,106.4,446.6,311.7,72.9,418.0,439.1,201.8,259.5,377.5,336.6,387.7,295.6,579.0,310.8,317.1,271.4,319.2,391.5,233.7,183.1,326.7,358.4,226.1,293.0,248.1,258.1,347.2,0.0,388.5,368.7,18.1,227.4,281.7,275.0,158.8,221.5,151.6,286.5,415.9,432.7,289.7,415.5,211.1,562.1,371.6,241.7,393.9,350.1,198.1,506.5,301.1
UU,209.4,261.9,236.3,200.7,369.0,355.3,281.8,374.6,124.5,2232.5,109.6,235.6,323.8,280.6,236.3,284.1,454.3,116.7,145.0,227.6,294.4,382.3,183.9,247.9,384.3,265.0,154.8,216.7,272.6,152.2,463.7,321.0,276.2,188.1,352.1,153.4,96.6,120.8,71.2,301.3,386.7,305.8,309.3,457.9,318.5,327.0,424.8,465.0,213.7,266.3,379.1,343.4,422.7,302.7,272.3,314.9,152.6,391.4,104.3,398.3,160.4,242.6,231.6,365.2,232.9,168.8,254.9,258.9,51.2,410.0,0.0,404.3,391.9,204.4,226.4,261.3,244.4,177.6,355.6,293.3,99.7,250.4,181.2,80.8,202.3,227.4,378.4,248.5,459.8,385.7,201.3,324.2,206.0
