from_stop,AC,AK,AQ,AR,AW,AY,AZ,BD,BF,BL,BR,BS,CG,CU,DC,DR,DV,EK,EM,ER,ES,FA,FB,FT,GF,HA,HX,HY,HZ,IB,IP,JE,JF,KA,KB,KF,KN,KV,KZ,LH,LO,LP,LU,LV,MF,MV,NG,NL,NP,NR,NZ,OF,OU,PM,PU,PY,QA,QD,QJ,QW,RE,RG,RU,RW,RX,SJ,SN,SO,SZ,TA,TC,TR,UD,UJ,VA,VB,VC,VG,VP,VT,WG,WR,WW,XJ,YA,YS,ZA,ZD
KV,257.4,248.7,272.2,351.8,384.1,250.2,337.1,240.3,337.0,345.4,186.3,316.8,65.2,364.5,352.0,73.0,391.5,320.3,64.9,148.9,342.6,79.2,32.6,402.2,336.6,176.9,262.6,41.8,243.6,367.2,370.1,393.3,41.5,257.8,313.2,1722.1,181.0,0.0,381.1,327.5,71.6,269.3,18.3,289.3,162.3,96.5,201.6,96.9,248.7,68.2,280.7,138.4,64.8,87.1,244.9,230.8,258.4,314.4,302.0,372.2,10.4,348.8,58.4,169.2,25.5,233.9,147.8,31.1,357.5,101.8,294.8,86.0,356.0,201.1,43.7,338.0,237.6,120.6,352.5,223.8,119.6,303.3,54.8,235.7,377.2,95.1,353.6,178.7
KZ,240.5,157.4,403.0,362.4,136.4,178.4,82.6,186.5,84.6,356.0,193.1,387.6,401.5,27.4,104.3,317.4,10.3,49.3,276.9,184.5,88.1,291.2,315.0,92.0,65.2,138.7,162.8,267.3,216.6,377.8,7.5,74.2,268.7,133.7,73.3,1861.7,217.6,308.0,0.0,73.0,330.9,214.2,288.4,102.6,241.4,227.3,201.0,417.3,118.9,252.0,378.8,262.1,252.2,232.3,354.0,159.0,203.3,74.2,397.9,110.9,294.7,94.3,288.4,234.7,280.1,238.6,412.0,279.1,67.5,362.5,73.6,378.5,40.1,215.9,326.1,348.6,107.1,202.6,54.0,271.8,342.4,116.6,408.9,180.6,129.5,368.5,71.3,193.8
LH,203.5,104.7,368.0,332.6,132.9,125.7,9.6,156.7,107.8,326.2,140.4,357.8,371.7,77.3,158.9,316.1,104.6,33.1,275.6,183.2,15.1,289.9,313.7,123.9,97.1,103.7,124.9,266.0,163.9,348.0,85.8,106.1,267.4,134.0,84.0,1860.4,164.9,306.7,94.2,0.0,300.3,184.4,287.1,49.9,211.6,192.3,148.3,387.5,66.2,250.7,349.0,232.3,250.9,231.0,324.2,106.3,173.5,128.8,368.1,142.8,293.4,21.3,287.1,182.0,278.8,208.8,336.8,277.8,78.8,332.7,20.9,348.7,90.0,186.1,324.8,318.8,119.2,167.6,65.3,219.1,312.6,63.9,379.1,150.8,171.1,338.7,62.6,141.1
LO,190.7,185.8,200.5,281.4,312.4,183.5,270.4,156.9,284.7,275.0,129.3,245.1,97.6,320.0,280.3,76.1,327.3,253.6,53.6,132.0,275.9,67.9,73.7,330.5,272.4,105.2,247.3,108.6,176.9,255.3,305.9,330.6,27.4,240.9,260.9,1778.2,164.1,66.7,316.9,260.8,0.0,200.7,47.1,222.6,90.6,24.8,134.9,137.9,182.0,36.9,209.0,66.7,131.6,55.8,173.2,164.1,191.7,250.2,230.3,300.3,53.4,282.1,12.3,99.0,38.8,202.6,139.5,97.9,333.6,105.8,228.1,121.8,332.7,129.4,84.8,228.0,178.5,31.9,328.6,157.1,124.1,236.6,121.6,169.0,305.5,111.8,291.1,161.8
LP,192.4,169.5,254.1,187.4,307.5,198.9,196.9,41.4,169.2,181.0,94.6,212.6,226.5,200.3,289.9,223.6,239.3,198.1,183.1,161.3,202.4,213.1,249.4,271.4,249.8,158.2,332.9,210.1,178.6,202.8,220.5,258.8,174.9,308.4,145.4,1845.9,249.7,214.2,228.9,187.3,155.9,0.0,194.6,206.3,66.4,123.7,150.3,242.3,165.7,158.2,203.8,87.1,217.4,150.8,179.0,179.5,14.1,303.2,222.9,272.3,200.9,208.6,168.2,115.3,186.3,24.3,237.0,221.9,223.5,187.5,178.9,203.5,188.2,40.9,241.2,173.6,231.5,99.0,210.0,83.3,167.4,220.3,233.9,47.3,300.6,193.5,183.8,225.9
LU,253.4,248.5,253.8,349.2,365.7,246.2,333.1,236.3,333.0,342.8,192.0,298.4,59.8,360.5,333.6,54.6,380.6,316.3,46.5,144.9,338.6,60.8,26.5,386.6,325.7,158.5,260.2,61.4,258.1,308.6,361.8,383.9,23.1,253.8,309.2,1780.2,177.0,19.5,370.2,323.5,53.2,213.6,0.0,285.3,139.6,78.1,197.6,90.8,244.7,49.8,252.3,120.0,84.4,68.7,226.5,226.8,254.4,303.5,283.6,353.6,6.2,344.8,40.0,177.9,7.2,215.5,132.4,50.7,353.5,98.7,290.8,89.1,352.0,169.6,37.6,281.3,231.8,102.2,348.5,171.3,117.0,299.3,74.4,231.7,358.8,98.2,353.4,174.7
LV,175.2,65.2,335.6,321.7,203.1,90.0,82.0,144.5,131.2,315.3,104.7,346.9,354.0,109.4,171.0,280.4,136.7,65.2,239.9,147.5,87.5,254.2,278.0,153.2,129.2,71.3,137.0,230.3,154.1,337.1,115.3,138.2,231.7,146.1,107.4,1824.7,129.2,271.0,126.3,72.4,264.6,173.5,251.4,0.0,200.7,159.9,112.6,376.6,30.5,214.8,328.1,221.4,215.2,195.3,313.3,70.6,162.6,140.9,357.2,174.7,257.7,93.7,251.4,146.3,243.1,197.9,304.4,242.1,102.4,321.8,39.7,337.8,122.1,169.7,289.1,307.9,69.2,135.2,97.4,183.4,301.7,14.0,305.4,139.9,196.2,327.8,98.5,105.4
MF,242.6,167.1,251.3,190.7,332.3,224.5,226.0,66.2,194.0,184.3,181.2,215.9,227.3,225.1,337.7,165.6,264.1,222.9,147.6,160.2,227.2,161.9,167.7,296.2,268.5,157.1,295.3,202.6,228.8,200.0,245.3,283.6,121.4,307.3,170.2,1849.2,217.6,160.7,253.7,212.1,89.4,84.0,136.6,209.9,0.0,79.6,186.8,245.6,197.7,130.9,200.6,25.2,216.3,149.7,182.3,205.1,73.1,302.1,226.2,297.1,147.4,233.4,101.7,156.4,128.3,108.4,240.3,191.9,233.7,190.8,203.7,206.8,213.0,25.6,178.8,176.9,225.9,83.8,228.7,161.3,170.7,219.6,237.2,72.1,325.4,196.8,202.5,195.4
MV,181.6,176.7,175.6,279.6,303.3,174.4,261.3,165.8,302.3,259.8,120.2,220.2,134.2,310.9,271.2,109.1,318.2,244.5,86.6,99.2,266.8,100.9,106.7,324.2,263.3,96.1,234.3,141.6,167.8,230.4,299.4,321.5,60.4,246.3,237.4,1753.3,151.1,99.7,307.8,251.7,32.9,193.5,80.1,213.5,220.7,0.0,125.8,200.3,172.9,69.9,174.1,241.4,155.3,88.7,148.3,155.0,182.6,241.1,205.4,291.2,86.4,273.0,45.2,106.1,71.8,217.9,144.4,130.9,333.0,138.8,219.0,154.8,323.6,195.2,117.8,203.1,169.4,22.8,319.5,148.0,157.1,227.5,154.6,159.9,296.4,144.8,274.0,134.4
NG,127.1,61.5,298.8,287.2,268.8,48.5,164.1,111.3,197.6,280.8,65.7,312.4,220.3,191.5,236.7,195.2,218.8,147.3,154.7,62.3,169.6,169.0,192.8,238.1,211.3,77.2,188.9,145.1,141.8,302.6,200.0,220.3,146.5,182.5,173.8,1739.5,105.7,185.8,208.4,154.5,179.4,139.0,166.2,116.3,166.2,123.1,0.0,257.1,75.7,129.8,303.6,186.9,130.0,110.1,278.8,29.1,128.1,206.6,322.7,256.7,172.5,175.8,166.2,33.6,157.9,163.4,240.6,156.9,193.0,206.9,121.8,222.9,204.2,140.7,203.9,273.4,134.9,98.4,179.5,75.5,225.2,130.3,220.2,105.4,261.9,212.9,176.8,81.9
NL,331.3,322.2,133.5,295.8,443.0,324.1,376.7,221.2,349.0,289.4,269.8,237.5,34.1,380.1,410.9,132.5,419.4,378.0,106.4,222.7,382.2,90.9,58.8,451.2,403.0,235.8,338.1,133.2,317.5,247.5,400.3,438.7,101.0,331.7,325.3,1698.6,255.1,105.1,408.8,367.2,131.1,239.1,77.7,360.7,221.8,156.0,275.5,0.1,322.6,127.7,211.0,197.9,156.1,146.6,191.8,304.7,228.4,380.8,222.7,431.1,91.7,388.5,117.8,243.1,84.9,263.5,50.8,122.5,394.9,45.8,358.8,30.0,368.1,219.2,50.6,225.3,309.3,180.1,389.9,249.2,63.6,374.6,61.3,227.2,436.1,39.1,356.5,252.6
NP,158.3,38.4,349.3,324.0,171.3,59.4,88.3,148.1,137.5,317.6,74.1,349.2,274.9,115.7,198.8,249.8,143.0,71.5,209.3,116.9,93.8,223.6,247.4,162.3,135.5,85.0,181.8,199.7,118.7,339.4,124.2,144.5,201.1,175.4,113.7,1794.1,98.6,240.4,132.6,78.7,234.0,175.8,220.8,40.5,203.0,173.6,82.0,311.7,0.0,184.4,340.4,223.7,184.6,164.7,315.6,40.0,164.9,181.5,359.5,181.2,227.1,100.0,220.8,115.7,212.5,200.2,295.2,211.5,117.2,261.5,46.0,277.5,128.4,177.5,258.5,310.2,109.8,148.9,103.7,152.8,304.0,54.5,274.8,142.2,209.5,267.5,101.0,74.8
NR,203.5,194.8,193.4,327.5,334.0,196.3,283.2,186.4,283.0,321.3,132.4,294.7,86.8,310.5,301.8,65.3,337.5,266.4,24.8,94.9,288.7,39.3,62.9,352.1,282.7,126.8,210.3,97.8,176.7,342.9,316.2,339.4,16.6,203.9,259.3,1758.5,127.0,56.1,327.2,273.6,49.5,163.7,36.3,235.4,145.3,74.4,147.7,127.4,194.8,0.0,259.4,116.3,107.5,18.8,216.6,176.9,204.4,260.5,279.9,322.1,44.2,294.9,36.3,115.3,28.0,165.6,110.7,87.1,312.0,77.0,240.9,93.0,302.1,211.6,74.0,313.7,183.6,52.3,298.6,121.4,95.3,249.4,110.8,181.8,327.1,83.0,303.1,124.8
NZ,367.5,309.8,124.8,116.8,489.2,363.1,361.1,205.6,332.6,97.9,306.1,49.1,225.9,363.7,457.1,295.0,402.7,362.3,232.3,285.9,376.6,216.8,253.1,435.6,439.2,282.0,420.2,309.5,353.7,58.5,384.7,423.0,246.3,432.2,309.6,1732.2,337.8,274.8,393.1,351.5,208.8,223.4,256.0,344.2,228.1,185.8,311.7,214.5,337.1,255.8,0.0,249.8,313.4,274.6,64.9,343.7,211.7,427.0,34.3,436.5,272.3,372.8,231.9,279.3,257.7,247.8,158.6,298.8,386.9,191.2,343.1,207.2,352.4,203.6,244.9,18.9,345.3,208.7,384.2,323.9,171.1,369.0,237.6,211.5,482.3,197.2,344.2,320.3
OF,217.4,191.0,230.1,214.6,339.1,210.2,245.6,90.1,217.9,208.2,156.0,239.8,170.0,249.0,307.0,144.9,288.0,246.8,122.4,135.0,251.1,136.7,142.5,320.1,299.1,131.9,270.1,177.4,203.6,230.0,269.2,307.5,96.2,282.1,194.1,1807.8,186.9,135.5,277.6,236.0,68.7,107.9,115.9,229.5,19.5,54.4,161.6,206.8,221.6,105.7,231.0,0.0,191.1,124.5,206.2,190.8,97.0,276.9,250.1,327.0,122.2,257.3,81.0,141.9,107.6,132.3,198.9,166.7,272.2,214.7,227.6,230.7,236.9,49.5,153.6,200.8,205.2,58.6,258.7,183.8,194.6,243.5,190.4,96.0,332.2,220.7,232.5,170.2
OU,192.5,187.6,314.5,352.6,282.7,185.3,272.2,176.7,272.1,346.2,121.4,377.8,129.0,299.6,300.1,145.5,326.6,255.4,126.6,84.0,277.7,140.9,105.1,346.2,271.7,125.0,197.7,15.0,178.7,368.0,305.2,328.4,114.0,192.9,248.3,1660.2,116.1,72.4,316.2,262.6,144.1,204.4,90.8,224.4,227.1,150.9,136.7,140.9,183.8,101.5,313.0,192.8,0.0,82.0,281.0,165.9,193.5,249.5,388.1,320.1,82.9,283.9,130.9,104.3,98.0,228.8,188.3,26.8,292.6,137.1,229.9,121.3,291.1,200.6,116.2,338.8,172.7,126.2,287.6,158.9,154.9,238.4,90.1,170.8,325.3,130.4,288.7,113.8
PM,184.6,179.7,213.1,344.7,274.8,177.4,264.3,168.8,264.2,338.3,123.2,310.7,110.1,291.7,291.0,85.0,318.7,247.5,44.5,76.1,269.8,58.8,82.6,338.3,263.8,115.9,191.4,81.4,170.8,360.1,299.9,320.5,36.3,185.0,240.4,1726.1,108.2,75.6,308.3,254.7,69.2,196.5,56.0,216.5,151.9,90.4,128.8,146.9,175.9,19.6,264.6,132.3,88.7,0.0,238.8,158.0,185.6,241.6,295.9,311.0,62.3,276.0,56.0,109.1,47.7,220.9,130.4,93.2,293.2,96.7,222.0,112.7,283.2,198.2,93.7,330.9,164.8,65.7,279.7,102.5,115.0,230.5,130.5,162.9,316.2,102.7,277.0,105.9
PU,338.7,294.5,103.3,139.5,460.4,331.5,345.0,190.8,323.5,140.5,267.6,71.8,205.0,354.6,428.3,260.4,393.6,346.2,203.5,256.3,356.7,188.0,224.3,416.7,420.4,253.2,391.4,280.7,311.9,88.2,366.0,406.9,217.5,403.4,293.5,1710.7,308.2,256.0,377.0,335.4,184.2,207.3,237.2,328.9,202.0,157.0,282.9,185.5,321.0,227.1,44.5,233.7,296.1,245.8,0.0,312.1,202.6,398.2,57.0,448.5,245.1,356.7,196.5,250.5,228.9,231.7,129.8,270.0,363.1,162.4,327.0,178.4,336.3,165.9,216.1,59.6,320.7,179.9,358.1,305.1,142.3,349.1,208.8,195.4,453.5,168.4,324.7,291.5
PY,165.8,45.9,320.8,331.5,233.2,19.4,148.5,155.6,182.0,325.1,99.6,356.7,255.9,175.9,201.1,230.8,203.2,131.7,190.3,97.9,154.0,204.6,228.4,222.5,193.2,56.5,153.3,180.7,126.2,346.9,184.4,204.7,182.1,146.9,158.2,1775.1,70.1,221.4,192.8,138.9,215.0,183.3,201.8,100.7,210.5,145.1,35.5,292.7,60.1,165.4,347.9,231.2,165.6,145.7,323.1,0.0,172.4,171.0,367.0,221.1,208.1,160.2,201.8,69.2,193.5,207.7,276.2,192.5,177.4,242.5,106.2,258.5,188.6,185.0,239.5,317.7,99.3,120.4,163.9,111.1,260.8,114.7,255.8,149.7,226.3,248.5,161.2,46.3
QA,203.3,128.2,240.0,173.3,293.4,209.8,182.8,27.3,155.1,166.9,105.5,198.5,205.6,186.2,275.8,218.0,225.2,184.0,214.5,172.2,188.3,199.0,235.3,257.3,235.7,169.1,308.0,221.0,208.0,188.7,203.8,244.7,169.3,319.3,131.3,1831.8,224.8,208.6,214.8,173.2,141.8,10.9,189.0,166.7,41.3,163.8,161.2,228.4,176.6,168.9,178.9,73.0,228.3,161.7,170.7,190.4,0.0,314.1,208.8,258.2,195.3,194.5,154.1,162.9,180.7,35.2,222.9,232.8,200.9,173.4,164.8,189.4,174.1,26.8,227.1,159.5,242.4,131.7,195.9,94.2,153.3,180.7,219.8,33.2,286.5,179.4,161.5,201.0
QD,245.4,170.9,423.3,367.3,33.1,202.7,106.9,191.4,61.1,360.9,217.4,392.5,406.4,69.7,66.1,337.7,77.0,73.6,297.2,204.8,112.4,393.0,335.3,66.9,22.1,159.0,119.1,287.6,226.3,382.7,58.2,49.1,289.0,154.0,78.2,1816.8,192.5,328.3,66.6,97.3,335.8,219.1,308.7,126.9,246.3,247.6,225.3,422.2,143.2,272.3,383.7,267.0,272.5,252.6,358.9,183.3,208.2,0.0,402.8,86.1,315.0,118.6,348.1,259.0,300.4,243.5,416.9,299.4,91.8,367.4,97.9,383.4,82.4,220.8,421.1,353.5,127.4,222.9,78.3,296.1,347.3,140.9,413.8,185.5,40.3,373.4,95.6,218.1
QJ,404.5,325.3,168.3,82.4,490.5,382.7,379.9,224.4,352.2,64.3,343.1,12.1,267.2,383.3,494.1,332.0,422.3,381.1,258.7,322.1,385.4,243.2,290.1,454.4,432.8,319.0,457.2,346.5,390.7,22.3,403.5,441.8,283.3,469.2,328.4,1775.7,374.0,321.8,411.9,370.3,255.8,242.2,303.0,363.8,247.9,222.8,348.7,231.2,355.9,284.5,53.4,268.6,366.9,303.4,65.7,363.3,231.3,464.0,0.0,455.3,309.3,391.6,268.1,329.0,294.7,266.6,175.3,335.8,406.5,228.2,361.9,244.2,371.2,222.4,281.9,37.7,392.3,245.7,393.0,325.6,208.1,377.8,274.6,230.3,483.6,234.2,366.8,357.3
QW,280.1,209.7,463.8,402.0,35.1,236.5,140.7,224.8,95.6,395.6,233.0,427.2,444.7,103.3,17.5,420.9,110.6,107.4,380.4,288.0,146.2,427.7,418.5,30.1,76.6,199.5,185.7,370.8,244.1,417.4,89.4,30.2,372.2,194.5,112.9,1883.4,275.5,411.5,100.4,131.1,370.5,253.8,391.7,160.7,270.0,288.1,259.1,456.9,177.0,355.3,407.6,301.7,355.5,335.8,399.4,217.1,242.9,66.5,437.5,0.0,399.8,152.4,382.8,280.0,383.4,278.2,451.6,382.6,116.9,402.1,131.7,418.1,116.2,250.0,455.8,388.2,168.1,263.4,111.9,329.7,382.0,174.5,448.5,220.2,28.2,408.1,136.6,251.9
RE,259.7,251.0,260.1,348.9,372.0,252.5,339.4,242.6,339.3,344.1,188.6,304.7,44.4,368.4,339.9,62.5,386.9,322.6,52.8,152.8,344.9,67.1,20.5,390.1,332.0,164.8,266.5,55.1,232.9,314.9,365.5,390.2,29.4,260.1,315.5,1735.4,184.9,11.6,376.5,329.8,59.5,219.9,6.2,291.6,155.3,84.4,203.9,85.0,251.0,56.2,269.4,126.3,76.5,75.0,226.6,233.1,260.7,309.8,289.9,360.1,0.0,351.1,46.3,171.5,13.4,221.8,135.7,44.4,359.8,98.9,297.1,83.1,358.3,189.0,31.6,287.6,238.1,108.5,354.8,177.6,116.7,305.6,68.1,238.0,365.1,92.2,359.3,181.0
RG,223.0,124.2,346.7,352.1,169.7,145.2,10.7,176.2,127.3,345.7,159.9,377.3,286.2,96.8,137.6,261.1,124.1,52.6,220.6,128.2,5.6,234.9,258.7,143.4,116.6,82.4,103.6,211.0,183.4,367.5,105.3,125.6,212.4,112.7,103.5,1805.4,184.4,251.7,113.7,19.4,245.3,203.9,232.1,69.4,231.1,171.0,167.8,407.0,85.7,195.7,368.5,251.8,195.9,176.0,343.7,125.8,193.0,107.5,387.6,157.6,238.4,0.0,232.1,201.5,223.8,228.3,315.5,222.8,98.3,352.2,40.4,368.2,109.5,205.6,269.8,338.3,50.8,146.3,84.8,238.6,332.1,83.4,286.1,170.3,162.8,358.2,82.1,160.6
RU,228.2,223.3,213.7,294.6,325.6,221.0,307.9,211.1,307.8,288.2,166.8,258.3,88.5,333.2,293.5,63.8,340.5,291.1,41.3,119.7,313.4,55.6,61.4,343.7,285.6,118.4,235.0,96.3,232.9,268.5,321.7,343.8,15.1,228.6,284.0,1775.0,151.8,54.4,330.1,298.3,13.2,188.4,34.8,260.1,99.5,38.0,172.4,125.6,219.5,24.6,212.2,79.9,119.3,43.5,180.2,201.6,229.2,263.4,243.5,313.7,41.1,319.6,0.0,136.5,26.5,190.3,127.2,85.6,328.3,93.5,265.6,109.5,326.8,129.5,72.5,241.2,191.7,77.0,323.3,146.1,111.8,274.1,109.3,206.5,318.7,99.5,320.6,149.5
RW,104.6,95.9,289.9,264.7,266.5,84.4,199.1,75.8,184.2,258.3,30.2,289.9,204.2,226.5,234.4,164.3,268.4,167.5,136.8,31.4,176.8,138.1,174.9,274.4,226.5,59.3,179.5,127.2,77.8,280.1,249.6,255.3,128.6,173.1,160.4,1721.6,96.3,154.9,243.4,174.7,161.5,116.5,200.6,136.5,136.8,114.2,35.8,319.6,95.9,98.9,271.1,164.4,99.1,92.2,243.3,65.0,105.6,204.3,300.2,241.4,141.6,196.0,135.3,0.0,192.3,140.9,258.7,139.0,228.0,264.8,142.0,280.8,203.2,105.2,186.0,250.9,169.9,89.5,199.7,41.8,244.7,137.5,202.3,82.9,259.6,270.8,204.2,94.0
RX,245.1,240.2,245.5,340.9,357.4,237.9,324.8,228.0,324.7,334.5,174.0,290.1,66.3,352.2,325.3,32.1,372.3,308.0,38.2,136.6,330.3,52.5,33.7,378.3,317.4,150.2,251.9,68.6,249.8,300.3,353.5,375.6,14.8,245.5,300.9,1771.9,168.7,26.7,361.9,315.2,44.9,205.3,7.2,277.0,131.3,69.8,189.3,97.9,236.4,41.5,244.0,111.7,91.6,60.4,218.2,218.5,246.1,295.2,275.3,345.5,13.4,336.5,31.7,169.6,0.0,207.2,124.1,57.9,345.2,90.4,282.5,96.3,343.7,161.3,44.8,273.0,223.5,93.9,340.2,163.0,108.7,291.0,81.6,223.4,350.5,96.4,345.1,166.4
SJ,168.0,145.1,275.0,328.1,341.0,174.5,229.7,152.2,247.6,321.7,70.2,353.3,224.3,257.1,308.9,199.2,284.4,212.9,158.7,136.9,235.2,173.0,196.8,303.7,276.9,133.8,308.5,185.7,154.2,343.5,265.6,285.9,150.5,284.0,223.8,1814.1,225.3,189.8,274.0,220.1,183.4,179.9,170.2,181.9,207.1,99.3,125.9,261.1,141.3,133.8,344.5,227.8,193.0,126.4,319.7,155.1,169.0,278.8,363.6,322.6,176.5,241.4,170.2,90.9,161.9,0.0,243.8,197.5,258.6,210.9,187.4,226.9,269.8,181.6,207.9,314.3,207.1,74.6,245.1,58.9,229.2,195.9,244.7,146.3,334.1,216.9,242.4,201.5
SN,312.7,317.1,82.6,242.1,437.9,305.5,371.7,216.2,344.0,235.7,251.3,186.6,91.8,375.1,405.8,166.3,414.1,372.9,83.3,204.2,377.2,67.8,114.7,446.2,391.9,230.7,319.5,178.5,298.9,196.8,395.3,433.6,117.6,313.1,320.2,1647.7,236.3,153.8,403.7,362.1,130.5,234.0,133.7,355.6,216.9,155.4,256.9,55.8,304.0,109.1,170.1,197.3,201.5,128.0,140.8,286.1,223.1,369.7,171.8,425.8,143.6,383.4,117.3,237.2,129.0,258.4,0.0,167.8,398.3,60.2,353.7,76.2,363.0,214.2,106.5,174.4,292.9,161.5,384.8,230.6,58.5,369.6,106.6,222.1,431.0,66.2,358.6,234.0
SO,226.2,221.3,287.6,360.2,316.4,219.0,305.9,210.4,305.8,353.8,164.8,332.2,105.7,333.3,333.8,118.6,360.3,289.1,110.5,117.7,311.4,124.8,78.2,379.9,305.4,158.7,231.4,10.6,212.4,375.6,341.5,362.1,87.1,226.6,282.0,1693.9,149.8,45.5,349.9,296.3,117.2,238.1,63.9,258.1,203.6,142.1,170.4,114.1,217.5,93.0,286.1,184.0,33.6,73.3,260.3,199.6,227.2,283.2,317.4,353.8,57.6,317.6,104.0,150.7,71.1,262.5,161.4,0.0,334.8,110.2,263.6,94.4,324.8,239.8,89.3,346.4,206.4,121.2,321.3,192.6,128.0,272.1,63.2,204.5,359.0,103.5,318.6,147.5
SZ,230.8,132.2,377.4,352.7,161.3,157.0,70.2,175.5,100.0,346.3,192.7,377.9,395.4,64.6,129.2,291.8,91.9,27.9,259.8,158.9,66.7,265.6,289.4,108.4,93.4,113.1,103.7,241.7,195.2,368.1,70.5,93.4,243.1,123.5,76.2,1833.6,196.2,282.4,81.5,51.6,321.2,204.5,262.8,81.2,227.2,201.7,179.6,416.6,97.5,226.4,358.3,252.4,226.6,206.7,353.3,137.6,193.6,107.6,388.2,129.9,269.1,72.9,262.8,192.0,254.5,228.9,346.2,253.5,0.0,352.8,52.2,368.8,77.3,200.7,300.5,338.9,81.5,177.0,5.2,250.4,332.7,104.2,316.8,170.9,154.4,358.8,35.7,172.4
TA,289.9,276.3,177.3,249.9,397.1,282.7,330.9,175.4,303.2,243.5,228.5,221.9,38.9,334.3,365.0,135.5,373.3,332.1,60.5,181.4,336.4,45.0,61.8,405.4,357.1,189.9,296.7,118.2,276.1,265.3,354.5,392.8,94.8,290.3,279.4,1698.9,213.5,93.5,362.9,321.3,107.7,193.2,80.8,314.8,198.9,132.6,234.1,54.7,281.2,86.3,175.8,174.5,141.2,105.2,150.0,263.3,182.3,334.9,207.1,385.0,94.8,342.6,94.5,214.4,88.0,217.6,51.1,107.5,357.5,0.0,312.9,15.9,322.2,173.4,53.6,236.1,263.2,138.7,344.0,207.8,17.7,328.8,46.3,181.3,390.2,5.9,317.8,211.2
TC,182.5,83.7,364.6,329.0,125.2,104.7,42.2,153.1,128.4,322.6,119.4,354.2,320.2,69.6,152.7,295.1,96.9,25.4,254.6,162.2,47.7,268.9,292.7,116.2,89.4,100.3,157.6,245.0,142.9,344.4,78.1,98.4,246.4,166.7,94.3,1839.4,143.9,285.7,86.5,32.6,279.3,180.8,266.1,28.9,208.0,188.9,127.3,383.9,45.2,229.7,345.4,228.7,229.9,210.0,320.6,85.3,169.9,112.8,364.5,135.1,272.4,53.9,266.1,161.0,257.8,205.2,333.4,256.8,71.1,329.1,0.0,345.1,82.3,182.5,303.8,315.2,98.2,164.2,57.6,198.1,309.0,42.9,320.1,147.2,163.4,335.1,54.9,120.1
TR,305.7,292.1,193.1,265.7,412.9,298.5,346.7,191.2,319.0,259.3,244.3,237.7,22.9,350.1,380.8,119.5,389.1,347.9,76.3,197.2,352.2,60.8,45.8,421.2,372.9,205.7,312.5,102.2,291.9,281.1,370.3,408.6,88.0,306.1,295.2,1714.7,229.3,77.5,378.7,337.1,118.1,209.0,64.8,330.6,214.7,143.0,249.9,38.7,297.0,102.1,191.6,184.9,125.2,121.0,165.8,279.1,198.1,350.7,222.9,400.8,78.8,358.4,104.9,230.2,72.0,233.4,66.9,91.5,373.3,15.7,328.7,0.0,338.0,189.2,37.6,251.9,279.0,154.5,359.8,223.6,33.5,344.6,30.3,197.1,406.0,9.1,333.6,227.0
UD,200.3,125.8,388.9,322.2,97.3,183.2,98.9,146.3,44.4,315.8,209.4,347.4,361.3,12.0,124.8,341.1,51.0,65.6,300.6,208.2,104.4,347.9,338.7,88.3,61.5,223.1,179.1,291.0,181.2,337.6,32.2,70.5,292.4,223.4,33.1,1885.4,222.4,331.7,40.6,89.3,290.7,174.0,312.1,118.9,201.2,312.7,197.2,377.1,135.2,275.7,338.6,221.9,275.9,256.0,313.8,163.8,163.1,114.9,357.7,107.2,318.4,110.6,303.0,239.5,303.8,198.4,371.8,302.8,83.8,322.3,89.9,338.3,0.0,175.7,376.0,308.4,188.2,280.6,70.3,257.4,302.2,132.9,368.7,140.4,135.5,328.3,64.1,198.6
UJ,263.6,145.5,231.7,165.0,306.6,198.8,196.0,41.8,168.3,145.5,192.5,190.2,207.7,182.4,272.0,212.7,221.4,197.2,206.2,243.7,184.5,177.6,227.0,267.7,231.9,178.1,321.2,223.6,179.9,180.4,217.0,257.9,142.4,328.3,144.5,1823.5,221.0,245.6,228.0,186.4,136.5,58.3,232.9,162.9,14.4,100.6,208.7,220.1,172.0,152.0,170.6,46.1,293.3,170.7,162.4,179.4,30.4,323.1,200.5,271.2,170.0,207.7,148.8,175.4,153.8,82.7,214.6,212.9,197.1,165.1,178.0,181.1,187.3,0.0,218.8,151.2,232.2,104.8,192.1,124.7,145.0,176.9,211.5,46.4,299.7,171.1,175.7,214.2
VA,280.6,275.7,186.7,317.2,392.9,273.4,360.3,242.7,370.5,310.8,219.2,289.2,16.3,401.6,360.8,81.8,407.8,343.5,73.7,172.1,365.8,88.0,8.1,413.8,352.9,185.7,287.4,96.3,266.8,332.6,389.0,411.1,50.3,281.0,346.7,1751.8,204.2,54.4,397.4,350.7,80.4,240.8,27.1,312.5,166.8,105.3,224.8,53.1,271.9,77.0,243.1,147.2,119.3,95.9,217.3,254.0,249.6,330.7,274.4,380.8,41.1,372.0,67.2,205.1,34.3,242.7,104.0,85.6,389.2,67.2,318.0,51.4,389.5,196.8,0.0,303.4,259.0,129.4,375.7,198.5,85.0,326.5,62.7,258.9,386.0,60.5,385.1,201.9
