from_stop,AT,BI,BK,BS,BT,BX,CC,DA,DD,DE,DQ,DR,DU,EA,ED,EF,EH,EO,EX,EY,FF,FI,FK,FL,FR,FT,FV,GG,GI,GQ,HD,HG,HI,HM,HN,HP,HT,HV,ID,IE,IN,IS,IV,JF,JH,JW,KA,KL,KT,LE,LS,MA,MD,ME,MG,MH,MI,MQ,MV,MY,NK,NP,NQ,OD,OK,OT,OU,OX,OY,PD,PF,PG,PI,PQ,PR,QC,QF,QM,RM,RZ,SS,TF,TG,TV,TW,TZ,UB,UD,UO,UR,UY,VB,VD,VF,VH,VI,VQ,WK,WO,WQ,XQ,XS,YF,YN,YR,YT,YU,YX,ZB,ZG,ZL
GQ,207.0,119.2,682.4,168.2,118.4,92.1,168.7,39.5,10.3,71.8,326.0,312.4,311.9,317.9,658.2,136.6,65.1,277.4,123.1,307.8,492.3,451.8,261.4,122.2,144.6,206.5,154.6,127.5,188.1,0.0,491.8,641.8,194.6,199.5,416.7,204.2,409.1,189.8,133.6,337.2,85.7,615.9,225.1,187.3,113.0,96.8,645.6,26.6,154.1,645.6,162.9,153.2,289.2,235.1,341.6,201.1,125.4,120.7,220.7,108.7,230.2,694.2,26.0,236.5,188.6,261.1,318.4,501.3,406.5,10.1,138.5,587.5,318.4,142.3,78.5,124.2,1496.0,291.7,234.6,663.4,239.2,106.9,204.2,331.4,193.1,216.9,99.2,168.3,425.9,91.6,274.7,110.6,200.3,235.0,147.4,668.9,697.2,223.0,171.2,705.7,276.0,226.1,275.1,578.7,288.0,630.3,105.0,60.4,173.4,269.8,169.2
HD,493.2,600.9,261.8,525.5,517.1,550.6,512.0,558.4,561.2,590.7,410.8,429.6,468.4,407.4,202.8,526.3,505.8,438.1,505.5,466.0,244.2,321.3,454.2,594.0,471.7,560.2,596.0,541.4,573.9,571.1,0.0,221.2,567.4,471.3,250.6,557.8,88.9,499.8,498.2,453.3,469.0,371.9,542.4,508.3,594.7,532.0,271.6,533.8,518.7,271.6,451.3,535.2,502.6,476.1,431.1,563.5,570.2,509.1,484.0,590.4,269.4,273.6,534.3,467.0,575.4,242.8,397.0,9.5,391.7,581.3,637.1,343.5,427.9,583.7,537.8,510.9,1486.2,466.1,464.3,242.8,397.4,525.4,476.0,420.9,510.0,549.3,508.7,485.9,143.3,557.8,470.4,582.4,566.4,533.3,571.2,213.5,276.6,452.7,570.2,232.9,434.2,359.7,447.9,333.5,446.2,249.5,538.5,579.3,538.0,518.5,533.8
HG,571.1,707.3,72.8,555.6,635.5,713.6,577.4,676.8,679.6,709.1,440.9,459.7,498.5,445.6,161.1,675.5,603.2,468.2,623.9,496.1,411.9,346.6,484.3,695.2,590.1,590.3,656.9,686.4,604.0,689.5,217.3,0.0,597.5,501.4,418.3,587.9,256.6,558.3,589.8,483.4,566.4,298.7,572.5,538.4,713.5,650.4,178.9,631.2,568.2,178.9,569.7,658.3,532.7,506.2,461.2,593.6,678.4,627.5,514.1,716.9,444.8,84.6,631.7,497.1,605.5,428.2,427.1,208.2,361.9,646.0,745.6,270.3,458.0,644.6,656.2,629.3,1463.3,496.2,494.4,53.8,427.5,592.6,506.1,451.0,540.1,579.4,627.1,584.6,311.0,655.2,500.5,683.6,596.5,563.4,634.0,171.8,87.6,482.8,631.1,96.1,464.3,389.8,478.0,240.8,476.3,156.8,656.9,697.7,623.4,548.6,624.3
HI,121.7,228.2,652.4,36.0,176.0,188.9,71.0,181.0,183.8,213.3,175.8,162.2,161.7,167.7,590.8,173.5,277.7,127.2,177.2,165.6,513.9,473.4,111.2,216.1,139.4,110.8,177.8,188.0,6.5,193.7,424.4,579.5,0.0,63.7,438.3,9.5,341.7,92.1,70.2,179.4,243.1,651.8,93.4,37.1,234.4,200.2,667.2,220.4,48.6,667.2,116.7,179.2,139.0,67.6,191.4,114.5,199.3,152.8,70.5,230.6,216.9,664.2,219.8,86.3,126.4,185.5,191.8,433.9,339.1,203.9,266.5,623.4,168.2,165.5,160.4,184.7,1609.7,141.5,85.9,633.4,171.8,197.1,59.0,181.2,24.9,100.3,131.3,107.1,358.5,233.1,124.5,204.5,104.6,84.8,154.9,601.5,667.2,101.7,152.0,620.9,139.0,158.7,124.9,600.3,151.0,651.9,176.8,201.9,77.7,119.6,107.3
HM,69.8,259.2,588.6,54.1,160.8,207.2,75.9,199.3,201.9,231.4,196.7,196.4,200.0,166.9,527.0,191.6,206.9,165.3,125.1,161.9,461.0,421.3,149.3,268.0,115.4,128.9,242.4,206.3,58.0,211.8,360.6,515.7,64.5,0.0,386.2,74.1,277.7,63.0,88.3,244.0,194.7,599.7,147.5,67.6,253.0,154.3,615.1,238.5,68.5,615.1,115.8,172.8,177.1,35.7,182.5,157.3,243.0,128.7,108.8,244.8,127.7,600.4,237.9,56.5,140.5,106.6,184.8,370.1,275.3,222.0,291.4,582.9,163.3,230.1,173.7,148.7,1674.3,132.6,53.8,569.6,108.0,145.0,4.6,172.3,38.6,139.3,149.4,83.1,294.7,251.2,142.3,250.6,122.7,122.9,219.5,537.7,614.1,85.2,216.6,557.1,130.1,128.2,116.0,548.2,141.8,504.1,194.9,220.0,95.8,157.7,125.4
HN,383.7,486.5,383.0,347.4,474.9,492.8,382.4,492.4,495.2,524.7,227.3,246.1,284.9,232.0,324.0,454.7,407.6,254.6,439.2,287.0,218.4,300.2,270.7,474.4,429.5,369.5,436.1,465.6,369.3,505.1,149.6,316.4,375.8,343.9,0.0,367.1,66.9,377.1,381.6,290.0,370.8,480.4,351.7,328.6,492.7,465.7,367.8,435.6,360.0,367.8,428.1,437.5,311.9,318.6,247.6,372.8,457.6,442.8,300.5,496.1,153.0,394.8,436.1,288.2,384.7,162.4,215.4,159.1,86.7,515.3,520.6,463.6,248.4,423.8,471.8,477.5,1500.6,282.6,290.9,364.0,271.4,459.1,339.0,237.4,354.3,358.6,442.7,397.2,15.6,544.5,286.9,462.8,375.7,322.5,413.2,334.7,408.5,318.2,410.3,354.1,257.1,193.3,264.4,427.1,268.8,345.7,488.2,513.3,389.1,302.0,403.5
HP,131.3,218.6,662.0,45.6,185.6,198.5,80.6,190.6,193.4,222.9,185.4,171.8,171.3,177.3,600.4,183.1,287.3,136.8,186.8,175.2,523.5,483.0,120.8,206.5,149.0,101.6,168.2,197.6,16.0,203.3,434.0,589.1,9.5,73.3,447.9,0.0,351.3,101.7,79.8,169.8,252.7,661.4,83.8,46.7,224.8,209.8,676.8,230.0,58.2,676.8,126.3,169.6,148.6,77.2,201.0,104.9,189.7,162.4,80.1,228.2,231.2,673.8,229.4,95.9,116.8,199.2,201.4,443.5,348.7,213.5,256.9,633.0,177.8,155.9,170.0,194.3,1600.1,151.1,95.5,643.0,181.4,206.7,68.6,190.8,34.5,90.7,140.9,116.7,368.1,242.7,134.1,194.9,107.8,94.4,145.3,611.1,676.8,111.3,142.4,630.5,148.6,168.3,134.5,609.9,160.6,661.5,186.4,211.5,87.3,129.2,116.9
HT,404.2,511.9,316.0,443.8,428.1,461.6,423.0,469.4,472.2,501.7,443.3,462.1,500.9,448.0,257.0,437.3,416.8,470.6,416.5,503.0,154.4,236.2,486.7,505.0,382.7,554.5,507.0,452.4,463.7,482.1,82.6,249.4,470.2,416.9,161.6,552.1,0.0,417.0,409.2,447.6,380.0,416.4,536.7,456.3,505.7,443.0,303.8,444.8,429.7,303.8,362.3,446.2,496.9,470.4,463.6,557.8,481.2,420.1,516.5,497.5,207.5,327.8,445.3,504.2,458.1,185.2,431.4,92.1,302.7,492.3,543.9,388.0,464.4,494.7,448.8,421.9,1436.6,498.6,458.6,297.0,391.7,436.4,421.6,453.4,455.6,543.6,419.7,396.9,54.3,468.8,502.9,493.4,466.7,527.6,482.2,267.7,330.8,455.2,481.2,287.1,473.1,353.1,480.4,363.1,484.8,281.7,449.5,490.3,449.0,512.8,444.8
HV,62.0,215.0,636.7,64.4,103.9,156.6,19.0,154.9,157.7,187.2,206.8,206.5,208.1,168.9,586.8,147.4,191.7,173.6,109.9,172.0,445.8,406.1,157.6,223.8,58.5,102.7,226.0,161.9,84.3,167.6,420.4,596.1,90.8,59.9,371.0,100.4,345.3,0.0,37.9,265.1,186.9,584.5,121.3,75.9,208.8,139.1,599.9,194.3,49.6,599.9,58.9,140.0,185.4,53.2,192.6,113.1,198.8,98.7,116.9,200.6,152.7,648.5,193.7,66.6,96.3,142.1,194.9,429.9,335.1,177.8,240.8,567.7,173.4,213.7,134.3,152.4,1657.9,142.7,63.9,617.7,167.8,129.8,55.0,182.4,66.7,113.1,105.2,26.2,386.7,207.0,152.4,200.2,96.5,131.2,181.8,597.5,656.2,95.3,200.2,660.0,140.2,188.0,126.1,533.0,151.9,584.6,150.7,175.8,69.6,166.0,81.2
ID,94.0,170.8,635.1,34.5,105.7,118.6,35.0,110.7,113.5,143.0,192.3,178.7,178.2,192.3,642.0,101.7,207.4,143.7,133.5,182.1,444.2,404.5,127.7,173.8,103.4,72.8,180.3,116.8,54.4,123.4,458.9,594.5,60.9,98.2,369.4,70.5,376.2,56.1,0.0,233.1,172.8,582.9,91.4,46.0,164.6,129.9,598.3,150.1,19.7,598.3,46.4,143.4,155.5,101.8,207.9,67.4,154.6,82.5,87.0,160.3,193.6,646.9,149.5,102.8,50.6,183.3,210.2,554.8,373.6,133.6,202.8,554.5,188.7,168.0,90.1,114.4,1612.2,158.0,105.5,616.1,189.8,153.4,93.5,197.7,59.4,83.2,61.0,58.2,385.1,162.8,141.0,162.2,66.6,101.3,137.6,652.7,649.9,132.8,154.5,658.4,155.5,193.2,141.4,531.4,167.2,583.0,106.5,131.6,39.7,136.1,35.5
IE,261.6,328.6,508.7,173.6,313.6,326.5,208.6,318.6,321.4,350.9,56.2,57.0,95.8,120.9,487.2,296.8,336.6,65.5,317.1,97.9,323.3,403.8,81.6,320.8,277.0,211.6,278.2,307.7,195.5,331.3,289.1,455.9,202.0,219.3,330.5,209.2,206.4,229.7,207.8,0.0,299.8,567.3,193.8,162.4,334.8,337.8,454.7,358.0,186.2,454.7,254.3,279.6,132.3,196.5,144.6,214.9,299.7,290.4,111.4,338.2,307.8,534.3,357.4,166.1,226.8,249.2,164.9,298.6,203.8,341.5,362.7,538.9,92.0,265.9,298.0,319.6,1587.5,160.0,168.8,503.5,168.5,337.0,214.6,134.4,180.5,200.7,268.9,244.7,223.2,370.7,97.8,304.9,217.8,133.4,255.3,497.9,537.3,196.1,252.4,517.3,129.7,122.3,161.4,515.0,117.7,432.6,314.4,339.5,215.3,112.9,244.9
IN,132.8,215.8,596.6,167.9,121.1,176.4,158.5,155.7,99.9,106.5,246.4,265.2,304.0,236.9,572.4,152.1,36.7,264.3,37.3,222.0,405.7,452.5,249.0,224.6,97.5,187.7,221.8,167.2,171.8,89.5,406.0,556.0,178.3,113.7,330.9,187.9,323.3,145.6,124.0,309.1,0.0,549.6,206.3,189.0,209.6,89.3,559.8,64.7,180.5,559.8,77.1,161.0,273.3,149.3,260.6,185.4,196.0,88.6,208.3,201.4,153.4,608.4,65.2,151.5,168.6,194.2,234.5,415.5,320.7,79.5,247.8,521.2,241.4,209.5,111.4,136.7,1467.6,227.6,148.8,577.6,153.4,21.1,118.4,250.4,152.4,198.1,115.0,111.7,340.1,88.7,237.3,207.2,181.5,222.6,197.0,583.1,616.1,137.2,196.0,619.9,190.2,140.3,215.5,492.9,201.9,544.5,164.3,119.9,163.8,253.9,159.6
IS,543.8,651.5,296.0,583.4,567.7,601.2,562.6,609.0,611.8,581.5,545.8,564.6,603.4,550.5,357.6,576.9,511.7,573.1,556.1,605.5,379.2,205.5,589.2,644.6,522.3,612.5,646.6,592.0,603.3,564.5,369.9,260.6,609.8,556.5,388.0,619.4,395.9,550.4,548.8,698.2,474.9,0.0,631.1,602.5,645.3,582.6,188.0,539.7,569.3,188.0,501.9,585.8,630.4,574.4,566.1,610.2,620.8,559.7,619.0,641.0,448.6,321.0,540.2,594.3,597.7,479.7,532.0,360.8,405.2,554.5,687.7,21.6,562.9,634.3,588.4,561.5,1385.0,601.1,591.6,277.0,589.9,501.1,561.2,555.9,595.2,622.9,559.3,536.5,377.5,563.7,605.4,633.0,606.3,641.0,621.8,368.3,324.0,580.0,620.8,319.3,575.6,512.7,582.9,112.9,587.6,220.2,589.1,629.9,588.6,620.5,584.4
IV,170.0,166.0,711.1,82.9,206.4,172.3,101.4,211.4,214.2,243.7,240.7,227.1,191.5,240.7,718.0,112.2,308.1,192.1,232.5,230.5,520.2,480.5,176.1,153.9,169.8,17.7,115.6,127.3,102.8,224.1,432.9,670.5,109.3,146.6,445.4,118.9,350.2,122.5,100.6,143.7,273.5,658.9,0.0,94.4,172.2,233.3,674.3,250.8,64.9,674.3,122.4,117.0,93.6,150.5,256.3,52.3,137.1,183.2,135.4,171.7,273.9,722.9,250.2,151.2,64.2,247.4,258.6,442.4,347.6,234.3,200.1,633.5,237.1,103.3,190.8,157.0,1547.5,206.4,153.9,692.1,238.2,252.4,141.9,246.1,107.8,6.8,161.7,134.2,367.0,263.5,189.4,142.3,23.9,149.7,92.7,728.7,736.6,181.2,89.8,734.4,203.9,241.6,189.8,607.4,215.6,659.0,169.1,232.3,50.8,184.5,69.9
JF,114.8,217.2,680.5,12.1,152.1,164.0,47.1,163.7,158.9,189.4,145.2,131.6,132.1,130.5,580.9,149.6,253.8,96.6,171.3,135.0,491.4,450.9,80.6,225.0,115.5,86.9,217.4,170.7,40.6,169.8,414.5,569.6,40.5,57.8,414.8,50.1,325.2,67.2,45.3,192.2,225.8,629.3,112.1,0.0,211.0,176.3,644.7,196.5,24.7,644.7,92.8,196.4,101.8,68.3,160.8,115.3,201.0,128.9,40.9,206.7,191.2,692.3,194.9,55.7,102.8,157.9,163.1,424.0,329.2,180.0,248.2,607.5,135.0,205.1,136.5,160.8,1649.3,104.3,58.4,661.5,142.7,191.2,53.1,150.6,19.0,97.3,107.4,83.2,342.0,209.2,93.9,208.6,80.7,55.2,184.0,591.6,696.3,71.1,191.6,611.0,108.4,148.8,94.3,577.8,120.4,629.4,152.9,178.0,53.8,89.0,83.4
JH,234.9,6.2,741.2,196.1,146.3,67.0,196.6,68.7,106.4,103.7,353.9,340.3,339.8,345.8,704.5,65.6,168.1,305.3,175.8,343.7,551.1,564.9,289.3,63.8,172.5,151.4,96.2,51.3,216.0,116.3,595.2,693.2,222.5,259.8,475.5,232.1,512.5,217.7,161.5,281.9,189.1,680.0,170.0,215.2,0.0,146.2,704.4,143.0,182.0,704.4,152.5,100.2,317.1,263.4,369.5,149.1,67.0,148.6,248.6,4.2,307.0,753.0,142.4,264.4,136.6,325.4,369.9,604.7,509.9,126.5,42.3,651.6,346.3,83.9,106.4,106.4,1490.1,319.6,267.1,722.2,342.6,195.7,255.1,359.3,221.0,161.8,127.1,196.2,491.2,123.5,302.6,52.2,145.2,262.9,94.4,715.2,756.0,279.8,118.2,764.5,317.1,329.5,303.0,637.5,329.1,689.1,79.9,92.3,180.6,297.7,143.1
JW,129.7,147.5,639.5,176.5,72.7,120.4,155.4,90.2,90.2,119.7,289.3,308.1,320.2,277.1,615.3,144.9,59.4,285.7,70.6,264.9,448.6,408.9,269.7,156.3,118.1,214.8,182.9,138.6,196.4,100.1,448.9,598.9,202.9,156.4,371.1,212.5,363.5,142.5,144.7,338.3,40.1,573.0,233.4,188.0,141.3,0.0,602.7,126.8,161.7,602.7,105.8,161.5,297.5,160.3,303.5,209.4,153.7,76.4,229.0,133.1,186.7,648.6,129.0,181.3,192.6,223.0,274.7,458.4,363.6,110.3,179.5,556.2,281.6,170.6,43.1,132.5,1490.3,257.4,178.6,620.5,196.3,64.0,161.3,293.3,181.4,225.2,102.8,141.8,380.3,139.5,267.1,138.9,208.6,243.3,155.7,626.0,665.0,188.3,179.5,662.8,233.1,216.5,240.8,535.8,244.8,587.4,124.6,108.3,181.7,278.1,177.5
KA,528.2,635.9,194.7,567.8,552.1,585.6,547.0,593.4,596.2,625.7,508.7,527.5,566.3,513.4,301.9,561.3,540.8,536.0,540.5,568.4,368.1,263.2,552.1,629.0,506.7,596.9,631.0,576.4,587.7,606.1,279.3,140.7,594.2,540.9,345.1,648.5,339.1,534.8,533.2,624.2,504.0,227.0,633.1,610.0,629.7,567.0,0.0,568.8,553.7,0.0,486.3,570.2,593.3,600.0,529.0,594.6,605.2,544.1,581.9,625.4,412.3,201.1,569.3,569.6,582.1,417.6,494.9,270.2,368.1,616.3,672.1,198.6,525.8,618.7,572.8,545.9,1528.4,564.0,572.3,175.7,552.8,560.4,545.6,518.8,579.6,640.0,543.7,520.9,340.4,592.8,568.3,617.4,590.7,603.9,606.2,312.6,204.1,585.0,605.2,218.0,538.5,475.6,545.8,169.1,550.5,32.2,573.5,614.3,573.0,583.4,568.8
KL,191.9,144.0,655.7,193.0,142.9,116.9,193.5,64.3,35.1,96.6,305.5,324.3,336.7,304.1,631.5,161.4,38.4,302.2,96.4,281.1,465.6,425.1,286.2,147.0,156.6,231.3,179.4,152.3,212.9,24.7,465.1,615.1,219.4,172.8,390.0,229.0,382.4,198.5,158.4,362.0,59.0,589.2,249.9,212.1,137.8,70.1,618.9,0.0,178.9,618.9,136.2,178.0,314.0,208.4,319.7,225.9,150.2,145.5,245.5,133.5,203.1,667.5,0.5,210.6,213.4,244.6,291.7,474.6,379.8,14.8,163.3,560.8,296.5,167.1,103.3,149.0,1469.3,286.7,207.9,636.7,212.5,80.2,177.5,309.5,211.5,241.7,124.0,193.1,399.2,116.4,296.4,135.4,225.1,259.8,172.2,642.2,670.5,196.3,196.0,679.0,249.3,199.4,274.6,552.0,261.3,603.6,129.8,85.2,198.2,294.6,194.0
KT,96.8,191.3,655.6,12.9,126.2,138.4,21.2,130.5,133.3,163.5,170.7,157.1,156.6,162.6,603.7,117.7,227.9,122.1,152.3,160.5,464.7,425.0,106.1,200.1,89.6,47.1,181.4,137.5,32.8,143.9,437.3,615.0,39.3,76.8,389.9,48.9,354.6,34.7,19.7,209.5,192.6,603.4,65.7,24.4,185.1,153.1,618.8,170.6,0.0,618.8,66.9,163.2,133.9,80.5,186.3,89.4,175.1,103.0,65.4,176.9,190.1,666.7,169.3,81.2,72.6,169.2,188.6,446.8,352.0,154.1,222.6,586.6,167.1,169.1,110.6,134.2,1613.3,136.4,83.9,636.6,168.2,172.2,71.9,176.1,37.8,57.5,81.5,57.3,404.9,183.3,119.4,182.0,40.9,81.5,158.1,614.4,681.1,111.2,155.6,678.9,133.9,204.9,119.8,551.9,145.6,603.5,127.0,152.1,14.0,114.5,57.5
LE,528.2,635.9,194.7,567.8,552.1,585.6,547.0,593.4,596.2,625.7,508.7,527.5,566.3,513.4,301.9,561.3,540.8,536.0,540.5,568.4,368.1,263.2,552.1,629.0,506.7,596.9,631.0,576.4,587.7,606.1,279.3,140.7,594.2,540.9,345.1,648.5,339.1,534.8,533.2,624.2,504.0,227.0,633.1,610.0,629.7,567.0,0.0,568.8,553.7,0.0,486.3,570.2,593.3,600.0,529.0,594.6,605.2,544.1,581.9,625.4,412.3,201.1,569.3,569.6,582.1,417.6,494.9,270.2,368.1,616.3,672.1,198.6,525.8,618.7,572.8,545.9,1528.4,564.0,572.3,175.7,552.8,560.4,545.6,518.8,579.6,640.0,543.7,520.9,340.4,592.8,568.3,617.4,590.7,603.9,606.2,312.6,204.1,585.0,605.2,218.0,538.5,475.6,545.8,169.1,550.5,32.2,573.5,614.3,573.0,583.4,568.8
LS,47.5,149.5,588.6,114.7,65.7,99.2,73.2,107.0,109.8,139.3,239.3,239.0,247.1,209.5,595.5,74.9,143.6,212.6,111.5,204.5,398.5,358.0,196.6,142.6,20.3,110.5,144.6,90.0,118.6,119.7,457.6,548.0,125.1,92.2,322.9,134.7,333.3,54.1,46.8,232.4,106.8,536.4,129.1,135.8,143.3,125.5,551.8,146.4,104.5,551.8,0.0,83.8,220.9,78.1,225.1,108.2,118.8,60.5,155.9,139.0,164.5,600.4,145.8,99.1,95.7,168.6,225.5,508.3,330.7,129.9,185.7,508.0,201.9,132.3,86.4,59.5,1576.5,175.2,96.4,569.6,163.4,131.4,87.5,214.9,99.2,120.9,57.3,34.5,338.6,159.1,184.9,131.0,104.3,170.2,119.8,606.2,603.4,113.2,118.8,611.9,172.7,150.3,158.6,484.9,184.7,536.5,87.1,127.9,123.8,201.5,82.4
MA,148.2,104.7,689.3,158.7,134.4,85.9,159.2,131.0,133.8,163.3,316.5,302.9,302.4,308.4,696.2,38.9,227.7,267.9,162.2,306.3,498.4,458.7,251.9,64.5,135.1,124.7,85.5,49.8,178.6,143.7,509.2,648.7,185.1,222.6,423.6,194.7,426.5,172.7,124.1,220.0,193.1,637.1,143.3,170.2,102.7,152.9,652.5,170.4,144.6,652.5,100.6,0.0,169.9,178.8,332.1,122.4,34.9,111.2,211.2,98.4,281.1,701.1,169.8,227.0,105.6,277.8,334.4,518.7,423.9,153.9,138.8,608.7,312.9,73.2,110.4,61.7,1517.4,282.2,229.7,670.3,264.1,182.1,217.7,321.9,183.6,135.1,89.7,112.4,439.3,183.1,265.2,47.1,118.5,225.5,35.9,706.9,704.1,257.0,59.7,712.6,279.7,251.0,265.6,585.6,291.4,637.2,73.8,151.9,153.9,260.3,116.4
MD,208.6,204.6,604.4,128.6,268.3,210.9,163.6,250.9,253.7,283.2,104.1,90.5,90.0,141.2,582.9,172.8,347.6,55.5,271.6,93.9,419.8,519.1,39.5,192.5,178.6,87.6,154.2,183.7,101.3,263.6,384.8,593.3,94.8,158.8,484.0,85.2,302.1,184.7,162.8,100.1,267.9,663.0,69.8,109.8,210.8,284.1,550.4,290.3,134.8,550.4,161.0,155.6,0.0,151.0,164.9,90.9,175.7,245.1,66.4,210.3,279.8,630.0,289.7,120.6,106.8,235.2,167.2,394.3,299.5,273.8,238.7,646.2,125.5,141.9,244.3,195.6,1586.1,97.0,123.3,599.2,146.8,291.5,153.9,154.7,119.8,76.7,223.6,172.8,318.9,303.0,34.8,180.9,93.8,60.7,131.3,593.6,633.1,136.0,128.4,613.0,112.5,172.5,98.4,646.0,113.7,528.3,207.7,271.8,120.7,15.8,121.6
ME,65.0,267.3,647.3,67.5,156.2,215.1,71.3,207.2,210.0,239.5,161.1,160.8,168.9,131.3,544.8,199.7,202.3,134.4,120.5,126.3,456.4,416.7,118.4,270.3,110.8,142.3,255.7,214.2,71.4,219.9,378.4,533.5,77.9,25.0,381.6,87.5,295.7,58.4,96.4,223.8,189.9,595.1,160.9,68.8,261.1,147.0,610.5,246.6,80.1,610.5,111.2,168.2,142.7,0.0,146.9,165.4,203.2,124.1,77.7,256.8,143.6,659.1,246.0,20.9,152.9,113.3,149.2,387.9,293.1,230.1,299.3,578.3,127.7,243.4,169.1,143.9,1633.2,97.0,18.2,628.3,125.8,140.4,20.3,136.7,52.0,152.7,150.5,78.5,312.5,259.3,106.7,258.7,136.1,92.0,232.8,555.5,672.8,49.6,229.9,574.9,94.5,112.7,80.4,543.6,106.5,595.2,203.0,228.1,109.2,123.3,133.5
MG,202.0,351.1,609.1,165.7,293.2,318.6,200.7,310.7,313.5,343.0,100.1,81.8,136.3,23.1,547.5,303.2,339.3,106.0,257.5,107.2,416.1,495.8,122.1,339.0,247.8,234.1,300.7,317.7,187.6,323.4,381.1,536.2,194.1,162.0,518.6,203.7,298.4,189.2,199.9,162.8,326.9,659.3,216.3,146.9,357.3,284.0,546.7,350.1,178.3,546.7,246.4,302.1,166.6,136.9,0.0,237.4,322.2,261.1,151.9,360.3,166.0,620.9,349.5,106.5,249.3,97.1,86.3,390.6,295.8,333.6,389.4,630.9,44.7,288.4,290.1,314.4,1732.6,100.9,109.2,590.1,89.7,277.4,157.3,10.1,172.6,223.2,261.0,215.5,315.2,362.8,130.6,327.4,234.3,173.9,277.8,558.2,623.9,121.9,274.9,577.6,75.4,115.4,82.7,607.0,87.4,524.6,306.5,331.6,207.4,147.2,237.0
MH,155.2,163.2,696.3,92.3,182.0,160.1,92.8,187.0,189.8,219.3,250.1,236.5,236.0,250.1,703.2,90.9,283.7,201.5,209.8,239.9,506.2,465.7,185.5,151.1,161.2,56.9,112.8,106.0,112.2,199.7,454.8,655.7,118.7,156.0,430.6,128.3,372.1,113.9,76.2,165.6,249.1,644.1,75.5,111.4,159.3,206.2,659.5,226.4,78.2,659.5,107.6,114.2,115.5,159.6,265.7,0.0,134.3,158.8,144.8,155.0,269.6,708.1,225.8,160.6,11.8,250.0,266.1,464.3,369.5,209.9,201.5,615.7,242.5,100.5,166.4,135.9,1544.7,215.8,163.3,677.3,247.6,229.7,151.3,255.5,117.2,67.3,137.3,119.4,446.3,239.1,198.8,139.5,50.7,159.1,89.9,713.9,711.1,176.0,87.0,719.6,213.3,251.0,199.2,592.6,225.3,644.2,148.0,207.9,86.1,193.9,30.6
MI,182.6,69.7,723.7,189.2,139.4,60.1,189.7,100.1,102.9,132.4,347.0,333.4,289.6,338.9,720.4,69.5,196.8,298.4,168.9,336.8,533.6,493.1,282.4,23.7,165.6,155.3,74.1,62.4,209.1,112.8,531.0,683.1,215.6,252.9,458.0,225.2,448.3,210.8,154.6,241.8,182.2,747.3,173.9,208.3,67.7,139.3,686.9,139.5,175.1,686.9,135.0,34.3,191.7,256.5,362.6,153.0,0.0,141.7,241.7,63.4,300.6,735.5,138.9,257.5,140.5,307.1,363.0,540.5,445.7,123.0,108.0,684.0,339.4,61.8,99.5,92.3,1506.0,312.7,260.2,704.7,335.7,188.8,248.2,352.4,214.1,165.7,120.2,189.3,473.7,152.2,295.7,12.1,149.1,256.0,46.5,731.1,738.5,272.9,70.3,747.0,310.2,322.6,296.1,620.0,322.2,671.6,73.0,121.0,184.5,290.8,147.0
MQ,87.8,151.4,646.9,130.6,32.4,99.2,102.9,91.3,94.1,123.6,279.6,274.8,274.3,249.8,650.2,107.4,136.9,239.8,50.9,244.8,456.8,416.3,223.8,154.4,53.1,168.9,167.8,98.3,150.5,104.0,483.8,606.3,157.0,132.5,381.2,166.6,401.1,94.4,96.0,292.7,120.3,621.4,187.5,149.7,145.2,77.4,610.1,130.7,116.5,610.1,63.9,124.0,251.6,118.4,265.4,163.5,135.2,0.0,183.1,140.9,186.1,658.7,130.1,139.4,151.0,204.1,265.8,493.3,398.5,114.2,187.6,593.0,242.2,155.5,70.7,95.0,1599.7,215.5,136.7,627.9,231.2,70.8,127.8,255.2,139.5,179.3,26.3,76.8,396.9,143.4,225.2,142.8,162.7,197.4,118.2,660.9,661.7,153.5,142.0,670.2,213.0,218.1,198.9,543.2,225.0,594.8,87.1,112.2,135.8,232.2,131.6
MV,150.1,228.3,641.4,62.1,202.1,215.0,97.1,207.1,209.9,239.4,105.2,91.6,91.1,144.1,579.8,196.5,303.8,56.6,205.6,95.0,420.1,500.9,40.6,216.2,165.5,111.3,177.9,207.4,84.0,219.8,385.9,568.5,90.5,107.8,465.8,100.1,303.2,110.6,96.3,152.2,269.2,664.1,93.5,49.9,234.5,226.3,551.5,246.5,74.7,551.5,142.8,179.3,68.4,85.0,159.7,114.6,199.4,178.9,0.0,234.0,233.1,653.2,245.9,54.6,130.5,193.8,162.0,395.4,300.6,230.0,262.4,635.7,126.6,165.6,186.5,210.8,1609.8,109.8,57.3,622.4,141.6,225.5,103.1,149.5,69.0,100.4,157.4,133.2,320.0,259.2,53.9,204.6,117.5,14.2,155.0,590.5,656.2,84.6,152.1,609.9,107.3,147.7,93.2,627.8,114.8,529.4,202.9,228.0,103.8,49.0,133.4
