from_stop,AE,AT,AZ,BA,BG,BR,BS,BX,CB,CE,CF,CJ,CM,CY,DF,DJ,DR,DS,DT,ED,EH,EW,EZ,FE,FG,FV,FY,GD,GE,GJ,GO,GP,GQ,HD,HM,HN,HS,HW,HZ,IA,IF,IG,IL,IY,JA,JJ,JV,KF,KQ,KS,KV,KW,LC,LJ,LL,LM,LZ,MI,MK,MS,MV,ND,NJ,NP,NQ,NW,OH,PE,PJ,PQ,PU,QW,QY,RT,SA,SB,SE,SF,SL,SN,SR,TA,TC,TD,TQ,TW,UD,UE,UF,UK,UN,VA,VE,VF,VY,WA,WB,WP,WW,XD,XE,YG,YW,ZC,ZD,ZI,ZL,ZV
GJ,524.1,477.1,490.4,367.2,457.3,184.3,523.1,324.8,438.7,254.9,855.3,910.6,204.2,432.8,690.1,476.1,709.5,359.7,521.9,583.5,811.2,608.4,568.5,137.0,330.5,463.6,414.0,559.0,546.8,0.0,623.3,675.9,330.9,512.5,335.7,834.3,637.7,602.1,259.4,249.1,611.8,525.6,560.8,583.4,337.5,390.1,587.5,649.5,323.8,527.0,446.2,535.4,659.2,369.7,311.7,548.7,551.5,2233.0,403.3,492.8,674.2,616.1,684.6,600.1,277.1,309.2,481.4,372.7,713.8,842.1,686.2,619.1,310.4,788.3,521.0,507.8,411.0,223.2,412.3,455.2,591.1,572.1,476.6,888.2,526.0,535.7,472.7,553.6,262.4,585.3,648.7,433.6,870.1,552.8,402.0,467.5,510.8,443.0,215.6,314.6,316.3,605.9,551.2,299.8,24.4,435.8,596.1,342.8
GO,418.9,916.8,930.1,262.0,851.7,735.2,136.4,791.8,878.4,721.9,294.7,321.7,755.1,865.8,453.4,836.2,148.9,826.7,285.2,478.3,222.3,371.7,331.8,469.3,797.5,930.6,853.7,316.1,310.1,627.3,0.0,148.8,285.7,461.9,802.7,245.4,670.4,531.3,709.8,800.0,506.6,270.9,324.1,346.7,280.2,829.8,350.8,412.8,640.3,853.9,885.9,280.7,98.6,809.4,706.0,87.0,314.8,2429.3,667.3,525.5,74.3,7.2,111.9,363.4,689.7,776.2,244.7,685.4,608.6,281.5,581.0,30.2,658.8,199.4,453.4,402.6,305.8,746.0,852.0,218.5,336.4,335.4,916.3,299.3,289.3,848.4,939.7,586.3,729.4,480.1,166.0,196.9,309.5,316.1,296.8,889.7,172.3,885.7,381.0,907.8,597.1,369.2,314.5,669.4,602.8,330.6,359.4,655.5
GP,316.9,989.7,1003.0,160.0,924.6,808.1,209.3,864.7,951.3,794.8,453.6,319.3,828.0,938.7,526.3,909.1,307.8,899.6,358.1,376.3,219.9,444.6,404.7,542.2,870.4,1003.5,926.6,395.2,383.0,700.2,158.8,0.0,358.6,505.5,875.6,243.0,674.0,429.3,782.7,872.9,404.6,343.8,397.0,419.6,353.1,902.7,423.7,485.7,713.2,926.8,958.8,353.6,257.5,882.3,778.9,117.1,387.7,2502.2,744.8,525.2,63.5,151.6,93.3,436.3,765.0,849.1,317.6,758.3,506.6,440.4,479.0,128.5,731.7,197.0,497.0,300.6,203.8,818.9,924.9,291.4,409.3,408.3,989.2,296.9,362.2,921.3,1012.6,589.9,802.3,378.1,17.1,269.8,468.4,389.0,194.8,980.1,245.2,958.6,453.9,956.4,670.0,442.1,387.4,742.3,675.7,228.6,432.3,728.4
GQ,233.6,725.8,712.5,76.7,565.9,525.9,192.1,685.7,713.3,596.5,524.3,579.6,545.8,774.4,359.1,550.4,378.5,701.3,190.9,293.0,480.2,277.4,237.5,183.5,672.1,726.6,678.3,228.0,215.8,341.5,292.3,344.9,0.0,367.6,677.3,503.3,576.1,346.0,601.0,590.7,321.3,194.6,229.8,252.4,6.5,642.1,256.5,318.5,546.0,568.1,710.5,204.4,328.2,662.0,611.7,217.7,220.5,2335.0,577.6,431.2,343.2,285.1,353.6,269.1,618.7,701.3,150.4,591.1,423.3,511.1,395.7,288.1,652.0,457.3,359.1,217.3,120.5,564.8,676.6,124.2,260.1,241.1,680.3,557.2,195.0,754.1,735.7,492.0,604.0,294.8,317.7,102.6,539.1,221.8,111.5,671.2,179.8,706.0,95.2,656.2,502.8,274.9,220.2,641.4,317.0,145.3,265.1,561.2
HD,178.5,590.3,603.6,337.3,553.2,364.1,432.0,420.7,551.9,350.8,764.2,599.8,384.0,506.8,407.1,572.0,618.4,455.6,194.0,142.5,500.4,100.1,140.0,549.5,426.4,559.5,527.2,326.3,161.7,540.8,620.8,507.1,365.9,0.0,431.6,523.5,168.4,89.5,338.7,428.9,191.9,369.1,192.6,300.4,360.4,503.3,121.0,59.0,402.3,622.9,559.4,378.9,568.1,482.9,334.9,457.6,221.9,2058.2,300.8,19.7,564.9,613.6,525.0,108.4,321.0,405.1,229.5,348.3,422.9,751.0,395.3,590.5,287.7,477.5,8.5,216.9,293.5,374.9,525.5,258.3,393.0,339.4,589.8,577.4,247.4,197.2,568.6,84.3,358.3,294.4,518.4,280.7,779.0,320.1,419.4,580.7,419.7,559.2,461.2,512.4,226.0,322.9,157.3,298.3,683.0,268.7,363.4,388.2
HM,466.9,288.6,302.6,625.7,245.4,127.5,826.7,112.2,237.7,71.3,1159.6,1214.9,146.7,393.3,730.7,264.2,1013.1,24.6,563.2,517.5,1114.8,649.0,609.8,440.6,4.5,251.7,167.7,649.7,587.4,304.2,927.6,980.2,635.2,391.1,0.0,1137.9,516.3,480.7,220.6,192.3,545.1,698.7,601.4,624.0,641.1,143.8,628.1,690.1,192.6,315.1,257.7,708.5,962.8,123.4,190.3,853.0,631.4,2013.1,282.6,371.4,966.8,920.4,1004.4,640.7,237.6,96.6,559.1,255.8,712.0,1145.7,684.4,922.7,229.2,1091.9,400.3,506.0,582.6,184.4,166.0,587.9,764.9,669.0,231.0,1192.5,623.6,418.1,260.1,432.9,63.3,583.5,953.0,610.3,1174.4,649.7,708.5,203.7,814.4,231.1,519.9,299.4,194.9,646.5,592.5,239.8,328.0,557.1,693.7,225.9
HN,359.9,1166.1,1179.4,203.0,1101.0,984.5,385.7,1041.1,1127.7,971.2,558.5,144.1,1004.4,1115.1,702.7,1085.5,412.7,1076.0,534.5,419.3,44.7,621.0,581.1,718.6,1046.8,1179.9,1103.0,571.6,559.4,876.6,263.7,271.3,535.0,548.5,1051.3,0.0,717.0,472.3,959.1,1049.3,447.6,520.2,573.4,596.0,529.5,1079.1,600.1,662.1,889.6,1103.2,1135.2,530.0,362.4,1058.7,955.3,336.3,564.1,2678.6,921.2,568.2,207.8,256.5,167.9,612.7,941.4,1025.5,494.0,934.7,549.6,545.3,522.0,233.4,908.1,104.0,540.0,343.6,246.8,995.3,1101.3,467.8,585.7,584.7,1165.6,121.7,538.6,1097.7,1189.0,632.9,978.7,421.1,288.5,446.2,573.3,565.4,237.8,1156.5,421.6,1135.0,630.3,1132.8,846.4,618.5,563.8,918.7,852.1,271.6,608.7,904.8
HS,316.3,664.8,678.1,475.1,627.7,438.6,569.8,495.2,626.4,425.3,902.0,737.6,458.5,644.6,544.9,646.5,756.2,530.1,331.8,280.3,638.2,237.9,277.8,687.3,500.9,634.0,601.7,457.9,299.5,615.3,758.6,644.9,503.7,137.7,505.4,661.3,0.0,227.3,413.2,513.7,329.7,506.9,330.4,438.2,498.2,577.8,258.8,196.8,304.5,697.4,633.9,516.7,705.9,557.4,409.4,595.4,359.7,2132.7,370.7,118.0,684.2,751.4,646.6,246.2,393.6,479.6,367.3,486.1,560.7,888.8,533.1,728.3,362.2,615.3,146.2,354.7,431.3,449.4,600.0,396.1,530.8,477.2,664.3,715.2,385.2,335.0,643.1,46.6,432.8,432.2,656.2,418.0,916.8,457.9,557.2,637.7,557.5,633.7,599.0,611.2,300.5,460.7,295.1,372.8,639.8,406.5,501.2,358.9
HW,122.3,679.9,693.2,281.1,642.8,531.0,537.7,510.3,641.5,440.4,859.4,543.6,550.9,450.6,415.0,661.6,713.6,545.2,201.9,52.9,444.2,108.0,147.9,497.1,516.0,649.1,616.8,334.2,169.6,655.1,564.6,450.9,373.8,89.5,520.5,467.3,258.0,0.0,425.4,595.8,135.7,358.4,200.5,308.3,368.3,592.9,128.9,66.9,346.1,712.5,649.0,347.5,663.3,572.5,424.5,562.2,229.8,2147.8,467.9,109.2,508.7,557.4,468.8,116.3,407.7,494.7,237.4,292.1,366.7,846.2,339.1,534.3,374.4,421.3,81.0,160.7,237.3,461.6,615.1,266.2,336.8,347.3,679.4,521.2,255.3,141.0,658.2,173.9,447.9,238.2,462.2,288.6,874.2,328.0,363.2,670.3,525.4,648.8,408.8,604.5,380.9,330.8,165.2,385.0,630.6,212.5,371.3,332.0
HZ,325.0,378.3,391.6,483.8,358.5,105.5,787.4,226.0,339.9,156.1,1119.6,1174.9,125.4,173.3,648.9,377.3,973.8,260.9,480.7,374.9,1075.5,567.2,527.3,401.3,231.7,364.8,315.2,567.9,505.6,264.2,887.6,940.2,595.2,309.3,236.9,1098.6,434.5,398.9,0.0,170.3,403.2,616.9,519.6,542.2,601.8,291.3,546.3,608.3,64.3,428.2,347.4,626.7,923.5,270.9,212.9,813.0,548.9,2060.6,200.1,289.6,927.5,880.4,948.9,558.9,17.6,210.4,477.3,113.2,569.4,1106.4,541.8,883.4,50.9,1052.6,317.8,363.4,440.0,36.1,313.5,506.1,682.4,587.2,377.8,1152.5,541.1,276.2,373.9,350.4,163.6,440.9,913.0,528.5,1134.4,567.9,565.9,368.7,775.1,344.2,479.9,203.3,113.1,564.7,510.0,40.3,288.7,415.2,611.2,83.3
IA,484.5,373.3,386.6,643.3,353.5,89.3,800.4,221.0,334.9,162.4,1132.6,1187.9,58.1,358.3,748.3,372.3,986.8,255.9,580.1,534.4,1088.5,666.6,626.7,425.6,226.7,359.8,311.7,667.3,616.3,277.2,900.6,953.2,608.2,408.7,231.2,1111.6,545.2,498.3,184.9,0.0,562.7,716.3,619.0,641.6,626.1,297.6,645.7,719.0,209.5,423.2,351.9,737.4,936.5,265.9,207.9,826.0,648.3,2129.2,294.9,400.3,951.8,893.4,978.1,658.3,193.7,216.7,576.7,272.7,728.9,1119.4,701.3,896.4,224.6,1065.6,417.2,522.9,599.5,137.4,308.5,605.5,781.8,686.6,372.8,1165.5,640.5,435.7,368.9,449.8,158.6,600.4,926.0,627.4,1147.4,667.3,679.3,346.2,788.1,339.2,492.9,264.4,212.5,664.1,609.4,214.0,313.0,586.0,721.9,242.8
IF,102.5,696.0,709.3,261.3,680.2,511.2,517.9,547.7,657.6,477.8,839.6,523.8,531.1,430.8,522.3,699.0,693.8,582.6,309.2,67.6,424.4,215.3,255.2,477.3,553.4,686.5,632.9,441.5,276.9,635.3,544.8,431.1,354.2,196.8,558.6,447.5,365.3,120.6,405.6,576.0,0.0,338.6,307.8,415.6,360.8,609.0,236.2,174.2,326.3,749.9,665.1,327.7,643.5,588.6,461.9,542.4,337.1,2308.6,448.1,216.5,488.9,537.6,449.0,223.6,387.9,532.1,344.7,272.3,346.9,826.4,319.3,514.5,354.6,401.5,188.3,140.9,217.5,441.8,631.2,373.5,317.0,454.6,695.5,501.4,362.6,121.2,695.6,281.2,485.3,218.4,442.4,395.9,854.4,435.3,343.4,686.4,505.6,664.9,389.0,584.7,361.1,438.1,272.5,365.2,610.8,192.7,478.6,312.2
IG,209.9,902.4,889.1,111.1,742.5,702.5,179.2,702.6,789.2,632.7,511.4,566.7,722.4,776.6,364.2,727.0,365.6,737.5,196.0,269.3,467.3,282.5,242.6,360.1,708.3,903.2,764.5,233.1,220.9,518.1,279.4,332.0,176.5,398.5,712.8,490.4,567.0,322.3,620.6,767.3,297.6,0.0,234.9,257.5,171.0,740.6,261.6,323.6,551.1,744.7,796.7,9.7,315.3,720.2,616.8,204.8,225.6,2340.1,582.7,418.2,330.3,272.2,340.7,274.2,602.9,687.0,155.5,596.2,399.6,498.2,372.0,275.2,569.6,444.4,390.0,193.6,96.8,741.4,762.8,129.3,65.4,246.2,856.9,544.3,200.1,759.2,912.3,482.9,640.2,271.1,304.8,107.7,526.2,226.9,193.2,847.8,166.9,882.6,271.8,832.8,507.9,280.0,225.3,580.2,493.6,121.6,270.2,566.3
IL,319.5,716.7,730.0,274.9,764.1,535.1,264.2,591.7,678.3,521.8,596.4,651.7,555.0,665.7,239.3,748.6,450.6,626.6,26.2,283.5,552.3,102.4,62.5,381.7,597.4,730.5,653.6,138.4,40.8,539.7,364.4,417.0,198.1,192.6,601.9,575.4,361.1,230.5,509.7,599.9,332.9,201.3,0.0,132.6,192.6,629.7,81.5,143.5,440.2,766.3,685.8,211.1,400.3,609.3,505.9,289.8,29.2,2229.2,471.8,212.3,415.3,357.2,425.7,94.1,492.0,576.1,61.7,485.3,563.9,583.2,536.3,360.2,458.7,529.4,184.1,357.9,298.2,545.9,651.9,90.5,266.8,151.5,716.2,629.3,54.7,648.3,739.6,277.0,529.3,435.4,389.8,112.9,611.2,132.2,309.7,707.1,251.9,685.6,293.4,683.4,397.0,155.1,45.2,469.3,515.2,323.0,175.5,455.4
IY,384.8,736.8,750.1,295.0,784.2,555.2,284.3,611.8,698.4,541.9,616.5,671.8,575.1,685.8,106.7,768.7,470.7,646.7,81.2,348.8,572.4,167.7,127.8,401.8,617.5,750.6,673.7,172.4,106.1,559.8,384.5,437.1,218.2,257.9,622.7,595.5,426.4,295.8,529.8,620.0,398.2,221.4,120.1,0.0,212.7,649.8,146.8,208.8,460.3,786.4,705.9,231.2,420.4,629.4,526.0,309.9,149.4,2249.3,491.9,277.6,424.4,377.3,445.8,159.4,512.1,596.2,81.8,505.4,629.2,603.3,601.6,380.3,478.8,549.5,249.4,423.2,318.3,566.0,672.0,110.6,286.9,191.7,736.3,649.4,145.6,668.4,759.7,342.3,549.4,500.7,409.9,132.5,631.3,172.4,329.8,709.7,272.0,705.7,313.5,727.8,417.1,22.4,110.5,489.4,535.3,343.1,215.7,475.5
JA,239.1,731.3,718.0,82.2,571.4,531.4,185.5,691.2,718.8,602.0,517.7,573.0,551.3,779.9,352.5,555.9,371.9,706.8,184.3,298.5,473.6,270.8,230.9,189.0,677.6,732.1,683.8,215.2,209.2,347.0,285.7,338.3,5.4,361.0,682.1,496.7,569.5,351.5,606.5,596.2,326.8,188.0,223.2,245.8,0.0,647.6,249.9,311.9,539.4,573.6,716.0,197.8,321.6,667.5,605.1,211.1,213.9,2328.4,571.0,424.6,325.6,278.5,363.2,262.5,624.2,706.8,143.8,584.5,428.8,504.5,401.2,281.5,557.9,450.7,352.5,222.8,126.0,570.3,682.1,117.6,253.5,234.5,685.8,550.6,188.4,747.5,741.2,485.4,609.5,300.3,311.1,96.0,532.5,215.2,117.0,659.2,173.2,711.5,100.7,686.0,496.2,268.3,213.6,646.9,322.5,150.8,258.5,554.6
JJ,526.5,99.2,112.5,685.3,190.9,186.4,886.3,171.8,60.8,130.2,1218.5,1273.8,206.3,452.9,790.3,209.7,1072.7,153.0,622.1,576.4,1174.4,708.6,668.7,500.2,123.8,185.2,36.1,709.3,647.0,363.1,986.5,1039.1,694.1,450.7,128.3,1197.5,575.9,540.3,279.5,251.2,604.7,758.3,661.0,683.6,700.7,0.0,687.7,749.7,251.5,260.6,68.3,768.1,1022.4,19.8,249.9,911.9,690.3,2078.0,336.9,431.0,1026.4,979.3,1064.0,700.3,297.2,156.2,618.7,314.7,770.9,1205.3,743.3,982.3,288.1,1151.5,459.2,564.9,641.5,243.3,34.4,647.5,823.8,728.6,86.4,1251.4,682.5,477.7,194.3,491.8,122.2,642.4,1011.9,669.9,1233.3,709.3,767.4,59.8,874.0,68.1,578.8,359.0,254.5,706.1,651.4,298.7,387.6,616.7,752.6,284.8
JV,237.9,763.4,776.7,321.6,810.8,581.8,310.9,638.4,725.0,568.5,643.1,698.4,601.7,712.4,286.0,795.3,497.3,673.3,72.9,201.9,599.0,20.8,18.9,428.4,644.1,777.2,700.3,205.2,40.7,586.4,411.1,463.7,244.8,111.0,648.6,622.1,279.5,148.9,556.4,646.6,251.3,248.0,71.5,179.3,239.3,676.4,0.0,61.9,486.9,813.0,732.5,257.8,447.0,656.0,552.6,336.5,100.8,2275.9,518.5,130.7,462.0,403.9,472.4,12.5,538.7,622.8,108.4,532.0,482.3,629.9,454.7,406.9,505.4,576.1,102.5,276.3,352.9,592.6,698.6,137.2,313.5,218.3,762.9,676.0,126.3,695.0,786.3,195.4,576.0,353.8,436.5,159.6,657.9,199.0,356.4,753.8,298.6,732.3,340.1,730.1,443.7,201.8,36.3,516.0,561.9,328.1,242.3,502.1
KF,175.9,825.4,838.7,334.7,872.8,643.8,372.9,700.4,787.0,630.5,705.1,760.4,663.7,774.4,348.0,857.3,559.3,735.3,134.9,139.9,661.0,41.0,80.9,490.4,706.1,839.2,762.3,261.0,102.6,648.4,473.1,525.7,306.8,49.0,710.6,684.1,217.5,86.9,618.4,708.6,189.3,310.0,133.5,241.3,301.3,738.4,61.9,0.0,548.9,875.0,794.5,319.8,509.0,718.0,614.6,398.5,162.8,2337.9,575.9,68.7,513.0,465.9,550.6,49.3,598.8,684.8,170.4,594.0,420.3,691.9,392.7,468.9,567.4,638.1,40.5,214.3,290.9,654.6,760.6,199.2,375.5,280.3,824.9,738.0,188.3,757.0,848.3,133.4,638.0,291.8,498.5,221.6,719.9,261.0,416.8,798.3,360.6,794.3,402.1,816.4,505.7,263.8,98.2,578.0,623.9,266.1,304.3,564.1
KQ,296.0,368.4,381.7,414.5,352.6,169.9,600.2,220.1,330.0,120.7,932.4,987.7,189.8,224.3,569.3,371.4,786.6,255.0,401.1,305.6,888.3,487.6,417.1,465.7,225.8,358.9,306.8,488.3,426.0,328.6,700.4,753.0,534.1,229.7,230.3,911.4,354.9,319.3,64.3,245.0,333.9,537.3,440.0,432.0,528.6,281.4,466.7,528.7,0.0,422.3,347.0,547.1,736.3,261.0,134.3,625.8,469.3,1981.0,115.9,210.0,740.3,693.2,777.9,448.7,44.2,204.5,397.7,43.9,500.1,919.2,472.5,696.2,13.3,865.4,238.2,294.1,370.7,100.5,303.6,426.5,602.8,507.6,367.9,965.3,461.5,206.9,368.0,270.8,157.7,371.6,725.8,448.4,947.2,488.3,496.6,341.3,587.9,337.3,544.3,267.7,33.5,485.1,430.4,23.9,353.1,345.9,531.6,54.3
KS,628.2,250.1,263.4,707.3,51.8,288.1,863.2,171.6,199.2,231.9,1195.4,1250.7,308.0,554.6,892.0,36.3,1049.6,390.9,723.8,678.1,1151.3,810.3,770.4,601.9,361.7,212.5,223.9,817.2,748.7,464.8,963.4,1016.0,671.0,552.4,366.9,1174.4,677.6,642.0,381.2,352.9,706.4,860.0,762.7,785.3,677.6,270.1,789.4,851.4,371.3,0.0,219.2,869.8,999.3,257.7,351.6,888.8,792.0,2242.1,443.2,532.7,1014.3,956.2,1024.7,802.0,398.9,187.2,720.4,416.4,872.6,1182.2,845.0,959.2,389.8,1128.4,560.9,666.6,743.2,345.0,225.6,749.2,925.5,830.3,295.6,1228.3,784.2,579.4,221.6,593.5,223.9,744.1,988.8,771.6,1210.2,811.0,742.1,304.7,850.9,191.9,680.5,436.4,356.2,807.8,753.1,400.4,489.3,718.4,854.3,386.5
KV,592.1,30.8,44.1,741.4,150.0,242.5,942.4,135.4,19.9,186.3,1274.6,1329.9,262.4,518.5,846.4,168.8,1128.8,209.1,678.2,632.5,1230.5,764.7,724.8,556.3,179.9,144.3,40.6,765.4,712.6,419.2,1042.6,1095.2,750.2,506.8,193.9,1253.6,632.0,596.4,345.1,317.6,660.8,814.4,717.1,739.7,756.8,88.3,743.8,805.8,307.6,219.7,0.0,824.2,1078.5,75.9,306.0,968.0,746.4,2134.1,393.0,496.6,1082.5,1035.4,1120.1,756.4,355.7,160.5,674.8,370.8,827.0,1261.4,799.4,1038.4,344.2,1217.1,515.3,621.0,697.6,299.4,43.8,703.6,879.9,784.7,76.3,1307.5,738.6,533.8,153.4,547.9,178.3,698.5,1068.0,725.5,1289.4,765.4,823.5,87.7,930.1,27.2,634.9,424.6,320.1,762.2,707.5,354.8,443.7,672.8,808.7,340.9
KW,200.1,913.3,900.0,101.3,753.4,713.4,190.1,713.5,800.1,643.6,522.3,577.6,733.3,787.5,375.1,737.9,376.5,748.4,206.9,259.5,478.2,293.4,253.5,371.0,719.2,914.1,776.9,237.8,231.8,529.0,290.3,342.9,187.4,388.7,724.4,501.3,557.2,312.5,631.5,778.2,287.8,10.8,245.8,268.4,181.9,751.5,272.5,334.5,562.0,755.6,817.1,0.0,326.2,731.1,627.7,215.7,236.5,2351.0,593.6,408.4,330.2,283.1,367.8,285.1,611.4,697.9,166.4,607.1,389.8,509.1,362.2,286.1,580.5,455.3,380.2,183.8,87.0,752.3,773.7,140.2,55.6,257.1,867.8,555.2,211.0,770.1,923.2,473.1,651.1,261.3,315.7,118.6,537.1,237.8,183.4,841.2,177.8,893.5,282.7,868.0,518.8,290.9,236.2,591.1,504.5,111.8,281.1,577.2
LC,501.9,937.8,951.1,350.1,872.7,756.2,121.3,812.8,899.4,742.9,196.0,409.8,776.1,886.8,474.4,857.2,85.3,847.7,306.2,561.3,310.4,392.7,352.8,490.3,818.5,951.6,874.7,343.3,331.1,648.3,88.0,236.9,306.7,482.9,823.0,333.5,691.4,520.8,730.8,821.0,589.6,291.9,345.1,367.7,301.2,850.8,371.8,433.8,661.3,874.9,906.9,301.7,0.0,830.4,727.0,175.1,335.8,2450.3,692.9,546.5,173.4,95.2,183.8,384.4,713.1,797.2,265.7,706.4,691.6,182.8,664.0,118.3,679.8,287.5,474.4,485.6,388.8,767.0,873.0,239.5,357.4,356.4,937.3,387.4,310.3,869.4,960.7,607.3,750.4,563.1,254.1,217.9,210.8,337.1,384.9,928.2,193.3,906.7,402.0,904.5,618.1,390.2,335.5,690.4,623.8,413.6,380.4,676.5
LJ,506.6,107.3,120.6,665.4,199.0,166.5,866.4,151.9,68.9,110.3,1198.6,1253.9,186.4,433.0,770.4,217.8,1052.8,133.1,602.2,556.5,1154.5,688.7,648.8,480.3,103.9,193.3,44.2,695.6,627.1,343.2,966.6,1019.2,674.2,430.8,108.4,1177.6,556.0,520.4,259.6,231.3,584.8,738.4,641.1,663.7,680.8,20.3,667.8,729.8,249.7,268.7,76.4,748.2,1002.5,0.0,230.0,892.0,670.4,2058.1,321.6,411.1,1017.5,959.4,1027.9,680.4,277.3,136.3,598.8,294.8,751.0,1185.4,723.4,962.4,268.2,1131.6,439.3,545.0,621.6,223.4,42.5,627.6,803.9,708.7,106.8,1231.5,662.6,457.8,202.4,471.9,102.3,622.5,992.0,650.0,1213.4,689.4,747.5,97.7,854.1,76.2,558.9,314.8,234.6,686.2,631.5,278.8,367.7,596.8,732.7,264.9
LL,407.0,312.9,326.2,565.8,293.1,104.0,803.9,160.6,274.5,90.7,1136.1,1191.4,123.9,370.5,670.8,311.9,990.3,195.5,502.6,456.9,1092.0,589.1,549.2,417.8,166.3,299.4,249.8,596.0,527.5,280.7,904.1,956.7,611.7,331.2,171.5,1115.1,456.4,420.8,197.1,168.8,485.2,638.8,541.5,564.1,618.3,225.9,568.2,630.2,150.1,362.8,282.0,648.6,940.0,205.5,0.0,829.5,570.8,2109.2,222.0,311.5,955.0,896.9,965.4,580.8,201.9,145.0,499.2,195.2,651.4,1122.9,623.8,899.9,168.6,1069.1,339.7,445.4,522.0,160.9,248.1,528.0,704.3,609.1,312.4,1169.0,563.0,358.2,308.5,372.3,98.2,522.9,929.5,550.4,1150.9,589.8,647.9,303.3,791.6,278.8,496.4,252.3,135.0,586.6,531.9,179.2,305.2,497.2,633.1,165.3
LM,428.2,872.5,885.8,271.3,807.4,690.9,92.1,747.5,834.1,677.6,382.1,374.6,710.8,821.5,409.1,791.9,236.3,782.4,240.9,487.6,275.2,327.4,287.5,425.0,753.2,886.3,809.4,271.8,265.8,583.0,87.3,127.1,241.4,417.6,758.4,298.3,626.1,455.5,665.5,755.7,515.9,226.6,279.8,302.4,235.9,785.5,306.5,368.5,596.0,809.6,841.6,236.4,186.0,765.1,661.7,0.0,270.5,2385.0,627.6,481.2,127.2,80.1,164.8,319.1,645.9,731.9,200.4,641.1,617.9,368.9,590.3,83.1,614.5,252.3,409.1,411.9,315.1,701.7,807.7,174.2,292.1,291.1,872.0,352.2,245.0,804.1,895.4,542.0,685.1,489.4,100.0,152.6,396.9,271.8,306.1,845.4,128.0,841.4,336.7,863.5,552.8,324.9,270.2,625.1,558.5,339.9,315.1,611.2
LZ,348.8,746.0,759.3,280.9,770.1,564.4,270.2,621.0,707.6,551.1,602.4,657.7,584.3,695.0,268.6,754.6,456.6,655.9,55.5,312.8,558.3,131.7,91.8,387.7,626.7,759.8,682.9,109.1,70.1,545.7,370.4,423.0,204.1,221.9,631.9,581.4,390.4,259.8,539.0,629.2,362.2,207.3,29.2,161.9,198.6,659.0,110.8,172.8,469.5,772.3,715.1,217.1,406.3,638.6,535.2,295.8,0.0,2258.5,501.1,241.6,421.3,363.2,431.7,123.4,521.3,605.4,91.0,514.6,593.2,589.2,565.6,366.2,488.0,535.4,213.4,387.2,304.2,575.2,681.2,96.5,272.8,122.2,745.5,635.3,25.4,677.6,768.9,306.3,558.6,464.7,395.8,118.9,617.2,102.9,315.7,736.4,257.9,714.9,299.4,712.7,426.3,184.4,74.5,498.6,521.2,329.0,146.2,484.7
MI,2011.0,1971.8,1985.1,2169.8,2063.5,1921.8,2148.3,1978.4,1933.4,1908.5,2480.5,2535.8,1941.7,2096.1,2117.4,2082.3,2334.7,1988.7,1949.2,1975.0,2436.4,2035.7,1995.8,2265.8,1959.5,2057.8,1908.7,2042.6,1974.1,2098.5,2248.5,2301.1,2082.2,1832.4,1964.7,2459.5,1957.6,1922.0,1940.1,1986.6,2024.4,2085.4,1988.1,2010.7,2076.7,1884.8,2014.8,2076.8,1870.6,2133.2,1940.9,2095.2,2284.4,1864.4,1892.6,2173.9,2017.4,0.0,1902.2,1812.7,2299.4,2241.3,2309.8,2027.4,1922.4,1962.8,1945.8,1915.7,2255.4,2467.3,2227.8,2244.3,1889.1,2413.5,1840.9,2049.4,2126.0,1976.3,1907.0,1974.6,2150.9,2055.7,1971.3,2513.4,2009.6,2078.7,2066.9,1873.5,1916.0,2126.9,2273.9,1997.0,2495.3,2036.4,2193.8,1962.2,2136.0,1940.7,2177.5,2070.1,1827.4,2033.2,1978.5,1899.7,2123.0,2101.2,2079.7,1885.8
MK,417.6,459.4,472.7,576.4,443.6,249.9,650.9,311.1,421.0,241.2,983.1,1038.4,274.4,386.2,620.0,462.4,837.3,346.0,451.8,423.0,939.0,538.3,498.4,568.3,316.8,449.9,397.8,539.0,472.1,431.2,746.5,803.7,584.8,280.4,321.3,962.1,401.0,370.0,265.2,329.6,472.4,588.0,490.7,513.3,579.3,372.4,517.4,579.4,120.4,513.3,438.0,593.2,787.0,352.0,225.3,676.5,520.0,2031.7,0.0,256.1,786.4,743.9,828.6,530.0,245.1,290.9,448.4,205.8,666.6,969.9,634.4,746.9,214.2,916.1,288.9,456.0,532.6,301.4,394.6,477.2,653.5,558.3,458.9,1016.0,512.2,368.8,459.0,321.5,248.7,533.5,776.5,499.1,993.3,539.0,658.5,432.3,638.6,428.3,680.1,473.2,116.4,531.2,481.1,224.8,451.1,512.4,577.7,176.4
