from_stop,AC,AE,AH,AI,AO,AQ,AU,BA,BC,BE,BR,BS,BU,BV,BW,BY,CJ,CS,CW,CZ,DY,EC,ED,EZ,FB,FC,FQ,FZ,GA,GO,GS,HA,HC,HG,HK,HM,HZ,IJ,IM,IT,IV,JE,JL,JN,JP,KH,KI,KL,KP,LO,LT,LX,MK,MO,MP,MT,NI,NY,OF,OV,OX,OZ,PC,PG,PH,PU,PY,QA,QK,QU,QW,RE,RH,SM,UB,UM,UO,US,UX,VC,VF,VH,VL,VO,WD,WI,WR,WX,XA,XC,XI,XL,XR,YJ,YK,YP,ZM,ZR
HG,59.8,184.9,383.4,206.6,135.5,122.4,65.8,111.5,118.0,415.9,93.6,241.6,656.3,165.5,29.9,82.3,156.2,223.4,167.9,238.6,655.0,456.8,502.5,452.6,143.1,687.1,56.4,2006.1,254.2,102.3,679.8,347.8,304.3,0.0,73.3,108.6,137.9,607.8,196.6,742.0,117.5,417.2,39.1,177.8,73.1,165.6,27.5,44.6,539.8,15.9,644.4,216.6,362.6,66.9,736.1,262.0,340.1,109.1,141.3,39.8,360.3,102.8,230.4,38.1,230.9,231.5,235.1,655.8,143.8,144.9,640.1,658.2,245.5,666.9,61.3,25.7,692.2,90.4,415.2,179.5,172.4,73.3,522.8,181.9,409.3,6.2,482.9,48.5,174.7,14.3,80.8,80.5,679.7,587.8,221.0,730.8,642.2,307.9
HK,97.6,222.7,440.5,244.4,173.3,160.2,122.9,168.6,155.8,473.0,150.7,279.4,694.1,203.3,87.0,139.4,194.0,280.5,205.7,295.7,712.1,513.9,559.6,509.7,180.9,744.2,94.2,2043.9,311.3,140.1,736.9,404.9,361.4,57.0,0.0,158.4,195.0,645.6,234.4,799.1,174.6,474.3,76.9,234.9,110.9,203.4,65.3,101.7,596.9,53.7,701.5,273.7,419.7,123.3,793.2,319.1,397.2,146.9,198.4,77.6,417.4,159.9,268.2,95.2,268.7,269.3,272.9,693.6,197.6,182.7,697.2,696.0,302.6,704.7,118.4,82.8,749.3,128.2,472.3,233.3,210.2,111.1,579.9,219.7,466.4,50.8,540.0,86.3,231.8,71.4,118.6,137.6,736.8,625.6,258.8,787.9,680.0,365.0
HM,54.7,152.7,360.4,174.4,211.9,90.2,117.4,213.1,103.8,517.5,195.2,213.1,672.4,133.3,131.5,183.9,124.0,325.0,168.5,340.2,756.6,558.4,604.1,554.2,128.9,788.7,132.8,2006.7,355.8,88.1,781.4,449.4,405.9,98.6,169.9,0.0,239.5,623.9,164.4,843.6,216.0,518.8,85.9,222.7,73.7,192.4,103.9,146.2,641.4,114.6,746.0,318.2,464.2,168.5,837.7,363.6,441.7,185.5,242.9,116.2,461.9,204.4,198.2,139.7,220.8,199.3,202.9,671.9,61.4,112.7,741.7,674.3,347.1,683.0,79.1,82.8,793.8,166.8,460.1,97.1,140.2,149.7,624.4,184.4,510.9,104.8,584.5,124.9,103.6,115.9,157.2,179.0,781.3,603.9,188.8,832.4,658.3,409.5
HZ,199.0,324.1,376.9,345.8,274.7,261.6,123.1,105.0,257.2,409.4,87.1,380.8,795.5,304.7,107.7,75.8,295.4,216.9,307.1,232.1,648.5,450.3,496.0,446.1,282.3,680.6,195.6,2145.3,247.7,241.5,673.3,341.3,297.8,139.1,212.5,217.0,0.0,747.0,335.8,735.5,93.9,410.7,178.3,39.9,212.3,304.8,166.7,93.2,533.3,155.1,637.9,210.1,356.1,72.9,729.6,255.5,333.6,248.3,134.8,179.0,353.8,45.7,369.6,99.0,370.1,370.7,374.3,795.0,223.8,284.1,633.6,797.4,239.0,806.1,147.8,147.8,685.7,229.6,408.7,259.5,311.6,212.5,516.3,321.1,402.8,145.3,476.4,187.7,158.9,124.7,220.0,130.9,673.2,727.0,360.2,724.3,781.4,301.4
IJ,705.4,637.2,962.2,663.0,629.0,698.6,797.0,872.4,781.6,714.5,843.8,624.3,32.5,650.0,779.9,832.5,701.9,902.4,645.1,845.2,399.1,657.2,815.1,592.7,804.6,460.2,714.5,2252.4,850.1,765.9,465.8,832.1,819.3,760.8,794.9,770.2,898.8,0.0,627.5,521.6,867.7,857.9,710.9,916.6,689.9,599.0,774.3,794.8,672.2,744.8,428.2,818.2,899.6,827.8,519.9,775.3,952.7,775.0,902.2,741.2,674.3,863.7,639.2,799.0,613.6,638.1,611.6,115.2,794.7,676.1,423.9,50.3,852.1,100.1,755.7,762.4,361.9,682.0,876.5,841.1,648.6,695.4,856.0,640.6,646.0,754.6,575.9,739.2,836.9,788.3,691.1,841.4,374.4,199.9,648.6,514.6,122.9,912.4
IM,158.5,13.7,513.0,105.7,73.8,75.1,250.1,307.5,167.9,611.9,289.6,67.0,507.9,33.1,225.7,274.2,97.2,419.4,89.9,434.6,822.1,652.8,694.5,648.6,190.9,883.1,192.9,1838.1,450.2,152.2,875.8,539.7,500.3,195.9,230.0,152.5,333.9,470.1,0.0,931.6,309.4,613.2,141.9,369.7,146.7,43.8,209.4,240.6,731.7,179.9,840.4,418.3,554.5,258.8,932.1,458.0,542.1,256.0,337.3,172.2,552.2,298.8,81.8,234.1,56.3,80.8,38.4,507.4,209.9,52.6,836.1,509.8,441.5,518.5,208.8,215.5,784.9,126.8,611.2,249.7,25.1,212.5,714.7,85.4,605.3,189.7,678.9,188.0,256.2,237.8,217.3,276.5,797.4,439.4,91.3,922.7,497.3,499.8
IT,767.2,891.2,640.6,908.6,842.9,829.8,691.3,638.1,825.4,392.9,612.1,949.0,498.2,867.7,676.1,618.5,863.6,580.8,886.7,523.6,139.4,335.6,493.5,271.1,848.4,171.5,763.8,2651.1,539.2,809.7,52.7,521.2,497.7,707.3,780.7,798.9,679.6,555.0,900.5,0.0,674.7,536.3,741.1,719.5,775.4,873.0,780.3,656.0,361.3,723.3,128.8,501.9,583.3,641.1,220.5,453.7,631.1,821.5,687.5,741.8,363.4,644.5,932.4,667.2,938.3,933.5,937.1,624.2,834.1,852.3,124.5,559.3,530.5,609.1,739.9,716.0,176.6,797.8,554.9,864.4,879.8,783.4,545.1,889.3,324.4,713.5,254.3,750.5,800.2,697.3,788.2,717.1,164.1,708.9,928.4,209.8,642.6,585.4
IV,188.1,312.1,346.0,334.9,263.8,250.7,102.0,74.1,246.3,378.5,56.2,369.9,784.6,288.6,97.0,44.9,284.5,186.0,296.2,201.2,617.6,419.4,461.1,415.2,269.3,649.7,184.7,2134.4,216.8,230.6,642.4,310.4,266.9,128.2,201.6,218.7,82.5,736.1,321.4,704.6,0.0,379.8,167.4,122.4,196.3,293.9,200.4,82.3,502.4,144.2,607.0,184.9,325.2,62.7,698.7,224.6,302.7,247.8,103.9,168.1,322.9,47.4,358.7,88.1,359.2,359.8,363.4,784.1,253.9,273.2,602.7,786.5,208.1,795.2,149.5,136.9,654.8,218.7,377.8,289.6,300.7,201.6,485.4,310.2,371.9,134.4,445.5,176.8,210.9,113.8,209.1,36.9,642.3,716.1,349.3,693.4,770.5,270.5
JE,468.6,593.7,183.6,615.4,544.3,531.2,392.7,339.5,526.8,238.4,313.5,650.4,841.7,574.3,377.3,325.3,565.0,193.7,576.7,234.6,477.5,279.3,325.0,275.1,551.9,509.6,465.2,2414.9,250.2,511.1,502.3,88.9,194.7,408.7,482.1,500.3,381.0,900.8,605.4,564.5,381.5,0.0,447.9,420.9,481.9,574.4,436.3,362.8,362.3,424.7,466.9,212.6,321.4,342.5,558.6,164.7,335.6,517.9,388.9,448.6,182.8,345.9,639.2,368.6,639.7,640.3,643.9,962.3,525.3,553.7,462.6,897.4,241.5,947.2,438.3,417.4,514.7,499.2,215.4,561.0,581.2,482.1,351.1,590.7,231.8,414.9,305.4,457.3,460.4,394.3,489.6,418.5,502.2,996.6,629.8,553.3,980.7,99.2
JL,20.6,144.6,419.6,167.4,125.9,83.2,112.2,161.4,78.8,465.8,143.5,206.1,643.3,121.1,79.6,132.2,117.0,273.3,128.7,288.5,704.9,506.7,548.4,502.5,101.8,737.0,46.8,1966.9,304.1,63.1,729.7,397.7,354.2,49.8,83.9,81.4,187.8,594.8,153.9,785.5,167.4,467.1,0.0,227.7,33.9,152.6,17.9,94.5,589.7,33.8,694.3,272.2,412.5,116.1,786.0,311.9,390.0,109.9,191.2,30.2,410.2,152.7,191.2,88.0,213.8,192.3,195.9,642.8,120.6,105.7,690.0,645.2,295.4,653.9,70.9,75.6,742.1,80.8,465.1,156.3,133.2,66.4,572.7,144.6,459.2,43.6,532.8,38.9,162.8,64.2,71.2,130.4,729.6,574.8,181.8,780.7,629.2,357.8
JN,191.1,339.9,361.1,361.6,314.6,277.4,126.0,144.9,273.0,449.3,127.0,400.3,819.5,320.5,147.6,115.7,311.2,256.8,304.9,272.0,688.4,490.2,535.9,486.0,298.1,720.5,235.5,2143.1,287.6,257.3,713.2,381.2,337.7,179.0,252.4,207.0,39.9,771.0,351.6,775.4,133.8,450.6,218.2,0.0,210.1,328.8,206.6,133.1,573.2,195.0,677.8,250.0,396.0,112.8,769.5,295.4,373.5,288.2,174.7,218.9,393.7,85.6,385.4,138.9,394.1,386.5,390.1,819.0,183.9,299.9,673.5,821.4,278.9,830.1,137.8,183.4,725.6,269.5,448.6,219.6,327.4,252.4,556.2,320.8,442.7,185.2,516.3,227.6,119.0,164.6,259.9,170.8,713.1,751.0,376.0,764.2,805.4,341.3
JP,22.0,131.4,421.0,152.4,153.5,70.0,113.6,189.0,98.2,493.4,164.5,192.9,609.3,106.1,102.1,161.6,103.8,300.9,106.1,316.1,732.5,534.3,576.0,530.1,121.2,764.6,74.4,1932.9,331.7,82.5,752.2,425.3,381.8,77.4,111.5,86.8,215.4,571.5,140.7,813.1,186.7,494.7,29.3,233.2,0.0,118.6,90.9,115.5,617.3,56.3,721.9,293.2,433.5,139.3,813.6,339.5,423.6,130.9,218.8,51.2,432.7,180.3,178.0,115.6,183.9,184.2,178.6,608.8,115.4,92.5,717.6,611.2,323.0,619.9,72.3,79.0,769.7,108.4,492.7,151.1,120.0,94.0,600.3,110.6,486.8,71.2,560.4,64.4,164.2,104.9,98.8,158.0,757.2,540.8,168.6,808.3,600.3,385.4
KH,131.0,42.4,544.0,114.6,29.9,106.1,222.6,284.2,198.9,588.6,266.3,75.9,490.6,63.0,202.6,255.0,128.2,396.1,57.4,411.3,804.8,629.5,675.2,625.3,224.0,876.6,115.4,1856.3,426.9,183.2,871.5,520.5,477.0,172.6,206.7,183.5,310.6,442.1,30.9,933.7,290.2,589.9,177.0,342.2,108.9,0.0,144.0,217.3,712.5,156.6,833.9,389.3,535.3,238.9,925.6,434.7,512.8,176.2,314.0,131.7,533.0,275.5,90.8,210.8,65.2,89.7,39.1,490.1,245.0,83.6,829.6,492.5,418.2,501.2,184.3,188.0,767.6,82.9,587.9,280.7,56.1,98.7,695.5,41.5,582.0,166.4,655.6,123.3,287.2,187.0,92.0,253.2,780.1,422.1,100.2,920.3,476.5,480.6
KI,80.2,205.3,443.3,195.7,139.0,142.8,125.7,171.4,138.4,475.8,153.5,245.1,660.5,149.4,89.6,142.9,176.6,283.3,188.3,298.5,714.9,516.7,562.4,512.5,163.5,715.7,59.9,2026.5,282.8,122.7,739.7,376.4,364.2,59.8,93.9,141.0,197.8,611.3,200.1,801.9,177.4,477.1,60.2,237.7,93.5,169.1,0.0,104.5,568.4,43.8,704.3,282.2,422.5,126.8,796.0,321.9,400.0,123.0,201.2,43.3,420.2,162.7,250.8,98.0,234.4,220.6,208.3,659.3,180.2,165.3,700.0,661.7,305.4,670.4,121.2,85.6,752.1,93.9,475.1,215.9,192.8,77.5,583.4,185.4,469.2,53.6,542.8,20.9,223.1,74.2,84.3,140.4,739.6,591.3,241.4,791.4,646.4,336.5
KL,105.7,229.7,338.7,252.5,181.4,168.3,29.8,66.8,163.9,371.2,48.9,287.5,702.2,206.2,14.6,37.6,202.1,178.7,225.2,193.9,610.3,412.1,457.8,407.9,186.9,642.4,102.3,2052.0,209.5,148.2,635.1,303.1,259.6,45.8,119.2,137.4,93.2,664.4,242.5,697.3,73.7,372.5,85.0,133.1,120.8,211.5,73.4,0.0,495.1,61.8,599.7,177.6,317.9,21.5,691.4,217.3,301.4,165.4,96.6,85.7,315.6,58.1,276.3,5.7,276.8,277.4,281.0,701.7,172.6,190.8,595.4,704.1,200.8,712.8,75.4,54.5,647.5,136.3,370.5,208.3,218.3,121.9,478.1,227.8,364.6,52.0,438.2,97.4,138.7,35.8,126.7,64.5,635.0,633.7,266.9,686.1,688.1,263.2
KP,563.5,688.6,436.9,710.3,639.2,626.1,487.6,434.4,621.7,185.5,408.4,745.3,566.9,664.0,472.4,420.2,659.9,377.1,683.0,319.9,202.7,131.9,289.8,67.4,644.7,234.8,560.1,2509.8,335.5,606.0,227.5,317.5,294.0,503.6,577.0,595.2,475.9,626.0,696.8,289.7,476.4,332.6,542.8,515.8,576.8,669.3,576.6,457.7,0.0,519.6,192.1,303.6,385.0,437.4,283.8,250.0,427.4,623.2,483.8,543.5,159.7,440.8,734.2,463.5,734.6,735.2,738.8,687.5,630.4,648.6,187.8,622.6,326.8,672.4,536.2,512.3,239.9,594.1,351.2,666.1,676.1,577.0,341.4,685.6,120.7,509.8,46.9,552.2,596.5,489.2,584.5,513.4,227.4,772.2,724.7,278.5,705.9,387.1
LO,43.8,168.9,399.4,190.6,119.5,106.4,81.8,127.5,102.0,431.9,109.6,225.6,640.3,144.3,45.7,98.3,140.2,239.4,163.3,254.6,671.0,472.8,514.5,468.6,125.0,703.1,40.4,1990.1,270.2,86.3,695.8,363.8,320.3,15.9,50.0,104.6,153.9,602.5,177.1,758.0,133.5,433.2,23.1,193.8,57.1,149.6,56.1,60.6,555.8,0.0,660.4,238.3,378.6,82.9,752.1,278.0,362.1,103.5,157.3,23.8,376.3,118.8,214.5,54.1,214.9,215.5,219.1,639.8,143.8,128.9,656.1,642.2,261.5,650.9,74.3,41.7,708.2,74.4,431.2,179.5,156.4,57.3,538.8,165.9,425.3,9.7,498.9,32.5,186.0,57.8,64.8,96.5,695.7,571.8,205.0,746.8,626.2,323.9
LT,689.0,814.1,562.4,835.8,764.7,751.6,613.1,559.9,747.2,314.7,533.9,870.8,383.2,794.7,597.7,545.7,785.4,502.6,797.1,445.4,19.0,257.4,419.3,192.9,772.3,42.6,685.6,2530.7,461.0,731.5,66.0,443.0,419.5,629.1,702.5,720.7,601.4,442.3,825.8,128.2,601.9,458.1,668.3,641.3,702.3,794.8,656.7,583.2,283.1,645.1,0.0,423.4,510.5,562.9,91.6,375.5,546.9,738.3,609.3,669.0,285.2,566.3,859.6,589.0,860.1,860.7,864.3,503.8,755.9,774.1,4.2,438.9,452.3,488.7,658.7,637.8,56.2,719.6,476.7,791.6,801.6,702.5,466.9,811.1,246.2,635.3,176.1,677.7,722.0,614.7,710.0,638.9,43.7,588.5,850.2,86.3,522.2,512.6
LX,283.7,408.8,257.3,430.5,359.4,346.3,207.8,154.6,341.9,197.4,128.6,465.5,800.7,384.2,192.6,140.4,380.1,97.3,403.2,16.2,436.5,238.3,280.0,234.1,364.9,468.6,280.3,2230.0,31.8,326.2,461.3,129.3,85.8,223.8,297.2,315.4,196.1,859.8,417.0,517.1,196.6,208.3,263.0,236.0,293.1,389.5,296.0,177.9,321.3,239.8,425.9,0.0,140.2,157.6,517.6,43.5,123.7,343.4,204.0,263.7,141.8,161.0,454.3,183.7,454.8,455.4,459.0,921.3,350.6,368.8,421.6,856.4,23.1,906.2,256.4,232.5,473.7,314.3,289.1,386.3,396.3,297.2,304.3,405.8,190.8,230.0,264.4,272.4,316.7,209.4,304.7,233.6,461.2,811.7,444.9,512.3,866.1,181.8
MK,423.7,547.7,397.3,570.5,499.4,486.3,347.8,294.6,481.9,290.8,268.6,605.5,894.1,524.2,332.6,280.4,520.1,237.3,531.8,123.6,529.9,331.7,373.4,327.5,504.9,562.0,420.3,2370.0,92.9,466.2,554.7,262.6,149.0,363.8,437.2,455.4,336.1,945.5,557.0,610.5,336.6,341.4,403.0,376.0,431.9,529.5,391.4,317.9,414.7,379.8,519.3,139.9,0.0,297.6,611.0,183.5,88.7,483.4,344.0,403.7,235.2,301.0,594.3,323.7,594.8,595.4,599.0,1014.7,490.6,508.8,515.0,949.8,116.7,999.6,393.4,372.5,567.1,454.3,429.1,526.3,536.3,437.2,390.9,545.8,284.2,370.0,357.8,415.4,456.7,353.8,444.7,373.6,554.6,951.7,584.9,605.7,1033.1,321.8
MO,125.3,250.4,316.4,272.8,201.7,187.9,49.4,44.5,184.2,348.9,26.6,307.1,721.8,226.5,34.9,16.0,221.7,156.4,233.4,171.6,588.0,389.8,431.5,385.6,206.5,620.8,121.9,2072.3,187.2,168.5,612.8,280.8,237.3,65.4,138.8,157.7,70.9,673.3,258.6,675.0,51.4,350.9,104.6,110.8,129.2,231.1,137.6,19.5,472.8,81.4,577.4,155.3,295.6,0.0,669.1,195.0,273.1,185.0,74.3,105.3,293.3,35.8,295.9,25.3,296.4,297.7,301.3,721.3,192.9,210.4,573.8,723.7,178.5,732.4,98.7,74.8,625.2,155.9,348.2,227.9,237.9,138.8,456.5,248.1,342.3,72.3,416.6,114.7,158.3,51.0,146.3,84.8,612.7,653.3,286.5,664.5,707.7,240.9
MP,761.1,886.2,634.5,907.9,836.8,823.7,685.2,632.0,819.3,386.8,606.0,942.9,455.3,866.8,669.8,617.8,857.5,574.7,869.2,517.5,91.1,329.5,491.4,265.0,844.4,92.2,757.7,2602.8,533.1,803.6,138.1,515.1,491.6,701.2,774.6,792.8,673.5,514.4,897.9,200.3,674.0,530.2,740.4,713.4,774.4,866.9,728.8,655.3,355.2,717.2,72.0,495.5,582.6,635.7,0.0,447.6,619.0,810.4,681.4,741.1,357.3,638.4,931.7,661.1,932.2,932.8,936.4,575.9,828.0,846.2,76.3,511.0,524.4,560.8,730.8,709.9,128.3,791.7,548.8,863.7,873.7,774.6,539.0,883.2,318.3,707.4,248.2,749.8,794.1,686.8,782.1,711.0,115.8,660.6,922.3,135.9,594.3,584.7
MT,313.4,438.5,239.7,460.2,389.1,376.0,237.5,184.3,371.6,153.8,158.3,495.2,757.1,419.1,222.1,170.1,409.8,127.0,421.5,69.8,392.9,194.7,240.4,190.5,396.7,425.0,310.0,2259.7,85.4,355.9,417.7,85.7,42.2,253.5,326.9,345.1,225.8,816.2,450.2,479.9,226.3,164.7,292.7,265.7,326.7,419.2,281.1,207.6,277.7,269.5,382.3,47.8,193.8,187.3,474.0,0.0,171.3,362.7,233.7,293.4,98.2,190.7,484.0,213.4,484.5,485.1,488.7,877.7,380.3,398.5,378.0,812.8,76.7,862.6,283.1,262.2,430.1,344.0,271.5,416.0,426.0,326.9,260.7,435.5,147.2,259.7,220.8,302.1,346.4,239.1,334.4,263.3,417.6,841.4,474.6,468.7,896.1,155.3
NI,410.8,534.8,384.4,557.6,486.5,473.4,334.9,281.7,469.0,321.8,261.4,592.6,930.8,516.5,325.4,273.2,507.2,224.4,530.3,110.7,560.9,362.7,404.4,358.5,492.0,593.0,407.4,2357.1,80.0,453.3,585.7,249.7,136.1,350.9,424.3,442.5,323.2,976.5,544.1,641.5,323.7,328.7,390.1,363.1,425.9,516.6,423.9,305.0,451.4,372.6,550.3,132.7,78.3,290.4,642.0,170.6,0.0,470.5,331.1,390.8,266.2,288.1,581.5,310.8,581.9,582.5,586.1,1045.7,483.4,495.9,546.0,980.8,103.8,1030.6,383.5,359.6,598.1,441.4,416.2,513.4,523.4,427.0,434.4,532.9,315.2,357.1,388.8,399.5,449.5,340.9,431.8,360.7,585.6,938.8,572.0,642.4,993.2,314.6
NY,135.9,238.1,499.0,282.7,165.5,198.5,181.4,227.1,194.1,531.5,209.2,271.6,686.3,236.4,145.3,197.9,232.3,339.0,216.4,354.2,770.6,572.4,614.1,568.2,217.1,802.7,86.4,2027.9,369.8,178.4,795.4,463.4,419.9,115.5,149.6,196.7,253.5,637.8,226.6,851.2,233.1,532.8,115.2,293.4,144.1,195.6,111.3,160.2,655.4,99.5,760.0,337.9,478.2,181.8,851.7,377.6,455.7,0.0,256.9,74.6,475.9,218.4,286.4,153.7,260.9,285.4,234.8,685.8,235.9,221.0,755.7,688.2,361.1,696.9,173.9,141.3,807.8,120.4,530.8,271.6,248.5,103.3,638.4,211.9,524.9,109.3,598.5,78.5,278.1,129.9,110.8,196.1,795.3,617.8,295.9,846.4,672.2,423.5
OF,215.2,340.3,357.6,362.0,290.9,277.8,139.3,60.6,273.4,390.1,67.8,397.0,811.7,320.9,123.9,71.9,311.6,197.6,323.3,212.8,629.2,431.0,476.7,426.8,298.5,661.3,211.8,2161.5,228.4,257.7,654.0,322.0,278.5,155.3,228.7,246.9,127.6,763.2,352.0,716.2,128.1,391.4,194.5,167.5,228.5,321.0,182.9,109.4,514.0,171.3,618.6,190.8,336.8,89.8,710.3,236.2,314.3,264.5,0.0,195.2,334.5,92.5,385.8,115.2,386.3,386.9,390.5,811.2,282.1,300.3,614.3,813.6,219.7,822.3,184.9,164.0,666.4,245.8,389.4,317.8,327.8,228.7,497.0,337.3,383.5,161.5,457.1,203.9,248.2,140.9,236.2,165.1,653.9,743.2,376.4,705.0,797.6,282.1
OV,61.2,168.2,424.3,208.0,95.6,123.8,106.7,152.4,119.4,456.8,134.5,201.7,616.4,161.7,70.6,123.2,157.6,264.3,146.5,279.5,695.9,497.7,539.4,493.5,142.4,728.0,16.5,1958.0,295.1,103.7,720.7,388.7,345.2,40.8,74.9,122.0,178.8,578.6,160.8,776.5,158.4,458.1,40.5,218.7,69.4,125.7,36.6,85.5,580.7,24.8,685.3,263.2,403.5,107.8,777.0,302.9,387.0,79.6,182.2,0.0,401.2,143.7,216.5,79.0,191.0,215.5,162.6,615.9,161.2,146.3,681.0,618.3,286.4,627.0,99.2,66.6,733.1,50.5,456.1,196.9,173.8,33.4,563.7,142.0,450.2,34.6,523.8,8.6,203.4,82.7,40.9,121.4,720.6,547.9,222.4,771.7,602.3,348.8
OX,403.7,528.8,311.7,550.5,479.4,466.3,327.8,274.6,461.9,55.5,248.6,585.5,658.8,504.2,312.6,260.4,500.1,217.3,523.2,160.1,294.6,96.4,138.1,92.2,484.9,326.7,400.3,2350.0,175.7,446.2,319.4,157.7,134.2,343.8,417.2,435.4,316.1,717.9,537.0,381.6,316.6,172.8,383.0,356.0,417.0,509.5,416.0,297.9,179.4,359.8,284.0,143.8,225.2,277.6,375.7,90.2,267.6,463.4,324.0,383.7,0.0,281.0,574.3,303.7,574.8,575.4,579.0,779.4,470.6,488.8,279.7,714.5,167.0,764.3,376.4,352.5,331.8,434.3,315.7,506.3,516.3,417.2,189.7,525.8,48.9,350.0,122.5,392.4,436.7,329.4,424.7,353.6,319.3,864.1,564.9,370.4,797.8,227.3
OZ,153.2,278.3,331.1,300.0,228.9,215.8,77.3,59.2,211.4,363.6,41.3,335.0,749.7,258.9,61.9,30.0,249.6,171.1,261.3,186.3,602.7,404.5,450.2,400.3,236.5,634.8,149.8,2099.5,201.9,195.7,627.5,295.5,252.0,93.3,166.7,184.9,35.0,701.2,290.0,689.7,48.1,364.9,132.5,74.9,166.5,259.0,120.9,47.4,487.5,109.3,592.1,164.3,310.3,27.8,683.8,209.7,287.8,202.5,89.0,133.2,308.0,0.0,323.8,53.2,324.3,324.9,328.5,749.2,220.1,238.3,587.8,751.6,193.2,760.3,122.9,102.0,639.9,183.8,362.9,255.8,265.8,166.7,470.5,275.3,357.0,99.5,430.6,141.9,178.0,78.9,174.2,85.1,627.4,681.2,314.4,678.5,735.6,255.6
PC,188.6,130.7,543.1,23.7,137.5,105.2,280.3,337.7,198.1,642.0,319.7,14.9,523.4,111.4,255.8,308.4,62.6,449.5,153.5,464.7,837.6,682.9,724.7,678.8,223.1,909.5,223.0,1839.0,480.3,182.4,904.4,574.0,530.4,226.0,260.1,182.7,364.1,485.6,123.3,960.2,343.6,643.3,176.1,399.9,173.0,107.4,194.2,270.7,765.9,210.1,866.8,448.4,588.8,292.3,958.4,488.1,566.3,286.1,367.5,206.4,586.4,328.9,0.0,264.2,24.3,1.0,137.5,522.9,244.1,96.0,862.5,525.3,471.6,534.1,238.9,245.7,800.5,257.0,641.3,279.9,123.5,240.0,748.9,149.1,635.4,219.9,709.1,218.2,286.4,267.9,247.4,306.6,812.9,454.9,9.3,953.2,509.4,534.0
PG,99.9,225.0,345.2,246.7,175.6,162.5,24.0,73.3,158.1,377.7,55.4,281.7,696.4,205.6,8.6,44.1,196.3,185.2,208.0,200.4,616.8,418.6,464.3,414.4,183.2,648.9,96.5,2046.2,216.0,142.4,641.6,309.6,266.1,40.0,113.4,131.6,99.7,647.9,236.7,703.8,80.2,379.0,79.2,139.6,113.2,205.7,67.6,6.4,501.6,56.0,606.2,178.4,324.4,28.7,697.9,223.8,301.9,149.2,103.1,79.9,322.1,64.6,270.5,0.0,271.0,271.6,275.2,695.9,166.8,185.0,601.9,698.3,207.3,707.0,69.6,48.7,654.0,130.5,377.0,202.5,212.5,113.4,484.6,222.0,371.1,46.2,444.7,88.6,132.9,25.6,120.9,58.7,641.5,627.9,261.1,692.6,682.3,269.7
PH,213.0,105.1,533.8,48.1,111.9,129.6,304.6,362.0,222.4,666.4,344.1,9.4,497.9,125.7,280.4,332.8,87.0,473.9,139.4,489.1,812.1,707.3,753.0,703.1,203.5,883.9,247.4,1813.5,504.7,206.7,878.8,598.3,554.8,250.4,284.5,207.0,388.4,449.4,93.6,941.0,368.0,667.7,200.5,424.2,199.2,81.9,218.5,295.1,790.3,234.4,841.2,467.1,613.1,316.7,932.9,512.5,590.6,300.1,391.8,230.8,610.8,353.3,24.3,288.6,0.0,23.2,111.9,497.4,268.5,120.4,836.9,499.8,496.0,508.5,266.3,270.0,774.9,164.9,633.5,300.9,118.8,264.3,773.3,123.5,659.8,244.2,733.4,239.5,310.7,264.8,174.0,331.0,787.4,429.4,33.7,927.6,483.8,558.4
PU,189.7,129.6,544.2,24.8,136.4,106.3,281.3,338.7,199.1,643.1,320.8,13.7,522.4,112.5,256.9,309.5,63.7,450.6,237.3,465.8,836.6,684.0,729.7,679.8,224.2,908.4,224.1,1838.0,481.4,183.4,903.3,575.0,531.5,227.1,261.2,183.7,365.1,484.6,122.2,965.5,344.7,644.4,177.2,400.9,175.9,106.4,195.2,271.8,767.0,211.1,865.7,449.5,589.8,294.1,957.4,489.2,573.3,287.2,368.5,207.5,587.5,330.0,1.0,265.3,23.2,0.0,136.4,521.9,245.2,97.1,861.4,524.3,472.7,533.0,240.0,246.7,799.4,258.1,642.4,280.9,124.6,241.0,750.0,148.0,636.5,220.9,710.1,219.2,287.4,269.0,248.5,307.7,811.9,453.9,10.4,952.1,508.3,535.1
PY,193.3,46.2,547.8,140.3,58.3,109.9,284.9,342.3,202.7,646.7,324.4,101.6,557.1,66.8,260.5,313.1,132.0,454.2,74.4,469.4,871.3,687.6,729.3,683.4,225.7,917.9,143.8,1884.7,485.0,187.0,910.6,578.6,535.1,230.7,264.8,187.3,368.7,519.3,34.7,966.4,348.3,648.0,180.8,404.5,177.7,28.3,198.8,275.4,770.6,214.7,875.2,453.1,593.4,297.7,966.9,492.8,576.9,215.0,372.1,160.1,591.1,333.6,116.5,268.9,90.9,115.4,0.0,556.6,248.8,87.4,870.9,559.0,476.3,567.7,243.6,250.3,834.1,111.3,646.0,284.5,59.9,123.6,753.6,69.9,640.1,224.5,713.7,148.7,291.0,272.6,120.4,311.3,846.6,488.6,125.9,961.6,543.0,538.7
