from_stop,AH,AR,AT,AV,BD,BG,BR,BT,CB,CS,CU,CW,DB,DP,DR,DY,EC,ED,EI,EN,ES,EU,EV,EW,FA,FF,GG,GH,GK,GN,GO,GT,HA,HE,HG,HN,HO,HT,HX,IB,IE,IG,II,IO,IS,IX,IY,IZ,JE,JI,JO,JQ,JU,KI,KT,KW,LA,LE,LG,LH,LJ,LO,LU,LV,LW,LZ,MI,MO,NH,NQ,NV,NW,OF,OL,OR,OV,OW,PD,PL,PP,PR,QD,QK,QL,QQ,QR,QV,QW,RP,RY,SB,SJ,SM,ST,TB,TO,TW,TY,UF,UI,UQ,US,UT,UX,VF,VG,VL,WM,WT,WW,XF,XG,XH,YB,YE,YH,YP,YR,YX,YZ,ZD,ZH,ZO,ZQ,ZS,ZU,ZW
FF,904.1,1281.7,1238.3,375.7,146.3,819.5,1108.7,1137.1,1017.6,822.7,1154.5,58.3,741.5,1099.4,981.9,1006.7,1116.8,820.3,188.6,1104.4,88.2,635.1,991.5,1026.2,1201.2,0.0,657.1,1133.6,1233.7,104.5,1262.0,281.6,1050.3,1169.6,524.9,1192.1,51.7,1234.5,608.9,384.8,1024.8,1075.0,1042.6,68.8,1177.1,922.5,1014.6,408.2,1114.5,1111.1,786.2,673.9,1067.5,433.9,1083.2,1101.3,1193.2,280.7,1005.6,1155.5,747.2,981.3,51.7,235.5,1293.0,1101.2,812.7,1161.1,1029.6,1085.9,990.9,220.3,1011.5,1081.5,1217.5,1041.8,69.2,1115.9,1179.4,1160.9,1267.2,1172.4,1126.5,807.2,383.8,416.7,252.8,1104.6,345.1,949.3,159.8,453.4,1115.5,182.7,1227.4,1014.2,1270.4,1081.5,153.6,1090.7,2533.4,1014.8,264.4,991.5,913.5,1095.9,123.3,202.7,228.3,577.2,582.2,691.9,275.2,1194.0,207.7,364.6,1066.3,1099.7,999.0,978.9,1131.0,1212.5,186.6,86.6,334.4,455.0,1233.8
GG,495.1,1020.3,976.9,529.4,265.2,410.5,847.3,716.4,756.2,413.7,766.9,622.1,332.5,838.0,572.9,597.7,849.1,411.3,287.7,836.7,551.3,16.7,582.5,617.2,939.8,629.6,0.0,787.8,972.3,535.0,1000.6,845.4,788.9,751.8,678.6,930.7,615.5,973.1,983.1,467.6,615.8,813.6,633.6,620.8,742.5,513.5,605.6,488.2,853.1,849.7,377.2,1048.1,806.1,212.8,821.8,750.4,758.6,379.8,569.9,747.9,338.2,572.3,603.7,799.3,1031.6,692.2,403.7,899.7,620.6,824.5,729.5,374.0,750.1,820.1,956.1,780.4,633.0,854.5,918.0,760.5,1005.8,911.0,865.1,398.2,270.2,570.4,351.9,843.2,498.8,540.3,723.6,437.0,736.6,746.5,966.0,605.2,1009.0,820.1,717.4,829.3,2598.2,605.8,828.2,582.5,504.5,814.7,687.1,766.5,792.1,168.2,956.4,282.9,428.9,932.6,361.4,518.3,657.3,838.3,737.6,569.9,869.6,951.1,340.3,650.4,488.1,190.7,972.4
GH,610.3,422.1,411.4,589.9,789.0,525.7,281.8,74.0,190.7,471.0,20.8,1145.9,440.1,166.2,341.6,427.7,61.2,526.5,811.5,48.8,1075.1,729.9,412.5,295.2,374.3,1153.4,751.9,0.0,374.1,1058.8,402.4,1369.2,77.8,35.9,788.6,332.5,1139.3,374.9,760.6,991.4,294.9,248.1,311.6,1144.6,50.9,343.5,189.4,558.7,254.9,284.2,434.5,937.5,60.8,736.6,96.2,108.0,67.0,903.6,338.6,105.5,433.2,323.0,1127.5,1323.1,433.4,94.0,461.0,301.5,233.9,259.0,164.0,897.8,105.5,254.6,357.9,214.9,1156.8,289.0,319.8,27.2,407.6,312.8,266.9,513.4,794.0,679.7,875.7,245.0,771.0,309.0,1247.4,507.5,94.2,1270.3,367.8,236.7,410.8,170.2,1241.2,179.4,3064.0,283.8,1352.0,255.1,310.3,137.7,1210.9,1290.3,1315.9,598.5,717.0,523.5,762.2,334.4,885.2,600.1,132.8,240.1,118.0,295.7,304.1,352.9,817.1,1174.2,630.3,714.5,374.2
GK,778.3,336.2,499.5,757.9,957.0,693.7,369.9,306.0,284.4,639.0,370.4,1220.0,608.1,250.3,502.4,534.8,350.5,694.5,979.5,338.1,1149.2,897.9,530.3,521.1,462.4,1227.5,919.9,367.3,0.0,1132.9,316.5,1443.3,165.9,355.3,956.6,246.6,1213.4,213.2,848.7,1159.4,520.8,336.2,537.5,1312.6,346.0,448.8,415.3,726.7,169.0,372.3,602.5,1025.6,301.2,904.6,180.3,270.2,362.1,1071.6,442.0,324.4,601.2,525.1,1295.5,1397.2,269.3,319.9,629.0,137.4,459.8,347.1,252.1,1058.1,193.6,342.7,193.8,307.8,1231.6,377.1,155.7,364.0,243.5,226.9,109.9,681.4,962.0,847.7,1043.7,131.8,939.0,471.6,1321.5,675.5,284.4,1344.4,107.1,462.6,246.7,258.3,1315.3,267.5,3152.1,509.7,1426.1,481.0,494.5,221.8,1285.0,1364.4,1390.0,766.5,805.1,691.5,930.2,170.3,1053.2,768.1,358.7,154.2,206.1,521.6,392.2,27.1,985.1,1248.3,798.3,882.5,288.3
GN,799.5,1177.1,1133.7,404.4,171.3,714.9,1004.1,1032.5,913.0,718.1,1049.9,87.0,636.9,994.8,877.3,902.1,1012.2,715.7,236.3,999.8,16.2,530.5,886.9,921.6,1096.6,94.5,552.5,1029.0,1129.1,0.0,1157.4,310.3,945.7,1065.0,553.6,1087.5,80.4,1129.9,504.3,280.2,920.2,970.4,938.0,163.4,1072.5,817.9,910.0,436.9,1009.9,1006.5,681.6,569.3,962.9,329.3,978.6,996.7,1088.6,328.4,901.0,1050.9,642.6,876.7,146.3,264.2,1188.4,996.6,708.1,1056.5,925.0,981.3,886.3,249.0,906.9,976.9,1112.9,937.2,97.9,1011.3,1074.8,1056.3,1162.6,1067.8,1021.9,702.6,279.2,445.4,300.5,1000.0,373.8,844.7,188.5,482.1,1010.9,211.4,1122.8,909.6,1165.8,976.9,182.3,986.1,2428.8,910.2,293.1,886.9,808.9,991.3,152.0,231.4,257.0,472.6,477.6,587.3,303.9,1089.4,236.4,393.3,961.7,995.1,894.4,874.3,1026.4,1107.9,215.3,115.3,363.1,350.4,1129.2
GO,807.8,8.3,529.0,787.4,986.5,723.2,383.8,335.5,313.9,668.5,399.9,1249.5,637.6,279.8,531.9,564.3,380.0,724.0,1009.0,367.6,1178.7,927.4,559.8,550.6,491.9,1257.0,949.4,396.8,297.7,1162.4,0.0,1472.8,195.4,384.8,986.1,150.9,1242.9,300.9,878.2,1188.9,550.3,353.3,569.5,1342.1,375.5,478.3,444.8,756.2,131.4,401.8,632.0,1055.1,330.7,938.9,209.8,299.7,391.6,1101.1,471.5,353.9,630.7,554.6,1325.0,1426.7,357.0,349.4,658.5,225.1,489.3,376.6,281.6,1087.6,223.1,372.2,281.5,337.3,1261.1,406.6,243.4,393.5,331.2,131.2,190.5,710.9,991.5,877.2,1073.2,168.6,968.5,501.1,1351.0,705.0,313.9,1369.7,291.4,492.1,334.4,287.8,1344.8,297.0,3181.6,539.2,1455.6,510.5,524.0,251.3,1314.5,1393.9,1419.5,796.0,834.6,721.0,959.7,258.0,1082.7,797.6,388.2,146.2,235.6,551.1,421.7,276.5,1014.6,1277.8,827.8,912.0,31.3
GT,1120.8,1498.4,1455.0,410.9,197.8,1036.2,1309.8,1353.8,1239.9,1039.4,1371.2,234.1,958.2,1316.1,1198.3,1223.4,1333.5,1037.0,262.8,1321.1,304.9,851.8,1208.2,1242.9,1417.9,302.5,873.8,1350.3,1450.4,321.2,1478.7,0.0,1267.0,1386.3,560.1,1408.8,240.7,1453.6,825.6,601.5,1241.5,1291.7,1259.3,371.4,1393.8,1139.2,1231.3,443.4,1331.2,1327.8,1002.9,890.6,1284.2,650.6,1299.9,1318.0,1409.9,354.9,1222.3,1372.2,963.9,1198.0,354.3,56.0,1509.7,1317.9,1029.4,1377.8,1246.3,1302.6,1207.6,247.8,1228.2,1298.2,1434.2,1258.5,222.5,1332.6,1396.1,1377.6,1483.9,1389.1,1343.2,1023.9,600.5,451.9,327.0,1321.3,380.3,1166.0,231.9,488.6,1332.2,160.1,1444.1,1230.9,1487.1,1298.2,127.9,1307.4,2750.1,1231.5,30.0,1208.2,1130.2,1312.6,195.4,159.3,63.2,793.9,798.9,892.6,310.4,1410.7,242.9,399.8,1283.0,1316.4,1215.7,1195.6,1347.7,1429.2,221.8,205.8,369.6,671.7,1450.5
HA,612.3,231.3,333.5,591.9,791.0,527.7,203.9,147.9,112.8,473.0,104.1,1054.0,442.1,102.8,336.7,368.8,66.4,528.5,813.5,54.0,983.2,731.9,364.3,363.0,296.4,1061.5,753.9,83.2,183.3,966.9,211.6,1277.3,0.0,119.2,790.6,141.7,1047.4,184.1,682.7,993.4,362.7,170.2,379.4,1146.6,134.2,282.8,257.2,560.7,64.1,206.3,436.5,859.6,17.1,738.6,32.8,112.1,150.3,905.6,276.0,166.3,435.2,359.1,1129.5,1231.2,242.6,161.8,463.0,110.7,301.7,181.1,86.1,899.8,27.6,176.7,167.1,137.0,1064.9,211.1,129.0,110.5,216.8,122.0,76.1,515.4,796.0,681.7,877.7,54.2,773.0,305.6,1155.5,509.5,126.3,1178.4,177.0,304.5,220.0,92.3,1149.3,101.5,2986.1,351.6,1260.1,322.9,328.5,74.3,1119.0,1198.4,1224.0,600.5,639.1,525.5,764.2,143.6,887.2,602.1,200.6,49.3,40.1,363.5,226.2,162.1,819.1,1082.3,632.3,716.5,183.4
HE,574.3,386.1,447.4,553.9,753.0,489.7,317.8,38.0,226.7,435.0,15.0,1109.9,404.1,159.8,305.6,391.7,97.2,490.5,775.5,84.8,1039.1,693.9,376.5,259.2,410.3,1117.4,715.9,35.9,338.1,1022.8,366.4,1333.2,113.8,0.0,752.6,296.5,1103.3,338.9,796.6,955.4,258.9,284.1,275.6,1108.6,14.9,307.5,153.4,522.7,218.9,320.2,398.5,973.5,96.8,700.6,132.2,72.0,31.0,867.6,302.6,69.5,397.2,287.0,1091.5,1287.1,397.4,58.0,425.0,265.5,197.9,295.0,200.0,861.8,141.5,290.6,321.9,250.9,1120.8,325.0,283.8,8.7,371.6,276.8,230.9,477.4,758.0,643.7,839.7,209.0,735.0,273.0,1211.4,471.5,58.2,1234.3,331.8,200.7,374.8,199.5,1205.2,208.7,3086.0,247.8,1316.0,219.1,274.3,136.3,1174.9,1254.3,1279.9,562.5,753.0,487.5,726.2,298.4,849.2,564.1,96.8,204.1,154.0,259.7,340.1,316.9,781.1,1138.2,594.3,678.5,338.2
HG,356.2,856.7,813.3,151.0,389.5,271.6,683.7,552.8,598.2,250.1,603.3,443.8,186.0,674.4,409.0,434.1,685.5,272.4,454.5,673.1,514.6,475.8,418.9,453.6,776.2,512.2,497.8,624.2,808.7,530.9,837.0,546.5,625.3,588.2,0.0,767.1,450.4,811.9,185.1,570.7,452.2,650.0,472.5,456.4,578.9,349.9,442.0,119.8,689.5,686.1,213.6,120.1,642.5,482.5,658.2,586.8,595.0,546.6,406.3,584.3,179.1,408.7,473.5,500.4,868.0,528.6,240.1,736.1,457.0,660.9,565.9,423.2,586.5,656.5,792.5,616.8,432.2,690.9,754.4,596.9,842.2,747.4,701.5,259.3,455.0,240.8,518.7,679.6,332.1,376.7,441.6,95.2,573.0,443.4,802.4,441.6,845.4,656.5,418.5,665.7,2783.0,442.2,529.3,418.9,340.9,651.1,405.1,467.6,493.2,344.4,210.8,248.7,323.3,769.0,418.3,161.2,493.7,674.7,574.0,406.3,706.0,787.5,378.2,415.5,191.4,460.4,808.8
HN,749.0,161.7,470.2,728.6,927.7,664.4,340.6,276.7,249.5,609.7,341.1,1190.7,578.8,221.0,473.4,505.5,321.2,665.2,950.2,308.8,1119.9,868.6,501.0,491.8,433.1,1198.2,890.6,338.0,238.9,1103.6,142.0,1414.0,136.6,326.0,927.3,0.0,1184.1,239.7,819.4,1130.1,491.5,306.9,508.2,1283.3,316.7,419.5,386.0,697.4,72.6,343.0,573.2,996.3,271.9,875.3,151.0,240.9,332.8,1042.3,412.7,295.1,571.9,495.8,1266.2,1367.9,298.2,290.6,599.7,166.3,430.5,317.8,222.8,1036.5,164.3,313.4,222.7,273.7,1201.6,347.8,184.6,334.7,272.4,19.4,131.7,652.1,932.7,818.4,1014.4,109.8,909.7,442.3,1292.2,646.2,255.1,1315.1,232.6,433.3,275.6,229.0,1286.0,238.2,3122.8,480.4,1396.8,451.7,465.2,192.5,1255.7,1335.1,1360.7,737.2,775.8,662.2,900.9,199.2,1023.9,738.8,329.4,87.4,176.8,492.3,362.9,217.7,955.8,1219.0,769.0,853.2,113.8
HO,880.0,1257.6,1214.2,323.9,90.8,795.4,1084.6,1113.0,999.1,798.6,1130.4,6.6,717.4,1075.3,957.5,982.6,1092.7,796.2,155.8,1080.3,64.1,611.0,967.4,1002.1,1177.1,61.7,633.0,1109.5,1209.6,80.4,1237.9,229.8,1026.2,1145.5,473.1,1168.0,0.0,1212.8,584.8,360.7,1000.7,1050.9,1018.5,130.6,1153.0,898.4,990.5,356.4,1090.4,1087.0,762.1,649.8,1043.4,405.1,1059.1,1077.2,1169.1,247.9,981.5,1131.4,723.1,957.2,113.5,183.7,1268.9,1077.1,788.6,1137.0,1005.5,1061.8,966.8,160.8,987.4,1057.4,1193.4,1017.7,18.2,1091.8,1155.3,1136.8,1243.1,1148.3,1102.4,783.1,359.7,364.9,220.0,1080.5,293.3,925.2,108.0,401.6,1091.4,130.9,1203.3,990.1,1246.3,1057.4,101.8,1066.6,2509.3,990.7,212.6,967.4,889.4,1071.8,71.5,150.9,176.5,553.1,558.1,667.8,223.4,1169.9,155.9,312.8,1042.2,1075.6,974.9,954.8,1106.9,1188.4,134.8,34.9,282.6,430.9,1209.7
HT,788.7,346.6,509.9,768.3,967.4,704.1,364.7,316.4,294.8,649.4,380.8,1230.4,618.5,260.7,512.8,545.2,360.9,704.9,989.9,348.5,1159.6,908.3,540.7,531.5,472.8,1237.9,930.3,377.7,190.4,1143.3,326.9,1453.7,176.3,365.7,967.0,257.0,1223.8,0.0,859.1,1169.8,531.2,346.6,547.9,1323.0,356.4,459.2,425.7,737.1,179.4,382.7,612.9,1036.0,311.6,919.9,190.7,280.6,372.5,1082.0,452.4,334.8,611.6,535.5,1305.9,1407.6,206.7,330.3,639.4,75.7,470.2,357.5,262.5,1068.5,204.0,353.1,19.4,313.4,1242.0,387.5,57.4,374.4,180.9,237.3,120.3,691.8,972.4,858.1,1054.1,142.2,949.4,482.0,1331.9,685.9,294.8,1354.8,184.1,473.0,184.1,268.7,1325.7,277.9,3162.5,520.1,1436.5,491.4,504.9,232.2,1295.4,1374.8,1400.4,776.9,815.5,681.2,940.6,53.9,1063.6,778.5,369.1,164.6,216.5,532.0,402.6,169.2,995.5,1258.7,808.7,892.9,298.7
HX,736.7,892.5,849.1,325.5,564.0,652.1,719.5,747.9,628.4,621.0,765.3,590.8,566.5,710.2,677.1,709.2,727.6,652.9,629.0,715.2,520.0,856.3,704.7,764.4,812.0,598.3,878.3,744.4,844.5,503.7,872.8,814.1,661.1,780.4,174.4,802.9,584.2,845.3,0.0,703.4,782.1,685.8,780.8,667.2,787.9,623.2,789.9,294.3,725.3,721.9,584.5,64.9,678.3,752.5,694.0,712.1,804.0,721.1,616.4,766.3,559.6,699.5,650.1,768.0,903.8,761.8,611.0,771.9,786.9,696.7,601.7,752.8,622.3,692.3,828.3,652.6,601.7,726.7,790.2,771.7,878.0,783.2,737.3,639.8,702.4,415.3,693.2,715.4,506.6,646.0,692.3,269.7,726.3,715.2,838.2,789.5,881.2,692.3,686.1,701.5,2852.0,753.0,796.9,748.8,668.9,706.7,655.8,735.2,760.8,724.9,46.5,649.9,497.8,804.8,740.2,335.7,800.6,710.5,609.8,717.1,741.8,823.3,552.7,619.1,365.9,773.6,844.6
IB,701.7,1226.9,1183.5,442.5,178.3,617.1,1053.9,923.0,962.8,620.3,973.5,356.9,539.1,1044.6,779.5,804.3,1055.7,617.9,136.9,1043.3,286.1,432.7,789.1,823.8,1146.4,364.4,454.7,994.4,1178.9,269.8,1207.2,580.2,995.5,958.4,591.7,1137.3,350.3,1179.7,717.9,0.0,822.4,1020.2,840.2,355.6,949.1,720.1,812.2,475.0,1059.7,1056.3,583.8,782.9,1012.7,231.5,1028.4,957.0,965.2,229.0,776.5,954.5,544.8,778.9,338.5,534.1,1238.2,898.8,610.3,1106.3,827.2,1031.1,936.1,287.1,956.7,1026.7,1162.7,987.0,367.8,1061.1,1124.6,967.1,1212.4,1117.6,1071.7,604.8,181.4,483.5,201.1,1049.8,411.9,746.9,458.4,520.2,943.2,481.3,1172.6,811.8,1215.6,1026.7,452.2,1035.9,2351.0,812.4,563.0,789.1,711.1,1021.3,421.9,501.3,526.9,374.8,691.2,489.5,342.0,1139.2,274.5,431.4,863.9,1044.9,944.2,776.5,1076.2,1157.7,253.4,385.2,401.2,252.6,1179.0
IE,450.2,552.2,607.9,429.8,628.9,365.6,478.3,204.1,387.2,310.9,254.6,985.8,280.0,325.9,163.5,267.6,336.8,366.4,651.4,324.4,915.0,569.8,252.4,117.1,570.8,993.3,591.8,275.5,504.2,898.7,532.5,1209.1,341.6,239.5,628.5,462.6,979.2,505.0,801.9,831.3,0.0,444.6,133.5,984.5,230.2,183.4,111.4,398.6,385.0,480.7,274.4,978.8,336.4,576.5,316.6,238.1,246.3,743.5,160.5,235.6,273.1,144.9,967.4,1163.0,563.5,179.9,300.9,431.6,66.1,455.5,360.5,737.7,338.1,451.1,488.0,411.4,996.7,485.5,449.9,248.2,537.7,442.9,397.0,353.3,633.9,519.6,715.6,375.1,610.9,130.9,1087.3,347.4,224.3,1110.2,497.9,111.0,540.9,365.6,1081.1,374.8,2961.9,105.7,1191.9,41.5,150.2,302.4,1050.8,1130.2,1155.8,438.4,758.3,363.4,602.1,464.5,725.1,440.0,145.0,370.2,350.6,117.6,500.6,483.0,657.0,1014.1,470.2,554.4,504.3
IG,648.4,421.7,173.2,628.0,827.1,563.8,70.4,288.4,39.3,509.1,305.8,1090.1,478.2,250.7,372.5,404.9,268.1,564.6,849.6,255.7,1019.3,768.0,400.4,460.1,136.1,1097.6,790.0,284.9,385.0,1003.0,413.3,1313.4,201.6,320.9,826.7,343.4,1083.5,388.2,718.8,1029.5,477.8,0.0,479.0,1160.0,328.4,318.9,397.7,596.8,265.8,46.0,472.6,873.0,218.8,779.6,234.5,252.6,344.5,941.7,312.1,306.8,448.6,395.2,1165.6,1267.3,444.3,302.3,499.1,312.4,442.2,20.8,94.3,928.2,162.8,58.8,368.8,38.6,1101.7,50.8,330.7,312.2,418.5,323.7,277.8,551.5,832.1,717.8,913.8,255.9,809.1,341.7,1168.9,545.6,266.8,1210.3,378.7,445.0,421.7,232.8,1185.4,242.0,3022.2,448.7,1296.2,444.5,364.6,247.2,1155.1,1234.5,1260.1,636.6,675.2,540.9,800.3,345.3,900.6,638.2,341.1,251.0,150.3,412.8,65.9,363.8,855.2,1118.4,668.4,752.6,385.1
II,443.4,578.8,576.5,425.3,622.1,361.1,431.3,242.0,361.4,304.1,292.5,979.0,273.2,363.8,134.1,260.8,377.0,361.9,644.6,362.3,908.2,563.0,245.6,15.0,539.4,986.5,585.0,313.4,544.4,891.9,570.4,1202.3,379.5,277.4,624.0,500.5,972.4,545.3,770.5,824.5,123.4,400.8,0.0,977.7,268.1,176.6,131.2,394.1,422.9,449.3,267.6,947.4,374.3,574.6,354.5,276.0,284.2,736.7,129.1,273.5,266.3,113.5,960.6,1156.2,601.4,217.8,296.4,469.5,128.2,424.1,329.1,725.5,349.7,419.7,525.9,384.8,992.9,456.4,487.8,288.4,575.6,480.8,434.9,346.5,627.1,512.8,708.8,413.0,604.1,99.5,1080.5,340.6,264.5,1099.2,535.8,130.8,578.8,403.5,1074.3,412.7,2955.1,45.3,1185.1,90.1,145.7,340.3,1044.0,1125.7,1149.0,431.6,726.9,335.9,595.3,504.7,720.6,433.2,185.2,408.1,337.2,88.5,469.2,520.9,650.2,1007.3,465.7,547.6,542.2
IO,895.6,1339.3,1307.2,341.6,77.4,811.0,1177.6,1116.9,1092.1,814.2,1167.4,127.2,733.0,1168.3,973.1,998.2,1185.7,811.8,119.7,1173.3,157.1,626.6,983.0,1017.7,1270.1,68.8,648.6,1202.5,1302.6,173.4,1330.9,350.5,1119.2,1152.3,490.8,1261.0,120.6,1305.8,677.8,376.3,1016.3,1131.5,1034.1,0.0,1143.0,914.0,1006.1,374.1,1183.4,1180.0,777.7,742.8,1136.4,425.4,1152.1,1170.2,1159.1,211.8,970.4,1148.4,738.7,972.8,17.1,304.4,1361.9,1092.7,804.2,1230.0,1021.1,1154.8,1059.8,178.5,1080.4,1150.4,1286.4,1115.5,138.8,1184.8,1248.3,1161.0,1336.1,1241.3,1195.4,798.7,375.3,382.6,183.9,1173.5,311.0,940.8,228.7,419.3,1137.1,251.6,1296.3,1005.7,1339.3,1150.4,222.5,1159.6,2524.9,1006.3,333.3,983.0,905.0,1164.8,192.2,271.6,297.2,568.7,651.1,683.4,241.1,1262.9,173.6,330.5,1057.8,1168.6,1067.9,970.4,1199.9,1281.4,152.5,155.5,300.3,446.5,1302.7
IS,584.4,384.9,461.8,564.0,763.1,499.8,332.2,48.1,246.7,445.1,29.4,1120.0,414.2,169.9,315.4,401.8,111.6,500.6,785.6,99.2,1049.2,704.0,386.6,269.3,424.7,1127.5,726.0,50.3,348.2,1032.9,376.5,1343.3,128.2,14.3,762.7,306.6,1113.4,351.4,811.0,965.5,269.0,298.5,288.2,1118.7,0.0,317.6,163.5,532.8,229.0,334.6,408.6,987.9,111.2,715.5,146.6,82.1,16.0,877.7,312.7,79.6,407.3,297.1,1101.6,1297.2,407.5,68.1,435.1,275.6,208.0,309.4,214.4,864.2,155.9,305.0,332.0,265.3,1131.6,339.4,293.9,23.0,381.7,286.9,241.0,487.5,768.1,653.8,849.8,219.1,745.1,283.1,1221.5,481.6,68.3,1240.2,341.9,210.8,384.9,209.6,1215.3,218.8,3096.1,257.9,1326.1,229.2,284.4,146.4,1185.0,1264.4,1290.0,572.6,767.4,497.6,736.3,308.5,859.3,574.2,106.9,214.2,168.4,269.8,354.5,327.0,791.2,1148.3,604.4,688.6,348.3
IX,329.4,507.5,464.1,309.0,508.1,244.8,334.5,291.4,243.4,190.1,380.3,865.0,159.2,325.2,119.1,96.6,342.6,245.6,530.6,330.2,794.2,449.0,81.4,206.4,427.0,872.5,471.0,359.4,459.5,777.9,487.8,1088.3,276.1,326.8,507.7,417.9,858.4,460.3,658.1,710.5,224.1,300.8,222.8,863.7,317.5,0.0,180.6,277.8,340.3,336.9,153.6,835.0,293.3,455.7,309.0,327.1,333.6,622.7,58.4,322.9,152.3,141.5,846.6,1042.2,518.8,267.2,180.1,386.9,228.9,311.7,216.7,616.9,237.3,307.3,443.3,267.6,875.9,341.7,405.2,335.5,493.0,398.2,352.3,232.5,513.1,398.8,594.8,330.4,490.1,88.0,966.5,226.6,341.3,989.4,453.2,180.2,496.2,307.3,960.3,316.5,2841.1,195.0,1071.1,190.8,45.6,321.7,930.0,1009.4,1035.0,317.6,614.5,242.6,481.3,419.8,604.3,319.2,232.3,325.5,224.8,159.1,356.8,438.3,536.2,893.3,349.4,433.6,459.6
IY,420.8,458.8,550.6,400.4,599.5,336.2,421.0,110.7,335.5,281.5,161.2,956.4,250.6,232.5,151.8,238.2,243.4,337.0,622.0,231.0,885.6,540.4,223.0,105.7,513.5,963.9,562.4,182.1,410.8,869.3,439.1,1179.7,248.2,146.1,599.1,369.2,949.8,414.0,790.5,801.9,107.9,387.3,122.1,955.1,136.8,154.0,0.0,369.2,291.6,423.4,245.0,967.4,243.0,547.1,223.2,144.7,152.9,714.1,149.1,142.2,243.7,133.5,938.0,1133.6,470.1,86.5,271.5,338.2,46.9,398.2,303.2,700.6,244.7,393.8,394.6,354.1,968.0,428.2,356.5,154.8,444.3,349.5,303.6,323.9,604.5,490.2,686.2,281.7,581.5,119.5,1057.9,318.0,130.9,1080.8,404.5,47.2,447.5,272.2,1051.7,281.4,2932.5,94.3,1162.5,68.1,120.8,209.0,1021.4,1100.8,1126.4,409.0,746.9,313.3,572.7,371.1,695.7,410.6,51.6,276.8,257.2,106.2,443.3,389.6,627.6,984.7,440.8,525.0,410.9
IZ,306.1,795.3,763.2,31.1,269.6,221.5,633.6,502.7,548.1,200.0,553.2,323.9,135.9,624.3,358.9,384.0,635.4,222.3,334.6,623.0,394.7,425.7,368.8,403.5,726.1,392.3,447.7,574.1,758.6,411.0,786.9,426.6,575.2,538.1,116.6,717.0,330.5,761.8,301.8,450.8,402.1,587.5,419.9,336.5,528.8,299.8,391.9,0.0,639.4,636.0,163.5,236.8,592.4,326.8,608.1,536.7,544.9,426.7,356.2,534.2,129.0,358.6,353.6,380.5,817.9,478.5,190.0,686.0,406.9,610.8,515.8,303.3,536.4,606.4,742.4,571.5,312.3,640.8,704.3,546.8,792.1,697.3,651.4,209.2,335.1,120.9,398.8,629.5,212.2,326.6,321.7,45.1,522.9,323.5,752.3,391.5,795.3,606.4,298.6,615.6,2663.1,392.1,409.4,368.8,290.8,601.0,285.2,347.7,373.3,294.3,327.5,219.3,203.4,718.9,298.4,41.3,443.6,624.6,523.9,356.2,655.9,737.4,258.3,295.6,71.5,352.7,758.7
JE,676.3,167.1,397.5,655.9,855.0,591.7,267.9,204.0,176.8,537.0,268.4,1118.0,506.1,148.3,400.7,432.8,248.5,592.5,877.5,236.1,1047.2,795.9,428.3,419.1,360.4,1125.5,817.9,265.3,166.2,1030.9,147.4,1341.3,63.9,253.3,854.6,77.5,1111.4,167.0,746.7,1057.4,418.8,234.2,435.5,1210.6,244.0,346.8,313.3,624.7,0.0,270.3,500.5,923.6,199.2,802.6,78.3,168.2,260.1,969.6,340.0,222.4,499.2,423.1,1193.5,1295.2,225.5,217.9,527.0,93.6,357.8,245.1,150.1,963.8,91.6,240.7,150.0,201.0,1128.9,275.1,111.9,262.0,199.7,57.8,59.0,579.4,860.0,745.7,941.7,37.1,837.0,369.6,1219.5,573.5,182.4,1242.4,159.9,360.6,202.9,156.3,1213.3,165.5,3050.1,407.7,1324.1,379.0,392.5,119.8,1183.0,1262.4,1288.0,664.5,703.1,589.5,828.2,126.5,951.2,666.1,256.7,14.7,104.1,419.6,290.2,145.0,883.1,1146.3,696.3,780.5,119.2
JI,674.2,458.8,127.1,653.8,852.9,589.6,111.8,314.2,93.4,534.9,331.6,1115.9,504.0,276.5,398.6,430.7,293.9,590.4,875.4,281.5,1045.1,793.8,426.2,485.9,90.0,1123.4,815.8,310.7,410.8,1028.8,439.1,1339.2,227.4,346.7,852.5,369.2,1109.3,411.6,744.6,1055.3,503.6,55.7,502.3,1208.5,354.2,344.7,423.5,622.6,291.6,0.0,498.4,921.5,244.6,800.5,260.3,278.4,370.3,967.5,337.9,332.6,497.1,421.0,1191.4,1293.1,470.1,328.1,524.9,338.2,468.0,25.1,120.1,961.7,188.6,84.6,394.6,69.2,1126.8,4.7,356.5,338.0,444.3,349.5,303.6,577.3,857.9,743.6,939.6,281.7,834.9,367.5,1217.4,571.4,292.6,1240.3,404.5,470.8,447.5,258.6,1211.2,267.8,3048.0,474.5,1322.0,470.3,390.4,273.0,1180.9,1260.3,1285.9,662.4,701.0,587.4,826.1,371.1,949.1,664.0,366.9,276.8,176.1,438.6,19.8,389.6,881.0,1144.2,694.2,778.4,410.9
