from_stop,AA,AK,AM,AQ,AW,BB,BG,BH,BN,BP,BT,BW,BX,BY,BZ,CC,CF,CJ,CK,CM,DF,DN,DW,DX,EB,FB,FE,FS,FW,GQ,GX,HE,HR,HV,HW,IB,IC,IG,IJ,IL,IM,IP,IV,IX,IZ,JC,JD,JH,JJ,JK,JR,KB,KJ,KP,LF,LP,MB,MF,ML,MN,MT,MW,NA,NI,NK,NP,NQ,NR,NS,NX,OI,OJ,OM,OO,PB,PP,PT,PX,QF,QN,QZ,RB,RF,RV,SA,SC,SD,SH,SJ,SK,SV,TD,TQ,TS,TV,UB,UD,UH,UO,UW,VF,VI,VN,VP,VU,VZ,WR,WV,WX,XK,XO,XQ,XR,XY,YF,YI,YL,YN,YW,ZS,ZV
FE,512.7,368.4,542.6,51.5,623.5,815.0,754.8,726.8,759.9,829.4,764.6,298.8,640.8,302.2,637.8,568.3,896.7,383.6,711.2,542.7,209.8,596.8,140.6,593.6,314.0,782.1,0.0,430.6,751.2,335.4,205.6,216.5,771.4,733.6,784.6,206.0,663.8,804.3,759.5,706.6,562.3,288.7,618.6,40.3,443.2,544.2,101.0,643.8,662.2,642.4,470.8,709.0,765.3,263.6,2136.4,668.4,321.1,581.7,827.7,827.1,558.4,687.2,552.4,661.9,834.7,417.3,415.0,610.6,275.9,330.7,463.8,806.0,163.1,601.3,388.1,812.9,757.6,716.3,423.2,227.3,588.3,787.0,733.2,675.3,768.8,130.6,567.4,730.2,778.0,535.0,465.3,808.4,371.8,241.3,434.5,207.2,363.7,818.2,336.1,420.4,244.3,652.0,802.3,413.7,524.4,589.9,563.0,456.3,214.0,765.6,556.9,310.2,752.1,250.1,600.8,300.7,671.5,529.0,466.4,537.9,803.6
FS,156.1,113.5,209.1,460.5,775.1,458.4,792.6,878.4,848.0,472.8,838.4,274.0,792.4,502.1,789.4,719.9,540.1,98.3,862.8,694.3,365.2,240.2,473.9,745.2,289.2,942.8,414.1,0.0,902.8,162.8,387.5,439.6,839.9,872.8,428.0,361.4,815.4,914.4,911.1,858.2,205.7,488.6,770.2,454.4,117.6,187.6,400.9,795.4,813.8,794.0,114.2,352.4,904.1,463.5,2309.8,820.0,521.0,225.1,471.1,826.2,710.0,330.6,195.8,813.5,478.1,64.6,58.4,762.2,475.8,530.6,107.2,449.4,404.6,244.7,62.5,456.3,401.0,867.9,97.6,427.2,739.9,821.3,884.8,826.9,896.6,371.3,719.0,906.9,421.4,250.0,139.7,788.9,72.9,441.2,3.8,469.1,74.6,852.5,311.3,356.4,432.6,803.6,445.7,362.7,259.9,741.5,714.6,99.7,344.4,782.2,708.5,181.7,795.1,450.0,752.4,499.9,823.1,172.4,140.8,181.3,447.0
FW,887.2,926.4,940.2,877.1,566.2,558.3,153.6,224.2,227.6,570.5,218.0,983.6,583.5,616.9,451.6,192.8,637.8,911.2,89.1,220.6,670.8,950.5,794.6,177.3,969.5,322.4,825.6,902.9,0.0,971.7,693.1,745.2,78.2,252.4,479.4,667.0,136.5,294.0,256.9,449.5,840.7,577.7,432.4,865.9,1007.1,918.7,926.7,377.1,138.1,139.8,845.3,1010.2,14.0,606.9,2198.1,82.7,608.4,758.6,568.8,173.2,534.3,783.6,926.9,138.4,578.0,877.5,831.0,130.5,594.6,587.4,838.3,458.0,710.2,739.0,952.0,556.2,496.4,84.0,987.1,643.2,172.0,200.9,547.0,489.1,21.5,982.0,189.0,286.5,521.3,764.3,1029.2,168.5,935.7,629.2,906.8,774.7,883.5,232.1,949.0,870.7,738.2,148.3,461.7,877.0,774.2,532.6,198.1,830.8,655.0,143.2,196.4,994.6,156.1,620.4,378.1,569.4,478.7,736.2,1030.3,802.4,544.7
GQ,257.1,158.3,287.0,362.6,672.1,559.4,803.4,775.4,808.5,573.8,813.2,180.7,689.4,399.1,686.4,616.9,641.1,173.5,759.8,591.3,262.2,341.2,370.9,642.2,195.9,830.7,311.1,175.0,799.8,0.0,284.5,336.6,820.0,782.2,529.0,258.4,712.4,852.9,808.1,755.2,306.7,385.6,667.2,351.4,187.6,288.6,307.6,692.4,710.8,691.0,215.2,453.4,813.9,360.5,2206.8,717.0,418.0,326.1,572.1,875.7,607.0,431.6,296.8,710.5,579.1,169.6,159.4,659.2,372.8,427.6,208.2,550.4,301.6,345.7,132.5,557.3,502.0,764.9,167.6,324.2,636.9,835.6,781.8,723.9,817.4,287.8,616.0,778.8,522.4,351.0,209.7,857.0,116.2,338.2,178.9,366.1,108.1,866.8,218.0,302.3,329.6,700.6,546.7,295.6,360.9,638.5,611.6,200.7,241.4,814.2,605.5,100.1,800.7,347.0,649.4,397.0,720.1,273.4,210.8,282.3,548.0
GX,591.4,552.8,621.3,302.7,488.9,893.7,620.2,592.2,625.3,908.1,630.0,511.2,506.2,167.6,503.2,433.7,975.4,537.6,576.6,408.1,132.1,675.5,107.6,459.0,526.4,647.5,264.8,509.3,616.6,414.1,0.0,52.0,636.8,599.0,863.3,135.9,529.2,669.7,624.9,572.0,641.0,154.1,484.0,305.1,521.9,622.9,313.4,509.2,527.6,507.8,549.5,787.7,630.7,129.0,2035.3,533.8,186.5,660.4,906.4,692.5,443.5,765.9,631.1,527.3,913.4,503.9,493.7,476.0,141.3,196.1,542.5,884.7,141.8,680.0,466.8,891.6,836.3,581.7,501.9,92.7,453.7,652.4,598.6,540.7,634.2,343.0,432.8,595.6,856.7,685.3,544.0,673.8,450.5,106.7,513.2,81.5,442.4,683.6,548.5,632.8,45.0,517.4,881.0,626.1,695.2,455.3,428.4,535.0,153.4,631.0,422.3,514.3,617.5,115.5,466.2,166.1,536.9,607.7,545.1,616.6,882.3
HE,580.0,528.7,609.9,250.6,477.5,882.3,608.8,580.8,613.9,896.7,618.6,459.1,494.8,156.2,491.8,422.3,964.0,526.2,565.2,396.7,120.7,664.1,88.3,447.6,474.3,636.1,238.6,497.9,605.2,402.7,131.3,0.0,625.4,587.6,851.9,124.5,517.8,658.3,613.5,560.6,634.1,146.6,472.6,261.8,510.5,611.5,261.3,497.8,516.2,496.4,538.1,776.3,619.3,117.2,2023.9,522.4,163.9,649.0,895.0,681.1,391.4,754.5,619.7,515.9,902.0,492.5,482.3,464.6,129.9,184.7,531.1,873.3,130.4,668.6,455.4,880.2,824.9,570.3,490.5,81.3,442.3,641.0,587.2,529.3,622.8,316.6,421.4,584.2,845.3,673.9,532.6,662.4,439.1,95.3,501.8,55.3,431.0,672.2,496.4,580.7,33.6,506.0,869.6,574.0,683.8,443.9,417.0,523.6,142.0,619.6,410.9,470.5,606.1,104.1,454.8,154.1,525.5,596.3,533.7,605.2,870.9
HR,808.9,848.1,861.9,844.7,487.9,480.0,75.3,302.5,149.3,492.2,139.7,905.3,505.2,584.5,419.2,199.1,559.5,832.9,50.1,226.9,638.4,872.2,762.2,167.7,891.2,244.1,793.2,824.6,78.2,893.4,660.7,712.8,0.0,174.1,401.1,634.6,97.5,215.7,335.2,417.1,762.4,545.3,400.0,833.5,928.8,840.4,894.3,298.8,99.1,218.1,767.0,931.9,64.1,574.9,2165.7,161.0,576.0,680.3,490.5,94.9,501.9,705.3,848.6,99.4,499.7,799.2,752.7,208.8,562.2,555.0,760.0,379.7,677.8,660.7,873.7,477.9,418.1,45.0,908.8,610.8,173.0,122.6,514.6,456.7,56.6,949.6,190.2,208.2,443.0,686.0,950.9,90.2,857.4,596.8,828.5,742.3,805.2,153.8,870.7,792.4,705.8,109.3,383.4,798.7,695.9,454.3,204.4,752.5,622.6,64.9,195.5,916.3,77.8,588.0,345.7,537.0,446.3,657.9,952.0,724.1,466.4
HV,829.9,869.1,882.9,945.1,313.7,501.0,134.9,438.6,26.2,513.2,30.9,926.3,331.0,684.9,398.9,280.1,580.5,853.9,232.4,254.5,738.8,893.2,856.4,305.4,912.2,174.8,893.6,845.6,260.5,914.4,761.1,813.2,182.2,0.0,422.1,735.0,240.9,146.4,471.3,396.8,778.9,648.6,379.8,933.9,949.8,861.4,994.7,124.6,242.5,354.2,788.0,952.9,246.4,674.9,2266.1,343.3,666.0,701.3,511.5,168.5,501.3,726.3,869.6,242.8,520.7,820.2,773.7,322.4,662.6,655.4,781.0,400.7,778.2,681.7,894.7,498.9,439.1,227.3,929.8,711.2,300.1,53.3,494.3,436.4,238.9,1102.1,279.2,34.0,464.0,707.0,971.9,69.5,878.4,697.2,849.5,842.7,826.2,84.5,891.7,813.4,806.2,252.7,404.4,819.7,716.9,280.1,274.8,773.5,723.0,124.5,268.7,937.3,137.4,688.4,325.4,637.4,361.7,678.9,973.0,745.1,487.4
HW,407.7,446.9,460.7,759.3,758.5,78.8,364.5,713.7,419.9,91.0,410.3,504.1,775.8,831.5,761.8,572.1,158.3,431.7,462.0,599.9,694.6,471.0,803.3,540.7,490.0,514.7,743.5,423.4,490.1,492.2,716.9,769.0,411.8,444.7,0.0,690.8,470.5,486.3,746.4,759.7,361.2,818.0,742.6,770.5,527.6,439.2,699.7,569.4,472.1,629.3,365.8,530.7,476.0,792.9,2508.3,572.9,840.0,279.1,89.3,398.1,844.5,304.1,447.4,472.4,98.5,398.0,351.5,597.5,805.2,860.0,358.8,21.4,734.0,259.5,472.5,76.7,16.9,456.9,507.6,756.6,546.0,393.2,857.2,799.3,468.5,679.9,563.2,478.8,41.8,284.8,549.7,360.8,456.2,770.6,427.3,798.5,404.0,424.4,469.5,391.2,762.0,482.3,17.7,397.5,294.7,724.9,577.4,351.3,673.8,354.1,568.5,515.1,367.0,779.4,688.3,829.4,806.5,256.7,550.8,322.9,65.2
IB,455.4,416.8,485.3,250.3,449.3,757.7,580.6,552.6,585.7,772.1,590.4,458.9,466.6,140.6,463.6,394.1,839.4,401.6,537.0,368.5,3.7,539.5,133.7,419.4,474.1,607.9,198.8,373.3,577.0,278.1,26.0,78.1,597.2,559.4,727.3,0.0,489.6,630.1,585.3,532.4,505.0,127.1,444.4,239.1,385.9,486.9,299.9,469.6,488.0,468.2,413.5,651.7,591.1,102.0,1957.8,494.2,159.5,524.4,770.4,652.9,384.2,629.9,495.1,487.7,777.4,367.9,357.7,436.4,114.3,169.1,406.5,748.7,43.1,544.0,330.8,755.6,700.3,542.1,365.9,65.7,414.1,612.8,559.0,501.1,594.6,329.5,393.2,556.0,720.7,549.3,408.0,634.2,314.5,79.7,377.2,107.6,306.4,644.0,496.2,580.5,71.1,477.8,745.0,573.8,559.2,415.7,388.8,399.0,17.4,591.4,382.7,378.3,577.9,88.5,426.6,139.1,497.3,471.7,409.1,480.6,746.3
IC,880.0,919.2,933.0,775.1,406.1,551.1,107.7,243.1,220.4,563.3,210.8,976.4,423.4,514.9,349.6,101.5,630.6,904.0,47.3,129.3,568.8,943.3,692.6,70.1,962.3,315.2,723.6,895.7,126.5,813.7,591.1,643.2,107.5,245.2,472.2,565.0,0.0,286.8,275.8,347.5,829.0,478.6,330.4,763.9,921.5,911.5,824.7,369.9,1.5,158.7,838.1,1003.0,112.4,504.9,2096.1,184.7,496.0,751.4,561.6,180.0,432.3,776.4,919.7,1.9,570.8,870.3,823.8,126.9,492.6,485.4,831.1,450.8,608.2,731.8,866.4,549.0,489.2,52.4,901.5,541.2,75.4,193.7,445.0,387.1,104.9,854.3,92.6,279.3,514.1,757.1,943.6,161.3,850.1,527.2,899.6,672.7,876.3,224.9,941.8,863.5,636.2,11.7,454.5,869.8,767.0,372.5,106.8,823.6,553.0,118.5,97.9,913.9,105.0,518.4,276.1,466.7,376.7,729.0,944.7,795.2,537.5
IG,860.7,899.9,913.7,988.5,412.2,531.8,165.7,514.9,75.4,544.0,65.8,957.1,429.5,728.3,497.4,373.3,611.3,884.7,263.2,353.0,782.2,924.0,906.0,341.9,943.0,28.3,937.0,876.4,291.3,945.2,804.5,856.6,213.0,100.2,452.9,778.4,271.7,0.0,547.6,495.3,809.7,689.1,478.3,977.3,980.6,892.2,1038.1,196.3,273.3,430.5,818.8,983.7,277.2,718.7,2309.5,374.1,720.6,732.1,542.3,199.3,599.8,757.1,900.4,273.6,551.5,851.0,804.5,398.7,706.0,698.8,811.8,431.5,821.6,712.5,925.5,529.7,469.9,258.1,960.6,754.6,347.2,84.1,592.8,534.9,269.7,1132.9,364.4,134.3,494.8,737.8,1002.7,100.3,909.2,740.6,880.3,886.1,857.0,115.3,922.5,844.2,849.6,283.5,435.2,850.5,747.7,378.6,373.3,804.3,766.4,155.3,367.2,968.1,168.2,731.8,423.9,680.8,460.2,709.7,1003.8,775.9,518.2
IJ,1089.3,1027.8,1142.3,850.5,481.5,760.4,328.7,19.6,429.7,772.6,420.1,1069.9,498.8,590.3,425.0,166.2,839.9,1012.6,268.3,194.0,644.2,1152.6,768.0,150.7,1085.1,524.5,799.0,984.3,202.0,889.1,666.5,718.6,280.3,454.5,681.5,640.4,220.9,496.1,0.0,422.9,1042.8,554.0,405.8,839.3,996.9,1120.8,900.1,579.2,219.3,70.2,1047.4,1212.3,216.1,580.3,2171.5,119.2,571.4,960.7,770.9,375.3,507.7,985.7,1129.0,219.0,780.1,978.9,968.7,103.9,568.0,560.8,1040.4,660.1,683.6,941.1,941.8,758.3,698.5,273.4,976.9,616.6,145.4,403.0,520.4,462.5,223.6,955.4,162.4,488.6,723.4,966.4,1019.0,370.6,925.5,602.6,988.2,748.1,917.4,434.2,1151.1,1072.8,711.6,209.1,663.8,1079.1,976.3,447.9,171.5,1032.9,628.4,339.5,169.8,989.3,326.0,593.8,351.5,542.8,452.1,938.3,1020.1,1004.5,746.8
IL,885.4,846.8,915.3,669.5,363.1,831.3,387.9,484.4,500.6,843.5,491.0,888.9,380.4,409.3,148.9,325.9,910.8,831.6,359.2,300.3,463.2,969.5,587.0,351.2,904.1,595.4,618.0,803.3,438.4,708.1,485.5,537.6,419.4,525.4,752.4,459.4,327.7,567.0,517.1,0.0,939.5,370.1,129.7,658.3,815.9,916.9,719.1,401.4,329.3,400.0,843.5,1081.7,424.3,399.7,1990.5,426.0,400.8,954.4,841.8,460.2,251.3,1056.6,925.1,329.6,851.0,797.9,787.7,368.2,387.0,379.8,836.5,731.0,502.6,974.0,760.8,829.2,769.4,364.3,795.9,435.6,345.9,473.9,244.3,186.4,416.8,774.4,325.0,559.5,794.3,979.3,838.0,441.5,744.5,421.6,807.2,567.1,736.4,505.1,926.2,1010.5,530.6,339.5,734.7,1003.8,989.2,329.5,320.6,829.0,447.4,398.7,314.5,808.3,385.2,412.8,75.4,361.8,279.3,901.7,839.1,910.6,817.7
IM,208.7,243.4,257.2,594.9,905.5,385.9,720.1,1008.8,780.0,400.3,765.9,396.8,918.3,632.5,915.3,845.8,472.1,228.2,817.6,824.7,491.1,114.2,593.6,871.1,387.2,870.3,540.0,219.9,850.2,288.7,513.4,570.0,771.9,800.3,360.0,487.3,826.1,841.9,1041.5,984.1,0.0,618.4,896.1,584.8,324.1,166.8,530.8,925.0,832.2,919.9,162.3,173.9,831.6,589.0,2435.7,928.5,635.7,95.6,403.1,753.7,835.9,201.1,154.1,828.0,405.6,194.5,152.5,888.1,601.7,656.5,155.3,376.9,530.5,115.2,269.0,388.3,328.5,812.5,304.1,553.1,865.8,748.8,1010.7,952.8,824.1,515.5,844.9,834.4,353.4,177.5,346.2,716.4,252.7,567.1,223.8,595.0,200.5,784.5,362.2,288.4,558.5,837.9,377.7,290.2,187.4,867.4,840.5,152.3,474.8,714.2,834.4,311.6,722.6,575.9,878.3,630.4,949.0,99.9,347.3,56.3,374.5
IP,569.7,531.1,599.6,331.4,330.8,872.0,464.9,434.1,467.2,886.4,474.7,573.2,350.9,121.7,345.1,278.4,953.7,515.9,421.3,250.0,114.5,653.8,235.6,303.7,592.5,492.2,275.8,487.6,458.5,392.4,121.0,177.2,481.5,440.9,826.6,114.2,373.9,514.4,466.8,416.7,623.8,0.0,325.9,320.2,500.2,601.2,376.9,353.9,369.5,352.5,531.9,766.0,475.4,25.4,1848.7,378.5,116.8,638.7,888.8,537.2,268.5,744.2,609.4,372.0,891.7,482.2,472.0,320.7,12.7,95.0,520.8,808.0,120.1,658.3,445.1,874.0,818.7,426.4,480.2,61.3,298.4,497.1,443.3,385.4,478.9,432.2,277.5,440.3,835.0,663.6,522.3,518.5,428.8,47.3,491.5,202.6,420.7,528.3,610.5,698.9,166.1,362.1,808.9,688.1,673.5,297.2,273.1,513.3,131.7,472.9,267.0,492.6,459.4,38.5,308.1,10.2,381.6,586.0,523.4,594.9,860.6
IV,826.7,788.1,856.6,610.8,304.4,820.2,376.8,425.7,489.5,832.4,480.1,830.4,321.9,350.8,19.0,267.4,899.7,772.9,348.1,241.6,404.7,910.8,522.1,292.5,845.6,481.0,559.5,744.6,427.3,649.4,426.8,478.9,408.3,514.3,741.5,400.7,316.6,555.9,458.6,155.7,876.5,314.3,0.0,599.8,757.4,858.2,660.6,342.9,318.2,341.5,784.8,1023.2,413.2,341.0,1931.8,367.5,331.9,895.9,830.9,449.1,192.6,1001.2,866.4,318.7,840.1,739.2,729.0,309.7,328.3,321.3,777.8,720.1,443.9,915.3,702.3,818.1,758.3,353.2,737.2,376.9,287.4,462.8,114.5,56.6,405.7,715.7,266.3,429.1,783.4,920.6,779.5,430.6,685.8,362.9,748.5,508.4,677.7,494.0,867.7,952.0,472.1,328.4,723.6,945.1,930.7,270.8,261.9,770.3,388.9,387.6,256.0,749.8,374.3,354.1,73.2,303.3,268.2,843.2,780.4,851.9,806.8
IX,530.0,328.1,582.9,11.2,663.8,832.3,795.1,767.1,800.2,846.7,804.9,258.5,681.1,342.5,678.1,608.6,914.0,343.3,751.5,583.0,250.1,614.1,180.9,633.9,273.7,822.4,40.3,433.9,791.5,348.4,245.9,256.8,811.7,773.9,801.9,246.3,704.1,844.6,799.8,746.9,584.1,329.0,658.9,0.0,483.5,561.5,60.7,684.1,702.5,682.7,488.1,726.3,805.6,303.5,2176.7,708.7,361.4,599.0,845.0,867.4,617.3,704.5,569.7,702.2,852.0,377.0,432.3,650.9,316.2,371.0,481.1,823.3,203.4,618.6,428.4,830.2,774.9,756.6,463.5,267.6,628.6,827.3,773.5,715.6,809.1,116.0,607.7,770.5,795.3,494.7,505.6,848.7,412.1,281.6,437.8,247.5,404.0,858.5,295.8,380.1,284.6,692.3,819.6,373.4,484.1,630.2,603.3,473.6,254.3,805.9,597.2,269.9,792.4,290.4,641.1,340.4,711.8,546.3,506.7,555.2,820.9
IZ,269.5,226.9,109.2,490.1,799.6,571.8,906.0,902.9,961.4,586.2,951.8,368.1,816.9,526.6,813.9,744.4,653.5,211.7,887.3,718.8,389.7,353.6,498.4,769.7,383.3,958.2,438.6,113.3,927.3,187.3,412.0,464.1,947.5,909.7,541.4,385.9,839.9,980.4,935.6,882.7,319.1,513.1,794.7,478.9,0.0,301.0,495.0,819.9,838.3,818.5,227.6,465.8,941.4,488.0,2334.3,844.5,545.5,338.5,584.5,939.6,734.5,444.0,309.2,838.0,591.5,178.0,171.8,786.7,500.3,555.1,220.6,562.8,429.1,358.1,55.0,569.7,514.4,892.4,19.9,451.7,764.4,934.7,909.3,851.4,944.9,465.4,743.5,906.3,534.8,363.4,22.0,902.3,81.0,465.7,109.7,493.6,123.2,965.9,405.4,469.8,457.1,828.1,559.1,476.1,373.3,766.0,739.1,213.1,368.9,895.6,733.0,287.5,908.5,474.5,776.9,524.4,847.6,285.8,23.1,294.7,560.4
JC,80.3,245.3,252.3,592.3,902.9,488.4,822.6,1006.2,878.0,502.8,868.4,405.8,920.2,629.9,917.2,847.7,570.1,230.1,920.1,822.1,493.0,52.5,601.7,873.0,421.0,972.8,541.9,221.8,948.2,290.6,515.3,567.4,869.9,902.8,458.0,489.2,928.6,944.4,1038.9,986.0,176.8,616.4,898.0,582.2,326.0,0.0,532.7,923.2,930.2,921.8,83.3,164.7,934.1,591.3,2437.6,947.8,648.8,255.1,501.1,856.2,837.8,360.6,8.2,930.5,508.1,196.4,149.9,890.0,603.6,658.4,90.3,479.4,532.4,274.7,270.9,486.3,431.0,915.0,306.0,555.0,867.7,851.3,1012.6,954.7,926.6,503.1,846.8,936.9,451.4,280.0,348.1,818.9,254.6,569.0,225.7,596.9,202.4,882.5,443.1,386.4,560.4,931.4,475.7,392.7,289.9,869.3,842.4,142.9,472.2,812.2,836.3,313.5,825.1,577.8,880.2,627.7,950.9,202.4,349.2,211.3,477.0
JD,469.2,267.3,522.2,59.5,697.9,771.5,829.2,801.2,834.3,785.9,839.0,197.7,715.2,413.3,712.2,642.7,853.2,282.5,785.6,617.1,320.9,553.3,251.7,668.0,212.9,856.5,111.0,373.1,825.6,287.6,316.7,297.0,845.8,808.0,741.1,317.1,738.2,878.7,833.9,781.0,523.3,403.7,693.0,70.7,475.3,500.7,0.0,718.2,736.6,716.8,427.3,665.5,839.7,374.3,2198.4,742.8,421.8,538.2,784.2,901.5,606.8,643.7,508.9,736.3,791.2,316.2,371.5,685.0,387.0,441.8,420.3,762.5,274.2,557.8,420.2,769.4,714.1,790.7,455.3,338.4,662.7,861.4,807.6,749.7,843.2,55.2,641.8,804.6,734.5,433.9,497.4,882.8,403.9,352.4,377.0,318.3,367.7,892.6,235.0,319.3,330.7,726.4,758.8,312.6,423.3,664.3,637.4,412.8,325.1,840.0,631.3,209.1,826.5,361.2,675.2,411.2,745.9,485.5,498.5,494.4,760.1
JH,966.5,1005.7,1019.5,847.2,215.8,637.6,271.5,340.7,162.8,649.8,167.5,1062.9,233.1,587.0,301.0,182.2,717.1,990.5,325.1,156.6,640.9,1029.8,764.7,207.5,1048.8,138.3,795.7,982.2,365.1,885.8,663.2,715.3,318.8,136.5,558.7,637.1,277.7,160.4,373.4,298.9,915.5,550.7,281.8,836.0,993.6,998.0,896.8,0.0,276.1,256.3,924.6,1089.5,379.2,577.0,2168.2,282.3,568.1,837.9,648.1,305.1,403.4,862.9,1006.2,275.8,657.3,956.8,910.3,224.5,564.7,557.5,917.6,537.3,680.3,818.3,938.5,635.5,575.7,330.2,973.6,613.3,202.2,189.9,396.4,338.5,375.5,926.4,181.3,133.1,600.6,843.6,1015.7,206.1,922.2,599.3,986.1,744.8,962.8,221.1,1028.3,950.0,708.3,265.9,541.0,956.3,853.5,182.2,176.9,910.1,625.1,261.1,170.8,986.0,274.0,590.5,227.5,538.8,263.8,815.5,1016.8,881.7,624.0
JJ,881.6,920.8,934.6,776.7,407.7,552.7,109.3,241.5,222.0,564.9,212.4,978.0,425.0,516.5,351.2,99.9,632.2,905.6,48.9,127.7,570.4,944.9,688.0,68.5,963.9,316.8,725.2,897.3,128.1,815.3,592.7,644.8,109.1,246.8,473.8,566.6,1.5,288.4,274.2,349.1,835.1,480.2,332.0,765.5,923.1,913.1,826.3,371.5,0.0,157.1,839.7,1004.6,114.0,506.5,2097.7,183.1,508.8,753.0,563.2,181.6,433.9,778.0,921.3,0.3,572.4,871.9,825.4,125.3,494.2,487.0,832.7,452.4,609.8,733.4,868.0,550.6,490.8,54.0,903.1,542.8,73.8,195.3,446.6,388.7,106.5,881.6,91.0,280.9,515.7,758.7,945.2,162.9,851.7,528.8,901.2,674.3,877.9,226.5,943.4,865.1,637.8,10.2,456.1,871.4,768.6,374.1,105.2,825.2,554.6,120.1,96.3,915.5,106.6,520.0,277.7,469.0,378.3,730.6,946.3,796.8,539.1
JK,1019.1,957.6,1072.1,780.3,411.3,690.2,258.5,84.3,359.5,702.4,349.9,999.7,428.6,520.1,354.8,96.0,769.7,942.4,198.1,123.8,574.0,1082.4,697.8,80.5,1014.9,454.3,728.8,914.1,131.8,818.9,596.3,648.4,210.1,384.3,611.3,570.2,150.7,425.9,117.1,352.7,968.1,483.8,335.6,769.1,926.7,1050.6,829.9,509.0,149.1,0.0,977.2,1142.1,145.9,510.1,2101.3,49.0,501.2,890.5,700.7,305.1,437.5,915.5,1058.8,148.8,709.9,908.7,898.5,33.7,497.8,490.6,970.2,589.9,613.4,870.9,871.6,688.1,628.3,203.2,906.7,546.4,75.2,332.8,450.2,392.3,153.4,859.5,92.2,418.4,653.2,896.2,948.8,300.4,855.3,532.4,918.0,677.9,847.2,364.0,1080.9,1002.6,641.4,138.9,593.6,1008.9,906.1,377.7,101.3,962.7,558.2,269.3,99.6,919.1,255.8,523.6,281.3,471.9,381.9,868.1,949.9,934.3,676.6
JR,41.8,161.9,168.9,508.9,819.5,405.0,739.2,922.8,794.6,419.4,785.0,322.4,836.8,546.5,833.8,764.3,486.7,146.7,836.7,738.7,409.6,125.9,512.1,789.6,337.6,889.4,458.5,138.4,864.8,207.2,431.9,484.0,786.5,819.4,374.6,405.8,845.2,861.0,955.5,902.6,152.3,536.9,814.7,498.8,242.6,73.3,449.3,839.8,846.8,838.4,0.0,238.1,850.7,507.9,2354.2,864.4,554.2,171.7,417.7,772.8,754.4,277.2,81.5,847.1,424.7,113.0,66.5,806.6,520.2,575.0,6.9,396.0,449.0,191.3,187.5,402.9,347.6,831.6,222.6,471.6,784.3,767.9,929.2,871.3,843.2,429.5,763.4,853.5,368.0,196.6,264.7,735.5,171.2,485.6,142.3,513.5,119.0,799.1,359.7,303.0,477.0,848.0,392.3,309.3,206.5,785.9,759.0,59.5,388.8,728.8,752.9,230.1,741.7,494.4,796.8,544.4,867.5,119.0,265.8,127.9,393.6
KB,236.3,398.6,408.3,745.6,1056.2,541.1,875.3,1159.5,930.7,555.5,921.1,552.0,1073.5,783.2,1070.5,1001.0,622.8,383.4,972.8,975.4,646.3,103.3,755.0,1026.3,537.9,1025.5,695.2,375.1,1000.9,443.9,668.6,720.7,922.6,955.5,510.7,642.5,981.3,997.1,1192.2,1139.3,155.1,769.7,1051.3,735.5,479.3,155.9,686.0,1080.2,982.9,1075.1,239.3,0.0,986.8,744.6,2590.9,1083.7,802.1,250.8,553.8,908.9,991.1,356.3,147.7,983.2,560.8,349.7,303.2,1043.3,756.9,811.7,246.3,532.1,685.7,270.4,424.2,539.0,483.7,967.7,459.3,708.3,1021.0,904.0,1165.9,1108.0,979.3,656.4,1000.1,989.6,504.1,332.7,501.4,871.6,407.9,722.3,379.0,750.2,355.7,935.2,517.4,439.1,713.7,993.1,528.4,445.4,342.6,1022.6,995.7,298.9,625.5,864.9,989.6,466.8,877.8,731.1,1033.5,781.0,1104.2,255.1,502.5,207.0,529.7
KJ,873.1,912.3,926.1,869.6,552.1,544.2,139.5,238.3,213.5,556.4,203.9,969.5,569.4,609.4,444.1,206.9,623.7,897.1,75.0,234.7,663.3,936.4,787.1,191.4,955.4,308.3,818.1,888.8,14.0,957.6,685.6,737.7,64.1,238.3,465.3,659.5,122.4,279.9,271.0,442.0,822.1,573.1,424.9,858.4,993.0,904.6,919.2,363.0,124.0,153.9,831.2,996.1,0.0,599.4,2190.6,96.8,590.5,744.5,554.7,159.1,526.8,769.5,912.8,124.3,563.9,863.4,816.9,144.6,587.1,579.9,824.2,443.9,702.7,724.9,937.9,542.1,482.3,69.9,973.0,635.7,186.1,186.8,539.5,481.6,7.4,948.8,203.1,272.4,507.2,750.2,1015.1,154.4,921.6,621.7,892.7,767.2,869.4,218.0,934.9,856.6,730.7,134.2,447.6,862.9,760.1,518.5,212.2,816.7,647.5,129.1,210.5,980.5,142.0,612.9,370.6,561.2,471.2,722.1,1016.2,788.3,530.6
