from_stop,AN,AP,AR,BK,BN,BR,BS,BU,CJ,CK,DI,DK,DL,DV,DY,EE,EG,ES,EY,FE,FP,FU,GT,GU,GW,HF,HJ,HX,IC,IG,IJ,IZ,JK,JS,JT,JY,KA,KB,KE,KJ,KL,KP,KV,LI,LJ,LN,LV,MA,MB,ML,NJ,NT,OC,OM,OO,PK,PQ,PT,QC,QE,QF,QN,QU,RI,RM,RO,RQ,RU,SD,SG,SP,SR,SZ,TQ,TW,TZ,UB,UY,UZ,VM,WD,WE,WJ,WP,WS,WV,XE,XO,XX,YF,YJ,YQ,YY,ZG,ZQ,ZR,ZT,ZU
JS,139.4,114.9,305.2,105.7,385.1,70.4,76.5,299.3,125.2,221.2,1386.2,167.5,383.5,328.7,211.5,44.5,139.4,285.3,295.3,266.8,39.9,88.2,297.0,1.6,245.0,276.6,283.8,245.9,56.3,90.7,162.7,313.6,149.2,0.0,79.1,263.8,249.3,110.9,221.9,103.9,262.1,89.6,47.4,89.7,196.6,78.0,72.5,24.0,134.6,96.0,93.4,212.1,174.5,236.7,66.8,136.4,123.4,202.4,74.0,110.1,139.4,104.2,334.4,114.7,96.2,1.1,162.9,190.5,122.6,67.8,115.3,226.8,176.6,341.5,181.2,105.4,359.2,275.5,266.8,27.0,250.9,36.0,241.4,116.3,300.3,102.0,250.9,203.4,97.6,43.6,252.8,208.2,102.4,308.1,304.6,167.4,39.5,206.6
JT,80.1,175.6,361.2,134.6,445.8,69.8,81.1,360.0,47.9,281.9,1484.6,161.6,444.2,384.7,272.2,142.9,102.5,341.3,351.3,322.8,48.0,106.5,367.0,96.6,305.7,355.3,362.5,301.9,117.0,142.7,103.4,369.6,89.9,112.5,0.0,319.8,310.0,118.6,277.9,125.6,340.8,150.3,40.5,108.0,257.3,68.7,124.5,94.0,195.3,185.0,80.5,272.8,235.2,292.7,165.2,197.1,86.5,263.1,47.4,160.7,80.1,163.4,413.1,211.4,168.5,111.4,103.6,177.4,174.6,127.1,176.0,282.8,117.3,397.5,121.9,151.1,419.9,331.5,327.5,97.0,306.9,88.0,297.4,114.1,361.0,162.7,306.9,259.4,145.8,142.0,308.8,268.9,120.7,368.8,360.6,228.1,100.2,262.6
JY,367.7,287.3,67.1,325.0,213.0,277.6,251.6,80.3,328.7,132.5,1407.0,418.3,166.2,103.0,149.2,306.4,399.7,67.8,49.7,68.3,299.8,323.0,128.4,260.1,134.1,105.1,98.7,150.8,265.1,199.9,371.0,120.8,335.7,261.8,311.4,0.0,104.4,371.2,55.6,364.2,120.4,266.0,307.3,324.5,165.8,253.1,215.5,238.9,306.2,173.8,353.7,133.6,282.6,120.7,328.7,308.8,383.7,154.0,358.9,185.6,360.3,220.7,131.6,155.9,358.1,263.0,351.2,449.9,172.6,251.0,217.7,123.9,404.9,106.6,400.6,315.1,141.9,76.0,135.1,236.1,108.2,258.1,90.9,392.8,181.3,274.4,81.7,154.0,309.8,305.5,97.9,146.2,337.2,71.5,111.8,217.7,301.4,146.6
KA,300.4,220.0,146.3,257.7,242.2,210.3,184.3,130.7,261.4,32.0,1402.9,351.0,221.6,169.8,81.9,239.1,332.4,116.0,135.3,107.7,232.5,255.7,168.8,192.8,107.0,134.9,142.1,121.2,197.8,132.6,303.7,154.7,268.4,194.5,244.1,104.9,0.0,303.9,63.0,296.9,120.4,198.7,240.0,257.2,73.4,185.8,148.2,171.6,230.4,106.5,286.4,66.3,178.1,109.1,261.4,241.5,316.4,49.5,291.6,119.3,291.5,153.4,192.7,88.6,290.8,195.7,283.9,382.6,105.3,183.7,155.7,49.9,337.6,182.6,333.3,247.8,197.3,116.4,102.8,168.8,74.0,161.2,106.6,325.5,138.4,207.1,91.8,99.3,242.5,238.2,75.9,41.7,269.9,139.5,145.7,150.4,234.1,29.7
KB,100.4,182.0,454.9,141.0,452.2,135.3,131.2,366.4,160.9,288.3,1471.3,141.0,450.6,469.0,278.6,129.6,112.9,426.9,436.9,408.4,161.0,105.9,416.0,120.6,312.1,361.7,368.9,359.4,123.4,194.3,146.5,432.6,202.9,118.9,112.9,382.8,316.4,0.0,340.9,6.9,347.2,156.7,153.5,107.4,263.7,175.8,168.4,143.0,201.7,236.6,17.4,279.2,241.6,355.7,151.9,203.5,96.9,269.5,47.5,213.7,193.1,171.3,419.5,262.5,167.9,117.8,164.5,164.0,225.7,134.9,182.4,366.4,115.3,481.8,116.2,157.5,426.3,417.1,333.9,146.0,390.5,201.0,383.0,89.8,367.4,169.1,392.5,322.4,152.2,128.7,392.4,275.3,120.1,375.2,423.6,234.5,106.6,346.2
KE,312.0,231.6,83.2,269.3,183.8,221.9,195.9,35.0,273.0,80.8,1377.8,362.6,137.0,106.7,93.5,250.7,344.0,109.7,91.6,110.2,244.1,267.3,170.3,204.4,125.9,75.9,69.5,127.7,209.4,144.2,315.3,91.6,280.0,206.1,255.7,41.8,48.7,315.5,0.0,308.5,91.2,210.3,251.6,268.8,110.1,197.4,159.8,183.2,250.5,118.1,298.0,77.9,226.9,115.6,273.0,253.1,328.0,98.3,303.2,130.9,304.6,165.0,102.4,100.2,302.4,207.3,295.5,394.2,116.9,195.3,162.0,79.5,349.2,119.5,344.9,259.4,112.7,117.9,39.1,180.4,73.3,202.4,57.4,337.1,157.3,218.7,66.9,82.3,254.1,249.8,139.8,90.5,281.5,31.1,82.6,162.0,245.7,59.3
KJ,93.4,175.0,447.9,134.0,445.2,128.3,124.2,359.4,167.9,281.3,1464.3,134.0,443.6,462.0,271.6,122.6,105.9,419.9,429.9,401.4,115.8,98.9,409.0,113.6,305.1,354.7,361.9,352.4,116.4,187.3,139.5,425.6,209.9,111.9,119.9,375.8,309.4,6.9,333.9,0.0,340.2,149.7,160.5,100.4,256.7,168.8,161.4,136.0,194.7,229.6,10.4,272.2,234.6,348.7,144.9,196.5,89.9,262.5,40.5,206.7,200.1,164.3,412.5,255.5,160.9,110.8,157.5,157.0,218.7,127.9,175.4,359.4,108.3,474.8,109.2,150.5,419.3,410.1,326.9,139.0,383.5,155.2,376.0,82.8,360.4,162.1,385.5,315.4,145.2,121.7,385.4,268.3,113.1,368.2,416.6,227.5,99.6,339.2
KL,392.0,246.1,107.6,255.8,171.1,301.9,275.9,104.6,353.0,110.5,1286.5,442.6,124.3,121.7,120.4,330.7,378.9,208.4,165.1,189.9,324.1,347.3,251.0,284.4,60.4,14.4,21.6,207.7,289.4,224.2,395.3,143.0,360.0,286.1,335.7,115.3,128.7,350.4,79.9,343.4,0.0,201.6,331.6,348.8,106.8,277.4,239.8,263.2,247.7,198.1,332.9,157.9,195.4,195.6,353.0,267.6,362.9,100.9,313.5,209.9,384.6,245.0,72.2,180.2,310.0,287.3,375.5,474.2,196.9,275.3,242.0,188.6,381.3,134.5,424.9,272.3,82.5,198.6,119.1,260.4,180.4,282.4,164.5,355.8,106.2,233.2,174.0,162.3,267.0,329.8,214.6,93.1,361.5,95.8,115.6,242.0,254.7,168.4
KP,164.7,44.4,298.1,54.1,295.4,197.7,201.4,209.6,252.5,131.5,1377.3,205.3,293.8,312.2,121.8,100.3,177.2,270.1,280.1,251.6,167.2,118.5,312.7,151.9,155.3,204.9,212.1,202.6,68.3,99.2,210.8,333.5,276.5,153.6,206.4,251.5,159.6,148.7,239.8,141.7,190.4,0.0,174.7,120.0,106.9,202.9,120.6,133.7,46.0,123.6,131.2,122.4,101.7,268.8,122.6,65.9,161.2,112.7,111.8,118.6,266.7,53.7,262.7,105.7,108.3,108.5,228.8,228.3,68.9,79.8,25.6,209.6,179.6,325.0,180.5,70.6,269.5,260.3,177.1,136.7,233.7,125.5,226.2,154.1,210.6,31.5,235.7,191.1,65.3,99.4,235.6,118.5,132.7,218.4,292.3,77.7,53.0,189.4
KV,91.9,189.4,334.6,163.5,442.9,44.6,40.5,357.1,77.7,279.0,1444.0,173.4,441.3,358.1,269.3,102.3,134.2,314.7,324.7,296.2,7.5,82.4,326.4,56.0,302.8,334.4,341.6,275.3,100.6,102.1,115.2,343.0,101.7,57.7,31.6,293.2,307.1,150.3,251.3,157.3,319.9,147.4,0.0,83.9,254.4,85.1,83.9,53.4,192.4,144.4,112.2,269.9,232.3,266.1,124.6,210.9,118.2,260.2,79.1,121.5,91.9,122.8,392.2,170.8,144.4,58.9,115.4,189.2,134.0,86.5,158.4,256.2,129.1,370.9,133.7,172.1,417.0,304.9,324.6,56.4,280.3,47.4,270.8,125.9,358.1,176.5,280.3,232.8,155.4,101.4,282.2,266.0,96.6,282.5,334.0,225.2,97.3,236.0
LI,98.3,152.4,346.9,100.4,339.9,83.5,79.4,319.3,163.4,254.5,1363.3,138.9,363.6,361.0,244.8,104.6,110.8,370.3,380.3,351.8,71.0,2.5,383.3,126.2,275.6,253.7,260.9,330.9,89.6,159.0,144.4,382.3,180.3,124.5,110.2,348.8,282.6,82.3,306.9,75.3,239.2,122.9,78.5,0.0,229.9,124.0,140.8,110.3,167.9,201.3,64.8,245.4,207.8,321.7,58.0,173.9,94.8,235.7,45.4,178.4,170.5,137.5,311.5,227.7,59.3,123.4,194.0,161.9,190.9,101.1,148.6,311.8,113.2,373.8,114.1,87.0,321.8,360.5,300.1,113.3,335.9,104.3,326.4,87.7,277.4,135.4,335.9,288.4,92.3,79.0,337.8,241.5,11.6,328.1,389.6,200.7,72.8,291.6
LJ,335.5,167.5,216.3,177.2,230.4,245.4,219.4,121.2,296.5,41.3,1369.6,328.4,209.8,230.4,14.8,223.4,300.3,184.0,194.0,165.5,267.6,241.6,226.6,227.9,95.2,123.1,130.3,194.7,232.9,167.7,338.8,251.0,303.5,229.6,279.2,156.2,73.4,271.8,149.1,264.8,108.6,123.0,275.1,243.1,0.0,220.9,183.3,206.7,169.1,141.6,254.3,101.4,116.8,182.6,245.7,189.0,284.3,55.6,234.9,154.4,328.1,188.5,180.9,123.7,231.4,230.8,319.0,351.4,140.4,218.8,185.5,123.4,302.7,243.2,307.1,193.7,185.5,174.2,91.0,203.9,147.5,225.9,140.1,277.2,126.6,154.6,149.6,105.8,188.4,222.5,149.4,47.9,255.8,127.7,197.0,185.5,176.1,103.2
LN,114.5,214.8,292.4,192.9,393.0,67.4,88.4,249.1,75.5,231.3,1480.2,165.1,346.2,315.9,231.8,138.5,160.8,272.5,282.5,254.0,84.4,116.1,315.1,92.2,302.9,285.1,278.7,233.1,175.3,127.4,117.8,300.8,82.5,93.9,58.2,251.0,203.2,176.9,209.1,183.9,300.4,208.6,76.9,117.6,248.4,0.0,160.9,71.0,253.6,83.2,138.8,182.5,293.5,223.9,160.8,236.3,144.8,252.8,105.7,113.1,105.6,148.2,311.6,101.9,178.1,95.1,98.0,196.7,141.9,163.5,187.0,214.0,151.7,328.7,147.4,205.8,321.9,262.7,230.3,68.2,238.1,124.4,228.6,139.6,341.7,201.9,238.1,190.6,191.6,137.6,240.0,245.0,130.3,240.3,291.8,201.8,158.5,193.8
LV,188.4,127.8,261.7,90.9,386.3,119.4,101.9,300.5,179.0,222.4,1461.6,268.6,384.7,285.2,212.7,119.9,213.9,241.8,251.8,223.3,88.9,137.2,284.4,73.6,246.2,295.8,303.0,202.4,72.2,40.5,211.7,270.1,186.0,75.3,128.1,220.3,250.5,185.4,178.4,178.4,281.3,90.8,96.4,138.7,197.8,103.4,0.0,89.2,135.8,82.8,167.9,213.3,175.7,193.2,142.2,149.3,197.9,203.6,175.6,59.9,188.4,61.2,353.6,109.2,171.6,76.5,201.5,285.7,72.4,58.1,96.8,183.3,225.6,298.0,230.2,107.4,360.4,232.0,268.0,86.4,207.4,47.2,197.9,222.4,301.5,114.9,207.4,159.9,102.1,119.0,209.3,209.4,151.4,209.6,261.1,168.6,114.9,163.1
MA,168.5,172.5,281.1,128.6,408.0,78.4,52.4,232.9,129.5,240.1,1409.1,219.1,406.4,304.6,234.4,67.4,162.3,261.2,271.2,242.7,54.4,102.7,272.9,21.1,267.9,299.5,306.7,221.8,79.2,85.2,171.8,289.5,136.5,22.8,93.6,239.7,272.2,133.8,197.8,126.8,285.0,112.5,61.9,104.2,219.5,53.9,67.0,0.0,157.5,71.9,116.3,233.9,197.4,212.6,89.7,194.0,146.3,225.3,96.9,103.2,161.1,105.9,357.3,90.6,119.1,24.0,152.0,250.7,117.1,69.6,138.2,202.7,205.7,317.4,201.4,128.3,382.1,251.4,289.7,3.0,226.8,46.6,217.3,139.2,323.2,159.6,226.8,179.3,120.5,66.5,228.7,231.1,116.9,229.0,280.5,190.3,62.4,182.5
MB,202.3,82.0,349.2,91.7,346.5,205.5,201.4,265.6,252.4,178.6,1457.0,242.9,344.9,363.3,172.9,137.9,214.8,321.2,331.2,302.7,186.4,156.1,363.8,148.9,206.4,256.0,263.2,253.7,105.9,114.3,248.4,384.6,284.8,147.2,204.4,310.2,210.7,186.3,290.9,179.3,241.5,76.5,193.9,157.6,158.0,225.3,123.3,171.3,0.0,156.6,168.8,172.4,50.4,319.9,160.2,103.5,198.8,163.8,149.4,132.3,321.2,91.3,313.8,164.4,145.9,146.1,266.4,265.9,127.6,117.4,80.7,260.7,217.2,376.1,218.1,108.2,320.6,311.4,228.2,174.3,284.8,144.7,272.2,191.7,261.7,69.1,286.8,249.8,102.9,137.0,286.7,169.6,170.3,269.5,351.0,128.8,90.6,240.5
ML,193.8,169.5,209.1,132.6,309.7,103.7,77.7,165.8,154.8,148.0,1474.2,244.4,262.9,232.6,148.5,132.5,225.8,189.2,199.2,170.7,125.9,149.1,231.8,86.2,219.6,201.8,195.4,149.8,91.2,82.2,197.1,217.5,161.8,87.9,137.5,167.7,119.9,197.3,125.8,190.3,217.1,132.5,133.4,150.6,165.1,79.2,41.6,65.0,177.5,0.0,179.8,99.2,217.4,140.6,154.8,191.0,209.8,169.5,185.0,29.8,184.9,102.9,228.3,18.6,184.2,89.1,177.3,276.0,58.6,77.1,138.5,130.7,231.0,245.4,226.7,149.1,238.6,179.4,147.0,62.2,154.8,84.2,145.3,218.9,258.4,156.6,154.8,107.3,185.6,131.6,156.7,161.7,163.3,157.0,208.5,118.5,127.5,110.5
NJ,82.9,164.5,437.4,123.5,434.7,117.8,113.7,348.9,133.0,270.8,1453.8,123.5,433.1,451.5,261.1,112.1,95.4,409.4,419.4,390.9,105.3,88.4,398.5,103.1,294.6,344.2,351.4,341.9,105.9,176.8,129.0,415.1,165.4,101.4,85.0,365.3,298.9,17.4,323.4,10.4,329.7,139.2,112.8,89.9,246.2,158.3,150.9,125.5,184.2,219.1,0.0,261.7,224.1,338.2,134.4,186.0,79.4,252.0,30.0,196.2,201.8,153.8,402.0,245.0,150.4,100.3,147.0,146.5,208.2,117.4,164.9,348.9,97.8,464.3,98.7,140.0,408.8,399.6,316.4,128.5,373.0,144.7,365.5,72.3,349.9,151.6,375.0,304.9,134.7,111.2,374.9,257.8,102.6,357.7,406.1,217.0,89.1,328.7
NT,275.2,194.8,255.0,232.5,268.3,185.1,160.2,162.5,236.2,80.0,1363.2,325.8,248.5,269.1,71.5,213.9,307.2,130.0,149.3,204.2,207.3,230.5,179.4,167.6,133.9,161.8,169.0,80.1,172.6,107.4,278.5,289.7,243.2,169.3,218.9,204.1,112.1,278.7,187.8,271.7,147.3,173.5,214.8,232.0,77.1,160.6,123.0,146.4,213.7,81.3,261.2,0.0,194.8,103.6,236.2,216.3,291.2,93.6,266.4,94.1,267.4,128.2,218.8,63.4,265.6,170.5,258.7,357.4,80.1,158.5,130.5,162.1,312.4,281.9,312.7,222.6,224.2,147.5,129.7,143.6,186.2,138.4,173.7,300.3,165.3,181.9,188.3,127.4,217.3,213.0,138.4,86.6,244.7,165.6,253.7,125.2,208.9,141.9
OC,248.1,127.8,310.4,137.5,307.7,251.3,247.2,221.9,298.2,143.8,1389.6,288.7,306.1,324.5,134.1,183.7,260.6,282.4,292.4,263.9,232.2,201.9,325.0,194.7,167.6,217.2,224.4,214.9,151.7,160.1,294.2,345.8,330.6,193.0,250.2,275.5,171.9,232.1,252.1,225.1,202.7,83.3,239.7,203.4,119.2,271.1,169.1,217.1,56.6,202.4,214.6,134.7,0.0,281.1,206.0,149.3,244.6,125.0,195.2,179.5,320.8,137.1,275.0,185.6,191.7,191.9,312.2,311.7,148.8,163.2,105.5,221.9,263.0,337.3,263.9,154.0,281.8,272.6,189.4,220.1,246.0,190.5,238.5,237.5,222.9,114.9,248.0,225.1,148.7,182.8,247.9,130.8,216.1,230.7,315.4,128.0,136.4,201.7
OM,338.4,258.0,190.5,295.7,291.1,248.3,222.3,147.2,299.4,142.4,1466.8,389.0,244.3,187.0,129.9,277.1,370.4,62.2,81.5,92.0,270.5,293.7,132.1,230.8,221.4,183.2,176.8,41.5,235.8,170.6,341.7,198.9,306.4,232.5,282.1,136.3,114.3,341.9,107.2,334.9,234.8,236.7,278.0,295.2,181.5,223.8,186.2,209.6,276.9,144.5,324.4,103.5,292.5,0.0,299.4,279.5,354.4,163.9,329.6,156.3,329.5,191.4,209.7,126.6,328.8,233.7,321.9,420.6,143.3,221.7,188.4,59.1,375.6,226.8,371.3,285.8,220.0,79.7,158.8,206.8,88.7,228.8,114.6,363.5,252.8,245.1,105.4,33.2,280.5,276.2,70.2,156.1,307.9,138.4,189.9,229.8,272.1,83.8
OO,139.5,121.5,302.9,69.5,295.9,136.9,143.0,275.3,191.7,281.7,1319.3,180.1,319.6,317.0,244.1,46.5,152.0,332.3,389.6,361.1,106.4,93.3,363.5,68.1,231.6,209.7,216.9,282.4,88.9,157.2,229.2,338.3,215.7,66.4,145.6,310.6,309.8,123.5,275.2,116.5,195.2,122.2,113.9,94.8,229.2,144.5,139.0,90.5,167.2,162.5,106.0,202.2,211.4,303.2,0.0,143.0,136.0,272.1,86.6,176.6,205.9,147.2,267.5,181.2,29.3,65.3,229.4,203.1,189.1,100.4,147.9,293.3,154.4,329.8,155.3,57.0,277.8,369.8,286.6,93.5,351.6,102.5,335.7,128.9,233.4,104.5,345.2,269.9,61.4,20.9,319.3,264.3,64.8,284.1,310.9,226.9,111.8,273.1
PK,205.3,15.3,356.7,72.3,375.2,219.8,223.4,289.4,274.6,211.3,1411.2,245.9,373.6,408.9,201.6,140.9,217.8,336.8,346.8,318.3,189.3,159.1,379.4,174.0,235.1,301.6,308.8,297.4,108.9,103.3,251.4,365.1,298.6,175.7,228.5,315.3,239.4,189.3,273.4,182.3,287.1,79.7,196.8,160.6,186.7,224.9,142.7,191.4,124.7,145.6,171.8,202.2,164.6,288.2,118.7,0.0,201.8,192.5,152.4,122.7,288.8,80.3,359.4,190.0,100.1,176.9,312.3,268.9,153.2,158.5,105.4,278.3,220.2,421.7,221.1,62.4,349.3,327.0,256.9,207.9,302.4,147.6,292.9,194.7,290.4,37.6,302.4,254.9,57.1,140.0,304.3,198.3,173.3,298.2,356.1,157.5,93.6,258.1
PQ,57.8,184.9,457.8,143.9,455.1,138.2,134.1,369.3,129.4,291.2,1474.2,98.4,453.5,471.9,281.5,132.5,16.0,429.8,439.8,411.3,125.7,108.8,418.9,123.5,315.0,364.6,371.8,362.3,126.3,197.2,103.9,435.5,140.3,121.8,81.4,385.7,319.3,107.3,343.8,100.3,350.1,159.6,122.0,110.3,266.6,178.7,171.3,145.9,204.6,239.5,89.8,281.0,244.5,358.6,154.8,206.4,0.0,272.4,56.7,215.2,176.7,174.2,422.4,265.4,170.8,120.7,121.9,121.4,228.6,137.8,182.0,369.3,48.1,484.7,73.6,160.4,429.2,420.0,336.8,148.9,393.4,165.1,385.9,47.2,370.3,172.0,395.4,325.3,155.1,131.6,395.3,278.2,123.0,378.1,426.5,237.4,109.5,349.1
PT,347.3,179.2,207.7,188.9,221.8,257.2,231.2,112.6,308.3,18.7,1383.4,340.1,201.2,221.8,46.6,235.1,312.0,162.9,182.2,154.6,279.4,253.3,215.7,239.7,86.6,114.5,121.7,168.1,244.7,179.5,350.6,242.4,315.3,241.4,291.0,151.8,46.8,283.5,140.5,276.5,100.0,134.7,286.9,254.8,33.0,232.7,195.1,218.5,180.8,153.4,266.0,113.2,128.5,156.0,257.4,200.7,296.0,0.0,246.6,166.2,338.4,200.3,172.3,135.5,243.1,242.6,330.8,363.1,152.2,230.6,202.6,96.8,314.4,234.6,315.3,205.4,176.9,163.3,82.4,215.7,120.9,208.1,131.5,288.9,118.0,166.3,138.7,146.2,200.1,234.2,122.8,5.7,267.5,119.1,192.6,197.3,187.8,76.6
QC,52.8,128.1,401.0,87.1,398.3,81.4,77.3,312.5,102.9,234.4,1417.4,93.4,396.7,415.1,224.7,75.7,65.3,373.0,383.0,354.5,68.9,52.0,362.1,66.7,258.2,307.8,315.0,305.5,69.5,140.4,98.9,378.7,178.2,65.0,54.9,328.9,262.5,50.5,287.0,43.5,293.3,102.8,76.4,53.5,209.8,121.9,114.5,89.1,147.8,182.7,33.0,225.3,187.7,301.8,98.0,149.6,49.3,215.6,0.0,159.8,168.4,117.4,365.6,208.6,114.0,63.9,116.9,116.4,171.8,81.0,128.5,312.5,67.7,427.9,68.6,103.6,372.4,363.2,280.0,92.1,336.6,108.3,329.1,42.2,313.5,115.2,338.6,268.5,98.3,74.8,338.5,221.4,66.2,321.3,369.7,180.6,52.7,292.3
QE,218.1,100.6,235.3,138.3,374.8,128.0,102.0,192.0,179.1,210.9,1492.0,268.7,373.2,258.8,201.2,150.3,237.4,215.4,225.4,196.9,119.3,167.6,258.0,104.0,234.7,284.3,291.5,176.0,102.6,13.2,221.4,244.4,186.1,105.7,158.5,193.9,146.1,208.9,152.0,201.9,269.8,79.3,126.8,169.1,186.3,103.5,65.9,89.3,124.3,24.2,191.4,200.7,164.2,166.8,172.6,122.1,221.4,192.1,206.0,0.0,210.7,34.0,254.5,44.8,166.1,106.9,201.6,300.3,63.2,88.5,92.9,156.9,255.3,271.6,254.5,128.4,348.9,205.6,256.5,86.5,181.0,77.6,171.5,243.2,290.0,87.7,181.0,133.5,123.1,149.4,182.9,197.9,181.8,183.2,234.7,157.1,145.3,136.7
QF,49.7,198.3,405.3,157.3,468.5,145.1,141.0,384.2,125.8,304.6,1489.1,113.5,466.9,428.8,296.4,145.9,105.2,385.4,395.4,366.9,107.9,122.2,426.9,136.9,328.4,378.0,385.2,346.0,139.7,202.6,57.0,416.1,25.5,136.7,96.3,363.9,332.7,120.7,322.0,113.7,363.5,173.0,100.4,123.7,280.0,112.8,184.7,153.9,218.0,196.1,104.7,297.0,257.9,336.8,168.2,219.8,89.2,285.8,70.1,220.6,0.0,187.6,435.8,216.5,184.2,134.1,57.2,97.2,234.5,152.7,195.4,328.6,64.4,441.6,40.2,173.8,442.6,377.3,350.2,156.9,352.7,164.0,336.4,32.4,385.2,185.4,352.7,305.2,168.5,145.0,352.9,291.6,136.4,393.0,404.7,250.8,122.9,306.7
QN,208.4,66.5,276.3,104.2,340.7,139.4,143.0,257.2,194.2,176.8,1443.1,231.4,339.1,299.8,167.1,139.9,203.3,256.4,266.4,237.9,108.9,157.2,299.0,93.6,200.6,250.2,257.4,217.0,92.2,22.9,231.7,284.7,218.2,95.3,148.1,234.9,204.9,174.8,193.0,167.8,235.7,45.2,116.4,158.7,152.2,144.5,62.3,111.0,90.2,65.2,157.3,166.6,130.1,207.8,162.2,88.0,187.3,158.0,137.9,40.9,208.4,0.0,308.0,109.6,132.0,96.5,231.9,254.4,72.8,78.1,67.3,197.9,245.6,312.6,250.2,94.3,314.8,246.6,222.4,127.5,222.0,75.1,212.5,180.2,255.9,53.6,222.0,174.5,89.0,139.0,223.9,163.8,171.4,263.7,275.7,123.0,79.1,177.7
QU,422.5,342.1,121.8,327.4,111.9,332.4,306.4,130.2,383.5,178.1,1358.1,473.1,65.1,152.2,192.0,361.2,450.5,211.8,195.6,193.3,354.6,377.8,254.4,314.9,132.0,56.2,49.8,238.2,319.9,254.7,425.8,114.4,390.5,316.6,366.2,145.8,159.2,422.0,110.4,415.0,71.5,273.2,362.1,379.3,178.4,307.9,270.3,293.7,319.3,228.6,404.5,188.4,267.0,226.1,383.5,363.6,434.5,172.5,413.7,241.4,413.6,275.5,0.0,210.7,412.9,317.8,406.0,504.7,227.4,305.8,272.5,190.0,459.7,149.2,458.9,369.9,10.2,202.0,149.6,290.9,183.8,312.9,162.8,447.6,74.1,329.2,177.4,192.8,364.6,360.3,216.0,164.7,392.0,126.3,74.4,272.5,356.2,169.8
RI,211.7,131.3,190.4,169.0,291.0,121.6,95.6,147.1,172.7,129.3,1443.8,262.3,244.2,213.9,129.8,150.4,243.7,170.5,180.5,152.0,143.8,167.0,213.1,104.1,200.9,183.1,176.7,131.1,109.1,43.9,215.0,198.8,179.7,105.8,155.4,149.0,101.2,215.2,107.1,208.2,198.4,110.0,151.3,168.5,146.4,97.1,59.5,82.9,155.0,17.8,197.7,80.5,194.9,121.9,172.7,152.8,227.7,150.8,202.9,29.6,202.8,64.7,209.6,0.0,202.1,107.0,195.2,293.9,39.9,95.0,118.3,112.0,248.9,226.7,244.6,159.1,219.9,160.7,128.3,80.1,136.1,102.1,126.6,236.8,239.7,118.4,136.1,88.6,153.8,149.5,138.0,143.0,181.2,138.3,189.8,99.8,145.4,91.8
RM,166.2,93.0,294.6,41.0,287.6,151.4,147.3,267.0,231.3,273.4,1311.0,206.8,311.3,308.7,283.3,86.2,178.7,324.0,381.3,352.8,138.9,70.4,413.9,107.8,223.3,201.4,208.6,274.1,98.6,141.7,212.3,330.0,248.2,106.1,178.1,302.3,301.5,150.2,266.9,143.2,186.9,120.1,146.4,66.8,269.7,184.2,131.8,130.2,165.1,184.0,132.7,193.9,203.1,297.6,39.6,114.5,162.7,263.8,113.3,161.1,238.4,118.7,259.2,228.4,0.0,105.0,261.9,229.8,191.6,110.1,145.8,351.5,181.1,321.5,182.0,27.6,269.5,361.5,278.3,133.2,343.3,142.2,327.4,155.6,225.1,76.0,336.9,293.3,32.9,60.6,332.4,256.0,56.4,275.8,302.6,218.6,83.3,331.3
RO,140.5,113.7,306.3,104.5,383.9,71.5,77.6,298.1,126.3,220.0,1385.0,166.3,382.3,329.8,210.3,43.3,138.2,286.4,296.4,267.9,41.0,89.3,298.1,2.7,243.8,275.4,282.6,247.0,55.1,91.8,163.8,314.7,150.3,1.1,80.2,264.9,248.1,109.7,223.0,102.7,260.9,88.4,48.5,90.8,195.4,79.1,73.6,25.1,133.4,97.1,92.2,210.9,173.3,237.8,65.6,135.2,122.2,201.2,72.8,111.2,140.5,103.0,333.2,115.8,95.0,0.0,164.0,189.3,123.7,66.6,114.1,227.9,177.7,342.6,182.3,104.2,358.0,276.6,265.6,28.1,252.0,37.1,242.5,115.1,299.1,100.8,252.0,204.5,96.4,42.4,253.9,207.0,103.5,306.9,305.7,166.2,38.3,207.7
RQ,93.8,242.4,400.7,201.4,512.6,147.9,143.8,426.8,128.6,348.7,1547.3,95.9,511.0,424.2,339.0,205.6,188.3,380.8,390.8,362.3,110.7,185.7,423.4,159.3,372.5,422.1,429.3,341.4,183.8,205.4,19.7,409.1,44.6,161.0,102.5,359.3,376.8,164.8,317.4,157.8,407.6,217.1,103.2,187.2,324.1,108.2,187.2,156.7,262.1,191.5,147.3,339.6,302.0,332.2,227.9,263.9,131.8,329.9,114.2,224.8,56.3,226.1,479.9,210.2,247.7,162.2,0.0,98.6,237.3,189.8,242.8,322.3,117.0,437.0,96.6,217.9,486.7,371.0,394.3,159.7,346.4,150.7,336.9,76.5,427.8,229.5,346.4,298.9,212.6,204.7,348.3,335.7,199.9,435.6,400.1,294.9,167.0,302.1
