from_stop,AA,AF,BO,BR,BZ,CO,DL,DO,EJ,EQ,EV,FJ,GC,GR,HF,HT,HW,HX,HZ,ID,IH,IK,IN,IV,JI,JM,JN,KC,KJ,KT,LB,LD,LY,MX,NE,NL,NM,NR,NS,NZ,OS,OZ,PC,PD,PL,PO,PP,PT,QD,QH,QU,SG,SV,SW,TG,TO,TP,VZ,WG,WH,WT,XO,XY,YT,YZ,ZC,ZF
QH,289.3,176.3,228.0,271.3,71.4,41.6,435.9,90.7,426.2,126.9,214.4,143.9,218.5,333.3,234.7,6.3,334.2,307.9,387.2,131.8,334.4,142.0,80.2,101.8,138.0,158.5,153.2,238.4,221.0,197.2,251.3,339.8,321.6,275.4,239.0,14.7,327.5,214.8,97.2,182.8,358.8,214.4,323.4,299.4,81.3,214.0,16.1,341.0,105.4,0.0,103.2,213.3,200.7,132.8,199.5,164.5,225.6,42.3,30.2,59.4,289.9,94.4,223.1,2058.9,156.3,83.4,228.4
QU,237.7,99.0,215.0,235.2,96.4,94.3,379.4,115.7,361.4,79.6,126.4,96.6,234.5,289.0,207.3,108.0,272.3,299.5,373.3,83.6,272.5,114.6,89.4,158.2,70.7,131.1,105.9,204.5,193.6,172.1,274.6,325.5,245.6,248.0,151.0,117.6,290.8,111.4,122.2,87.5,335.7,178.3,243.8,258.4,87.0,164.9,118.9,328.0,52.8,102.8,0.0,185.9,173.3,30.9,298.5,62.6,241.6,60.6,116.3,88.1,248.9,106.1,135.1,1999.2,15.6,108.4,201.0
SG,163.6,93.6,157.4,105.8,236.8,258.7,265.1,256.1,250.7,220.0,79.7,237.0,253.4,202.8,21.4,209.5,158.0,253.0,239.3,192.8,162.3,69.4,199.2,153.4,205.7,53.8,246.3,54.1,73.2,66.5,302.7,216.4,201.3,82.1,93.6,200.6,143.4,80.1,262.6,230.4,186.7,108.8,199.5,123.3,199.6,76.2,199.2,236.3,193.2,216.2,195.9,0.0,76.6,226.9,298.9,258.6,260.5,192.1,246.5,228.5,106.4,180.9,88.4,2013.1,211.5,248.8,35.1
SV,209.7,101.1,190.2,99.3,277.2,248.2,240.5,296.5,226.1,265.1,66.7,282.1,259.0,248.9,87.5,199.0,133.4,285.8,234.4,192.0,137.7,58.9,188.7,199.5,199.2,43.3,291.4,100.2,20.2,99.3,306.2,187.3,234.1,93.1,40.6,190.1,196.6,88.7,303.0,273.0,232.8,154.9,232.3,130.3,192.2,122.3,188.7,211.7,238.3,205.7,185.4,66.1,0.0,216.4,323.0,248.1,266.1,185.6,236.0,265.2,152.5,174.4,57.5,1950.8,201.0,289.2,81.2
SW,261.7,123.0,225.7,252.1,80.2,88.9,419.3,99.5,404.9,63.4,158.8,80.4,242.1,313.0,199.8,138.6,324.4,307.1,393.1,67.4,336.1,134.9,127.8,196.6,54.5,151.4,89.7,206.2,213.9,163.7,282.2,365.7,269.6,232.2,183.4,147.0,295.6,136.5,106.0,56.5,329.9,195.2,267.8,270.7,125.0,188.9,148.3,338.7,36.6,132.2,38.3,178.4,193.6,0.0,271.4,31.6,249.2,121.5,100.1,71.9,253.8,89.9,167.5,2037.6,18.2,92.2,205.2
TG,163.7,264.6,125.2,248.8,269.3,240.3,261.6,288.6,251.9,245.3,330.6,262.3,101.2,185.1,296.7,191.1,208.4,133.6,259.2,201.2,171.5,272.9,193.1,144.0,214.1,289.4,271.6,277.9,293.7,262.3,77.0,204.8,147.3,267.2,314.1,182.2,135.7,277.0,295.1,325.8,169.0,191.9,149.1,235.4,194.2,244.5,180.8,229.2,236.5,197.8,240.1,290.9,297.1,269.2,0.0,300.9,75.6,218.5,228.1,257.3,218.5,169.5,331.0,2073.8,292.7,281.3,244.9
TO,292.7,146.7,249.4,275.8,103.9,112.6,443.0,110.1,428.6,87.1,182.5,91.3,265.8,336.7,223.5,162.3,348.1,330.8,416.8,85.4,356.1,158.6,151.5,220.3,78.2,175.1,82.0,229.9,237.6,183.5,305.9,390.2,293.3,255.9,207.1,170.7,320.1,160.2,104.1,24.9,353.6,218.9,291.5,294.4,147.5,212.6,172.0,362.4,60.3,155.9,62.0,202.1,217.3,23.7,295.1,0.0,272.9,145.2,123.8,95.6,277.5,113.6,191.2,2061.3,41.9,115.9,228.9
TP,120.3,227.6,117.0,218.4,272.4,273.7,217.3,291.7,202.9,237.6,263.4,254.6,19.6,104.4,253.9,223.9,225.5,84.6,233.3,193.5,192.3,211.3,213.6,136.3,206.4,227.8,263.9,231.7,310.8,199.3,59.7,185.8,98.3,226.6,331.2,215.0,116.7,240.0,298.2,332.8,136.7,161.5,100.1,204.5,213.9,186.2,213.6,210.2,228.8,230.6,295.3,232.5,314.2,291.7,70.1,323.4,0.0,210.8,260.9,264.1,187.6,161.8,272.1,2040.7,295.2,284.4,215.2
VZ,248.9,102.9,188.1,232.0,105.4,37.7,378.6,124.7,368.9,70.6,130.3,101.0,200.2,292.9,193.1,48.5,276.2,251.8,357.5,32.2,280.5,170.4,44.9,130.2,39.4,131.3,96.9,199.5,153.3,139.7,263.8,334.6,249.5,212.1,154.9,43.1,272.0,116.4,131.2,148.4,303.9,188.5,247.7,250.6,28.4,168.8,58.2,301.1,75.2,42.1,47.4,171.7,229.1,91.8,234.5,110.1,193.9,0.0,25.5,97.1,233.7,34.6,139.0,2003.1,63.0,117.4,185.1
WG,282.6,136.6,259.0,302.3,40.1,11.1,417.0,59.4,402.6,95.6,164.0,112.6,220.5,326.6,213.4,37.3,309.9,285.5,410.9,65.9,314.2,173.0,65.2,132.8,73.1,189.5,121.9,219.8,187.0,173.4,282.3,363.8,283.2,242.9,188.6,45.7,305.5,149.0,65.9,151.5,336.4,245.4,281.4,276.9,64.8,202.5,47.0,372.0,74.1,30.9,81.1,192.0,231.7,101.5,230.5,133.2,227.6,33.6,0.0,28.1,267.4,68.3,172.7,2036.8,96.7,52.1,259.4
WH,329.6,183.6,267.4,312.0,11.9,6.2,463.8,31.2,445.8,67.4,219.4,84.4,266.1,373.6,260.4,65.4,339.2,331.1,457.7,89.5,339.4,202.3,94.5,162.1,78.5,218.8,93.7,278.2,216.3,245.8,311.6,421.2,344.8,289.9,244.0,75.0,356.8,196.0,37.7,123.3,382.0,255.1,328.4,329.0,92.1,249.5,76.3,380.4,45.9,60.2,110.4,239.0,261.0,73.3,259.8,105.0,273.2,62.9,28.1,0.0,319.5,113.9,228.1,2066.1,96.8,23.9,277.2
WT,93.0,181.8,103.8,71.1,303.5,332.4,199.6,322.8,189.9,283.7,162.1,300.7,184.8,132.2,118.6,283.2,97.2,199.4,178.5,245.3,97.4,157.6,277.9,200.4,252.5,142.0,310.0,99.8,115.6,100.2,232.1,151.1,147.7,89.1,136.0,274.3,72.6,168.3,329.3,297.1,116.1,75.8,145.9,16.8,280.3,81.8,272.9,139.9,259.9,289.9,266.2,128.2,119.0,297.2,228.3,328.9,191.9,280.3,320.2,295.2,0.0,207.9,152.9,1957.7,281.8,315.5,82.2
XO,258.0,127.9,153.4,198.0,110.5,108.4,349.8,129.8,331.8,75.7,166.0,92.7,152.1,286.7,186.3,82.5,247.1,217.1,343.7,31.6,276.8,93.6,63.9,70.1,44.5,110.1,102.0,164.2,172.6,131.8,192.2,307.2,230.8,210.2,190.6,92.1,242.8,167.5,136.3,156.2,268.0,141.1,232.6,215.0,61.5,204.3,93.4,266.4,66.9,77.3,70.5,164.9,152.3,99.6,181.4,131.3,159.2,35.1,74.5,102.2,205.5,0.0,174.7,2026.2,123.1,122.5,163.2
XY,213.0,45.2,196.3,155.2,225.2,210.3,275.3,244.5,257.3,206.5,9.1,223.5,280.3,252.2,90.8,195.3,168.2,291.9,269.2,162.4,168.4,80.2,176.7,202.8,175.3,64.6,232.8,103.5,45.3,104.3,352.1,222.9,240.2,131.5,15.9,204.9,192.8,32.8,251.0,218.8,237.7,158.2,238.4,165.3,174.3,125.6,206.2,246.5,181.6,190.1,150.8,69.4,74.8,177.7,344.3,209.4,287.4,147.9,187.3,216.5,155.8,150.5,0.0,1954.6,166.4,237.2,84.5
YT,1850.6,1863.6,1821.4,1830.1,1951.8,1933.6,1701.7,1971.1,1713.2,1929.8,1829.7,1946.8,1926.0,1798.5,1841.5,1918.6,1798.0,1840.3,1725.1,1885.7,1798.2,1880.6,1900.0,1961.3,1898.6,1865.0,1956.1,1858.8,1780.4,1887.2,1838.5,1778.9,1830.5,1850.6,1799.5,1928.2,1830.4,1851.2,1977.6,1953.8,1776.3,1888.6,1832.3,1833.1,1897.6,1886.5,1929.5,1757.6,1916.6,1913.4,1874.1,1869.8,1813.5,1905.1,1938.8,1936.8,1877.9,1871.2,1910.6,1939.8,1842.6,1873.8,1816.4,0.0,1889.7,1963.8,1884.9
YZ,289.6,143.6,235.1,255.3,80.8,78.7,440.4,100.1,422.4,64.0,146.5,81.0,242.7,333.6,227.4,138.0,292.4,307.7,434.3,68.0,292.6,134.7,109.5,178.3,55.1,151.2,90.3,224.6,213.7,192.2,282.8,345.6,290.2,249.9,171.1,147.6,310.9,156.0,106.6,71.9,355.8,198.4,288.4,278.5,107.1,209.5,148.9,348.1,37.2,132.8,20.0,206.0,193.4,15.3,272.0,47.0,249.8,80.7,100.7,72.5,269.0,90.5,155.2,2019.3,0.0,92.8,221.1
ZC,328.4,182.4,266.2,310.8,10.9,39.4,457.9,7.2,448.2,66.2,218.2,83.2,264.9,372.4,259.2,89.1,359.9,329.9,456.5,90.2,385.9,206.4,117.0,184.6,77.3,222.9,85.5,277.0,238.8,230.6,334.1,419.2,343.6,288.7,242.8,97.5,355.6,194.8,13.7,99.3,380.8,253.9,327.2,335.2,113.0,248.3,98.8,379.2,44.7,82.7,115.7,237.8,265.1,72.1,282.3,103.8,272.0,72.0,50.6,22.4,318.3,112.7,226.9,2088.6,95.6,0.0,276.0
ZF,128.4,99.5,140.2,70.6,285.9,256.9,264.8,305.2,252.7,231.4,85.6,248.4,218.1,167.6,67.3,207.7,157.0,235.8,232.7,193.3,172.0,75.3,200.2,118.1,206.2,59.7,257.7,38.8,98.4,17.9,267.5,209.8,184.1,49.8,110.2,198.8,108.2,86.0,311.7,285.4,153.1,73.6,182.3,80.7,200.6,41.0,197.4,175.3,204.6,214.4,197.8,45.9,89.9,228.8,263.7,260.5,225.2,184.2,244.7,273.9,71.2,186.8,94.3,1993.1,213.4,297.9,0.0
