from_stop,AB,AE,AG,AJ,AN,AX,BJ,BM,BO,BZ,DG,DN,DU,DY,DZ,EK,EW,FF,FI,FK,FQ,FZ,GB,GL,HL,HQ,HV,HZ,IF,IG,IL,IN,IU,JD,JM,JO,KC,KD,KK,KP,KR,KW,KY,LH,LK,LX,LZ,MB,MI,MR,NB,NG,NK,NO,NQ,NS,NT,NV,OF,OJ,OO,PH,PI,PQ,PR,QA,QJ,QK,QX,RN,RS,RU,RV,SA,SB,SE,SF,SR,SV,SZ,TG,TJ,TW,TX,TZ,UC,UD,UX,VB,VH,VR,WA,WO,WR,WU,WV,XB,XG,XJ,XO,XU,YD,YG,YM,YO,YW,ZA,ZE,ZM
IG,450.5,533.0,579.8,235.2,363.8,862.2,562.1,341.4,118.9,913.0,889.7,848.4,500.8,504.2,544.1,577.9,556.8,910.3,917.5,844.5,656.6,470.4,564.0,936.2,369.5,638.5,188.2,847.3,426.8,0.0,498.7,565.4,427.9,882.2,872.8,483.6,482.7,888.8,716.0,150.6,634.4,471.8,538.2,656.7,539.6,943.6,161.4,141.6,583.0,610.8,126.5,599.6,107.6,839.9,555.3,612.3,767.6,546.7,555.7,92.8,777.8,633.8,466.9,185.3,777.8,545.4,599.1,960.8,641.5,916.2,388.7,809.3,389.1,941.7,508.1,576.9,177.9,101.6,2619.3,120.0,789.7,503.9,380.1,126.5,794.6,211.7,627.5,853.7,594.9,531.6,432.4,573.4,529.8,812.4,798.1,843.7,923.3,838.5,856.6,789.8,502.2,597.1,865.7,859.1,858.6,973.5,848.4,799.7,479.9
IL,124.8,273.5,901.7,283.0,229.9,867.2,884.0,177.2,451.8,587.3,564.0,842.4,332.9,826.1,286.2,252.2,304.4,915.3,911.5,518.8,330.9,239.5,264.8,610.5,254.8,312.8,487.9,841.3,195.9,528.7,0.0,239.7,70.8,556.5,877.8,805.5,157.0,563.1,296.6,483.5,308.7,793.7,212.5,978.6,861.5,617.9,461.1,474.5,257.3,932.7,426.2,273.9,429.5,514.2,274.2,286.6,441.9,47.9,877.6,414.6,452.1,199.1,141.2,485.0,452.1,219.7,273.4,803.7,315.8,590.5,205.0,483.6,335.7,935.7,182.4,251.2,510.8,405.8,2398.2,441.9,855.9,273.0,265.4,426.2,375.2,544.6,949.4,528.0,916.8,136.9,317.7,74.6,851.7,486.7,472.4,837.7,597.6,512.8,530.9,464.1,176.5,235.8,540.0,445.2,532.9,978.5,924.3,840.4,18.7
IN,121.8,33.7,959.8,341.1,214.2,948.1,942.1,218.5,493.1,685.0,644.9,923.3,444.2,884.2,487.5,75.7,64.6,996.2,992.4,599.7,411.8,89.5,474.0,691.4,312.9,393.7,529.2,922.2,149.9,586.8,259.7,0.0,188.9,624.9,976.1,863.6,237.9,621.7,505.8,524.8,389.6,851.8,286.6,1036.7,902.8,698.1,502.4,515.8,338.2,990.8,484.3,354.8,487.6,595.1,483.4,384.3,522.8,307.7,935.7,472.7,533.0,389.0,190.9,543.1,533.0,293.8,347.5,884.6,396.7,688.2,189.3,564.5,336.8,1016.6,280.1,332.1,568.9,463.9,2479.1,500.0,936.8,72.8,306.7,484.3,584.4,585.9,1007.5,608.9,974.9,286.8,375.8,334.4,909.8,567.6,546.9,918.6,681.1,595.4,611.8,545.0,257.4,352.3,620.9,614.3,613.8,1059.4,1005.2,921.3,240.9
IU,54.0,202.7,830.9,212.2,159.1,796.4,813.2,106.4,381.0,516.5,493.2,771.6,315.3,755.3,343.7,181.4,233.6,844.5,840.7,448.0,260.1,168.7,322.3,539.7,184.0,242.0,417.1,770.5,125.1,457.9,70.8,168.9,0.0,485.7,807.0,734.7,86.2,492.3,354.1,412.7,237.9,722.9,141.7,907.8,790.7,547.1,390.3,403.7,186.5,861.9,355.4,203.1,358.7,443.4,331.7,215.8,371.1,118.8,806.8,343.8,381.3,237.3,70.4,414.2,381.3,148.9,202.6,732.9,245.0,519.7,134.2,412.8,264.9,864.9,111.6,180.4,440.0,335.0,2327.4,371.1,785.1,202.2,194.6,355.4,432.7,473.8,878.6,457.2,846.0,135.1,246.9,145.5,780.9,415.9,401.6,766.9,526.8,442.0,460.1,393.3,105.7,200.6,469.2,462.6,462.1,907.7,853.5,769.6,52.0
JD,536.3,651.3,553.5,666.6,618.2,363.6,463.2,560.8,840.1,33.3,7.4,338.8,642.8,523.4,596.1,630.0,674.4,411.7,403.2,176.1,511.5,627.8,574.7,121.5,638.4,501.2,876.2,337.7,579.5,912.3,576.6,617.5,505.8,0.0,382.6,556.6,457.0,202.5,466.5,859.3,497.1,544.8,586.3,493.0,482.4,123.4,849.4,858.1,445.7,530.7,809.8,462.3,813.1,189.0,584.1,467.2,96.9,575.3,470.0,798.2,120.8,424.1,482.5,868.6,241.1,574.4,520.7,300.1,496.4,101.5,593.3,114.6,711.5,427.4,467.1,367.2,894.4,789.4,1875.0,825.5,352.3,656.6,649.0,809.8,341.5,928.2,504.3,147.9,542.5,505.9,701.3,548.6,644.6,106.6,74.3,334.1,217.5,37.2,150.8,134.1,372.0,392.1,197.3,281.5,18.8,474.9,416.0,336.8,562.5
JM,804.5,953.2,558.1,911.6,915.4,10.7,445.4,862.7,826.3,320.5,348.2,303.0,944.7,482.5,898.0,931.9,984.1,36.8,287.9,504.5,821.2,925.0,876.6,350.3,940.3,803.1,864.6,217.7,881.4,903.2,878.5,919.4,807.7,355.7,0.0,461.9,758.9,546.2,790.2,858.0,799.0,450.1,883.5,475.2,517.9,342.9,837.8,849.0,747.6,589.1,802.9,764.2,764.3,517.4,886.0,776.9,412.5,877.2,534.0,789.1,404.7,726.0,779.7,861.7,566.5,876.3,822.6,217.6,806.1,370.3,890.5,469.3,1021.2,396.3,764.3,669.1,885.3,778.0,1951.5,751.9,177.7,958.5,950.9,802.9,669.9,919.1,486.5,498.6,573.2,807.8,1003.2,850.5,549.9,457.3,436.6,298.3,507.4,397.7,501.5,449.8,673.9,689.3,525.7,609.9,379.3,100.0,153.1,92.5,859.7
JO,732.0,814.5,96.1,516.7,645.3,460.4,78.4,622.9,431.4,592.3,619.4,364.7,782.3,20.5,825.6,859.4,838.3,508.5,433.8,775.7,938.1,751.9,845.5,621.5,651.0,920.0,469.7,363.6,708.3,508.3,780.2,846.9,709.4,626.9,471.0,0.0,764.2,820.0,997.5,463.1,915.9,13.6,819.7,173.0,55.9,614.1,442.9,454.1,864.5,127.1,408.0,881.1,369.4,788.6,836.8,893.8,683.7,828.2,72.0,394.2,675.9,915.3,748.4,466.8,837.7,826.9,880.6,564.2,923.0,641.5,670.2,740.5,670.6,458.0,789.6,858.4,490.4,383.1,2222.7,357.0,378.2,785.4,661.6,408.0,941.1,524.2,143.8,769.8,111.2,813.1,713.9,854.9,155.0,728.5,714.2,360.0,784.8,670.6,772.7,721.0,783.7,878.6,796.9,881.1,650.5,571.7,446.6,397.9,761.4
KC,144.7,259.7,893.7,275.0,221.9,755.6,876.0,169.2,443.8,475.7,452.4,730.8,304.1,818.1,257.4,238.4,290.6,803.7,799.9,407.2,218.8,231.5,236.0,498.9,246.8,200.7,479.9,729.7,187.9,520.7,175.8,225.9,114.2,440.2,766.8,797.5,0.0,451.6,267.8,475.5,196.6,785.7,198.7,885.0,853.5,505.6,453.1,466.5,145.2,924.7,418.2,161.8,421.5,402.6,245.4,174.5,330.3,127.8,869.6,406.6,340.5,170.3,86.2,477.0,340.5,205.9,220.2,692.1,203.7,478.9,197.0,372.0,327.7,824.1,56.8,139.6,502.8,397.8,2286.6,433.9,744.3,265.0,257.4,418.2,346.4,536.6,896.3,416.4,908.8,48.9,309.7,101.1,843.7,375.1,360.8,726.1,488.6,402.9,419.3,352.5,64.9,159.8,428.4,416.4,421.3,866.9,812.7,728.8,166.2
KD,574.2,681.0,740.3,696.3,673.2,550.4,650.0,620.5,865.2,224.7,192.8,525.6,551.8,710.2,505.1,659.7,741.9,598.5,491.8,50.3,579.0,682.8,483.7,142.5,668.1,530.9,931.2,524.5,609.2,942.0,606.3,664.0,535.5,178.9,555.5,743.4,516.7,0.0,463.6,896.9,526.8,731.6,641.3,679.8,673.8,252.1,904.4,840.1,475.4,717.5,839.5,492.0,842.8,96.5,493.1,504.7,161.6,576.3,656.8,827.9,140.7,453.8,514.5,898.3,148.6,604.1,550.4,471.8,486.2,219.3,648.3,96.6,779.0,612.8,522.1,396.9,924.1,819.1,2092.9,855.2,539.1,686.3,708.7,839.5,249.0,930.0,691.1,75.0,729.3,526.6,625.5,549.6,831.4,172.9,152.2,520.9,147.2,46.5,56.2,105.6,401.7,417.2,26.1,189.0,167.8,661.7,484.8,523.6,617.5
KK,416.9,531.9,1005.9,547.2,494.1,816.0,915.6,441.4,716.0,527.1,501.2,791.2,248.4,975.8,201.7,510.6,562.8,864.1,860.3,322.6,475.5,503.7,180.3,547.7,389.8,457.4,752.1,790.1,460.1,792.9,320.9,498.1,386.4,489.0,827.2,1009.0,272.1,424.7,0.0,747.7,453.3,997.2,470.9,945.4,939.5,554.4,725.3,738.7,401.9,983.1,690.4,418.5,693.7,287.0,189.7,431.2,423.6,272.9,922.4,678.8,409.7,186.6,358.4,749.2,285.8,478.1,476.9,726.5,460.4,527.7,469.2,361.4,599.9,884.5,329.0,243.5,775.0,670.0,2312.8,706.1,804.7,537.2,378.4,690.4,124.5,808.8,956.7,411.4,994.9,223.2,322.1,246.2,1097.0,441.9,411.7,786.5,433.3,451.7,423.2,374.6,328.2,223.3,343.8,194.5,470.1,927.3,873.1,789.2,339.7
KP,453.9,494.5,541.3,196.7,325.3,823.7,523.6,302.9,41.4,874.5,851.2,809.9,462.3,465.7,505.6,539.4,518.3,871.8,879.0,806.0,618.1,431.9,525.5,897.7,331.0,600.0,149.7,808.8,388.3,137.3,460.2,526.9,389.4,843.7,834.9,445.1,444.2,808.2,677.5,0.0,595.9,433.3,499.7,618.2,501.1,904.4,122.9,7.3,544.5,572.3,88.0,561.1,69.1,801.4,516.8,573.8,729.1,508.2,517.2,54.3,739.3,595.3,387.2,146.8,739.3,506.9,560.6,922.3,603.0,877.7,350.2,770.8,350.6,903.2,469.6,538.4,27.3,63.1,2580.8,81.5,751.2,465.4,341.6,88.0,756.1,61.0,589.0,815.2,556.4,493.1,393.9,534.9,491.3,773.9,753.2,805.2,884.8,801.7,818.1,751.3,463.7,558.6,827.2,820.6,820.1,935.0,809.9,761.2,441.4
KR,249.4,398.1,1032.1,413.4,360.3,825.1,924.7,307.6,582.2,545.2,521.9,800.3,484.7,956.5,438.0,376.8,429.0,873.2,869.4,476.7,22.1,369.9,416.6,568.4,385.2,4.1,618.3,799.2,326.3,659.1,323.4,364.3,252.6,514.4,835.7,935.9,199.8,521.0,448.4,613.9,0.0,924.1,138.2,954.5,991.9,575.8,591.5,604.9,51.0,992.2,556.6,34.4,559.9,472.1,426.0,21.7,399.8,327.7,931.5,545.0,410.0,266.0,209.5,615.4,410.0,131.0,77.3,761.6,7.0,548.4,335.4,441.5,466.1,893.6,135.1,209.1,641.2,536.2,2356.1,572.3,813.8,403.4,395.8,556.6,527.0,675.0,965.8,485.9,1047.2,248.7,448.1,301.0,982.1,444.6,430.3,795.6,555.5,470.7,488.8,422.0,134.4,229.3,497.9,491.3,490.8,936.4,882.2,798.3,304.6
KW,718.4,800.9,107.9,503.1,631.7,472.2,90.2,609.3,417.8,578.7,605.8,376.5,768.7,32.3,812.0,845.8,824.7,520.3,445.6,762.1,924.5,738.3,831.9,607.9,637.4,906.4,456.1,375.4,694.7,494.7,766.6,833.3,695.8,613.3,482.8,11.7,750.6,806.4,983.9,449.5,902.3,0.0,806.1,184.8,67.7,600.5,429.3,440.5,850.9,138.9,394.4,867.5,355.8,775.0,823.2,880.2,670.1,814.6,83.8,380.6,662.3,901.7,734.8,453.2,824.1,813.3,867.0,550.6,909.4,627.9,656.6,726.9,657.0,469.8,776.0,844.8,476.8,369.5,2209.1,343.4,390.0,771.8,648.0,394.4,927.5,510.6,155.6,756.2,123.0,799.5,700.3,841.3,141.4,714.9,700.6,371.8,771.2,657.0,759.1,707.4,770.1,865.0,783.3,867.5,636.9,583.5,458.4,409.7,747.8
KY,185.4,300.4,941.2,322.5,269.4,899.9,923.5,216.7,491.3,620.0,596.7,875.1,425.6,865.6,468.2,279.1,331.3,948.0,944.2,551.5,170.7,279.0,446.8,643.2,294.3,152.6,527.4,874.0,235.4,568.2,232.5,266.6,161.7,584.5,911.1,845.0,210.7,553.7,478.6,523.0,148.5,833.2,0.0,1018.1,901.0,649.9,500.6,514.0,125.8,972.2,465.7,109.2,469.0,546.9,456.2,126.4,474.6,280.5,917.1,454.1,484.8,340.8,112.5,524.5,484.8,7.2,60.9,836.4,155.6,623.2,244.5,516.3,375.2,968.4,209.9,283.9,550.3,445.3,2430.9,481.4,888.6,312.5,304.9,465.7,557.2,584.1,988.9,560.7,956.3,259.6,357.2,307.2,891.2,519.4,505.1,870.4,632.9,547.2,563.6,496.8,209.2,304.1,572.7,566.1,565.6,1011.2,957.0,873.1,213.7
LH,866.5,949.0,60.4,651.2,779.8,427.4,154.3,757.4,565.9,674.8,701.9,331.7,916.8,131.8,960.1,993.9,972.8,475.5,400.8,858.2,1072.6,886.4,980.0,704.0,785.5,1054.5,604.2,330.6,842.8,642.8,914.7,981.4,843.9,709.4,438.0,134.4,898.7,902.5,1132.0,597.6,1050.4,148.0,954.2,0.0,131.8,696.6,577.4,588.6,999.0,37.6,542.5,1015.6,503.9,871.1,971.3,1028.3,766.2,962.7,147.9,528.7,758.4,1049.8,882.9,601.3,920.2,961.4,1015.1,545.7,1057.5,724.0,804.7,823.0,805.1,425.0,924.1,992.9,624.9,517.6,2305.2,491.5,345.2,919.9,796.1,542.5,1023.6,658.7,219.7,852.3,49.4,947.6,848.4,989.4,289.5,811.0,796.7,327.0,867.3,753.1,855.2,803.5,918.2,1013.1,879.4,963.6,733.0,538.7,413.6,364.9,895.9
LK,770.9,853.4,111.8,555.6,684.2,404.4,22.4,661.8,470.3,631.2,658.3,308.7,821.2,36.2,864.5,898.3,877.2,452.5,377.8,814.6,977.0,790.8,884.4,660.4,689.9,958.9,508.6,307.6,747.2,547.2,819.1,885.8,748.3,678.3,415.6,38.8,803.1,801.7,1036.4,502.0,954.8,52.4,858.6,188.7,0.0,653.0,481.8,493.0,903.4,142.8,446.9,920.0,408.3,827.5,875.7,932.7,722.6,867.1,16.0,433.1,714.8,954.2,746.1,505.7,876.6,865.8,919.5,522.7,961.9,680.4,709.1,779.4,709.5,402.0,828.5,897.3,529.3,422.0,2261.6,395.9,322.2,824.3,700.5,446.9,980.0,563.1,87.8,808.7,126.9,852.0,752.8,893.8,193.9,767.4,753.1,304.0,826.3,707.8,811.6,759.9,822.6,917.5,835.8,920.0,689.4,515.7,390.6,341.9,800.3
LX,607.9,714.7,536.8,730.0,676.2,346.9,446.5,624.2,898.8,122.4,117.7,322.1,706.2,506.7,659.5,693.4,744.9,395.0,391.9,239.5,582.0,685.8,638.1,6.6,701.8,564.6,934.2,321.0,642.9,975.7,640.0,697.7,569.2,98.4,358.8,539.9,520.4,224.1,524.5,929.8,560.5,528.1,644.3,476.3,470.4,0.0,907.4,920.8,509.1,514.0,873.2,525.7,842.3,252.4,647.5,537.7,160.3,638.7,453.3,861.6,184.2,487.5,540.5,932.0,304.5,637.8,584.1,283.4,566.9,27.3,651.3,177.3,782.7,416.1,525.1,430.6,957.8,852.8,1843.7,829.9,335.6,720.0,712.4,873.2,404.9,990.9,487.6,211.3,525.8,569.3,764.7,612.0,627.9,170.0,149.3,317.4,265.4,99.9,214.2,197.5,435.4,450.1,260.7,344.9,87.3,458.2,320.6,320.1,620.5
LZ,393.3,475.8,564.8,178.0,306.6,847.2,547.1,284.2,114.9,855.8,832.5,833.4,443.6,489.2,486.9,520.7,499.6,895.3,902.5,787.3,599.4,413.2,506.8,879.0,312.3,581.3,26.8,832.3,369.6,191.8,441.5,508.2,370.7,825.0,858.4,468.6,425.5,837.7,658.8,146.6,577.2,456.8,481.0,641.7,524.6,885.7,0.0,137.6,525.8,595.8,34.0,542.4,92.6,782.7,498.1,555.1,710.4,489.5,540.7,77.7,720.6,576.6,368.5,44.5,720.6,488.2,541.9,945.8,584.3,859.0,331.5,752.1,331.9,926.7,450.9,519.7,173.9,68.9,2604.3,105.0,774.7,446.7,322.9,34.0,737.4,207.7,612.5,796.5,579.9,474.4,375.2,516.2,514.8,755.2,740.9,828.7,866.1,783.0,799.4,732.6,445.0,539.9,808.5,801.9,801.4,958.5,833.4,784.7,422.7
MB,404.6,487.1,533.9,189.3,317.9,816.3,516.2,295.5,34.0,867.1,843.8,802.5,454.9,458.3,498.2,532.0,510.9,864.4,871.6,798.6,610.7,424.5,518.1,890.3,323.6,592.6,142.3,801.4,380.9,129.9,452.8,504.1,382.0,836.3,827.5,437.7,436.8,800.8,670.1,9.0,588.5,425.9,492.3,610.8,493.7,897.7,115.5,0.0,537.1,564.9,80.6,553.7,61.7,794.0,509.4,566.4,721.7,500.8,509.8,46.9,731.9,587.9,379.8,139.4,731.9,499.5,553.2,914.9,595.6,870.3,342.8,763.4,343.2,895.8,462.2,531.0,36.3,55.7,2573.4,74.1,743.8,458.0,334.2,80.6,748.7,70.1,581.6,807.8,549.0,485.7,386.5,527.5,483.9,766.5,752.2,797.8,880.0,794.3,810.7,743.9,456.3,551.2,819.8,813.2,812.7,927.6,802.5,753.8,434.0
MI,198.3,347.0,981.0,362.3,309.2,774.0,873.6,256.5,531.1,494.1,470.8,749.2,433.6,905.4,386.9,325.7,377.9,822.1,818.3,425.6,73.5,318.8,365.5,517.3,334.1,55.4,567.2,748.1,275.2,608.0,272.3,313.2,201.5,463.3,784.6,884.8,148.7,469.9,397.3,562.8,51.3,873.0,135.8,903.4,940.8,524.7,540.4,553.8,0.0,941.1,505.5,16.6,508.8,421.0,374.9,29.2,348.7,276.6,880.4,493.9,358.9,214.9,207.1,564.3,358.9,128.6,74.9,710.5,58.4,497.3,284.3,390.4,415.0,842.5,84.0,158.0,590.1,485.1,2305.0,521.2,762.7,352.3,344.7,505.5,475.9,623.9,914.7,434.8,996.1,197.6,397.0,249.9,931.0,393.5,379.2,744.5,504.4,419.6,437.7,370.9,83.3,178.2,446.8,440.2,439.7,885.3,831.1,747.2,253.5
MR,828.8,911.3,22.7,613.5,742.1,473.3,116.6,719.7,528.2,689.1,716.2,377.6,879.1,94.1,922.4,956.2,935.1,521.4,446.7,872.5,1034.9,848.7,942.3,718.3,747.8,1016.8,566.5,376.5,805.1,605.1,877.0,943.7,806.2,723.7,483.9,96.7,861.0,916.8,1094.3,559.9,1012.7,110.3,916.5,45.8,94.1,710.9,539.7,550.9,961.3,0.0,504.8,977.9,466.2,885.4,933.6,990.6,780.5,925.0,110.2,491.0,772.7,1012.1,845.2,563.6,934.5,923.7,977.4,591.6,1019.8,738.3,767.0,837.3,767.4,470.9,886.4,955.2,587.2,479.9,2319.5,453.8,391.1,882.2,758.4,504.8,1037.9,621.0,182.0,866.6,11.7,909.9,810.7,951.7,251.8,825.3,811.0,372.9,881.6,767.4,869.5,817.8,880.5,975.4,893.7,977.9,747.3,584.6,459.5,410.8,858.2
NB,359.2,441.7,530.7,143.9,272.5,813.1,513.0,250.1,80.8,821.7,798.4,799.3,409.5,455.1,452.8,486.6,465.5,861.2,868.4,753.2,565.3,379.1,472.7,844.9,278.2,547.2,61.6,798.2,335.5,157.7,407.4,474.1,336.6,790.9,823.7,434.5,391.4,797.5,624.7,112.5,543.1,422.7,446.9,607.6,490.5,852.3,34.8,103.5,491.7,561.7,0.0,508.3,58.5,748.6,464.0,521.0,676.3,455.4,506.6,43.6,686.5,542.5,375.6,58.7,686.5,454.1,507.8,911.7,550.2,824.9,297.4,718.0,297.8,892.6,416.8,485.6,139.8,34.8,2570.2,70.9,740.6,412.6,288.8,0.0,703.3,173.6,578.4,762.4,545.8,440.3,341.1,482.1,480.7,721.1,706.8,794.6,832.0,747.2,765.3,698.5,410.9,505.8,774.4,767.8,767.3,924.4,799.3,750.6,388.6
NG,214.9,363.6,997.6,378.9,325.8,790.6,890.2,273.1,547.7,510.7,487.4,765.8,450.2,922.0,403.5,342.3,394.5,838.7,834.9,442.2,56.9,335.4,382.1,533.9,350.7,38.8,583.8,764.7,291.8,624.6,288.9,329.8,218.1,479.9,801.2,901.4,165.3,486.5,413.9,579.4,34.7,889.6,119.2,920.0,957.4,541.3,557.0,570.4,16.6,957.7,522.1,0.0,525.4,437.6,391.5,12.6,365.3,293.2,897.0,510.5,375.5,231.5,190.5,580.9,375.5,112.0,58.3,727.1,41.8,513.9,300.9,407.0,431.6,859.1,100.6,174.6,606.7,501.7,2321.6,537.8,779.3,368.9,361.3,522.1,492.5,640.5,931.3,451.4,1012.7,214.2,413.6,266.5,947.6,410.1,395.8,761.1,521.0,436.2,454.3,387.5,99.9,194.8,463.4,456.8,456.3,901.9,847.7,763.8,270.1
NK,362.5,445.0,472.1,147.2,275.8,754.5,454.4,253.4,61.9,825.0,801.7,740.7,412.8,396.5,456.1,489.9,468.8,802.6,809.8,756.5,568.6,382.4,476.0,848.2,281.5,550.5,100.2,739.6,338.8,138.8,410.7,477.4,339.9,794.2,765.1,375.9,394.7,800.8,628.0,93.6,546.4,364.1,450.2,549.0,431.9,855.6,73.4,84.6,495.0,503.1,38.5,511.6,0.0,751.9,467.3,524.3,679.6,458.7,448.0,24.7,689.8,545.8,378.9,97.3,689.8,457.4,511.1,853.1,553.5,828.2,300.7,721.3,301.1,834.0,420.1,488.9,120.9,13.6,2511.6,12.4,682.0,415.9,292.1,38.5,706.6,154.7,519.8,765.7,487.2,443.6,344.4,485.4,422.1,724.4,710.1,736.0,835.3,750.5,768.6,701.8,414.2,509.1,777.7,771.1,770.6,865.8,740.7,692.0,391.9
NO,462.5,611.2,755.5,626.5,573.4,565.6,665.2,520.7,795.3,240.0,214.1,540.8,455.2,725.4,408.5,589.9,642.1,613.7,609.9,35.5,479.2,583.0,387.1,260.6,596.6,461.1,831.4,539.7,539.4,872.2,527.7,577.4,465.7,206.6,576.2,758.6,416.9,79.8,272.7,827.0,457.0,746.8,541.5,695.0,689.1,268.0,804.6,818.0,405.6,732.7,769.7,422.2,773.0,0.0,396.5,434.9,136.5,479.7,672.0,758.1,122.6,384.0,478.9,828.5,52.0,534.3,480.6,502.1,464.1,240.6,548.5,74.3,679.2,634.1,422.3,327.1,854.3,749.3,2074.8,785.4,554.3,616.5,585.2,769.7,152.4,888.1,706.3,154.9,744.5,430.0,528.9,453.0,846.6,154.8,124.6,536.1,224.5,162.9,136.1,87.5,331.9,347.3,56.7,92.4,183.0,676.9,622.7,538.8,517.7
NQ,351.7,472.7,976.1,357.4,400.5,887.9,958.4,281.1,526.2,608.0,584.7,863.1,58.6,900.5,12.0,479.1,496.5,936.0,932.2,437.3,444.0,410.1,8.7,631.2,200.0,425.9,562.3,862.0,366.5,603.1,289.4,466.6,354.9,577.2,898.5,879.9,240.6,481.6,160.6,557.9,421.8,868.1,439.4,1053.0,935.9,638.6,535.5,548.9,370.4,1007.1,500.6,387.0,503.9,401.7,0.0,399.7,462.6,241.4,952.0,489.0,472.8,155.1,368.1,559.4,400.5,446.6,445.4,841.2,428.9,611.2,375.6,476.1,456.2,956.4,297.5,212.0,585.2,480.2,2418.9,516.3,876.6,443.6,188.6,500.6,239.2,619.0,1023.8,526.1,991.2,191.7,132.3,214.7,926.1,507.4,493.1,858.4,548.0,533.5,537.9,484.8,296.7,191.8,458.5,309.2,553.6,999.2,945.0,861.1,308.2
NS,227.6,376.3,1010.3,391.6,338.5,803.3,902.9,285.8,560.4,523.4,500.1,778.5,462.9,934.7,416.2,355.0,407.2,851.4,847.6,454.9,44.2,348.1,394.8,546.6,363.4,26.1,596.5,777.4,304.5,637.3,301.6,342.5,230.8,480.1,814.5,914.1,178.0,457.1,426.6,592.1,22.0,902.3,116.4,932.7,970.1,553.3,569.7,583.1,29.2,970.4,534.8,12.6,538.1,450.3,404.2,0.0,378.0,305.9,909.7,523.2,388.2,244.2,202.8,593.6,388.2,109.2,55.5,739.8,29.1,526.6,313.6,419.7,444.3,871.8,113.3,187.3,619.4,514.4,2334.3,550.5,792.0,381.6,374.0,534.8,505.2,653.2,944.0,464.1,1025.4,226.9,426.3,279.2,960.3,422.8,408.5,773.8,536.3,450.6,467.0,400.2,112.6,207.5,476.1,469.5,469.0,914.6,860.4,776.5,282.8
NT,447.5,554.3,635.0,569.6,516.5,445.1,544.7,463.8,738.4,147.9,122.0,420.3,545.8,604.9,499.1,533.0,585.2,493.2,489.4,123.6,422.3,526.1,477.7,168.5,541.4,404.2,774.5,419.2,482.5,815.3,479.6,520.5,408.8,102.0,456.3,638.1,360.0,98.8,409.3,770.1,400.1,626.3,484.6,574.5,568.6,175.2,747.7,761.1,348.7,612.2,712.8,365.3,716.1,136.5,487.1,378.0,0.0,478.3,551.5,701.2,23.8,327.1,380.8,771.6,185.6,477.4,423.7,381.6,407.2,148.5,491.6,70.7,622.3,513.6,365.4,270.2,797.4,692.4,1949.9,728.5,433.8,559.6,552.0,712.8,289.0,831.2,585.8,86.0,624.0,408.9,604.3,451.6,726.1,44.7,24.0,415.6,155.6,72.5,88.9,68.9,275.0,290.4,144.8,229.0,90.9,556.4,502.2,418.3,460.8
NV,172.8,321.5,949.7,331.0,277.9,883.9,932.0,225.2,499.8,604.0,580.7,859.1,284.9,874.1,238.2,300.2,352.4,932.0,928.2,525.3,356.7,287.5,216.8,627.2,302.8,338.6,535.9,858.0,243.9,576.7,47.9,287.7,118.8,573.2,894.5,853.5,137.8,569.6,248.6,531.5,334.5,841.7,260.5,1026.6,909.5,634.6,509.1,522.5,283.1,980.7,474.2,299.7,477.5,489.7,226.2,312.4,458.6,0.0,925.6,462.6,468.8,151.1,189.2,533.0,468.8,267.7,321.4,820.4,341.6,607.2,253.0,500.3,383.7,952.4,194.7,208.0,558.8,453.8,2414.9,489.9,872.6,321.0,313.4,474.2,327.2,592.6,997.4,544.7,964.8,88.9,358.6,26.7,899.7,503.4,489.1,854.4,614.3,529.5,547.6,480.8,202.8,187.8,546.5,397.2,549.6,995.2,941.0,857.1,66.7
OF,788.0,870.5,128.9,572.7,701.3,388.3,6.3,678.9,487.4,635.7,662.8,292.6,838.3,53.3,881.6,915.4,894.3,436.4,361.7,819.1,994.1,807.9,901.5,664.9,707.0,976.0,525.7,291.5,764.3,564.3,836.2,902.9,765.4,670.3,398.9,55.9,820.2,863.4,1053.5,519.1,971.9,69.5,875.7,205.8,17.0,657.5,498.9,510.1,920.5,159.9,464.0,937.1,425.4,832.0,892.8,949.8,727.1,884.2,0.0,450.2,719.3,971.3,804.4,522.8,881.1,882.9,936.6,506.6,979.0,684.9,726.2,783.9,726.6,385.9,845.6,914.4,546.4,439.1,2266.1,413.0,306.1,841.4,717.6,464.0,984.5,580.2,71.7,813.2,144.0,869.1,769.9,910.9,211.0,771.9,757.6,287.9,828.2,714.0,816.1,764.4,839.7,934.6,840.3,924.5,693.9,499.6,374.5,325.8,817.4
