from_stop,AG,AL,AM,BA,BL,BM,CD,DE,DV,EV,FE,FJ,GJ,GO,GQ,GR,GU,HB,HE,HI,HK,HM,HS,IC,IF,IK,IW,IZ,JA,JB,JG,JH,JN,JP,JR,JS,KO,KV,KW,LB,LD,LG,LH,LO,MH,NO,OR,PO,PP,QH,QT,QX,RJ,RL,SM,SQ,TW,TY,UB,UH,VC,VD,VH,VU,XP,XX,YE,YN,YQ,YR,YT,YU,YZ,ZA,ZL,ZN,ZO,ZP,ZR,ZS,ZW
LG,491.2,130.2,276.3,105.7,43.1,90.1,120.5,172.5,41.8,227.2,156.6,41.5,51.6,195.9,463.4,439.0,68.1,121.3,395.5,270.5,144.1,261.6,287.0,179.2,445.3,358.3,114.3,96.6,140.1,159.4,112.8,370.1,112.4,197.0,140.8,458.6,76.9,169.0,465.9,136.1,365.9,0.0,393.0,233.3,82.0,173.1,339.6,355.8,502.0,445.2,411.8,98.1,203.5,283.0,147.0,104.8,438.3,25.9,147.4,82.5,160.8,217.9,41.5,254.8,208.9,45.7,336.3,114.0,77.7,94.2,297.0,1797.0,188.5,354.2,234.9,63.6,462.7,164.9,226.8,137.8,125.5
LH,94.7,465.2,110.1,357.2,354.2,484.5,485.3,234.8,436.2,472.8,438.2,420.8,333.6,237.3,136.8,45.9,440.0,312.2,33.4,109.5,285.6,118.3,102.4,488.6,120.6,36.0,345.8,312.8,274.6,229.0,336.4,24.8,323.3,210.4,325.3,64.9,352.4,425.7,72.8,304.0,27.7,394.3,0.0,178.2,428.4,482.5,78.0,37.4,105.5,52.1,18.6,349.6,512.9,134.0,456.4,336.3,45.2,420.3,258.4,454.4,470.2,474.6,420.8,124.7,234.0,425.0,114.6,360.6,344.8,316.0,140.3,1908.2,547.9,58.8,160.6,332.6,96.5,482.4,169.9,268.5,336.4
LO,277.4,271.6,90.0,190.1,186.4,309.1,321.5,56.5,260.8,327.9,324.4,242.5,190.0,109.1,252.8,225.6,269.1,146.7,182.1,113.2,99.0,110.1,100.7,309.9,234.7,144.9,168.6,134.5,165.5,202.1,157.8,156.7,157.8,185.7,146.6,248.0,186.9,280.8,252.5,114.1,152.5,259.4,179.6,0.0,247.0,303.8,106.2,188.4,288.2,231.8,198.4,184.1,334.2,49.6,277.7,170.8,224.9,244.9,80.7,283.5,291.5,329.7,242.5,103.3,136.6,246.7,125.7,181.9,164.2,177.1,63.6,1818.8,406.6,143.6,83.4,167.1,248.9,365.9,75.3,90.2,170.9
MH,512.8,59.2,323.7,182.2,122.0,124.4,99.6,174.5,77.8,192.2,77.3,61.9,128.1,232.8,488.4,461.0,86.1,196.1,417.5,287.5,215.0,278.6,336.1,141.1,470.1,382.7,193.2,98.6,216.6,235.9,93.3,392.1,187.2,268.4,199.9,481.7,153.4,118.5,487.9,212.6,387.9,76.4,413.3,235.3,0.0,138.1,341.6,423.8,521.9,467.2,433.8,177.0,168.5,285.0,112.0,181.3,460.3,61.9,147.7,100.5,125.8,167.4,59.5,274.2,262.0,66.1,361.1,190.5,82.1,170.7,297.3,1742.4,161.5,376.7,250.2,138.4,484.3,142.2,242.1,138.1,200.3
NO,551.8,163.0,375.6,158.3,161.0,113.6,178.7,292.0,168.1,70.1,125.6,124.2,176.9,272.0,542.0,529.1,126.3,202.6,488.7,369.8,243.4,360.9,386.3,22.1,523.9,451.5,205.6,216.1,221.4,253.5,232.3,463.3,182.8,273.1,157.5,532.2,170.5,110.6,557.0,235.4,459.1,157.9,486.2,352.8,193.9,0.0,403.4,447.6,562.6,535.3,505.0,165.9,46.4,402.5,25.7,196.1,528.4,163.4,266.9,140.7,11.9,206.5,124.2,354.1,285.0,119.9,429.5,150.1,197.2,187.8,416.5,1810.4,102.9,447.4,334.2,175.2,523.3,138.2,326.1,257.3,170.4
OR,224.5,354.6,67.8,259.5,255.8,409.3,376.0,156.7,361.0,405.4,370.8,342.7,266.2,143.7,196.7,119.3,369.3,216.1,75.8,31.4,168.4,40.2,57.4,379.3,178.6,38.6,240.1,234.7,207.2,184.0,258.0,50.4,227.2,167.6,216.0,140.4,256.3,358.3,146.2,183.5,46.2,298.2,73.3,100.1,347.2,373.2,0.0,82.1,235.3,125.5,92.1,253.5,403.6,89.0,347.1,240.2,118.6,345.1,180.9,383.7,360.9,407.2,342.7,46.6,187.3,346.9,69.6,251.3,264.4,248.6,76.8,1833.6,438.6,87.5,82.5,236.5,196.0,415.0,93.5,190.4,240.3
PO,164.6,429.0,69.8,332.2,326.9,454.5,449.1,201.9,406.2,438.3,403.7,387.9,299.1,212.3,110.6,75.1,403.8,287.2,7.9,137.5,260.6,146.3,59.4,452.4,92.5,91.6,273.0,279.9,240.1,204.0,303.2,45.3,298.3,187.6,289.1,87.7,327.4,391.2,102.0,233.5,49.5,369.3,29.1,145.3,392.4,446.3,106.0,0.0,175.4,81.3,47.9,324.6,476.7,99.1,420.2,311.3,74.4,390.3,226.1,418.2,434.0,440.1,387.9,152.7,207.3,392.1,36.3,324.4,309.6,281.5,86.9,1908.2,511.7,18.4,119.7,307.6,148.4,447.9,130.7,235.6,311.4
PP,10.8,559.7,202.3,463.3,461.9,581.4,579.8,328.8,533.1,570.4,535.8,514.9,431.2,347.3,67.2,63.1,534.5,422.2,159.9,272.7,395.6,281.5,194.6,583.1,84.5,226.8,405.1,406.8,372.2,339.0,430.4,238.6,433.3,320.4,419.8,85.7,462.4,523.3,36.2,368.7,234.4,504.3,102.0,272.2,517.3,577.0,241.2,151.9,0.0,56.9,86.3,459.6,607.4,226.0,550.9,446.3,63.8,517.2,352.4,548.9,564.7,572.2,514.8,287.9,344.0,519.0,171.5,455.1,436.5,413.6,232.3,1991.2,642.4,154.2,254.9,442.6,52.8,580.0,265.9,362.5,446.4
QH,42.5,466.5,160.2,404.6,399.3,531.9,532.7,281.6,483.6,517.3,482.7,467.6,378.1,284.7,94.1,6.1,487.4,359.6,115.3,156.9,333.0,165.7,149.8,536.0,76.0,83.4,393.2,359.6,319.1,276.4,382.9,72.2,370.7,260.0,372.7,28.7,399.8,470.2,20.6,351.4,76.4,441.7,47.3,225.0,472.1,529.9,125.4,107.3,53.3,0.0,29.3,397.0,560.3,178.8,503.8,383.7,6.8,467.7,305.8,501.8,517.6,519.1,467.6,172.1,279.7,471.8,126.9,408.0,389.3,360.5,166.6,1938.1,595.3,109.0,208.0,380.0,44.3,526.9,219.0,315.3,383.8
QT,75.9,483.2,131.4,375.2,369.9,502.5,503.3,252.8,454.2,490.8,456.2,439.4,352.2,255.2,120.2,27.1,458.0,330.2,49.1,127.5,303.6,136.3,120.4,506.5,101.8,53.9,363.7,330.8,292.6,247.0,354.7,42.8,341.9,231.2,343.3,48.2,370.4,443.7,54.0,322.0,47.0,412.3,18.5,196.2,443.3,500.5,96.0,55.4,86.7,33.3,0.0,368.2,530.9,152.0,474.4,354.3,26.4,438.3,277.0,472.4,488.2,492.6,438.8,142.6,250.9,443.6,126.4,378.6,360.5,334.0,140.4,1926.2,565.8,108.5,178.6,350.5,77.7,500.4,190.2,286.4,354.4
QX,434.5,151.4,219.6,7.5,63.7,196.3,171.5,140.7,148.0,222.8,256.8,124.1,106.7,139.2,406.9,382.3,126.2,64.6,338.8,213.8,87.4,204.9,230.3,174.8,388.6,301.6,39.6,202.8,83.4,102.7,219.0,313.4,55.7,140.3,74.2,401.9,64.2,263.3,409.2,79.4,307.8,106.1,336.3,179.6,186.2,168.7,247.4,345.1,445.3,388.5,355.7,0.0,199.1,229.3,142.6,30.1,381.6,132.1,152.6,140.6,156.4,282.8,124.1,198.1,152.2,119.8,279.6,15.8,183.9,81.5,268.8,1883.9,234.1,296.9,178.2,44.4,406.0,223.0,170.1,162.7,68.8
RJ,598.2,167.9,416.9,204.7,207.4,160.0,211.4,279.2,191.0,23.7,172.0,170.6,223.3,328.3,567.3,559.4,172.7,249.0,483.4,392.2,308.8,383.3,427.6,28.5,549.2,471.8,252.0,203.3,267.8,299.9,182.4,483.6,229.2,319.5,203.9,562.5,216.9,64.1,586.3,281.8,479.4,204.3,504.6,340.0,185.1,42.4,433.1,475.4,609.0,565.6,523.4,212.3,0.0,389.7,72.1,242.5,558.7,209.8,254.1,187.1,58.3,245.5,170.6,376.5,355.8,166.3,452.9,196.5,191.5,234.2,403.7,1852.9,149.3,470.8,356.6,221.6,569.7,184.6,348.5,244.5,216.8
RL,227.7,317.8,68.6,280.6,275.3,355.3,367.7,102.7,307.0,369.4,370.6,288.7,230.2,107.7,203.1,178.7,315.3,188.2,135.2,91.8,145.2,100.6,79.3,356.1,185.0,98.0,204.1,180.7,171.2,152.4,204.0,109.8,246.7,136.0,192.8,198.3,228.4,322.3,205.6,160.3,105.6,305.6,132.7,46.1,293.2,350.0,84.8,141.5,238.5,184.9,151.5,273.0,380.4,0.0,323.9,214.1,178.0,291.1,126.9,329.7,337.7,371.2,288.7,107.0,155.7,292.9,76.0,228.1,210.4,212.6,14.0,1865.0,452.8,93.9,85.1,256.0,199.2,412.1,96.1,136.4,259.8
SM,526.0,151.5,349.8,132.5,135.2,102.1,152.9,266.2,156.6,80.1,114.1,98.4,151.1,246.2,516.2,503.3,100.5,176.8,462.9,344.0,217.6,335.1,360.5,32.1,498.1,425.7,179.8,190.3,195.6,227.7,206.5,437.5,157.0,247.3,131.7,506.4,144.7,120.6,531.2,209.6,433.3,132.1,460.4,327.0,182.4,26.0,377.6,421.8,536.8,509.5,479.2,140.1,56.4,376.7,0.0,170.3,502.6,137.6,241.1,114.9,13.7,195.0,98.4,328.3,259.2,94.1,403.7,124.3,171.4,162.0,390.7,1836.5,91.4,421.6,308.4,149.4,497.5,126.7,300.3,231.5,144.6
SQ,442.0,182.4,227.1,38.5,51.2,183.8,193.1,110.5,135.5,253.8,250.3,135.2,94.2,138.7,414.2,389.8,140.7,72.1,293.8,221.3,119.2,212.4,237.8,205.8,396.1,309.1,9.4,190.3,90.9,110.2,206.5,320.9,63.2,147.8,119.4,409.4,51.7,203.7,416.7,86.9,316.7,93.6,343.8,171.3,175.7,199.7,243.5,285.8,452.8,396.0,362.6,30.9,230.1,204.9,173.6,0.0,389.1,119.6,123.0,155.1,187.4,252.6,135.2,205.6,159.7,139.4,287.1,46.8,171.4,69.0,218.9,1843.1,265.1,305.0,185.7,31.9,413.5,237.5,177.6,132.5,76.3
TW,49.4,459.6,153.3,397.7,392.4,525.0,525.8,274.7,476.7,510.4,475.8,460.7,371.2,277.8,101.0,0.7,480.5,352.7,108.4,150.0,326.1,158.8,142.9,529.1,82.9,76.5,386.3,352.7,312.2,269.5,376.0,65.3,363.8,253.1,365.8,21.8,392.9,463.3,27.5,344.5,69.5,434.8,40.4,218.1,465.2,523.0,118.5,100.4,60.2,6.8,22.4,390.1,553.4,171.9,496.9,376.8,0.0,460.8,298.9,494.9,510.7,512.2,460.7,165.2,272.8,464.9,120.0,401.1,382.4,353.6,159.7,1931.2,588.4,102.1,201.1,373.1,51.2,520.0,212.1,308.4,376.9
TY,516.3,59.6,328.9,131.7,69.1,64.1,106.0,178.0,15.9,214.5,130.6,27.0,77.6,221.9,489.4,464.5,53.6,147.3,421.0,291.0,170.1,282.1,339.6,166.5,471.3,383.8,140.3,102.1,166.1,185.4,118.3,395.6,138.4,223.0,166.8,484.6,102.9,147.1,491.4,162.1,391.4,25.9,418.5,238.8,85.0,160.4,345.1,381.8,527.1,470.7,437.3,124.1,190.8,288.5,134.3,130.8,463.8,0.0,152.9,68.0,148.1,196.0,27.0,275.3,234.9,31.2,362.3,140.0,83.2,120.2,302.5,1771.0,162.5,380.2,255.4,89.6,487.8,150.4,247.3,143.3,151.5
UB,363.3,190.8,178.7,189.1,184.8,228.3,240.7,25.0,180.0,247.1,243.6,162.4,109.8,134.9,338.0,311.5,188.3,145.7,267.4,138.0,98.0,129.1,186.6,301.8,320.6,230.8,104.8,53.7,164.5,154.4,77.3,242.6,156.2,145.8,145.6,333.3,129.7,200.0,338.4,113.1,239.7,178.6,267.6,85.8,169.3,295.1,192.1,274.3,373.5,317.7,284.3,182.5,269.6,135.5,269.0,115.4,310.8,164.1,0.0,202.7,282.8,248.9,161.7,121.7,123.7,165.9,211.6,180.9,83.4,113.9,128.9,1775.6,325.8,228.9,102.4,165.5,334.8,285.1,95.5,9.4,169.9
UH,551.0,47.6,368.1,165.5,102.9,129.5,37.9,217.2,71.8,192.4,123.5,49.4,118.8,255.7,523.2,498.8,15.1,181.1,455.3,330.2,203.9,321.3,378.8,144.4,505.1,418.1,174.1,141.3,199.9,219.2,129.0,429.9,172.2,256.8,147.0,518.4,136.7,156.2,525.7,195.9,425.7,83.1,452.8,278.0,94.1,138.3,384.3,461.6,561.8,505.0,471.6,157.9,168.7,327.7,112.2,164.6,498.1,87.7,192.1,0.0,126.0,205.1,49.4,314.5,268.7,45.1,396.1,139.6,122.4,154.0,341.7,1780.1,173.4,414.0,294.6,123.4,522.5,82.3,286.5,182.5,185.3
VC,539.8,151.0,363.6,146.3,149.0,101.6,166.7,280.0,156.1,66.3,113.6,112.2,164.9,260.0,530.0,517.1,114.3,190.6,476.7,357.8,231.4,348.9,374.3,18.3,511.9,439.5,193.6,204.1,209.4,241.5,220.3,451.3,170.8,261.1,145.5,520.2,158.5,106.8,545.0,223.4,447.1,145.9,474.2,340.8,181.9,12.2,391.4,435.6,550.6,523.3,493.0,153.9,42.6,390.5,13.7,184.1,516.4,151.4,254.9,128.7,0.0,194.5,112.2,342.1,273.0,107.9,417.5,138.1,185.2,175.8,404.5,1822.7,90.9,435.4,322.2,163.2,511.3,126.2,314.1,245.3,158.4
VD,615.0,144.4,444.7,221.5,234.6,95.0,187.9,343.5,149.5,134.8,107.0,192.5,243.1,356.1,605.2,587.2,219.1,265.8,511.2,456.5,336.6,447.6,455.4,86.8,587.1,499.6,268.8,267.6,284.6,316.7,210.2,511.4,246.0,336.3,220.7,590.3,233.7,175.3,620.2,327.6,507.2,191.4,532.4,404.3,175.3,80.7,460.9,503.2,625.8,593.4,551.2,229.1,111.1,454.0,88.9,259.3,586.5,165.4,318.4,204.9,68.4,0.0,192.5,440.8,348.2,196.7,492.7,213.3,248.7,251.0,468.0,1891.2,84.3,510.6,420.9,255.1,586.5,119.6,412.8,308.8,233.6
VH,506.0,88.6,318.6,139.4,76.8,103.3,78.9,167.7,55.0,187.4,154.6,0.0,85.3,227.7,481.4,454.2,26.5,155.0,410.7,280.7,208.2,271.8,329.3,139.4,463.3,373.5,148.0,91.8,173.8,193.1,108.0,385.3,146.1,230.7,142.0,476.6,110.6,164.2,481.1,169.8,381.1,33.6,408.2,228.5,77.2,133.3,334.8,417.0,516.8,460.4,427.0,131.8,163.7,278.2,107.2,138.5,453.5,39.1,142.6,40.9,121.0,213.1,0.0,265.0,242.6,4.1,354.3,147.7,72.9,127.9,292.2,1810.2,198.7,372.2,245.1,97.3,477.5,123.3,237.0,133.0,159.2
VU,273.8,309.2,90.8,212.8,209.1,341.7,329.3,97.2,293.4,380.6,365.1,281.9,252.1,148.5,246.2,168.6,284.0,169.4,125.1,15.6,121.7,6.7,101.5,332.6,227.9,87.9,203.0,175.2,188.2,233.3,198.8,99.7,180.5,216.9,169.3,189.7,209.6,313.2,195.5,136.8,96.8,251.5,122.6,104.9,290.8,326.5,49.2,131.4,284.6,174.8,141.4,206.8,356.9,107.0,300.4,193.5,167.9,277.5,120.8,298.4,314.2,362.1,281.9,0.0,176.0,277.6,118.9,204.6,204.9,226.9,121.0,1786.9,391.9,136.2,87.3,189.8,245.3,380.8,96.6,130.9,193.6
XP,333.3,253.7,159.0,157.3,152.7,285.3,259.3,188.4,237.0,325.1,351.8,226.4,195.7,35.4,305.7,281.1,228.5,113.0,237.6,150.4,86.4,141.5,166.9,277.1,287.4,200.4,146.6,234.7,131.8,53.9,258.3,212.2,124.1,20.3,113.8,300.7,153.2,276.1,308.0,94.2,209.3,195.1,237.2,116.2,280.3,271.0,184.0,243.9,344.1,287.3,253.8,152.1,301.4,165.9,244.9,137.1,280.4,221.1,180.3,242.9,258.7,325.0,226.4,133.0,0.0,222.1,178.4,149.1,272.9,170.5,159.3,1852.8,336.4,195.7,114.8,133.4,304.8,325.3,107.9,188.7,137.2
XX,510.3,84.4,322.9,143.7,81.1,107.6,90.0,172.0,59.3,183.2,158.9,4.2,89.6,232.0,485.9,458.5,22.3,159.3,415.0,285.0,212.5,276.1,333.6,135.2,467.6,377.8,152.3,96.1,178.1,197.4,112.3,389.6,150.4,235.0,137.8,480.9,114.9,168.5,485.4,174.1,385.4,37.9,412.5,232.8,81.5,129.1,339.1,421.3,521.1,464.7,431.3,136.1,159.5,282.5,103.0,142.8,457.8,43.4,146.9,36.7,116.8,217.4,4.2,269.3,248.6,0.0,358.6,152.0,77.2,132.2,296.5,1814.5,194.5,375.9,249.4,101.6,481.8,119.1,241.3,137.3,163.5
YE,154.8,403.8,33.4,295.8,290.5,423.1,423.9,175.4,374.8,411.4,376.8,361.4,272.2,175.9,127.0,119.1,378.6,250.8,92.4,101.1,224.2,109.9,23.0,427.2,108.9,55.2,284.4,253.4,213.2,167.6,276.7,67.0,261.9,151.2,263.9,122.2,291.0,364.3,146.0,197.1,62.8,332.9,89.9,118.8,365.9,421.1,69.6,53.1,165.6,125.3,108.7,288.2,451.5,72.6,395.0,274.9,118.4,358.9,199.6,393.0,408.8,413.2,361.4,116.3,170.9,365.6,0.0,299.2,283.1,254.6,60.4,1871.8,486.5,17.9,83.3,271.2,126.3,421.0,94.3,209.1,275.0
YN,450.3,135.5,235.4,8.1,79.5,209.5,155.6,156.5,159.7,206.9,240.9,108.2,119.9,155.0,422.5,398.1,110.3,80.4,354.6,229.6,103.2,220.7,246.1,158.9,404.4,317.4,55.4,200.1,99.2,118.5,216.3,329.2,71.5,156.1,58.3,417.7,79.2,247.4,425.0,95.2,325.0,119.3,352.1,195.4,182.0,152.8,263.2,360.9,461.1,404.3,370.9,15.7,183.2,245.1,126.7,45.9,397.4,145.3,169.0,124.7,140.5,293.0,108.2,213.9,168.0,103.9,295.4,0.0,181.2,96.5,284.6,1868.0,218.2,313.3,194.0,60.2,421.8,207.1,185.9,178.5,84.6
YQ,433.0,112.8,248.4,200.9,138.3,144.8,172.5,94.7,96.5,163.6,160.1,78.2,146.8,200.0,408.6,381.2,104.8,215.4,337.7,207.7,167.7,198.8,256.3,217.7,390.3,300.5,209.5,18.8,234.2,254.6,35.3,312.3,207.6,213.7,215.3,403.6,172.1,116.5,408.1,182.8,306.7,95.1,337.3,155.5,80.7,211.6,261.8,344.0,443.8,387.4,353.9,193.3,186.1,205.2,185.5,200.0,380.5,80.6,69.6,119.2,199.3,165.4,78.2,192.0,193.4,82.4,281.3,209.2,0.0,189.4,219.2,1748.5,242.3,298.6,172.1,158.8,404.5,201.6,164.0,60.0,220.7
YR,401.0,180.1,229.1,87.0,37.7,170.3,179.6,112.3,122.0,251.5,236.8,121.7,80.7,140.5,379.5,371.6,127.2,102.6,295.6,251.8,121.0,242.9,239.8,203.5,361.4,284.0,95.6,176.8,121.4,140.7,193.0,295.8,93.7,176.1,130.8,374.7,15.7,166.4,398.5,117.4,291.6,80.1,316.8,173.1,162.2,197.4,245.3,287.6,411.8,377.8,335.6,79.4,227.8,206.7,171.3,86.1,370.9,106.1,124.8,141.6,185.1,215.3,121.7,236.1,168.0,125.9,265.1,95.3,157.9,0.0,220.7,1808.3,262.8,283.0,216.2,44.9,372.5,224.0,208.1,134.3,106.8
YT,213.7,374.6,77.5,266.6,226.3,367.5,361.4,114.9,319.2,381.6,382.8,282.4,242.4,146.7,209.9,164.7,327.5,221.6,121.2,104.0,195.0,112.8,69.8,398.0,171.0,104.6,197.8,192.9,183.4,138.4,216.5,95.8,232.7,119.8,234.7,184.3,261.8,334.5,191.6,213.4,92.9,303.7,120.8,58.3,308.5,391.9,97.0,127.5,224.5,170.9,137.4,224.0,422.3,12.1,365.8,245.7,164.0,303.3,138.5,341.9,379.6,383.4,300.9,100.7,143.4,305.1,62.0,270.0,204.1,224.8,0.0,1877.2,457.3,99.9,97.3,242.0,185.2,424.3,106.6,130.1,210.8
YU,1798.2,1614.5,1753.4,1859.5,1722.7,1637.0,1658.0,1715.7,1637.6,1683.3,1650.6,1680.6,1731.2,1777.7,1811.7,1893.2,1679.3,1787.9,1825.0,1723.0,1740.2,1714.1,1764.1,1723.3,1831.7,1790.9,1821.5,1604.0,1806.7,1796.6,1583.1,1836.7,1799.0,1786.2,1787.8,1860.6,1756.5,1636.2,1823.7,1755.3,1840.9,1679.5,1840.5,1783.4,1631.7,1701.1,1756.6,1831.3,1787.4,1899.4,1894.9,1777.7,1747.6,1787.6,1667.3,1812.0,1892.5,1653.5,1654.8,1664.2,1713.1,1685.1,1680.6,1707.3,1767.6,1684.8,1789.4,1851.3,1606.6,1773.8,1801.6,0.0,1732.8,1849.8,1712.0,1743.2,1851.2,1674.9,1703.9,1645.2,1812.1
YZ,532.2,111.3,360.3,282.1,219.5,133.8,154.8,222.6,134.4,101.7,147.4,177.4,228.0,271.7,510.9,502.8,176.1,299.9,426.8,335.6,252.2,326.7,371.0,196.3,492.6,415.2,333.5,146.7,318.7,324.7,125.5,427.0,311.0,307.3,299.8,505.9,253.3,54.6,529.7,267.3,424.1,176.3,448.0,283.4,128.5,190.2,376.5,418.8,543.0,509.0,466.7,274.5,124.2,333.1,164.1,324.0,502.1,150.3,197.5,161.0,177.9,103.5,177.4,319.9,299.2,181.6,396.3,260.5,134.9,270.6,347.1,1776.9,0.0,413.6,300.0,240.0,503.7,171.7,291.9,187.9,324.1
ZA,137.5,421.1,48.0,313.1,307.8,440.4,426.7,192.7,392.1,428.7,394.1,378.7,289.5,193.2,109.9,101.8,395.9,268.1,43.8,118.4,241.5,127.2,40.3,444.5,91.6,72.5,301.7,270.7,230.5,184.9,294.0,84.3,279.2,166.3,281.2,104.9,308.3,381.6,128.7,214.4,78.7,350.2,65.0,136.1,386.3,438.4,86.9,35.8,148.3,108.0,122.9,305.5,468.8,89.9,412.3,292.2,101.1,376.2,216.9,410.3,426.1,430.5,378.7,133.6,188.2,382.9,17.2,316.5,300.4,271.9,96.2,1889.1,503.8,0.0,100.6,288.5,109.0,438.3,109.9,226.4,292.3
ZL,232.2,286.1,41.3,189.7,186.0,318.6,291.7,74.1,270.3,357.5,342.0,258.8,229.0,117.0,204.6,196.5,260.9,146.3,151.4,82.5,98.6,77.1,52.0,309.5,186.3,114.2,179.9,152.1,165.1,209.7,173.2,126.0,157.4,193.3,146.2,199.6,186.5,331.6,223.4,113.7,116.6,228.4,148.9,73.4,267.7,303.4,75.5,157.7,243.0,202.7,167.6,183.7,333.8,75.5,277.3,170.4,195.8,254.4,97.7,275.3,291.1,380.5,258.8,70.3,144.5,254.5,77.3,181.5,181.8,203.8,68.9,1788.4,368.8,94.6,0.0,166.7,203.7,357.7,9.3,107.8,170.5
ZN,427.5,170.8,212.6,42.0,19.2,151.8,176.4,149.4,103.5,250.4,218.3,103.2,62.2,132.2,399.9,375.3,108.7,57.6,331.8,206.8,80.4,197.9,223.3,202.4,381.6,294.6,50.6,158.3,76.4,95.7,174.8,306.4,48.7,133.3,104.9,394.9,19.7,200.7,402.2,72.4,300.8,61.6,329.3,172.6,146.8,196.3,240.4,338.1,438.3,381.5,348.1,34.4,226.7,222.3,170.2,41.1,374.6,87.6,157.0,123.1,184.0,249.6,103.2,191.1,145.2,107.4,272.6,50.3,139.4,37.0,261.8,1858.7,250.2,289.9,171.2,0.0,399.0,205.5,163.1,147.4,61.8
ZO,28.4,511.5,152.1,414.3,409.0,528.5,531.6,275.9,480.2,517.5,482.9,461.9,378.3,294.4,49.7,60.5,486.3,369.3,107.0,219.8,342.7,228.6,141.7,534.9,31.6,173.9,352.2,353.9,319.3,286.1,377.2,185.7,380.4,269.7,371.6,83.1,409.5,470.4,33.6,315.8,181.5,451.4,101.7,219.3,466.4,528.8,188.3,99.0,39.2,54.3,83.7,406.7,559.2,173.1,502.7,393.4,61.2,464.3,300.1,500.7,516.5,519.3,461.9,235.0,289.4,466.1,118.6,406.9,383.6,360.7,160.9,1970.6,594.2,100.7,202.0,389.7,0.0,527.1,213.0,309.6,393.5
ZP,595.4,78.9,408.0,258.5,195.9,74.8,120.0,257.1,129.3,180.2,68.8,142.4,211.8,348.7,570.8,543.6,108.0,274.1,500.1,370.1,330.6,361.2,418.7,132.2,552.7,462.9,267.1,181.2,292.9,312.2,160.3,474.7,265.2,349.8,203.8,566.0,229.7,151.5,570.5,288.9,470.5,171.2,497.6,317.9,137.1,126.1,424.2,497.2,606.2,549.8,516.4,250.9,156.5,367.6,100.0,257.6,542.9,145.2,232.0,92.9,113.8,200.4,142.4,354.4,361.7,138.1,443.7,196.4,215.4,247.0,381.6,1811.4,118.7,461.6,334.5,216.4,566.9,0.0,326.4,222.4,216.7
ZR,240.3,275.1,52.2,178.7,176.7,307.6,295.2,63.1,259.3,346.5,331.0,249.5,218.0,123.9,212.7,204.6,249.9,137.0,158.3,75.0,87.6,66.1,60.1,298.5,194.4,121.1,168.9,141.1,154.1,217.8,164.7,134.1,146.4,199.2,136.9,206.5,175.5,279.1,231.5,102.7,131.2,217.4,159.1,81.5,256.7,292.4,83.6,165.8,251.1,210.8,175.7,172.7,322.8,83.6,266.3,159.4,203.9,243.4,86.7,264.3,280.1,328.0,247.8,59.3,154.3,243.5,85.4,170.5,170.8,192.8,77.0,1777.4,357.8,101.5,8.1,155.7,211.8,346.7,0.0,96.8,161.2
ZS,372.9,181.3,185.5,198.7,195.0,218.8,210.3,34.6,170.5,237.6,234.1,152.2,99.7,145.1,348.5,321.1,178.8,155.3,277.6,147.6,107.6,138.7,196.2,291.7,330.2,240.4,115.0,44.2,174.1,164.0,67.8,252.2,166.4,153.6,155.2,343.5,139.3,190.5,348.0,122.7,248.0,169.1,275.1,95.4,154.7,285.6,201.7,283.9,383.7,327.3,293.8,192.7,260.1,145.1,259.5,125.0,320.4,154.6,9.5,193.2,273.3,239.4,152.2,131.9,133.3,156.4,221.2,190.5,73.9,123.5,138.5,1778.5,316.3,238.5,112.0,175.7,344.4,275.6,105.1,0.0,179.5
ZW,420.0,152.9,205.1,56.5,89.8,222.4,173.0,184.8,174.1,224.3,258.3,125.6,132.8,124.7,392.4,367.8,127.7,32.1,324.3,199.3,72.9,190.4,215.8,176.3,374.1,287.1,83.7,217.5,50.9,88.2,233.7,298.9,12.3,125.8,50.6,387.4,90.3,264.8,394.7,64.9,293.3,132.2,321.8,165.1,197.0,170.2,232.9,330.6,430.8,374.0,340.6,64.1,200.6,211.1,144.1,74.2,367.1,158.2,196.7,142.1,157.9,309.3,125.6,183.6,137.7,121.3,265.1,48.3,198.6,107.6,204.5,1885.4,235.6,282.4,163.7,70.5,391.5,224.5,155.6,206.8,0.0
