from_stop,AB,AD,AJ,AQ,AW,BD,BT,CE,CH,CK,CR,CZ,DD,DK,DM,DP,EE,EI,EV,FF,FQ,GC,GT,IJ,JF,JQ,JV,KG,KH,KV,LJ,LP,MU,NH,NW,OF,QL,QO,QR,RB,RM,RX,SN,SX,SY,TB,TK,TN,TO,UL,UO,UV,UY,VA,VM,VS,WD,WM,WO,XX,YN,YR,YZ,ZC,ZI
UV,355.4,321.0,388.7,274.8,613.5,312.5,512.3,288.0,585.4,338.4,385.2,315.1,203.4,2307.5,72.3,567.0,179.6,385.2,503.1,564.8,410.2,224.8,418.8,489.4,322.3,463.0,613.7,285.8,484.7,194.1,660.6,444.5,236.4,297.9,511.9,467.8,511.9,307.8,488.6,453.4,484.8,393.2,512.3,451.3,375.8,495.0,307.4,343.7,360.2,491.0,436.8,0.0,483.4,362.8,436.1,412.4,97.7,444.6,551.0,420.5,182.7,436.4,322.8,431.2,468.4
UY,324.2,450.4,343.0,404.2,209.6,339.8,76.0,191.4,181.5,344.2,514.6,444.5,340.9,2055.6,392.8,93.6,375.4,514.6,66.8,136.4,364.3,294.7,202.0,89.0,459.8,26.7,135.7,415.2,162.3,389.9,143.8,45.5,231.2,303.7,75.6,311.0,75.6,445.3,5.2,306.9,162.4,231.0,76.0,184.9,316.1,11.5,436.8,473.1,310.1,146.6,184.0,493.1,0.0,273.1,152.7,541.8,425.5,398.9,150.6,168.6,312.1,201.2,329.5,239.9,131.7
VA,51.0,557.9,69.8,511.7,250.6,66.6,198.7,298.9,222.5,451.7,622.1,552.0,232.4,1974.6,337.0,347.1,444.3,622.1,213.2,219.0,91.1,154.3,55.9,180.3,351.3,215.3,280.8,522.7,293.4,458.8,327.7,195.2,227.8,411.2,198.4,134.9,198.4,552.8,239.3,91.9,293.5,54.6,198.7,88.4,42.9,245.7,544.3,580.6,36.9,128.1,73.9,392.0,234.1,0.0,283.8,649.3,342.4,125.7,241.9,299.7,419.6,73.5,56.3,76.9,262.8
VM,389.4,403.9,412.1,357.7,318.9,335.9,185.8,150.6,290.8,297.7,468.1,398.0,294.4,2164.9,346.3,210.4,328.9,468.1,176.1,228.6,433.6,248.2,275.4,162.4,413.3,136.0,252.5,368.7,48.5,343.4,260.6,117.5,184.7,257.2,184.9,491.2,184.9,398.8,161.6,382.1,48.6,416.6,185.3,294.2,399.2,168.0,390.3,426.6,383.6,255.9,257.4,446.6,156.4,349.7,0.0,495.3,379.0,468.0,224.0,75.2,265.6,310.5,346.2,315.7,32.2
VS,601.5,82.5,624.2,147.8,677.9,548.0,544.3,320.0,649.8,370.4,91.9,88.4,471.8,2344.1,315.4,599.0,286.8,18.1,535.1,587.6,645.7,460.3,654.3,521.4,590.7,495.0,662.3,158.8,516.7,272.3,649.2,476.5,396.8,329.9,543.9,703.3,543.9,279.7,520.6,688.9,516.8,628.7,544.3,653.2,611.3,527.0,137.0,59.8,595.7,614.9,616.4,415.7,515.4,598.3,468.1,0.0,348.1,680.1,583.0,452.5,205.0,671.9,558.3,666.7,500.4
WD,329.8,277.4,363.1,231.2,587.9,286.9,468.7,244.4,559.8,282.7,357.7,271.5,177.8,2281.9,28.7,523.4,136.0,341.6,459.5,539.2,384.6,199.2,393.2,445.8,296.7,419.4,588.1,242.2,441.1,150.5,573.6,400.9,210.8,254.3,468.3,442.2,468.3,264.2,445.0,427.8,441.2,367.6,468.7,425.7,350.2,451.4,263.8,300.1,334.6,465.4,411.2,101.7,439.8,337.2,392.5,368.8,0.0,419.0,507.4,376.9,139.1,410.8,297.2,405.6,424.8
WM,124.7,631.6,55.9,585.4,388.3,140.3,317.2,372.6,360.2,513.3,695.8,625.7,306.1,2062.3,410.7,434.8,518.0,695.8,328.0,356.7,178.8,228.0,193.6,318.0,425.0,333.7,368.5,596.4,431.1,532.5,415.4,344.5,301.5,484.9,316.8,222.6,316.8,626.5,371.3,229.6,431.2,142.3,317.2,226.1,130.6,377.7,618.0,654.3,124.6,265.8,211.6,465.7,366.1,137.6,421.5,723.0,416.1,0.0,379.6,437.4,493.3,211.2,130.0,214.6,400.5
WO,199.7,501.0,195.5,454.8,274.3,192.3,182.5,247.7,246.2,394.8,581.3,495.1,358.1,2100.3,443.4,247.3,426.0,565.2,173.3,225.6,203.0,280.0,51.3,99.8,477.0,133.2,300.5,465.8,212.9,440.5,297.5,114.7,281.8,354.3,182.1,260.6,182.1,495.9,158.8,158.0,212.9,186.0,182.5,112.1,168.6,165.2,487.4,523.7,153.0,151.8,33.3,517.7,153.6,125.6,203.3,592.4,468.1,251.4,0.0,219.2,362.7,97.2,182.0,92.0,182.3
XX,291.1,328.6,336.8,282.4,332.1,260.6,198.5,69.6,304.0,210.3,392.8,322.7,219.1,2178.1,271.0,253.2,253.6,392.8,189.3,258.9,372.1,172.9,288.6,175.6,338.0,149.2,316.5,293.4,113.8,268.1,303.4,130.7,109.4,181.9,198.1,415.9,198.1,323.5,174.8,402.9,113.9,335.6,198.5,307.4,323.9,181.2,315.0,351.3,317.9,269.1,270.6,371.3,169.6,310.9,65.2,420.0,303.7,392.7,237.2,0.0,190.3,323.7,270.9,337.9,97.5
YN,373.4,138.2,419.1,92.0,472.8,342.9,339.2,120.6,444.7,153.2,202.4,132.3,266.7,2288.3,110.3,393.9,92.9,202.4,330.0,399.6,454.4,255.2,449.2,316.3,385.6,289.9,457.2,103.0,311.6,107.4,444.1,271.4,191.7,124.8,338.8,498.2,338.8,133.1,315.5,483.8,311.7,417.9,339.2,448.1,406.2,321.9,124.6,160.9,400.2,409.8,411.3,210.6,310.3,393.2,263.0,229.6,143.0,475.0,377.9,247.4,0.0,466.8,353.2,470.2,295.3
YR,122.9,557.4,141.7,511.2,177.0,138.5,125.1,298.4,148.9,451.2,621.6,551.5,304.3,2046.5,408.9,298.9,482.4,621.6,139.6,145.4,163.0,226.2,45.8,170.2,423.2,141.7,232.6,522.2,269.3,496.9,279.5,152.5,299.7,410.7,124.8,206.8,124.8,552.3,179.3,105.6,269.4,126.5,125.1,14.8,114.8,185.7,543.8,580.1,108.8,54.5,63.8,463.9,174.1,71.8,259.7,648.8,414.3,197.6,231.8,275.6,419.1,0.0,128.2,38.6,238.7
YZ,20.1,501.5,65.8,455.3,290.6,10.2,238.7,242.5,262.5,395.3,565.7,495.6,176.0,1984.6,280.6,357.1,387.9,565.7,253.2,259.0,101.1,97.9,95.9,220.3,294.9,255.3,290.8,466.3,333.4,402.4,337.7,235.2,171.4,354.8,238.4,144.9,238.4,496.4,279.3,131.9,333.5,64.6,238.7,128.4,52.9,285.7,487.9,524.2,46.9,168.1,113.9,335.6,274.1,39.9,323.8,592.9,286.0,121.7,281.9,339.7,363.2,113.5,0.0,116.9,302.8
ZC,130.1,562.6,136.5,516.4,182.2,133.3,129.8,309.3,154.1,456.4,642.9,556.7,299.1,2041.3,403.7,304.1,487.6,626.8,144.8,133.5,144.0,221.0,40.6,165.0,418.0,146.9,237.8,527.4,274.5,502.1,284.7,157.7,294.5,415.9,130.0,201.6,130.0,557.5,184.5,100.4,274.5,127.0,129.5,20.0,109.6,190.9,549.0,585.3,94.0,59.7,58.6,458.7,179.3,66.6,264.9,654.0,409.1,192.4,226.6,280.8,424.3,5.2,123.0,0.0,243.9
ZI,388.7,426.2,434.4,380.0,341.2,358.2,207.6,167.2,313.1,320.0,490.4,420.3,316.7,2187.2,368.6,178.1,351.2,490.4,198.4,268.0,469.7,270.5,297.7,184.7,435.6,158.3,220.2,391.0,30.5,365.7,228.3,139.8,207.0,279.5,207.2,513.5,207.2,421.1,183.9,404.4,30.6,433.2,207.6,316.5,421.5,190.3,412.6,448.9,415.5,278.2,279.7,468.9,178.7,372.0,22.2,517.6,401.3,490.3,246.3,97.5,287.9,332.8,368.5,347.0,0.0
