from_stop,AD,AU,AY,BF,BP,CA,CY,DA,DX,EA,EB,ED,EE,EF,EG,EN,ER,FB,FC,FR,FW,FY,GK,GO,GP,GR,HB,HD,HJ,HT,IA,IG,IO,JF,JI,JJ,JY,KB,KH,KP,LB,LC,LX,MH,MI,ML,MP,MU,MX,NH,NI,NU,NV,OB,OG,OL,OP,OQ,OU,PJ,PS,PZ,QW,QX,RU,SL,SM,SV,SY,SZ,TJ,TY,UA,UI,UX,VC,WA,WB,XA,XI,XQ,XV,XW,YC,YJ,YM,YT,ZE
KB,169.7,1852.4,106.6,361.2,49.9,108.8,110.0,108.7,73.5,203.7,130.5,76.2,255.4,53.0,86.9,49.4,114.9,75.5,170.7,129.0,197.4,156.1,85.2,205.4,209.8,137.7,114.9,99.5,82.6,72.7,194.6,215.6,42.1,33.8,135.4,98.4,114.5,0.0,56.7,205.2,88.0,66.8,69.6,94.1,87.7,97.9,102.1,97.0,255.7,116.4,207.6,18.5,163.1,138.2,81.6,381.3,263.7,57.7,252.4,63.7,49.5,176.3,194.6,102.1,125.1,130.3,100.3,133.2,169.7,96.4,30.9,102.0,250.7,98.2,43.2,138.8,17.9,117.2,94.4,126.5,225.5,242.0,169.3,99.9,140.7,132.6,118.8,107.7
KH,129.9,1900.8,66.8,321.4,10.1,69.0,71.6,68.9,68.3,220.5,112.7,134.0,303.7,60.0,139.3,104.6,145.0,115.3,130.9,177.4,245.7,138.4,104.2,166.1,265.0,175.8,75.1,77.7,137.8,132.7,211.4,253.7,20.3,52.1,109.1,76.6,169.7,48.3,0.0,260.4,68.1,122.0,76.9,142.5,47.9,150.3,88.9,116.9,310.9,94.6,167.8,66.9,145.4,158.7,137.2,341.5,312.0,106.1,257.1,23.9,36.5,158.6,252.0,157.3,179.1,90.8,105.1,118.4,129.9,144.8,79.3,116.9,305.9,146.6,30.3,187.2,28.2,77.4,142.8,108.8,185.7,246.7,186.1,118.6,123.0,119.0,129.8,133.4
KP,156.8,1832.8,225.5,225.1,266.3,219.6,236.2,219.7,193.2,141.1,307.2,320.6,514.0,251.9,162.6,171.4,138.5,298.3,192.6,401.1,456.0,231.4,179.4,144.6,54.2,386.1,208.5,272.6,146.0,195.3,149.2,464.0,256.6,225.0,366.6,311.1,115.5,290.9,289.5,0.0,297.5,185.7,249.8,335.1,230.5,186.2,284.5,291.7,80.7,323.2,155.7,314.9,245.8,130.7,321.8,245.2,513.4,291.3,114.3,255.8,293.7,230.3,39.0,123.4,168.7,307.1,344.7,160.5,185.3,349.6,304.3,165.8,32.8,347.3,287.5,410.9,231.0,210.0,343.5,257.7,142.5,100.2,123.9,164.5,263.1,156.2,331.5,324.1
LB,172.2,1965.6,109.1,363.7,116.6,111.3,49.0,111.2,92.6,242.4,92.4,56.8,364.7,120.6,168.3,128.9,177.1,185.5,112.2,238.3,306.7,113.9,146.5,209.8,289.3,247.0,117.4,23.5,162.1,152.2,224.6,324.9,60.1,116.5,102.2,65.2,194.0,107.3,75.8,297.3,0.0,146.3,137.8,203.4,90.2,177.4,164.8,179.7,337.1,83.2,210.1,127.8,73.1,193.5,190.9,383.8,371.1,167.0,299.4,95.5,101.7,86.3,274.1,181.6,211.2,155.5,80.9,152.4,172.2,205.7,138.3,160.1,330.2,207.5,91.1,246.2,89.6,121.6,201.6,84.3,265.9,289.0,202.2,161.6,50.7,151.1,85.6,74.5
LC,118.6,1850.1,99.9,323.9,120.7,102.1,94.3,102.0,51.3,160.7,183.9,178.7,346.6,110.0,43.9,29.5,71.9,184.6,126.0,222.6,288.6,161.1,42.2,179.2,166.8,218.7,71.3,145.5,39.6,10.6,151.6,296.6,112.9,83.1,224.7,169.2,71.5,126.3,147.6,162.2,155.6,0.0,107.9,221.2,88.6,54.9,142.6,149.8,212.7,187.2,180.9,181.6,168.1,101.4,169.8,344.0,354.9,138.7,209.4,113.9,151.8,163.7,153.8,59.1,82.1,165.2,202.8,90.2,143.0,199.5,167.3,59.0,207.7,179.2,145.6,232.4,89.1,98.7,175.4,131.5,198.8,199.0,126.3,57.5,145.7,89.6,189.6,186.7
LX,197.6,1923.8,179.3,402.9,96.8,181.5,166.1,181.4,124.8,239.7,181.4,159.9,265.3,81.9,122.9,85.4,150.9,66.9,205.0,130.9,207.3,232.9,121.2,278.6,245.8,137.4,150.3,146.4,118.6,113.5,230.6,215.3,89.0,39.8,135.0,145.3,150.5,60.5,143.1,241.2,136.8,102.8,0.0,85.5,160.4,133.9,52.9,60.1,291.7,163.3,280.3,65.3,239.9,180.4,88.5,423.0,273.6,41.7,288.4,110.6,43.8,253.1,232.8,138.1,161.1,64.9,131.0,169.2,242.4,101.3,51.0,138.0,286.7,97.9,51.1,140.7,68.1,189.9,94.1,203.3,298.2,278.0,205.3,136.5,217.5,168.6,155.7,159.3
MH,266.6,1937.1,231.3,485.9,174.6,233.5,236.1,233.4,178.5,308.7,245.9,181.2,190.3,176.3,191.9,154.4,219.9,47.6,274.0,117.5,132.3,285.9,190.2,330.6,314.8,62.4,219.3,210.9,187.6,182.5,299.6,140.3,153.5,108.8,156.3,209.8,219.5,129.5,164.4,310.2,201.3,171.8,94.3,0.0,212.4,202.9,74.2,99.4,360.7,227.8,332.3,78.6,309.9,249.4,66.6,506.0,198.6,73.0,357.4,188.4,138.2,323.1,301.8,207.1,230.1,102.4,152.3,238.2,294.4,78.3,64.3,207.0,355.7,76.0,145.5,127.3,162.5,241.9,72.2,256.3,350.2,347.0,274.3,205.5,287.5,237.6,177.0,180.6
MI,81.9,1901.5,18.8,273.4,52.7,21.0,30.0,20.9,46.7,178.3,123.1,114.4,369.1,74.7,91.3,81.9,97.0,180.1,82.9,271.2,311.1,96.8,56.2,117.6,232.2,241.2,27.1,66.4,105.0,102.1,160.5,319.1,68.7,122.4,174.5,125.0,136.9,116.7,65.3,227.6,91.3,96.2,143.7,217.9,0.0,102.3,154.3,182.3,278.1,135.6,119.8,135.3,103.8,110.7,213.1,293.5,377.4,185.2,209.1,31.6,129.8,117.0,217.0,139.1,131.1,156.2,138.5,70.4,81.9,232.0,147.7,69.8,273.1,229.7,119.2,281.0,124.5,29.4,225.9,67.2,137.7,198.7,138.1,71.3,81.4,71.0,145.4,134.3
ML,134.9,1843.5,98.1,326.4,169.7,95.9,130.3,96.0,87.3,168.2,219.9,214.7,356.1,137.0,17.2,65.5,73.6,194.8,135.9,231.4,298.1,174.7,73.5,170.6,168.5,228.2,102.6,179.3,41.3,79.3,153.3,306.1,148.9,122.6,260.7,205.2,73.2,135.8,182.3,176.5,193.5,87.1,143.9,230.7,116.9,0.0,178.6,185.8,214.4,223.2,172.8,191.1,189.1,96.9,172.1,346.5,364.4,148.2,211.1,148.6,187.8,173.6,153.3,60.8,40.7,201.2,238.8,91.9,134.9,209.0,176.8,41.9,209.4,188.7,181.6,241.2,124.7,82.4,184.9,167.5,228.6,200.7,128.0,40.6,181.7,91.3,225.6,219.5
MP,220.1,1954.4,157.0,411.6,100.3,159.2,161.8,159.1,146.7,267.0,202.9,106.9,242.7,103.8,150.2,112.7,178.2,26.3,221.1,116.8,184.7,211.6,148.5,256.3,273.1,114.8,165.3,167.9,145.9,140.8,257.9,192.7,137.2,67.1,82.0,166.8,177.8,87.8,90.1,268.5,158.3,130.1,62.9,63.5,138.1,161.2,0.0,37.7,319.0,184.8,258.0,95.9,235.6,201.5,65.9,431.7,251.0,90.3,315.7,114.1,65.7,248.8,260.1,165.4,188.4,28.1,78.0,208.6,220.1,77.6,81.6,165.3,314.0,75.3,73.0,126.6,90.0,167.6,71.5,182.0,275.9,305.3,232.6,163.8,213.2,209.2,102.7,106.3
MU,249.3,1953.0,186.2,440.8,129.5,188.4,191.0,188.3,157.9,279.7,214.5,136.1,255.4,115.0,162.9,125.4,190.9,61.8,250.3,152.3,197.4,240.8,161.2,285.5,285.8,127.5,194.5,179.5,158.6,153.5,270.6,205.4,166.4,79.8,111.2,178.4,190.5,100.5,119.3,281.2,169.9,142.8,74.1,99.0,167.3,173.9,35.4,0.0,331.7,196.4,287.2,131.4,264.8,220.4,101.4,460.9,263.7,99.7,328.4,143.3,76.9,278.0,272.8,178.1,201.1,15.3,107.2,237.8,249.3,113.1,117.1,178.0,326.7,110.8,84.2,162.1,101.2,196.8,107.0,211.2,305.1,318.0,245.3,176.5,242.4,238.4,131.9,135.5
MX,191.9,1773.7,256.9,260.2,297.7,254.7,272.1,254.8,228.3,176.2,345.8,355.7,501.4,278.0,206.6,206.5,173.6,332.8,227.7,385.4,451.4,266.5,214.5,188.6,65.7,421.2,243.6,320.3,177.4,226.7,184.3,499.1,289.9,260.1,401.7,346.2,146.9,334.9,324.6,80.7,332.6,220.8,284.9,370.2,265.6,217.6,319.6,326.8,0.0,358.3,190.8,350.0,280.9,168.5,365.8,280.3,509.7,326.4,145.7,290.9,328.8,265.4,71.0,158.5,203.8,342.2,379.8,191.9,220.4,384.7,335.7,200.9,45.2,382.4,322.6,395.2,265.7,241.4,376.5,292.8,208.2,135.3,159.0,199.6,307.1,191.3,366.6,360.5
NH,190.9,1970.0,159.2,382.4,166.7,161.4,99.9,161.3,142.7,241.0,18.1,77.2,385.1,179.7,216.5,179.0,188.0,205.2,123.1,258.7,327.1,143.9,196.6,227.1,324.8,267.4,167.5,80.6,213.7,207.1,231.9,345.3,84.7,133.4,111.6,15.7,232.1,129.6,96.2,320.2,90.7,196.4,158.2,223.8,140.3,227.5,185.2,200.1,370.7,0.0,228.8,148.2,102.8,219.7,218.5,402.5,393.4,187.4,271.5,145.6,117.8,112.9,311.8,217.1,222.1,175.9,101.3,161.4,183.3,226.1,160.6,209.3,365.7,227.9,111.6,268.5,109.5,169.8,224.1,134.4,246.7,307.7,206.6,211.0,80.4,162.0,95.0,92.1
NI,69.8,1878.0,96.1,153.5,167.7,93.9,145.0,94.0,161.7,119.7,199.5,229.4,484.1,198.7,162.3,173.8,119.0,295.7,84.9,386.2,426.1,123.7,163.8,1.6,139.6,356.2,134.7,196.2,144.7,198.8,128.8,434.1,183.7,227.4,289.5,231.3,100.8,231.7,180.3,135.0,206.3,188.1,252.2,332.9,114.9,173.3,269.3,294.1,185.5,215.5,0.0,250.3,138.1,98.6,335.3,173.6,492.4,293.7,89.2,146.6,240.5,122.6,126.6,127.0,153.1,271.2,253.5,92.4,34.0,347.0,262.7,139.9,180.5,344.7,234.3,396.0,233.4,85.5,340.9,150.0,17.8,78.8,157.3,141.6,164.3,93.0,260.4,257.5
NU,228.4,1858.4,139.3,393.9,82.6,141.5,142.7,141.4,140.3,270.5,167.2,190.5,261.4,85.7,153.7,116.2,181.7,56.9,203.4,135.0,203.4,188.8,152.0,238.6,276.6,138.0,147.6,132.2,149.4,144.3,261.4,215.9,74.8,70.6,165.6,131.1,181.3,32.6,173.7,272.0,122.6,133.6,51.0,75.5,120.4,164.7,83.5,108.7,322.5,149.1,240.3,0.0,195.8,211.2,94.8,414.0,269.7,49.7,319.2,96.4,94.9,209.0,263.6,168.9,191.9,111.7,161.6,200.0,202.4,102.4,12.4,168.8,317.5,104.2,102.2,144.8,51.0,149.9,100.4,159.2,258.2,308.8,236.1,167.3,173.4,199.4,186.3,189.9
NV,106.8,1892.4,99.0,298.3,157.1,96.8,90.3,96.9,133.1,163.4,89.0,152.0,473.5,170.1,165.2,158.7,103.9,285.1,39.0,319.5,415.5,59.8,166.7,143.0,240.7,345.6,137.6,71.0,129.6,183.7,154.3,423.5,173.1,205.3,183.4,120.8,154.5,190.4,169.7,236.1,81.1,173.0,230.1,322.3,117.8,176.2,258.7,272.0,286.6,105.0,144.7,209.0,0.0,128.1,279.3,318.4,481.8,271.6,234.0,136.0,211.9,13.1,227.7,133.0,138.0,260.6,176.1,77.3,105.7,286.9,221.4,142.8,281.6,288.7,205.7,329.3,211.3,88.4,284.9,86.1,162.6,223.6,129.0,144.5,26.2,77.9,166.8,163.9
OB,17.2,1820.7,98.1,243.3,163.5,89.7,140.8,96.0,105.6,136.2,201.5,225.2,418.9,156.8,83.9,83.8,50.9,210.1,80.7,292.9,368.4,125.7,91.8,81.3,137.4,298.5,120.9,192.0,54.7,104.0,111.8,376.4,161.5,137.4,271.5,216.0,42.1,204.7,176.1,132.8,202.4,98.1,162.2,240.0,116.9,94.9,196.9,196.6,175.8,217.5,89.7,227.3,140.1,0.0,243.1,257.2,434.7,203.7,179.0,148.6,201.1,124.6,122.2,35.8,73.6,219.5,249.3,61.7,51.8,262.0,205.5,70.7,170.8,259.7,192.4,295.2,143.0,81.3,248.4,152.0,107.6,168.6,89.4,69.4,160.1,68.6,243.9,225.3
OG,261.8,1910.0,226.5,481.1,169.8,228.7,232.1,228.6,173.7,309.7,235.5,176.4,183.9,172.1,187.1,149.6,215.1,43.5,269.2,76.9,125.9,281.1,185.4,325.3,310.0,56.0,214.5,204.5,182.8,172.9,294.8,133.9,147.1,104.0,151.5,203.4,214.7,124.7,159.6,305.4,194.9,167.0,90.1,74.4,207.6,187.9,69.4,94.6,355.9,221.4,327.5,91.8,305.1,244.6,0.0,501.2,192.2,49.5,352.6,183.6,129.0,318.3,294.8,202.3,225.3,97.6,147.5,233.4,289.6,37.7,77.5,201.4,350.9,16.5,141.3,86.7,158.8,237.1,10.6,251.5,345.4,342.2,269.5,200.1,282.7,232.8,172.2,175.8
OL,193.2,1913.1,219.5,188.6,291.1,217.3,268.4,217.4,229.7,86.6,322.9,352.8,550.5,288.4,208.0,207.9,175.0,334.8,208.3,417.0,492.5,247.1,215.9,124.9,124.5,422.6,245.0,319.6,178.8,232.9,95.7,500.5,291.3,261.5,403.1,347.6,148.3,336.3,303.7,119.9,329.7,222.2,286.3,371.6,238.3,219.0,321.0,328.2,170.4,338.9,123.3,351.4,261.5,176.1,374.4,0.0,558.8,327.8,56.1,270.0,330.2,246.0,111.5,159.9,205.2,343.6,376.9,193.3,157.4,386.1,337.1,203.1,165.4,383.8,324.0,426.8,267.5,208.9,380.0,273.4,106.0,45.7,124.2,201.6,287.7,192.7,368.0,365.1
OP,443.8,1950.9,380.7,635.3,324.0,382.9,385.5,382.8,347.9,483.9,392.5,329.0,6.8,353.6,361.3,323.8,389.3,217.0,444.8,118.1,55.0,433.7,359.6,479.5,484.2,128.0,389.0,371.4,357.0,347.1,466.1,109.4,300.1,272.3,311.5,356.4,388.9,298.9,313.8,488.5,346.0,341.2,264.3,180.5,361.8,362.1,243.6,259.0,483.4,374.4,481.7,259.2,458.7,418.8,174.1,655.4,0.0,223.7,526.8,337.8,308.2,471.9,469.0,376.5,399.5,254.1,300.1,407.6,443.8,156.7,244.9,375.6,525.1,157.5,315.6,110.5,275.9,391.3,161.3,404.1,537.5,516.4,443.7,374.3,436.3,407.0,332.2,346.1
OQ,217.9,1896.1,186.0,423.2,124.2,188.2,172.8,188.1,129.8,260.0,208.8,195.1,223.5,122.5,143.2,105.7,171.2,61.5,225.3,89.1,165.5,239.6,141.5,278.5,266.1,95.6,170.6,173.8,138.9,133.8,250.9,173.5,116.4,60.1,170.2,172.7,170.8,80.8,178.3,261.5,164.2,123.1,40.5,83.0,167.1,154.2,88.1,100.4,312.0,190.7,280.2,42.8,246.6,200.7,46.7,443.3,231.8,0.0,308.7,138.0,84.4,259.8,253.1,158.4,181.4,105.5,166.2,189.5,242.3,59.5,28.5,158.3,307.0,56.1,91.7,98.9,108.7,196.6,52.3,210.0,298.1,298.3,225.6,156.8,224.2,188.9,190.9,194.5
OU,158.6,1868.4,204.8,173.9,264.4,202.6,238.0,202.7,195.0,24.7,250.7,322.4,515.8,244.7,173.3,173.2,140.3,299.5,193.6,382.3,457.8,232.4,181.2,110.7,89.8,387.9,210.3,289.2,144.1,193.4,42.4,465.8,256.6,226.8,368.4,312.9,113.6,301.6,289.0,97.8,299.3,187.5,251.6,336.9,223.6,184.3,286.3,293.5,135.7,266.7,108.6,316.7,197.7,141.4,332.5,194.0,524.1,293.1,0.0,255.3,290.5,182.2,74.6,125.2,170.5,308.9,346.5,158.6,142.7,351.4,302.4,167.6,130.7,349.1,289.3,392.1,232.8,194.2,345.3,258.7,121.9,10.4,68.0,166.3,223.9,158.0,333.3,330.4
PJ,105.9,1925.5,42.8,297.4,21.0,45.0,47.6,44.9,44.3,196.5,129.4,71.1,337.4,81.3,115.3,80.6,121.0,149.0,106.9,239.5,279.4,114.4,80.2,142.1,241.0,209.5,51.1,94.4,113.8,108.7,187.4,287.4,37.0,116.5,142.8,93.3,145.7,85.0,33.6,236.4,84.8,98.0,141.3,186.2,23.9,126.3,122.6,150.6,286.9,111.3,143.8,103.6,121.4,134.7,188.6,317.5,345.7,142.8,233.1,0.0,73.2,134.6,228.0,133.3,155.1,124.5,138.8,94.4,105.9,200.3,116.0,92.9,281.9,198.0,67.0,249.3,64.9,53.4,194.2,84.8,161.7,222.7,162.1,94.6,99.0,95.0,113.7,110.8
PS,198.5,1896.8,140.4,390.0,57.9,137.6,123.0,137.5,80.9,247.3,133.5,154.8,299.3,45.3,129.7,87.2,152.7,99.9,204.5,173.4,241.3,194.0,172.8,239.2,247.6,171.4,143.7,158.6,120.4,115.5,229.5,249.3,47.2,51.6,129.9,101.4,152.3,44.3,138.0,255.6,91.0,104.6,54.1,137.7,121.5,140.7,74.1,84.1,298.5,119.4,236.4,62.9,196.0,224.8,128.6,410.1,307.6,95.9,330.7,66.7,0.0,209.2,232.4,139.9,162.9,58.0,125.9,192.0,198.5,140.8,80.3,186.4,288.5,142.6,7.3,183.2,24.7,146.0,136.7,159.4,292.2,315.3,207.1,192.9,173.6,187.6,150.6,164.5
PZ,93.6,1879.2,85.8,285.1,157.4,83.6,105.8,83.7,148.6,150.2,104.5,160.9,473.8,185.6,152.0,145.5,90.7,285.4,25.8,354.6,415.8,46.6,153.5,129.8,227.5,345.9,124.4,86.5,116.4,170.5,141.1,423.8,173.4,199.1,198.9,136.3,141.3,205.9,170.0,222.9,96.6,159.8,223.9,322.6,104.6,163.0,258.6,265.8,273.4,120.5,131.5,224.5,15.5,114.9,325.0,305.2,482.1,265.4,220.8,136.3,227.4,0.0,214.5,119.8,124.8,260.9,185.0,64.1,92.5,336.7,236.9,129.6,268.4,334.4,221.2,364.4,205.1,75.2,330.6,72.9,149.4,210.4,115.8,131.3,41.7,64.7,182.3,179.4
QW,120.8,1793.7,185.8,189.1,226.6,183.6,200.2,183.7,157.2,99.3,274.7,284.6,478.0,206.9,135.5,135.4,102.5,261.7,156.6,344.5,420.0,195.4,143.4,117.5,15.1,350.1,172.5,251.4,106.3,155.6,113.2,428.0,220.9,192.5,330.6,275.1,75.8,263.8,253.5,33.6,263.4,149.7,213.8,299.1,194.5,146.5,248.5,255.7,61.0,287.2,119.7,278.9,209.8,97.4,294.7,209.2,486.3,255.3,74.6,219.8,257.7,194.3,0.0,87.4,132.7,271.1,308.7,120.8,149.3,313.6,264.6,129.8,70.0,311.3,251.5,354.3,194.6,170.3,307.5,221.7,137.1,64.2,87.9,128.5,236.0,120.2,295.5,289.4
QX,59.4,1790.9,98.3,277.6,139.1,96.1,112.7,96.2,69.7,101.5,183.7,197.1,390.5,128.4,48.0,47.9,15.0,174.8,69.1,257.0,332.5,107.9,55.9,122.3,107.6,262.6,85.0,163.9,18.8,72.9,92.4,340.5,131.3,101.5,243.1,187.6,12.3,176.3,166.0,103.0,174.0,62.2,126.3,211.6,107.0,59.0,161.0,168.2,153.5,199.7,124.0,191.4,122.3,42.2,214.4,297.7,398.8,167.8,150.2,132.3,170.2,106.8,94.6,0.0,45.2,183.6,221.2,33.3,86.1,226.1,177.1,43.1,148.5,223.8,164.0,266.8,107.5,82.8,220.0,134.2,141.9,139.8,67.1,41.6,148.5,32.7,208.0,205.1
RU,123.1,1802.8,134.5,314.6,206.1,132.3,166.7,132.4,123.7,145.3,220.7,259.2,392.3,182.4,53.6,101.9,52.0,242.6,106.1,279.2,334.3,144.9,109.9,159.3,164.9,276.7,139.0,230.4,77.7,121.4,136.2,354.6,185.3,155.5,297.1,252.5,69.6,184.3,218.7,160.3,240.5,135.6,180.3,279.2,153.3,48.4,215.0,222.2,210.8,236.7,161.0,239.6,159.3,99.5,227.8,334.7,400.6,196.7,175.8,185.0,224.2,143.8,151.9,57.2,0.0,237.6,283.3,70.3,123.1,257.5,225.3,79.1,205.8,237.2,218.0,289.0,161.5,118.8,233.4,171.2,178.9,197.1,110.9,77.6,185.5,69.7,262.0,259.1
SL,233.9,1958.4,170.8,425.4,114.1,173.0,175.6,172.9,142.5,287.1,199.1,120.7,241.2,99.6,170.3,132.8,198.3,46.4,234.9,136.9,183.2,225.4,168.6,270.1,293.2,113.3,179.1,164.1,166.0,160.9,278.0,191.2,151.0,87.2,95.8,163.0,197.9,105.9,103.9,288.6,154.5,150.2,58.7,83.6,151.9,181.3,20.0,26.0,339.1,181.0,271.8,116.0,249.4,221.6,86.0,445.5,249.5,100.5,361.1,127.9,61.5,262.6,280.2,185.5,208.5,0.0,91.8,222.4,233.9,97.7,101.7,185.4,334.1,95.4,68.8,146.7,85.8,181.4,91.6,195.8,289.7,350.7,252.7,183.9,227.0,223.0,116.5,120.1
SM,209.8,1956.5,146.7,401.3,83.8,148.9,87.4,148.8,130.2,300.4,174.3,28.9,297.4,115.7,204.0,166.5,224.9,110.6,162.1,201.1,239.4,133.5,184.1,246.0,326.9,169.5,155.0,135.9,199.7,194.6,291.3,247.4,59.1,107.8,63.0,93.8,231.6,104.0,70.6,322.3,85.3,183.9,132.6,147.8,127.8,215.0,84.2,112.2,372.8,111.8,247.7,122.6,158.5,238.6,150.2,421.4,305.7,161.8,337.0,133.1,92.2,171.7,313.9,219.2,242.2,86.1,0.0,198.3,209.8,161.9,135.0,196.8,367.8,159.6,86.0,210.9,83.9,157.3,155.8,103.9,265.6,326.6,266.0,198.5,136.1,198.9,83.7,87.3
SV,52.7,1846.6,64.9,244.2,136.5,62.7,113.8,62.8,103.1,149.1,153.8,188.8,437.0,152.8,81.4,81.3,26.5,208.2,35.7,290.4,379.0,74.5,89.3,88.4,163.3,296.0,103.5,160.0,52.2,101.5,131.3,373.9,154.6,138.4,258.3,182.1,68.0,209.7,149.1,167.6,170.1,95.6,159.7,245.0,83.7,92.4,194.4,201.6,209.2,166.3,90.6,224.8,88.9,81.5,240.6,264.3,445.3,201.2,179.9,115.4,203.6,73.4,148.1,55.6,60.6,217.0,212.9,0.0,52.7,259.5,210.5,75.7,204.2,257.2,197.3,300.2,140.5,54.3,251.3,100.8,146.4,169.5,108.9,74.4,115.1,0.5,229.2,226.3
SY,35.7,1819.5,62.0,191.4,133.6,59.8,110.9,59.9,127.6,90.5,165.4,195.3,450.0,164.6,128.2,139.7,84.9,261.6,50.8,352.1,392.0,89.6,129.7,36.1,177.5,322.1,100.6,162.1,110.6,164.7,81.4,400.0,149.6,193.3,255.4,197.2,81.6,197.6,146.2,172.9,172.2,154.0,218.1,298.8,80.8,139.2,235.2,260.0,223.4,181.4,37.8,216.2,104.0,64.5,301.2,211.5,458.3,259.6,127.1,112.5,206.4,88.5,164.5,92.9,119.0,237.1,219.4,58.3,0.0,312.9,228.6,105.8,218.4,310.6,200.2,361.9,199.3,51.4,306.8,115.9,55.7,116.7,56.1,107.5,130.2,58.9,226.3,223.4
SZ,280.7,1898.2,245.4,500.0,188.7,247.6,250.2,247.5,192.6,322.8,252.5,195.3,166.5,192.2,206.0,168.5,234.0,61.7,288.1,55.4,108.5,300.0,204.3,344.7,328.9,41.7,233.4,217.5,201.7,196.6,313.7,123.3,160.1,122.9,170.4,216.4,233.6,143.6,178.5,324.3,207.9,185.9,112.2,94.2,226.5,217.0,88.3,113.5,374.8,234.4,346.4,110.7,324.0,257.3,64.9,520.1,174.8,71.6,371.5,202.5,154.1,337.2,315.9,221.2,244.2,116.5,166.4,252.3,308.5,0.0,96.4,221.1,369.8,71.2,161.4,65.2,178.4,256.0,70.5,270.4,364.3,361.1,288.4,219.6,301.6,251.7,191.1,194.7
TJ,216.0,1872.7,153.6,421.3,96.9,155.8,170.9,155.7,127.9,258.1,177.5,178.1,253.5,120.6,141.3,103.8,169.3,44.5,223.4,126.5,195.5,203.1,139.6,276.1,264.2,125.6,168.7,152.0,137.0,127.1,249.0,203.5,89.1,58.2,153.2,145.4,168.9,78.9,161.3,272.2,136.9,121.2,38.6,63.1,134.7,152.3,71.1,96.3,310.1,163.4,278.3,14.2,210.1,192.6,76.3,441.4,261.8,37.3,306.8,110.7,82.5,223.3,249.0,156.5,179.5,99.3,149.2,187.6,240.4,95.2,0.0,155.6,305.1,92.9,89.9,136.3,106.8,164.2,89.1,173.5,296.2,296.4,223.7,154.3,187.7,187.0,173.9,177.5
TY,92.9,1845.6,56.1,284.4,127.7,53.9,104.2,54.0,61.1,162.0,193.8,188.5,388.6,110.8,21.4,39.3,67.4,165.6,93.9,248.4,330.6,132.7,47.3,128.6,162.3,260.7,76.4,153.1,35.1,59.5,144.2,338.6,124.5,96.4,234.5,179.0,67.0,168.3,140.3,166.6,165.4,53.6,117.7,203.0,74.9,32.4,152.4,159.6,208.2,197.0,130.8,182.8,147.1,114.2,204.6,304.5,396.9,159.2,220.1,106.6,161.6,131.6,147.1,54.6,81.1,175.0,212.6,81.4,92.9,217.5,168.5,0.0,203.2,221.2,155.4,258.2,98.9,40.4,217.4,141.4,148.7,209.7,121.8,1.5,155.5,82.0,199.4,193.3
UA,183.4,1809.0,248.4,251.7,289.2,246.2,262.8,246.3,219.8,161.9,337.3,347.2,522.9,269.5,198.1,198.0,165.1,324.9,219.2,406.9,482.6,258.0,206.0,180.1,80.8,412.7,235.1,314.0,168.9,218.2,172.9,490.6,283.5,251.6,393.2,337.7,138.4,326.4,316.1,26.5,324.1,212.3,276.4,361.7,257.1,209.1,311.1,318.3,35.2,349.8,182.3,341.5,272.4,160.0,357.3,271.8,531.2,317.9,137.2,282.4,320.3,256.9,65.6,150.0,195.3,333.7,371.3,183.4,211.9,376.2,327.2,192.4,0.0,373.9,314.1,416.7,257.6,232.9,368.0,284.3,169.1,126.8,150.5,191.1,298.6,182.8,358.1,352.0
UI,278.4,1926.6,243.1,497.7,186.4,245.3,247.9,245.2,190.3,320.5,256.1,193.0,167.3,188.7,203.7,166.2,231.7,59.4,285.8,93.5,109.3,297.7,202.0,342.4,326.6,39.4,231.1,221.1,199.4,192.6,311.4,117.3,163.7,120.6,168.1,220.0,231.3,141.3,176.2,322.0,211.5,183.6,106.7,57.8,224.2,204.5,86.0,111.2,372.5,238.0,344.1,108.4,321.7,261.2,9.3,517.8,175.6,66.1,369.2,200.2,150.6,334.9,313.6,218.9,241.9,114.2,164.1,250.0,306.2,54.3,94.1,218.8,367.5,0.0,157.9,103.3,174.9,253.7,3.7,268.1,362.0,358.8,286.1,217.3,299.3,249.4,188.8,192.4
UX,191.2,1889.5,128.1,382.7,45.5,130.3,115.7,130.2,73.6,240.0,126.2,161.0,292.5,38.0,117.3,79.9,145.4,106.1,192.2,166.1,234.5,181.7,165.5,226.9,240.3,174.8,136.4,151.3,113.1,103.1,222.2,252.7,39.9,44.3,136.1,94.1,144.9,36.9,52.4,248.3,83.7,97.3,60.3,131.2,109.1,128.4,80.3,90.3,286.2,112.1,229.1,55.6,188.7,212.4,118.6,402.8,300.8,94.8,318.3,59.4,10.5,201.9,225.1,132.6,155.6,64.2,132.1,179.7,191.2,133.5,67.9,179.0,281.2,135.3,0.0,175.9,17.4,138.7,129.4,152.1,284.9,308.0,199.8,180.6,166.2,180.3,156.8,170.7
