from_stop,AA,AD,AG,AK,AO,AW,AX,BT,CH,CS,CT,CU,DP,DQ,DR,DS,DV,EB,EJ,EL,FB,FH,FL,FQ,FY,GC,GG,GH,GY,HI,HL,HT,IA,IE,IJ,IN,IR,IU,KH,KY,LH,LI,MB,MF,MJ,MO,MV,NJ,NK,NL,NQ,NV,OB,OC,OI,OY,PA,PO,PW,QC,QO,RE,RF,RG,RO,RQ,RR,RS,SL,TT,TU,TX,UE,UF,UK,UR,UX,XD,XG,XJ,XR,XS,XV,YF,YG,YH,YI,YK,YM,YN,YO,YV,YX,ZE,ZG
IJ,166.3,291.0,75.3,491.4,479.6,384.8,508.5,498.3,668.2,235.2,334.4,266.6,2187.3,374.7,496.0,343.7,546.9,466.5,539.1,407.8,463.4,519.1,312.2,486.5,477.0,302.6,777.9,397.2,355.1,539.9,342.7,330.7,343.4,219.2,0.0,738.9,417.6,529.0,532.9,722.9,396.7,455.2,730.2,179.5,565.1,472.3,384.4,567.9,473.8,228.6,300.6,687.7,364.3,514.2,580.5,176.5,285.9,631.5,363.4,571.5,333.1,323.2,425.6,435.2,182.7,254.9,417.3,753.9,288.3,423.6,502.6,446.1,433.1,244.2,286.3,345.4,594.5,736.0,758.6,103.8,254.7,449.6,658.3,569.8,346.5,435.0,449.6,372.5,693.9,521.6,219.3,408.5,449.0,120.4,454.7
IN,396.7,463.9,291.9,779.1,767.3,588.7,659.8,649.6,355.7,519.7,420.5,488.3,2444.2,484.3,783.7,631.4,834.6,754.2,695.1,695.5,525.8,806.8,606.8,548.9,546.9,475.0,445.8,402.8,466.1,691.2,469.4,618.4,453.0,513.8,746.9,0.0,705.3,816.7,820.6,390.8,679.8,641.5,454.4,474.1,655.8,760.0,672.1,191.8,761.5,581.5,588.3,411.9,390.6,660.2,704.6,406.9,505.8,355.7,651.1,720.3,620.8,610.9,713.3,722.9,584.5,500.0,526.9,421.8,577.0,486.0,790.3,508.5,720.8,632.5,574.0,633.1,685.2,460.2,482.8,398.4,589.2,647.1,382.5,720.8,634.2,544.6,737.3,660.2,418.1,809.3,516.5,518.1,736.7,415.0,460.3
IR,556.2,265.6,465.2,72.7,78.2,257.1,308.5,298.3,492.2,209.8,309.0,241.2,2039.3,289.2,149.2,167.7,147.8,132.9,339.1,74.2,432.6,120.0,301.1,455.7,351.8,217.1,601.9,291.6,271.0,339.9,257.2,154.7,257.9,306.7,397.5,651.3,0.0,148.7,114.2,546.9,56.3,369.7,554.2,298.3,365.1,53.6,208.4,480.3,124.2,334.0,194.8,511.7,297.4,364.0,380.5,566.4,301.8,455.5,234.9,467.0,198.1,147.2,89.8,101.6,235.1,229.5,331.8,577.9,245.4,392.8,95.4,415.3,8.7,283.1,103.6,169.4,394.5,560.0,582.6,374.0,360.1,364.1,482.3,364.3,59.8,349.5,116.0,196.5,517.9,185.8,265.9,323.0,108.8,445.5,349.1
IU,671.4,380.8,580.4,148.1,146.4,372.3,423.7,413.5,607.4,325.0,424.2,356.4,2154.5,404.4,41.7,282.9,156.3,66.9,454.3,116.9,547.8,184.1,416.3,570.9,467.0,332.3,717.1,406.8,386.2,455.1,372.4,269.9,373.1,421.9,512.7,766.5,150.2,0.0,120.1,662.1,207.6,484.9,669.4,413.5,480.3,85.6,323.6,595.5,239.4,449.2,310.0,626.9,412.6,479.2,495.7,681.6,417.0,570.7,350.1,585.0,313.3,262.4,241.1,143.8,350.3,344.7,447.0,693.1,360.6,508.0,194.6,530.5,160.0,398.3,218.8,284.6,509.7,675.2,697.8,489.2,475.3,479.3,597.5,479.5,175.0,464.7,83.8,311.7,633.1,337.1,381.1,438.2,157.6,560.7,464.3
KH,683.3,392.7,592.3,123.9,122.2,384.2,435.6,425.4,619.3,336.9,436.1,368.3,2166.4,416.3,120.9,294.8,126.1,187.4,466.2,196.1,559.7,153.9,428.2,582.8,478.9,344.2,729.0,418.7,398.1,467.0,384.3,281.8,385.0,433.8,524.6,778.4,126.0,120.4,0.0,674.0,183.4,496.8,681.3,425.4,492.2,61.4,335.5,607.4,209.2,461.1,321.9,638.8,424.5,491.1,507.6,693.5,428.9,582.6,362.0,594.1,325.2,274.3,216.9,166.6,362.2,356.6,458.9,705.0,372.5,519.9,164.4,542.4,135.8,410.2,230.7,296.5,521.6,687.1,709.7,501.1,487.2,491.2,609.4,491.4,186.9,476.6,185.6,323.6,645.0,312.9,393.0,450.1,152.8,572.6,476.2
KY,495.2,593.7,390.4,611.5,599.7,442.4,727.8,717.6,186.5,537.9,770.1,569.3,2306.5,617.3,616.1,445.4,667.0,586.6,758.4,527.9,875.4,639.2,453.0,898.5,679.9,545.2,141.8,752.4,599.1,759.2,585.3,459.4,586.0,360.0,725.6,349.5,537.7,649.1,653.0,0.0,512.2,697.8,314.7,355.2,784.4,592.4,486.1,541.4,593.9,662.1,522.9,327.4,740.2,783.3,799.8,505.4,629.9,241.8,512.6,816.9,502.8,424.9,545.7,555.3,563.2,557.6,659.9,159.4,430.7,835.6,622.7,858.1,553.2,611.2,431.7,447.1,813.8,375.7,398.3,430.9,688.2,692.2,242.8,783.6,466.6,677.6,569.7,474.2,278.4,641.7,362.7,651.1,569.1,502.4,809.9
LH,546.5,255.9,455.5,125.9,131.4,330.6,298.8,288.6,482.5,200.1,299.3,231.5,2029.6,279.5,168.2,158.0,150.1,138.7,329.4,80.0,422.9,122.3,291.4,446.0,381.8,207.4,592.2,281.9,261.3,330.2,247.5,145.0,248.2,297.0,387.8,641.6,52.1,201.2,167.4,537.2,0.0,360.0,544.5,288.6,355.4,106.8,198.7,470.6,77.0,324.3,185.1,502.0,287.7,354.3,370.8,556.7,292.1,445.8,225.2,457.3,188.4,137.5,28.8,107.4,225.4,219.8,322.1,568.2,234.1,383.1,105.8,405.6,67.6,273.4,93.9,159.7,384.8,550.3,572.9,364.3,350.4,354.4,472.6,360.1,50.1,339.8,121.8,186.8,508.2,124.8,256.2,313.3,121.2,435.8,339.4
LI,602.9,231.6,511.9,464.9,453.1,406.6,124.4,134.6,641.7,248.8,188.2,256.0,2099.2,98.9,469.5,317.2,520.4,440.0,93.8,381.3,293.5,492.6,450.6,316.6,161.5,160.8,751.4,152.5,89.0,112.7,155.2,304.2,102.2,456.2,436.5,512.2,391.1,502.5,506.4,696.4,365.6,0.0,703.7,447.8,202.1,445.8,357.9,341.2,447.3,349.2,274.1,661.2,158.3,58.9,153.3,613.1,273.5,605.0,336.9,116.2,306.6,296.7,399.1,408.7,274.1,267.7,37.9,727.4,394.9,253.7,476.1,276.2,406.6,322.1,259.8,318.9,172.7,709.5,732.1,523.5,356.9,5.6,631.8,137.1,320.0,20.2,423.1,346.0,667.4,495.1,415.4,46.7,422.5,557.0,210.0
MB,298.3,620.3,207.3,638.1,626.3,127.6,754.4,744.2,229.8,564.5,663.7,595.9,2333.1,643.9,642.7,472.0,693.6,613.2,785.0,554.5,787.3,665.8,138.2,810.4,706.5,571.8,339.5,646.3,625.7,785.8,611.9,486.0,612.6,45.2,752.2,432.4,564.3,675.7,679.6,284.5,538.8,724.4,0.0,40.4,811.0,619.0,512.7,624.3,620.5,688.7,549.5,255.3,652.1,809.9,826.4,308.5,656.5,169.7,539.2,840.7,529.4,451.5,572.3,581.9,589.8,584.2,686.5,315.5,115.9,747.5,649.3,770.0,579.8,637.8,458.3,473.7,840.4,303.6,326.2,116.1,714.8,718.8,71.8,810.2,493.2,704.2,596.3,500.8,36.2,668.3,47.9,677.7,595.7,187.6,703.8
MF,257.8,450.0,166.8,411.5,399.7,122.0,572.4,562.2,260.3,394.2,493.4,425.6,2106.5,417.3,416.1,245.4,467.0,386.6,603.0,327.9,622.4,439.2,132.6,645.5,479.9,345.2,370.0,419.7,399.1,603.8,385.3,259.4,386.0,39.6,158.9,461.8,337.7,449.1,453.0,315.0,312.2,497.8,30.4,0.0,629.0,392.4,286.1,653.7,393.9,387.6,322.9,285.8,523.3,556.8,644.4,268.0,444.9,200.2,312.6,616.9,302.8,224.9,345.7,355.3,341.7,413.9,459.9,346.0,110.3,582.6,422.7,605.1,353.2,403.2,231.7,247.1,658.4,334.1,356.7,75.6,413.7,492.2,102.3,628.2,266.6,477.6,369.7,274.2,66.7,441.7,42.3,451.1,369.1,147.1,477.2
MJ,711.5,340.2,620.5,573.5,561.7,515.2,100.4,90.2,750.3,357.4,296.8,364.6,2145.4,179.0,578.1,425.8,629.0,548.6,108.2,489.9,402.1,601.2,559.2,425.2,196.4,269.4,860.0,261.1,197.6,89.3,263.8,412.8,210.8,564.8,545.1,620.8,499.7,611.1,615.0,805.0,474.2,192.1,812.3,556.4,0.0,554.4,466.5,449.8,555.9,457.8,382.7,769.8,266.9,133.1,48.7,721.7,382.1,713.6,445.5,236.1,415.2,405.3,507.7,517.3,382.7,376.3,230.0,836.0,503.5,362.3,584.7,384.8,515.2,430.7,368.4,427.5,29.3,818.1,840.7,632.1,465.5,197.7,740.4,64.9,428.6,212.3,531.7,454.6,776.0,603.7,524.0,221.3,531.1,665.6,318.6
MO,621.8,331.2,530.8,62.4,60.7,322.7,374.1,363.9,557.8,275.4,374.6,306.8,2104.9,354.8,95.5,233.3,100.7,162.0,404.7,139.8,498.2,128.5,366.7,521.3,417.4,282.7,667.5,357.2,336.6,405.5,322.8,220.3,323.5,372.3,463.1,716.9,64.5,95.0,60.5,612.5,121.9,435.3,619.8,363.9,430.7,0.0,274.0,545.9,162.0,399.6,260.4,577.3,363.0,429.6,446.1,632.0,367.4,521.1,300.5,532.6,263.7,212.8,155.4,105.1,300.7,295.1,397.4,643.5,311.0,458.4,133.2,480.9,74.3,348.7,169.2,235.0,460.1,625.6,648.2,439.6,425.7,429.7,547.9,429.9,125.4,415.1,160.2,262.1,583.5,251.4,331.5,388.6,91.3,511.1,414.7
MV,489.3,269.1,398.3,286.9,275.1,190.2,426.5,416.3,425.3,213.3,312.5,244.7,2042.8,292.7,291.5,96.8,342.4,262.0,457.1,203.3,436.1,314.6,234.2,459.2,355.3,220.6,535.0,295.1,274.5,457.9,260.7,201.4,261.4,239.8,401.0,627.9,213.1,324.5,328.4,480.0,187.6,373.2,487.3,231.4,483.1,267.8,0.0,483.8,269.3,337.5,89.2,444.8,300.9,432.2,498.5,499.5,305.3,388.6,26.4,489.5,148.0,57.8,221.1,230.7,238.6,233.0,335.3,511.0,178.5,396.3,298.1,418.8,228.6,286.6,107.1,36.9,512.5,493.1,515.7,307.1,363.6,367.6,415.4,482.3,142.0,353.0,245.1,125.6,451.0,317.1,199.0,326.5,244.5,378.6,352.6
NJ,567.7,272.0,462.9,587.2,575.4,528.9,430.2,420.0,526.7,327.8,228.6,296.4,2252.3,292.4,591.8,439.5,642.7,562.3,460.8,503.6,333.9,614.9,572.9,357.0,394.7,283.1,616.8,210.9,272.8,461.6,277.5,426.5,261.1,578.5,555.0,170.9,513.4,624.8,628.7,561.8,492.5,372.9,625.4,570.1,486.8,568.1,480.2,0.0,569.6,389.6,396.4,582.9,198.7,431.9,502.2,577.9,313.9,526.7,459.2,489.2,428.9,419.0,521.4,531.0,392.6,308.1,335.0,592.8,515.6,294.1,598.4,316.6,528.9,440.6,382.1,441.2,516.2,631.2,653.8,569.4,397.3,367.3,553.5,491.5,442.3,352.7,545.4,468.3,589.1,617.4,537.7,326.2,544.8,586.0,268.4
NK,610.6,320.0,519.6,99.5,188.5,311.5,362.9,352.7,546.6,264.2,363.4,295.6,2093.7,343.6,232.3,222.1,73.0,202.8,393.5,144.1,487.0,45.2,355.5,510.1,406.2,271.5,656.3,346.0,325.4,394.3,311.6,209.1,312.3,361.1,451.9,705.7,116.2,236.1,211.7,601.3,68.9,424.1,608.6,352.7,419.5,151.1,262.8,534.7,0.0,388.4,249.2,566.1,351.8,418.4,434.9,620.8,356.2,509.9,289.3,521.4,252.5,201.6,46.7,171.5,289.5,283.9,386.2,632.3,299.8,447.2,28.8,469.7,131.7,337.5,158.0,223.8,448.9,614.4,637.0,428.4,414.5,418.5,536.7,418.7,114.2,403.9,185.9,250.9,572.3,142.7,320.3,377.4,185.3,499.9,403.5
NL,407.9,109.1,316.9,454.9,443.1,396.6,414.6,404.4,631.7,139.2,152.5,107.8,2150.8,276.8,459.5,307.2,510.4,430.0,445.2,371.3,281.5,482.6,440.6,304.6,339.4,266.1,741.4,215.3,258.6,446.0,261.9,294.2,245.5,446.2,241.5,557.0,381.1,492.5,496.4,686.4,355.6,357.3,693.7,421.1,471.2,435.8,347.9,386.0,437.3,0.0,264.1,651.2,182.4,416.3,486.6,418.1,57.2,595.0,326.9,473.6,296.6,286.7,389.1,398.7,157.5,119.5,319.4,717.4,384.9,241.7,466.1,264.2,396.6,219.0,249.8,308.9,500.6,699.5,722.1,345.4,26.0,351.7,621.8,470.4,310.0,337.1,413.1,336.0,657.4,485.1,405.4,310.6,412.5,362.0,272.8
NQ,540.4,199.6,449.4,299.6,287.8,241.3,357.0,346.8,476.4,143.8,243.0,175.2,1995.5,223.2,304.2,151.9,355.1,274.7,387.6,216.0,366.6,327.3,285.3,389.7,285.8,151.1,586.1,225.6,205.0,388.4,191.2,112.1,191.9,290.9,331.5,585.3,225.8,337.2,341.1,531.1,200.3,303.7,538.4,282.5,413.6,280.5,89.2,414.3,282.0,268.0,0.0,495.9,231.4,362.7,429.0,550.6,235.8,439.7,62.7,420.0,58.7,131.4,233.8,243.4,169.1,163.5,265.8,562.1,229.6,326.8,310.8,349.3,241.3,217.1,94.5,126.2,443.0,544.2,566.8,358.2,294.1,298.1,466.5,412.8,154.7,283.5,257.8,180.7,502.1,329.8,250.1,257.0,257.2,429.7,283.1
NV,518.3,552.4,405.4,570.2,558.4,347.6,686.5,676.3,161.9,496.6,595.8,528.0,2265.2,576.0,574.8,404.1,625.7,545.3,717.1,486.6,719.4,597.9,358.2,742.5,638.6,503.9,271.6,578.4,557.8,717.9,544.0,418.1,544.7,265.2,684.3,364.5,496.4,607.8,611.7,216.6,470.9,656.5,219.9,260.4,743.1,551.1,444.8,556.4,552.6,620.8,481.6,0.0,584.2,742.0,758.5,528.5,588.6,121.2,471.3,772.8,461.5,383.6,504.4,514.0,521.9,516.3,618.6,247.6,335.9,679.6,581.4,702.1,511.9,569.9,390.4,405.8,772.5,48.3,70.8,336.1,646.9,650.9,148.0,742.3,425.3,636.3,528.4,432.9,183.6,600.4,267.9,609.8,527.8,407.6,635.9
OB,522.6,73.2,431.6,389.1,377.3,330.8,232.1,221.9,565.9,129.0,29.8,97.6,2054.2,94.3,393.7,241.4,444.6,364.2,262.7,305.5,135.1,416.8,374.8,158.2,156.9,85.0,675.6,32.8,76.1,263.5,79.4,228.4,63.0,380.4,356.2,374.5,315.3,426.7,430.6,620.6,289.8,174.8,627.9,372.0,288.7,370.0,282.1,203.5,371.5,190.8,198.3,585.4,0.0,233.8,304.1,532.8,115.1,529.2,261.1,291.1,230.8,220.9,323.3,332.9,193.8,109.3,136.9,651.6,319.1,95.3,400.3,117.8,330.8,241.8,184.0,243.1,318.1,633.7,656.3,447.7,198.5,169.2,556.0,287.9,244.2,154.6,347.3,270.2,591.6,419.3,339.6,128.1,346.7,476.7,90.3
OC,661.9,290.6,570.9,523.9,512.1,465.6,65.4,75.6,700.7,307.8,247.2,315.0,2154.3,187.9,528.5,376.2,579.4,499.0,34.8,440.3,352.5,551.6,509.6,375.6,205.3,219.8,810.4,211.5,148.0,53.7,214.2,363.2,161.2,515.2,495.5,571.2,450.1,561.5,565.4,755.4,424.6,58.9,762.7,506.8,143.1,504.8,416.9,400.2,506.3,408.2,333.1,720.2,217.3,0.0,94.3,672.1,332.5,664.0,395.9,105.7,365.6,355.7,458.1,467.7,333.1,326.7,96.8,786.4,453.9,312.7,535.1,335.2,465.6,381.1,318.8,377.9,113.7,768.5,791.1,582.5,415.9,64.5,690.8,78.1,379.0,79.1,482.1,405.0,726.4,554.1,474.4,105.6,481.5,616.0,269.0
OI,736.9,365.6,645.9,598.9,587.1,540.6,81.9,92.1,775.7,382.8,322.2,390.0,2170.8,204.4,603.5,451.2,654.4,574.0,59.4,515.3,427.5,626.6,584.6,450.6,221.8,294.8,885.4,286.5,223.0,40.5,289.2,438.2,236.2,590.2,570.5,646.2,525.1,636.5,640.4,830.4,499.6,143.3,837.7,581.8,48.7,579.8,491.9,475.2,581.3,483.2,408.1,795.2,292.3,84.3,0.0,747.1,407.5,739.0,470.9,187.3,440.6,430.7,533.1,542.7,408.1,401.7,181.2,861.4,528.9,387.7,610.1,410.2,540.6,456.1,393.8,452.9,19.3,843.5,866.1,657.5,490.9,148.9,765.8,16.1,454.0,163.5,557.1,480.0,801.4,629.1,549.4,190.0,556.5,691.0,344.0
OY,10.2,438.5,91.1,638.9,627.1,434.8,656.0,645.8,489.9,382.7,481.9,414.1,2334.8,522.2,643.5,491.2,694.4,614.0,686.6,555.3,610.9,666.6,362.2,634.0,584.8,450.1,599.6,544.7,504.0,687.4,490.2,474.4,490.9,269.2,147.4,386.1,565.1,676.5,680.4,544.6,544.2,602.7,260.0,229.5,712.6,619.8,531.9,578.0,621.3,376.1,448.1,515.4,511.8,661.7,728.0,0.0,433.4,429.8,510.9,721.8,480.6,470.7,573.1,582.7,330.2,402.4,564.8,575.6,338.3,571.1,650.1,593.6,580.6,391.7,433.8,492.9,742.0,563.7,586.3,153.8,402.2,597.1,337.9,717.3,494.0,582.5,597.1,520.0,296.3,669.1,269.3,556.0,596.5,170.4,602.2
PA,475.5,51.8,384.5,397.6,385.8,339.3,357.3,347.1,574.4,81.9,95.2,50.5,2093.5,219.5,402.2,249.9,453.1,372.7,387.9,314.0,224.2,425.3,383.3,247.3,282.1,208.8,684.1,158.0,201.3,388.7,204.6,236.9,188.2,388.9,309.1,499.7,323.8,435.2,439.1,629.1,298.3,300.0,636.4,380.5,413.9,378.5,290.6,328.7,380.0,75.6,206.8,593.9,125.1,359.0,429.3,485.7,0.0,537.7,269.6,416.3,239.3,229.4,331.8,341.4,146.7,62.2,262.1,660.1,327.6,184.4,408.8,206.9,339.3,194.7,192.5,251.6,443.3,642.2,664.8,413.0,83.3,294.4,564.5,413.1,252.7,279.8,355.8,278.7,600.1,427.8,348.1,253.3,355.2,429.6,215.5
PO,455.1,528.6,364.1,546.4,534.6,284.4,662.7,652.5,138.1,472.8,572.0,504.2,2241.4,552.2,551.0,380.3,601.9,521.5,693.3,462.8,695.6,574.1,295.0,718.7,614.8,480.1,247.8,554.6,534.0,694.1,520.2,394.3,520.9,202.0,660.5,340.7,472.6,584.0,587.9,192.8,447.1,632.7,156.7,197.2,719.3,527.3,421.0,532.6,528.8,597.0,457.8,163.6,560.4,718.2,734.7,465.3,564.8,0.0,447.5,749.0,437.7,359.8,480.6,490.2,498.1,492.5,594.8,223.8,272.7,655.8,557.6,678.3,488.1,546.1,366.6,382.0,748.7,211.9,234.5,272.9,623.1,627.1,84.8,718.5,401.5,612.5,504.6,409.1,120.4,576.6,204.7,586.0,504.0,344.4,612.1
PW,515.8,262.4,424.8,313.4,301.6,216.7,419.8,409.6,451.8,206.6,305.8,238.0,2058.3,286.0,318.0,123.3,368.9,288.5,450.4,229.8,429.4,341.1,260.7,452.5,348.6,213.9,561.5,288.4,267.8,451.2,254.0,174.9,254.7,266.3,394.3,654.4,239.6,351.0,354.9,506.5,214.1,366.5,513.8,257.9,476.4,294.3,26.4,477.1,295.8,330.8,62.7,471.3,294.2,425.5,491.8,526.0,298.6,415.1,0.0,482.8,121.5,84.3,247.6,257.2,231.9,226.3,328.6,537.5,205.0,389.6,324.6,412.1,255.1,279.9,157.3,63.4,505.8,519.6,542.2,333.6,356.9,360.9,441.9,475.6,168.5,346.3,271.6,152.1,477.5,343.6,225.5,319.8,271.0,405.1,345.9
QC,714.1,345.9,626.2,576.1,564.3,520.9,186.4,193.5,752.9,360.0,299.4,370.3,2210.4,210.1,580.7,428.4,634.7,554.3,152.7,492.5,404.7,603.8,561.8,427.8,366.0,272.0,865.7,266.8,200.2,171.6,266.4,418.5,216.5,570.5,547.7,626.5,505.4,616.8,617.6,810.7,481.4,114.2,818.0,562.1,264.1,560.1,472.2,452.4,561.6,460.4,385.3,772.4,272.6,120.9,212.2,724.3,384.7,716.2,448.1,0.0,417.8,411.0,513.4,523.0,385.3,378.9,152.1,841.7,504.5,368.0,587.3,387.4,520.9,433.3,371.0,433.2,234.7,820.7,843.3,634.7,468.1,116.7,737.0,201.5,434.3,131.3,537.4,457.2,778.6,609.4,529.7,160.9,536.8,668.2,321.2
QO,518.5,222.1,427.5,289.1,277.3,219.4,379.5,369.3,454.5,166.3,265.5,197.7,2018.0,245.7,293.7,130.0,344.6,264.2,410.1,205.5,389.1,316.8,263.4,412.2,308.3,173.6,564.2,248.1,227.5,410.9,213.7,53.3,214.4,269.0,354.0,607.8,215.3,326.7,330.6,509.2,189.8,326.2,516.5,260.6,436.1,270.0,158.0,436.8,271.5,290.5,68.7,474.0,253.9,385.2,451.5,528.7,258.3,417.8,131.5,442.5,0.0,109.5,223.3,232.9,191.6,186.0,288.3,540.2,207.7,349.3,300.3,371.8,230.8,239.6,117.0,131.7,465.5,522.3,544.9,336.3,316.6,320.6,444.6,435.3,144.2,306.0,247.3,158.8,480.2,319.3,228.2,279.5,246.7,407.8,305.6
RE,431.4,211.2,340.4,229.0,217.2,132.3,368.6,358.4,367.4,155.4,254.6,186.8,1984.9,234.8,233.6,38.9,284.5,204.1,399.2,145.4,378.2,256.7,176.3,401.3,297.4,162.7,477.1,237.2,216.6,400.0,202.8,76.9,203.5,181.9,343.1,570.0,155.2,266.6,270.5,422.1,129.7,315.3,429.4,173.5,425.2,209.9,61.1,425.9,211.4,279.6,150.4,386.9,243.0,374.3,440.6,441.6,247.4,330.7,87.6,434.4,209.2,0.0,163.2,172.8,180.7,175.1,277.4,453.1,120.6,338.4,240.2,360.9,170.7,228.7,49.2,22.2,454.6,435.2,457.8,249.2,305.7,309.7,357.5,424.4,84.1,295.1,187.2,67.7,393.1,259.2,141.1,268.6,186.6,320.7,294.7
RF,577.4,286.8,486.4,141.3,162.3,361.5,329.7,319.5,513.4,231.0,330.2,262.4,2060.5,310.4,199.1,188.9,114.8,169.6,360.3,110.9,453.8,87.0,322.3,476.9,373.0,238.3,623.1,312.8,290.8,361.1,278.4,172.1,279.1,327.9,418.7,672.5,83.0,232.1,198.3,568.1,30.8,390.9,575.4,319.5,386.3,137.7,229.6,501.5,41.7,355.2,216.0,532.9,318.6,385.2,401.7,587.6,323.0,476.7,256.1,488.2,219.3,168.4,0.0,138.3,256.3,250.7,353.0,599.1,265.0,414.0,70.5,436.5,98.5,304.3,124.8,190.6,415.7,581.2,603.8,395.2,381.3,385.3,503.5,385.5,81.0,370.7,152.7,227.2,539.1,95.9,289.7,344.2,152.1,466.7,370.3
RG,591.8,301.2,500.8,123.3,44.3,292.7,344.1,333.9,527.8,245.4,344.6,276.8,2074.9,324.8,105.0,203.3,205.0,75.5,374.7,37.3,468.2,218.7,336.7,491.3,387.4,252.7,637.5,327.2,306.6,375.5,292.8,190.3,293.5,342.3,433.1,686.9,112.6,138.0,164.8,582.5,129.6,405.3,589.8,333.9,400.7,104.2,244.0,515.9,222.9,369.6,230.4,547.3,333.0,399.6,416.1,602.0,337.4,491.1,270.5,505.4,233.7,182.8,163.1,0.0,270.7,265.1,367.4,613.5,281.0,428.4,194.1,450.9,113.8,318.7,139.2,205.0,430.1,595.6,618.2,409.6,395.7,399.7,517.9,399.9,95.4,385.1,58.6,232.1,553.5,259.1,301.5,358.6,13.8,481.1,384.7
RO,371.0,140.5,280.0,340.9,329.1,282.6,358.0,347.8,517.7,84.7,183.9,116.1,2036.8,224.2,345.5,193.2,396.4,316.0,388.6,257.3,312.9,368.6,326.6,336.0,326.5,152.1,627.4,246.7,204.6,389.4,192.2,176.4,192.9,332.2,204.6,588.4,267.1,378.5,382.4,572.4,246.2,304.7,579.7,323.8,414.6,321.8,233.9,417.4,323.3,146.5,150.1,537.2,213.8,363.7,430.0,381.2,176.7,481.0,212.9,421.0,182.6,172.7,275.1,284.7,0.0,104.4,266.8,603.4,269.3,273.1,352.1,295.6,282.6,61.4,135.8,194.9,444.0,585.5,608.1,308.5,172.6,299.1,507.8,419.3,196.0,284.5,299.1,222.0,543.4,371.1,291.4,258.0,298.5,325.1,304.2
RQ,413.2,36.0,322.2,335.3,323.5,360.2,341.5,331.3,512.1,19.7,79.4,11.6,2031.2,203.7,339.9,187.6,390.8,310.4,372.1,251.7,208.4,363.0,321.0,231.5,266.3,146.5,621.8,142.2,185.5,372.9,188.8,170.8,172.4,326.6,246.8,483.9,261.5,372.9,376.8,566.8,240.6,284.2,574.1,318.2,398.1,316.2,228.3,312.9,317.7,147.9,144.5,531.6,109.3,343.2,413.5,423.4,72.2,475.4,207.3,400.5,177.0,167.1,269.5,279.1,84.4,0.0,246.3,597.8,265.3,168.6,346.5,191.1,277.0,132.4,130.2,189.3,427.5,579.9,602.5,350.7,155.6,278.6,496.2,402.8,190.4,264.0,293.5,216.4,537.8,365.5,288.4,237.5,292.9,367.3,199.7
RR,565.0,193.7,474.0,427.0,415.2,368.7,162.3,172.5,603.8,210.9,150.3,218.1,2061.3,61.0,431.6,279.3,482.5,402.1,131.7,343.4,255.6,454.7,412.7,278.7,123.6,122.9,713.5,114.6,51.1,150.6,117.3,266.3,64.3,418.3,398.6,474.3,353.2,464.6,468.5,658.5,327.7,37.9,665.8,409.9,240.0,407.9,320.0,303.3,409.4,311.3,236.2,623.3,120.4,96.8,191.2,575.2,235.6,567.1,299.0,154.1,268.7,258.8,361.2,370.8,236.2,229.8,0.0,689.5,357.0,215.8,438.2,238.3,368.7,284.2,221.9,281.0,210.6,671.6,694.2,485.6,319.0,32.3,593.9,175.0,282.1,17.6,385.2,308.1,629.5,457.2,377.5,8.7,384.6,519.1,172.1
RS,496.5,595.0,391.7,612.8,601.0,443.7,729.1,718.9,187.8,539.2,771.4,570.6,2307.8,618.6,617.4,446.7,668.3,587.9,759.7,529.2,876.7,640.5,454.3,899.8,681.2,546.5,204.7,753.7,600.4,760.5,586.6,460.7,587.3,361.3,726.9,350.8,539.0,650.4,654.3,149.7,513.5,699.1,316.0,356.5,785.7,593.7,487.4,542.7,595.2,663.4,524.2,328.7,741.5,784.6,801.1,506.7,631.2,243.1,513.9,818.2,504.1,426.2,547.0,556.6,564.5,558.9,661.2,0.0,432.0,836.9,624.0,859.4,554.5,612.5,433.0,448.4,815.1,377.0,399.6,432.2,689.5,693.5,244.1,784.9,467.9,678.9,571.0,475.5,279.7,643.0,364.0,652.4,570.4,503.7,811.2
SL,368.2,320.8,275.6,338.6,326.8,94.8,499.5,489.3,351.7,265.0,364.2,296.4,2033.6,344.4,343.2,172.5,392.5,313.7,530.1,255.0,486.2,364.7,73.1,510.9,446.7,270.7,461.4,346.8,324.8,530.9,312.4,182.7,313.1,118.7,267.7,554.3,264.8,376.2,380.1,406.4,242.3,424.9,135.9,110.3,556.1,319.5,213.2,533.9,321.0,498.0,250.0,371.2,352.6,483.9,571.5,376.8,357.0,305.7,239.7,544.0,229.9,152.0,271.2,282.4,288.7,283.1,387.0,437.4,0.0,448.0,349.8,470.5,280.3,336.7,158.8,174.2,585.5,419.5,442.1,186.0,524.1,419.3,213.8,560.8,193.7,403.1,296.8,210.8,172.2,368.8,80.5,378.2,296.2,257.5,404.3
