from_stop,AN,BB,BR,BY,CA,CB,CF,CJ,CM,DB,DG,DL,DP,DZ,EB,EV,EX,FO,FP,FY,GH,GU,GX,HF,HM,HN,HY,HZ,IH,IN,IS,JA,JE,JG,JI,JM,JN,JX,KG,KI,KJ,KW,LA,LG,LH,LK,MB,MN,MR,NR,NV,OC,OM,ON,OY,PB,PG,PI,PO,PQ,QI,QP,QR,RA,RC,RK,RM,RS,RU,RV,RW,TB,TD,TH,TN,TY,UA,UQ,VA,VH,VK,VM,VO,VW,VZ,WD,WS,WV,XA,YK,YP,YR,YX,ZC,ZG,ZT,ZW
JI,203.8,113.5,304.9,185.3,227.7,200.5,275.1,38.8,181.4,145.5,51.2,72.3,34.7,66.2,138.5,218.1,158.5,161.6,236.5,203.0,122.0,222.9,245.7,205.0,189.1,72.8,140.4,250.5,128.8,249.1,38.8,236.4,34.7,284.7,0.0,73.1,2565.0,178.6,109.0,22.3,78.7,147.3,180.1,236.4,91.1,201.8,72.3,16.5,49.8,232.0,312.1,91.5,114.3,56.4,227.8,200.8,65.7,96.1,148.0,181.1,199.3,208.9,310.7,164.5,284.8,122.2,208.7,200.1,241.2,196.6,35.2,206.0,237.7,73.2,185.6,181.7,80.8,204.9,273.5,186.2,313.6,212.2,155.2,358.1,267.0,181.3,188.6,240.9,74.0,56.0,192.9,188.6,230.5,121.9,53.6,216.8,181.4
JM,99.4,138.4,249.3,170.8,213.2,186.0,170.7,70.9,77.0,131.0,129.5,75.8,78.4,51.7,124.0,203.6,144.0,147.1,132.1,118.3,58.0,208.4,141.3,190.5,84.7,112.9,90.6,146.1,153.7,234.6,70.9,132.0,33.4,180.3,79.1,0.0,2595.8,164.1,94.5,56.7,64.2,84.8,165.6,132.0,162.0,187.3,150.6,62.5,20.6,217.5,270.4,131.6,99.8,57.2,213.3,186.3,144.0,167.0,133.5,166.6,94.9,194.4,314.2,150.0,187.3,107.7,104.3,95.7,136.8,92.2,90.4,191.5,133.3,0.1,81.2,167.2,120.9,100.5,277.0,171.7,239.2,197.7,140.7,361.6,162.6,166.8,84.2,227.0,0.9,134.3,178.4,174.1,216.0,166.9,74.6,202.3,77.0
JN,2377.9,2360.1,2279.6,2494.1,2527.8,2458.0,2391.7,2467.6,2401.0,2397.4,2377.2,2443.1,2437.4,2417.1,2457.0,2558.6,2467.3,2432.5,2353.1,2363.6,2424.5,2515.9,2362.3,2417.1,2392.9,2400.3,2430.6,2367.1,2347.4,2450.0,2467.6,2353.0,2436.3,2342.6,2438.5,2473.9,0.0,2443.9,2374.6,2452.0,2405.0,2424.8,2487.9,2353.0,2337.3,2509.6,2356.1,2455.1,2450.6,2424.9,2262.5,2381.4,2432.8,2485.2,2429.5,2500.9,2362.7,2332.3,2446.1,2411.6,2382.4,2464.5,2259.9,2465.0,2337.2,2422.7,2373.0,2381.6,2357.8,2385.1,2428.9,2546.5,2354.3,2474.0,2396.6,2440.8,2392.3,2376.8,2287.2,2486.3,2288.3,2487.5,2471.2,2269.4,2383.6,2404.6,2393.4,2433.0,2474.8,2372.4,2493.0,2433.9,2469.2,2343.8,2447.3,2512.2,2401.0
JX,241.1,123.0,336.9,50.1,121.1,56.7,312.4,170.4,218.7,79.6,144.1,106.2,145.4,111.9,26.6,100.9,19.9,61.5,273.8,240.3,205.8,96.8,283.0,25.3,226.4,123.8,177.7,287.8,132.7,84.2,173.8,273.7,112.4,322.0,150.4,167.9,2615.8,0.0,97.1,128.0,93.1,184.6,62.9,273.7,146.6,84.6,146.5,130.4,141.2,70.2,346.0,130.2,54.2,188.0,64.9,106.4,153.1,151.6,46.4,59.2,233.2,45.2,345.0,76.9,317.2,89.2,246.0,237.4,275.1,233.9,184.4,75.9,275.0,168.0,222.9,3.0,131.8,242.2,310.8,97.1,347.1,78.4,70.2,358.1,307.6,81.9,225.9,80.8,168.8,145.2,101.6,9.9,70.9,151.5,202.8,53.1,218.7
KG,227.2,37.4,328.3,150.2,192.6,157.4,298.5,123.1,204.8,50.0,82.0,96.5,97.3,42.4,103.4,183.0,123.4,126.5,259.9,226.4,192.3,168.5,269.1,116.5,212.5,68.3,163.8,273.9,52.7,149.4,123.1,259.8,61.6,308.1,99.7,99.2,2542.7,143.3,0.0,77.3,30.3,170.7,145.0,259.8,61.0,166.7,60.9,83.1,75.9,124.3,335.5,49.4,79.2,140.7,128.9,165.7,67.5,66.0,112.9,111.0,222.7,163.9,334.1,117.6,308.2,75.3,232.1,223.5,264.6,220.0,132.9,170.9,261.1,99.3,209.0,140.2,60.3,228.3,296.9,151.1,337.0,177.1,120.1,381.5,290.4,72.2,212.0,132.4,100.1,77.2,157.8,133.3,168.6,65.9,151.3,171.1,204.8
KI,181.4,100.4,282.5,162.9,205.3,178.1,252.7,45.7,159.0,123.1,73.6,49.9,21.6,43.8,116.1,195.7,136.1,139.2,214.1,180.6,146.5,200.5,223.3,182.6,166.7,59.7,118.0,228.1,115.7,226.7,45.7,214.0,25.5,262.3,22.3,50.7,2587.4,156.2,86.6,0.0,56.3,124.9,157.7,214.0,113.5,179.4,94.7,5.8,27.4,209.6,289.7,78.4,91.9,63.3,205.4,178.4,88.1,118.5,125.6,158.7,176.9,186.5,288.3,142.1,262.4,99.8,186.3,177.7,218.8,174.2,57.6,183.6,215.3,50.8,163.2,159.3,67.7,182.5,251.1,163.8,291.2,189.8,132.8,335.7,244.6,158.9,166.2,219.1,51.6,78.4,170.5,166.2,208.1,144.3,76.0,194.4,159.0
KJ,208.6,74.1,309.7,119.8,162.2,135.0,279.9,92.7,186.2,66.7,58.5,77.9,66.9,12.0,73.0,152.6,93.0,96.1,241.3,207.8,126.9,157.4,250.5,139.5,193.9,41.9,145.2,255.3,89.4,179.7,92.7,241.2,48.4,289.5,69.3,68.8,2573.0,113.1,30.2,46.9,0.0,152.1,114.6,241.2,97.7,136.3,79.6,52.7,45.5,154.6,316.9,60.6,48.8,110.3,159.2,135.3,73.0,102.7,82.5,115.6,204.1,143.4,315.5,99.0,289.6,56.7,213.5,204.9,246.0,201.4,102.5,140.5,242.5,68.9,190.4,116.2,49.9,209.7,278.3,120.7,318.4,146.7,89.7,362.9,271.8,102.5,193.4,162.7,69.7,63.3,127.4,123.1,165.0,102.6,120.9,151.3,186.2
KW,56.4,209.7,206.3,157.0,133.7,223.5,127.7,107.3,34.0,137.6,207.2,89.3,132.6,162.1,161.5,198.4,181.5,184.6,89.1,75.3,21.5,176.6,98.3,213.0,41.7,170.7,5.8,103.1,225.0,252.9,107.3,89.0,136.9,137.3,169.1,127.9,2642.6,201.6,183.8,149.1,169.1,0.0,203.1,89.0,235.9,186.3,215.8,132.4,148.6,237.8,222.9,189.4,137.3,93.6,233.6,161.6,221.7,240.9,171.0,189.1,51.9,213.9,221.5,125.7,144.3,112.3,61.3,52.7,93.8,49.2,126.8,210.5,90.3,127.8,38.2,204.7,178.7,57.5,184.3,147.0,196.2,235.0,164.5,268.9,119.6,192.6,41.2,249.4,127.1,212.0,153.7,199.3,253.3,213.4,111.0,221.8,34.0
LA,247.5,169.0,348.6,63.4,133.9,29.8,318.8,169.1,225.1,101.1,161.9,116.8,145.0,133.4,51.5,65.4,62.8,81.5,280.2,246.7,212.6,45.8,289.4,89.3,232.8,145.3,184.1,294.2,184.3,94.4,169.1,280.1,118.0,328.4,145.7,163.2,2659.4,62.9,143.1,123.3,114.6,191.0,0.0,280.1,192.6,21.6,183.0,129.1,139.9,61.3,355.8,164.0,75.7,186.7,57.1,107.0,176.4,197.6,67.9,101.0,243.0,55.4,354.4,72.2,328.5,104.5,252.4,243.8,284.9,240.3,181.0,53.3,281.4,163.3,229.3,66.0,153.3,248.6,317.2,92.4,357.3,59.5,89.9,401.8,310.7,122.9,232.3,72.9,164.1,166.7,99.1,72.9,77.8,197.5,199.4,63.3,225.1
LG,24.5,254.3,123.4,201.6,164.5,268.1,38.7,156.9,47.6,182.2,224.7,133.9,182.2,206.7,206.1,233.4,226.1,229.2,0.1,10.2,70.7,230.3,9.3,256.6,39.5,220.1,77.2,14.0,264.0,297.5,156.9,0.0,188.4,48.2,236.7,177.5,2573.2,242.8,228.4,193.7,213.7,71.4,247.7,0.0,303.5,230.9,283.4,182.0,210.3,282.4,138.3,240.8,181.9,143.2,278.2,204.3,241.0,308.5,219.0,233.7,29.0,258.5,155.7,170.3,61.5,156.9,19.6,28.2,4.8,31.7,176.4,255.0,1.2,177.4,43.2,249.3,228.3,23.4,147.0,191.6,107.6,280.8,209.1,168.4,33.8,237.2,40.0,294.0,176.7,231.3,196.1,243.9,284.2,281.0,160.6,266.4,47.6
LH,276.6,70.8,372.4,204.6,229.8,174.7,347.9,140.0,254.2,99.4,36.1,138.3,111.5,109.8,157.8,237.4,177.8,147.7,309.3,275.8,241.7,227.0,318.5,133.8,261.9,81.9,213.2,323.3,67.9,166.7,140.0,309.2,129.0,357.5,101.1,166.6,2494.4,160.6,80.9,123.5,97.7,220.1,199.4,309.2,0.0,221.1,18.7,117.7,143.3,140.4,384.9,62.8,133.6,157.6,146.2,201.0,25.3,5.0,162.8,128.3,272.1,181.2,384.3,167.0,352.7,124.7,281.5,272.9,314.0,269.4,91.5,215.8,310.5,166.7,258.4,157.5,73.7,277.7,346.3,188.3,386.4,193.4,174.5,397.0,343.1,121.3,261.4,149.7,167.5,35.0,192.8,150.6,185.9,41.7,109.9,188.4,254.2
LK,225.8,190.7,326.9,41.7,112.2,51.5,297.1,147.4,203.4,108.1,175.3,100.3,123.3,114.6,73.2,56.3,54.0,103.2,258.5,225.0,190.9,24.1,267.7,103.8,211.1,161.4,162.4,272.5,206.0,116.1,147.4,258.4,96.3,306.7,124.0,141.5,2707.7,77.4,157.4,101.6,127.1,169.3,21.6,258.4,214.3,0.0,196.4,107.4,118.2,83.0,334.1,180.1,97.4,165.0,78.8,85.3,189.8,219.3,89.6,122.7,221.3,77.1,332.7,50.5,306.8,82.8,230.7,222.1,263.2,218.6,159.3,68.4,259.7,141.6,207.6,80.5,169.4,226.9,295.5,70.7,335.6,81.2,68.2,380.1,289.0,144.6,210.6,94.6,142.4,180.1,77.4,87.4,99.5,219.2,177.7,85.0,203.4
MB,256.5,50.7,357.6,185.8,209.7,193.5,327.8,121.2,234.1,79.3,21.0,131.0,92.7,89.7,139.0,218.6,159.0,162.1,289.2,255.7,221.6,197.8,298.4,152.6,241.8,61.6,193.1,303.2,66.0,185.5,121.2,289.1,108.9,337.4,82.3,146.5,2513.2,179.1,60.8,104.7,77.6,200.0,180.6,289.1,18.7,202.3,0.0,98.9,123.2,160.4,364.8,42.7,114.8,138.8,165.0,182.8,6.5,23.7,148.5,147.1,252.0,200.0,363.4,146.9,337.5,104.6,261.4,252.8,293.9,249.3,72.7,206.5,290.4,146.6,238.3,176.3,53.6,257.6,326.2,168.2,366.3,212.7,155.7,410.8,319.7,140.1,241.3,168.5,147.4,16.2,174.9,169.4,204.7,41.6,91.1,207.2,234.1
MN,187.2,94.6,288.3,168.7,211.1,183.9,258.5,39.9,164.8,128.9,66.0,61.7,15.8,49.6,121.9,201.5,141.9,145.0,219.9,186.4,152.3,214.7,229.1,187.4,172.5,53.7,123.8,233.9,104.3,232.5,39.9,219.8,18.1,268.1,16.5,56.5,2581.6,162.0,92.4,5.8,62.1,130.7,163.5,219.8,107.7,185.2,88.9,0.0,33.2,215.6,295.5,72.6,97.7,57.5,211.2,182.3,82.3,112.7,137.6,164.5,182.7,192.3,294.9,147.9,268.2,105.6,192.1,183.5,224.6,180.0,51.8,179.9,221.1,56.6,169.0,165.1,61.9,188.3,256.9,169.6,296.6,206.4,138.6,307.6,249.3,164.7,172.0,224.9,57.4,72.6,176.3,172.0,213.9,138.5,70.2,200.2,164.8
MR,122.7,117.7,282.4,150.1,192.5,165.3,194.0,81.8,100.3,110.3,107.0,55.9,57.7,31.0,103.3,182.9,123.3,126.4,155.4,185.8,81.5,196.1,164.6,168.8,108.0,92.6,123.2,169.4,127.4,213.9,81.8,155.3,12.7,203.6,58.4,23.2,2619.1,140.0,73.8,36.0,43.5,130.1,144.9,155.3,141.3,166.6,129.9,41.8,0.0,196.8,294.9,110.9,79.1,80.5,192.6,163.7,123.3,146.3,112.8,145.9,118.2,173.7,294.3,129.3,261.4,87.0,127.6,119.0,160.1,115.5,93.7,161.3,156.6,23.3,104.5,146.5,100.2,123.8,256.3,151.0,289.0,187.8,120.0,307.0,189.2,146.1,107.5,206.3,24.2,113.6,155.5,153.4,195.3,146.2,97.9,181.6,100.3
NR,280.1,133.1,374.7,120.9,196.9,33.0,350.2,232.5,256.5,101.7,174.0,148.6,201.1,156.1,85.0,118.9,94.1,86.2,311.6,278.1,243.6,117.9,320.8,53.4,264.2,163.6,215.5,325.6,142.8,78.0,231.3,311.5,175.3,361.0,208.7,212.9,2598.5,74.1,107.2,186.3,144.0,222.4,62.9,312.7,156.7,84.6,156.6,192.1,190.8,0.0,387.2,140.3,109.2,248.9,4.6,168.1,163.2,161.7,97.9,65.9,275.6,39.5,386.6,135.2,355.0,128.2,283.8,275.2,316.3,272.9,229.4,97.3,312.8,213.0,260.7,67.6,156.0,280.0,348.6,155.4,384.3,72.7,127.6,399.3,345.4,76.3,263.7,10.4,213.8,172.9,159.9,60.7,65.2,161.6,247.8,47.4,256.5
NV,155.6,413.0,11.6,332.7,295.6,399.2,90.0,288.0,178.7,313.3,368.5,265.0,313.3,337.8,337.2,364.5,357.2,360.3,130.8,141.3,201.8,361.4,121.1,387.7,170.6,391.1,208.3,116.0,422.7,428.6,288.0,131.0,319.5,80.0,332.2,308.6,2480.2,373.9,359.5,354.6,344.8,202.5,378.8,131.0,399.0,362.0,378.9,348.8,341.4,414.6,0.0,400.2,313.0,274.3,409.3,335.4,384.8,404.0,352.9,364.8,160.1,389.6,41.2,301.4,68.4,288.0,150.7,159.3,125.8,162.8,340.6,386.1,129.6,308.5,174.3,380.4,399.3,154.5,24.6,322.7,25.3,411.9,340.2,54.3,98.6,368.3,171.1,425.1,307.8,375.1,327.2,375.0,415.3,376.5,291.7,397.5,178.7
OC,240.6,16.8,341.4,168.6,193.8,183.8,315.2,90.9,221.5,66.7,68.5,115.0,57.5,77.1,120.2,201.4,145.0,144.9,276.6,243.1,209.0,194.3,285.8,152.3,225.9,18.8,180.5,290.6,26.5,185.2,87.7,276.5,96.4,321.5,82.3,133.9,2549.7,161.9,48.2,89.2,65.0,187.4,163.4,273.2,58.4,185.1,61.6,81.8,107.3,160.1,352.2,0.0,97.6,105.3,164.7,165.0,64.9,66.7,134.7,143.5,236.1,199.7,353.4,134.3,320.5,88.7,248.8,240.2,281.3,233.4,111.1,183.0,277.8,134.0,225.7,165.0,12.4,245.0,313.6,152.3,353.3,193.9,141.7,364.3,307.1,120.5,228.7,168.2,134.8,71.9,176.2,169.1,204.4,66.6,129.5,206.9,221.5
OM,186.8,110.2,287.9,70.9,113.3,86.1,258.1,124.7,164.4,25.3,86.1,61.3,94.5,57.6,24.1,103.7,44.1,47.2,219.5,186.0,151.9,108.5,228.7,90.6,172.1,69.5,123.4,233.5,125.5,134.7,124.7,219.4,68.4,267.7,114.9,114.4,2583.6,64.2,69.1,92.5,38.8,130.3,65.7,219.4,126.0,87.4,107.2,98.3,91.1,117.6,295.1,88.2,0.0,142.3,113.4,86.4,100.6,131.0,33.6,66.7,182.3,101.6,293.7,69.6,267.8,34.9,191.7,183.1,224.2,179.6,130.1,91.6,220.7,114.5,168.6,67.3,77.5,187.9,256.5,71.8,296.6,97.8,40.8,341.1,250.0,80.3,171.6,137.1,115.3,90.9,78.5,74.2,116.1,125.9,148.5,109.5,164.4
ON,106.9,117.7,256.8,193.1,128.8,208.3,178.2,13.7,84.5,140.4,112.6,100.5,38.9,88.4,146.3,225.9,166.3,169.4,139.6,125.8,65.7,239.1,148.8,211.8,92.2,77.4,98.1,153.6,127.4,256.9,13.7,139.5,56.9,187.8,57.6,95.3,2580.3,186.4,131.2,44.5,100.9,92.3,187.9,139.5,148.8,209.6,130.0,38.7,72.0,240.9,277.9,97.5,122.1,0.0,235.6,206.7,123.4,153.8,162.0,188.9,102.4,216.7,284.4,172.3,202.7,130.0,111.8,103.2,144.3,99.7,74.9,204.3,140.8,95.4,88.7,189.5,85.0,108.0,246.8,194.0,255.4,230.8,163.0,297.5,169.0,203.5,91.7,251.4,96.2,113.7,200.7,196.4,238.3,164.2,59.1,224.6,84.5
OY,274.3,128.5,375.4,116.3,192.3,28.4,345.6,226.7,251.9,97.1,173.1,142.8,196.5,151.5,80.4,114.3,89.5,83.1,307.0,273.5,239.4,104.2,316.2,49.8,259.6,159.4,210.9,321.0,143.8,73.9,226.7,306.9,169.5,355.2,204.1,208.3,2602.7,66.1,102.6,181.7,139.4,217.8,58.3,306.9,152.1,80.0,152.0,187.5,185.0,4.2,382.6,140.5,104.6,244.3,0.0,165.4,158.6,157.1,96.7,61.3,269.8,34.9,381.2,130.6,355.3,122.4,279.2,270.6,311.7,267.1,224.8,102.2,308.2,208.4,256.1,63.0,151.4,275.4,344.0,150.8,384.1,78.9,121.8,428.6,337.5,81.6,259.1,15.7,209.2,168.3,157.5,56.1,60.6,157.0,243.2,42.8,251.9
PB,162.2,188.3,277.9,55.4,28.7,136.3,233.5,133.7,139.8,102.8,168.2,83.3,118.0,109.3,78.5,107.2,87.7,83.6,194.9,181.1,120.8,84.1,204.1,136.5,147.5,155.9,118.8,208.9,198.0,180.7,133.7,194.8,91.0,243.1,118.7,98.4,2658.6,107.7,152.1,96.3,121.8,125.7,106.4,194.8,209.9,84.7,191.1,102.1,112.9,168.9,290.5,174.8,95.8,120.0,163.6,0.0,184.5,214.9,70.0,103.1,157.7,145.9,289.9,45.2,256.4,77.5,167.1,158.5,199.6,155.0,153.2,128.8,196.1,98.3,144.0,114.2,164.1,163.3,251.9,13.4,291.6,154.6,44.9,302.6,224.3,125.0,147.0,179.4,97.6,174.8,8.6,121.1,162.1,216.8,137.4,153.8,139.8
PG,263.1,57.3,358.9,179.2,221.6,194.4,334.4,114.6,240.7,85.9,16.3,131.6,86.1,89.4,132.4,212.0,152.4,155.5,295.8,262.3,227.8,225.2,305.0,160.2,248.4,68.4,199.7,309.8,67.0,192.1,114.6,295.7,108.6,344.0,75.7,146.2,2519.8,169.1,67.4,98.1,84.2,206.6,174.0,295.7,25.3,195.7,6.5,92.3,122.9,165.8,371.4,49.3,108.2,132.2,171.6,192.8,0.0,30.3,145.3,153.7,258.6,206.6,370.8,153.5,344.1,111.2,268.0,259.4,300.5,255.9,66.1,190.4,297.0,146.3,244.9,175.6,60.2,264.2,332.8,180.1,372.5,216.9,149.1,417.4,329.6,146.7,247.9,175.1,147.1,9.7,184.6,176.0,211.3,48.2,84.5,213.8,240.7
PI,281.6,71.8,382.7,205.8,234.8,169.7,352.9,145.0,259.2,104.4,44.8,156.1,116.5,114.8,162.8,235.8,179.0,144.2,314.3,280.8,246.7,222.9,323.5,128.8,266.9,86.7,218.2,328.3,59.1,161.7,145.0,314.2,140.9,362.5,106.1,171.6,2489.4,155.6,85.9,128.5,102.7,225.1,199.6,314.2,5.0,221.3,23.7,122.7,148.3,136.6,389.9,67.8,138.6,162.6,141.2,207.9,30.3,0.0,157.8,123.3,277.1,176.2,388.5,172.0,362.6,129.7,286.5,277.9,319.0,274.4,96.5,223.7,315.5,171.7,263.4,152.5,78.7,282.7,351.3,193.3,391.4,199.2,179.5,435.9,344.8,116.3,266.4,144.7,172.5,40.0,200.0,145.6,180.9,46.7,114.9,183.4,259.2
PO,216.7,112.0,311.6,76.5,97.5,83.9,285.2,154.6,191.5,52.4,113.5,88.4,121.6,84.7,32.5,109.3,49.7,7.4,246.6,213.1,181.8,112.7,255.8,68.7,202.0,96.6,150.5,260.6,127.9,111.4,151.8,246.5,96.1,297.6,130.7,141.5,2607.6,66.4,88.9,108.3,65.9,157.4,71.3,249.3,135.6,93.0,134.3,114.1,121.0,93.5,318.8,117.1,27.0,169.4,92.1,68.7,130.5,143.4,0.0,33.0,206.0,72.4,321.6,57.2,291.5,64.8,218.8,210.2,251.3,209.5,157.2,90.5,247.8,141.6,195.7,64.7,104.6,215.0,283.6,56.0,322.1,102.8,28.4,330.9,279.9,48.7,198.7,105.1,142.4,118.0,68.9,57.8,98.1,143.3,175.6,80.3,191.5
PQ,230.0,84.2,325.7,107.4,132.0,73.3,301.3,182.4,207.6,52.8,128.8,98.5,152.2,107.2,60.8,140.4,80.6,19.3,262.7,229.2,194.7,147.2,271.9,59.9,215.3,115.1,166.6,276.7,93.9,100.8,182.4,262.6,126.4,310.9,146.2,164.0,2580.7,57.2,58.3,123.8,95.1,173.5,102.4,262.6,107.8,124.1,107.7,129.6,140.7,86.8,338.3,96.2,58.1,200.0,81.5,103.2,114.3,112.8,34.4,0.0,225.5,61.8,337.7,88.3,304.8,78.1,234.9,226.3,267.4,222.8,180.5,118.8,263.9,164.1,211.8,54.1,107.1,231.1,299.7,90.5,332.4,95.0,59.5,384.3,292.1,21.8,214.8,80.0,164.9,124.0,97.2,47.2,87.5,112.7,198.9,69.7,207.6
QI,4.5,231.9,160.7,199.4,154.2,265.9,75.7,127.8,18.5,180.0,195.6,136.5,153.1,204.5,203.9,240.8,223.9,227.0,37.1,23.3,41.6,228.1,46.3,254.4,10.4,191.6,48.1,51.1,241.6,295.3,127.8,37.0,186.2,85.3,207.6,148.4,2590.6,240.6,226.2,158.7,211.5,42.3,245.5,37.0,274.4,228.7,254.3,152.9,169.1,280.2,175.4,209.9,179.7,114.1,276.0,162.1,211.9,279.4,213.4,231.5,0.0,256.3,192.4,168.1,98.6,154.7,9.4,0.8,41.8,2.6,147.3,262.4,38.3,148.3,14.1,247.1,199.2,5.6,195.8,189.4,144.7,288.2,206.9,205.5,66.5,235.0,10.9,291.8,147.6,202.2,193.9,241.7,295.7,251.9,131.5,264.2,18.5
QP,263.4,117.6,364.5,105.4,183.4,35.5,334.7,215.8,241.0,86.2,162.2,131.9,185.6,140.6,85.3,80.5,78.6,72.2,296.1,262.6,228.5,103.4,305.3,38.9,248.7,148.5,200.0,310.1,132.9,38.9,215.8,296.0,145.0,344.3,179.6,197.4,2621.8,55.2,91.7,157.2,128.5,206.9,65.4,296.0,141.2,87.1,141.1,163.0,174.1,27.9,371.7,129.6,109.5,233.4,23.7,156.5,147.7,146.2,85.8,50.4,258.9,0.0,370.3,132.2,344.4,111.5,268.3,259.7,300.8,256.2,213.9,68.4,297.3,197.5,245.2,52.1,140.5,264.5,333.1,141.9,373.2,43.9,110.9,417.7,326.6,72.3,248.2,39.5,198.3,157.4,148.6,45.2,25.6,146.1,232.3,7.9,241.0
QR,185.2,371.3,41.2,362.3,324.8,428.8,119.2,329.8,208.3,342.9,326.8,294.6,325.7,357.2,366.8,394.1,386.4,389.5,160.4,170.9,231.4,391.0,150.3,418.3,200.2,350.0,237.9,145.6,381.0,458.2,329.8,160.6,325.7,109.2,290.5,364.1,2504.2,403.5,381.8,312.9,359.1,232.1,408.4,160.6,357.3,391.2,337.6,307.1,340.8,443.1,33.8,358.5,342.2,293.6,438.9,365.0,343.5,362.3,382.1,394.4,189.7,418.8,0.0,331.0,98.0,317.2,180.3,188.9,155.4,192.4,299.3,415.3,158.8,364.2,203.9,410.0,358.0,184.1,35.8,352.3,54.9,441.5,369.8,12.6,129.3,397.9,200.7,454.3,365.0,333.8,356.8,404.2,444.9,335.2,317.7,426.7,208.3
RA,175.2,129.6,276.3,31.2,62.7,112.1,246.5,96.8,152.8,57.5,124.7,43.7,72.7,64.0,72.3,83.0,63.5,77.4,207.9,174.4,140.3,50.8,217.1,113.3,160.5,110.8,111.8,221.9,144.9,156.5,96.8,207.8,45.7,256.1,73.4,90.9,2615.8,86.9,106.8,51.0,76.5,118.7,82.2,207.8,164.6,60.5,145.8,56.8,67.6,143.6,283.5,129.5,57.2,114.4,139.4,35.8,139.2,169.6,63.8,96.9,170.7,132.2,282.1,0.0,256.2,32.2,180.1,171.5,212.6,168.0,108.7,95.1,209.1,91.0,157.0,90.0,118.8,176.3,244.9,21.2,285.0,119.6,38.7,329.5,238.4,112.5,160.0,155.2,91.8,129.5,27.9,96.9,137.9,158.1,127.1,140.1,152.8
RC,80.9,310.7,61.8,262.9,225.8,329.4,20.2,218.2,108.9,243.5,287.3,194.4,243.5,268.0,262.5,294.7,288.7,291.8,61.0,71.5,133.7,291.6,51.3,320.2,100.8,281.4,138.5,46.2,320.4,358.8,218.2,61.2,237.9,10.3,298.0,238.8,2564.6,308.8,289.7,255.0,275.0,132.7,309.0,56.3,359.9,292.2,344.7,243.3,266.7,345.0,75.1,301.6,243.2,204.5,339.5,260.7,297.4,369.8,278.2,290.1,90.3,319.8,100.0,231.6,0.0,213.3,80.9,89.5,56.0,88.1,237.7,311.4,59.8,238.7,104.5,310.6,289.6,84.7,97.1,248.0,44.4,337.2,265.5,105.2,30.1,298.5,101.3,355.3,238.0,292.6,260.9,305.2,345.5,342.3,221.9,327.7,108.9
RK,151.8,97.3,247.5,73.5,105.0,111.1,223.1,91.4,129.4,25.2,102.2,20.3,67.3,58.6,49.1,128.7,69.1,73.7,184.5,151.0,116.5,102.2,193.7,99.6,137.1,87.4,88.4,198.5,107.0,140.5,91.4,184.4,40.3,232.7,68.0,85.5,2583.5,89.2,71.4,45.6,71.1,95.3,90.7,184.4,120.9,112.4,120.8,51.4,62.2,125.4,260.1,104.5,24.9,107.6,121.2,76.2,118.5,125.9,64.8,76.7,147.3,101.5,259.5,42.2,226.6,0.0,156.7,148.1,189.2,144.6,103.3,107.1,185.7,85.6,133.6,92.3,95.4,152.9,221.5,63.5,257.2,133.6,65.8,272.2,213.9,80.2,136.6,137.0,85.2,108.8,70.2,86.9,127.2,125.8,121.7,109.4,129.4
RM,4.9,241.3,144.9,208.8,163.6,275.3,66.3,137.2,27.9,189.4,206.8,141.1,162.5,213.9,213.3,250.2,233.3,236.4,27.7,13.9,51.4,228.4,36.9,264.8,19.8,200.6,57.5,41.7,256.6,304.7,137.2,27.6,195.6,75.9,217.0,157.8,2581.2,253.4,235.6,168.1,220.9,51.7,254.9,27.6,283.8,238.1,263.7,162.3,178.5,289.6,166.0,219.3,189.1,123.5,285.4,169.3,221.3,288.8,222.8,240.9,9.4,265.7,182.6,177.5,82.9,164.1,0.0,8.5,32.4,12.0,156.7,262.3,28.9,157.7,23.5,256.5,208.6,3.8,186.4,198.8,134.8,286.8,216.3,230.0,58.2,244.4,20.3,301.2,157.0,211.6,205.5,251.1,305.1,261.3,140.9,273.6,27.9
RS,3.6,232.7,153.5,200.2,155.0,266.7,74.9,128.6,19.3,180.8,198.2,132.5,153.9,205.3,204.7,241.6,224.7,227.8,36.3,22.5,42.8,219.8,45.5,256.2,11.2,192.0,48.9,50.3,248.0,296.1,128.6,36.2,187.0,84.5,208.4,149.2,2589.8,244.8,227.0,159.5,212.3,43.1,246.3,36.2,275.2,229.5,255.1,153.7,169.9,281.0,174.6,210.7,180.5,114.9,276.8,160.7,212.7,280.2,214.2,232.3,0.8,257.1,191.2,168.9,91.5,155.5,8.5,0.0,41.0,3.4,148.1,253.7,37.5,149.1,14.9,247.9,200.0,4.7,195.0,190.2,143.4,278.2,207.7,238.6,66.8,235.8,11.7,292.6,148.4,203.0,196.9,242.5,296.5,252.7,132.3,265.0,19.3
