from_stop,AA,AH,AI,AM,AP,AS,AW,BB,BK,BX,CA,CB,CQ,CT,CX,DC,DD,DV,DX,DY,EA,ED,EM,EQ,ET,EY,FC,FL,FO,FU,FW,GE,GN,GP,GY,HG,HH,HI,HJ,HN,HO,HV,IA,IB,IC,IM,IW,JI,KA,KI,KP,LA,LF,LL,LN,LR,LS,LV,LZ,MB,ME,MU,MV,MW,NC,NG,NR,NS,OF,OH,OI,ON,OT,OW,OX,OY,PC,PE,PI,PL,PS,PT,PW,PY,QB,QO,QQ,QT,QY,RN,RQ,RS,RU,RW,RY,TB,TC,TL,TM,TP,UB,UC,UF,UN,UO,UP,VC,VK,VZ,WK,WN,WT,XN,XT,XV,XZ,YJ,YU,YV,YX,YY,ZM
EY,745.6,928.7,1082.3,355.5,968.4,755.1,698.2,1278.6,750.1,432.9,303.3,555.1,667.8,483.1,439.9,9.4,1393.0,711.0,858.5,1054.5,369.4,1065.8,977.2,765.3,638.3,0.0,206.9,731.5,1128.8,878.0,287.2,256.6,973.4,1012.4,62.6,1023.7,1252.2,311.0,72.6,237.4,232.7,1103.9,2940.7,165.7,592.0,18.9,275.7,920.4,401.2,1045.9,299.3,765.4,539.1,409.0,987.4,814.0,789.5,1008.4,284.2,985.0,1204.0,931.7,452.4,316.2,1086.4,1084.1,246.4,1003.3,941.0,470.0,781.7,1171.5,1109.2,420.9,818.6,914.7,42.8,28.5,1308.6,660.7,311.9,153.0,188.8,411.7,673.8,232.9,955.0,976.3,363.5,75.0,688.8,1018.5,234.5,355.3,260.2,1000.1,735.4,1122.5,1250.1,319.0,698.0,995.3,845.7,169.2,1110.1,1040.7,1038.1,747.9,1240.0,202.9,1043.0,1296.6,1006.4,290.7,538.7,74.8,1278.7,1028.9,961.2,287.3,841.8,793.2
FC,708.8,891.9,1045.5,352.0,931.6,718.3,661.4,1241.8,713.3,396.1,299.8,518.3,631.0,446.3,403.1,192.6,1356.2,674.2,1021.0,1017.7,365.9,1029.0,940.4,917.0,601.5,205.3,0.0,694.7,1185.9,841.2,239.7,253.1,936.6,1069.5,152.6,1080.8,1215.4,307.5,278.0,263.3,317.7,1161.0,3041.8,98.2,555.2,224.2,360.7,883.6,364.4,1009.1,295.8,728.6,502.3,227.4,950.6,965.7,752.7,971.6,369.2,948.2,1167.2,894.9,415.6,109.2,1049.6,1047.3,242.6,1060.4,1123.5,433.2,744.9,1212.2,1066.8,384.1,970.3,991.9,248.3,233.8,1271.8,623.9,308.4,112.4,185.3,374.9,825.5,256.1,1012.1,939.5,156.5,140.2,652.0,981.7,231.0,162.5,228.8,963.3,698.6,1179.6,1213.3,183.3,661.2,958.5,808.9,121.7,1167.2,1003.9,1001.3,711.1,1297.1,213.0,1100.1,1259.8,969.6,258.3,501.9,280.2,1241.9,992.1,924.4,283.8,805.0,944.9
FL,52.5,197.1,369.2,1033.4,236.8,475.8,256.7,651.7,18.5,428.1,988.8,177.3,216.5,420.4,377.2,738.8,766.1,208.4,326.2,322.9,1047.3,334.2,264.1,748.0,187.0,751.5,725.5,0.0,491.1,164.9,965.1,934.5,241.8,374.7,740.5,386.0,585.0,988.9,824.2,522.6,577.0,466.2,2347.0,823.8,319.4,770.4,620.0,207.3,383.2,332.8,977.2,52.3,325.0,637.6,255.8,796.7,76.4,295.3,628.5,253.4,577.1,200.1,389.7,614.7,354.8,352.5,563.2,365.6,428.7,407.3,68.6,517.4,396.1,402.9,331.0,297.1,794.5,780.0,681.7,191.6,989.8,830.9,866.7,393.7,695.4,576.7,317.3,244.7,614.3,752.9,237.5,286.9,912.4,561.7,549.4,268.5,456.1,496.5,623.2,566.7,29.2,282.2,132.6,847.1,472.4,309.1,306.5,245.3,602.3,880.8,405.3,669.7,274.8,578.9,476.0,826.4,547.1,297.3,229.6,965.2,148.7,775.9
FO,113.2,318.3,492.4,1412.8,550.3,480.4,261.3,965.2,516.4,955.1,1371.0,704.3,743.5,947.4,904.2,1121.4,1079.6,213.0,330.3,636.4,1426.7,647.7,391.7,752.1,714.0,1130.9,1264.2,531.9,0.0,288.1,1344.5,1313.9,555.3,145.7,1119.9,129.4,901.5,1368.3,1203.6,1049.6,1134.8,38.3,2660.5,1228.0,329.0,1149.8,1177.8,325.5,458.7,456.0,1361.6,170.5,329.6,1164.6,569.3,800.8,194.6,418.5,1186.3,346.9,890.6,513.6,916.7,1146.7,668.3,264.7,1090.2,149.8,432.8,934.3,186.8,76.8,514.3,440.1,340.1,238.4,1173.7,1159.4,995.2,196.2,1369.2,1210.3,1246.1,449.9,699.5,1135.0,198.1,280.7,1141.3,1132.3,764.5,600.4,1291.8,1088.7,1076.4,587.0,465.7,101.4,936.7,1098.7,556.2,404.7,250.8,1226.5,142.3,627.6,625.0,249.9,161.7,1260.2,110.1,983.2,325.3,1105.9,1008.0,1205.8,691.3,610.8,543.1,1344.6,153.3,780.0
FU,175.3,347.9,209.2,1174.2,318.3,598.6,379.5,361.1,197.8,568.9,1129.6,318.1,357.3,561.2,518.0,882.8,116.8,331.2,466.5,255.1,1188.1,450.6,99.1,757.8,327.8,892.3,866.3,179.2,264.5,0.0,1105.9,1075.3,313.3,276.9,881.3,265.6,442.1,1129.7,965.0,663.4,717.8,235.4,2304.2,964.6,442.2,911.2,760.8,42.3,576.9,167.8,1118.0,112.7,447.8,778.4,457.4,709.1,88.6,130.3,769.3,355.7,295.8,419.9,530.5,755.5,606.7,256.6,704.0,286.0,569.0,548.1,147.5,286.6,225.5,558.3,471.3,374.6,935.1,920.8,199.3,314.4,1130.6,971.7,1007.5,563.1,810.4,717.5,334.3,395.5,755.1,893.7,378.3,488.5,1053.2,702.5,690.2,286.6,578.9,265.7,332.6,707.5,170.0,121.5,118.9,987.9,278.5,510.7,321.5,368.1,371.5,1021.6,246.3,312.6,334.3,722.2,616.8,967.2,408.1,256.7,390.4,1106.0,306.2,729.9
FW,944.3,1127.4,1281.0,430.0,1167.1,953.8,896.9,1477.3,948.8,631.6,377.8,753.8,866.5,681.8,638.6,288.6,1591.7,909.7,1106.2,1253.2,443.9,1264.5,1175.9,1013.0,837.0,299.5,235.4,930.2,1421.4,1076.7,0.0,331.1,1172.1,1305.0,248.6,1316.3,1450.9,385.5,374.0,485.1,480.4,1396.5,3188.4,176.2,790.7,320.2,523.4,1119.1,599.9,1244.6,373.8,964.1,737.8,462.9,1186.1,1061.7,988.2,1207.1,531.9,1183.7,1402.7,1130.4,651.1,344.7,1285.1,1282.8,478.1,1295.9,1188.7,684.6,980.4,1464.1,1302.3,619.6,1066.3,1162.4,344.3,329.8,1507.3,859.4,386.4,190.4,263.3,610.4,921.5,480.6,1247.6,1175.0,392.0,236.2,887.5,1217.2,309.0,398.0,464.3,1196.9,934.1,1426.8,1448.8,418.8,896.7,1194.0,1044.4,120.4,1402.7,1239.4,1236.8,946.6,1532.6,309.0,1335.6,1495.3,1205.1,496.3,737.4,376.2,1477.4,1227.6,1159.9,361.8,1075.2,1040.9
GE,917.3,1100.4,1254.0,149.3,1140.1,926.8,869.9,1450.3,921.8,604.6,97.1,726.8,839.5,654.8,611.6,212.6,1564.7,882.7,1030.2,1226.2,163.2,1237.5,1148.9,937.0,810.0,223.5,266.3,903.2,1300.5,1049.7,328.6,0.0,1145.1,1184.1,172.6,1195.4,1423.9,147.8,298.0,409.1,404.4,1275.6,3112.4,182.1,763.7,244.2,447.4,1092.1,572.9,1217.6,74.3,937.1,710.8,493.8,1159.1,985.7,961.2,1180.1,455.9,1156.7,1375.7,1103.4,624.1,375.6,1258.1,1255.8,418.1,1175.0,1112.7,657.6,953.4,1343.2,1275.3,592.6,990.3,1086.4,268.3,253.8,1480.3,832.4,65.9,140.6,133.8,583.4,845.5,404.6,1126.7,1148.0,422.9,160.2,860.5,1190.2,22.0,428.9,431.9,1169.9,907.1,1305.9,1421.8,449.7,869.7,1167.0,1017.4,210.6,1281.8,1212.4,1209.8,919.6,1411.7,270.2,1214.7,1468.3,1178.1,462.4,710.4,300.2,1450.4,1200.6,1132.9,30.6,1048.2,964.9
GN,280.7,277.2,464.9,1261.6,4.9,704.0,484.9,553.9,212.6,656.3,1209.4,405.5,444.7,648.6,605.4,967.0,668.3,436.6,406.3,81.0,1275.5,137.2,214.1,828.1,415.2,977.9,953.7,228.1,571.2,325.0,1193.3,1162.7,0.0,454.8,968.7,466.1,487.2,1217.1,1052.4,750.8,805.2,546.3,2249.2,1052.0,547.6,998.6,848.2,303.0,611.4,299.5,1205.4,280.5,553.2,865.8,144.0,876.8,304.6,216.3,856.7,333.5,479.3,106.5,617.9,842.9,293.3,432.6,791.4,445.7,508.8,651.4,296.8,613.9,116.0,631.1,411.1,377.2,1022.7,1008.2,583.9,419.8,1218.0,1059.1,1094.9,621.9,775.5,804.9,397.4,324.8,842.5,981.1,465.7,175.1,1140.6,789.9,777.6,24.7,684.3,576.6,525.4,794.9,257.5,377.9,353.1,1075.3,552.5,197.3,64.6,473.5,682.4,1109.0,485.4,571.9,354.9,809.6,704.2,1054.6,298.6,55.4,77.0,1193.4,411.6,856.0
GP,80.4,177.5,464.6,1272.0,409.5,472.6,253.5,824.4,370.6,814.3,1219.8,563.5,602.7,806.6,763.4,977.4,938.8,205.2,189.5,495.6,1285.9,506.9,354.5,611.3,573.2,990.1,1123.4,386.1,120.5,255.3,1203.7,1173.1,414.5,0.0,979.1,11.3,760.7,1227.5,1062.8,908.8,994.0,91.4,2519.7,1082.2,316.2,1009.0,1037.0,297.7,450.9,423.2,1215.8,142.7,321.8,1023.8,428.5,660.0,166.8,385.7,1045.5,201.1,749.8,372.8,775.9,1000.9,527.5,123.9,949.4,9.0,292.0,793.5,159.0,142.6,480.9,432.3,194.3,97.6,1032.9,1018.6,854.4,188.4,1228.4,1069.5,1105.3,437.1,558.7,994.2,57.3,139.9,1000.5,991.5,623.7,459.6,1151.0,947.9,935.6,441.2,452.9,121.7,795.9,952.9,415.4,376.9,223.0,1085.7,97.6,481.8,479.2,242.1,227.5,1119.4,30.5,842.4,184.5,965.1,862.2,1065.0,663.5,470.0,402.3,1203.8,145.5,639.2
GY,744.6,927.7,1081.3,292.8,967.4,754.1,697.2,1277.6,749.1,431.9,240.6,554.1,666.8,482.1,438.9,39.9,1392.0,710.0,857.5,1053.5,306.7,1064.8,976.2,764.3,637.3,50.8,144.2,730.5,1127.8,877.0,224.5,193.9,972.4,1011.4,0.0,1022.7,1251.2,248.3,125.3,236.4,231.7,1102.9,2939.7,103.0,591.0,71.5,274.7,919.4,400.2,1044.9,236.6,764.4,538.1,371.7,986.4,813.0,788.5,1007.4,283.2,984.0,1203.0,930.7,451.4,253.5,1085.4,1083.1,245.4,1002.3,940.0,484.9,780.7,1170.5,1102.6,419.9,817.6,913.7,95.6,81.1,1307.6,659.7,249.2,90.3,126.1,410.7,672.8,231.9,954.0,975.3,300.8,12.4,687.8,1017.5,171.8,306.8,259.2,997.2,734.4,1133.2,1249.1,318.0,697.0,994.3,844.7,106.5,1109.1,1039.7,1037.1,746.9,1239.0,140.2,1042.0,1295.6,1005.4,289.7,537.7,127.5,1277.7,1027.9,960.2,224.6,875.5,792.2
HG,69.1,188.8,448.3,1283.3,420.8,461.3,242.2,835.7,381.9,825.6,1231.1,574.8,614.0,817.9,774.7,988.7,950.1,193.9,200.8,506.9,1297.2,518.2,343.2,622.6,584.5,999.6,1134.7,397.4,105.0,244.0,1215.0,1184.4,425.8,11.3,990.4,0.0,769.0,1238.8,1074.1,920.1,1005.3,80.1,2531.0,1093.5,304.9,1020.3,1048.3,286.4,439.6,411.9,1227.1,131.4,310.5,1035.1,439.8,671.3,155.5,374.4,1056.8,212.4,761.1,384.1,787.2,1012.2,538.8,135.2,960.7,20.3,303.3,820.7,147.7,147.7,469.6,414.5,205.6,108.9,1044.4,1029.9,865.7,177.1,1239.7,1080.8,1116.6,425.8,570.0,1005.5,68.6,151.2,1011.8,1002.8,635.0,470.9,1162.3,959.2,946.9,450.6,441.6,110.4,807.2,964.2,426.8,361.3,211.7,1097.0,86.3,493.1,490.5,230.8,216.2,1130.7,19.2,853.7,195.8,978.9,873.5,1076.3,652.2,481.3,413.6,1215.1,168.9,650.5
HH,655.0,639.3,627.5,1623.7,481.1,1081.3,862.2,97.9,577.7,1018.4,1581.9,767.6,806.8,1010.7,967.5,1332.3,373.4,813.9,768.4,567.2,1640.6,578.5,412.4,1260.7,777.3,1344.8,1315.8,593.2,937.5,482.6,1555.4,1524.8,486.1,816.9,1330.8,828.2,0.0,1579.2,1414.5,1112.9,1167.3,908.4,2027.1,1417.1,921.9,1360.7,1210.3,460.6,973.5,489.3,1570.5,595.4,930.5,1227.9,500.1,1312.4,571.3,409.1,1218.8,698.6,172.5,500.7,980.0,1208.0,655.4,794.7,1153.5,807.8,870.9,997.6,627.2,959.6,291.9,987.6,776.2,739.3,1384.6,1370.3,289.0,797.1,1580.1,1421.2,1457.0,984.0,1208.1,1167.0,759.5,686.9,1204.6,1343.2,827.8,531.2,1502.7,1152.0,1139.7,512.8,1058.6,927.0,126.4,1160.0,619.5,539.8,601.6,1437.4,914.6,553.4,553.8,850.8,1044.5,1471.1,847.5,277.0,717.0,1169.2,1066.3,1416.7,360.0,544.6,518.3,1555.5,754.2,1288.6
HI,961.7,1144.8,1298.4,266.7,1184.5,971.2,914.3,1494.7,966.2,649.0,224.9,771.2,883.9,699.2,656.0,257.0,1609.1,927.1,1074.6,1270.6,280.6,1281.9,1193.3,981.4,854.4,269.7,310.7,947.6,1344.9,1094.1,373.0,167.8,1189.5,1228.5,217.0,1239.8,1468.3,0.0,342.4,453.5,448.8,1320.0,3156.8,226.5,808.1,288.6,491.8,1136.5,617.3,1262.0,210.5,981.5,755.2,538.2,1203.5,1030.1,1005.6,1224.5,500.3,1201.1,1420.1,1147.8,668.5,420.0,1302.5,1300.2,462.5,1219.4,1157.1,686.1,997.8,1371.2,1325.3,637.0,1034.7,1130.8,312.7,298.2,1524.7,876.8,223.1,185.0,178.2,627.8,889.9,449.0,1171.1,1192.4,467.3,204.6,904.9,1234.6,145.7,473.3,476.3,1216.2,951.5,1338.6,1466.2,494.1,914.1,1211.4,1061.8,255.0,1326.2,1256.8,1254.2,964.0,1456.1,314.6,1259.1,1512.7,1222.5,504.3,754.8,344.6,1494.8,1245.0,1177.3,198.5,1057.9,1009.3
HJ,830.0,1013.1,1166.7,439.9,1052.8,839.5,782.6,1363.0,834.5,517.3,387.7,639.5,752.2,567.5,524.3,97.0,1477.4,795.4,942.9,1138.9,453.8,1150.2,1061.6,849.7,722.7,86.1,291.3,815.9,1213.2,962.4,371.6,341.0,1057.8,1096.8,147.0,1108.1,1336.6,395.4,0.0,321.8,317.1,1188.3,3025.1,250.1,676.4,65.4,360.1,1004.8,485.6,1130.3,383.7,849.8,623.5,493.4,1071.8,898.4,873.9,1092.8,368.6,1069.4,1288.4,1016.1,536.8,400.6,1170.8,1168.5,330.8,1087.7,1025.4,570.3,866.1,1255.9,1188.0,505.3,903.0,999.1,41.3,55.8,1393.0,745.1,396.3,237.4,273.2,496.1,758.2,317.3,1039.4,1060.7,447.9,159.4,773.2,1102.9,318.9,439.7,344.6,1082.6,819.8,1218.6,1334.5,403.4,782.4,1079.7,930.1,253.6,1194.5,1125.1,1122.5,832.3,1324.4,287.3,1127.4,1381.0,1090.8,375.1,623.1,16.5,1363.1,1113.3,1045.6,371.7,960.9,877.6
HN,508.1,691.2,844.8,511.5,730.9,517.6,460.7,1041.1,512.6,195.4,459.3,317.6,430.3,245.6,202.4,216.9,1155.5,473.5,820.3,817.0,525.4,828.3,739.7,786.1,400.8,227.8,291.4,494.0,985.2,640.5,443.2,412.6,735.9,868.8,218.6,880.1,1014.7,467.0,302.3,0.0,54.3,960.3,2841.1,321.7,354.5,248.5,97.3,682.9,163.7,808.4,455.3,527.9,301.6,236.8,749.9,834.8,552.0,770.9,105.8,747.5,966.5,694.2,214.9,180.6,848.9,846.6,74.2,859.7,922.8,248.4,544.2,1027.9,866.1,183.4,825.1,791.2,272.6,258.1,1071.1,423.2,467.9,309.0,344.8,174.2,694.6,60.7,811.4,738.8,180.2,231.0,451.3,781.0,390.5,127.6,88.0,760.7,497.9,990.6,1012.6,146.8,460.5,757.8,608.2,325.2,966.5,803.2,800.6,510.4,1096.4,358.9,899.4,1059.1,768.9,118.5,301.2,304.5,1041.2,791.4,723.7,443.3,639.0,814.0
HO,553.2,736.3,889.9,517.5,776.0,562.7,505.8,1086.2,557.7,240.5,465.3,362.7,475.4,290.7,247.5,222.9,1200.6,518.6,865.4,862.1,531.4,873.4,784.8,792.1,445.9,233.8,348.7,539.1,1030.3,685.6,449.2,418.6,781.0,913.9,224.6,925.2,1059.8,473.0,308.3,45.0,0.0,1005.4,2886.2,327.7,399.6,254.5,42.9,728.0,208.8,853.5,461.3,573.0,346.7,242.8,795.0,840.8,597.1,816.0,51.4,792.6,1011.6,739.3,260.0,237.9,894.0,891.7,80.2,904.8,967.9,293.5,589.3,1073.0,911.2,228.5,870.2,836.3,278.6,264.1,1116.2,468.3,473.9,315.0,350.8,219.3,700.6,66.7,856.5,783.9,237.5,237.0,496.4,826.1,396.5,189.1,94.0,805.8,543.0,1035.7,1057.7,152.8,505.6,802.9,653.3,331.2,1011.6,848.3,845.7,555.5,1141.5,364.9,944.5,1104.2,814.0,124.5,346.3,310.5,1086.3,836.5,768.8,449.3,684.1,820.0
HV,69.8,279.9,449.0,1374.4,511.9,442.0,222.9,926.8,473.0,916.7,1322.2,665.9,705.1,909.0,865.8,1079.8,1041.2,174.6,291.9,598.0,1388.3,609.3,343.9,713.7,675.6,1090.7,1225.8,488.5,24.8,244.7,1306.1,1275.5,516.9,102.3,1081.5,91.0,860.1,1329.9,1165.2,1011.2,1096.4,0.0,2622.1,1184.6,285.6,1111.4,1139.4,287.1,420.3,412.6,1318.2,132.1,291.2,1126.2,530.9,762.4,156.2,375.1,1147.9,303.5,852.2,475.2,878.3,1103.3,629.9,226.3,1051.8,111.4,394.4,911.8,148.4,67.5,470.3,395.2,296.7,200.0,1135.5,1121.0,956.8,157.8,1330.8,1171.9,1207.7,406.5,661.1,1096.6,159.7,242.3,1102.9,1093.9,726.1,562.0,1253.4,1050.3,1038.0,541.7,422.3,74.7,898.3,1055.3,517.9,362.0,212.4,1188.1,103.9,584.2,581.6,211.5,136.0,1221.8,71.7,944.8,286.9,1070.0,964.6,1167.4,652.9,572.4,504.7,1306.2,149.6,741.6
IA,2144.8,2141.3,2211.3,3027.1,1983.1,2568.1,2349.0,1964.3,2076.7,2520.4,2974.9,2269.6,2308.8,2512.7,2469.5,2732.5,2078.7,2300.7,2270.4,2069.2,3041.0,2080.5,1960.5,2625.6,2279.3,2743.4,2817.8,2092.2,2435.3,2071.4,2958.8,2928.2,1988.1,2318.9,2734.2,2330.2,1897.6,2982.6,2817.9,2614.9,2669.3,2410.4,0.0,2837.3,2411.7,2764.1,2712.3,2049.4,2475.5,2045.9,2970.9,2184.2,2417.3,2729.9,2002.1,2674.3,2160.1,1962.7,2720.8,2197.6,1889.7,2002.7,2482.0,2707.0,2157.4,2296.7,2655.5,2309.8,2372.9,2515.5,2160.9,2478.0,1854.1,2495.2,2275.2,2241.3,2788.2,2773.7,1994.3,2283.9,2983.5,2824.6,2860.4,2486.0,2573.0,2669.0,2261.5,2188.9,2706.6,2746.6,2329.8,2033.2,2906.1,2654.0,2641.7,2012.9,2548.4,2440.7,1935.8,2659.0,2121.6,2124.3,2190.4,2840.8,2416.6,2055.4,2052.8,2337.6,2546.5,2874.5,2349.5,1982.3,2219.0,2673.7,2568.3,2820.1,1916.6,2043.6,2020.3,2958.9,2275.7,2653.5
IB,830.8,1013.9,1172.5,271.5,1053.6,840.3,783.4,1363.8,835.3,518.1,226.9,640.3,753.0,568.3,525.1,155.1,1478.2,796.2,972.7,1139.7,285.4,1151.0,1062.4,879.5,723.5,167.8,121.9,816.7,1243.0,963.2,184.2,172.6,1058.6,1126.6,115.1,1137.9,1337.4,227.0,240.5,351.6,346.9,1218.1,3054.9,0.0,677.2,186.7,389.9,1005.6,486.4,1131.1,215.3,850.6,624.3,349.4,1072.6,928.2,874.7,1093.6,398.4,1070.2,1289.2,1016.9,537.6,231.2,1171.6,1169.3,360.6,1117.5,1055.2,555.2,866.9,1269.3,1194.4,506.1,932.8,1028.9,210.6,196.3,1393.8,745.9,227.9,31.9,104.8,496.9,788.0,347.1,1069.2,1061.5,278.5,102.7,774.0,1103.7,150.5,284.5,350.8,1085.3,820.6,1248.4,1335.3,305.3,783.2,1080.5,930.9,66.2,1224.3,1125.9,1123.3,833.1,1354.2,175.5,1157.2,1381.8,1091.6,380.3,623.9,242.7,1363.9,1114.1,1046.4,203.3,961.7,907.4
IC,234.7,462.8,618.9,902.2,518.0,218.1,147.9,770.8,299.7,296.9,857.6,385.9,498.6,313.9,270.7,610.8,526.5,160.7,474.8,604.1,916.1,615.4,508.8,377.3,469.1,620.3,594.3,281.1,288.6,409.6,833.9,803.3,523.0,285.2,609.3,273.9,848.8,857.7,693.0,391.4,445.8,263.7,2628.2,692.6,0.0,639.2,488.8,452.0,196.4,577.5,846.0,297.0,67.3,506.4,537.0,328.6,321.1,540.0,497.3,417.8,705.5,481.3,283.2,483.5,636.0,318.7,432.0,294.3,577.3,300.8,313.3,314.9,640.8,177.8,479.6,382.9,663.1,648.8,609.0,110.4,858.6,699.7,735.5,182.6,429.9,445.5,342.6,425.2,483.1,621.7,519.6,568.1,781.2,430.5,418.2,549.7,198.4,282.3,742.3,435.5,291.9,531.2,377.3,715.9,286.8,590.3,587.7,197.6,399.8,749.6,254.6,722.3,396.4,450.2,369.5,695.2,817.8,578.5,510.8,834.0,298.2,349.4
IM,764.5,947.6,1101.2,374.4,987.3,774.0,717.1,1297.5,769.0,451.8,322.2,574.0,686.7,502.0,458.8,31.6,1411.9,729.9,877.4,1073.4,388.3,1084.7,996.1,784.2,657.2,20.7,225.8,750.4,1147.7,896.9,306.1,275.5,992.3,1031.3,81.5,1042.6,1271.1,329.9,53.7,256.3,251.6,1122.8,2959.6,184.6,610.9,0.0,294.6,939.3,420.1,1064.8,318.2,784.3,558.0,427.9,1006.3,832.9,808.4,1027.3,303.1,1003.9,1222.9,950.6,471.3,335.1,1105.3,1103.0,265.3,1022.2,959.9,504.8,800.6,1190.4,1122.5,439.8,837.5,933.6,24.1,9.6,1327.5,679.6,330.8,171.9,207.7,430.6,692.7,251.8,973.9,995.2,382.4,93.9,707.7,1037.4,253.4,374.2,279.1,1017.1,754.3,1153.1,1269.0,337.9,716.9,1014.2,864.6,188.1,1129.0,1059.6,1057.0,766.8,1258.9,221.8,1061.9,1315.5,1025.3,309.6,557.6,55.9,1297.6,1047.8,980.1,306.2,895.4,812.1
IW,602.2,785.3,938.9,566.5,825.0,611.7,554.8,1135.2,606.7,289.5,514.3,411.7,524.4,339.7,296.5,271.9,1249.6,567.6,914.4,911.1,580.4,922.4,833.8,841.1,494.9,282.8,397.7,588.1,1079.3,734.6,498.2,467.6,830.0,962.9,273.6,974.2,1108.8,522.0,357.3,94.0,48.9,1054.4,2935.2,376.7,448.6,303.5,0.0,777.0,257.8,902.5,510.3,622.0,395.7,291.8,844.0,889.8,646.1,865.0,8.4,841.6,1060.6,788.3,309.0,286.9,943.0,940.7,129.2,953.8,1016.9,342.5,638.3,1122.0,960.2,277.5,919.2,885.3,327.6,313.1,1165.2,517.3,522.9,364.0,399.8,268.3,749.6,115.7,905.5,832.9,286.5,286.0,545.4,875.1,445.5,238.1,143.0,854.8,592.0,1084.7,1106.7,201.8,554.6,851.9,702.3,380.2,1060.6,897.3,894.7,604.5,1190.5,413.9,993.5,1153.2,863.0,173.5,395.3,359.5,1135.3,885.5,817.8,498.3,733.1,869.0
JI,239.4,412.0,161.8,1238.3,288.0,662.7,443.6,330.8,261.9,633.0,1186.1,382.2,421.4,625.3,582.1,943.7,86.5,395.3,530.6,224.8,1252.2,420.3,68.8,821.9,391.9,954.6,930.4,243.3,324.4,64.0,1170.0,1139.4,283.0,341.0,945.4,329.7,408.8,1193.8,1029.1,727.5,781.9,299.5,2273.9,1028.7,506.3,975.3,824.9,0.0,641.0,137.5,1182.1,176.8,511.9,842.5,427.1,773.2,152.7,100.0,833.4,419.8,265.5,389.6,594.6,819.6,576.4,320.7,768.1,350.1,633.1,628.1,211.6,367.1,195.2,615.9,535.4,438.7,999.4,984.9,169.0,378.5,1194.7,1035.8,1071.6,627.2,874.5,781.6,398.4,459.6,819.2,957.8,442.4,458.2,1117.3,766.6,754.3,258.2,643.0,329.8,302.3,771.6,234.2,74.8,183.0,1052.0,342.6,480.4,291.2,432.2,435.6,1085.7,310.4,282.3,398.4,786.3,680.9,1031.3,377.8,226.4,360.1,1170.1,370.3,794.0
KA,383.7,563.0,762.9,705.7,602.7,353.8,296.9,919.8,384.4,100.4,653.5,189.4,302.1,117.4,74.2,411.1,675.5,309.7,623.8,688.8,719.6,700.1,657.8,513.0,272.6,422.0,397.8,365.8,437.6,558.6,637.4,606.8,607.7,434.2,412.8,422.9,896.1,661.2,496.5,194.9,249.3,412.7,2712.9,496.1,190.7,442.7,292.3,601.0,0.0,726.5,649.5,446.0,137.8,309.9,621.7,464.3,470.1,689.0,300.8,566.8,854.5,566.0,86.7,287.0,720.7,467.7,235.5,443.3,726.3,120.2,462.3,480.3,784.2,19.6,628.6,531.9,466.8,452.3,758.0,259.4,662.1,503.2,539.0,10.5,565.6,249.0,491.6,574.2,286.6,425.2,323.1,652.8,584.7,234.0,221.7,632.5,334.1,443.0,891.3,239.0,332.3,675.9,526.3,519.4,435.8,675.0,672.4,346.6,548.8,553.1,403.6,871.3,545.4,253.7,173.0,498.7,966.8,663.2,595.5,637.5,447.2,485.1
KI,357.4,530.0,321.9,1356.3,287.0,780.7,561.6,384.6,379.9,751.0,1304.1,500.2,539.4,743.3,700.1,1064.9,140.3,513.3,648.6,223.8,1370.2,419.3,67.8,939.9,509.9,1074.4,1048.4,361.3,442.4,182.0,1288.0,1257.4,282.0,459.0,1063.4,447.7,465.6,1311.8,1147.1,845.5,899.9,417.5,2327.7,1146.7,624.3,1093.3,942.9,160.0,759.0,0.0,1300.1,294.8,629.9,960.5,426.1,891.2,270.7,99.0,951.4,537.8,319.3,388.6,712.6,937.6,575.4,438.7,886.1,468.1,751.1,730.2,329.6,468.7,194.2,740.4,653.4,556.7,1117.2,1102.9,222.8,496.5,1312.7,1153.8,1189.6,745.2,992.5,899.6,516.4,577.6,937.2,1075.8,560.4,457.2,1235.3,884.6,872.3,255.3,761.0,436.1,356.1,889.6,352.2,234.9,301.0,1170.0,460.6,479.4,290.2,550.2,553.6,1203.7,428.4,336.1,516.4,904.3,798.9,1149.3,376.8,225.4,359.1,1288.1,488.3,912.0
