from_stop,AE,AW,BA,BG,BI,BM,BO,BZ,CB,CJ,CO,CV,DA,DN,ED,EG,EX,EZ,FD,FF,FG,FI,FO,FV,GG,GQ,GU,HD,HK,HW,HX,IH,IK,IL,IP,IY,JF,JN,JR,JT,KK,KM,LL,LP,LU,LV,LW,MW,NA,NB,NE,NF,NH,NK,NR,NX,OB,OC,OD,OV,PC,PM,QB,QF,QG,QJ,QP,QQ,RH,RM,RV,RX,RZ,SH,SN,SO,ST,SU,TB,TC,TI,TN,TO,UA,UB,UC,VF,VV,VW,WM,WO,WT,WU,XL,XM,XQ,XU,XY,YA,YB,YC,YT,ZE,ZL,ZS
IH,451.0,91.5,431.6,147.3,199.7,57.7,365.3,110.4,185.1,88.0,201.8,417.7,418.1,432.1,371.5,370.3,386.2,372.6,361.4,93.2,380.1,396.9,250.3,313.7,184.0,265.0,338.8,411.2,303.6,76.1,1626.7,0.0,213.1,232.7,415.9,101.0,372.6,219.6,337.1,70.1,165.0,75.8,225.1,11.4,221.6,129.5,97.1,271.8,438.2,313.8,256.9,328.5,171.5,298.8,168.0,46.1,212.5,415.9,356.5,153.9,113.6,240.4,237.5,408.6,403.6,51.8,239.4,206.9,305.0,416.5,440.0,283.8,322.4,386.5,78.4,341.4,189.3,122.1,199.7,42.7,267.0,242.4,90.5,291.7,286.7,349.1,403.8,402.1,424.2,169.7,124.1,430.6,281.8,434.0,110.3,264.5,138.0,376.0,271.2,344.8,308.7,81.0,403.7,223.4,353.6
IK,357.7,174.0,348.6,149.8,224.0,145.0,282.3,168.4,192.8,145.0,86.2,381.9,385.4,394.5,289.9,288.7,410.5,396.9,338.3,125.8,291.1,305.0,163.9,230.7,208.3,182.0,257.2,329.6,220.6,198.1,1584.7,185.3,0.0,18.1,334.3,85.9,393.3,73.2,254.1,129.3,119.3,181.7,42.7,172.8,120.7,140.3,172.1,188.8,358.7,232.2,281.2,245.5,106.7,217.2,177.5,216.9,75.6,434.5,273.5,163.4,65.0,264.7,100.6,325.6,320.6,208.1,138.5,231.2,326.4,333.5,357.0,184.3,346.7,304.9,124.8,365.7,73.7,85.7,98.8,141.7,185.5,160.8,130.8,208.7,311.0,266.1,320.8,320.5,372.8,56.8,101.2,347.6,200.2,346.1,168.1,181.5,115.1,294.4,296.9,261.8,225.7,156.0,417.4,86.5,274.7
IL,373.8,193.8,364.7,171.1,240.1,141.6,312.2,182.2,207.5,152.3,102.3,396.3,405.4,408.2,304.6,303.4,426.6,413.0,401.8,133.1,313.2,319.7,183.4,246.8,224.4,198.1,271.9,344.3,233.1,214.1,1566.6,199.9,11.9,0.0,349.0,100.8,408.0,87.9,270.2,143.9,134.0,189.0,24.6,188.8,136.8,153.3,179.4,204.9,374.8,246.9,297.3,261.6,122.8,231.9,186.4,222.8,57.1,450.6,289.6,176.4,72.7,280.8,82.1,341.7,336.7,215.4,154.6,247.3,345.4,349.6,373.1,135.5,362.8,319.6,122.8,381.8,89.8,67.2,114.9,157.7,200.8,175.5,138.1,224.8,335.2,281.9,336.9,335.2,388.9,71.5,117.3,363.7,214.9,362.2,184.1,197.6,131.2,309.1,311.6,277.9,241.8,163.3,433.5,68.0,300.2
IP,322.4,320.6,313.3,227.3,237.6,295.4,152.3,327.4,205.0,304.0,285.9,344.9,350.1,359.2,128.1,226.9,349.8,336.2,301.6,284.8,261.8,268.3,132.0,120.7,221.9,146.7,220.5,267.8,110.6,420.7,1631.3,339.5,307.9,327.5,0.0,308.5,332.8,227.9,98.3,350.5,260.1,336.3,303.4,328.4,268.5,254.0,280.9,153.5,323.4,100.8,294.8,115.5,234.5,180.5,247.6,370.1,273.3,399.2,143.5,266.8,297.2,278.3,257.4,290.3,190.6,362.7,252.2,244.8,340.0,272.8,24.1,290.1,360.3,173.5,347.4,379.3,265.4,348.5,246.6,364.3,108.9,145.3,262.6,173.4,324.6,110.3,8.0,248.9,337.5,278.0,228.7,234.0,163.5,285.7,390.7,146.2,209.8,210.1,309.1,226.5,115.7,297.4,380.5,299.5,32.4
IY,366.4,153.8,357.3,189.6,242.0,57.6,291.0,142.2,200.1,112.3,94.9,388.9,398.0,400.8,297.2,296.0,428.5,414.9,403.7,93.1,305.8,312.3,176.0,239.4,226.3,190.7,264.5,336.9,225.7,112.1,1635.6,97.9,78.9,93.6,341.6,0.0,400.6,80.5,262.8,41.9,98.5,149.0,103.4,86.8,129.4,171.8,139.4,197.5,367.4,239.5,299.2,254.2,115.4,224.5,213.7,145.0,105.6,443.2,282.2,203.7,83.3,282.7,130.6,334.3,329.3,149.8,147.2,249.2,347.3,342.2,365.7,191.6,364.7,312.2,38.8,383.7,82.4,39.9,107.5,55.7,193.4,168.1,94.5,217.4,337.1,274.5,329.5,327.8,381.5,30.6,127.9,356.3,207.5,354.8,82.1,190.2,141.8,301.7,313.5,270.5,234.4,123.3,426.1,116.5,292.8
JF,127.5,323.5,125.3,228.1,176.3,332.1,205.7,335.8,223.8,320.9,344.8,94.2,94.6,106.2,309.9,147.9,88.4,48.9,19.7,321.5,64.9,55.2,174.4,252.1,192.9,160.3,92.4,108.3,238.4,457.4,1726.4,376.2,349.5,364.2,354.3,345.2,0.0,264.6,275.5,387.2,298.2,357.6,340.1,365.1,305.2,254.8,281.7,153.8,114.7,252.2,117.1,253.6,271.2,127.3,271.0,391.4,332.2,110.4,227.2,282.5,333.9,134.2,316.3,66.2,171.2,384.0,311.1,168.7,66.2,103.5,378.4,349.0,50.9,198.3,384.1,34.6,302.1,385.2,283.3,401.0,206.1,182.0,299.3,134.4,76.4,287.2,342.2,152.6,100.7,314.7,265.4,170.3,144.2,92.3,427.4,160.8,246.5,174.7,101.5,87.7,247.1,298.2,93.3,336.2,305.5
JN,285.8,168.6,276.7,93.5,154.2,138.2,224.2,169.5,119.5,139.6,49.9,308.3,313.5,322.6,216.6,215.8,340.7,327.1,321.0,120.4,225.2,231.7,92.0,158.8,138.5,110.1,183.9,256.3,148.7,192.7,1555.0,178.5,81.4,99.5,261.0,80.5,322.4,0.0,182.2,122.5,32.1,176.3,75.4,167.4,48.8,84.0,105.7,116.9,286.8,158.9,211.4,173.6,34.8,143.9,121.2,210.1,60.6,370.4,201.6,107.1,76.2,194.9,96.3,253.7,248.7,202.7,66.6,161.4,256.6,261.3,289.3,111.0,276.9,231.6,119.4,295.9,37.4,120.5,26.9,136.3,112.8,75.4,125.4,136.8,241.2,194.2,248.9,247.2,300.9,50.0,62.9,275.7,126.9,274.2,162.7,109.4,66.9,221.1,225.7,189.9,153.8,150.6,353.3,71.5,202.8
JR,279.6,265.0,270.5,184.5,194.8,252.6,123.3,291.1,162.2,261.2,265.3,302.1,311.2,314.0,34.4,184.1,307.0,293.4,270.5,242.0,219.0,225.5,89.2,77.9,179.1,103.9,177.7,225.0,64.2,377.9,1614.4,296.7,270.0,284.7,154.3,265.7,290.0,185.1,0.0,307.7,218.7,293.5,260.6,285.6,225.7,211.2,238.1,110.7,280.6,58.0,252.0,72.7,191.7,137.7,212.5,327.3,252.7,356.4,100.7,224.0,254.4,235.5,236.8,247.5,147.8,319.9,231.6,202.0,300.1,230.3,178.4,269.5,317.5,130.7,304.6,336.5,222.6,305.7,203.8,321.5,66.1,102.5,219.8,130.6,289.9,11.7,142.2,206.1,294.7,235.2,185.9,191.2,120.7,242.9,347.9,103.4,167.0,167.3,266.3,183.7,72.9,254.6,339.3,256.7,105.5
JT,396.2,183.6,387.1,219.4,271.8,88.5,320.8,172.0,229.9,142.1,124.7,418.7,427.8,430.6,327.0,325.8,458.3,444.7,433.5,122.9,329.6,342.1,205.8,269.2,256.1,220.5,294.3,366.7,255.5,70.1,1573.4,74.8,108.7,123.4,371.4,29.7,430.4,110.3,292.6,0.0,128.3,178.8,114.3,63.7,159.2,201.6,169.2,227.3,397.2,269.3,329.0,284.0,145.2,254.3,243.5,121.9,136.9,473.0,312.0,233.5,113.1,312.5,160.4,364.1,359.1,126.7,177.0,279.0,377.1,372.0,395.5,221.4,394.5,342.0,69.7,413.5,112.2,50.8,137.3,32.6,223.2,197.9,125.4,247.2,366.9,304.3,359.3,357.6,411.3,60.4,157.7,386.1,237.3,384.6,40.1,220.0,171.6,331.5,343.3,300.3,264.2,153.1,455.9,146.3,322.6
KK,320.8,104.3,313.1,59.9,120.6,95.8,259.2,167.8,106.0,144.4,35.3,338.6,342.4,353.0,247.0,250.8,307.1,293.5,287.4,125.2,260.2,266.7,127.0,193.8,104.9,145.1,218.9,292.7,185.1,197.5,1556.9,181.9,83.3,74.8,297.4,85.3,288.8,40.3,217.2,127.3,0.0,121.2,62.2,172.2,126.8,50.4,72.1,151.9,360.5,193.9,177.8,208.6,78.1,178.9,90.3,155.2,48.9,336.8,236.6,73.5,81.0,161.3,72.4,288.7,283.7,146.4,144.6,129.2,223.0,296.4,324.3,124.4,243.3,266.6,124.2,262.3,24.2,121.3,104.9,143.2,147.8,109.6,63.0,171.8,207.6,229.2,283.9,282.2,345.1,54.8,29.3,312.1,161.9,309.2,167.5,144.4,43.2,256.1,192.1,224.9,190.2,88.6,326.0,58.3,237.8
KM,406.8,14.4,404.6,117.0,177.7,91.5,346.0,26.8,126.7,26.9,153.2,373.3,377.3,387.9,333.8,337.6,364.2,350.6,341.9,53.2,341.0,353.5,213.8,280.6,162.0,233.1,305.7,379.3,270.5,162.9,1673.4,90.1,173.1,191.3,384.0,132.3,317.0,179.6,304.0,174.3,117.8,0.0,178.7,124.5,228.5,107.5,75.1,238.7,394.0,280.7,234.9,296.6,165.1,265.7,93.6,35.1,163.9,373.1,323.4,76.8,107.1,218.4,188.9,375.5,370.5,26.3,246.3,186.1,280.1,383.2,411.1,242.3,300.4,353.4,122.4,320.6,140.7,172.3,206.6,134.1,233.9,196.4,131.4,258.6,264.7,316.0,370.7,369.0,380.0,129.7,117.7,397.5,248.7,409.4,214.5,231.2,131.6,342.9,249.2,311.7,275.6,59.0,348.1,174.8,324.6
LL,386.4,187.0,377.3,146.4,198.8,134.8,324.8,175.4,220.1,145.5,41.2,408.9,418.0,420.8,317.2,316.0,385.3,371.7,360.5,126.3,325.8,332.3,196.0,259.4,183.1,210.7,284.5,356.9,245.7,207.3,1541.9,193.1,24.5,12.5,361.6,94.0,367.0,100.5,282.8,137.1,78.1,182.2,0.0,182.0,149.4,128.6,172.6,217.5,387.4,259.5,256.0,274.2,135.4,244.5,161.7,216.0,32.4,415.0,302.2,151.7,85.3,239.5,57.4,354.3,349.3,208.6,92.9,206.0,304.1,362.2,385.7,110.8,321.5,332.2,116.0,340.5,54.7,60.4,127.5,150.9,213.4,188.1,131.3,237.4,293.9,294.5,349.5,347.8,401.5,81.8,129.9,376.3,227.5,374.8,177.3,210.2,143.8,321.7,270.3,290.5,254.4,156.5,397.9,43.3,312.8
LP,461.1,114.1,441.7,157.4,209.8,45.1,389.2,120.5,195.2,98.1,165.0,427.8,428.2,439.8,381.6,380.4,396.3,382.7,371.5,103.3,384.2,407.0,260.4,323.8,194.1,275.1,348.9,421.3,310.1,63.5,1614.1,10.0,162.7,177.4,426.0,88.4,382.7,169.0,347.2,57.5,128.2,87.1,173.0,0.0,209.0,139.6,107.2,281.9,448.3,323.9,267.0,338.6,158.9,308.9,174.0,57.1,177.2,426.0,366.6,164.0,102.1,250.5,200.7,418.7,413.7,61.9,226.8,217.0,315.1,426.6,450.1,271.2,332.5,396.6,65.8,351.5,152.5,109.5,187.1,33.3,277.8,252.5,77.9,301.8,304.9,358.9,413.9,412.2,434.3,119.1,111.5,440.7,291.9,444.1,97.7,274.6,125.4,386.1,281.3,354.9,318.8,91.1,408.9,186.6,377.2
LU,320.4,188.0,311.3,164.7,186.7,201.1,258.8,232.4,154.1,202.5,75.9,342.9,352.0,354.8,251.2,250.0,373.2,359.6,348.4,183.3,259.8,266.3,130.0,193.4,171.0,144.7,218.5,290.9,179.7,255.6,1554.9,241.4,147.7,114.5,295.6,143.4,354.6,62.8,216.8,185.4,96.4,239.2,101.9,230.3,0.0,146.9,168.6,151.5,321.4,193.5,243.9,208.2,51.4,178.5,180.0,273.0,64.8,397.2,236.2,170.0,132.1,227.4,47.4,288.3,283.3,265.6,17.7,193.9,292.0,296.2,319.7,62.1,309.4,266.2,182.3,328.4,89.4,183.4,21.8,199.2,147.4,122.1,188.3,171.4,281.8,228.5,283.5,281.8,335.5,112.9,125.8,310.3,161.5,308.8,225.6,144.2,83.5,255.7,258.2,224.5,188.4,213.5,380.1,78.8,246.8
LV,321.4,95.0,302.0,17.7,70.1,129.5,249.5,89.4,55.5,66.0,97.4,288.1,288.5,302.5,241.9,240.7,256.6,243.0,231.8,91.2,244.5,267.3,120.7,184.1,54.4,135.4,209.2,281.6,174.0,200.9,1622.7,173.6,146.9,135.5,286.3,170.3,261.5,133.6,207.5,212.3,60.6,102.7,122.9,162.5,174.2,0.0,26.8,142.2,308.6,184.2,127.3,198.9,140.2,169.2,56.2,136.5,108.1,286.3,226.9,46.2,134.7,110.8,185.3,279.0,274.0,129.1,180.1,77.3,172.5,286.9,314.6,218.0,192.8,256.9,160.4,211.8,84.9,210.3,152.3,177.4,137.4,112.8,75.6,162.1,157.1,219.5,274.2,272.5,294.6,115.5,103.4,301.0,152.2,304.4,252.5,134.7,84.5,246.4,141.6,215.2,179.1,43.3,298.7,119.0,224.0
LW,353.8,68.1,334.4,41.8,102.5,102.6,281.7,69.0,87.9,39.1,104.6,320.3,320.9,334.9,274.3,273.1,289.0,275.4,264.2,64.3,276.9,299.7,153.1,216.5,86.8,167.8,241.6,314.0,206.4,174.0,1624.8,146.7,154.1,142.7,318.7,143.4,288.4,108.2,239.9,185.4,67.8,75.8,130.1,135.6,157.1,32.3,0.0,174.6,341.0,216.6,159.7,231.3,116.5,201.6,83.4,109.6,115.3,318.7,259.3,73.4,97.4,143.2,140.3,311.4,306.4,102.2,212.5,109.7,204.9,319.1,347.0,193.7,225.2,289.3,133.5,244.2,92.1,183.4,135.2,153.7,169.8,145.2,82.8,194.5,189.5,251.9,306.6,304.9,327.0,122.7,69.1,333.4,184.6,336.8,225.6,167.1,116.9,278.8,174.0,247.6,211.5,16.4,301.6,126.2,256.4
MW,168.8,190.6,159.7,110.1,120.4,178.2,138.1,216.7,87.8,186.8,190.9,191.3,200.4,203.2,156.0,98.4,196.2,182.6,159.7,167.6,108.2,114.7,20.5,98.2,104.7,6.4,66.9,139.3,84.5,303.5,1599.8,222.3,195.6,210.3,200.4,191.3,179.2,110.7,121.6,233.3,144.3,219.1,186.2,211.2,151.3,136.8,163.7,0.0,169.8,98.3,177.6,113.0,117.3,26.9,138.1,252.9,178.3,245.6,141.0,149.6,180.0,161.1,162.4,136.7,144.1,245.5,157.2,127.6,225.7,144.6,224.5,195.1,243.1,130.7,230.2,262.1,148.2,231.3,129.4,247.1,52.2,28.1,145.4,19.8,215.5,133.3,188.3,130.2,183.9,160.8,111.5,158.7,9.9,157.2,273.5,6.9,92.6,104.1,191.9,72.9,93.2,180.2,228.5,182.3,151.6
NA,43.4,362.6,10.6,280.8,279.6,337.4,233.8,369.4,247.0,346.0,350.1,45.9,26.6,54.0,315.2,159.4,73.7,97.4,64.2,326.8,65.6,60.5,179.7,257.4,263.9,165.6,97.7,120.2,247.3,462.7,1759.0,381.5,349.9,369.5,359.6,350.5,94.0,269.9,280.8,392.5,302.1,378.3,345.4,370.4,310.5,296.0,322.9,159.1,0.0,257.5,208.2,268.2,276.5,132.6,289.6,412.1,337.5,75.7,241.8,308.8,339.2,225.3,321.6,33.1,205.7,404.7,316.4,259.8,160.2,115.7,387.9,354.3,142.0,212.9,389.4,125.7,307.4,390.5,288.6,408.4,210.7,187.3,304.6,139.7,174.7,292.8,347.5,164.5,38.5,320.0,270.7,204.8,149.5,104.2,432.7,166.3,251.8,186.3,192.6,93.0,252.4,339.4,57.0,341.5,297.3
NB,248.5,246.7,239.4,153.4,163.7,221.5,65.2,260.0,131.1,230.1,211.5,271.3,280.1,285.3,104.6,126.4,275.9,262.3,227.7,210.9,187.9,194.4,58.1,28.8,148.0,72.8,146.6,166.9,18.7,346.8,1578.1,265.6,234.0,253.6,149.0,234.6,258.9,154.0,70.2,276.6,186.2,262.4,229.5,254.5,194.6,180.1,207.0,79.6,249.5,0.0,220.9,14.7,160.6,106.6,176.8,296.2,200.4,325.3,42.6,192.9,224.9,204.4,183.0,216.4,89.7,288.8,177.8,170.9,266.1,172.0,177.3,215.7,286.4,72.6,273.5,305.4,191.5,274.6,172.7,290.4,35.7,82.1,188.7,99.5,250.7,82.2,136.9,148.0,263.6,204.1,154.8,133.1,89.6,184.8,316.8,72.3,135.9,109.2,235.2,152.6,23.8,223.5,306.6,225.6,90.8
NE,194.0,232.7,191.8,122.4,59.1,241.2,290.4,233.6,106.6,203.7,235.1,160.7,161.1,175.1,313.0,232.6,129.2,115.6,104.4,228.9,145.0,139.9,188.4,255.2,75.7,206.5,177.1,193.0,245.1,312.6,1693.8,285.3,284.7,273.2,357.4,285.3,163.1,204.7,278.6,327.3,198.3,240.4,260.6,274.2,245.3,137.6,164.5,238.5,181.2,255.3,0.0,270.0,211.3,212.0,152.3,274.2,272.3,158.9,311.9,168.4,224.1,17.0,256.4,150.9,255.9,266.8,251.2,51.5,48.0,188.5,385.7,289.1,65.4,283.0,272.1,84.4,222.6,325.3,223.4,341.1,208.5,171.0,208.4,219.1,29.7,290.6,345.3,237.3,167.2,254.8,174.5,255.0,228.9,177.0,367.5,205.8,155.6,259.4,14.2,172.4,250.2,181.0,141.8,256.7,299.2
NF,239.6,260.6,253.3,178.8,177.6,235.4,36.7,273.9,145.0,244.0,225.4,277.8,290.1,291.8,113.9,111.7,288.6,275.0,240.4,224.8,201.8,208.3,72.0,42.7,161.9,86.7,160.5,152.2,32.6,360.7,1592.0,279.5,249.4,267.5,162.9,248.5,271.6,167.9,84.1,290.5,200.1,276.3,243.4,268.4,208.5,194.0,220.9,93.5,263.4,13.9,234.8,0.0,174.5,120.5,195.3,310.1,212.8,339.2,27.9,206.8,244.2,218.3,196.9,230.3,75.0,302.7,191.7,184.8,280.0,157.5,187.0,229.6,300.3,57.9,287.4,319.3,205.4,288.5,186.6,304.3,48.9,96.0,202.6,113.4,264.6,96.1,150.8,133.3,270.1,218.0,168.7,118.4,103.5,170.1,330.7,86.0,149.8,94.5,249.1,166.5,37.7,237.4,320.5,239.5,104.7
NH,305.0,196.1,295.9,129.3,134.7,165.7,229.6,197.0,102.1,167.1,77.4,327.8,336.6,341.8,235.8,234.6,321.2,307.6,296.4,147.9,238.4,250.9,114.6,178.0,119.0,129.3,203.1,275.5,167.9,220.2,1574.2,206.0,107.4,127.0,280.2,108.0,302.6,27.4,201.4,150.0,59.6,203.8,102.9,194.9,50.0,111.5,133.2,136.1,306.0,178.1,191.9,192.8,0.0,163.1,144.6,237.6,113.4,350.9,220.8,134.6,96.7,175.4,97.5,272.9,267.9,230.2,67.8,141.9,240.0,280.5,304.3,112.2,257.4,250.8,146.9,276.4,64.9,148.0,28.1,163.8,131.3,106.7,98.8,156.0,221.7,213.4,268.1,266.4,320.1,77.5,90.4,294.9,146.1,293.4,190.2,128.8,32.0,240.3,206.2,209.1,173.0,178.1,363.1,99.0,231.4
NK,141.8,217.1,132.7,136.6,146.9,204.7,111.1,243.2,114.3,213.3,217.4,164.3,173.4,176.2,182.5,71.4,169.2,155.6,132.7,194.1,81.2,87.7,47.0,124.7,131.2,32.9,39.9,112.3,111.0,330.0,1626.3,248.8,222.1,236.8,226.9,217.8,152.2,137.2,148.1,259.8,170.8,245.6,212.7,237.7,177.8,163.3,190.2,26.4,142.8,124.8,204.1,139.5,143.8,0.0,164.6,279.4,204.8,218.6,132.6,176.1,206.5,187.6,188.9,109.7,117.1,272.0,183.7,154.1,252.2,117.6,251.0,221.6,177.6,103.7,256.7,161.3,174.7,257.8,155.9,273.6,78.7,54.6,171.9,7.0,242.0,159.8,214.8,103.2,156.9,187.3,138.0,131.7,16.8,130.2,300.0,33.4,119.1,77.1,218.4,45.9,119.7,206.7,201.5,208.8,178.1
NR,316.6,65.2,304.8,63.3,93.6,172.9,259.1,96.7,35.7,110.3,130.8,280.7,284.0,295.3,247.4,246.2,277.0,263.4,254.5,136.6,256.0,262.5,126.2,193.7,75.2,145.0,214.7,291.2,176.8,244.3,1628.2,217.0,224.7,173.5,289.1,215.7,227.1,136.4,213.0,257.7,98.6,85.5,160.9,205.9,179.7,87.3,114.2,147.7,301.4,193.8,154.9,208.5,143.0,174.7,0.0,119.3,141.5,283.2,232.4,16.1,157.4,134.3,194.9,284.5,283.6,111.9,185.6,98.1,190.9,292.2,315.9,227.6,213.2,266.5,203.8,232.2,122.9,257.0,161.9,222.9,140.9,118.3,142.8,167.6,177.9,225.0,279.7,278.0,290.1,189.2,108.9,306.5,157.7,305.0,297.9,140.4,90.0,256.0,165.1,220.7,181.9,133.4,289.6,157.0,233.6
NX,436.8,44.4,434.6,147.0,207.7,121.5,376.9,56.8,156.7,56.9,184.1,403.5,407.3,417.9,363.8,367.6,394.2,380.6,371.9,83.2,377.9,383.5,243.8,310.6,192.0,261.9,335.7,408.1,300.5,133.7,1703.4,56.1,203.1,221.3,412.8,162.3,347.0,209.6,334.0,127.7,147.8,28.7,208.7,69.0,258.5,137.5,105.1,268.7,424.0,310.7,264.9,325.4,195.1,295.7,123.6,0.0,193.9,403.1,353.4,106.8,137.1,248.4,218.9,405.5,400.5,4.8,276.3,214.9,310.1,413.2,441.1,272.3,330.4,384.3,152.4,349.4,170.7,202.3,236.6,100.3,265.5,226.4,161.4,288.6,294.7,346.0,400.7,399.0,410.0,159.7,147.7,427.5,278.7,439.4,167.9,261.2,161.6,372.9,279.2,341.7,305.6,89.0,378.1,204.8,354.6
OB,333.8,152.3,324.7,109.4,168.6,145.3,258.4,180.7,154.0,152.4,11.0,386.4,361.5,370.6,264.6,264.9,355.1,341.5,339.4,133.2,267.2,281.2,144.9,206.8,152.9,158.1,233.4,304.3,196.7,225.1,1507.9,187.9,64.3,49.6,309.0,112.9,336.8,49.4,230.2,154.9,48.0,168.0,37.0,176.8,96.8,98.4,120.1,164.9,336.3,208.4,225.8,221.6,82.8,193.4,131.5,201.8,0.0,384.8,249.6,121.5,101.6,209.3,24.9,301.7,296.7,194.4,58.9,175.8,272.5,309.4,337.3,76.8,291.3,281.1,153.3,310.3,24.5,97.5,74.9,168.7,161.6,137.0,112.5,184.8,255.6,242.2,296.9,296.7,348.9,82.4,77.3,323.7,176.4,322.2,195.1,158.9,91.2,269.1,240.1,237.9,201.8,136.6,369.2,9.3,260.2
OC,80.9,364.7,78.7,269.3,217.5,399.6,258.1,377.0,265.0,362.1,405.6,47.6,48.0,59.6,370.7,197.3,23.8,38.5,78.9,387.3,121.1,116.0,235.2,312.9,234.1,221.1,153.2,157.7,299.2,471.0,1785.6,443.7,410.3,425.0,415.1,406.0,84.7,325.4,336.3,448.0,359.0,398.8,400.9,432.6,366.0,296.0,322.9,214.6,68.1,313.0,158.3,306.0,332.0,188.1,312.2,432.6,393.0,0.0,279.6,323.7,394.7,175.4,377.1,88.6,247.3,425.2,371.9,209.9,107.4,152.9,439.2,409.8,92.1,250.7,444.9,75.8,362.9,446.0,344.1,461.8,266.9,242.8,366.8,195.2,117.6,348.0,403.0,202.0,54.1,375.5,332.9,230.5,205.0,141.7,488.2,221.6,314.0,224.1,142.7,148.5,307.9,339.4,11.7,397.0,366.3
OD,211.6,287.0,244.4,193.7,204.0,261.8,8.7,300.3,171.4,270.4,251.8,249.5,267.8,263.8,144.9,83.7,260.6,247.0,224.1,251.2,192.9,199.4,98.4,69.1,188.3,113.1,151.6,124.2,59.0,387.1,1618.4,305.9,274.3,293.9,189.3,274.9,243.6,194.3,110.5,316.9,226.5,302.7,269.8,294.8,234.9,220.4,247.3,119.9,254.5,40.2,261.2,26.3,200.9,146.9,217.1,336.5,240.7,316.9,0.0,233.2,265.2,244.7,223.3,221.4,47.0,329.1,218.1,211.2,306.4,129.5,217.6,256.0,326.7,29.9,313.8,252.7,231.8,314.9,213.0,330.7,75.3,122.4,229.0,139.8,291.0,122.5,177.2,105.3,242.1,244.4,195.1,90.4,129.9,142.1,357.1,112.6,176.2,66.5,275.5,157.6,64.1,263.8,298.2,265.9,131.1
OV,330.7,40.9,321.6,77.4,107.7,158.8,269.1,80.6,49.8,94.2,119.3,297.7,298.1,309.7,261.5,260.3,291.1,277.5,261.0,120.5,264.1,276.6,140.3,203.7,92.0,155.0,228.8,301.2,190.0,230.2,1642.3,202.9,169.4,157.4,305.9,199.6,241.2,153.2,227.1,241.6,82.5,69.4,144.8,191.8,193.8,104.1,66.7,161.8,318.2,203.8,164.9,218.5,159.8,188.8,10.0,103.2,130.0,297.3,246.5,0.0,156.6,148.4,204.9,298.6,293.6,95.8,199.7,114.9,205.0,306.5,330.0,237.6,227.3,276.5,189.7,246.3,106.8,239.6,171.9,206.8,157.7,132.4,97.5,181.7,202.8,238.8,293.8,292.1,304.2,137.4,123.0,320.6,171.8,319.1,281.8,154.5,104.1,266.0,179.2,234.8,198.7,126.3,303.7,140.9,257.1
PC,329.0,102.8,325.3,99.8,152.2,70.6,260.6,109.1,123.0,79.2,94.5,364.8,366.0,365.8,265.2,264.0,338.7,325.1,319.1,60.0,262.4,280.3,144.0,202.0,131.1,160.3,232.5,299.5,197.3,187.5,1635.2,114.7,60.6,76.3,304.2,75.3,320.4,80.1,230.8,117.3,59.6,115.9,101.0,103.6,130.1,76.6,100.9,165.5,330.0,209.1,209.4,216.8,84.9,192.5,116.7,149.7,101.7,368.4,250.2,105.1,0.0,192.9,130.2,302.3,297.3,142.3,147.9,161.0,257.5,310.0,333.7,192.3,274.9,280.2,114.2,288.5,82.0,114.2,112.1,131.1,162.3,136.1,37.8,185.4,233.8,237.4,297.5,295.8,349.5,44.8,42.9,324.3,175.5,322.8,157.5,158.2,56.8,269.7,223.7,238.5,197.0,90.2,351.3,116.1,251.4
PM,210.5,192.3,208.3,93.8,42.0,224.1,289.7,216.5,89.5,186.6,218.0,177.2,177.6,189.2,295.9,249.1,145.7,132.1,120.9,211.8,161.5,156.4,174.7,238.1,58.6,189.4,193.6,209.5,224.4,295.5,1676.7,268.2,272.5,256.1,340.3,268.2,179.6,187.6,261.5,310.2,181.2,223.3,243.5,257.1,228.2,120.5,147.4,196.2,197.7,238.2,16.4,252.9,194.2,228.5,139.8,257.1,256.7,175.4,280.9,151.3,207.0,0.0,239.3,167.4,272.4,249.7,234.1,34.4,64.5,204.7,364.4,272.0,81.9,299.5,255.0,100.9,205.5,308.2,206.3,324.0,192.1,166.8,191.3,235.6,54.3,273.2,328.2,253.8,183.7,237.7,157.4,271.5,206.2,193.5,350.4,188.9,138.5,275.9,30.7,188.9,233.1,163.9,158.3,239.6,291.5
QB,340.6,169.7,331.5,125.3,186.0,161.2,257.5,196.6,171.4,169.8,28.4,363.4,368.3,377.4,266.8,270.2,372.5,358.9,352.8,150.6,280.0,286.5,146.8,162.8,170.3,164.9,238.7,311.1,172.9,242.5,1528.1,205.3,81.7,67.0,295.7,130.3,354.2,65.3,237.0,172.3,65.3,185.4,54.4,194.2,53.2,115.8,137.5,171.7,341.6,192.2,243.2,206.9,100.2,198.7,153.0,219.2,17.3,402.2,234.9,138.9,120.6,226.7,0.0,308.5,282.0,211.8,35.4,193.2,288.4,316.4,324.0,53.3,308.7,264.9,169.2,327.7,41.9,114.9,75.1,186.1,168.4,130.2,128.4,191.6,273.0,249.0,283.6,302.0,355.7,99.8,94.7,330.5,181.7,329.0,212.5,164.2,108.6,275.9,257.5,244.7,167.8,154.0,385.1,31.3,233.4
