from_stop,AA,AO,AV,AW,AZ,BL,BR,BX,BZ,CF,CL,CT,DB,DD,ED,EM,EN,FI,FY,GN,GP,GT,HG,IR,IU,JL,LZ,MJ,MR,NO,NT,NV,NX,NZ,OA,OF,OP,PC,PK,PQ,PV,PY,QD,QF,QH,QP,QR,RC,RL,SL,SS,SW,TK,TN,TU,TZ,UF,UT,VA,VG,WC,WD,WJ,WR,WY,XF,XQ,XU,YG,YJ,ZA,ZJ,ZO
QP,196.0,331.2,151.5,36.6,79.1,143.3,150.4,92.8,164.8,74.2,156.6,54.6,30.2,99.4,104.8,259.3,158.9,61.6,97.5,143.6,182.7,47.6,145.2,175.1,82.7,79.9,90.3,101.9,51.2,99.8,110.6,2530.7,135.0,21.1,114.8,70.5,70.3,87.7,40.4,259.0,137.7,107.5,139.1,111.6,175.3,0.0,244.1,169.6,47.4,26.4,150.2,99.5,88.8,56.9,66.5,77.0,130.3,116.3,32.9,169.3,99.5,191.1,105.2,45.8,66.2,175.1,75.0,122.4,57.3,87.9,152.9,175.7,167.6
QR,96.7,171.1,321.6,220.5,301.9,196.7,203.9,295.2,168.3,336.4,248.8,297.4,228.5,148.0,315.9,99.2,251.6,284.4,170.9,178.4,275.4,209.5,148.7,228.5,305.5,350.3,336.8,301.7,274.0,362.0,292.7,2561.4,188.4,283.3,288.3,293.3,293.1,365.4,216.7,14.9,191.1,369.7,213.8,277.5,233.8,262.1,0.0,120.9,325.1,233.8,173.2,361.7,351.0,312.5,344.2,354.7,291.1,315.4,295.1,262.0,269.4,283.8,218.1,268.6,302.7,228.5,297.8,310.6,335.0,315.8,156.4,268.4,221.0
RC,53.8,161.5,248.1,147.0,228.4,123.2,130.4,221.7,94.8,262.9,175.3,238.9,155.0,74.5,242.4,89.6,140.2,210.9,112.3,67.0,164.0,136.0,75.2,155.0,232.0,238.9,225.4,187.0,200.5,288.5,178.0,2451.6,114.9,209.8,173.6,219.8,219.6,254.0,143.2,116.8,117.6,296.2,102.4,204.0,160.3,188.6,101.9,0.0,213.7,160.3,61.8,288.2,277.5,201.1,232.8,243.3,217.6,241.9,221.6,150.6,158.0,172.4,144.6,195.1,191.3,155.0,224.3,237.1,223.6,201.1,82.9,157.0,147.5
RL,236.1,353.2,116.1,71.3,104.8,220.5,196.2,109.5,199.5,169.4,190.1,31.2,64.9,134.1,125.2,281.3,146.6,78.3,132.2,154.5,164.6,82.3,179.9,215.0,99.4,56.5,66.9,84.6,67.9,187.7,93.3,2507.3,212.2,96.7,97.5,87.2,95.4,40.2,75.1,293.7,214.9,153.0,114.6,128.3,208.8,74.0,278.8,204.3,0.0,61.0,161.1,121.1,176.7,15.5,19.7,29.5,156.1,162.6,152.5,135.3,58.1,156.2,169.0,62.5,24.8,215.0,91.7,104.5,8.3,64.5,188.6,171.6,229.4
SL,174.9,304.7,88.3,10.2,73.7,116.9,161.0,81.7,138.3,102.3,162.3,63.5,3.9,72.9,97.4,232.8,132.5,50.5,71.0,117.1,159.5,22.9,118.7,187.0,72.4,88.8,147.7,155.5,40.1,128.1,164.2,2525.8,107.6,50.9,168.4,59.2,67.6,96.6,13.9,232.5,111.2,132.2,112.6,100.5,179.4,28.2,217.6,143.1,56.3,0.0,123.7,127.6,117.1,65.8,76.1,85.7,128.3,120.8,55.7,142.8,95.8,164.6,78.8,34.7,129.1,187.0,63.9,76.7,64.7,94.4,127.5,149.2,140.9
SS,128.1,192.0,241.9,132.8,227.8,91.0,98.2,189.5,83.2,248.7,143.1,177.0,140.8,65.1,206.3,120.1,78.3,204.1,50.4,5.1,102.1,120.0,63.6,122.8,200.1,177.0,163.5,128.4,193.7,286.8,119.4,2418.4,82.7,195.6,115.0,213.0,212.8,192.1,129.0,162.0,85.4,272.9,40.5,171.8,128.1,174.4,170.8,68.8,151.8,186.8,0.0,273.0,275.8,139.2,171.6,181.4,178.4,261.2,202.1,88.7,96.1,110.5,115.9,188.3,129.4,122.8,217.5,230.3,160.2,144.9,72.3,95.1,115.1
SW,292.3,422.1,169.4,127.5,206.4,234.2,241.3,215.4,255.7,75.4,247.5,145.5,121.1,190.3,235.8,350.2,249.8,184.2,188.4,234.5,273.6,138.5,236.1,266.0,205.3,170.8,181.2,192.8,142.1,138.8,201.5,2621.6,225.9,68.3,205.7,193.1,155.1,178.6,131.3,349.9,228.6,104.1,230.0,234.2,264.6,90.8,335.0,260.5,138.3,117.2,241.1,0.0,127.8,147.8,158.1,167.9,266.7,113.7,63.3,260.2,190.4,282.0,196.1,136.7,157.1,266.0,202.3,143.4,146.7,176.4,244.8,266.6,258.5
TK,301.8,437.0,62.6,142.4,99.0,264.3,212.1,125.4,271.8,12.5,193.3,149.5,136.0,205.2,124.7,365.1,264.9,94.2,203.3,249.4,282.9,153.4,291.8,218.2,115.3,174.8,185.2,196.8,109.5,11.0,205.5,2625.6,237.4,84.7,209.7,103.1,76.1,182.6,146.2,364.8,240.1,18.5,250.9,144.2,212.0,132.2,349.9,275.4,142.3,132.2,256.0,95.6,0.0,151.8,161.4,171.9,150.2,47.3,72.9,253.6,194.4,274.5,184.9,94.4,161.1,218.2,94.9,53.4,152.2,182.8,283.8,289.9,232.8
TN,217.2,337.6,102.0,57.8,82.3,204.9,182.7,96.0,186.0,149.2,176.6,37.7,51.4,120.6,108.0,265.7,149.3,64.8,118.7,138.9,171.1,68.8,166.4,201.5,85.9,63.0,92.3,69.0,54.4,147.5,77.7,2513.8,196.6,81.7,81.9,73.7,73.5,52.8,61.6,280.2,199.3,137.2,99.0,114.8,195.3,60.5,265.3,190.8,12.5,47.6,145.5,133.7,136.5,0.0,31.6,42.1,133.5,95.8,93.5,138.0,42.5,162.7,155.5,49.0,9.3,201.5,78.2,91.0,22.4,67.7,174.1,178.1,216.1
TU,258.3,375.4,138.3,93.5,127.0,242.7,218.4,131.7,221.7,149.6,212.3,53.4,87.1,156.3,147.4,303.5,168.8,100.5,154.4,176.7,184.4,104.5,202.1,237.2,121.6,78.7,89.1,106.8,90.1,167.9,115.5,2529.5,233.8,137.7,119.7,109.4,109.2,20.4,97.3,315.9,237.1,130.4,136.8,150.5,229.4,96.2,301.0,226.5,22.1,83.2,183.3,101.3,156.9,37.7,0.0,9.8,178.3,142.8,132.7,157.5,80.3,178.4,191.2,84.7,47.0,237.2,113.9,126.7,9.4,84.3,210.8,193.8,251.8
TZ,267.7,384.8,147.7,102.9,133.3,252.1,227.8,141.1,231.1,139.8,221.7,62.8,96.5,165.7,156.8,312.9,178.2,109.9,163.8,186.1,192.9,113.9,211.5,246.6,131.8,88.1,98.5,116.2,99.5,158.1,124.9,2538.9,243.8,129.4,129.1,118.8,118.6,10.6,106.7,325.3,246.5,120.6,146.2,159.9,240.4,150.4,310.4,235.9,31.5,92.7,192.7,91.5,147.1,47.1,9.4,0.0,187.7,133.0,122.9,166.9,89.7,187.8,200.6,94.1,56.4,246.6,123.3,162.7,18.8,96.1,220.2,203.2,261.0
UF,228.5,374.4,88.2,114.7,52.9,136.7,105.3,104.2,112.4,174.3,33.9,160.9,122.7,158.4,27.8,302.5,191.0,138.9,129.6,175.7,214.8,101.9,132.4,58.8,114.8,196.8,183.3,191.1,98.4,150.7,199.8,2561.4,89.7,177.5,204.0,127.7,112.3,194.0,110.9,286.1,87.0,176.7,171.2,86.5,52.6,156.3,271.2,196.7,153.7,128.0,182.0,255.9,161.7,174.5,173.5,183.3,0.0,160.7,184.0,156.4,131.4,174.4,57.4,105.8,164.7,58.8,63.2,129.8,162.1,192.2,123.4,207.8,73.4
UT,290.5,420.3,76.6,125.9,119.5,240.5,188.3,101.6,285.2,27.2,207.9,125.7,119.3,188.5,143.0,348.4,241.1,70.4,186.6,232.7,256.7,136.7,305.2,232.8,91.5,151.0,161.4,173.0,78.0,25.5,181.7,2601.8,213.6,129.6,185.9,79.3,41.3,158.8,129.5,348.1,216.3,11.6,227.1,120.4,226.6,108.4,333.2,258.7,118.5,115.5,239.3,110.3,14.5,128.0,138.3,148.1,173.9,0.0,136.1,229.8,170.6,250.7,161.1,70.6,137.3,232.8,109.5,29.6,128.4,156.6,296.2,266.1,246.2
VA,228.9,358.7,123.2,64.1,106.6,170.8,177.9,120.3,192.3,46.5,184.1,82.1,57.7,126.9,136.0,286.8,186.4,89.1,125.0,171.1,210.2,75.1,172.7,202.6,111.0,107.4,117.8,129.4,78.7,72.1,138.1,2558.2,162.5,5.0,142.3,98.0,117.4,115.2,67.9,286.5,165.2,76.2,166.6,139.1,201.2,27.4,271.6,197.1,74.9,53.8,177.7,71.8,61.1,84.4,94.7,104.5,166.9,65.0,0.0,196.8,127.0,218.6,132.7,73.3,93.7,202.6,102.5,94.7,83.3,113.0,181.4,203.2,194.9
VG,206.6,286.8,214.8,118.2,195.1,136.1,143.0,208.8,145.7,262.0,149.2,105.7,164.2,110.0,220.8,214.9,11.2,177.6,95.5,88.1,54.2,107.2,126.1,167.9,198.7,88.2,74.7,91.7,167.2,260.3,82.7,2416.6,127.8,181.0,78.3,186.5,186.3,198.3,114.4,256.8,130.5,250.0,77.2,146.9,167.9,159.8,254.7,163.6,158.0,160.4,94.7,267.3,249.3,132.8,177.1,187.6,168.7,208.6,192.8,0.0,96.0,62.6,97.8,161.8,135.6,167.9,191.0,203.8,167.9,104.9,133.8,47.2,160.4
WC,225.7,295.0,145.1,100.9,125.4,162.3,169.5,139.1,225.6,192.3,146.4,80.8,94.5,136.4,151.1,223.1,129.6,107.9,121.7,96.3,153.4,111.9,166.6,194.1,129.0,96.4,82.9,59.6,97.5,190.6,68.3,2503.2,154.0,124.8,72.5,116.8,116.6,95.9,104.7,265.0,156.7,180.3,56.4,157.9,199.4,103.6,273.8,171.8,55.6,90.7,102.9,176.8,179.6,43.0,74.7,85.2,176.6,138.9,136.6,128.6,0.0,153.3,95.0,92.1,33.2,194.1,121.3,134.1,65.5,58.3,174.3,146.4,186.6
WD,225.5,305.5,226.0,181.8,206.3,154.8,162.0,220.0,170.0,273.2,170.0,116.9,175.4,128.9,232.0,233.6,69.1,188.8,114.2,106.8,8.4,128.0,150.4,186.6,209.9,126.7,117.4,155.6,178.4,271.5,146.6,2408.3,146.5,201.8,142.2,197.7,197.5,194.8,135.2,275.5,149.2,261.2,98.0,167.7,188.7,180.6,273.6,182.3,154.5,171.6,113.4,275.7,260.5,144.0,173.6,184.1,189.5,219.8,213.6,79.5,116.8,0.0,118.6,173.0,153.3,186.6,202.2,215.0,164.4,129.6,158.1,15.4,179.1
WJ,171.0,335.0,158.9,57.2,138.6,97.3,45.1,66.7,129.8,173.1,51.3,156.8,65.2,69.0,91.7,263.1,151.6,121.1,90.2,136.3,122.9,44.4,149.8,76.2,76.5,139.3,125.8,133.6,110.7,198.7,142.3,2503.9,70.4,120.0,146.5,130.0,129.8,169.9,53.4,228.6,73.1,202.8,75.1,49.0,68.4,98.8,213.7,139.2,129.6,70.7,142.9,198.4,187.7,117.0,149.4,159.2,63.8,191.6,126.5,98.9,73.9,116.9,0.0,105.3,107.2,76.2,134.5,147.3,138.0,132.3,140.8,168.4,90.8
WR,214.4,349.6,52.9,55.0,33.2,185.8,133.6,46.9,206.0,112.0,127.5,55.0,48.6,117.8,58.9,277.7,170.4,15.7,115.9,162.0,188.4,66.0,226.0,152.4,36.8,80.3,90.7,102.3,5.3,98.4,111.0,2531.1,158.9,58.9,115.2,24.6,24.4,88.1,58.8,277.4,161.6,88.1,156.4,65.7,146.2,37.7,262.5,188.0,47.8,44.8,168.6,137.3,87.4,57.3,66.9,77.4,84.4,46.7,70.7,159.1,99.9,180.0,106.4,0.0,66.6,152.4,29.1,41.9,57.7,88.3,218.0,195.4,167.0
WY,227.0,328.3,111.8,67.6,92.1,195.6,192.5,105.8,195.8,159.0,186.4,47.5,61.2,130.4,117.8,256.4,140.0,74.6,128.5,129.6,161.8,78.6,176.2,211.3,95.7,96.5,83.0,59.7,64.2,157.3,68.4,2536.5,187.3,91.5,72.6,83.5,83.3,62.6,71.4,290.0,190.0,147.0,89.7,124.6,205.1,70.3,275.1,200.6,22.3,57.4,136.2,143.5,146.3,9.7,41.4,51.9,143.3,105.6,103.3,128.7,33.2,153.4,165.3,58.8,0.0,211.3,88.0,100.8,32.2,58.4,183.9,168.8,219.9
XF,171.0,315.5,143.8,138.3,108.5,77.8,46.4,137.7,53.5,229.9,20.2,216.5,146.3,99.5,83.4,243.6,132.1,172.4,70.7,116.8,159.2,127.3,73.5,0.0,148.3,230.8,217.3,182.2,154.0,206.3,173.2,2494.9,30.8,201.1,168.8,161.2,167.9,263.9,134.5,234.0,28.1,235.9,112.3,120.0,5.2,179.9,219.1,144.6,223.6,151.6,123.1,279.5,217.3,211.0,243.4,253.2,55.5,216.3,207.6,142.5,167.9,164.3,86.5,161.4,201.2,0.0,118.8,185.4,233.5,196.3,64.5,148.9,14.5
XQ,257.0,438.8,24.3,97.6,4.0,201.1,169.7,91.5,176.8,111.0,98.3,97.6,91.2,160.4,29.7,366.9,213.0,60.3,194.0,240.1,231.0,168.1,196.8,123.2,81.4,122.9,133.3,144.9,35.1,87.4,153.6,2573.7,154.1,101.5,157.8,69.2,49.0,130.7,101.4,320.0,151.4,117.0,199.0,110.3,117.0,80.3,305.1,230.6,90.4,87.4,246.4,194.1,98.4,99.9,109.5,120.0,55.2,71.3,113.3,201.7,142.5,222.6,121.8,42.5,109.2,123.2,0.0,66.5,100.3,130.9,188.8,238.0,137.8
XU,260.8,390.6,107.5,96.0,77.1,210.8,158.6,71.9,255.5,58.1,170.5,96.0,89.6,158.8,105.6,318.7,211.4,40.7,156.9,203.0,226.1,107.0,275.5,195.4,61.8,121.3,131.7,143.3,48.3,56.4,152.0,2572.1,183.9,99.9,156.2,49.6,11.7,129.1,99.8,318.4,186.6,42.5,197.4,90.7,187.6,78.7,303.5,229.0,88.8,85.8,209.6,141.2,45.4,98.3,108.6,118.4,136.5,30.8,106.4,200.1,140.9,221.0,131.4,40.9,107.6,195.4,72.1,0.0,97.2,129.3,266.5,236.4,216.5
YG,248.9,366.0,128.9,82.6,117.6,233.3,207.5,122.3,212.3,161.0,202.9,44.0,77.7,146.9,136.5,294.1,157.9,89.6,145.0,167.3,174.1,96.9,192.7,227.8,113.0,69.3,79.7,97.4,80.7,177.8,106.1,2520.1,225.0,149.1,108.8,98.5,108.2,30.3,87.9,305.0,227.7,143.1,125.9,141.1,220.0,86.8,291.6,217.1,11.2,73.8,172.4,112.7,166.8,28.3,9.8,19.7,168.9,154.2,144.1,148.1,70.9,169.0,180.3,75.3,37.6,227.8,104.5,115.8,0.0,74.9,199.9,184.4,242.2
YJ,253.4,345.2,133.4,88.6,122.1,194.5,201.7,126.8,212.5,177.6,207.4,48.3,79.8,151.4,140.1,273.3,112.2,93.2,149.5,146.5,134.0,101.4,192.9,226.3,117.5,68.7,55.2,16.3,82.8,178.3,22.6,2513.2,186.2,114.0,26.8,104.5,112.7,101.6,92.4,308.6,188.9,164.4,147.5,145.6,224.5,91.3,296.1,221.6,58.9,78.3,153.1,194.7,167.3,50.8,78.7,88.5,171.0,150.3,116.6,100.9,93.4,125.6,129.4,79.8,60.1,226.3,109.0,119.4,69.7,0.0,201.6,141.0,218.6
ZA,106.4,221.9,209.1,107.4,195.2,83.6,90.8,182.1,10.8,223.3,83.1,184.3,115.4,34.9,146.3,150.0,117.8,171.3,57.8,63.7,136.8,96.4,8.9,62.8,192.4,216.5,203.0,172.1,160.9,248.9,163.1,2430.3,75.8,170.2,158.7,180.2,180.0,250.7,103.6,169.4,78.0,256.6,99.1,164.4,68.1,149.0,154.5,80.0,210.4,120.7,58.5,248.6,237.9,197.8,230.2,240.0,118.4,241.8,176.7,128.2,154.7,145.2,105.0,155.5,188.0,62.8,184.7,197.5,220.3,186.2,0.0,129.8,51.2
ZJ,210.1,290.1,242.0,197.2,227.4,139.4,146.6,235.4,154.6,288.6,185.4,132.3,190.8,113.5,251.1,218.2,53.7,204.2,98.8,91.4,9.3,141.6,135.0,171.2,225.3,142.1,132.8,140.2,193.8,286.9,131.2,2392.9,131.1,217.2,126.8,213.1,212.9,210.2,150.6,260.1,133.8,273.0,106.9,220.2,176.5,196.0,258.2,166.9,169.9,186.9,98.0,291.1,275.9,159.4,189.7,199.5,226.8,261.3,223.7,64.1,162.5,15.4,134.0,188.4,168.7,171.2,217.6,230.4,178.3,145.0,143.7,0.0,163.7
ZO,161.8,271.9,155.3,147.8,116.5,87.2,55.9,147.2,38.9,241.5,31.8,228.1,155.8,84.9,94.9,200.0,141.6,181.9,80.2,113.7,168.7,135.0,58.9,11.4,157.0,240.3,226.8,191.6,165.6,217.9,182.7,2480.3,40.3,212.1,178.2,170.6,187.9,273.4,144.0,219.4,37.6,243.9,121.8,129.5,18.1,189.4,204.5,130.0,233.1,161.3,108.7,288.9,228.9,220.5,252.9,262.6,67.1,227.9,217.1,152.0,177.4,173.8,98.1,173.0,210.7,11.4,130.4,196.9,241.5,208.2,49.9,158.3,0.0
