from_stop,AF,AJ,AS,AY,AZ,BD,BH,BM,BW,BY,BZ,CK,CW,CX,CZ,DC,DE,DH,DL,DM,DY,DZ,EE,EJ,ET,FJ,FL,FQ,FR,FT,FV,FY,GI,GM,GX,HA,HF,HG,HJ,HK,HM,HP,HR,HX,IG,IJ,IO,IP,IX,IY,JA,JC,JW,JY,KE,KI,KK,KO,KT,KW,KY,KZ,LA,LC,LD,LK,LM,LN,LP,LS,LV,ME,MF,MR,MW,MX,MZ,NC,ND,OC,OE,OH,OM,OP,OQ,OT,OX,PB,PH,PI,QC,QI,QQ,QU,RT,SA,SB,SH,SM,ST,TF,TH,TU,UC,UH,UJ,UL,UO,UQ,UT,UY,VB,VH,VV,WR,WY,XD,XG,XS,XV,XW,YA,YB,YR,ZE,ZI
FJ,431.6,608.7,201.2,185.8,2790.9,828.2,460.2,621.0,589.4,361.6,1049.2,462.6,516.7,1044.2,492.4,1062.1,733.1,981.0,766.9,644.5,485.8,670.7,915.9,600.7,721.8,0.0,206.0,386.3,467.2,859.4,220.4,1072.2,518.0,263.2,461.6,856.0,643.3,625.7,755.3,486.2,123.9,474.4,994.3,985.8,43.3,470.9,220.4,933.2,604.8,466.9,356.4,581.0,317.1,812.7,724.6,922.6,692.8,961.5,606.9,357.8,374.3,265.1,679.4,375.4,1043.7,423.7,181.3,460.8,574.9,767.2,585.7,946.1,807.0,295.1,1043.3,756.0,462.8,356.4,994.4,305.2,250.3,545.1,367.5,323.9,534.1,490.2,350.8,460.7,741.0,964.8,274.4,987.9,718.9,307.2,572.8,987.4,662.0,239.7,606.1,804.1,205.4,961.6,842.4,490.0,316.1,981.2,978.0,735.5,733.2,906.4,57.2,328.5,419.2,908.8,630.8,759.8,491.1,510.8,824.5,822.6,363.3,584.9,540.5,908.5,572.7,589.9
FL,327.1,504.2,4.8,100.7,2686.4,723.7,330.5,516.5,484.9,257.1,944.7,332.9,412.2,939.7,387.9,957.6,628.6,876.5,662.4,540.0,381.3,566.2,811.4,496.2,617.3,193.7,0.0,256.6,337.5,754.9,14.3,967.7,388.3,160.9,331.9,751.5,538.8,521.2,650.8,356.5,79.6,344.7,889.8,881.3,172.0,341.2,14.3,828.7,500.3,337.2,251.9,476.5,212.6,708.2,620.1,818.1,588.3,857.0,502.4,253.3,244.6,59.0,574.9,245.7,939.2,294.0,99.0,356.3,470.4,662.7,481.2,841.6,702.5,89.0,938.8,651.5,333.1,251.9,889.9,99.1,44.2,440.6,237.8,117.8,429.6,360.5,246.3,331.0,636.5,860.3,68.3,883.4,614.4,177.5,468.3,882.9,557.5,58.1,501.6,699.6,120.3,857.1,737.9,360.3,110.0,876.7,873.5,631.0,628.7,801.9,135.6,122.4,314.7,804.3,526.3,655.3,386.6,406.3,720.0,718.1,233.6,480.4,436.0,804.0,468.2,485.4
FQ,459.6,636.7,247.2,251.2,2818.9,856.2,220.1,649.0,617.4,389.6,1077.2,222.5,544.7,1072.2,520.4,1090.1,761.1,1009.0,794.9,672.5,513.8,698.7,943.9,628.7,749.8,344.2,252.0,0.0,227.1,887.4,246.7,1100.2,277.9,223.7,221.5,884.0,671.3,653.7,783.3,246.1,230.1,234.3,1022.3,1013.8,322.5,230.8,246.7,961.2,632.8,226.8,384.4,609.0,345.1,840.7,752.6,950.6,720.8,989.5,634.9,385.8,134.2,243.9,707.4,6.5,1071.7,183.6,249.5,488.8,602.9,795.2,613.7,974.1,835.0,203.9,1071.3,784.0,222.7,384.4,1022.4,259.4,272.5,573.1,88.3,273.1,562.1,250.1,378.8,220.6,769.0,992.8,228.6,1015.9,746.9,104.7,600.8,1015.4,690.0,285.7,634.1,832.1,232.8,989.6,870.4,249.9,224.9,1009.2,1006.0,763.5,761.2,934.4,286.1,250.4,447.2,936.8,658.8,787.8,519.1,538.8,852.5,850.6,173.3,612.9,568.5,936.5,600.7,617.9
FR,568.3,745.4,355.9,359.9,2927.6,964.9,5.8,757.7,726.1,498.3,1185.9,241.8,653.4,1180.9,629.1,1198.8,869.8,1117.7,903.6,781.2,622.5,807.4,1052.6,737.4,858.5,452.9,360.7,274.9,0.0,996.1,355.4,1208.9,293.6,332.4,219.8,992.7,780.0,762.4,892.0,265.4,338.8,48.8,1131.0,1122.5,431.2,229.1,355.4,1069.9,741.5,16.9,493.1,717.7,453.8,949.4,861.3,1059.3,829.5,1098.2,743.6,494.5,104.2,352.6,816.1,264.0,1180.4,242.9,358.2,597.5,711.6,903.9,722.4,1082.8,943.7,312.6,1180.0,892.7,37.2,493.1,1131.1,368.1,381.2,681.8,271.4,381.8,670.8,269.4,487.5,149.0,877.7,1101.5,337.3,1124.6,855.6,228.0,709.5,1124.1,798.7,394.4,742.8,940.8,341.5,1098.3,979.1,248.2,333.6,1117.9,1114.7,872.2,869.9,1043.1,394.8,359.1,555.9,1045.5,767.5,896.5,627.8,647.5,961.2,959.3,284.1,721.6,677.2,1045.2,709.4,726.6
FT,703.5,476.3,831.2,860.4,2972.4,177.7,1072.2,557.6,360.2,691.4,444.8,1074.6,551.1,439.8,553.0,457.7,338.2,428.9,244.3,434.6,485.3,270.3,276.6,271.0,236.9,911.7,836.0,998.3,1079.2,0.0,850.4,467.8,1130.0,882.8,1073.6,269.5,335.3,562.3,260.5,1098.2,897.7,1086.4,327.2,433.5,914.8,1082.9,850.4,380.9,541.4,1078.9,794.6,350.2,642.7,387.1,343.4,249.6,409.3,409.2,543.5,701.7,986.3,895.1,451.5,987.4,439.3,1035.7,858.7,485.1,344.1,291.9,581.5,350.1,193.4,866.7,408.0,101.1,1074.8,794.6,442.1,922.2,880.3,394.4,979.5,935.9,529.9,1102.2,676.4,1072.7,314.5,368.8,891.4,401.0,383.8,919.2,595.0,435.1,598.6,869.7,683.1,173.9,880.0,357.2,348.2,1102.0,887.7,314.1,382.0,258.2,137.2,354.1,898.0,913.2,691.1,312.8,380.2,237.2,525.5,506.6,269.6,394.6,975.3,415.5,617.5,266.8,509.3,585.7
FV,341.5,518.6,19.1,115.1,2700.8,738.1,339.9,530.9,499.3,271.5,959.1,342.3,426.6,954.1,402.3,972.0,643.0,890.9,676.8,554.4,395.7,580.6,825.8,510.6,631.7,208.1,14.3,266.0,346.9,769.3,0.0,982.1,397.7,175.3,341.3,765.9,553.2,535.6,665.2,365.9,94.0,354.1,904.2,895.7,186.4,350.6,0.0,843.1,514.7,346.6,266.3,490.9,227.0,722.6,634.5,832.5,602.7,871.4,516.8,267.7,254.0,44.6,589.3,255.1,953.6,303.4,113.4,370.7,484.8,677.1,495.6,856.0,716.9,74.6,953.2,665.9,342.5,266.3,904.3,84.7,29.8,455.0,247.2,103.4,444.0,369.9,260.7,340.4,650.9,874.7,53.9,897.8,628.8,186.9,482.7,897.3,571.9,72.5,516.0,714.0,134.7,871.5,752.3,369.7,95.6,891.1,887.9,645.4,643.1,816.3,150.0,108.0,329.1,818.7,540.7,669.7,401.0,420.7,734.4,732.5,243.0,494.8,450.4,818.4,482.6,499.8
FY,920.5,693.3,1048.2,1077.4,3189.4,307.2,1289.2,774.6,577.2,908.4,118.3,1291.6,768.1,82.9,770.0,10.0,555.2,222.9,439.5,651.6,702.3,487.3,369.7,488.0,453.9,1128.7,1053.0,1215.3,1296.2,494.7,1067.4,0.0,1347.0,1099.8,1290.6,325.9,552.3,779.3,477.5,1315.2,1114.7,1303.4,189.6,264.7,1131.8,1299.9,1067.4,277.9,758.4,1295.9,1011.6,567.2,859.7,582.3,560.4,366.2,593.3,273.2,760.5,918.7,1203.3,1112.1,668.5,1204.4,37.9,1252.7,1075.7,702.1,561.1,487.1,798.5,229.5,388.6,1083.7,94.5,408.7,1291.8,1011.6,277.0,1139.2,1097.3,611.4,1196.5,1152.9,746.9,1319.2,893.4,1289.7,518.0,248.2,1108.4,195.0,588.8,1136.2,812.0,287.7,815.6,1086.7,900.1,509.9,1097.0,116.9,543.4,1319.0,1104.7,149.9,228.7,453.4,358.9,281.1,1115.0,1130.2,908.1,234.6,597.2,432.4,742.5,723.6,464.8,589.8,1192.3,632.5,834.5,388.6,726.3,802.7
GI,578.3,755.4,365.9,369.9,2937.6,974.9,248.4,767.7,736.1,508.3,1195.9,56.5,663.4,1190.9,639.1,1208.8,879.8,1127.7,913.6,791.2,632.5,817.4,1062.6,747.4,868.5,462.9,370.7,284.9,255.4,1006.1,365.4,1218.9,0.0,342.4,113.4,1002.7,790.0,772.4,902.0,77.7,348.8,262.6,1141.0,1132.0,441.2,122.7,365.4,1079.9,751.5,262.0,503.1,727.7,463.8,959.4,871.3,1069.3,839.5,1108.2,753.6,504.5,162.5,362.6,826.1,274.0,1190.4,111.7,368.2,607.5,721.6,913.9,732.4,1092.8,953.7,322.6,1190.0,902.7,251.0,503.1,1141.1,378.1,391.2,691.8,281.4,391.8,680.8,116.3,497.5,259.2,887.7,1111.5,347.3,1134.6,865.6,238.0,719.5,1134.1,808.7,404.4,752.8,950.8,351.5,1108.3,989.1,81.8,343.6,1127.9,1124.7,882.2,879.9,1053.1,404.8,369.1,565.9,1055.5,777.5,906.5,637.8,657.5,971.2,969.3,293.7,731.6,687.2,1055.2,719.4,736.6
GM,358.8,535.9,146.4,107.4,2718.1,755.4,338.4,548.2,516.6,288.8,976.4,340.8,443.9,971.4,419.6,989.3,660.3,908.2,694.1,571.7,413.0,597.9,843.1,527.9,649.0,243.4,151.2,264.5,345.4,786.6,165.6,999.4,396.2,0.0,339.8,783.2,570.5,552.9,682.5,364.4,129.3,352.6,921.5,913.0,221.7,349.1,165.6,860.4,532.0,345.1,283.6,508.2,244.3,739.9,651.8,849.8,620.0,888.7,534.1,285.0,252.5,172.9,606.6,253.6,970.9,301.9,148.7,388.0,502.1,694.4,512.9,873.3,734.2,132.9,970.5,683.2,341.0,283.6,921.6,188.4,195.5,472.3,245.7,202.1,461.3,368.4,278.0,338.9,668.2,892.0,157.6,915.1,646.1,185.4,500.0,914.6,589.2,184.9,533.3,731.3,72.7,888.8,769.6,368.2,153.9,908.4,905.2,662.7,660.4,833.6,185.3,179.4,346.4,836.0,558.0,687.0,418.3,438.0,751.7,749.8,241.5,512.1,467.7,835.7,499.9,517.1
GX,542.4,719.5,330.0,334.0,2901.7,939.0,212.5,731.8,700.2,472.4,1160.0,100.2,627.5,1155.0,603.2,1172.9,843.9,1091.8,877.7,755.3,596.6,781.5,1026.7,711.5,832.6,427.0,334.8,249.0,219.5,970.2,329.5,1183.0,131.3,306.5,0.0,966.8,754.1,736.5,866.1,121.4,312.9,226.7,1105.1,1096.6,405.3,9.2,329.5,1044.0,715.6,226.1,467.2,691.8,427.9,923.5,835.4,1033.4,803.6,1072.3,717.7,468.6,126.6,326.7,790.2,238.1,1154.5,154.8,332.3,571.6,685.7,878.0,696.5,1056.9,917.8,286.7,1154.1,866.8,215.1,467.2,1105.2,342.2,355.3,655.9,245.5,355.9,644.9,160.0,461.6,223.3,851.8,1075.6,311.4,1098.7,829.7,202.1,683.6,1098.2,772.8,368.5,716.9,914.9,315.6,1072.4,953.2,85.9,307.7,1092.0,1088.8,846.3,844.0,1017.2,368.9,333.2,530.0,1019.6,741.6,870.6,601.9,621.6,935.3,933.4,258.2,695.7,651.3,1019.3,683.5,700.7
HA,687.2,460.0,814.9,844.1,2956.1,135.5,1055.9,541.3,306.7,675.1,288.2,1058.3,534.8,283.2,536.7,301.1,162.5,357.1,177.3,340.4,469.0,254.0,253.9,254.7,220.6,895.4,819.7,982.0,1062.9,267.1,834.1,311.2,1113.7,866.5,1057.3,0.0,241.7,546.0,244.2,1081.9,881.4,1070.1,300.9,398.9,898.5,1066.6,834.1,412.1,525.1,1062.6,778.3,333.9,626.4,159.7,327.1,93.4,191.7,407.4,527.2,685.4,970.0,878.8,376.7,971.1,282.7,1019.4,842.4,468.8,327.8,178.0,565.2,109.4,155.3,850.4,336.2,163.7,1058.5,778.3,411.2,905.9,864.0,387.2,963.2,919.6,513.6,1085.9,660.1,1056.4,170.4,128.1,875.1,329.2,166.2,902.9,578.7,421.9,582.3,853.4,666.8,265.4,863.7,200.6,138.5,1085.7,871.4,284.1,156.6,198.2,125.6,331.4,881.7,896.9,674.8,72.1,363.9,183.5,509.2,490.3,180.4,169.6,959.0,399.2,601.2,244.1,493.0,569.4
HF,593.8,266.7,556.1,585.3,2741.4,307.5,797.1,387.5,93.1,581.7,528.5,799.5,381.0,523.5,461.3,541.4,89.7,635.1,160.1,98.6,474.7,311.6,425.9,228.6,217.0,678.3,560.9,723.2,804.1,338.7,575.3,551.5,854.9,607.7,798.5,243.8,0.0,392.2,135.5,823.1,564.2,811.3,473.6,582.8,656.6,807.8,575.3,530.2,371.3,803.8,592.0,199.3,533.0,169.8,327.5,367.5,84.9,558.5,373.4,592.0,711.2,620.0,163.3,712.3,523.0,760.6,583.6,449.7,193.2,123.8,411.4,422.2,205.2,591.6,614.2,235.3,799.7,592.0,591.4,647.1,605.2,145.4,704.4,660.8,359.8,827.1,566.7,797.6,97.6,440.9,616.3,607.2,111.0,644.1,424.9,584.4,428.5,594.6,513.0,323.0,604.9,440.9,199.5,826.9,612.6,460.5,469.4,133.7,235.3,503.4,620.2,638.1,581.4,384.9,421.5,158.0,355.4,336.5,181.1,179.7,700.2,185.2,447.4,416.1,339.2,415.6
HG,405.6,207.0,533.3,562.5,2845.8,518.9,774.3,57.7,353.9,393.5,739.9,776.7,192.8,734.9,273.1,752.8,497.6,624.8,457.6,409.0,286.5,314.5,559.7,291.4,412.5,655.5,538.1,700.4,781.3,550.1,552.5,762.9,832.1,584.9,775.7,556.2,407.8,0.0,446.0,800.3,541.4,788.5,685.0,629.6,633.8,785.0,552.5,577.0,58.9,781.0,496.7,219.6,344.8,577.2,322.9,536.3,457.3,605.3,18.7,403.8,688.4,597.2,443.9,689.5,734.4,737.8,560.8,261.5,228.3,467.8,223.2,636.8,497.7,568.8,687.1,446.7,776.9,496.7,638.2,624.3,582.4,258.1,681.6,638.0,171.6,804.3,378.5,774.8,505.5,655.5,593.5,631.7,483.4,621.3,236.7,631.2,195.4,571.8,324.8,494.8,582.1,652.3,561.5,804.1,589.8,671.9,668.7,426.2,423.9,550.2,597.4,615.3,393.2,599.5,345.9,450.5,167.2,148.3,523.5,587.1,677.4,221.3,259.2,552.3,64.8,227.4
HJ,663.0,359.2,692.0,721.2,2877.3,225.7,933.0,517.1,231.3,650.9,446.7,935.4,510.6,441.7,512.5,459.6,151.4,493.5,120.7,247.2,444.8,229.8,344.1,230.5,196.4,871.2,696.8,859.1,940.0,256.9,711.2,469.7,990.8,743.6,934.4,286.9,148.5,521.8,0.0,959.0,700.1,947.2,391.8,501.0,874.3,943.7,711.2,448.4,500.9,939.7,727.9,255.1,602.2,231.5,302.9,243.1,222.5,476.7,503.0,661.2,847.1,755.9,311.9,848.2,441.2,896.5,719.5,444.6,249.0,112.9,541.0,343.6,160.8,727.5,472.6,153.5,935.6,727.9,509.6,783.0,741.1,294.0,840.3,796.7,489.4,963.0,635.9,933.5,127.7,362.3,752.2,465.6,197.0,780.0,554.5,502.6,558.1,730.5,642.6,241.2,740.8,359.1,224.6,962.8,748.5,378.7,375.5,89.3,130.7,421.6,857.5,774.0,650.6,306.3,339.7,113.6,485.0,466.1,170.2,241.4,836.1,333.8,577.0,334.3,468.8,545.2
HK,577.7,754.8,365.3,369.3,2937.0,974.3,247.8,767.1,735.5,507.7,1195.3,34.0,662.8,1190.3,638.5,1208.2,879.2,1127.1,913.0,790.6,631.9,816.8,1062.0,746.8,867.9,462.3,370.1,284.3,254.8,1005.5,364.8,1218.3,67.0,341.8,112.8,1002.1,789.4,771.8,901.4,0.0,348.2,262.0,1140.4,1131.9,440.6,122.1,364.8,1079.3,750.9,261.4,502.5,727.1,463.2,958.8,870.7,1068.7,838.9,1107.6,753.0,503.9,161.9,362.0,825.5,273.4,1189.8,88.6,367.6,606.9,721.0,913.3,731.8,1092.2,953.1,322.0,1189.4,902.1,250.4,502.5,1140.5,377.5,390.6,691.2,280.8,391.2,680.2,93.8,496.9,258.6,887.1,1110.9,346.7,1134.0,865.0,237.4,718.9,1133.5,808.1,403.8,752.2,950.2,350.9,1107.7,988.5,81.2,343.0,1127.3,1124.1,881.6,879.3,1052.5,404.2,368.5,565.3,1054.9,776.9,905.9,637.2,656.9,970.6,968.7,293.5,731.0,686.6,1054.6,718.8,736.0
HM,307.6,484.7,77.2,61.8,2666.9,704.2,336.2,497.0,465.4,237.6,925.2,338.6,392.7,920.2,368.4,938.1,609.1,857.0,642.9,520.5,361.8,546.7,791.9,476.7,597.8,114.0,82.0,262.3,343.2,735.4,96.4,948.2,394.0,139.2,337.6,732.0,519.3,501.7,631.3,362.2,0.0,350.4,870.3,861.8,92.3,346.9,96.4,809.2,480.8,342.9,232.4,457.0,193.1,688.7,600.6,798.6,568.8,837.5,482.9,233.8,250.3,141.1,555.4,251.4,919.7,299.7,57.3,336.8,450.9,643.2,461.7,822.1,683.0,171.1,919.3,632.0,338.8,232.4,870.4,181.2,126.3,421.1,243.5,199.9,410.1,366.2,226.8,336.7,617.0,840.8,150.4,863.9,594.9,183.2,448.8,863.4,538.0,115.7,482.1,680.1,81.4,837.6,718.4,366.0,192.1,857.2,854.0,611.5,609.2,782.4,55.9,204.5,295.2,784.8,506.8,635.8,367.1,386.8,700.5,698.6,239.3,460.9,416.5,784.5,448.7,465.9
HP,561.0,738.1,348.6,352.6,2920.3,957.6,47.3,750.4,718.8,491.0,1178.6,234.5,646.1,1173.6,621.8,1191.5,862.5,1110.4,896.3,773.9,615.2,800.1,1045.3,730.1,851.2,445.6,353.4,267.6,54.3,988.8,348.1,1201.6,286.3,325.1,212.5,985.4,772.7,755.1,884.7,258.1,331.5,0.0,1123.7,1115.2,423.9,221.8,348.1,1062.6,734.2,68.2,485.8,710.4,446.5,942.1,854.0,1052.0,822.2,1090.9,736.3,487.2,96.9,345.3,808.8,256.7,1173.1,235.6,350.9,590.2,704.3,896.6,715.1,1075.5,936.4,305.3,1172.7,885.4,8.8,485.8,1123.8,360.8,373.9,674.5,264.1,374.5,663.5,262.1,480.2,147.5,870.4,1094.2,330.0,1117.3,848.3,220.7,702.2,1116.8,791.4,387.1,735.5,933.5,334.2,1091.0,971.8,240.9,326.3,1110.6,1107.4,864.9,862.6,1035.8,387.5,351.8,548.6,1038.2,760.2,889.2,620.5,640.2,953.9,952.0,276.8,714.3,669.9,1037.9,702.1,719.3
HR,791.6,599.2,919.3,948.5,3109.3,162.8,1160.3,645.7,497.1,779.5,156.4,1162.7,639.2,151.4,641.1,169.3,475.1,107.7,359.4,571.5,573.4,382.8,254.5,407.9,373.8,999.8,924.1,1086.4,1167.3,350.3,938.5,179.4,1218.1,970.9,1161.7,306.0,472.2,650.4,397.4,1186.3,985.8,1174.5,0.0,149.5,1002.9,1171.0,938.5,162.7,629.5,1167.0,882.7,487.1,730.8,502.2,480.3,286.1,534.2,158.0,631.6,789.8,1074.4,983.2,588.4,1075.5,150.9,1123.8,946.8,573.2,481.0,407.0,669.6,215.4,308.5,954.8,102.5,264.3,1162.9,882.7,161.8,1010.3,968.4,531.3,1067.6,1024.0,618.0,1190.3,764.5,1160.8,437.9,234.1,979.5,79.8,508.7,1007.3,683.1,172.5,686.7,957.8,771.2,394.7,968.1,150.0,463.3,1190.1,975.8,124.9,214.6,373.3,300.4,165.9,986.1,1001.3,779.2,220.5,468.3,352.3,613.6,594.7,384.7,509.7,1063.4,552.4,705.6,273.4,597.4,673.8
HX,769.2,576.8,896.9,926.1,3193.3,265.9,1137.9,622.8,600.2,757.1,242.8,1140.3,616.8,237.8,618.7,255.7,578.2,70.0,462.5,674.1,551.0,360.4,232.1,491.9,476.9,977.4,901.7,1064.0,1144.9,410.9,916.1,265.8,1195.7,948.5,1139.3,409.1,575.3,628.0,500.5,1163.9,963.4,1152.1,180.8,0.0,980.5,1148.6,915.6,68.0,607.1,1144.6,860.3,555.6,708.4,605.3,467.2,388.7,636.8,63.3,609.2,767.4,1051.5,960.8,691.5,1053.1,237.3,1100.7,924.4,550.8,564.3,509.6,647.2,343.5,411.6,932.4,188.9,364.5,1140.5,860.3,96.2,987.9,946.0,576.1,1045.2,1001.6,595.1,1167.9,742.1,1137.9,541.0,362.2,957.1,76.9,611.8,984.9,660.2,88.7,664.3,935.4,748.8,372.3,945.7,230.9,565.9,1167.7,953.4,181.8,342.2,475.9,400.6,182.3,963.7,978.9,756.8,348.6,445.9,449.8,591.2,572.3,487.8,612.3,1040.6,539.3,683.2,251.0,575.0,651.4
IG,404.3,581.4,173.9,158.5,2763.6,800.9,432.9,593.7,562.1,334.3,1021.9,435.3,489.4,1016.9,465.1,1034.8,705.8,953.7,739.6,617.2,458.5,643.4,888.6,573.4,694.5,65.2,178.7,359.0,439.9,832.1,193.1,1044.9,490.7,235.9,434.3,828.7,616.0,598.4,728.0,458.9,96.6,447.1,967.0,958.5,0.0,443.6,193.1,905.9,577.5,439.6,329.1,553.7,289.8,785.4,697.3,895.3,665.5,934.2,579.6,330.5,347.0,237.8,652.1,348.1,1016.4,396.4,154.0,433.5,547.6,739.9,558.4,918.8,779.7,267.8,1016.0,728.7,435.5,329.1,967.1,277.9,223.0,517.8,340.2,296.6,506.8,462.9,323.5,433.4,713.7,937.5,247.1,960.6,691.6,279.9,545.5,960.1,634.7,212.4,578.8,776.8,178.1,934.3,815.1,462.7,288.8,953.9,950.7,708.2,705.9,879.1,45.0,301.2,391.9,881.5,603.5,732.5,463.8,483.5,797.2,795.3,336.0,557.6,513.2,881.2,545.4,562.6
IJ,548.9,726.0,336.5,340.5,2908.2,945.5,219.0,738.3,706.7,478.9,1166.5,106.7,634.0,1161.5,609.7,1179.4,850.4,1098.3,884.2,761.8,603.1,788.0,1033.2,718.0,839.1,433.5,341.3,255.5,226.0,976.7,336.0,1189.5,137.8,313.0,6.4,973.3,760.6,743.0,872.6,127.9,319.4,233.2,1111.6,1103.1,411.8,0.0,336.0,1050.5,722.1,232.6,473.7,698.3,434.4,930.0,841.9,1039.9,810.1,1078.8,724.2,475.1,133.1,333.2,796.7,244.6,1161.0,161.3,338.8,578.1,692.2,884.5,703.0,1063.4,924.3,293.2,1160.6,873.3,221.6,473.7,1111.7,348.7,361.8,662.4,252.0,362.4,651.4,166.5,468.1,229.8,858.3,1082.1,317.9,1105.2,836.2,208.6,690.1,1104.7,779.3,375.0,723.4,921.4,322.1,1078.9,959.7,92.4,314.2,1098.5,1095.3,852.8,850.5,1023.7,375.4,339.7,536.5,1026.1,748.1,877.1,608.4,628.1,941.8,939.9,264.7,702.2,657.8,1025.8,690.0,707.2
IO,341.5,518.6,19.1,115.1,2700.8,738.1,339.9,530.9,499.3,271.5,959.1,342.3,426.6,954.1,402.3,972.0,643.0,890.9,676.8,554.4,395.7,580.6,825.8,510.6,631.7,208.1,14.3,266.0,346.9,769.3,0.0,982.1,397.7,175.3,341.3,765.9,553.2,535.6,665.2,365.9,94.0,354.1,904.2,895.2,186.4,350.6,0.0,843.1,514.7,346.6,266.3,490.9,227.0,722.6,634.5,832.5,602.7,871.4,516.8,267.7,254.0,44.6,589.3,255.1,953.6,302.7,113.4,370.7,484.8,677.1,495.6,856.0,716.9,74.6,953.2,665.9,342.5,266.3,904.3,84.7,29.8,455.0,247.2,103.4,444.0,369.9,260.7,340.4,650.9,874.7,53.9,897.8,628.8,186.9,482.7,897.3,571.9,72.5,516.0,714.0,134.7,871.5,752.3,369.7,95.6,891.1,887.9,645.4,643.1,816.3,150.0,108.0,329.1,818.7,540.7,669.7,401.0,420.7,734.4,732.5,242.6,494.8,450.4,818.4,482.6,499.8
IP,707.0,514.6,834.7,863.9,3131.1,203.7,1075.7,561.1,538.0,694.9,246.4,1078.1,554.6,241.4,556.5,259.3,516.0,73.6,400.3,612.4,488.8,298.2,169.9,429.7,414.7,915.2,839.5,1001.8,1082.7,348.7,853.9,269.4,1133.5,886.3,1077.1,346.9,513.1,565.8,438.3,1101.7,901.2,1089.9,184.4,78.4,918.3,1086.4,853.9,0.0,544.9,1082.4,798.1,493.4,646.2,543.1,405.0,327.0,575.1,54.1,547.0,705.2,989.8,898.6,629.3,990.9,240.9,1039.2,862.2,488.6,502.1,447.9,585.0,413.3,349.4,870.2,192.5,302.3,1078.3,798.1,87.0,925.7,883.8,513.9,983.0,939.4,533.4,1105.7,679.9,1076.2,478.8,432.0,894.9,80.5,549.6,922.7,598.5,80.0,602.1,873.2,686.6,310.1,883.5,234.5,504.2,1105.5,891.2,185.4,412.5,414.2,338.4,126.9,901.5,916.7,694.6,390.2,383.7,393.2,529.0,510.1,425.6,550.6,978.8,477.1,621.0,188.8,512.8,589.2
IX,374.7,176.1,502.4,531.6,2814.9,488.0,743.4,22.1,323.0,362.6,709.0,745.8,161.9,704.0,242.2,721.9,466.7,593.9,426.7,378.1,255.6,283.6,528.8,260.5,381.6,624.6,507.2,669.5,750.4,519.2,521.6,732.0,801.2,554.0,744.8,525.3,376.9,68.9,415.1,769.4,510.5,757.6,654.1,598.7,602.9,754.1,521.6,546.1,0.0,750.1,465.8,188.7,313.9,546.3,292.0,505.4,426.4,574.4,50.1,372.9,657.5,566.3,413.0,658.6,703.5,706.9,529.9,230.6,197.4,436.9,192.3,605.9,466.8,537.9,656.2,415.8,746.0,465.8,607.3,593.4,551.5,227.2,650.7,607.1,140.7,773.4,347.6,743.9,474.6,624.6,562.6,600.8,452.5,590.4,205.8,600.3,164.5,540.9,293.9,463.9,551.2,621.4,530.6,773.2,558.9,641.0,637.8,395.3,393.0,519.3,566.5,584.4,362.3,568.6,315.0,419.6,136.3,117.4,492.6,556.2,646.5,190.4,228.3,521.4,33.9,196.5
IY,563.5,740.6,351.1,355.1,2922.8,960.1,5.9,752.9,721.3,493.5,1181.1,237.0,648.6,1176.1,624.3,1194.0,865.0,1112.9,898.8,776.4,617.7,802.6,1047.8,732.6,853.7,448.1,355.9,270.1,26.9,991.3,350.6,1204.1,288.8,327.6,215.0,987.9,775.2,757.6,887.2,260.6,334.0,52.7,1126.2,1117.7,426.4,224.3,350.6,1065.1,736.7,0.0,488.3,712.9,449.0,944.6,856.5,1054.5,824.7,1093.4,738.8,489.7,99.4,347.8,811.3,259.2,1175.6,238.1,353.4,592.7,706.8,899.1,717.6,1078.0,938.9,307.8,1175.2,887.9,41.1,488.3,1126.3,363.3,376.4,677.0,266.6,377.0,666.0,264.6,482.7,132.0,872.9,1096.7,332.5,1119.8,850.8,223.2,704.7,1119.3,793.9,389.6,738.0,936.0,336.7,1093.5,974.3,243.4,328.8,1113.1,1109.9,867.4,865.1,1038.3,390.0,354.3,551.1,1040.7,762.7,891.7,623.0,642.7,956.4,954.5,279.3,716.8,672.4,1040.4,704.6,721.8
JA,284.3,461.4,216.8,246.0,2741.9,732.8,457.8,473.7,505.7,214.3,953.8,460.2,369.4,948.8,345.1,966.7,649.4,810.4,712.0,560.8,338.5,500.1,745.3,545.8,666.9,339.0,221.6,383.9,464.8,764.0,236.0,976.8,515.6,268.4,459.2,770.1,559.6,478.4,700.4,483.8,224.9,472.0,898.9,815.2,317.3,468.5,236.0,762.6,457.5,464.5,0.0,474.0,169.8,729.0,577.3,750.2,609.1,790.9,459.6,149.0,371.9,280.7,595.7,373.0,948.3,421.3,244.3,313.5,482.7,683.5,438.4,850.7,694.0,252.3,872.7,660.6,460.4,0.0,823.8,307.8,265.9,461.4,365.1,321.5,386.8,487.8,203.5,458.3,657.3,869.4,277.0,817.3,635.2,304.8,425.5,816.8,514.7,255.3,458.8,708.7,265.6,866.2,758.7,487.6,273.3,885.8,882.6,680.6,637.8,735.8,280.9,298.8,271.9,813.4,483.5,704.9,343.8,363.5,740.8,738.9,360.9,475.7,393.2,737.9,425.4,442.6
