from_stop,AD,AE,AH,AJ,AL,AO,AQ,AR,AX,AY,BH,BJ,BL,BO,BR,CB,CH,CJ,CK,CL,CP,CQ,CS,CY,DA,DH,DJ,DM,DN,DO,DT,DW,DX,EB,EC,EG,EH,EQ,EU,EX,EZ,FG,FM,FN,FO,FT,FU,GE,GG,GH,GI,GJ,GT,GV,HD,HG,HJ,HK,HQ,HR,HT,HY,IB,IC,ID,IN,IU,IV,IW,IX,JA,JK,JS,KJ,KL,KN,KS,KV,LF,LG,LJ,LM,LV,ME,MF,MH,MN,MY,NB,NC,NG,NH,NK,NL,NM,NO,NT,NW,NZ,OB,OE,OG,OI,OJ,OL,OP,OS,OT,OV,OY,PA,PE,PG,PH,PI,PO,PR,PS,PT,QG,QJ,QO,QP,QX,RB,RC,RJ,RM,RN,RP,RS,RT,RW,SA,SN,SS,ST,SU,SX,SY,SZ,TS,TT,TU,TW,TX,UB,UF,UJ,UQ,UT,UU,UX,VA,VK,VQ,VV,VZ,WI,WM,WN,WQ,WY,XH,XI,XN,XO,XQ,XZ,YG,YJ,YL,YN,YT,ZB,ZF,ZG,ZJ,ZQ,ZU
NB,902.1,353.8,936.6,390.4,436.1,1121.8,587.0,412.8,830.0,1050.9,716.8,681.0,910.9,677.0,1005.8,767.5,854.4,1087.0,558.6,1138.4,1251.6,864.1,1506.6,620.2,835.0,575.9,505.9,1204.9,750.3,860.0,527.7,633.2,898.9,630.7,1102.7,237.0,792.9,614.0,251.5,644.9,205.0,896.2,677.6,182.5,914.9,623.0,1052.1,924.3,415.3,666.0,498.6,1141.0,891.2,529.3,920.8,1131.8,456.3,586.4,428.8,1017.5,640.2,1028.7,582.7,587.4,907.9,416.5,867.4,762.5,516.3,577.7,455.8,898.6,621.8,1077.2,684.4,480.2,738.8,936.1,670.8,697.4,543.7,555.1,1040.0,763.5,1029.2,885.8,501.1,600.9,0.0,1109.9,959.6,447.3,1245.7,1147.4,1110.0,548.2,1019.0,1112.6,486.5,1093.9,982.2,316.1,1058.8,865.9,826.4,940.3,926.0,497.1,1076.0,415.0,479.4,567.2,668.5,362.9,602.8,454.7,534.6,716.2,1036.8,1019.0,573.8,1076.8,1112.2,659.8,516.3,996.0,710.8,775.7,663.7,440.9,381.6,473.4,1070.6,417.1,604.9,900.4,980.2,655.4,831.1,1037.6,702.3,681.6,1076.4,391.3,798.5,731.2,1071.8,1174.4,620.4,596.2,343.1,1200.2,1028.3,431.2,1105.3,1134.4,539.3,1154.6,694.2,441.3,594.0,657.3,686.6,507.6,935.5,591.3,694.7,181.8,1233.4,669.1,878.8,746.2,1015.8,685.6,297.2,353.7,552.8,642.4,566.7,676.4
NC,283.9,1079.2,304.0,1036.8,1080.0,68.4,929.2,1122.5,420.3,304.8,1562.5,1630.5,387.3,1522.7,210.0,1714.6,395.9,22.8,963.6,149.9,263.0,359.4,2268.8,1465.9,385.2,589.8,980.4,209.1,1699.7,349.2,1104.0,699.4,388.1,1476.4,7.1,986.4,480.6,1457.4,983.4,1488.3,992.7,306.4,515.3,1018.1,311.8,627.1,204.9,366.8,1082.6,1613.1,792.1,49.3,245.4,802.8,229.9,90.1,708.7,653.7,1115.4,110.4,661.8,243.7,525.7,671.1,225.0,932.4,368.2,1711.9,705.4,986.0,1025.4,343.3,706.1,32.6,1580.5,1044.3,1546.1,232.3,1569.2,1543.1,1064.0,1124.7,169.5,1712.9,280.1,303.7,1259.9,938.2,1146.1,0.0,225.3,1032.1,252.2,153.9,0.0,1393.9,190.2,0.4,1054.7,42.6,183.5,885.5,296.8,395.4,340.0,282.4,284.8,1113.2,33.8,815.1,780.4,996.2,1514.2,934.3,1448.5,1132.6,997.4,476.8,78.2,91.1,1141.1,33.0,2.2,1505.5,705.4,133.0,1660.2,1621.4,1509.4,876.9,1049.9,1085.8,190.1,784.9,688.7,397.8,243.7,1498.8,310.6,208.8,1548.0,1525.0,183.9,1066.7,479.6,1538.5,146.0,248.1,704.1,620.8,987.8,213.8,82.3,947.1,106.0,207.0,988.1,186.1,1624.3,1053.3,686.2,1503.0,1616.7,1025.1,294.3,1437.0,488.3,959.3,237.6,1512.5,359.6,494.2,185.3,1572.4,1149.5,898.0,1003.9,1488.1,814.2,1574.8
NG,334.4,828.5,262.5,865.1,892.8,272.6,1085.6,869.5,239.4,441.3,1550.8,1545.4,208.7,1511.0,395.6,1631.9,215.0,181.2,1033.3,354.1,501.1,178.5,2262.6,1454.2,209.4,417.5,980.6,415.6,1614.7,185.4,984.4,529.3,224.3,1464.7,196.9,814.1,307.3,1448.0,811.1,1478.9,820.4,196.1,345.2,845.8,347.2,457.0,291.2,185.9,892.1,1530.4,619.8,254.0,267.5,632.7,139.7,294.3,536.1,481.4,885.5,314.6,491.7,285.8,353.4,498.8,249.4,760.1,187.3,1626.9,533.1,1052.4,912.5,162.4,536.0,171.4,1518.4,954.9,1553.5,256.7,1504.8,1531.4,1000.4,1011.8,373.7,1627.9,413.6,336.7,1210.8,1094.6,973.8,204.1,0.0,834.0,456.4,358.1,204.2,1382.2,314.9,206.8,961.2,246.8,121.8,713.2,430.3,214.5,176.2,240.9,406.4,941.5,170.2,642.8,604.1,1041.9,1502.5,762.0,1436.8,881.9,1009.3,306.7,131.0,113.2,1030.5,171.0,206.4,1493.8,533.1,235.1,1575.2,1644.6,1497.7,704.6,856.3,930.1,394.3,612.6,518.6,216.9,379.3,1489.4,325.7,333.5,1536.3,1515.6,388.1,894.4,298.7,1545.9,350.2,423.9,531.8,453.0,817.8,449.7,122.5,774.8,199.5,411.2,1014.0,390.3,1528.2,918.1,513.9,1491.3,1520.6,964.3,415.9,1425.3,316.0,787.0,444.1,1503.1,178.7,324.1,110.0,1519.6,1060.4,725.7,1027.5,1476.4,644.1,1510.4
NH,765.1,85.2,799.6,143.5,312.4,984.8,222.5,270.8,693.0,821.7,949.5,1017.4,773.9,909.7,868.8,1103.9,717.4,950.0,253.6,1001.4,995.9,727.1,1655.8,852.9,698.0,438.9,273.7,1067.9,1086.7,723.0,395.9,599.7,761.9,863.4,965.7,408.2,655.9,846.7,361.9,877.6,275.8,759.2,555.2,373.9,777.9,529.4,915.1,787.3,149.4,1002.4,667.2,1004.0,754.2,755.4,783.8,994.8,575.5,449.4,310.1,880.5,536.4,891.7,445.7,538.2,770.9,642.6,730.4,1098.9,464.6,279.4,362.5,761.6,642.7,940.2,969.8,280.0,933.1,799.1,956.2,930.1,431.1,388.2,903.0,1099.9,892.2,748.8,643.9,231.5,451.8,972.9,822.6,0.0,1108.7,1010.4,973.0,780.9,882.0,975.6,286.3,956.9,845.2,399.6,831.7,728.9,689.4,803.3,789.0,296.9,939.0,641.1,724.1,291.8,901.2,355.7,835.5,254.5,290.7,593.8,899.8,882.0,406.9,939.8,975.2,892.5,464.6,859.0,1047.2,1008.4,896.4,661.7,55.9,323.6,933.6,564.1,571.9,763.4,843.2,888.1,694.1,900.6,935.0,914.3,939.4,679.4,661.5,925.5,934.8,1113.1,587.3,592.0,95.6,1070.3,891.3,657.3,968.3,997.4,283.7,1017.6,1011.3,122.4,445.4,890.0,1003.7,412.1,798.5,824.0,557.7,381.1,1096.4,901.8,741.8,623.8,878.8,961.7,527.8,437.3,297.2,875.1,773.8,961.8
NK,466.6,1092.3,612.7,1112.4,1065.2,326.4,914.4,1107.7,670.7,278.3,1547.7,1615.6,628.7,1507.9,339.7,1702.1,635.0,327.2,945.5,234.2,79.8,598.5,2254.0,1451.1,617.4,745.7,965.6,45.9,1684.9,623.4,1091.5,842.4,662.3,1461.6,311.5,1142.3,659.8,1444.9,1139.3,1475.8,1148.6,616.1,658.3,1174.0,494.5,770.1,444.0,605.9,1067.8,1600.6,927.0,307.8,484.5,945.8,469.0,276.7,864.3,809.6,1100.6,251.8,804.8,482.8,681.6,827.0,466.4,1088.3,607.3,1697.1,861.3,971.3,1010.6,582.4,849.1,337.0,1568.0,1031.8,1531.3,442.9,1554.4,1528.3,1049.2,1109.9,310.2,1698.1,348.9,481.4,1242.1,923.4,1302.0,304.3,529.7,1045.2,0.0,143.0,304.2,1379.1,293.7,301.5,1039.9,331.2,512.3,1041.4,288.3,634.5,608.8,591.1,446.7,1094.1,338.2,971.0,917.2,983.7,1499.4,1090.2,1433.7,1120.1,982.6,619.8,378.5,395.7,1128.6,337.4,302.0,1490.7,861.3,374.4,1645.4,1606.6,1494.6,1032.8,1063.0,1071.0,288.0,940.8,831.7,636.9,385.1,1486.3,478.3,275.1,1533.2,1512.5,298.0,1222.6,718.7,1523.7,286.7,139.9,837.7,766.1,1102.7,126.7,386.7,1103.0,410.4,323.3,975.6,270.4,1609.5,1040.8,842.1,1488.2,1601.9,1010.3,435.9,1422.2,623.6,1115.2,29.8,1500.0,598.7,637.2,489.7,1559.9,1137.0,1053.9,989.1,1473.3,957.2,1560.0
NL,321.8,1127.2,516.9,1075.3,1100.1,234.9,949.3,1142.6,516.0,313.2,1491.3,1455.5,485.3,1451.5,285.7,1542.0,491.6,235.7,980.4,173.5,128.6,455.1,2186.7,1394.7,486.0,627.7,1000.5,77.0,1524.8,480.0,1126.4,737.3,518.9,1405.2,220.0,1024.3,554.7,1388.5,1021.3,1419.4,1030.6,472.7,553.2,1056.0,349.7,665.0,300.6,462.5,1102.7,1440.5,830.0,216.3,341.1,840.7,325.6,185.2,746.3,691.6,1135.5,148.3,699.7,339.4,563.6,709.0,323.0,970.3,463.9,1537.0,743.3,1006.2,1045.5,439.0,744.0,245.5,1500.7,1066.7,1464.0,339.4,1487.1,1471.9,1084.1,1144.8,218.7,1538.0,303.7,341.6,1300.2,958.3,1184.0,212.8,438.2,1080.1,117.8,0.0,212.7,1322.7,207.5,210.0,1074.8,239.7,368.9,923.4,323.2,491.1,470.8,495.3,322.7,1129.0,246.7,853.0,812.1,1018.6,1443.0,972.2,1377.3,1155.0,1017.5,514.7,287.0,304.2,1163.5,245.9,210.5,1434.3,743.3,231.0,1485.3,1550.2,1438.2,914.8,1097.9,1105.9,227.3,822.8,726.6,493.5,281.6,1429.9,373.2,247.9,1476.8,1456.1,207.5,1104.6,575.3,1456.4,195.2,122.2,742.0,661.0,1137.6,79.4,295.2,985.0,318.9,230.6,1010.5,209.7,1468.7,1075.7,724.1,1431.8,1461.1,1045.2,332.2,1365.8,526.2,997.2,105.5,1443.6,455.3,532.1,398.2,1492.6,1171.9,935.9,1024.0,1416.9,852.1,1492.7
NM,283.8,1079.1,304.1,1037.3,1079.9,68.3,929.1,1122.4,420.2,307.0,1562.4,1630.3,389.5,1522.6,209.9,1716.8,395.8,22.9,960.2,149.8,262.9,359.3,2268.7,1465.8,390.2,589.7,980.3,211.3,1699.6,349.3,1106.2,699.3,388.2,1476.3,7.2,986.3,480.5,1459.6,983.3,1490.5,992.6,306.5,515.2,1018.0,311.7,627.0,204.8,366.7,1082.5,1615.3,792.0,49.7,245.3,802.7,229.8,90.0,708.3,653.6,1115.3,110.3,661.7,243.6,525.6,671.0,227.2,932.3,368.1,1711.8,705.3,986.0,1025.3,343.2,706.0,32.7,1582.7,1046.5,1546.0,234.5,1569.1,1543.0,1063.9,1124.6,169.4,1712.8,280.0,303.6,1256.8,938.1,1146.0,0.0,225.4,1032.0,252.1,153.8,0.0,1393.8,190.1,2.5,1054.6,42.5,182.3,885.4,296.7,395.3,340.1,282.5,284.7,1108.8,33.9,815.0,774.1,998.4,1514.1,934.2,1448.4,1134.8,997.3,476.7,74.2,91.4,1143.3,33.1,2.1,1505.4,705.3,135.2,1660.1,1621.3,1509.3,876.8,1049.8,1085.7,190.0,784.8,688.6,397.7,243.6,1501.0,310.5,208.7,1547.9,1527.2,183.8,1066.6,479.5,1538.4,145.9,248.0,704.0,623.0,990.0,213.7,82.4,947.0,106.1,206.9,990.3,186.0,1624.2,1055.5,686.1,1502.9,1616.6,1025.0,294.2,1436.9,488.2,959.2,239.8,1514.7,359.5,494.1,185.4,1574.6,1151.7,897.9,1003.8,1488.0,814.1,1574.7
NO,1242.0,740.6,1368.3,759.7,639.7,1364.6,587.8,704.2,1261.7,1203.7,225.2,189.4,1342.6,185.4,1253.3,275.9,1286.1,1365.4,618.9,1256.8,1263.3,1295.1,1565.8,71.9,1266.0,1007.6,689.1,1300.2,258.7,1291.0,669.5,1018.2,1329.9,82.4,1349.7,640.0,1224.6,65.7,640.1,153.3,591.8,1327.9,1062.6,551.3,1272.4,1008.0,1412.4,1356.0,738.4,174.4,883.6,1346.0,1289.2,989.9,1351.8,1314.9,841.3,1024.0,670.7,1297.8,1025.2,1426.7,1013.7,972.4,1305.9,801.5,1299.1,270.9,901.3,760.9,588.6,1330.3,1006.8,1375.2,191.2,722.6,247.2,1334.1,177.6,205.8,623.7,687.9,1320.3,271.9,1241.7,1232.2,373.6,596.8,593.7,1342.5,1435.8,724.9,1293.4,1336.6,1342.4,0.0,1299.3,1339.7,696.3,1369.4,1413.2,719.1,1213.7,1297.6,1257.4,1372.0,1202.9,661.4,1376.4,800.0,864.4,750.4,176.9,745.4,54.5,716.6,656.0,1101.2,1416.7,1411.9,706.6,1375.6,1340.2,168.2,901.3,1342.8,219.2,284.1,172.1,849.9,768.4,670.0,1325.2,802.1,989.9,1332.1,1306.0,163.8,1229.1,1284.0,210.7,190.0,1288.9,758.2,1186.9,239.6,1352.1,1327.4,1005.4,981.2,729.9,1314.2,1421.2,816.2,1448.6,1346.9,722.5,1293.0,202.6,764.4,979.0,165.7,195.0,584.8,1192.1,43.0,1125.7,584.8,1291.2,145.9,1310.5,1131.2,1361.4,183.1,427.6,756.7,736.0,109.4,990.6,183.2
NT,227.3,932.7,388.7,1009.0,1044.2,161.5,893.4,947.3,365.6,126.3,1526.7,1594.6,334.9,1486.9,80.6,1681.1,341.2,218.4,924.5,129.7,292.6,304.7,2233.0,1430.1,335.6,495.3,944.6,241.0,1663.9,329.6,1070.5,637.4,368.5,1440.6,202.7,891.9,425.9,1423.9,888.9,1454.8,898.2,322.3,453.3,923.6,255.2,565.1,150.2,312.1,1035.8,1579.6,722.0,180.7,190.7,740.8,175.2,167.9,613.9,559.2,1079.6,53.6,599.8,189.0,431.2,576.6,172.6,837.9,313.5,1676.1,610.9,950.3,989.6,288.6,644.1,228.2,1547.0,1010.8,1510.3,179.9,1533.4,1507.3,1028.2,1088.9,76.1,1677.1,98.6,247.1,1221.1,902.4,1051.6,195.5,302.7,885.6,281.8,183.5,195.4,1358.1,0.0,192.7,1018.9,133.6,218.5,791.0,115.3,340.7,320.4,367.1,189.4,1073.1,229.4,720.6,712.2,962.7,1478.4,839.8,1412.7,959.7,961.6,414.8,269.7,302.6,1107.6,228.6,193.2,1469.7,610.9,80.6,1624.4,1585.6,1473.6,782.4,903.4,1050.0,106.7,690.4,626.7,343.1,149.2,1465.3,255.9,18.6,1512.2,1491.5,67.7,972.2,424.9,1502.7,107.9,286.2,632.7,561.1,943.1,243.4,311.9,852.6,301.6,117.6,954.6,141.6,1588.5,1008.8,591.7,1467.2,1580.9,989.3,178.6,1401.2,418.6,864.8,269.5,1479.0,304.9,432.2,358.9,1538.9,1116.0,803.5,968.1,1452.3,752.2,1539.0
NW,281.2,1076.5,306.8,1034.7,1077.3,65.7,926.5,1119.8,417.6,304.4,1559.8,1627.8,386.9,1520.0,207.3,1714.2,393.2,25.6,960.9,147.2,260.3,356.7,2266.1,1463.2,384.8,587.1,977.7,208.7,1697.0,381.6,1103.6,696.7,420.5,1473.7,9.9,983.7,477.9,1457.0,980.7,1487.9,990.0,309.2,512.6,1015.4,309.1,624.4,202.2,364.1,1079.9,1612.7,789.4,46.6,242.7,800.1,227.2,87.4,705.7,651.0,1112.7,107.7,659.1,241.0,523.0,668.4,224.6,929.7,365.5,1709.2,702.7,983.3,1022.7,340.6,703.4,35.4,1580.1,1043.9,1543.4,231.9,1566.5,1540.4,1061.3,1122.0,166.8,1710.2,277.4,301.0,1257.2,935.5,1143.4,0.4,228.1,1029.4,249.5,151.2,2.6,1391.2,187.5,0.0,1052.0,39.9,185.0,882.8,294.1,392.7,372.4,285.2,282.1,1106.2,36.6,812.4,777.7,995.8,1511.5,931.6,1445.8,1132.2,994.7,474.1,81.0,93.9,1140.7,35.8,0.4,1502.8,702.7,132.6,1657.5,1618.7,1506.7,874.2,1047.2,1083.1,187.4,782.2,686.0,395.1,241.0,1498.4,307.9,206.1,1545.3,1524.6,181.2,1064.0,476.9,1535.8,143.3,245.4,701.4,620.4,987.4,211.1,85.1,944.4,108.8,204.3,987.7,183.4,1621.6,1052.9,683.5,1500.3,1614.0,1022.4,291.6,1434.3,485.6,956.6,237.2,1512.1,356.9,491.5,188.1,1572.0,1149.1,895.3,1001.2,1485.4,811.5,1572.1
NZ,903.3,170.9,937.8,140.3,137.6,1123.0,129.6,138.2,831.2,1028.0,877.6,841.8,912.1,837.8,1007.0,928.3,855.6,1088.2,86.8,1056.1,1062.6,865.3,1648.6,781.0,836.2,577.1,133.8,1099.5,911.1,861.2,206.5,737.9,900.1,791.5,1103.9,505.1,794.1,774.8,415.3,805.7,329.2,897.4,693.4,427.3,916.1,667.6,1053.3,925.5,119.0,826.8,805.4,1142.2,892.4,843.8,922.0,1114.2,713.7,587.6,135.3,1018.7,674.6,1029.9,583.9,676.4,909.1,731.0,868.6,923.3,602.8,147.0,173.1,899.8,780.9,1078.4,845.2,103.2,889.4,937.3,831.6,858.2,241.7,198.8,1041.2,924.3,1030.4,887.0,494.9,115.8,505.2,1111.1,960.8,264.4,1092.7,1148.6,1111.2,709.0,1020.2,1113.8,0.0,1095.1,983.4,478.6,1060.0,867.1,827.6,941.5,927.2,107.5,1077.2,729.5,793.9,151.9,829.3,453.2,763.6,121.9,109.1,732.0,1038.0,1020.2,217.5,1078.0,1113.4,820.6,602.8,997.2,871.6,936.5,824.5,750.1,198.7,134.2,1071.8,702.3,710.1,901.6,981.4,816.2,832.3,1038.8,863.1,842.4,1077.6,805.1,799.7,881.8,1073.0,1126.7,725.5,730.2,160.2,1113.5,1029.5,745.7,1106.5,1135.6,143.8,1155.8,855.0,145.0,583.6,818.1,847.4,263.1,936.7,752.1,695.9,478.0,1090.5,829.9,880.0,762.0,1017.0,846.4,439.0,516.2,157.3,803.2,843.6,837.2
OB,279.8,979.8,400.7,1016.4,1110.5,98.9,959.7,1020.8,377.6,273.9,1593.0,1660.9,346.9,1553.2,228.2,1747.4,353.2,89.1,990.8,180.4,293.5,316.7,2299.3,1496.4,347.6,568.8,1010.9,241.9,1730.2,341.6,1136.8,654.9,380.5,1506.9,73.4,965.4,437.9,1490.2,962.4,1521.1,971.7,334.3,470.8,997.1,274.7,582.6,162.2,324.1,1043.4,1645.9,739.5,80.3,202.7,758.3,187.2,120.6,687.4,632.7,1036.8,140.9,617.3,201.0,504.7,650.1,184.6,911.4,325.5,1742.4,684.4,1016.6,1055.9,300.6,661.6,98.9,1613.3,1077.1,1576.6,191.9,1599.7,1573.6,1094.5,1155.2,200.0,1743.4,246.2,296.9,1287.4,968.7,1125.1,66.2,314.7,1033.2,282.7,184.4,66.1,1424.4,147.5,63.4,1085.2,0.0,230.5,864.5,262.9,352.7,332.4,379.1,280.7,1139.4,100.1,794.1,729.7,1029.0,1544.7,913.3,1479.0,1033.2,1027.9,432.3,140.4,157.6,1173.9,99.3,63.9,1536.0,684.4,92.6,1690.7,1651.9,1539.9,855.9,1051.0,1116.3,220.6,763.9,644.2,355.1,239.6,1531.6,267.9,166.1,1578.5,1557.8,214.4,1037.8,436.9,1569.0,176.5,278.6,650.2,578.6,969.1,244.3,148.6,926.1,172.3,237.5,1020.9,216.6,1654.8,1086.1,665.2,1533.5,1647.2,1055.6,326.2,1467.5,436.1,938.3,270.4,1545.3,316.9,449.7,251.6,1605.2,1182.3,877.0,1034.4,1518.6,769.7,1605.3
OE,273.6,849.5,265.5,885.5,913.8,243.4,1071.2,890.5,242.4,354.2,1571.8,1566.5,210.4,1532.0,309.8,1651.6,218.0,152.0,1051.0,324.9,438.0,181.5,2330.1,1473.9,208.3,438.5,1001.6,386.4,1635.7,206.4,1004.1,550.3,245.3,1485.7,167.7,835.1,301.4,1467.7,832.1,1498.6,841.4,197.8,366.2,866.8,253.7,478.0,205.4,188.9,913.1,1550.1,640.8,224.3,181.7,653.7,52.0,265.1,557.4,502.4,906.5,285.4,512.7,200.0,374.4,519.8,162.3,781.1,189.0,1647.9,554.1,1073.3,933.5,165.4,557.0,142.2,1538.1,974.6,1574.5,169.6,1525.8,1552.4,1021.4,1032.8,268.1,1648.9,327.8,275.9,1234.8,1080.2,994.8,177.2,131.9,855.0,427.2,328.9,175.0,1403.2,229.1,177.6,982.2,217.6,0.0,734.2,344.5,217.5,195.9,243.9,362.3,966.8,141.0,663.8,631.3,1061.6,1523.5,783.0,1457.8,901.6,1030.3,327.7,97.5,84.2,1050.2,141.8,177.2,1514.8,552.8,148.0,1596.2,1665.6,1518.7,725.6,876.0,951.1,298.7,633.6,539.6,219.9,293.5,1509.1,246.9,247.7,1557.3,1536.6,296.9,915.4,301.7,1566.9,321.0,423.1,552.8,472.7,837.5,388.8,93.3,795.8,170.3,346.8,1033.7,361.1,1549.2,937.8,534.9,1512.3,1541.6,985.3,407.8,1446.3,337.0,808.0,416.2,1522.8,181.7,345.1,172.5,1539.3,1080.1,746.7,1048.5,1497.4,665.1,1531.4
OG,665.7,369.0,700.2,405.6,466.2,885.4,612.0,442.9,593.6,814.5,897.8,892.4,674.5,858.0,769.4,978.9,618.0,850.6,573.8,902.0,1020.1,627.7,1746.6,801.2,598.6,339.5,521.1,968.5,961.7,623.6,557.8,417.6,662.5,811.7,866.3,167.1,556.5,795.0,188.8,825.9,220.2,659.8,455.8,180.8,678.5,430.0,815.7,687.9,430.5,877.4,390.9,904.6,654.8,421.6,684.4,895.4,348.6,357.3,458.9,781.1,368.2,792.3,346.3,351.5,671.5,295.5,631.0,973.9,252.6,592.9,485.9,662.2,410.4,840.8,865.4,495.4,900.5,699.7,851.8,878.4,573.8,585.2,803.6,974.9,792.8,649.4,611.3,621.0,331.4,873.5,723.2,389.4,1009.3,911.0,873.6,729.2,782.6,876.2,501.7,857.5,745.8,0.0,822.4,629.5,590.0,703.9,689.6,512.3,839.6,307.3,371.7,582.4,849.5,207.2,783.8,469.9,549.8,494.4,800.4,782.6,603.9,840.4,875.8,840.8,252.6,759.6,922.2,991.6,844.7,327.9,396.8,503.5,834.2,309.4,389.8,664.0,743.8,836.4,594.7,801.2,883.3,862.6,840.0,331.7,562.1,892.9,835.4,1013.7,384.5,402.0,358.3,970.9,791.9,310.2,868.9,898.0,554.5,918.2,875.2,456.5,330.3,838.3,867.6,537.7,699.1,772.3,458.3,140.0,997.0,850.1,642.4,524.4,779.4,866.6,407.4,76.4,568.0,823.4,421.4,857.4
OI,216.0,869.5,507.4,945.8,961.2,231.7,810.4,1003.7,443.3,10.9,1443.7,1511.6,453.6,1403.9,51.3,1598.1,467.7,310.7,841.5,166.9,270.5,419.1,2150.0,1347.1,390.0,518.3,861.6,295.7,1580.9,415.0,987.5,615.0,453.9,1357.6,295.0,914.9,432.4,1340.9,911.9,1371.8,921.2,441.0,430.9,946.6,243.9,542.7,268.9,430.8,972.6,1496.6,699.6,250.9,282.6,718.4,293.9,260.2,636.9,582.2,996.6,145.9,577.4,307.7,454.2,599.6,264.5,860.9,432.2,1593.1,633.9,867.3,906.6,407.3,621.7,320.5,1464.0,927.8,1427.3,227.7,1450.4,1424.3,945.2,1005.9,168.4,1594.1,87.3,235.8,1138.1,819.4,1074.6,287.8,421.4,822.4,300.6,275.8,287.7,1275.1,118.6,285.0,935.9,252.3,337.2,814.0,0.0,453.8,381.4,485.8,178.1,990.1,321.7,743.6,689.8,879.7,1395.4,862.8,1329.7,1016.1,878.6,392.4,362.0,379.2,1024.6,320.9,285.5,1386.7,633.9,199.3,1541.4,1502.6,1390.6,805.4,840.2,967.0,141.2,713.4,604.3,488.3,169.9,1382.3,250.9,100.0,1429.2,1408.5,104.9,995.2,543.6,1419.7,176.8,338.1,610.3,538.7,879.9,335.7,370.2,875.6,393.9,162.9,871.6,183.1,1505.5,945.6,614.7,1384.2,1497.9,906.3,167.3,1318.2,396.2,887.8,298.4,1396.0,423.6,409.8,477.6,1455.9,1033.0,826.5,885.1,1369.3,729.8,1456.0
OJ,260.4,698.4,179.4,735.0,762.7,396.3,926.5,739.4,57.4,476.7,1423.4,1470.4,48.1,1383.6,431.0,1556.9,56.3,359.3,903.2,480.1,620.7,152.3,2218.9,1326.8,130.8,334.3,850.5,554.2,1539.7,234.1,854.3,418.0,273.0,1337.3,375.0,684.0,99.7,1320.6,681.0,1351.5,690.3,113.0,209.7,715.7,273.2,330.8,326.6,61.5,762.0,1455.4,496.3,415.5,267.5,524.5,175.1,472.4,428.4,435.4,755.4,366.8,365.5,321.2,245.7,417.0,284.2,652.4,77.8,1551.9,487.1,922.3,782.4,129.2,424.7,349.5,1391.0,824.8,1478.5,292.1,1377.4,1404.0,870.3,881.7,389.3,1552.9,449.0,262.7,1080.7,935.5,843.7,382.2,231.9,703.9,595.0,496.7,382.3,1254.8,350.3,384.9,831.1,368.4,236.5,583.1,465.7,0.0,200.5,157.8,350.4,811.4,348.3,535.1,495.9,911.8,1375.1,631.9,1309.4,751.8,879.2,171.2,309.1,291.3,900.4,349.1,384.5,1366.4,487.1,270.5,1500.2,1569.6,1370.3,629.6,726.2,800.0,419.9,504.9,401.0,109.5,338.5,1362.0,251.7,368.9,1408.9,1388.2,418.1,804.0,233.6,1470.9,421.1,609.2,398.4,333.5,687.7,556.6,300.6,667.1,377.6,468.0,883.9,492.0,1400.8,788.0,467.9,1363.9,1393.2,834.2,359.9,1297.9,260.0,656.9,582.7,1375.7,95.6,188.6,288.1,1392.2,985.4,595.6,897.4,1349.0,535.9,1383.0
OL,207.2,701.3,266.2,737.9,765.6,344.6,929.4,742.3,171.2,425.0,1423.6,1418.2,226.7,1383.8,379.3,1504.7,195.6,289.6,906.1,428.4,569.0,147.0,2181.9,1327.0,120.7,290.3,853.4,502.5,1487.5,62.6,857.2,402.1,101.5,1337.5,305.3,686.9,180.1,1320.8,683.9,1351.7,693.2,199.8,218.0,718.6,220.0,329.8,274.9,189.6,764.9,1403.2,492.6,361.9,214.3,505.5,123.4,402.7,408.9,354.2,758.3,315.1,364.5,269.5,226.2,371.6,231.0,632.9,191.0,1499.7,405.9,925.2,785.3,166.1,408.8,279.8,1391.2,827.7,1426.3,240.4,1377.6,1404.2,873.2,884.6,337.6,1500.7,397.3,209.5,1082.4,938.4,846.6,312.5,162.2,706.8,543.3,445.0,312.6,1255.0,298.6,315.2,834.0,316.7,184.8,586.0,414.0,181.7,0.0,244.6,279.2,818.6,278.6,515.6,483.1,914.7,1375.3,634.8,1309.6,754.7,882.1,179.5,235.1,221.8,903.3,279.4,314.8,1366.6,405.9,218.8,1448.0,1517.4,1370.5,577.4,729.1,802.9,368.2,485.4,391.4,216.2,285.3,1362.2,198.5,317.2,1409.1,1388.4,366.4,767.2,302.4,1418.7,369.4,532.3,404.6,325.8,690.6,504.9,230.9,647.6,307.9,416.3,886.8,440.3,1401.0,790.9,386.7,1364.1,1393.4,837.1,288.7,1298.1,188.8,659.8,531.0,1375.9,182.4,196.9,218.4,1392.4,933.2,598.5,900.3,1349.2,516.9,1383.2
