from_stop,AB,AG,AH,AJ,AL,AP,AS,BJ,BR,BW,BY,CB,CE,CF,CI,CN,DB,DC,DK,DQ,DZ,EE,EG,EI,EK,EL,EM,EN,ER,FB,FC,FH,FJ,GA,GH,GI,GM,GN,GQ,GY,HA,HC,HF,HH,HO,HP,HS,IE,IH,IJ,IL,IM,IQ,IR,JB,JI,JK,JO,KF,KJ,KW,KY,LA,LB,LE,LF,LH,LL,LM,LQ,LR,LW,MA,MF,MI,MJ,ML,MN,MS,NC,ND,NH,NO,NQ,NU,NV,NZ,OD,OE,OT,OW,PD,PH,PI,PN,PP,PQ,PU,PW,QC,QE,QG,QI,QL,QM,QQ,RC,RJ,RL,RS,RX,RY,RZ,SD,SG,ST,TE,TI,UA,UF,UK,UO,UP,UU,UW,VG,VR,VU,WG,WH,WM,WS,WT,WV,XC,XG,XH,XI,XK,XO,XT,XU,YA,YE,YK,YP,YR,YU,ZA,ZE,ZF,ZH,ZT
FC,600.2,1151.2,1166.0,1008.7,686.3,575.8,708.2,989.8,1242.2,733.6,568.0,616.7,523.7,755.6,1170.9,618.2,1255.8,355.4,1032.9,729.1,43.6,92.3,1111.0,704.4,643.2,679.5,633.3,942.8,256.3,1131.6,0.0,1256.5,368.5,748.4,482.5,604.5,690.3,1081.3,805.1,965.8,1207.6,938.8,850.0,1159.5,419.4,615.7,1002.0,954.5,734.4,601.1,928.8,56.8,1143.9,647.1,716.2,682.5,486.5,717.5,1219.8,640.6,1176.9,761.0,740.9,611.4,583.8,709.4,1055.1,658.5,749.7,1063.8,932.0,738.3,702.9,541.4,1145.8,1051.5,296.3,357.0,80.3,112.5,1083.8,632.9,973.8,1193.8,987.6,2337.5,885.4,728.5,94.4,319.2,745.3,718.1,637.5,575.2,259.5,721.5,476.3,465.2,121.1,1201.2,629.9,1007.1,656.0,643.9,721.5,761.2,626.0,93.7,736.9,569.9,297.6,740.7,819.0,405.6,1185.0,1127.1,728.1,681.4,947.7,1069.5,102.4,558.7,257.4,711.3,621.3,763.4,519.1,498.7,62.5,1172.0,677.2,1094.2,360.9,657.4,632.0,1113.4,195.0,114.2,1055.3,1162.4,576.9,682.4,33.0,1195.3,687.7,214.4,633.4,78.3,612.3,434.0,605.5,269.5,615.8
FH,1605.7,96.0,117.0,423.0,1691.8,1581.3,678.0,367.8,66.1,802.9,1573.5,1622.2,1529.2,757.6,105.6,1623.7,79.7,1294.9,285.7,698.9,1342.7,1308.6,363.8,1709.9,1648.7,1648.8,1638.8,357.1,1261.8,149.6,1348.9,0.0,985.7,786.0,858.3,1610.0,692.3,334.1,874.4,380.1,54.6,735.0,646.2,133.7,1064.4,1621.2,353.2,388.8,710.8,1606.6,725.0,1337.9,161.9,1652.6,1721.7,720.1,858.5,1723.0,37.8,1646.1,151.1,798.6,810.2,1616.9,1589.3,679.2,307.9,1648.4,1755.2,295.5,610.7,1743.8,672.7,1546.9,266.5,304.3,1235.8,1296.5,1328.8,1310.8,315.5,1638.4,388.1,75.4,401.9,1987.8,681.6,1734.0,1292.7,1258.7,814.6,1708.0,1643.0,1580.7,1094.9,780.4,864.5,818.4,1335.6,177.2,774.4,342.2,1661.5,1649.4,790.8,763.2,809.0,1243.4,1742.4,1575.4,1026.9,742.7,730.8,979.4,161.0,145.1,1762.4,1686.9,743.9,322.3,1300.7,1564.2,1262.9,1716.8,1626.8,765.4,819.8,989.0,1261.9,75.2,1682.7,232.5,1300.4,1662.9,1637.5,293.3,1082.1,1238.4,259.9,84.8,1582.4,1687.9,1382.0,171.3,1693.2,1153.9,1638.9,1294.6,1617.8,858.8,1611.0,1275.0,1621.3
FJ,692.5,850.7,865.5,708.2,778.6,668.1,436.9,689.3,941.7,462.3,660.3,709.0,616.0,484.3,870.4,710.5,955.3,488.4,732.4,457.8,360.2,395.4,810.5,796.7,735.5,771.8,725.6,642.3,348.6,831.1,366.4,956.0,0.0,477.1,141.8,696.8,419.0,780.8,533.8,665.3,907.1,638.3,549.5,859.0,78.6,708.0,701.5,654.0,463.1,693.4,628.3,355.4,843.4,739.4,808.5,411.2,127.8,809.8,919.3,732.9,876.4,489.7,469.6,703.7,676.1,438.1,754.6,750.8,842.0,763.3,660.7,830.6,431.6,633.7,845.3,751.0,429.3,490.0,346.3,397.6,783.3,725.2,673.3,893.3,687.1,2156.5,584.9,820.8,379.5,452.2,474.0,810.4,729.8,667.5,288.4,450.2,135.6,184.5,353.1,900.7,305.4,706.6,748.3,736.2,450.2,489.9,340.0,330.2,829.2,662.2,220.4,469.4,547.7,224.6,884.5,826.6,820.4,773.7,647.2,769.0,387.5,651.0,349.7,803.6,713.6,492.1,190.2,317.5,348.7,871.5,769.5,793.7,493.9,749.7,724.3,812.9,168.9,255.9,754.8,861.9,669.2,774.7,399.5,894.8,780.0,347.4,725.7,381.4,704.6,253.0,697.8,361.8,708.1
GA,1087.3,671.7,686.5,529.2,1173.4,1066.3,192.2,514.7,762.7,186.6,1055.1,1103.8,1010.8,239.6,691.4,1105.3,776.3,791.3,553.4,220.4,755.0,790.2,631.5,1191.5,1130.3,1166.6,1120.2,463.3,743.4,652.1,761.2,777.0,485.0,0.0,353.8,1091.6,174.3,601.8,177.0,484.3,728.1,606.7,517.9,680.0,563.7,1102.8,522.5,475.0,215.4,1088.2,596.7,750.2,664.4,1134.2,1203.3,41.7,406.4,1204.6,740.3,1122.0,697.4,61.6,179.3,1098.5,1070.9,193.4,575.6,1145.6,1236.8,584.3,416.0,1225.4,186.9,1028.5,666.3,568.3,732.2,792.9,741.1,792.4,604.3,1120.0,494.3,714.3,508.1,2124.3,553.3,1215.6,774.3,755.1,160.0,1205.2,1124.6,1062.3,591.3,122.7,360.0,331.9,747.9,720.8,233.5,527.6,1143.1,1131.0,196.7,245.2,229.6,725.0,1224.0,1057.0,523.3,224.7,303.0,492.9,705.5,647.6,1215.2,1168.5,615.6,590.0,782.3,1045.8,744.5,1198.4,1108.4,247.4,367.7,536.9,743.5,692.5,1164.3,614.7,796.8,1144.5,1119.1,633.9,563.7,650.7,575.8,682.9,1064.0,1169.5,794.3,715.8,1174.8,650.3,1120.5,776.2,1099.4,437.8,1092.6,756.6,1102.9
GH,805.3,712.5,727.3,570.0,891.4,780.9,295.0,551.1,803.5,320.4,773.1,821.8,728.8,342.4,732.2,823.3,817.1,437.4,594.2,315.9,485.2,533.9,672.3,909.5,848.3,884.6,838.4,504.1,461.4,692.9,491.4,817.8,131.1,335.2,0.0,809.6,277.1,642.6,391.9,527.1,768.9,500.1,411.3,720.8,209.8,820.8,563.3,515.8,321.2,806.2,490.1,480.4,705.2,852.2,921.3,269.3,94.8,922.6,781.1,845.7,738.2,347.8,327.7,816.5,788.9,296.2,616.4,863.6,954.8,625.1,518.8,943.4,289.7,746.5,707.1,612.8,378.3,439.0,471.3,510.4,645.1,838.0,535.1,755.1,548.9,2025.7,446.7,933.6,492.3,401.2,332.1,923.2,842.6,780.3,237.4,308.3,6.1,42.6,478.1,762.5,185.2,568.4,861.1,849.0,308.3,348.0,212.8,443.0,942.0,775.0,169.4,327.5,405.8,203.6,746.3,688.4,933.2,886.5,509.0,630.8,500.3,763.8,462.5,916.4,826.4,350.2,157.2,266.5,461.5,733.3,882.3,655.5,442.9,862.5,837.1,674.7,281.7,380.9,616.6,723.7,782.0,887.5,524.5,756.6,892.8,296.4,838.5,519.9,817.4,291.0,810.6,474.6,820.9
GI,31.5,1464.0,1478.8,1321.5,145.0,175.2,1021.0,1312.0,1555.0,1046.4,177.6,221.5,135.6,1068.4,1483.7,137.9,1568.6,781.0,1345.7,1041.9,520.5,539.1,1423.8,163.1,255.1,175.0,245.0,1255.6,351.3,1444.4,566.2,1569.3,681.3,1061.2,795.3,0.0,1003.1,1394.1,1117.9,1276.6,1517.9,1251.6,1162.8,1472.3,720.2,65.0,1314.8,1267.3,1044.2,104.2,1241.6,573.2,1456.7,50.7,189.2,995.3,799.3,248.2,1542.5,176.1,1489.7,1073.8,1053.7,124.2,191.6,1022.2,1367.9,154.0,356.5,1376.6,1244.8,233.6,1015.7,153.3,1458.6,1360.6,721.9,782.6,616.7,541.3,1396.6,62.0,1286.6,1506.6,1300.4,2650.3,1198.2,187.2,523.2,744.8,1058.1,213.6,86.8,185.4,627.3,1034.3,789.1,778.0,648.5,1513.1,942.7,1319.9,267.9,143.6,1034.3,1074.0,938.8,473.9,195.6,176.7,610.4,1053.5,1131.8,718.4,1497.8,1439.9,223.6,112.7,1260.5,1382.3,531.2,170.6,352.4,285.5,180.5,1076.2,831.9,811.5,492.4,1484.8,277.4,1407.0,786.5,164.6,243.9,1426.2,507.8,551.3,1368.1,1475.2,188.8,246.0,573.4,1508.1,217.7,640.0,133.1,525.1,153.3,746.8,217.4,317.4,102.8
GM,1040.0,588.8,603.6,446.3,1126.1,1015.6,66.4,427.4,679.8,182.0,1007.8,1056.5,963.5,65.2,608.5,1058.0,693.4,744.0,470.5,101.4,707.7,742.9,548.6,1144.2,1083.0,1119.3,1073.1,380.4,696.1,569.2,713.9,694.1,437.7,165.1,306.5,1044.3,0.0,518.9,253.5,403.4,645.2,523.8,435.0,597.1,516.4,1055.5,439.6,392.1,44.0,1040.9,513.8,702.9,581.5,1086.9,1156.0,99.2,359.1,1157.3,657.4,1080.4,614.5,177.7,189.3,1051.2,1023.6,101.7,492.7,1098.3,1189.5,501.4,333.1,1178.1,71.3,981.2,583.4,489.1,684.9,745.6,693.8,745.1,521.4,1072.7,411.4,631.4,425.2,2041.4,470.4,1168.3,727.0,707.8,193.7,1157.9,1077.3,1015.0,544.0,159.5,312.7,284.6,700.6,638.8,186.2,444.7,1095.8,1083.7,169.9,70.8,182.3,677.7,1176.7,1009.7,476.0,50.3,220.1,445.6,622.6,564.7,1167.9,1121.2,532.7,507.1,735.0,998.5,697.2,1151.1,1061.1,73.0,320.4,489.6,696.2,609.6,1117.0,531.8,749.5,1097.2,1071.8,551.0,516.4,603.4,492.9,600.0,1016.7,1122.2,747.0,632.9,1127.5,603.0,1073.2,728.9,1052.1,390.5,1045.3,709.3,1055.6
GN,1432.2,217.2,232.0,249.5,1518.3,1411.2,504.5,120.4,308.2,629.4,1400.0,1448.7,1355.7,584.1,236.9,1450.2,321.8,1121.4,58.8,532.7,1169.2,1135.1,29.6,1536.4,1475.2,1475.3,1465.1,183.6,1088.3,197.6,1175.4,322.5,812.2,612.5,684.8,1436.5,518.8,0.0,700.9,204.6,273.6,561.5,472.7,225.5,890.9,1447.7,105.8,162.4,527.7,1433.1,551.5,1164.4,209.9,1479.1,1548.2,546.6,685.0,1549.5,285.8,1466.9,242.9,625.1,636.7,1443.4,1415.8,505.7,75.9,1474.9,1581.7,129.8,437.2,1570.3,499.2,1373.4,211.8,20.8,1062.3,1123.0,1155.3,1137.3,149.8,1464.9,214.6,259.8,228.4,1980.1,508.1,1560.5,1119.2,1085.2,641.1,1534.5,1469.5,1407.2,921.4,606.9,691.0,644.9,1162.1,266.3,600.9,94.8,1488.0,1475.9,624.1,589.7,635.5,1069.9,1568.9,1401.9,853.4,569.2,557.3,805.9,251.0,193.1,1588.9,1513.4,570.4,90.3,1127.2,1390.7,1089.4,1543.3,1453.3,591.9,646.3,815.5,1088.4,238.0,1509.2,160.2,1126.9,1489.4,1464.0,179.4,908.6,1064.9,121.3,228.4,1408.9,1514.4,1208.5,261.3,1519.7,980.4,1465.4,1121.1,1444.3,837.9,1437.5,1101.5,1447.8
GQ,1104.4,720.5,735.3,578.0,1190.5,1080.0,241.0,563.5,811.5,99.5,1072.2,1120.9,1027.9,288.4,740.2,1122.4,825.1,808.4,602.2,269.2,772.1,807.3,680.3,1208.6,1147.4,1183.7,1137.3,512.1,760.5,700.9,778.3,825.8,502.1,130.0,370.9,1108.7,223.1,650.6,0.0,533.1,776.9,642.2,553.4,728.8,568.8,1119.9,571.3,523.8,264.2,1105.3,632.2,767.3,713.2,1151.3,1220.4,137.8,423.5,1221.7,789.1,1139.1,746.2,114.6,92.2,1115.6,1088.0,242.2,624.4,1162.7,1253.9,633.1,464.8,1242.5,235.7,1045.6,715.1,617.1,749.3,810.0,758.2,809.5,653.1,1137.1,543.1,763.1,556.9,2073.2,588.8,1232.7,791.4,772.2,72.9,1222.3,1141.7,1079.4,608.4,101.6,377.1,349.0,765.0,769.6,250.6,576.4,1160.2,1148.1,104.8,294.0,246.7,742.1,1241.1,1074.1,540.4,273.5,351.8,510.0,754.3,696.4,1232.3,1185.6,651.1,638.8,799.4,1062.9,761.6,1215.5,1125.5,296.2,384.8,554.0,760.6,741.3,1181.4,663.5,813.9,1161.6,1136.2,682.7,580.8,667.8,624.6,731.7,1081.1,1186.6,811.4,764.6,1191.9,667.4,1137.6,793.3,1116.5,454.9,1109.7,773.7,1120.0
GY,1292.4,272.2,287.0,42.8,1378.5,1271.4,364.7,97.2,363.2,489.6,1260.2,1308.9,1215.9,444.3,291.9,1310.4,376.8,981.6,159.0,392.9,1031.4,995.3,244.3,1393.9,1335.4,1332.8,1325.3,8.0,948.5,252.6,1035.6,377.5,672.4,472.7,545.0,1294.0,379.0,211.9,561.1,0.0,326.1,421.7,330.2,280.5,739.1,1307.9,105.0,57.5,385.2,1293.3,411.7,1024.6,264.9,1339.3,1408.4,404.1,545.2,1409.7,350.7,1324.4,297.9,485.3,496.9,1303.6,1276.0,363.2,176.1,1335.1,1441.9,184.8,297.4,1427.8,359.4,1233.6,264.1,168.8,922.5,980.5,1015.5,997.5,202.1,1325.1,8.0,314.8,21.8,1939.3,368.3,1418.0,976.7,945.4,498.6,1394.7,1329.7,1267.4,781.6,467.1,551.2,505.1,1022.3,321.3,461.1,114.1,1348.2,1336.1,484.3,449.9,495.7,930.1,1426.4,1257.0,713.6,426.7,417.5,666.1,306.0,248.1,1449.1,1373.6,430.6,190.5,987.4,1248.2,949.6,1403.5,1313.5,452.1,506.5,675.7,948.6,293.0,1369.4,212.5,987.1,1346.1,1324.2,234.4,768.8,925.1,176.3,283.4,1269.1,1375.7,1068.7,316.3,1379.9,840.6,1322.9,981.3,1304.5,698.1,1297.7,961.7,1305.3
HA,1599.6,99.1,62.3,416.9,1685.7,1578.6,671.9,356.3,34.5,796.8,1567.4,1616.1,1523.1,751.5,108.7,1617.6,48.1,1288.8,284.7,700.1,1338.6,1302.5,357.7,1700.1,1642.6,1642.7,1632.5,347.3,1255.7,152.7,1342.8,60.3,979.6,776.2,852.2,1600.2,686.2,328.0,864.6,372.0,0.0,728.9,640.1,136.8,1046.3,1615.1,347.1,382.7,691.4,1600.5,718.9,1331.8,165.0,1646.5,1715.6,714.0,848.7,1716.9,31.0,1634.3,154.2,792.5,800.4,1610.8,1583.2,673.1,301.8,1642.3,1749.1,298.6,604.6,1734.0,666.6,1540.8,272.1,294.5,1229.7,1290.4,1322.7,1304.7,318.6,1632.3,382.0,20.7,392.1,1981.7,675.5,1724.2,1282.9,1252.6,808.5,1701.9,1636.9,1574.6,1088.8,774.3,858.4,812.3,1329.5,179.4,768.3,336.1,1655.4,1643.3,791.5,753.4,802.9,1237.3,1736.3,1564.2,1020.8,736.6,724.7,973.3,164.1,148.2,1756.3,1680.8,737.8,316.2,1294.6,1554.4,1256.8,1710.7,1620.7,759.3,813.7,982.9,1255.8,78.3,1672.9,235.6,1294.3,1653.3,1631.4,296.4,1076.0,1232.3,263.0,87.9,1576.3,1682.9,1375.9,174.4,1687.1,1147.8,1632.8,1288.5,1608.0,849.0,1601.2,1268.9,1611.5
HC,1287.0,602.4,617.2,459.9,1382.5,1256.3,516.1,441.0,693.4,627.7,1248.5,1297.2,1204.2,595.7,622.1,1375.4,707.0,969.9,484.1,537.0,1017.7,983.6,562.2,1400.6,1323.7,1183.6,1313.8,394.0,936.8,582.8,1023.9,707.7,660.7,624.1,533.3,1291.3,530.4,532.5,699.2,417.0,658.8,0.0,79.4,610.7,739.4,1302.5,453.2,405.7,548.9,1383.9,68.0,1012.9,595.1,1342.1,1426.7,558.2,533.5,1485.7,671.0,1321.1,628.1,636.7,635.0,1403.9,1264.3,517.3,506.3,1183.2,1430.2,515.0,448.8,1471.1,510.8,1221.9,597.0,502.7,910.8,971.5,1003.8,985.8,535.0,1353.4,425.0,645.0,438.8,2012.6,43.3,1424.7,967.7,933.7,639.4,1242.8,1324.3,1255.7,769.9,615.6,539.5,493.4,1010.6,652.4,449.4,458.3,1336.5,1381.1,615.6,601.3,484.0,918.4,1433.1,1250.4,701.9,580.8,568.9,654.4,636.2,578.3,1297.2,1368.2,8.9,520.7,975.7,1239.2,937.9,1391.8,1301.8,603.5,494.8,664.0,936.9,623.2,1357.7,545.4,975.4,1402.1,1312.5,564.6,757.1,913.4,506.5,613.6,1257.4,1362.9,1057.0,646.5,1455.2,828.9,1370.6,969.6,1292.8,741.8,1286.0,950.0,1340.3
HF,1207.5,522.9,537.7,380.4,1303.0,1176.8,436.6,361.5,613.9,548.2,1169.0,1217.7,1124.7,516.2,542.6,1295.9,627.5,890.4,409.7,464.8,938.2,904.1,482.7,1321.1,1244.2,1104.1,1234.1,314.5,857.3,503.3,944.4,628.2,581.2,544.6,453.8,1211.8,450.9,453.0,619.7,337.5,576.8,88.7,0.0,531.2,659.9,1223.0,373.7,326.2,459.8,1304.4,78.7,933.4,515.6,1262.6,1347.2,478.7,454.0,1406.2,601.4,1235.9,548.6,557.2,555.5,1324.4,1184.8,437.8,426.8,1103.7,1350.7,435.5,369.3,1391.6,431.3,1142.4,517.5,425.2,831.3,892.0,924.3,906.3,455.5,1273.9,345.5,565.5,359.3,1933.1,35.3,1345.2,888.2,854.2,559.9,1163.3,1244.8,1176.2,690.4,536.1,460.0,413.9,931.1,572.9,369.9,378.8,1257.0,1301.6,536.1,521.8,404.5,838.9,1353.6,1170.9,622.4,501.3,489.4,574.9,556.7,498.8,1217.7,1288.7,97.6,441.2,896.2,1159.7,858.4,1312.3,1222.3,524.0,415.3,584.5,857.4,543.7,1278.2,465.9,895.9,1329.3,1233.0,485.1,677.6,833.9,427.0,534.1,1177.9,1283.4,977.5,567.0,1375.7,749.4,1291.1,890.1,1213.3,662.3,1206.5,870.5,1260.8
HH,1505.8,95.2,168.5,323.1,1591.9,1481.4,578.1,267.9,148.7,703.0,1473.6,1522.3,1429.3,657.7,14.9,1523.8,162.3,1195.0,185.8,599.0,1242.8,1208.7,263.9,1610.0,1548.8,1548.9,1538.9,257.2,1161.9,39.4,1249.0,119.8,885.8,686.1,758.4,1510.1,592.4,234.2,774.5,280.2,137.2,635.1,546.3,0.0,964.5,1521.3,253.3,288.9,610.9,1506.7,625.1,1238.0,51.7,1552.7,1621.8,620.2,758.6,1623.1,83.1,1546.2,17.3,698.7,710.3,1517.0,1489.4,579.3,208.0,1548.5,1655.3,185.3,510.8,1643.9,572.8,1447.0,156.3,204.4,1135.9,1196.6,1228.9,1210.9,205.3,1538.5,288.2,158.0,302.0,1937.5,581.7,1634.1,1192.8,1158.8,714.7,1608.1,1543.1,1480.8,995.0,680.5,764.6,718.5,1235.7,67.0,674.5,242.3,1561.6,1549.5,690.9,663.3,709.1,1143.5,1642.5,1475.5,927.0,642.8,630.9,879.5,50.8,34.9,1662.5,1587.0,644.0,222.4,1200.8,1464.3,1163.0,1616.9,1526.9,665.5,719.9,889.1,1162.0,74.4,1582.8,122.3,1200.5,1563.0,1537.6,183.1,982.2,1138.5,149.7,84.0,1482.5,1588.0,1282.1,61.1,1593.3,1054.0,1539.0,1194.7,1517.9,808.5,1511.1,1175.1,1521.4
HO,756.8,922.8,937.6,780.3,842.9,735.8,509.0,765.8,1013.8,534.4,724.6,773.3,680.3,556.4,942.5,774.8,1027.4,560.5,809.6,537.2,426.5,459.7,882.6,853.4,799.8,836.1,789.7,706.8,412.9,903.2,430.7,1028.1,72.0,541.6,213.9,753.5,491.1,845.3,605.9,735.4,976.7,710.4,621.6,931.1,0.0,772.3,773.6,726.1,524.6,757.7,700.4,419.7,915.5,803.7,872.8,483.3,192.3,874.1,1001.3,783.9,948.5,561.8,541.7,768.0,740.4,510.2,826.7,815.1,906.3,827.8,732.8,887.3,503.7,698.0,917.4,819.4,501.4,562.1,410.6,461.9,847.8,789.5,745.4,965.4,751.6,2220.8,657.0,877.5,443.8,524.3,546.1,874.7,794.1,731.8,360.5,522.3,207.7,256.6,417.4,971.9,377.5,778.7,812.6,800.5,529.1,562.0,412.1,394.5,885.9,721.4,292.5,533.9,619.8,288.9,956.6,898.7,884.7,838.0,719.3,841.1,451.8,715.3,414.0,867.9,777.9,564.2,262.3,389.6,413.0,943.6,833.8,865.8,566.0,810.5,788.6,885.0,233.2,320.2,826.9,934.0,733.5,840.1,463.8,966.9,844.3,419.5,790.0,445.7,768.9,309.7,762.1,426.1,772.4
HP,74.3,1488.8,1503.6,1346.3,79.9,134.3,1045.8,1327.4,1579.8,1071.2,154.7,198.6,131.5,1093.2,1508.5,72.8,1593.4,805.8,1370.5,1066.7,547.3,563.9,1448.6,98.0,204.2,199.8,212.8,1280.4,376.1,1469.2,591.0,1594.1,706.1,1086.0,820.1,58.6,1027.9,1418.9,1142.7,1303.4,1545.2,1276.4,1187.6,1497.1,757.0,0.0,1339.6,1292.1,1072.0,81.3,1266.4,598.0,1481.5,109.4,124.1,1020.1,824.1,183.1,1557.4,158.9,1514.5,1098.6,1078.5,101.3,168.7,1047.0,1392.7,178.8,291.4,1401.4,1269.6,168.5,1040.5,113.4,1483.4,1389.1,746.7,807.4,641.5,566.1,1421.4,120.7,1311.4,1531.4,1325.2,2675.1,1223.0,122.1,548.0,769.6,1082.9,238.4,41.6,144.9,652.1,1059.1,813.9,802.8,673.3,1538.8,967.5,1344.7,244.6,78.5,1059.1,1098.8,963.6,498.7,130.5,182.7,635.2,1078.3,1156.6,743.2,1522.6,1464.7,248.4,91.6,1285.3,1407.1,556.0,164.0,377.2,220.4,157.6,1101.0,856.7,836.3,517.2,1509.6,212.3,1431.8,811.3,99.5,256.5,1451.0,532.6,576.1,1392.9,1500.0,201.4,180.9,598.2,1532.9,152.6,664.8,68.0,549.9,130.4,771.6,230.0,342.2,37.7
HS,1368.8,229.4,244.2,168.4,1454.9,1344.4,441.1,14.5,320.4,566.0,1336.6,1385.3,1292.3,520.7,249.1,1386.8,334.0,1058.0,111.1,462.0,1105.8,1071.7,139.2,1473.0,1411.8,1411.9,1401.9,102.5,1024.9,209.8,1112.0,334.7,748.8,549.1,621.4,1373.1,455.4,109.5,637.5,125.5,285.8,498.1,409.3,237.7,827.5,1384.3,0.0,56.5,473.9,1369.7,488.1,1101.0,222.1,1415.7,1484.8,483.2,621.6,1486.1,298.0,1409.2,255.1,561.7,573.3,1380.0,1352.4,442.3,124.7,1411.5,1518.3,142.0,373.8,1506.9,435.8,1310.0,224.0,82.4,998.9,1059.6,1091.9,1073.9,162.0,1401.5,133.5,272.0,147.3,2015.7,444.7,1497.1,1055.8,1021.8,577.7,1471.1,1406.1,1343.8,858.0,543.5,627.6,581.5,1098.7,279.4,537.5,9.0,1424.6,1412.5,553.9,526.3,572.1,1006.5,1505.5,1338.5,790.0,505.8,493.9,742.5,263.2,205.3,1525.5,1450.0,507.0,110.3,1063.8,1327.3,1026.0,1479.9,1389.9,528.5,582.9,752.1,1025.0,250.2,1445.8,172.4,1063.5,1426.0,1400.6,191.6,845.2,1001.5,133.5,240.6,1345.5,1451.0,1145.1,273.5,1456.3,917.0,1402.0,1057.7,1380.9,774.5,1374.1,1038.1,1384.4
IE,1312.5,272.3,287.1,111.8,1398.6,1288.1,384.8,35.2,363.3,509.7,1280.3,1329.0,1236.0,464.4,292.0,1330.5,376.9,1001.7,154.0,405.7,1049.5,1015.4,186.7,1416.7,1355.5,1355.6,1345.6,45.9,968.6,252.7,1055.7,377.6,692.5,492.8,565.1,1316.8,399.1,157.0,581.2,68.9,328.7,441.8,353.0,280.6,771.2,1328.0,47.5,0.0,417.6,1313.4,431.8,1044.7,265.0,1359.4,1428.5,426.9,565.3,1429.8,340.9,1352.9,298.0,505.4,517.0,1323.7,1296.1,386.0,172.2,1355.2,1462.0,184.9,317.5,1450.6,379.5,1253.7,266.9,129.9,942.6,1003.3,1035.6,1017.6,204.9,1345.2,76.9,314.9,90.7,1959.4,388.4,1440.8,999.5,965.5,521.4,1414.8,1349.8,1287.5,801.7,487.2,571.3,525.2,1042.4,322.3,481.2,56.5,1368.3,1356.2,497.6,470.0,515.8,950.2,1449.2,1282.2,733.7,449.5,437.6,686.2,306.1,248.2,1469.2,1393.7,450.7,157.8,1007.5,1271.0,969.7,1423.6,1333.6,472.2,526.6,695.8,968.7,293.1,1389.5,215.3,1007.2,1369.7,1344.3,234.5,788.9,945.2,176.4,283.5,1289.2,1394.7,1088.8,316.4,1400.0,860.7,1345.7,1001.4,1324.6,718.2,1317.8,981.8,1328.1
IH,1073.4,590.0,604.8,447.5,1159.5,1049.0,12.7,428.6,681.0,215.4,1041.2,1089.9,996.9,77.6,609.7,1091.4,694.6,777.4,471.7,47.7,741.1,776.3,549.8,1177.6,1116.4,1152.7,1106.3,381.6,729.5,570.4,747.3,695.3,471.1,198.5,339.9,1077.7,63.2,520.1,286.9,402.6,643.9,525.0,436.2,598.3,549.8,1088.9,440.8,393.3,0.0,1074.3,515.0,736.3,582.7,1120.3,1189.4,132.6,392.5,1190.7,668.5,1108.1,615.7,211.1,222.7,1084.6,1057.0,48.0,493.9,1131.7,1222.9,502.6,334.3,1211.5,17.6,1014.6,584.6,486.6,718.3,779.0,727.2,778.5,522.6,1106.1,412.6,632.6,426.4,2042.6,471.6,1201.7,760.4,741.2,227.1,1191.3,1110.7,1048.4,577.4,192.9,346.1,318.0,734.0,640.0,219.6,445.9,1129.2,1117.1,203.3,83.2,215.7,711.1,1210.1,1038.0,509.4,62.7,221.3,479.0,623.8,565.9,1201.3,1154.6,533.9,508.3,768.4,1031.9,730.6,1184.5,1094.5,85.4,353.8,523.0,729.6,610.8,1150.4,533.0,782.9,1127.1,1105.2,552.2,549.8,636.8,494.1,601.2,1050.1,1155.6,780.4,634.1,1160.9,636.4,1106.6,762.3,1085.5,423.9,1078.7,742.7,1089.0
IJ,141.1,1467.5,1482.3,1325.0,123.4,71.2,1024.5,1306.1,1558.5,1049.9,73.3,117.2,68.4,1071.9,1487.2,55.3,1572.1,784.5,1349.2,1045.4,526.0,542.6,1427.3,141.5,201.7,284.6,191.8,1259.1,354.8,1447.9,569.7,1572.8,684.8,1064.7,798.8,109.5,1006.6,1397.6,1121.4,1282.1,1523.9,1255.1,1166.3,1475.8,735.7,90.1,1318.3,1270.8,1050.7,0.0,1245.1,576.7,1460.2,66.2,167.6,998.8,802.8,226.6,1536.1,77.5,1493.2,1077.3,1057.2,19.9,87.3,1025.7,1371.4,263.6,308.2,1380.1,1248.3,212.0,1019.2,50.3,1462.1,1367.8,725.4,786.1,620.2,544.8,1400.1,52.0,1290.1,1510.1,1303.9,2653.8,1201.7,165.6,526.7,748.3,1061.6,323.2,95.2,81.1,630.8,1037.8,792.6,781.5,652.0,1517.5,946.2,1323.4,214.5,81.0,1037.8,1077.5,942.3,477.4,174.0,101.3,613.9,1057.0,1135.3,721.9,1501.3,1443.4,333.2,170.5,1264.0,1385.8,534.7,82.6,355.9,263.9,76.2,1079.7,835.4,815.0,495.9,1488.3,235.7,1410.5,790.0,102.0,190.5,1429.7,511.3,554.8,1371.6,1478.7,135.4,224.4,576.9,1511.6,196.1,643.5,70.5,528.6,49.0,750.3,164.0,320.9,52.9
