from_stop,AA,AE,AN,AY,BG,BH,BK,BM,BN,BP,BS,BT,CE,CG,CI,CM,CT,CU,DA,DD,DG,DJ,DQ,DS,DT,EA,EC,ED,EE,EF,EH,EI,EP,EQ,ES,EW,EX,EZ,FB,FL,FM,FP,FT,GA,GB,GE,GF,GI,GK,GL,GO,GR,GT,GU,GY,HA,HH,HK,HM,HN,HO,HV,IB,IE,IF,II,IV,IX,JA,JB,JK,JL,JM,JN,JQ,JS,JZ,KG,KH,KI,KN,KP,KR,KS,KW,LD,LE,LF,LG,LL,LT,LX,LY,LZ,MB,MD,MG,MJ,MO,MS,MT,MW,MZ,NE,NG,NI,NJ,NR,NU,NW,NZ,OH,OL,OP,OX,OY,PC,PD,PF,PH,PI,PJ,PK,PL,PM,PO,PP,PR,QB,QG,QH,QI,QN,QQ,QT,QX,RI,RK,RM,RS,RX,SC,SE,SH,SM,SQ,SV,SW,SX,SZ,TE,TL,TW,TX,UC,UN,UO,UZ,VE,VL,VP,VZ,WA,WH,WI,WJ,WS,WV,XC,XG,XJ,XK,XO,XP,XU,YD,YE,YG,YI,YJ,YK,YM,YT,YV,YZ,ZA,ZB,ZH,ZI,ZN,ZV
LY,435.9,405.9,304.5,362.1,191.5,133.4,226.2,272.8,157.4,257.1,276.9,266.7,164.6,157.9,260.5,413.7,215.4,181.9,319.7,406.9,192.7,149.5,568.6,256.0,202.8,209.9,336.7,72.6,428.4,385.7,163.1,280.2,177.6,290.1,327.5,409.6,300.7,240.4,385.7,227.8,115.9,325.9,222.0,76.6,143.1,507.9,306.1,302.0,315.4,64.0,432.8,388.8,36.3,135.9,372.9,166.4,319.5,304.9,339.4,324.2,317.2,121.9,227.1,157.0,100.9,149.7,212.5,1196.7,331.3,212.9,72.0,441.4,281.9,139.7,233.3,217.2,471.5,213.1,365.1,192.9,153.2,282.7,461.2,271.6,136.4,425.3,226.6,209.1,347.4,301.0,88.6,168.3,0.0,239.0,148.6,496.4,258.7,220.4,255.5,269.6,225.7,333.4,180.6,142.4,182.7,356.0,155.1,157.0,58.9,182.3,293.8,446.4,243.4,186.3,149.1,496.2,70.0,472.9,258.0,414.7,249.6,114.8,160.8,187.7,162.4,205.9,309.3,251.1,417.4,152.8,160.6,243.7,277.7,243.4,262.3,192.8,423.9,171.9,251.6,240.8,171.6,510.9,379.7,390.6,429.2,92.5,177.5,125.1,207.0,183.2,247.3,291.0,349.4,298.3,446.2,28.4,562.2,419.0,264.5,163.3,222.9,235.2,113.4,239.1,383.5,134.6,360.8,293.4,384.4,201.5,293.4,323.6,255.9,257.6,294.8,294.2,367.6,366.2,171.1,189.6,76.3,302.1,9.7,489.2,278.4,174.7,317.9,230.9,514.5,251.1,263.4
LZ,303.8,273.8,229.8,230.0,189.7,215.9,94.1,140.7,82.7,142.6,156.4,162.2,58.6,180.2,128.4,281.6,191.0,264.4,187.6,274.8,118.0,232.0,436.5,303.3,128.1,292.4,262.0,215.7,296.3,253.6,175.0,148.1,163.9,192.6,195.4,277.5,168.6,108.3,253.6,95.7,71.6,193.8,283.7,159.1,192.4,375.8,174.0,169.9,240.7,151.9,300.7,256.7,179.6,95.5,240.8,248.9,187.4,172.8,207.3,192.1,185.1,296.6,121.1,83.8,183.4,232.2,94.2,1215.2,199.2,260.2,143.9,309.3,177.4,173.4,158.6,246.0,339.4,107.1,233.0,221.9,166.9,150.6,329.1,135.3,170.1,293.2,251.4,291.6,215.3,168.9,171.1,169.8,265.9,0.0,231.1,364.3,141.4,302.9,162.8,152.3,89.4,201.3,263.1,224.9,158.3,223.9,118.7,135.4,125.9,107.6,161.7,314.3,315.9,54.2,148.5,364.1,250.2,340.8,137.5,282.6,117.5,295.0,136.4,107.1,211.7,69.6,177.2,199.8,285.3,36.6,192.4,137.7,145.6,168.7,141.8,275.3,291.8,97.2,293.7,108.7,92.4,378.8,247.6,258.5,297.1,192.2,224.8,124.5,187.3,241.7,115.2,158.9,217.3,183.8,314.1,168.5,430.1,286.9,150.0,197.0,230.2,103.1,74.1,102.8,251.4,189.4,228.7,161.3,252.3,200.9,170.2,191.5,135.4,182.9,162.7,162.1,235.5,234.1,253.6,242.2,108.5,170.0,275.7,357.1,203.7,257.2,185.8,278.2,382.4,132.1,148.9
MB,485.6,455.6,365.5,411.8,116.2,21.6,275.9,279.8,218.4,176.2,337.9,327.7,216.0,82.6,310.2,463.4,116.2,62.1,346.5,456.6,253.7,29.7,618.3,137.6,263.8,94.6,397.7,124.8,478.1,435.4,87.8,329.9,282.5,339.4,377.2,459.3,266.4,290.1,435.4,277.5,165.6,375.6,304.7,65.1,71.5,557.6,249.9,351.7,376.4,173.4,482.5,438.5,145.7,185.6,422.6,51.1,280.0,354.6,389.1,373.9,366.9,138.7,219.7,206.7,62.1,37.9,289.6,1303.5,381.0,101.1,181.4,491.1,342.9,90.5,294.3,105.4,521.2,194.7,414.8,81.1,130.5,332.4,510.9,335.1,90.8,475.0,114.8,89.3,397.1,261.5,52.0,93.0,206.0,231.5,0.0,546.1,251.2,105.1,304.8,262.1,289.2,383.1,60.8,6.2,134.2,405.7,166.2,225.5,108.6,243.3,320.6,496.1,123.6,236.0,238.8,545.9,127.8,522.6,319.0,464.4,253.5,162.5,147.7,180.2,50.6,269.4,359.0,335.5,467.1,202.5,270.0,189.3,256.2,304.4,323.3,77.5,473.6,232.9,384.0,290.5,191.8,560.6,429.4,440.3,478.9,101.3,65.7,214.8,322.6,71.4,297.0,225.5,399.1,217.4,495.9,115.7,611.9,468.7,183.6,71.6,320.5,284.9,163.1,302.6,433.2,244.0,410.5,343.1,434.1,291.2,212.5,350.4,316.9,318.6,344.5,284.6,417.3,415.9,55.8,300.9,126.0,351.8,215.8,538.9,339.4,59.4,367.6,119.1,564.2,312.1,182.5
MD,50.7,152.4,277.1,164.1,485.2,531.2,308.3,362.6,308.2,419.1,286.6,241.1,373.9,475.7,276.4,75.8,480.2,579.7,317.1,83.8,280.9,547.3,46.2,598.8,263.0,607.7,317.0,452.9,147.3,204.5,470.5,257.6,337.8,196.0,242.2,113.5,363.8,268.3,148.8,261.0,386.9,176.4,361.5,474.4,516.8,87.1,384.3,252.1,287.7,443.2,89.4,123.3,470.9,399.2,113.7,564.2,344.4,249.4,224.9,182.4,313.1,502.2,409.1,320.9,498.7,529.6,298.6,964.7,166.4,555.7,435.2,181.7,223.1,488.7,253.3,535.2,148.7,422.2,139.4,511.1,482.2,247.2,202.5,332.3,485.4,101.0,540.6,606.9,205.5,354.0,486.4,465.3,427.1,412.7,546.4,0.0,376.1,629.1,232.3,365.2,332.1,216.0,584.1,540.2,480.9,204.8,434.0,341.3,439.9,283.3,323.4,155.0,615.2,316.8,372.5,190.9,450.3,148.6,313.1,161.2,327.8,474.6,451.7,422.4,507.2,310.5,224.0,294.5,88.6,351.9,358.0,437.6,356.3,283.9,297.8,590.6,62.7,293.7,388.7,263.1,421.8,119.3,169.0,137.1,77.9,465.9,520.3,424.9,282.0,530.9,261.4,369.2,235.3,407.8,48.6,483.8,65.7,67.6,414.7,509.4,323.1,267.5,389.4,318.7,132.7,373.6,125.8,208.5,131.6,304.8,380.5,313.1,330.5,298.0,287.5,324.4,132.4,181.0,568.9,332.5,432.9,190.6,439.3,92.8,269.9,572.5,235.3,573.7,32.4,247.4,412.3
MG,319.7,289.7,277.5,227.9,182.1,242.3,55.5,47.9,130.7,131.5,195.2,212.2,108.6,172.6,126.3,279.5,189.6,290.3,106.7,272.7,166.0,264.9,434.4,295.7,176.1,342.4,305.4,265.7,312.2,251.5,167.4,146.0,211.9,196.4,193.3,275.4,87.7,124.2,269.5,93.6,121.6,191.7,331.7,209.1,237.1,384.6,81.2,167.8,270.1,201.9,298.6,272.6,229.6,145.5,256.7,298.9,124.5,170.7,205.2,208.0,201.0,346.6,106.0,133.8,233.4,226.5,105.7,1213.1,215.1,252.6,193.9,325.2,223.5,218.1,206.6,244.6,355.3,96.0,230.9,220.5,147.5,148.5,345.0,165.8,176.0,309.1,250.0,324.5,213.2,106.0,221.1,162.2,315.9,49.9,264.0,362.2,0.0,343.5,212.8,10.8,139.4,199.2,296.0,257.8,156.9,221.8,137.7,185.4,175.9,155.6,80.8,330.2,308.3,85.4,198.5,380.0,300.2,356.7,187.5,298.5,54.6,345.0,110.5,78.0,204.1,119.6,175.1,247.8,283.2,86.6,242.4,126.6,82.7,216.7,180.6,325.3,307.7,145.2,343.7,124.6,109.4,394.7,245.5,274.4,295.0,242.2,217.2,174.5,235.3,240.3,131.1,96.0,215.2,134.6,312.0,218.5,428.0,302.8,138.0,233.9,280.2,101.0,124.1,152.2,249.3,239.4,244.6,159.2,250.2,250.9,107.3,110.6,178.1,230.9,178.6,96.1,251.4,232.0,303.6,292.2,158.5,167.9,325.7,373.0,270.3,307.2,183.7,270.6,380.3,182.1,137.8
MJ,554.8,524.8,434.7,481.0,205.6,136.8,349.0,398.8,287.6,272.7,407.1,396.9,283.5,172.0,379.4,532.6,223.6,107.4,438.6,524.6,323.9,114.3,687.5,114.2,333.0,93.7,466.9,185.1,552.6,504.6,177.2,399.1,351.7,408.6,446.4,528.5,362.9,359.3,504.6,348.9,234.8,444.8,365.0,171.7,186.7,626.8,357.3,420.9,445.6,242.6,551.7,507.7,214.9,254.8,491.8,53.9,377.8,423.8,458.3,443.1,436.1,199.0,327.1,275.9,122.4,144.4,358.8,1363.8,455.2,165.3,250.6,560.3,412.1,205.7,363.5,212.8,590.4,291.2,484.0,188.5,219.9,401.6,580.1,404.3,180.2,544.2,170.5,95.5,467.8,368.9,167.2,182.4,266.3,320.9,115.1,619.7,340.6,0.0,374.0,351.5,358.4,452.3,89.5,121.3,226.0,474.9,255.6,294.7,179.1,312.5,410.6,565.3,31.3,306.2,308.0,611.8,188.1,591.8,392.7,533.6,360.9,222.8,237.1,258.7,140.0,338.6,428.2,404.7,536.3,271.7,339.2,296.7,364.0,376.1,392.5,76.6,542.8,302.1,450.4,354.8,276.5,629.8,498.6,509.5,548.1,180.6,127.2,284.0,391.8,178.8,366.2,332.9,468.3,324.8,572.2,184.9,681.1,537.9,287.5,185.3,387.6,354.1,232.3,371.8,502.4,313.4,479.7,412.3,503.3,360.4,319.9,442.5,386.1,390.2,410.5,388.3,486.5,485.1,91.1,370.1,195.2,426.2,278.5,608.1,408.6,45.6,436.8,152.1,633.4,381.3,289.9
MO,285.0,367.6,130.5,213.7,246.9,283.6,187.1,233.7,75.8,192.3,94.5,61.7,108.3,237.4,113.2,241.8,248.0,332.1,280.6,248.6,40.5,299.7,316.7,360.5,30.6,360.1,170.4,220.5,386.6,280.7,232.2,94.4,105.4,34.5,222.5,279.8,261.6,202.1,315.1,145.9,139.3,220.9,164.0,226.8,260.1,321.4,266.0,153.6,141.4,174.6,212.7,340.4,202.3,130.6,334.6,316.6,280.4,195.4,219.5,285.9,278.9,269.8,170.8,88.5,251.1,291.3,150.6,1070.6,234.2,317.4,166.6,403.1,43.7,241.1,20.9,303.0,383.0,156.8,235.3,278.9,226.3,134.3,422.9,124.0,237.8,335.3,308.4,359.3,210.8,261.9,238.8,227.0,194.7,171.4,298.8,299.0,191.1,370.6,0.0,202.0,130.2,154.0,330.8,292.6,226.0,245.4,168.4,108.9,193.6,50.9,254.7,389.3,373.1,148.0,140.1,421.4,217.9,382.9,87.9,376.4,210.5,242.2,189.3,156.8,268.9,102.9,204.3,62.1,269.9,114.5,125.6,187.4,238.6,49.0,105.7,343.0,297.0,61.3,156.3,202.5,142.1,353.6,168.3,352.3,259.2,240.4,282.0,161.2,49.6,298.7,209.0,241.6,205.0,233.5,248.8,223.2,364.8,301.9,199.7,264.7,92.8,138.5,141.8,143.6,185.3,141.4,322.5,188.4,254.6,72.4,228.6,284.5,111.7,63.2,256.5,255.9,268.4,194.3,321.3,100.1,176.2,73.0,204.5,327.1,84.0,324.9,138.3,335.4,302.9,39.8,198.6
MS,308.8,278.8,266.6,217.0,171.2,231.4,44.6,37.0,141.6,134.6,184.3,210.2,119.5,161.7,115.4,268.6,189.6,279.4,95.8,261.8,176.9,254.0,423.5,284.8,187.0,338.8,294.5,276.6,301.3,240.6,156.5,135.1,222.8,185.5,182.4,264.5,76.8,113.3,258.6,82.7,132.5,180.8,342.6,220.0,248.0,373.7,70.3,156.9,259.2,212.8,287.7,261.7,240.5,156.4,245.8,304.3,113.6,159.8,194.3,197.1,190.1,357.5,95.1,144.7,244.3,215.6,94.8,1202.2,204.2,241.7,204.8,314.3,212.6,229.0,217.5,241.0,344.4,99.1,220.0,220.5,158.4,137.6,334.1,154.9,186.9,298.2,250.0,313.6,202.3,95.1,232.0,151.3,326.8,60.8,253.1,351.3,10.8,332.6,221.8,0.0,150.3,188.3,285.1,246.9,157.8,210.9,148.6,196.3,186.8,166.5,69.9,319.3,297.4,74.5,209.4,369.1,311.1,345.8,191.0,287.6,43.7,355.9,121.4,88.9,193.2,130.5,164.2,258.7,272.3,97.5,253.3,129.7,71.8,227.6,169.7,330.7,296.8,156.1,354.6,113.7,120.3,383.8,234.6,263.5,284.1,253.1,206.3,185.4,246.2,230.0,120.2,85.1,204.3,123.7,301.1,229.4,417.1,291.9,127.1,223.0,291.1,90.1,135.0,141.3,238.4,250.3,233.7,148.3,239.3,261.8,96.4,99.7,167.2,241.8,167.7,85.2,240.5,221.1,303.2,303.1,169.4,157.0,336.6,362.1,259.4,312.6,172.8,259.7,369.4,193.0,128.2
MT,313.4,306.0,222.3,172.7,241.9,268.1,123.1,169.7,112.0,194.8,118.8,106.6,110.8,232.4,71.1,244.7,243.2,316.6,216.6,237.9,110.6,284.2,399.6,355.5,120.7,344.6,250.2,267.9,328.5,216.7,227.2,90.8,156.5,141.2,158.5,240.6,197.6,140.5,275.9,81.9,123.8,156.9,276.3,211.3,244.6,349.8,203.0,112.6,214.9,162.3,247.4,288.9,190.0,118.3,273.0,301.1,216.4,135.9,170.4,224.3,217.3,321.8,173.3,94.2,235.6,284.4,84.6,1157.9,213.0,312.4,154.3,341.5,121.8,225.6,151.4,298.2,371.6,159.3,196.1,274.1,219.1,93.3,361.3,45.8,222.3,325.4,303.6,343.8,169.8,197.9,223.3,222.0,246.7,173.9,283.3,327.4,193.6,355.1,130.4,183.9,0.0,144.0,315.3,277.1,210.5,187.0,170.9,147.5,178.1,100.2,190.7,346.5,368.1,86.4,158.9,396.3,269.9,373.0,81.9,314.8,146.5,314.7,188.6,159.3,263.9,37.2,140.3,192.6,248.4,88.8,173.2,189.9,174.6,161.3,104.2,327.5,324.0,97.5,286.8,140.9,144.6,382.0,190.3,290.7,260.2,244.4,277.0,134.9,180.1,293.9,147.4,187.9,164.0,226.5,277.2,209.2,393.2,319.1,202.2,249.2,223.3,74.5,126.3,13.4,194.1,199.8,260.9,124.4,215.4,202.9,199.2,220.5,58.1,175.5,194.9,194.3,229.2,176.8,305.8,230.6,160.7,112.7,256.5,355.5,215.1,309.4,128.5,330.4,345.5,99.7,201.1
MW,205.6,307.3,196.0,87.1,330.8,376.8,150.0,196.6,190.5,264.7,99.1,121.6,219.5,321.3,88.9,162.4,325.8,425.3,217.5,169.2,155.2,392.9,291.8,444.4,161.7,453.3,223.9,332.2,307.2,174.0,316.1,70.1,216.2,114.9,100.3,191.7,224.5,153.1,227.0,108.8,232.5,114.2,301.5,320.0,353.3,242.0,229.9,64.6,188.6,288.8,133.3,252.3,316.5,244.8,268.6,409.8,222.2,50.8,92.9,227.5,181.3,381.5,254.7,203.2,344.3,375.2,144.2,1034.4,146.1,401.3,280.8,336.6,136.8,334.3,172.2,380.8,303.6,258.7,147.2,356.7,327.8,59.5,357.4,155.3,331.0,255.9,386.2,452.5,84.2,222.2,332.0,310.9,306.4,258.3,392.0,219.6,221.7,463.8,151.2,210.8,157.3,0.0,424.0,385.8,317.4,118.8,279.6,223.6,286.8,165.6,191.6,309.9,457.0,163.4,249.4,342.0,329.6,303.5,119.2,316.1,173.4,374.4,297.3,268.0,352.8,172.3,97.6,213.4,190.5,197.5,232.9,283.2,201.5,200.3,110.3,436.2,217.6,176.0,307.6,126.4,253.3,274.2,62.8,292.0,179.8,353.1,365.9,261.4,200.9,376.5,160.0,214.8,78.4,253.4,169.4,329.4,285.4,222.5,256.8,357.9,244.1,101.4,235.0,143.9,105.9,248.7,264.1,81.7,166.5,223.7,226.1,221.4,143.0,214.5,158.9,188.9,180.3,88.8,414.5,251.4,269.4,86.4,316.2,247.7,188.8,418.1,47.8,419.3,237.7,143.2,257.9
MZ,522.0,492.0,401.9,448.2,152.6,58.0,312.3,322.9,254.8,212.6,374.3,364.1,252.4,119.0,346.6,499.8,152.6,28.7,382.9,491.8,291.1,24.7,654.7,85.1,300.2,57.0,434.1,170.1,514.5,471.8,124.2,366.3,318.9,375.8,413.6,495.7,302.8,326.5,471.8,316.1,202.0,412.0,350.0,101.5,107.9,594.0,286.3,388.1,412.8,209.8,518.9,474.9,182.1,222.0,459.0,76.5,306.8,391.0,425.5,410.3,403.3,184.0,256.1,243.1,107.4,74.3,326.0,1348.8,417.4,121.3,217.8,527.5,379.3,126.9,330.7,141.8,557.6,231.1,451.2,117.5,166.9,368.8,547.3,371.5,127.2,511.4,141.4,31.8,433.5,297.9,88.4,129.4,251.3,267.9,45.2,586.9,287.6,90.4,341.2,298.5,325.6,419.5,0.0,39.0,170.6,442.1,202.6,261.9,145.0,279.7,357.0,532.5,69.9,272.4,275.2,579.0,173.1,559.0,349.0,500.8,289.9,207.8,184.1,216.6,87.0,305.8,395.4,371.9,503.5,238.9,306.4,225.7,293.0,340.8,359.7,74.1,510.0,269.3,420.4,322.0,228.2,597.0,465.8,476.7,515.3,154.7,83.2,251.2,359.0,107.8,333.4,261.9,435.5,253.8,539.4,152.1,648.3,505.1,216.5,110.9,354.8,321.3,199.5,339.0,469.6,280.4,446.9,379.5,470.5,327.6,248.9,386.8,353.3,357.4,380.9,321.0,453.7,452.3,52.5,337.3,162.4,388.2,263.5,575.3,375.8,84.8,404.0,110.9,600.6,348.5,218.9
NE,479.4,449.4,359.3,405.6,110.0,15.4,269.7,273.6,212.2,170.0,331.7,321.5,209.8,76.4,304.0,457.2,110.0,55.9,340.3,450.4,247.5,23.5,612.1,131.4,257.6,100.8,391.5,131.0,471.9,429.2,81.6,323.7,276.3,333.2,371.0,453.1,260.2,283.9,429.2,271.3,159.4,369.4,310.9,58.9,65.3,551.4,243.7,345.5,370.2,167.2,476.3,432.3,139.5,179.4,416.4,57.3,273.8,348.4,382.9,367.7,360.7,144.9,213.5,200.5,68.3,31.7,283.4,1309.7,374.8,94.9,175.2,484.9,336.7,84.3,288.1,99.2,515.0,188.5,408.6,74.9,124.3,326.2,504.7,328.9,84.6,468.8,108.6,83.1,390.9,255.3,45.8,86.8,212.2,225.3,6.2,539.9,245.0,111.3,298.6,255.9,283.0,376.9,54.6,0.0,128.0,399.5,160.0,219.3,102.4,237.1,314.4,489.9,117.4,229.8,232.6,539.7,134.0,516.4,312.8,458.2,247.3,168.7,141.5,174.0,44.4,263.2,352.8,329.3,460.9,196.3,263.8,183.1,250.0,298.2,317.1,83.7,467.4,226.7,377.8,284.3,185.6,554.4,423.2,434.1,472.7,107.5,59.5,208.6,316.4,65.2,290.8,219.3,392.9,211.2,489.7,109.5,605.7,462.5,177.4,65.4,314.3,278.7,156.9,296.4,427.0,237.8,404.3,336.9,427.9,285.0,206.3,344.2,310.7,312.4,338.3,278.4,411.1,409.7,62.0,294.7,119.8,345.6,222.0,532.7,333.2,65.6,361.4,112.9,558.0,305.9,176.3
NG,413.3,383.3,293.2,339.5,53.3,113.5,171.7,184.6,146.1,74.3,265.6,255.4,121.3,43.8,237.9,391.1,32.6,161.5,244.6,384.3,182.4,136.1,546.0,153.8,191.5,220.9,325.4,197.5,411.1,363.1,38.6,257.6,192.2,267.1,304.9,387.0,164.5,217.8,363.1,203.4,93.3,303.3,328.5,140.9,139.3,485.3,148.0,279.4,304.1,127.7,410.2,366.2,155.4,113.3,350.3,186.4,168.5,282.3,316.8,301.6,294.6,274.0,117.8,134.4,165.2,97.7,211.9,1303.2,313.7,123.8,119.7,418.8,270.6,120.3,222.0,87.6,448.9,92.8,342.5,63.5,63.5,260.1,438.6,262.8,75.3,402.7,93.0,195.7,324.8,159.6,152.9,33.4,245.8,136.8,135.2,473.8,156.5,203.8,232.5,167.4,216.9,310.8,163.8,129.0,0.0,333.4,71.5,153.2,106.4,171.0,218.7,423.8,179.5,163.7,148.5,473.6,232.0,450.3,240.3,392.1,151.6,276.8,53.0,85.5,75.3,197.1,286.7,263.2,394.8,130.2,191.2,87.4,154.3,232.1,251.0,212.8,401.3,160.6,293.7,216.3,97.1,488.3,357.1,368.0,406.6,182.1,88.4,124.5,232.3,83.3,224.7,123.6,326.8,115.5,430.7,150.3,539.6,396.4,81.7,108.0,228.1,212.6,90.8,230.3,360.9,165.2,338.2,270.8,361.8,200.9,110.6,248.5,244.6,248.7,272.2,179.0,345.0,343.6,185.3,222.1,90.3,284.7,258.0,466.6,267.1,194.7,295.3,141.8,491.9,239.8,80.6
NI,175.0,237.7,291.4,53.9,349.0,395.0,168.2,214.8,258.8,282.9,209.1,235.0,237.7,339.5,140.2,106.3,344.0,443.5,180.9,99.5,268.6,411.1,261.2,462.6,277.3,471.5,319.3,394.8,260.2,78.3,334.3,159.9,303.3,210.3,106.0,102.2,227.6,145.1,137.5,127.0,250.7,40.2,396.9,338.2,371.5,211.4,248.1,122.2,284.0,307.0,125.4,172.1,334.7,263.0,201.4,428.0,217.8,113.2,73.3,156.0,176.9,475.7,272.9,238.9,362.5,393.4,162.4,1039.1,74.6,419.5,299.0,273.2,237.4,352.5,267.6,399.0,271.8,276.9,57.7,374.9,346.0,104.7,293.0,196.1,349.2,224.1,404.4,470.7,64.6,217.8,350.2,329.1,393.5,276.5,410.2,189.0,239.9,482.0,246.6,229.0,195.9,123.6,442.2,404.0,335.6,0.0,297.8,292.2,305.0,247.0,187.2,278.1,475.2,181.6,303.6,310.2,429.3,271.7,219.9,246.5,191.6,474.1,315.5,286.2,371.0,223.9,87.8,308.8,110.0,215.7,320.0,301.4,219.7,295.7,194.5,454.4,187.0,244.3,403.0,122.0,271.5,243.6,108.4,222.4,121.8,371.3,384.1,279.6,296.3,394.7,138.2,233.0,92.8,271.6,138.8,347.6,254.8,191.9,275.0,376.1,339.5,131.3,253.2,182.5,75.3,344.5,192.6,72.3,77.0,319.1,244.3,176.9,197.8,309.9,154.5,184.5,90.8,78.8,432.7,346.8,287.6,181.8,403.3,217.1,284.2,436.3,138.1,437.5,207.1,256.6,276.1
NJ,367.0,337.0,227.6,293.2,96.2,156.4,157.3,178.6,80.5,130.7,200.0,189.8,49.7,86.7,191.6,344.8,97.5,204.4,237.4,338.0,115.8,179.0,499.7,209.8,125.9,259.9,259.8,183.2,359.5,316.8,81.5,211.3,147.4,201.5,258.6,340.7,218.4,171.5,316.8,158.9,43.1,257.0,281.5,126.6,113.1,439.0,204.4,233.1,238.5,113.4,363.9,319.9,141.1,49.0,304.0,216.4,234.5,236.0,270.5,255.3,248.3,264.1,107.9,68.8,150.9,140.6,162.4,1237.6,262.4,166.7,105.4,372.5,205.0,94.1,156.4,152.5,402.6,93.9,296.2,128.4,73.4,213.8,392.3,191.3,83.2,356.4,157.9,238.6,278.5,216.0,138.6,76.3,231.5,110.9,178.1,427.5,130.6,257.6,166.9,141.5,170.6,264.5,210.1,171.9,64.8,287.1,0.0,88.9,93.4,105.4,211.5,377.5,222.4,117.4,118.3,427.3,217.7,404.0,181.1,345.8,180.7,262.5,42.9,59.6,118.2,150.8,240.4,197.6,348.5,83.9,162.2,124.5,208.8,166.5,185.4,242.8,355.0,95.0,263.5,171.9,25.5,442.0,295.2,321.7,360.3,159.7,131.3,94.3,185.1,148.2,178.4,180.0,280.5,171.9,377.3,136.0,493.3,350.1,138.1,117.7,200.0,166.3,45.6,184.0,314.6,150.9,291.9,224.5,315.5,170.7,167.0,241.3,179.0,180.7,225.9,225.3,298.7,297.3,221.1,207.8,76.0,233.2,241.3,420.3,201.5,224.7,249.0,184.7,445.6,174.2,137.0
NR,372.6,342.6,178.9,267.6,182.8,213.0,162.9,209.5,66.3,177.5,151.3,141.1,92.2,173.3,181.0,334.2,183.2,261.5,256.4,327.4,67.1,229.1,489.1,296.4,77.2,289.5,211.1,174.4,365.1,306.2,168.1,166.5,58.4,152.8,248.0,330.1,237.4,177.1,322.4,148.3,68.7,246.4,229.2,156.2,189.5,439.3,242.8,207.5,189.8,100.7,317.0,325.5,128.4,38.7,309.6,246.0,256.2,225.4,259.9,260.9,253.9,223.7,154.7,72.4,180.5,227.2,121.4,1188.9,268.0,253.3,92.7,378.1,156.3,170.5,107.7,238.2,408.2,140.7,285.6,214.1,156.8,188.2,397.9,142.6,167.2,362.0,243.6,288.7,267.9,237.7,168.2,162.9,148.6,157.7,228.2,416.9,177.4,300.0,118.2,188.3,134.6,232.2,260.2,222.0,155.4,276.5,97.8,0.0,123.0,56.7,230.5,383.1,309.0,123.0,32.0,432.9,171.8,409.6,132.4,351.4,186.3,216.6,119.8,106.4,204.8,114.8,229.8,148.9,337.9,89.5,75.1,171.3,214.4,117.8,136.7,272.4,360.6,46.3,194.4,177.5,90.3,447.6,246.5,327.3,349.7,189.3,217.9,56.0,133.0,233.9,184.0,226.8,269.9,218.7,366.7,147.6,482.7,355.7,184.9,194.1,130.9,155.7,71.2,148.0,289.0,90.9,297.5,213.9,304.9,101.6,213.8,260.3,130.3,132.0,231.5,230.9,304.3,271.7,250.7,124.9,105.6,186.9,158.4,425.9,152.8,254.3,216.5,271.3,435.0,125.5,183.8
NU,376.9,346.9,256.8,303.1,132.5,89.9,171.1,225.4,109.7,196.8,229.2,219.0,105.6,98.9,201.5,354.7,156.4,138.4,260.7,346.7,144.7,106.0,509.6,212.5,155.1,166.4,289.0,89.7,374.7,326.7,104.1,221.2,173.8,230.7,268.5,349.3,240.4,181.4,326.7,171.0,56.9,266.9,310.1,33.1,98.4,448.9,247.1,243.0,267.7,100.2,373.8,329.8,72.5,76.9,313.9,122.9,250.9,245.9,280.4,265.2,258.2,170.6,168.1,96.7,57.4,106.2,180.9,1266.8,277.3,169.4,101.3,382.4,234.2,80.7,185.6,173.7,412.5,152.8,304.8,149.4,94.2,223.7,400.9,226.4,77.4,366.3,183.1,165.6,289.9,242.0,45.1,109.3,182.3,180.0,105.1,441.8,199.7,187.8,196.1,210.6,180.5,274.4,133.7,98.9,122.4,297.0,96.1,116.8,0.0,134.6,234.8,387.4,203.7,128.3,130.1,433.9,124.2,413.9,203.9,355.7,190.6,169.0,101.8,128.7,118.9,160.7,250.3,226.8,357.1,93.8,172.8,184.7,219.1,198.2,214.6,149.3,364.9,124.2,275.3,176.9,107.9,451.9,320.7,331.6,368.9,75.6,134.0,104.8,213.9,139.7,188.3,232.0,289.1,239.3,394.3,42.5,503.2,360.0,202.0,100.1,209.7,176.2,53.1,193.9,324.5,147.0,301.8,234.4,325.4,182.5,234.4,264.6,208.2,212.3,232.6,238.9,308.6,307.2,127.6,203.7,16.0,248.3,194.5,430.2,229.4,131.2,258.9,187.4,455.5,203.4,204.4
