from_stop,AB,AE,AR,AY,BB,BL,CE,CF,CI,CJ,CL,CM,CS,CV,CX,DD,DN,DW,DZ,FD,GF,GJ,GK,GN,HB,HE,HO,HP,HU,IG,IY,IZ,JA,JD,JO,JQ,JT,JU,JV,JW,KD,KN,KW,KX,LF,LJ,LP,LS,LY,MD,MH,MM,MQ,MU,NA,NE,NI,NO,NW,OB,OJ,OL,OW,PA,PH,PN,PW,PZ,QI,QV,QX,RD,RG,SA,SC,SF,ST,SW,SY,TD,TN,UE,UM,US,UU,UX,VA,VF,WR,WV,XF,XG,XK,XS,XX,YK,ZD,ZQ,ZT
JD,463.2,415.8,168.0,512.1,84.7,504.3,130.2,561.2,510.2,593.0,160.1,531.1,270.2,173.8,271.4,538.2,420.0,472.7,186.9,235.1,368.4,421.5,521.9,469.4,284.6,295.4,204.4,458.7,301.8,581.4,387.6,161.1,264.9,0.0,177.3,238.3,453.0,321.0,244.5,531.3,172.0,321.9,495.0,617.6,656.7,354.9,321.1,492.5,134.8,138.9,638.9,322.8,379.0,176.4,386.4,82.5,515.0,568.4,124.9,159.4,445.4,195.0,100.5,578.7,153.9,465.2,438.2,434.6,216.4,624.8,209.4,586.1,429.8,487.9,200.4,378.5,177.7,179.9,294.9,476.0,229.4,374.0,325.2,117.3,212.3,199.1,445.3,101.3,403.4,101.3,329.5,102.8,204.7,69.2,284.3,281.3,489.3,99.8,234.3
JO,502.9,455.5,226.9,551.8,333.2,544.0,354.8,600.9,549.9,632.7,353.9,570.8,104.8,422.3,311.1,577.9,459.7,512.4,178.4,238.5,408.1,461.2,561.6,509.1,128.2,130.0,195.9,498.4,136.4,621.1,427.9,413.6,189.8,358.5,0.0,276.3,492.7,185.0,250.4,571.0,197.5,360.2,534.7,657.3,696.4,434.4,360.8,532.2,343.2,215.2,678.6,408.1,418.7,217.8,426.1,335.0,554.7,608.1,377.4,279.5,485.1,408.1,349.0,618.4,178.1,504.9,477.9,474.3,234.4,664.5,237.0,625.8,449.7,527.6,255.1,418.2,386.1,388.3,370.0,515.7,284.1,413.7,364.9,365.8,250.3,201.6,485.0,353.8,443.1,216.7,345.8,355.3,40.1,312.4,324.0,289.0,529.0,352.3,240.2
JQ,421.3,373.9,245.0,470.2,351.3,462.4,377.3,519.3,468.3,553.4,386.6,489.2,122.9,440.4,229.5,496.3,378.1,430.8,196.5,156.9,326.5,384.7,480.0,427.5,161.4,148.1,216.9,416.8,154.5,539.5,345.7,431.7,207.9,376.6,219.3,0.0,411.1,103.4,321.0,489.4,115.9,280.0,453.1,575.7,614.8,352.8,277.9,450.6,361.3,233.3,597.0,280.9,337.1,235.9,325.6,353.1,473.1,526.5,395.5,297.6,403.5,426.2,367.1,536.8,192.4,423.3,396.3,392.7,252.5,582.9,255.1,544.2,368.1,469.4,273.2,336.6,404.2,406.4,288.4,434.1,302.2,340.7,283.3,383.9,168.7,219.7,403.4,371.9,361.5,232.5,264.2,373.4,259.5,330.5,242.4,305.3,447.4,370.4,258.3
JT,170.0,122.6,647.8,218.9,629.4,211.1,674.9,268.0,267.3,326.1,608.3,237.9,525.7,718.5,197.5,592.5,218.3,179.5,599.9,505.3,151.2,222.2,228.7,253.4,541.1,550.9,616.8,165.5,557.3,288.2,157.3,648.9,610.7,654.7,622.1,543.1,0.0,442.5,723.8,238.1,464.3,155.1,201.8,348.4,387.5,147.3,244.4,199.3,583.0,636.1,369.7,228.4,187.8,638.7,199.7,621.1,221.8,275.2,647.1,643.7,152.2,739.7,645.2,314.9,599.0,172.0,53.2,141.4,655.3,331.6,657.9,292.9,179.1,268.4,676.0,247.6,625.9,628.1,249.7,233.1,716.3,165.4,269.7,662.0,517.1,622.5,202.4,584.1,217.1,637.6,233.5,625.6,649.5,613.9,184.6,709.9,246.4,587.6,661.1
JU,401.0,353.6,336.3,449.9,442.6,442.1,464.2,499.0,448.0,530.8,463.3,468.9,214.2,531.7,209.2,476.0,357.8,410.5,288.4,53.4,306.2,359.3,459.7,407.2,258.2,239.4,305.3,396.5,245.8,519.2,325.4,532.4,299.2,467.9,310.6,91.2,390.8,0.0,412.3,469.1,12.4,258.3,432.8,555.4,594.5,292.7,257.6,430.3,452.6,324.6,576.7,260.6,316.8,327.2,305.3,444.4,452.8,506.2,486.8,388.9,383.2,517.5,458.4,516.5,283.7,403.0,376.0,372.4,343.8,562.6,346.4,523.9,367.6,449.1,364.5,316.3,495.5,497.7,232.7,413.8,393.5,320.4,263.0,475.2,65.2,327.9,383.1,455.4,341.2,323.8,267.3,464.7,350.8,421.8,222.1,396.6,427.1,471.1,369.4
JV,480.4,433.0,449.9,529.3,324.9,521.5,577.8,578.4,724.9,612.5,576.9,745.8,96.5,645.3,288.6,752.9,634.7,489.9,170.7,216.0,385.6,641.3,736.6,486.6,129.9,121.7,418.9,673.4,128.1,796.1,391.6,636.6,412.8,581.5,192.9,451.3,667.7,162.5,0.0,746.0,372.5,536.2,512.2,832.3,673.9,609.4,337.0,707.2,566.2,438.2,656.1,385.6,593.7,440.8,384.7,558.0,532.2,585.6,369.1,271.2,660.1,417.9,340.7,793.4,166.0,482.4,455.4,451.8,457.4,642.0,460.0,800.8,644.5,702.6,246.8,593.2,377.8,611.3,545.0,690.7,275.8,391.2,361.2,357.5,227.8,193.3,660.0,576.8,420.6,439.8,544.2,578.3,451.6,304.1,499.0,512.0,506.5,577.3,483.0
JW,226.8,187.8,728.0,155.6,709.6,271.7,755.1,243.7,200.5,197.5,673.9,77.2,605.9,798.7,333.1,672.7,171.7,240.7,680.1,585.5,286.8,357.8,68.0,49.2,621.3,631.1,697.0,209.9,637.5,263.9,292.9,729.1,690.9,734.9,702.3,623.3,173.5,522.7,804.0,0.0,544.5,290.7,262.4,222.0,261.1,282.9,236.2,175.0,663.2,716.3,282.7,364.0,323.4,718.9,335.3,701.3,197.5,135.8,727.3,723.9,209.0,819.9,725.4,227.9,679.2,245.2,189.9,168.5,735.5,192.2,738.1,153.5,314.7,148.8,756.2,239.4,706.1,708.3,385.3,166.3,796.5,301.0,261.5,742.2,597.3,702.7,115.5,664.3,198.2,717.8,369.1,705.8,729.7,694.1,320.2,790.1,179.6,667.8,741.3
KD,388.5,341.1,325.9,437.4,432.2,429.6,458.2,486.5,435.5,520.6,452.9,456.4,203.8,521.3,196.7,463.5,345.3,398.0,277.4,63.0,293.7,346.8,447.2,394.7,227.2,229.0,297.8,384.0,235.4,506.7,312.9,519.9,288.8,457.5,300.2,80.8,378.3,246.3,401.9,456.6,0.0,239.0,420.3,542.9,582.0,320.0,245.1,417.8,442.2,314.2,564.2,248.1,304.3,316.8,292.8,434.0,440.3,493.7,476.4,378.5,370.7,525.2,448.0,504.0,273.3,390.5,363.5,364.1,333.4,550.1,336.0,511.4,355.1,436.6,354.1,303.8,485.1,487.3,220.2,401.3,383.1,299.3,250.5,464.8,62.6,300.6,370.6,452.8,328.7,315.8,258.7,456.5,340.4,411.4,209.6,386.2,414.6,458.6,339.2
KN,149.4,102.0,514.7,198.3,496.3,218.2,546.2,247.4,274.4,303.6,453.1,217.3,392.6,563.3,64.4,437.3,159.5,158.9,444.1,350.1,46.8,135.4,208.1,198.1,392.6,417.8,464.5,144.9,402.1,259.8,60.6,493.7,463.2,521.6,489.0,410.0,156.9,296.6,576.3,217.5,315.8,0.0,181.2,320.0,360.1,41.1,135.5,170.9,449.9,480.9,341.3,27.6,65.2,483.5,72.6,488.0,193.4,254.6,460.3,516.9,131.6,602.6,490.0,322.0,440.0,151.4,205.4,125.0,500.1,304.2,502.7,272.3,116.0,224.4,520.8,132.0,477.4,472.9,59.1,240.2,549.8,60.2,139.6,513.5,364.4,484.2,181.8,436.7,142.9,480.1,82.2,468.2,507.1,480.8,37.1,552.9,225.8,434.4,525.7
KW,72.3,24.9,624.5,121.2,606.1,9.3,656.0,170.3,151.6,228.4,585.0,140.2,502.4,695.2,174.2,569.2,112.6,63.8,576.6,482.0,127.9,198.9,131.0,155.7,517.8,527.6,593.5,67.8,534.0,190.5,134.0,625.6,587.4,631.4,598.8,519.8,61.8,419.2,648.0,140.4,441.0,131.8,0.0,250.7,289.8,124.0,177.1,101.6,559.7,612.8,272.0,205.1,164.5,615.4,176.4,597.8,124.1,177.5,623.8,620.4,54.5,716.4,621.9,217.2,575.7,68.6,115.1,43.7,632.0,233.9,634.6,195.2,155.8,152.7,652.7,180.3,602.6,604.8,226.4,117.4,693.0,142.1,202.4,638.7,493.8,599.2,86.7,560.8,139.1,614.3,210.2,602.3,626.2,590.6,161.3,686.6,130.7,564.3,637.8
KX,277.3,238.3,805.8,206.1,787.4,322.2,832.9,294.2,278.3,33.0,751.7,246.4,683.7,876.5,383.6,728.5,249.5,291.2,757.3,663.3,337.3,360.2,237.2,168.7,698.1,708.9,774.8,260.4,715.3,314.4,329.6,806.9,768.7,812.7,780.1,701.1,251.3,609.8,881.8,220.6,622.3,333.5,312.9,0.0,39.0,300.3,314.0,225.5,741.0,794.1,121.4,368.9,373.9,796.7,385.8,779.1,248.0,82.3,773.5,808.0,259.5,897.7,803.2,157.3,753.2,295.7,267.7,213.9,813.3,84.9,815.9,67.0,385.0,226.6,834.0,317.2,783.9,786.1,400.4,244.1,863.0,342.9,339.3,820.0,675.1,780.5,193.3,742.1,276.0,779.9,419.6,781.4,807.5,771.9,370.7,866.1,257.4,745.6,838.9
LF,316.5,277.5,845.0,245.3,826.6,361.4,872.1,333.4,317.5,72.6,805.5,285.6,722.9,915.7,422.8,767.7,288.7,330.4,796.5,702.5,376.5,399.4,276.4,207.9,737.3,748.1,816.9,299.6,754.5,353.6,368.8,846.1,807.9,851.9,819.3,740.3,290.5,649.0,921.0,259.8,661.5,372.7,352.1,39.1,0.0,339.5,353.2,264.7,780.2,833.3,160.6,408.1,413.1,835.9,417.0,818.3,287.2,121.5,844.3,847.2,298.7,936.9,842.4,196.5,792.4,334.9,306.9,258.2,852.5,124.1,855.1,106.2,424.2,265.8,873.2,356.4,823.1,825.3,475.0,283.3,902.2,382.1,378.5,859.2,722.1,819.7,232.5,789.1,315.2,832.5,458.8,820.6,859.5,811.1,409.9,905.3,296.6,784.8,858.3
LJ,204.1,156.7,592.2,248.9,515.1,249.0,560.6,314.9,176.5,292.3,552.7,284.8,411.4,662.9,248.8,536.9,86.3,175.8,543.7,449.7,36.9,64.9,275.6,135.7,508.6,436.6,564.1,103.7,501.7,226.4,194.8,593.3,496.4,599.1,507.8,428.8,119.3,396.2,609.5,263.4,408.7,199.7,239.7,315.3,354.4,0.0,99.1,137.5,468.7,580.5,307.9,234.1,239.1,583.1,261.9,506.8,160.0,229.1,559.9,594.4,186.3,702.2,589.6,321.2,539.6,200.4,104.5,179.7,599.7,269.8,602.3,246.8,250.2,154.2,620.4,103.6,570.3,572.5,248.4,142.3,649.4,208.1,95.0,547.7,464.0,583.8,111.6,536.3,69.7,579.7,288.7,567.8,606.7,499.6,235.9,652.5,155.6,534.0,625.3
LP,217.9,170.5,491.7,262.7,473.3,261.5,520.1,328.7,189.0,306.1,452.2,298.6,369.6,562.4,124.4,436.4,100.1,189.6,443.2,349.2,215.0,237.9,289.4,148.2,408.1,394.8,463.6,212.1,401.2,347.6,208.6,492.8,454.6,498.6,466.0,387.0,133.1,295.7,515.2,277.2,308.2,173.5,253.5,329.1,368.2,179.3,0.0,258.7,426.9,480.0,389.8,175.8,252.9,482.6,239.4,465.0,281.2,242.9,459.4,493.9,200.1,601.7,489.1,333.7,439.1,214.2,117.0,193.5,499.2,298.0,501.8,260.6,264.0,168.0,519.9,58.6,469.8,472.0,147.9,154.8,548.9,221.9,5.3,505.9,363.5,483.3,125.4,435.8,83.5,479.2,186.4,467.3,506.2,457.8,137.3,552.0,169.4,433.5,524.8
LS,176.3,128.9,660.2,163.2,641.8,221.2,691.7,68.6,132.7,205.1,620.7,38.5,538.1,730.9,258.2,604.9,103.9,148.0,611.7,517.7,211.9,234.8,29.3,50.0,576.6,563.3,632.1,171.8,569.7,88.8,217.4,661.3,623.1,667.1,634.5,555.5,94.8,464.2,736.2,177.7,476.7,208.1,211.9,229.6,268.7,208.0,168.4,0.0,595.4,648.5,290.3,289.1,248.5,651.1,260.4,633.5,22.4,143.4,627.9,662.4,158.5,752.1,657.6,235.5,611.4,172.6,148.1,147.7,667.7,199.8,670.3,161.1,259.6,91.9,688.4,171.6,638.3,640.5,275.0,98.5,717.4,217.5,193.7,674.4,529.5,634.9,47.7,596.5,130.4,650.0,298.1,635.8,674.7,626.3,245.3,720.5,111.8,600.0,673.5
LY,471.8,424.4,122.3,520.7,235.6,512.9,281.1,569.8,518.8,601.6,10.6,539.7,226.4,324.7,280.0,546.8,428.6,481.3,165.6,119.5,377.0,430.1,530.5,478.0,259.8,251.6,186.0,467.3,258.0,590.0,396.2,239.3,243.6,260.9,131.6,103.4,461.6,206.9,198.8,539.9,96.5,329.1,503.6,626.2,665.3,363.5,328.4,501.1,0.0,117.6,647.5,377.0,387.6,205.0,384.1,237.4,523.6,577.0,281.4,79.7,454.0,364.0,251.4,587.3,136.6,473.8,446.8,443.2,221.6,633.4,163.7,594.7,418.6,496.5,242.3,387.1,42.8,45.0,338.9,484.6,271.3,382.6,352.6,268.2,85.2,160.9,453.9,182.3,412.0,84.0,338.1,257.7,171.8,214.8,292.9,235.6,497.9,178.0,208.4
MD,500.4,453.0,85.9,549.3,117.9,541.5,163.4,598.4,547.4,632.5,197.3,568.3,170.9,207.0,308.6,575.4,457.2,509.9,64.4,272.3,405.6,490.3,559.1,583.8,186.3,196.1,81.3,495.9,202.5,618.6,425.4,198.3,141.8,143.2,95.2,275.5,490.2,348.9,416.4,568.5,209.2,350.9,532.2,654.8,693.9,431.9,357.0,529.7,172.0,0.0,676.1,405.6,416.2,103.2,412.7,119.7,552.2,605.6,163.7,104.8,482.6,228.2,133.7,615.9,26.2,502.4,475.4,471.8,119.8,662.0,127.3,623.3,447.2,548.5,140.5,415.7,214.9,217.1,367.5,513.2,180.8,419.8,381.2,150.5,249.5,82.9,482.5,130.7,440.6,32.7,366.7,142.2,122.6,97.1,321.5,188.3,526.5,137.0,139.5
MH,303.7,264.7,860.3,232.5,841.9,348.6,887.4,320.6,346.5,79.6,806.2,272.8,738.2,931.0,410.0,752.6,317.7,317.6,811.8,717.8,363.7,386.6,263.6,236.9,771.6,763.4,832.2,286.8,769.8,340.8,356.0,861.4,823.2,867.2,834.6,755.6,315.6,664.3,936.3,247.0,676.8,401.4,339.3,104.2,143.3,326.7,382.2,251.9,795.5,848.6,0.0,395.3,400.3,851.2,404.2,833.6,274.4,150.5,859.6,862.5,285.9,970.3,857.7,181.4,807.7,322.1,335.9,240.3,867.8,153.1,870.4,135.2,391.6,294.8,888.5,385.4,838.4,840.6,426.8,312.3,917.5,377.9,407.5,874.5,737.4,835.0,261.5,804.4,344.2,834.4,449.9,835.9,874.8,826.4,397.1,920.6,325.6,800.1,873.6
MM,219.8,172.4,491.6,268.7,473.2,260.9,523.1,317.8,284.3,374.0,484.9,287.7,369.5,595.1,41.3,469.1,229.9,229.3,475.9,381.9,92.2,178.1,278.5,243.5,440.8,394.7,496.3,182.5,433.9,305.2,131.0,525.5,454.5,498.5,465.9,386.9,227.3,295.6,547.9,287.9,340.9,77.1,251.6,365.4,404.5,111.5,167.3,216.3,426.8,512.7,386.7,0.0,135.6,515.3,143.0,464.9,238.8,325.0,492.1,493.8,202.0,634.4,521.8,331.9,471.8,221.8,248.1,195.4,531.9,348.6,534.5,342.7,186.4,294.8,519.8,224.7,469.7,504.7,90.9,282.9,548.8,130.6,171.4,505.8,396.2,516.0,252.2,468.5,213.3,511.9,114.0,500.0,538.9,457.7,28.4,584.7,296.2,466.2,557.5
MQ,235.4,188.0,572.8,280.2,554.4,280.3,604.3,346.2,207.8,322.1,518.7,316.1,450.7,643.5,205.5,517.5,117.6,207.1,524.9,430.3,233.8,304.8,306.9,310.0,466.1,475.9,541.8,230.9,482.3,366.4,239.9,573.9,535.7,579.7,547.1,468.1,150.6,367.5,648.8,294.7,389.3,237.7,271.0,346.6,385.7,229.9,81.0,277.5,508.0,561.1,407.3,311.0,0.0,563.7,282.3,546.1,300.0,260.4,572.1,568.7,217.6,664.7,570.2,352.5,524.0,231.7,135.8,206.8,580.3,316.8,582.9,278.1,261.7,208.9,601.0,76.1,550.9,553.1,264.4,173.6,641.3,248.0,106.3,587.0,442.1,547.5,142.9,509.1,101.0,562.6,263.6,550.6,574.5,538.9,218.4,634.9,186.9,512.6,586.1
MU,564.9,517.5,120.2,613.8,186.5,606.0,136.9,662.9,611.9,697.0,261.8,632.8,182.9,252.7,373.1,639.9,521.7,574.4,42.0,336.8,470.1,554.8,623.6,648.3,198.3,208.1,58.2,560.4,214.5,683.1,489.9,266.9,98.7,211.8,94.5,340.0,554.7,270.3,425.5,633.0,273.7,415.4,596.7,719.3,758.4,496.4,421.5,594.2,236.5,89.6,740.6,470.1,480.7,0.0,477.2,188.3,616.7,670.1,232.3,166.5,547.1,190.2,186.6,680.4,89.4,566.9,539.9,536.3,38.8,726.5,130.3,687.8,511.7,613.0,117.4,480.2,279.4,281.6,432.0,577.7,157.7,484.3,445.7,182.3,314.0,94.9,547.0,199.3,505.1,122.4,431.2,210.8,121.9,165.7,386.0,182.3,591.0,205.6,133.5
NA,229.5,182.1,551.2,274.3,514.9,256.5,578.3,340.3,201.9,317.7,517.4,310.2,418.2,621.9,166.0,495.9,111.7,201.2,485.4,408.7,210.0,256.5,301.0,161.1,452.5,454.3,502.3,225.0,460.7,360.5,225.9,552.3,514.1,547.2,514.6,452.2,144.7,337.3,556.8,288.8,356.8,213.9,265.1,322.8,385.5,206.1,41.5,260.7,486.4,539.5,390.5,287.2,264.5,542.1,0.0,513.6,294.1,254.5,532.6,553.4,211.7,651.5,548.6,352.3,484.5,225.8,129.9,183.0,558.7,293.0,561.3,272.2,237.9,185.1,579.4,70.2,518.4,531.5,224.9,167.7,608.4,224.2,66.8,573.4,423.0,508.0,137.0,469.6,77.2,546.7,231.1,511.1,535.0,517.3,196.8,595.4,181.0,473.1,546.6
NE,404.5,357.1,198.4,453.4,128.6,445.6,178.4,502.5,451.5,534.7,101.4,472.4,302.5,217.7,212.6,479.5,361.3,414.0,241.8,176.4,309.6,362.8,463.2,410.6,341.1,327.7,262.2,400.0,334.2,522.7,315.7,148.1,319.7,153.8,207.7,179.6,394.3,262.3,274.9,472.6,113.3,261.8,436.3,558.8,597.9,296.2,262.4,433.8,76.1,193.8,580.2,264.1,320.3,220.3,327.7,0.0,456.3,509.7,66.2,100.6,386.7,257.0,144.4,520.0,212.8,406.5,379.4,380.1,297.8,566.0,239.9,527.4,371.1,429.2,244.3,319.8,118.9,121.2,236.2,417.3,273.3,315.3,266.5,161.1,156.1,254.0,386.6,42.6,344.7,163.7,274.7,122.6,248.0,113.1,225.6,311.8,430.6,88.8,284.6
NI,239.7,200.7,684.8,168.5,666.4,284.6,716.3,256.6,157.3,210.4,645.3,16.0,562.7,755.5,291.0,629.5,128.5,186.8,636.3,542.3,244.7,267.6,6.8,55.3,578.1,587.9,656.7,222.8,594.3,276.8,250.2,685.9,647.7,691.7,659.1,580.1,130.3,488.8,708.3,183.0,501.3,240.9,275.3,234.9,274.0,240.8,193.0,187.9,620.0,673.1,295.6,321.9,281.3,675.7,293.2,658.1,0.0,148.7,684.1,687.0,221.9,803.0,682.2,240.8,632.2,258.1,146.7,176.3,692.3,205.1,694.9,166.4,272.6,105.6,713.0,196.2,662.9,665.1,307.8,123.1,742.0,258.9,218.3,699.0,554.1,659.5,72.3,628.9,155.0,672.3,327.0,660.4,699.3,650.9,278.1,745.1,136.4,624.6,698.1
NO,194.9,155.9,723.4,123.7,705.0,239.8,754.9,211.8,195.9,61.6,683.9,164.0,601.3,794.1,301.2,668.1,167.1,208.8,675.5,580.9,254.9,325.9,154.8,153.5,616.7,626.5,692.4,178.0,632.9,232.0,261.0,724.5,686.3,730.3,697.7,618.7,168.9,518.1,746.9,138.2,539.9,258.8,230.5,86.1,125.2,251.0,231.6,143.1,658.6,711.7,151.5,332.1,291.5,714.3,303.4,696.7,165.6,0.0,722.7,719.3,177.1,815.3,720.8,187.4,674.6,213.3,185.3,136.6,730.9,56.3,733.5,17.6,282.8,144.2,751.6,234.8,701.5,703.7,353.4,161.7,791.9,269.1,256.9,737.6,592.7,698.1,110.9,659.7,193.6,713.2,337.2,701.2,725.1,689.5,288.3,785.5,175.0,663.2,736.7
NW,459.2,411.8,220.5,508.1,174.5,467.6,224.4,557.2,473.5,589.4,108.8,527.1,324.6,296.3,234.7,534.2,416.0,468.7,296.5,231.1,331.7,417.5,517.9,465.4,395.8,349.8,316.9,422.0,388.9,544.7,370.4,226.7,341.8,199.8,229.8,201.6,449.0,284.3,329.7,527.3,168.0,316.5,491.0,580.9,620.0,350.9,317.1,488.5,130.8,248.5,602.2,318.8,375.0,335.9,382.4,166.2,478.3,564.4,0.0,34.4,441.4,335.6,223.0,574.7,267.5,461.2,401.5,434.8,352.5,620.8,294.6,582.1,425.8,483.9,340.5,374.5,173.7,175.9,290.9,472.0,369.5,370.0,321.2,207.1,210.8,308.7,441.3,169.7,399.4,218.4,329.4,201.2,302.7,159.0,280.3,366.5,485.3,167.4,339.3
OB,392.0,344.6,186.0,440.9,140.0,433.1,185.5,490.0,439.0,521.8,74.3,459.9,290.1,229.1,200.2,467.0,348.8,401.5,229.3,163.9,297.2,355.4,450.7,398.2,304.5,315.3,246.8,387.5,321.7,510.2,303.2,159.5,307.3,165.3,195.3,167.1,381.8,249.8,262.5,460.1,100.8,250.3,423.8,546.4,585.5,323.5,248.6,421.3,63.6,181.3,567.7,297.2,307.8,268.7,322.2,131.7,443.8,497.2,157.7,0.0,374.2,250.3,155.8,507.5,196.3,394.0,367.0,363.4,285.3,553.6,227.4,514.9,358.6,416.7,306.0,307.3,106.5,108.7,259.1,404.8,335.0,302.8,272.8,172.6,141.1,224.6,374.1,102.5,332.2,147.7,258.3,134.0,235.5,124.5,213.1,299.3,418.1,98.2,272.1
OJ,17.7,41.3,636.9,109.2,618.5,62.6,664.0,158.3,182.0,216.4,582.8,128.2,514.8,707.6,186.6,581.6,143.0,94.2,589.0,494.4,140.3,211.3,119.0,143.7,530.2,540.0,605.9,55.8,546.4,178.5,146.4,638.0,599.8,643.8,611.2,532.2,92.2,431.6,712.9,128.4,453.4,144.2,53.3,238.7,277.8,136.4,207.5,89.6,572.1,625.2,260.0,217.5,176.9,627.8,188.8,610.2,112.1,165.5,636.2,632.8,0.0,728.8,634.3,205.2,588.1,14.0,145.5,31.7,644.4,221.9,647.0,183.2,168.2,181.6,665.1,210.7,615.0,617.2,238.8,147.8,705.4,154.5,232.8,651.1,506.2,611.6,117.1,573.2,169.5,626.7,222.6,614.7,638.6,603.0,173.7,699.0,161.1,576.7,650.2
OL,601.7,554.3,335.0,650.6,267.8,634.6,196.2,699.7,640.5,731.9,354.9,669.6,397.7,199.5,428.0,676.7,558.5,611.2,230.5,426.4,525.0,578.1,660.4,607.9,413.1,404.8,246.7,597.2,411.2,738.0,526.1,352.4,313.5,209.3,291.2,429.6,591.5,451.3,640.3,669.8,363.3,452.2,633.5,774.2,795.2,525.0,450.1,649.1,344.2,274.9,795.5,498.7,517.5,196.6,523.7,265.6,645.3,706.9,309.6,368.8,583.9,0.0,245.0,717.2,277.9,603.7,576.7,564.9,235.5,755.1,327.0,724.6,540.3,641.6,262.0,517.0,360.8,371.2,460.6,632.6,291.0,512.9,474.3,261.8,406.1,283.4,583.8,276.6,541.9,298.0,463.7,288.1,310.4,252.3,440.9,370.8,627.8,282.9,322.0
OW,528.2,480.8,233.0,577.1,149.7,569.3,152.8,626.2,575.2,660.3,225.1,596.1,335.2,73.2,336.4,603.2,485.0,537.7,252.5,300.1,433.4,518.1,586.9,611.6,350.6,360.4,269.4,523.7,366.8,646.4,453.2,226.1,294.5,64.9,242.3,303.3,518.0,376.7,573.3,596.3,237.0,378.7,560.0,682.6,721.7,459.7,384.8,557.5,199.8,203.9,703.9,433.4,444.0,194.6,440.5,147.5,580.0,633.4,191.5,218.1,510.4,213.2,0.0,643.7,218.9,530.2,503.2,499.6,234.6,689.8,274.4,651.1,475.0,576.3,218.6,443.5,242.7,244.9,395.3,541.0,258.9,447.6,409.0,135.5,277.3,247.2,510.3,158.5,468.4,171.7,394.5,170.0,269.7,134.2,349.3,348.1,554.3,164.8,299.3
PA,256.6,217.6,784.8,185.4,766.4,301.5,816.3,273.5,310.0,123.6,745.3,225.7,662.7,855.5,362.9,669.2,281.2,270.5,736.9,642.3,316.6,339.5,216.5,200.4,704.5,687.9,753.8,239.7,694.3,293.7,322.7,785.9,747.7,791.7,759.1,680.1,268.5,588.8,808.3,199.9,601.3,320.5,292.2,147.8,186.9,312.7,344.4,204.8,720.0,773.1,169.1,393.8,353.2,775.7,357.1,758.1,227.3,194.1,784.1,787.0,238.8,876.7,782.2,0.0,736.0,275.0,299.4,193.2,792.3,196.7,794.9,178.8,344.5,258.3,813.0,348.9,762.9,765.1,379.7,275.8,842.0,330.8,371.0,799.0,656.6,776.4,225.0,728.9,307.7,772.3,402.8,760.4,786.5,750.9,350.0,845.1,289.1,724.6,817.9
PH,509.0,461.6,91.7,557.9,155.0,553.9,209.9,607.0,556.0,639.2,191.3,576.9,176.7,244.1,321.0,584.0,465.8,518.5,37.5,280.9,418.0,467.3,567.7,515.2,215.2,201.9,57.9,504.5,208.3,627.2,420.2,235.4,115.5,180.3,80.3,284.1,498.8,261.4,129.5,577.1,217.8,366.3,540.8,663.4,706.3,400.7,366.9,538.3,184.4,37.0,684.7,368.6,424.8,76.9,432.2,160.6,560.8,614.2,199.2,116.9,491.2,285.3,170.8,624.5,0.0,511.0,484.0,484.6,93.5,674.4,133.1,631.9,475.6,533.7,110.2,424.3,227.3,225.7,340.7,521.8,139.2,419.8,371.0,187.6,260.6,105.6,491.1,175.6,449.2,36.2,379.2,177.1,120.5,138.0,330.1,166.3,535.1,176.1,139.1
PN,27.0,48.4,648.0,133.3,629.6,32.7,675.1,182.4,175.1,240.5,608.5,152.3,525.9,718.7,197.7,592.7,136.1,87.3,600.1,505.5,151.4,222.4,143.1,167.8,541.3,551.1,617.0,79.9,557.5,202.6,157.5,649.1,610.9,654.9,622.3,543.3,85.3,442.7,724.0,152.5,464.5,155.3,23.4,262.8,301.9,147.5,200.6,113.7,583.2,636.3,284.1,228.6,188.0,638.9,199.9,621.3,136.2,189.6,647.3,643.9,24.8,739.9,645.4,229.3,599.2,0.0,138.6,55.8,655.5,246.0,658.1,207.3,179.3,176.2,676.2,203.8,626.1,628.3,249.9,140.9,716.5,165.6,225.9,662.2,517.3,622.7,110.2,584.3,162.6,637.8,233.7,625.8,649.7,614.1,184.8,710.1,154.2,587.8,661.3
PW,116.7,69.3,594.5,165.6,576.1,157.8,626.0,214.7,214.0,270.5,555.0,184.6,472.4,665.2,144.2,539.2,165.0,126.2,546.6,452.0,97.9,120.8,175.4,173.2,514.2,497.6,566.4,112.2,504.0,234.9,103.4,595.6,557.4,601.4,568.8,489.8,124.2,398.5,618.0,184.8,411.0,101.8,148.5,295.1,334.2,60.9,189.8,146.0,529.7,582.8,316.4,129.5,134.5,585.4,164.3,567.8,168.5,221.9,593.8,596.7,98.9,704.5,591.9,261.6,545.7,118.7,0.0,88.1,602.0,278.3,604.6,239.6,145.6,191.7,622.7,194.3,572.6,574.8,161.0,179.8,651.7,112.1,216.4,608.7,463.8,569.2,149.1,530.8,163.8,582.0,180.2,570.1,609.0,560.6,131.3,656.6,193.1,536.3,627.6
