from_stop,AF,AI,AK,AR,BC,BJ,BK,BP,BW,BZ,CG,CV,DL,DR,DY,EB,FB,FF,FG,FJ,HK,HU,HW,IF,IP,IS,JL,JS,KC,KG,KI,KO,KV,LB,LM,LP,LV,NO,NQ,NY,OL,PO,QA,QF,QM,QR,QU,RY,SC,SE,SM,SP,TB,TC,TG,TU,UG,UI,UN,UP,UX,VT,WA,WF,XF,XG,XK,XQ,YR,ZO,ZS,ZW,ZY
QR,217.7,199.1,271.2,145.7,259.2,184.6,219.1,441.5,28.2,250.0,62.6,286.4,291.7,4.1,2155.7,163.4,394.9,248.6,196.7,134.2,226.3,212.9,145.1,90.5,72.3,393.5,322.5,172.6,332.9,202.1,350.3,236.0,364.8,213.9,204.3,341.2,195.5,339.3,119.5,257.1,231.1,340.1,177.0,248.9,235.1,0.0,137.7,286.1,224.2,302.2,259.2,281.6,271.5,324.7,363.9,458.5,320.8,264.6,343.4,216.4,305.6,271.3,268.9,231.0,8.2,320.1,331.8,225.2,316.7,194.5,281.3,400.7,256.8
QU,276.7,320.7,217.4,213.3,147.2,277.2,288.2,494.8,183.8,334.5,131.1,214.6,279.9,248.2,2176.0,48.4,451.8,115.2,262.9,144.1,236.2,279.1,68.0,114.1,130.0,451.8,355.0,240.2,147.5,319.0,321.3,245.9,354.7,306.5,67.8,407.4,118.4,344.9,129.4,150.6,241.0,354.3,238.9,260.2,133.4,238.4,0.0,349.9,234.1,227.4,123.4,315.5,281.4,184.6,178.5,506.1,281.2,133.1,156.6,222.0,315.5,164.8,278.8,132.5,250.9,334.3,346.0,230.8,152.0,74.8,315.1,416.3,177.9
RY,279.5,263.0,173.3,211.0,314.9,211.0,292.7,289.8,184.1,386.8,231.2,145.0,208.8,164.0,2314.3,313.6,253.5,274.6,260.6,292.8,337.5,276.8,372.8,250.2,232.3,253.5,205.6,202.2,243.7,261.7,452.5,327.8,471.3,240.3,294.8,312.3,311.4,393.5,278.1,289.8,389.7,498.7,200.9,319.2,330.8,159.9,297.7,0.0,379.2,212.0,401.8,247.3,300.0,251.1,287.7,301.1,168.0,411.5,252.8,370.7,359.1,274.6,297.4,315.1,166.7,478.7,490.4,379.5,245.1,392.4,44.4,529.8,185.2
SC,97.4,176.9,316.3,191.4,445.6,291.2,88.9,320.0,321.5,127.6,355.9,331.5,336.8,298.7,2332.9,409.0,280.0,398.9,241.0,278.4,117.4,199.3,356.2,312.0,344.5,280.0,180.2,256.2,379.4,175.2,175.0,127.1,193.8,320.5,394.3,244.9,428.1,143.3,300.7,425.5,162.8,237.5,254.9,26.0,462.0,288.9,350.2,345.6,0.0,343.0,393.5,140.7,144.6,369.8,410.4,331.3,365.9,406.7,388.5,151.7,171.7,410.3,142.0,450.8,301.4,212.8,224.5,0.2,361.8,401.3,340.8,277.6,301.9
SE,398.9,283.7,40.9,228.2,99.6,194.9,408.1,376.2,204.0,417.4,241.9,58.4,115.7,184.7,2335.0,199.8,343.4,137.2,281.3,309.7,358.2,297.5,233.6,262.0,249.5,347.5,295.5,227.0,69.4,282.4,483.1,348.5,544.1,224.2,155.6,425.8,197.6,498.9,295.0,96.1,406.6,518.7,225.7,425.8,137.1,179.0,229.3,175.7,395.9,0.0,234.9,364.1,320.7,111.9,75.4,387.5,53.7,251.9,59.5,387.9,379.8,80.9,318.1,121.4,191.5,498.7,510.4,392.6,131.3,200.2,140.9,577.9,149.6
SM,324.6,368.6,177.0,261.2,112.2,328.6,336.1,513.5,231.7,307.0,203.1,170.7,256.2,296.1,2227.4,114.3,473.7,145.3,314.3,192.0,284.1,330.5,115.9,162.0,177.9,473.7,402.9,288.1,107.1,370.4,369.2,297.3,402.6,354.4,96.5,458.8,184.8,392.8,177.3,115.6,288.9,426.8,290.3,308.1,77.4,289.8,91.6,306.0,282.0,187.0,0.0,363.4,329.3,152.8,138.1,521.3,240.8,9.6,112.7,273.4,363.4,129.8,330.2,106.6,298.8,410.3,418.5,282.2,177.7,43.2,274.7,488.8,193.0
SP,143.0,154.1,300.9,267.6,430.2,320.9,162.0,179.2,308.4,139.4,328.0,316.1,321.4,285.6,2345.6,393.6,136.2,383.5,317.2,236.5,145.3,190.0,314.3,341.6,329.1,136.2,39.4,240.8,364.0,152.4,205.1,135.6,238.5,350.2,352.4,157.8,412.7,138.5,258.8,410.1,208.4,242.3,239.5,147.2,451.1,275.8,308.3,235.7,176.8,327.6,424.1,0.0,187.6,354.4,395.0,190.5,316.9,433.8,373.1,194.7,148.9,394.9,185.0,435.4,288.3,230.1,250.6,222.1,346.4,359.4,230.9,282.4,286.5
TB,132.2,176.2,309.5,124.2,299.8,224.0,137.9,409.4,215.1,190.6,134.9,324.7,330.0,195.0,2217.0,204.0,365.5,283.6,173.8,107.9,91.7,180.6,185.7,146.3,136.0,365.5,269.6,151.1,372.6,174.5,238.0,101.4,256.8,253.3,244.9,311.8,236.1,231.7,130.2,297.7,18.1,290.1,149.8,174.8,269.5,190.9,179.7,353.1,145.1,336.2,292.0,230.1,0.0,363.0,396.8,420.7,359.1,305.2,381.7,59.5,171.0,311.9,134.3,271.6,197.7,259.6,271.3,145.4,355.0,230.8,348.3,330.2,295.1
TC,330.3,374.3,188.1,266.9,79.0,300.7,341.8,548.4,237.4,309.2,208.8,185.3,251.5,304.3,2229.6,68.9,505.4,31.5,316.5,197.7,289.8,332.7,121.6,175.0,186.1,505.4,408.6,293.8,88.4,372.6,374.9,299.5,408.3,330.0,68.3,461.0,90.0,401.0,183.0,82.4,297.2,410.5,292.5,313.8,74.3,292.0,123.5,320.6,290.2,175.8,153.1,369.1,335.0,0.0,149.2,562.2,250.3,160.3,97.5,275.6,369.1,96.6,332.4,86.9,304.5,390.5,402.2,284.4,139.7,170.2,285.8,472.5,149.5
TG,398.0,279.3,38.8,227.3,168.4,190.5,409.5,375.3,203.1,420.6,237.5,36.0,111.3,180.3,2330.6,216.1,339.0,209.8,276.9,309.1,353.8,293.1,312.6,266.5,248.6,339.0,291.1,218.5,138.2,278.0,520.9,344.1,539.7,219.8,224.4,421.4,235.2,490.4,294.4,164.9,408.6,515.0,217.2,425.2,201.4,170.5,270.7,171.3,399.1,65.5,307.5,363.2,316.3,178.2,0.0,386.6,88.4,320.7,128.3,387.0,375.4,149.7,313.7,190.2,183.0,495.0,506.7,395.8,168.9,257.9,136.5,577.0,126.4
TU,278.7,333.3,403.6,403.3,482.6,415.0,297.7,66.5,390.8,313.9,425.2,418.8,381.5,368.0,2518.3,496.3,198.6,486.2,452.9,411.0,324.5,325.7,488.8,448.8,436.3,198.6,132.7,376.5,416.4,331.6,379.6,314.8,413.0,444.3,499.3,311.5,515.4,313.0,433.3,462.5,388.8,416.8,375.2,284.5,511.1,362.5,482.8,318.1,314.1,433.5,595.1,174.4,370.6,457.1,447.4,0.0,413.1,608.3,425.5,378.5,328.1,447.3,368.0,487.8,370.7,404.6,425.1,382.4,449.1,533.9,313.3,456.9,389.2
UG,395.5,276.8,34.0,224.8,146.8,188.0,407.0,372.8,200.6,418.1,235.0,51.5,108.8,177.8,2328.1,225.7,336.5,202.0,274.4,306.6,351.3,290.6,280.8,264.0,259.9,336.5,288.6,229.8,130.4,289.3,518.4,341.6,551.8,217.3,227.5,418.9,244.8,501.7,291.9,143.3,406.1,512.5,228.5,436.5,191.9,168.0,280.3,168.8,410.4,50.9,289.4,360.7,313.8,156.6,140.2,384.1,0.0,299.1,106.7,384.5,372.9,128.1,311.2,168.6,194.3,492.5,504.2,393.3,181.5,251.2,134.0,588.3,123.9
UI,314.9,358.9,163.8,251.5,102.5,315.4,320.6,500.3,306.5,293.8,169.3,161.0,246.5,286.4,2214.2,86.2,464.0,126.5,301.1,182.3,274.4,317.3,106.2,152.3,168.2,464.0,393.2,278.4,93.9,357.2,359.5,284.1,378.3,344.7,108.8,445.6,175.1,383.1,167.6,105.9,279.2,417.1,277.1,298.4,72.2,282.3,81.9,296.3,268.7,177.3,112.7,353.7,319.6,142.1,118.1,511.6,227.6,0.0,103.0,260.2,353.7,120.1,317.0,96.9,289.1,397.1,408.8,269.0,161.5,33.5,261.5,479.1,179.8
UN,382.7,299.0,58.5,247.0,57.0,210.2,388.4,395.0,220.1,361.6,237.1,55.7,156.7,200.0,2282.0,140.2,358.7,75.8,296.6,250.1,342.2,312.8,174.0,224.9,236.0,358.7,310.8,238.2,9.8,297.7,427.3,351.9,446.1,239.5,96.0,441.1,138.0,450.9,235.4,36.9,347.0,462.9,236.9,366.2,77.9,195.9,173.5,191.0,336.5,74.2,179.5,382.9,387.4,52.3,12.8,406.3,108.1,192.7,0.0,328.0,395.1,21.7,384.8,62.2,202.7,442.9,454.6,336.8,71.7,144.8,156.2,524.9,90.0
UP,108.7,152.7,286.0,143.1,331.8,242.9,120.2,407.1,174.4,189.3,153.8,301.2,306.5,213.9,2249.0,236.0,342.0,368.6,192.7,139.9,68.2,157.1,217.7,172.8,154.9,342.0,267.3,170.0,349.1,151.0,236.7,77.9,270.1,272.2,275.4,288.3,268.1,208.2,162.2,395.2,57.6,286.7,168.7,172.5,297.0,208.4,211.7,329.6,146.4,312.7,324.0,227.8,113.4,337.0,380.1,418.4,352.2,337.2,358.2,0.0,147.5,380.0,110.8,303.6,216.6,266.7,278.4,143.1,331.5,262.8,324.8,346.5,271.6
UX,83.4,5.1,278.7,107.2,408.0,207.0,89.1,359.6,281.2,233.1,177.4,293.9,299.2,261.1,2259.5,246.5,310.1,355.7,156.8,150.4,60.9,149.8,228.2,184.0,178.5,310.1,219.8,218.6,341.8,3.5,280.5,70.6,299.3,236.3,375.9,256.4,278.6,182.9,172.7,387.9,60.6,332.6,217.3,126.6,312.0,257.0,222.2,322.3,162.7,305.4,338.0,180.3,42.4,332.2,366.0,370.9,328.3,347.7,350.9,102.0,0.0,372.7,39.8,314.1,263.8,302.1,313.8,161.6,324.2,273.3,317.5,372.7,264.3
VT,386.4,430.4,91.4,279.9,50.5,243.1,392.1,427.9,253.0,365.3,240.8,88.6,189.6,232.9,2285.7,141.2,391.6,92.4,329.5,253.8,345.9,345.7,177.7,228.6,239.7,391.6,343.7,271.1,42.7,428.7,431.0,355.6,449.8,272.4,112.6,474.0,141.0,454.6,239.1,15.1,350.7,462.1,269.8,369.9,56.1,228.8,174.5,223.9,340.2,86.7,161.2,425.2,391.1,85.2,45.7,439.2,137.0,170.9,32.8,331.7,425.2,0.0,388.5,40.4,235.6,442.1,453.8,340.5,104.6,123.0,189.1,524.1,122.9
WA,134.8,178.8,312.1,126.8,302.4,226.6,140.5,412.0,217.7,193.2,137.5,327.3,332.6,197.6,2219.6,206.6,368.1,286.2,176.4,110.5,94.3,183.2,188.3,144.1,138.6,368.1,272.2,153.7,375.2,177.1,240.6,104.0,259.4,255.9,247.5,314.4,238.7,234.3,132.8,300.3,20.7,292.7,152.4,177.4,272.1,193.5,182.3,355.7,147.7,338.8,298.1,232.7,2.6,365.6,399.4,423.3,361.7,307.8,384.3,62.1,173.6,314.5,0.0,274.2,200.3,262.2,273.9,148.0,357.6,233.4,350.9,332.8,297.7
WF,345.9,389.9,131.7,282.5,40.6,283.4,351.6,468.2,293.3,324.8,200.3,128.9,229.9,273.2,2245.2,117.2,431.9,102.5,332.1,213.3,305.4,348.3,137.2,188.1,199.2,431.9,424.2,309.4,83.0,388.2,390.5,315.1,409.3,312.7,87.7,476.6,151.1,414.1,198.6,26.0,310.2,421.6,308.1,329.4,66.2,269.1,112.9,264.2,299.7,127.0,120.7,384.7,350.6,125.5,86.0,479.5,177.3,130.4,73.1,291.2,384.7,40.2,348.0,0.0,275.9,401.6,413.3,300.0,144.9,82.5,229.4,483.6,163.2
XF,205.2,190.9,263.0,138.9,251.0,176.4,216.7,434.7,20.0,237.5,64.4,278.2,283.5,147.4,2147.5,155.2,386.7,240.4,188.5,126.0,218.1,204.7,136.9,83.4,65.5,386.7,314.3,165.8,326.1,189.6,337.8,227.8,371.2,205.7,194.6,333.0,187.3,326.8,111.3,248.9,225.5,331.9,164.5,242.1,216.2,137.6,130.9,277.9,216.0,296.7,243.2,274.8,263.3,314.0,357.1,446.0,312.6,256.4,335.2,203.9,297.4,263.1,260.7,222.8,0.0,311.9,323.6,212.7,218.2,182.0,273.1,393.9,248.6
XG,259.3,321.0,466.6,311.0,411.2,410.8,245.0,407.3,401.9,94.4,321.7,469.7,487.1,381.8,2234.8,345.3,364.3,409.1,360.6,241.8,299.4,343.4,306.3,304.1,322.8,364.3,267.5,337.9,402.6,319.3,156.7,309.1,175.5,440.1,365.5,385.9,356.7,257.4,292.8,414.6,304.2,19.9,336.6,257.7,380.9,377.7,342.3,463.8,215.6,486.0,298.9,228.0,306.5,425.4,426.8,418.6,516.2,308.6,411.7,285.2,315.8,428.8,303.9,405.6,384.5,0.0,11.6,215.9,390.3,342.2,459.0,81.9,416.2
XK,272.3,334.0,479.6,324.0,424.2,423.8,258.0,420.3,414.9,107.4,334.7,482.7,500.1,394.8,2247.8,358.3,377.3,422.1,373.6,254.8,312.4,356.4,319.3,321.9,335.8,377.3,280.5,350.9,415.6,332.3,169.7,322.1,188.5,453.1,378.5,398.9,369.7,270.4,305.8,427.6,317.2,8.3,349.6,270.7,393.9,390.7,355.3,476.8,228.6,499.0,308.4,241.0,319.5,438.4,439.8,431.6,529.2,321.6,424.7,298.2,328.8,441.8,316.9,418.6,397.5,12.9,0.0,228.9,403.3,355.2,472.0,70.2,429.2
XQ,94.4,191.1,329.4,194.1,350.1,293.9,75.0,350.1,287.7,174.7,208.8,344.6,349.9,264.9,2267.3,272.7,307.1,412.0,243.7,158.2,120.1,213.5,236.0,196.6,207.7,307.1,210.3,221.0,392.5,189.4,222.1,129.8,240.9,323.2,296.0,267.4,286.4,173.4,180.5,348.0,165.5,236.6,219.7,138.3,321.7,259.4,230.0,354.6,112.2,356.1,345.8,170.8,147.3,382.9,423.5,361.4,395.6,355.5,401.6,154.4,185.9,423.4,144.7,321.9,267.6,275.4,287.1,0.0,374.9,281.1,349.8,276.7,315.0
YR,352.7,396.7,122.6,250.3,115.0,209.6,364.2,458.1,226.1,328.6,231.2,118.8,143.1,203.3,2252.0,47.1,421.8,73.9,299.9,220.1,312.2,316.1,144.0,194.9,203.0,424.5,431.0,238.3,51.7,392.0,394.3,321.9,430.7,238.9,110.5,444.4,66.2,417.9,205.4,97.8,319.6,452.7,237.0,336.2,110.3,193.5,101.7,254.1,307.1,127.5,192.8,388.5,357.4,39.6,82.7,472.1,202.0,202.5,60.8,298.0,391.5,82.6,354.8,122.9,208.7,432.7,444.4,306.8,0.0,202.5,219.3,474.6,58.4
ZO,379.5,423.5,130.2,316.1,68.9,281.9,385.2,466.7,286.6,358.4,258.0,127.4,212.9,271.7,2278.8,120.4,430.4,98.5,365.7,246.9,339.0,381.9,170.8,216.9,232.8,430.4,457.8,343.0,60.3,421.8,424.1,348.7,457.5,311.2,99.9,510.2,141.5,447.7,232.2,72.3,346.4,455.2,341.7,363.0,34.1,261.9,175.0,262.7,336.9,136.1,154.3,418.3,384.2,106.0,91.3,478.0,210.6,164.0,69.4,324.8,418.3,86.5,381.6,63.3,274.4,435.2,446.9,333.6,130.9,0.0,227.9,517.2,146.2
ZS,265.2,248.7,128.8,196.7,270.4,196.7,278.4,275.5,169.8,372.5,216.9,100.5,164.3,149.7,2300.0,294.5,239.2,230.1,246.3,278.5,323.2,262.5,328.3,235.9,218.0,239.2,191.3,187.9,199.2,247.4,438.2,313.5,457.0,226.0,250.3,298.0,292.3,379.2,263.8,245.3,375.4,484.4,186.6,304.9,286.3,145.6,283.4,54.9,364.9,167.5,353.8,233.0,285.7,206.6,243.2,286.8,123.5,367.0,208.3,356.4,344.8,230.1,283.1,270.6,152.4,464.4,476.1,365.2,226.0,347.9,0.0,515.5,170.9
ZW,290.8,352.5,498.1,342.5,442.7,442.3,282.3,438.8,373.8,125.9,333.8,501.2,518.6,413.3,2266.3,376.8,395.8,446.2,392.1,273.3,334.4,374.9,337.8,338.6,349.7,395.8,299.0,369.4,434.1,350.8,128.3,344.1,161.7,471.6,416.1,417.4,388.2,288.9,322.5,446.1,339.2,87.7,368.1,289.2,420.0,403.5,372.0,495.3,263.1,514.0,330.4,259.5,338.0,456.9,465.1,450.1,547.7,340.1,443.2,320.2,347.3,460.3,335.4,437.1,416.0,67.7,79.4,270.9,419.1,373.7,490.5,0.0,447.7
ZY,362.5,243.8,81.4,191.8,157.6,151.1,368.2,390.0,164.9,391.1,212.0,96.6,101.9,144.8,2295.1,128.3,353.7,105.3,241.4,279.6,318.3,257.6,203.5,249.6,213.1,353.7,367.2,179.8,91.4,242.5,456.8,308.6,475.6,180.4,125.5,385.9,126.1,480.4,264.9,137.5,376.5,492.4,178.5,395.7,162.6,140.7,161.6,186.0,366.0,108.1,232.5,327.7,280.8,81.8,115.6,401.3,131.0,242.2,100.5,357.5,339.9,122.3,278.2,162.8,147.5,472.4,484.1,366.3,59.8,245.4,181.2,554.4,0.0
