from_stop,AC,AG,AI,AV,AZ,BB,BF,BJ,BP,BQ,CL,CP,CQ,CR,CT,CU,CZ,DI,DL,DZ,EB,EE,EI,EJ,EN,EP,ET,FC,FJ,FL,FP,FW,GB,GE,GG,GN,GO,GS,GT,HI,HJ,HV,IA,IB,ID,IE,IG,II,IK,IL,IR,IS,IW,JA,JC,JG,JI,JK,JP,KE,KI,KK,KM,KQ,KX,KY,LB,LG,LI,LJ,LY,MF,MP,MS,MT,MZ,NB,ND,NE,NF,NM,NN,NY,NZ,OA,OD,OE,OI,OK,ON,OT,OW,OZ,PA,PD,PJ,PN,PO,PQ,PR,PU,PV,PW,QD,QP,QR,QV,RA,RC,RF,RK,RO,RQ,RR,RS,RV,SD,SI,SL,SM,SN,TA,TC,TJ,TL,TV,UD,UE,UF,UJ,UL,UM,UN,UQ,UZ,VA,VD,VE,VG,VQ,VV,WC,WD,WE,WL,WT,XA,XJ,XL,XP,XT,YA,YL,YM,YN,YT,YV,ZO,ZW,ZX
EB,223.3,582.1,619.9,280.3,270.6,195.8,734.6,646.7,210.0,659.6,646.0,159.0,694.5,190.7,368.6,259.1,267.0,730.6,149.1,698.0,0.0,727.0,171.2,238.3,669.4,185.6,256.3,21.9,159.3,498.0,500.9,648.0,221.4,171.4,314.6,334.8,505.1,433.7,595.2,254.5,323.9,49.1,708.0,604.6,686.5,738.9,525.9,89.0,385.5,268.1,778.7,394.1,130.1,598.0,282.9,199.5,442.5,631.7,709.8,117.5,277.3,760.9,842.9,358.0,345.6,665.5,215.0,277.4,616.2,338.3,261.2,541.9,623.1,45.6,335.7,575.6,484.9,472.0,454.9,141.0,355.1,692.5,689.0,170.6,165.3,96.5,511.7,437.4,553.5,84.2,698.9,600.1,435.5,574.0,723.5,343.0,378.9,618.8,141.8,52.7,175.6,566.6,636.6,78.3,221.0,587.1,702.7,396.9,593.1,321.3,683.9,131.9,199.5,246.8,682.6,725.7,747.1,180.2,2103.6,96.7,585.2,222.5,169.3,560.4,242.4,568.3,307.5,68.3,123.8,279.1,89.3,590.8,720.4,627.0,110.8,590.7,685.2,510.0,638.1,324.8,720.0,698.5,347.1,292.3,706.0,231.4,107.2,679.2,130.9,381.5,666.0,310.2,277.7,117.4,611.1,161.6,167.9,241.9,789.7,378.9
EE,768.7,328.0,325.2,498.8,816.0,741.2,168.8,195.0,755.4,283.5,233.8,829.0,93.7,656.1,795.3,806.0,576.7,38.7,694.5,106.4,723.5,0.0,734.6,707.5,164.4,663.1,803.2,693.0,751.0,303.0,305.9,109.3,766.8,636.2,860.0,836.4,306.8,432.1,287.3,631.8,869.3,734.0,124.2,251.4,37.8,155.1,250.0,652.4,602.2,813.5,124.9,406.7,693.5,161.9,797.8,746.4,367.4,113.0,126.0,680.9,564.2,67.3,188.1,792.4,772.3,229.4,645.5,722.1,421.2,462.4,570.9,346.9,249.9,715.6,770.1,380.6,344.4,294.3,336.0,704.4,519.1,109.3,123.2,716.0,679.0,752.5,301.2,450.0,358.5,740.2,115.1,405.1,437.4,266.1,139.7,491.6,753.8,202.7,718.4,708.7,702.6,213.4,78.9,748.3,747.6,233.9,118.9,823.6,398.1,755.7,117.1,787.9,746.4,600.9,91.0,68.2,181.3,743.6,1758.7,660.1,232.0,767.9,541.1,156.9,787.8,285.1,563.8,721.1,761.7,577.7,754.2,296.1,62.9,210.9,607.8,282.8,110.2,234.1,172.4,570.2,50.2,39.3,892.5,719.0,122.1,619.5,763.2,126.3,694.3,473.4,74.4,855.6,759.0,601.2,169.7,708.5,713.3,629.2,135.9,435.0
EI,231.8,596.0,633.8,288.1,279.1,204.3,748.5,660.6,218.5,673.5,685.1,330.2,708.4,135.7,313.6,204.1,288.6,738.4,157.6,739.8,171.1,765.8,0.0,183.3,683.3,130.6,201.3,193.1,214.1,511.9,514.8,661.9,229.9,81.6,323.1,343.3,512.9,441.5,609.1,199.5,332.4,179.1,721.9,618.5,700.4,752.8,539.8,82.2,324.6,276.6,723.3,401.9,75.1,611.9,291.4,144.5,450.3,645.6,723.7,43.6,222.3,774.8,787.5,303.0,290.6,695.7,147.2,222.4,630.1,291.7,282.8,555.8,637.0,216.8,280.7,589.5,492.7,479.8,462.7,51.2,308.5,706.4,702.9,179.1,110.3,206.7,519.5,445.2,567.4,194.4,712.8,614.0,443.3,587.9,737.4,350.8,330.5,632.7,181.5,213.0,120.6,580.5,650.5,249.5,166.0,601.0,716.6,341.9,607.0,266.3,697.8,242.1,144.5,191.8,699.7,739.6,761.0,125.2,2035.8,74.4,599.1,231.0,183.2,574.3,250.9,582.2,321.4,166.2,234.0,300.7,199.3,604.7,734.3,640.9,139.3,604.6,743.6,523.9,623.7,332.6,727.8,712.4,355.6,237.3,719.9,121.2,217.4,693.1,75.9,338.3,679.9,318.7,222.7,151.9,625.0,106.6,176.4,174.1,734.3,386.7
EJ,233.4,586.5,624.3,232.3,280.7,167.7,743.0,618.0,181.9,668.0,612.3,316.4,719.9,149.9,149.7,156.0,248.4,647.3,217.3,667.0,230.8,674.7,195.9,0.0,677.8,144.8,101.9,252.8,197.7,502.4,505.3,660.9,193.3,196.1,222.6,190.8,449.6,378.2,603.6,213.7,322.7,238.8,716.4,613.0,709.3,747.3,534.3,141.9,253.6,278.2,650.5,338.6,100.8,601.1,152.2,138.7,387.0,640.1,718.2,142.2,236.5,742.1,714.7,146.8,126.7,622.9,147.9,84.1,620.6,239.4,242.6,546.3,618.4,276.5,124.5,580.0,429.4,416.5,399.4,165.7,256.2,700.9,697.4,121.2,124.5,219.5,456.2,381.9,557.9,254.1,707.3,604.5,358.6,582.4,731.9,295.0,166.6,627.2,165.1,272.7,133.4,575.0,645.0,284.8,40.0,595.5,711.1,178.0,597.5,110.1,692.3,211.7,138.7,206.0,626.9,713.8,755.5,63.6,1982.8,134.1,593.6,232.6,257.5,568.8,194.0,572.7,336.1,225.9,208.4,260.5,259.0,595.2,717.8,635.4,199.0,599.1,670.8,518.4,550.9,252.3,636.7,687.5,255.1,73.4,714.4,173.5,244.4,687.6,100.1,286.0,641.9,320.3,66.4,205.6,619.5,100.8,236.1,155.9,661.5,302.0
EN,725.8,285.1,282.3,455.9,773.1,698.3,153.0,152.1,712.5,285.7,229.9,786.1,112.9,613.2,752.4,763.1,533.8,115.8,651.6,98.4,680.6,143.2,691.7,664.6,0.0,620.2,760.3,650.1,708.1,260.1,263.0,48.4,723.9,593.3,817.1,793.5,359.7,389.2,244.4,588.9,826.4,691.1,126.4,208.5,104.9,157.3,207.1,609.5,559.3,770.6,167.5,363.8,650.6,119.0,754.9,703.5,324.5,32.1,128.2,638.0,521.3,186.3,236.4,749.5,729.4,186.5,602.6,679.2,378.3,419.5,528.0,304.0,207.0,672.7,727.2,337.7,301.5,347.2,365.1,661.5,476.2,82.3,107.4,673.1,636.1,709.6,354.1,407.1,315.6,697.3,117.3,362.2,394.5,223.2,141.9,448.7,769.3,159.8,675.5,665.8,659.7,170.5,55.0,705.4,704.7,191.0,121.1,780.7,355.2,712.8,73.7,745.0,703.5,558.0,83.0,133.1,165.5,700.7,1799.8,617.2,189.1,725.0,498.2,114.0,744.9,242.2,520.9,678.2,718.8,534.8,711.3,253.2,127.8,168.0,564.9,239.9,85.6,191.2,192.6,527.3,105.2,98.9,849.6,676.1,124.4,576.6,720.3,97.6,651.4,430.5,66.4,812.7,716.1,558.3,126.8,665.6,670.4,586.3,178.5,427.9
EP,254.0,519.1,556.9,157.4,301.3,180.5,675.6,602.4,194.7,600.6,576.6,329.2,635.5,5.1,252.3,142.8,157.9,607.7,179.8,645.4,193.3,635.1,142.0,140.0,610.4,0.0,140.0,215.3,210.5,435.0,437.9,589.0,206.1,70.6,345.3,293.4,382.2,310.8,536.2,68.8,354.6,201.3,649.0,545.6,627.5,679.9,466.9,104.4,229.2,298.8,655.8,271.2,63.3,539.0,254.8,83.2,319.6,572.7,650.8,104.7,91.6,702.5,720.0,241.7,229.3,607.3,51.8,161.1,553.2,215.4,152.1,478.9,564.1,239.0,219.4,512.6,362.0,349.1,332.0,100.6,232.2,633.5,630.0,134.0,15.8,228.9,388.8,314.5,490.5,216.6,639.9,537.1,312.6,515.0,664.5,220.1,269.2,559.8,177.9,235.2,39.4,507.6,577.6,271.7,122.7,528.1,643.7,280.6,530.1,205.0,624.9,224.5,83.2,61.1,605.3,666.7,688.1,81.9,1940.4,96.6,526.2,253.2,139.7,501.4,273.1,505.3,245.6,188.4,221.2,170.0,221.5,527.8,661.4,568.0,111.2,531.7,649.2,451.0,515.2,201.9,597.1,639.5,377.8,176.0,647.0,45.7,239.6,620.2,62.6,258.6,620.3,340.9,161.4,104.6,552.1,45.3,198.6,78.7,666.8,256.0
ET,204.5,674.3,712.1,312.6,251.8,142.6,830.8,701.4,156.8,755.8,695.7,291.3,803.3,160.2,156.7,54.0,313.1,730.7,187.7,750.4,259.1,758.1,224.2,98.6,765.6,155.1,0.0,281.1,172.6,590.2,593.1,744.3,168.2,224.4,229.6,197.8,537.4,466.0,691.4,224.0,305.1,267.1,804.2,700.8,782.7,835.1,622.1,170.2,337.0,249.3,733.9,426.4,129.1,684.5,159.2,120.7,474.8,727.9,806.0,170.5,246.8,825.5,798.1,135.8,133.7,706.3,231.3,91.0,708.4,322.8,307.3,634.1,701.8,269.6,113.5,667.8,517.2,504.3,487.2,194.0,339.6,788.7,785.2,96.1,134.8,194.4,544.0,469.7,645.7,206.7,795.1,692.3,442.0,670.2,819.7,375.3,173.6,715.0,140.0,228.2,145.1,662.8,732.8,259.7,96.1,683.3,798.9,185.0,685.3,99.1,780.1,186.6,120.7,216.3,710.3,797.2,843.3,143.3,2026.0,162.4,681.4,203.7,273.2,656.6,223.6,660.5,400.8,254.2,183.3,325.2,260.1,683.0,801.2,723.2,214.7,686.9,754.2,606.2,634.3,335.7,720.1,770.9,262.1,91.6,802.2,200.9,219.3,775.4,128.4,369.4,725.3,291.4,39.3,221.3,707.3,108.9,264.4,239.3,744.9,385.4
FC,235.8,612.6,650.4,310.8,266.3,190.3,765.1,677.2,204.5,690.1,676.5,137.0,725.0,221.2,354.7,263.2,297.5,761.1,179.6,728.5,30.4,757.5,201.7,268.8,699.9,216.1,260.4,0.0,137.3,528.5,531.4,678.5,215.9,201.9,327.1,355.6,535.6,464.2,625.7,285.0,319.6,79.6,738.5,635.1,717.0,769.4,556.4,119.5,416.0,263.8,809.2,424.6,160.6,628.5,295.4,230.0,473.0,662.2,740.3,148.0,307.8,791.4,873.4,351.8,331.7,696.0,245.5,263.5,646.7,368.8,291.7,572.4,653.6,23.6,329.5,606.1,515.4,502.5,485.4,171.5,385.6,723.0,719.5,165.1,195.8,74.5,542.2,467.9,584.0,62.2,729.4,630.6,466.0,604.5,754.0,373.5,374.6,649.3,119.8,30.7,206.1,597.1,667.1,56.3,234.3,617.6,733.2,383.0,623.6,315.1,714.4,109.9,230.0,277.3,713.1,756.2,777.6,210.7,2134.1,127.2,615.7,235.0,199.8,590.9,254.9,598.8,338.0,98.8,101.8,309.6,92.7,621.3,750.9,657.5,141.3,621.2,715.7,540.5,668.6,355.3,750.5,729.0,359.6,278.4,736.5,261.9,85.2,709.7,161.4,412.0,696.5,305.9,263.8,147.9,641.6,192.1,198.4,272.4,820.2,409.4
FJ,135.1,592.8,630.6,291.0,182.4,89.6,745.3,657.4,103.8,670.3,656.7,186.0,705.2,197.8,254.0,162.5,277.7,741.3,94.5,708.7,158.2,737.7,199.9,183.8,680.1,192.7,159.7,141.8,0.0,508.7,511.6,658.7,115.2,200.1,226.4,246.6,515.8,444.4,605.9,261.6,235.7,148.2,718.7,615.3,697.2,749.6,536.6,117.7,408.8,179.9,789.4,404.8,166.7,608.7,194.7,158.3,453.2,642.4,720.5,146.2,284.4,771.6,853.6,251.1,231.0,676.2,225.7,162.8,626.9,349.0,271.9,552.6,633.8,144.4,228.8,586.3,495.6,482.7,465.6,169.7,365.8,703.2,699.7,64.4,172.4,79.7,522.4,448.1,564.2,81.5,709.6,610.8,446.2,584.7,734.2,353.7,270.9,629.5,34.7,103.0,182.7,577.3,647.3,154.4,133.6,597.8,713.4,282.3,603.8,214.4,694.6,13.9,158.3,253.9,693.3,736.4,757.8,170.1,2114.3,125.4,595.9,134.3,180.0,571.1,154.2,579.0,318.2,166.4,78.0,289.8,134.9,601.5,731.1,637.7,121.5,601.4,695.9,520.7,648.8,335.5,730.7,709.2,258.9,177.7,716.7,238.5,46.6,689.9,166.0,392.2,676.7,222.0,163.1,128.1,621.8,146.5,152.8,311.1,800.4,389.6
FL,555.8,121.5,159.3,285.9,603.1,528.3,304.9,217.0,542.5,229.9,216.3,616.1,264.8,443.2,582.4,593.1,363.8,285.7,481.6,268.3,510.6,297.3,521.7,494.6,239.7,450.2,590.3,480.1,538.1,0.0,40.3,218.3,553.9,423.3,647.1,623.5,153.5,219.2,165.5,418.9,656.4,521.1,278.3,174.9,256.8,309.2,96.2,439.5,389.3,600.6,337.4,193.8,480.6,168.3,584.9,533.5,154.5,202.0,280.1,468.0,351.3,331.2,388.3,579.5,559.4,235.8,432.6,509.2,155.6,249.5,358.0,81.3,193.4,502.7,557.2,115.0,131.5,141.0,195.1,491.5,306.2,262.8,259.3,503.1,466.1,539.6,147.9,237.1,92.9,527.3,269.2,139.5,224.5,144.3,293.8,278.7,599.3,189.1,505.5,495.8,489.7,136.9,206.9,535.4,534.7,157.4,273.0,610.7,132.5,542.8,254.2,575.0,533.5,388.0,252.9,296.0,317.4,530.7,1849.1,447.2,155.5,555.0,328.2,130.7,574.9,107.7,350.9,508.2,548.8,364.8,541.3,130.2,290.7,197.3,394.9,161.0,255.5,80.3,179.0,357.3,275.1,268.8,679.6,506.1,276.3,406.6,550.3,249.5,481.4,260.5,236.3,642.7,546.1,388.3,181.4,495.6,500.4,416.3,348.4,257.9
FP,568.2,81.1,118.9,298.3,615.5,531.8,317.3,229.4,554.9,238.1,235.8,628.5,277.2,455.6,594.8,605.5,376.2,298.1,494.0,280.7,523.0,309.7,534.1,507.0,252.1,462.6,602.7,492.5,550.5,29.8,0.0,230.7,566.3,435.7,659.5,635.9,165.9,231.6,102.1,431.3,668.8,533.5,290.7,187.3,269.2,321.6,104.7,451.9,401.7,613.0,349.8,206.2,493.0,180.7,597.3,545.9,165.1,214.4,292.5,480.4,363.7,343.6,400.7,591.9,571.8,248.2,445.0,521.6,115.2,261.9,370.4,66.6,205.8,515.1,569.6,74.6,143.9,153.4,207.5,503.9,318.6,275.2,271.7,515.5,472.9,552.0,160.3,249.5,52.5,539.7,281.6,99.1,236.9,101.7,306.2,291.1,611.7,201.5,517.9,508.2,502.1,149.3,219.3,547.8,547.1,169.8,285.4,623.1,112.2,560.0,266.6,587.4,545.9,400.4,265.3,312.8,329.8,543.1,1861.5,459.6,167.9,567.4,340.6,143.1,587.3,67.3,363.3,520.6,561.2,377.2,553.7,89.8,303.1,209.7,407.3,97.6,267.9,92.7,196.4,369.7,289.5,281.2,692.0,517.9,288.7,419.0,562.7,261.9,493.8,272.9,248.7,655.1,560.8,400.7,193.8,508.0,512.8,428.7,360.8,270.3
FW,691.9,251.2,248.4,422.0,739.2,664.4,139.1,118.2,678.6,166.7,196.0,752.2,123.4,579.3,718.5,729.2,499.9,67.3,617.7,49.9,646.7,94.7,657.8,630.7,55.9,586.3,726.4,616.2,674.2,226.2,229.1,0.0,690.0,559.4,783.2,759.6,311.2,355.3,210.5,555.0,792.5,657.2,112.5,174.6,72.2,143.4,173.2,575.6,525.4,736.7,119.0,329.9,616.7,85.1,721.0,669.6,290.6,18.2,114.3,604.1,487.4,137.8,222.5,715.6,695.5,152.6,568.7,645.3,344.4,385.6,494.1,270.1,173.1,638.8,693.3,303.8,267.6,298.7,331.2,627.6,442.3,79.0,93.5,639.2,602.2,675.7,305.6,373.2,281.7,663.4,103.4,328.3,360.6,189.3,128.0,414.8,735.4,125.9,641.6,631.9,625.8,136.6,41.1,671.5,670.8,157.1,107.2,746.8,321.3,678.9,70.4,711.1,669.6,524.1,34.5,84.6,151.6,666.8,1765.9,583.3,155.2,691.1,464.3,80.1,711.0,208.3,487.0,644.3,684.9,500.9,677.4,219.3,79.3,134.1,531.0,206.0,37.1,157.3,158.7,493.4,56.7,50.4,815.7,642.2,110.5,542.7,686.4,83.7,617.5,396.6,17.9,778.8,682.2,524.4,92.9,631.7,636.5,552.4,130.0,394.0
GB,159.0,636.7,674.5,333.9,206.3,25.3,789.2,756.9,8.3,710.0,758.3,242.0,749.1,181.5,237.7,146.2,334.4,784.2,138.4,805.9,215.2,811.6,245.5,167.5,724.0,176.4,143.4,217.7,123.3,552.6,555.5,702.6,0.0,245.7,250.3,270.5,558.7,487.3,649.8,245.3,259.6,223.2,762.6,659.2,741.1,793.5,576.6,191.5,392.5,203.8,789.4,447.7,150.4,740.0,218.6,142.0,496.1,686.3,764.4,191.8,268.1,815.5,853.6,234.8,214.7,761.8,228.3,146.5,670.8,378.3,328.6,596.5,677.7,220.3,212.5,630.2,538.5,525.6,508.5,215.3,395.1,747.1,743.6,48.1,163.5,145.1,565.3,489.4,608.1,157.4,753.5,654.7,489.1,628.6,778.1,396.6,254.6,673.4,90.7,178.9,166.4,621.2,691.2,210.4,117.3,641.7,757.3,266.0,667.8,202.9,738.5,137.3,142.0,249.3,765.8,849.4,801.7,153.8,2116.9,183.7,639.8,158.2,223.9,615.0,178.1,622.9,362.1,210.3,134.0,346.5,210.8,645.4,775.0,681.6,165.4,645.3,809.7,564.6,689.8,378.4,773.6,753.1,282.8,160.8,760.6,222.2,170.0,733.8,149.7,424.9,780.8,245.9,146.8,172.0,665.7,130.2,196.7,294.8,800.4,432.5
GE,237.7,514.3,552.1,212.5,285.0,210.2,666.8,578.9,224.4,591.8,603.4,340.1,626.7,145.6,323.5,214.0,199.2,638.4,163.5,658.1,181.0,665.8,71.3,193.2,601.6,140.5,211.2,203.0,220.0,430.2,433.1,580.2,235.8,0.0,329.0,349.2,437.3,365.9,527.4,100.5,338.3,189.0,640.2,536.8,618.7,671.1,458.1,92.1,242.9,282.5,641.6,326.3,85.0,530.2,297.3,154.4,374.7,563.9,642.0,53.5,123.3,693.1,705.8,312.9,300.5,614.0,65.5,232.3,548.4,210.0,193.4,474.1,555.3,226.7,290.6,507.8,417.1,404.2,387.1,29.9,226.8,624.7,621.2,185.0,120.2,216.6,443.9,369.6,485.7,204.3,631.1,532.3,329.2,506.2,655.7,275.2,340.4,551.0,187.4,222.9,130.5,498.8,568.8,259.4,175.9,519.3,634.9,351.8,525.3,276.2,616.1,252.0,154.4,92.8,618.0,657.9,679.3,135.1,1954.1,84.3,517.4,236.9,101.5,492.6,256.8,500.5,239.7,176.1,243.9,211.3,209.2,523.0,652.6,559.2,76.8,522.9,661.9,442.2,542.0,209.7,627.8,630.7,361.5,247.2,638.2,39.5,227.3,611.4,85.8,256.6,598.2,324.6,232.6,70.2,543.3,116.5,182.3,92.4,652.6,272.6
GG,143.7,724.9,762.7,401.6,191.0,239.7,877.4,787.3,253.9,802.4,781.6,348.2,889.2,346.1,170.7,257.9,417.7,816.6,226.6,836.3,303.4,844.0,332.0,211.2,812.2,341.0,221.7,325.4,229.5,640.8,643.7,830.2,265.3,332.2,0.0,131.3,618.9,547.5,738.0,409.9,244.3,311.4,850.8,747.4,829.3,881.7,668.7,249.8,422.9,188.5,819.8,507.9,312.1,770.4,79.4,306.6,556.3,774.5,852.6,278.3,420.1,911.4,884.0,213.5,147.7,792.2,317.2,194.9,759.0,408.7,411.9,684.7,787.7,326.5,191.2,718.4,598.7,585.8,568.7,301.8,425.5,835.3,831.8,214.5,320.7,251.3,625.5,551.2,696.3,263.6,841.7,742.9,527.9,716.8,866.3,464.3,187.6,761.6,196.9,285.1,302.7,709.4,779.4,316.6,251.3,729.9,845.5,199.0,735.9,176.8,826.7,243.5,306.6,402.2,796.2,883.1,889.9,274.9,2040.0,257.5,728.0,142.9,312.1,703.2,62.5,711.1,450.3,298.5,240.2,429.8,331.6,733.6,887.1,769.8,253.6,733.5,840.1,652.8,720.2,421.6,806.0,856.8,32.5,151.3,848.8,342.8,276.2,822.0,311.4,455.3,811.2,230.6,191.1,260.2,753.9,294.8,284.9,325.2,830.8,471.3
GN,164.8,724.9,762.7,370.7,154.6,268.5,881.4,760.6,282.7,836.3,754.9,369.3,862.5,315.2,139.8,227.0,386.8,789.9,247.7,809.6,324.5,817.3,376.3,180.3,816.2,310.1,190.8,346.5,250.6,640.8,643.7,803.5,294.1,336.8,112.2,0.0,588.0,516.6,742.0,379.0,148.7,332.5,854.8,751.4,851.9,885.7,672.7,270.9,392.0,111.3,793.1,477.0,281.2,743.7,41.8,275.7,525.4,778.5,856.6,322.6,389.2,884.7,857.3,182.6,116.8,765.5,286.3,164.0,759.0,377.8,381.0,684.7,761.0,347.6,160.3,718.4,567.8,554.9,537.8,346.1,394.6,839.3,835.8,222.0,289.8,272.4,594.6,520.3,696.3,284.7,845.7,742.9,497.0,720.8,870.3,433.4,132.9,795.5,218.0,306.2,271.8,713.4,783.4,337.7,220.4,733.9,849.5,178.0,735.9,145.9,830.7,264.6,275.7,371.3,769.5,856.4,893.9,244.0,1954.0,278.6,732.0,164.0,333.2,707.2,83.6,711.1,471.4,319.6,261.3,398.9,352.7,733.6,860.4,803.7,274.7,737.5,813.4,656.8,693.5,390.7,779.3,830.1,144.7,120.4,852.8,311.9,297.3,826.0,280.5,424.4,784.5,150.4,160.2,281.3,757.9,263.9,306.0,294.3,804.1,440.4
GO,571.6,262.2,300.0,234.1,618.9,544.1,418.7,280.4,558.3,343.7,254.6,672.6,383.2,383.8,530.6,533.7,297.1,285.7,497.4,323.4,528.9,313.1,478.4,442.8,353.5,390.8,530.9,568.1,553.9,178.1,181.0,317.3,569.7,407.0,603.5,571.7,0.0,177.3,279.3,367.1,628.8,536.9,392.1,288.7,351.0,423.0,210.0,455.3,337.5,591.4,355.4,117.9,454.2,263.5,533.1,474.1,160.8,315.8,393.9,483.8,299.5,380.5,495.4,527.7,507.6,285.3,384.4,457.4,296.3,197.7,291.3,222.0,260.7,590.7,505.4,255.7,219.5,27.7,69.4,437.0,254.4,376.6,373.1,518.9,406.7,564.5,66.8,167.2,233.6,552.2,383.0,280.2,133.5,258.1,407.6,226.9,524.0,302.9,521.3,583.8,430.3,250.7,320.7,623.4,482.9,271.2,386.8,558.9,273.2,491.0,368.0,567.9,474.1,336.2,283.3,377.1,431.2,472.8,1865.1,463.0,269.3,570.8,344.0,244.5,574.9,248.4,384.8,524.0,564.6,309.2,557.1,270.9,376.1,311.1,410.7,274.8,327.2,194.1,193.2,305.5,275.1,352.5,636.0,454.3,390.1,422.4,575.2,363.3,453.5,208.7,298.3,630.5,494.3,404.1,295.2,436.2,516.2,364.5,366.4,168.4
GS,506.7,290.8,328.6,169.2,554.0,479.2,447.3,359.4,493.4,372.3,366.7,607.7,407.2,318.9,465.7,468.8,232.2,397.8,432.5,435.5,464.0,425.2,413.5,377.9,382.1,325.9,466.0,486.0,489.0,206.7,209.6,360.7,504.8,342.1,538.6,506.8,172.3,0.0,307.9,302.2,607.3,472.0,420.7,317.3,399.2,451.6,238.6,390.4,272.6,551.5,467.5,77.1,389.3,310.7,468.2,409.2,91.3,344.4,422.5,418.9,234.6,492.6,530.7,462.8,442.7,397.4,319.5,392.5,324.9,132.8,226.4,250.6,335.8,509.7,440.5,284.3,133.7,139.2,103.7,372.1,189.5,405.2,401.7,454.0,341.8,499.6,178.9,120.4,262.2,487.3,411.6,308.8,107.8,286.7,436.2,162.0,482.6,331.5,456.4,505.9,365.4,279.3,349.3,542.4,418.0,299.8,415.4,494.0,301.8,426.1,396.6,503.0,409.2,271.3,395.4,438.4,459.8,407.9,1958.1,398.1,297.9,505.9,279.1,273.1,510.0,277.0,319.9,459.1,499.7,244.3,492.2,299.5,433.1,339.7,345.8,303.4,439.3,222.7,305.3,240.6,387.2,411.2,571.1,389.4,418.7,357.5,510.3,391.9,388.6,143.8,378.7,593.6,429.4,339.2,323.8,371.3,451.3,299.6,478.5,141.2
GT,660.1,84.3,103.0,390.2,707.4,632.6,293.7,205.8,646.8,218.7,205.1,720.4,253.6,547.5,686.7,697.4,468.1,274.5,585.9,257.1,614.9,286.1,626.0,598.9,228.5,554.5,694.6,584.4,642.4,121.7,91.8,207.1,658.2,527.6,751.4,727.8,257.8,323.5,0.0,523.2,760.7,625.4,267.1,163.7,245.6,298.0,137.0,543.8,493.6,704.9,326.2,298.1,584.9,157.1,689.2,637.8,258.8,190.8,268.9,572.3,455.6,320.0,377.1,683.8,663.7,224.6,536.9,613.5,166.6,353.8,462.3,158.5,182.2,607.0,661.5,126.3,235.8,245.3,299.4,595.8,410.5,251.6,248.1,607.4,570.4,643.9,252.2,341.4,103.9,631.6,258.0,150.5,328.8,57.1,282.6,383.0,703.6,177.9,609.8,600.1,594.0,125.7,195.7,639.7,639.0,146.2,261.8,715.0,143.8,647.1,243.0,679.3,637.8,492.3,241.7,284.8,306.2,635.0,1837.9,551.5,141.6,659.3,432.5,119.5,679.2,51.4,455.2,612.5,653.1,469.1,645.6,73.9,279.5,186.1,499.2,43.4,244.3,121.1,167.8,461.6,263.9,257.6,783.9,610.4,265.1,510.9,654.6,238.3,585.7,364.8,225.1,747.0,650.4,492.6,170.2,599.9,604.7,520.6,337.2,362.2
HI,316.8,509.3,547.1,147.6,364.1,243.3,665.8,599.9,257.5,590.8,594.2,392.0,625.7,55.7,315.1,205.6,148.1,597.9,242.6,648.9,256.1,625.3,221.2,202.8,600.6,62.7,202.8,278.1,273.3,425.2,428.1,579.2,268.9,95.1,408.1,356.2,372.4,301.0,526.4,0.0,417.4,264.1,639.2,535.8,617.7,670.1,457.1,167.2,233.7,361.6,632.4,261.4,126.1,583.0,317.6,146.0,309.8,562.9,641.0,167.5,81.8,692.7,696.6,304.5,292.1,604.8,56.3,223.9,543.4,200.8,142.3,469.1,554.3,301.8,282.2,502.8,352.2,339.3,322.2,125.1,217.6,623.7,620.2,196.8,78.6,291.7,379.0,304.7,480.7,279.4,630.1,527.3,302.8,505.2,654.7,210.3,332.0,550.0,240.7,298.0,102.2,497.8,567.8,334.5,185.5,518.3,633.9,343.4,520.3,267.8,615.1,287.3,146.0,51.3,608.8,695.7,678.3,144.7,1944.9,159.4,516.4,316.0,157.1,491.6,335.9,495.5,235.8,251.2,284.0,160.2,284.3,518.0,651.6,558.2,135.7,521.9,652.7,441.2,532.8,192.1,587.3,629.7,440.6,238.8,637.2,70.2,302.4,610.4,125.4,247.4,623.8,403.7,224.2,129.1,542.3,108.1,261.4,83.2,643.4,246.2
