from_stop,AI,AQ,AR,AY,BA,BE,BJ,BK,BM,BR,BS,BW,BX,CB,CE,CL,CM,CO,CR,CV,CW,DA,DE,DG,DL,DT,DW,EE,EO,FA,FH,FJ,FK,FL,FS,FU,FY,FZ,GB,GL,GN,GS,GW,GX,HJ,HL,HN,HS,HU,HY,IA,IE,IF,IR,IS,IT,IV,IY,JI,JO,JR,JT,JU,JW,KH,KT,LB,LC,LE,LF,LV,ML,MN,MS,MV,MW,MY,ND,NE,NG,NN,NO,NR,OG,OH,OM,OW,PF,PH,PK,PP,QA,QT,QU,QW,QX,QY,QZ,RA,RB,RI,SA,SC,SJ,SL,SS,SU,SV,SY,TB,TC,TI,TK,TL,TN,TP,TR,UE,UG,UH,UJ,UL,UO,UX,VF,VH,VI,VK,VM,VW,VX,VZ,WD,WI,WJ,WL,WO,WS,WX,XG,XH,XI,XJ,XP,XY,YJ,YO,YT,ZH,ZI,ZK,ZN
DA,293.3,447.3,432.9,415.6,376.6,280.8,265.0,430.2,399.4,460.7,400.7,114.7,328.4,527.6,512.1,491.1,476.4,157.1,457.1,254.2,378.5,0.0,244.3,332.8,486.7,472.6,376.6,50.2,52.9,248.5,489.1,441.1,72.9,309.2,130.6,331.7,378.1,127.5,334.3,444.9,462.5,282.2,415.7,477.4,211.7,351.7,406.3,362.5,378.2,347.8,380.9,342.9,433.1,451.8,333.8,543.9,532.3,394.7,221.2,340.8,465.7,310.8,533.0,338.3,409.4,279.5,170.8,30.0,336.9,394.2,307.2,524.0,251.1,492.1,398.0,474.2,199.0,385.2,489.1,384.5,393.1,329.1,111.2,254.3,85.8,561.0,106.8,362.6,275.4,476.4,363.8,521.4,365.7,489.5,363.6,420.1,351.0,305.6,409.6,452.5,1887.4,412.8,327.3,362.5,444.3,301.9,413.7,315.3,518.2,251.3,514.8,374.7,352.0,489.5,423.8,566.3,471.7,59.0,81.7,270.4,366.7,473.1,532.1,452.9,363.4,79.6,453.6,492.3,475.9,344.5,436.9,403.8,495.7,361.6,455.9,538.2,472.2,434.1,314.5,242.8,410.5,347.8,326.9,316.3,472.4,390.8,544.0,288.7,487.8,553.1,473.6,330.7
DE,220.4,595.6,360.0,345.6,306.6,429.1,460.1,360.2,329.4,375.8,330.7,262.4,476.7,675.9,614.7,635.0,576.1,312.4,559.7,184.2,580.4,230.2,0.0,262.8,401.5,628.5,314.4,180.3,209.3,396.8,403.9,380.5,147.6,236.3,165.4,480.0,526.4,94.5,539.4,374.9,392.5,457.2,564.0,420.4,138.8,281.7,554.6,507.9,526.5,549.7,288.7,544.8,347.9,600.1,511.7,473.9,680.6,543.0,16.4,252.7,380.5,459.1,635.6,486.6,572.0,427.8,326.1,232.7,485.2,578.1,505.2,451.1,181.1,422.1,304.3,390.2,335.7,569.1,403.9,314.5,323.1,504.1,164.3,452.3,201.2,488.3,114.7,289.7,183.2,577.7,278.6,451.4,295.7,404.3,509.0,619.1,281.0,453.9,321.5,367.3,2016.0,327.6,475.6,292.5,359.1,497.0,343.7,460.7,448.2,399.6,672.5,520.1,500.3,404.3,353.8,714.6,401.7,275.7,138.8,178.2,296.7,618.5,680.4,364.8,278.2,155.6,383.6,422.3,631.1,236.1,585.2,552.1,644.0,291.6,370.7,640.8,402.2,577.2,244.5,169.9,584.1,274.9,256.9,464.6,387.2,320.8,692.3,163.8,633.2,467.9,403.6,235.6
DG,52.8,699.9,122.9,160.9,66.6,533.4,573.2,108.6,144.7,255.6,90.7,387.4,581.0,780.2,724.9,743.7,689.2,416.7,669.9,181.2,690.6,334.5,265.6,0.0,289.3,725.2,139.9,284.6,335.0,501.1,291.7,271.2,273.2,32.5,262.2,584.3,630.7,221.0,646.4,134.9,207.8,570.3,668.3,256.6,222.9,41.7,658.9,615.1,630.8,659.9,141.8,655.0,235.7,704.4,621.9,307.2,784.9,647.3,242.5,149.3,268.3,563.4,745.8,590.9,679.2,532.1,430.4,358.4,589.5,688.3,615.4,287.3,126.4,229.6,196.5,276.8,458.6,679.3,291.7,147.8,228.5,617.2,293.7,562.5,315.1,324.3,241.2,52.6,89.4,689.2,142.4,284.7,79.8,292.1,616.2,732.2,161.0,558.2,136.8,255.1,1990.5,207.7,579.9,52.5,246.9,610.1,103.7,567.9,281.5,503.9,782.7,627.3,604.6,292.1,161.3,818.9,217.0,387.4,265.3,167.0,180.5,725.7,784.7,281.2,166.0,265.3,170.9,229.8,741.3,142.3,689.5,656.4,748.3,51.6,258.5,751.0,189.5,687.4,143.6,254.0,694.3,14.9,162.3,568.9,275.0,80.8,796.6,106.5,740.4,355.7,218.9,120.4
DL,336.8,879.5,218.0,335.4,302.4,713.0,730.6,239.9,319.2,239.8,249.1,567.0,760.6,959.8,882.3,923.3,846.6,596.3,827.3,352.3,848.0,514.1,423.0,298.5,0.0,904.8,290.6,464.2,493.2,680.7,56.8,162.2,431.5,316.5,449.3,763.9,810.3,378.4,803.8,234.4,303.6,727.7,847.9,110.3,425.6,276.8,838.5,794.7,810.4,817.3,403.0,812.4,166.5,884.0,779.3,219.1,964.5,826.9,399.9,249.2,33.4,743.0,903.2,770.5,858.8,711.7,610.0,516.6,769.1,845.7,772.8,182.6,410.4,313.0,180.7,41.9,638.2,836.7,56.8,230.5,417.6,774.6,451.1,719.9,473.3,192.4,398.6,313.8,329.4,846.6,225.5,196.6,305.5,57.2,795.8,889.6,317.5,737.8,168.7,129.0,1996.0,191.9,759.5,266.0,177.7,767.5,238.3,747.5,139.7,683.5,940.1,806.9,784.2,57.2,244.7,998.5,330.6,545.6,422.7,324.4,337.0,905.3,964.3,85.8,181.0,439.5,302.2,313.2,898.7,382.3,869.1,836.0,941.6,312.8,44.9,908.4,320.8,844.8,300.1,456.7,851.7,283.5,351.4,748.5,40.1,342.0,976.2,310.0,920.0,120.8,333.2,381.6
DT,706.1,163.2,845.7,753.2,789.4,391.5,263.7,767.8,737.0,865.9,812.0,453.5,276.9,170.0,277.7,199.2,245.7,389.2,214.8,591.8,156.1,460.1,649.5,745.6,891.9,0.0,722.0,455.4,496.2,290.5,894.3,873.8,478.1,722.0,535.8,325.5,120.7,532.7,225.1,857.7,791.0,243.1,115.2,830.9,620.7,764.5,493.5,373.5,234.9,199.3,777.6,205.0,838.3,167.7,234.2,881.5,174.7,110.6,626.4,746.0,870.9,322.1,245.8,198.6,124.5,321.5,349.3,473.3,304.4,210.1,282.2,861.6,654.4,832.9,803.2,880.6,394.2,201.1,894.3,722.1,730.7,229.5,516.4,274.4,502.6,896.3,512.0,730.5,671.7,246.0,769.0,859.0,703.3,894.7,203.1,182.5,688.6,328.1,814.8,857.7,1885.7,818.0,275.8,775.3,849.5,305.9,826.5,309.1,855.8,277.1,230.7,385.7,345.8,894.7,761.4,171.1,800.2,516.3,486.9,675.6,704.3,189.0,174.5,855.5,768.6,484.8,791.2,829.9,191.8,682.1,152.8,81.6,211.6,731.5,861.1,272.0,809.8,253.7,652.1,625.3,156.8,760.6,664.5,392.3,877.6,749.8,168.4,690.3,203.7,972.1,751.4,700.4
DW,164.4,661.9,180.4,100.7,174.6,499.4,554.7,89.5,84.5,298.2,164.8,392.6,543.0,742.2,801.3,701.3,770.5,442.6,746.3,117.6,672.8,360.4,341.6,149.5,257.4,699.7,0.0,310.5,360.9,463.1,254.9,281.2,299.1,144.1,288.1,546.3,592.7,268.1,681.1,190.4,147.6,625.8,630.3,152.6,235.0,149.0,624.9,586.0,592.8,691.4,145.1,686.5,270.3,666.4,598.8,203.2,746.9,609.3,322.6,260.5,236.4,529.4,744.5,552.9,641.2,494.1,456.3,384.3,560.4,655.8,568.3,188.2,217.2,151.4,226.7,246.1,465.9,641.9,254.9,43.8,182.9,594.1,337.4,560.5,360.6,217.6,288.3,98.0,154.1,764.3,177.0,180.7,70.8,254.5,578.2,704.1,82.8,524.2,194.3,246.8,2059.5,250.0,541.9,138.2,281.5,592.0,156.3,529.9,177.5,465.9,729.4,593.3,566.6,254.5,83.1,780.9,161.7,427.3,307.9,201.2,102.3,692.6,746.7,177.2,200.6,291.2,112.9,151.6,690.5,164.5,656.4,618.4,710.3,99.0,226.6,770.7,136.4,763.8,65.4,266.1,653.5,169.4,116.7,534.9,243.1,117.3,758.6,172.7,707.3,293.8,158.7,128.6
EE,243.0,415.2,382.6,365.3,326.3,248.7,298.0,379.9,349.1,410.4,350.4,102.7,296.3,495.5,529.7,459.0,509.4,132.0,490.1,203.9,411.5,49.8,194.0,282.5,436.4,440.5,326.3,0.0,84.4,216.4,438.8,418.3,22.6,258.9,80.3,299.6,346.0,77.2,367.3,394.6,412.2,315.2,383.6,427.1,161.4,301.4,374.2,330.4,346.1,380.8,330.6,375.9,382.8,419.7,366.8,493.6,500.2,362.6,170.9,290.5,415.4,278.7,497.8,306.2,394.5,247.4,145.7,63.0,304.8,427.2,321.6,473.7,200.8,441.8,347.7,423.9,173.9,418.2,438.8,334.2,342.8,362.1,60.9,287.3,64.5,510.7,56.5,312.3,225.1,509.4,313.5,471.1,315.4,439.2,331.5,453.1,300.7,273.5,359.3,402.2,1920.4,362.5,295.2,312.2,394.0,334.9,363.4,283.2,467.9,219.2,482.7,342.6,319.9,439.2,373.5,534.2,421.4,92.0,31.4,220.1,316.4,441.0,500.0,402.6,313.1,29.3,403.3,442.0,443.8,294.2,404.8,371.7,463.6,311.3,405.6,524.0,421.9,467.1,264.2,192.5,406.8,297.5,276.6,284.2,422.1,340.5,511.9,238.4,455.7,502.8,423.3,280.4
EO,295.9,458.6,414.0,418.2,379.2,292.1,276.3,410.3,402.0,441.9,368.6,126.0,339.7,538.9,523.4,502.4,487.7,169.5,468.4,256.8,389.8,49.2,225.5,335.4,467.9,483.9,379.2,62.6,0.0,259.8,470.3,449.8,74.2,311.8,133.2,343.0,389.4,108.7,345.6,447.5,465.1,293.5,427.0,458.6,214.3,354.3,417.6,373.8,389.5,359.1,362.1,354.2,414.3,463.1,345.1,546.5,543.6,406.0,202.4,322.0,446.9,322.1,544.3,349.6,420.7,290.8,183.2,23.3,348.2,405.5,318.5,526.6,253.7,494.7,379.2,455.4,211.4,396.5,470.3,387.1,395.7,340.4,92.4,265.6,32.8,563.6,88.0,365.2,256.6,487.7,345.0,524.0,368.3,470.7,374.9,431.4,353.6,316.9,390.8,433.7,1898.7,394.0,338.6,365.1,425.5,313.2,416.3,326.6,488.0,262.6,526.1,386.0,363.3,470.7,426.4,577.6,474.3,52.3,62.9,251.6,369.3,484.4,543.4,434.1,344.6,82.2,456.2,494.9,487.2,309.5,448.2,415.1,507.0,364.2,437.1,549.5,474.8,445.4,317.1,245.4,421.8,318.8,329.5,327.6,453.6,393.4,555.3,237.2,499.1,534.3,476.2,311.9
FA,466.5,229.7,606.1,513.6,549.8,151.9,117.6,528.2,497.4,626.3,572.4,213.9,110.8,310.0,344.2,273.5,312.2,149.6,281.3,352.2,240.6,220.5,409.9,506.0,652.3,255.0,474.6,215.8,256.6,0.0,654.7,634.2,238.5,482.4,296.2,114.1,160.5,293.1,230.5,618.1,551.4,159.9,198.1,591.3,381.1,524.9,277.4,183.6,160.6,244.0,538.0,239.1,598.7,234.2,166.6,641.9,314.7,177.1,386.8,506.4,631.3,131.9,312.3,120.7,209.0,31.0,109.7,233.7,140.0,218.7,136.1,622.0,414.8,593.3,563.6,639.8,154.6,209.7,654.7,482.5,491.1,161.9,276.8,128.3,280.4,659.0,272.4,490.9,432.1,312.2,529.4,619.4,463.7,655.1,146.0,267.0,449.0,126.7,575.2,618.1,1802.5,578.4,109.7,535.7,609.9,159.8,586.9,97.7,616.2,33.7,297.2,195.8,134.4,655.1,521.8,348.7,560.6,262.7,247.3,436.0,464.7,255.5,314.5,615.9,529.0,245.2,551.6,590.3,258.3,442.5,219.3,186.2,278.1,491.9,621.5,338.5,570.2,320.0,412.5,385.7,221.3,521.0,424.9,187.4,638.0,510.2,326.4,450.7,270.2,732.5,511.8,460.8
FH,325.2,876.0,206.4,323.8,290.8,701.4,693.2,228.3,307.6,228.2,237.5,555.4,749.0,948.2,844.9,919.8,809.2,584.7,789.9,340.7,810.6,533.0,411.4,286.9,62.8,893.2,279.0,452.6,481.6,669.1,0.0,105.3,419.9,304.9,437.7,752.3,798.7,366.8,766.4,222.8,292.0,690.3,849.6,98.7,414.0,265.2,826.9,783.1,798.7,779.9,391.4,775.0,154.9,872.4,741.9,162.2,952.9,815.3,388.3,237.6,23.5,731.4,865.8,758.9,838.2,700.1,598.4,505.0,757.5,808.3,735.4,125.7,398.8,301.4,169.1,15.0,626.6,799.3,0.0,218.9,406.0,737.2,439.5,682.5,461.7,135.5,387.0,302.2,317.8,809.2,213.9,139.7,293.9,0.3,784.2,852.2,305.9,726.2,157.1,117.4,1939.1,180.3,747.9,254.4,166.1,730.1,226.7,735.9,128.1,671.9,902.7,795.3,772.6,0.3,233.1,986.9,319.0,534.0,411.1,312.8,325.4,936.1,952.7,74.2,169.4,427.9,290.6,301.6,861.3,370.7,865.6,824.4,904.2,301.2,33.3,871.0,309.2,807.4,288.5,445.1,814.3,271.9,339.8,736.9,16.8,330.4,964.6,298.4,950.8,63.9,321.6,370.0
FJ,324.8,770.6,205.7,347.9,290.1,627.9,587.8,227.6,331.7,227.5,236.8,481.9,675.5,874.7,739.5,806.6,703.8,547.9,684.5,364.8,705.2,427.6,386.7,286.2,166.7,827.3,310.9,441.0,422.6,595.6,103.8,0.0,399.3,304.2,417.1,678.8,725.2,346.2,664.2,225.0,316.1,584.9,744.2,178.5,393.4,264.5,753.4,709.6,693.3,674.5,410.6,669.6,105.6,798.9,636.5,162.1,879.4,741.8,367.7,236.9,127.4,657.9,760.4,685.4,732.8,626.6,561.6,419.7,684.0,702.9,630.0,125.6,360.1,325.5,168.4,116.7,612.0,693.9,103.8,243.0,444.2,631.8,418.9,577.1,429.0,132.7,366.4,301.5,305.1,702.5,213.2,139.6,318.0,103.4,710.7,746.8,330.0,652.7,156.4,153.6,1833.7,179.6,674.4,253.7,116.8,624.7,226.0,662.4,207.9,598.4,797.3,721.8,699.1,103.4,257.2,913.4,343.1,448.7,390.5,300.1,349.5,830.7,879.2,154.0,168.7,407.3,289.9,325.7,755.9,358.0,760.2,750.9,798.8,300.5,137.2,765.6,308.5,702.0,312.6,424.5,708.9,271.2,378.0,663.4,120.7,329.7,891.1,285.7,845.4,142.7,345.7,360.4
FK,221.6,447.9,361.2,343.9,304.9,281.4,330.7,358.5,327.7,387.7,329.0,135.4,329.0,528.2,562.4,491.7,542.1,164.7,522.8,182.5,444.2,82.5,171.3,261.1,413.7,473.2,304.9,32.6,61.7,249.1,416.1,395.6,0.0,237.5,58.9,332.3,378.7,54.5,400.0,373.2,390.8,347.9,416.3,404.4,140.0,280.0,406.9,363.1,378.8,413.5,307.9,408.6,360.1,452.4,399.5,472.2,532.9,395.3,148.2,267.8,392.7,311.4,530.5,338.9,427.2,280.1,178.4,85.1,337.5,459.9,354.3,452.3,179.4,420.4,325.0,401.2,206.6,450.9,416.1,312.8,321.4,394.8,38.2,320.0,41.8,489.3,33.8,290.9,202.4,542.1,290.8,449.7,294.0,416.5,364.2,485.8,279.3,306.2,336.6,379.5,1953.1,339.8,327.9,290.8,371.3,367.6,342.0,315.9,446.5,251.9,515.4,375.3,352.6,416.5,352.1,566.9,400.0,114.1,8.7,197.4,295.0,473.7,532.7,379.9,290.4,7.9,381.9,420.6,476.5,272.8,437.5,404.4,496.3,289.9,382.9,556.7,400.5,499.8,242.8,171.1,439.5,276.1,255.2,316.9,399.4,319.1,544.6,217.0,488.4,480.1,401.9,257.7
FL,19.2,666.3,122.6,160.6,66.3,499.8,549.1,108.3,144.4,255.6,90.4,353.8,547.4,746.6,741.8,705.7,706.1,383.1,686.8,147.6,662.6,300.9,288.2,22.5,289.0,699.2,139.6,251.0,301.4,467.5,291.4,270.9,239.6,0.0,228.6,550.7,597.1,208.6,618.4,137.5,207.5,566.3,634.7,256.3,189.3,41.4,625.3,581.5,597.2,631.9,141.5,627.0,235.4,670.8,617.9,306.9,751.3,613.7,265.1,171.9,268.0,529.8,762.7,557.3,645.6,498.5,396.8,324.8,555.9,678.3,572.7,287.0,92.8,229.3,204.7,276.5,425.0,669.3,291.4,147.5,194.9,613.2,277.9,538.4,296.2,321.3,228.8,52.3,55.8,704.8,142.1,284.4,79.5,291.8,582.6,704.2,160.7,524.6,136.5,254.8,1959.7,207.4,546.3,52.2,246.6,586.0,103.4,534.3,281.2,470.3,733.8,593.7,571.0,291.8,161.0,785.3,216.7,353.8,248.4,189.6,180.2,692.1,751.1,280.9,165.7,231.7,170.6,229.5,694.9,108.7,655.9,622.8,714.7,51.3,258.2,767.9,189.2,704.3,131.8,220.4,657.9,37.5,128.7,535.3,274.7,80.5,763.0,72.9,706.8,355.4,218.6,111.1
FS,221.4,476.4,361.0,343.7,304.7,309.9,359.2,358.3,327.5,417.5,328.8,163.9,357.5,556.7,590.9,520.2,570.6,193.2,551.3,182.3,472.7,111.0,201.1,260.9,443.5,501.7,304.7,61.1,111.5,277.6,445.9,425.4,49.7,237.3,0.0,360.8,407.2,104.3,428.5,373.0,390.6,376.4,444.8,421.4,139.8,279.8,435.4,391.6,407.3,442.0,368.1,437.1,389.9,480.9,428.0,472.0,561.4,423.8,178.0,297.6,422.5,339.9,559.0,367.4,455.7,308.6,206.9,134.9,366.0,488.4,382.8,452.1,179.2,420.2,354.8,431.0,235.1,479.4,445.9,312.6,321.2,423.3,88.0,348.5,91.6,489.1,83.6,290.7,262.2,570.6,320.6,449.5,293.8,446.3,392.7,514.3,279.1,334.7,374.9,409.3,1981.6,369.6,356.4,290.6,401.1,396.1,341.8,344.4,446.3,280.4,543.9,403.8,381.1,446.3,351.9,595.4,399.8,163.9,58.5,214.0,294.8,502.2,561.2,409.7,320.2,41.8,381.7,420.4,505.0,272.6,466.0,432.9,524.8,289.7,412.7,585.2,400.3,528.3,242.6,170.9,468.0,275.9,255.0,345.4,429.2,318.9,573.1,216.8,516.9,509.9,401.7,274.3
FU,550.2,260.8,689.8,597.3,633.5,124.7,148.7,611.9,581.1,710.0,656.1,297.6,141.9,341.1,375.3,304.6,343.3,233.3,312.4,435.9,271.7,304.2,493.6,589.7,736.0,286.1,558.3,299.5,340.3,130.2,738.4,717.9,322.2,566.1,379.9,0.0,191.6,376.8,261.6,701.8,635.1,191.0,229.2,675.0,464.8,608.6,239.4,128.3,191.7,275.1,621.7,270.2,682.4,265.3,197.7,725.6,345.8,208.2,470.5,590.1,715.0,76.6,343.4,151.8,240.1,161.2,193.4,317.4,84.7,249.8,167.2,705.7,498.5,677.0,647.3,723.5,238.3,240.8,738.4,566.2,574.8,193.0,360.5,159.4,364.1,742.7,356.1,574.6,515.8,343.3,613.1,703.1,547.4,738.8,177.1,298.1,532.7,71.4,658.9,701.8,1833.6,662.1,132.1,619.4,693.6,190.9,670.6,52.8,699.9,116.8,328.3,140.5,20.2,738.8,605.5,379.8,644.3,346.4,331.0,519.7,548.4,286.6,345.6,699.6,612.7,328.9,635.3,674.0,289.4,526.2,250.4,217.3,309.2,575.6,705.2,369.6,653.9,351.1,496.2,469.4,252.4,604.7,508.6,174.2,721.7,593.9,357.5,534.4,301.3,816.2,595.5,544.5
FY,584.3,68.1,723.9,631.4,667.6,269.7,141.9,646.0,615.2,744.1,690.2,331.7,155.1,148.4,182.6,111.9,150.6,267.4,119.7,470.0,79.0,338.3,527.7,623.8,770.1,93.4,592.4,333.6,374.4,168.7,772.5,752.0,356.3,600.2,414.0,203.7,0.0,410.9,89.3,735.9,669.2,121.3,71.6,709.1,498.9,642.7,395.2,251.7,142.0,102.8,655.8,97.9,716.5,72.6,112.4,759.7,153.1,15.5,504.6,624.2,749.1,200.3,150.7,76.8,47.4,199.7,227.5,351.5,229.6,77.5,160.4,739.8,532.6,711.1,681.4,757.6,272.4,68.5,772.5,600.3,608.9,107.7,394.6,152.6,398.2,776.8,390.2,608.7,549.9,150.6,647.2,737.2,581.5,772.9,81.3,105.4,566.8,206.3,693.0,735.9,1763.9,696.2,154.0,653.5,727.7,184.1,704.7,187.3,734.0,155.3,135.6,263.9,224.0,772.9,639.6,187.1,678.4,380.5,365.1,553.8,582.5,93.9,152.9,733.7,646.8,363.0,669.4,708.1,96.7,560.3,57.7,24.6,116.5,609.7,739.3,176.9,688.0,178.8,530.3,503.5,80.1,638.8,542.7,305.2,755.8,628.0,164.8,568.5,108.6,850.3,629.6,578.6
FZ,187.9,501.0,305.2,310.2,271.2,334.5,383.8,301.5,294.0,333.1,259.8,188.5,382.1,581.3,572.3,544.8,536.6,217.8,517.3,148.8,497.3,135.6,116.7,227.4,359.1,526.3,271.2,85.7,114.7,302.2,361.5,341.0,53.0,203.8,112.0,385.4,431.8,0.0,453.1,339.5,357.1,401.0,469.4,349.8,106.3,246.3,460.0,416.2,431.9,466.6,253.3,461.7,305.5,505.5,452.6,438.5,586.0,448.4,93.6,213.2,338.1,364.5,593.2,392.0,480.3,333.2,231.5,138.1,390.6,513.0,407.4,418.6,145.7,386.7,270.4,346.6,259.7,504.0,361.5,279.1,287.7,447.9,72.6,373.1,94.8,455.6,20.1,257.2,147.8,536.6,236.2,416.0,260.3,361.9,417.3,538.9,245.6,359.3,282.0,324.9,1956.8,285.2,381.0,257.1,316.7,420.7,308.3,369.0,379.2,305.0,568.5,428.4,405.7,361.9,318.4,620.0,366.3,167.1,44.2,142.8,261.3,526.8,585.8,325.3,235.8,61.0,348.2,386.9,529.6,200.7,490.6,457.5,549.4,256.2,328.3,598.4,366.8,534.8,209.1,137.4,492.6,210.0,221.5,370.0,344.8,285.4,597.7,128.4,541.5,425.5,368.2,203.1
GB,609.6,131.2,737.0,703.8,696.5,342.1,144.1,714.8,687.6,766.2,691.6,324.9,232.3,253.3,230.9,170.6,195.2,336.2,77.3,542.4,40.9,356.7,565.5,652.7,790.9,186.6,666.1,370.1,351.7,241.1,784.5,680.6,392.8,625.5,450.5,276.1,110.5,447.4,0.0,766.1,741.6,90.8,131.3,777.9,528.0,671.6,464.0,328.9,202.8,10.2,728.2,5.3,737.3,177.5,146.0,832.1,256.7,127.9,541.1,641.4,769.9,277.5,251.8,149.2,70.5,272.1,299.9,348.8,298.4,86.4,185.0,808.6,571.0,783.5,703.5,779.7,346.1,81.0,784.5,672.7,681.3,137.7,432.4,132.1,354.5,813.8,426.7,681.1,622.3,195.2,668.0,809.6,653.9,784.1,153.7,81.2,640.5,283.5,713.8,756.7,1714.5,717.0,231.2,682.4,748.5,176.1,733.6,256.1,806.4,227.7,240.5,337.5,296.4,784.1,712.0,258.4,752.1,379.1,401.6,594.8,654.9,202.0,256.5,753.5,667.6,399.5,741.8,780.5,201.6,632.7,120.8,114.7,221.4,682.1,756.5,258.3,760.4,96.5,602.7,577.2,72.9,641.8,615.1,377.6,776.6,700.4,255.7,608.6,216.7,823.4,702.0,651.0
GL,149.3,796.4,82.9,237.5,114.9,629.9,681.5,81.5,221.3,187.9,123.1,463.2,677.5,876.7,848.1,835.8,812.4,513.2,793.1,259.8,792.7,431.0,384.7,139.3,231.6,829.3,224.3,381.1,431.5,597.6,234.0,213.5,369.7,129.0,358.7,680.8,727.2,338.7,751.7,0.0,193.1,693.5,764.8,192.2,321.7,89.3,755.4,713.9,727.3,762.0,218.4,757.1,178.0,800.9,745.1,240.5,881.4,743.8,365.7,217.3,210.6,659.9,869.0,687.4,778.0,628.6,526.9,454.9,686.0,811.5,702.8,220.6,222.9,202.5,137.0,220.3,536.5,802.5,234.0,138.0,325.0,740.4,408.0,668.5,426.3,257.6,358.9,129.2,185.9,811.1,142.4,218.0,156.4,234.4,712.7,834.3,225.0,654.7,68.8,197.4,2047.3,139.7,676.4,78.5,189.2,716.1,63.7,664.4,214.8,600.4,863.9,723.8,701.1,234.4,134.2,915.4,220.1,497.9,378.5,290.2,244.5,824.5,881.2,216.8,153.5,361.8,143.8,202.7,825.0,238.8,786.0,752.9,844.8,128.2,200.8,874.2,162.4,810.6,207.6,352.8,788.0,154.3,258.8,665.4,217.3,157.4,893.1,203.0,836.9,331.1,222.7,197.0
GN,223.3,747.3,189.8,47.5,188.9,584.8,635.2,103.8,146.1,312.2,179.1,498.7,628.4,827.6,886.7,791.1,851.0,528.0,831.7,203.0,758.2,445.8,443.7,213.3,289.7,772.6,141.3,395.9,446.3,548.5,287.2,308.6,384.5,203.0,373.5,631.7,678.1,353.5,763.3,201.8,0.0,711.2,715.7,184.9,320.4,163.3,710.3,666.5,678.2,776.8,214.5,771.9,284.6,751.8,684.2,235.5,832.3,694.7,420.6,269.9,268.7,614.8,829.9,638.3,726.6,579.5,541.7,469.7,640.9,736.3,653.7,215.6,296.9,56.7,249.5,277.2,569.9,727.3,287.2,81.2,268.3,679.5,422.8,645.9,426.4,252.6,373.7,167.4,259.9,851.0,191.3,213.0,140.2,286.8,663.6,784.6,168.2,609.6,203.7,279.1,2144.9,264.3,627.3,152.5,295.8,677.4,170.6,615.3,209.8,551.3,814.8,678.7,652.0,286.8,49.7,866.3,30.6,498.7,393.3,345.1,187.7,773.1,832.1,209.5,214.9,376.6,127.2,56.9,775.9,249.9,736.9,703.8,795.7,168.4,258.9,856.1,145.8,849.2,150.8,351.5,738.9,228.3,202.1,620.3,275.4,186.7,844.0,258.1,787.8,326.1,29.5,193.1
GS,568.6,207.0,708.2,615.7,651.9,254.0,85.9,630.3,599.5,728.4,674.5,337.4,148.8,303.6,285.2,250.8,249.5,251.7,153.1,454.3,116.7,322.6,512.0,608.1,754.4,263.7,576.7,317.9,297.7,153.0,756.8,609.9,340.6,584.5,398.3,188.0,154.1,395.2,72.5,720.2,653.5,0.0,173.7,693.4,483.2,627.0,379.5,245.4,108.3,86.0,640.1,81.1,700.8,227.8,51.5,744.0,308.3,170.7,488.9,608.5,733.4,194.0,306.1,86.4,147.6,184.0,211.8,335.8,204.3,132.4,104.4,724.1,516.9,695.4,665.7,741.9,256.7,123.4,756.8,584.6,593.2,46.8,378.9,96.6,304.1,761.1,374.5,593.0,534.2,248.2,631.5,721.5,565.8,757.2,111.7,158.3,551.1,200.0,677.3,720.2,1642.5,680.5,147.7,637.8,712.0,128.1,689.0,171.6,718.3,139.6,290.8,257.6,208.3,757.2,623.9,281.4,662.7,378.8,349.4,538.1,566.8,249.1,308.1,718.0,631.1,347.3,653.7,692.4,251.9,544.6,196.6,187.3,271.7,594.0,723.6,311.3,672.3,172.3,514.6,487.8,148.7,623.1,527.0,292.2,740.1,612.3,278.7,552.8,263.8,752.7,613.9,562.9
GW,619.6,123.8,759.2,666.7,702.9,305.0,177.2,681.3,650.5,779.4,725.5,367.0,190.4,171.1,238.3,167.6,206.3,302.7,175.4,505.3,133.2,373.6,563.0,659.1,805.4,94.1,627.7,368.9,409.7,204.0,807.8,759.1,391.6,635.5,449.3,239.0,54.6,446.2,106.6,771.2,704.5,156.6,0.0,744.4,534.2,678.0,430.5,287.0,177.3,120.1,691.1,115.2,751.8,128.3,147.7,795.0,175.8,71.2,539.9,659.5,784.4,235.6,206.4,112.1,101.6,235.0,262.8,386.8,264.9,94.8,195.7,775.1,567.9,746.4,716.7,792.9,307.7,85.8,807.8,635.6,644.2,143.0,429.9,187.9,433.5,812.1,425.5,644.0,585.2,206.3,682.5,772.5,616.8,808.2,116.6,159.6,602.1,241.6,728.3,771.2,1799.2,731.5,189.3,688.8,763.0,219.4,740.0,222.6,769.3,190.6,191.3,299.2,259.3,808.2,674.9,172.2,713.7,415.8,400.4,589.1,617.8,149.6,175.6,769.0,682.1,398.3,704.7,743.4,152.4,595.6,113.4,58.7,172.2,645.0,774.6,232.6,723.3,196.1,565.6,538.8,97.4,674.1,578.0,340.5,791.1,663.3,169.5,603.8,164.3,885.6,664.9,613.9
