from_stop,AE,AH,AI,AM,AO,AQ,AR,AW,BC,BQ,BT,BX,CB,CJ,CT,DN,DP,DQ,DV,EG,EK,EP,EV,FL,FZ,GB,GE,GK,GQ,GR,GU,GZ,HE,HQ,ID,II,IK,IQ,IT,IU,JD,JM,JO,JX,KA,KD,KL,LF,LI,LT,LW,LY,MF,MG,MI,MJ,MK,MT,MU,MV,NC,NG,OI,OP,OQ,OW,PC,PZ,QL,QP,QW,QY,RD,RU,SC,SH,SI,SN,SP,SR,SX,TD,TH,TM,TS,TU,UA,UB,UH,UU,VB,VJ,WA,XA,XQ,XR,XT,YC,YK,YN,YS,YU,ZD,ZP,ZR,ZW,ZX
GU,2255.9,163.4,48.9,279.1,276.5,281.6,147.9,276.5,276.7,107.4,334.1,321.0,56.8,256.4,179.3,396.5,123.3,443.5,294.4,325.8,220.7,106.3,88.1,329.4,129.8,71.8,158.9,331.5,240.1,201.8,0.0,461.8,220.7,101.1,158.5,130.2,118.7,129.1,452.0,84.8,349.3,356.0,179.7,48.2,120.1,127.5,126.2,64.8,367.5,331.7,243.5,105.1,118.9,210.2,294.2,155.1,403.6,170.4,124.0,97.0,332.0,292.2,119.1,38.6,251.4,132.9,254.6,117.0,273.8,311.6,67.8,78.7,111.0,168.6,171.4,122.0,399.3,97.1,127.8,332.3,54.6,131.5,383.4,140.3,112.9,351.1,98.1,188.4,102.0,333.3,117.1,252.7,363.1,112.1,260.7,58.7,126.7,184.3,90.5,138.3,60.2,91.9,187.9,278.0,74.6,279.1,182.5
GZ,2041.0,339.9,472.4,347.4,350.0,244.0,329.5,350.0,349.8,467.4,160.8,171.4,469.5,237.6,519.3,197.8,493.2,34.8,211.7,210.9,280.8,451.5,487.7,165.5,347.6,484.5,368.6,163.4,269.1,320.4,472.3,0.0,280.8,513.5,438.3,490.2,517.6,488.8,43.3,436.7,173.3,191.5,361.6,509.8,426.3,366.6,467.0,449.3,105.6,143.4,316.6,428.2,418.6,306.6,209.3,454.9,49.2,488.6,469.0,496.6,137.1,203.0,418.4,451.3,242.6,472.9,294.3,499.8,303.3,244.7,429.1,516.2,372.5,448.4,324.4,434.0,181.1,441.5,343.1,189.3,428.0,385.0,70.4,481.1,390.3,171.9,362.6,314.0,520.9,161.6,496.8,256.1,122.1,421.8,338.8,471.4,396.0,337.2,525.6,375.0,461.4,529.4,336.5,348.5,497.0,347.4,466.6
HE,2126.5,131.8,222.0,210.9,208.3,84.7,92.5,208.3,208.5,269.7,148.0,124.1,253.9,96.3,297.4,201.0,249.4,246.6,97.5,128.9,0.0,210.2,250.4,143.3,110.6,234.1,118.2,145.4,26.5,79.5,221.9,264.9,0.0,264.2,368.5,292.5,265.9,307.1,255.1,206.8,152.4,159.1,119.0,210.5,185.0,129.6,288.5,203.9,170.6,134.8,175.3,177.8,281.2,69.6,97.3,304.2,206.7,332.7,226.4,259.3,149.8,106.1,281.4,200.9,101.3,326.0,112.5,292.2,60.7,114.7,199.2,241.0,119.0,357.7,87.4,193.5,202.4,229.6,105.9,135.4,177.6,176.4,186.5,302.6,139.9,154.2,154.1,77.0,264.3,147.2,279.4,55.8,184.4,209.9,192.5,221.0,171.6,100.2,247.6,124.6,234.9,254.2,195.2,209.8,246.6,210.9,344.8
HQ,2263.7,171.2,108.7,286.9,284.3,322.2,155.7,284.3,284.5,84.2,341.9,361.6,69.0,264.2,124.2,404.3,27.2,484.1,329.8,366.4,261.3,98.5,64.9,337.2,137.6,66.2,161.5,339.3,280.7,209.6,87.4,481.5,261.3,0.0,135.3,107.0,84.8,126.0,496.0,101.2,387.8,425.4,187.5,28.9,122.3,135.3,103.0,80.4,388.8,372.3,251.3,112.0,90.5,218.0,323.0,129.0,444.2,147.2,66.6,73.8,343.2,300.0,95.9,41.9,259.2,109.7,262.4,102.6,314.4,352.2,75.6,40.9,141.8,145.4,261.3,109.8,439.9,89.3,155.1,367.7,62.4,139.3,424.0,125.2,127.5,391.7,141.7,196.2,78.8,341.1,88.7,283.1,370.9,99.1,271.9,53.1,134.5,192.1,64.9,146.1,129.3,50.7,195.7,285.8,96.7,286.9,159.3
ID,2175.5,244.1,181.6,359.8,357.2,395.1,228.6,357.2,357.4,79.6,414.8,434.5,141.9,337.1,131.5,477.2,153.0,557.0,407.9,439.3,334.2,171.4,99.9,410.1,210.5,139.1,239.6,412.2,353.6,282.5,160.3,575.3,334.2,130.8,0.0,102.4,129.8,101.0,565.5,174.1,462.8,469.5,260.4,101.8,195.2,208.2,79.2,163.5,481.0,445.2,324.2,184.9,30.8,290.9,395.9,35.9,517.1,107.6,181.0,108.8,412.7,372.9,30.6,111.4,332.1,85.1,335.3,108.8,387.8,425.1,148.5,128.4,191.7,10.1,284.0,187.1,512.8,162.2,228.0,445.8,135.3,212.2,496.9,93.3,200.4,464.6,214.6,269.1,133.1,414.0,109.0,366.2,443.8,177.2,341.4,126.0,207.4,265.0,137.8,219.0,202.2,141.6,268.6,358.7,151.6,359.8,87.1
II,2244.2,229.1,161.8,344.8,342.2,380.1,213.6,342.2,342.4,18.9,399.8,419.5,151.9,322.1,98.5,462.2,138.0,542.0,392.9,424.3,319.2,156.4,83.1,395.1,195.5,128.1,224.6,397.2,338.6,267.5,148.5,560.3,319.2,115.8,95.7,0.0,114.8,86.0,550.5,159.1,447.8,454.5,245.4,86.8,180.2,193.2,63.4,177.7,466.0,430.2,309.2,169.9,56.1,275.9,392.7,92.3,502.1,107.6,169.0,74.2,397.7,357.9,56.3,96.4,317.1,52.1,320.3,93.8,372.3,410.1,133.5,131.3,176.7,105.8,284.3,172.1,497.8,147.2,213.0,430.8,120.3,197.2,481.9,77.5,225.8,449.6,211.0,254.1,83.8,399.0,55.0,351.2,428.8,162.2,326.4,140.6,192.4,250.0,122.8,204.0,173.1,113.6,253.6,343.7,116.3,344.8,87.2
IK,2289.9,197.4,134.9,313.1,310.5,348.4,181.9,310.5,310.7,91.8,368.1,387.8,95.2,290.4,70.8,430.5,73.2,510.3,361.2,392.6,287.5,113.5,72.5,363.4,163.8,92.4,192.9,365.5,306.9,235.8,113.6,528.6,287.5,84.1,141.9,114.6,0.0,80.5,518.8,127.4,416.1,422.8,213.7,55.1,137.3,161.5,110.6,116.8,434.3,398.5,277.5,138.2,103.3,244.2,361.0,139.5,470.4,154.8,51.5,81.4,366.0,326.2,103.5,64.7,285.4,99.4,288.6,65.6,340.6,378.4,101.8,81.7,145.0,131.1,288.2,129.2,466.1,115.5,181.3,399.1,88.6,165.5,450.2,124.7,153.7,417.9,167.9,222.4,68.4,367.3,101.5,319.5,397.1,130.5,294.7,79.3,160.7,218.3,91.1,172.3,155.5,94.9,221.9,312.0,104.9,313.1,166.9
IQ,2239.6,205.7,144.5,322.7,320.1,358.0,185.6,320.1,320.3,56.3,377.7,366.4,104.8,299.4,62.0,440.1,114.1,519.9,370.8,402.2,297.1,134.3,56.9,373.0,173.4,102.0,202.5,375.1,316.5,241.9,123.2,517.3,297.1,80.7,125.8,85.0,92.7,0.0,528.4,137.0,417.7,466.4,223.3,84.9,159.0,171.1,81.0,121.4,424.6,408.1,287.1,147.8,73.7,253.8,352.9,96.7,472.6,123.4,96.8,71.7,379.0,329.9,73.9,74.3,295.0,83.3,298.0,69.0,344.8,388.0,105.5,91.3,176.9,115.0,246.9,150.8,475.7,125.1,190.7,408.7,98.2,180.6,459.8,112.7,163.3,427.5,177.5,232.0,96.0,383.2,48.0,324.1,406.7,140.1,303.4,88.9,170.3,227.9,100.7,181.9,161.7,104.5,231.5,321.6,114.5,322.7,137.3
IT,1997.6,355.3,446.8,304.0,306.6,218.4,325.2,306.6,306.4,424.0,135.2,163.7,443.9,212.6,475.9,196.0,497.4,9.2,186.1,185.3,276.5,425.9,444.3,139.9,374.8,483.5,343.0,137.8,287.3,312.2,446.7,50.4,276.5,475.2,394.9,446.8,474.2,445.4,0.0,415.7,190.1,165.9,357.8,466.4,400.7,362.3,423.6,423.7,123.8,127.4,291.0,402.6,375.2,302.3,183.7,411.5,47.4,443.7,465.2,453.2,155.3,177.4,375.0,455.8,217.0,429.5,268.7,456.4,321.0,219.1,389.7,472.8,346.9,405.0,320.1,408.4,155.5,437.2,338.6,206.1,402.4,365.2,88.6,456.8,364.7,190.1,378.9,309.7,477.5,136.0,453.4,230.5,120.3,417.5,318.2,470.4,370.4,368.4,482.2,349.4,440.4,486.0,310.9,305.1,496.0,304.0,423.2
IU,2228.7,110.8,69.9,251.9,249.3,261.8,113.3,249.3,249.5,117.6,325.1,301.2,67.0,273.4,189.5,378.1,133.5,423.7,274.6,306.0,200.9,92.7,98.3,320.4,95.2,82.0,131.7,322.5,220.3,174.6,69.8,442.0,200.9,111.3,168.7,140.4,128.9,139.3,432.2,0.0,329.5,336.2,152.5,58.4,67.5,74.9,136.4,51.8,347.7,311.9,216.3,97.9,129.1,215.9,262.6,152.1,383.8,180.6,134.2,107.2,326.9,283.2,129.3,48.8,224.2,143.1,227.4,127.2,254.5,291.8,33.2,88.9,76.4,178.8,164.2,76.0,379.5,79.7,120.6,312.5,25.5,78.9,363.6,150.5,105.7,331.3,90.9,135.8,112.2,324.3,127.3,232.9,361.5,60.0,233.5,68.9,74.1,157.1,100.7,93.7,28.1,102.1,160.7,250.8,94.5,251.9,192.7
JD,2148.7,234.7,378.8,258.6,256.0,150.4,224.3,256.0,256.2,430.4,67.2,48.2,375.9,144.0,435.2,135.9,387.2,180.0,118.1,117.3,175.6,348.0,407.2,71.9,242.4,390.9,275.0,69.8,164.3,208.7,378.7,178.9,175.6,402.0,401.3,453.2,403.7,451.8,188.5,331.5,0.0,62.4,256.8,398.0,322.8,261.4,430.0,355.7,86.2,69.7,223.0,334.6,381.6,201.4,119.4,417.9,141.6,450.1,364.2,416.1,81.4,109.4,381.4,357.7,149.0,435.9,200.7,426.6,198.0,151.1,323.9,397.8,278.9,411.4,219.2,330.5,52.0,336.3,237.9,16.0,334.4,291.4,100.8,454.2,265.2,88.0,257.4,208.8,421.1,68.0,436.2,162.5,119.3,316.6,245.2,377.8,302.4,232.0,385.4,281.4,356.2,411.0,242.9,257.5,403.4,258.6,429.6
JM,2073.3,262.0,353.5,233.3,230.7,125.1,248.9,230.7,230.9,410.3,41.9,115.7,350.6,118.7,462.2,185.4,394.9,199.2,92.8,92.0,200.2,332.6,381.9,46.6,281.5,365.6,249.7,44.5,211.4,233.3,353.4,216.6,200.2,389.8,381.2,433.1,411.4,431.7,207.7,322.4,84.3,0.0,264.5,368.5,302.7,270.1,409.9,330.4,121.3,119.2,197.7,309.3,361.5,226.0,90.4,384.6,187.5,430.0,371.9,390.8,130.9,84.1,361.3,332.4,123.7,415.8,175.2,442.7,230.5,125.8,296.4,372.5,253.6,391.3,243.8,315.1,11.5,345.0,262.3,100.3,309.1,266.1,120.0,424.0,271.4,121.8,285.6,233.4,395.8,42.7,410.9,137.2,168.8,325.3,219.9,352.5,277.1,275.1,393.1,256.1,347.1,385.7,217.6,232.2,378.1,233.3,409.5
JO,2211.6,121.6,136.8,234.8,232.2,272.6,157.5,232.2,232.4,184.5,289.8,312.0,134.8,212.1,178.3,352.2,130.3,434.5,285.4,316.8,211.7,91.1,165.2,285.1,139.4,148.9,114.6,287.2,231.1,157.5,136.7,452.8,211.7,145.1,249.4,207.3,146.8,188.0,443.0,87.7,340.3,347.0,0.0,125.3,65.9,85.7,203.3,118.7,358.5,322.7,199.2,116.5,196.0,165.9,273.4,232.2,394.6,247.5,107.3,174.1,287.7,247.9,196.2,115.7,207.1,206.9,210.3,173.1,264.8,302.6,80.1,155.8,123.3,238.6,227.5,74.4,338.1,110.5,156.9,323.3,92.4,57.3,374.4,217.4,129.3,342.1,178.7,146.6,179.1,289.0,194.2,243.7,318.8,90.8,216.4,135.8,52.5,140.0,128.5,72.1,115.8,169.0,143.6,233.7,161.4,234.8,259.6
JX,2234.7,140.9,79.7,257.9,255.3,293.2,140.4,255.3,255.5,59.1,312.9,301.6,40.0,234.6,129.9,375.3,73.2,455.1,306.0,337.4,232.3,69.5,67.2,308.2,122.3,37.2,137.7,310.3,251.7,177.1,58.4,466.2,232.3,39.8,110.2,81.9,70.4,73.5,477.3,72.2,372.5,415.3,158.5,0.0,94.2,106.3,77.9,56.6,373.5,343.3,222.3,96.7,98.0,189.0,294.0,134.2,407.8,120.3,79.1,48.7,314.2,284.7,70.8,9.5,230.2,84.6,233.2,71.9,299.1,323.2,60.3,57.8,131.7,120.3,182.1,99.7,410.9,60.3,125.9,357.6,33.4,115.8,395.0,109.6,98.5,362.7,112.7,167.2,53.7,318.4,96.2,259.3,341.9,89.0,258.2,24.1,105.5,163.1,35.9,117.1,96.9,43.6,166.7,256.8,49.7,257.9,134.2
KA,2187.6,114.3,130.8,210.8,208.2,212.2,129.1,208.2,208.4,162.9,265.8,254.5,89.6,187.5,163.2,328.2,111.7,428.5,275.0,249.9,205.7,25.1,138.9,261.1,115.4,122.6,90.6,263.2,225.1,130.0,126.0,425.9,205.7,133.9,229.6,181.0,127.0,174.1,432.6,81.7,332.2,320.1,111.4,121.3,0.0,79.7,177.0,107.7,328.8,316.7,175.2,106.1,169.7,141.9,263.0,192.7,381.2,219.4,87.5,147.8,267.1,219.5,169.9,89.4,183.1,187.1,186.1,149.9,258.8,250.5,74.1,129.5,112.4,218.8,221.5,12.4,314.1,74.8,132.7,312.9,101.0,38.8,368.4,208.7,105.3,336.1,119.5,140.6,152.8,271.3,172.6,179.6,294.8,80.4,193.0,109.5,28.5,111.6,113.4,48.1,106.4,142.7,119.6,209.7,139.8,210.8,233.3
KD,2153.7,35.8,119.1,176.9,174.3,186.8,76.1,174.3,174.5,166.8,250.1,226.2,116.2,198.4,237.5,303.1,189.5,348.7,199.6,231.0,125.9,105.8,147.5,245.4,58.0,131.2,56.7,247.5,145.3,99.6,119.0,367.0,125.9,160.5,217.9,189.6,206.0,188.5,357.2,70.0,254.5,261.2,77.5,107.6,80.6,0.0,185.6,101.0,272.7,236.9,141.3,98.8,178.3,140.9,199.4,201.3,308.8,229.8,166.5,156.4,251.9,208.2,178.5,98.0,149.2,192.3,152.4,176.4,179.5,216.8,62.4,138.1,27.0,228.0,141.7,89.1,304.5,74.8,75.5,237.5,74.7,51.9,288.6,199.7,47.9,256.3,62.1,60.8,161.4,249.3,176.5,157.9,286.5,55.1,158.5,118.1,57.1,82.1,149.9,36.1,98.1,151.3,85.7,175.8,143.7,176.9,241.9
KL,2224.1,228.2,165.7,343.9,341.3,379.2,212.7,341.3,341.5,63.7,398.9,418.6,126.0,321.2,108.0,461.3,137.1,541.1,392.0,423.4,318.3,155.5,84.0,394.2,194.6,123.2,223.7,396.3,337.7,266.6,144.4,559.4,318.3,114.9,75.6,96.3,113.9,85.1,549.6,158.2,446.9,453.6,244.5,85.9,179.3,192.3,0.0,147.6,465.1,429.3,308.3,169.0,36.0,275.0,391.8,72.2,501.2,78.4,179.0,92.9,396.8,357.0,36.2,95.5,316.2,69.2,319.4,92.9,371.4,409.2,132.6,112.5,175.8,85.7,268.1,171.2,496.9,146.3,212.1,429.9,119.4,196.3,481.0,14.0,184.5,448.7,198.7,253.2,117.2,398.1,93.1,350.3,427.9,161.3,325.5,110.1,191.5,249.1,121.9,203.1,186.3,125.7,252.7,342.8,135.7,343.9,56.2
LF,2231.2,137.4,23.0,254.4,251.8,289.7,123.2,251.8,252.0,103.9,309.4,329.1,53.3,231.1,175.8,371.8,118.0,451.6,302.5,333.9,228.8,102.8,84.6,304.7,105.1,68.3,134.2,306.8,248.2,173.8,56.1,449.0,228.8,97.6,155.0,126.7,115.2,118.3,460.1,92.5,355.3,398.1,155.0,44.7,90.7,102.8,122.7,0.0,356.3,339.8,218.8,79.5,115.4,185.5,290.5,138.4,411.7,165.1,120.5,93.5,307.3,267.5,115.6,35.1,226.7,129.4,229.7,116.7,281.9,319.7,43.1,75.2,114.5,165.1,179.1,103.1,407.4,93.6,135.5,340.4,29.9,112.3,391.5,136.8,120.6,359.2,105.8,163.7,98.5,314.9,113.6,255.8,338.4,87.9,241.0,55.2,102.0,159.6,87.0,113.6,70.9,88.4,163.2,253.3,80.8,254.4,179.0
LI,2116.7,234.2,380.1,285.2,282.6,177.0,223.8,282.6,282.8,427.8,93.8,65.7,377.2,170.6,434.3,85.9,386.3,114.3,144.7,143.9,175.1,347.1,408.5,98.5,241.9,392.2,261.5,96.4,163.4,208.2,380.0,131.7,175.1,401.1,421.1,450.6,402.8,464.3,122.8,331.0,88.8,99.8,255.9,368.6,321.9,260.9,449.8,357.0,0.0,37.7,249.6,309.8,401.4,200.9,142.3,424.5,102.6,469.9,363.3,417.4,34.7,136.0,401.2,359.0,175.6,455.7,227.1,425.7,197.1,177.7,323.4,399.1,259.0,431.2,218.7,329.6,89.4,335.8,237.2,104.8,335.7,313.3,35.1,483.0,264.7,82.7,256.9,208.3,422.4,94.6,437.5,159.1,98.5,316.1,271.8,379.1,308.5,231.5,384.5,261.5,355.7,412.3,269.5,284.1,404.7,285.2,449.4
LT,2078.9,208.1,354.0,273.8,276.4,166.9,197.7,276.4,276.2,401.7,135.3,36.2,351.1,165.4,416.9,77.8,368.9,111.7,100.9,132.3,149.0,340.7,382.4,124.9,215.8,366.1,235.4,137.9,146.0,184.7,353.9,130.0,149.0,383.7,476.2,424.5,385.4,423.4,120.2,304.9,80.7,122.6,238.5,342.5,315.5,234.8,420.5,335.9,82.7,0.0,244.4,283.7,413.2,174.8,137.1,449.4,71.8,464.7,345.9,391.3,26.6,132.1,413.4,332.9,170.4,427.2,194.7,411.3,179.7,154.5,297.3,373.0,229.2,486.3,192.6,324.0,149.6,309.7,211.1,63.7,309.6,274.1,83.3,434.6,238.6,66.3,230.8,182.2,396.3,136.1,411.4,138.0,49.5,290.0,261.6,353.0,291.1,205.4,367.1,258.3,333.0,386.2,264.3,274.9,378.6,273.8,504.5
LW,2070.2,143.4,233.6,35.5,32.9,94.8,179.7,32.9,33.1,281.3,148.4,222.4,230.7,70.7,323.0,307.0,275.0,316.8,153.3,132.5,198.8,212.7,262.0,143.7,161.6,245.7,129.8,145.8,245.9,172.7,233.5,355.1,198.8,289.8,332.4,304.1,291.5,303.0,325.3,202.5,232.1,170.3,144.6,222.1,187.5,150.2,300.1,215.5,253.5,233.1,0.0,189.4,292.8,181.1,100.2,329.0,305.0,344.3,252.0,270.9,242.5,106.5,293.0,212.5,65.7,306.8,107.9,290.9,162.5,133.1,176.5,252.6,130.6,342.5,235.1,196.0,196.7,225.1,179.1,233.7,189.2,152.0,237.6,314.2,151.5,252.5,165.7,168.4,275.9,147.6,291.0,121.5,273.6,205.4,17.1,232.6,157.2,155.2,273.2,136.2,230.6,265.8,97.7,34.4,258.2,35.5,356.4
LY,2209.9,96.0,82.4,233.1,230.5,234.5,101.9,230.5,230.7,130.1,288.1,276.8,79.5,209.8,202.0,350.5,144.2,402.1,253.0,272.2,179.3,123.2,110.8,283.4,83.8,94.5,112.9,285.5,198.7,152.5,82.3,399.5,179.3,110.8,181.2,152.9,141.4,144.5,410.6,51.3,305.8,348.6,133.7,97.4,98.0,82.8,148.9,59.3,306.8,290.3,197.5,0.0,141.6,164.2,239.9,177.8,362.2,193.1,146.7,119.7,289.4,246.2,141.8,61.3,205.4,155.6,208.6,142.9,232.9,270.2,25.3,101.4,93.2,191.3,147.6,105.7,336.4,110.2,104.0,290.9,38.0,108.1,342.0,163.0,89.1,309.7,74.3,121.0,124.7,293.6,139.8,206.3,317.1,90.5,219.7,81.4,104.6,138.3,113.2,92.3,76.0,114.6,141.9,232.0,107.0,233.1,205.2
MF,2188.0,211.9,150.7,328.9,326.3,364.2,197.7,326.3,326.5,48.7,383.9,403.6,111.0,305.6,100.6,446.3,120.3,526.1,377.0,408.4,303.3,140.5,69.0,379.2,179.6,108.2,208.7,381.3,322.7,248.3,129.4,523.5,303.3,86.9,39.5,71.5,98.9,62.8,534.6,143.2,429.8,472.6,229.5,91.1,164.3,177.3,48.3,127.6,430.8,414.3,293.3,154.0,0.0,260.0,365.0,36.1,478.8,72.7,150.1,77.9,385.2,342.0,0.1,80.5,301.2,54.2,304.4,81.1,356.4,394.2,117.6,97.5,189.0,49.6,253.1,157.0,481.9,131.3,196.9,414.9,104.4,186.8,466.0,80.0,169.5,433.7,183.7,238.2,102.2,389.4,78.1,330.3,412.9,146.3,315.5,95.1,176.5,234.1,106.9,188.1,167.9,110.7,237.7,327.8,120.7,328.9,74.1
MG,2148.0,112.9,203.1,232.4,229.8,106.2,103.2,229.8,230.0,250.8,169.5,145.6,200.2,117.8,335.6,222.5,287.6,268.1,119.0,150.4,45.3,182.2,231.5,164.8,131.1,215.2,60.6,166.9,64.7,9.9,203.0,286.4,45.3,302.4,301.9,273.6,304.1,272.5,276.6,172.0,173.9,180.6,157.2,191.6,157.0,119.7,269.6,185.0,192.1,156.3,196.8,158.9,262.3,0.0,107.0,298.5,228.2,313.8,264.6,240.4,171.3,127.6,262.5,182.0,122.8,276.3,134.0,260.4,98.9,136.2,146.0,222.1,100.1,312.0,98.1,165.5,223.9,194.6,116.6,156.9,158.7,121.5,208.0,283.7,121.0,175.7,135.2,87.7,245.4,168.7,260.5,77.3,205.9,174.9,214.0,202.1,126.7,30.6,285.8,105.7,200.1,235.3,216.7,231.3,227.7,232.4,325.9
MI,2040.9,171.5,263.0,148.4,151.0,34.6,167.3,151.0,150.8,322.5,48.1,100.9,260.1,40.0,352.4,226.8,316.2,216.5,74.3,32.2,106.0,242.1,291.4,43.4,172.8,275.1,171.0,45.5,103.0,158.4,262.9,233.9,106.0,291.4,395.4,333.5,320.9,325.1,225.0,231.9,134.0,106.8,174.0,289.8,224.0,179.6,329.5,239.9,128.1,132.8,107.2,230.6,322.2,131.8,0.0,345.2,197.3,385.5,293.2,300.3,162.3,6.2,322.4,241.9,33.2,336.2,84.9,323.5,139.5,32.8,205.9,293.8,163.1,419.8,162.2,224.6,96.4,266.7,208.5,133.4,230.4,193.2,163.3,355.4,192.7,131.0,195.1,139.2,305.3,67.9,320.4,46.7,161.2,234.8,129.4,262.0,198.4,162.4,302.6,165.6,256.6,295.2,138.9,149.5,299.4,148.4,423.7
MJ,2201.1,258.1,183.7,361.9,372.5,410.4,230.7,372.5,372.7,81.7,430.1,449.8,144.0,352.4,146.8,492.5,166.5,572.3,410.0,441.4,336.3,186.7,115.2,425.4,225.8,154.4,241.7,427.5,368.9,294.5,162.4,556.5,336.3,132.9,34.6,112.5,145.1,103.1,580.8,176.2,462.8,518.8,275.7,103.9,197.3,210.3,90.9,160.6,463.8,460.5,339.5,200.2,32.9,306.2,398.0,0.0,519.2,71.6,196.3,124.1,418.2,388.2,32.7,126.7,347.4,100.4,350.4,114.1,389.9,440.4,163.8,130.5,235.2,57.9,299.3,203.2,528.1,177.5,229.9,461.1,137.4,227.5,512.2,71.5,202.5,466.7,229.9,284.4,174.8,416.1,146.0,363.3,459.1,192.5,348.5,128.1,209.5,267.1,153.1,234.3,200.9,143.7,283.9,360.8,166.9,361.9,51.1
MK,2041.9,297.6,442.1,348.3,350.9,231.0,277.7,350.9,350.7,460.2,147.8,127.7,439.2,225.2,520.2,156.6,480.2,39.8,206.1,197.9,237.1,428.8,488.6,152.5,295.8,454.2,315.4,150.4,256.1,276.9,442.0,44.6,237.1,506.5,439.2,491.1,518.5,482.4,48.3,393.0,160.3,178.5,348.6,510.7,398.9,322.9,467.9,410.9,100.0,88.0,303.6,363.7,419.5,262.9,196.3,455.8,0.0,489.5,456.0,497.5,124.1,197.4,419.3,412.9,229.6,473.8,281.1,492.6,289.8,231.7,385.4,453.0,359.5,449.3,280.7,411.3,168.1,397.8,299.4,176.3,397.7,372.0,57.4,492.1,326.7,158.9,318.9,270.3,521.8,141.9,497.7,250.5,80.9,378.1,325.8,441.1,383.0,293.5,477.2,362.0,417.7,474.3,323.5,349.4,458.6,348.3,467.5
MT,2240.3,262.9,230.0,379.9,377.3,415.2,247.2,377.3,377.5,108.6,434.9,423.6,162.0,356.6,133.2,497.3,171.3,577.1,426.5,459.4,354.3,191.5,144.4,430.2,229.1,159.2,258.2,432.3,373.7,299.1,180.4,573.0,354.3,137.9,91.8,89.7,149.9,113.8,584.1,194.2,480.8,522.1,280.5,142.1,216.2,228.3,68.1,177.1,480.3,465.3,344.3,203.5,50.7,311.0,416.0,73.7,529.8,0.0,205.7,135.5,436.2,393.0,52.4,130.0,352.2,105.2,355.2,130.6,407.4,445.2,168.6,147.0,238.5,101.9,342.5,208.0,532.9,182.3,247.9,464.4,155.4,237.8,517.0,39.7,220.5,484.7,279.2,289.2,152.0,440.4,123.2,379.8,463.9,195.8,366.5,146.1,227.5,283.6,156.4,239.1,244.3,181.8,288.7,378.8,184.5,379.9,33.4
MU,2273.4,187.2,149.9,296.6,294.0,338.2,196.9,294.0,294.2,129.3,351.6,377.6,101.7,273.9,70.9,414.0,22.9,500.1,351.0,335.7,277.3,61.9,107.1,346.9,178.8,92.6,176.4,349.0,296.7,219.3,128.6,518.4,277.3,37.7,142.0,152.1,39.4,80.6,508.6,142.4,405.9,412.6,197.2,70.1,85.7,151.3,153.3,131.8,424.1,388.3,261.0,153.2,136.9,227.7,303.4,159.9,460.2,202.7,0.0,116.0,349.5,309.7,137.1,79.7,268.9,99.5,272.1,65.7,330.9,368.2,116.8,78.7,160.0,131.2,296.0,77.6,399.9,86.9,196.3,388.9,103.6,119.1,440.0,167.4,168.7,407.7,222.7,212.2,107.9,350.8,134.6,309.3,380.6,101.9,278.2,79.5,114.3,201.8,47.0,133.9,184.8,91.9,205.4,295.5,105.1,296.6,209.6
MV,2256.0,201.3,122.4,317.0,314.4,352.3,185.8,314.4,314.6,56.4,372.0,391.7,112.5,294.3,111.7,434.4,110.2,514.2,365.1,396.5,291.4,128.6,8.8,367.3,167.7,88.7,196.8,369.4,310.8,239.7,109.1,532.5,291.4,88.0,107.5,79.2,87.0,78.1,522.7,158.3,420.0,426.7,217.6,59.0,152.4,165.4,75.2,138.3,438.2,402.4,281.4,142.1,67.9,248.1,353.1,104.1,474.3,119.4,122.0,0.0,369.9,330.1,68.1,68.6,289.3,81.9,292.5,48.0,344.5,382.3,105.7,91.9,148.9,117.6,244.9,144.3,470.0,119.4,185.2,403.0,92.5,169.4,454.1,89.3,186.4,421.8,171.6,226.3,44.4,371.2,66.1,323.4,401.0,134.4,298.6,101.2,164.6,222.2,95.0,176.2,133.7,74.2,225.8,315.9,76.9,317.0,131.5
NC,2118.0,216.9,361.4,281.2,283.8,174.3,201.7,283.8,283.6,409.1,131.4,43.6,358.5,173.4,402.8,64.4,352.7,151.9,104.9,139.7,156.4,312.3,386.4,136.1,219.8,373.5,242.8,134.0,128.6,196.2,361.3,144.8,156.4,374.9,458.7,431.9,368.0,415.1,160.4,312.3,82.6,145.5,221.1,362.3,282.4,242.2,427.9,338.3,34.1,39.0,251.8,291.1,417.2,182.2,129.3,453.4,103.5,470.3,328.5,398.7,0.0,136.1,420.8,336.9,177.8,428.1,202.3,390.9,162.3,161.9,304.7,377.0,224.2,468.8,200.0,327.2,127.0,317.1,218.7,67.7,317.0,236.7,72.7,459.6,246.0,73.7,238.2,189.6,403.7,125.5,418.8,137.0,63.7,297.4,269.0,360.4,273.7,209.4,353.0,226.7,337.0,393.6,271.7,282.3,386.0,281.2,487.0
