from_stop,AH,AN,AP,AW,BD,BG,BM,BV,CI,CU,CV,DA,DD,DK,DM,DZ,EB,EF,EI,EN,ES,EU,EW,FO,FU,GW,GX,HB,HV,IM,IO,IT,IY,JA,JI,JK,JO,JW,JY,KF,KI,KJ,KL,KR,KU,KZ,LE,LG,LQ,LU,LY,MV,NP,NU,NV,NZ,OD,OK,OL,ON,PE,PF,PH,PP,QU,RE,RF,RO,RQ,RS,RT,RW,RX,RY,SJ,TH,TO,TT,UG,UP,UR,UV,UW,VN,VY,WC,WW,XE,XJ,XL,XT,XV,YK,YN,YO,YW,YX,ZE,ZL,ZX
IY,81.8,169.8,138.1,116.1,143.1,113.7,99.8,120.8,82.7,69.4,49.3,174.1,254.9,154.9,123.4,62.6,251.8,100.1,121.4,90.7,117.5,79.3,177.5,71.9,67.1,146.9,193.4,104.1,123.8,2470.5,143.7,229.0,0.0,78.2,161.0,172.0,228.0,121.3,148.2,106.4,131.7,117.4,62.2,115.4,124.9,118.5,56.2,45.6,38.5,86.7,87.6,127.5,112.3,73.7,55.7,221.1,154.7,126.7,77.6,70.0,156.2,112.3,136.0,99.2,67.5,187.6,130.2,82.7,97.0,123.8,76.9,128.0,130.9,163.3,145.4,180.2,94.7,90.8,138.3,105.8,132.9,90.6,40.4,107.4,101.8,102.0,74.9,131.5,115.9,135.4,61.2,51.1,167.4,133.2,115.0,166.1,135.9,20.6,66.1,152.0
JA,68.8,287.5,215.6,239.3,143.9,224.0,145.3,163.4,160.2,90.1,120.1,251.6,365.2,254.5,233.7,138.1,228.9,104.7,246.0,149.2,45.2,123.2,299.5,85.3,93.4,224.4,270.9,181.6,169.3,2513.1,221.2,236.8,108.4,0.0,238.5,249.5,338.3,244.5,225.7,227.0,212.6,162.9,139.7,225.7,197.8,118.5,166.5,88.2,134.0,187.6,202.3,192.7,189.8,119.2,110.6,395.8,155.5,194.9,182.6,180.3,280.8,239.2,181.5,176.7,153.0,297.9,207.7,150.5,142.5,182.2,172.4,249.8,208.4,236.2,188.0,258.1,94.7,168.3,60.0,102.3,73.2,134.2,117.9,184.9,98.0,131.2,204.4,231.8,193.4,121.5,59.2,146.6,202.5,175.8,157.6,243.6,246.2,81.2,188.7,194.6
JI,202.9,171.2,68.8,229.3,302.4,143.9,145.9,77.9,131.2,187.6,162.3,13.1,142.9,73.9,153.6,157.1,136.3,103.8,209.1,232.1,229.4,207.1,184.6,190.1,185.3,77.6,32.4,118.2,64.2,2403.8,60.6,128.4,154.6,196.4,0.0,10.7,116.0,234.5,86.5,217.0,97.6,138.7,138.6,182.2,210.9,212.9,163.4,115.1,186.4,172.7,192.3,216.3,106.4,153.0,173.9,109.1,314.0,172.9,254.8,150.1,202.1,229.8,96.0,93.3,172.0,75.6,90.7,145.3,97.6,72.9,224.8,200.4,61.6,172.5,122.1,18.9,189.1,123.3,244.2,243.3,224.3,136.7,156.9,107.3,256.5,240.9,222.8,245.5,108.2,280.0,177.4,199.0,136.6,90.3,46.8,69.3,85.6,156.8,156.5,109.1
JK,210.5,160.4,60.1,218.5,291.6,133.1,157.0,89.0,122.5,195.8,178.6,24.1,132.1,65.2,142.8,148.4,125.5,110.5,198.3,224.5,220.7,218.2,173.8,194.2,196.4,68.9,43.4,109.5,75.3,2414.9,51.9,117.6,168.3,207.5,11.0,0.0,105.2,223.7,90.2,206.2,88.9,149.8,149.7,171.4,222.0,204.2,152.6,126.2,177.7,164.0,181.5,224.4,97.7,164.1,185.0,162.7,303.2,184.0,244.0,139.3,191.3,219.0,107.1,84.6,163.3,64.8,101.8,126.9,108.7,84.0,216.1,189.6,52.9,183.6,133.2,8.6,180.4,130.6,235.5,224.0,194.9,145.9,148.2,118.4,245.7,230.1,214.1,246.4,119.3,269.2,188.5,190.3,147.7,101.4,57.9,74.3,74.8,167.9,166.4,120.2
JO,231.7,179.3,145.7,237.4,310.5,152.0,217.3,106.7,160.2,216.4,196.3,99.5,64.7,104.6,161.7,206.5,20.2,128.2,162.2,243.4,270.5,235.9,192.7,211.9,214.1,154.5,81.3,148.0,93.0,2380.1,119.3,12.3,186.0,225.2,112.0,122.8,0.0,242.6,115.3,225.1,162.3,186.9,167.4,190.3,252.1,265.5,171.5,143.9,224.6,230.3,200.4,270.4,178.8,181.8,202.7,95.3,269.0,219.6,262.9,158.2,155.6,225.6,149.4,165.7,221.4,64.1,119.5,193.2,126.4,78.1,263.0,208.5,138.5,215.1,164.7,131.4,241.7,152.1,285.3,288.3,259.2,163.6,186.9,136.1,264.6,249.0,261.0,176.3,137.0,288.1,206.2,237.2,179.2,154.7,75.6,98.1,93.7,185.6,185.3,137.1
JW,223.9,108.4,197.2,5.5,125.0,122.7,257.7,271.4,169.7,192.7,177.2,251.4,286.3,186.6,113.1,123.5,219.4,214.0,40.7,106.9,204.4,207.2,94.2,192.8,196.0,188.4,270.7,203.0,277.3,2574.0,225.6,211.5,127.8,249.7,238.3,227.2,199.1,0.0,235.6,18.7,163.4,270.9,165.4,83.9,252.8,137.6,87.9,214.6,112.5,115.8,45.9,291.9,171.1,231.6,213.2,316.9,136.6,284.7,59.5,101.7,75.5,65.6,289.5,184.2,108.6,201.0,211.6,143.0,250.5,277.3,76.8,76.2,204.4,291.2,296.0,218.6,161.4,177.8,189.6,172.4,201.5,246.6,143.6,194.4,156.2,137.9,37.0,45.6,214.8,132.7,187.1,74.5,310.5,283.8,274.8,248.0,167.6,148.5,110.1,336.3
JY,171.9,155.5,30.3,213.6,286.7,128.2,114.9,62.7,100.4,156.6,136.5,84.3,191.6,87.2,137.9,136.6,185.0,72.8,247.7,216.4,208.9,176.1,168.9,152.1,154.3,39.1,103.6,88.2,68.6,2412.4,53.9,168.5,123.6,165.4,71.2,82.2,164.7,218.8,0.0,201.3,77.1,107.7,107.6,166.5,179.9,192.4,147.7,84.1,164.8,152.2,176.6,185.3,85.9,122.0,142.9,203.3,298.3,141.9,239.1,134.4,186.4,214.1,80.8,72.8,151.5,124.3,59.7,113.5,66.6,65.7,203.2,184.7,23.1,141.5,91.1,90.8,168.6,92.3,223.7,222.8,203.2,105.7,127.1,76.3,240.8,225.2,201.2,233.5,77.2,264.3,146.4,177.4,105.6,75.1,56.9,76.3,72.6,125.8,140.8,93.9
KF,205.2,107.0,178.5,12.2,106.3,104.0,239.0,252.7,151.0,174.0,153.3,238.0,267.9,167.9,94.4,104.8,240.4,199.7,58.2,88.2,185.7,188.5,111.7,174.1,177.3,169.7,257.3,184.3,258.6,2591.5,206.9,217.6,112.0,231.0,224.9,213.8,216.6,17.4,216.9,0.0,144.7,252.2,144.1,65.2,234.1,118.9,69.2,195.9,93.8,97.1,32.2,273.2,152.4,212.9,194.5,288.8,117.9,266.0,40.8,83.0,93.0,46.9,270.8,165.5,89.9,200.6,192.9,117.2,231.8,283.5,58.1,88.7,185.7,272.5,277.3,205.6,142.7,159.1,170.9,143.1,162.1,229.8,124.9,175.7,137.5,113.5,18.3,88.4,196.1,114.0,168.4,55.8,299.3,265.1,271.8,229.3,148.9,129.8,76.5,283.9
KI,172.6,92.0,71.1,150.1,223.2,64.7,145.2,112.0,84.6,157.9,161.6,110.0,160.5,60.5,74.4,112.5,153.9,103.1,196.1,152.9,176.8,206.4,105.4,182.4,161.2,62.3,129.3,71.6,117.9,2461.7,79.6,137.4,153.9,195.7,96.9,106.4,133.6,155.3,84.1,137.8,0.0,138.0,129.5,103.0,213.1,149.3,84.2,114.4,121.9,103.7,113.1,212.6,59.8,152.3,173.2,172.2,234.8,172.2,175.6,70.9,122.9,150.6,130.1,46.7,118.0,93.2,48.1,89.0,96.9,115.0,160.3,121.2,66.8,187.0,136.6,97.8,142.5,92.7,197.6,171.2,177.1,136.0,110.3,106.6,177.3,161.7,153.1,166.3,83.4,200.8,176.7,134.5,158.6,124.4,143.8,102.0,41.5,154.9,77.3,143.2
KJ,180.3,229.5,139.8,244.7,271.7,196.8,46.9,96.6,108.8,165.0,139.7,133.2,247.2,171.6,206.5,189.2,162.1,124.5,250.0,219.3,230.8,112.1,242.9,160.5,162.7,148.6,115.0,103.0,102.5,2446.3,133.0,170.0,128.5,191.5,145.7,156.5,182.4,249.9,109.4,232.4,137.4,0.0,116.0,244.0,75.0,211.6,184.8,133.1,167.1,212.7,216.2,100.0,133.8,84.0,151.3,258.9,283.3,49.2,206.2,198.6,284.8,238.3,100.4,120.7,196.1,197.5,94.6,140.2,75.7,128.1,205.5,256.6,132.6,81.9,48.1,164.7,187.8,100.7,251.6,234.4,202.3,56.1,169.0,84.7,230.4,224.9,203.5,260.1,92.0,264.0,145.3,179.7,76.6,105.7,90.8,111.8,179.0,109.3,192.1,88.1
KL,104.4,198.9,132.2,150.7,214.4,133.1,92.2,110.3,79.1,89.1,66.4,168.2,276.6,171.1,145.1,41.0,172.3,96.5,169.2,138.0,123.3,108.6,210.0,91.6,86.8,143.3,187.5,98.2,116.2,2460.0,140.1,250.7,58.7,97.9,155.1,168.4,249.7,155.9,144.6,136.1,129.2,109.8,0.0,137.1,161.9,112.8,77.9,35.1,86.3,105.8,109.3,129.4,108.7,66.1,75.4,242.8,226.0,119.2,125.4,91.7,201.7,155.2,128.4,95.6,53.9,209.3,124.3,79.1,89.4,113.3,122.4,175.8,125.0,185.3,136.2,176.6,89.0,84.9,144.1,140.9,124.2,83.0,19.5,103.8,158.4,158.6,122.7,166.9,110.0,192.0,80.9,98.9,156.9,122.7,104.5,162.5,157.6,58.3,82.9,141.5
KR,197.3,88.7,137.1,75.8,148.8,85.3,200.4,211.3,109.6,168.4,202.7,196.6,226.5,126.5,76.1,96.9,219.9,149.9,121.8,120.1,177.8,200.9,102.1,208.0,171.7,128.3,215.9,142.9,217.2,2561.0,165.5,200.6,121.5,223.1,183.5,172.4,199.6,81.0,175.5,63.5,103.3,210.8,136.2,0.0,270.1,113.3,48.2,166.5,85.9,67.7,72.7,264.7,111.0,204.4,188.9,192.7,160.4,227.4,83.3,34.9,104.8,48.3,229.4,124.1,82.0,159.2,151.5,96.0,190.4,248.9,100.6,46.9,144.3,286.3,235.9,163.8,137.1,117.7,163.0,135.2,154.8,191.2,117.0,134.3,131.2,131.4,60.8,130.9,154.7,156.5,217.8,98.5,257.9,223.7,230.4,187.9,107.5,142.2,41.3,242.5
KU,181.3,287.5,255.8,233.8,298.0,231.4,82.0,171.0,200.4,166.0,145.9,207.6,321.6,272.6,241.1,178.3,236.5,135.9,239.1,208.4,234.1,131.5,292.6,161.5,163.7,264.6,189.4,221.8,176.9,2432.9,207.4,244.4,117.6,188.8,220.1,230.9,256.8,239.0,183.8,221.5,249.4,83.0,179.9,233.1,0.0,200.7,173.9,122.2,156.2,201.8,209.7,27.1,230.0,90.5,152.3,352.2,309.6,54.4,195.3,187.7,273.9,227.4,154.6,216.9,185.2,305.3,169.0,190.7,124.6,189.8,194.6,238.0,248.6,38.3,98.7,239.5,176.9,163.5,248.9,220.5,191.4,93.1,158.1,147.5,229.6,214.0,192.6,224.9,172.4,285.7,167.1,168.8,84.2,159.9,165.2,186.2,253.6,98.4,196.1,142.3
KZ,87.7,175.7,164.0,127.5,108.4,112.2,173.4,191.5,136.5,55.0,92.8,223.5,253.4,153.4,121.9,80.9,246.8,132.8,141.7,30.6,97.9,150.0,189.1,104.2,58.3,155.2,242.8,164.5,197.4,2541.2,192.4,238.9,70.6,118.5,210.4,199.3,226.5,132.7,202.4,115.2,130.2,191.0,122.6,113.9,195.6,0.0,54.7,116.3,98.0,82.6,90.5,195.2,137.9,147.3,75.5,284.0,120.0,197.4,65.9,68.5,176.5,122.5,209.6,151.0,66.0,186.1,178.4,109.8,170.6,210.3,132.2,133.1,171.2,234.0,216.1,190.7,23.7,144.6,91.5,74.3,72.1,162.3,100.8,161.2,69.8,54.2,87.7,127.5,176.3,93.3,125.3,85.4,230.6,203.9,185.7,214.8,134.4,91.3,76.9,222.7
LE,149.0,120.9,109.2,65.8,138.9,57.4,172.5,183.4,81.7,120.1,154.4,168.7,198.6,98.6,67.1,48.6,192.0,126.0,111.8,71.8,129.5,152.6,134.3,165.5,123.4,100.4,188.0,115.0,189.3,2533.1,137.6,184.1,73.2,174.8,155.6,144.5,171.7,71.0,147.6,53.5,75.4,182.9,90.5,59.1,242.2,65.0,0.0,126.6,37.6,27.8,28.8,217.0,83.1,156.7,140.6,229.2,150.5,199.5,91.3,13.7,146.6,77.4,201.5,96.2,33.7,131.3,123.6,55.0,162.5,249.9,76.0,88.0,116.4,258.4,208.0,135.9,88.8,89.8,114.7,97.5,126.6,161.4,68.7,106.4,93.0,77.4,68.8,106.3,126.8,116.5,169.5,50.2,222.5,195.8,202.5,160.0,79.6,93.9,22.1,214.6
LG,87.7,211.9,158.0,158.2,225.2,155.8,57.0,75.1,102.6,72.4,52.3,111.7,225.7,150.1,165.5,62.5,140.6,16.4,163.5,152.2,126.5,121.3,217.0,67.9,70.1,166.8,93.5,124.0,81.0,2424.8,111.5,148.5,42.0,81.2,124.2,135.0,160.9,163.4,87.9,145.9,155.0,74.6,23.4,157.5,126.7,121.5,98.3,0.0,80.6,126.2,134.1,91.2,132.2,30.9,58.7,256.3,236.8,84.0,119.7,112.1,198.3,151.8,93.2,119.1,77.4,176.0,73.1,92.9,54.2,93.9,119.0,162.4,150.8,150.1,99.7,143.6,97.7,61.6,141.3,144.3,115.2,45.9,42.9,45.6,179.3,175.8,117.0,149.3,70.5,202.8,62.2,93.2,114.2,87.5,69.3,90.3,178.0,41.6,120.5,106.3
LQ,97.0,131.2,152.0,77.5,124.3,128.2,143.4,161.5,110.4,82.3,90.0,201.8,241.4,141.4,118.6,68.9,261.5,102.8,82.8,57.2,107.2,120.0,136.3,105.6,85.6,143.2,221.1,131.8,167.4,2511.2,171.4,253.6,40.6,118.9,188.7,187.3,241.2,82.7,175.9,65.2,118.2,161.0,89.9,89.4,165.6,50.4,42.7,86.3,0.0,70.6,69.4,165.2,125.9,117.3,96.4,272.0,135.9,167.4,39.0,56.5,117.6,71.1,179.6,126.9,54.0,174.1,157.9,97.8,140.6,180.3,38.3,81.7,158.6,204.0,186.1,178.7,66.9,118.5,100.1,82.9,81.4,132.3,68.1,135.1,78.4,62.8,36.3,68.6,143.6,101.9,99.9,12.5,200.6,173.9,155.7,193.8,122.4,61.3,64.9,192.7
LU,136.6,135.0,123.3,108.3,181.4,71.5,148.4,166.5,82.7,121.9,151.1,174.1,212.7,112.7,81.2,76.5,209.6,131.4,154.3,111.1,140.8,177.6,148.4,153.1,125.2,114.5,193.4,104.1,172.4,2516.2,143.7,198.2,140.8,167.4,161.0,158.6,185.8,113.5,148.2,96.0,89.5,166.0,96.1,73.2,218.1,107.5,42.4,98.7,80.1,0.0,66.9,196.9,97.2,136.6,142.4,224.4,193.0,175.4,133.8,27.8,165.9,119.9,184.6,99.2,76.2,145.4,130.2,20.0,145.6,169.5,118.5,112.5,130.5,241.5,192.4,150.4,106.5,90.8,157.2,129.4,141.1,139.2,74.3,107.4,125.4,125.6,111.3,124.5,115.9,159.0,161.0,92.7,213.1,178.9,160.7,166.1,93.7,118.9,35.5,197.7
LY,177.9,108.6,146.2,36.9,127.9,99.4,206.7,225.4,123.7,149.0,178.3,205.7,240.6,140.6,96.0,75.5,237.5,167.4,82.9,97.5,164.4,181.5,122.0,188.6,152.3,142.4,225.0,152.0,226.3,2575.1,179.6,214.7,105.0,203.7,192.6,186.5,213.7,42.1,184.6,24.6,112.4,224.9,116.8,66.8,227.1,93.9,41.9,168.6,66.5,64.8,0.0,248.9,125.1,180.6,169.5,206.8,139.5,238.7,62.4,55.7,122.1,48.5,243.5,138.2,62.6,168.3,160.6,89.9,204.5,263.0,84.1,66.8,153.4,300.4,250.0,178.3,117.7,131.8,138.6,110.8,134.8,197.5,97.6,148.4,111.8,112.0,39.9,53.1,163.8,135.6,200.4,79.1,272.0,237.8,244.5,202.0,121.6,122.8,49.2,256.6
MV,177.8,287.0,252.3,233.3,297.5,227.9,97.2,167.4,199.9,165.5,145.4,204.0,318.0,272.1,240.6,179.8,229.4,103.8,238.6,201.7,227.6,109.4,289.1,168.0,163.2,264.1,185.8,218.3,176.3,2462.7,203.8,252.2,114.5,188.3,216.5,227.3,253.2,238.5,180.2,218.0,248.9,102.2,131.1,232.6,37.1,200.2,173.4,121.7,155.7,201.3,204.8,0.0,229.5,66.3,151.8,284.2,309.1,79.5,194.8,187.2,273.4,226.9,169.1,216.4,184.7,304.8,165.4,199.9,146.5,170.4,194.1,245.2,248.1,75.5,113.8,235.5,176.4,153.9,248.4,220.0,211.6,106.4,157.6,137.9,219.0,219.2,192.1,248.7,162.8,285.2,142.6,168.3,113.9,171.4,161.6,182.6,253.1,97.9,177.7,153.8
NP,150.8,121.0,83.8,157.1,230.2,71.7,136.0,122.9,62.8,136.1,152.4,119.8,198.7,98.7,81.4,88.7,192.1,89.5,200.9,163.1,161.0,191.8,134.4,167.3,139.4,92.6,139.1,31.8,128.8,2472.6,89.4,184.2,147.3,181.6,106.7,117.7,171.8,162.3,93.9,144.8,75.5,128.8,110.3,110.0,203.9,144.5,91.2,105.2,118.0,104.3,120.1,203.4,0.0,143.1,156.6,229.3,241.8,163.0,182.6,77.9,151.9,157.7,141.0,13.0,103.6,131.4,75.9,67.2,102.0,141.7,156.4,128.3,76.6,197.9,147.5,126.3,120.7,70.9,175.8,164.3,135.2,124.9,88.5,87.5,184.3,168.7,154.4,186.7,43.6,207.8,167.5,130.6,162.0,135.3,153.6,111.8,79.7,133.1,105.0,154.1
NU,129.7,276.6,147.2,222.9,249.9,220.5,85.9,104.0,98.6,114.4,89.1,140.6,254.6,179.0,230.2,104.5,166.0,40.4,228.2,194.2,162.5,90.3,281.7,109.9,112.1,156.0,122.4,110.4,109.9,2453.7,140.4,186.0,106.7,123.2,153.1,163.9,189.8,228.1,116.8,210.6,144.8,103.1,65.4,222.2,97.4,163.5,163.0,41.9,145.3,142.6,194.4,60.2,141.2,0.0,100.7,266.3,261.5,80.4,184.4,176.8,263.0,216.5,122.1,128.1,119.4,204.9,102.0,103.9,83.1,135.5,183.7,258.3,140.0,135.8,128.6,172.1,139.7,90.5,183.3,196.9,177.3,76.7,84.9,74.5,208.6,203.1,181.7,238.3,99.4,242.2,123.5,157.9,143.1,116.4,98.2,119.2,186.4,87.5,170.3,135.2
NV,75.2,238.5,177.8,190.3,171.2,175.0,129.8,147.9,122.4,13.6,9.5,213.8,316.2,216.2,184.7,100.3,213.4,89.2,204.5,93.4,97.2,79.4,251.9,55.4,11.4,186.6,233.1,143.8,153.8,2497.6,183.4,301.7,70.6,68.7,200.7,211.7,289.3,195.5,187.9,178.0,174.8,147.4,101.9,176.7,195.6,62.7,117.5,72.7,96.2,145.4,153.3,164.0,152.0,103.7,0.0,346.8,182.8,156.8,128.7,131.3,239.3,185.3,166.0,138.9,115.2,248.9,169.9,112.7,127.0,166.7,134.6,195.9,170.6,222.9,172.5,220.3,38.9,130.5,112.0,100.5,71.4,118.7,80.1,147.1,132.6,117.0,150.5,190.3,155.6,156.1,49.7,148.2,187.0,160.3,142.1,205.8,197.2,91.3,139.7,179.1
NZ,353.4,227.4,136.1,285.5,358.6,200.1,290.9,241.8,260.9,339.8,326.2,131.2,81.0,133.8,209.8,266.3,129.7,258.5,228.3,288.3,355.2,371.0,228.8,354.0,324.2,185.3,208.5,251.5,216.1,2486.1,191.7,106.9,318.5,360.3,176.1,165.0,105.9,290.7,232.5,273.2,192.7,292.9,304.8,226.4,358.1,284.7,219.6,279.0,257.3,227.1,244.1,379.4,231.6,258.9,337.8,0.0,370.2,325.6,311.0,206.3,200.3,274.0,197.4,239.5,253.4,100.2,228.9,259.2,261.5,201.9,283.7,245.1,201.3,321.1,258.7,156.8,308.5,257.0,322.4,294.6,325.6,288.6,288.4,271.2,302.6,302.8,288.5,301.7,260.1,336.2,343.3,269.9,292.7,254.2,210.7,214.1,141.8,313.6,193.8,243.1
OD,178.5,162.6,271.5,122.3,11.6,191.8,260.5,278.6,244.0,175.1,201.9,305.6,340.5,244.6,182.2,188.4,273.6,219.9,94.9,89.3,110.2,237.1,148.4,195.0,178.4,262.7,324.9,277.3,284.5,2628.2,283.6,265.7,157.7,155.5,292.5,281.4,253.3,116.8,309.9,135.5,237.7,278.1,230.3,159.8,282.7,120.0,162.2,203.4,117.0,190.1,139.8,282.3,245.4,234.4,195.6,371.1,0.0,284.5,84.9,176.0,129.7,141.5,296.7,258.5,173.5,255.2,285.9,217.3,257.7,331.5,85.4,152.1,278.7,321.1,304.5,272.8,143.8,252.1,95.4,124.9,154.0,249.4,208.5,268.7,57.4,88.9,106.7,80.7,289.1,33.9,214.8,104.4,317.7,291.0,272.8,306.0,241.9,178.4,184.4,309.8
OK,181.4,297.0,165.7,243.3,270.3,240.9,27.5,122.5,117.1,166.1,146.0,159.1,273.1,197.5,250.6,187.8,188.0,77.9,248.6,217.9,235.4,110.7,302.1,161.6,163.8,174.5,140.9,128.9,128.4,2472.2,158.9,195.9,127.1,190.1,171.6,182.4,208.3,248.5,135.3,231.0,163.3,50.5,117.1,242.6,42.6,210.2,183.4,131.7,165.7,211.3,219.2,69.8,159.7,82.6,152.4,303.7,281.9,0.0,204.8,197.2,283.4,236.9,114.4,146.6,194.7,223.4,120.5,142.9,101.6,141.3,204.1,247.5,158.5,76.9,76.1,191.0,186.4,109.0,250.2,230.0,200.9,38.6,167.6,93.0,239.1,223.5,202.1,234.4,117.9,262.6,146.3,178.3,90.6,119.7,116.7,137.7,204.9,107.9,205.6,102.1
OL,129.1,116.6,206.1,62.9,65.4,113.6,175.5,193.6,178.6,114.4,122.1,265.6,295.5,195.5,104.0,132.4,287.6,134.9,108.9,47.3,139.3,152.1,130.0,137.7,117.7,197.3,284.9,163.9,199.5,2543.3,234.5,279.7,72.7,151.0,252.5,241.4,267.3,68.1,244.5,50.6,172.3,193.1,122.0,74.8,197.7,78.0,96.8,118.4,32.0,124.7,54.8,197.3,180.0,149.4,128.5,326.1,77.0,199.5,0.0,109.8,143.7,56.5,211.7,193.1,117.5,228.2,220.5,151.9,172.7,212.4,41.7,67.1,213.3,236.1,218.2,232.8,99.0,186.7,132.2,114.3,113.5,164.4,100.2,203.3,96.6,78.3,21.7,102.5,175.7,73.1,132.0,19.4,232.7,206.0,187.8,256.9,176.5,93.4,119.0,224.8
ON,162.3,107.1,95.4,79.1,152.2,43.6,158.7,169.6,67.9,133.4,163.4,154.9,184.8,84.8,53.3,61.9,178.2,112.2,125.1,85.1,142.8,165.9,120.5,178.8,136.7,86.6,174.2,101.2,175.5,2519.3,123.8,170.3,86.5,188.1,141.8,130.7,157.9,84.3,133.8,66.8,61.6,169.1,103.8,45.3,228.4,78.3,13.2,127.9,50.9,32.7,42.1,226.1,69.3,165.8,153.9,215.4,163.8,185.7,104.6,0.0,138.0,90.7,187.7,82.4,47.0,117.5,109.8,59.9,148.7,236.1,89.3,84.6,102.6,244.6,194.2,122.1,102.1,76.0,128.0,110.8,139.9,147.6,82.0,92.6,106.3,90.7,82.1,119.6,113.0,129.8,182.8,63.5,208.7,182.0,188.7,146.2,65.8,107.2,27.0,200.8
PE,292.6,32.8,161.4,129.9,202.9,120.2,272.9,236.6,186.6,265.5,289.3,193.4,228.3,132.4,110.6,192.0,161.4,230.8,44.1,184.8,280.9,285.1,18.6,309.1,268.8,152.6,212.7,189.2,234.2,2516.0,171.4,144.9,208.6,320.2,180.3,169.2,141.1,135.1,199.8,117.6,127.6,265.7,233.3,121.0,340.8,210.4,145.3,242.1,183.0,164.8,146.8,340.3,157.3,280.0,286.0,240.0,214.5,299.9,137.4,132.0,0.0,102.4,290.6,170.4,179.1,143.0,175.8,192.0,224.6,208.0,154.7,65.3,168.6,356.3,289.2,160.6,234.2,194.7,260.1,232.3,272.0,263.7,214.1,211.3,234.1,210.1,114.9,58.2,201.0,210.6,304.4,195.6,320.4,249.0,216.8,193.8,131.8,226.4,138.4,278.3
PF,212.3,91.5,186.5,38.9,111.9,88.5,250.2,261.1,159.4,179.6,164.1,245.6,275.9,175.9,78.9,128.4,217.1,199.7,34.9,97.0,201.9,194.1,88.4,179.7,182.9,177.7,264.9,192.3,267.0,2568.2,214.9,197.1,114.7,193.0,232.5,221.4,193.3,44.1,224.9,26.6,152.7,260.6,170.3,49.7,239.7,124.5,92.8,216.3,117.4,117.5,50.8,242.3,160.4,191.4,200.1,296.8,123.5,277.2,46.4,84.7,69.7,0.0,279.2,173.5,113.5,195.2,200.9,144.7,240.2,266.4,63.7,73.2,193.7,278.1,285.7,212.8,148.3,167.5,181.1,150.2,169.8,241.0,148.5,184.1,153.2,124.8,23.9,94.0,204.1,119.6,176.0,61.4,307.7,273.5,269.0,237.3,156.9,135.4,91.1,330.5
PH,188.3,211.0,102.3,258.8,325.8,183.7,112.6,17.0,116.8,173.0,152.9,79.9,193.9,118.3,193.4,163.1,105.3,98.9,264.1,249.6,227.1,177.8,224.4,168.5,170.7,111.1,61.7,104.6,49.2,2393.0,79.7,128.1,140.0,181.8,92.4,103.2,129.1,264.0,71.9,246.5,118.9,82.2,124.0,222.0,147.4,222.1,198.9,100.5,181.2,186.9,232.1,168.7,135.4,149.7,159.3,224.5,337.4,114.9,220.3,189.9,241.9,252.4,0.0,122.3,178.0,144.2,76.1,148.2,102.3,74.8,219.6,228.7,95.1,110.4,43.3,111.4,198.3,108.7,241.9,255.5,235.9,121.8,143.5,92.7,269.8,282.1,217.6,249.9,93.6,303.4,211.0,193.8,74.5,5.3,37.5,58.5,144.6,175.0,196.3,13.0
PP,137.7,134.1,70.7,170.2,239.9,84.8,122.9,109.8,49.7,123.0,144.5,106.7,211.8,109.6,94.5,75.6,205.2,76.4,187.8,162.1,147.9,178.7,147.5,154.2,126.3,79.5,126.0,18.7,115.7,2459.5,76.3,197.3,134.2,168.5,93.6,104.6,184.9,175.4,80.8,157.9,67.7,115.7,97.2,123.1,190.8,131.4,104.3,92.1,104.9,91.2,133.2,190.3,13.0,130.0,143.5,242.4,251.5,149.9,144.0,91.0,165.0,176.1,127.9,0.0,90.5,144.5,62.8,54.1,88.9,128.6,143.3,141.4,63.5,184.8,134.4,113.2,107.6,57.8,162.7,151.2,122.1,111.8,75.4,74.4,197.4,181.8,141.3,173.6,30.5,220.9,154.4,117.5,148.9,122.2,140.5,98.7,92.8,120.0,98.9,141.0
QU,115.2,144.9,133.2,96.7,160.4,81.4,149.0,167.1,95.2,100.5,120.6,186.6,222.6,122.6,91.1,14.9,216.0,139.5,142.0,93.3,125.4,156.2,158.3,131.7,103.8,124.4,205.9,116.6,173.0,2516.8,156.2,208.1,115.5,146.0,173.5,168.5,195.7,101.9,160.7,84.4,99.4,166.6,56.7,83.1,218.7,86.5,23.9,129.2,59.1,51.8,59.7,183.2,107.1,122.9,121.0,253.2,172.0,176.0,122.2,37.7,175.8,108.3,185.2,111.7,0.0,155.3,142.7,79.0,146.2,185.9,97.5,118.9,140.4,242.1,193.0,159.9,85.1,103.3,136.2,119.0,99.6,137.9,34.9,119.9,114.5,98.9,95.5,127.8,128.4,138.0,135.7,71.7,206.2,179.5,161.3,178.6,103.6,97.5,46.1,198.3
