from_stop,AB,AQ,AU,BF,BK,BL,BM,BZ,CB,CR,CX,DC,DJ,DM,EA,ED,EE,EQ,FD,FG,FI,GC,GD,GH,GK,GL,GQ,HJ,HK,HY,HZ,IF,IG,IH,IN,IV,JI,JK,JT,KD,KE,KF,KR,LA,LB,LC,LJ,LK,MF,MQ,NB,NP,NR,NW,NZ,OE,OM,OO,OP,OQ,PF,PK,PM,PT,PX,QA,QK,QN,QS,QZ,RB,RL,RO,RS,RX,SD,SE,SF,SP,SQ,TF,TL,TR,TY,TZ,UK,UU,VK,VW,VY,VZ,WO,WW,XR,XY,YG,ZA,ZQ,ZV
IH,132.1,201.9,198.9,179.7,172.3,122.9,56.2,106.0,250.5,75.4,195.1,50.2,191.5,250.6,147.4,188.6,168.1,247.7,170.9,80.6,306.8,321.3,98.0,254.1,101.2,199.0,205.6,118.2,225.1,107.9,95.8,149.3,87.1,0.0,57.5,131.6,98.5,158.6,103.0,97.8,175.8,163.2,82.4,175.8,167.7,138.2,99.1,180.8,234.0,146.8,216.8,157.8,107.2,190.6,128.3,114.0,212.2,36.8,109.7,172.1,230.4,236.4,131.0,125.7,105.5,117.7,145.4,119.1,38.2,276.8,266.3,60.2,167.1,75.0,238.8,88.8,89.5,143.7,163.0,127.0,115.9,103.4,2511.1,134.5,190.3,273.1,196.3,153.8,101.0,131.7,275.2,254.4,117.9,76.6,67.6,155.0,255.7,52.1,151.7
IN,116.5,186.3,193.5,164.1,199.4,150.0,83.3,99.2,245.1,102.5,200.2,95.3,184.7,235.0,152.5,173.0,152.5,232.1,164.1,95.9,322.1,336.6,73.2,269.4,111.3,192.2,210.7,111.4,209.5,92.3,111.1,133.7,71.5,81.9,0.0,124.8,104.4,143.0,118.3,82.2,160.2,168.3,109.5,180.9,152.1,131.4,126.2,165.2,206.1,131.2,208.5,173.1,138.2,175.0,112.7,141.1,217.3,35.6,94.1,177.2,225.0,241.5,124.2,141.0,89.9,133.0,150.5,125.0,83.3,261.2,271.4,105.3,160.3,59.4,233.4,73.2,82.7,159.0,168.1,120.2,100.3,96.6,2516.2,157.2,184.9,257.5,180.7,138.2,94.2,116.1,290.5,238.8,111.1,19.0,82.9,148.2,240.1,79.2,136.1
IV,156.3,145.8,203.5,94.1,256.7,179.3,128.5,55.9,256.9,147.7,119.8,131.7,79.0,197.0,113.2,132.5,73.6,174.6,56.3,184.3,345.0,362.6,113.5,272.7,184.3,88.3,155.1,56.5,170.4,57.3,170.8,148.5,111.3,128.9,135.3,0.0,192.8,91.7,187.2,67.9,119.7,123.3,158.9,100.5,138.0,96.2,170.3,127.2,179.3,210.3,168.0,261.5,148.3,137.0,110.4,185.2,161.7,130.8,72.1,96.8,277.0,164.9,74.4,228.3,128.6,220.3,94.9,212.3,128.5,234.3,195.1,122.8,35.4,94.9,256.2,148.5,92.7,235.6,87.7,96.6,36.4,73.3,2435.8,196.1,188.3,219.5,148.2,178.0,104.2,192.5,261.6,200.8,96.2,108.1,151.8,23.3,202.1,124.4,114.3
JI,74.2,136.9,101.0,232.1,232.8,227.6,98.7,174.5,152.6,155.7,333.4,154.9,254.0,299.2,243.3,147.8,216.7,277.9,237.0,118.6,270.7,285.2,179.4,170.2,27.3,264.3,305.9,183.1,128.0,156.5,131.5,114.7,113.0,104.6,106.1,200.9,0.0,196.4,66.9,146.4,158.1,275.1,144.5,264.8,131.7,208.7,203.8,169.6,228.5,65.8,118.9,107.0,121.0,239.2,113.9,171.7,312.5,85.4,158.3,272.4,132.5,281.5,202.1,141.0,94.7,115.1,245.7,20.6,142.9,170.5,311.2,164.9,238.0,123.6,140.9,74.2,160.0,123.0,263.3,209.4,164.5,185.8,2583.1,179.9,92.4,160.3,121.5,81.7,171.5,78.4,191.3,303.0,188.4,125.2,105.6,225.9,304.3,102.8,163.2
JK,155.9,117.1,153.7,61.3,256.7,220.2,172.8,106.8,174.1,198.6,125.3,172.6,74.9,132.2,158.5,103.8,16.0,106.7,36.3,179.7,259.1,277.8,157.0,198.9,195.4,82.4,196.0,107.4,84.8,102.4,194.9,136.9,110.9,169.9,149.9,89.0,192.4,0.0,206.3,96.2,91.0,121.4,209.8,97.0,134.8,130.5,226.2,44.4,111.4,207.2,135.4,261.1,187.9,72.2,115.9,230.6,202.6,123.6,123.0,97.5,194.2,205.8,128.0,224.8,129.3,225.8,135.8,217.8,179.4,140.4,236.0,163.7,111.0,135.3,169.5,145.3,138.1,232.1,117.0,130.9,81.9,124.2,2437.1,245.2,133.8,136.7,144.7,177.6,146.6,192.1,178.8,136.0,137.1,160.1,170.9,112.4,137.3,175.3,109.7
JT,120.7,131.7,95.8,223.6,200.9,150.5,62.3,168.0,147.4,104.0,236.3,130.2,249.3,312.5,188.6,142.6,225.0,309.6,245.3,79.9,203.7,218.2,160.0,151.0,48.7,256.8,246.8,180.2,122.8,162.1,95.1,113.7,141.5,100.8,111.7,193.6,76.2,215.5,0.0,152.0,152.9,204.4,111.0,259.6,144.9,139.0,127.7,164.4,235.6,60.6,113.7,88.6,84.6,252.5,136.0,133.0,253.4,91.0,163.9,208.5,127.3,245.1,193.0,122.6,123.2,96.7,186.6,54.1,118.2,197.2,274.8,140.2,229.1,129.2,135.7,111.1,151.5,104.6,204.2,189.0,170.1,165.4,2553.6,141.2,87.2,155.1,116.3,76.5,163.0,73.2,172.1,316.3,179.9,130.8,38.2,217.0,317.6,66.4,160.9
KD,102.0,126.4,149.2,104.2,242.7,193.3,126.6,54.0,235.0,145.8,153.0,138.6,127.9,175.1,131.8,113.1,92.6,172.2,107.3,130.0,324.2,338.7,126.1,218.4,145.4,135.4,169.3,36.6,149.6,10.1,145.2,83.0,57.0,116.0,96.0,68.0,138.5,83.1,152.4,0.0,100.3,121.1,152.8,133.7,92.2,110.4,169.5,105.3,146.2,153.3,148.6,207.2,161.2,115.1,57.2,183.1,175.9,69.7,70.2,130.0,180.7,194.3,49.4,175.1,75.4,167.1,109.1,159.1,126.6,201.3,224.5,137.0,103.5,81.4,189.1,95.3,91.9,193.1,120.9,95.0,40.4,71.4,2469.0,191.3,140.6,197.6,120.8,123.7,103.4,138.2,239.5,178.9,110.4,107.3,117.0,91.4,180.2,122.5,76.2
KE,151.7,26.0,108.5,110.7,319.7,254.5,203.6,131.0,160.1,219.1,175.4,206.9,136.4,181.6,192.8,12.7,99.1,178.7,118.7,179.7,244.4,258.9,187.1,177.7,195.1,143.9,230.3,128.7,104.4,102.1,194.9,132.7,106.7,165.7,145.7,113.2,188.2,89.6,202.1,92.0,0.0,182.9,212.1,189.0,116.1,171.4,246.5,111.8,165.0,203.0,48.2,256.9,222.2,121.6,106.9,232.8,236.9,119.4,135.1,152.4,140.0,240.1,141.5,224.8,125.1,216.8,170.1,208.8,203.6,140.4,270.3,198.0,145.3,131.1,148.4,145.0,167.5,242.8,147.1,171.8,77.7,148.4,2491.4,241.0,88.6,136.7,144.7,173.4,179.0,187.9,198.8,185.4,171.4,164.8,166.7,136.6,186.7,199.5,100.1
KF,204.0,165.3,230.7,101.5,184.1,147.6,136.0,97.6,251.1,169.6,52.7,100.0,86.4,209.2,81.5,152.0,63.0,187.9,40.9,227.7,340.3,356.8,80.2,275.9,192.9,46.1,123.4,65.6,165.7,91.3,193.8,196.2,159.0,147.6,162.2,65.2,230.2,81.1,194.7,101.9,139.2,0.0,180.8,11.3,203.3,64.5,176.2,121.4,51.3,253.2,187.5,292.8,116.6,149.2,160.4,211.2,130.0,174.2,113.8,24.9,271.2,133.2,51.2,260.7,177.4,264.8,63.2,248.9,110.7,228.5,163.4,91.1,38.4,129.3,250.4,197.3,92.1,268.0,40.2,64.9,100.6,86.9,2347.8,206.5,242.6,213.7,213.5,225.7,80.6,240.2,255.8,213.0,64.5,136.1,159.3,47.2,214.3,131.9,178.5
KR,161.6,247.8,213.7,229.4,146.0,80.3,67.8,138.8,265.3,7.0,225.1,101.0,225.3,296.5,173.0,234.5,211.8,275.2,203.7,51.0,313.6,334.3,135.0,265.1,104.3,234.6,235.6,151.0,236.5,153.8,17.1,206.4,133.0,92.5,103.4,162.8,144.4,193.7,153.3,143.7,221.7,194.4,0.0,210.0,227.8,171.0,56.5,226.7,263.4,176.3,227.4,120.9,72.0,236.5,165.2,75.6,242.2,75.5,155.0,201.5,245.2,233.9,170.0,96.1,147.2,88.1,175.4,160.8,89.0,287.8,263.6,115.2,199.9,120.9,249.4,130.5,122.3,99.2,193.0,164.0,161.8,136.2,2541.1,81.2,205.1,273.0,230.0,194.4,138.0,175.5,286.2,300.3,150.7,122.5,116.0,187.8,301.6,76.1,207.2
LA,215.5,176.8,232.8,66.6,195.6,159.1,147.5,109.1,262.6,181.1,98.2,111.5,44.4,189.6,97.4,163.5,72.3,168.3,52.4,239.2,344.8,361.3,91.7,280.4,204.4,35.1,173.9,77.1,177.2,102.8,205.3,196.5,170.5,159.1,173.7,75.6,241.7,92.6,206.2,113.4,150.7,10.2,192.3,0.0,214.8,76.0,187.7,132.9,38.7,264.7,199.0,304.3,128.1,129.6,170.7,222.7,180.5,185.7,125.3,41.2,282.7,188.2,62.7,272.2,188.9,276.3,74.7,260.4,122.2,240.0,218.4,102.6,49.9,140.8,261.9,208.8,103.6,290.2,51.7,76.4,112.1,98.4,2335.2,218.0,254.1,225.2,225.0,237.2,92.1,251.7,260.3,193.4,76.0,147.6,170.8,58.7,194.7,143.4,180.4
LB,170.0,93.6,69.3,166.4,363.5,303.7,237.0,164.4,120.9,237.4,290.1,234.3,192.1,237.3,237.8,104.5,152.6,216.0,175.1,198.0,205.2,219.7,236.5,138.5,213.4,199.6,279.7,147.0,84.7,120.4,213.2,162.2,125.0,184.0,164.0,139.0,206.5,134.8,220.4,110.3,114.8,231.8,226.2,221.5,0.0,220.8,279.9,126.3,197.5,109.9,75.6,275.2,219.3,177.3,130.0,251.1,286.3,137.7,153.4,226.1,100.8,304.7,166.0,243.1,143.4,235.1,219.5,130.4,222.3,131.8,334.9,244.3,176.1,149.4,109.2,163.3,185.8,261.1,220.8,204.5,102.6,180.9,2539.8,259.3,49.1,117.0,10.2,191.7,197.3,206.2,159.6,241.1,214.2,183.1,185.0,164.0,242.4,232.9,34.3
LC,181.4,258.0,226.0,146.6,119.5,83.0,71.4,104.7,277.6,105.0,97.2,35.4,120.8,236.4,49.5,244.7,129.5,215.1,109.6,163.1,333.9,348.4,15.6,281.2,128.3,114.3,107.7,116.9,253.0,137.7,129.2,232.0,160.1,83.0,97.6,128.7,165.6,139.0,130.1,148.3,231.9,65.3,112.0,77.9,256.7,0.0,111.6,190.1,129.0,188.6,243.9,228.2,50.7,176.4,201.3,146.6,114.3,116.8,120.9,74.2,257.5,138.5,61.3,196.1,178.5,200.2,47.5,184.3,46.1,322.3,168.4,26.5,67.5,109.3,265.9,168.8,88.2,203.4,65.1,54.9,166.6,102.1,2413.2,152.6,217.4,282.4,246.5,206.7,46.6,195.3,302.3,240.2,30.5,71.5,94.7,76.3,241.5,67.3,224.6
LJ,219.0,289.6,269.7,237.9,123.3,23.8,73.1,136.3,321.3,50.3,208.8,98.5,221.8,353.9,161.1,276.3,215.2,332.6,201.2,78.8,335.6,352.1,128.3,282.9,165.9,229.3,219.3,148.5,296.7,169.3,74.5,263.8,190.4,106.9,147.2,160.3,201.8,224.7,131.8,179.9,263.5,176.9,57.3,189.5,289.4,111.5,0.0,275.8,228.3,232.3,287.6,149.0,69.5,293.9,226.8,34.9,225.9,132.9,152.5,181.0,301.2,231.4,167.5,116.9,208.8,93.0,159.1,222.4,86.5,320.5,261.1,108.5,197.4,140.9,309.6,192.1,119.8,134.9,176.7,157.3,198.2,133.7,2524.8,64.1,261.1,368.1,290.2,250.4,131.3,232.9,304.0,357.7,148.2,121.1,96.4,185.3,359.0,69.0,257.9
LK,164.7,125.9,109.2,90.1,289.1,264.7,223.9,151.3,129.6,232.1,169.8,217.1,115.8,161.0,203.0,112.6,60.5,158.1,80.8,192.7,218.8,233.3,197.3,154.4,208.1,123.3,240.5,141.7,44.2,115.1,207.9,145.7,119.7,178.7,158.7,128.7,201.2,51.0,215.1,105.0,99.8,162.3,225.1,168.4,129.1,181.6,266.8,0.0,132.1,216.0,148.1,269.9,232.4,101.0,124.7,245.8,247.1,132.4,148.1,146.8,149.7,250.3,154.5,237.8,138.1,229.8,180.3,221.8,217.0,95.9,280.5,208.2,155.5,144.1,128.9,158.0,180.5,255.8,157.3,182.0,90.7,168.7,2481.6,254.0,89.3,92.2,157.7,186.4,192.0,200.9,134.3,164.8,181.6,177.8,179.7,152.1,166.1,219.8,113.1
MF,239.5,200.8,160.1,102.9,231.9,195.4,171.5,133.1,198.5,205.1,104.8,135.5,68.4,107.3,129.3,199.8,96.3,98.3,76.4,263.2,260.4,289.2,128.0,196.0,228.4,71.4,168.2,101.1,140.1,139.1,229.3,232.8,194.5,195.4,197.7,100.7,265.7,128.6,230.2,137.4,174.7,34.2,224.4,36.2,200.1,100.0,224.0,123.8,0.0,288.7,235.3,328.3,163.1,47.3,194.7,259.0,174.8,207.2,161.6,65.2,203.9,194.8,99.0,296.2,225.2,300.3,98.7,296.7,146.2,164.8,225.0,138.9,73.9,164.8,197.8,232.8,139.9,326.5,75.7,100.4,136.1,134.7,2347.5,259.2,140.2,161.1,210.3,261.2,128.4,288.0,175.9,111.1,100.0,171.6,194.8,82.7,112.4,167.4,168.6
MQ,68.4,99.1,63.2,194.8,267.8,261.2,133.7,174.6,114.8,190.7,295.6,188.5,217.7,279.9,243.4,110.0,190.2,258.6,210.0,152.2,196.4,215.6,193.7,132.4,64.5,227.0,306.0,183.2,87.5,156.6,168.7,69.2,107.2,138.2,118.2,201.0,73.4,172.1,101.9,146.5,120.3,237.3,179.5,224.3,91.2,208.8,239.6,131.8,200.3,0.0,81.1,142.0,154.6,219.9,100.7,205.3,312.6,98.7,158.4,265.6,94.7,336.8,202.2,176.0,88.9,152.3,245.8,96.2,176.5,137.3,366.7,200.7,238.1,123.7,100.4,50.4,160.1,160.2,263.4,209.5,164.6,185.9,2545.3,224.2,54.6,122.5,81.0,43.9,171.6,12.5,153.5,283.7,188.5,137.3,139.2,226.0,285.0,137.8,118.7
NB,190.9,18.0,60.2,153.7,371.0,293.7,242.8,170.2,111.8,258.3,214.6,246.1,176.6,220.8,232.0,28.8,136.1,199.5,157.9,218.9,196.1,210.6,226.3,129.4,234.3,185.9,269.5,167.9,56.1,141.3,234.1,171.9,145.9,204.9,184.9,152.4,227.4,128.8,143.6,131.2,39.2,203.2,251.3,192.9,173.7,210.6,285.7,97.7,168.9,100.8,0.0,296.1,261.4,160.8,146.1,272.0,276.1,165.4,174.3,186.8,91.7,279.3,186.9,264.0,164.3,256.0,209.3,121.3,242.8,98.6,309.5,237.2,184.5,170.3,100.1,184.2,206.7,271.3,186.3,211.0,116.9,187.6,2511.2,289.5,40.3,88.4,89.1,96.2,218.2,115.6,150.5,224.6,210.6,204.0,205.9,175.8,225.9,238.7,139.3
NP,139.9,201.9,166.0,292.4,167.6,172.0,118.4,238.6,217.6,127.9,292.4,209.6,318.1,363.3,244.7,212.8,280.8,360.4,301.1,87.9,331.3,345.8,243.5,278.6,86.8,325.6,302.9,247.2,193.0,220.6,103.7,180.4,178.7,159.3,170.2,266.6,124.1,271.3,105.6,210.5,223.1,260.5,120.9,273.1,215.1,195.1,148.2,234.6,293.5,130.8,183.9,0.0,140.7,303.3,179.6,114.0,309.5,149.5,222.4,264.6,197.5,301.2,260.0,32.0,160.4,55.9,242.7,124.3,197.6,229.0,330.9,219.6,302.1,187.7,205.9,139.9,224.1,14.0,260.3,273.5,228.6,249.9,2608.4,75.5,157.4,225.3,186.5,146.7,235.6,143.4,299.7,367.1,252.5,189.3,94.3,290.0,368.4,122.5,231.1
NR,130.6,211.1,175.2,203.4,113.1,65.8,19.3,101.8,226.8,87.8,151.6,64.0,188.3,279.8,99.5,217.8,182.9,257.2,165.4,73.6,281.8,299.6,93.8,230.4,76.2,197.6,162.1,114.0,200.9,134.8,112.0,181.2,116.3,72.4,86.7,125.8,113.5,177.0,79.3,127.0,205.0,120.9,99.0,132.3,204.6,54.3,94.4,210.0,261.9,137.8,193.1,137.4,0.0,219.8,151.4,129.4,168.7,58.8,118.0,128.6,206.7,160.4,131.7,120.0,133.4,112.0,101.9,132.2,52.0,268.0,190.1,72.7,162.9,104.2,213.8,116.7,84.0,136.7,119.5,121.5,145.1,99.2,2467.6,126.1,166.6,234.5,194.4,155.9,96.8,144.5,251.5,283.6,113.7,85.3,43.9,150.8,284.9,16.5,190.5
NW,180.8,142.0,141.6,66.6,310.9,286.5,247.8,175.2,217.0,248.2,166.8,238.9,92.3,59.9,224.8,128.7,94.6,57.0,114.9,208.8,241.9,256.4,219.1,177.5,224.2,99.8,242.5,157.8,131.6,131.2,224.0,161.8,135.8,194.8,174.8,144.8,217.3,85.1,231.2,121.1,115.9,138.8,241.2,98.2,145.2,203.4,290.7,87.3,74.2,232.1,164.2,286.0,254.2,0.0,136.0,261.9,249.1,148.5,164.2,168.6,173.1,256.8,170.6,253.9,154.2,245.9,202.1,237.9,233.1,183.3,287.0,230.0,177.3,160.2,216.3,174.1,196.6,271.9,179.1,203.8,106.8,191.7,2421.8,270.1,121.7,179.6,173.8,202.5,208.1,217.0,157.4,63.7,203.4,193.9,195.8,168.2,65.0,243.7,129.2
NZ,48.5,123.0,91.9,140.4,302.5,249.4,177.5,113.8,138.7,176.4,216.8,178.5,166.1,216.5,195.6,138.7,128.8,195.2,149.1,137.0,227.8,237.5,176.3,161.1,98.1,173.6,233.1,100.4,114.1,73.8,152.2,32.1,64.0,128.2,108.2,113.0,104.4,108.8,137.7,58.5,136.5,211.4,165.2,218.7,117.8,169.0,225.6,146.7,182.4,108.4,105.0,177.8,163.5,156.5,0.0,195.3,234.5,76.7,97.6,193.8,123.4,258.1,114.2,187.3,80.3,179.3,172.9,129.8,161.3,161.2,288.3,188.5,155.3,88.4,131.8,102.3,130.0,193.8,179.5,148.7,81.8,125.1,2532.8,197.0,83.3,146.4,107.6,84.3,136.3,98.1,177.4,220.3,153.2,122.1,129.2,138.0,216.4,178.6,112.4
OE,186.1,270.5,234.7,248.3,137.4,57.9,94.7,170.4,286.3,84.4,243.0,132.6,256.9,319.2,195.3,257.2,234.5,297.9,235.3,43.8,340.5,355.0,162.4,287.8,133.0,266.2,253.5,182.6,261.7,176.5,68.9,217.9,155.7,115.2,126.1,194.4,167.1,225.4,174.3,166.4,244.4,211.1,81.9,223.7,254.7,145.7,34.1,249.4,290.3,197.3,252.6,114.0,105.0,259.2,192.1,0.0,260.1,105.4,178.3,220.0,266.2,265.5,201.6,84.0,174.1,58.0,193.3,187.7,120.6,304.2,295.2,142.6,231.5,143.6,274.6,157.4,153.9,91.3,210.9,191.4,184.5,167.8,2559.0,76.8,226.1,294.0,255.2,215.4,165.4,200.0,308.9,323.0,182.3,145.2,140.5,219.4,324.3,98.8,220.3
OM,290.4,267.1,335.0,199.7,201.5,205.0,180.4,155.0,372.9,217.6,109.7,157.4,174.9,289.5,84.5,253.8,182.6,286.6,162.7,234.7,442.9,457.4,137.6,390.2,237.3,167.4,6.2,128.8,287.5,154.5,241.8,248.2,222.2,232.2,246.5,146.3,274.6,192.1,239.1,165.1,241.0,118.4,224.6,131.0,257.4,121.9,233.6,243.2,169.8,299.8,289.3,334.4,159.7,229.5,227.2,256.2,0.0,225.8,171.2,122.5,366.5,24.3,119.2,279.8,240.6,271.8,65.3,293.3,211.8,339.2,54.0,148.5,120.6,186.7,372.2,277.8,149.5,330.4,115.7,122.3,182.8,144.3,2418.9,293.6,326.4,335.5,286.0,315.7,138.0,304.3,411.3,293.3,121.9,193.5,203.7,129.4,294.6,176.3,241.4
OO,95.2,165.0,169.8,146.6,225.7,169.2,102.5,89.0,221.4,99.6,209.9,96.5,169.5,213.7,157.8,151.7,129.0,192.4,158.7,60.2,286.4,302.9,101.1,233.7,75.6,178.8,220.4,97.6,188.2,71.0,75.4,123.6,50.2,46.2,20.6,115.4,68.7,110.9,82.6,60.9,138.9,213.8,88.4,228.3,149.2,130.4,138.6,143.9,192.0,112.6,187.2,137.4,81.5,153.7,98.6,113.3,227.0,0.0,72.8,194.1,201.3,251.2,123.8,105.3,75.8,97.3,160.2,89.3,84.5,251.0,281.1,106.5,152.5,38.1,209.7,51.9,81.7,105.8,177.8,123.9,79.0,100.3,2525.9,132.2,161.2,236.2,166.6,116.9,93.2,94.8,254.8,217.5,102.9,46.9,47.2,140.4,218.8,98.4,124.4
OP,113.6,169.2,182.8,147.0,216.7,167.3,100.6,16.1,277.8,119.8,159.7,112.6,133.5,217.9,118.4,155.9,126.9,215.0,112.9,141.6,363.1,377.6,108.5,252.0,157.0,141.0,170.2,60.2,192.4,75.2,144.0,116.6,68.6,101.0,107.4,73.6,150.1,125.9,159.3,65.1,143.1,127.8,126.8,140.4,135.0,97.0,143.5,148.1,201.3,164.9,191.4,218.8,147.8,157.9,90.8,158.4,176.8,81.3,0.0,136.7,214.3,201.0,73.0,186.7,87.0,178.7,110.0,170.7,100.6,244.1,230.9,122.6,109.1,67.0,222.7,106.9,65.9,204.7,127.6,51.0,83.2,27.4,2475.7,178.9,174.2,240.4,163.6,135.3,77.4,149.8,273.1,221.7,94.3,81.3,123.9,97.0,223.0,96.5,119.0
OQ,218.1,184.2,243.6,96.2,249.3,161.7,150.1,116.5,274.2,188.5,27.8,114.1,75.2,186.0,130.0,170.9,81.3,169.5,64.0,241.8,339.1,360.4,99.1,274.7,211.8,65.9,132.3,84.5,188.8,105.4,212.7,210.3,177.9,161.7,176.3,83.0,249.1,95.2,208.8,120.8,153.3,16.1,194.9,32.3,217.4,83.4,195.1,144.5,66.3,272.1,201.6,306.9,129.4,130.8,178.1,225.3,138.9,185.8,132.7,0.0,289.5,146.6,70.1,274.8,196.3,283.7,128.8,267.8,129.6,235.7,176.8,105.2,57.3,148.2,273.5,211.4,106.2,292.8,96.4,83.8,114.7,105.8,2362.8,225.4,256.7,232.0,227.6,244.6,99.5,259.1,259.4,194.6,83.4,155.0,178.2,66.1,195.9,146.0,192.6
PF,139.7,115.4,41.0,226.3,343.9,293.5,205.3,245.5,20.0,247.0,338.0,290.9,252.0,303.7,345.7,126.3,203.2,300.8,223.5,222.9,120.0,134.5,293.9,53.3,164.7,259.5,413.7,232.4,101.0,205.8,238.1,109.6,160.5,240.6,220.6,271.4,142.7,193.7,142.9,195.7,136.6,280.9,254.0,269.4,128.6,324.3,270.7,142.6,233.1,102.3,97.4,208.6,227.6,243.7,137.1,276.0,420.3,194.3,229.3,289.5,0.0,428.0,245.2,240.7,142.2,222.0,323.0,120.6,278.9,64.8,458.2,300.9,298.2,211.1,69.6,152.8,247.5,222.7,300.0,324.7,233.4,256.8,2561.6,284.2,110.4,61.1,100.0,95.5,259.0,114.9,74.3,307.5,275.9,239.7,181.2,294.8,308.8,209.4,144.6
PK,284.1,281.2,328.7,213.8,195.2,203.7,174.1,169.1,380.3,211.3,123.8,171.5,189.0,303.6,86.3,267.9,196.7,300.7,176.8,228.4,436.6,451.1,151.7,383.9,231.0,181.5,20.3,142.9,301.6,168.6,235.5,262.3,269.8,225.9,240.2,160.4,268.3,206.2,232.8,179.2,255.1,132.5,218.3,145.1,271.5,169.4,232.3,257.3,196.2,293.5,346.6,328.1,153.4,243.6,241.3,249.9,14.0,219.5,185.3,136.6,360.2,0.0,133.3,273.5,288.2,265.5,79.4,287.0,205.5,353.3,29.6,162.6,134.7,200.8,368.6,271.5,163.6,324.1,129.8,136.4,196.9,158.4,2394.5,287.3,320.1,349.6,300.1,309.4,152.1,298.0,405.0,307.4,136.0,240.1,197.4,143.5,308.7,170.0,255.5
PM,152.7,177.1,199.9,130.2,174.3,137.8,126.2,56.6,285.7,148.4,97.3,90.2,110.5,225.8,76.1,163.8,106.1,204.5,89.9,180.7,374.9,389.4,70.4,269.1,183.1,120.8,113.6,14.4,200.3,40.0,172.6,144.9,107.7,129.6,136.0,49.0,189.2,115.2,184.9,50.6,151.0,65.4,155.4,78.0,161.3,54.7,166.4,156.0,196.9,204.0,199.3,257.9,106.8,165.8,107.9,187.0,120.2,120.4,72.8,74.3,231.4,138.6,0.0,225.8,126.1,217.8,53.4,209.8,100.9,258.5,168.8,81.3,86.1,95.6,239.8,146.0,82.3,233.1,65.2,55.1,86.9,74.0,2413.3,196.7,191.3,248.3,171.5,174.4,70.8,188.9,290.2,229.6,54.7,109.9,149.5,74.0,230.9,122.1,129.8
PT,153.9,234.0,198.1,264.1,147.6,139.9,106.7,206.5,249.7,105.1,280.7,177.5,286.0,331.2,233.0,244.9,248.7,309.9,269.0,55.8,363.4,377.9,211.4,310.7,100.8,296.3,291.2,215.1,225.1,188.5,80.9,194.4,167.7,127.2,138.1,232.9,138.1,228.4,137.7,178.4,255.2,248.8,98.1,261.4,228.8,183.4,116.1,261.4,302.3,160.7,216.0,32.0,129.0,271.2,193.6,84.0,297.8,117.4,190.3,257.7,229.6,289.5,234.1,0.0,174.4,69.9,231.0,156.4,165.5,264.0,319.2,187.5,270.0,155.6,238.0,153.9,192.0,18.0,248.6,241.4,196.5,217.8,2596.7,54.1,189.5,257.4,218.6,178.8,203.5,167.8,331.8,335.0,220.4,157.2,108.3,257.9,336.3,110.8,232.3
PX,26.5,139.4,103.5,160.8,282.9,224.6,157.9,103.2,155.1,156.8,228.2,153.7,182.7,227.9,192.9,150.3,145.4,206.6,165.7,117.4,239.4,253.9,156.7,172.7,80.0,193.0,244.5,111.8,130.5,85.2,132.6,67.0,18.3,103.4,83.4,129.6,91.1,129.3,119.6,75.1,153.1,228.0,145.6,235.3,134.2,153.9,200.8,158.1,199.0,97.8,121.4,159.7,138.7,167.9,66.2,170.5,251.1,57.1,87.0,200.4,135.0,269.5,130.8,162.5,0.0,154.5,184.3,111.7,141.7,166.5,299.7,163.7,166.7,68.8,143.4,82.7,105.2,175.7,196.1,138.1,93.2,114.5,2544.2,172.2,94.9,162.8,124.0,48.2,116.7,80.0,193.8,231.7,133.6,102.5,104.4,154.6,233.0,153.8,129.0
QA,128.0,212.5,176.6,256.1,188.4,116.0,98.7,198.5,228.2,97.1,272.7,169.5,278.0,323.2,225.0,223.4,240.7,301.9,261.0,47.8,334.9,349.4,203.4,282.2,74.9,288.3,283.2,207.1,203.6,180.5,72.9,168.5,159.7,119.2,130.1,224.9,112.2,224.6,116.2,170.4,233.7,240.8,90.1,253.4,207.3,175.4,92.2,245.2,294.3,139.2,194.5,55.9,121.0,263.2,162.5,58.0,289.8,109.4,182.3,249.7,208.1,281.5,226.1,68.0,148.5,0.0,223.0,132.8,157.5,242.5,311.2,179.5,262.0,147.6,216.5,128.0,184.0,75.3,240.6,233.4,188.5,209.8,2588.7,93.5,168.0,235.9,197.1,157.3,195.5,141.9,303.3,327.0,212.4,149.2,82.4,249.9,328.3,102.8,224.3
QK,201.8,201.7,249.0,134.3,207.2,139.6,128.0,89.6,307.5,161.6,84.9,92.0,109.5,224.1,80.6,188.4,117.2,221.2,97.3,219.7,377.2,391.7,72.2,337.8,184.9,102.0,60.1,63.4,222.1,89.1,185.8,182.8,156.8,139.6,154.2,80.9,222.2,126.7,186.7,99.7,175.6,53.0,168.6,65.6,192.0,56.5,168.2,177.8,104.4,247.4,223.9,284.8,107.3,164.1,161.8,203.2,66.7,168.3,105.8,57.1,280.5,91.1,53.8,252.7,175.2,256.8,0.0,240.9,102.7,273.8,120.8,83.1,55.2,121.3,306.8,193.9,84.1,270.7,52.8,56.9,117.4,78.9,2400.9,209.2,240.4,270.1,220.6,223.5,72.6,236.8,292.7,227.9,56.5,128.1,151.3,64.0,229.2,123.9,176.0
