from_stop,AN,BA,BC,BF,BK,BN,CC,CD,CJ,CY,DF,DI,DJ,DL,DN,DV,EC,ED,EE,EF,ET,EZ,FG,FV,GC,GF,GJ,HD,HL,HO,HT,IE,IH,II,IL,IW,IX,KC,KF,KV,KY,LA,LP,LS,MD,MS,MX,NC,NF,NN,NR,NS,NY,OD,OF,OG,OJ,OK,ON,OP,PE,PM,PT,QF,QP,QQ,QW,QX,QY,RG,RP,RZ,SB,SE,SI,SV,TU,TX,UM,UV,UX,VE,VY,VZ,WA,WI,WN,WO,WQ,XA,XJ,XN,XO,XT,YH,YL,YP,YU,ZM,ZR
II,336.8,194.6,216.9,265.2,309.5,147.9,172.7,116.2,100.5,344.1,181.3,271.3,310.0,236.4,171.5,302.1,186.1,241.9,192.1,273.8,83.3,315.7,279.5,292.4,116.2,266.9,149.9,93.5,226.7,248.0,275.0,86.6,334.8,0.0,270.8,117.3,264.6,192.5,309.2,330.2,343.9,311.4,131.2,355.6,119.6,2326.0,127.9,282.8,91.0,33.0,258.5,301.1,224.3,208.1,267.6,456.1,210.7,201.4,158.5,291.1,420.0,293.5,238.4,216.4,122.0,270.2,285.3,239.2,261.9,60.6,122.6,256.8,285.8,56.7,249.9,243.1,247.2,300.5,69.0,85.0,298.9,54.0,44.0,294.5,445.7,70.4,126.4,136.6,206.7,119.5,66.2,403.1,336.0,271.5,204.5,133.6,177.9,299.1,103.5,144.8
IL,121.6,163.0,417.8,174.4,88.6,383.1,221.3,233.8,311.6,128.9,331.5,209.0,94.8,468.6,200.1,124.3,425.1,181.7,309.4,487.8,275.7,134.0,64.3,68.0,268.9,235.3,388.9,265.5,232.8,199.9,59.8,380.0,119.6,291.9,0.0,251.5,213.1,136.7,94.0,115.0,128.7,96.2,216.8,103.2,167.4,2437.4,454.2,114.5,410.2,308.4,106.0,85.9,438.6,152.3,72.8,240.9,449.0,337.5,174.8,82.5,204.8,150.1,139.3,184.8,464.0,92.4,209.2,245.3,268.0,255.8,381.8,84.8,70.6,306.0,213.6,211.5,133.7,92.6,315.6,369.7,78.0,241.0,406.7,142.0,230.5,329.6,365.4,401.4,259.5,208.0,293.4,187.9,69.7,131.2,210.6,234.6,184.0,83.9,275.7,216.1
IW,298.5,141.7,233.3,226.9,271.2,101.9,70.6,83.8,197.8,305.8,131.3,233.0,271.7,290.2,152.5,263.8,248.9,203.6,146.5,327.6,162.7,277.4,241.2,244.9,51.8,228.6,212.7,172.9,188.4,209.7,236.7,169.3,296.5,100.3,232.5,0.0,226.3,154.2,270.9,291.9,305.6,273.1,35.6,299.6,81.3,2330.6,183.9,257.9,147.0,103.0,220.2,262.8,278.1,169.8,229.3,417.8,264.5,96.9,130.4,252.8,398.4,255.2,200.1,178.1,175.8,231.9,247.0,200.9,266.7,64.0,176.4,224.3,247.5,107.4,197.7,204.8,208.9,262.2,122.8,102.4,260.6,154.4,115.8,256.2,407.4,124.2,147.7,190.4,98.3,47.1,120.0,364.8,297.7,233.2,166.2,16.2,139.6,260.8,96.3,76.3
IX,305.3,84.3,334.8,39.8,260.4,287.4,155.2,167.7,245.5,257.3,233.5,212.2,250.7,414.0,134.0,146.5,328.7,87.5,174.6,424.4,209.6,256.4,230.4,207.2,202.8,29.3,292.5,199.4,57.8,216.4,215.7,276.0,295.3,225.8,211.5,185.4,0.0,113.6,289.8,239.4,286.2,262.3,153.6,306.5,101.3,2371.3,299.3,223.5,262.4,244.1,155.2,273.3,342.2,97.0,208.3,325.5,388.3,210.4,98.5,231.8,248.6,68.1,179.3,72.9,315.1,166.7,71.4,50.6,73.3,234.0,315.7,183.7,216.2,236.8,203.8,49.4,101.1,241.2,249.5,221.9,249.8,174.9,255.1,126.4,315.1,263.5,269.0,305.0,211.8,141.9,227.3,272.5,298.0,137.3,80.0,168.5,106.6,202.9,231.6,150.0
KC,272.7,57.0,294.9,68.4,167.7,247.5,115.3,127.8,205.6,220.7,193.6,129.5,168.2,374.1,94.1,143.8,288.8,49.3,134.7,384.5,169.7,173.9,137.7,169.0,162.9,107.6,252.6,159.5,126.8,111.1,133.2,236.1,257.1,185.9,129.0,145.5,107.1,0.0,251.6,201.2,248.0,169.6,113.7,231.6,61.4,2331.4,259.4,141.0,222.5,204.2,117.0,235.1,302.3,15.5,125.8,350.1,348.4,170.5,58.6,149.3,288.0,44.1,96.6,69.3,275.2,128.5,101.7,139.3,162.0,194.1,275.8,145.5,191.2,196.9,90.1,96.0,92.8,158.7,209.6,182.0,157.1,135.0,215.2,127.9,339.7,223.6,229.1,265.1,180.6,102.0,187.4,297.1,194.2,99.1,104.6,128.6,78.0,177.9,280.6,110.1
KF,137.1,173.5,411.4,184.9,90.9,364.0,231.8,244.3,322.1,85.1,310.1,188.3,43.0,490.6,210.6,134.8,405.3,192.2,251.2,501.0,286.2,157.2,60.9,81.9,279.4,245.8,369.1,276.0,243.3,202.4,24.4,352.6,121.5,302.4,86.1,262.0,223.6,147.2,0.0,63.3,112.4,86.8,230.2,137.0,177.9,2447.9,375.9,124.3,339.0,320.7,116.5,34.2,418.8,162.8,83.3,214.5,464.9,287.0,175.1,132.6,165.7,160.6,149.8,195.3,391.7,102.9,219.7,255.8,278.5,310.6,392.3,89.5,47.2,313.4,224.6,222.0,144.2,142.0,326.1,298.5,80.3,251.5,331.7,152.5,204.1,340.1,345.6,381.6,286.1,218.5,303.9,161.5,128.5,141.7,221.1,245.1,194.5,60.5,308.2,226.6
KV,110.6,200.5,438.4,211.9,126.8,391.0,258.8,271.3,349.1,58.6,337.1,215.3,128.7,517.6,237.6,122.5,432.3,163.7,278.2,528.0,313.2,184.2,96.8,97.4,306.4,221.1,396.1,303.0,270.3,229.4,51.4,379.6,95.0,329.4,113.1,289.0,242.0,174.2,89.5,0.0,85.9,128.7,257.2,172.9,204.9,2474.9,402.9,151.3,366.0,347.7,143.5,33.9,445.8,189.8,110.3,188.0,491.9,314.0,202.1,189.3,139.2,187.6,176.8,199.0,418.7,127.2,201.4,267.1,289.8,337.6,419.3,116.5,74.2,340.4,262.2,225.7,152.7,198.7,353.1,325.5,116.2,278.5,358.7,142.0,177.6,367.1,372.6,408.6,322.0,245.5,330.9,135.0,164.4,113.9,248.1,272.1,221.5,69.3,335.2,253.6
KY,74.9,208.4,446.3,219.8,125.8,398.9,266.7,279.2,357.0,72.3,345.0,223.2,44.1,525.5,245.5,169.7,440.2,213.4,286.1,535.9,321.1,192.1,95.8,116.8,314.3,280.7,404.0,310.9,278.2,237.3,59.3,387.5,9.1,337.3,121.0,296.9,258.5,182.1,57.1,98.2,0.0,121.7,265.1,171.9,212.8,2482.8,410.8,159.2,373.9,355.6,151.4,69.1,453.7,197.7,118.2,152.3,499.8,321.9,210.0,167.5,85.5,195.5,184.7,230.2,426.6,137.8,251.1,290.7,313.4,345.5,427.2,124.4,82.1,348.3,259.5,256.9,179.1,176.9,361.0,333.4,115.2,286.4,366.6,187.4,141.9,375.0,380.5,416.5,321.0,253.4,338.8,99.3,163.4,163.6,256.0,280.0,229.4,95.4,343.1,261.5
LA,140.1,185.6,385.5,197.0,42.9,361.7,294.7,256.4,334.2,121.5,310.1,187.6,83.5,422.9,222.7,151.9,379.4,193.1,288.0,442.1,298.3,156.2,25.1,94.0,345.8,232.5,343.2,288.1,255.4,178.5,48.5,345.2,108.3,314.5,90.8,274.1,235.7,159.3,82.7,102.0,148.8,0.0,242.3,89.0,190.0,2460.0,423.5,123.3,388.8,396.3,128.6,74.6,392.9,174.9,95.4,250.9,403.3,326.6,187.2,105.4,175.5,172.7,161.9,228.4,440.4,115.0,228.3,278.5,301.2,369.5,404.4,101.6,41.3,325.5,178.3,255.1,182.1,114.8,338.2,348.3,32.3,263.6,385.3,171.4,240.5,392.4,319.7,355.7,238.1,230.6,316.0,197.9,80.5,143.3,233.2,257.2,206.6,54.6,338.1,238.7
LP,266.7,109.9,265.1,195.1,247.5,133.7,93.3,50.7,232.5,274.0,156.1,189.4,239.9,322.0,101.4,232.0,208.8,171.8,122.0,359.4,194.5,245.6,209.4,213.1,74.5,192.9,172.6,204.7,152.7,177.9,204.9,201.1,264.7,132.1,200.7,34.6,194.5,122.4,239.1,260.1,273.8,241.3,0.0,285.5,49.5,2298.8,221.6,226.1,178.8,134.8,188.4,231.0,309.9,138.0,197.5,386.0,296.3,135.8,98.6,220.3,362.7,223.4,168.3,146.3,207.6,200.1,215.2,169.1,230.6,98.7,208.2,192.5,215.7,139.2,165.9,173.0,177.8,230.4,154.6,103.8,228.8,186.2,147.6,224.4,371.7,156.0,149.1,222.2,121.0,15.4,151.8,333.0,265.9,201.4,134.4,14.8,118.8,232.7,90.9,86.6
LS,186.1,223.4,370.4,234.8,82.0,304.2,237.2,332.5,372.0,192.2,252.6,130.1,154.2,407.8,260.5,245.1,364.3,205.1,230.5,427.0,336.1,158.8,95.8,170.7,288.3,250.7,328.1,325.9,316.8,121.0,119.2,330.1,179.0,373.0,93.4,299.7,273.5,213.3,153.4,172.7,219.5,95.5,302.4,0.0,227.8,2497.8,368.2,125.9,331.3,338.8,218.3,145.3,377.8,228.9,168.7,305.4,388.2,269.1,248.6,108.0,246.2,210.5,148.2,282.7,385.1,182.5,279.6,329.3,352.0,322.9,448.4,169.1,112.0,375.4,120.8,309.4,176.1,117.4,396.3,290.8,71.4,301.4,327.8,229.2,295.0,344.2,304.6,340.6,180.6,317.8,384.9,252.4,26.7,200.4,294.6,286.9,268.0,125.3,280.6,292.8
MD,217.1,74.9,233.4,145.5,197.9,223.2,53.0,66.3,144.1,224.4,144.7,139.8,190.3,312.6,51.8,182.4,227.3,122.2,72.4,323.0,108.2,196.0,159.8,163.5,113.0,147.2,191.1,98.0,107.0,128.3,155.3,182.2,215.1,124.4,151.1,124.4,144.9,72.8,189.5,210.5,224.2,191.7,49.3,235.9,0.0,2269.9,205.0,176.5,161.0,140.9,138.8,181.4,240.8,88.4,147.9,336.4,286.9,124.4,49.0,170.7,300.3,173.8,118.7,96.7,213.7,150.5,165.6,119.5,142.2,88.3,214.3,142.9,166.1,138.5,116.3,123.4,128.2,180.8,148.1,120.5,179.2,73.5,153.7,174.8,326.0,162.1,167.6,203.6,109.6,40.5,125.9,283.4,216.3,151.8,84.8,111.6,58.2,179.4,108.2,48.6
MS,2506.1,2363.9,2405.9,2434.5,2478.8,2434.3,2342.0,2285.5,2303.2,2513.4,2420.3,2440.6,2479.3,2443.3,2340.8,2471.4,2323.6,2411.2,2361.4,2429.1,2267.3,2485.0,2448.8,2461.7,2366.9,2436.2,2324.9,2257.1,2396.0,2417.3,2444.3,2393.8,2504.1,2322.2,2440.1,2332.3,2433.9,2361.8,2478.5,2499.5,2513.2,2480.7,2300.5,2524.9,2288.9,0.0,2320.9,2452.1,2356.4,2355.3,2427.8,2470.4,2413.3,2377.4,2436.9,2625.4,2440.1,2397.2,2327.8,2460.4,2589.3,2462.8,2407.7,2385.7,2328.1,2439.5,2454.6,2408.5,2428.7,2333.3,2348.7,2426.1,2455.1,2312.8,2419.2,2412.4,2416.5,2469.8,2307.2,2339.7,2468.2,2271.3,2366.3,2463.8,2615.0,2344.0,2386.8,2384.1,2398.6,2288.8,2303.3,2572.4,2505.3,2440.8,2373.8,2315.4,2347.2,2468.4,2349.4,2314.1
MX,428.5,271.7,98.2,356.9,382.5,133.6,236.8,144.5,131.0,435.8,154.4,351.2,401.7,155.1,263.2,393.8,159.9,333.6,267.2,192.5,128.4,407.4,371.2,384.1,183.3,358.6,106.3,138.6,318.4,320.1,366.7,100.4,426.5,137.6,362.5,173.6,356.3,284.2,400.9,421.9,435.6,403.1,220.0,374.5,211.3,2294.1,0.0,387.9,35.4,105.2,350.2,392.8,143.0,299.8,359.3,547.8,129.4,172.2,260.4,382.1,520.9,385.2,330.1,308.1,30.7,361.9,377.0,330.9,372.6,124.7,94.0,354.3,377.5,102.9,297.6,334.8,339.6,392.2,88.5,98.5,390.6,176.9,92.4,386.2,537.4,74.8,129.3,55.3,217.3,211.2,109.9,494.8,401.2,363.2,296.2,202.3,280.6,394.5,101.1,221.4
NC,167.4,168.0,426.1,194.0,115.6,377.4,310.4,253.4,331.2,184.4,314.0,182.2,140.6,476.9,219.7,153.6,433.4,201.3,303.7,496.1,295.3,32.9,110.1,113.8,361.5,264.6,397.2,285.1,252.4,194.2,105.6,388.3,165.4,311.5,101.4,280.8,232.7,156.3,139.8,160.8,174.5,121.0,236.4,122.1,187.0,2457.0,448.5,0.0,404.5,413.8,125.6,131.7,446.9,171.9,98.2,286.7,457.3,331.8,194.4,43.0,288.4,169.7,168.6,204.4,458.3,112.0,228.8,264.9,287.6,275.4,401.4,104.4,137.5,325.6,207.9,231.1,154.0,53.1,335.2,380.8,96.9,260.6,401.0,161.6,276.3,417.4,373.7,409.7,253.8,227.6,322.7,233.7,88.6,150.8,230.2,254.2,214.6,154.5,366.4,249.8
NF,422.7,280.5,132.0,351.1,353.9,98.1,201.3,104.9,140.0,430.0,130.7,357.2,395.9,151.5,283.2,388.0,156.3,327.8,231.7,188.9,104.8,401.6,365.4,378.3,147.8,352.8,83.5,115.0,357.4,284.6,360.9,54.0,420.7,102.1,356.7,150.5,395.3,278.4,395.1,416.1,429.8,384.6,182.3,339.0,205.5,2338.4,36.8,368.7,0.0,67.9,344.4,387.0,139.4,294.0,353.5,542.0,125.8,150.8,289.2,377.0,535.3,372.1,324.3,302.3,53.7,356.1,371.2,320.2,309.2,105.0,117.0,342.7,401.1,70.5,248.2,329.0,333.1,386.4,64.9,43.9,363.2,156.2,56.9,380.4,531.6,39.3,93.8,51.7,181.8,197.7,80.0,489.0,365.7,357.4,335.2,166.8,308.6,414.4,52.9,198.3
NN,371.0,214.2,152.6,299.4,351.8,115.6,164.6,72.0,132.9,376.5,136.4,293.7,344.2,209.5,246.5,336.3,153.0,276.1,226.3,246.9,114.5,349.9,313.7,317.4,101.8,299.3,116.8,124.7,259.1,282.2,309.2,64.4,369.0,34.1,305.0,101.1,298.8,226.7,343.4,364.4,378.1,345.6,138.6,356.5,152.0,2331.6,101.9,330.4,57.9,0.0,292.7,335.3,197.4,242.3,301.8,490.3,183.8,154.2,201.1,324.6,452.4,327.7,272.6,250.6,111.7,304.4,319.5,273.4,278.1,52.2,128.2,296.8,320.0,59.2,270.2,277.3,282.1,334.7,74.6,72.4,333.1,88.2,10.9,328.7,478.1,70.8,93.3,109.7,192.3,150.1,70.0,437.3,370.2,305.7,238.7,119.2,223.1,337.0,59.5,139.9
NR,198.7,124.7,362.6,136.1,161.4,315.2,183.0,195.5,273.3,146.7,261.3,139.5,139.2,441.8,161.8,69.8,356.5,75.6,202.4,452.2,237.4,144.9,131.4,95.0,230.6,140.8,320.3,227.2,194.0,153.6,104.2,303.8,183.1,253.6,100.0,213.2,153.9,98.4,177.6,127.2,174.0,163.3,181.4,207.5,129.1,2399.1,327.1,112.0,290.2,271.9,0.0,161.1,370.0,114.0,96.8,276.1,416.1,238.2,126.3,120.3,214.4,111.8,101.0,110.9,342.9,54.5,113.3,186.8,209.5,261.8,343.5,71.5,117.2,264.6,175.8,137.6,64.6,129.7,277.3,249.7,150.8,202.7,282.9,35.9,265.7,291.3,296.8,332.8,239.6,169.7,255.1,223.1,199.0,25.1,172.3,196.3,145.7,103.9,259.4,177.8
NS,139.7,166.6,404.5,178.0,84.0,357.1,224.9,237.4,315.2,87.7,303.2,181.4,56.2,483.7,203.7,127.9,398.4,185.3,244.3,494.1,279.3,150.3,54.0,75.0,272.5,238.9,362.2,269.1,236.4,195.5,17.5,345.7,124.1,295.5,79.2,255.1,216.7,140.3,118.6,29.0,115.0,89.4,223.3,130.1,171.0,2441.0,369.0,117.4,332.1,313.8,109.6,0.0,411.9,155.9,76.4,217.1,458.0,280.1,168.2,125.7,168.3,153.7,142.9,188.4,384.8,96.0,212.8,248.9,271.6,303.7,385.4,82.6,40.3,306.5,217.7,215.1,137.3,135.1,319.2,291.6,73.4,244.6,324.8,145.6,206.7,333.2,338.7,374.7,279.2,211.6,297.0,164.1,121.6,134.8,214.2,238.2,187.6,53.6,301.3,219.7
NY,490.1,319.9,5.4,390.5,361.6,219.0,322.2,180.4,231.0,489.0,251.6,340.9,435.3,29.9,296.8,455.9,64.1,367.2,293.4,73.4,195.8,441.0,392.6,417.7,266.5,392.2,34.9,206.0,352.0,347.7,400.3,113.7,460.1,216.8,396.1,267.6,389.9,317.8,434.5,469.5,469.2,392.3,226.5,360.3,244.9,2329.7,145.8,408.1,120.8,188.8,383.8,426.4,0.0,333.4,392.9,609.4,54.0,271.7,283.8,416.4,543.0,418.8,363.7,341.7,162.7,395.5,410.6,395.7,384.7,210.9,226.0,382.1,408.8,188.9,311.3,368.4,386.9,425.8,155.9,164.8,370.9,270.9,177.8,440.0,599.0,157.7,63.5,78.0,243.5,241.9,198.4,556.4,387.0,411.2,329.8,225.7,303.2,422.1,173.8,270.1
OD,257.1,73.6,311.5,84.5,219.8,264.1,131.9,144.4,222.2,205.1,210.2,164.0,184.8,390.7,110.7,128.2,305.4,33.7,151.3,401.1,186.3,190.5,189.8,153.4,179.5,92.0,269.2,176.1,143.4,127.7,149.8,252.7,241.5,202.5,145.6,162.1,96.7,16.5,236.0,185.6,232.4,221.7,130.3,248.2,78.0,2348.0,276.0,157.6,239.1,220.8,101.4,219.5,318.9,0.0,142.4,334.5,365.0,187.1,75.2,165.9,272.4,60.7,131.1,53.7,291.8,112.9,86.1,138.0,160.7,210.7,292.4,129.9,175.6,213.5,106.7,80.4,77.2,175.3,226.2,198.6,209.2,151.6,231.8,112.3,324.1,240.2,245.7,281.7,197.2,118.6,204.0,281.5,210.8,83.5,121.2,145.2,94.6,162.3,297.2,126.7
OF,134.4,135.4,373.3,146.8,107.1,325.9,193.7,206.2,284.0,191.6,272.0,150.2,107.6,452.5,172.5,96.7,367.2,154.1,213.1,462.9,248.1,119.1,77.1,139.9,241.3,207.7,331.0,237.9,205.2,164.3,72.6,314.5,132.4,264.3,68.4,223.9,185.5,109.1,106.8,172.1,218.9,109.0,192.1,153.2,139.8,2409.8,337.8,86.2,300.9,282.6,78.4,98.7,380.7,124.7,0.0,321.0,426.8,248.9,137.0,94.5,264.7,122.5,111.7,157.2,353.6,64.8,181.6,217.7,240.4,272.5,354.2,51.4,162.1,275.3,186.5,183.9,106.1,103.9,288.0,260.4,96.5,213.4,293.6,114.4,310.6,302.0,307.5,343.5,250.3,180.4,265.8,268.0,138.2,103.6,183.0,207.0,156.4,148.8,270.1,188.5
OG,122.8,325.6,593.6,337.0,257.0,557.3,383.9,396.4,474.2,152.8,505.7,340.4,140.9,631.0,362.7,246.6,587.5,293.9,403.3,650.2,438.3,309.3,227.0,227.6,431.5,285.7,551.3,428.1,338.9,374.1,176.5,504.7,159.8,454.5,238.2,414.1,325.1,299.3,174.3,189.3,150.7,259.3,382.3,284.6,330.0,2600.0,528.0,276.4,491.1,472.8,268.6,186.3,601.0,314.9,235.4,0.0,611.4,439.1,327.2,284.7,101.1,312.7,301.9,329.2,543.8,255.0,281.5,331.7,354.4,462.7,544.4,241.6,199.3,465.5,373.9,317.3,282.9,294.1,478.2,450.6,246.4,403.6,483.8,257.1,10.3,492.2,527.8,563.8,433.7,370.6,456.0,52.9,294.6,244.1,361.1,397.2,346.6,212.6,533.7,378.7
OJ,498.5,359.4,58.3,430.0,370.0,206.9,310.1,188.8,218.9,497.4,239.5,349.3,474.8,25.6,336.3,464.3,92.4,406.7,340.5,65.4,183.7,480.5,444.3,457.2,254.4,431.7,81.2,193.9,391.5,393.4,439.8,162.8,499.6,204.7,435.6,255.5,429.4,357.3,474.0,477.9,508.7,400.7,234.9,368.7,284.4,2352.3,133.7,447.6,108.7,176.7,423.3,465.9,52.9,372.9,432.4,617.8,0.0,259.6,323.3,455.9,551.4,458.3,403.2,381.2,150.6,435.0,450.1,404.0,393.1,198.8,213.9,421.6,417.2,179.3,357.0,407.9,395.3,465.3,143.8,152.7,379.3,258.8,165.7,448.4,607.4,148.1,71.9,65.9,290.6,284.3,188.8,564.8,395.4,419.6,369.3,271.8,342.7,430.5,161.7,304.9
OK,315.6,158.8,245.7,244.0,273.0,123.9,50.4,152.2,282.4,337.0,36.5,238.3,288.8,254.7,132.3,280.9,211.2,220.7,118.5,273.9,255.9,294.5,258.3,262.0,101.5,259.8,158.8,266.1,219.6,210.6,253.8,149.9,313.6,192.7,249.6,112.9,243.4,171.3,288.0,309.0,322.7,290.2,119.5,265.0,155.8,2387.6,195.0,275.0,151.0,160.3,237.3,279.9,224.7,186.9,246.4,434.9,276.9,0.0,161.6,269.2,429.6,272.3,217.2,195.2,204.8,249.0,264.1,218.0,240.7,132.4,268.1,241.4,264.6,192.0,188.1,221.9,226.7,279.3,216.0,158.6,277.7,246.8,147.5,273.3,424.5,163.9,151.5,187.5,77.8,131.0,204.6,381.9,291.7,250.3,183.3,100.1,167.7,281.6,112.9,93.6
ON,233.9,168.4,294.2,135.7,214.7,224.5,92.3,104.8,182.6,329.1,170.6,168.4,207.1,351.1,71.1,218.3,265.8,183.4,111.7,361.5,146.7,212.8,176.6,180.3,139.9,101.1,229.6,136.5,58.0,145.1,172.1,220.7,231.9,162.9,167.9,122.5,95.8,89.6,206.3,227.3,241.0,208.5,90.7,252.7,38.4,2308.4,243.5,179.9,199.5,179.4,236.2,198.2,279.3,179.1,164.7,397.3,325.4,147.5,0.0,187.5,320.4,164.0,135.5,144.7,252.2,248.3,143.2,70.4,93.1,126.8,252.8,159.7,182.9,170.2,133.1,121.2,172.3,197.6,186.6,160.8,196.0,112.0,192.2,198.2,386.9,200.6,206.1,242.1,145.5,79.0,164.4,344.3,233.1,233.2,35.8,105.6,9.2,274.7,146.7,101.2
OP,180.7,181.3,403.2,207.3,92.7,354.5,287.5,265.8,344.5,193.9,291.1,159.3,153.9,454.0,233.0,156.3,410.5,214.6,280.8,473.2,308.6,77.9,98.4,136.3,338.6,267.3,373.4,298.4,264.8,171.3,118.9,364.5,178.7,324.8,83.7,349.1,246.0,169.6,153.1,175.3,187.8,98.1,249.7,99.2,200.3,2470.3,425.6,82.1,381.6,390.9,138.9,145.0,424.0,185.2,111.5,324.2,434.4,308.9,206.8,0.0,264.6,183.0,197.6,217.7,435.4,125.3,242.1,278.2,300.9,362.1,498.7,116.8,114.6,422.6,185.0,244.4,167.3,9.4,348.5,357.9,74.0,273.9,377.2,174.9,312.9,393.6,350.8,386.8,230.9,240.9,325.4,271.2,65.7,164.1,243.5,337.2,227.9,131.6,343.5,330.7
PE,99.9,293.0,525.2,301.7,197.2,516.0,365.9,363.8,456.2,98.5,449.8,320.2,132.6,577.2,330.1,168.7,519.1,257.6,385.3,581.8,420.3,295.9,167.2,199.6,398.9,207.8,482.9,395.5,261.0,332.8,143.9,488.6,108.2,421.9,230.5,396.1,261.8,266.7,141.7,138.4,99.1,199.1,361.4,228.7,297.4,2567.4,517.1,291.0,458.5,453.0,231.8,168.3,547.2,266.9,202.8,134.7,557.6,421.1,304.8,259.0,0.0,294.7,269.3,262.9,525.8,198.7,203.6,268.4,291.1,385.8,526.4,208.4,138.4,450.6,323.5,239.4,232.0,269.1,460.2,418.0,172.0,385.6,451.2,193.8,109.7,459.6,459.4,495.4,392.4,352.6,423.4,67.1,234.8,193.2,297.8,364.6,324.4,136.0,420.3,360.2
PM,209.3,75.2,266.6,24.2,182.0,219.2,87.0,99.5,177.3,249.8,165.3,143.8,182.5,345.8,65.8,172.9,260.5,78.4,106.4,356.2,141.4,188.2,152.0,198.1,134.6,92.3,224.3,131.2,98.5,120.5,147.5,207.8,286.2,157.6,143.3,117.2,62.9,104.5,181.7,230.3,277.1,183.9,85.4,228.1,33.1,2303.1,231.1,155.3,194.2,175.9,146.1,173.6,274.0,87.9,140.1,379.2,320.1,142.2,30.3,163.6,311.6,0.0,110.9,68.6,246.9,157.6,130.8,111.0,133.7,165.8,247.5,174.6,220.3,168.6,122.4,95.3,164.1,173.0,181.3,153.7,171.4,106.7,186.9,157.0,368.8,195.3,200.8,236.8,143.6,73.7,159.1,326.2,208.5,128.2,76.3,100.3,49.7,207.0,163.4,81.8
PT,174.6,120.7,348.4,132.1,147.3,316.2,179.0,191.5,269.3,219.3,264.6,89.6,147.8,385.8,157.8,142.4,342.3,102.4,198.4,405.0,233.4,153.5,117.3,166.8,226.6,148.0,306.1,223.2,190.5,116.1,112.8,297.2,172.6,249.6,108.6,209.2,170.8,94.4,147.0,199.8,181.7,149.2,177.4,193.4,125.1,2395.1,330.2,120.6,286.2,266.1,115.6,138.9,355.8,110.0,105.4,293.9,366.2,234.2,132.5,128.9,262.2,107.8,0.0,137.7,338.9,127.1,140.1,194.0,216.7,213.5,339.5,136.8,123.6,256.9,136.4,164.4,73.4,138.3,273.3,289.7,136.7,198.7,278.9,126.5,283.5,287.3,282.6,318.6,204.0,165.7,251.1,240.9,173.8,97.7,168.3,192.3,152.7,176.5,292.6,187.9
QF,268.2,23.6,324.6,45.8,230.9,277.2,145.0,157.5,235.3,216.2,223.3,175.1,222.1,403.8,123.8,139.3,318.5,44.8,164.4,414.2,199.4,227.8,200.9,164.5,192.6,50.4,282.3,189.2,112.1,173.7,187.1,265.8,252.6,215.6,182.9,175.2,58.0,70.9,247.1,196.7,243.5,232.8,143.4,277.0,91.1,2361.1,289.1,194.9,252.2,233.9,112.5,230.6,332.0,54.3,179.7,345.6,378.1,200.2,88.3,203.2,269.7,73.8,142.2,0.0,304.9,124.0,92.5,104.9,127.6,223.8,305.5,141.0,186.7,226.6,161.1,26.7,122.2,212.6,239.3,211.7,220.3,164.7,244.9,123.4,335.2,253.3,258.8,294.8,201.6,131.7,217.1,292.6,268.5,94.6,134.3,158.3,107.7,173.4,221.4,139.8
QP,427.9,285.7,168.6,356.3,400.6,166.6,225.5,134.7,145.2,435.2,199.2,362.4,401.1,188.1,307.4,393.2,192.9,333.0,283.2,207.8,110.0,406.8,370.6,383.5,162.7,358.0,120.3,120.2,317.8,339.1,366.1,122.5,425.9,113.0,361.9,163.8,355.7,283.6,400.3,421.3,435.0,402.5,195.6,407.5,210.7,2284.6,26.8,373.9,68.4,97.5,349.6,392.2,176.0,299.2,358.7,547.2,162.4,219.3,249.6,382.2,511.1,384.6,329.5,307.5,0.0,361.3,376.4,330.3,381.1,107.1,63.2,347.9,376.9,90.6,316.7,334.2,338.3,391.6,70.1,112.4,390.0,167.1,108.5,385.6,536.8,84.3,162.3,88.3,250.3,210.6,100.1,494.2,427.1,362.6,295.6,180.1,269.0,390.2,121.4,213.2
QQ,177.5,141.4,379.3,152.8,140.2,331.9,199.7,212.2,290.0,125.5,278.0,156.2,130.6,458.5,178.5,30.6,373.2,89.8,219.1,468.9,254.1,136.3,110.2,73.8,247.3,155.6,337.0,243.9,208.8,170.3,95.6,320.5,161.9,270.3,91.4,229.9,168.1,115.1,156.4,106.0,152.8,142.1,198.1,186.3,145.8,2415.8,343.8,103.4,306.9,288.6,77.2,139.9,386.7,130.7,88.2,254.9,432.8,254.9,143.0,111.7,198.6,128.5,117.7,125.1,359.6,0.0,127.5,201.6,224.3,278.5,360.2,15.7,96.0,281.3,192.5,151.8,78.8,121.1,294.0,266.4,129.6,219.4,299.6,68.1,244.5,308.0,313.5,349.5,256.3,186.4,271.8,201.9,177.8,40.0,189.0,213.0,162.4,82.7,276.1,194.5
