from_stop,AF,AL,AN,AV,AX,BA,BD,BN,BT,BY,CD,CE,CF,CH,CL,CR,CT,DC,DD,DG,DU,DX,EB,ED,EM,EV,FG,FN,FQ,FS,FW,FX,GB,GM,GZ,HD,HE,HK,HO,HQ,HT,HU,ID,IH,IL,IO,IV,IX,IZ,JA,JB,JC,JD,JG,JS,JW,JX,JY,KE,KG,KH,KL,KU,LC,LE,LP,LV,MB,MF,MI,ML,MY,NG,NI,NT,OG,OK,OL,OR,OU,OX,OY,OZ,PB,PF,PL,PN,PQ,PY,QE,QF,QH,QL,QU,QW,QX,QY,QZ,RF,RK,RN,RS,RU,RV,SB,SH,SR,SW,TA,TD,TZ,UC,UI,UV,UW,UX,VA,VD,VH,VI,VJ,VM,VR,VW,VZ,WP,WS,XB,XJ,XN,XW,YD,YE,YG,YJ,YK,YO,ZH,ZQ,ZU
EB,610.0,143.0,461.9,670.7,593.1,361.6,891.2,200.9,688.7,478.8,367.1,325.6,723.3,421.1,709.3,362.2,771.6,710.5,443.6,565.0,778.2,349.3,0.0,2339.2,215.7,374.0,381.7,126.7,232.8,745.8,381.2,186.8,530.0,169.6,284.4,230.4,858.4,372.7,179.5,209.1,715.6,559.7,669.9,639.3,797.8,262.0,268.0,465.1,394.4,622.8,528.6,412.3,646.3,603.5,586.6,959.1,219.3,197.9,601.8,656.0,373.2,565.1,631.5,872.6,265.1,205.5,353.1,575.4,552.5,200.5,738.3,317.6,229.4,754.7,582.3,384.9,860.7,553.3,414.0,675.3,648.6,564.1,476.6,401.4,99.7,902.0,565.9,309.7,581.6,377.2,245.5,628.6,389.5,287.8,325.0,245.0,660.5,684.8,504.2,678.6,774.3,689.6,204.8,694.4,331.4,606.6,634.2,390.3,722.4,302.9,132.0,269.4,694.0,728.7,408.5,568.3,723.1,374.0,417.6,337.4,524.6,613.8,676.2,340.3,336.0,591.1,207.4,706.0,745.5,452.6,893.9,222.2,407.3,121.4,686.2,625.2,341.2,135.0,714.5,657.2
ED,2699.0,2421.4,2434.6,2309.1,2314.1,2434.7,2980.2,2405.0,2777.7,2567.8,2456.1,2398.7,2399.0,2510.1,2508.8,2289.9,2860.6,2799.5,2532.6,2654.0,2453.9,2438.3,2388.2,0.0,2322.7,2447.1,2470.7,2405.1,2417.6,2421.5,2488.2,2313.9,2619.0,2276.6,2357.5,2508.8,2947.4,2445.8,2567.8,2397.0,2804.6,2348.8,2345.6,2438.8,2886.8,2540.4,2375.0,2458.7,2467.5,2711.8,2617.6,2501.3,2445.8,2692.5,2675.6,3048.1,2326.3,2304.9,2690.8,2455.5,2300.9,2654.1,2720.5,2961.6,2653.4,2294.5,2462.5,2664.4,2470.8,2307.5,2827.3,2390.7,2617.7,2430.4,2671.3,2473.9,2949.7,2642.3,2503.0,2304.4,2737.6,2482.4,2565.6,2329.1,2488.0,2991.0,2654.9,2382.8,2326.2,2466.2,2318.6,2352.3,2496.5,2360.9,2414.0,2334.0,2384.2,2773.8,2593.2,2354.3,2863.3,2365.3,2311.8,2354.1,2420.4,2375.9,2723.2,2479.3,2398.1,2409.9,2520.3,2342.5,2318.1,2817.7,2497.5,2657.3,2444.1,2447.1,2345.3,2446.8,2613.6,2702.8,2419.1,2447.3,2324.9,2509.4,2314.4,2795.0,2466.5,2541.6,2982.9,2329.2,2496.3,2509.7,2329.7,2394.5,2430.2,2439.8,2435.5,2746.2
EM,526.3,230.7,398.2,607.0,529.4,297.9,807.5,232.3,605.0,395.1,283.4,261.9,659.6,337.4,645.6,298.5,687.9,626.8,359.9,481.3,714.5,265.6,197.5,2275.5,0.0,310.3,298.0,214.4,244.9,682.1,275.1,123.2,446.3,32.8,220.7,318.1,774.7,309.0,377.1,224.3,631.9,496.0,606.2,575.6,714.1,349.7,161.9,401.4,330.7,539.1,444.9,328.6,582.6,519.8,502.9,875.4,113.2,91.8,518.1,592.3,309.5,481.4,547.8,788.9,462.7,121.8,289.8,491.7,488.8,56.4,654.6,253.9,427.0,691.0,498.6,301.2,777.0,469.6,330.3,611.6,564.9,500.4,392.9,337.7,297.3,818.3,482.2,246.0,517.9,293.5,181.8,564.9,283.4,224.1,241.3,161.3,596.8,601.1,420.5,614.9,690.6,625.9,98.7,630.7,247.7,542.9,550.5,306.6,658.7,196.8,329.6,205.7,630.3,645.0,324.8,484.6,659.4,310.3,353.9,274.1,440.9,530.1,612.5,234.2,272.3,527.4,63.3,622.3,681.8,368.9,810.2,78.1,323.6,319.0,622.5,561.5,257.5,249.1,650.8,573.5
EV,715.0,437.4,354.3,563.1,485.5,149.7,996.2,421.0,793.7,583.8,470.0,57.3,615.7,526.1,601.7,254.6,876.6,815.5,548.6,670.0,670.6,454.3,404.2,2378.4,338.7,0.0,482.0,421.1,433.6,638.2,504.2,329.9,635.0,292.6,230.3,524.8,963.4,31.3,583.8,413.0,820.6,452.1,562.3,531.7,902.8,556.4,391.0,357.5,20.3,727.8,633.6,517.3,538.7,706.6,691.6,1064.1,342.3,320.9,706.8,548.4,265.6,670.1,736.5,977.6,669.4,310.5,478.5,680.4,444.9,323.5,843.3,89.3,633.7,647.1,687.3,489.9,965.7,658.3,519.0,567.7,753.6,456.5,581.6,293.8,504.0,1007.0,670.9,334.2,472.0,482.2,270.0,522.6,512.5,312.3,430.0,350.0,552.9,789.8,609.2,571.0,879.3,582.0,327.8,586.8,436.4,499.0,744.7,495.3,614.8,425.9,536.3,123.0,586.4,833.7,513.5,673.3,615.5,398.5,310.0,477.3,629.6,718.8,568.6,463.3,228.4,483.5,330.4,811.0,637.9,557.6,998.9,345.2,512.3,525.7,578.6,517.6,446.2,455.8,606.9,762.2
FG,416.8,313.7,555.4,764.2,686.6,455.1,698.0,257.6,495.5,280.9,171.8,419.1,816.8,44.0,802.8,455.7,578.4,512.6,250.4,371.8,871.7,220.1,372.7,2432.7,327.2,467.5,0.0,334.1,270.2,839.3,492.7,298.4,336.8,281.1,377.9,364.5,665.2,466.2,552.3,249.6,522.4,653.2,763.4,728.1,604.6,396.1,379.5,558.6,483.2,429.6,335.4,58.9,739.8,408.4,393.4,765.9,330.8,309.4,408.6,749.5,466.7,371.9,438.3,679.4,633.2,177.5,315.1,382.2,646.0,312.0,545.1,412.0,602.2,848.2,389.1,191.7,667.5,360.1,216.1,768.8,455.4,655.2,283.4,494.9,472.5,704.1,372.7,403.2,673.1,184.0,339.0,723.7,501.0,376.6,131.8,216.4,754.0,491.6,306.3,772.1,581.1,783.1,316.3,787.9,60.2,700.1,441.8,197.1,811.2,414.4,504.8,362.9,787.5,530.8,215.3,375.1,816.6,467.5,511.1,313.9,331.4,420.6,769.7,451.8,429.5,684.6,318.9,512.8,834.3,259.4,700.7,333.7,53.9,494.2,779.7,714.0,259.6,424.3,808.0,464.0
FN,569.6,16.2,493.6,702.4,624.8,393.3,850.8,74.1,648.3,438.4,326.7,357.3,755.0,380.7,741.0,393.9,731.2,670.1,403.2,524.6,809.9,308.9,121.5,2370.9,247.4,405.7,341.3,0.0,106.0,777.5,412.9,218.5,489.6,201.3,316.1,103.6,818.0,404.4,301.1,82.3,675.2,591.4,701.6,671.0,757.4,135.2,299.7,496.8,426.1,582.4,488.2,371.9,678.0,563.1,546.2,918.7,251.0,229.6,561.4,687.7,404.9,524.7,591.1,832.2,386.7,175.5,226.3,535.0,584.2,232.2,697.9,349.3,351.0,786.4,541.9,344.5,820.3,512.9,373.6,707.0,608.2,595.8,436.2,433.1,221.3,861.6,525.5,341.4,613.3,336.8,277.2,660.3,421.2,319.5,284.6,214.4,692.2,644.4,463.8,710.3,733.9,721.3,236.5,726.1,291.0,638.3,593.8,349.9,754.1,334.6,253.6,301.1,725.7,688.3,368.1,527.9,754.8,405.7,449.3,210.6,484.2,573.4,707.9,372.0,367.7,622.8,239.1,665.6,777.2,412.2,853.5,253.9,366.9,243.0,717.9,656.9,300.8,173.1,746.2,616.8
FQ,494.8,109.4,478.6,687.4,609.8,378.3,776.0,48.6,573.5,363.6,251.9,342.3,740.0,305.9,726.0,378.9,656.4,595.3,328.4,449.8,794.9,234.1,246.7,2355.9,250.4,390.7,266.5,125.1,0.0,762.5,415.9,221.6,414.8,204.3,301.1,155.5,743.2,389.4,426.3,40.6,600.4,576.4,686.6,656.0,682.6,187.1,302.7,481.8,411.1,507.6,413.4,297.1,663.0,488.3,471.4,843.9,254.0,232.6,486.6,672.7,389.9,449.9,516.3,757.4,511.9,100.7,151.5,460.2,569.2,235.2,623.1,334.3,476.2,771.4,467.1,269.7,745.5,438.1,298.8,692.0,533.4,580.8,361.4,418.1,346.5,786.8,450.7,326.4,598.3,262.0,262.2,645.3,424.2,304.5,209.8,139.6,677.2,569.6,389.0,695.3,659.1,706.3,239.5,711.1,216.2,623.3,519.0,275.1,739.1,337.6,378.8,286.1,710.7,613.5,293.3,453.1,739.8,390.7,434.3,135.8,409.4,498.6,692.9,375.0,352.7,607.8,242.1,590.8,762.2,337.4,778.7,256.9,292.1,368.2,702.9,641.9,226.0,298.3,731.2,542.0
FS,1047.9,770.3,364.0,139.6,243.5,606.9,1329.1,753.9,1126.6,916.7,805.0,570.9,46.1,859.0,385.0,457.1,1209.5,1148.4,881.5,1002.9,32.3,787.2,737.1,2307.3,671.6,619.3,819.6,754.0,766.5,0.0,837.1,662.8,967.9,625.5,563.2,857.7,1296.3,618.0,916.7,745.9,1153.5,278.2,87.8,315.0,1235.7,889.3,723.9,388.1,639.7,1060.7,966.5,850.2,322.0,1041.4,1024.5,1397.0,675.2,653.8,1039.7,331.7,453.3,1003.0,1069.4,1310.5,1002.3,643.4,811.4,1013.3,400.2,656.4,1176.2,562.9,966.6,8.8,1020.2,822.8,1298.6,991.2,851.9,144.2,1086.5,411.8,914.5,496.3,836.9,1339.9,1003.8,667.1,255.6,815.1,602.9,281.7,845.4,645.2,762.9,682.9,313.6,1122.7,942.1,78.7,1212.2,67.7,660.7,163.3,769.3,305.3,1072.1,828.2,23.5,758.8,869.2,514.7,162.9,1166.6,846.4,1006.2,242.0,731.4,466.0,795.7,962.5,1051.7,217.0,796.2,492.1,438.8,663.3,1143.9,264.4,890.5,1331.8,678.1,845.2,858.6,155.1,323.9,779.1,788.7,233.4,1095.1
FW,702.5,406.9,574.4,783.2,705.6,474.1,983.7,408.5,781.2,571.3,459.6,438.1,835.8,513.6,821.8,474.7,864.1,803.0,536.1,657.5,890.7,441.8,373.7,2451.7,265.8,486.5,474.2,390.6,421.1,858.3,0.0,299.4,622.5,219.7,396.9,494.3,950.9,485.2,553.3,400.5,808.1,672.2,782.4,751.8,890.3,525.9,153.4,577.6,506.9,715.3,621.1,504.8,758.8,696.0,679.1,1051.6,148.0,168.9,694.3,768.5,485.7,657.6,724.0,965.1,638.9,298.0,466.0,667.9,665.0,250.6,830.8,430.1,603.2,867.2,674.8,477.4,953.2,645.8,506.5,787.8,741.1,676.6,569.1,513.9,473.5,994.5,658.4,422.2,694.1,469.7,358.0,741.1,8.3,400.3,417.5,337.5,773.0,777.3,596.7,791.1,866.8,802.1,162.1,806.9,423.9,719.1,726.7,482.8,834.9,64.8,505.8,381.9,806.5,821.2,501.0,660.8,835.6,486.5,530.1,450.3,617.1,706.3,788.7,37.9,448.5,703.6,257.5,798.5,858.0,545.1,986.4,272.3,499.8,495.2,798.7,737.7,433.7,425.3,827.0,749.7
FX,531.0,195.3,382.9,591.7,514.1,282.6,812.2,253.2,609.7,399.8,288.1,246.6,644.3,342.1,630.3,283.2,692.6,631.5,364.6,486.0,699.2,270.3,162.1,2260.2,136.7,295.0,302.7,179.0,249.6,666.8,302.2,0.0,451.0,90.6,205.4,282.7,779.4,293.7,341.7,229.0,636.6,480.7,590.9,560.3,718.8,314.3,189.0,386.1,315.4,543.8,449.6,333.3,567.3,524.5,507.6,880.1,140.3,118.9,522.8,577.0,294.2,486.1,552.5,793.6,427.3,126.5,294.5,496.4,473.5,121.5,659.3,238.6,391.6,675.7,503.3,305.9,781.7,474.3,335.0,596.3,569.6,485.1,397.6,322.4,261.9,823.0,486.9,230.7,502.6,298.2,166.5,549.6,310.5,208.8,246.0,166.0,581.5,605.8,425.2,599.6,695.3,610.6,125.8,615.4,252.4,527.6,555.2,311.3,643.4,223.9,294.2,190.4,615.0,649.7,329.5,489.3,644.1,295.0,338.6,278.8,445.6,534.8,597.2,261.3,257.0,512.1,128.4,627.0,666.5,373.6,814.9,143.2,328.3,283.6,607.2,546.2,262.2,213.7,635.5,578.2
GB,264.6,463.1,700.1,908.9,831.3,599.8,361.1,402.3,158.6,79.9,271.7,563.8,961.5,352.6,947.5,600.4,426.2,365.1,297.2,219.6,1016.4,364.8,517.4,2577.4,471.9,612.2,313.2,478.8,414.9,984.0,637.4,443.1,0.0,425.8,522.6,509.2,328.3,610.9,697.0,394.3,370.2,797.9,908.1,877.5,452.4,540.8,524.2,703.3,632.6,277.4,129.7,343.8,884.5,193.3,288.5,429.0,475.5,454.1,256.4,894.2,611.4,154.9,286.1,342.5,782.6,322.2,459.8,165.2,790.7,456.7,440.2,555.8,746.9,992.9,183.4,186.3,330.6,23.2,169.6,913.5,249.7,802.3,117.1,639.6,617.2,371.9,35.8,547.9,817.8,267.3,483.7,868.4,645.7,526.0,206.1,361.1,898.7,339.4,166.6,916.8,244.2,927.8,461.0,932.6,262.9,844.8,294.3,191.7,960.6,559.1,649.5,507.6,932.2,383.3,123.0,270.2,961.3,612.2,655.8,458.6,5.3,268.4,914.4,596.5,574.2,829.3,463.6,360.6,983.7,251.4,363.8,478.4,338.8,638.9,924.4,863.4,404.3,569.0,952.7,127.1
GM,493.4,197.8,365.3,574.1,496.5,265.0,774.6,199.4,572.1,362.2,250.5,229.0,626.7,304.5,612.7,265.6,655.0,593.9,327.0,448.4,681.6,232.7,164.6,2242.6,46.0,277.4,265.1,181.5,212.0,649.2,242.2,90.3,413.4,0.0,187.8,285.2,741.8,276.1,344.2,191.4,599.0,463.1,573.3,542.7,681.2,316.8,129.0,368.5,297.8,506.2,412.0,295.7,549.7,486.9,470.0,842.5,80.3,58.9,485.2,559.4,276.6,448.5,514.9,756.0,429.8,88.9,256.9,458.8,455.9,30.8,621.7,221.0,394.1,658.1,465.7,268.3,744.1,436.7,297.4,578.7,532.0,467.5,360.0,304.8,264.4,785.4,449.3,213.1,485.0,260.6,148.9,532.0,250.5,191.2,208.4,128.4,563.9,568.2,387.6,582.0,657.7,593.0,65.8,597.8,214.8,510.0,517.6,273.7,625.8,163.9,296.7,172.8,597.4,612.1,291.9,451.7,626.5,277.4,321.0,241.2,408.0,497.2,579.6,201.3,239.4,494.5,37.7,589.4,648.9,336.0,777.3,52.5,290.7,286.1,589.6,528.6,224.6,216.2,617.9,540.6
GZ,608.7,331.1,281.5,490.3,412.7,181.2,889.9,314.7,687.4,477.5,365.8,145.2,542.9,419.8,528.9,181.8,770.3,709.2,442.3,563.7,597.8,348.0,297.9,2272.1,232.4,193.6,380.4,314.8,327.3,565.4,397.9,223.6,528.7,186.3,0.0,418.5,857.1,192.3,477.5,306.7,714.3,379.3,489.5,458.9,796.5,450.1,284.7,284.7,214.0,621.5,527.3,411.0,465.9,602.2,585.3,957.8,236.0,214.6,600.5,475.6,192.8,563.8,630.2,871.3,563.1,204.2,372.2,574.1,372.1,217.2,737.0,137.2,527.4,574.3,581.0,383.6,859.4,552.0,412.7,494.9,647.3,383.7,475.3,221.0,397.7,900.7,564.6,227.9,401.2,375.9,163.7,448.2,406.2,206.0,323.7,243.7,480.1,683.5,502.9,498.2,773.0,509.2,221.5,514.0,330.1,426.2,632.9,389.0,542.0,319.6,430.0,89.0,513.6,727.4,407.2,567.0,542.7,292.2,237.2,356.5,523.3,612.5,495.8,357.0,155.6,410.7,224.1,704.7,565.1,451.3,892.6,238.9,406.0,419.4,505.8,444.8,339.9,349.5,534.1,655.9
HD,608.0,75.9,585.3,794.1,716.5,485.0,889.2,112.5,686.7,476.8,365.1,449.0,846.7,419.1,832.7,485.6,769.6,708.5,441.6,563.0,901.6,347.3,213.2,2462.6,339.1,497.4,379.7,91.6,144.4,869.2,504.6,310.2,528.0,293.0,407.8,0.0,856.4,496.1,392.8,120.7,713.6,683.1,793.3,762.7,795.8,31.5,391.4,588.5,517.8,620.8,526.6,410.3,769.7,601.5,584.6,957.1,342.7,321.3,599.8,779.4,496.6,563.1,629.5,870.6,478.4,213.9,264.7,573.4,675.9,323.9,736.3,441.0,442.7,878.1,580.3,382.9,858.7,551.3,412.0,798.7,646.6,687.5,474.6,524.8,313.0,900.0,563.9,433.1,705.0,375.2,368.9,752.0,512.9,411.2,323.0,252.8,783.9,682.8,502.2,802.0,772.3,813.0,328.2,817.8,329.4,730.0,632.2,388.3,845.8,426.3,345.3,392.8,817.4,726.7,406.5,566.3,846.5,497.4,541.0,249.0,522.6,611.8,799.6,463.7,459.4,714.5,330.8,704.0,868.9,450.6,891.9,345.6,405.3,334.7,809.6,748.6,339.2,264.8,837.9,655.2
HE,593.3,791.8,1028.8,1237.6,1160.0,928.5,159.5,731.0,326.8,408.6,602.5,892.5,1290.2,681.3,1276.2,929.1,754.9,693.8,625.9,548.3,1345.1,693.5,846.1,2906.1,800.6,940.9,641.9,807.5,743.6,1312.7,966.1,771.8,328.6,754.5,851.3,837.9,0.0,939.6,1025.7,723.0,698.9,1126.6,1236.8,1206.2,781.1,869.5,852.9,1032.0,961.3,606.1,458.4,672.5,1213.2,522.0,617.2,227.4,804.2,782.8,585.1,1222.9,940.1,483.6,614.8,140.9,1111.3,650.9,788.5,493.9,1119.4,785.4,768.9,884.5,1075.6,1321.6,512.1,515.0,129.0,305.2,498.3,1242.2,578.4,1131.0,445.8,968.3,945.9,170.3,292.6,876.6,1148.5,596.0,812.4,1195.5,974.4,854.7,534.8,689.8,1227.4,668.1,495.3,1245.5,72.4,1256.5,789.7,1261.3,591.6,1173.5,617.5,520.4,1289.3,887.8,978.2,836.3,1260.9,712.0,451.7,598.9,1290.0,940.9,984.5,772.8,334.0,597.1,1243.1,925.2,902.9,1158.0,792.3,689.3,1312.4,580.1,162.2,807.1,667.5,967.6,1253.1,1192.1,733.0,897.7,1281.4,323.4
HK,700.0,422.4,339.3,548.1,470.5,134.7,981.2,406.0,778.7,568.8,457.1,42.3,600.7,511.1,586.7,239.6,861.6,800.5,533.6,655.0,655.6,439.3,389.2,2363.4,323.7,47.6,471.7,406.1,418.6,623.2,489.2,314.9,620.0,277.6,215.3,509.8,948.4,0.0,568.8,398.0,805.6,437.1,547.3,516.7,887.8,541.4,376.0,342.5,68.0,712.8,618.6,502.3,523.7,693.5,676.6,1049.1,327.3,305.9,691.8,533.4,250.6,655.1,721.5,962.6,654.4,295.5,463.5,665.4,429.9,308.5,828.3,74.3,618.7,632.1,672.3,474.9,950.7,643.3,504.0,552.7,738.6,441.5,566.6,278.8,489.0,992.0,655.9,319.2,459.0,467.2,255.0,506.0,497.5,297.3,415.0,335.0,537.9,774.8,594.2,556.0,864.3,567.0,312.8,571.8,421.4,484.0,724.2,480.3,599.8,410.9,521.3,108.0,571.4,818.7,498.5,658.3,600.5,383.5,295.0,447.8,614.6,703.8,553.6,448.3,213.4,468.5,315.4,796.0,622.9,542.6,983.9,330.2,497.3,510.7,563.6,502.6,431.2,440.8,591.9,747.2
HO,785.2,318.2,637.1,845.9,768.3,536.8,1066.4,376.1,863.9,654.0,542.3,500.8,898.5,596.3,884.5,537.4,946.8,885.7,618.8,740.2,953.4,524.5,175.1,2514.4,390.9,549.2,556.9,301.9,408.0,921.0,556.4,362.0,705.2,344.8,459.6,405.6,1033.6,547.9,0.0,384.3,890.8,734.9,845.1,814.5,973.0,437.2,443.2,640.3,569.6,798.0,703.8,587.5,821.5,778.7,761.8,1134.3,394.5,373.1,777.0,831.2,548.4,740.3,806.7,1047.8,85.5,380.7,528.3,750.6,727.7,375.7,913.5,492.8,137.9,929.9,757.5,560.1,1035.9,728.5,589.2,850.5,823.8,739.3,651.8,576.6,129.8,1077.2,741.1,484.9,756.8,552.4,420.7,803.8,564.7,463.0,500.2,420.2,835.7,860.0,679.4,853.8,949.5,864.8,380.0,869.6,506.6,781.8,809.4,565.5,897.6,478.1,162.1,444.6,869.2,903.9,583.7,743.5,898.3,549.2,592.8,512.6,699.8,789.0,851.4,515.5,511.2,766.3,382.6,881.2,920.7,627.8,1069.1,397.4,582.5,64.1,861.4,800.4,516.4,310.2,889.7,832.4
HQ,487.2,68.7,471.0,679.8,602.2,370.7,768.4,7.9,565.9,356.0,242.2,334.7,732.4,298.3,718.4,371.3,648.8,587.7,320.8,442.2,787.3,226.5,206.0,2348.3,242.8,383.1,258.9,84.4,23.6,754.9,408.3,214.0,407.2,196.7,293.5,114.8,735.6,381.8,385.6,0.0,592.8,568.8,679.0,648.4,675.0,146.4,295.1,474.2,403.5,500.0,405.8,289.5,655.4,480.7,463.8,836.3,246.4,225.0,479.0,665.1,382.3,442.3,508.7,749.8,471.2,93.1,143.9,452.6,561.6,227.6,615.5,326.7,435.5,763.8,459.5,262.1,737.9,430.5,291.2,684.4,525.8,570.8,353.8,410.5,305.8,779.2,443.1,318.8,588.7,254.4,254.6,639.3,416.6,296.9,202.2,132.0,669.6,562.0,381.4,687.7,651.5,698.7,231.9,703.5,208.6,615.7,516.9,267.5,731.5,330.0,338.1,278.5,703.1,605.9,285.7,445.5,732.2,383.1,426.7,142.7,401.8,491.0,685.3,367.4,345.1,600.2,234.5,583.2,754.6,329.8,771.1,249.3,284.5,327.5,695.3,634.3,218.4,257.6,723.6,534.4
HT,263.3,689.5,926.5,1135.3,1057.7,826.2,698.7,628.7,496.2,279.4,500.2,790.2,1187.9,579.0,1173.9,826.8,84.7,5.1,523.6,159.9,1242.8,591.2,743.8,2803.8,698.3,838.6,539.6,705.2,641.3,1210.4,863.8,669.5,337.5,652.2,749.0,735.6,665.9,837.3,923.4,620.7,0.0,1024.3,1134.5,1103.9,110.9,767.2,750.6,929.7,859.0,175.0,263.2,570.2,1110.9,293.6,410.7,766.6,701.9,680.5,123.4,1120.6,837.8,255.2,225.4,680.1,1009.0,548.6,686.2,265.5,1017.1,683.1,562.4,782.2,973.3,1219.3,366.1,412.7,668.2,360.8,396.0,1139.9,432.4,1028.7,343.5,866.0,843.6,709.5,373.4,774.3,1046.2,493.7,710.1,1093.2,872.1,752.4,432.5,587.5,1125.1,234.3,222.1,1143.2,581.8,1154.2,687.4,1159.0,489.3,1071.2,252.1,418.1,1187.0,785.5,875.9,734.0,1158.6,13.0,349.4,392.4,1187.7,838.6,882.2,670.5,332.1,273.3,1140.8,822.9,800.6,1055.7,690.0,9.5,1210.1,477.8,701.4,704.8,565.2,865.3,1150.8,1089.8,630.7,795.4,1179.1,464.7
HU,866.3,588.7,85.7,148.8,33.3,425.3,1147.5,572.3,945.0,735.1,623.4,389.3,238.7,677.4,159.9,185.3,1027.9,966.8,699.9,821.3,293.6,605.6,555.5,2277.7,490.0,437.7,638.0,572.4,584.9,261.2,655.5,481.2,786.3,443.9,381.6,676.1,1114.7,436.4,735.1,564.3,971.9,0.0,185.3,89.9,1054.1,707.7,542.3,109.8,458.1,879.1,784.9,668.6,96.9,859.8,842.9,1215.4,493.6,472.2,858.1,106.6,175.0,821.4,887.8,1128.9,820.7,461.8,629.8,831.7,121.9,474.8,994.6,381.3,785.0,270.1,838.6,641.2,1117.0,809.6,670.3,144.1,904.9,133.5,732.9,225.5,655.3,1158.3,822.2,485.5,21.8,633.5,421.3,68.8,663.8,463.6,581.3,501.3,100.7,941.1,760.5,194.0,1030.6,205.0,479.1,193.8,587.7,46.8,890.5,646.6,237.8,577.2,687.6,333.1,157.8,985.0,664.8,824.6,173.7,483.2,187.7,614.1,780.9,870.1,126.8,614.6,310.5,160.5,481.7,962.3,196.1,708.9,1150.2,496.5,663.6,677.0,169.4,65.4,597.5,607.1,165.1,913.5
ID,960.0,682.4,276.1,51.7,155.6,519.0,1241.2,666.0,1038.7,828.8,717.1,483.0,53.3,771.1,297.1,369.2,1121.6,1060.5,793.6,915.0,108.2,699.3,649.2,2280.3,583.7,531.4,731.7,666.1,678.6,75.8,749.2,574.9,880.0,537.6,475.3,769.8,1208.4,530.1,828.8,658.0,1065.6,190.3,0.0,227.1,1147.8,801.4,636.0,300.2,551.8,972.8,878.6,762.3,234.1,953.5,936.6,1309.1,587.3,565.9,951.8,243.8,365.4,915.1,981.5,1222.6,914.4,555.5,723.5,925.4,312.3,568.5,1088.3,475.0,878.7,84.7,932.3,734.9,1210.7,903.3,764.0,56.3,998.6,323.9,826.6,408.4,749.0,1252.0,915.9,579.2,167.7,727.2,515.0,193.8,757.5,557.3,675.0,595.0,225.7,1034.8,854.2,8.6,1124.3,19.6,572.8,75.4,681.4,217.4,984.2,740.3,52.4,670.9,781.3,426.8,75.0,1078.7,758.5,918.3,154.1,643.5,378.1,707.8,874.6,963.8,129.1,708.3,404.2,350.9,575.4,1056.0,176.5,802.6,1243.9,590.2,757.3,770.7,67.2,236.0,691.2,700.8,145.5,1007.2
IH,950.2,672.6,169.6,227.1,147.6,509.2,1231.4,656.2,1028.9,819.0,705.2,473.2,261.7,761.3,80.2,269.2,1111.8,1050.7,783.8,905.2,316.6,689.5,639.4,2392.0,573.9,521.6,721.9,656.3,668.8,284.2,739.4,565.1,870.2,527.8,465.5,760.0,1198.6,520.3,819.0,648.2,1055.8,114.2,208.3,0.0,1138.0,791.6,626.2,193.7,542.0,963.0,868.8,752.5,6.9,941.8,926.8,1299.3,577.5,556.1,942.0,26.9,258.9,905.3,971.7,1212.8,904.6,545.7,713.7,915.6,205.8,558.7,1078.5,465.2,868.9,293.1,922.5,725.1,1200.9,893.5,754.2,209.5,988.8,217.4,816.8,309.4,739.2,1242.2,906.1,569.4,134.1,717.4,505.2,184.7,747.7,547.5,665.2,585.2,215.0,1025.0,844.4,217.0,1114.5,228.0,563.0,250.8,671.6,161.1,979.9,730.5,260.8,661.1,771.5,417.0,178.8,1068.9,748.7,908.5,134.8,567.1,271.6,712.5,864.8,954.0,87.9,698.5,394.4,244.4,565.6,1046.2,157.2,792.8,1234.1,580.4,747.5,760.9,242.6,179.7,681.4,691.0,126.2,997.4
IL,259.0,767.9,1004.9,1213.7,1136.1,904.6,777.1,707.1,574.6,357.8,578.6,868.6,1266.3,657.4,1252.3,905.2,41.7,143.7,602.0,290.2,1321.2,669.6,822.2,2882.2,776.7,917.0,618.0,783.6,719.7,1288.8,942.2,747.9,415.9,730.6,827.4,814.0,744.3,915.7,1001.8,699.1,138.6,1102.7,1212.9,1182.3,0.0,845.6,829.0,1008.1,937.4,170.7,341.6,648.6,1189.3,372.0,489.1,845.0,780.3,758.9,262.1,1199.0,916.2,333.6,221.1,758.5,1087.4,627.0,764.6,343.9,1095.5,761.5,640.8,860.6,1051.7,1297.7,444.5,491.1,746.6,439.2,474.4,1218.3,510.8,1107.1,421.9,944.4,922.0,787.9,451.8,852.7,1124.6,572.1,788.5,1171.6,950.5,830.8,510.9,665.9,1203.5,230.0,300.5,1221.6,660.2,1232.6,765.8,1237.4,567.7,1149.6,247.8,496.5,1265.4,863.9,954.3,812.4,1237.0,124.5,427.8,470.8,1266.1,917.0,960.6,748.9,410.5,269.0,1219.2,901.3,879.0,1134.1,768.4,148.2,1288.5,556.2,779.8,783.2,643.6,943.7,1229.2,1168.2,709.1,873.8,1257.5,543.1
