from_stop,AA,AG,AO,AP,AS,AV,AY,BH,BL,BS,CZ,DA,DB,DI,DJ,DM,DP,DX,EG,EK,EP,EU,EW,EY,FA,FF,FP,FS,GD,GG,GJ,GK,GO,GV,GY,HO,IG,IK,IO,IQ,JD,JH,JO,JQ,JU,KC,KD,KI,KZ,LK,ML,MN,MX,MY,MZ,ND,NG,NK,NS,NY,OE,OG,OL,OT,PN,PV,QK,QQ,RC,RD,RF,RG,RH,RJ,RW,RY,RZ,SN,SP,SS,ST,SU,TG,TM,TN,TX,UB,UF,UN,UW,UX,VQ,VR,WB,WC,WD,WF,WI,WK,WT,XG,XJ,XN,XR,XY,YI,YM,YP,YT,YZ,ZA,ZD,ZG,ZN,ZO,ZQ,ZS,ZW
FS,372.0,119.2,119.2,120.3,200.1,79.3,264.5,167.1,117.9,186.4,115.8,250.2,181.0,367.0,214.0,182.9,56.7,219.3,191.8,306.2,192.4,71.8,209.4,204.9,204.7,192.7,296.3,0.0,92.0,161.5,104.5,1124.7,258.6,230.6,72.1,165.5,9.5,240.6,219.6,99.2,175.3,178.7,247.4,221.6,157.6,264.4,147.3,194.1,102.0,129.5,329.2,163.9,144.1,130.5,193.1,327.0,222.1,165.0,132.2,170.5,65.4,218.5,110.8,109.2,129.9,221.0,154.1,102.5,101.2,356.0,251.3,83.3,217.2,139.9,198.8,203.5,69.4,191.1,53.4,202.3,310.3,202.7,157.0,276.3,344.2,255.2,152.6,143.0,143.2,112.8,127.5,102.1,209.7,28.1,119.6,213.1,177.2,173.6,221.8,95.4,197.4,116.9,141.2,158.3,19.9,239.6,219.6,207.5,111.8,334.5,176.6,274.1,176.8,126.4,338.7,27.5,302.5,43.5
GD,314.6,105.2,105.2,177.9,150.7,136.9,193.8,167.8,103.3,169.4,173.4,236.2,193.9,333.3,174.9,168.9,26.4,143.9,249.4,319.1,119.2,57.8,152.0,199.7,262.3,178.7,318.0,73.4,0.0,156.4,90.5,1165.7,316.2,173.2,73.4,141.3,82.9,235.4,228.0,41.8,99.9,103.3,260.3,207.6,143.6,277.3,89.9,136.7,159.6,187.1,279.6,221.5,157.0,104.7,166.9,293.3,164.7,203.2,156.7,156.5,154.5,161.1,53.4,166.8,187.5,207.0,126.0,115.3,45.2,298.6,168.8,75.2,203.2,197.5,184.8,198.3,89.1,185.9,57.4,171.9,301.1,145.3,131.4,299.7,337.5,269.4,135.6,200.6,129.2,104.6,88.8,88.1,152.3,45.2,92.0,155.7,190.3,186.5,239.8,126.9,192.7,102.9,198.8,171.2,93.3,182.2,205.6,193.5,19.7,315.1,159.6,287.0,234.4,71.7,305.0,82.7,268.8,132.6
GG,282.2,259.1,259.1,32.9,248.9,85.1,150.6,53.2,266.7,85.3,53.8,379.2,67.1,253.1,273.1,322.8,180.3,242.1,111.3,192.3,163.3,211.7,125.8,43.2,124.2,295.5,202.5,162.9,163.3,0.0,244.4,1271.4,178.7,229.5,230.0,239.5,172.4,78.9,71.5,153.3,181.9,201.5,133.5,361.5,278.9,150.5,118.2,133.6,52.5,57.9,215.3,80.9,30.2,68.9,265.1,213.1,177.2,46.7,52.6,288.7,178.3,189.4,166.4,70.5,23.3,338.5,224.2,75.0,218.5,300.9,222.2,132.8,334.7,93.2,338.7,41.8,146.7,29.4,211.3,88.4,196.4,119.7,25.1,143.2,230.3,112.9,51.5,44.4,283.1,64.3,80.8,242.0,157.1,199.1,97.2,184.0,33.8,74.1,83.3,116.7,36.2,256.8,78.8,44.4,182.8,194.7,359.5,347.4,144.9,220.6,75.5,160.2,96.3,112.9,224.8,236.6,188.6,190.2
GJ,370.3,70.6,53.9,219.3,98.6,178.3,249.5,223.5,72.2,225.1,214.8,145.6,249.6,389.0,109.4,78.3,55.0,160.2,290.8,374.8,148.3,46.4,207.7,255.4,303.7,88.1,373.7,105.7,90.3,212.1,0.0,1096.4,357.6,228.9,88.4,60.9,115.2,291.1,283.7,97.5,129.0,109.3,316.0,117.0,53.0,333.0,145.6,192.4,201.0,228.5,335.3,262.9,212.7,160.4,92.7,349.0,220.4,264.0,212.4,73.7,125.2,192.4,109.1,208.2,228.9,116.4,106.4,171.0,99.9,354.3,193.4,116.6,112.6,238.9,94.2,254.0,130.5,241.6,69.7,227.6,356.8,201.0,187.1,355.4,393.2,325.1,191.3,242.0,55.1,160.3,144.5,72.9,208.0,77.5,147.7,211.4,246.0,242.2,295.5,168.3,248.4,12.4,240.2,226.9,125.6,237.9,115.0,102.9,110.1,370.8,215.3,342.7,275.8,127.4,360.7,95.7,324.5,114.0
GK,1507.6,1124.9,1172.7,1273.6,1238.7,1232.6,1386.8,1320.4,1212.3,1331.2,1269.1,1166.0,1334.3,1520.3,1219.9,1208.8,1192.3,1300.3,1345.1,1459.5,1288.4,1183.7,1345.0,1358.2,1358.0,1198.6,1449.6,1158.7,1212.4,1318.2,1140.0,0.0,1411.9,1366.2,1212.6,1201.0,1168.2,1393.9,1372.9,1234.8,1269.1,1249.4,1400.7,1247.5,1193.1,1417.7,1282.9,1329.7,1255.3,1282.8,1482.5,1317.2,1297.4,1249.5,1232.8,1480.3,1357.7,1318.3,1285.5,1213.8,1197.5,1332.5,1246.4,1262.5,1283.2,1189.4,1246.5,1255.8,1241.7,1491.6,1333.5,1170.9,1185.3,1293.2,1174.1,1356.8,1184.8,1344.4,1193.9,1355.6,1463.6,1338.3,1293.2,1429.6,1497.5,1408.5,1297.4,1296.3,1195.2,1266.1,1280.8,1127.2,1345.3,1168.6,1239.9,1348.7,1330.5,1326.9,1375.1,1222.6,1350.7,1152.4,1294.5,1311.6,1178.6,1375.2,1155.4,1170.5,1194.0,1487.8,1321.4,1427.4,1330.1,1245.4,1492.0,1150.0,1455.8,1186.3
GO,256.9,399.2,410.7,191.7,404.9,188.4,212.6,193.1,431.6,224.6,212.6,535.2,244.9,177.1,429.1,485.4,338.4,398.1,141.5,55.5,319.3,348.0,234.0,154.4,154.4,451.5,37.6,278.2,340.1,186.4,378.0,1377.1,0.0,277.4,352.1,395.5,287.7,172.9,128.7,329.6,337.9,357.5,74.0,524.1,434.9,83.0,287.7,266.8,211.3,171.3,190.0,132.6,169.3,245.7,421.1,187.8,262.0,165.9,208.2,444.7,281.6,345.4,324.5,156.7,182.1,494.5,380.2,210.4,376.6,251.0,378.2,257.9,490.7,148.1,472.3,135.8,244.0,138.9,333.4,243.3,96.5,280.7,201.9,63.4,139.0,61.8,215.3,203.2,433.2,220.7,235.4,382.1,249.0,308.1,278.9,340.0,153.0,139.5,95.8,220.0,133.0,390.4,128.3,154.6,259.4,279.5,493.1,496.8,321.7,157.4,232.8,47.0,126.5,271.0,199.5,306.9,116.8,303.5
GV,141.3,319.7,288.5,194.2,197.4,174.4,75.3,173.1,224.1,194.2,189.7,327.7,153.8,219.7,221.6,277.9,241.0,179.9,265.7,222.9,111.8,276.1,92.4,224.5,278.6,244.0,295.6,246.0,215.3,181.2,249.0,1363.1,279.4,0.0,201.5,188.0,255.5,260.2,242.5,236.4,130.4,150.0,217.3,316.6,227.4,213.9,76.2,85.3,175.9,203.4,106.3,237.8,181.8,152.0,213.6,161.7,40.7,228.0,181.5,237.2,267.6,137.9,249.5,183.1,203.8,287.0,172.7,140.1,225.3,160.0,160.0,215.9,283.2,213.8,307.6,223.1,229.8,210.7,220.2,139.1,187.5,99.2,156.2,279.2,223.9,294.2,160.4,216.9,264.5,129.4,113.6,306.4,61.8,245.5,180.3,132.5,215.1,211.3,264.6,206.0,217.5,236.6,215.1,186.4,265.9,24.3,328.4,289.3,228.0,201.5,143.4,244.0,250.7,196.0,156.9,283.0,155.2,273.3
GY,346.7,108.3,113.9,184.5,121.1,143.5,223.1,199.9,53.7,201.5,180.0,200.5,226.0,365.4,153.6,131.7,31.4,157.5,256.0,351.2,132.8,66.5,198.8,231.8,268.9,134.8,360.5,64.1,66.7,188.5,99.2,1174.4,322.8,205.3,0.0,122.3,73.6,267.5,260.1,73.9,101.5,114.1,295.1,197.1,96.4,309.4,122.0,168.8,166.2,193.7,311.7,228.1,189.1,145.0,136.1,325.4,196.8,229.2,196.4,120.0,131.3,188.9,85.5,190.5,194.1,159.8,84.5,164.1,38.9,330.7,182.4,94.3,155.7,185.7,147.6,229.1,108.2,218.0,10.6,204.0,310.9,180.1,163.5,340.5,369.6,301.5,167.7,213.7,108.5,136.7,116.3,86.8,184.4,35.9,124.1,180.9,222.4,218.6,271.9,146.0,224.8,94.7,225.4,203.3,84.0,214.3,168.4,156.3,86.5,322.6,191.7,319.1,242.8,103.8,337.1,73.4,300.9,109.4
HO,345.5,131.6,104.4,280.3,37.6,239.3,219.9,284.5,77.5,286.1,275.8,143.4,256.4,359.4,61.8,103.6,116.0,99.2,351.8,354.4,87.3,107.4,177.0,316.4,364.7,77.7,427.1,166.7,151.3,273.1,60.9,1157.4,418.6,219.3,114.3,0.0,176.2,352.1,344.7,158.5,68.0,48.3,348.8,142.3,39.3,345.4,158.4,187.9,262.0,289.5,321.6,323.9,273.7,221.4,53.8,319.4,197.4,325.0,273.4,62.9,186.2,131.4,170.1,269.2,289.9,102.7,72.7,232.0,161.3,329.9,132.4,177.6,98.9,299.9,119.5,315.0,191.5,302.6,130.7,224.4,327.2,201.8,248.1,416.4,363.6,386.1,252.3,303.0,80.4,221.3,205.5,133.9,177.3,138.5,208.7,159.0,307.0,303.2,356.5,229.3,309.4,48.5,301.2,271.7,186.6,214.9,140.3,105.0,171.1,341.2,246.0,375.5,336.8,188.4,331.1,156.7,294.9,175.0
IG,386.6,128.7,128.7,110.8,209.6,69.8,255.0,157.6,127.4,176.9,106.3,259.7,171.5,357.5,223.5,192.4,66.2,228.8,182.3,296.7,200.5,81.3,230.2,195.4,195.2,202.2,286.8,9.5,101.5,152.0,114.0,1134.2,249.1,238.7,81.6,175.0,0.0,231.1,210.1,108.7,184.8,188.2,237.9,231.1,167.1,254.9,155.4,202.2,92.5,120.0,319.7,154.4,134.6,121.0,202.6,317.5,230.2,155.5,122.7,180.0,74.9,226.6,120.3,99.7,120.4,230.5,163.6,93.0,110.7,364.1,259.4,73.8,226.7,130.4,208.3,194.0,59.9,181.6,62.9,192.8,300.8,211.3,147.5,266.8,334.7,245.7,143.1,133.5,152.7,103.3,118.0,111.6,217.8,37.6,110.1,221.2,167.7,164.1,212.3,85.9,187.9,126.4,131.7,148.8,10.3,247.7,229.1,217.0,121.3,325.0,167.1,264.6,167.3,116.9,329.2,37.0,293.0,53.0
IK,311.8,363.2,363.2,137.0,353.0,186.5,254.7,146.0,370.8,189.4,157.9,483.3,171.2,282.7,377.2,426.9,284.4,346.2,159.8,234.6,267.4,315.8,229.9,61.5,172.7,399.6,202.8,267.0,267.4,104.0,348.5,1375.2,179.0,333.6,334.1,343.6,276.5,0.0,99.4,257.4,286.0,305.6,163.1,465.6,383.0,180.1,222.3,237.7,156.6,162.0,244.9,129.4,122.2,173.0,369.2,242.7,281.3,92.2,156.7,392.8,279.7,293.5,270.5,154.8,127.4,442.6,328.3,179.1,322.6,330.5,326.3,236.9,438.8,146.2,442.8,42.3,250.8,65.2,315.4,192.5,240.4,223.8,129.2,143.5,259.9,113.2,155.6,148.5,387.2,168.4,184.9,346.1,261.2,303.2,201.3,288.1,79.3,92.4,83.6,218.1,99.7,360.9,124.3,107.5,286.9,298.8,463.6,451.5,249.0,250.2,179.6,215.7,144.8,217.0,254.4,340.7,218.2,294.3
IO,222.9,229.3,325.5,81.3,290.7,133.5,178.6,82.7,333.1,114.2,102.2,435.8,144.1,193.8,329.7,389.2,246.7,298.7,83.3,133.0,219.9,278.1,200.0,44.0,96.2,352.1,144.3,223.3,229.7,76.0,310.8,1322.2,120.5,243.4,288.4,296.1,232.8,109.2,0.0,219.7,242.7,255.3,74.2,426.8,335.5,91.2,174.8,180.5,100.9,106.3,156.0,52.9,58.9,149.6,321.7,153.8,224.1,84.2,113.5,345.3,226.7,258.0,232.8,136.0,71.7,395.1,285.5,138.9,259.0,241.6,278.8,199.2,391.0,104.3,405.1,72.1,189.1,57.2,277.7,165.4,137.1,163.9,89.7,85.0,171.0,54.7,104.9,92.8,349.5,130.7,137.4,298.4,204.0,272.5,163.6,233.7,71.3,29.1,25.1,165.1,41.3,323.1,88.1,44.2,204.5,241.6,425.9,409.8,211.3,161.3,122.4,104.5,70.1,179.3,165.5,303.0,129.3,248.6
IQ,303.2,113.9,113.9,158.0,177.4,139.9,182.4,156.4,130.0,158.0,153.5,244.9,182.5,321.9,201.6,177.6,35.1,170.6,229.5,307.7,123.6,66.5,140.6,188.3,242.4,187.4,306.6,82.1,23.3,145.0,99.2,1174.4,296.3,161.8,84.8,160.2,91.6,224.0,216.6,0.0,126.6,130.0,248.9,216.3,152.3,265.9,78.5,125.3,139.7,167.2,268.2,201.6,145.6,93.3,187.8,281.9,153.3,191.8,145.3,165.2,177.9,149.7,42.0,146.9,167.6,215.7,152.7,103.9,73.3,287.2,182.5,98.6,211.9,177.6,193.5,186.9,112.5,174.5,66.1,160.5,289.7,133.9,120.0,288.3,326.1,258.0,124.2,180.7,137.9,93.2,77.4,96.8,140.9,53.9,50.1,144.3,178.9,175.1,228.4,139.0,181.3,111.6,178.9,159.8,102.0,170.8,214.3,202.2,43.1,303.7,148.2,275.6,214.5,60.3,293.6,91.4,257.4,156.0
JD,281.7,195.2,153.8,212.6,47.9,218.4,153.3,211.9,89.4,212.6,208.1,193.0,188.4,290.3,86.9,143.2,106.3,52.5,284.1,290.6,23.5,141.4,104.0,242.9,297.0,109.3,363.3,139.0,92.9,199.6,114.3,1210.8,347.1,155.5,74.8,53.3,148.5,278.6,271.2,118.1,0.0,12.5,285.0,208.6,92.7,281.6,94.6,124.1,194.3,219.9,257.8,256.2,200.2,189.2,78.9,255.6,133.6,246.4,199.9,102.5,239.6,67.3,129.7,201.5,235.4,152.3,42.7,161.0,113.8,266.1,80.8,169.2,148.2,232.2,172.9,240.2,183.1,229.1,85.5,160.6,241.1,140.7,176.3,346.9,299.8,312.6,178.8,250.0,129.8,147.8,127.4,161.7,113.5,117.8,186.5,88.3,233.5,229.7,283.0,220.9,235.9,102.0,233.5,207.9,158.9,151.1,193.7,158.2,112.7,277.4,182.2,315.3,270.9,148.0,267.3,148.3,231.1,228.4
JH,294.3,172.4,141.2,246.8,35.3,205.8,168.7,224.5,76.8,225.2,242.3,180.4,201.0,302.9,74.3,130.6,93.7,44.6,318.3,303.2,36.1,128.8,140.5,255.5,331.2,96.7,375.9,126.4,105.5,212.2,101.7,1198.2,359.7,168.1,62.2,40.7,135.9,291.2,283.8,136.2,12.5,0.0,297.6,196.0,80.1,294.2,107.2,136.7,228.5,256.0,270.4,290.4,212.8,207.3,66.3,268.2,146.2,259.0,212.5,89.9,227.0,79.9,147.8,235.7,256.4,139.7,30.1,168.6,101.2,278.7,72.9,156.6,135.6,266.4,160.3,252.8,170.5,241.7,72.9,173.2,276.0,153.3,187.2,359.5,312.4,325.2,191.4,269.5,117.2,160.4,140.0,149.1,126.1,98.2,204.6,100.9,246.1,242.3,295.6,208.3,248.5,89.4,267.7,220.5,146.3,163.7,181.1,142.0,125.3,290.0,194.8,324.3,305.1,166.1,279.9,135.7,243.7,215.8
JO,198.1,258.7,361.8,117.6,331.3,169.8,151.0,122.3,369.4,150.5,138.5,476.4,199.4,136.2,370.3,425.5,283.0,335.9,138.0,63.3,260.5,314.4,185.0,80.3,150.9,392.7,83.4,259.6,266.0,112.3,347.1,1358.5,85.5,218.6,328.0,336.7,269.1,145.5,57.9,256.0,283.3,295.9,0.0,457.3,376.1,55.1,211.1,208.0,137.2,144.5,145.6,107.6,98.5,185.9,362.3,129.0,203.2,120.5,149.8,385.9,266.3,306.6,272.4,172.3,108.0,435.7,329.4,180.2,295.3,200.3,322.7,235.5,434.8,159.5,441.4,107.1,225.4,93.5,314.0,184.5,81.5,200.2,126.0,67.0,121.2,99.3,141.2,122.6,385.8,167.0,178.3,338.0,193.5,308.8,187.2,274.3,107.6,65.4,83.1,201.4,96.0,359.4,135.1,80.5,240.8,224.0,462.2,441.6,247.6,96.0,158.7,30.2,128.1,218.9,140.7,339.3,89.6,284.9
JQ,472.1,212.6,132.5,355.3,140.5,314.3,345.4,360.6,135.6,361.1,350.8,184.3,385.6,484.9,130.1,38.6,192.1,224.7,361.1,479.9,213.9,199.7,302.5,391.4,439.7,72.5,509.7,241.7,227.4,348.1,137.0,1173.7,493.6,345.9,220.6,142.3,251.2,427.1,388.9,234.6,226.6,176.6,452.0,0.0,120.9,469.0,282.7,314.5,337.0,364.5,448.2,333.2,313.4,304.6,127.9,446.0,324.0,400.0,348.4,107.1,213.5,256.9,245.1,344.2,364.9,118.0,165.0,305.6,229.2,456.5,249.6,186.9,116.0,374.9,96.6,390.0,200.8,377.6,202.0,371.6,452.7,357.0,323.1,491.4,513.5,424.5,327.3,378.0,108.5,296.3,280.5,200.6,340.2,213.5,283.7,277.6,382.0,378.2,391.1,304.3,384.4,123.5,377.3,362.9,261.6,340.4,117.4,104.2,210.0,466.7,351.3,478.7,347.9,264.5,457.7,231.7,421.5,250.0
JU,374.9,133.7,74.8,282.4,52.2,241.4,249.3,286.6,65.9,288.2,277.9,104.0,281.6,388.8,57.1,72.2,118.1,128.6,353.9,383.8,116.7,109.5,197.2,318.5,366.8,38.3,436.8,168.8,153.4,275.2,63.0,1159.5,420.7,248.7,106.4,29.3,178.3,354.2,346.8,160.6,93.1,80.5,378.2,137.6,0.0,374.8,208.7,217.3,264.1,289.7,351.0,326.0,275.8,231.7,39.6,348.8,226.8,327.1,275.5,23.5,188.3,160.5,172.2,288.4,292.0,63.3,51.4,234.1,136.9,359.3,161.8,179.7,59.2,283.6,97.7,315.8,193.6,304.7,117.1,253.8,356.6,233.9,250.2,418.5,393.0,388.2,254.4,305.1,50.8,223.4,203.0,127.7,206.7,147.6,210.8,181.5,309.1,305.3,358.6,231.4,311.5,50.6,323.3,290.0,188.7,244.3,107.6,65.6,173.2,370.6,278.4,408.5,340.7,190.5,360.5,158.8,324.3,177.1
KC,200.4,380.1,380.1,135.9,344.0,188.1,151.7,137.3,370.7,168.8,156.8,474.3,217.8,126.7,368.2,424.5,301.3,337.2,156.3,45.0,258.4,332.7,173.1,98.6,169.2,390.6,106.0,277.9,284.3,130.6,365.4,1376.8,92.4,222.3,348.1,334.6,287.4,163.8,72.9,274.3,277.0,296.6,47.7,463.2,374.0,0.0,226.8,205.9,155.5,160.9,133.5,125.9,113.5,189.9,360.2,131.3,201.1,138.8,168.1,383.8,281.3,284.5,287.4,173.5,126.3,433.6,319.3,196.0,339.5,185.5,317.3,253.8,429.8,196.2,454.2,126.7,243.7,111.8,332.3,182.4,54.5,219.8,146.1,89.6,106.4,124.6,159.5,147.4,404.1,185.3,192.0,363.0,188.1,320.1,218.2,279.1,125.9,83.7,98.1,219.7,114.3,377.8,170.9,98.8,259.1,218.6,475.0,435.9,265.9,96.7,177.0,67.2,141.3,233.9,143.0,357.6,74.8,303.2
KD,224.6,252.9,221.7,117.9,130.6,98.1,108.9,116.3,157.3,117.9,113.4,260.9,104.2,248.4,154.8,211.1,174.2,123.8,189.4,243.4,45.0,209.3,62.0,148.2,202.3,177.2,266.5,169.7,148.5,104.9,182.2,1286.8,256.2,83.2,134.7,121.2,179.2,183.9,176.5,173.7,63.6,83.2,208.8,249.8,160.6,234.4,0.0,41.0,99.6,127.1,189.6,161.5,105.5,75.7,146.8,208.4,84.6,151.7,105.2,170.4,191.3,71.1,185.3,106.8,127.5,220.2,105.9,63.8,158.5,208.6,103.9,139.6,216.4,137.5,240.8,146.8,153.5,134.4,153.4,76.2,216.2,49.6,79.9,248.2,252.6,217.9,84.1,140.6,197.7,53.1,37.3,239.6,64.5,178.7,104.0,65.7,138.8,135.0,188.3,129.7,141.2,169.8,138.8,119.7,189.6,102.1,261.6,222.5,151.7,230.2,93.8,235.5,174.4,119.7,220.1,216.2,183.9,197.0
KI,237.2,292.4,261.2,129.9,170.1,150.1,84.0,87.7,196.8,109.3,132.5,300.4,68.4,223.5,194.3,250.6,213.7,163.3,231.8,218.5,84.5,248.8,41.1,166.2,244.7,216.7,262.4,246.4,188.0,122.9,221.7,1338.8,275.0,95.8,174.2,160.7,255.9,201.9,168.8,213.2,103.1,122.7,212.9,289.3,200.1,209.5,52.9,0.0,151.6,166.5,185.7,203.9,119.1,139.5,186.3,183.5,43.5,169.7,105.2,209.9,243.3,110.6,224.8,149.2,131.9,259.7,145.4,115.8,198.0,255.9,143.4,203.4,255.9,179.9,280.3,164.8,217.3,152.4,192.9,58.4,191.3,13.8,97.9,246.0,227.7,235.9,82.0,153.0,237.2,105.1,89.3,279.1,23.4,218.2,167.8,105.2,156.8,130.9,206.3,181.7,159.2,209.3,181.2,104.4,266.3,61.0,301.1,262.0,207.8,205.3,58.0,239.6,216.8,183.5,195.2,255.7,159.0,260.8
KZ,294.0,276.1,276.1,18.2,247.6,32.5,162.4,65.0,283.7,84.3,37.4,367.8,78.9,264.9,271.8,300.5,197.3,240.8,113.4,204.1,162.0,192.1,137.6,102.7,126.3,294.2,203.0,122.3,180.3,59.4,222.1,1221.2,180.2,227.2,196.2,238.2,131.8,138.4,109.4,170.3,180.6,200.2,145.3,339.2,275.2,162.3,116.9,132.6,0.0,51.1,227.1,85.5,42.0,85.9,263.8,224.9,176.2,86.6,30.1,287.4,125.7,188.1,183.4,30.8,27.8,337.2,222.9,54.5,235.5,312.7,220.9,102.0,333.4,61.5,316.4,101.3,88.1,88.9,177.5,100.2,208.2,118.7,54.9,197.9,242.1,176.8,50.5,64.6,300.1,81.3,79.5,259.0,156.1,152.2,114.2,182.7,98.8,71.5,134.6,64.1,95.7,234.5,62.8,56.2,103.5,193.7,337.2,325.1,161.9,232.4,74.5,172.0,98.4,129.9,236.6,253.6,200.4,147.6
LK,310.7,150.8,284.2,52.2,260.3,61.9,176.3,81.7,271.4,113.2,73.1,395.3,99.8,276.3,299.3,329.9,226.8,266.8,85.2,209.5,191.4,219.6,164.1,100.2,100.0,323.6,191.6,151.7,209.8,95.5,251.5,1250.6,153.9,243.9,215.7,267.6,161.2,135.9,113.0,199.8,212.3,224.9,164.7,349.4,304.6,179.0,146.3,174.1,71.8,0.0,243.8,57.3,58.7,121.4,293.2,241.6,216.6,60.3,84.4,316.8,153.2,237.5,196.1,34.8,42.6,366.6,257.0,81.3,239.1,329.4,248.4,129.5,365.7,16.8,345.8,97.5,115.6,86.4,206.9,116.9,227.1,157.5,69.8,171.6,258.8,148.6,98.0,20.0,306.7,94.2,113.5,243.7,196.5,174.6,131.0,203.3,72.5,88.2,115.2,93.5,90.8,263.8,43.3,72.9,132.9,234.1,366.6,350.5,193.3,236.1,121.4,197.9,73.9,142.6,253.3,180.4,217.1,177.0
ML,66.8,330.8,377.3,207.5,271.4,259.7,96.1,208.9,312.9,240.4,228.4,416.5,210.2,113.3,310.4,366.7,329.8,268.7,227.9,124.9,200.6,364.9,156.9,170.2,240.8,332.8,197.6,334.8,304.1,202.2,337.8,1448.4,181.4,88.7,298.3,276.8,344.3,235.4,144.5,325.2,223.4,236.0,122.0,432.1,316.2,115.9,165.0,174.1,227.1,232.5,0.0,197.5,185.1,255.1,302.4,55.3,129.5,210.4,239.7,326.0,352.9,226.4,338.3,245.1,197.9,375.8,266.2,226.4,314.1,85.5,248.8,304.7,371.7,249.4,396.4,197.0,318.6,183.4,309.0,156.4,81.1,190.7,217.7,181.2,117.5,199.3,231.1,219.0,353.3,218.2,202.4,385.2,150.6,341.3,256.4,214.4,197.5,155.3,169.7,291.3,185.9,325.5,225.0,170.4,354.7,113.1,417.2,378.1,316.8,67.8,232.2,146.0,214.7,284.8,50.5,371.8,48.8,374.8
MN,278.6,328.2,328.2,102.0,303.2,95.2,216.9,122.3,335.8,154.4,90.2,448.3,136.2,249.5,342.2,391.9,249.4,307.8,30.3,170.7,232.4,280.8,194.9,91.7,43.2,364.6,152.8,185.0,232.4,69.0,313.5,1283.9,115.1,298.6,291.1,308.6,194.5,111.9,55.6,222.4,255.2,267.8,129.9,429.5,348.0,146.9,187.3,202.7,121.6,76.2,211.7,0.0,99.3,152.3,334.2,209.5,246.3,75.2,121.7,357.8,188.4,258.2,235.5,68.1,92.4,407.6,298.0,141.6,261.7,297.3,291.3,164.7,403.8,51.3,407.8,73.5,150.8,77.9,280.4,157.5,192.8,186.1,92.4,117.7,226.7,87.4,120.6,113.5,352.2,133.4,154.5,301.1,226.2,214.9,153.6,246.2,62.3,84.8,57.8,126.8,33.4,325.8,34.3,99.9,166.2,263.8,428.6,416.5,214.0,204.0,144.6,162.2,17.1,182.0,221.2,305.7,185.0,210.3
MX,251.9,160.3,266.5,22.3,230.9,74.5,120.3,22.9,272.4,54.4,43.2,376.0,41.0,217.5,269.9,326.2,187.7,235.5,128.4,162.0,160.1,219.1,97.0,60.3,141.3,292.3,160.9,164.3,170.7,17.0,251.8,1263.2,195.8,185.1,229.4,236.3,173.8,96.0,67.3,160.7,182.9,195.5,105.9,363.8,275.7,120.2,115.0,115.3,41.9,49.2,185.0,106.6,0.0,90.6,261.9,182.8,157.8,63.8,68.3,285.5,167.7,185.9,173.8,59.9,12.7,335.3,225.7,89.6,200.0,270.6,219.0,140.2,331.2,64.2,346.1,57.6,130.1,46.5,218.7,58.1,168.3,98.7,32.5,144.5,200.0,130.0,45.1,33.8,290.5,78.9,82.2,239.4,137.7,213.5,104.6,173.9,50.9,29.4,100.4,106.1,53.3,264.2,90.7,14.1,145.5,175.3,366.9,337.6,152.3,177.3,62.6,129.9,115.2,120.3,194.5,244.0,158.3,189.6
MY,297.3,107.7,207.9,92.6,188.5,51.6,176.5,83.9,215.5,85.5,88.1,333.6,110.0,296.0,227.5,271.6,129.1,193.1,164.1,235.2,117.7,160.5,133.2,115.8,177.0,249.9,234.1,111.7,112.1,72.5,193.2,1220.2,230.9,155.9,170.8,193.9,121.2,151.5,144.1,102.1,140.5,153.1,176.4,337.0,233.3,193.4,72.6,133.8,74.3,99.9,258.2,136.2,73.1,0.0,219.5,256.0,147.4,119.3,72.8,243.1,144.9,163.8,115.2,98.6,86.2,292.9,183.3,46.9,141.4,281.3,176.6,81.6,289.1,112.2,287.5,113.1,95.5,102.0,160.1,131.3,241.5,117.2,49.2,215.8,273.2,185.5,51.7,115.3,231.9,38.7,35.2,180.8,135.0,147.9,33.3,131.5,106.4,102.6,155.9,91.5,108.8,205.6,133.5,87.3,131.6,164.9,308.3,292.2,93.7,263.5,75.7,203.1,150.9,61.7,267.7,185.4,231.5,139.0
MZ,369.8,164.4,74.8,313.1,15.0,272.1,244.2,313.1,95.9,314.7,308.6,122.0,280.7,383.7,62.9,90.2,144.6,123.5,384.6,378.7,111.6,136.0,201.3,345.0,397.5,56.3,451.4,195.3,179.9,301.7,93.7,1186.1,451.4,243.6,129.1,60.0,204.8,380.7,373.3,187.1,92.3,72.6,373.1,128.9,30.6,369.7,182.7,212.2,294.8,322.3,345.9,356.7,302.3,250.0,0.0,343.7,221.7,357.8,302.0,23.5,219.0,155.7,198.7,302.0,322.7,81.3,87.5,260.6,176.1,354.2,148.4,210.4,77.5,332.7,107.9,343.6,224.3,331.2,147.8,248.7,351.5,226.1,276.7,445.0,387.9,414.7,280.9,335.8,50.8,249.9,234.1,164.2,201.6,167.1,237.3,183.3,335.6,331.8,385.1,262.1,338.0,81.3,334.0,296.0,215.2,239.2,125.6,83.6,199.7,365.5,270.3,399.8,369.6,217.0,355.4,189.5,319.2,207.8
