from_stop,AJ,AP,AS,AW,AY,BG,BJ,BN,BV,BX,BY,CR,CS,CZ,DM,DW,EG,EJ,EO,HA,HO,IC,IE,IM,IO,IQ,IR,IV,JF,JK,JQ,JR,JX,KA,KN,LB,LC,LD,LE,LG,LH,LL,LQ,LR,LS,LY,MT,MV,NK,NN,NQ,NV,NX,NY,OC,OK,ON,OP,OY,PA,PI,PP,PT,QC,QD,QL,QQ,QR,QT,QU,RB,RM,RO,RR,RW,RX,SF,SO,SQ,SR,SV,TA,TD,TH,TX,UF,UH,UL,UP,UX,UZ,VB,VE,VF,VK,VO,VU,VY,WC,WG,WP,WX,XB,XL,XM,XW,YD,YE,YI,YR,YS,YW,ZB,ZK,ZM,ZO,ZQ
JF,124.5,299.0,290.1,138.4,49.4,124.2,101.3,282.4,63.4,92.6,205.9,197.7,180.1,304.7,310.0,132.3,56.6,136.0,258.1,97.5,128.4,281.4,156.1,217.1,108.8,121.1,108.2,48.3,0.0,65.1,267.1,88.4,155.4,206.7,11.1,169.2,157.0,204.4,288.4,278.2,199.0,218.2,305.6,185.2,76.9,180.5,242.9,150.0,73.3,124.5,245.8,54.0,77.6,221.9,316.5,229.0,296.6,166.5,272.9,48.8,271.8,142.1,202.9,142.0,145.2,230.5,88.3,230.1,61.9,111.8,149.4,74.2,95.3,62.4,244.9,221.4,228.3,232.0,32.3,274.0,110.4,210.8,243.5,75.9,188.1,72.3,194.4,93.9,280.2,164.0,98.3,216.9,171.2,186.2,262.0,71.8,61.0,258.1,293.1,22.9,1098.6,105.1,262.7,181.3,114.1,245.5,136.0,202.5,130.2,207.7,76.9,48.3,61.8,59.1,105.2,78.4,61.2
JK,150.8,336.5,327.6,164.7,41.0,74.2,103.7,294.3,86.2,137.4,213.2,223.0,204.4,326.8,347.5,174.4,121.8,138.4,284.4,47.5,129.7,318.9,180.4,261.9,128.1,140.4,153.0,68.6,65.1,0.0,279.0,90.8,200.2,229.5,76.3,195.5,179.1,251.8,310.5,320.7,223.3,263.0,343.1,211.5,142.1,187.8,280.4,156.3,44.5,126.9,293.2,46.7,119.7,242.9,354.0,282.0,322.9,176.3,310.4,21.1,297.1,161.4,240.4,186.8,171.5,254.8,114.6,283.1,106.7,158.4,175.7,72.6,96.6,50.3,256.8,263.9,270.8,276.8,32.8,300.3,112.8,248.3,288.3,95.2,240.2,114.4,236.5,113.2,330.5,186.1,143.1,241.2,195.5,212.5,285.3,116.6,80.3,308.4,314.1,88.1,1076.8,170.3,289.0,207.6,158.9,298.5,180.8,226.8,195.4,232.0,11.7,71.4,28.6,60.4,124.5,101.3,84.1
JQ,178.4,223.1,210.3,140.4,245.5,294.2,369.5,64.5,255.3,204.1,56.3,77.0,99.9,52.4,243.7,248.8,201.3,404.2,140.4,267.5,151.0,201.6,130.4,161.6,238.9,149.7,188.5,272.9,268.1,286.5,0.0,356.6,155.8,78.1,256.9,138.3,111.0,156.4,57.6,274.6,82.8,188.3,225.8,149.8,191.1,91.1,163.1,122.6,311.0,341.6,127.9,313.2,256.9,56.9,243.2,108.0,89.7,102.6,193.1,258.4,101.4,128.7,166.8,154.7,132.6,86.3,182.2,121.4,234.8,146.2,147.2,309.6,190.3,291.2,27.0,265.1,215.8,154.9,300.5,124.5,378.6,174.7,215.7,192.8,149.4,268.0,168.1,176.1,212.3,104.0,198.4,126.9,118.5,148.7,55.5,224.9,204.0,231.4,52.0,245.1,1343.3,161.3,73.6,126.2,182.6,128.3,160.7,93.8,141.4,108.1,298.4,303.7,257.9,226.6,165.6,281.6,298.8
JR,209.8,384.3,375.4,223.7,127.9,126.6,34.1,367.7,124.2,175.4,291.2,283.0,265.4,390.0,395.3,212.4,141.9,47.5,343.4,99.9,213.7,366.7,241.4,299.9,194.1,206.4,191.0,106.6,85.2,87.6,352.4,0.0,238.2,292.0,96.4,254.5,242.3,289.7,373.7,358.7,284.3,301.0,390.9,238.3,162.2,265.8,328.2,235.3,52.3,37.3,331.1,36.5,157.7,307.2,401.8,314.3,381.9,251.8,358.2,90.0,285.3,227.4,288.2,224.8,230.5,315.8,173.6,315.4,144.7,197.1,234.7,110.6,180.6,88.3,330.2,301.9,308.8,314.8,52.8,359.3,43.2,296.1,326.3,161.2,273.4,152.4,274.5,179.2,365.5,249.3,181.1,302.2,256.5,239.3,347.3,154.6,146.3,343.4,378.4,108.2,1121.0,190.4,315.8,266.6,196.9,330.8,218.8,287.8,215.5,293.0,82.1,109.5,115.5,144.4,190.5,139.3,122.1
JX,185.8,153.2,147.0,169.6,178.6,270.4,265.5,181.9,125.1,73.9,100.8,101.8,124.7,194.0,173.4,127.1,135.2,300.2,236.2,243.7,119.0,138.3,132.6,55.7,179.4,145.0,58.3,140.2,166.6,211.7,166.6,252.6,0.0,69.0,155.4,193.0,106.3,40.3,167.1,131.8,140.0,51.5,155.5,224.4,114.9,84.6,92.8,90.6,237.5,288.7,81.7,218.2,135.2,126.0,179.0,91.3,207.1,70.6,116.3,195.4,176.0,124.0,54.6,24.5,161.8,158.8,140.3,92.4,104.6,88.3,189.5,187.9,159.4,161.0,144.4,140.9,103.6,65.3,196.9,241.9,274.6,62.5,76.8,163.4,26.4,146.3,55.9,146.7,129.7,99.3,68.2,201.5,147.7,223.3,172.9,94.7,174.6,106.3,173.6,146.6,1212.6,81.5,203.7,180.9,52.4,102.1,30.5,166.0,61.6,180.6,223.5,164.9,191.0,157.7,160.9,156.2,177.1
KA,185.9,174.5,168.9,169.7,185.4,267.9,313.0,112.8,195.2,144.0,31.7,81.5,104.4,151.8,188.8,205.6,154.9,347.7,188.7,241.2,90.9,160.2,131.9,125.3,204.9,123.4,128.4,210.3,211.6,226.5,97.5,300.1,84.5,0.0,200.4,186.6,84.7,97.8,113.1,199.2,117.5,126.4,184.4,198.1,134.6,31.0,121.7,62.5,271.1,336.2,86.5,265.7,194.6,61.4,195.3,52.4,150.2,42.5,151.7,228.2,149.6,102.4,106.7,94.6,161.9,134.6,161.4,53.5,174.7,90.7,189.6,242.6,131.3,231.1,75.3,194.4,155.7,113.5,244.0,172.8,322.1,114.6,151.7,166.5,81.5,200.3,108.0,149.8,184.0,77.7,138.3,175.2,147.8,197.0,103.8,164.8,177.7,161.9,132.6,188.6,1282.3,106.4,165.4,174.5,122.5,68.9,100.6,142.1,81.3,156.4,238.3,235.0,197.8,166.5,139.3,213.9,231.1
KN,96.3,284.9,278.9,127.0,38.2,135.4,112.5,271.2,54.1,81.4,194.7,186.5,168.9,261.0,312.1,120.9,45.4,147.2,246.9,108.7,117.2,270.2,147.9,211.2,105.3,109.9,95.4,57.0,11.1,76.3,255.7,99.6,155.4,195.5,0.0,158.0,145.8,193.2,288.4,287.3,187.8,207.0,294.4,174.6,65.7,169.3,231.7,138.8,84.5,135.7,234.6,65.4,71.1,210.7,311.8,214.0,296.4,155.3,256.4,60.0,260.7,130.9,191.7,130.8,133.8,219.3,77.1,218.9,50.7,100.4,144.6,84.7,84.1,73.6,233.7,210.0,217.1,220.8,43.7,262.8,121.6,199.4,232.3,64.7,179.2,61.1,183.0,82.7,279.7,149.7,87.1,205.5,160.0,174.8,250.8,60.6,49.8,256.3,281.9,11.7,1109.8,99.1,252.0,170.1,102.2,229.2,124.8,191.3,119.0,196.5,88.1,59.7,50.6,47.7,94.0,67.8,72.4
LB,62.5,333.5,311.4,76.4,153.8,212.2,272.9,114.0,172.0,129.5,166.3,128.7,105.8,136.0,331.3,156.0,108.5,307.6,110.4,192.7,130.6,302.7,101.8,246.3,118.8,100.4,145.1,187.1,171.5,194.9,139.2,260.0,184.6,188.1,160.3,0.0,109.9,234.5,147.4,290.3,98.9,245.7,326.9,80.5,128.8,162.0,264.2,130.5,229.0,296.1,249.3,225.6,169.5,148.8,337.8,233.2,143.6,150.5,294.2,183.6,104.9,115.1,224.2,171.2,83.2,53.2,71.8,241.7,151.5,114.6,60.7,217.5,97.5,207.9,123.1,233.5,240.4,261.2,203.9,121.0,282.0,232.1,272.7,118.0,218.2,175.2,224.1,101.3,301.5,116.9,135.2,57.6,91.1,79.4,84.7,141.6,129.2,279.4,115.8,148.5,1257.2,135.2,156.0,12.1,151.0,249.7,165.2,74.8,160.3,30.4,206.7,211.8,166.2,134.9,84.5,188.8,206.0
LC,102.7,210.7,204.5,86.5,136.5,183.1,258.4,125.3,167.1,111.2,62.5,53.5,73.5,145.8,237.9,137.7,90.2,293.1,181.1,156.4,53.3,195.8,49.5,162.1,120.1,38.6,89.4,184.7,157.0,175.4,110.0,245.5,106.3,84.3,145.8,109.9,0.0,136.8,146.4,225.4,91.7,138.8,220.0,132.5,80.0,65.1,157.3,51.0,199.9,230.5,147.1,202.1,145.8,73.9,237.4,131.0,150.5,71.0,187.3,147.3,127.7,17.6,117.3,91.7,78.7,110.5,76.6,137.9,133.2,35.1,106.4,198.5,79.2,203.0,87.8,154.0,160.9,171.7,189.4,185.3,267.5,125.2,166.2,81.7,120.5,156.9,118.6,65.0,194.6,3.8,99.3,110.3,64.6,132.1,116.3,123.3,92.9,181.9,145.1,134.0,1232.2,60.9,167.0,97.8,83.5,147.5,85.7,95.9,80.8,101.1,189.4,192.6,148.9,126.2,54.5,170.5,187.7
LD,227.3,149.0,141.9,211.1,219.0,310.8,305.8,179.4,165.5,114.3,98.3,132.3,155.2,179.1,154.8,167.5,147.7,340.5,255.3,284.1,149.5,133.2,174.1,45.3,219.8,175.5,98.7,180.6,204.4,252.1,140.3,292.9,51.5,66.5,193.2,234.5,136.8,0.0,123.3,119.2,170.5,46.4,150.4,253.6,127.4,97.6,87.7,121.1,277.8,329.0,41.3,258.5,168.8,128.0,167.4,80.6,216.8,101.1,117.7,235.8,205.1,154.5,95.0,64.9,203.3,189.3,180.7,70.2,145.0,129.8,231.0,216.8,189.9,201.4,141.9,165.3,126.6,60.2,236.8,239.4,314.9,72.6,71.7,218.6,26.2,174.5,55.8,201.9,113.9,129.8,108.6,230.7,189.2,252.5,170.4,135.1,229.8,91.8,144.9,181.4,1253.0,99.2,175.6,222.4,92.8,97.1,70.9,196.5,74.1,211.1,263.9,205.3,231.4,198.1,191.4,188.1,205.3
LE,172.4,215.7,221.9,174.1,286.0,320.0,399.0,64.5,291.2,249.9,96.8,117.5,140.4,45.3,242.7,276.4,228.9,433.7,136.1,308.0,191.5,200.6,162.9,160.6,246.9,190.2,224.4,306.3,297.6,327.0,59.4,386.1,187.2,118.6,286.2,120.3,151.5,155.4,0.0,266.1,123.3,193.3,224.8,133.7,220.6,131.6,162.1,163.1,336.8,367.4,126.9,339.0,284.5,97.4,235.7,107.0,89.7,143.1,192.1,298.9,85.9,169.2,202.7,190.6,166.3,68.3,192.2,120.4,270.7,175.7,160.4,337.2,217.9,327.1,53.6,294.6,246.0,153.9,330.0,120.2,408.1,192.0,218.6,233.3,148.4,295.6,202.7,216.6,211.3,144.5,234.3,111.5,152.2,133.3,37.5,260.8,244.5,248.1,6.5,274.6,1369.1,196.5,56.4,108.2,218.5,121.6,196.6,121.3,176.6,90.1,336.3,344.2,298.4,267.1,204.9,305.5,326.4
LG,270.4,126.7,113.3,288.5,282.3,372.9,369.2,260.1,228.8,177.6,179.0,198.7,221.6,272.2,134.8,200.6,212.9,403.9,333.1,346.2,197.5,104.6,224.3,128.7,298.0,228.4,163.6,259.2,269.6,315.4,244.8,356.3,118.9,147.2,258.2,281.7,218.5,118.5,260.6,0.0,236.9,63.2,133.6,304.3,192.6,178.3,99.7,187.5,341.2,392.4,175.2,337.2,206.0,208.7,105.3,165.7,300.6,167.5,124.4,299.1,272.9,207.4,74.1,128.2,280.7,271.0,251.2,170.6,208.3,177.0,272.2,258.7,237.9,264.7,222.6,172.6,54.0,118.7,315.9,320.1,378.3,64.6,38.9,271.5,104.6,201.8,98.4,272.9,96.0,199.3,171.9,312.3,236.4,334.1,251.1,213.7,282.7,72.6,251.8,272.8,1136.0,174.7,281.9,269.6,156.8,180.9,134.2,262.9,154.8,272.9,342.5,270.3,294.7,283.9,244.3,211.7,232.6
LH,73.7,244.8,238.6,57.5,189.8,243.1,300.4,98.1,198.2,158.8,96.3,72.0,68.3,167.4,272.0,185.3,137.8,335.1,155.8,216.4,95.3,229.9,64.3,196.2,155.8,98.6,131.4,213.3,199.0,230.9,82.8,287.5,140.4,118.1,187.8,98.9,72.4,170.9,124.4,259.5,0.0,172.9,254.1,122.1,122.0,99.2,191.4,93.0,259.9,323.6,195.6,253.1,193.4,76.2,265.0,170.6,123.3,105.2,214.9,207.3,95.6,77.6,151.4,133.7,49.7,78.4,101.1,171.7,177.7,77.1,89.4,246.1,126.8,234.1,60.6,196.0,202.9,205.8,231.4,158.1,309.5,159.3,200.3,141.7,154.6,204.5,152.7,125.0,228.7,76.3,141.3,99.3,35.6,121.1,89.1,167.8,152.9,216.0,117.9,176.0,1286.5,97.7,156.5,86.8,125.5,181.4,127.7,84.9,122.8,90.1,242.7,247.4,202.2,170.9,113.8,218.1,235.3
LL,228.5,106.2,95.4,212.3,219.0,310.8,305.9,196.8,165.5,114.3,115.7,142.2,165.1,222.4,108.3,137.3,165.1,340.6,272.7,284.1,151.5,86.7,175.3,40.5,227.0,182.4,98.7,180.6,207.0,252.1,181.5,293.0,51.5,83.9,195.8,235.7,146.7,55.2,166.6,72.7,180.4,0.0,103.9,259.0,144.8,115.0,41.2,131.0,277.9,329.1,96.6,258.6,132.8,145.4,120.9,106.2,234.2,111.0,71.2,235.8,216.3,161.4,35.6,64.9,204.5,199.2,187.9,107.3,145.0,131.0,232.2,180.8,191.9,201.4,159.3,118.8,80.1,55.4,237.3,256.8,315.0,26.1,25.2,211.0,43.6,138.5,19.8,194.3,67.4,139.7,108.6,236.1,190.4,257.9,187.8,135.1,222.2,45.3,188.2,194.2,1220.5,116.6,218.9,223.6,92.8,122.7,70.9,206.4,91.5,221.0,263.9,191.7,231.4,205.3,198.3,152.1,169.3
LQ,309.9,63.0,73.8,293.7,305.7,408.3,405.7,267.1,252.2,201.0,198.5,210.9,233.8,252.8,79.5,236.7,248.3,440.4,332.6,381.6,232.9,82.5,256.7,126.9,326.4,263.8,185.4,267.3,305.0,351.5,217.6,392.8,153.3,185.7,293.8,317.1,215.4,145.1,200.6,124.6,249.1,101.7,0.0,340.4,228.0,193.7,51.9,199.7,377.7,428.9,118.1,358.4,232.2,229.9,34.7,132.9,294.1,179.7,22.7,335.2,278.8,242.8,94.6,151.6,285.9,267.9,287.3,147.5,231.7,212.4,313.6,280.2,273.3,288.1,243.5,177.8,139.1,108.2,336.7,316.7,414.8,85.1,102.2,306.9,145.4,237.9,121.6,290.2,101.8,208.4,195.3,317.5,271.8,339.3,253.3,221.8,318.1,122.3,222.2,282.0,1252.0,195.8,249.3,305.0,179.5,116.4,157.6,275.1,170.7,289.7,363.3,291.1,318.1,304.7,279.7,251.5,268.7
LR,65.4,309.8,322.6,79.9,156.7,185.6,275.8,88.8,174.9,132.4,204.6,172.2,149.3,102.7,355.9,158.9,111.4,310.5,76.2,192.7,133.5,313.9,121.4,262.1,121.7,103.3,148.0,192.4,174.4,212.5,136.5,262.9,206.4,226.4,163.2,61.5,142.6,246.8,134.7,323.2,132.8,258.0,338.1,0.0,131.7,191.6,275.4,160.1,202.4,233.0,239.8,204.6,166.9,192.3,349.0,224.2,86.9,180.1,300.1,186.5,46.8,124.3,235.4,181.7,86.1,114.7,74.7,233.8,154.3,162.2,63.6,220.3,100.4,210.8,120.9,267.0,273.3,271.8,220.9,86.8,284.9,243.9,283.3,120.9,235.2,178.1,239.6,104.1,325.5,149.0,138.1,21.1,98.2,0.9,146.3,144.4,132.1,312.8,128.2,151.3,1234.7,159.9,77.3,73.6,153.8,235.1,175.8,119.1,185.0,92.0,201.8,214.7,169.1,137.7,87.4,191.7,208.9
LS,101.8,222.0,213.1,116.1,106.9,201.2,178.3,205.4,102.8,52.9,128.9,120.7,103.1,227.7,233.0,79.4,20.2,213.0,210.7,174.5,55.3,204.4,79.1,154.9,104.7,86.2,68.5,120.4,76.9,142.1,190.1,165.4,95.5,129.7,65.7,139.5,80.0,127.4,211.4,201.2,122.0,147.4,228.6,162.8,0.0,103.5,165.9,73.0,150.3,201.5,168.8,131.0,92.9,144.9,239.5,152.0,242.8,89.5,195.9,125.8,194.8,65.2,125.9,82.1,108.3,153.5,65.6,153.1,74.9,34.8,136.0,140.9,65.6,138.7,167.9,144.4,151.3,169.8,109.3,221.3,187.4,133.8,174.8,88.7,111.1,98.6,127.2,72.0,203.2,87.0,58.6,139.9,94.2,161.7,185.0,65.0,99.9,181.1,216.1,53.9,1175.6,28.1,200.9,127.4,74.4,168.5,76.1,125.5,53.2,130.7,153.9,125.3,119.3,83.0,102.1,112.2,129.4
LY,154.8,171.7,162.8,138.6,154.3,248.3,281.9,106.4,164.1,112.9,25.3,60.6,83.5,145.4,182.7,174.5,123.8,316.6,182.3,221.6,59.8,154.1,101.6,115.1,185.3,103.8,97.3,179.2,180.5,195.4,91.1,269.0,53.4,41.6,169.3,162.0,65.1,95.1,130.4,176.2,98.8,97.1,178.3,183.2,103.5,0.0,115.6,31.4,240.0,305.1,128.2,234.6,163.5,55.0,189.2,94.1,143.8,11.4,145.6,197.1,134.7,82.8,75.6,63.5,130.8,117.6,136.0,95.2,143.6,59.6,158.5,211.5,100.2,200.0,68.9,163.3,124.6,130.0,212.9,166.4,291.0,83.5,124.5,146.9,78.8,169.2,76.9,130.2,152.9,58.1,107.2,160.3,116.7,182.1,97.4,133.7,158.1,130.8,126.2,157.5,1251.2,75.3,165.4,149.9,91.4,110.6,69.5,124.8,50.2,139.4,207.2,203.9,166.7,135.4,119.7,182.8,200.0
MT,257.9,50.0,39.2,241.7,253.7,356.3,353.7,218.7,200.2,149.0,146.5,158.9,181.8,204.4,59.1,184.7,196.3,388.4,280.6,329.6,180.9,30.5,204.7,74.9,274.4,211.8,133.4,217.8,253.0,299.5,165.6,340.8,101.3,133.7,241.8,265.1,163.4,93.1,148.6,97.7,197.1,49.7,62.6,288.4,176.0,141.7,0.0,147.7,325.7,376.9,91.1,306.4,180.2,177.9,65.6,105.9,242.1,127.7,29.9,283.2,230.4,190.8,42.6,99.6,233.9,215.9,235.3,95.5,179.7,160.4,261.6,228.2,221.3,236.1,191.5,125.8,87.1,56.2,284.7,264.7,362.8,33.1,50.2,254.9,93.4,185.9,69.6,238.2,51.9,156.4,143.3,265.5,219.8,287.3,201.3,169.8,266.1,70.3,170.2,230.0,1200.0,143.8,200.9,253.0,127.5,89.4,105.6,223.1,118.7,237.7,311.3,239.1,266.1,252.7,227.7,199.5,216.7
MV,123.3,197.7,188.8,107.1,122.8,221.7,251.4,137.9,149.2,98.0,56.8,66.6,89.5,176.9,208.7,143.0,93.3,286.1,201.0,195.0,28.3,180.1,70.1,141.1,143.6,77.2,82.4,164.3,150.0,163.9,122.6,238.5,79.4,73.1,138.8,130.5,71.0,121.1,161.9,202.2,104.8,123.1,204.3,153.8,73.0,31.4,141.6,0.0,208.5,274.6,159.7,204.1,151.0,86.5,215.2,125.6,175.3,19.9,171.6,165.6,140.7,56.2,101.6,84.7,99.3,123.6,104.5,126.7,128.7,28.1,127.0,199.0,68.7,185.1,100.4,147.0,153.9,156.0,182.4,197.9,260.5,109.5,150.5,120.3,104.8,156.7,102.9,103.6,178.9,64.1,92.3,130.9,85.2,152.7,128.9,118.8,131.5,156.8,157.7,127.0,1238.7,48.7,196.9,118.4,76.5,142.1,78.7,116.5,73.8,121.7,175.7,195.9,135.2,103.9,93.1,170.3,187.5
NK,187.3,312.5,303.6,201.2,113.5,114.8,109.9,332.9,62.2,113.4,251.8,243.6,238.8,355.7,323.5,157.7,144.8,144.6,320.9,88.1,191.0,294.9,214.8,237.9,179.0,191.3,129.0,44.6,88.8,75.8,317.6,97.0,176.2,256.5,96.4,232.0,215.7,227.8,339.4,304.0,257.7,239.0,319.1,248.0,165.1,226.4,256.4,208.7,0.0,133.1,269.2,62.6,103.0,267.8,330.0,278.8,359.4,212.4,286.4,75.6,317.7,200.9,216.4,162.8,208.0,289.2,151.1,279.9,82.7,170.5,212.2,55.9,165.5,26.3,295.4,247.2,254.1,252.8,59.0,336.8,119.0,224.3,264.3,146.1,216.2,97.7,219.8,157.5,306.5,222.7,119.1,275.6,229.9,249.0,315.5,92.6,131.2,284.4,346.6,111.1,1032.2,181.8,325.5,244.1,134.9,295.3,156.8,261.2,203.4,266.4,70.3,65.1,101.1,129.3,175.4,84.6,67.4
NN,236.1,410.6,401.7,250.0,154.2,66.7,42.4,394.0,150.5,201.7,317.5,309.3,291.7,416.3,421.6,238.7,168.2,95.1,316.4,77.7,240.0,393.0,267.7,326.2,220.4,232.7,217.3,132.9,111.5,113.9,378.7,47.5,264.5,318.3,122.7,280.8,268.6,316.0,400.0,385.0,310.6,327.3,417.2,240.0,188.5,292.1,354.5,261.6,78.6,0.0,357.4,62.8,184.0,333.5,428.1,340.6,339.3,278.1,384.5,116.3,287.0,253.7,314.5,251.1,256.8,342.1,199.9,341.7,171.0,223.4,261.0,136.9,206.9,114.6,356.5,328.2,335.1,341.1,79.1,327.0,51.5,322.4,352.6,187.5,299.7,178.7,300.8,205.5,391.8,275.6,207.4,261.3,282.8,241.0,373.6,180.9,172.6,369.7,404.7,134.5,1147.3,216.7,317.5,292.9,223.2,357.1,245.1,314.1,241.8,319.3,108.4,135.8,141.8,170.7,216.8,165.6,148.4
NQ,241.3,112.2,118.4,236.0,260.4,332.6,347.2,184.9,206.9,155.7,112.7,162.9,185.8,156.8,146.6,208.9,189.1,381.9,246.8,305.9,190.9,104.5,199.0,64.5,269.6,188.1,140.1,224.5,245.8,293.5,131.8,334.3,81.7,107.9,234.6,250.3,149.4,41.3,129.9,160.6,199.9,87.8,128.7,244.4,168.8,139.0,66.0,162.5,319.2,370.4,0.0,299.9,204.8,144.1,139.6,68.3,211.1,142.5,89.5,277.2,196.6,167.1,105.4,106.3,228.2,198.3,222.1,61.7,186.4,171.2,249.9,257.5,228.7,242.8,157.7,188.6,149.9,57.8,278.2,230.9,356.3,95.9,113.1,231.2,65.3,215.9,97.2,214.5,115.2,142.4,150.0,222.2,214.1,244.0,167.5,176.5,242.4,142.6,136.4,222.8,1244.1,135.4,166.5,238.2,134.2,60.1,112.3,224.5,115.5,220.1,305.3,246.7,272.8,239.5,204.0,225.8,246.7
NV,156.2,329.1,322.9,187.1,91.3,90.0,47.2,331.1,81.5,132.7,254.6,246.4,228.8,352.9,356.3,175.8,105.3,81.9,306.8,63.3,177.1,314.2,204.8,262.5,157.5,169.8,146.7,66.4,48.6,51.0,315.8,34.3,206.7,255.4,59.8,217.9,205.7,247.1,348.3,322.1,247.7,258.3,338.4,233.9,125.6,229.2,275.7,198.7,19.2,70.4,288.5,0.0,126.0,270.6,355.8,273.9,356.3,215.2,299.2,53.4,320.5,190.8,235.7,182.1,193.9,279.2,137.0,278.8,102.0,160.5,204.5,74.7,144.0,45.6,293.6,265.3,272.2,272.1,16.2,322.7,56.3,243.6,283.6,124.6,233.2,115.8,237.9,142.6,336.5,209.6,138.4,265.6,219.9,234.9,310.7,111.9,109.7,313.1,341.8,71.6,1051.5,153.8,311.9,230.0,153.5,288.5,176.1,251.2,178.9,256.4,45.5,72.9,78.9,107.8,153.9,106.4,85.5
NX,99.5,225.7,219.5,130.4,96.7,184.1,178.8,272.8,61.2,60.6,191.7,183.5,171.7,293.8,252.9,49.7,66.6,213.5,250.1,157.4,123.9,210.8,147.7,162.2,127.1,105.8,74.6,78.8,84.7,124.6,257.5,165.9,134.6,196.0,73.3,161.2,148.6,167.3,291.2,196.0,190.6,142.5,235.0,177.2,86.9,166.3,172.3,141.6,150.8,202.0,208.7,131.5,0.0,207.7,252.4,218.3,298.0,152.3,195.8,108.3,257.7,133.8,132.3,124.2,137.2,222.1,80.3,219.4,62.6,103.4,147.8,52.6,80.3,91.9,235.3,139.2,146.1,167.5,109.8,266.0,187.9,140.2,167.8,103.4,153.4,11.0,111.8,86.7,210.0,152.5,66.3,208.5,162.8,178.2,253.6,52.7,108.3,197.3,284.7,86.6,1093.0,119.9,254.7,173.3,85.5,229.1,104.0,194.1,139.8,199.3,136.4,64.2,109.1,97.7,89.9,24.6,41.8
NY,141.6,225.9,204.6,125.4,213.9,261.3,323.7,71.2,205.9,154.7,39.2,20.0,42.9,110.2,224.5,209.4,161.9,358.4,147.1,234.6,119.4,195.9,70.4,156.9,172.2,116.8,139.1,221.0,222.3,253.6,55.9,310.8,95.2,61.0,211.1,145.0,78.1,136.9,95.9,218.0,75.9,138.9,220.1,156.5,145.3,65.2,157.4,91.2,278.1,346.9,141.8,276.4,205.3,0.0,231.0,113.5,108.6,71.2,187.4,225.5,108.0,95.8,117.4,105.3,117.6,93.0,125.2,114.6,185.4,101.2,145.3,253.3,150.9,241.8,33.7,205.1,166.4,168.8,254.7,131.2,332.8,125.3,166.3,159.9,120.6,211.0,118.7,143.2,194.7,71.1,149.0,133.6,103.5,155.4,62.2,175.5,171.1,172.6,91.0,199.3,1293.0,117.1,130.2,132.9,133.2,130.0,111.3,100.5,92.0,114.8,266.8,245.7,226.3,195.0,132.7,224.6,241.8
OC,329.6,93.7,81.0,321.9,341.5,433.3,428.4,298.9,288.0,236.8,238.2,239.1,262.0,270.8,64.7,265.0,276.5,463.1,360.8,406.6,261.1,72.3,287.9,143.1,357.2,292.0,222.8,312.1,329.5,374.6,245.9,415.5,169.3,206.4,318.1,345.3,243.6,177.7,244.0,115.9,277.4,122.4,34.7,368.6,256.2,221.9,86.7,227.9,400.4,451.6,146.4,386.7,249.9,267.9,0.0,171.5,325.2,207.9,63.0,358.3,310.7,271.0,122.8,193.9,314.1,296.1,310.4,175.7,274.0,240.6,335.8,307.8,301.5,323.9,281.8,206.1,143.9,136.4,365.0,344.9,437.5,113.3,98.1,333.5,163.8,261.0,148.8,316.8,63.0,239.7,231.1,345.8,300.0,367.6,281.5,264.1,344.7,86.4,250.4,310.2,1225.9,218.8,280.5,333.2,216.0,156.3,193.4,303.3,198.9,317.9,386.4,314.2,353.9,333.0,307.9,270.9,291.8
OK,222.0,126.6,132.8,216.1,244.1,316.5,315.5,168.8,219.6,168.4,96.6,142.0,164.9,140.7,164.1,216.6,157.4,350.2,230.7,289.8,159.2,125.8,185.9,82.0,261.2,172.0,154.4,233.4,214.1,279.3,115.7,302.6,90.6,94.2,202.7,234.2,129.5,71.9,113.8,180.8,176.4,100.5,146.6,228.3,137.1,124.8,87.3,130.8,287.5,338.7,48.3,264.4,217.5,128.0,167.4,0.0,195.0,110.8,108.6,263.0,180.6,151.0,127.2,115.2,208.3,178.4,202.8,27.6,195.3,139.5,233.8,266.4,199.6,255.5,141.6,209.9,171.2,79.1,242.7,211.0,324.6,113.4,125.8,215.1,57.9,228.6,106.1,194.6,150.1,129.4,162.7,202.3,198.0,224.1,151.4,185.4,226.3,151.5,120.3,187.3,1307.1,103.7,150.4,222.1,147.6,11.3,125.0,206.2,83.8,204.0,291.1,259.4,256.5,234.8,187.9,238.5,259.4
