from_stop,AC,AH,AM,AW,BG,BR,BV,CL,CO,CQ,CV,CX,DH,DJ,DO,DS,EC,EG,ES,EU,EX,FB,FC,FN,FS,GC,GK,GP,GX,HL,HP,HU,IK,IL,IT,IW,JG,JK,JR,KE,KI,KP,KR,KS,LA,LD,LG,MA,ML,MT,ND,NH,NL,NS,OG,OH,OK,OM,OT,OU,OZ,PF,PH,PI,PK,PW,PX,QI,QJ,QN,QT,RN,RO,RT,RX,SD,SR,SS,SU,SX,SZ,TH,UH,UU,VK,VS,VX,WA,WB,WN,WP,XD,XE,YQ,YV,ZA,ZB,ZM,ZO,ZS,ZU
IK,76.9,167.9,97.2,319.5,115.0,225.5,65.7,293.4,47.6,51.5,107.7,184.2,148.3,88.6,237.8,169.5,279.8,110.1,145.1,153.4,136.4,246.5,16.6,314.2,80.6,126.5,123.2,136.9,283.4,188.5,89.6,123.2,0.0,179.8,105.2,185.2,77.9,167.0,87.7,67.2,55.1,72.8,88.1,171.1,200.4,189.9,165.7,1316.3,141.3,162.0,188.3,96.3,41.1,83.7,98.8,323.8,205.0,111.5,259.5,49.8,147.9,125.1,79.4,124.9,87.1,210.2,236.2,143.8,67.9,83.3,226.9,197.2,248.8,184.1,166.0,160.7,145.4,159.4,352.4,89.1,97.2,267.3,384.8,141.1,306.4,137.2,345.3,84.5,226.0,111.7,405.6,294.6,130.2,100.8,182.0,261.3,147.5,15.0,45.8,272.7,141.4
IL,257.7,269.7,111.0,209.4,103.7,363.9,222.0,145.0,161.4,232.3,162.8,296.9,280.5,118.3,134.7,55.0,138.0,136.5,210.0,297.7,257.2,96.1,197.3,160.9,260.1,253.0,130.5,327.3,180.3,43.9,274.8,83.0,179.4,0.0,286.4,250.1,101.6,257.8,268.0,248.9,126.7,150.0,229.7,69.2,99.6,218.6,56.3,1249.8,84.2,280.1,89.9,275.8,220.6,190.7,173.2,179.8,58.9,120.1,109.1,208.7,46.1,114.4,209.8,47.5,212.0,107.9,85.8,65.9,257.2,268.2,345.3,17.3,351.2,293.4,62.9,59.7,151.4,231.9,198.7,158.8,287.6,165.5,234.4,228.7,202.4,83.2,218.0,243.4,122.9,222.7,258.1,191.5,194.2,259.7,246.9,158.2,272.1,164.1,167.1,120.3,217.8
IT,63.3,184.7,202.1,423.7,221.2,177.2,64.5,353.7,152.5,67.0,127.6,101.2,172.1,194.8,342.0,273.7,365.3,153.4,205.1,133.9,119.1,333.9,89.0,373.2,47.0,143.3,229.4,53.9,387.6,291.8,51.9,228.1,103.9,285.3,0.0,204.0,184.1,203.2,18.3,26.1,160.0,176.8,120.3,276.6,304.4,243.6,263.7,1304.9,247.5,145.6,291.6,62.7,55.1,103.6,117.8,426.0,309.2,216.4,363.0,109.0,253.4,231.3,78.2,230.4,123.2,314.2,341.7,251.3,68.4,32.3,144.8,302.7,164.5,106.7,270.2,266.9,250.3,219.4,457.4,131.1,34.9,372.8,498.1,157.9,409.7,243.4,449.5,81.4,330.2,139.0,513.9,398.8,158.4,97.7,230.4,365.5,165.2,121.2,150.4,367.0,160.7
IW,221.0,19.5,199.6,423.9,220.6,159.9,159.9,322.0,173.7,145.5,92.5,191.1,70.5,192.3,342.2,273.9,333.6,168.7,70.2,161.4,141.7,354.0,184.1,341.5,204.2,95.1,244.4,225.8,387.8,292.0,234.6,225.6,166.2,285.5,200.2,0.0,194.9,39.2,181.8,212.2,175.0,185.5,192.3,270.5,301.9,79.9,263.9,1255.6,242.0,168.2,291.8,165.7,157.0,120.4,102.9,427.3,309.4,231.4,362.5,214.3,253.6,234.4,147.7,230.6,108.2,327.1,341.9,247.3,181.7,167.8,149.0,302.9,185.7,150.7,270.4,249.6,265.3,84.5,455.9,146.4,241.3,373.0,490.5,79.5,409.9,258.4,449.7,202.0,330.4,114.5,514.2,399.0,110.4,218.3,37.8,365.7,38.6,150.9,147.7,367.2,74.8
JG,156.0,216.2,53.9,240.2,69.7,305.5,134.0,215.4,103.2,129.3,106.3,263.3,233.1,61.2,158.5,90.2,201.8,56.5,148.2,246.8,215.5,167.6,95.6,234.9,158.4,205.6,117.7,216.0,204.1,108.3,169.6,65.2,77.7,101.8,185.2,196.6,0.0,179.7,166.8,147.2,25.0,114.1,128.0,100.4,130.8,144.9,80.2,1233.4,74.3,242.0,108.1,174.1,118.9,163.7,116.7,242.5,125.7,104.7,181.5,126.2,69.9,119.6,121.8,46.9,128.5,143.4,158.2,67.8,147.0,161.7,262.8,119.2,326.6,263.2,86.7,101.5,138.6,133.9,272.2,78.8,176.3,189.3,306.8,185.8,226.2,125.0,266.0,160.9,146.7,186.8,327.6,215.3,137.7,177.2,193.4,182.0,227.5,62.4,77.2,193.4,147.1
JK,226.7,59.2,181.8,392.6,202.7,192.6,142.1,304.2,155.9,147.9,74.7,188.7,110.2,174.5,310.9,242.6,315.8,150.9,52.4,149.5,148.4,302.8,166.3,323.7,197.7,64.1,226.6,228.9,356.5,260.7,240.3,207.8,148.4,254.2,206.5,56.0,181.3,0.0,188.1,226.0,157.2,166.8,174.5,245.5,293.3,38.7,232.6,1278.6,226.7,171.3,260.5,168.8,160.1,102.6,85.1,394.9,278.1,213.6,333.9,196.5,222.3,216.6,129.9,199.3,108.6,295.8,310.6,216.0,187.4,174.1,139.9,271.6,239.0,128.4,239.1,252.1,247.5,66.7,423.5,128.6,194.3,341.7,459.2,61.7,375.3,240.6,418.4,205.1,299.1,96.7,480.0,367.7,97.4,221.4,55.1,334.4,78.3,133.1,129.9,352.4,73.5
JR,65.0,166.3,183.7,405.3,202.8,206.7,46.1,336.9,134.1,49.9,110.8,111.7,153.7,176.4,323.6,255.3,348.5,135.0,186.7,129.7,100.7,357.4,70.6,356.4,28.6,124.9,211.0,72.3,369.2,273.4,78.6,209.7,87.7,266.9,18.3,185.6,161.5,184.8,0.0,46.7,141.6,158.4,101.9,251.9,286.0,230.6,245.3,1323.3,226.1,127.2,273.2,44.3,36.7,86.8,101.0,408.7,290.8,198.0,343.5,90.6,235.0,212.9,59.8,212.0,124.1,295.8,323.3,228.7,50.0,13.9,201.7,284.3,182.9,125.1,251.8,233.7,231.9,201.0,444.7,112.7,53.3,354.4,481.3,139.5,391.3,225.0,431.1,63.0,311.8,120.6,497.1,380.4,140.0,79.3,223.6,347.1,146.8,102.8,132.0,348.6,158.8
KE,28.2,194.2,174.1,396.4,193.2,211.5,82.9,364.8,124.5,94.9,138.7,129.5,185.4,166.8,314.7,246.4,358.0,162.9,222.0,168.2,137.5,314.0,61.0,391.1,56.5,161.7,201.4,88.2,360.3,272.5,45.3,200.1,76.8,258.0,45.0,222.4,156.1,212.7,36.7,0.0,132.0,149.7,129.8,256.6,286.5,260.5,242.6,1339.2,219.5,160.4,272.5,66.9,64.6,114.7,137.8,398.7,281.9,188.4,337.7,100.3,226.1,203.3,96.6,203.1,141.6,287.9,314.4,224.0,53.1,78.7,192.5,275.4,200.7,141.0,242.9,238.9,222.3,236.3,427.3,149.5,48.5,354.4,463.0,176.3,379.1,224.3,422.2,80.3,302.9,157.4,483.8,371.5,176.8,96.6,258.9,338.2,174.7,102.1,122.7,356.2,179.1
KI,130.9,191.1,45.3,264.3,61.1,269.4,108.9,239.5,78.1,105.5,102.2,230.3,203.2,52.6,182.6,114.3,225.9,67.9,131.4,226.3,190.4,194.4,70.5,259.0,133.3,180.5,92.6,190.9,228.2,132.4,144.5,68.8,52.6,125.9,160.1,171.5,19.8,154.6,141.7,122.1,0.0,89.9,102.9,110.9,145.5,150.9,104.3,1257.5,85.6,216.9,132.2,149.0,93.8,138.6,152.8,267.7,149.8,79.6,202.9,101.1,94.0,94.5,96.7,71.0,85.2,167.5,182.3,87.7,91.6,136.6,281.7,143.3,301.5,238.1,110.8,93.2,113.5,145.3,296.3,75.4,151.2,213.4,330.9,160.7,250.3,106.6,290.1,135.8,170.8,165.7,354.6,239.4,133.6,152.1,168.3,206.1,202.4,37.3,52.1,207.6,126.8
KP,140.3,222.0,80.0,284.3,46.2,299.6,129.2,253.9,41.6,115.8,172.1,224.5,217.5,72.7,202.6,116.3,248.9,128.6,163.2,256.3,199.9,215.6,89.3,280.9,144.7,190.0,70.5,176.3,248.2,164.3,151.4,106.0,73.6,150.7,162.0,203.3,114.9,185.5,153.1,149.8,90.8,0.0,136.9,129.5,138.5,201.7,112.5,1315.8,70.6,222.8,160.4,160.4,104.2,148.1,162.3,286.6,173.7,58.4,228.6,57.7,113.1,60.9,128.5,112.6,135.2,166.6,205.3,79.8,100.3,147.3,280.6,168.8,286.9,229.1,130.8,96.4,92.3,177.5,319.1,107.2,136.6,232.5,353.9,192.5,267.0,84.5,310.1,93.3,190.8,175.2,374.7,259.4,194.6,108.7,200.1,226.1,211.9,65.1,48.2,248.0,175.1
KR,119.8,178.4,150.6,372.4,169.2,236.9,76.2,345.2,115.7,62.8,119.1,204.4,164.5,143.3,290.7,222.4,334.0,123.2,174.9,175.9,146.9,290.0,88.6,364.7,103.2,137.0,177.4,159.1,336.3,240.5,136.9,176.6,72.9,234.0,112.0,197.7,132.1,198.1,93.6,119.9,108.0,136.5,0.0,232.6,252.4,218.8,218.6,1326.8,195.5,169.8,240.3,99.0,50.3,95.1,109.3,374.7,257.9,164.4,313.7,119.2,202.1,179.3,89.9,179.1,99.8,262.2,290.4,200.0,80.5,93.8,194.2,251.4,276.6,194.6,218.9,214.9,198.3,189.2,403.3,100.9,140.1,321.5,439.0,151.6,355.1,191.4,398.2,100.8,278.9,122.2,459.8,347.5,141.6,117.1,211.8,314.2,158.9,69.2,98.7,315.7,160.4
KS,270.8,321.3,122.6,183.0,75.9,422.8,231.8,134.9,164.8,236.9,176.7,345.2,335.9,129.9,101.3,74.9,119.3,161.0,252.7,292.8,271.1,67.9,216.9,158.1,267.9,313.2,128.0,306.8,146.9,33.1,290.9,118.8,193.9,64.6,292.5,301.7,135.1,264.4,283.6,261.2,147.5,129.5,249.3,0.0,37.6,225.2,64.9,1256.4,56.4,290.3,43.6,290.9,233.8,204.6,187.1,169.7,50.5,117.6,99.0,180.9,38.5,104.6,226.9,61.4,226.3,67.2,75.7,64.7,229.4,263.8,322.5,80.2,417.4,352.3,29.5,49.9,148.9,238.4,195.9,176.0,259.8,132.1,224.3,290.9,161.7,80.7,208.8,215.6,89.5,284.0,245.1,158.1,200.8,231.9,298.5,124.8,333.1,176.4,146.6,101.0,260.8
LA,288.8,339.3,140.6,213.4,101.2,448.1,267.2,172.6,190.1,264.3,217.2,363.2,366.0,147.9,131.7,126.5,167.1,179.0,270.7,414.9,361.0,113.0,234.9,188.5,293.2,338.5,146.0,324.8,177.3,71.5,312.4,144.1,218.3,121.6,320.6,319.7,153.1,302.8,301.6,295.4,165.5,147.5,267.3,37.6,0.0,267.4,122.7,1294.1,81.7,383.9,89.5,308.9,251.8,235.0,217.5,208.7,80.9,135.6,136.7,216.3,68.9,129.9,244.9,91.8,251.6,104.9,113.4,90.0,248.8,303.8,360.2,128.9,435.4,377.6,59.9,75.2,166.9,256.4,226.3,201.3,285.1,162.5,262.0,308.9,196.1,98.7,239.2,240.9,119.9,309.3,292.9,188.5,248.6,257.2,316.5,155.2,368.5,201.7,164.6,155.2,286.1
LD,262.8,99.0,142.7,348.4,163.9,229.9,177.8,289.8,193.1,192.5,104.5,224.4,154.8,155.4,266.7,198.4,310.0,113.1,67.7,195.7,189.5,266.0,202.4,303.9,233.4,108.7,224.5,240.9,312.3,224.5,279.9,171.6,185.8,210.0,242.2,79.4,144.8,39.1,229.2,262.9,131.8,204.8,210.2,201.3,249.1,0.0,194.6,1181.7,187.9,212.4,224.5,208.0,204.7,132.4,109.5,350.7,233.9,211.5,289.7,232.2,178.1,226.4,171.0,160.5,149.7,239.9,266.4,176.0,260.5,229.9,157.5,232.8,237.0,173.0,194.9,209.7,245.4,53.4,379.3,130.0,218.7,297.5,415.0,102.8,331.1,233.2,374.2,249.7,254.9,137.8,435.8,323.5,130.5,266.0,76.2,290.2,112.7,168.8,171.0,308.2,114.6
LG,249.2,256.5,101.0,222.6,64.1,342.0,211.3,138.8,150.5,223.9,147.1,257.1,262.5,110.8,140.9,3.7,150.4,114.6,231.1,264.3,241.5,117.2,195.3,168.3,256.1,237.3,128.6,285.2,186.5,55.3,271.8,67.3,178.7,36.5,264.7,234.4,79.7,235.9,262.0,249.4,125.9,111.3,227.7,69.3,118.9,200.0,0.0,1234.1,32.5,270.5,93.0,271.8,212.2,168.8,157.5,199.1,77.9,115.6,128.4,160.4,46.1,130.5,205.3,25.6,196.3,128.3,105.1,30.5,211.7,258.0,312.2,54.6,329.3,277.7,69.1,80.8,149.5,216.8,219.1,143.1,245.5,174.2,256.2,213.0,211.1,104.3,239.8,195.1,129.1,207.0,274.5,197.7,172.3,217.6,231.2,164.4,256.4,162.1,125.0,132.7,232.5
MA,1119.9,1106.2,1252.1,1399.1,1256.1,1043.9,1163.4,1370.4,1218.9,1124.5,1078.5,1044.0,1067.5,1259.4,1317.4,1249.1,1360.7,1145.9,1159.7,1082.3,1120.7,1329.2,1168.6,1389.9,1061.4,1084.7,1307.3,1104.5,1363.0,1267.2,1107.5,1224.1,1185.7,1260.7,1115.2,1125.5,1228.7,1144.6,1133.6,1150.3,1249.2,1235.8,1201.2,1245.7,1289.7,1175.8,1239.1,0.0,1235.5,1147.2,1267.0,1144.7,1136.0,1054.5,1068.7,1402.5,1284.6,1294.3,1337.7,1179.8,1228.8,1296.8,1177.1,1205.8,1108.8,1302.3,1317.1,1222.5,1160.7,1146.8,1008.7,1278.1,969.9,1047.9,1245.6,1261.2,1328.2,1174.0,1431.1,1147.0,1090.5,1348.2,1465.7,1118.7,1385.1,1283.9,1424.9,1145.3,1305.6,1116.0,1489.4,1374.2,1135.4,1130.1,1096.6,1340.9,1086.7,1200.8,1148.3,1342.4,1154.2
ML,210.4,260.9,62.2,212.7,22.8,369.7,178.7,182.3,111.7,185.9,150.4,293.7,282.8,69.5,131.0,44.7,174.3,100.6,192.3,326.4,282.6,130.3,156.5,209.3,214.8,260.1,89.8,246.4,176.6,80.8,234.0,65.7,138.6,80.0,232.1,241.3,74.7,224.4,223.2,208.1,87.1,69.1,188.9,65.6,90.3,189.0,34.7,1244.2,0.0,305.5,80.6,230.5,173.4,218.2,160.8,216.1,98.2,76.8,154.0,127.8,42.4,91.7,166.5,41.9,155.0,115.9,130.7,8.2,170.4,224.9,337.3,98.1,357.0,299.2,59.2,48.2,110.7,178.0,243.6,122.9,206.7,161.8,279.3,230.5,195.4,71.7,238.5,162.5,119.2,230.9,300.1,187.8,181.8,178.8,238.1,154.5,280.0,123.3,86.2,163.8,207.7
MT,158.0,154.4,268.8,423.1,284.6,211.6,152.2,352.5,211.2,106.0,160.9,131.2,126.2,265.6,341.4,273.1,359.2,233.8,171.8,113.9,29.9,345.7,163.6,372.0,91.3,113.0,304.0,143.7,387.0,299.2,175.1,292.3,179.4,284.7,128.4,173.7,258.7,177.1,110.0,147.9,234.6,229.0,178.5,271.1,323.8,211.2,269.3,1302.8,257.2,0.0,299.2,98.6,113.3,129.9,116.6,425.4,308.6,291.0,356.9,172.1,247.9,289.1,170.8,224.9,159.0,314.6,336.2,250.7,137.7,133.0,194.3,297.2,208.3,138.0,269.6,279.5,324.9,186.1,456.2,219.7,178.3,367.3,492.0,130.8,405.8,313.1,448.9,156.0,329.6,80.2,512.7,398.2,99.6,172.3,209.6,364.9,130.0,195.8,221.0,382.9,101.9
ND,281.2,281.4,148.6,153.7,121.1,387.4,233.7,169.8,198.1,256.6,186.3,320.4,304.0,130.0,72.0,91.8,108.6,160.0,233.5,321.2,280.7,110.2,220.8,185.7,283.6,276.5,159.8,332.8,117.6,68.7,298.3,106.5,204.2,81.5,298.1,273.6,125.1,269.5,291.5,281.3,150.2,155.5,241.4,53.7,91.7,242.1,88.0,1273.3,89.7,303.6,0.0,299.3,232.3,202.4,196.7,156.0,78.1,143.6,133.9,226.1,36.3,137.9,233.3,59.2,259.6,45.2,98.8,98.0,256.8,292.2,339.4,98.9,362.9,316.9,31.1,83.2,131.2,264.4,222.1,182.3,293.1,102.8,241.1,252.2,136.4,106.7,179.5,248.9,60.2,246.2,264.8,128.8,217.7,265.2,270.4,95.5,283.8,175.8,172.6,120.8,241.3
NH,92.3,148.2,186.7,381.0,202.5,212.4,67.5,310.4,133.1,27.9,84.3,162.8,122.1,175.4,299.3,231.0,322.0,151.7,170.6,103.2,74.2,291.2,72.7,329.9,25.6,106.8,213.1,60.0,344.9,249.1,105.9,206.0,88.5,242.6,62.7,167.5,167.8,166.7,44.3,82.2,143.7,150.9,105.3,233.9,281.7,210.9,229.7,1296.6,215.1,97.1,248.9,0.0,40.1,60.3,74.5,384.4,266.5,200.1,319.7,94.0,210.7,211.0,81.2,187.7,114.6,272.5,299.0,208.6,64.8,50.9,193.7,260.0,215.2,133.9,227.5,242.3,234.0,184.9,418.2,134.1,112.6,330.1,454.8,129.6,363.7,227.1,406.8,85.1,287.5,94.1,478.5,356.1,113.5,101.4,197.4,322.8,128.7,104.9,134.4,324.3,115.8
NL,63.9,128.0,142.5,365.4,157.0,186.5,25.8,294.8,92.9,10.3,68.7,162.3,114.1,135.2,283.7,215.4,306.4,114.7,142.2,132.4,96.5,288.0,32.5,314.3,66.3,86.6,172.9,108.7,329.3,233.5,81.0,168.5,48.3,227.0,61.6,147.3,127.6,146.5,43.2,64.0,103.5,109.8,65.1,225.6,248.4,185.3,211.6,1276.4,181.4,123.0,233.3,48.6,0.0,44.7,58.9,368.8,250.9,159.9,304.1,53.8,195.1,170.8,39.5,172.1,66.5,256.9,283.4,193.0,24.6,43.9,187.8,244.4,234.5,144.2,211.9,206.3,193.8,156.5,402.6,92.4,84.2,314.5,439.2,101.2,348.1,186.9,391.2,44.9,271.9,71.8,462.9,340.5,91.2,61.2,177.2,307.2,108.5,64.7,94.2,308.7,93.5
NS,114.2,103.6,126.3,320.6,142.1,173.1,105.9,250.0,119.7,38.9,23.9,106.1,89.7,133.6,238.9,170.6,261.6,91.3,117.8,106.9,66.4,230.8,130.1,269.5,61.4,62.2,190.4,113.8,284.5,196.7,112.1,145.6,112.2,182.2,93.4,122.9,123.0,122.1,75.0,112.9,115.4,130.6,138.3,180.8,211.2,160.9,160.6,1252.0,154.7,89.3,196.7,58.9,50.2,0.0,14.1,322.9,206.1,177.4,259.3,160.3,150.3,180.4,93.7,127.3,72.4,212.1,238.6,144.0,74.9,82.6,154.1,199.6,160.4,102.6,167.1,181.9,211.3,132.1,353.7,92.4,91.6,269.7,394.4,76.8,306.6,204.4,346.4,95.2,227.1,47.4,418.1,295.7,66.8,111.5,152.8,262.4,84.1,96.9,93.7,280.4,69.1
OG,176.3,99.6,112.1,306.4,127.9,168.6,91.7,235.8,105.5,56.2,9.8,106.7,102.4,119.4,224.7,156.4,247.4,77.1,96.4,112.9,83.9,256.3,115.9,255.3,78.9,79.7,176.2,131.3,270.3,174.5,126.1,131.4,98.0,168.0,110.9,118.9,104.6,106.6,92.5,167.5,101.2,117.3,124.1,153.0,197.0,150.8,146.4,1269.5,142.8,110.4,174.3,76.4,67.7,17.4,0.0,309.8,191.9,163.2,242.4,146.1,136.1,166.2,79.5,113.1,40.0,209.6,224.4,129.8,137.0,78.5,180.9,185.4,177.9,120.1,152.9,160.0,197.1,110.7,343.6,78.2,109.1,255.5,380.2,55.4,292.4,190.2,332.2,112.7,212.9,49.4,403.9,281.5,20.9,129.0,151.2,248.2,98.8,82.7,79.5,249.7,61.0
OH,397.4,408.1,250.7,29.5,233.7,503.6,360.4,114.2,301.1,370.7,301.2,417.4,420.2,256.7,174.4,208.0,97.5,274.9,349.7,424.6,396.9,116.6,337.0,105.5,398.5,392.7,234.7,457.4,199.4,156.2,414.5,221.4,319.1,196.4,424.8,389.8,240.0,396.2,407.7,397.5,266.4,281.3,368.1,180.4,229.5,358.3,204.2,1389.5,210.8,419.8,146.0,414.2,360.3,329.1,312.9,0.0,146.8,267.2,94.2,338.7,163.0,278.2,349.5,185.9,369.9,129.6,144.3,205.6,382.6,408.4,455.6,193.5,489.6,433.1,147.3,216.1,215.6,371.6,65.8,298.5,417.7,148.1,96.7,368.4,125.0,240.9,80.3,373.4,97.5,362.4,131.3,28.9,332.6,389.7,386.6,62.2,410.5,302.5,292.6,190.4,357.5
OK,276.9,288.9,130.2,156.0,126.5,361.1,241.2,91.6,180.6,251.5,182.0,299.2,294.9,137.5,126.6,71.3,76.0,155.7,229.2,305.4,276.4,44.5,216.5,107.5,279.3,272.2,171.3,350.1,172.2,17.3,290.5,102.2,198.6,53.5,305.6,269.3,125.4,277.0,287.2,268.1,145.9,173.7,248.9,36.9,80.9,232.4,77.5,1269.0,104.0,302.9,76.2,295.0,239.8,209.9,192.4,126.4,0.0,160.9,53.0,231.5,43.8,155.2,229.0,66.7,231.2,111.5,32.4,80.9,237.6,273.2,364.5,51.6,370.4,312.6,54.8,87.5,192.2,251.1,146.4,178.0,310.4,157.4,181.0,247.9,194.3,124.0,164.6,266.2,114.8,241.9,201.8,155.4,213.4,282.5,266.1,150.1,291.3,183.3,172.1,57.7,224.6
OM,189.3,249.5,50.8,262.5,35.9,327.8,167.3,242.7,84.1,163.9,160.6,276.2,261.6,43.5,191.4,105.1,238.6,129.6,189.8,277.8,248.8,207.1,128.9,269.7,191.7,238.9,43.2,236.8,237.0,145.1,202.9,76.8,111.0,140.4,218.5,229.9,81.5,213.0,200.1,180.5,61.6,60.4,161.3,119.7,117.2,212.6,95.1,1304.6,57.3,275.3,141.0,207.4,152.2,197.0,211.2,265.9,162.5,0.0,215.6,118.2,102.8,45.1,155.1,105.6,143.6,128.0,195.0,73.6,150.0,195.0,340.1,158.5,347.4,296.5,119.6,64.9,64.1,204.1,309.0,133.8,197.1,222.2,343.6,219.1,259.1,57.2,298.9,152.9,169.0,224.1,364.4,237.6,192.0,169.2,226.7,204.3,260.8,95.7,75.6,220.3,185.2
OT,329.5,341.5,182.8,100.2,179.1,424.1,293.8,54.3,233.2,302.8,234.6,350.8,352.3,190.1,179.2,123.9,68.0,208.3,281.8,358.0,329.0,46.9,269.1,51.7,331.9,324.8,223.9,402.7,227.9,69.9,343.1,154.8,251.2,106.1,358.2,321.9,173.4,329.6,339.8,320.7,198.5,225.4,301.5,103.1,133.5,290.4,130.1,1321.6,144.2,355.5,128.8,347.6,292.4,262.5,245.0,70.6,52.5,213.5,0.0,284.1,96.4,207.8,281.6,119.3,302.0,164.1,57.5,133.5,290.2,325.8,388.0,99.2,423.0,365.2,107.4,153.1,244.8,303.7,89.5,230.6,363.0,176.6,125.2,300.5,153.5,176.6,108.8,318.8,168.2,294.5,146.0,99.6,266.0,335.1,318.7,132.9,343.9,235.9,224.7,131.9,289.6
OU,82.5,173.6,88.6,336.7,103.1,241.8,71.4,309.9,39.0,57.2,114.3,165.8,154.9,81.3,255.0,172.3,305.8,155.5,187.8,198.5,142.1,261.8,49.2,336.9,86.9,132.2,127.4,118.5,300.6,220.3,90.1,114.6,64.1,207.6,104.2,192.9,125.4,192.1,95.3,93.7,101.3,56.8,96.2,186.4,184.4,233.1,168.5,1322.0,127.5,168.6,212.8,102.6,45.5,90.3,104.5,339.0,229.7,114.4,285.5,0.0,166.4,116.9,85.1,143.4,112.1,212.2,262.2,140.8,48.4,89.5,209.4,225.7,229.1,171.3,183.2,152.4,148.3,202.1,376.2,133.2,78.8,285.8,410.8,146.8,322.7,141.4,362.5,34.6,243.2,117.4,434.5,311.8,136.8,50.9,222.8,278.5,154.1,62.5,74.2,304.0,155.6
OZ,233.0,245.0,86.3,170.2,70.6,339.2,197.3,147.4,136.7,206.3,138.1,272.2,251.0,93.6,88.5,43.6,131.8,111.8,185.3,261.5,232.5,97.6,172.6,163.3,235.4,228.3,123.8,293.0,134.1,38.3,246.6,58.3,156.0,33.3,261.7,225.4,76.9,233.1,243.3,224.2,102.0,116.9,205.0,23.1,70.9,193.9,33.6,1225.1,47.7,259.0,38.1,251.1,195.9,166.0,148.5,172.5,55.7,113.4,111.5,175.6,0.0,107.7,185.1,22.8,205.5,73.4,88.2,37.0,224.0,229.3,320.6,50.7,326.5,268.7,16.7,53.0,147.7,207.2,201.1,134.1,253.3,119.3,236.8,204.0,156.2,76.5,196.0,210.3,76.7,198.0,257.6,145.3,169.5,226.6,222.2,112.0,247.4,139.4,128.2,130.0,193.1
PF,200.5,251.0,88.7,257.8,61.6,359.8,168.8,250.3,101.8,176.0,162.1,274.9,272.9,81.4,194.1,130.8,234.7,156.3,191.3,294.2,260.1,200.5,148.4,266.2,204.9,250.2,38.5,236.5,239.7,141.2,225.9,114.7,130.5,119.6,222.2,231.4,123.6,214.5,213.3,200.0,99.5,59.2,180.8,115.3,113.3,229.8,120.8,1329.4,86.0,283.0,152.1,220.6,163.5,208.3,172.5,260.1,158.6,48.1,214.4,117.9,105.7,0.0,156.6,127.1,145.1,123.3,191.1,99.3,160.5,200.8,340.8,137.0,347.1,289.3,122.5,58.0,59.4,205.6,304.0,135.3,196.8,224.9,339.7,220.6,258.5,34.5,301.6,152.6,164.3,226.4,360.5,232.9,193.5,168.9,228.2,199.6,270.1,115.2,76.3,216.4,186.7
PH,124.1,160.9,124.0,345.4,145.0,208.4,12.1,307.1,98.1,44.5,101.6,169.9,142.2,116.7,263.7,195.4,318.7,75.1,126.8,165.3,139.8,275.5,79.7,326.6,67.7,119.5,168.5,130.5,309.3,213.5,137.7,150.0,61.8,207.0,76.5,166.9,119.0,150.0,58.1,104.9,99.1,109.9,67.3,192.0,226.3,170.7,185.4,1309.3,166.4,166.3,213.3,83.4,51.3,77.6,91.8,348.8,230.9,155.5,284.0,110.3,175.1,158.8,0.0,152.1,64.2,248.6,263.4,168.8,76.0,44.1,220.7,224.4,241.1,177.1,191.9,174.0,189.4,141.1,377.4,52.8,111.5,294.5,412.0,134.1,331.4,182.5,371.2,96.3,251.9,104.7,432.8,320.5,124.1,112.6,163.7,287.2,141.4,60.3,72.1,288.7,122.2
PI,210.1,222.1,63.4,193.2,50.2,316.3,174.4,170.4,113.8,184.7,115.2,231.4,232.9,70.7,111.5,43.2,154.8,88.9,162.4,238.6,209.6,103.4,149.7,186.3,212.5,205.4,117.2,273.8,157.1,69.3,227.2,35.4,131.8,54.8,238.8,202.5,54.0,210.2,220.4,201.3,79.1,96.5,182.1,53.4,83.8,171.0,33.2,1202.2,27.3,232.5,69.3,228.2,173.0,143.1,125.6,195.5,78.7,104.2,134.5,155.2,22.9,109.2,162.2,0.0,164.4,96.4,111.2,16.6,170.8,220.6,280.3,72.2,303.6,245.8,39.7,54.5,138.1,184.3,224.1,111.2,234.1,142.3,259.8,181.1,179.2,78.0,219.0,189.9,99.7,175.1,280.6,168.3,146.6,206.2,199.3,135.0,224.5,116.5,113.6,136.5,170.2
PK,156.1,162.9,111.2,336.9,132.2,239.6,60.6,266.3,85.3,86.6,56.8,173.0,167.2,121.7,255.2,201.4,295.7,80.3,86.0,160.4,149.6,259.5,95.7,285.8,116.2,139.7,156.0,167.6,300.8,213.0,173.2,137.2,79.1,216.3,125.0,126.1,128.5,109.2,117.5,155.4,86.6,96.2,89.9,197.1,223.6,124.5,197.6,1329.5,156.6,172.5,213.0,89.3,80.6,97.8,112.0,339.2,222.4,143.0,293.4,125.9,166.6,146.0,59.3,161.4,0.0,228.4,272.7,164.5,153.8,118.2,196.9,233.7,237.7,197.3,183.4,199.3,176.9,100.3,370.0,58.0,176.4,303.8,428.5,115.3,319.6,170.0,362.7,125.6,243.4,121.1,452.2,312.0,88.2,160.1,122.9,278.7,161.6,68.0,59.3,296.7,97.9
