from_stop,AH,AI,AL,AO,AP,AX,BO,CB,CJ,CO,CP,CQ,CS,CZ,DD,DJ,DK,DO,DQ,ED,EF,EH,EN,ER,EV,FA,FC,FD,FI,GA,GD,GH,GL,GM,GU,GY,HA,HB,HD,HF,HH,HI,HT,HZ,IE,IJ,IY,IZ,JE,JT,JV,KD,KG,KJ,KK,KU,KZ,LD,MB,MG,MI,MJ,MK,MN,MP,MW,MX,MY,NG,NH,NJ,NP,NQ,NU,NW,NX,OC,OO,OP,OV,OX,PA,PJ,PL,PN,PO,PP,PS,PV,QA,QB,QI,QL,QM,QW,RG,RP,RY,SA,SD,SV,SX,SY,TM,TR,TU,TZ,UE,UI,UQ,UY,VA,VJ,VL,VS,WJ,WK,WO,WU,XD,XE,XF,XP,XV,YA,YE,YF,YH,YK,YM,YU,ZA,ZE,ZJ,ZK,ZN
ER,687.9,305.5,778.2,394.9,717.0,277.8,629.9,350.1,343.7,297.6,531.2,246.0,145.4,259.4,255.8,198.9,423.6,449.6,678.6,390.5,166.2,318.8,53.5,0.0,304.4,148.3,227.3,330.9,503.5,573.3,267.2,560.9,220.6,598.1,599.9,231.6,527.7,331.2,454.0,726.9,619.2,709.2,2628.0,524.7,253.8,690.5,204.3,473.0,336.5,183.0,621.2,749.0,152.5,354.7,176.0,758.9,249.1,160.0,786.4,431.1,282.5,237.4,433.2,175.3,433.2,608.7,379.6,435.5,141.0,315.0,520.9,409.4,262.6,207.4,591.9,734.4,349.0,388.4,100.4,293.0,300.2,131.8,209.0,161.2,510.1,638.8,341.2,170.8,583.8,552.0,576.3,299.5,293.1,282.8,357.5,686.0,330.7,542.3,529.2,491.7,26.1,429.6,617.1,638.9,609.2,169.4,246.5,96.1,401.9,328.4,199.8,569.6,439.9,550.9,760.6,679.4,188.5,590.8,422.3,719.2,616.3,268.6,657.7,390.6,617.1,701.3,249.4,327.2,656.9,634.8,295.5,372.9,569.8,615.7,413.8,770.7
EV,612.0,377.8,702.3,214.7,641.1,350.1,554.0,478.1,399.1,281.2,543.4,545.8,445.2,387.4,61.6,320.8,495.9,461.8,602.7,210.3,466.0,152.4,339.0,298.6,0.0,448.1,67.1,458.0,440.2,556.9,250.8,380.7,394.8,417.9,583.5,303.9,527.3,459.2,324.9,651.0,543.3,633.3,2508.2,524.3,73.6,616.6,276.6,292.8,408.8,255.3,536.0,673.1,292.4,50.2,144.7,683.0,147.8,281.9,710.5,559.1,354.8,309.7,253.0,303.3,253.0,608.3,435.0,447.7,213.3,298.6,533.1,464.8,334.9,335.4,411.7,657.3,332.6,331.1,240.3,421.0,313.2,271.7,227.1,179.3,433.6,519.3,70.4,306.6,507.9,476.1,575.9,368.1,112.9,355.1,370.5,610.1,261.5,362.1,344.9,505.7,325.9,485.0,509.6,549.4,533.3,291.3,374.5,218.0,474.2,400.7,327.8,569.2,452.1,550.5,684.7,636.9,106.7,514.9,117.8,643.3,436.1,340.9,477.5,210.4,436.9,625.4,549.2,147.0,581.0,523.0,56.8,313.8,389.6,539.8,541.8,694.8
FA,832.0,449.6,922.3,539.0,861.1,421.9,774.0,494.2,487.8,447.4,675.3,254.2,153.6,403.5,399.9,343.0,567.7,593.7,822.7,534.6,174.4,462.9,197.6,142.9,448.5,0.0,371.4,475.0,647.6,631.1,428.4,705.0,228.8,742.2,657.7,375.7,671.8,475.3,598.1,871.0,763.3,853.3,2772.1,668.8,397.9,834.6,348.4,617.1,480.6,327.1,679.0,893.1,296.6,498.8,320.1,903.0,393.2,304.1,930.5,575.2,426.6,381.5,577.3,319.4,577.3,752.8,523.7,579.6,285.1,408.3,665.0,553.5,406.7,351.5,736.0,878.5,510.2,532.5,244.5,437.1,308.4,275.9,353.1,305.3,654.2,696.6,485.3,314.9,727.9,696.1,720.4,443.6,437.2,426.9,365.7,830.1,338.9,686.4,673.3,635.8,116.8,573.7,674.9,696.7,753.3,313.5,390.6,240.2,546.0,472.5,343.9,713.7,584.0,695.0,904.7,823.5,332.6,734.9,566.4,863.3,760.4,412.7,741.4,534.7,761.2,845.4,101.0,471.3,801.0,692.6,439.6,381.1,713.9,759.8,557.9,914.8
FC,564.8,356.2,655.1,167.5,593.9,282.9,506.8,410.9,351.9,248.5,496.2,478.6,378.0,320.2,28.4,253.6,449.8,414.6,555.5,163.1,398.8,105.2,271.8,231.4,77.0,380.9,0.0,342.1,393.0,471.9,218.1,333.5,362.1,370.7,510.1,236.7,480.1,392.0,277.7,603.8,496.1,586.1,2461.0,477.1,26.4,567.4,209.4,245.6,341.6,188.1,488.8,625.9,225.2,127.3,77.5,635.8,80.6,214.7,663.3,491.9,287.6,242.5,205.8,236.1,205.8,561.1,387.8,400.5,146.1,265.9,485.9,417.6,267.7,268.2,364.5,611.3,299.9,283.9,173.1,353.8,280.5,204.5,159.9,112.1,386.4,472.1,147.5,243.5,460.7,428.9,528.7,304.6,65.7,287.9,337.8,562.9,228.8,314.9,301.8,456.7,258.7,437.8,462.4,502.2,486.1,224.1,307.3,150.8,428.1,333.5,260.6,522.0,404.9,503.3,637.5,589.7,39.5,467.7,194.9,596.1,388.9,273.7,430.3,163.2,389.7,578.2,482.0,99.8,533.8,475.8,68.1,281.1,342.4,492.6,474.6,647.6
FD,526.6,469.4,616.9,558.8,555.7,441.7,468.6,242.8,401.6,461.5,369.9,572.2,471.6,79.2,419.7,365.2,522.4,288.3,517.3,445.4,492.4,482.7,365.4,325.0,468.3,474.5,391.2,0.0,602.3,737.2,431.1,724.8,546.8,762.0,763.8,395.5,626.5,223.9,534.8,565.6,457.9,547.9,2466.7,571.2,417.7,529.2,368.2,527.9,500.4,346.9,785.1,587.7,170.3,518.6,339.9,597.6,413.0,185.7,625.1,323.8,446.4,401.3,597.1,154.3,488.1,533.9,366.6,274.2,304.9,478.9,359.6,418.5,426.5,145.1,755.8,573.1,512.9,469.2,223.2,185.7,493.5,191.6,372.9,325.1,608.9,802.7,505.1,152.9,422.5,390.7,536.7,463.4,457.0,446.7,550.8,524.7,441.8,597.2,693.1,330.4,352.3,316.6,781.0,802.8,447.9,335.7,139.2,251.3,500.7,492.3,130.6,527.3,278.6,543.7,599.3,667.5,352.4,429.5,586.2,557.9,671.2,432.5,821.6,554.5,781.0,540.0,575.6,491.1,495.6,798.7,459.4,494.1,733.7,454.4,306.5,609.4
FI,349.3,190.6,565.9,510.0,378.4,218.8,282.9,683.8,204.3,592.7,437.3,751.5,650.9,593.1,420.3,526.5,193.3,468.3,265.0,358.3,671.7,463.3,544.7,504.3,448.9,653.8,411.8,620.0,0.0,814.4,562.3,676.0,726.1,713.2,852.6,324.6,87.0,664.9,258.3,388.3,280.6,295.6,2817.4,84.0,384.8,478.2,358.9,290.9,384.7,312.4,831.3,536.7,498.1,499.2,414.2,546.6,506.2,487.6,574.1,764.8,212.9,293.0,548.3,509.0,188.3,168.0,240.2,418.2,354.2,610.1,427.0,270.0,233.0,541.1,707.0,522.1,644.1,229.0,446.0,626.7,624.7,477.4,504.1,456.3,6.5,814.6,519.4,583.3,371.5,339.7,135.6,347.7,408.2,338.4,682.0,473.7,573.0,77.9,644.3,397.8,531.6,290.2,804.9,844.7,396.9,497.0,580.2,423.7,171.6,376.6,533.5,128.9,475.8,110.2,548.3,238.7,445.6,214.8,566.8,506.9,405.4,288.9,772.8,505.7,732.2,362.7,754.9,442.3,444.6,818.3,460.0,625.3,684.9,403.4,747.5,558.4
GA,949.1,683.3,1039.4,383.3,978.2,655.6,891.1,746.5,739.1,421.9,880.5,527.7,599.6,655.8,444.0,589.2,801.4,798.9,939.8,550.3,480.5,507.6,607.4,567.0,472.6,625.7,435.5,726.4,780.2,0.0,402.9,176.4,400.3,149.8,187.9,609.4,867.3,727.6,664.9,988.1,880.4,970.4,2845.3,864.3,408.5,953.7,582.1,632.8,714.3,560.8,166.6,1010.2,560.8,522.9,488.4,1020.1,516.2,550.3,1047.6,827.5,660.3,615.2,245.2,571.7,593.0,925.8,775.0,784.8,518.8,382.8,870.2,804.8,640.4,603.8,207.4,994.4,484.7,671.1,508.7,689.4,318.7,540.1,433.6,430.2,773.6,65.4,543.1,579.1,845.0,813.2,888.8,673.6,366.2,660.6,376.0,947.2,313.4,702.1,164.5,841.0,594.3,827.2,43.7,65.5,870.4,559.7,642.9,486.4,779.7,706.2,596.2,921.2,789.2,890.5,1021.8,810.7,475.1,852.0,590.5,980.4,776.1,646.4,110.2,406.9,150.8,962.5,726.8,375.5,918.1,153.6,483.7,316.7,185.3,876.9,810.2,1031.9
GD,814.2,398.8,904.5,416.9,843.3,371.1,756.2,462.0,437.0,186.1,655.0,369.8,429.1,371.3,277.8,304.7,516.9,573.4,799.0,412.5,322.6,340.8,322.9,282.5,283.3,432.0,249.3,441.9,642.4,404.5,0.0,581.0,242.4,554.4,431.1,324.9,621.0,443.1,527.1,853.2,745.5,829.6,2710.4,618.0,275.8,816.8,297.6,495.0,429.8,276.3,452.4,875.3,276.3,233.0,198.0,885.2,271.1,265.8,912.7,543.0,375.8,330.7,455.2,287.2,455.2,702.0,472.9,559.3,234.3,146.2,644.7,502.7,355.9,319.3,612.0,860.7,81.7,533.3,224.2,404.9,160.8,255.6,149.1,145.7,635.8,470.0,212.8,294.6,710.1,678.3,669.6,392.8,315.1,376.1,218.1,812.3,109.1,564.3,565.0,615.5,309.8,522.9,448.3,470.1,735.5,275.2,358.4,201.9,495.2,421.7,311.7,662.9,563.7,644.2,886.9,772.7,210.5,717.1,397.7,845.5,638.3,361.9,514.8,412.6,542.1,827.6,533.1,349.2,783.2,466.0,317.5,161.4,589.9,742.0,525.7,897.0
GH,912.3,605.9,1002.6,245.8,941.4,581.0,854.3,709.0,601.6,546.6,843.7,725.1,676.1,618.3,306.5,551.7,699.5,762.1,903.0,412.8,696.9,370.1,569.9,529.5,335.1,679.0,298.0,688.9,642.7,197.3,516.2,0.0,597.7,96.1,235.5,534.8,729.8,690.1,527.4,951.3,843.6,933.6,2808.5,726.8,271.0,914.9,507.5,495.3,639.7,486.2,214.2,973.4,523.3,385.4,375.6,983.3,378.7,512.8,1010.8,790.0,585.7,540.6,107.7,534.2,455.5,810.8,637.5,748.0,444.2,564.0,833.4,667.3,565.8,566.3,30.9,958.8,598.0,533.6,471.2,651.9,516.1,502.6,458.0,410.2,636.1,197.5,405.6,541.6,808.2,776.4,778.4,602.7,228.7,586.0,573.4,910.4,526.9,564.6,22.9,804.2,556.8,687.5,187.8,227.6,833.6,522.2,605.4,448.9,677.8,631.6,558.7,771.7,752.4,753.0,985.0,773.9,337.6,815.2,453.0,943.6,638.6,571.8,155.7,269.4,115.1,925.7,780.1,238.0,881.3,201.2,346.2,514.1,8.8,840.1,772.7,995.1
GL,895.3,479.9,985.6,498.0,924.4,452.2,837.3,543.1,518.1,218.5,764.1,127.3,199.2,452.4,358.9,385.8,598.0,682.5,880.1,493.6,80.1,421.9,286.4,231.7,407.5,225.3,330.4,523.0,723.5,402.2,199.5,578.7,0.0,552.1,428.8,406.0,702.1,524.2,608.2,934.3,826.6,910.7,2791.5,699.1,356.9,897.9,378.7,576.1,510.9,357.4,450.1,956.4,385.4,457.8,285.0,966.3,352.2,346.9,993.8,624.1,456.9,411.8,536.3,368.3,536.3,783.1,554.0,668.4,315.4,179.4,753.8,583.8,437.0,400.4,609.7,940.6,281.3,614.4,333.3,486.0,79.5,364.7,230.2,226.8,716.9,467.7,353.9,403.7,791.2,759.4,750.7,473.9,396.2,457.2,136.8,893.4,110.0,645.4,566.8,724.6,205.6,604.0,446.0,467.8,816.6,356.3,439.5,283.0,576.3,502.8,392.8,744.0,672.8,725.3,968.0,853.8,291.6,798.2,525.4,926.6,719.4,443.0,512.5,493.7,539.8,908.7,326.4,430.3,864.3,463.7,401.7,152.2,587.6,823.1,606.8,978.1
GM,885.0,642.4,975.3,282.3,914.1,617.5,827.0,745.5,638.1,583.1,816.4,697.8,712.6,654.8,343.0,588.2,736.0,734.8,875.7,449.3,650.6,406.6,606.4,566.0,371.6,715.5,334.5,662.3,679.2,170.0,552.7,75.4,570.4,0.0,139.3,571.3,766.3,726.6,563.9,924.0,816.3,906.3,2781.2,763.3,307.5,887.6,544.0,531.8,676.2,522.7,118.0,946.1,559.8,421.9,412.1,956.0,415.2,549.3,983.5,826.5,622.2,577.1,144.2,570.7,492.0,861.7,674.0,720.7,480.7,600.5,806.1,703.8,602.3,602.8,106.4,931.5,634.5,570.1,507.7,688.4,488.8,539.1,494.5,446.7,672.6,106.6,442.1,578.1,780.9,749.1,824.7,639.2,265.2,622.5,546.1,883.1,483.5,601.1,59.4,776.9,593.3,724.0,160.5,200.3,806.3,558.7,641.9,485.4,714.3,668.1,595.2,808.2,725.1,789.5,957.7,746.6,374.1,787.9,489.5,916.3,675.1,608.3,59.5,305.9,18.9,898.4,816.6,274.5,854.0,105.0,382.7,486.8,84.3,812.8,809.2,967.8
GU,1015.0,720.9,1105.3,412.3,1044.1,693.2,957.0,784.1,768.1,459.5,946.4,565.3,637.2,693.4,473.0,626.8,866.0,864.8,1005.7,579.3,518.1,536.6,645.0,604.6,501.6,663.3,464.5,764.0,809.2,201.6,440.5,205.4,437.9,129.9,0.0,647.0,896.3,765.2,693.9,1054.0,946.3,1036.3,2911.2,893.3,437.5,1017.6,619.7,661.8,751.9,598.4,21.2,1076.1,598.4,551.9,520.1,1086.0,545.2,587.9,1113.5,865.1,697.9,652.8,274.2,609.3,622.0,991.7,804.0,850.7,556.4,420.4,936.1,833.8,678.0,641.4,236.4,1061.5,522.3,700.1,546.3,727.0,356.3,577.7,471.2,467.8,802.6,135.3,572.1,616.7,910.9,879.1,954.7,714.9,395.2,698.2,413.6,1013.1,351.0,731.1,189.4,906.9,631.9,854.0,210.9,250.7,936.3,597.3,680.5,524.0,844.3,743.8,633.8,938.2,855.1,919.5,1087.7,876.6,504.1,917.9,619.5,1046.3,805.1,684.0,88.2,435.9,110.9,1028.4,764.4,404.5,984.0,34.8,512.7,354.3,214.3,942.8,847.8,1097.8
GY,611.5,127.0,828.1,400.5,640.6,99.3,545.1,432.3,165.2,341.2,398.2,500.0,399.4,341.6,261.4,275.0,245.1,429.2,527.2,375.5,420.2,324.4,293.2,252.8,310.0,402.3,232.9,412.2,325.0,616.9,310.8,566.5,474.6,603.7,643.5,0.0,349.2,413.4,275.5,650.5,542.8,557.8,2694.0,346.2,259.4,740.4,107.4,308.1,158.0,60.9,664.8,798.9,246.6,360.3,162.7,808.8,254.7,236.1,836.3,513.3,104.0,58.9,438.8,257.5,298.2,430.2,201.1,379.1,102.7,358.6,387.9,230.9,84.1,289.6,597.5,784.3,392.6,209.9,194.5,375.2,373.2,225.9,252.6,204.8,331.6,705.1,380.5,264.9,633.7,601.9,397.8,121.0,298.7,97.3,430.5,735.9,321.5,364.2,534.8,358.7,280.1,251.1,695.4,682.5,659.1,245.5,328.7,172.2,223.4,149.9,282.0,391.1,436.7,372.4,810.5,500.9,194.1,477.0,427.9,769.1,515.3,90.1,663.3,396.2,622.7,624.9,503.4,332.8,706.8,708.8,301.1,373.8,575.4,665.6,496.0,820.6
HA,330.7,216.7,547.3,579.0,359.8,244.9,264.3,709.9,230.4,618.8,463.4,777.6,677.0,619.2,489.3,552.6,219.4,494.4,246.4,420.7,697.8,602.0,570.8,530.4,517.9,679.9,510.5,646.1,68.9,883.4,588.4,745.0,752.2,782.2,921.1,350.7,0.0,691.0,320.7,369.7,262.0,277.0,2798.8,65.4,453.8,459.6,385.0,353.3,410.8,338.5,900.3,518.1,524.2,568.2,440.3,528.0,532.3,513.7,555.5,790.9,239.0,319.1,617.3,535.1,257.3,149.4,266.3,444.3,380.3,636.2,453.1,296.1,259.1,567.2,776.0,503.5,670.2,255.1,472.1,652.8,650.8,503.5,530.2,482.4,75.5,883.6,588.4,609.4,352.9,321.1,117.0,373.8,477.2,364.5,708.1,455.1,599.1,146.9,713.3,423.9,557.7,316.3,873.9,913.7,378.3,523.1,606.3,449.8,197.7,402.7,559.6,110.3,501.9,91.6,529.7,220.1,471.7,196.2,635.8,488.3,474.4,315.0,841.8,574.7,801.2,344.1,781.0,511.3,426.0,887.3,529.0,651.4,753.9,384.8,773.6,539.8
HB,674.4,480.8,764.7,570.2,703.5,453.1,616.4,18.8,519.0,472.9,517.7,619.2,518.6,143.5,431.1,408.9,598.9,436.1,665.1,565.8,539.4,494.1,412.4,372.0,479.7,521.5,402.6,214.1,678.8,748.6,442.5,736.2,593.8,773.4,775.2,406.9,703.0,0.0,629.3,713.4,605.7,695.7,2614.5,700.0,429.1,677.0,379.6,648.3,511.8,358.3,796.5,735.5,293.7,530.0,351.3,745.4,424.4,197.1,772.9,161.1,457.8,412.7,608.5,165.7,608.5,681.7,514.4,422.0,316.3,490.3,507.4,584.7,437.9,156.5,767.2,720.9,524.3,563.7,293.7,114.7,504.9,273.0,384.3,336.5,685.4,814.1,516.5,312.0,570.3,538.5,684.5,474.8,468.4,458.1,562.2,672.5,453.2,717.6,704.5,478.2,399.3,464.4,792.4,814.2,595.7,379.4,95.3,262.7,577.2,503.7,142.0,675.1,426.4,726.2,747.1,854.7,363.8,577.3,597.6,705.7,791.6,443.9,833.0,565.9,792.4,687.8,622.6,502.5,643.4,810.1,470.8,505.5,745.1,602.2,143.8,757.2
HD,607.9,147.9,824.5,361.3,637.0,176.1,541.5,641.1,143.6,511.7,376.6,708.8,608.2,550.4,271.6,483.8,241.5,407.6,523.6,99.9,629.0,314.6,502.0,461.6,300.2,611.1,263.1,559.3,278.9,665.7,481.3,527.3,683.4,564.5,703.9,281.9,345.6,622.2,0.0,646.9,539.2,554.2,2654.4,342.6,236.1,736.8,316.2,32.5,342.0,269.7,682.6,795.3,540.0,350.5,371.5,805.2,343.8,444.9,832.7,722.1,170.2,250.3,399.6,466.3,134.8,426.6,179.5,357.5,311.5,529.1,366.3,209.3,190.3,498.4,558.3,780.7,563.1,75.6,403.3,584.0,543.7,434.7,423.1,375.3,272.3,665.9,370.7,522.6,630.1,598.3,394.2,305.0,259.5,295.7,601.0,732.3,492.0,200.8,495.6,337.1,488.9,229.5,656.2,696.0,655.5,454.3,537.5,381.0,219.8,333.9,490.8,387.5,415.1,368.8,806.9,497.3,302.7,473.4,418.1,765.5,351.9,246.2,624.1,357.0,583.5,621.3,712.2,293.6,703.2,669.6,311.3,544.3,536.2,662.0,704.8,817.0
HF,39.3,539.7,491.9,723.1,9.3,567.9,201.6,735.3,553.4,873.5,732.9,961.4,860.8,571.7,633.4,754.4,542.4,651.3,259.7,624.2,881.6,676.4,754.6,714.2,662.0,863.7,624.9,578.8,391.9,1021.2,843.1,889.1,936.0,926.3,1065.7,673.7,371.4,716.4,643.7,0.0,99.7,290.3,2743.4,313.6,597.9,404.2,708.0,676.3,733.8,661.5,1044.4,462.7,559.5,712.3,763.3,472.6,705.6,678.2,500.1,816.3,562.0,642.1,761.4,646.8,580.3,276.3,589.3,637.2,703.3,890.9,722.6,619.1,582.1,637.6,920.1,448.1,924.9,578.1,612.4,678.2,905.5,580.8,784.9,737.1,398.5,1021.4,732.5,542.1,297.5,265.7,279.1,696.8,621.3,687.5,962.8,399.7,853.8,469.9,857.4,693.4,741.5,639.3,1011.7,1051.5,322.9,724.9,631.7,651.6,520.7,725.7,623.1,269.7,641.6,286.1,474.3,409.9,664.5,171.9,779.9,432.9,797.4,638.0,985.9,718.8,945.3,150.7,964.8,655.4,370.6,1031.4,673.1,906.1,898.0,329.4,799.0,484.4
HH,68.6,439.9,392.1,623.3,97.7,468.1,101.8,635.5,453.6,773.7,633.1,861.6,761.0,471.9,533.6,654.6,442.6,551.5,159.9,524.4,781.8,576.6,654.8,614.4,562.2,763.9,525.1,479.0,292.1,921.4,743.3,789.3,836.2,826.5,965.9,573.9,271.6,616.6,543.9,107.6,0.0,190.5,2643.6,213.8,498.1,304.4,608.2,576.5,634.0,561.7,944.6,362.9,459.7,612.5,663.5,372.8,605.8,578.4,400.3,716.5,462.2,542.3,661.6,547.0,480.5,176.5,489.5,537.4,603.5,791.1,622.8,519.3,482.3,537.8,820.3,348.3,825.1,478.3,512.6,578.4,805.7,481.0,685.1,637.3,298.7,921.6,632.7,442.3,197.7,165.9,179.3,597.0,521.5,587.7,863.0,299.9,754.0,370.1,757.6,593.6,641.7,539.5,911.9,951.7,223.1,625.1,531.9,551.8,420.9,625.9,523.3,169.9,541.8,186.3,374.5,310.1,564.7,72.1,680.1,333.1,697.6,538.2,886.1,619.0,845.5,82.0,865.0,555.6,270.8,931.6,573.3,806.3,798.2,229.6,699.2,384.6
HI,241.2,456.9,457.8,689.0,270.3,485.1,185.5,701.2,470.6,839.4,698.8,927.3,826.7,537.6,599.3,720.3,459.6,617.2,30.6,590.1,847.5,642.3,720.5,680.1,627.9,829.6,590.8,544.7,309.1,987.1,809.0,855.0,901.9,892.2,1031.6,590.9,288.6,682.3,560.9,280.2,172.5,0.0,2709.3,230.8,563.8,370.1,625.2,593.5,651.0,578.7,1010.3,428.6,525.4,678.2,680.5,438.5,772.5,644.1,466.0,782.2,479.2,559.3,727.3,612.7,497.5,193.5,506.5,603.1,620.5,856.8,688.5,536.3,499.3,603.5,886.0,414.0,890.8,495.3,578.3,644.1,871.4,546.7,750.8,703.0,315.7,987.3,698.4,508.0,263.4,231.6,196.3,614.0,587.2,604.7,928.7,365.6,819.7,387.1,823.3,659.3,707.4,556.5,977.6,1017.4,288.8,690.8,597.6,617.5,437.9,642.9,589.0,186.9,607.5,203.3,440.2,327.1,630.4,106.7,745.8,398.8,714.6,555.2,951.8,684.7,911.2,254.6,930.7,621.3,336.5,997.3,639.0,872.0,863.9,295.3,764.9,450.3
HT,2597.0,2640.9,2687.3,2546.7,2626.1,2669.1,2539.0,2625.1,2636.6,2697.1,2622.7,2851.2,2750.6,2461.5,2457.0,2644.2,2734.5,2541.1,2587.7,2447.8,2771.4,2500.0,2644.4,2604.0,2485.6,2753.5,2448.5,2468.6,2677.7,2844.8,2666.7,2712.7,2825.8,2749.9,2889.3,2656.9,2699.4,2606.2,2562.4,2636.0,2528.3,2618.3,0.0,2641.6,2421.5,2599.6,2629.6,2530.3,2761.8,2608.3,2868.0,2658.1,2449.3,2535.9,2526.1,2668.0,2529.2,2568.0,2695.5,2706.1,2663.2,2662.7,2585.0,2536.6,2490.5,2604.3,2619.4,2527.0,2566.3,2714.5,2612.4,2671.3,2683.3,2527.4,2743.7,2643.5,2748.5,2568.6,2502.2,2568.0,2729.1,2470.6,2608.5,2560.7,2671.1,2845.0,2556.1,2431.9,2492.9,2461.1,2607.1,2724.8,2444.9,2708.1,2786.4,2595.1,2677.4,2599.6,2681.0,2583.2,2631.3,2569.4,2835.3,2875.1,2518.3,2614.7,2521.5,2541.4,2712.8,2753.7,2512.9,2597.7,2531.4,2614.1,2669.7,2737.9,2488.1,2499.9,2603.5,2628.3,2673.6,2739.2,2809.5,2542.4,2768.9,2610.4,2854.6,2479.0,2566.0,2855.0,2496.7,2729.7,2721.6,2524.8,2688.8,2679.8
HZ,265.2,226.0,481.8,588.3,294.3,254.2,198.8,719.2,239.7,628.1,472.7,786.9,686.3,628.5,498.6,561.9,228.7,503.7,180.9,430.0,707.1,611.3,580.1,539.7,527.2,689.2,519.8,568.7,78.2,892.7,597.7,754.3,761.5,791.5,930.4,360.0,57.7,700.3,330.0,304.2,196.5,211.5,2733.3,0.0,463.1,394.1,394.3,362.6,420.1,347.8,909.6,452.6,533.5,577.5,449.6,462.5,541.6,523.0,490.0,800.2,248.3,328.4,626.6,544.4,266.6,83.9,275.6,453.6,389.6,645.5,462.4,305.4,268.4,576.5,785.3,438.0,679.5,264.4,481.4,662.1,660.1,512.8,539.5,491.7,84.8,892.9,597.7,532.0,287.4,255.6,86.7,383.1,486.5,373.8,717.4,389.6,608.4,156.2,722.6,433.2,567.0,325.6,883.2,923.0,312.8,532.4,615.6,459.1,207.0,412.0,568.9,44.8,511.2,26.1,464.2,217.5,481.0,130.7,645.1,422.8,483.7,324.3,851.1,584.0,810.5,278.6,790.3,520.6,360.5,896.6,538.3,660.7,763.2,319.3,782.9,474.3
IE,538.3,329.7,628.6,141.0,567.4,357.9,480.3,437.9,325.4,275.5,469.7,505.6,405.0,347.2,35.4,280.6,423.3,388.1,529.0,136.6,425.8,78.7,298.8,258.4,64.0,407.9,26.9,315.6,366.5,445.4,245.1,307.0,389.1,344.2,483.6,263.7,453.6,419.0,251.2,577.3,469.6,559.6,2434.5,450.6,0.0,540.9,236.4,219.1,368.6,215.1,462.3,599.4,296.3,114.3,104.5,609.3,107.6,241.7,636.8,518.9,352.0,269.5,179.3,263.1,179.3,534.6,361.3,374.0,173.1,292.9,459.4,391.1,294.7,295.2,338.0,584.8,326.9,257.4,200.1,380.8,307.5,231.5,186.9,139.1,359.9,445.6,134.5,278.9,434.2,402.4,502.2,331.6,39.2,314.9,364.8,536.4,255.8,288.4,275.3,430.2,285.7,411.3,435.9,475.7,459.6,251.1,334.3,177.8,401.6,360.5,287.6,495.5,378.4,476.8,611.0,563.2,66.5,441.2,181.9,569.6,362.4,300.7,403.8,136.7,363.2,551.7,509.0,73.3,507.3,449.3,75.1,308.1,315.9,466.1,501.6,621.1
IJ,350.7,621.4,198.1,700.4,379.8,649.6,292.7,712.6,635.1,850.8,710.2,938.7,838.1,549.0,610.7,731.7,624.1,628.6,337.2,601.5,858.9,653.7,731.9,691.5,641.3,841.0,602.2,556.1,473.6,1000.5,820.4,866.4,913.3,903.6,1043.0,755.4,453.1,693.7,716.1,389.7,282.0,372.0,2720.7,395.3,575.2,0.0,717.1,684.0,815.5,695.8,1021.7,168.9,536.8,689.6,694.7,178.8,682.9,655.5,206.3,793.6,643.7,723.8,738.7,624.1,644.2,358.0,671.0,614.5,653.8,868.2,699.9,700.8,663.8,614.9,897.4,153.1,902.2,659.8,589.7,655.5,882.8,560.1,762.2,714.4,480.2,998.7,709.8,523.1,97.4,210.0,360.8,774.8,598.6,779.5,940.1,105.9,831.1,553.6,832.6,672.5,718.8,656.9,989.0,1028.8,105.9,702.2,609.0,628.9,602.4,807.4,600.4,351.4,618.9,367.8,180.5,491.6,641.8,253.6,757.2,137.1,827.3,719.7,963.2,696.1,922.6,364.1,942.1,632.7,40.8,1008.7,653.5,883.4,875.3,64.9,776.3,190.6
IY,644.2,159.7,860.8,371.6,673.3,132.0,577.8,403.4,197.9,312.3,430.9,471.1,370.5,312.7,232.5,246.1,277.8,461.9,555.7,367.2,391.3,295.5,264.3,223.9,281.1,373.4,204.0,383.3,357.7,588.0,281.9,537.6,445.7,574.8,614.6,85.8,381.9,384.5,308.2,683.2,575.5,590.5,2665.1,378.9,230.5,773.1,0.0,340.8,190.7,37.2,635.9,831.6,217.7,331.4,124.0,841.5,225.8,207.2,869.0,484.4,136.7,91.6,409.9,228.6,330.9,462.9,233.8,411.8,73.8,329.7,420.6,263.6,116.8,260.7,568.6,815.8,363.7,242.6,165.6,346.3,344.3,197.0,223.7,175.9,364.3,676.2,351.6,236.0,666.4,634.6,430.5,153.7,269.8,137.0,401.6,768.6,292.6,396.9,501.8,393.2,251.2,283.8,666.5,653.6,691.8,216.6,299.8,143.3,256.1,182.6,253.1,423.8,469.4,405.1,843.2,533.6,165.2,509.7,399.0,801.8,548.0,122.8,634.4,367.3,593.8,657.6,474.5,303.9,739.5,679.9,272.2,344.9,546.5,698.3,467.1,853.3
