from_stop,AG,AH,AI,AL,AR,AT,AY,BA,BF,BH,BK,BO,BS,BX,BY,CG,CJ,CK,CM,CN,CQ,CU,CX,DH,EA,FU,FV,GD,GG,GK,GO,GP,GS,HE,HF,HI,HJ,HM,HS,HW,HZ,IM,IU,IV,IY,IZ,JA,JP,JR,JZ,KM,KN,KR,KY,LA,LD,LE,LR,LZ,MD,MF,MI,ML,MM,MN,MO,MR,MW,NC,NF,NI,NK,NL,NO,NP,NW,OF,OK,OS,OT,OU,OV,OY,PA,PC,PD,PG,PP,PQ,QC,QF,QI,QL,QR,QS,QX,RE,RO,RP,RS,RW,SH,SJ,TE,TF,TL,TM,TT,UI,UM,UU,UV,UW,VB,VC,VD,VE,VI,VN,WC,WD,WJ,WQ,XM,XR,XS,YF,YJ,YN,YR,YW,ZF,ZG,ZK,ZL,ZY
DH,562.8,940.6,159.6,614.8,1076.5,614.7,1231.1,28.2,854.9,492.9,1243.9,319.5,376.8,518.6,656.8,377.9,182.8,575.1,239.5,470.9,744.9,1057.3,244.0,0.0,879.3,433.6,798.3,270.3,480.3,976.7,410.0,739.5,735.7,996.7,783.9,953.1,228.9,359.8,231.1,197.2,727.0,836.3,269.2,564.5,547.9,2742.7,669.9,743.6,528.8,571.9,240.6,529.0,511.5,529.0,1189.5,256.0,241.0,224.3,507.1,141.6,106.8,229.8,80.1,598.9,325.2,302.3,1275.1,237.3,190.4,912.2,189.7,79.7,667.4,711.3,180.9,553.2,308.5,519.0,606.4,647.5,560.6,180.1,258.7,212.3,337.1,489.7,178.9,605.3,949.5,999.9,565.6,1122.5,166.4,523.5,536.4,526.6,430.4,414.3,93.9,247.8,127.6,983.3,117.6,1234.8,969.2,320.8,576.1,956.0,532.1,588.8,477.2,1226.2,810.8,985.7,522.1,524.6,517.1,1109.7,526.3,203.2,491.3,780.0,565.0,1303.5,418.7,59.9,1030.7,1658.3,261.4,446.5,524.7,437.4,1002.9,619.1,519.8,1231.8
EA,327.6,573.8,716.7,419.4,504.4,566.6,864.3,836.6,488.1,408.6,877.1,700.4,762.6,435.0,378.9,758.8,705.9,379.7,815.1,851.8,353.4,291.6,729.9,868.6,0.0,814.5,177.2,820.1,861.2,609.9,810.5,243.2,332.5,629.9,162.8,586.3,767.0,740.7,853.3,763.8,335.5,469.5,716.1,686.9,403.8,2284.0,408.0,352.1,441.5,694.3,754.2,430.5,440.6,465.6,822.7,773.2,758.2,816.4,629.5,741.1,818.5,723.8,826.9,403.5,754.9,707.9,908.3,754.5,698.7,80.0,785.9,791.8,700.2,319.8,748.2,449.4,755.9,510.5,639.2,256.0,683.0,788.9,715.2,747.1,778.8,462.4,772.9,576.0,205.0,633.1,502.2,755.7,725.3,645.9,658.8,649.0,811.3,795.2,806.1,747.8,752.3,616.5,844.0,868.0,602.4,768.2,698.5,76.6,654.5,499.3,858.1,859.4,444.0,618.9,455.1,647.0,418.6,742.9,442.7,720.4,469.9,216.9,617.0,936.7,819.2,874.6,663.9,1039.8,788.8,827.4,520.6,460.3,636.1,651.9,642.2,865.0
FU,466.2,845.5,493.4,518.2,949.1,590.0,1136.0,434.4,759.8,447.3,1148.8,113.6,132.7,473.7,560.2,55.6,365.1,478.5,613.4,37.2,648.3,960.7,438.2,425.6,782.7,0.0,822.1,618.4,46.6,881.6,180.6,642.9,639.1,901.6,835.6,858.0,442.4,110.8,294.1,379.5,630.4,741.2,424.4,408.7,392.1,2647.6,573.3,647.0,480.2,416.1,454.1,469.2,355.7,504.3,1094.4,549.9,534.9,525.3,351.3,460.6,358.6,412.1,472.6,502.3,145.4,484.6,1180.0,531.2,372.7,815.6,372.0,418.0,642.7,614.7,394.4,397.4,162.1,549.2,581.7,550.9,404.8,272.2,423.5,478.1,148.9,333.9,444.7,580.6,852.9,872.5,540.9,995.1,348.7,367.7,380.6,370.8,3.1,60.3,346.2,456.1,455.9,865.6,462.9,1139.7,874.1,210.2,420.3,859.4,376.3,433.0,67.0,1131.1,683.4,858.3,493.8,368.8,457.3,1014.6,481.4,497.1,508.6,683.4,540.3,1208.4,189.3,432.8,903.3,1563.2,443.7,60.4,559.3,499.0,907.8,594.4,364.0,1136.7
FV,264.5,401.1,633.5,336.2,537.0,741.7,686.7,753.4,315.4,325.4,699.8,617.2,679.4,371.9,296.6,675.6,642.8,296.5,691.5,768.6,270.2,466.8,646.7,785.4,175.0,731.3,0.0,748.9,778.0,432.6,727.3,418.3,249.3,457.2,13.4,409.0,683.8,657.5,826.4,680.6,252.3,292.2,632.9,603.7,320.6,2285.1,583.1,289.0,378.4,611.1,671.0,349.9,377.5,402.5,645.4,690.0,675.0,733.2,546.3,657.9,890.9,706.0,763.8,320.3,671.7,624.7,731.0,671.3,615.5,255.1,702.7,708.6,520.8,226.4,665.0,366.2,672.7,427.3,459.8,172.8,599.8,809.1,632.0,684.0,695.6,379.2,689.7,458.7,380.1,455.8,419.0,578.4,642.1,562.7,575.6,565.8,728.1,712.0,878.5,664.6,669.1,443.8,760.8,690.7,425.1,685.0,635.4,251.7,571.3,416.1,774.9,682.1,266.7,441.6,371.9,563.8,335.4,565.6,359.5,637.2,390.4,89.7,418.4,759.4,737.0,791.4,486.6,1200.7,705.6,744.2,437.4,373.8,458.8,472.5,579.1,687.7
GD,342.3,761.2,247.8,394.3,897.1,394.2,1051.7,245.8,675.5,272.4,1064.5,335.6,392.9,298.1,436.3,394.0,99.8,354.6,228.6,487.0,524.4,836.8,123.8,263.7,658.8,449.7,577.8,0.0,496.4,797.3,426.1,519.0,515.2,817.3,563.4,773.7,160.9,375.9,247.2,157.7,506.5,656.9,110.0,580.6,338.6,2649.8,449.4,523.1,308.3,588.0,148.1,308.5,375.4,308.5,1010.1,164.0,149.0,207.2,523.2,272.2,212.4,117.7,236.1,378.4,341.3,79.7,1095.7,145.3,92.6,691.7,179.8,185.7,446.9,490.8,142.1,384.2,324.6,298.5,385.9,427.0,576.7,196.2,109.1,278.2,353.2,397.2,150.3,384.8,729.0,820.5,345.1,943.1,119.2,539.6,552.5,542.7,446.5,430.4,200.0,141.7,161.5,803.9,230.6,1055.4,789.8,336.9,592.2,735.5,548.2,434.1,493.3,1046.8,631.4,806.3,301.6,540.7,296.6,930.3,305.8,111.2,270.8,559.5,344.5,1124.1,434.8,282.5,851.3,1422.1,149.3,462.6,304.2,216.9,823.5,398.6,535.9,1052.4
GG,500.9,880.2,528.1,552.9,983.8,624.7,1170.7,469.1,794.5,482.0,1183.5,148.3,167.4,508.4,594.9,90.3,399.8,513.2,648.1,42.2,683.0,995.4,472.9,460.3,817.4,34.6,856.8,653.1,0.0,916.3,215.3,677.6,673.8,936.3,870.3,892.7,477.1,145.5,328.8,414.2,665.1,775.9,459.1,443.4,426.8,2682.3,608.0,681.7,514.9,450.8,488.8,503.9,390.4,539.0,1129.1,584.6,569.6,560.0,386.0,495.3,393.3,446.8,507.3,537.0,180.1,519.3,1214.7,565.9,407.4,850.3,406.7,452.7,677.4,649.4,429.1,432.1,196.8,583.9,616.4,585.6,439.5,306.9,458.2,512.8,183.6,368.6,479.4,615.3,887.6,907.2,575.6,1029.8,383.4,402.4,415.3,405.5,37.8,94.7,380.9,490.8,490.6,900.3,497.6,1174.4,908.8,244.9,455.0,894.1,411.0,467.7,101.7,1165.8,718.1,893.0,528.5,403.5,492.0,1049.3,516.1,531.8,543.3,718.1,575.0,1243.1,224.0,467.5,938.0,1597.9,478.4,65.4,594.0,533.7,942.5,629.1,398.7,1171.4
GK,472.5,55.8,861.6,564.3,220.5,696.2,291.4,981.5,136.9,553.5,304.5,780.6,842.8,579.9,486.4,839.0,850.8,524.6,919.6,932.0,438.2,419.3,874.8,987.2,629.8,894.7,467.7,977.0,941.4,0.0,890.7,727.9,495.4,57.3,468.2,181.6,911.9,820.9,855.7,908.7,420.3,155.5,861.0,831.8,548.7,2134.4,613.2,436.9,586.4,839.2,899.1,578.0,585.5,610.5,250.1,918.1,903.1,961.3,774.4,886.0,920.2,868.7,971.8,548.4,835.1,852.8,335.7,899.4,843.6,709.9,930.8,979.6,748.9,326.9,893.1,594.3,836.1,655.4,687.9,389.6,827.9,833.8,860.1,892.0,859.0,607.3,917.8,686.8,686.2,143.9,647.1,266.5,870.2,790.8,803.7,793.9,891.5,875.4,907.8,892.7,897.2,6.5,988.9,295.4,6.3,848.4,843.4,706.5,799.4,644.2,938.3,286.8,174.8,129.7,600.0,791.9,563.5,170.3,587.6,865.3,618.5,544.5,646.5,364.1,900.4,994.4,174.7,862.8,933.7,907.6,665.5,601.9,133.2,700.6,787.1,292.4
GO,463.6,842.9,476.9,515.6,946.5,587.4,1133.4,417.9,757.2,444.7,1146.2,111.0,46.4,471.1,557.6,106.3,348.6,475.9,596.9,199.3,645.7,958.1,421.7,409.1,780.1,162.0,819.5,601.9,208.7,879.0,0.0,640.3,636.5,899.0,833.0,855.4,425.9,59.3,277.6,363.0,627.8,738.6,407.9,406.1,389.5,2645.0,570.7,644.4,477.6,413.5,437.6,466.6,353.1,501.7,1091.8,533.4,518.4,508.8,348.7,444.1,342.1,395.6,456.1,499.7,142.8,468.1,1177.4,514.7,356.2,813.0,355.5,401.5,640.1,612.1,377.9,394.8,130.5,546.6,579.1,548.3,402.2,255.7,407.0,461.6,90.5,331.3,428.2,578.0,850.3,869.9,538.3,992.5,332.2,365.1,378.0,368.2,158.8,178.9,329.7,439.6,439.4,863.0,446.4,1137.1,871.5,149.9,417.7,856.8,373.7,430.4,205.6,1128.5,680.8,855.7,491.2,366.2,454.7,1012.0,478.8,480.6,506.0,680.8,537.7,1205.8,8.6,416.3,900.7,1560.6,427.2,198.8,556.7,496.4,905.2,591.8,361.4,1134.1
GP,201.7,620.6,583.9,286.6,530.5,383.4,910.8,703.8,534.9,275.8,709.2,567.6,629.8,302.2,294.8,626.0,573.1,246.9,631.9,719.0,383.8,317.8,597.1,735.8,257.1,681.7,442.9,636.9,728.4,656.7,677.7,0.0,374.6,676.7,420.0,633.1,634.2,607.9,720.5,631.0,365.9,516.3,583.3,554.1,271.0,2214.0,164.7,382.5,308.7,561.5,621.4,297.7,307.8,464.5,869.5,640.4,625.4,683.6,496.7,608.3,685.7,656.4,694.1,270.7,622.1,575.1,955.1,621.7,565.9,172.6,653.1,659.0,517.0,350.2,615.4,316.6,623.1,502.9,456.0,286.4,550.2,656.1,582.4,614.3,646.0,329.6,640.1,392.8,209.9,606.8,485.2,632.7,592.5,513.1,526.0,516.2,678.5,662.4,673.3,615.0,619.5,663.3,711.2,914.8,649.2,635.4,565.7,229.3,521.7,366.5,725.3,906.2,490.8,621.0,322.3,514.2,285.8,789.7,309.9,587.6,340.8,418.9,433.8,983.5,686.7,741.8,576.7,969.8,656.0,694.6,387.8,324.2,682.9,468.7,509.4,911.8
GS,177.9,478.9,567.0,269.7,624.4,401.6,769.4,686.9,393.2,258.9,782.2,550.7,612.9,285.3,88.8,609.1,556.2,230.0,625.0,702.1,242.1,706.0,580.2,718.9,358.5,664.8,277.5,682.4,711.5,515.0,660.8,388.2,0.0,535.0,263.1,491.4,617.3,591.0,703.6,614.1,224.2,374.6,566.4,537.2,254.1,2342.9,318.6,240.8,291.8,544.6,604.5,280.8,290.9,315.9,727.8,623.5,608.5,666.7,479.8,591.4,668.8,574.1,677.2,253.8,605.2,558.2,813.4,604.8,549.0,438.6,636.2,642.1,454.3,208.5,598.5,299.7,606.2,360.8,393.3,144.7,533.3,639.2,565.5,597.4,629.1,312.7,623.2,392.2,563.6,547.8,352.5,670.4,575.6,496.2,509.1,499.3,661.6,645.5,656.4,598.1,602.6,540.9,694.3,773.1,507.5,618.5,548.8,435.2,504.8,349.6,708.4,764.5,358.7,533.6,305.4,497.3,268.9,648.0,293.0,570.7,320.2,259.2,351.9,841.8,669.5,724.9,578.6,1258.5,639.1,677.7,370.9,310.6,541.2,406.0,492.5,770.1
HE,509.6,54.2,898.7,601.4,287.9,733.3,234.3,1018.6,153.0,590.6,247.1,848.0,910.2,617.0,523.5,906.4,887.9,561.7,956.7,999.4,475.3,486.7,911.9,1050.6,666.9,962.1,504.8,1014.1,1008.8,67.3,958.1,795.3,532.5,0.0,505.3,197.7,949.0,888.3,898.5,945.8,457.4,171.6,898.1,868.9,585.8,2077.0,650.3,474.0,623.5,876.3,936.2,612.5,622.6,647.6,192.7,955.2,940.2,998.4,811.5,923.1,963.0,905.8,1008.9,585.5,902.5,889.9,278.3,936.5,880.7,747.0,967.9,1022.4,786.0,364.0,930.2,631.4,903.5,692.5,725.0,426.7,865.0,876.6,897.2,929.1,926.4,644.4,954.9,723.9,753.6,211.3,684.2,333.9,907.3,827.9,840.8,831.0,958.9,942.8,950.6,929.8,934.3,73.9,1026.0,238.0,59.8,915.8,880.5,743.6,836.5,681.3,1005.7,229.4,242.2,197.1,637.1,829.0,600.6,112.9,624.7,902.4,655.6,581.6,683.6,306.7,967.8,1056.6,242.1,805.4,970.8,975.0,702.6,642.3,200.6,737.7,824.2,235.0
HF,230.9,410.9,620.0,322.7,546.8,728.2,701.4,739.9,325.2,311.9,714.2,603.7,665.9,338.3,282.2,662.1,609.2,283.0,678.0,755.1,256.7,453.2,633.2,771.9,161.5,717.8,14.3,735.4,764.5,447.0,713.8,404.8,235.8,467.0,0.0,423.4,670.3,644.0,840.8,667.1,238.8,306.6,619.4,590.2,307.1,2299.5,569.6,255.4,344.8,597.6,657.5,333.8,343.9,368.9,659.8,676.5,661.5,719.7,532.8,644.4,721.8,627.1,730.2,306.8,658.2,611.2,745.4,657.8,602.0,241.6,689.2,695.1,507.3,223.1,651.5,352.7,659.2,413.8,446.3,159.3,586.3,818.9,618.5,650.4,682.1,365.7,676.2,445.2,366.6,470.2,405.5,592.8,628.6,549.2,562.1,552.3,714.6,698.5,709.4,651.1,655.6,453.6,747.3,705.1,439.5,671.5,601.8,238.2,557.8,402.6,761.4,696.5,281.1,456.0,358.4,550.3,321.9,580.0,346.0,623.7,373.2,76.2,404.9,773.8,722.5,777.9,501.0,1215.1,692.1,730.7,423.9,363.6,473.2,459.0,545.5,702.1
HI,457.7,113.3,846.8,549.5,278.5,681.4,403.8,966.7,101.1,538.7,416.6,838.6,900.8,565.1,472.5,897.0,836.0,509.8,904.8,990.0,423.4,477.3,860.0,998.7,615.0,952.7,439.9,962.2,999.4,149.4,948.7,785.9,480.6,169.4,453.4,0.0,897.1,878.9,846.6,893.9,405.5,119.7,846.2,817.0,533.9,2162.7,598.4,422.1,571.6,824.4,884.3,560.6,570.7,595.7,362.2,903.3,888.3,946.5,759.6,871.2,911.1,853.9,957.0,533.6,893.1,838.0,447.8,884.6,828.8,695.1,916.0,970.5,734.1,312.1,878.3,579.5,894.1,640.6,673.1,374.8,813.1,824.7,845.3,877.2,917.0,592.5,903.0,672.0,744.2,201.9,632.3,324.5,855.4,776.0,788.9,779.1,949.5,933.4,898.7,877.9,882.4,156.0,974.1,407.5,141.9,906.4,828.6,691.7,784.6,629.4,996.3,398.9,232.8,187.7,585.2,777.1,548.7,282.4,572.8,850.5,600.0,529.7,631.7,476.2,957.4,1004.7,232.7,974.9,918.9,965.6,650.7,590.4,175.6,685.8,772.3,404.5
HJ,442.8,936.6,158.3,494.8,1072.5,494.7,1226.8,211.9,850.9,372.9,1239.9,315.5,372.8,398.6,536.8,373.9,91.9,455.1,238.2,466.9,624.9,937.3,62.6,225.6,759.3,429.6,686.8,316.1,476.3,972.7,406.0,619.5,615.7,992.7,663.9,949.1,0.0,355.8,227.1,134.2,607.0,832.3,40.2,560.5,543.9,2738.7,549.9,623.6,408.8,567.9,11.6,409.0,507.5,409.0,1185.5,241.0,232.6,205.0,503.1,140.3,192.3,91.8,202.2,478.9,321.2,139.7,1271.1,228.9,84.7,792.2,159.7,147.6,547.4,591.3,58.4,549.2,304.5,399.0,486.4,527.5,556.6,176.1,67.9,157.8,333.1,485.7,124.4,485.3,829.5,995.9,445.6,1118.5,99.1,519.5,532.4,522.6,426.4,410.3,218.5,18.8,135.6,979.3,192.5,1230.8,965.2,316.8,572.1,836.0,528.1,584.8,473.2,1222.2,806.8,981.7,402.1,520.6,397.1,1105.7,406.3,194.8,367.6,660.0,445.0,1299.5,415.7,244.4,1026.7,1504.6,123.4,442.5,404.7,320.7,998.9,499.1,515.8,1227.8
HM,404.2,783.5,426.3,456.2,887.1,528.0,1073.7,367.3,697.8,385.3,1086.8,51.6,21.8,411.7,497.3,46.9,298.0,416.5,546.3,139.9,586.3,898.7,371.1,358.5,720.7,102.6,760.1,551.3,149.3,819.6,69.7,580.9,577.1,839.6,773.6,796.0,375.3,0.0,227.0,312.4,568.4,679.2,357.3,346.7,330.1,2585.6,511.3,585.0,418.2,354.1,387.0,409.8,293.7,442.3,1032.4,482.8,467.8,458.2,289.3,393.5,291.5,345.0,405.5,440.3,83.4,417.5,1118.0,464.1,305.6,753.6,304.9,350.9,580.7,552.7,327.3,335.4,79.9,487.2,519.7,488.9,342.8,205.1,356.4,411.0,38.0,271.9,377.6,518.6,790.9,810.5,478.9,933.1,281.6,305.7,318.6,308.8,99.4,119.5,279.1,389.0,388.8,803.6,395.8,1077.7,812.1,99.3,358.3,797.4,314.3,371.0,146.2,1069.1,621.4,796.3,431.8,306.8,395.3,952.6,419.4,430.0,450.3,621.4,478.3,1146.4,78.7,365.7,841.3,1501.2,376.6,139.4,497.3,433.7,845.8,532.4,302.0,1074.7
HS,471.2,789.8,299.6,523.2,925.7,595.0,1080.3,240.6,704.1,452.3,1093.1,168.7,226.0,478.7,565.2,227.1,171.3,483.5,419.6,320.1,653.3,965.7,244.4,231.8,787.7,282.8,798.7,424.6,329.5,825.9,259.2,647.9,644.1,845.9,812.2,802.3,248.6,209.0,0.0,185.7,635.4,685.5,230.6,413.7,397.1,2591.9,578.3,652.0,485.2,421.1,260.3,474.2,360.7,509.3,1038.7,356.1,341.1,331.5,356.3,266.8,164.8,218.3,278.8,507.3,174.4,290.8,1124.3,337.4,178.9,820.6,178.2,224.2,647.7,619.7,200.6,402.4,157.7,507.5,586.7,555.9,409.8,78.4,229.7,284.3,186.3,338.9,250.9,585.6,857.9,849.1,545.9,971.7,154.9,372.7,385.6,375.8,279.6,263.5,152.4,262.3,262.1,832.5,269.1,1084.0,818.4,170.0,425.3,864.4,381.3,438.0,326.4,1075.4,660.0,834.9,498.8,373.8,462.3,958.9,486.4,303.3,513.6,688.4,545.3,1152.7,267.9,239.0,879.9,1507.5,249.9,295.7,513.2,504.0,852.1,599.4,369.0,1081.0
HW,441.8,855.2,190.1,493.8,991.1,493.7,1145.7,206.0,769.5,371.9,1158.5,234.1,291.4,397.6,534.9,292.5,61.8,454.1,310.1,385.5,623.9,936.3,127.6,219.7,758.3,348.2,864.1,315.1,394.9,891.3,324.6,618.5,614.7,911.3,877.6,867.7,130.5,274.4,145.7,0.0,606.0,750.9,161.2,479.1,462.5,2657.3,548.9,622.6,407.8,486.5,142.2,408.0,426.1,408.0,1104.1,246.6,231.6,222.0,421.7,157.3,110.9,108.8,196.3,477.9,239.8,181.3,1189.7,227.9,69.4,791.2,49.1,141.7,546.4,590.3,82.5,467.8,223.1,398.0,485.4,526.5,475.2,94.7,142.3,174.8,251.7,404.3,141.4,484.3,828.5,914.5,444.6,1037.1,45.4,438.1,451.0,441.2,345.0,328.9,98.5,149.4,152.6,897.9,186.6,1149.4,883.8,235.4,490.7,835.0,446.7,503.4,391.8,1140.8,725.4,900.3,401.1,439.2,396.1,1024.3,405.3,193.8,366.6,659.0,444.0,1218.1,333.6,238.5,945.3,1572.9,140.4,361.1,403.7,316.4,917.5,498.1,434.4,1146.4
HZ,172.0,354.5,561.1,263.8,490.4,395.7,645.0,681.0,268.8,253.0,657.8,544.8,607.0,279.4,186.8,603.2,550.3,224.1,619.1,696.2,25.8,689.2,574.3,713.0,352.2,658.9,312.2,676.5,705.6,390.6,654.9,382.3,194.9,410.6,325.7,367.0,611.4,585.1,697.7,608.2,0.0,250.2,560.5,531.3,248.2,2243.1,312.7,16.5,285.9,538.7,598.6,274.9,285.0,310.0,603.4,617.6,602.6,660.8,473.9,585.5,662.9,568.2,671.3,247.9,599.3,552.3,689.0,598.9,543.1,432.3,630.3,636.2,448.4,84.1,592.6,293.8,600.3,354.9,387.4,89.1,527.4,633.3,559.6,591.5,623.2,306.8,617.3,386.3,557.3,413.8,346.6,536.4,569.7,490.3,503.2,493.4,655.7,639.6,650.5,592.2,596.7,397.2,688.4,648.7,383.1,612.6,542.9,428.9,498.9,343.7,702.5,640.1,224.7,399.6,299.5,491.4,263.0,523.6,287.1,564.8,314.3,252.9,346.0,717.4,663.6,719.0,444.6,1158.7,633.2,671.8,365.0,304.7,416.8,400.1,486.6,645.7
IM,337.9,104.2,727.0,429.7,269.4,561.6,394.7,846.9,18.6,418.9,407.5,677.2,739.4,445.3,352.7,735.6,716.2,390.0,785.0,828.6,303.6,468.2,740.2,878.9,495.2,791.3,320.1,842.4,838.0,140.3,787.3,548.2,360.8,160.3,333.6,116.7,777.3,717.5,726.8,774.1,285.7,0.0,726.4,697.2,414.1,2042.9,478.6,302.3,451.8,704.6,764.5,440.8,450.9,475.9,353.1,783.5,768.5,826.7,639.8,751.4,791.3,734.1,837.2,413.8,731.7,718.2,438.7,764.8,709.0,575.3,796.2,850.7,614.3,192.3,758.5,459.7,732.7,520.8,553.3,255.0,693.3,704.9,725.5,757.4,755.6,472.7,783.2,552.2,735.1,192.8,512.5,315.4,735.6,656.2,669.1,659.3,788.1,772.0,778.9,758.1,762.6,146.9,854.3,398.4,132.8,745.0,708.8,571.9,664.8,509.6,834.9,389.8,223.7,178.6,465.4,657.3,428.9,273.3,453.0,730.7,480.2,409.9,511.9,467.1,796.0,884.9,223.6,958.5,799.1,804.2,530.9,470.6,166.5,566.0,652.5,395.4
IU,402.5,908.5,118.0,454.5,1044.4,454.4,1199.0,179.6,822.8,332.6,1211.8,287.4,344.7,358.3,496.5,345.8,51.6,414.8,197.9,438.8,584.6,897.0,22.3,211.6,719.0,401.5,638.0,275.8,448.2,944.6,377.9,579.2,575.4,964.6,623.6,921.0,50.8,327.7,199.0,109.5,566.7,804.2,0.0,532.4,515.8,2710.6,509.6,583.3,368.5,539.8,38.0,368.7,479.4,368.7,1157.4,200.7,192.3,164.7,475.0,100.0,164.2,51.5,169.9,438.6,293.1,99.4,1243.0,188.6,44.4,751.9,131.6,137.5,507.1,551.0,93.9,521.1,276.4,358.7,446.1,487.2,528.5,148.0,27.6,117.5,305.0,457.6,84.1,445.0,789.2,967.8,405.3,1090.4,71.0,491.4,504.3,494.5,398.3,382.2,151.8,31.6,95.3,951.2,187.0,1202.7,937.1,288.7,544.0,795.7,500.0,556.7,445.1,1194.1,778.7,953.6,361.8,492.5,356.8,1077.6,366.0,154.5,331.0,619.7,404.7,1271.4,386.6,217.6,998.6,1464.3,83.1,414.4,364.4,277.1,970.8,458.8,487.7,1199.7
IV,349.9,768.8,639.1,401.9,904.7,473.7,1059.0,582.3,683.1,331.0,1072.1,331.6,393.8,357.4,443.9,390.0,513.0,362.2,697.1,483.0,532.0,844.4,652.3,573.5,666.4,445.7,593.9,754.5,492.4,804.9,441.7,526.6,522.8,824.9,571.0,781.3,590.3,371.9,442.0,527.4,514.1,664.5,638.5,0.0,275.8,2657.4,457.0,530.7,363.9,58.4,676.6,352.9,239.4,388.0,1017.7,695.6,680.6,738.8,84.3,663.5,506.5,560.0,620.5,386.0,386.1,630.3,1103.3,676.9,520.6,699.3,519.9,565.9,526.4,498.4,542.3,281.1,387.1,432.9,465.4,434.6,146.8,420.1,637.6,669.5,410.0,217.6,592.6,464.3,736.6,828.1,424.6,950.7,496.6,119.7,73.5,126.7,442.5,426.4,494.1,670.2,603.8,811.5,610.8,1063.0,797.4,399.4,63.2,743.1,61.0,316.7,489.3,1054.4,639.0,813.9,377.5,110.8,341.0,937.9,365.1,642.8,396.0,567.1,424.0,1131.7,450.7,580.7,858.9,1573.0,591.6,458.6,443.0,379.4,831.1,478.1,79.5,1060.0
IY,74.0,492.9,363.2,126.0,628.8,197.8,783.4,483.1,407.2,55.1,796.2,296.5,358.7,81.5,168.0,354.9,352.4,86.3,421.2,447.9,256.1,568.5,376.4,515.1,390.5,410.6,309.5,478.6,457.3,529.0,406.6,250.7,246.9,549.0,295.1,505.4,413.5,336.8,406.9,410.3,238.2,388.6,362.6,283.0,0.0,2381.5,181.1,254.8,88.0,290.4,400.7,77.0,36.7,112.1,741.8,419.7,404.7,462.9,225.6,387.6,465.0,370.3,473.4,110.1,351.0,354.4,827.4,401.0,345.2,423.4,432.4,438.3,250.5,222.5,394.7,45.5,352.0,157.0,189.5,158.7,279.1,385.0,361.7,393.6,374.9,58.5,419.4,188.4,460.7,552.2,148.7,674.8,371.8,242.0,254.9,245.1,407.4,391.3,452.6,394.3,398.8,535.6,490.5,787.1,521.5,364.3,294.6,467.2,250.6,95.4,454.2,778.5,363.1,538.0,101.6,243.1,65.1,662.0,89.2,366.9,116.4,291.2,148.1,855.8,415.3,521.1,583.0,1297.1,435.3,423.5,167.1,106.8,555.2,202.2,238.3,784.1
IZ,2295.1,2022.1,2662.2,2386.9,2087.6,2394.5,1955.5,2717.4,2045.1,2376.1,1711.8,2527.5,2589.7,2402.5,2309.9,2585.9,2648.1,2347.2,2643.0,2678.9,2260.8,2161.3,2697.4,2708.6,2289.7,2641.6,2277.3,2648.0,2688.3,2035.2,2637.6,2211.2,2321.7,1967.8,2290.8,2143.3,2725.4,2567.8,2577.1,2662.5,2242.9,2026.5,2683.6,2636.0,2371.3,0.0,2376.0,2259.5,2498.8,2643.4,2721.7,2398.0,2408.1,2475.6,1913.9,2740.7,2725.7,2783.9,2578.6,2686.6,2641.6,2695.1,2755.6,2371.0,2582.0,2675.4,1999.5,2722.0,2655.7,2205.2,2655.0,2701.0,2528.1,2149.5,2677.4,2416.9,2583.0,2514.0,2467.1,2212.2,2632.1,2555.2,2682.7,2692.6,2605.9,2429.9,2718.4,2403.9,2090.1,2088.5,2496.3,1966.4,2631.7,2595.0,2607.9,2598.1,2638.4,2622.3,2629.2,2715.3,2738.9,2041.8,2745.9,1959.2,2027.7,2595.3,2647.6,2261.9,2603.6,2466.8,2685.2,1950.6,2156.6,2102.7,2422.6,2596.1,2386.1,1855.9,2410.2,2687.9,2523.3,2367.1,2444.9,1926.4,2646.3,2715.8,2058.4,2063.9,2726.7,2654.5,2545.4,2427.8,2193.1,2479.8,2591.3,1956.2
JA,120.8,539.7,503.0,205.7,675.6,337.6,830.2,622.9,454.0,194.9,843.0,486.7,548.9,221.3,214.8,545.1,492.2,166.0,561.0,638.1,302.9,491.2,516.2,654.9,437.3,600.8,356.3,618.4,647.5,575.8,596.8,173.4,293.7,595.8,341.9,552.2,553.3,527.0,639.6,550.1,285.0,435.4,502.4,473.2,190.1,2428.3,0.0,301.6,227.8,480.6,540.5,216.8,226.9,251.9,788.6,559.5,544.5,602.7,415.8,527.4,604.8,510.1,613.2,189.8,541.2,494.2,874.2,540.8,485.0,346.1,572.2,578.1,390.3,269.3,534.5,235.7,542.2,296.8,329.3,205.5,469.3,575.2,501.5,533.4,565.1,248.7,559.2,328.2,383.4,599.0,288.5,721.6,511.6,432.2,445.1,435.3,597.6,581.5,592.4,534.1,538.6,582.4,630.3,833.9,568.3,554.5,484.8,402.8,440.8,285.6,644.4,825.3,409.9,584.8,241.4,433.3,204.9,708.8,229.0,506.7,256.2,338.0,287.9,902.6,605.5,660.9,629.8,1143.3,575.1,613.7,306.9,246.6,602.0,342.0,428.5,830.9
