from_stop,AC,AH,AP,AS,AT,AW,BG,BN,BT,BU,BX,BZ,CO,CP,CQ,CS,CT,CV,DC,DG,DK,DO,DV,DZ,EE,EI,EO,EP,EQ,ER,ES,EW,EZ,FJ,FK,FM,FN,FQ,FZ,GE,GF,GI,GL,GO,GU,HA,HD,HE,HP,HW,IB,IO,JF,KG,KL,KM,KN,KS,LF,LH,LL,LM,LO,LU,LX,MA,MB,MD,MJ,NA,NF,NJ,NN,NT,NV,NW,OB,OC,OF,OG,OP,OR,OW,OZ,PB,PF,PH,PO,PU,PV,PX,QC,QL,QM,QR,RC,RD,RJ,RM,RO,RP,RT,SB,SD,SF,SG,SS,ST,SW,TB,TC,TF,TS,TU,UG,UH,UM,VB,VF,VH,VU,VW,WB,WK,WM,WO,WT,WU,WV,XA,XD,XE,XH,XI,XR,YA,YB,YJ,YK,YN,YV,YZ,ZA,ZD,ZG,ZM,ZP,ZU,ZV,ZY
DO,469.2,226.1,321.1,341.5,346.9,368.5,205.7,376.2,360.2,464.7,481.7,435.1,308.9,433.3,396.1,121.1,107.0,363.1,268.0,258.2,93.7,0.0,469.6,409.3,250.3,288.1,456.0,312.0,419.5,200.8,329.6,417.3,347.4,371.1,306.4,353.1,315.6,298.3,360.2,353.2,194.2,288.2,416.1,232.4,368.7,360.8,256.2,178.4,324.9,504.0,208.2,203.5,329.3,184.5,368.8,237.1,401.4,401.4,204.5,411.1,161.9,195.4,401.1,513.5,417.1,224.2,170.1,506.7,213.0,354.6,241.8,273.5,444.8,452.3,248.9,464.1,233.7,336.7,128.1,252.2,344.2,337.4,376.4,434.0,208.9,393.5,233.3,356.0,200.8,213.0,235.8,481.3,392.5,434.4,411.4,368.5,489.4,368.6,136.6,208.2,344.8,185.5,433.6,491.0,75.2,273.1,409.5,425.6,196.1,292.6,272.4,306.8,435.5,481.5,448.4,329.2,320.2,364.7,313.8,489.8,264.2,321.2,337.8,256.3,546.0,304.5,3241.7,320.2,193.3,104.1,376.9,112.3,284.6,369.7,77.7,308.8,268.7,339.3,316.9,384.8,256.1,366.5,171.5,324.2,132.0,444.7,202.0,381.2,330.2,331.1
DV,193.7,677.7,337.6,793.1,197.9,820.1,515.0,823.6,182.5,922.2,167.4,258.1,334.4,43.6,125.7,563.0,573.6,814.7,719.6,709.8,527.4,483.8,0.0,860.9,701.9,739.7,907.6,339.6,229.4,417.0,141.4,112.4,799.0,822.7,758.0,802.7,315.0,306.3,817.7,257.1,433.7,739.8,66.9,472.3,826.2,291.9,451.9,625.1,283.3,961.5,469.3,607.1,780.9,549.2,823.9,455.4,257.8,853.0,444.0,271.1,628.5,579.8,196.8,142.6,128.7,439.9,521.3,958.3,351.5,305.5,693.4,467.9,896.4,903.9,374.1,183.8,691.2,788.3,645.5,703.8,112.6,377.1,306.2,891.5,593.3,845.1,482.9,807.6,621.0,614.1,442.7,51.7,844.1,886.0,243.7,299.9,203.2,235.2,542.0,496.5,181.3,354.8,217.6,942.6,508.9,396.2,239.5,143.1,554.9,312.0,724.0,764.3,243.9,933.1,202.9,326.0,288.1,112.2,416.8,941.4,719.3,321.8,795.3,422.9,227.5,762.0,3088.1,167.6,650.8,556.7,228.0,506.9,379.4,124.3,511.4,760.4,430.4,790.9,768.5,148.6,401.2,312.8,528.1,775.8,526.3,234.7,603.1,832.8,272.6,782.7
DZ,745.2,184.7,603.0,114.6,639.8,161.6,481.7,113.7,659.0,61.2,757.7,711.1,584.9,726.2,689.0,403.0,368.4,247.3,142.2,186.4,442.9,368.3,768.4,0.0,269.6,250.1,40.4,604.9,695.5,493.7,628.4,710.2,275.6,270.5,237.0,152.1,591.6,591.2,294.3,629.2,472.2,335.2,714.9,458.3,35.1,636.8,537.2,454.4,600.9,100.5,484.2,479.5,81.7,466.4,136.9,513.1,677.4,240.2,480.5,687.1,423.3,471.4,699.9,747.9,710.0,500.2,449.0,97.3,505.9,630.6,169.4,555.4,217.9,42.9,555.9,746.0,197.5,249.3,410.0,159.3,643.0,613.4,658.3,30.5,484.9,186.6,533.5,284.2,473.4,489.0,511.8,774.2,57.1,143.2,655.4,650.4,725.1,644.6,418.5,490.1,637.7,484.3,715.5,81.6,389.9,569.8,685.5,724.4,472.1,585.5,256.5,206.9,711.5,72.1,730.3,605.2,596.2,657.6,592.5,80.4,225.6,620.0,259.5,532.3,827.9,226.9,2789.2,619.0,325.8,386.0,652.9,394.2,554.4,668.5,426.9,237.0,544.7,267.5,245.1,683.6,521.8,665.3,447.5,212.5,408.0,720.7,478.0,259.6,623.1,124.2
EE,626.9,164.2,484.7,239.8,521.5,170.2,363.4,243.4,540.7,372.4,639.4,592.8,466.6,607.9,570.7,284.7,250.1,129.5,181.1,148.2,324.6,250.0,650.1,311.1,0.0,54.5,357.8,486.6,577.2,375.4,510.1,591.9,185.9,124.3,72.8,184.8,473.3,472.9,183.4,510.9,353.9,83.6,596.6,340.0,287.7,518.5,418.9,336.1,482.6,261.9,365.9,361.2,242.4,348.1,217.7,394.8,559.1,139.0,362.2,568.8,305.0,353.1,585.0,629.6,591.7,381.9,330.7,319.0,387.6,512.3,179.9,437.1,343.1,354.1,429.4,627.7,177.7,106.8,291.7,165.3,524.7,495.1,540.0,341.7,366.6,145.6,407.2,194.5,355.1,370.7,393.5,655.9,279.1,207.4,537.1,532.1,606.8,526.3,300.2,371.8,519.4,366.0,597.2,278.1,271.6,451.5,567.2,606.1,353.8,467.2,210.5,79.1,593.2,314.5,612.0,486.9,477.9,539.3,474.2,216.1,172.3,501.7,113.3,414.0,709.6,76.8,2967.7,500.7,56.1,267.7,534.6,275.9,436.1,550.2,308.6,127.3,426.4,177.8,155.4,565.3,403.5,547.0,329.2,90.6,289.7,602.4,359.7,134.4,504.8,208.0
EI,674.0,175.3,531.8,225.5,568.6,156.3,410.5,224.9,587.8,286.7,686.5,639.9,513.7,655.0,617.8,335.0,297.2,103.2,166.8,133.9,371.7,297.1,697.2,296.8,83.8,0.0,343.5,533.7,624.3,422.5,557.2,639.0,171.6,98.0,46.5,165.8,520.4,520.0,169.1,558.0,399.0,103.7,643.7,387.1,273.4,565.6,466.0,383.2,529.7,221.5,413.0,408.3,228.1,395.2,203.4,441.9,606.2,115.4,409.3,615.9,352.1,400.2,628.7,676.7,638.8,429.0,377.8,278.6,434.7,559.4,160.0,484.2,328.8,339.8,476.5,674.8,188.5,80.5,338.8,151.0,571.8,542.2,587.1,327.4,413.7,131.3,454.1,180.2,402.2,417.8,440.6,703.0,264.8,193.1,584.2,579.2,653.9,573.4,347.3,418.9,566.5,413.1,644.3,237.7,318.7,500.7,614.3,653.2,400.9,514.3,179.6,52.8,640.3,274.1,659.1,534.0,525.0,586.4,521.3,175.7,160.4,548.8,83.8,461.1,756.7,22.2,2927.3,547.8,103.2,314.8,581.7,323.0,483.2,597.3,355.7,113.0,473.5,163.5,141.1,612.4,450.6,594.1,376.3,36.0,336.8,649.5,406.8,108.1,551.9,193.7
EO,802.2,241.7,660.0,171.6,696.8,218.6,538.7,174.9,716.0,65.5,814.7,768.1,641.9,783.2,746.0,463.2,425.4,304.3,200.3,243.4,499.9,425.3,825.4,78.5,340.4,320.9,0.0,661.9,752.5,550.7,685.4,767.2,332.6,326.0,307.8,209.1,648.6,648.2,351.3,686.2,527.2,412.4,771.9,515.3,92.1,693.8,594.2,511.4,657.9,171.3,541.2,536.5,138.7,523.4,196.3,570.1,734.4,297.2,537.5,744.1,480.3,528.4,756.9,804.9,767.0,557.2,506.0,80.4,562.9,687.6,226.4,612.4,274.9,44.2,604.7,803.0,254.5,323.8,467.0,216.3,700.0,670.4,715.3,57.1,541.9,243.6,590.5,341.2,530.4,546.0,568.8,831.2,114.1,200.2,712.4,707.4,782.1,701.6,475.5,547.1,694.7,541.3,772.5,152.4,446.9,628.9,742.5,781.4,529.1,642.5,313.5,277.7,768.5,82.7,787.3,662.2,653.2,714.6,649.5,151.2,282.6,677.0,317.9,589.3,884.9,297.7,2816.6,676.0,361.0,443.0,709.9,451.2,611.4,725.5,483.9,294.0,601.7,324.5,302.1,740.6,578.8,722.3,504.5,283.3,465.0,777.7,535.0,316.6,680.1,181.2
EP,307.0,466.3,191.5,581.7,188.3,608.7,285.7,616.4,207.5,710.8,320.5,284.8,92.6,335.5,298.3,274.5,448.4,603.3,508.2,498.4,316.0,272.4,377.7,649.5,490.5,528.3,696.2,0.0,138.9,131.0,237.7,319.5,587.6,611.3,546.6,594.5,180.1,114.4,606.3,259.8,204.4,528.4,324.2,174.0,614.8,232.1,147.5,413.7,277.4,750.1,201.3,377.8,569.5,319.9,612.5,131.7,224.0,641.6,214.7,248.9,503.3,350.5,224.2,284.0,319.3,130.2,232.3,746.9,177.6,139.8,482.0,154.9,685.0,692.5,155.5,307.8,479.8,576.9,470.6,492.4,252.3,231.0,398.9,680.1,364.0,633.7,253.6,596.2,401.0,384.8,172.6,383.5,632.7,674.6,136.7,232.9,249.4,245.3,238.3,198.2,247.0,236.5,239.7,731.2,297.5,136.9,171.4,271.3,325.6,78.2,512.6,552.9,358.2,721.7,292.1,165.2,336.8,266.9,211.1,730.0,507.9,26.7,587.1,179.5,389.7,550.6,3039.6,228.3,439.4,345.3,194.2,332.0,110.1,323.7,300.0,549.0,148.3,579.5,557.1,292.9,77.5,315.2,353.2,564.4,288.1,363.9,373.8,621.4,87.3,571.3
EQ,168.7,578.3,124.8,693.7,57.5,720.7,296.5,724.2,76.7,822.8,182.2,146.5,115.9,186.6,195.2,382.7,459.2,715.3,620.2,610.4,387.7,344.1,228.8,761.5,602.5,640.3,808.2,133.5,0.0,247.7,88.8,182.9,699.6,723.3,658.6,711.2,98.7,155.3,718.3,115.4,215.2,640.4,221.1,303.5,726.8,87.7,233.4,485.4,133.0,862.1,302.7,388.6,681.5,330.7,724.5,220.8,85.0,756.3,225.5,110.6,514.1,361.3,85.2,145.0,131.5,221.4,359.1,858.9,200.5,76.0,594.0,255.6,797.0,804.5,224.8,169.5,591.8,692.6,481.4,604.4,149.2,164.3,178.1,792.1,374.8,745.7,264.4,708.2,402.5,395.6,302.1,280.4,744.7,786.6,71.9,88.5,110.4,107.0,329.5,327.7,77.1,215.0,100.7,843.2,369.2,177.8,27.0,132.3,336.4,133.9,624.6,664.9,219.2,833.7,153.8,101.4,115.3,118.0,198.3,766.5,619.9,115.7,695.9,204.4,251.4,662.6,3007.6,125.2,551.4,417.0,55.2,342.8,160.9,175.1,371.7,661.0,289.8,691.5,669.1,123.0,196.2,224.3,364.0,676.4,362.2,218.5,384.6,733.4,109.8,683.3
ER,393.6,386.2,292.1,501.6,249.3,528.6,267.2,532.1,268.5,630.7,407.1,329.9,163.9,335.7,298.5,191.2,282.1,523.2,428.1,418.3,235.9,192.3,377.9,569.4,410.4,448.2,616.1,142.1,243.5,0.0,237.9,319.7,507.5,531.2,466.5,519.1,298.7,97.4,526.2,308.5,185.9,448.3,324.4,93.9,534.7,319.7,123.7,333.6,323.0,670.0,121.2,359.3,489.4,301.4,532.4,113.2,309.2,564.2,196.2,335.5,337.0,332.0,309.4,357.4,319.5,111.7,149.5,666.8,43.1,234.6,401.9,125.7,604.9,612.4,53.9,394.4,399.7,500.5,323.7,412.3,252.5,335.5,380.4,600.0,345.5,553.6,235.1,516.1,373.2,366.3,92.5,383.7,552.6,594.5,186.3,320.5,334.6,286.6,191.8,118.1,247.2,106.5,324.9,651.1,217.4,78.1,259.0,333.9,307.1,122.7,432.5,472.8,433.6,641.6,378.7,260.0,318.3,267.1,192.6,649.9,427.8,157.2,503.8,161.0,476.3,470.5,3055.1,228.5,359.3,265.2,279.4,235.7,91.6,323.9,219.9,468.9,80.2,499.4,477.0,293.1,59.0,315.4,334.7,484.3,231.5,442.8,355.3,541.3,154.0,491.2
ES,170.5,600.9,202.7,716.3,56.4,743.3,373.5,746.8,71.7,845.4,166.6,137.0,192.9,97.7,82.5,377.8,481.8,737.9,642.8,633.0,363.9,320.3,139.9,784.1,625.1,662.9,830.8,198.1,87.9,253.4,0.0,94.0,722.2,745.9,681.2,733.8,180.1,164.8,740.9,115.6,292.2,663.0,145.4,280.5,749.4,150.4,310.4,461.6,141.8,884.7,307.8,465.6,704.1,407.7,747.1,313.9,116.3,778.9,302.5,129.6,536.7,438.3,103.9,119.4,81.5,298.4,336.1,881.5,210.0,164.0,616.6,326.4,819.6,827.1,210.5,183.0,614.4,715.2,504.0,627.0,89.2,242.2,209.4,814.7,451.8,768.3,341.4,730.8,479.5,472.6,279.1,161.6,767.3,809.2,102.2,165.0,134.5,93.7,378.4,304.7,54.3,191.2,106.8,865.8,345.4,187.3,98.0,95.9,413.4,170.5,647.2,687.5,243.1,856.3,155.7,189.4,146.6,29.1,275.3,864.6,642.5,180.3,718.5,281.4,256.1,685.2,2988.0,116.7,574.0,393.2,86.5,365.4,237.9,86.2,347.9,683.6,266.8,714.1,691.7,73.7,259.7,200.5,386.6,699.0,384.8,227.4,461.6,756.0,131.1,705.9
EW,137.4,595.2,305.9,710.6,159.6,737.6,476.7,745.3,143.1,839.7,122.0,218.7,296.1,68.7,31.8,480.5,491.1,732.2,637.1,627.3,444.9,401.3,110.9,778.4,619.4,657.2,825.1,301.3,191.1,334.5,103.1,0.0,716.5,740.2,675.5,728.1,283.3,335.1,735.2,218.8,395.4,657.3,72.7,389.8,743.7,253.6,417.1,542.6,245.0,879.0,386.8,568.8,698.4,510.9,741.4,406.6,219.5,770.5,405.7,232.8,546.0,541.5,146.4,86.3,78.3,405.1,441.5,875.8,313.2,267.2,610.9,409.5,813.9,821.4,299.8,138.4,608.7,705.8,532.7,621.3,57.6,345.4,255.8,809.0,555.0,762.6,444.6,725.1,592.0,575.8,360.2,76.0,761.6,803.5,205.4,268.2,152.8,196.9,459.5,414.0,140.4,272.3,178.2,860.1,426.4,313.7,201.2,92.7,516.6,273.7,641.5,681.8,198.5,850.6,152.5,292.6,249.8,73.9,378.5,858.9,636.8,283.5,712.8,384.6,209.1,679.5,3044.5,85.1,568.3,474.2,189.7,468.6,385.0,51.6,428.9,677.9,347.9,708.4,686.0,98.2,352.4,230.3,489.8,693.3,488.0,194.9,564.8,750.3,234.3,700.2
EZ,676.9,116.4,534.7,181.4,571.5,208.4,413.4,211.9,590.7,310.5,689.4,642.8,516.6,657.9,620.7,337.9,300.1,192.6,107.9,75.0,374.6,300.0,700.1,249.2,192.6,169.0,295.9,536.6,627.2,425.4,560.1,641.9,0.0,156.4,167.9,198.9,523.3,522.9,151.4,560.9,401.9,212.5,646.6,390.0,214.5,568.5,468.9,386.1,532.6,349.8,415.9,411.2,169.2,398.1,212.2,444.8,609.1,189.4,412.2,618.8,355.0,403.1,631.6,679.6,641.7,431.9,380.7,346.6,437.6,562.3,101.1,487.1,284.7,292.2,479.4,677.7,129.6,160.8,341.7,92.1,574.7,545.1,590.0,279.8,416.6,191.1,465.2,8.6,405.1,420.7,443.5,705.9,232.4,252.9,587.1,582.1,656.8,576.3,350.2,421.8,569.4,416.0,647.2,330.9,321.6,503.6,617.2,656.1,403.8,517.2,120.7,156.2,643.2,321.4,662.0,536.9,527.9,589.3,524.2,329.7,101.5,551.7,199.5,464.0,759.6,191.3,3038.5,550.7,212.0,317.7,584.6,325.9,486.1,600.2,358.6,94.1,476.4,124.6,102.2,615.3,453.5,597.0,379.2,205.1,339.7,652.4,409.7,166.5,554.8,171.0
FJ,703.9,143.4,561.7,176.8,598.5,107.6,440.4,176.2,617.7,309.4,716.4,669.8,543.6,684.9,647.7,364.9,327.1,70.5,134.9,102.0,401.6,321.1,727.1,248.1,141.1,105.5,294.8,563.6,654.2,452.4,587.1,668.9,139.7,0.0,67.3,117.1,550.3,549.9,137.2,587.9,428.9,161.0,673.6,417.0,227.9,595.5,495.9,413.1,559.6,264.8,442.9,438.2,182.6,425.1,154.7,471.8,636.1,32.9,439.2,645.8,382.0,430.1,658.6,706.6,668.7,458.9,407.7,345.5,464.6,589.3,128.1,514.1,280.1,291.1,506.4,704.7,156.6,57.7,368.7,119.1,601.7,572.1,617.0,278.7,443.6,82.6,492.2,148.3,432.1,447.7,470.5,732.9,216.1,144.4,614.1,609.1,683.8,603.3,377.2,448.8,596.4,443.0,674.2,329.8,348.6,530.6,644.2,683.1,430.8,544.2,147.7,71.1,670.2,320.3,689.0,563.9,554.9,616.3,551.2,219.0,128.5,578.7,38.6,491.0,786.6,127.8,2970.6,577.7,160.5,344.7,611.6,352.9,513.1,627.2,385.6,81.1,503.4,131.6,109.2,642.3,480.5,624.0,406.2,144.1,366.7,679.4,436.7,10.1,581.8,145.0
FK,681.8,156.9,539.6,187.4,576.4,118.2,418.3,186.8,595.6,320.0,694.3,647.7,521.5,662.8,625.6,342.8,305.0,56.6,148.4,115.5,379.5,304.9,705.0,258.7,91.6,56.0,305.4,541.5,632.1,430.3,565.0,646.8,153.2,64.8,0.0,127.7,528.2,527.8,150.7,565.8,406.8,111.5,651.5,394.9,238.5,573.4,473.8,391.0,537.5,245.3,420.8,416.1,193.2,403.0,165.3,449.7,614.0,68.8,417.1,623.7,359.9,408.0,636.5,684.5,646.6,436.8,385.6,356.1,442.5,567.2,141.6,492.0,290.7,301.7,484.3,682.6,170.1,47.3,346.6,132.6,579.6,550.0,594.9,289.3,421.5,93.2,461.9,161.8,410.0,425.6,448.4,710.8,226.7,155.0,592.0,587.0,661.7,581.2,355.1,426.7,574.3,420.9,652.1,261.5,326.5,508.5,622.1,661.0,408.7,522.1,161.2,39.6,648.1,330.9,666.9,541.8,532.8,594.2,529.1,199.5,142.0,556.6,37.2,468.9,764.5,78.3,2951.1,555.6,111.0,322.6,589.5,330.8,491.0,605.1,363.5,94.6,481.3,145.1,122.7,620.2,458.4,601.9,384.1,92.1,344.6,657.3,414.6,74.9,559.7,155.6
FM,708.2,147.7,566.0,59.6,602.8,9.8,444.7,63.2,622.0,202.0,720.7,674.1,547.9,689.2,652.0,366.0,331.4,95.1,105.2,165.9,405.9,320.7,726.7,145.4,194.9,166.6,192.1,563.2,658.5,456.7,591.4,673.2,203.6,116.8,128.1,0.0,554.6,554.2,201.1,592.2,435.2,210.1,677.9,416.6,110.7,599.8,495.2,417.4,563.9,241.3,449.2,442.5,65.4,429.4,39.9,476.1,640.4,91.0,443.5,650.1,386.3,434.4,666.3,710.9,673.0,463.2,409.1,242.8,468.9,593.6,132.4,518.4,162.9,188.4,518.9,709.0,160.5,130.2,373.0,122.3,606.0,576.4,621.3,176.0,447.9,34.4,496.5,216.9,445.7,452.0,474.8,737.2,116.9,89.5,618.4,613.4,688.1,602.9,381.5,448.4,600.7,447.3,678.5,227.1,352.9,532.8,648.5,682.7,435.1,548.5,211.6,160.8,674.5,217.6,693.3,568.2,559.2,620.6,558.7,225.9,190.0,583.0,121.0,490.6,790.9,193.6,2934.7,582.0,209.6,344.3,615.9,357.2,517.4,631.5,389.9,145.0,507.7,195.5,173.1,646.6,484.8,623.6,410.5,202.7,371.0,683.7,441.0,112.1,586.1,27.8
FN,153.5,450.6,26.0,566.0,164.1,593.0,255.6,596.5,197.5,695.1,167.0,131.3,159.9,293.7,273.6,270.4,331.5,587.6,492.5,482.7,394.6,336.8,293.4,633.8,474.8,512.6,680.5,184.3,108.9,300.8,233.4,279.1,571.9,595.6,530.9,583.5,0.0,208.4,590.6,99.4,174.3,512.7,303.1,347.6,599.1,90.5,278.4,406.1,125.6,734.4,347.7,347.7,553.8,289.8,596.8,189.5,145.9,628.6,184.6,95.4,386.4,320.4,189.9,197.8,211.0,266.4,313.2,731.2,253.6,73.6,466.3,306.4,669.3,676.8,277.9,154.3,464.1,564.9,353.7,476.7,255.8,65.5,193.2,664.4,333.9,618.0,223.5,580.5,361.6,354.7,346.2,304.6,617.0,658.9,135.9,91.3,183.3,91.8,244.6,371.8,223.5,312.5,135.7,715.5,341.6,230.9,115.7,197.2,295.5,184.7,496.9,537.2,232.4,706.0,138.6,48.2,130.4,251.9,237.1,714.3,492.2,166.5,568.2,163.5,236.2,534.9,3105.9,231.8,423.7,337.7,100.1,215.1,211.7,278.9,378.6,533.3,321.9,563.8,541.4,242.7,236.2,330.9,236.3,548.7,234.5,208.1,343.7,605.7,173.8,555.6
FQ,294.7,499.1,308.1,614.5,163.4,641.5,380.1,645.0,182.6,743.6,308.2,244.0,276.8,249.8,212.6,304.1,395.0,636.1,541.0,531.2,348.8,305.2,292.0,682.3,523.3,561.1,729.0,255.0,194.9,112.8,152.0,233.8,620.4,644.1,579.4,632.0,314.7,0.0,639.1,222.6,298.8,561.2,238.5,206.8,647.6,257.4,236.6,446.5,248.8,782.9,234.1,472.2,602.3,414.3,645.3,226.1,223.3,677.1,309.1,236.6,449.9,444.9,223.5,271.5,233.6,224.6,262.4,779.7,142.0,250.6,514.8,238.6,717.8,725.3,50.7,295.5,512.6,613.4,436.6,525.2,166.6,347.6,316.4,712.9,458.4,666.5,348.0,629.0,486.1,479.2,205.4,297.8,665.5,707.4,202.3,272.0,248.7,200.7,304.7,231.0,161.3,142.5,239.0,764.0,330.3,22.5,205.0,248.0,420.0,235.6,545.4,585.7,357.5,754.5,279.8,276.0,253.6,181.2,305.5,762.8,540.7,270.1,616.7,273.9,377.4,583.4,2957.6,142.6,472.2,378.1,193.5,348.6,204.5,238.0,332.8,581.8,193.1,612.3,589.9,207.2,171.9,229.5,447.6,597.2,344.4,356.8,468.2,654.2,170.0,604.1
FZ,704.5,144.0,562.3,209.0,599.1,182.1,441.0,251.1,618.3,338.1,717.0,670.4,544.2,685.5,648.3,362.3,327.7,159.0,136.7,102.6,402.2,321.7,727.7,276.8,159.0,135.4,323.5,564.2,654.8,453.0,587.7,669.5,140.3,122.8,134.3,192.0,550.9,550.5,0.0,588.5,429.5,178.9,674.2,417.6,242.1,596.1,496.5,413.7,560.2,316.3,443.5,438.8,196.8,425.7,232.0,472.4,636.7,153.1,439.8,646.4,382.6,430.7,659.2,707.2,669.3,459.5,408.3,374.2,465.2,589.9,128.7,514.7,312.3,319.8,515.2,705.3,157.2,123.5,369.3,119.7,602.3,572.7,617.6,307.4,444.2,157.5,492.8,148.9,432.7,448.3,471.1,733.5,260.0,219.3,614.7,609.7,684.4,603.9,377.8,449.4,597.0,443.6,674.8,358.5,349.2,529.1,644.8,683.7,431.4,544.8,148.3,122.6,670.8,349.0,689.6,564.5,555.5,616.9,555.0,270.5,129.1,579.3,165.9,491.6,787.2,157.7,3022.1,578.3,178.4,345.3,612.2,353.5,513.7,627.8,386.2,81.7,504.0,132.2,109.8,642.9,481.1,624.6,406.8,171.5,367.3,680.0,437.3,132.9,582.4,198.6
GE,95.0,485.2,90.0,600.6,87.6,627.6,323.1,631.1,106.8,729.7,108.5,88.5,182.7,216.7,225.3,305.0,366.1,622.2,527.1,517.3,417.8,380.1,234.9,668.4,509.4,547.2,715.1,200.3,66.7,284.7,118.9,213.0,606.5,630.2,565.5,618.1,67.4,192.3,625.2,0.0,241.8,547.3,251.2,340.5,633.7,51.5,300.2,440.7,26.1,769.0,367.8,415.2,588.4,307.1,631.4,287.6,48.1,663.2,252.1,78.0,421.0,332.5,147.1,139.3,194.1,288.2,347.8,765.8,237.5,103.8,500.9,322.4,703.9,711.4,261.8,95.8,498.7,599.5,388.3,511.3,179.3,129.5,93.7,699.0,346.0,652.6,291.0,615.1,429.1,422.2,339.1,246.1,651.6,693.5,129.7,52.3,148.7,15.3,279.2,364.7,107.2,245.1,92.9,750.1,399.3,214.8,56.2,180.3,312.8,198.0,531.5,571.8,134.8,740.6,121.7,78.4,30.9,148.1,265.1,748.9,526.8,182.5,602.8,231.0,177.7,569.5,3037.7,155.3,458.3,372.3,23.6,249.7,227.7,205.2,401.8,567.9,326.8,598.4,576.0,153.1,287.2,254.4,270.9,583.3,269.1,134.1,411.2,640.3,158.6,590.2
GF,396.9,439.5,254.7,554.9,338.9,582.3,196.8,589.6,358.1,682.0,409.4,362.8,93.5,425.3,386.1,256.5,320.4,576.5,482.6,471.6,315.2,269.6,465.5,620.7,461.7,501.5,669.4,162.6,213.3,130.2,327.5,409.3,560.8,584.5,519.8,567.7,243.3,201.2,577.5,280.9,0.0,499.6,414.0,171.2,588.0,288.5,109.3,412.9,252.6,721.3,173.3,288.9,542.7,231.0,588.1,42.8,329.1,614.8,10.2,338.8,375.3,261.6,302.0,441.2,409.1,92.0,231.5,720.1,124.0,214.2,455.2,136.5,656.2,665.7,192.4,397.7,453.0,550.1,342.6,465.6,342.1,265.1,310.0,653.3,275.1,606.9,162.7,569.4,312.1,295.9,171.8,473.3,605.9,647.8,211.1,302.1,323.8,296.3,200.1,195.4,336.8,146.5,367.2,704.4,296.7,206.3,245.8,345.7,236.7,163.0,485.8,524.1,363.2,692.9,382.0,256.9,247.9,356.7,125.4,703.2,483.5,146.8,560.3,60.0,479.6,521.8,3126.4,318.1,412.6,344.5,304.6,204.0,91.9,413.5,299.2,522.2,147.5,552.7,530.3,382.7,61.8,403.0,225.2,537.6,249.9,370.4,284.9,592.6,172.1,544.5
GI,662.7,207.4,520.5,257.6,557.3,188.4,455.0,257.0,576.5,390.2,675.2,628.6,502.4,643.7,606.5,320.5,285.9,147.3,198.9,166.0,360.4,279.9,685.9,328.9,52.5,72.3,375.6,522.4,613.0,411.2,545.9,627.7,203.7,142.1,90.6,197.9,509.1,508.7,201.2,546.7,387.7,0.0,632.4,375.8,305.5,554.3,449.7,371.9,518.4,332.9,401.7,397.0,260.2,383.9,235.5,430.6,594.9,156.8,398.0,604.6,340.8,461.2,617.4,665.4,627.5,417.7,363.6,390.0,423.4,548.1,192.1,472.9,360.9,371.9,465.2,663.5,220.6,120.9,327.5,183.1,560.5,530.9,575.8,359.5,402.4,163.4,401.2,212.3,390.9,406.5,429.3,691.7,296.9,225.2,572.9,567.9,642.6,562.1,336.0,407.6,555.2,401.8,633.0,349.1,307.4,487.3,603.0,641.9,453.6,503.0,211.7,96.9,629.0,385.5,647.8,522.7,513.7,575.1,513.2,287.1,192.5,537.5,131.1,449.8,745.4,94.6,3038.7,536.5,91.9,303.5,570.4,311.7,471.9,586.0,344.4,145.1,462.2,195.6,173.2,601.1,439.3,582.8,365.0,108.4,325.5,638.2,395.5,152.2,540.6,225.8
GL,197.5,609.2,332.1,724.6,172.6,751.6,502.9,755.1,152.4,853.7,167.0,228.0,322.3,58.0,71.3,494.5,505.1,746.2,651.1,641.3,458.9,421.2,70.9,792.4,633.4,671.2,839.1,327.5,217.3,348.5,129.3,78.9,730.5,754.2,689.5,742.1,309.5,349.1,749.2,245.0,421.6,671.3,0.0,403.8,757.7,279.8,431.1,556.6,271.2,893.0,402.9,595.0,712.4,537.1,755.4,420.6,242.6,787.2,431.9,259.0,560.0,567.7,184.6,146.4,128.8,419.1,452.8,889.8,359.7,293.4,624.9,423.5,827.9,835.4,305.6,183.4,622.7,723.5,546.7,635.3,71.6,371.6,297.1,823.0,581.2,776.6,470.8,739.1,608.9,602.0,374.2,44.3,775.6,817.5,231.6,294.4,203.3,223.1,473.5,428.0,151.2,286.3,187.5,874.1,440.4,329.8,227.4,143.2,542.8,299.9,655.5,695.8,243.5,864.6,203.0,318.8,276.0,125.3,404.7,872.9,650.8,309.7,726.8,468.4,222.6,693.5,3053.8,99.1,582.3,488.2,215.9,494.8,399.0,90.0,442.9,691.9,361.9,722.4,700.0,148.7,366.4,244.3,516.0,707.3,514.2,239.9,591.0,764.3,260.5,714.2
