from_stop,AC,AG,AJ,AK,AQ,AV,AZ,BA,BF,BH,BI,BL,BN,BS,BT,BU,BY,BZ,CF,CG,CH,CN,CP,CQ,CU,DC,DG,DO,DV,DW,DY,EG,EH,EK,ET,EU,EY,FE,FN,FU,FW,GI,GO,GP,GQ,GW,GZ,HF,HG,HI,HT,IG,IN,IO,IU,JH,JP,JQ,JU,JV,KA,KK,KL,KQ,KR,KX,KY,KZ,LA,LH,LL,LQ,MC,MM,NC,NG,NJ,NP,NV,NW,NX,OJ,OP,OS,OT,OX,PA,PC,PD,PH,PL,PP,PX,PY,QH,QM,QN,QV,RF,RK,RS,RY,SD,SE,SI,SK,SM,SO,SP,SU,SW,SX,SZ,TD,TH,TL,TM,TS,UA,UB,UC,UD,UF,UG,VF,VJ,VK,VO,VS,WM,WN,WT,WY,WZ,XB,XM,XU,XX,YD,YE,YF,YN,YP,YS,YT,YU,YW,ZA,ZN,ZO,ZP,ZS,ZT,ZX
CH,472.0,537.9,43.4,63.4,526.8,429.4,211.0,750.4,491.8,212.4,190.0,360.3,342.4,599.6,333.8,378.6,359.6,253.5,103.9,601.3,0.0,678.7,234.4,393.9,737.4,551.0,297.1,569.8,385.3,183.3,369.8,145.7,616.5,388.6,555.5,269.9,401.5,753.4,98.1,372.4,373.5,464.3,244.6,341.1,410.6,257.1,252.5,606.8,373.0,324.3,224.5,355.9,389.7,389.7,292.1,117.0,215.5,138.9,443.7,95.0,499.3,463.3,405.4,469.6,513.5,725.4,391.0,484.7,437.6,84.4,660.0,356.4,468.3,324.0,419.1,236.9,267.7,97.8,86.1,108.7,255.5,427.2,249.9,244.6,143.2,455.2,705.9,50.2,80.6,452.5,63.9,371.5,222.7,406.8,354.9,436.5,684.3,129.1,199.1,46.7,255.6,293.5,653.7,340.4,399.8,592.8,479.2,358.2,625.9,128.6,365.4,302.4,162.6,565.7,642.8,402.5,371.6,313.7,639.4,333.0,157.1,105.2,429.5,259.4,300.7,532.3,433.3,102.6,198.6,210.6,291.7,461.9,633.9,344.5,423.8,445.6,282.7,1549.5,387.1,403.1,307.0,445.1,313.5,204.3,401.0,340.9,668.6,231.5,539.0,122.2,102.6,520.0,588.3,315.1
CN,871.5,279.1,722.6,674.7,926.3,1046.9,890.2,71.6,891.3,693.1,869.2,759.8,908.0,134.8,733.3,778.1,1038.8,492.1,783.1,446.5,728.0,0.0,620.9,860.0,58.6,294.8,562.5,195.2,466.8,614.7,808.5,545.2,189.1,352.2,955.0,535.3,1101.8,121.0,777.3,901.7,850.5,309.5,923.8,740.6,810.1,948.9,594.2,452.0,407.6,723.8,574.4,822.0,789.2,919.0,502.9,796.2,760.8,818.1,956.3,774.2,898.8,862.8,336.8,364.2,408.1,55.5,1020.4,884.2,487.2,763.6,135.6,437.9,344.3,867.7,468.7,717.6,1006.2,777.0,602.2,787.9,543.5,826.7,549.1,801.8,822.4,504.8,27.1,638.3,657.5,808.3,743.1,771.0,901.9,1107.1,972.4,343.7,5.5,808.3,777.1,678.6,934.8,980.4,498.9,739.9,799.3,438.0,1008.5,422.1,177.3,611.5,894.7,971.5,883.3,309.5,488.0,802.0,453.1,931.2,484.6,862.3,836.3,784.4,479.1,724.0,629.1,426.9,1168.0,794.4,877.8,889.8,970.9,356.5,479.1,744.0,1124.1,1075.0,682.2,1949.0,916.4,452.7,773.1,304.1,992.7,608.9,878.0,906.5,412.4,745.0,282.8,616.8,781.8,919.5,433.5,714.6
CP,427.0,444.5,287.2,313.6,481.8,602.4,448.9,657.0,446.8,119.0,427.9,315.3,463.5,506.2,288.8,333.6,597.5,147.3,347.7,507.9,243.7,585.3,0.0,415.5,644.0,517.9,201.4,476.4,279.1,40.6,364.0,100.7,523.1,282.4,510.5,174.2,639.4,660.0,341.9,457.2,406.0,370.9,482.5,296.1,365.6,449.8,84.9,513.4,266.8,279.3,56.9,377.5,344.7,474.5,185.9,360.8,316.3,382.7,511.8,338.8,454.3,418.3,299.2,376.2,420.1,632.0,637.2,439.7,331.4,328.2,566.6,250.2,362.1,423.2,312.9,143.5,505.6,341.6,157.7,352.5,87.9,382.2,82.3,357.3,387.0,349.0,612.5,193.8,296.4,363.8,307.7,326.5,460.6,644.7,527.9,343.1,590.9,372.9,332.6,234.1,493.5,531.4,560.3,295.4,354.8,499.4,564.0,252.0,532.5,250.4,450.2,540.3,411.6,532.6,549.4,357.5,265.4,486.7,546.0,417.8,395.0,349.0,323.3,279.5,133.1,438.9,606.3,346.4,436.5,448.5,457.8,368.5,540.5,299.5,661.7,691.8,237.7,1504.5,471.9,296.9,328.6,351.7,551.4,247.8,433.5,462.0,635.5,300.5,505.9,255.7,346.4,475.0,494.9,270.1
CQ,469.9,723.6,346.3,383.8,524.7,338.5,293.6,936.1,438.1,398.1,272.6,358.2,199.6,785.3,331.7,376.5,317.1,500.6,297.9,787.0,415.6,864.4,420.1,0.0,923.1,797.0,554.7,755.5,632.4,369.0,100.1,397.8,802.2,635.7,553.4,527.5,359.0,939.1,358.7,193.3,142.1,650.0,327.2,339.0,408.5,455.3,438.2,792.5,620.1,322.2,410.2,58.1,387.6,210.6,539.2,309.2,161.0,326.2,264.6,289.0,445.6,461.2,652.5,655.3,706.3,911.1,481.9,427.2,684.7,305.3,845.7,603.5,715.4,159.3,666.2,422.6,350.3,344.2,360.9,335.7,441.2,425.1,435.6,202.0,375.5,702.3,891.6,397.0,401.0,157.7,325.8,369.4,270.0,364.3,264.0,622.2,870.0,252.2,177.3,437.3,338.2,376.1,839.4,338.3,397.7,778.5,300.1,605.3,811.6,449.0,186.3,385.0,256.3,811.7,828.5,400.4,618.7,222.8,825.1,153.9,239.7,332.2,676.6,159.9,486.4,718.0,342.4,359.6,281.2,293.2,193.9,647.6,819.6,342.4,381.3,457.8,280.6,1547.4,208.0,650.2,78.7,630.8,242.6,524.7,169.6,198.1,914.6,145.2,785.0,442.6,363.2,459.3,774.0,313.0
CU,931.4,339.0,782.5,734.6,986.2,1106.8,950.1,13.0,951.2,753.0,929.1,819.7,967.9,194.7,793.2,838.0,1098.7,552.0,843.0,506.4,787.9,59.8,680.8,919.9,0.0,354.7,622.4,255.1,526.7,674.6,868.4,605.1,249.0,412.1,1014.9,595.2,1131.8,151.0,837.2,961.6,910.4,369.4,983.7,800.5,870.0,1008.8,654.1,511.9,467.5,783.7,634.3,881.9,849.1,978.9,562.8,856.1,820.7,922.8,1016.2,834.1,958.7,922.7,396.7,424.1,468.0,85.5,1050.4,944.1,547.1,823.5,195.5,497.8,404.2,927.6,528.6,777.5,1036.2,836.9,662.1,847.8,603.4,886.6,609.0,861.7,882.3,564.7,57.1,698.2,717.4,868.2,803.0,830.9,961.8,1137.1,1032.3,403.6,54.2,868.2,837.0,738.5,994.7,1010.4,558.8,799.8,859.2,497.9,1068.4,482.0,237.2,671.4,954.6,1001.5,913.3,369.4,547.9,861.9,513.0,991.1,544.5,922.2,896.2,844.3,539.0,783.9,689.0,486.8,1198.0,854.3,937.7,949.7,1030.8,416.4,539.0,803.9,1154.1,1105.0,742.1,2008.9,976.3,512.6,833.0,364.0,1052.6,668.8,937.9,966.4,472.3,804.9,342.7,676.7,841.7,979.4,493.4,774.5
DC,819.4,227.7,540.9,493.0,874.2,926.9,708.5,332.8,839.2,511.4,687.5,707.7,839.9,182.0,681.2,726.0,857.1,310.4,601.4,395.1,546.3,261.1,439.2,807.9,319.8,0.0,380.8,152.2,285.1,433.0,756.4,493.1,198.9,230.7,902.9,353.6,899.0,335.8,595.6,869.9,871.0,258.1,742.1,688.5,758.0,767.2,412.5,400.6,187.0,671.7,392.7,769.9,737.1,887.2,321.2,614.5,713.0,636.4,941.2,592.5,846.7,810.7,215.3,312.8,356.7,307.8,888.5,832.1,266.6,581.9,242.4,256.2,123.7,821.5,248.1,535.9,765.2,595.3,632.5,606.2,361.8,774.6,367.4,749.7,640.7,284.2,288.3,596.6,475.8,756.2,561.4,718.9,720.2,904.3,852.4,292.3,266.7,626.6,696.6,593.1,753.1,791.0,447.5,687.8,747.2,386.6,976.7,201.5,208.3,429.8,862.9,799.9,660.1,14.7,436.6,749.9,271.4,811.2,433.2,830.5,654.6,602.7,258.5,671.9,447.4,375.5,930.8,612.7,696.1,708.1,789.2,305.1,427.7,691.9,921.3,943.1,630.1,1896.9,884.6,232.1,721.0,252.7,811.0,427.2,898.5,838.4,117.5,692.9,12.5,435.1,600.1,867.4,382.1,662.5
DG,598.7,387.9,269.7,221.8,653.5,655.7,437.3,662.1,618.5,290.7,416.3,487.0,568.7,511.3,460.5,505.3,585.9,86.0,330.2,622.3,275.1,590.4,218.5,587.2,649.1,383.5,0.0,481.5,217.8,212.3,596.1,272.4,528.2,221.1,682.2,28.2,627.8,665.1,324.4,598.7,599.8,485.3,470.9,467.8,537.3,496.0,191.8,627.8,205.5,451.0,172.0,549.2,516.4,616.0,124.6,343.3,441.8,365.2,670.0,321.3,626.0,590.0,237.9,540.0,583.9,637.1,617.3,611.4,270.1,310.7,571.7,188.9,300.8,550.3,251.6,315.2,494.0,324.1,361.3,335.0,141.1,553.9,146.7,470.9,369.5,287.7,617.6,325.4,204.6,535.5,290.2,498.2,449.0,633.1,581.2,519.5,596.0,355.4,425.4,321.9,481.9,519.8,674.7,467.1,526.5,613.8,705.5,190.7,537.6,158.6,591.7,528.7,388.9,398.2,663.8,529.2,204.1,540.0,660.4,559.3,383.4,331.5,262.0,498.3,226.7,602.7,659.6,341.5,424.9,436.9,518.0,532.3,654.9,471.2,650.1,671.9,409.4,1676.2,613.4,235.6,500.3,479.9,539.8,156.0,627.3,567.2,501.1,457.8,371.5,163.9,328.9,646.7,609.3,441.8
DO,756.6,164.2,607.7,559.8,811.4,932.0,775.3,237.4,776.4,578.2,754.3,644.9,793.1,86.6,618.4,663.2,923.9,377.2,668.2,331.6,613.1,165.7,506.0,745.1,224.4,179.9,447.6,0.0,351.9,499.8,693.6,430.3,103.5,237.3,840.1,420.4,965.8,240.4,662.4,786.8,735.6,194.6,808.9,625.7,695.2,834.0,479.3,337.1,292.7,608.9,459.5,707.1,674.3,804.1,388.0,681.3,645.9,703.2,841.4,659.3,783.9,747.9,221.9,249.3,293.2,212.4,992.5,769.3,372.3,648.7,147.0,323.0,229.4,752.8,353.8,602.7,832.0,662.1,487.3,673.0,428.6,711.8,434.2,686.9,707.5,389.9,192.9,523.4,542.6,693.4,628.2,656.1,787.0,971.1,857.5,228.8,171.3,693.4,662.2,563.7,819.9,857.8,384.0,625.0,684.4,323.1,893.6,307.2,112.9,496.6,779.8,866.7,726.9,194.6,373.1,687.1,338.2,816.3,369.7,747.4,721.4,669.5,364.2,609.1,514.2,312.0,935.9,679.5,762.9,774.9,856.0,241.6,364.2,629.1,988.1,1047.1,567.3,1834.1,801.5,337.8,658.2,189.2,877.8,494.0,763.1,791.6,297.5,630.1,167.9,501.9,666.9,804.6,318.6,599.7
DV,649.8,305.6,371.3,323.4,704.6,757.3,538.9,579.8,669.6,341.8,517.9,538.1,670.3,429.0,511.6,556.4,687.5,140.8,431.8,540.0,376.7,508.1,269.6,638.3,566.8,301.2,211.2,399.2,0.0,263.4,586.8,323.5,445.9,138.8,733.3,184.0,729.4,582.8,426.0,700.3,701.4,403.0,572.5,518.9,588.4,597.6,242.9,545.5,123.2,502.1,223.1,600.3,567.5,717.6,151.6,444.9,543.4,466.8,771.6,422.9,677.1,641.1,155.6,457.7,508.7,554.8,718.9,662.5,187.8,412.3,489.4,41.2,218.5,651.9,169.3,366.3,595.6,425.7,462.9,436.6,192.2,605.0,197.8,580.1,471.1,205.4,535.3,427.0,306.2,586.6,391.8,549.3,550.6,734.7,682.8,437.2,513.7,457.0,527.0,423.5,583.5,621.4,592.4,518.2,577.6,531.5,807.1,108.4,455.3,260.2,693.3,630.3,490.5,315.9,581.5,580.3,26.0,641.6,578.1,660.9,485.0,433.1,179.7,502.3,277.8,520.4,761.2,443.1,526.5,538.5,619.6,450.0,572.6,522.3,751.7,773.5,460.5,1727.3,715.0,153.3,551.4,397.6,641.4,257.6,728.9,668.8,418.8,523.3,289.2,265.5,430.5,697.8,527.0,492.9
DW,386.3,403.8,246.5,297.8,441.1,561.7,408.2,616.3,406.1,78.3,387.2,274.6,422.8,465.5,248.1,292.9,556.8,131.5,307.0,467.2,203.0,544.6,51.0,374.8,603.3,429.0,185.6,435.7,263.3,0.0,323.3,60.0,482.4,266.6,469.8,158.4,598.7,619.3,301.2,416.5,365.3,330.2,441.8,255.4,324.9,409.1,69.1,472.7,251.0,238.6,41.1,336.8,304.0,433.8,170.1,320.1,275.6,342.0,471.1,298.1,413.6,377.6,283.4,335.5,386.5,591.3,596.5,399.0,315.6,287.5,525.9,234.4,346.3,382.5,297.1,102.8,464.9,300.9,117.0,311.8,72.1,341.5,66.5,316.6,346.3,333.2,571.8,153.1,280.6,323.1,267.0,285.8,419.9,604.0,487.2,302.4,550.2,332.2,291.9,193.4,452.8,490.7,519.6,254.7,314.1,458.7,523.3,236.2,491.8,234.6,409.5,499.6,370.9,443.7,508.7,316.8,249.6,446.0,505.3,377.1,354.3,308.3,307.5,238.8,117.3,398.2,565.6,305.7,395.8,407.8,417.1,327.8,499.8,258.8,621.0,651.1,197.0,1463.8,431.2,281.1,287.9,311.0,510.7,232.0,392.8,421.3,546.6,259.8,417.0,239.9,305.7,434.3,454.2,229.4
DY,465.3,648.5,360.7,398.2,520.1,238.3,297.7,861.0,433.5,323.0,276.7,353.6,99.4,710.2,327.1,371.9,216.9,425.5,312.3,711.9,371.8,789.3,345.0,80.2,848.0,721.9,479.6,680.4,557.3,293.9,0.0,322.7,727.1,560.6,548.8,452.4,258.8,864.0,373.1,93.1,41.9,574.9,218.7,334.4,403.9,450.2,363.1,717.4,539.9,317.6,335.1,32.6,383.0,110.4,464.1,325.4,165.1,330.3,164.4,303.4,441.0,456.6,577.4,580.2,631.2,836.0,370.3,422.6,609.6,319.7,770.6,528.4,640.3,59.1,591.1,344.9,241.8,358.6,285.8,349.8,366.1,420.5,360.5,202.7,389.9,627.2,816.5,321.9,415.4,82.6,340.2,364.8,169.8,264.1,163.8,547.1,794.9,266.6,181.4,362.2,280.2,267.6,764.3,333.7,393.1,703.4,199.9,530.2,736.5,463.4,86.1,276.5,260.4,736.6,753.4,395.8,543.6,122.6,750.0,53.7,243.8,346.6,601.5,164.0,411.3,642.9,242.2,354.5,193.8,182.2,93.7,572.5,744.5,337.8,281.1,357.6,276.0,1542.8,107.8,575.1,82.8,555.7,142.4,526.0,69.4,97.9,839.5,149.3,709.9,457.0,377.6,454.7,698.9,308.4
EG,326.2,565.3,316.5,336.5,381.0,501.6,348.1,777.8,346.0,239.8,327.1,214.5,362.7,627.0,188.0,232.8,496.7,342.3,352.4,628.7,309.3,706.1,261.8,314.7,764.8,638.7,396.4,597.2,474.1,210.7,263.2,0.0,643.9,477.4,409.7,369.2,538.6,780.8,413.2,356.4,305.2,491.7,381.7,195.3,264.8,349.0,279.9,634.2,461.8,178.5,251.9,276.7,243.9,373.7,380.9,363.7,215.5,380.7,411.0,343.5,353.5,317.5,494.2,497.0,548.0,752.8,536.4,338.9,526.4,357.5,687.4,445.2,557.1,322.4,507.9,264.3,404.8,370.9,202.6,381.8,282.9,281.4,277.3,256.5,416.3,544.0,733.3,238.7,353.7,263.0,337.0,225.7,359.8,543.9,427.1,463.9,711.7,306.7,231.8,279.0,392.7,430.6,681.1,194.6,254.0,620.2,463.2,447.0,653.3,401.7,349.4,439.5,310.8,653.4,670.2,256.7,460.4,385.9,666.8,317.0,294.2,378.3,518.3,178.7,328.1,559.7,505.5,253.3,335.7,347.7,357.0,489.3,661.3,198.7,560.9,591.0,136.9,1403.7,371.1,491.9,227.8,472.5,450.6,442.8,332.7,361.2,756.3,199.7,626.7,395.3,417.7,374.2,615.7,169.3
EH,773.7,181.3,624.8,576.9,828.5,949.1,792.4,245.2,793.5,595.3,771.4,662.0,810.2,94.4,635.5,680.3,941.0,394.3,685.3,348.7,630.2,173.5,523.1,762.2,232.2,197.0,464.7,97.4,369.0,516.9,710.7,447.4,0.0,254.4,857.2,437.5,982.9,248.2,679.5,803.9,752.7,211.7,826.0,642.8,712.3,851.1,496.4,354.2,309.8,626.0,476.6,724.2,691.4,821.2,405.1,698.4,663.0,720.3,858.5,676.4,801.0,765.0,239.0,266.4,310.3,220.2,1009.6,786.4,389.4,665.8,154.8,340.1,246.5,769.9,370.9,619.8,849.1,679.2,504.4,690.1,445.7,728.9,451.3,704.0,724.6,407.0,200.7,540.5,559.7,710.5,645.3,673.2,804.1,988.2,874.6,245.9,179.1,710.5,679.3,580.8,837.0,874.9,401.1,642.1,701.5,340.2,910.7,324.3,46.3,513.7,796.9,883.8,744.0,211.7,390.2,704.2,355.3,833.4,386.8,764.5,738.5,686.6,381.3,626.2,531.3,329.1,953.0,696.6,780.0,792.0,873.1,258.7,381.3,646.2,1005.2,1064.2,584.4,1851.2,818.6,354.9,675.3,206.3,894.9,511.1,780.2,808.7,314.6,647.2,185.0,519.0,684.0,821.7,335.7,616.8
EK,647.8,165.7,369.3,321.4,704.9,755.3,536.9,425.2,667.6,339.8,515.9,536.1,668.3,274.4,509.6,554.4,670.8,138.8,429.8,400.1,374.7,353.5,267.6,636.3,412.2,220.3,209.2,244.6,113.5,261.4,584.8,321.5,291.3,0.0,731.3,182.0,727.4,428.2,424.0,698.3,699.4,263.1,570.5,516.9,586.4,595.6,240.9,405.6,106.1,500.1,221.1,600.6,565.5,715.6,149.6,442.9,541.4,468.4,769.6,420.9,675.1,639.1,15.7,317.8,359.4,400.2,716.9,660.5,175.8,410.3,334.8,84.6,137.6,649.9,157.3,361.7,593.6,423.7,460.9,434.3,190.2,603.0,195.8,574.7,469.1,193.4,378.4,425.0,304.2,584.6,389.8,547.3,548.6,732.7,680.8,295.0,359.1,455.0,525.0,421.5,581.5,619.4,450.2,516.2,575.6,391.6,805.1,96.4,300.7,258.2,691.3,628.3,488.5,235.0,441.6,578.3,99.8,641.9,435.9,658.9,483.0,431.1,170.0,500.3,275.8,378.2,761.5,441.1,524.5,536.5,617.6,310.1,432.7,520.3,749.7,771.5,458.5,1725.3,713.0,141.3,549.4,257.7,639.4,255.6,726.9,666.8,337.9,521.3,208.3,263.5,428.5,698.1,384.8,490.9
ET,92.1,978.5,745.3,765.3,26.8,682.9,660.9,1191.0,214.1,653.0,639.9,291.1,544.0,1040.2,312.2,164.1,661.5,755.5,665.2,1041.9,701.8,1119.3,675.0,627.5,1178.0,1051.9,809.6,1010.4,887.3,623.9,530.9,654.8,1057.1,890.6,0.0,782.4,703.4,1194.0,726.0,454.8,572.9,904.9,694.5,201.6,286.2,780.2,693.1,1047.4,875.0,218.4,665.1,589.5,153.0,517.2,794.1,676.5,528.3,693.5,469.0,656.3,206.6,131.9,907.4,910.2,961.2,1166.0,849.2,225.0,939.6,672.6,1100.6,858.4,970.3,503.7,921.1,677.5,717.6,711.5,615.8,703.0,696.1,115.5,690.5,569.3,742.8,957.2,1146.5,651.9,782.5,530.7,693.1,417.8,672.6,708.7,608.4,877.1,1124.9,619.5,544.6,692.2,705.5,743.4,1094.3,305.6,297.0,1033.4,606.7,860.2,1066.5,830.5,461.7,752.3,623.6,1066.6,1083.4,154.1,873.6,567.2,1080.0,494.6,607.0,699.5,931.5,545.2,741.3,972.9,686.8,684.5,648.5,660.5,538.3,902.5,1074.5,275.3,725.7,802.2,339.8,1386.7,514.6,905.1,540.6,885.7,587.0,856.0,600.4,542.5,1169.5,512.5,1039.9,824.1,730.5,188.6,1028.9,304.1
EU,570.4,359.6,241.4,193.5,625.2,627.4,409.0,633.8,590.2,262.4,388.0,458.7,540.4,483.0,432.2,477.0,557.6,57.7,301.9,594.0,246.8,562.1,190.2,558.9,620.8,355.2,27.1,453.2,189.5,184.0,567.8,244.1,499.9,192.8,653.9,0.0,599.5,636.8,296.1,570.4,571.5,457.0,442.6,439.5,509.0,467.7,163.5,599.5,177.2,422.7,143.7,520.9,488.1,587.7,96.3,315.0,413.5,336.9,641.7,293.0,597.7,561.7,209.6,511.7,555.6,608.8,589.0,583.1,241.8,282.4,543.4,160.6,272.5,522.0,223.3,286.9,465.7,295.8,333.0,306.7,112.8,525.6,118.4,442.6,341.2,259.4,589.3,297.1,176.3,507.2,261.9,469.9,420.7,604.8,552.9,491.2,567.7,327.1,397.1,293.6,453.6,491.5,646.4,438.8,498.2,585.5,677.2,162.4,509.3,130.3,563.4,500.4,360.6,369.9,635.5,500.9,175.8,511.7,632.1,531.0,355.1,303.2,233.7,470.0,198.4,574.4,631.3,313.2,396.6,408.6,489.7,504.0,626.6,442.9,621.8,643.6,381.1,1647.9,585.1,207.3,472.0,451.6,511.5,127.7,599.0,538.9,472.8,429.5,343.2,135.6,300.6,618.4,581.0,413.5
EY,582.9,862.3,353.9,391.4,637.7,299.9,258.8,1074.8,647.3,536.8,237.8,471.2,212.9,924.0,440.7,489.5,51.8,581.5,305.5,925.7,396.8,1003.1,558.8,320.6,1061.8,879.0,625.1,894.2,713.3,507.7,240.3,542.6,940.9,716.6,666.4,597.9,0.0,1077.8,366.3,242.9,244.0,788.7,211.9,452.0,521.5,617.7,576.9,931.2,701.0,435.2,548.9,273.0,500.6,260.2,620.1,318.6,325.7,340.5,314.2,296.6,654.8,574.2,733.4,794.0,837.9,1049.8,112.5,595.6,765.6,312.9,984.4,684.4,796.3,194.5,747.1,561.3,235.0,351.8,483.0,343.3,579.9,538.1,574.3,354.8,383.1,783.2,1030.3,447.1,408.6,323.0,333.4,478.4,163.0,5.2,225.4,760.9,1008.7,259.8,309.3,443.6,273.4,260.8,978.1,447.3,510.7,917.2,349.7,686.2,950.3,456.6,235.9,269.7,281.9,893.7,967.2,513.4,699.6,184.2,963.8,203.5,229.2,339.8,757.5,404.4,625.1,856.7,303.8,463.2,187.0,175.4,162.2,786.3,958.3,455.4,22.2,99.8,389.6,1625.6,257.6,731.1,323.2,769.5,184.0,532.3,271.5,211.4,996.6,341.7,867.0,450.2,370.8,630.9,912.7,422.0
FE,931.7,339.3,782.8,734.9,986.5,1153.5,942.0,131.9,951.5,753.3,921.0,820.0,1066.5,195.0,793.5,838.3,1068.5,552.3,865.0,506.7,788.2,100.5,681.1,920.2,118.9,355.0,622.7,298.5,527.0,674.9,868.7,605.4,249.3,412.4,1015.2,595.5,1047.5,0.0,938.0,961.9,910.7,369.7,974.8,800.8,870.3,1009.1,654.4,512.2,467.8,784.0,634.6,882.2,849.4,979.2,563.1,864.7,821.0,838.5,1016.5,874.0,959.0,923.0,397.0,424.4,468.3,44.5,966.1,944.4,547.4,823.8,195.8,498.1,404.5,927.9,528.9,777.8,951.9,837.2,662.4,848.1,603.7,886.9,609.3,862.0,882.6,565.0,82.9,698.5,717.7,868.5,803.3,831.2,953.7,1052.8,1079.0,403.9,104.5,880.6,837.3,738.8,998.2,926.1,559.1,800.1,859.5,498.2,1068.7,482.3,237.5,671.7,954.9,917.2,829.0,369.7,548.2,862.2,513.3,1037.8,544.8,922.5,888.1,844.6,539.3,784.2,689.3,487.1,1113.7,854.6,929.6,941.6,1015.8,416.7,539.3,804.2,1069.8,1020.7,742.4,2030.5,976.6,512.9,833.3,364.3,1037.6,669.1,938.2,1065.0,472.6,805.2,343.0,677.0,942.5,979.7,493.7,774.8
FN,546.3,587.9,58.4,95.9,601.1,392.1,173.7,993.6,514.5,455.6,152.7,434.6,305.1,842.8,408.1,452.9,322.3,286.0,66.6,844.5,101.3,921.9,477.6,356.6,980.6,583.5,329.6,813.0,417.8,426.5,332.5,247.1,859.7,421.1,629.8,302.4,364.2,996.6,0.0,335.1,336.2,707.5,207.3,415.4,484.9,322.2,495.7,850.0,405.5,398.6,467.7,318.6,464.0,352.4,324.6,79.7,178.2,101.6,406.4,57.7,522.0,537.6,437.9,712.8,756.7,968.6,353.7,503.6,470.1,47.1,903.2,388.9,500.8,286.7,451.6,480.1,230.4,60.5,187.5,71.4,498.7,501.5,493.1,207.3,105.9,487.7,949.1,151.6,113.1,415.2,26.6,445.8,185.4,369.5,317.6,679.7,927.5,91.8,161.8,148.1,218.3,256.2,896.9,414.7,474.1,836.0,441.9,390.7,869.1,161.1,328.1,265.1,125.3,598.2,886.0,476.8,404.1,276.4,882.6,295.7,119.8,67.9,462.0,254.3,543.9,775.5,396.0,167.7,161.3,173.3,254.4,705.1,877.1,418.8,386.5,408.3,357.0,1525.6,349.8,435.6,269.7,688.3,276.2,236.8,363.7,303.6,701.1,194.2,571.5,154.7,4.5,535.7,831.5,389.4
FU,339.9,619.3,350.4,387.9,394.7,228.0,255.3,831.8,404.3,293.8,234.3,228.2,89.1,681.0,197.7,246.5,206.6,396.3,302.0,682.7,342.6,760.1,315.8,180.5,818.8,692.7,450.4,651.2,528.1,264.7,100.2,293.5,697.9,531.4,423.4,423.2,248.5,834.8,362.8,0.0,103.9,545.7,208.4,209.0,278.5,421.0,333.9,688.2,515.8,192.2,305.9,132.9,257.6,62.3,434.9,315.1,208.1,337.0,71.2,293.1,411.8,331.2,548.2,551.0,594.9,806.8,360.0,352.6,580.4,309.4,741.4,499.2,611.1,48.8,561.9,318.3,231.5,348.3,256.6,339.8,336.9,295.1,331.3,249.1,379.6,598.0,787.3,292.7,405.1,182.9,329.9,235.4,159.5,253.8,153.5,517.9,765.7,256.3,224.4,333.0,269.9,257.3,735.1,204.3,267.7,674.2,151.8,501.0,707.3,453.1,6.9,266.2,278.4,707.4,724.2,270.4,514.4,112.3,720.8,39.7,225.7,336.3,572.3,250.7,382.1,613.7,231.9,325.3,183.5,171.9,83.4,543.3,715.3,212.4,270.8,347.3,146.6,1417.4,59.7,545.9,183.1,526.5,132.1,496.8,131.4,87.6,810.3,192.3,680.7,446.7,367.3,387.9,669.7,179.0
FW,447.3,681.0,374.9,412.4,502.1,252.5,279.8,893.5,466.0,355.5,258.8,335.6,113.6,742.7,305.1,353.9,231.1,458.0,326.5,744.4,404.3,821.8,377.5,112.7,880.5,754.4,512.1,712.9,589.8,326.4,32.4,355.2,759.6,593.1,530.8,484.9,273.0,896.5,387.3,107.3,0.0,607.4,232.9,316.4,385.9,482.7,395.6,749.9,577.5,299.6,367.6,65.1,365.0,124.6,496.6,339.6,197.6,361.5,178.6,317.6,473.5,438.6,609.9,612.7,663.7,868.5,384.5,455.1,642.1,333.9,803.1,560.9,672.8,73.3,623.6,380.0,256.0,372.8,318.3,364.3,398.6,402.5,393.0,238.6,404.1,659.7,849.0,354.4,429.6,115.1,354.4,342.8,184.0,278.3,178.0,579.6,827.4,280.8,213.9,394.7,294.4,281.8,796.8,311.7,375.1,735.9,214.1,562.7,769.0,477.6,100.3,290.7,292.9,769.1,785.9,377.8,576.1,136.8,782.5,67.9,276.3,360.8,634.0,196.5,443.8,675.4,256.4,387.0,208.0,196.4,107.9,605.0,777.0,319.8,295.3,371.8,254.0,1524.8,122.0,607.6,115.3,588.2,156.6,558.5,27.4,112.1,872.0,181.8,742.4,471.2,391.8,487.2,731.4,286.4
