from_stop,AP,AV,BC,BE,BF,BH,BK,BM,BP,BY,CC,CE,CG,CI,CR,CT,CU,CZ,DA,DE,DK,DO,DS,DW,EC,EP,EQ,ES,EW,EZ,FA,FE,FH,FI,FJ,FO,FW,GA,GC,GR,GW,HF,HG,HH,HT,IF,II,IL,IS,IT,IV,IY,JC,JH,KJ,KS,KU,KW,LE,LN,LU,MC,MH,MI,MJ,MK,MM,MO,MR,NA,NL,NN,NP,NU,NX,OE,OJ,OT,OW,PP,QE,QH,QJ,QR,QV,QW,RE,RJ,SJ,SM,SN,ST,SU,TF,TG,TH,TN,TO,TP,TQ,TR,TS,TV,TW,UH,UJ,UQ,US,UT,UX,VG,VI,VR,VS,VW,VZ,WD,WI,WL,WM,WX,XE,XF,XL,XP,XS,XX,YC,YH,YL,YM,YP,YW,ZA,ZH,ZJ,ZK
DW,298.4,816.2,705.7,1171.8,464.7,636.5,638.0,899.8,432.9,824.0,766.3,910.2,579.7,318.2,1051.7,758.9,387.4,1046.2,896.6,875.0,786.9,613.6,858.3,0.0,884.5,697.4,568.1,969.5,729.7,653.7,896.9,584.1,899.2,913.6,318.8,799.0,691.1,736.3,311.1,1209.4,746.4,972.3,261.5,596.8,417.3,633.8,365.1,748.9,688.7,857.8,1105.2,389.2,502.3,950.1,512.6,359.5,906.6,561.5,373.3,526.9,987.4,265.4,449.9,1683.0,822.3,377.8,574.7,650.4,327.0,1233.1,707.3,849.1,1124.3,39.2,1127.9,728.3,65.3,1175.0,1194.6,889.9,884.6,877.9,640.8,46.8,797.6,807.6,881.7,427.1,721.9,693.9,901.2,871.5,300.7,1103.3,788.8,836.0,948.0,802.7,765.4,683.5,786.9,894.1,787.3,1212.6,759.6,862.9,415.6,1148.2,826.4,320.4,486.4,700.4,52.6,648.1,862.6,811.8,632.3,850.3,534.5,782.3,528.8,626.2,1210.1,523.9,796.8,940.6,487.0,530.5,1105.6,454.2,775.8,847.3,765.3,854.1,896.7,578.4,728.7
EC,577.7,622.8,514.6,360.5,848.1,507.5,410.9,553.9,442.6,322.4,482.7,454.3,548.3,636.6,166.0,418.8,770.8,278.6,395.0,373.4,287.5,604.9,149.0,899.6,0.0,577.7,308.1,201.9,446.1,339.7,178.5,603.2,461.2,195.2,702.2,332.4,300.0,372.8,629.5,323.7,316.1,86.6,667.3,424.9,675.4,504.8,760.0,523.9,523.4,356.2,293.9,772.6,885.7,211.7,974.7,742.9,547.1,566.3,631.4,781.6,219.8,745.3,425.6,828.5,320.7,563.3,372.0,521.4,710.4,421.8,367.2,347.5,313.0,859.1,242.2,228.6,838.2,289.3,383.3,247.7,129.2,168.6,326.8,856.7,315.2,447.5,174.7,889.2,671.1,275.0,665.0,369.9,710.0,292.0,262.8,334.4,241.0,72.8,346.5,518.2,285.3,144.9,368.4,326.9,692.5,60.2,799.0,262.5,667.2,703.8,869.8,281.5,843.7,334.1,637.1,310.2,503.3,603.4,650.4,256.3,912.2,399.1,398.8,658.1,436.7,439.0,870.4,913.9,219.9,535.9,274.2,138.0,347.5,51.4,144.1,525.4,1055.8
EP,751.6,45.0,76.1,741.9,917.9,944.4,560.4,329.6,658.8,323.2,632.2,212.7,985.2,771.4,608.6,154.5,840.6,616.3,238.6,366.7,359.5,82.8,726.5,690.5,602.5,0.0,602.6,539.6,595.6,689.9,625.5,1037.3,201.7,642.2,772.0,408.5,597.9,522.3,764.3,766.3,392.2,529.2,714.7,252.1,870.5,941.7,445.9,51.4,960.3,287.9,675.3,842.4,955.5,665.0,660.6,812.7,322.8,1014.7,826.5,980.1,557.5,431.2,641.8,1253.1,323.9,779.5,521.5,958.3,780.2,803.2,213.0,437.7,694.4,650.0,684.8,456.9,634.6,731.9,764.7,460.0,582.5,746.1,677.0,653.1,464.7,338.1,752.2,575.1,93.3,442.5,265.0,301.6,395.9,673.4,517.4,424.6,818.5,650.3,422.8,955.1,375.5,509.0,497.9,769.5,123.4,583.2,868.8,705.1,190.2,773.6,934.6,449.0,634.6,684.3,226.4,400.4,940.2,214.1,987.7,510.9,761.8,548.6,780.2,977.1,327.3,432.3,940.2,978.7,662.5,752.1,364.4,715.5,497.0,592.0,426.5,741.6,741.7
EQ,268.5,653.2,545.0,678.0,538.9,368.5,148.8,566.3,133.4,334.6,277.1,466.7,409.3,328.8,483.5,449.2,461.6,557.0,407.4,385.8,297.7,633.8,290.8,592.1,317.0,608.1,0.0,480.3,240.5,86.2,407.7,464.2,473.6,424.4,393.0,309.8,123.6,247.1,320.3,637.0,257.2,404.8,358.1,455.3,366.2,365.8,692.7,554.3,384.4,368.6,612.1,463.4,576.5,446.9,827.4,433.7,559.5,426.6,322.2,601.1,498.2,593.0,116.4,1146.7,333.1,254.1,85.5,382.4,401.2,740.0,397.6,359.9,631.2,549.9,560.4,239.1,529.0,606.8,701.5,400.7,364.4,310.4,72.6,547.5,308.4,477.9,314.2,798.0,701.5,204.7,677.4,382.3,628.3,610.2,299.6,346.8,380.5,235.2,276.2,379.2,297.7,380.1,298.1,644.4,704.9,295.4,489.8,580.7,679.6,394.6,560.6,211.2,534.5,80.6,649.5,322.6,363.6,615.8,510.7,293.1,603.0,137.0,717.0,519.1,467.1,451.4,561.2,604.7,538.1,226.7,286.6,279.8,276.1,285.9,407.5,216.2,802.9
ES,665.4,607.2,499.0,202.2,935.8,611.4,431.9,538.3,530.3,306.8,503.7,438.7,669.1,724.3,205.9,403.2,858.5,76.6,379.4,357.8,271.9,589.3,379.5,987.3,229.2,562.1,474.1,0.0,467.1,561.4,300.4,724.0,445.6,317.1,789.9,316.8,469.4,393.8,717.2,242.8,300.5,155.9,755.0,409.3,763.1,614.1,744.4,508.3,753.9,340.6,135.6,860.3,973.4,333.6,959.1,830.6,531.5,687.1,719.1,902.4,17.9,729.7,513.3,879.8,305.1,651.0,393.0,597.6,798.1,263.5,351.6,331.9,154.7,946.8,161.3,281.9,925.9,347.2,225.0,232.1,251.1,399.1,548.5,944.4,336.2,431.9,405.2,873.6,655.5,314.0,649.4,354.3,694.4,133.7,316.1,318.8,471.5,303.3,331.1,748.7,269.7,177.6,406.2,384.8,676.9,251.8,886.7,320.4,651.6,791.5,957.5,320.5,931.4,555.8,621.5,294.6,615.6,587.8,771.2,309.6,999.9,420.1,240.5,778.9,421.1,423.4,958.1,1001.6,277.8,623.6,258.6,368.5,368.5,260.6,128.5,613.1,1040.2
EW,455.4,639.7,531.5,669.1,725.8,633.7,109.3,552.8,320.3,321.3,46.7,453.2,674.5,514.3,535.8,435.7,648.5,543.5,393.9,372.3,286.4,621.8,536.8,777.3,449.6,594.6,264.1,466.8,0.0,351.4,394.2,729.4,460.1,410.9,579.9,296.3,313.2,113.0,507.2,693.5,243.7,456.4,545.0,441.8,553.1,631.0,776.9,540.8,649.6,355.1,602.5,650.3,763.4,447.4,991.6,620.6,546.0,692.5,509.1,788.0,484.7,762.2,303.3,1180.3,319.6,441.0,183.0,647.6,588.1,730.4,384.1,346.4,621.6,736.8,612.0,225.6,715.9,659.1,691.9,387.2,381.9,556.4,338.5,734.4,174.3,464.4,562.5,906.1,688.0,191.2,663.9,368.8,726.9,600.6,286.1,333.3,628.8,460.6,262.7,644.4,284.2,391.4,284.6,696.7,691.4,393.5,676.7,632.3,666.1,581.5,747.5,197.7,721.4,345.8,636.0,309.1,629.5,602.3,795.6,279.6,789.9,120.0,707.4,785.0,453.6,437.9,748.1,791.6,589.7,413.6,273.1,525.8,142.0,402.3,394.0,403.1,989.8
EZ,333.2,717.9,609.7,707.7,603.6,397.5,213.5,631.0,198.1,399.5,341.8,531.4,438.3,392.1,513.2,513.9,526.3,621.7,472.1,450.5,364.6,700.0,319.8,655.1,346.0,672.8,63.6,545.0,305.2,0.0,442.7,493.2,538.3,459.4,457.7,374.5,152.6,311.8,385.0,670.9,321.9,433.8,422.8,520.0,430.9,394.8,757.4,619.0,413.4,433.3,641.1,528.1,641.2,475.9,892.1,498.4,624.2,456.3,386.9,665.8,562.9,657.7,181.1,1175.7,397.8,318.8,150.2,411.4,465.9,769.0,462.3,424.6,660.2,614.6,589.4,303.8,593.7,636.5,730.5,465.4,393.4,339.4,19.3,612.2,373.1,542.6,343.2,862.7,766.2,269.4,742.1,447.0,693.0,639.2,364.3,411.5,409.5,264.2,340.9,408.2,362.4,409.1,362.8,674.1,769.6,324.4,554.5,609.7,744.3,459.3,625.3,275.9,599.2,5.1,714.2,387.3,393.3,680.5,540.4,357.8,667.7,201.7,746.0,548.1,531.8,516.1,625.9,669.4,567.1,291.4,351.3,308.8,340.8,315.6,472.2,280.9,867.6
FA,576.7,668.5,560.3,491.8,847.1,622.5,343.2,586.9,441.6,355.4,415.0,487.3,663.3,635.6,344.0,464.5,769.8,366.2,428.0,406.4,320.5,650.6,264.0,898.6,176.8,623.4,385.4,289.5,378.4,454.7,0.0,718.2,494.2,16.6,701.2,312.4,380.7,305.1,628.5,501.7,277.8,264.6,666.3,470.6,674.4,619.8,805.7,569.6,638.4,389.2,425.2,771.6,884.7,60.5,1020.4,741.9,580.1,681.3,630.4,909.3,307.4,791.0,424.6,1003.0,353.7,562.3,304.3,636.4,709.4,553.1,412.9,380.5,444.3,858.1,420.2,160.9,837.2,467.3,514.6,293.4,40.3,283.6,441.8,855.7,247.5,493.2,289.7,934.9,716.8,207.3,698.0,402.9,755.7,423.3,195.1,367.4,356.0,187.8,278.8,633.2,318.3,121.2,300.7,504.9,725.5,120.7,798.0,440.5,700.2,702.8,868.8,213.8,842.7,449.1,670.1,343.2,618.3,636.4,765.4,188.6,911.2,331.4,530.1,773.1,482.4,472.0,869.4,912.9,397.9,534.9,307.2,253.0,279.8,129.5,189.8,524.4,1101.5
FE,398.1,1149.3,1038.8,891.7,215.0,126.5,631.4,1027.7,532.6,796.2,759.7,928.1,69.7,417.9,697.2,910.6,226.1,791.8,868.8,847.2,761.3,946.7,623.2,595.9,649.4,1030.5,480.8,715.1,723.1,513.1,746.1,0.0,935.0,762.8,263.4,771.2,473.4,708.5,410.8,850.0,718.6,617.8,363.6,916.7,517.0,123.8,698.2,1015.7,178.7,830.0,825.1,376.7,252.6,779.3,606.1,351.0,1020.9,51.5,473.0,227.4,733.0,598.5,549.6,1302.2,794.5,477.5,568.1,140.4,255.2,953.0,859.0,821.3,844.2,555.4,773.4,700.5,534.5,820.5,914.5,760.9,696.8,642.8,500.2,553.0,769.8,939.3,646.6,589.7,1055.0,666.1,1138.8,843.7,633.8,823.2,761.0,808.2,712.9,567.6,737.6,173.5,759.1,706.4,759.5,858.1,1166.3,627.8,254.3,793.7,1141.0,369.5,473.9,672.6,540.0,507.5,1110.9,784.0,122.3,1077.2,47.1,754.5,516.3,619.6,930.0,58.2,928.5,912.8,237.3,518.0,751.1,553.9,748.0,612.2,737.5,619.0,657.3,678.1,595.3
FH,679.1,257.0,255.4,645.1,949.5,829.6,445.6,127.8,544.0,157.3,517.4,10.9,870.4,738.0,511.8,249.4,872.2,519.5,180.8,200.8,193.6,294.8,653.3,902.5,505.7,211.9,487.8,442.8,480.8,575.1,510.7,925.3,0.0,527.4,803.6,345.3,483.1,407.5,730.9,669.5,315.6,432.4,768.7,386.8,776.8,826.9,657.9,158.1,845.5,123.5,578.5,874.0,987.1,563.9,872.6,844.3,121.0,888.4,732.8,1011.7,460.7,643.2,527.0,1156.3,158.0,664.7,406.7,843.5,811.8,706.4,307.9,284.3,597.6,862.0,588.0,342.1,846.6,635.1,667.9,363.2,498.4,672.9,562.2,865.1,349.9,433.0,679.0,787.1,305.3,327.7,238.9,108.3,607.9,576.6,402.6,271.2,745.3,577.1,370.9,840.3,195.5,412.2,421.1,672.7,266.4,510.0,900.4,608.3,241.1,805.2,971.2,334.2,846.6,569.5,211.0,235.7,825.4,177.3,972.5,396.1,973.8,433.8,683.4,1008.7,422.2,266.4,971.8,1015.3,565.7,637.3,206.3,642.3,382.2,518.8,329.7,626.8,953.7
FI,593.9,685.7,577.5,509.0,864.3,639.7,360.4,604.1,458.8,372.6,432.2,504.5,680.5,652.8,361.2,481.7,787.0,383.4,445.2,423.6,337.7,667.8,281.2,915.8,194.0,640.6,402.6,306.7,395.6,471.9,17.1,735.4,511.4,0.0,718.4,329.6,397.9,322.3,645.7,518.9,295.0,281.8,683.5,487.8,691.6,637.0,822.9,586.8,655.6,406.4,442.4,788.8,901.9,77.7,1037.6,759.1,597.3,698.5,647.6,926.5,324.6,808.2,441.8,1020.2,370.9,579.5,321.5,653.6,726.6,570.3,430.1,397.7,461.5,875.3,437.4,178.1,854.4,484.5,531.8,310.6,57.5,300.8,459.0,872.9,264.7,510.4,306.9,952.1,734.0,224.5,715.2,420.1,772.9,440.5,212.3,384.6,373.2,205.0,296.0,650.4,335.5,138.4,317.9,522.1,742.7,137.9,815.2,457.7,717.4,720.0,886.0,231.0,859.9,466.3,687.3,360.4,635.5,653.6,782.6,205.8,928.4,348.6,547.3,790.3,499.6,489.2,886.6,930.1,415.1,552.1,324.4,270.2,297.0,146.7,207.0,541.6,1118.7
FJ,134.6,885.8,775.3,1008.0,145.8,317.6,474.2,891.7,269.1,660.2,602.5,792.1,260.8,154.4,887.9,774.6,68.5,882.4,732.8,711.2,625.3,685.1,694.5,332.4,720.7,767.0,402.6,805.7,565.9,489.9,733.1,265.2,799.0,749.8,0.0,635.2,527.3,572.5,147.3,1045.6,582.6,808.5,100.1,666.4,253.5,314.9,434.7,818.5,369.8,694.0,941.4,113.2,183.4,786.3,477.2,87.5,884.9,242.6,209.5,208.0,823.6,335.0,286.1,1493.3,658.5,214.0,410.9,331.5,8.1,1069.3,723.0,685.3,960.5,291.9,964.1,564.5,271.0,1011.2,1030.8,726.1,720.8,714.1,477.0,289.5,633.8,803.3,717.9,447.8,791.5,530.1,1002.8,707.7,370.3,939.5,625.0,672.2,784.2,638.9,601.6,364.6,623.1,730.3,623.5,1048.8,829.2,699.1,96.7,984.4,1005.0,106.0,210.4,536.6,276.5,484.3,974.9,648.0,313.4,941.2,215.6,618.5,252.8,462.4,1046.3,205.0,792.5,776.8,168.1,254.5,941.8,290.4,612.0,683.5,601.5,690.3,732.9,414.6,452.7
FO,508.8,445.1,336.9,508.1,779.2,659.3,275.3,410.3,373.7,178.6,347.1,310.7,700.1,569.1,374.8,241.1,701.9,382.5,251.4,229.8,141.7,425.7,465.0,826.9,377.8,400.0,317.5,305.8,310.5,404.8,322.4,755.0,317.6,339.1,633.3,0.0,312.8,237.2,560.6,532.5,96.6,295.4,598.4,247.2,606.5,656.6,582.3,346.2,675.2,212.6,441.5,703.7,816.8,375.6,797.0,674.0,403.5,718.1,562.5,841.4,323.7,567.6,356.7,1019.3,177.1,494.4,236.4,673.2,641.5,569.4,189.5,203.9,460.6,786.4,451.0,153.8,769.3,498.1,530.9,226.2,310.1,484.6,391.9,787.8,179.6,269.8,490.7,711.5,493.4,107.2,521.4,226.3,532.3,439.6,214.3,190.8,557.0,388.8,88.4,670.0,141.7,319.6,89.3,535.7,548.9,321.7,730.1,471.3,523.6,634.9,800.9,100.7,771.0,399.2,493.5,166.6,655.1,459.8,802.2,207.8,843.3,263.5,546.4,838.4,259.0,295.4,801.5,845.0,428.7,467.0,130.6,454.0,211.9,330.5,192.7,456.5,878.1
FW,397.6,640.1,531.9,655.6,668.0,345.4,276.7,553.2,262.5,321.7,327.9,453.6,386.2,456.5,461.1,436.1,590.7,543.9,394.3,372.7,286.8,622.2,267.7,719.5,293.9,595.0,128.0,467.2,291.3,159.6,390.6,441.1,460.5,407.3,522.1,296.7,0.0,234.0,449.4,618.8,244.1,381.7,487.2,442.2,495.3,342.7,777.3,541.2,361.3,355.5,589.0,592.5,705.6,423.8,956.5,562.8,546.4,404.2,451.3,619.5,485.1,722.1,245.5,1123.6,320.0,383.2,214.6,359.3,530.3,716.9,384.5,346.8,608.1,679.0,537.3,226.0,658.1,584.4,678.4,387.6,341.3,287.3,146.7,676.6,295.3,464.8,291.1,906.5,688.4,191.6,664.3,369.2,727.3,587.1,286.5,333.7,357.4,212.1,263.1,356.1,284.6,357.0,285.0,622.0,691.8,272.3,618.9,557.6,666.5,523.7,689.7,198.1,663.6,154.0,636.4,309.5,341.2,602.7,488.3,280.0,732.1,266.1,693.9,496.0,454.0,438.3,690.3,733.8,515.0,355.8,273.5,256.7,263.0,263.5,394.4,345.3,932.0
GA,433.0,570.4,462.2,599.8,703.4,609.8,85.8,483.5,297.9,252.0,137.0,383.9,650.6,491.9,466.5,366.4,626.1,474.2,324.6,303.0,217.1,552.5,467.5,754.9,380.3,525.3,241.7,397.5,100.4,329.0,324.9,705.5,390.8,341.6,557.5,227.0,263.3,0.0,484.8,624.2,174.4,387.1,522.6,372.5,530.7,607.1,707.6,471.5,625.7,285.8,533.2,627.9,741.0,378.1,922.3,598.2,476.7,668.6,486.7,765.6,415.4,692.9,280.9,1111.0,250.3,418.6,160.6,623.7,565.7,661.1,314.8,277.1,552.3,714.4,542.7,156.3,693.5,589.8,622.6,317.9,312.6,487.1,316.1,712.0,61.2,395.1,493.2,836.8,618.7,121.9,594.6,299.5,657.6,531.3,216.8,264.0,559.5,391.3,193.4,620.5,214.9,322.1,215.3,627.4,622.1,324.2,654.3,563.0,596.8,559.1,725.1,128.4,699.0,323.4,566.7,239.8,605.6,533.0,773.2,210.3,767.5,97.6,638.1,762.6,384.3,368.6,725.7,769.2,520.4,391.2,203.8,456.5,28.9,333.0,324.7,380.7,967.4
GC,63.9,880.1,769.6,937.3,275.2,447.0,403.5,821.0,198.4,589.5,531.8,721.4,390.2,7.0,817.2,703.9,197.9,811.7,662.1,640.5,554.6,679.4,623.8,326.7,650.0,761.3,331.9,735.0,495.2,419.2,662.4,394.6,728.3,679.1,129.3,564.5,456.6,501.8,0.0,974.9,511.9,737.8,94.4,660.7,106.1,444.3,429.0,809.0,499.2,623.3,870.7,199.7,312.8,715.6,563.7,170.0,814.2,372.0,62.1,337.4,752.9,329.3,215.4,1448.5,587.8,143.3,340.2,460.9,137.5,998.6,652.3,614.6,889.8,286.2,893.4,493.8,265.3,940.5,960.1,655.4,650.1,643.4,406.3,283.8,563.1,732.6,647.2,534.3,785.8,459.4,932.1,637.0,364.6,868.8,554.3,601.5,713.5,568.2,530.9,494.0,552.4,659.6,552.8,978.1,823.5,628.4,226.1,913.7,934.3,130.9,296.9,465.9,270.8,413.6,904.2,577.3,442.8,870.5,345.0,547.8,339.3,391.7,975.6,334.4,721.8,706.1,297.5,341.0,871.1,219.7,541.3,612.8,530.8,619.6,662.2,343.9,539.2
GR,880.8,822.6,714.4,248.3,1151.2,758.0,647.3,753.7,745.7,522.0,713.5,654.1,815.7,941.1,194.6,618.6,1073.9,263.5,594.8,573.2,485.1,803.2,508.1,1202.7,357.8,777.5,666.5,215.3,682.5,698.8,515.8,865.0,661.0,532.5,1005.3,532.2,659.1,609.2,932.6,0.0,515.9,254.1,970.4,624.7,978.5,760.7,959.8,723.7,882.5,556.0,181.7,1075.7,1188.8,549.0,1174.5,1046.0,746.9,833.7,934.5,1049.0,199.3,945.1,728.7,1026.4,520.5,866.4,608.4,744.2,1013.5,309.6,567.0,547.3,200.8,1162.2,81.7,497.3,1141.3,330.3,271.1,447.5,466.5,527.7,680.3,1159.8,551.6,641.7,533.8,1089.0,870.9,529.4,864.8,569.7,909.8,179.8,531.5,528.6,600.1,431.9,546.5,877.3,485.1,393.0,621.6,373.5,892.3,419.3,1102.1,309.1,867.0,1006.9,1172.9,535.9,1146.8,693.2,836.9,510.0,762.2,803.2,912.2,525.0,1215.3,635.5,286.6,925.5,636.5,633.2,1173.5,1217.0,266.5,839.0,474.0,497.1,583.9,410.5,343.9,828.5,1255.6
GW,452.7,442.7,334.5,494.6,723.1,603.2,219.2,378.3,317.6,146.8,291.0,278.7,644.0,513.0,361.3,238.7,645.8,369.0,219.4,197.8,109.7,424.8,426.9,774.6,339.7,397.6,261.4,292.3,254.4,348.7,284.3,698.9,285.6,301.0,577.2,90.5,256.7,181.1,504.5,514.1,0.0,281.9,542.3,244.8,550.4,600.5,579.9,343.8,619.1,180.6,428.0,647.6,760.7,337.5,794.6,617.9,371.5,662.0,506.4,785.3,310.2,565.2,300.6,1005.8,145.1,438.3,180.3,617.1,585.4,555.9,187.1,171.9,447.1,734.1,437.5,115.7,713.2,484.6,517.4,212.7,272.0,446.5,335.8,731.7,123.5,267.4,452.6,709.1,491.0,101.3,489.4,194.3,529.9,426.1,176.2,158.8,518.9,350.7,55.2,613.9,109.7,281.5,139.8,522.2,516.9,283.6,674.0,457.8,491.6,578.8,744.8,107.8,718.7,343.1,461.5,134.6,599.0,427.8,746.1,169.7,787.2,207.4,532.9,782.3,256.6,263.4,745.4,788.9,415.2,410.9,98.6,415.9,155.8,292.4,179.2,400.4,875.7
HF,682.6,592.6,484.4,273.8,782.4,503.8,417.3,523.7,547.5,292.2,489.1,424.1,561.5,741.5,79.3,388.6,875.7,289.0,364.8,343.2,257.3,574.7,253.9,1004.5,103.6,547.5,413.0,240.8,452.5,444.6,283.4,616.4,431.0,300.1,807.1,302.2,404.9,379.2,734.4,237.0,285.9,0.0,772.2,394.7,780.3,506.5,729.8,493.7,628.3,326.0,207.2,877.5,820.0,316.6,944.5,847.8,516.9,579.5,736.3,794.8,224.8,715.1,530.5,772.2,290.5,668.2,378.4,490.0,815.3,335.1,337.0,317.3,226.3,964.0,155.5,267.3,943.1,202.6,296.6,217.5,234.1,273.5,431.7,961.6,321.6,417.3,279.6,859.0,640.9,299.4,634.8,339.7,679.8,205.3,301.5,304.2,345.9,177.7,316.5,623.1,255.1,163.0,391.6,240.2,662.3,165.1,903.9,175.8,637.0,808.7,974.7,305.9,948.6,439.0,606.9,280.0,508.0,573.2,663.6,295.0,1017.1,405.5,312.1,671.3,406.5,408.8,804.7,1018.8,133.2,640.8,244.0,242.9,353.9,156.3,113.9,630.3,1025.6
HG,87.2,816.0,705.5,960.6,253.5,425.3,426.8,844.3,221.7,612.8,555.1,744.7,368.5,107.0,840.5,727.2,176.2,835.0,685.4,663.8,577.9,615.3,647.1,262.6,673.3,697.2,355.2,758.3,518.5,442.5,685.7,372.9,751.6,702.4,107.6,587.8,479.9,525.1,99.9,998.2,535.2,761.1,0.0,596.6,206.1,422.6,364.9,748.7,477.5,646.6,894.0,178.0,291.1,738.9,542.0,148.3,837.5,350.3,162.1,315.7,776.2,265.2,238.7,1471.8,611.1,166.6,363.5,439.2,115.8,1021.9,675.6,637.9,913.1,222.1,916.7,517.1,201.2,963.8,983.4,678.7,673.4,666.7,429.6,219.7,586.4,755.9,670.5,512.6,721.7,482.7,955.4,660.3,300.5,892.1,577.6,624.8,736.8,591.5,554.2,472.3,575.7,682.9,576.1,1001.4,759.4,651.7,204.4,937.0,957.6,109.2,275.2,489.2,206.7,436.9,927.5,600.6,421.1,893.8,323.3,571.1,317.6,415.0,998.9,312.7,745.1,729.4,275.8,319.3,894.4,243.0,564.6,636.1,554.1,642.9,685.5,367.2,517.5
HH,640.7,219.3,108.8,596.5,807.0,799.0,415.0,491.2,513.4,267.2,486.8,374.3,922.0,660.5,463.2,162.0,729.7,470.9,298.3,318.2,232.3,179.9,581.1,579.6,457.1,174.2,457.2,394.2,450.2,544.5,480.1,926.4,363.3,496.8,661.1,263.1,452.5,376.9,653.4,620.9,246.8,383.8,603.8,0.0,759.6,796.3,335.0,213.0,814.9,301.0,529.9,731.5,844.6,519.6,549.7,701.8,484.4,903.8,715.6,869.2,412.1,320.3,496.4,1107.7,265.5,634.1,376.1,812.9,669.3,657.8,110.4,292.3,549.0,539.1,539.4,311.5,523.7,586.5,619.3,314.6,437.1,600.7,531.6,542.2,319.3,210.7,606.8,464.2,267.6,297.1,439.3,314.7,285.0,528.0,372.0,279.2,673.1,504.9,277.4,809.7,230.1,363.6,352.5,624.1,297.7,437.8,757.9,559.7,364.5,662.7,823.7,303.6,523.7,538.9,400.7,255.0,794.8,388.4,876.8,365.5,650.9,403.2,634.8,866.2,199.9,383.8,829.3,867.8,517.1,606.7,219.0,570.1,351.6,446.6,281.1,596.2,630.8
HT,118.5,937.9,829.7,967.3,368.7,540.5,433.5,851.0,228.4,619.5,561.8,751.4,483.7,86.1,847.2,733.9,291.4,841.7,692.1,670.5,584.6,772.9,653.8,420.2,680.0,854.8,361.9,765.0,525.2,449.2,692.4,488.1,758.3,709.1,222.8,594.5,486.6,531.8,93.4,1004.9,541.9,767.8,187.9,740.0,0.0,537.8,522.5,839.0,592.7,653.3,900.7,293.2,406.3,745.6,657.2,263.5,844.2,465.5,41.6,430.9,782.9,422.8,245.4,1478.5,617.8,173.3,370.2,554.4,231.0,1028.6,682.3,644.6,919.8,379.7,923.4,523.8,358.8,970.5,990.1,685.4,680.1,673.4,436.3,377.3,593.1,762.6,677.2,627.8,879.3,489.4,962.1,667.0,458.1,898.8,584.3,631.5,743.5,598.2,560.9,587.5,582.4,689.6,582.8,1008.1,989.6,658.4,319.6,943.7,964.3,224.4,390.4,495.9,364.3,443.6,934.2,607.3,536.3,900.5,438.5,577.8,432.8,421.7,1005.6,427.9,751.8,736.1,391.0,434.5,901.1,249.7,571.3,642.8,560.8,649.6,692.2,373.9,632.7
IF,458.9,1012.1,903.9,767.8,275.8,2.7,539.0,935.3,523.6,703.8,667.3,835.7,54.9,478.7,573.3,808.1,286.9,667.9,776.4,754.8,668.9,994.2,530.8,656.7,541.1,967.0,389.1,591.2,630.7,420.7,653.7,109.8,842.6,670.4,324.2,721.7,381.0,616.1,471.6,731.0,626.2,493.9,424.4,814.2,577.8,0.0,759.0,913.2,118.8,737.6,701.2,437.5,313.4,686.9,648.9,411.8,928.5,72.9,533.8,288.2,609.1,659.3,506.6,1178.3,702.1,538.3,475.7,16.5,316.0,829.1,756.5,728.9,720.3,616.2,649.5,608.1,595.3,696.6,790.6,637.0,604.4,550.4,407.8,613.8,677.4,836.8,554.2,632.5,1060.4,573.7,1046.4,751.3,694.6,699.3,668.6,715.8,620.5,475.2,645.2,113.6,666.7,582.5,667.1,734.2,1073.9,535.4,315.1,669.8,1048.6,430.3,534.7,580.2,600.8,415.1,1018.5,691.6,1.5,984.8,157.0,662.1,577.1,527.2,806.1,164.7,826.0,820.4,298.1,578.8,627.2,614.7,655.6,519.8,645.1,526.6,533.4,606.4,638.1
II,409.0,574.4,463.9,951.6,575.3,747.1,748.6,658.0,543.5,622.3,876.9,668.4,690.3,428.8,818.3,517.1,498.0,826.0,653.4,673.3,587.4,373.7,968.9,347.9,812.2,455.6,677.0,749.3,840.3,764.3,835.2,694.7,657.4,851.9,429.4,618.2,801.7,846.9,421.7,976.0,601.9,738.9,372.1,355.0,527.9,744.4,0.0,507.1,799.3,656.1,885.0,499.8,612.9,874.7,318.0,470.1,664.8,672.1,483.9,637.5,767.2,88.6,560.5,1462.8,620.6,488.4,685.3,761.0,437.6,1012.9,465.5,647.4,904.1,307.4,894.5,666.6,292.0,941.6,974.4,669.7,792.2,988.5,751.4,310.5,674.4,565.8,992.3,232.5,480.1,652.2,659.4,669.8,53.3,883.1,727.1,634.3,1058.6,913.3,632.5,794.1,585.2,718.7,707.6,979.2,517.8,792.9,526.2,914.8,584.6,431.0,592.0,658.7,292.0,758.7,620.8,610.1,742.9,608.5,645.1,720.6,419.2,736.8,989.9,634.5,555.0,738.9,597.6,636.1,872.2,564.8,574.1,957.9,706.7,801.7,636.2,689.0,399.1
