from_stop,AO,AR,AS,AT,AW,AX,AY,BB,BD,BG,BH,BT,BW,CB,CK,CW,CZ,DI,DQ,DX,DZ,EA,EE,EG,EK,EO,ER,EU,EY,FA,FI,FM,FR,FS,FZ,GD,GG,GI,GJ,GM,HB,HI,HJ,HO,HR,HV,HW,HZ,IB,IC,IG,IL,IS,IX,JA,JB,JJ,JO,JQ,JU,JW,KH,KM,KR,KU,LG,LH,LI,LK,LM,LN,LU,LW,MF,MH,MV,MW,ND,NH,NN,NQ,NU,OC,OE,OK,ON,OT,OX,OY,OZ,PC,PE,PF,PP,PX,QA,QI,QN,QQ,QT,QX,QY,RB,RE,RJ,RL,RM,RP,RY,SG,SL,SW,SZ,TA,TD,TG,TI,TQ,TS,TU,TY,UB,UD,UE,UH,UJ,UO,UR,US,UU,VF,VQ,WA,WH,WJ,WS,WW,WX,XA,XJ,XY,YH,YJ,YN,ZA,ZE,ZF,ZQ,ZU,ZX
EA,526.0,184.1,316.3,744.9,351.8,220.1,210.9,289.1,411.3,708.1,358.7,682.4,238.7,517.4,310.9,89.8,149.2,600.5,193.0,336.2,536.6,0.0,188.2,607.8,341.0,577.3,611.2,563.4,409.2,445.9,63.7,683.8,188.4,176.2,416.5,128.8,551.7,329.3,335.2,116.4,275.6,435.0,376.5,213.7,338.2,445.2,456.8,304.7,230.8,654.9,176.6,474.7,205.6,253.2,544.5,244.1,419.1,657.4,295.3,265.2,335.9,328.9,205.7,701.9,411.0,403.9,426.6,756.7,196.9,570.7,276.9,409.9,107.0,511.6,436.6,492.0,610.6,473.4,487.4,370.7,709.8,257.7,356.8,219.4,268.8,501.3,642.8,622.1,147.2,456.2,43.0,149.7,549.1,666.1,475.3,382.9,207.6,259.7,383.6,207.5,270.5,635.8,194.5,167.7,2421.0,294.9,352.1,76.6,237.6,395.2,179.7,198.8,295.1,880.5,672.6,358.6,220.3,257.6,394.4,335.3,470.5,566.6,405.0,435.1,309.7,374.1,251.8,329.3,612.8,159.7,168.2,551.7,484.7,529.2,286.7,679.5,553.5,365.2,353.3,301.5,199.4,586.0,354.7,595.8,186.1,456.5,222.9,479.2,657.6,112.7
EE,668.4,348.1,448.7,879.9,327.1,31.8,22.6,453.1,546.3,843.1,334.0,824.8,402.7,659.8,286.2,253.8,284.2,742.9,357.0,311.5,679.0,188.6,0.0,742.8,316.3,741.3,746.2,698.4,384.5,580.9,227.7,818.8,352.4,151.5,391.8,104.1,694.1,287.3,310.5,280.4,439.6,570.0,351.8,159.8,502.2,420.5,432.1,439.7,394.8,789.9,319.0,450.0,180.9,228.5,679.5,219.4,583.1,799.8,459.3,357.0,311.2,492.9,297.5,844.3,546.0,379.2,401.9,891.7,331.9,705.7,368.7,385.2,242.0,646.6,571.6,634.4,753.0,448.7,462.7,346.0,844.8,421.7,491.8,383.4,432.8,665.3,785.2,764.5,289.6,607.9,178.0,292.1,691.5,801.1,450.6,355.6,371.6,217.7,518.6,71.6,405.5,778.2,358.5,308.7,2563.4,252.9,516.1,240.6,73.4,530.2,343.7,362.8,253.1,1015.5,901.5,333.9,153.2,421.6,529.4,470.3,581.8,709.0,380.3,410.4,401.5,521.2,227.1,304.6,755.2,302.1,332.2,527.0,460.0,693.2,262.0,814.5,695.9,340.5,488.3,436.5,334.4,721.0,518.7,730.8,161.4,551.1,76.7,454.5,859.4,247.7
EG,507.8,731.2,872.7,390.2,908.2,776.5,767.3,724.0,418.0,353.4,915.1,447.5,689.1,458.2,867.3,636.9,511.7,425.5,740.1,892.6,518.4,597.9,744.6,0.0,897.4,463.0,256.5,415.2,965.6,452.6,610.8,269.5,735.5,732.6,972.9,685.2,458.0,874.8,891.6,663.5,822.7,441.7,932.9,759.2,670.9,1001.6,1013.2,470.0,734.3,133.1,722.1,1031.1,762.0,809.6,130.2,800.5,678.7,387.2,730.2,821.6,892.3,596.7,762.1,431.7,417.7,960.3,983.0,234.9,381.6,216.0,833.3,966.3,470.6,97.3,144.1,424.1,573.0,1029.8,1043.8,927.1,355.1,804.8,223.4,766.5,815.9,539.5,385.6,404.7,692.7,638.2,548.9,695.2,450.9,251.8,1031.7,939.3,754.7,805.2,363.5,763.9,340.6,464.3,741.6,713.2,2024.9,840.4,899.2,623.7,794.0,185.0,726.8,745.9,840.6,358.7,411.8,915.0,765.8,804.7,376.0,500.6,612.1,529.0,961.4,991.5,866.1,551.5,808.2,885.7,378.6,705.2,715.3,1108.1,1041.1,549.1,843.1,324.8,515.9,921.6,518.6,308.2,506.7,150.8,622.2,241.1,742.5,581.4,779.3,1035.6,369.7,464.9
EK,833.7,513.4,220.5,1045.2,228.4,340.7,331.5,618.4,711.6,1008.4,105.8,990.1,568.0,825.1,83.4,419.1,449.5,908.2,522.3,4.8,844.3,353.9,308.8,908.1,0.0,906.6,911.5,863.7,171.3,746.2,393.0,984.1,517.7,175.9,178.6,224.5,859.4,512.2,297.5,445.7,604.9,735.3,129.0,384.7,667.5,207.3,218.9,605.0,560.1,955.2,484.3,236.8,232.1,99.7,844.8,206.4,748.4,965.1,624.6,277.9,239.4,658.2,329.0,1009.6,711.3,107.0,188.7,1057.0,497.2,871.0,261.8,172.0,407.3,811.9,736.9,799.7,918.3,235.5,234.5,132.8,1010.1,587.0,657.1,548.7,595.2,830.6,950.5,929.8,454.9,773.2,343.3,457.4,856.8,966.4,222.4,145.0,536.9,442.6,683.9,271.4,570.8,943.5,523.8,474.0,2728.7,477.8,681.4,405.9,301.5,695.5,509.0,528.1,478.0,1180.8,1066.8,56.4,378.1,586.9,694.7,635.6,747.1,874.3,63.9,197.2,284.2,686.5,214.1,11.7,920.5,467.4,497.5,313.8,246.8,858.5,97.4,979.8,861.2,127.3,653.6,601.8,499.7,886.3,684.0,896.1,165.8,716.4,286.8,138.1,1024.7,413.0
EO,894.7,595.8,885.9,675.6,921.4,789.7,780.5,374.8,274.6,638.8,928.3,732.9,339.9,855.0,880.5,507.0,524.9,710.9,439.4,905.8,905.3,611.1,757.8,498.9,910.6,0.0,541.9,45.5,978.8,282.0,533.0,192.3,600.1,745.8,986.1,698.4,760.7,882.3,904.8,480.4,687.3,271.1,946.1,766.7,248.2,1014.8,1026.4,479.0,385.1,546.0,729.6,1044.3,775.2,822.8,331.3,813.7,422.6,800.1,381.0,834.8,905.5,332.4,775.3,844.6,247.1,973.5,996.2,647.8,394.8,501.4,846.5,979.5,483.8,364.2,429.5,820.9,916.6,1043.0,1057.0,940.3,640.5,501.8,396.7,455.9,680.5,76.4,671.0,690.1,700.2,459.7,562.1,702.7,863.8,210.0,1044.9,952.5,619.3,812.7,266.6,777.1,353.8,749.7,606.2,720.7,2437.8,847.9,763.8,520.2,807.2,470.4,591.4,610.5,848.1,771.6,697.2,928.2,773.3,669.3,254.1,427.8,474.0,872.6,974.6,1004.7,879.3,377.6,821.4,898.9,791.5,712.7,579.9,1121.3,1054.3,86.0,856.3,610.2,859.5,934.8,410.3,301.3,519.9,477.1,358.2,526.5,755.7,460.0,792.5,1048.8,655.1,478.1
ER,351.7,775.2,916.7,186.7,952.2,817.8,829.1,768.0,462.0,95.8,959.1,189.9,733.1,312.0,911.3,680.9,555.7,167.9,784.1,936.6,362.3,641.9,788.6,277.1,941.4,546.6,0.0,498.8,1009.6,496.6,654.8,353.1,779.5,776.6,1016.9,729.2,217.7,826.3,935.6,707.5,866.7,485.7,976.9,710.7,714.9,1045.6,1057.2,514.0,778.3,324.2,756.3,1075.1,806.0,853.6,213.8,844.5,722.7,311.7,774.2,865.6,936.3,640.7,806.1,356.2,461.7,1004.3,1027.0,426.0,425.6,121.3,877.3,1077.7,514.6,180.9,188.1,277.9,373.6,1140.3,1087.8,971.1,97.5,848.8,267.4,810.5,859.9,623.1,128.0,147.1,727.3,682.2,592.9,575.1,375.4,335.4,1075.7,1050.7,798.7,756.7,407.5,808.7,384.6,206.7,785.6,747.4,2030.5,791.9,943.2,667.7,828.5,229.0,770.8,789.9,792.1,549.8,154.2,959.0,717.3,848.7,420.0,544.6,656.1,329.6,1005.4,1059.9,910.1,595.5,852.2,929.7,303.1,739.4,759.3,1152.1,1085.1,632.7,887.1,121.3,316.5,965.6,562.6,352.2,550.7,255.3,666.2,37.6,786.5,625.4,793.4,1079.6,112.1,508.9
EU,849.1,715.7,857.2,630.0,892.7,761.0,751.8,422.6,245.9,593.2,899.6,687.3,387.7,809.4,851.8,554.8,496.2,665.3,487.2,877.1,859.7,582.4,729.1,453.3,881.9,47.7,496.3,0.0,950.1,253.3,595.3,146.7,720.0,717.1,957.4,669.7,715.1,859.3,876.1,528.2,807.2,242.4,917.4,743.7,296.0,986.1,997.7,454.5,432.9,500.4,706.6,1015.6,746.5,794.1,285.7,785.0,470.4,754.5,428.8,806.1,876.8,380.2,746.6,799.0,218.4,944.8,967.5,602.2,366.1,455.8,817.8,950.8,455.1,318.6,383.9,775.3,871.0,1014.3,1028.3,911.6,594.9,549.6,368.0,503.7,800.4,124.2,625.4,644.5,677.2,507.5,533.4,679.7,818.2,164.4,1016.2,923.8,739.2,789.7,237.9,748.4,325.1,704.1,726.1,697.7,2392.2,824.9,883.7,608.2,778.5,424.8,711.3,730.4,825.1,726.0,651.6,899.5,750.3,789.2,225.4,475.6,521.8,827.0,945.9,976.0,850.6,425.4,792.7,870.2,745.9,689.7,699.8,1092.6,1025.6,133.8,827.6,564.6,813.9,906.1,458.1,272.6,491.2,431.5,406.0,480.9,727.0,507.8,763.8,1020.1,609.5,449.4
EY,891.3,571.0,356.0,1102.8,286.0,398.3,389.1,676.0,769.2,1066.0,241.3,1047.7,625.6,882.7,193.5,476.7,507.1,965.8,579.9,175.9,901.9,411.5,366.4,965.7,180.7,964.2,969.1,921.3,0.0,803.8,450.6,1041.7,575.3,233.5,29.1,282.1,917.0,569.8,355.1,503.3,662.5,792.9,259.1,442.3,725.1,127.0,138.6,662.6,617.7,1012.8,541.9,191.7,289.7,157.3,902.4,264.0,806.0,1022.7,682.2,413.4,297.0,715.8,464.5,1067.2,768.9,286.5,124.6,1114.6,554.8,928.6,397.3,169.1,464.9,869.5,794.5,857.3,975.9,232.6,299.2,87.7,1067.7,644.6,714.7,606.3,655.7,888.2,1008.1,987.4,512.5,830.8,400.9,515.0,914.4,1024.0,310.7,142.1,594.5,500.2,741.5,329.0,628.4,1001.1,581.4,533.0,2786.3,535.4,739.0,463.5,359.1,753.1,566.6,585.7,535.6,1238.4,1124.4,237.2,435.7,644.5,752.3,693.2,804.7,931.9,244.7,194.3,419.7,744.1,271.7,169.0,978.1,525.0,555.1,107.9,201.7,916.1,169.3,1037.4,918.8,82.2,711.2,659.4,557.3,943.9,741.6,953.7,223.4,774.0,344.4,318.9,1082.3,470.6
FA,831.0,571.5,713.0,611.9,748.5,616.8,607.6,564.3,101.7,575.1,755.4,669.2,529.4,791.3,707.6,477.2,352.0,647.2,580.4,732.9,841.6,438.2,584.9,474.8,737.7,297.5,478.2,246.6,805.9,0.0,451.1,393.4,575.8,572.9,813.2,525.5,697.0,715.1,731.9,503.8,663.0,51.8,773.2,599.5,511.2,841.9,853.5,310.3,574.6,521.9,562.4,871.4,602.3,649.9,411.5,640.8,519.0,736.9,570.5,661.9,732.6,437.0,602.4,781.4,28.9,800.6,823.3,623.7,221.9,437.7,673.6,806.6,310.9,378.6,303.6,757.2,852.9,870.1,884.1,767.4,576.8,645.1,223.8,606.8,656.2,374.0,607.3,626.4,533.0,478.5,389.2,535.5,800.6,411.1,872.0,779.6,595.0,645.5,93.7,604.2,180.9,686.0,581.9,553.5,2413.7,680.7,739.5,464.0,634.3,262.2,567.1,586.2,680.9,747.5,633.5,755.3,606.1,645.0,81.2,340.9,452.4,808.9,801.7,831.8,706.4,391.8,648.5,726.0,728.3,545.5,555.6,948.4,881.4,383.6,683.4,546.5,795.8,761.9,358.9,128.4,347.0,453.0,462.5,462.8,582.8,421.7,619.6,875.9,591.4,305.2
FI,545.9,120.3,365.1,775.4,400.6,268.9,259.7,225.3,441.8,738.6,407.5,702.3,174.9,537.3,359.7,26.0,179.7,620.4,129.2,385.0,556.5,50.7,237.0,638.3,389.8,513.5,641.7,559.1,458.0,476.4,0.0,705.9,124.6,225.0,465.3,177.6,571.6,349.2,384.0,52.6,211.8,465.5,425.3,233.6,274.4,494.0,505.6,411.7,167.0,685.4,196.5,523.5,254.4,302.0,575.0,292.9,355.3,677.3,231.5,314.0,384.7,265.1,254.5,721.8,441.5,452.7,475.4,787.2,227.4,601.2,325.7,458.7,137.5,542.1,467.1,511.9,630.5,522.2,536.2,419.5,740.3,193.9,387.3,155.6,205.0,437.5,662.7,642.0,167.1,392.4,73.5,169.6,569.0,723.6,524.1,431.7,143.8,279.6,414.1,256.3,301.0,655.7,130.7,187.6,2440.9,314.8,288.3,12.8,286.4,425.7,115.9,135.0,315.0,911.0,692.5,407.4,240.2,193.8,424.9,360.5,406.7,586.5,453.8,483.9,358.5,310.3,300.6,378.1,632.7,179.6,104.4,600.5,533.5,465.4,335.5,710.0,573.4,414.0,343.0,332.0,229.9,616.5,290.9,626.3,234.9,392.7,316.3,528.0,677.5,143.2
FM,702.3,824.2,965.7,483.2,1001.2,869.5,860.3,568.3,391.6,446.4,1008.1,540.5,533.4,662.6,960.3,729.9,604.7,518.5,632.9,985.6,712.9,690.9,837.6,306.5,990.4,193.4,349.5,145.6,1058.6,399.0,703.8,0.0,828.5,825.6,1065.9,778.2,568.3,967.8,984.6,673.9,915.7,388.1,1025.9,852.2,441.7,1094.6,1106.2,563.0,578.6,353.6,815.1,1124.1,855.0,902.6,138.9,893.5,616.1,607.7,574.5,914.6,985.3,525.9,855.1,652.2,364.1,1053.3,1076.0,455.4,474.6,309.0,926.3,1059.3,563.6,171.8,237.1,628.5,724.2,1122.8,1136.8,1020.1,448.1,695.3,316.4,649.4,908.9,269.9,478.6,497.7,785.7,653.2,641.9,788.2,671.4,17.7,1124.7,1032.3,847.7,898.2,383.6,856.9,433.6,557.3,834.6,806.2,2245.4,933.4,992.2,716.7,887.0,278.0,819.8,838.9,933.6,579.2,504.8,1008.0,858.8,897.7,371.1,593.6,667.5,680.2,1054.4,1084.5,959.1,571.1,901.2,978.7,599.1,798.2,808.3,1201.1,1134.1,279.5,936.1,417.8,667.1,1014.6,603.8,401.2,599.7,284.7,551.7,334.1,835.5,653.5,872.3,1128.6,462.7,557.9
FR,668.9,33.5,488.1,898.4,523.6,391.9,382.7,270.7,564.8,861.6,530.5,825.3,220.3,660.3,482.7,96.9,302.7,743.4,174.6,508.0,679.5,173.7,360.0,761.3,512.8,558.9,764.7,604.5,581.0,599.4,122.9,751.3,0.0,348.0,588.3,300.6,694.6,472.2,507.0,98.0,87.1,588.5,548.3,356.6,319.8,617.0,628.6,457.1,212.4,808.4,319.5,646.5,377.4,425.0,698.0,415.9,400.7,800.3,276.9,437.0,507.7,310.5,377.5,844.8,564.5,575.7,598.4,910.2,350.4,724.2,448.7,581.7,260.5,665.1,590.1,634.9,753.5,645.2,659.2,542.5,863.3,239.3,510.3,201.0,80.3,482.9,785.7,765.0,290.1,437.8,196.5,292.6,692.0,769.0,647.1,554.7,19.1,402.6,537.1,379.3,424.0,778.7,6.1,310.6,2563.9,437.8,163.6,110.1,409.4,548.7,29.1,10.4,438.0,1034.0,815.5,530.4,363.2,69.1,547.9,405.9,452.1,709.5,576.8,606.9,481.5,355.7,423.6,501.1,755.7,302.6,10.1,723.5,656.5,510.8,458.5,833.0,696.4,537.0,388.4,455.0,352.9,739.5,336.3,749.3,357.9,438.1,439.3,651.0,800.5,266.2
FS,657.7,337.4,297.1,869.2,175.5,164.7,155.5,442.4,535.6,832.4,182.4,814.1,392.0,649.1,134.6,243.1,273.5,732.2,346.3,159.9,668.3,177.9,132.8,732.1,164.7,730.6,735.5,687.7,232.9,570.2,217.0,808.1,341.7,0.0,240.2,48.5,683.4,336.2,158.9,269.7,428.9,559.3,200.2,208.7,491.5,268.9,280.5,429.0,384.1,779.2,308.3,298.4,56.1,76.9,668.8,67.8,572.4,789.1,448.6,354.5,159.6,482.2,254.1,833.6,535.3,227.6,250.3,881.0,321.2,695.0,338.4,233.6,231.3,635.9,560.9,623.7,742.3,297.1,311.1,194.4,834.1,411.0,481.1,372.7,422.1,654.6,774.5,753.8,278.9,597.2,167.3,281.4,680.8,790.4,299.0,206.6,360.9,266.6,507.9,95.4,394.8,767.5,347.8,299.4,2552.7,301.8,505.4,229.9,125.5,519.5,333.0,352.1,302.0,1004.8,890.8,182.3,202.1,410.9,518.7,459.6,571.1,698.3,228.7,258.8,360.8,510.5,75.5,153.0,744.5,291.4,321.5,375.4,308.4,682.5,110.4,803.8,685.2,188.9,477.6,425.8,323.7,710.3,508.0,720.1,9.8,540.4,110.8,302.9,848.7,237.0
FZ,889.4,569.1,354.1,1100.9,284.1,396.4,387.2,674.1,767.3,1064.1,239.4,1045.8,623.7,880.8,191.6,474.8,505.2,963.9,578.0,174.0,900.0,409.6,364.5,963.8,178.8,962.3,967.2,919.4,39.9,801.9,448.7,1039.8,573.4,231.6,0.0,280.2,915.1,567.9,353.2,501.4,660.6,791.0,257.2,440.4,723.2,97.8,109.4,660.7,615.8,1010.9,540.0,189.8,287.8,155.4,900.5,262.1,804.1,1020.8,680.3,411.5,295.1,713.9,462.6,1065.3,767.0,284.6,95.4,1112.7,552.9,926.7,395.4,167.2,463.0,867.6,792.6,855.4,974.0,230.7,297.3,85.8,1065.8,642.7,712.8,604.4,650.9,886.3,1006.2,985.5,510.6,828.9,399.0,513.1,912.5,1022.1,308.8,137.6,592.6,498.3,739.6,327.1,626.5,999.2,579.5,529.7,2784.4,533.5,737.1,461.6,357.2,751.2,564.7,583.8,533.7,1236.5,1122.5,235.3,433.8,642.6,750.4,691.3,802.8,930.0,242.8,181.0,417.8,742.2,269.8,167.1,976.2,523.1,553.2,266.8,199.8,914.2,167.4,1035.5,916.9,80.3,709.3,657.5,555.4,942.0,739.7,951.8,221.5,772.1,342.5,317.0,1080.4,468.7
GD,609.1,288.8,344.5,820.6,222.9,116.1,106.9,393.8,487.0,783.8,229.8,765.5,343.4,600.5,182.0,194.5,224.9,683.6,297.7,207.3,619.7,129.3,84.2,683.5,212.1,682.0,686.9,639.1,280.3,521.6,168.4,759.5,293.1,47.3,287.6,0.0,634.8,319.4,206.3,221.1,380.3,510.7,247.6,191.9,442.9,316.3,327.9,380.4,335.5,730.6,259.7,345.8,76.7,124.3,620.2,115.2,523.8,740.5,400.0,265.0,207.0,433.6,205.5,785.0,486.7,275.0,297.7,832.4,272.6,646.4,276.7,281.0,182.7,587.3,512.3,575.1,693.7,344.5,358.5,241.8,785.5,362.4,432.5,324.1,370.6,606.0,725.9,705.2,230.3,548.6,118.7,232.8,632.2,741.8,346.4,251.4,312.3,249.8,459.3,78.6,346.2,718.9,299.2,249.4,2504.1,285.0,456.8,181.3,108.7,470.9,284.4,303.5,285.2,956.2,842.2,229.7,185.3,362.3,470.1,411.0,522.5,649.7,276.1,306.2,408.2,461.9,122.9,200.4,695.9,242.8,272.9,422.8,355.8,633.9,157.8,755.2,636.6,236.3,429.0,377.2,275.1,661.7,459.4,671.5,57.2,491.8,94.0,350.3,800.1,188.4
GG,133.9,645.8,805.3,403.5,840.8,600.0,611.3,750.8,678.8,289.9,847.7,130.6,700.4,94.2,799.9,551.5,570.8,48.7,654.7,825.2,144.5,512.5,636.3,493.9,830.0,763.4,215.7,715.6,898.2,713.4,525.4,569.9,650.1,665.2,931.4,660.9,0.0,608.5,824.2,578.1,737.3,702.5,865.5,492.9,799.9,884.0,895.6,726.3,692.5,541.0,538.5,963.7,694.6,742.2,430.6,733.1,880.8,219.7,757.0,754.2,824.9,790.6,694.7,264.2,678.5,892.9,865.4,642.8,618.5,338.1,765.9,859.9,528.6,397.7,404.9,60.1,155.8,922.5,976.4,859.7,236.6,719.4,484.2,681.1,730.5,839.9,91.0,70.3,509.5,917.9,493.7,357.3,111.4,552.2,964.3,832.9,669.3,538.9,624.3,590.9,601.4,84.0,656.2,529.6,1983.3,574.1,813.8,538.3,610.7,445.8,641.4,660.5,574.3,632.8,120.8,847.6,499.5,719.3,636.8,756.9,868.4,111.8,894.0,842.1,798.7,835.8,740.8,818.3,175.1,521.6,629.9,1040.7,973.7,849.5,775.7,338.1,98.7,854.2,774.9,569.0,621.0,472.1,816.4,254.4,675.1,837.7,575.6,968.2,105.8,534.3
GI,627.3,487.9,651.3,1037.7,529.7,257.6,268.9,592.9,704.1,943.0,536.6,783.7,542.5,618.7,488.8,393.6,442.0,701.8,496.8,514.1,637.9,354.6,293.9,900.6,518.9,881.1,904.0,856.2,587.1,738.7,367.5,976.6,492.2,354.1,589.0,318.5,653.0,0.0,513.1,420.2,579.4,727.8,554.4,150.5,642.0,541.6,553.2,597.5,534.6,947.7,380.6,652.6,383.5,431.1,837.3,422.0,722.9,758.7,599.1,583.6,513.8,632.7,524.1,803.2,703.8,581.8,523.0,1049.5,489.7,863.5,595.3,517.5,399.8,804.4,729.4,593.3,711.9,580.1,665.3,548.6,889.7,561.5,649.6,523.2,572.6,805.1,744.1,723.4,351.6,760.0,335.8,251.0,650.4,958.9,653.2,490.5,511.4,70.3,676.4,248.5,563.3,737.1,498.3,371.7,2522.3,50.0,655.9,380.4,268.3,688.0,483.5,502.6,34.9,1173.3,773.9,536.5,157.1,561.4,687.2,628.1,774.3,667.9,582.9,499.7,715.0,677.9,429.7,507.2,714.1,363.7,472.0,729.6,662.6,833.0,464.6,972.3,654.8,543.1,646.1,594.3,492.2,878.8,658.5,888.6,364.0,708.9,233.2,657.1,758.9,405.5
GJ,791.2,470.9,413.2,1002.7,291.6,298.2,289.0,575.9,669.1,965.9,298.5,947.6,525.5,782.6,250.7,376.6,407.0,865.7,479.8,276.0,801.8,311.4,266.3,865.6,280.8,864.1,869.0,821.2,349.0,703.7,350.5,941.6,475.2,133.4,356.3,182.0,816.9,469.7,0.0,403.2,562.4,692.8,316.3,342.2,625.0,385.0,396.6,562.5,517.6,912.7,441.8,414.5,189.6,193.0,802.3,92.0,705.9,922.6,582.1,470.6,275.7,615.7,387.6,967.1,668.8,343.7,366.4,1014.5,454.7,828.5,454.5,349.7,364.8,769.4,694.4,757.2,875.8,413.2,427.2,310.5,967.6,544.5,614.6,506.2,555.6,788.1,908.0,887.3,412.4,730.7,300.8,414.9,814.3,923.9,415.1,322.7,494.4,400.1,641.4,228.9,528.3,901.0,481.3,432.9,2686.2,435.3,638.9,363.4,259.0,653.0,466.5,485.6,435.5,1138.3,1024.3,298.4,335.6,544.4,652.2,593.1,704.6,831.8,344.8,374.9,476.9,644.0,87.0,269.1,878.0,424.9,455.0,491.5,424.5,816.0,226.5,937.3,818.7,305.0,611.1,559.3,457.2,843.8,641.5,853.6,123.3,673.9,244.3,419.0,982.2,370.5
GM,598.5,115.3,417.7,828.0,453.2,321.5,312.3,172.6,494.4,791.2,460.1,754.9,122.2,589.9,412.3,26.5,232.3,673.0,76.5,437.6,609.1,103.3,289.6,690.9,442.4,460.8,694.3,506.4,510.6,529.0,52.5,653.2,119.6,277.6,517.9,230.2,624.2,401.8,436.6,0.0,206.8,518.1,477.9,286.2,221.7,546.6,558.2,359.0,114.3,738.0,249.1,576.1,307.0,354.6,627.6,345.5,302.6,729.9,178.8,366.6,437.3,212.4,307.1,774.4,494.1,505.3,528.0,839.8,280.0,653.8,378.3,511.3,190.1,594.7,519.7,564.5,683.1,574.8,588.8,472.1,792.9,141.2,439.9,102.9,200.0,384.8,715.3,694.6,219.7,339.7,126.1,222.2,621.6,670.9,576.7,484.3,138.8,332.2,466.7,308.9,353.6,708.3,125.7,240.2,2493.5,367.4,283.3,39.7,339.0,478.3,110.9,130.0,367.6,963.6,745.1,460.0,292.8,188.8,477.5,307.8,354.0,639.1,506.4,536.5,411.1,257.6,353.2,430.7,685.3,232.2,99.4,653.1,586.1,412.7,388.1,762.6,626.0,466.6,290.3,384.6,282.5,669.1,238.2,678.9,287.5,340.0,368.9,580.6,730.1,195.8
HB,763.6,128.2,582.8,993.1,618.3,486.6,477.4,365.4,659.5,956.3,625.2,920.0,315.0,755.0,577.4,191.6,397.4,838.1,269.3,602.7,774.2,268.4,454.7,856.0,607.5,653.6,859.4,699.2,675.7,694.1,217.6,846.0,94.6,442.7,683.0,395.3,789.3,566.9,601.7,192.7,0.0,683.2,643.0,451.3,414.5,711.7,723.3,551.8,307.1,903.1,414.2,741.2,472.1,519.7,792.7,510.6,495.4,895.0,371.6,531.7,602.4,405.2,472.2,939.5,659.2,670.4,693.1,1004.9,445.1,818.9,543.4,676.4,355.2,759.8,684.8,729.6,848.2,739.9,753.9,637.2,958.0,334.0,605.0,295.7,24.2,577.6,880.4,859.7,384.8,532.5,291.2,387.3,786.7,863.7,741.8,649.4,75.4,497.3,631.8,474.0,518.7,873.4,88.5,405.3,2658.6,532.5,83.6,204.8,504.1,643.4,123.8,84.2,532.7,1128.7,910.2,625.1,457.9,35.4,642.6,500.6,546.8,804.2,671.5,701.6,576.2,450.4,518.3,595.8,850.4,397.3,104.8,818.2,751.2,605.5,553.2,927.7,791.1,631.7,483.1,549.7,447.6,834.2,431.0,844.0,452.6,532.8,534.0,745.7,895.2,360.9
HI,838.0,578.5,720.0,618.9,755.5,623.8,614.6,571.3,108.7,582.1,762.4,676.2,536.4,798.3,714.6,484.2,359.0,654.2,587.4,739.9,848.6,445.2,591.9,481.8,744.7,304.5,485.2,253.6,812.9,49.7,458.1,400.4,582.8,579.9,820.2,532.5,704.0,722.1,738.9,510.8,670.0,0.0,780.2,606.5,518.2,848.9,860.5,317.3,581.6,528.9,569.4,878.4,609.3,656.9,418.5,647.8,526.0,743.9,577.5,668.9,739.6,444.0,609.4,788.4,35.9,807.6,830.3,630.7,228.9,444.7,680.6,813.6,317.9,385.6,306.8,764.2,859.9,877.1,891.1,774.4,583.8,652.1,230.8,613.8,660.3,381.0,614.3,633.4,540.0,485.5,396.2,542.5,807.6,418.1,879.0,784.0,602.0,652.5,100.7,611.2,187.9,693.0,588.9,560.5,2420.7,687.7,746.5,471.0,641.3,269.2,574.1,593.2,687.9,754.5,640.5,762.3,613.1,652.0,88.2,347.9,459.4,815.9,808.7,838.8,713.4,398.8,655.5,733.0,735.3,552.5,562.6,955.4,888.4,390.6,690.4,553.5,802.8,768.9,365.9,135.4,354.0,460.0,469.5,469.8,589.8,428.7,626.6,882.9,598.4,312.2
HJ,873.2,552.9,206.6,1084.7,267.9,380.2,371.0,657.9,751.1,1047.9,91.9,1029.6,607.5,864.6,66.1,458.6,489.0,947.7,561.8,153.1,883.8,393.4,348.3,947.6,148.3,946.1,951.0,903.2,253.7,785.7,432.5,1023.6,557.2,215.4,261.0,264.0,898.9,551.7,337.0,485.2,644.4,774.8,0.0,424.2,707.0,289.7,301.3,644.5,599.6,994.7,523.8,319.2,271.6,139.2,884.3,245.9,787.9,1004.6,664.1,264.0,278.9,697.7,315.1,1049.1,750.8,137.1,271.1,1096.5,536.7,910.5,247.9,254.4,446.8,851.4,776.4,839.2,957.8,317.9,220.6,215.2,1049.6,626.5,696.6,588.2,637.6,870.1,990.0,969.3,494.4,812.7,382.8,496.9,896.3,1005.9,208.5,227.4,576.4,482.1,723.4,310.9,610.3,983.0,563.3,514.9,2768.2,517.3,720.9,445.4,341.0,735.0,548.5,567.6,517.5,1220.3,1106.3,91.8,417.6,626.4,734.2,675.1,786.6,913.8,177.0,279.6,270.3,726.0,253.6,160.0,960.0,506.9,537.0,396.2,329.2,898.0,95.5,1019.3,900.7,209.7,693.1,641.3,539.2,925.8,723.5,935.6,205.3,755.9,326.3,251.2,1064.2,452.5
