from_stop,AD,AE,AK,AL,AR,AZ,BA,BE,BG,BH,BX,CC,CK,CZ,DI,DL,DS,DU,DV,ED,EE,EG,FE,FJ,GN,GW,HC,HK,HL,HO,IA,II,IR,IS,IT,IV,IW,IY,JC,JL,JM,JO,JQ,JW,JX,JZ,KC,KD,KG,KI,KK,KM,KT,KV,LC,LE,LH,LI,LJ,LO,LP,LV,LX,MD,ME,MU,NT,NV,OD,OG,OI,OO,OR,OV,OX,PB,PE,PI,PK,PL,PQ,PV,QC,QV,QX,RC,RI,RM,RN,RP,RQ,RS,SF,SN,SO,SZ,TA,TB,TJ,TS,TW,TY,UB,UE,UG,UK,UT,VF,VN,VP,VQ,VR,VT,VU,VY,VZ,WD,WE,WF,WG,WH,WI,XC,XD,XK,XM,XX,XY,YH,YV,ZB,ZU,ZX
GN,760.7,213.2,553.6,502.9,963.0,994.7,610.4,448.0,314.9,289.6,786.5,814.1,413.7,461.9,267.9,713.2,292.1,893.6,375.3,787.5,638.9,729.2,685.0,765.5,0.0,530.1,274.7,428.1,947.0,166.4,408.8,222.4,62.9,419.1,100.5,474.8,126.4,853.4,359.9,762.3,738.5,506.0,850.2,486.0,984.2,27.5,172.1,782.1,395.0,201.0,698.0,812.0,75.8,520.8,928.0,820.9,618.2,708.6,99.1,779.3,580.9,747.0,716.1,451.6,580.7,154.3,872.2,265.6,172.1,848.9,246.1,172.1,406.0,731.2,909.1,962.1,340.1,738.7,520.3,800.9,793.0,857.7,152.5,932.0,784.4,454.3,721.9,966.8,610.1,500.4,460.5,803.5,138.1,546.1,158.0,505.0,856.1,365.0,797.2,715.8,95.8,714.8,654.0,221.3,243.9,777.3,706.8,415.6,350.1,420.0,800.8,774.3,955.3,200.6,997.9,227.8,565.7,503.0,363.6,600.1,367.6,707.4,891.1,386.5,733.9,1681.2,981.7,881.4,438.7,764.9,253.7,281.9,547.8
GW,832.5,558.1,626.2,382.2,981.3,1013.0,683.0,223.1,272.9,295.8,849.9,837.6,153.9,307.2,395.9,785.8,654.8,917.1,208.1,805.8,711.5,801.8,757.6,837.3,487.1,0.0,637.4,349.6,970.5,345.6,113.3,401.6,425.6,210.5,380.2,547.4,489.1,871.7,229.4,834.9,811.1,578.6,922.8,558.6,1002.5,444.7,541.3,854.7,127.0,563.7,770.6,830.3,438.5,9.3,946.3,893.5,690.8,781.2,381.7,851.9,653.5,819.6,788.7,151.4,653.3,321.2,895.7,628.3,541.3,867.2,425.3,541.3,204.7,749.5,927.4,1001.4,412.7,811.3,592.9,873.5,865.6,881.2,515.2,955.5,857.0,375.8,794.5,990.3,682.7,379.7,235.6,876.1,500.8,618.7,558.8,577.6,879.6,295.2,869.8,788.4,385.1,787.4,726.6,563.7,606.6,849.9,779.4,199.5,217.2,183.6,873.4,792.6,978.8,569.8,1021.4,590.5,401.1,338.4,293.3,672.7,440.2,780.0,914.6,194.2,806.5,1699.5,1000.0,904.9,222.6,783.2,465.1,299.2,620.4
HC,805.4,170.5,599.1,640.9,1037.8,1069.5,655.9,499.1,362.8,337.5,832.0,859.6,524.0,477.6,313.4,758.7,94.1,939.1,423.2,862.3,684.4,774.7,730.5,810.2,315.1,580.0,0.0,476.0,992.5,321.6,483.4,272.8,225.2,486.5,271.2,520.3,171.9,961.2,506.1,807.8,784.0,551.5,895.7,531.5,1092.0,272.7,217.6,827.6,497.1,158.3,743.5,919.8,210.1,570.7,1035.8,866.4,663.7,754.1,269.8,824.8,626.4,792.5,761.6,474.5,626.2,325.0,917.7,222.9,217.6,1026.9,370.9,217.6,576.7,830.1,1026.2,1057.9,385.6,784.2,565.8,846.4,838.5,903.2,184.0,977.5,829.9,502.2,767.4,1012.3,655.6,638.4,511.6,849.0,169.6,591.6,203.5,550.5,901.6,421.6,842.7,761.3,266.5,760.3,699.5,178.6,201.2,822.8,752.3,461.6,520.8,590.7,846.3,891.4,1000.8,246.1,1043.4,55.7,703.7,641.0,431.8,645.6,413.1,752.9,936.6,434.4,779.4,1798.3,1056.5,926.9,609.4,882.0,211.0,452.6,593.3
HK,905.0,349.3,747.4,470.1,1026.5,1058.2,804.2,250.2,130.4,205.4,930.8,882.8,275.1,389.8,517.1,857.5,466.5,962.3,291.1,851.0,832.7,923.0,819.9,909.8,424.4,331.1,449.1,0.0,1015.7,264.1,234.5,215.3,362.9,237.6,317.5,668.6,409.0,916.9,350.6,956.1,882.8,699.8,1044.0,679.8,1047.7,382.0,454.7,975.9,248.2,362.5,891.8,875.5,375.8,321.8,991.5,1014.7,812.0,902.4,319.0,871.5,774.7,940.8,909.9,225.6,774.5,290.8,940.9,427.1,454.7,912.4,313.4,454.7,288.0,794.7,972.6,1025.6,533.9,932.5,714.1,994.7,986.8,926.4,421.1,1000.7,978.2,26.2,915.7,1035.5,803.9,467.6,262.7,997.3,406.7,739.9,440.6,698.8,924.8,108.2,991.0,909.6,322.4,908.6,847.8,354.9,405.4,885.9,851.1,320.7,338.4,304.8,994.6,837.8,1024.0,483.2,1066.6,402.2,428.2,365.5,414.5,793.9,561.4,901.2,959.8,302.3,878.2,1744.7,1045.2,950.1,343.8,828.4,256.3,420.4,741.6
HL,377.2,898.7,641.7,685.9,380.0,411.7,439.1,594.9,764.7,809.4,349.4,163.7,715.8,605.6,693.8,329.7,995.4,68.8,748.6,276.9,616.2,432.6,287.8,355.8,827.7,832.2,978.0,841.4,0.0,686.2,710.9,742.2,766.2,721.2,720.8,623.9,829.7,471.9,662.0,369.8,317.0,655.1,455.3,561.0,500.2,785.3,839.2,479.9,697.1,904.3,421.4,430.5,779.1,822.9,444.0,459.8,411.2,316.1,722.3,329.6,558.2,354.5,323.6,753.7,558.0,661.8,115.9,968.9,839.2,339.3,765.9,839.2,708.1,319.7,502.2,379.1,653.6,462.1,488.4,524.3,516.4,129.8,855.8,76.4,391.9,867.6,445.3,83.3,438.8,683.4,579.1,442.4,841.4,412.6,861.3,581.5,214.0,778.3,404.7,436.1,725.7,376.2,585.6,904.3,947.2,344.0,323.3,717.7,652.2,722.1,498.6,367.4,8.3,867.7,50.8,931.1,596.0,533.3,766.3,437.3,586.4,430.8,249.0,736.3,350.4,1276.5,398.7,132.9,740.8,358.0,805.7,657.8,525.1
HO,712.8,248.0,480.2,318.2,834.3,866.0,537.0,319.3,147.4,122.1,738.6,690.6,285.0,277.2,249.9,665.3,326.9,770.1,207.8,658.8,565.5,655.8,611.6,717.6,159.2,364.6,309.5,260.6,823.5,0.0,268.0,54.9,97.7,271.1,52.3,401.4,161.2,724.7,183.4,688.9,690.6,432.6,776.8,412.6,855.5,116.8,206.9,708.7,266.3,235.8,624.6,683.3,110.6,355.3,799.3,747.5,544.8,635.2,53.8,679.3,507.5,673.6,642.7,259.1,507.3,25.6,748.7,300.4,206.9,720.2,78.6,206.9,277.3,602.5,780.4,833.4,266.7,665.3,446.9,727.5,719.6,734.2,187.3,808.5,711.0,286.8,648.5,843.3,536.7,315.7,331.8,730.1,172.9,472.7,192.8,431.6,732.6,197.5,723.8,642.4,57.2,641.4,580.6,256.1,278.7,693.7,658.9,286.9,221.4,291.3,727.4,645.6,831.8,235.4,874.4,262.6,381.0,318.3,109.1,526.7,294.2,634.0,767.6,219.0,686.0,1552.5,853.0,757.9,310.0,636.2,118.4,153.2,474.4
IA,719.9,444.7,512.8,268.8,867.9,899.6,569.6,114.4,164.2,182.4,745.7,724.2,40.5,227.8,282.5,672.4,541.4,803.7,94.7,692.4,598.1,688.4,644.2,724.7,373.7,121.2,524.0,240.9,857.1,232.2,0.0,288.2,312.2,101.8,266.8,434.0,375.7,758.3,116.0,721.5,697.7,465.2,809.4,445.2,889.1,331.3,427.9,741.3,13.6,450.3,657.2,716.9,325.1,111.9,832.9,780.1,577.4,667.8,268.3,738.5,540.1,706.2,675.3,42.7,539.9,207.8,782.3,514.9,427.9,753.8,311.9,427.9,91.3,636.1,814.0,867.0,299.3,697.9,479.5,760.1,752.2,767.8,401.8,842.1,743.6,267.1,681.1,876.9,569.3,266.3,126.9,762.7,387.4,505.3,445.4,464.2,766.2,177.8,756.4,675.0,271.7,674.0,613.2,450.3,493.2,736.5,666.0,86.1,103.8,70.2,760.0,679.2,865.4,456.4,908.0,477.1,292.4,229.7,179.9,559.3,326.8,666.6,801.2,82.4,693.1,1586.1,886.6,791.5,109.2,669.8,351.7,185.8,507.0
II,762.6,156.4,530.0,368.0,884.1,915.8,586.8,228.7,92.4,67.1,788.4,740.4,253.6,327.0,299.7,715.1,273.6,819.9,152.8,708.6,615.3,705.6,661.4,767.4,209.0,309.6,256.2,205.6,873.3,48.7,213.0,0.0,147.5,216.1,102.1,451.2,211.0,774.5,233.2,738.7,740.4,482.4,826.6,462.4,905.3,166.6,256.7,758.5,226.7,169.6,674.4,733.1,160.4,300.3,849.1,797.3,594.6,685.0,103.6,729.1,557.3,723.4,692.5,204.1,557.1,75.4,798.5,234.2,256.7,770.0,98.0,256.7,266.5,652.3,830.2,883.2,316.5,715.1,496.7,777.3,769.4,784.0,237.1,858.3,760.8,231.8,698.3,893.1,586.5,365.5,241.2,779.9,222.7,522.5,242.6,481.4,782.4,142.5,773.6,692.2,107.0,691.2,630.4,162.0,212.5,743.5,708.7,191.2,271.2,283.3,777.2,695.4,881.6,285.2,924.2,209.3,430.8,368.1,158.9,576.5,344.0,683.8,817.4,164.0,735.8,1602.3,902.8,807.7,261.2,686.0,63.4,203.0,524.2
IR,696.9,150.2,490.6,448.3,908.4,940.1,547.4,393.4,260.3,235.0,714.3,751.1,359.1,252.3,204.9,650.2,229.1,830.6,320.7,732.9,575.9,666.2,622.0,701.7,89.8,475.5,211.7,373.5,884.0,111.8,354.2,167.8,0.0,364.5,45.9,411.8,63.4,798.8,305.3,699.3,675.5,443.0,787.2,423.0,929.6,47.4,109.1,719.1,340.4,138.0,635.0,757.4,12.8,466.2,873.4,757.9,555.2,645.6,44.5,716.3,517.9,684.0,653.1,397.0,517.7,99.7,809.2,202.6,109.1,794.3,191.5,109.1,351.4,676.6,854.5,928.5,277.1,675.7,457.3,737.9,730.0,794.7,89.5,869.0,721.4,399.7,658.9,903.8,547.1,445.8,405.9,740.5,75.1,483.1,95.0,442.0,793.1,319.1,734.2,652.8,41.2,651.8,591.0,158.3,180.9,714.3,643.8,361.0,295.5,365.4,737.8,719.7,892.3,137.6,934.9,164.8,511.1,448.4,309.0,537.1,304.6,644.4,828.1,378.0,670.9,1626.6,927.1,818.4,384.1,710.3,190.7,227.3,484.8
IS,683.6,383.8,570.6,248.7,805.1,836.8,627.4,28.8,164.9,185.7,709.4,661.4,123.2,168.4,340.3,636.1,501.0,740.9,98.0,629.6,655.9,755.8,598.5,688.4,431.5,243.9,483.6,241.6,794.3,290.0,122.6,346.0,370.0,0.0,324.6,491.8,433.5,695.5,173.8,676.2,661.4,523.0,781.4,503.0,826.3,389.1,485.7,799.1,108.8,397.0,715.0,654.1,382.9,234.6,770.1,766.2,635.2,622.5,326.1,650.1,597.9,660.9,630.0,165.4,597.7,265.6,719.5,461.6,485.7,691.0,369.7,485.7,50.3,573.3,751.2,804.2,357.1,755.7,537.3,817.9,810.0,705.0,459.6,779.3,698.3,267.8,738.9,814.1,627.1,246.2,41.3,748.8,445.2,563.1,503.2,522.0,703.4,178.5,711.1,732.8,329.5,682.6,671.0,389.4,439.9,664.5,629.7,89.5,161.6,83.5,817.8,616.4,802.6,514.2,845.2,436.7,206.8,144.1,237.7,617.1,384.6,724.4,738.4,85.7,656.8,1523.3,823.8,728.7,152.5,607.0,290.8,243.6,564.8
IT,740.9,195.6,508.3,402.3,862.4,894.1,565.1,347.4,214.3,189.0,754.1,718.7,313.1,361.3,250.3,693.4,274.5,798.2,274.7,686.9,593.6,683.9,639.7,744.9,106.8,429.5,257.1,327.5,851.6,65.8,308.2,121.8,45.3,318.5,0.0,429.5,108.8,752.8,259.3,717.0,718.7,460.7,804.9,440.7,883.6,64.4,154.5,736.8,294.4,183.4,652.7,711.4,58.2,420.2,827.4,775.6,572.9,663.3,1.5,707.4,535.6,701.7,670.8,351.0,535.4,53.7,776.8,248.0,154.5,748.3,145.5,154.5,305.4,630.6,808.5,880.3,294.8,693.4,475.0,755.6,747.7,762.3,134.9,836.6,739.1,353.7,676.6,871.4,564.8,399.8,359.9,758.2,120.5,500.8,140.4,459.7,760.7,273.1,751.9,670.5,4.8,669.5,608.7,203.7,226.3,721.8,687.0,315.0,249.5,319.4,755.5,673.7,859.9,183.0,902.5,210.2,465.1,402.4,263.0,554.8,322.3,662.1,795.7,332.0,714.1,1580.6,881.1,786.0,338.1,664.3,185.3,181.3,502.5
IV,442.5,458.2,78.7,514.8,715.4,747.1,293.0,459.9,549.0,523.7,456.5,496.7,425.6,473.8,207.3,395.8,537.1,576.2,458.4,539.9,321.5,411.8,367.6,448.1,494.6,542.0,519.7,661.7,629.6,400.5,420.7,456.5,404.7,431.0,435.1,0.0,348.9,605.8,371.8,444.9,421.1,31.1,532.8,168.6,736.6,452.2,352.7,464.7,406.9,446.0,380.6,564.4,389.6,532.7,680.4,503.5,300.8,391.2,436.6,461.9,263.5,429.6,398.7,463.5,263.3,376.1,554.8,510.6,352.7,601.3,480.2,352.7,417.9,483.6,661.5,733.0,167.1,421.3,202.9,483.5,475.6,540.3,397.5,614.6,467.0,687.9,404.5,649.4,292.7,512.3,472.4,486.1,383.1,228.7,370.2,187.6,538.7,607.3,479.8,398.4,440.0,397.4,336.6,466.3,488.9,459.9,389.4,427.5,362.0,431.9,483.4,526.7,637.9,381.2,680.5,472.8,577.6,514.9,489.9,282.7,99.9,390.0,573.7,444.5,416.5,1433.6,734.1,564.0,450.6,517.3,520.0,242.2,230.4
IW,634.2,109.2,427.1,504.1,865.8,897.5,483.9,449.2,301.5,276.2,660.0,687.6,414.9,463.1,141.4,586.7,188.1,767.1,361.9,690.3,512.4,602.7,558.5,639.0,145.6,531.3,170.7,414.7,820.5,167.6,410.0,211.5,55.7,420.3,101.7,348.3,0.0,789.2,361.1,635.8,612.0,379.5,723.7,359.5,920.0,103.2,45.6,655.6,396.2,97.0,571.5,747.8,40.6,522.0,863.8,694.4,491.7,582.1,100.3,652.8,454.4,620.5,589.6,452.8,454.2,155.5,745.7,161.6,45.6,854.9,309.6,45.6,407.2,658.1,854.2,864.9,213.6,612.2,393.8,674.4,666.5,731.2,48.5,805.5,657.9,440.9,595.4,840.3,483.6,501.6,461.7,677.0,34.1,419.6,31.5,378.5,729.6,351.6,670.7,589.3,97.0,588.3,527.5,117.3,139.9,650.8,580.3,416.8,351.3,421.2,674.3,719.4,828.8,74.1,871.4,123.8,566.9,504.2,364.8,473.6,241.1,580.9,764.6,373.1,607.4,1626.3,884.5,754.9,439.9,710.0,149.7,283.1,421.3
IY,531.7,1116.0,874.0,931.5,625.6,657.3,610.4,840.5,1010.3,1055.0,557.5,397.3,961.4,851.2,865.1,484.2,1194.9,404.7,994.2,522.5,787.5,603.9,509.8,536.5,1073.3,1077.8,1177.5,1087.0,458.1,931.8,956.5,987.8,1011.8,966.8,966.4,795.2,1006.7,0.0,907.6,360.0,509.5,826.4,277.0,732.3,139.5,1030.9,1010.5,605.1,942.7,1103.8,614.0,265.2,1024.7,1068.5,265.7,454.7,582.5,414.5,967.9,550.3,729.5,375.3,405.1,999.3,729.3,907.4,451.2,1168.4,1010.5,284.1,1011.5,1010.5,953.7,526.6,747.8,624.7,824.9,654.7,659.7,716.9,709.0,436.7,1055.3,443.1,450.4,1113.2,661.5,477.9,610.1,929.0,824.7,457.3,1040.9,583.9,1028.0,752.8,378.9,1023.9,360.6,607.4,971.3,501.4,756.9,1124.1,1146.7,548.3,477.8,963.3,897.8,967.7,623.8,613.0,466.4,1039.0,509.0,1130.6,841.6,778.9,1011.9,608.6,757.7,573.1,361.0,981.9,504.9,1522.1,644.3,504.5,986.4,603.6,1051.3,900.0,696.4
JC,663.0,387.8,455.9,239.1,811.0,842.7,512.7,184.2,323.8,298.5,688.8,667.3,149.9,198.1,225.6,615.5,484.5,746.8,182.7,635.5,541.2,631.5,587.3,667.8,316.8,266.3,467.1,386.0,800.2,175.3,145.0,231.3,255.3,155.3,209.9,377.1,318.8,701.4,0.0,664.6,640.8,408.3,752.5,388.3,832.2,274.4,371.0,684.4,131.2,393.4,600.3,660.0,268.2,257.0,776.0,723.2,520.5,610.9,211.4,681.6,483.2,649.3,618.4,187.8,483.0,150.9,725.4,458.0,371.0,696.9,255.0,371.0,142.2,579.2,757.1,810.1,242.4,641.0,422.6,703.2,695.3,710.9,344.9,785.2,686.7,412.2,624.2,820.0,512.4,236.6,196.7,705.8,330.5,448.4,388.5,407.3,709.3,322.9,699.5,618.1,214.8,617.1,556.3,393.4,436.3,679.6,609.1,151.8,86.3,156.2,703.1,622.3,808.5,399.5,851.1,420.2,301.9,239.2,201.9,502.4,269.9,609.7,744.3,170.4,636.2,1529.2,829.7,734.6,174.9,612.9,294.8,128.9,450.1
JL,171.6,755.9,513.9,802.3,457.0,488.7,250.3,711.3,846.7,821.4,197.4,196.0,723.3,722.0,505.0,124.1,834.8,275.5,756.1,281.5,427.4,243.8,149.7,176.4,792.3,839.7,817.4,957.8,328.9,698.2,718.4,754.2,702.4,728.7,732.8,435.1,646.6,297.6,669.5,0.0,149.4,466.3,87.8,372.2,308.8,749.9,650.4,245.0,704.6,743.7,253.9,256.2,687.3,830.4,232.0,128.9,222.4,54.4,734.3,190.2,369.4,15.3,45.0,761.2,369.2,673.8,254.1,808.3,650.4,291.0,777.9,650.4,715.6,166.5,494.6,456.1,464.8,294.6,299.6,356.8,348.9,239.6,695.2,313.9,90.3,984.0,301.4,348.7,250.0,799.8,695.5,131.5,680.8,223.8,667.9,392.7,238.0,894.7,34.8,247.3,737.7,141.3,396.8,764.0,786.6,188.2,117.7,725.2,659.7,729.6,263.7,359.8,337.2,678.9,379.8,770.5,712.4,649.7,787.6,248.5,397.6,213.0,273.0,743.8,144.8,1392.9,475.7,263.3,748.3,350.4,766.7,539.9,336.3
JM,80.0,713.0,471.0,769.6,339.4,371.1,207.4,714.7,803.8,778.5,47.9,202.1,680.4,728.6,462.1,22.3,791.9,281.6,713.2,163.9,384.5,200.9,106.8,66.9,749.4,796.8,774.5,916.5,335.0,655.3,675.5,711.3,659.5,685.8,689.9,392.2,603.7,303.7,626.6,150.3,0.0,423.4,238.2,329.3,434.5,707.0,607.5,231.4,661.7,700.8,189.7,262.3,644.4,787.5,378.3,233.8,179.5,96.6,691.4,40.7,326.5,135.0,104.1,718.3,326.3,630.9,260.2,765.4,607.5,369.4,735.0,607.5,672.7,172.6,377.0,338.5,421.9,230.4,256.7,292.6,284.7,245.7,652.3,320.0,172.4,942.7,213.6,354.8,207.1,767.1,601.6,216.4,637.9,180.9,625.0,349.8,244.1,853.4,185.2,204.4,694.8,127.7,353.9,721.1,743.7,55.1,31.2,682.3,616.8,686.7,250.1,242.2,343.3,636.0,410.0,727.6,618.5,555.8,744.7,205.6,354.7,199.1,279.1,700.9,53.2,1299.0,358.1,373.2,705.4,232.8,723.8,497.0,293.4
JO,471.0,485.9,75.3,542.5,712.0,743.7,320.7,487.6,576.7,551.4,496.8,568.3,453.3,501.5,235.0,423.5,564.8,647.8,486.1,536.5,349.2,439.5,395.3,475.8,522.3,569.7,547.4,689.4,701.2,428.2,448.4,484.2,432.4,458.7,462.8,27.6,376.6,602.4,399.5,472.6,448.8,0.0,560.5,196.3,733.2,479.9,380.4,492.4,434.6,473.7,408.3,561.0,417.3,560.4,677.0,531.2,328.5,418.9,464.3,489.6,291.2,457.3,426.4,491.2,291.0,403.8,626.4,538.3,380.4,597.9,507.9,380.4,445.6,480.2,658.1,711.1,194.8,449.0,230.6,511.2,503.3,611.9,425.2,686.2,494.7,715.6,432.2,721.0,320.4,540.0,500.1,513.8,410.8,256.4,397.9,215.3,610.3,626.3,507.5,426.1,467.7,425.1,364.3,494.0,516.6,487.6,417.1,455.2,389.7,459.6,511.1,523.3,709.5,408.9,752.1,500.5,605.3,542.6,517.6,310.4,127.6,417.7,645.3,473.8,444.2,1430.2,730.7,635.6,478.3,513.9,547.7,269.9,258.1
JQ,254.6,838.9,596.9,885.3,540.0,571.7,333.3,794.3,929.7,904.4,280.4,279.0,806.3,805.0,588.0,207.1,917.8,358.5,839.1,364.5,510.4,326.8,232.7,259.4,875.3,922.7,900.4,1040.8,411.9,781.2,801.4,837.2,785.4,811.7,815.8,518.1,729.6,225.6,752.5,82.9,232.4,549.3,0.0,455.2,220.9,832.9,733.4,328.0,787.6,826.7,336.9,184.2,770.3,913.4,144.1,177.6,305.4,137.4,817.3,273.2,452.4,98.2,128.0,844.2,452.2,756.8,337.1,891.3,733.4,203.1,860.9,733.4,798.6,249.5,577.6,539.1,547.8,377.6,382.6,439.8,431.9,322.6,778.2,396.9,173.3,1067.0,384.4,431.7,333.0,882.8,778.5,180.2,763.8,306.8,750.9,475.7,321.0,977.7,83.5,330.3,820.7,224.3,479.8,847.0,869.6,271.2,200.7,808.2,742.7,812.6,346.7,442.8,420.2,761.9,462.8,853.5,795.4,732.7,870.6,331.5,480.6,296.0,280.0,826.8,227.8,1475.9,558.7,346.3,831.3,433.4,849.7,622.9,419.3
JW,391.1,480.1,238.1,536.7,622.7,654.4,240.8,481.8,570.9,545.6,416.9,444.5,447.5,495.7,229.2,343.6,559.0,524.0,480.3,447.2,269.3,359.6,315.4,395.9,516.5,563.9,541.6,683.6,577.4,422.4,442.6,478.4,426.6,452.9,457.0,159.3,370.8,546.1,393.7,392.7,368.9,190.5,480.6,0.0,676.9,474.1,374.6,412.5,428.8,467.9,328.4,504.7,411.5,554.6,620.7,451.3,248.6,339.0,458.5,409.7,211.3,377.4,346.5,485.4,211.1,398.0,502.6,532.5,374.6,611.8,502.1,374.6,439.8,415.0,660.3,621.8,189.0,369.1,150.7,431.3,423.4,488.1,419.4,562.4,414.8,709.8,352.3,597.2,240.5,534.2,494.3,433.9,405.0,176.5,392.1,135.4,486.5,620.5,427.6,346.2,461.9,345.2,284.4,488.2,510.8,407.7,337.2,449.4,383.9,453.8,431.2,525.5,585.7,403.1,628.3,494.7,599.5,536.8,511.8,230.5,121.8,337.8,521.5,468.0,364.3,1593.0,641.4,511.8,472.5,516.1,541.9,264.1,178.2
JX,457.8,1042.1,800.1,857.6,551.7,583.4,536.5,766.6,936.4,981.1,483.6,323.4,887.5,777.3,791.2,410.3,1121.0,330.8,920.3,448.6,713.6,530.0,435.9,462.6,999.4,1003.9,1103.6,1013.1,384.2,857.9,882.6,913.9,937.9,892.9,892.5,721.3,932.8,156.9,833.7,286.1,435.6,752.5,203.1,658.4,0.0,957.0,936.6,531.2,868.8,1029.9,540.1,191.3,950.8,994.6,191.8,380.8,508.6,340.6,894.0,476.4,655.6,301.4,331.2,925.4,655.4,833.5,377.3,1094.5,936.6,210.2,937.6,936.6,879.8,452.7,673.9,550.8,751.0,580.8,585.8,643.0,635.1,362.8,981.4,369.2,376.5,1039.3,587.6,404.0,536.2,855.1,750.8,383.4,967.0,510.0,954.1,678.9,305.0,950.0,286.7,533.5,897.4,427.5,683.0,1050.2,1072.8,474.4,403.9,889.4,823.9,893.8,549.9,539.1,392.5,965.1,435.1,1056.7,767.7,705.0,938.0,534.7,683.8,499.2,287.1,908.0,431.0,1448.2,570.4,430.6,912.5,529.7,977.4,826.1,622.5
JZ,732.4,185.7,526.1,475.4,935.5,967.2,582.9,420.5,287.4,262.1,746.4,786.6,386.2,434.4,240.4,685.7,264.6,866.1,347.8,760.0,611.4,701.7,657.5,737.2,42.4,502.6,247.2,400.6,919.5,138.9,381.3,194.9,35.4,391.6,73.0,447.3,98.9,825.9,332.4,734.8,711.0,478.5,822.7,458.5,956.7,0.0,144.6,754.6,367.5,173.5,670.5,784.5,48.3,493.3,900.5,793.4,590.7,681.1,71.6,751.8,553.4,719.5,688.6,424.1,553.2,126.8,844.7,238.1,144.6,821.4,218.6,144.6,378.5,703.7,881.6,955.6,312.6,711.2,492.8,773.4,765.5,830.2,125.0,904.5,756.9,426.8,694.4,939.3,582.6,472.9,433.0,776.0,110.6,518.6,130.5,477.5,828.6,346.2,769.7,688.3,68.3,687.3,626.5,193.8,216.4,749.8,679.3,388.1,322.6,392.5,773.3,746.8,927.8,173.1,970.4,200.3,538.2,475.5,336.1,572.6,340.1,679.9,863.6,405.1,706.4,1653.7,954.2,853.9,411.2,737.4,226.2,254.4,520.3
KC,626.8,163.7,419.7,558.6,858.4,890.1,476.5,503.7,356.0,330.7,652.6,680.2,469.4,517.6,134.0,579.3,242.6,759.7,416.4,682.9,505.0,595.3,551.1,631.6,200.1,585.8,225.2,469.2,813.1,222.1,464.5,266.0,110.2,474.8,156.2,340.9,54.4,781.8,415.6,628.4,604.6,372.1,716.3,352.1,912.6,157.7,0.0,648.2,450.7,151.5,564.1,740.4,95.1,576.5,856.4,687.0,484.3,574.7,154.8,645.4,447.0,613.1,582.2,507.3,446.8,210.0,738.3,216.1,0.0,847.5,364.1,0.0,461.7,650.7,846.8,857.5,206.2,604.8,386.4,667.0,659.1,723.8,103.0,798.1,650.5,495.4,588.0,832.9,476.2,556.1,516.2,669.6,88.6,412.2,75.7,371.1,722.2,406.1,663.3,581.9,151.5,580.9,520.1,171.8,194.4,643.4,572.9,471.3,405.8,475.7,666.9,712.0,821.4,27.3,864.0,178.3,621.4,558.7,419.3,466.2,233.7,573.5,757.2,427.6,600.0,1618.9,877.1,747.5,494.4,702.6,204.2,244.3,413.9
KD,260.3,787.8,545.8,844.4,520.8,552.5,282.2,789.5,878.6,853.3,286.1,313.7,755.2,803.4,536.9,212.8,866.7,393.2,788.0,345.3,459.3,257.7,213.5,265.1,824.2,871.6,849.3,991.3,446.6,730.1,750.3,786.1,734.3,760.6,764.7,467.0,678.5,415.3,701.4,231.1,238.1,498.2,319.0,404.1,540.0,781.8,682.3,0.0,736.5,775.6,125.5,373.9,719.2,862.3,489.9,257.1,254.3,208.2,766.2,278.9,401.3,215.8,215.7,793.1,401.1,705.7,371.8,840.2,682.3,481.0,809.8,682.3,747.5,284.2,558.4,519.9,496.7,166.2,331.5,228.4,220.5,357.3,727.1,431.6,278.0,1017.5,173.0,466.4,281.9,841.9,802.0,239.7,712.7,255.7,699.8,424.6,355.7,928.2,266.0,279.2,769.6,107.9,428.7,795.9,818.5,276.9,206.4,757.1,691.6,761.5,18.6,423.6,454.9,710.8,497.5,802.4,830.1,767.4,819.5,280.4,429.5,84.6,390.7,775.7,233.5,1510.6,539.5,381.0,780.2,414.2,798.6,571.8,368.2
KG,705.4,431.0,499.1,255.1,854.2,885.9,555.9,128.2,178.0,168.7,722.8,710.5,18.6,180.1,268.8,658.7,527.7,790.0,81.0,678.7,584.4,674.7,630.5,710.2,360.0,135.0,510.3,254.7,843.4,218.5,13.7,274.5,298.5,115.6,253.1,420.3,362.0,744.6,102.3,707.8,684.0,451.5,795.7,431.5,875.4,317.6,414.2,727.6,0.0,436.6,643.5,703.2,311.4,125.7,819.2,766.4,563.7,654.1,254.6,724.8,526.4,692.5,661.6,56.5,526.2,194.1,768.6,501.2,414.2,740.1,298.2,414.2,77.6,622.4,800.3,872.1,285.6,684.2,465.8,746.4,738.5,754.1,388.1,828.4,729.9,280.9,667.4,863.2,555.6,252.6,140.7,749.0,373.7,491.6,431.7,450.5,752.5,200.3,742.7,661.3,258.0,660.3,599.5,436.6,479.5,722.8,652.3,72.4,90.1,48.3,746.3,665.5,851.7,442.7,894.3,463.4,306.2,243.5,166.2,545.6,313.1,652.9,787.5,67.1,679.4,1572.4,872.9,777.8,95.5,656.1,338.0,172.1,493.3
