from_stop,AH,AL,AN,AW,BG,BH,BO,BS,BX,BY,CC,CD,CE,CK,DI,DV,EE,FG,GE,GK,GM,GN,GR,HM,HN,HV,HX,ID,IJ,IM,IO,JC,JF,JK,JL,JU,KI,KW,KX,LB,LT,MF,ML,NL,OG,OP,OU,PJ,PM,PO,PS,PY,QL,QN,QO,QX,RC,RQ,RT,RU,RW,SA,SL,SV,SW,TB,TM,TT,UE,UV,UW,UX,VH,VZ,WB,WQ,WX,XN,XS,YA,YM,YQ,YU,ZB,ZE
KX,656.3,417.8,425.3,304.3,170.6,58.1,2485.7,385.1,494.4,440.4,592.8,298.7,513.0,313.6,278.6,640.3,429.6,395.2,688.3,609.2,603.3,450.3,334.8,529.7,694.2,405.0,454.7,437.4,582.0,546.8,394.5,616.7,568.0,540.9,393.0,685.6,556.2,710.7,0.0,626.3,229.9,664.7,584.3,470.1,232.3,329.9,563.3,410.7,522.3,560.0,681.8,426.9,457.5,402.4,239.2,336.7,195.7,707.1,471.1,34.9,313.2,341.0,132.1,349.1,442.5,257.4,133.0,45.6,648.1,615.3,434.2,410.3,420.2,278.5,529.8,586.3,671.1,540.8,706.4,569.9,497.3,748.8,493.5,444.2,379.3
LB,538.0,755.7,207.7,642.2,589.1,586.9,2823.6,248.2,272.1,322.1,474.5,405.0,120.1,170.7,616.5,70.6,203.4,237.8,168.4,179.4,485.0,217.4,196.1,557.2,162.5,378.0,792.6,190.6,154.6,162.6,732.4,47.0,140.6,308.0,730.9,227.9,437.9,84.3,635.5,0.0,567.8,95.0,922.2,808.0,570.2,363.6,330.4,748.6,289.4,76.2,224.9,288.1,224.6,439.6,577.1,674.6,533.6,149.6,238.2,505.7,651.1,290.3,550.6,322.1,209.6,595.3,555.9,533.1,209.4,938.1,259.9,292.0,260.1,430.7,296.9,49.9,1009.0,307.9,80.0,113.0,524.8,197.0,260.6,782.1,717.2
LT,593.4,333.6,362.4,117.6,337.1,334.9,2401.5,322.2,431.5,377.5,529.9,235.8,450.1,364.9,91.9,577.4,366.7,332.3,625.4,546.3,540.4,387.4,386.1,466.8,631.3,342.1,370.5,374.5,519.1,483.9,310.3,553.8,505.1,478.0,308.8,622.7,493.3,647.8,383.5,563.4,0.0,601.8,500.1,385.9,124.1,267.0,500.4,326.5,459.4,497.1,618.9,355.6,394.6,339.5,9.2,106.7,45.7,644.2,408.2,253.7,229.0,278.1,298.6,286.2,379.6,27.4,303.9,281.1,585.2,531.1,371.3,347.4,357.3,215.6,466.9,523.4,586.9,477.9,643.5,507.0,434.4,685.9,430.6,360.0,295.1
MF,566.4,784.1,236.1,670.6,617.5,615.3,2852.0,276.6,300.5,350.5,502.9,433.4,148.5,75.6,644.9,24.4,231.8,266.2,273.5,210.2,513.4,245.8,148.9,585.6,267.6,406.4,829.1,219.0,183.0,191.0,760.8,47.9,169.0,336.4,759.3,256.3,466.3,189.4,663.9,105.0,596.2,0.0,950.6,836.4,598.6,392.0,358.8,777.0,317.8,104.6,253.3,316.5,253.0,468.0,605.5,703.0,562.0,254.7,266.6,534.1,679.5,321.0,579.0,350.5,238.0,623.7,584.3,561.5,219.6,966.5,288.3,320.4,288.5,459.1,325.3,78.3,1037.4,336.3,185.1,141.4,553.2,302.1,289.0,810.5,745.6
ML,966.6,212.5,735.6,573.3,710.3,708.1,2331.7,695.4,804.7,750.7,903.1,609.0,823.3,738.1,547.6,950.6,739.9,705.5,998.6,919.5,913.6,760.6,759.3,840.0,1004.5,715.3,300.7,747.7,892.3,857.1,189.7,927.0,878.3,851.2,315.1,995.9,866.5,1021.0,756.7,936.6,498.9,975.0,0.0,244.0,501.3,640.2,873.6,294.3,832.6,870.3,992.1,728.8,767.8,712.7,508.2,605.7,464.7,1017.4,781.4,626.9,285.6,651.3,671.8,659.4,752.8,526.4,677.1,654.3,958.4,181.7,744.5,720.6,730.5,588.8,840.1,896.6,86.8,851.1,1016.7,880.2,807.6,1059.1,803.8,218.1,262.9
NL,862.4,108.3,631.4,469.1,606.1,603.9,2227.5,591.2,700.5,646.5,798.9,504.8,719.1,633.9,443.4,846.4,635.7,601.3,894.4,812.9,809.4,656.4,605.5,735.8,900.3,611.1,204.6,643.5,788.1,752.9,85.5,822.8,774.1,747.0,210.9,890.9,762.3,916.8,652.5,832.4,394.7,870.8,224.0,0.0,397.1,536.0,769.4,190.1,728.4,766.1,887.9,624.6,663.6,618.2,404.0,501.5,360.5,913.2,677.2,522.7,181.4,547.1,567.6,555.2,648.6,422.2,572.9,550.1,854.2,130.1,640.3,616.4,626.3,484.6,735.9,792.4,250.1,746.9,912.5,776.0,703.4,962.7,699.6,25.9,158.7
OG,570.2,310.4,339.2,182.9,313.9,311.7,2378.3,299.0,408.3,354.3,506.7,212.6,426.9,341.7,157.2,554.2,343.5,309.1,602.2,523.1,517.2,364.2,362.9,443.6,608.1,318.9,347.3,351.3,495.9,460.7,287.1,530.6,481.9,454.8,285.6,599.5,470.1,624.6,360.3,540.2,108.5,578.6,476.9,362.7,0.0,243.8,477.2,303.3,436.2,473.9,595.7,332.4,371.4,316.3,117.8,215.3,74.3,621.0,385.0,230.5,205.8,254.9,275.4,263.0,356.4,136.0,280.7,257.9,562.0,507.9,348.1,324.2,334.1,192.4,443.7,500.2,563.7,454.7,620.3,483.8,411.2,662.7,407.4,336.8,271.9
OP,391.8,437.5,160.8,324.0,270.9,268.7,2505.4,120.6,229.9,175.9,328.3,86.8,248.5,298.7,298.3,375.8,165.1,130.7,423.8,344.7,338.8,185.8,319.9,265.2,429.7,140.5,474.4,172.9,317.5,282.3,414.2,352.2,303.5,276.4,412.7,421.1,291.7,446.2,317.3,361.8,249.6,400.2,604.0,489.8,252.0,0.0,298.8,430.4,257.8,295.5,417.3,162.4,193.0,137.9,258.9,356.4,215.4,442.6,206.6,187.5,332.9,76.5,232.4,84.6,178.0,277.1,237.7,214.9,383.6,635.0,169.7,145.8,155.7,112.5,265.3,321.8,690.8,276.3,441.9,305.4,232.8,484.3,229.0,463.9,399.0
OU,469.4,687.1,139.1,573.6,520.5,518.3,2755.0,179.6,203.5,253.5,405.9,336.4,191.5,418.9,547.9,318.8,134.8,169.2,366.8,287.7,416.4,113.2,492.2,488.6,372.7,309.4,724.0,126.0,260.5,225.3,663.8,295.2,246.5,93.9,662.3,364.1,369.3,389.2,566.9,304.8,499.2,343.2,853.6,739.4,501.6,295.0,0.0,680.0,93.5,238.5,360.3,219.5,105.5,361.3,508.5,606.0,465.0,385.6,91.8,437.1,582.5,224.0,482.0,253.5,121.6,526.7,487.3,464.5,326.6,884.6,191.3,223.4,191.5,362.1,164.2,264.8,940.4,28.8,384.9,248.4,456.2,427.3,68.1,713.5,648.6
PJ,768.9,123.7,537.9,375.6,512.6,510.4,2191.6,497.7,607.0,553.0,705.4,411.3,625.6,540.4,349.9,752.9,542.2,507.8,800.9,721.8,715.9,562.9,561.6,642.3,806.8,517.6,160.6,550.0,694.6,659.4,100.4,729.3,680.6,653.5,117.4,798.2,668.8,823.3,559.0,738.9,301.2,777.3,290.2,176.0,303.6,442.5,675.9,0.0,634.9,672.6,794.4,539.5,570.1,515.0,310.5,408.0,267.0,819.7,583.7,429.2,87.9,453.6,474.1,461.7,555.1,328.7,479.4,456.6,760.7,321.2,546.8,522.9,532.8,391.1,642.4,698.9,377.0,653.4,819.0,682.5,609.9,861.4,606.1,150.1,31.3
PM,419.7,637.4,89.4,523.9,470.8,468.6,2705.3,129.9,153.8,203.8,356.2,286.7,141.8,369.2,498.2,269.1,85.1,119.5,317.1,238.0,366.7,63.5,442.5,438.9,323.0,259.7,674.3,76.3,210.8,175.6,614.1,245.5,196.8,48.3,612.6,314.4,319.6,339.5,517.2,255.1,449.5,293.5,803.9,689.7,451.9,245.3,104.8,630.3,0.0,188.8,310.6,169.8,55.8,311.6,458.8,556.3,415.3,335.9,42.1,387.4,532.8,174.3,432.3,203.8,71.9,477.0,437.6,414.8,276.9,834.9,141.6,173.7,141.8,312.4,114.5,215.1,890.7,82.3,335.2,198.7,406.5,377.6,35.0,663.8,598.9
PO,461.7,679.4,131.4,565.9,512.8,510.6,2747.3,171.9,195.8,245.8,398.2,328.7,43.8,180.3,540.2,80.2,127.1,161.5,155.1,105.5,408.7,141.1,253.6,480.9,161.0,301.7,716.3,114.3,78.3,86.3,656.1,56.6,64.3,231.7,654.6,152.4,361.6,150.6,559.2,66.2,491.5,104.6,845.9,731.7,493.9,287.3,254.1,672.3,213.1,0.0,148.6,211.8,148.3,353.6,500.8,598.3,457.3,173.9,161.9,429.4,574.8,216.3,474.3,245.8,133.3,519.0,479.6,456.8,114.9,876.9,183.6,215.7,183.8,354.4,220.6,26.2,932.7,231.6,146.3,36.7,448.5,215.6,184.3,705.8,640.9
PS,588.5,806.2,258.2,692.7,639.6,637.4,2874.1,298.7,322.6,372.6,525.0,455.5,170.6,314.0,667.0,213.9,253.9,288.3,154.8,232.3,535.5,267.9,339.4,607.7,160.7,428.5,851.2,241.1,205.1,213.1,782.9,190.3,191.1,358.5,781.4,152.1,488.4,284.3,686.0,199.9,618.3,238.3,972.7,858.5,620.7,414.1,380.9,799.1,339.9,133.6,0.0,338.6,275.1,490.1,627.6,725.1,584.1,173.6,288.7,556.2,701.6,340.8,601.1,372.6,260.1,645.8,606.4,583.6,114.6,988.6,310.4,342.5,310.6,481.2,347.4,159.9,1059.5,358.4,280.0,107.3,575.3,223.1,311.1,832.6,767.7
PY,345.0,553.5,72.7,440.0,386.9,384.7,2621.4,46.0,141.8,129.1,272.3,202.8,160.4,387.8,414.3,296.9,77.0,42.6,344.9,256.6,282.8,97.7,386.3,355.0,341.6,185.0,598.5,84.8,229.4,194.2,530.2,264.1,224.6,188.3,528.7,341.4,235.7,358.1,433.3,273.7,365.6,312.1,720.0,605.8,368.0,161.4,210.7,546.4,169.7,216.6,329.2,0.0,104.9,237.4,384.1,472.4,331.4,354.5,118.5,312.7,448.9,88.1,348.4,129.1,99.9,393.1,353.7,330.9,304.7,745.1,81.6,89.8,67.6,228.5,177.2,233.7,816.0,188.2,353.8,217.3,322.6,404.0,140.9,579.9,515.0
QL,363.8,581.5,33.5,468.0,414.9,412.7,2649.4,74.0,97.9,147.9,300.3,230.8,85.9,313.3,442.3,213.2,29.2,63.6,261.2,182.1,310.8,7.6,386.6,383.0,267.1,203.8,618.4,20.4,154.9,119.7,558.2,189.6,140.9,83.3,556.7,258.5,263.7,283.6,461.3,199.2,393.6,237.6,748.0,633.8,396.0,189.4,105.7,574.4,64.7,132.9,254.7,113.9,0.0,255.7,402.9,500.4,359.4,280.0,13.5,331.5,476.9,118.4,376.4,147.9,16.0,421.1,381.7,358.9,221.0,779.0,85.7,117.8,85.9,256.5,72.2,159.2,834.8,83.2,279.3,142.8,350.6,321.7,35.9,607.9,543.0
QN,468.3,560.2,237.3,446.7,393.6,391.4,2628.1,197.1,306.4,252.4,404.8,209.5,325.0,421.4,421.0,452.3,241.6,207.2,500.3,418.8,415.3,262.3,442.6,117.5,506.2,217.0,605.2,249.4,394.0,358.8,536.9,428.7,380.0,352.9,535.4,497.6,368.2,522.7,440.0,438.3,372.3,476.7,726.7,612.5,374.7,168.1,375.3,553.1,334.3,372.0,493.8,230.5,269.5,0.0,381.6,479.1,338.1,519.1,283.1,310.2,455.6,153.0,355.1,161.1,255.3,399.8,360.4,337.6,460.1,742.6,246.2,222.3,232.2,235.2,341.8,398.3,813.5,352.8,518.4,381.9,85.1,568.6,305.5,586.6,521.7
QO,602.0,342.2,371.0,126.2,345.7,343.5,2410.1,330.8,440.1,386.1,538.5,244.4,458.7,373.5,100.5,586.0,375.3,340.9,634.0,554.9,549.0,396.0,394.7,475.4,639.9,350.7,379.1,383.1,527.7,492.5,318.9,562.4,513.7,486.6,317.4,631.3,501.9,656.4,392.1,572.0,8.5,610.4,508.7,394.5,132.7,275.6,509.0,335.1,468.0,505.7,627.5,372.6,403.2,348.1,0.0,117.5,54.3,652.8,416.8,262.3,237.6,286.7,307.2,294.8,388.2,18.1,312.5,289.7,593.8,539.7,379.9,356.0,365.9,224.2,475.5,532.0,595.5,486.5,652.1,515.6,443.0,694.5,439.2,368.6,303.7
QX,719.5,459.7,488.5,243.7,463.2,461.0,2527.6,448.3,557.6,503.6,656.0,361.9,576.2,491.0,218.0,703.5,492.8,458.4,751.5,672.4,666.5,513.5,512.2,592.9,757.4,468.2,496.6,500.6,645.2,610.0,436.4,679.9,631.2,604.1,434.9,748.8,619.4,773.9,509.6,689.5,126.0,727.9,626.2,512.0,250.2,393.1,626.5,452.6,585.5,623.2,745.0,481.7,520.7,465.6,117.5,0.0,171.8,770.3,534.3,379.8,355.1,404.2,424.7,412.3,505.7,135.7,430.0,407.2,711.3,657.2,497.4,473.5,483.4,341.7,593.0,649.5,713.0,604.0,769.6,633.1,560.5,812.0,556.7,486.1,421.2
RC,547.6,287.8,316.6,108.5,291.3,289.1,2355.7,276.4,385.7,331.7,484.1,190.0,404.3,319.1,82.8,531.6,320.9,286.5,579.6,500.5,494.6,341.6,340.3,421.0,585.5,296.3,324.7,328.7,473.3,438.1,264.5,508.0,459.3,432.2,263.0,576.9,447.5,602.0,337.7,517.6,34.1,556.0,454.3,340.1,78.3,221.2,454.6,280.7,413.6,451.3,573.1,309.8,348.8,293.7,43.4,140.9,0.0,598.4,362.4,207.9,183.2,232.3,252.8,240.4,333.8,61.6,258.1,235.3,539.4,485.3,325.5,301.6,311.5,169.8,421.1,477.6,541.1,432.1,597.7,461.2,388.6,640.1,384.8,314.2,249.3
RQ,608.1,825.8,277.8,712.3,659.2,657.0,2893.7,318.3,342.2,392.2,544.6,475.1,190.2,333.6,686.6,233.5,273.5,307.9,18.7,251.9,555.1,287.5,406.9,627.3,12.8,448.1,862.7,260.7,224.7,232.7,802.5,209.9,210.7,378.1,801.0,182.9,508.0,130.1,705.6,188.6,637.9,257.9,992.3,878.1,640.3,433.7,400.5,818.7,359.5,153.2,187.9,366.6,294.7,500.0,647.2,744.7,603.7,0.0,308.3,575.8,721.2,362.7,620.7,392.2,279.7,665.4,626.0,603.2,59.7,1023.3,330.0,362.1,330.2,500.8,367.0,179.5,1079.1,378.0,179.6,126.9,594.9,39.5,330.7,852.2,787.3
RT,377.5,595.2,47.2,481.7,428.6,426.4,2663.1,87.7,111.6,161.6,314.0,244.5,99.6,327.0,456.0,226.9,42.9,77.3,274.9,193.4,324.5,21.3,352.4,396.7,280.8,217.5,632.1,34.1,168.6,133.4,571.9,203.3,154.6,69.7,570.4,272.2,277.4,297.3,475.0,212.9,407.3,251.3,761.7,647.5,409.7,203.1,92.1,588.1,51.1,146.6,268.4,136.0,13.6,279.1,416.6,514.1,373.1,293.7,0.0,345.2,490.6,129.8,390.1,161.6,28.8,434.8,395.4,372.6,234.7,777.6,99.4,131.5,99.6,270.2,72.3,172.9,848.5,69.6,293.0,156.5,364.3,343.2,22.3,621.6,556.7
RU,529.2,382.8,298.2,269.3,170.9,58.4,2450.7,258.0,367.3,313.3,465.7,171.6,385.9,313.9,243.6,513.2,302.5,268.1,561.2,482.1,476.2,323.2,285.5,402.6,567.1,277.9,419.7,310.3,454.9,419.7,359.5,489.6,440.9,413.8,358.0,557.7,429.1,583.6,43.7,499.2,194.9,537.6,549.3,435.1,197.3,202.8,436.2,375.7,395.2,432.9,554.7,299.8,330.4,285.0,204.2,301.7,160.7,580.0,344.0,0.0,278.2,216.2,132.4,222.0,315.4,222.4,133.3,27.3,521.0,565.2,307.1,283.2,293.1,151.4,402.7,459.2,636.1,413.7,579.3,442.8,370.2,629.5,366.4,409.2,344.3
RW,680.9,104.5,449.9,287.6,424.6,422.4,2172.4,409.7,519.0,465.0,617.4,323.3,537.6,452.4,261.9,664.9,454.2,419.8,712.9,633.8,627.9,474.9,424.0,554.3,718.8,429.6,141.4,462.0,606.6,571.4,81.2,641.3,592.6,565.5,79.7,709.4,580.8,735.3,471.0,650.9,213.2,689.3,271.0,156.8,215.6,354.5,587.9,97.4,546.9,584.6,706.4,443.1,482.1,436.7,222.5,320.0,179.0,731.7,495.7,341.2,0.0,365.6,386.1,373.7,467.1,240.7,391.4,368.6,672.7,286.9,458.8,434.9,444.8,303.1,554.4,610.9,357.8,565.4,731.0,594.5,521.9,781.2,518.1,130.9,66.0
SA,315.2,463.0,84.2,349.5,296.4,294.2,2530.9,44.0,153.3,99.3,251.7,112.3,169.6,324.2,323.8,296.9,88.5,51.8,344.9,265.7,259.9,109.2,295.8,264.5,353.1,85.3,508.0,96.3,240.9,205.7,442.0,275.6,226.9,199.8,438.2,343.7,215.1,369.6,342.8,282.9,275.1,321.3,629.5,515.3,277.5,70.9,222.2,455.9,181.2,218.9,338.4,83.5,116.4,146.9,284.4,381.9,240.9,366.0,130.0,213.0,360.7,0.0,257.9,29.4,102.2,302.6,265.5,240.4,304.7,645.4,90.8,69.2,76.8,138.0,188.7,245.2,716.3,199.7,365.3,226.5,232.1,415.5,152.4,489.4,424.5
SL,551.8,435.4,320.8,321.9,38.4,83.9,2503.3,280.6,389.9,335.9,488.3,194.2,408.5,209.1,296.2,535.8,325.1,290.7,583.8,504.7,498.8,345.8,180.7,425.2,589.7,300.5,472.3,332.9,477.5,442.3,412.1,512.2,463.5,436.4,410.6,580.3,451.7,606.2,132.5,521.8,247.5,560.2,601.9,487.7,249.9,225.4,458.8,428.3,417.8,455.5,577.3,314.0,353.0,307.6,256.8,354.3,213.3,602.6,366.6,144.0,330.8,236.5,0.0,244.6,338.0,275.0,52.9,154.7,543.6,617.8,329.7,305.8,315.7,174.0,425.3,481.8,688.7,436.3,601.9,465.4,392.8,652.1,389.0,461.8,396.9
SV,354.7,461.1,123.7,347.6,294.5,292.3,2529.0,83.5,192.8,138.8,291.2,110.4,211.4,322.3,321.9,338.7,128.0,93.6,386.7,307.6,301.7,148.7,343.5,262.6,392.6,55.8,498.0,135.8,280.4,245.2,437.8,315.1,266.4,239.3,436.3,384.0,254.6,409.1,340.9,324.7,273.2,363.1,627.6,513.4,275.6,69.0,261.7,454.0,220.7,258.4,380.2,116.9,155.9,135.3,282.5,380.0,239.0,405.5,169.5,211.1,356.5,39.4,256.0,0.0,140.9,300.7,261.3,238.5,346.5,658.6,132.6,108.7,118.6,136.1,228.2,284.7,714.4,239.2,404.8,268.3,230.2,447.2,191.9,487.5,422.6
SW,347.7,565.4,17.4,451.9,398.8,396.6,2633.3,57.9,81.8,131.8,284.2,214.7,69.8,297.2,426.2,197.1,13.1,48.4,245.1,163.6,294.7,7.8,322.6,366.9,251.0,187.7,610.4,4.3,138.8,103.6,542.1,173.5,124.8,98.3,540.6,241.6,247.6,267.5,445.2,184.0,377.5,221.5,731.9,617.7,379.9,173.3,120.7,558.3,79.7,116.8,238.6,97.8,14.9,249.3,386.8,484.3,343.3,263.9,27.7,315.4,460.8,100.0,360.3,131.8,0.0,405.0,365.6,342.8,204.9,747.8,69.6,101.7,69.8,240.4,87.2,143.1,818.7,98.2,263.2,126.7,334.5,314.3,50.9,591.8,526.9
TB,620.0,360.2,389.0,144.2,363.7,361.5,2428.1,348.8,458.1,404.1,556.5,262.4,476.7,391.5,118.5,604.0,393.3,358.9,652.0,572.9,567.0,414.0,412.7,493.4,657.9,368.7,397.1,401.1,545.7,510.5,336.9,580.4,531.7,504.6,335.4,649.3,519.9,674.4,410.1,590.0,26.5,628.4,526.7,412.5,150.7,293.6,527.0,353.1,486.0,523.7,645.5,390.6,421.2,366.1,17.9,135.5,72.3,670.8,434.8,280.3,255.6,304.7,325.2,312.8,406.2,0.0,330.5,307.7,611.8,557.7,397.9,374.0,383.9,242.2,493.5,550.0,613.5,504.5,670.1,533.6,461.0,712.5,457.2,386.6,321.7
TM,577.1,460.7,346.1,347.2,91.4,64.8,2528.6,305.9,415.2,361.2,513.6,219.5,433.8,234.4,321.5,561.1,350.4,316.0,609.1,530.0,524.1,371.1,206.0,450.5,615.0,325.8,497.6,358.2,502.8,467.6,437.4,537.5,488.8,461.7,435.9,605.6,477.0,631.5,113.4,547.1,272.8,585.5,627.2,513.0,275.2,250.7,484.1,453.6,443.1,480.8,602.6,347.7,378.3,332.9,282.1,379.6,238.6,627.9,391.9,124.9,356.1,264.1,52.9,269.9,363.3,300.3,0.0,135.6,568.9,643.1,355.0,331.1,341.0,199.3,450.6,507.1,714.0,461.6,627.2,490.7,418.1,677.4,414.3,487.1,422.2
TT,659.8,422.7,428.8,309.2,174.1,61.6,2490.6,388.6,497.9,443.9,596.3,302.2,516.5,317.1,283.5,643.8,433.1,398.7,691.8,610.3,606.8,453.8,288.7,533.2,697.7,408.5,459.6,440.9,585.5,550.3,399.4,620.2,571.5,544.4,397.9,688.3,559.7,714.2,46.9,629.8,234.8,668.2,589.2,475.0,237.2,333.4,566.8,415.6,525.8,563.5,685.3,430.4,461.0,415.6,244.1,341.6,200.6,710.6,474.6,39.8,318.1,344.5,135.6,352.6,446.8,262.3,136.5,0.0,651.6,605.1,437.7,413.8,423.7,282.0,533.3,589.8,676.0,544.3,709.9,573.4,500.8,760.1,497.0,449.1,384.2
UE,548.3,766.0,218.0,652.5,599.4,597.2,2833.9,258.5,282.4,332.4,484.8,415.3,130.4,273.8,626.8,173.7,213.7,248.1,40.1,192.1,495.3,227.7,299.2,567.5,46.0,388.3,802.9,200.9,164.9,172.9,742.7,150.1,150.9,318.3,741.2,122.3,448.2,189.1,645.8,159.7,578.1,198.1,932.5,818.3,580.5,373.9,340.7,758.9,299.7,93.4,128.1,298.4,234.9,449.9,587.4,684.9,543.9,58.9,248.5,516.0,661.4,300.6,560.9,332.4,219.9,605.6,566.2,543.4,0.0,948.4,270.2,302.3,270.4,441.0,307.2,119.7,1019.3,318.2,238.6,67.1,535.1,108.4,270.9,792.4,727.5
UV,992.5,238.4,761.5,599.2,736.2,734.0,2357.6,721.3,830.6,776.6,929.0,634.9,849.2,764.0,573.5,976.5,765.8,731.4,1024.5,943.0,939.5,786.5,785.2,865.9,1030.4,741.2,326.6,773.6,918.2,883.0,215.6,952.9,904.2,877.1,341.0,1021.0,892.4,1046.9,782.6,962.5,524.8,1000.9,206.8,130.1,527.2,666.1,899.5,320.2,858.5,896.2,1018.0,754.7,793.7,748.3,534.1,631.6,490.6,1043.3,807.3,652.8,311.5,677.2,697.7,685.3,778.7,552.3,703.0,680.2,984.3,0.0,770.4,746.5,756.4,614.7,866.0,922.5,120.0,877.0,1042.6,906.1,833.5,1092.8,829.7,156.0,288.8
UW,354.7,572.4,47.7,458.9,405.8,403.6,2640.3,64.9,116.8,138.8,291.2,221.7,135.4,362.8,433.2,262.7,52.0,54.5,310.7,229.2,301.7,72.7,388.2,373.9,316.6,194.7,609.3,59.8,204.4,169.2,549.1,239.1,190.4,163.3,547.6,307.2,254.6,333.1,452.2,248.7,384.5,287.1,738.9,624.7,386.9,180.3,185.7,565.3,144.7,182.4,304.2,104.8,79.9,256.3,393.8,491.3,350.3,329.5,93.5,322.4,467.8,107.0,367.3,138.8,64.9,412.0,372.6,349.8,270.5,754.8,0.0,108.7,76.8,247.4,152.2,208.7,825.7,163.2,328.8,192.3,341.5,379.0,115.9,598.8,533.9
UX,245.9,526.8,98.1,413.3,360.2,358.0,2594.7,57.9,167.2,30.0,182.4,176.1,185.8,388.0,387.6,313.1,102.4,68.0,361.1,282.0,192.9,123.1,409.2,328.3,367.0,149.1,563.7,110.2,254.8,219.6,503.5,289.5,240.8,213.7,502.0,358.4,145.8,383.5,406.6,299.1,338.9,337.5,693.3,579.1,341.3,134.7,236.1,519.7,195.1,232.8,354.6,99.7,130.3,201.0,348.2,445.7,304.7,379.9,143.9,276.8,422.2,63.7,321.7,93.2,115.3,366.4,327.0,304.2,320.9,724.3,107.0,0.0,93.0,201.8,202.6,259.1,780.1,213.6,379.2,242.7,295.9,421.6,166.3,553.2,488.3
VH,323.3,541.0,70.5,427.5,374.4,372.2,2608.9,33.5,139.6,107.4,259.8,190.3,158.2,402.2,401.8,285.5,74.8,40.4,333.5,252.0,270.3,95.5,373.8,342.5,339.4,163.3,577.9,82.6,227.2,192.0,517.7,261.9,213.2,186.1,516.2,330.8,223.2,355.9,420.8,271.5,353.1,309.9,707.5,593.3,355.5,148.9,208.5,533.9,167.5,205.2,327.0,81.8,102.7,224.9,362.4,459.9,318.9,352.3,116.3,291.0,436.4,75.6,335.9,107.4,88.5,380.6,341.2,318.4,293.3,723.4,79.4,77.3,0.0,216.0,175.0,231.5,794.3,186.0,351.6,215.1,310.1,401.8,138.7,567.4,502.5
VZ,436.1,403.3,205.1,289.8,236.7,234.5,2471.2,164.9,274.2,220.2,372.6,78.5,292.8,264.5,264.1,420.1,209.4,175.0,468.1,386.6,383.1,230.1,236.1,309.5,474.0,184.8,440.2,217.2,361.8,326.6,380.0,396.5,347.8,320.7,378.5,464.6,336.0,490.5,283.1,406.1,215.4,444.5,569.8,455.6,217.8,109.7,343.1,396.2,302.1,339.8,461.6,206.7,237.3,191.9,224.7,322.2,181.2,486.9,250.9,153.3,298.7,120.8,198.2,128.9,222.3,242.9,203.5,180.7,427.9,585.7,214.0,190.1,200.0,0.0,309.6,366.1,656.6,320.6,486.2,349.7,277.1,536.4,273.3,429.7,364.8
WB,432.5,650.2,102.2,536.7,483.6,481.4,2718.1,142.7,166.6,216.6,369.0,299.5,154.6,382.0,511.0,281.9,97.9,132.3,329.9,250.8,379.5,76.3,455.3,451.7,335.8,272.5,687.1,89.1,223.6,188.4,626.9,258.3,209.6,158.4,625.4,327.2,332.4,352.3,530.0,267.9,462.3,306.3,816.7,702.5,464.7,258.1,180.8,643.1,139.8,201.6,323.4,182.6,68.6,324.4,471.6,569.1,428.1,348.7,88.6,400.2,545.6,187.1,445.1,216.6,84.7,489.8,450.4,427.6,289.7,847.7,154.4,186.5,154.6,325.2,0.0,227.9,903.5,158.3,348.0,211.5,419.3,390.4,111.0,676.6,611.7
WQ,488.0,705.7,157.7,592.2,539.1,536.9,2773.6,198.2,222.1,272.1,424.5,355.0,70.1,154.0,566.5,53.9,153.4,187.8,208.4,131.8,435.0,167.4,227.3,507.2,202.5,328.0,742.6,140.6,104.6,112.6,682.4,30.3,90.6,258.0,680.9,178.7,387.9,124.3,585.5,39.9,517.8,78.3,872.2,758.0,520.2,313.6,280.4,698.6,239.4,26.2,174.9,238.1,174.6,379.9,527.1,624.6,483.6,189.6,188.2,455.7,601.1,242.6,500.6,272.1,159.6,545.3,505.9,483.1,141.2,903.2,209.9,242.0,210.1,380.7,246.9,0.0,959.0,257.9,120.0,63.0,474.8,229.2,210.6,732.1,667.2
WX,1053.4,299.3,822.4,660.1,797.1,794.9,2418.5,782.2,891.5,837.5,989.9,695.8,910.1,824.9,634.4,1037.4,826.7,792.3,1085.4,1006.3,1000.4,847.4,846.1,926.8,1091.3,802.1,387.5,834.5,979.1,943.9,276.5,1013.8,965.1,938.0,401.9,1082.7,953.3,1107.8,843.5,1023.4,585.7,1061.8,86.8,240.1,588.1,727.0,960.4,381.1,919.4,957.1,1078.9,824.0,854.6,799.5,595.0,692.5,551.5,1104.2,868.2,713.7,372.4,738.1,758.6,746.2,839.6,613.2,763.9,741.1,1045.2,94.9,831.3,807.4,817.3,675.6,926.9,983.4,0.0,937.9,1103.5,967.0,894.4,1145.9,890.6,266.0,349.7
