from_stop,AD,AF,AJ,AR,AS,AV,AY,BB,BI,BL,BX,CM,CO,DL,DO,DR,DY,EA,ED,EH,EK,EN,ET,EU,EV,FA,FF,FK,GJ,GN,GQ,GV,GY,HC,HN,IJ,IO,IS,IX,JH,JM,JO,KM,KO,KR,LI,LJ,LR,LT,MF,MP,MU,MV,NH,NY,OC,OR,OW,OY,PI,PL,PR,PW,PY,QZ,RP,RV,SZ,TL,UL,UZ,VO,VW,VZ,WH,WL,WR,WW,WY,XH,XL,XP,XQ,XR,XS,YD,YG,YI,YK,YQ,YZ,ZC,ZD,ZW
IJ,83.1,288.2,506.8,217.8,279.0,213.3,328.1,166.9,334.5,190.8,567.8,535.3,458.3,450.6,63.8,486.3,128.5,163.0,427.1,468.6,106.0,49.0,31.9,509.3,343.0,134.0,257.9,103.6,402.2,498.0,500.9,100.4,106.9,227.3,415.3,0.0,38.6,176.9,83.5,491.1,472.1,402.3,419.8,119.1,114.7,78.4,93.2,95.9,403.3,292.3,150.0,278.3,515.8,256.0,307.4,198.3,331.9,122.4,401.1,503.0,83.8,416.4,382.9,446.8,475.4,384.1,397.0,312.4,447.2,72.6,83.3,375.1,138.7,428.5,451.5,394.4,249.8,255.1,526.3,117.1,180.5,498.1,529.3,252.2,427.9,478.6,181.2,174.5,1950.3,480.7,98.7,188.1,118.1,470.4
IO,44.4,245.2,463.8,174.8,254.0,170.3,303.1,128.2,309.5,165.8,524.8,492.3,433.3,407.6,54.7,461.3,89.8,120.0,402.1,443.6,81.0,65.4,54.1,466.3,318.0,109.0,232.9,60.6,377.2,455.0,457.9,57.4,63.9,184.3,390.3,35.3,0.0,133.9,44.8,448.1,429.1,377.3,376.8,80.4,71.7,52.0,50.2,58.7,378.3,267.3,107.0,253.3,472.8,233.0,282.4,155.3,306.9,97.4,376.1,460.0,40.8,391.4,357.9,420.2,487.6,359.1,372.0,287.4,422.2,33.9,65.6,350.1,101.5,403.5,408.5,369.4,206.8,212.1,483.3,74.1,137.5,455.1,486.3,227.2,384.9,453.6,158.8,131.5,1907.3,455.7,60.0,163.1,75.1,445.4
IS,165.9,235.8,454.4,160.8,252.1,154.6,299.4,77.4,307.6,163.9,515.4,482.9,413.1,398.2,126.0,441.1,69.6,129.4,400.2,423.4,167.1,136.7,145.4,456.9,316.1,139.4,231.0,45.7,375.3,445.6,448.5,34.4,73.3,173.1,388.4,124.6,149.5,0.0,148.3,438.7,433.9,357.1,367.4,76.0,98.0,153.7,59.6,162.2,306.7,235.1,33.3,251.4,463.4,268.2,280.5,125.0,316.9,151.0,355.9,450.6,51.5,417.7,354.2,405.5,430.2,354.2,353.8,294.2,402.0,137.4,169.1,350.1,126.5,400.7,399.1,365.7,196.8,202.7,472.1,83.5,107.0,445.7,476.9,225.3,384.5,433.4,147.6,140.9,1916.7,435.5,181.5,161.2,84.5,425.2
IX,51.2,266.8,466.2,207.0,209.1,202.5,258.2,107.3,264.6,120.9,527.2,425.9,388.4,360.0,38.5,416.4,78.6,179.6,357.2,398.7,36.1,49.2,61.7,468.7,273.1,64.1,188.0,63.0,332.3,457.4,460.3,59.8,84.5,186.7,345.4,90.2,54.8,128.5,0.0,450.5,431.5,332.4,379.2,69.2,74.1,31.0,70.8,17.7,333.4,222.4,101.6,208.4,475.2,203.6,237.5,136.2,262.0,52.5,331.2,462.4,93.2,346.5,313.0,376.9,405.5,314.2,327.1,242.5,377.3,10.8,20.7,305.2,60.5,358.6,410.9,324.5,228.4,214.5,435.9,94.7,118.2,457.5,381.8,182.3,387.3,408.7,109.0,191.1,1927.9,410.8,66.8,118.2,95.7,400.5
JH,455.6,363.6,15.7,431.8,228.3,427.3,292.1,490.9,298.5,367.4,130.6,44.1,114.4,113.6,450.4,70.2,461.3,395.5,211.3,90.0,410.4,461.1,473.6,63.0,246.6,382.7,282.8,405.0,165.8,61.9,9.8,401.8,364.1,346.7,156.6,439.6,419.9,442.4,436.1,0.0,80.2,122.7,121.4,470.7,416.1,462.4,376.9,445.4,236.6,256.3,467.2,229.0,90.3,485.6,199.9,373.1,295.9,394.3,141.7,83.8,385.2,144.1,211.6,177.0,51.2,210.4,154.4,318.6,85.0,447.0,432.6,193.5,402.6,183.9,44.0,200.5,325.2,285.0,80.0,354.0,407.7,72.6,110.1,254.9,104.8,78.8,377.6,407.0,2205.0,90.4,471.2,319.2,397.4,102.3
JM,461.7,303.7,81.2,437.9,250.8,433.4,254.1,451.5,275.9,358.5,142.2,109.7,162.6,134.4,447.1,135.8,467.4,401.6,233.8,155.6,432.9,457.8,464.5,83.7,267.4,405.2,305.3,411.1,186.6,9.9,75.3,407.9,370.2,300.8,177.4,445.7,426.0,419.5,444.1,65.5,0.0,145.2,103.6,476.8,422.2,447.8,383.0,458.0,246.8,266.0,443.4,251.5,90.2,482.0,222.4,379.2,318.4,416.8,162.5,77.4,391.3,166.6,232.4,197.8,105.0,232.4,176.9,341.1,138.8,433.2,419.1,212.0,425.1,205.6,25.9,221.3,264.7,225.1,100.7,360.1,413.8,72.5,103.7,277.4,111.7,144.4,348.3,413.1,2112.6,138.6,477.3,341.7,403.5,150.5
JO,332.8,306.5,109.8,309.0,105.5,304.5,169.3,368.1,175.7,244.6,141.6,79.6,63.6,98.9,327.6,56.3,338.5,272.7,88.5,38.6,287.6,338.3,350.8,138.1,174.8,259.9,160.0,282.2,91.5,129.3,116.2,279.0,241.3,223.9,82.3,316.8,297.1,319.6,313.3,127.1,153.6,0.0,129.0,347.9,293.3,339.6,254.1,322.6,113.8,133.5,344.4,106.2,149.2,362.8,77.1,250.3,173.1,271.5,70.1,73.0,262.4,21.3,149.0,142.6,116.8,150.2,31.6,195.8,116.2,324.2,309.8,141.2,279.8,115.9,123.8,160.5,268.1,243.1,129.2,231.2,284.9,172.3,49.3,132.1,112.4,48.6,254.8,284.2,1983.7,87.6,348.4,196.4,274.6,75.7
KM,385.3,265.0,125.1,361.5,158.0,357.0,205.1,420.6,172.2,297.1,186.1,94.3,103.2,30.7,380.1,120.4,391.0,325.2,129.3,126.4,340.1,390.8,403.3,127.6,163.7,312.4,212.5,334.7,82.9,117.1,119.2,331.5,293.8,276.4,73.7,369.3,349.6,372.1,365.8,109.4,91.2,129.8,0.0,400.4,345.8,392.1,306.6,375.1,141.1,186.0,396.9,158.7,134.1,422.0,129.6,302.8,197.3,324.0,58.8,121.3,314.9,121.9,128.7,94.1,73.9,127.5,100.2,220.0,45.7,376.7,362.3,110.6,332.3,101.0,69.8,117.6,226.6,186.4,144.6,283.7,337.4,116.4,147.6,184.6,8.0,129.0,307.3,336.7,2036.2,79.2,400.9,248.9,327.1,91.1
KO,86.8,251.0,469.6,137.7,267.3,133.2,316.4,38.7,322.8,179.1,530.6,433.0,395.5,367.1,107.8,423.5,9.3,111.8,415.4,405.8,105.4,118.5,124.6,472.1,331.3,133.4,246.2,54.2,390.5,460.8,463.7,93.7,55.7,190.1,403.6,105.8,70.4,59.2,69.2,453.9,434.9,339.5,382.6,0.0,65.3,76.4,42.0,83.1,391.6,280.6,32.3,266.6,478.6,250.6,295.7,107.4,332.1,121.8,338.3,465.8,33.9,353.6,371.2,426.0,412.6,372.4,334.2,309.2,384.4,58.3,90.0,363.4,125.9,416.8,414.3,382.7,212.6,217.9,443.0,65.9,89.4,460.9,388.9,240.5,390.7,415.8,164.6,123.3,1899.1,417.9,102.4,176.4,66.9,407.6
KR,100.3,173.4,392.0,138.7,189.7,134.2,238.8,101.7,245.2,101.5,453.0,420.5,369.0,335.8,144.7,397.0,63.3,107.3,337.8,379.3,104.7,155.4,121.3,394.5,253.7,77.0,168.6,9.3,312.9,383.2,386.1,12.3,51.2,112.5,326.0,102.5,82.8,41.0,82.7,376.3,373.3,313.0,305.0,53.9,0.0,123.9,37.5,106.9,246.1,174.5,76.2,189.0,401.0,246.1,218.1,102.9,254.5,88.6,311.8,388.2,29.4,370.8,293.6,348.4,415.8,293.6,307.7,231.8,350.8,71.8,126.9,285.8,64.1,338.3,336.7,305.1,134.4,140.3,411.5,61.4,84.9,383.3,414.5,162.9,313.1,389.3,87.0,118.8,1894.6,384.3,115.9,98.8,62.4,381.1
LI,68.9,278.2,483.9,196.1,220.5,191.6,269.6,134.7,276.0,132.3,544.9,437.3,399.8,371.4,47.6,427.8,96.3,141.3,368.6,410.1,57.7,58.3,70.8,438.2,284.5,85.7,199.4,80.7,343.7,475.1,478.0,77.5,85.2,156.2,356.8,74.6,34.9,144.2,21.5,468.2,465.2,343.8,396.9,86.9,91.8,0.0,71.5,17.4,276.9,205.3,120.1,219.8,492.9,225.2,248.9,176.6,273.4,74.1,342.6,480.1,62.1,401.6,324.4,393.6,416.9,324.4,338.5,253.9,388.7,28.5,42.3,316.6,60.2,369.1,428.6,335.9,239.2,232.2,447.3,95.4,158.8,475.2,393.2,193.7,405.0,420.1,108.7,152.8,1928.6,422.2,84.5,129.6,96.4,411.9
LJ,78.6,212.6,431.2,101.1,228.9,96.6,278.0,134.6,284.4,140.7,492.2,390.9,353.4,325.0,64.0,381.4,95.3,69.7,377.0,363.7,97.2,74.7,81.4,433.7,292.9,116.2,207.8,28.0,352.1,422.4,425.3,24.8,13.6,151.7,365.2,62.6,42.9,65.4,61.0,415.5,396.5,297.4,344.2,52.2,39.1,64.7,0.0,74.9,353.2,242.2,101.2,228.2,440.2,208.5,257.3,65.3,293.7,113.6,296.2,427.4,8.2,311.5,332.8,387.6,370.5,334.0,292.1,270.8,342.3,50.1,81.7,325.0,103.3,378.4,375.9,344.3,174.2,179.5,400.9,23.8,47.3,422.5,346.8,202.1,352.3,373.7,126.2,81.2,1857.0,375.8,94.2,138.0,24.8,365.5
LR,55.1,260.7,470.1,210.9,203.0,206.4,252.1,111.9,258.5,114.8,531.1,419.8,382.3,353.9,64.6,410.3,82.5,144.5,351.1,392.6,63.9,75.3,87.8,420.7,267.0,90.3,181.9,66.9,326.2,461.3,464.2,63.7,88.4,138.7,339.3,91.6,51.9,132.4,27.7,454.4,435.4,326.3,383.1,73.1,78.0,16.9,74.7,0.0,327.3,216.3,105.5,202.3,479.1,231.4,231.4,140.1,255.9,80.3,325.1,466.3,79.1,340.4,306.9,370.8,399.4,308.1,321.0,236.4,371.2,14.7,48.5,299.1,42.7,352.5,414.8,318.4,222.3,218.4,429.8,98.6,122.1,461.4,375.7,176.2,400.2,402.6,91.2,156.0,1931.8,404.7,70.7,112.1,99.6,394.4
LT,286.6,250.1,229.6,262.8,49.1,258.3,112.9,321.9,97.3,188.2,270.6,202.1,164.6,136.2,271.2,192.6,292.3,226.5,91.6,174.9,231.2,281.9,289.4,203.0,88.8,203.5,103.6,236.0,66.7,283.5,236.0,232.8,195.1,167.5,79.8,270.6,250.9,273.4,256.9,246.9,273.6,132.0,166.3,301.7,247.1,272.7,207.9,266.2,0.0,64.3,299.0,49.8,278.2,306.4,37.1,204.1,116.7,215.1,135.8,223.8,216.2,166.4,47.4,111.3,181.7,47.4,126.1,139.4,153.5,258.1,253.4,39.6,223.4,92.1,236.2,58.9,211.1,186.7,212.1,185.0,238.7,282.8,181.4,75.7,149.7,184.9,198.4,238.0,1937.5,187.0,302.2,140.0,228.4,176.7
MF,243.8,185.7,259.4,269.2,15.1,264.7,64.2,299.9,70.6,123.8,300.4,231.9,194.4,166.0,206.8,222.4,271.2,232.9,163.2,204.7,166.8,217.5,230.0,232.8,79.1,139.1,39.2,242.4,138.3,329.0,265.8,239.2,201.5,103.1,151.4,277.0,211.5,279.8,192.5,276.7,319.1,138.4,196.1,261.8,253.5,218.8,214.3,201.8,71.5,0.0,305.4,14.4,346.8,242.0,43.5,210.5,68.0,150.7,137.2,253.6,222.6,196.2,119.0,182.9,211.5,119.0,133.1,79.6,183.3,203.4,189.0,111.2,159.0,163.7,282.5,130.5,146.7,122.3,241.9,191.4,245.1,329.1,187.8,11.3,179.5,214.7,134.0,244.4,1943.9,216.8,259.4,75.6,234.8,206.5
MP,130.7,217.8,436.4,125.7,234.1,121.2,283.2,43.8,289.6,145.9,497.4,464.9,413.4,380.2,142.1,441.4,34.4,155.5,382.2,423.7,149.1,152.8,159.5,438.9,298.1,121.4,213.0,91.2,357.3,427.6,430.5,60.5,99.4,156.9,370.4,140.7,114.3,26.0,113.1,420.7,417.7,357.4,349.4,43.8,81.8,120.3,85.7,127.0,290.5,218.9,0.0,233.4,445.4,293.0,262.5,106.2,298.9,133.0,356.2,432.6,77.6,418.0,338.0,387.5,460.2,338.0,352.1,276.0,395.2,102.2,133.9,330.2,108.5,382.7,381.1,349.5,178.8,184.7,455.9,109.6,88.4,427.7,458.9,207.3,357.5,433.7,131.4,167.0,1942.8,428.7,146.3,143.2,92.3,425.5
MU,258.3,200.2,244.9,254.7,0.6,250.2,63.0,323.5,69.4,138.3,285.9,217.4,179.9,151.5,221.3,207.9,284.2,218.4,148.7,190.2,181.3,232.0,244.5,218.3,77.9,153.6,53.7,227.9,123.8,338.0,251.3,224.7,187.0,117.6,136.9,262.5,242.8,265.3,207.0,262.2,312.1,123.9,181.6,276.3,239.0,233.3,199.8,216.3,124.9,27.2,290.1,0.0,293.5,256.5,29.0,196.0,66.8,165.2,122.7,239.1,208.1,138.0,104.5,168.4,197.0,105.7,118.6,89.5,168.8,217.9,203.5,96.7,173.5,150.1,291.5,116.0,161.8,136.8,227.4,176.9,230.6,338.1,173.3,25.8,173.5,200.2,148.5,229.9,1929.4,202.3,273.9,90.1,220.3,192.0
MV,469.1,388.1,96.4,445.3,241.8,440.8,305.6,514.1,312.0,380.9,53.8,88.9,141.2,140.4,463.9,115.0,474.8,409.0,224.8,134.8,423.9,474.6,487.1,56.7,311.1,396.2,296.3,418.5,192.6,86.4,102.8,415.3,377.6,360.2,183.4,453.1,433.4,455.9,449.6,110.1,104.7,136.2,148.2,484.2,429.6,475.9,390.4,458.9,250.1,269.8,480.7,242.5,0.0,499.1,213.4,386.6,309.4,407.8,206.4,68.4,398.7,157.6,238.4,203.8,78.0,237.2,167.9,332.1,111.8,460.5,446.1,220.3,416.1,210.7,88.5,227.3,349.7,309.5,122.3,367.5,421.2,24.7,94.7,268.4,131.6,123.6,391.1,420.5,2229.5,117.2,484.7,332.7,410.9,129.1
NH,186.9,167.3,357.5,278.1,110.5,273.6,159.6,243.0,166.0,66.9,418.5,327.3,289.8,301.3,149.9,317.8,214.3,241.8,258.6,300.1,109.9,160.6,173.1,360.0,174.5,82.2,89.4,251.3,233.7,348.7,351.6,248.1,210.4,28.2,246.8,211.4,154.6,216.7,135.6,341.8,338.8,233.8,270.5,204.9,262.4,161.9,223.2,144.9,166.9,95.3,238.1,109.8,366.5,0.0,138.9,219.4,163.4,93.8,232.6,353.7,231.5,291.6,214.4,283.6,306.9,214.4,228.5,144.1,278.7,146.5,132.1,208.5,102.1,259.1,302.2,225.9,129.2,105.8,377.0,200.3,254.0,348.8,283.2,83.7,278.6,310.1,77.1,253.3,1952.8,312.2,202.5,19.6,243.7,301.9
NY,249.4,229.3,215.8,225.6,28.3,221.1,92.1,294.4,98.5,167.4,256.8,188.3,150.8,122.4,234.8,178.8,255.1,189.3,116.0,161.1,210.4,245.5,252.2,189.2,97.6,182.7,82.8,198.8,91.1,224.2,222.2,195.6,157.9,146.7,104.2,233.4,213.7,236.2,231.8,233.1,259.8,94.8,152.5,264.5,209.9,235.5,170.7,245.7,24.3,43.5,261.8,29.0,264.4,269.7,0.0,166.9,95.9,194.3,93.6,210.0,179.0,152.6,71.8,141.0,167.9,71.8,89.5,118.2,139.7,220.9,232.6,64.0,202.6,116.5,222.4,83.3,190.3,165.9,198.3,147.8,201.5,269.0,144.2,54.9,144.4,171.1,177.6,200.8,1900.3,173.2,265.0,119.2,191.2,162.9
OC,181.6,312.7,422.8,58.6,282.2,54.1,342.4,117.7,330.8,240.8,463.8,395.3,357.8,329.4,158.2,385.8,88.1,74.1,333.0,368.1,198.6,168.9,175.6,396.2,339.3,216.3,243.1,103.6,322.0,501.3,429.2,100.4,97.6,251.8,312.8,156.8,137.1,120.9,166.8,440.1,450.8,301.8,359.5,97.5,114.7,158.9,109.8,176.4,358.3,295.5,94.0,281.5,471.4,212.9,310.6,0.0,306.4,215.0,300.6,417.0,83.8,315.9,386.1,373.1,374.9,387.3,296.5,283.5,346.7,155.9,175.9,390.4,203.4,346.4,429.4,409.6,274.3,279.6,405.3,81.8,34.5,476.0,351.2,255.4,342.9,378.1,226.3,85.6,1861.4,380.2,197.2,238.1,71.2,369.9
OR,295.6,187.7,273.9,294.3,71.2,289.8,35.9,351.7,24.3,175.6,314.9,246.4,208.9,180.5,258.6,236.9,323.0,258.0,135.9,219.2,218.6,269.3,281.8,247.3,32.8,190.9,91.0,267.5,111.0,310.9,313.8,264.3,226.6,154.9,124.1,320.1,263.3,370.9,244.3,304.0,301.0,200.0,232.7,313.6,278.6,270.6,239.4,253.6,109.9,51.7,346.8,70.5,328.7,288.4,99.6,235.6,0.0,202.5,196.2,268.1,247.7,210.7,109.7,160.9,226.0,109.7,170.4,22.2,197.8,255.2,240.8,83.9,210.8,137.3,264.4,121.2,148.7,120.4,256.4,216.5,270.2,311.0,249.4,63.1,194.0,229.2,185.8,269.5,1969.0,231.3,311.2,127.4,259.9,221.0
OW,93.0,214.2,426.5,246.5,156.5,242.0,205.6,149.1,212.0,68.3,441.8,373.3,335.8,307.4,56.0,363.8,120.4,215.1,304.6,346.1,16.0,66.7,79.2,374.2,220.5,11.5,135.4,104.8,279.7,417.7,420.6,101.6,126.3,92.2,292.8,117.5,92.0,170.3,41.7,410.8,391.8,279.8,339.5,111.0,115.9,72.8,112.6,59.5,280.8,169.8,143.4,155.8,435.5,318.2,184.9,178.0,209.4,0.0,278.6,422.7,119.2,293.9,260.4,324.3,352.9,261.6,274.5,189.9,324.7,52.6,38.2,252.6,102.3,306.0,371.2,271.9,175.8,174.8,383.3,136.5,160.0,417.8,329.2,129.7,320.9,356.1,58.7,226.6,1998.8,358.2,108.6,65.6,137.5,347.9
OY,326.4,300.1,122.1,302.6,99.1,298.1,152.6,361.7,113.3,238.2,163.1,94.6,57.1,28.7,321.2,85.1,332.1,266.3,70.4,67.4,281.2,331.9,344.4,95.5,104.8,253.5,153.6,275.8,24.0,176.0,128.5,272.6,234.9,217.5,14.8,310.4,290.7,313.2,306.9,139.4,166.1,84.8,58.8,341.5,286.9,333.2,247.7,316.2,95.1,114.3,338.8,99.8,170.7,363.1,70.7,243.9,138.4,265.1,0.0,116.3,256.0,83.5,81.4,97.2,74.2,81.4,41.3,161.1,46.0,317.8,303.4,49.4,273.4,47.5,128.7,92.9,261.1,236.7,104.6,224.8,278.5,175.3,142.6,125.7,42.2,77.4,248.4,277.8,1977.3,79.5,342.0,190.0,268.2,69.2
PI,400.6,374.3,69.7,376.8,173.3,372.3,237.1,435.9,243.5,312.4,68.5,62.2,114.5,113.7,395.4,88.3,406.3,340.5,156.3,85.7,355.4,406.1,418.6,30.0,242.6,327.7,227.8,350.0,159.3,70.5,76.1,346.8,309.1,291.7,150.1,384.6,364.9,387.4,381.1,87.0,88.8,67.7,121.5,415.7,361.1,407.4,321.9,390.4,181.6,201.3,412.2,174.0,76.1,430.6,144.9,318.1,240.9,339.3,137.9,0.0,330.2,89.1,216.8,177.1,51.3,218.0,99.4,263.6,85.1,392.0,377.6,209.0,347.6,183.7,50.7,228.3,335.9,293.6,95.6,299.0,352.7,99.2,26.3,199.9,104.9,95.7,322.6,352.0,2051.5,90.5,416.2,264.2,342.4,102.4
PL,70.3,204.3,422.9,109.2,220.6,104.7,269.7,106.5,276.1,132.4,483.9,399.0,361.5,366.7,91.3,389.5,76.9,77.8,368.7,371.8,88.9,102.0,108.1,425.4,284.6,107.9,199.5,19.7,343.8,414.1,417.0,16.5,21.7,143.4,356.9,89.3,53.9,57.1,52.7,407.2,388.2,305.5,335.9,86.3,30.8,59.9,8.0,66.6,344.9,233.9,82.8,219.9,431.9,216.6,249.0,73.4,285.4,105.3,304.3,419.1,0.0,319.6,324.5,379.3,378.6,325.7,300.2,262.5,350.4,41.8,73.5,316.7,95.0,370.1,367.6,336.0,165.9,171.2,442.4,31.9,55.4,414.2,354.9,193.8,344.0,381.8,117.9,89.3,1865.1,383.9,85.9,129.7,32.9,373.6
PR,339.9,313.6,140.7,321.2,112.6,313.9,176.4,384.9,182.8,251.7,183.3,110.5,41.2,104.4,334.7,87.2,345.6,279.8,95.6,69.5,294.7,345.4,360.2,153.3,181.9,267.0,167.1,289.3,98.6,203.3,147.1,286.1,248.4,231.0,89.4,323.9,304.2,328.5,320.4,158.0,153.5,34.3,134.5,355.0,280.9,346.7,261.2,329.7,89.1,130.1,352.3,113.3,190.9,369.9,64.7,257.4,160.7,278.6,77.2,136.5,269.5,0.0,161.2,153.4,94.4,161.2,43.8,202.5,114.3,331.3,297.4,150.2,286.9,122.1,183.5,169.9,274.6,250.2,105.6,238.3,292.0,215.7,162.8,139.2,100.0,75.5,261.9,291.3,1990.8,65.2,355.5,184.0,281.7,80.1
PW,334.0,289.9,198.0,310.2,96.5,305.7,116.3,369.3,77.0,235.6,239.0,170.5,145.6,104.6,318.6,173.6,339.7,273.9,91.3,155.9,278.6,329.3,336.8,171.4,68.5,250.9,151.0,283.4,66.4,282.3,204.4,280.2,242.5,214.9,79.5,318.0,298.3,320.8,304.3,215.3,272.4,155.4,134.7,349.1,294.5,320.1,255.3,313.6,47.3,111.7,346.4,97.2,246.6,353.8,84.5,251.5,102.1,262.5,88.3,192.2,263.6,150.2,0.0,65.7,150.1,0.0,125.8,124.4,121.9,305.5,300.8,41.2,270.8,74.3,235.8,11.4,250.9,212.6,180.5,232.4,286.1,282.4,218.5,123.1,118.1,165.9,245.8,285.4,1984.9,155.4,349.6,187.4,275.8,157.7
PY,398.8,336.7,164.8,375.0,161.3,370.5,168.4,439.8,123.8,300.4,205.8,137.3,134.9,71.4,383.4,162.9,404.5,338.7,102.7,145.2,343.4,394.1,401.6,138.2,115.3,315.7,215.8,353.5,77.8,238.4,171.2,345.0,307.3,285.0,90.9,382.8,363.1,387.4,369.1,182.1,223.2,148.6,101.5,413.9,364.6,384.9,320.1,378.4,112.1,176.5,416.5,162.0,256.2,440.8,145.2,316.3,154.2,327.3,74.4,159.0,328.4,139.5,97.2,0.0,116.9,97.2,115.8,171.2,88.7,370.3,370.9,59.9,335.6,64.5,191.9,89.1,297.7,230.8,147.3,297.2,350.9,238.5,185.3,187.9,79.6,152.0,310.6,355.5,2049.7,122.2,414.4,257.5,340.6,128.8
QZ,431.8,335.2,47.8,408.0,204.5,403.5,268.3,467.1,203.8,343.6,88.8,20.3,63.1,62.3,426.6,46.4,437.5,371.7,187.5,66.2,386.6,437.3,449.8,21.2,195.3,358.9,259.0,381.2,114.5,108.8,54.2,378.0,340.3,322.9,105.3,415.8,396.1,418.6,412.3,65.1,127.1,98.9,70.1,446.9,392.3,438.6,353.1,421.6,172.7,232.5,443.4,205.2,96.4,453.6,176.1,349.3,272.1,370.5,90.4,42.0,361.4,103.2,160.3,125.7,0.0,159.1,130.6,294.8,33.7,423.2,408.8,142.2,378.8,132.6,89.0,149.2,296.8,256.6,44.2,330.2,383.9,121.2,68.3,231.1,53.5,55.0,353.8,383.2,2082.7,39.1,447.4,295.4,373.6,51.0
RP,334.0,289.9,198.0,310.2,96.5,305.7,116.3,369.3,77.0,235.6,239.0,170.5,145.6,104.6,318.6,173.6,339.7,273.9,91.3,155.9,278.6,329.3,336.8,171.4,68.5,250.9,151.0,283.4,66.4,282.3,204.4,280.2,242.5,214.9,79.5,318.0,298.3,320.8,304.3,215.3,272.4,155.4,134.7,349.1,294.5,320.1,255.3,313.6,47.3,111.7,346.4,97.2,246.6,353.8,84.5,251.5,102.1,262.5,88.3,192.2,263.6,150.2,0.0,65.7,150.1,0.0,125.8,124.4,121.9,305.5,300.8,41.2,270.8,74.3,235.8,11.4,250.9,212.6,180.5,232.4,286.1,282.4,218.5,123.1,118.1,165.9,245.8,285.4,1984.9,155.4,349.6,187.4,275.8,157.7
RV,333.0,306.7,150.9,309.2,105.7,304.7,169.5,368.3,175.9,244.8,191.9,123.4,85.9,57.5,327.8,113.9,338.7,272.9,88.7,96.2,287.8,338.5,351.0,124.3,175.0,260.1,160.2,282.4,50.1,204.8,157.3,279.2,241.5,224.1,40.9,317.0,297.3,321.6,313.5,168.2,194.9,43.5,87.6,348.1,293.5,339.8,254.3,322.8,101.7,120.9,345.4,106.4,199.5,363.0,77.3,250.5,173.3,271.7,28.7,145.1,262.6,90.5,149.2,106.5,103.0,149.2,0.0,195.6,74.8,324.4,310.0,75.5,280.0,73.6,157.5,160.7,267.7,243.3,133.4,231.4,285.1,204.1,171.4,132.3,79.5,106.2,255.0,284.4,1983.9,108.3,348.6,196.6,274.8,98.0
SZ,304.4,165.0,313.2,271.6,94.1,267.5,58.8,360.9,47.2,184.4,374.2,269.3,231.8,203.4,267.4,259.8,301.1,235.3,158.8,242.1,227.4,278.1,290.6,270.2,55.7,199.7,58.5,244.8,133.9,304.4,307.3,241.6,203.9,115.5,147.0,279.4,259.7,284.0,253.1,297.5,294.5,222.9,226.2,322.4,256.3,279.8,216.7,262.4,132.8,74.6,307.8,93.4,322.2,265.7,122.5,212.9,22.6,211.3,218.9,309.4,225.0,236.4,132.4,183.8,248.9,132.4,193.3,0.0,220.7,264.0,249.6,108.7,219.6,159.3,257.9,144.1,126.0,97.7,279.1,193.8,247.5,304.5,335.7,86.0,234.3,251.9,194.6,247.2,1946.3,254.2,320.0,136.2,237.2,243.9
TL,383.1,301.4,76.0,359.3,155.8,354.8,202.9,418.4,170.0,294.9,117.0,48.5,57.4,28.5,377.9,74.6,388.8,323.0,127.1,94.4,337.9,388.6,401.1,49.4,161.5,310.2,210.3,332.5,80.7,137.0,82.4,329.3,291.6,274.2,71.5,367.1,347.4,369.9,363.6,93.3,127.6,127.1,36.3,398.2,343.6,389.9,304.4,372.9,138.9,183.8,394.7,156.5,124.6,419.8,127.4,300.6,195.1,321.8,56.6,70.2,312.7,97.5,126.5,91.9,28.1,125.3,98.0,217.8,0.0,374.5,360.1,108.4,330.1,98.8,106.2,115.4,263.0,222.8,58.5,281.5,335.2,149.4,96.5,182.4,19.7,83.2,305.1,334.5,2034.0,33.4,398.7,246.7,324.9,45.3
UL,40.3,236.7,455.3,196.1,220.0,191.6,269.1,96.4,275.5,131.8,516.3,436.8,399.3,399.1,49.4,427.3,67.7,129.7,368.1,409.6,47.0,60.1,72.6,457.8,284.0,75.0,198.9,52.1,343.2,446.5,449.4,48.9,73.6,175.8,356.3,79.3,43.9,117.6,10.8,439.6,420.6,343.3,368.3,58.3,63.2,18.0,59.9,24.7,344.3,233.3,90.7,219.3,464.3,214.5,248.4,125.3,272.9,63.4,342.1,451.5,80.2,357.4,323.9,387.8,416.4,325.1,338.0,253.4,388.2,0.0,31.6,316.1,67.5,369.5,400.0,335.4,198.3,203.6,474.8,83.8,107.3,446.6,477.8,193.2,376.4,419.6,116.0,141.2,1917.0,421.7,55.9,129.1,84.8,411.4
UZ,82.0,253.3,465.6,214.9,195.6,210.4,244.7,138.8,251.1,107.4,480.9,412.4,374.9,346.5,17.7,402.9,109.4,184.1,343.7,385.2,22.6,28.4,40.9,413.3,259.6,50.6,174.5,93.8,318.8,456.8,459.7,90.6,104.0,131.3,331.9,79.2,53.7,157.3,30.7,449.9,446.9,318.9,378.6,100.0,104.9,47.1,90.3,48.5,252.0,180.4,133.2,194.9,474.6,208.1,224.0,195.4,248.5,39.0,317.7,461.8,80.9,376.7,299.5,368.7,392.0,299.5,313.6,229.2,363.8,41.6,0.0,291.7,91.3,344.2,410.3,311.0,214.3,213.9,422.4,114.2,177.6,456.9,368.3,168.8,360.0,395.2,97.8,195.6,1947.4,397.3,97.6,104.7,115.2,387.0
