from_stop,AA,AS,AX,BG,BI,BJ,BK,BL,BX,CE,CH,CJ,CL,DE,EA,EL,EM,EQ,ER,EU,EW,FC,FY,GA,GD,GL,HA,HP,IM,IO,KI,KU,KX,LJ,LW,MD,MH,MM,MN,MO,MP,NA,NK,NM,NN,NP,NQ,NT,OB,OE,PE,PG,PM,PO,PP,QA,QF,QM,RD,RG,RK,RW,SJ,SY,TH,TL,TP,TU,UK,UV,UX,VB,VC,VJ,VK,VL,VM,VV,VX,WD,WH,WM,XK,XM,XP,YK,YL,YV,ZB,ZD,ZO,ZR
MH,439.4,458.7,450.0,392.6,240.0,459.7,459.3,500.0,387.7,504.6,405.4,417.1,258.7,475.3,415.0,432.6,451.6,265.8,343.3,138.3,364.2,432.2,501.8,114.8,459.6,462.6,56.6,130.5,32.9,77.5,239.9,130.0,399.0,384.5,384.4,489.0,0.0,120.4,475.9,273.8,318.9,340.7,413.3,402.2,245.1,420.6,298.1,452.6,440.6,258.4,451.0,467.5,340.0,433.3,114.9,388.0,377.7,395.2,448.0,223.0,376.4,406.6,435.0,340.6,429.0,370.1,162.0,328.1,416.7,134.5,417.7,438.9,335.6,534.4,455.9,1088.7,447.7,462.5,342.4,443.6,488.8,485.6,377.5,481.0,243.3,440.6,374.9,439.7,466.9,150.6,398.8,84.2
MM,429.3,448.6,439.9,382.5,229.9,449.6,449.2,489.9,377.6,494.5,395.3,407.0,214.3,465.2,404.9,422.5,441.5,221.4,333.2,17.8,354.1,422.1,491.7,39.2,449.5,452.5,114.2,10.1,141.2,53.8,229.8,54.4,388.9,374.4,374.3,478.9,130.7,0.0,465.8,229.4,308.8,330.6,403.2,392.1,235.0,410.5,288.0,449.4,430.5,214.0,440.9,457.4,329.9,423.2,5.8,377.9,367.6,385.1,437.9,178.6,366.3,396.5,424.9,330.5,418.9,360.0,86.4,318.0,406.6,58.9,407.6,428.8,325.5,524.3,445.8,1078.6,437.6,452.4,332.3,433.5,478.7,475.5,367.4,470.9,198.9,430.5,364.8,429.6,456.8,43.2,388.7,102.7
MN,316.4,299.9,130.0,101.8,523.7,299.3,312.0,330.9,619.5,310.9,191.9,332.8,663.8,412.2,256.0,273.6,339.2,670.9,587.1,578.2,608.0,355.5,342.8,531.8,455.8,191.2,529.6,587.7,536.7,576.7,513.5,544.0,293.5,627.9,290.0,404.3,564.9,580.1,0.0,677.6,559.0,519.5,327.7,130.4,518.7,151.5,541.9,252.1,329.4,642.9,299.2,451.3,582.1,258.5,574.6,179.2,621.1,310.9,264.3,618.0,380.2,321.0,324.7,584.0,423.6,612.2,577.3,571.5,419.2,548.5,135.8,294.5,577.7,852.9,392.8,931.1,322.3,446.3,585.8,358.0,404.5,479.5,381.3,322.0,648.8,281.6,618.3,433.6,44.1,565.3,192.5,555.9
MO,500.7,523.1,511.3,453.9,301.3,519.0,518.2,561.3,447.5,566.8,466.2,478.4,32.1,536.6,476.3,493.9,512.9,84.8,404.6,228.3,425.5,493.5,563.1,180.6,520.9,523.9,211.7,236.5,228.9,217.9,301.2,194.1,460.3,445.8,445.7,550.3,247.0,228.9,535.0,0.0,374.0,402.0,474.6,463.5,306.4,481.9,359.4,513.9,501.9,95.1,512.3,528.8,401.3,494.6,223.4,449.3,439.0,456.5,509.3,67.9,437.7,467.9,496.3,401.9,492.7,431.4,226.1,389.4,485.9,198.6,479.0,498.0,396.9,595.7,517.2,1150.0,509.0,523.8,403.7,504.9,549.6,546.9,438.8,542.3,108.2,501.9,436.2,501.0,528.2,210.9,460.1,225.4
MP,429.8,455.5,437.5,386.3,307.7,448.7,449.7,490.4,160.8,493.0,395.8,407.5,391.6,465.7,405.4,423.0,442.0,398.7,96.4,304.4,141.7,419.7,492.2,259.6,453.3,453.0,257.4,315.5,271.7,296.9,304.7,273.1,392.7,162.0,378.1,479.4,292.7,307.9,463.4,403.8,0.0,240.8,400.8,392.6,312.8,412.1,48.3,440.1,431.0,360.2,441.4,457.9,56.9,420.8,302.4,379.7,155.2,385.6,441.7,353.0,366.8,400.3,425.4,93.7,418.9,144.7,305.1,95.6,413.0,280.9,408.1,428.1,34.8,499.8,446.3,1079.1,438.1,450.0,119.9,434.0,479.2,476.0,367.9,471.4,376.2,431.0,79.0,430.1,454.4,293.2,386.3,285.0
NA,398.9,421.3,409.5,352.1,274.1,417.2,416.4,459.5,278.0,465.0,364.4,376.6,416.9,434.8,374.5,392.1,416.1,424.0,235.1,332.6,256.0,391.7,461.3,284.9,419.1,422.1,282.7,340.8,299.9,322.2,274.0,298.4,358.5,276.3,343.9,448.5,318.0,333.2,423.1,432.0,210.7,0.0,372.8,361.7,279.2,384.1,189.9,419.0,400.1,388.4,410.5,427.0,231.8,392.8,327.7,347.5,269.5,354.7,407.5,381.2,335.9,366.1,394.5,232.4,390.9,261.9,330.4,219.9,376.2,302.9,377.2,396.2,227.4,519.3,415.4,1048.2,407.2,422.0,234.2,403.1,448.3,445.1,337.0,440.5,401.5,400.1,266.7,399.2,426.4,315.2,358.3,296.4
NK,65.2,266.0,254.2,214.8,383.8,179.5,80.5,143.7,489.7,309.7,209.6,18.8,523.9,197.9,119.5,91.9,82.4,531.0,449.3,439.6,467.7,40.0,223.6,391.9,241.1,284.8,389.7,447.8,406.9,429.2,383.7,405.4,203.2,488.0,20.4,190.0,425.0,440.2,263.4,539.0,416.2,389.7,0.0,224.4,388.9,242.8,401.6,241.0,66.4,495.4,255.2,247.1,443.5,255.5,434.7,210.2,481.2,59.1,248.0,488.2,214.7,32.5,60.8,444.1,219.4,473.6,437.4,431.6,232.7,409.9,239.9,69.2,439.1,713.0,178.5,1027.9,70.6,242.1,445.9,69.5,189.8,265.2,213.6,202.8,508.5,162.4,478.4,219.3,257.9,426.7,203.0,424.7
NM,194.0,331.3,113.0,28.4,432.8,178.3,189.2,218.6,540.2,344.5,164.4,236.9,572.9,326.5,133.6,151.2,216.4,580.0,495.8,488.6,516.7,213.8,220.4,440.9,367.8,60.3,438.7,496.8,445.7,478.2,432.7,454.4,266.6,537.0,227.2,318.6,474.0,489.2,175.2,588.0,471.4,438.7,262.4,0.0,437.9,18.3,450.6,147.8,207.0,572.6,323.6,375.7,492.5,128.5,483.7,56.8,530.2,223.8,143.2,537.2,289.3,261.4,212.4,493.1,345.6,522.6,486.4,480.6,329.6,458.9,15.4,172.1,488.1,762.0,307.1,955.5,199.9,370.7,494.9,224.4,318.4,393.8,290.4,199.6,557.5,159.2,527.4,347.9,166.2,475.0,157.8,466.3
NN,391.8,414.2,402.4,345.0,143.9,410.7,409.3,452.4,401.2,457.9,357.3,369.5,359.4,427.7,367.4,385.0,409.0,366.5,360.8,275.1,379.2,384.6,454.2,227.4,443.9,416.8,225.2,283.3,242.4,264.7,47.9,240.9,351.4,399.5,336.8,441.4,260.5,275.7,416.0,374.5,330.6,306.1,365.7,354.6,0.0,373.0,313.1,405.0,393.0,330.9,403.4,419.9,355.0,385.7,270.2,340.4,392.7,347.6,400.4,323.7,328.8,359.0,387.4,355.6,383.8,385.1,272.9,343.1,369.1,245.4,370.1,389.1,350.6,549.4,408.3,1041.1,400.1,414.9,357.4,396.0,440.7,438.0,329.9,433.4,344.0,393.0,389.9,392.1,419.3,257.7,351.2,252.8
NP,226.1,363.9,141.4,60.5,464.9,208.7,223.4,247.0,568.2,377.5,196.8,269.0,605.0,358.6,165.7,183.3,248.8,612.1,528.2,517.0,549.1,242.2,252.5,473.0,402.0,68.8,470.8,528.9,485.4,512.4,461.1,482.8,295.0,569.1,256.7,350.7,506.1,521.3,207.6,616.4,497.6,467.1,290.8,32.0,466.3,0.0,480.1,184.2,239.1,576.8,355.7,404.1,520.9,156.9,515.8,89.8,562.3,255.9,171.6,569.3,321.4,289.8,240.8,525.2,380.1,551.0,518.5,512.7,367.0,487.3,19.2,202.9,516.5,794.1,339.2,987.6,232.0,399.1,527.0,256.8,350.8,425.9,322.5,231.7,589.9,191.3,559.5,380.0,194.6,505.2,189.9,498.4
NQ,397.4,419.8,408.0,350.6,275.3,416.3,417.3,458.0,125.5,463.5,362.9,375.1,353.4,433.3,373.0,390.6,409.6,360.5,45.1,269.1,88.6,390.2,459.8,221.4,417.6,420.6,219.2,277.3,236.4,258.7,275.2,234.9,357.0,123.8,342.4,447.0,254.5,269.7,421.6,368.5,50.5,205.5,371.3,360.2,280.4,384.4,0.0,417.5,398.6,324.9,409.0,425.5,74.9,391.3,264.2,346.0,117.0,353.2,406.0,317.7,334.4,364.6,393.0,53.4,389.4,109.4,266.9,44.3,382.6,239.4,375.7,394.7,70.5,461.6,413.9,1046.7,405.7,420.5,81.7,401.6,446.3,443.6,335.5,439.0,338.0,398.6,109.8,397.7,424.9,256.2,356.8,232.9
NT,258.3,262.3,188.1,128.2,426.9,238.7,257.6,279.0,519.9,306.0,130.6,236.0,554.1,302.5,194.0,211.6,257.6,561.2,489.9,482.7,483.0,238.2,280.8,422.1,388.6,198.2,419.9,490.9,437.1,459.4,426.8,448.5,199.5,518.2,203.3,294.6,455.2,483.3,257.3,569.2,446.4,419.9,232.2,137.8,419.1,162.1,431.8,0.0,259.5,525.6,238.6,364.6,486.6,93.7,464.9,127.1,524.3,201.2,11.5,518.4,270.5,225.5,241.0,487.2,324.0,516.7,480.5,461.8,310.8,453.0,153.3,244.9,469.3,743.2,296.0,1015.9,266.6,346.7,489.0,262.5,293.9,369.8,271.6,260.0,549.2,225.5,521.5,323.9,245.9,452.4,136.9,433.6
OB,48.4,288.6,262.7,201.2,409.5,174.4,18.6,146.1,516.9,334.5,235.3,49.9,549.6,237.2,75.4,48.4,70.8,556.7,472.5,465.3,493.4,45.0,216.5,417.6,278.5,271.2,415.4,473.5,422.4,454.9,409.4,431.1,228.9,513.7,93.6,229.3,450.7,465.9,241.9,564.7,448.1,415.4,75.4,210.8,414.6,229.2,427.3,261.2,0.0,549.3,280.9,286.4,469.2,241.9,460.4,196.6,506.9,54.6,256.6,513.9,254.0,71.4,5.6,469.8,256.3,499.3,463.1,457.3,272.0,435.6,226.3,55.0,464.8,738.7,217.8,1002.9,7.0,281.4,471.6,78.8,229.1,304.5,252.9,195.7,534.2,155.3,504.1,258.6,232.9,451.7,228.7,443.0
OE,496.1,518.5,506.7,449.3,296.7,514.4,513.6,556.7,442.9,562.2,461.6,473.8,86.4,532.0,471.7,489.3,513.3,106.1,400.0,223.7,420.9,488.9,558.5,176.0,516.3,521.1,207.1,231.9,224.3,213.3,296.6,189.5,455.7,441.2,441.1,545.7,242.4,224.3,520.3,105.7,369.4,397.4,470.0,458.9,301.8,481.3,354.8,516.2,497.3,0.0,507.7,524.2,396.7,490.0,218.8,448.2,434.4,451.9,504.7,45.3,433.1,463.3,491.7,397.3,488.1,426.8,221.5,384.8,481.3,194.0,474.4,493.4,392.3,591.1,512.6,1145.4,504.4,519.2,399.1,500.3,545.5,542.3,434.2,537.7,13.0,497.3,431.6,496.4,523.6,206.3,455.5,234.7
PE,276.0,7.6,243.2,247.2,444.6,314.3,295.9,326.7,552.0,181.2,198.6,253.7,584.7,333.1,269.6,296.0,288.2,591.8,507.6,500.4,528.5,268.8,356.4,452.7,374.4,317.2,450.5,508.6,457.5,490.0,444.5,466.2,127.2,548.8,221.0,325.2,485.8,501.0,330.5,599.8,483.2,450.5,249.9,256.8,449.7,275.2,462.4,230.0,277.2,584.4,0.0,382.3,504.3,275.9,495.5,242.6,542.0,231.8,237.0,549.0,301.1,243.2,271.6,504.9,352.2,534.4,498.2,492.4,341.4,470.7,272.3,275.5,499.9,773.8,313.7,1006.3,284.3,377.3,506.7,280.2,325.0,400.4,302.2,335.6,569.3,295.2,539.2,354.5,321.5,486.8,192.0,478.1
PG,265.0,370.2,358.4,319.0,454.1,297.9,264.2,262.1,560.0,413.9,313.8,242.7,594.2,129.9,279.9,260.5,282.2,601.3,517.1,509.9,538.0,238.0,342.0,462.2,66.0,389.0,460.0,518.1,477.2,499.5,454.0,475.7,307.4,558.3,210.0,143.6,495.3,510.5,385.3,609.3,489.4,460.0,238.9,328.6,459.2,352.8,471.9,358.1,266.2,565.7,359.4,0.0,513.8,359.7,505.0,314.4,551.5,220.8,352.2,558.5,119.7,232.2,260.6,514.4,124.4,543.9,507.7,501.9,137.7,480.2,344.1,240.0,509.4,783.3,110.5,1146.3,274.4,4.5,516.2,269.2,142.9,39.9,118.6,321.2,578.8,280.8,548.7,36.4,376.3,496.3,307.2,473.7
PM,453.8,476.2,464.4,407.0,331.7,472.7,473.7,514.4,187.7,519.9,419.8,431.5,415.6,489.7,429.4,447.0,466.0,422.7,120.4,331.3,165.7,446.6,516.2,283.6,505.9,477.0,281.4,339.5,298.6,320.9,331.6,297.1,413.4,186.0,398.8,503.4,316.7,331.9,486.8,430.7,73.8,267.7,427.7,416.6,336.8,435.0,75.2,467.0,455.0,387.1,465.4,481.9,0.0,447.7,326.4,402.4,179.2,409.6,462.4,379.9,390.8,421.0,449.4,117.7,445.8,171.6,329.1,119.6,439.0,301.6,432.1,451.1,73.7,523.8,470.3,1103.1,462.1,476.9,143.9,458.0,502.7,500.0,391.9,495.4,400.2,455.0,34.8,454.1,481.3,313.9,413.2,316.4
PO,236.5,296.7,194.9,110.3,461.3,218.8,231.7,261.1,567.2,340.4,177.9,270.4,601.4,349.8,176.1,193.7,258.9,608.5,524.3,517.1,545.2,256.3,262.9,469.4,391.1,180.3,467.2,525.3,484.4,506.7,461.2,482.9,233.9,565.5,237.7,341.9,502.5,517.7,224.7,616.5,493.7,467.2,266.6,119.9,466.4,138.3,479.1,122.0,249.5,572.9,285.9,399.0,521.0,0.0,512.2,105.7,558.7,248.5,110.5,565.7,317.8,259.9,254.9,521.6,371.3,551.1,514.9,509.1,358.1,487.4,135.4,214.6,516.6,790.5,330.4,998.0,242.4,394.0,523.4,266.9,341.7,417.1,318.9,242.1,586.0,201.7,555.9,371.2,228.0,499.7,171.3,480.9
PP,423.5,442.8,434.1,376.7,224.1,443.8,443.4,484.1,371.8,488.7,389.5,401.2,208.5,459.4,399.1,416.7,435.7,215.6,327.4,23.3,348.3,416.3,485.9,33.4,443.7,446.7,108.4,15.6,135.4,48.0,224.0,48.6,383.1,368.6,368.5,473.1,124.9,5.5,460.0,223.6,303.0,324.8,397.4,386.3,229.2,404.7,282.2,436.7,424.7,208.2,435.1,451.6,324.1,417.4,0.0,372.1,361.8,379.3,432.1,172.8,360.5,390.7,419.1,324.7,413.1,354.2,80.6,312.2,400.8,53.1,401.8,423.0,319.7,518.5,440.0,1072.8,431.8,446.6,326.5,427.7,472.9,469.7,361.6,465.1,193.1,424.7,359.0,423.8,451.0,48.7,382.9,96.9
QA,203.7,344.1,134.2,49.6,442.5,186.6,201.4,226.8,548.4,353.6,189.6,246.6,582.6,336.2,143.3,160.9,228.6,589.7,508.0,496.8,528.9,226.0,230.1,450.6,380.0,123.6,448.4,506.5,465.6,490.4,440.9,462.6,274.8,546.7,235.4,328.3,483.7,498.9,195.7,596.2,477.8,448.4,272.1,60.7,450.1,81.6,458.8,162.9,216.7,552.6,333.3,385.4,504.7,136.7,493.4,0.0,539.9,233.5,152.9,545.4,299.0,273.6,224.6,502.8,356.2,530.8,496.1,490.3,346.6,467.1,74.7,183.1,491.4,771.7,316.8,965.2,209.6,378.9,504.6,232.6,330.6,403.5,300.1,209.3,569.7,168.9,537.1,357.6,187.4,483.9,179.0,476.0
QF,482.8,502.1,493.4,436.0,314.3,503.1,502.7,543.4,34.9,548.0,448.8,460.5,390.2,518.7,458.4,476.0,495.0,397.3,149.4,305.9,53.5,475.6,545.2,258.2,503.0,506.0,256.0,314.1,263.0,295.5,314.2,271.7,442.4,6.7,427.8,532.4,291.3,306.5,519.3,405.3,125.0,242.3,456.7,445.6,319.4,464.0,104.2,496.0,484.0,389.9,494.4,510.9,146.1,476.7,301.0,431.4,0.0,438.6,491.4,354.5,419.8,450.0,478.4,146.7,472.4,39.6,303.7,103.8,460.1,276.2,461.1,482.3,141.7,498.4,499.3,1041.3,491.1,505.9,63.3,487.0,532.2,529.0,420.9,524.4,374.8,484.0,181.0,483.1,510.3,292.3,442.2,283.6
QM,75.4,245.2,236.5,197.1,366.1,171.7,67.8,133.9,473.5,291.1,191.9,53.1,506.2,180.2,91.7,64.1,97.8,513.3,429.1,421.9,450.0,59.6,213.8,374.2,221.5,267.1,372.0,430.1,379.0,411.5,366.0,387.7,185.5,470.3,50.6,172.3,407.3,422.5,257.1,521.3,404.7,372.0,78.6,206.7,371.2,225.1,383.9,236.2,76.6,505.9,237.5,229.4,425.8,237.8,417.0,192.5,463.5,0.0,230.3,470.5,197.0,72.8,71.0,426.4,199.3,455.9,419.7,413.9,215.0,392.2,222.2,43.6,421.4,695.3,160.8,1018.1,78.5,224.4,428.2,105.8,172.1,247.5,195.9,193.0,490.8,152.6,460.7,201.6,248.1,408.3,185.3,399.6
RD,251.4,255.4,181.2,122.6,420.0,233.1,244.0,273.4,525.9,299.1,136.6,229.1,560.1,308.5,188.4,206.0,268.6,567.2,483.0,475.8,489.0,244.2,275.2,428.1,381.7,192.6,425.9,484.0,443.1,465.4,419.9,441.6,192.6,524.2,196.4,300.6,461.2,476.4,237.0,575.2,458.6,425.9,225.3,132.2,425.1,154.3,437.8,11.5,252.6,531.6,244.6,357.7,479.7,88.1,470.9,121.5,517.4,207.2,0.0,524.4,276.5,218.6,247.0,480.3,330.0,509.8,473.6,467.8,316.8,446.1,147.7,226.9,475.3,749.2,289.1,1010.3,259.7,352.7,482.1,255.6,299.9,375.8,277.6,254.4,544.7,214.0,514.6,329.9,240.3,458.4,130.0,460.9
RG,457.5,479.9,468.1,410.7,258.1,475.8,475.0,518.1,404.3,523.6,423.0,435.2,41.0,493.4,433.1,450.7,474.7,87.5,361.4,185.1,382.3,450.3,519.9,137.4,509.6,480.7,168.5,193.3,185.7,174.7,258.0,150.9,417.1,402.6,402.5,507.1,203.8,185.7,481.7,60.3,337.0,358.8,431.4,420.3,263.2,442.7,316.2,470.7,458.7,33.9,469.1,485.6,358.1,451.4,180.2,409.6,395.8,413.3,466.1,0.0,394.5,424.7,453.1,358.7,449.5,388.2,182.9,346.2,442.7,155.4,435.8,457.0,353.7,552.5,474.0,1106.8,465.8,480.6,360.5,461.7,506.9,503.7,395.6,499.1,57.5,458.7,393.0,457.8,485.0,171.5,416.9,203.5
RK,233.9,298.1,289.4,232.0,334.3,268.8,233.1,231.0,441.7,344.0,244.8,211.6,474.4,98.8,248.8,229.4,246.1,481.5,397.3,390.1,418.2,206.9,310.9,342.4,83.1,302.0,340.2,398.3,347.2,379.7,334.2,355.9,238.4,438.5,178.9,112.5,375.5,390.7,315.3,489.5,372.9,340.2,207.8,241.6,339.4,260.0,352.1,292.0,235.1,474.1,290.4,91.0,394.0,272.7,385.2,227.4,431.7,189.7,287.4,438.7,0.0,201.1,229.5,394.6,52.5,424.1,387.9,382.1,40.2,360.4,257.1,208.9,389.6,663.5,79.4,1020.8,243.3,86.0,396.4,238.1,112.3,109.1,1.1,290.1,459.0,249.7,428.9,63.2,306.3,376.5,238.2,367.8
RW,67.3,267.7,255.9,216.5,385.5,200.5,88.0,164.7,491.4,311.4,210.8,39.7,525.6,199.6,127.7,112.9,50.1,532.7,448.5,441.3,469.4,61.0,244.6,393.6,240.9,288.3,391.4,449.5,408.6,430.9,385.4,407.1,204.9,489.7,22.1,191.7,426.7,441.9,275.6,540.7,424.1,391.4,20.9,226.1,390.6,248.2,403.3,242.7,69.3,497.1,256.9,248.8,445.2,257.2,436.4,211.9,482.9,60.8,249.7,489.9,216.4,0.0,63.7,445.8,221.1,475.3,439.1,433.3,234.4,411.6,241.6,90.2,440.8,714.7,180.2,1048.9,76.4,243.8,447.6,36.9,191.0,266.9,215.3,223.8,520.7,183.4,480.1,221.0,278.9,427.7,204.7,426.4
SJ,42.8,286.1,268.3,206.8,403.9,178.0,24.2,143.1,509.8,329.8,229.2,44.3,544.0,218.0,81.0,54.0,65.2,551.1,466.9,459.7,472.9,39.4,222.1,412.0,291.2,276.8,409.8,467.9,427.0,449.3,403.8,425.5,223.3,508.1,88.0,210.1,445.1,460.3,235.2,559.1,442.5,409.8,69.8,216.4,409.0,234.8,421.7,266.8,5.6,515.5,275.3,267.2,463.6,247.5,454.8,202.2,501.3,49.0,262.2,508.3,234.8,65.8,0.0,464.2,239.5,493.7,457.5,451.7,261.6,430.0,231.9,60.6,459.2,733.1,198.6,1008.5,12.6,262.2,466.0,73.2,209.9,285.3,233.7,201.3,528.6,160.9,498.5,239.4,238.5,442.3,223.1,444.8
SY,393.1,412.4,403.7,346.3,271.0,413.4,413.0,453.7,169.3,458.3,359.1,370.8,411.1,429.0,368.7,386.3,405.3,418.2,28.1,326.8,145.8,385.9,455.5,279.1,413.3,416.3,276.9,335.0,283.9,316.4,270.9,292.6,352.7,166.1,338.1,442.7,312.2,327.4,429.6,426.2,96.1,225.0,367.0,355.9,276.1,374.3,41.1,406.3,394.3,410.8,404.7,421.2,117.2,387.0,321.9,341.7,159.3,348.9,401.7,375.4,330.1,360.3,388.7,0.0,382.7,151.7,324.6,71.5,370.4,297.1,371.4,392.6,112.8,498.5,409.6,1042.4,401.4,416.2,124.0,397.3,442.5,439.3,331.2,434.7,395.7,394.3,152.1,393.4,420.6,313.2,352.5,304.5
TH,250.0,355.2,343.4,278.4,380.7,282.9,249.2,247.1,486.6,398.9,298.8,227.7,520.8,114.9,264.9,245.5,267.2,527.9,443.7,436.5,464.6,223.0,327.0,388.8,99.2,348.4,386.6,444.7,401.3,426.1,380.6,402.3,292.4,484.9,195.0,128.6,421.9,437.1,358.0,535.9,416.0,386.6,223.9,288.0,385.8,306.4,398.5,338.4,251.2,492.3,344.4,107.1,440.4,319.1,431.6,273.8,478.1,205.8,333.8,485.1,46.3,217.2,245.6,441.0,0.0,470.5,434.3,428.5,64.3,406.8,303.5,225.0,436.0,709.9,95.5,1067.2,259.4,102.1,442.8,254.2,128.4,125.2,45.2,306.2,515.9,265.8,475.3,79.3,361.3,419.1,292.2,421.6
TL,478.2,500.6,488.8,431.4,309.7,496.5,495.7,538.8,71.1,544.3,443.7,455.9,385.6,514.1,453.8,471.4,490.4,392.7,144.8,301.3,32.1,471.0,540.6,253.6,498.4,501.4,251.4,309.5,268.6,290.9,309.6,267.1,437.8,69.4,423.2,527.8,286.7,301.9,512.5,400.7,114.2,237.7,452.1,441.0,314.8,459.4,99.6,491.4,479.4,357.1,489.8,506.3,141.5,472.1,296.4,426.8,62.6,434.0,486.8,349.9,415.2,445.4,473.8,142.1,470.2,0.0,299.1,99.2,463.4,271.6,456.5,475.5,137.1,493.8,494.7,1036.7,486.5,501.3,39.0,482.4,527.1,524.4,416.3,519.8,370.2,479.4,176.4,478.5,505.7,288.4,437.6,265.1
TP,435.5,454.8,446.1,388.7,236.1,455.8,455.4,496.1,383.8,500.7,401.5,413.2,220.5,471.4,411.1,428.7,447.7,227.6,339.4,49.0,360.3,428.3,497.9,67.1,455.7,458.7,164.8,57.2,153.5,104.4,236.0,41.9,395.1,380.6,380.5,485.1,181.3,67.9,472.0,235.6,315.0,336.8,409.4,398.3,241.2,416.7,294.2,448.7,436.7,220.2,447.1,463.6,336.1,429.4,73.7,384.1,373.8,391.3,444.1,184.8,372.5,402.7,431.1,336.7,425.1,366.2,0.0,324.2,412.8,37.4,413.8,435.0,331.7,530.5,452.0,1084.8,443.8,458.6,338.5,439.7,484.9,481.7,373.6,477.1,205.1,436.7,371.0,435.8,463.0,35.4,394.9,153.3
TU,435.0,454.3,445.6,388.2,312.9,455.3,454.9,495.6,114.9,500.2,401.0,412.7,361.7,470.9,410.6,428.2,447.2,368.8,67.1,277.4,91.4,427.8,497.4,229.7,455.2,458.2,227.5,285.6,234.5,267.0,312.8,243.2,394.6,111.7,380.0,484.6,262.8,278.0,471.5,376.8,91.4,213.8,408.9,397.8,318.0,416.2,37.5,448.2,436.2,361.4,446.6,463.1,112.5,428.9,272.5,383.6,104.9,390.8,443.6,326.0,372.0,402.2,430.6,75.4,424.6,97.3,275.2,0.0,412.3,247.7,413.3,434.5,108.1,469.9,451.5,1084.3,443.3,458.1,69.6,439.2,484.4,481.2,373.1,476.6,346.3,436.2,147.4,435.3,462.5,263.8,394.4,255.1
UK,262.9,326.5,314.7,264.0,365.6,296.4,262.1,260.0,465.5,376.0,276.1,240.6,505.7,127.8,277.8,258.4,275.1,512.8,428.6,421.4,449.5,229.9,339.9,373.7,114.0,333.3,371.5,429.6,388.7,411.0,365.5,387.2,269.7,469.8,208.6,141.5,406.8,422.0,343.1,514.8,398.7,371.5,236.8,272.9,370.7,292.4,384.1,317.3,264.1,477.9,321.7,120.0,425.3,298.0,416.5,259.4,463.0,218.7,312.7,464.0,31.2,224.1,258.5,425.9,77.9,449.4,419.2,413.4,0.0,392.4,288.4,236.4,420.9,694.8,108.4,1052.1,272.3,109.0,427.7,267.8,141.3,138.1,30.1,319.1,490.3,278.7,460.2,92.2,331.6,408.5,263.5,399.1
UV,398.0,420.4,408.6,351.2,198.6,416.9,417.9,458.6,344.8,464.1,363.5,375.7,183.0,433.9,373.6,391.2,410.2,190.1,304.4,29.6,322.8,390.8,460.4,29.6,450.1,421.2,127.3,37.8,126.2,66.9,198.5,4.5,357.6,343.1,343.0,447.6,143.8,48.5,422.2,198.1,274.2,299.3,371.9,360.8,203.7,385.0,256.7,418.1,399.2,154.5,409.6,426.1,298.6,391.9,54.3,346.6,336.3,353.8,406.6,147.3,335.0,365.2,393.6,299.2,390.0,328.7,27.4,286.7,384.1,0.0,376.3,395.3,294.2,493.0,414.5,1047.3,406.3,421.1,301.0,402.2,446.9,444.2,336.1,439.6,178.1,399.2,333.5,398.3,425.5,16.0,357.4,128.2
UX,209.5,349.9,128.5,43.9,448.3,192.4,204.7,234.1,554.2,360.9,179.9,252.4,588.4,342.0,149.1,166.7,226.7,595.5,513.8,504.1,532.2,229.3,235.9,456.4,415.2,44.8,454.2,512.3,471.4,493.7,448.2,469.9,282.1,552.5,242.7,334.1,489.5,504.7,178.4,603.5,480.7,454.2,277.9,15.4,453.4,32.1,466.1,163.3,222.5,559.9,339.1,391.2,508.0,144.0,499.2,72.3,545.7,239.3,158.7,552.7,304.8,276.9,227.9,508.6,363.5,538.1,501.9,496.1,345.1,474.4,0.0,187.6,503.6,777.5,322.6,971.0,215.4,386.2,510.4,239.9,333.4,409.3,305.9,215.1,573.0,174.7,542.9,363.4,181.7,490.5,173.3,481.8
VB,82.1,300.0,239.9,176.0,411.3,131.3,26.3,93.5,516.0,341.3,241.2,63.4,551.4,185.7,49.2,21.6,105.5,558.5,475.3,465.9,496.2,39.2,174.5,419.4,228.9,246.0,417.2,475.3,433.2,456.7,410.0,431.7,234.8,515.5,99.9,177.8,452.5,467.7,215.6,565.3,446.6,416.0,88.9,184.6,416.4,205.8,427.9,236.0,43.1,521.7,287.9,233.8,472.0,215.7,462.2,172.7,508.7,50.3,229.2,514.5,202.5,113.4,48.7,471.6,206.1,499.9,464.9,459.1,228.2,436.2,200.1,0.0,465.4,740.5,166.3,978.8,36.0,228.8,473.4,112.5,176.5,253.0,201.4,153.7,537.0,113.3,505.9,207.1,207.7,453.0,234.6,444.8
