from_stop,AF,AQ,AR,BZ,CC,CE,CF,CM,CR,DP,DS,DU,EG,ER,ES,FO,FP,FS,FW,FY,FZ,GK,GP,GR,HA,HB,HU,IS,IV,JW,JZ,KC,KM,KR,LG,LU,ML,MO,MW,ND,NI,NM,NN,OC,PI,PP,PQ,PU,QT,RA,RE,SV,SZ,TK,TO,UD,UH,VK,VP,VQ,VS,WL,XH,XJ,XK,XR,YC,YL,YN,YS,YW,YZ,ZF,ZJ,ZL,ZQ,ZW
OC,373.2,337.4,366.7,386.9,416.0,281.3,364.1,357.4,340.5,201.8,707.2,349.1,356.2,289.7,277.9,363.5,726.3,356.5,302.8,129.5,665.6,687.8,676.2,248.8,237.3,720.8,366.3,213.1,200.7,462.1,323.1,2163.8,698.0,80.9,380.5,248.2,198.3,331.3,182.1,755.6,470.7,351.3,344.7,0.0,160.5,303.2,490.5,294.0,260.0,289.0,354.0,672.5,346.9,363.2,336.7,343.3,634.4,743.4,268.1,340.8,328.5,393.8,283.5,770.3,635.8,747.1,274.8,339.8,276.3,724.3,319.7,389.3,258.5,347.1,120.6,711.6,399.9
PI,228.9,199.0,228.3,257.1,277.6,142.9,225.7,219.0,202.1,63.4,571.9,210.7,220.9,154.4,139.5,225.1,587.9,218.1,164.4,40.7,527.2,552.5,540.9,110.4,102.0,585.5,227.9,74.7,62.3,323.7,184.7,2025.4,562.7,109.9,245.2,112.9,100.8,192.9,18.5,620.3,359.6,212.9,206.3,178.1,0.0,167.9,352.1,155.6,121.6,150.6,236.2,516.9,211.6,227.9,198.3,204.9,496.0,605.0,129.7,202.4,186.7,258.5,148.2,631.9,497.4,608.7,136.4,194.5,141.0,585.9,181.3,250.9,120.1,211.8,52.6,576.3,261.5
PP,197.7,184.8,65.4,224.4,265.6,123.9,242.6,88.3,131.6,162.4,559.9,201.3,203.6,205.1,162.1,226.5,576.4,265.4,329.7,240.1,515.2,521.3,480.2,209.4,265.9,554.3,96.0,262.3,234.4,292.5,177.7,1963.4,550.7,250.1,233.2,145.2,259.4,187.8,263.1,589.1,301.1,137.2,198.1,363.5,197.2,0.0,320.9,104.7,153.9,164.9,225.4,485.7,226.1,146.0,211.2,219.0,484.0,608.3,228.7,216.7,108.2,202.0,226.5,611.4,485.4,577.5,139.0,132.0,173.3,544.5,308.1,194.4,170.8,241.6,192.8,545.1,185.8
PQ,169.1,191.3,397.9,217.8,209.8,347.7,327.0,310.9,336.2,253.0,200.2,185.8,170.1,391.8,385.9,161.2,216.2,179.3,228.6,289.4,155.5,200.3,169.2,302.7,364.6,233.3,319.8,267.7,342.8,31.2,382.3,2117.3,210.5,340.7,161.6,253.7,340.4,245.5,324.2,268.1,53.9,361.0,208.3,412.8,305.7,328.7,0.0,328.5,280.3,232.0,235.6,162.4,412.8,368.6,262.1,264.2,124.3,233.3,262.5,219.5,316.2,388.7,428.7,260.2,125.7,237.0,344.9,338.0,281.8,214.2,211.7,399.0,357.5,161.2,301.3,224.1,409.6
PU,220.4,206.5,125.3,260.4,268.1,29.9,314.8,111.4,53.2,152.5,519.8,223.0,225.3,105.4,66.9,239.3,578.9,287.1,253.5,141.6,490.0,535.7,501.9,199.5,166.2,576.0,115.7,163.8,135.9,384.2,53.7,1985.1,496.1,210.8,235.7,202.0,136.4,209.5,167.2,638.7,360.0,86.7,200.6,279.0,146.1,126.7,362.1,0.0,210.7,254.5,248.5,514.3,102.1,88.1,232.9,221.5,486.5,630.0,218.8,227.5,63.5,138.1,126.8,613.9,467.7,577.9,34.2,38.8,230.1,547.0,270.4,124.7,71.1,300.9,153.5,571.1,135.3
QT,164.3,150.4,46.4,204.3,212.0,175.0,331.3,138.2,154.8,251.1,463.7,166.9,169.2,237.0,222.8,183.2,522.8,231.0,295.3,269.6,433.9,479.6,445.8,298.1,297.8,519.9,147.1,247.9,285.5,328.1,209.6,1944.6,440.0,338.8,179.6,233.9,286.0,153.4,316.8,582.6,303.9,188.3,144.5,407.0,295.7,191.0,306.0,155.8,0.0,253.6,192.4,458.2,258.0,189.7,176.8,165.4,430.4,573.9,317.4,234.4,140.1,233.9,258.4,557.8,411.6,521.8,190.1,158.4,19.4,490.9,273.7,226.3,202.7,207.2,281.5,515.0,236.9
RA,111.9,48.3,177.0,151.9,159.6,247.8,100.2,211.0,227.6,124.6,411.3,60.0,70.2,269.0,263.7,192.1,470.4,102.3,131.5,143.1,381.5,427.2,393.4,170.5,236.2,467.5,219.9,121.4,196.5,275.7,282.4,2017.4,387.6,212.3,127.2,128.6,197.0,145.6,180.5,530.2,251.5,261.1,108.4,280.5,159.4,168.1,253.6,228.6,137.3,0.0,156.3,405.8,330.8,262.5,162.2,164.3,378.0,521.5,130.3,51.7,212.9,312.5,282.4,505.4,359.2,469.4,262.9,231.2,156.7,438.5,143.7,299.1,234.7,174.2,155.0,458.3,309.7
RE,88.9,118.6,329.7,85.3,114.4,289.2,250.9,281.5,291.7,232.2,425.1,113.1,97.4,323.6,343.0,121.5,454.5,102.6,166.9,250.7,393.8,419.1,394.1,241.0,296.4,452.1,247.1,229.0,304.1,190.3,350.3,2072.6,429.3,272.5,99.3,185.5,301.7,92.3,285.5,486.9,198.9,279.9,81.9,374.1,267.0,290.0,218.7,255.8,231.3,159.3,0.0,400.7,344.6,264.8,63.3,151.3,362.6,471.6,200.8,160.9,243.5,325.5,390.0,498.5,364.0,475.3,276.7,306.3,250.7,452.5,145.3,317.9,289.3,162.4,262.6,429.5,328.5
SV,300.2,322.4,529.0,348.9,352.7,478.8,458.1,442.0,467.3,402.0,98.4,316.9,295.1,534.7,517.0,286.2,120.5,310.4,359.7,425.7,59.8,79.0,41.8,433.8,513.6,112.0,450.9,398.8,473.9,162.3,513.4,2248.4,43.8,489.7,304.5,396.6,492.8,376.6,455.3,146.8,185.0,492.1,344.6,543.9,430.7,453.7,148.9,459.6,411.4,363.1,366.7,0.0,555.7,493.6,393.2,395.3,67.0,137.6,393.6,350.6,447.3,546.9,553.7,164.5,61.7,141.3,503.1,469.1,424.7,118.5,342.8,530.1,506.5,304.1,432.4,114.1,540.7
SZ,299.1,286.2,166.8,325.8,347.8,99.4,373.5,186.3,107.7,211.2,642.1,302.7,376.8,53.1,54.7,324.9,658.6,365.9,312.2,200.3,609.4,622.7,611.1,258.2,111.7,655.7,195.4,222.5,163.9,393.9,45.0,2064.8,632.9,269.5,315.4,260.7,195.4,289.2,225.9,690.5,439.7,153.5,280.3,337.7,204.8,195.0,441.8,110.6,269.4,306.5,328.2,587.1,0.0,168.5,312.6,301.2,566.2,675.2,277.5,358.3,128.6,199.1,91.4,693.6,547.4,657.6,74.9,156.4,288.8,637.6,329.1,191.5,83.1,359.6,212.2,646.5,202.1
TK,256.2,237.4,166.6,291.3,299.0,84.4,355.2,58.7,64.2,233.4,593.3,253.9,256.2,186.3,147.8,270.2,609.8,318.0,334.4,222.5,548.6,573.9,562.3,280.4,247.1,606.9,133.7,244.7,216.8,360.0,145.5,1937.0,584.1,291.7,266.6,282.9,226.8,240.4,248.1,641.7,353.7,75.1,231.5,345.9,227.0,196.4,393.0,96.7,291.6,277.5,258.8,545.2,188.8,0.0,263.8,252.4,517.4,660.9,299.7,258.4,72.0,35.9,207.7,644.8,498.6,608.8,115.1,47.7,311.0,577.9,351.3,73.8,152.0,294.2,234.4,597.7,15.8
TO,117.8,108.6,240.5,149.4,152.3,257.3,288.8,249.6,237.1,200.3,417.2,120.4,135.3,359.2,320.7,136.7,476.3,140.5,204.8,218.8,387.4,433.1,399.3,247.3,311.9,473.4,237.1,197.1,272.2,281.6,318.4,2040.7,393.5,288.0,133.1,190.7,272.7,49.4,256.2,536.1,257.4,248.0,72.0,356.2,235.1,261.8,259.5,276.4,199.4,161.5,101.9,411.7,361.7,197.9,0.0,119.4,383.9,527.4,238.7,129.6,274.2,299.4,358.1,511.3,365.1,475.3,288.0,267.5,218.8,444.4,183.2,286.0,324.9,160.7,230.7,464.2,296.6
UD,177.7,163.8,213.0,217.7,225.4,229.8,271.0,222.1,209.6,172.8,477.1,180.3,263.6,331.7,293.2,196.6,536.2,244.4,273.8,191.3,447.3,493.0,459.2,219.8,284.4,533.3,239.7,169.6,244.7,341.5,290.9,2013.2,453.4,260.5,193.0,163.2,245.2,166.8,228.7,596.0,317.3,220.5,157.9,328.7,207.6,234.3,319.4,248.9,171.9,193.3,205.8,471.6,334.2,170.4,175.4,0.0,443.8,587.3,239.1,184.8,246.7,266.1,330.6,571.2,425.0,535.2,260.5,240.0,191.3,504.3,287.1,258.5,297.4,220.6,203.2,528.4,269.1
UH,265.5,293.6,500.2,320.1,330.0,450.0,429.3,413.2,429.8,373.2,140.9,288.1,272.4,512.0,488.2,257.4,156.9,281.6,330.9,391.7,96.2,121.5,109.9,405.0,484.8,154.5,422.1,370.0,445.1,133.5,484.6,2219.6,131.7,460.9,281.8,373.9,455.1,347.8,426.5,189.3,168.2,463.3,310.6,529.1,408.0,431.0,120.1,430.8,382.6,334.3,337.9,98.7,533.0,470.9,364.4,366.5,0.0,208.5,364.8,321.8,418.5,514.7,531.0,192.4,66.4,177.7,465.1,433.4,402.0,160.0,314.0,501.3,477.7,281.4,403.6,145.3,511.9
VK,380.3,402.5,609.1,429.0,404.4,558.9,538.2,522.1,547.4,482.1,133.2,397.0,346.8,586.4,597.1,372.4,183.7,390.5,439.8,466.1,105.0,113.8,128.0,513.9,559.2,83.5,531.0,478.9,554.0,242.4,593.5,2328.5,130.0,569.8,356.2,482.8,551.6,456.7,535.4,181.6,265.1,572.2,385.0,624.0,482.4,505.4,229.0,539.7,491.5,443.2,446.8,119.4,641.9,545.3,473.3,475.4,112.6,0.0,473.7,430.7,527.4,583.3,605.4,227.7,141.8,204.5,539.5,549.2,476.4,152.3,422.9,610.2,552.1,355.8,512.5,137.6,620.8
VP,132.0,151.1,234.5,172.0,192.7,264.3,95.9,270.7,287.3,131.4,449.4,133.0,129.9,275.8,270.5,99.9,508.5,88.3,34.6,149.9,419.6,465.3,431.5,40.1,243.0,505.6,279.6,110.2,203.3,313.8,306.1,2077.1,425.7,219.1,147.3,166.4,203.8,221.9,187.3,568.3,289.6,320.8,168.1,287.3,166.2,225.1,291.7,288.3,175.1,131.4,208.0,443.9,333.0,322.2,239.9,224.0,416.1,559.6,0.0,158.5,272.6,372.2,289.2,543.5,397.3,507.5,257.8,290.9,194.5,476.6,51.5,358.8,241.5,82.0,161.8,496.4,369.4
VQ,146.4,37.5,188.6,178.5,163.4,246.8,153.1,210.0,226.6,145.4,410.3,64.0,69.2,289.8,294.6,128.2,469.4,90.9,155.2,163.9,380.5,426.2,392.4,192.4,257.0,466.5,218.9,142.2,217.3,274.7,281.4,2016.4,386.6,233.1,161.7,117.8,217.8,144.6,201.3,529.2,250.5,260.1,107.4,301.3,180.2,221.0,252.6,227.6,126.5,52.8,178.7,404.8,329.8,261.5,161.2,163.3,377.0,520.5,183.2,0.0,211.9,305.7,303.2,504.4,358.2,468.4,261.9,230.2,145.9,437.5,133.6,298.1,255.5,152.2,175.8,457.3,308.7
VS,191.2,172.4,53.0,204.9,234.0,84.3,333.5,61.0,72.8,217.7,528.3,188.9,194.9,170.6,122.5,211.3,544.3,253.0,317.3,210.5,483.6,512.6,497.3,264.7,231.4,545.6,81.6,229.0,201.1,280.1,118.9,1951.0,519.1,276.0,201.6,236.1,151.6,175.4,229.8,576.7,288.7,97.6,170.2,330.2,211.3,128.0,308.5,65.1,244.8,255.8,193.8,490.5,171.0,59.6,198.8,187.4,456.1,561.4,284.0,193.4,0.0,143.2,192.0,588.3,453.8,565.1,99.4,74.6,264.2,542.3,295.7,135.6,136.3,232.9,218.7,532.7,146.2
WL,288.2,296.2,225.4,328.7,336.9,136.3,426.7,117.9,106.7,264.4,652.1,312.7,294.1,217.3,199.7,308.1,668.6,376.8,386.3,274.4,579.7,611.8,570.7,332.3,299.0,665.7,192.9,296.6,268.7,418.8,176.5,1987.0,642.9,322.7,304.5,334.8,257.8,299.2,297.4,679.6,391.6,88.7,290.3,390.9,258.0,230.9,451.8,154.1,322.6,336.7,296.7,576.2,240.7,52.2,322.6,290.3,576.2,685.2,330.7,296.3,131.2,0.0,259.6,712.1,577.6,646.7,146.1,105.1,362.9,645.2,403.2,19.3,203.9,353.0,265.4,656.5,60.1
XH,330.1,300.2,225.6,356.8,378.8,116.8,326.9,221.7,176.0,164.6,673.1,311.9,322.1,87.6,113.4,324.3,689.6,319.3,265.6,153.7,640.4,653.7,642.1,211.6,73.2,686.7,230.8,175.9,84.3,424.9,129.3,2100.2,663.9,222.9,346.4,214.1,130.8,294.1,176.7,721.5,433.5,186.8,307.5,291.1,158.2,167.9,453.3,129.5,222.8,251.8,337.4,618.1,102.5,201.8,299.5,306.1,597.2,706.2,230.9,303.6,160.6,232.4,0.0,724.6,578.4,709.9,110.3,168.4,242.2,687.1,282.5,224.8,53.3,313.0,165.6,677.5,235.4
XJ,369.9,392.1,598.7,418.6,435.0,548.5,527.8,511.7,537.0,478.2,54.2,386.6,370.9,610.5,586.7,362.0,92.2,380.1,429.4,496.7,94.6,97.6,129.1,503.5,583.3,114.1,520.6,468.5,543.6,232.0,583.1,2318.1,119.6,565.9,386.8,472.4,541.2,446.3,525.0,131.1,254.7,561.8,409.1,613.6,506.5,529.5,218.6,529.3,481.1,432.8,436.4,109.0,638.0,569.4,462.9,465.0,136.7,87.3,463.3,420.3,517.0,613.9,629.5,0.0,131.4,113.0,570.1,538.8,507.0,45.2,412.5,599.8,576.2,386.4,502.1,76.6,610.4
XK,304.4,326.6,533.2,353.1,363.0,483.0,462.3,446.2,471.5,409.3,115.7,321.1,305.4,545.0,521.2,296.5,110.6,314.6,363.9,424.7,49.9,96.3,34.1,438.0,517.8,129.3,455.1,403.0,478.1,166.5,517.6,2252.6,106.5,497.0,314.8,410.0,475.7,380.8,459.5,164.1,189.2,496.3,346.7,548.1,441.0,464.0,153.1,463.8,415.6,367.3,370.9,56.8,569.1,507.0,397.4,399.5,74.3,127.7,397.8,354.8,451.5,545.0,564.0,154.6,0.0,131.4,498.1,473.3,435.0,108.6,347.0,534.3,513.8,314.4,436.6,99.0,544.9
XR,401.7,423.9,630.5,450.4,481.6,580.3,559.6,543.5,568.8,524.8,107.3,418.4,424.0,642.3,618.5,393.8,41.3,411.9,461.2,522.0,126.4,129.4,160.9,535.3,615.1,160.7,552.4,500.3,575.4,263.8,614.9,2349.9,172.7,612.5,433.4,504.2,594.3,478.1,556.8,77.0,286.5,593.6,440.9,645.4,538.3,582.6,250.4,561.1,512.9,464.6,468.2,140.8,684.6,601.2,494.7,496.8,168.5,119.1,495.1,452.1,548.8,645.0,682.6,67.3,163.2,0.0,616.7,570.6,553.6,77.0,444.3,631.6,608.0,433.0,533.9,129.7,642.2
YC,224.1,211.2,91.8,265.1,272.8,103.1,372.3,111.3,82.9,236.5,567.1,227.7,230.0,189.4,141.3,249.4,583.1,291.8,337.5,225.6,522.4,547.7,536.1,283.5,250.2,580.7,120.4,247.8,219.9,388.9,137.7,1989.8,557.9,294.8,240.4,274.9,229.9,214.2,248.6,615.5,354.8,116.4,205.3,363.0,230.1,166.8,347.3,83.9,283.6,294.6,232.6,512.1,186.1,113.3,237.6,226.2,491.2,600.2,302.8,232.2,50.2,162.0,210.8,618.6,472.4,603.9,0.0,92.0,303.0,562.6,334.5,154.4,155.1,268.0,237.5,571.5,165.0
YL,211.7,197.8,79.8,251.7,259.4,77.5,358.9,67.0,70.5,200.1,548.2,214.3,211.1,154.4,114.5,236.0,570.2,278.4,301.1,189.2,509.0,535.7,517.2,247.1,208.3,568.7,107.0,211.4,183.5,320.4,101.3,1976.4,544.5,258.4,227.0,244.1,184.0,200.8,214.8,596.6,335.9,98.0,193.3,326.6,193.7,164.2,353.4,47.5,258.3,281.2,239.8,500.1,144.2,38.8,224.2,212.8,472.3,621.3,266.4,218.8,54.8,138.1,168.9,605.2,459.0,569.2,81.8,0.0,272.2,538.3,318.0,136.0,120.1,256.0,201.1,552.6,146.6
YN,143.9,131.0,237.1,163.5,192.6,155.6,311.9,118.8,135.4,231.7,486.9,147.5,149.8,217.6,193.8,163.8,502.9,211.6,275.9,250.2,454.2,467.5,455.9,278.7,278.4,500.5,127.7,228.5,266.1,238.7,190.2,1925.2,477.7,319.4,160.2,214.5,291.1,134.0,297.4,535.3,259.3,168.9,125.1,387.6,276.3,167.9,267.1,136.4,223.2,234.2,152.4,449.1,238.6,176.5,157.4,146.0,411.0,520.0,298.0,215.0,120.7,214.5,239.0,538.4,392.2,523.7,170.7,139.0,0.0,482.4,254.3,206.9,183.3,187.8,262.1,491.3,217.5
YS,409.7,431.9,638.5,458.4,433.6,588.3,567.6,551.5,576.8,474.1,52.1,426.4,368.8,615.6,626.5,401.8,31.3,419.9,469.2,488.1,134.4,100.0,131.5,543.3,581.2,112.7,560.4,508.3,583.4,271.8,622.9,2357.9,159.4,561.8,385.4,512.2,581.0,486.1,564.8,63.7,294.5,601.6,448.9,653.4,546.3,527.4,258.4,569.1,520.9,472.6,476.2,148.8,629.4,609.2,502.7,504.8,134.6,127.1,503.1,460.1,556.8,609.8,627.4,75.3,171.2,52.1,568.7,578.6,498.4,0.0,452.3,639.6,616.0,385.0,541.9,74.5,650.2
YW,80.4,114.8,198.2,120.4,143.9,271.2,133.2,234.4,251.0,182.2,397.8,96.7,93.6,333.2,319.0,48.3,456.9,52.0,16.8,200.7,368.0,413.7,379.9,90.9,293.8,454.0,243.3,161.0,254.1,262.2,305.8,2040.8,374.1,269.9,95.7,195.1,254.6,185.6,238.1,516.7,238.0,284.5,131.8,338.1,217.0,255.9,240.1,252.0,203.8,147.4,159.2,392.3,354.2,285.9,191.1,187.7,364.5,508.0,50.7,122.2,236.3,330.1,340.0,491.9,345.7,455.9,286.3,254.6,223.2,425.0,0.0,322.5,298.9,30.4,212.6,449.1,333.1
YZ,324.4,310.5,239.7,364.4,372.1,150.6,461.9,150.2,130.4,299.6,623.8,327.0,329.3,252.5,214.0,343.3,682.9,391.1,400.6,288.7,594.0,639.7,605.9,346.6,313.3,680.0,219.7,310.9,283.0,488.2,211.7,2022.2,600.1,357.9,339.7,349.1,283.5,313.5,314.3,742.7,464.0,123.9,304.6,426.1,293.2,266.1,466.1,168.4,357.8,362.7,352.5,618.3,255.0,91.0,336.9,325.5,590.5,734.0,365.9,331.5,160.4,33.9,273.9,717.9,571.7,681.9,181.3,126.3,377.2,651.0,417.5,0.0,218.2,367.3,300.6,675.1,74.4
ZF,284.3,271.7,169.5,305.1,327.1,60.7,301.0,165.6,91.7,139.3,621.4,283.4,293.6,34.3,57.3,299.0,637.4,294.0,240.3,128.4,576.7,602.0,590.4,186.3,112.3,635.0,174.7,150.6,122.7,443.2,102.5,2044.1,612.2,197.6,294.7,188.8,132.7,268.5,154.0,669.8,419.0,130.7,259.6,265.8,132.9,111.8,401.6,73.4,197.5,223.3,307.5,579.2,99.0,145.7,274.2,280.5,545.5,689.0,205.6,275.1,104.5,176.3,72.9,672.9,546.9,658.2,54.2,112.3,216.9,616.9,257.2,168.7,0.0,287.7,140.3,625.8,179.3
ZJ,48.9,95.0,178.4,104.8,113.4,251.4,165.8,214.6,242.7,174.6,409.9,89.5,73.8,313.4,289.6,11.3,425.9,83.0,49.4,193.1,337.5,390.5,378.9,123.5,286.2,423.5,223.5,171.4,246.5,176.6,286.0,2021.0,400.7,262.3,65.2,175.3,256.5,193.2,227.9,458.3,197.6,264.7,112.0,330.5,209.4,232.4,209.6,232.2,184.0,135.7,128.7,361.8,334.4,272.3,160.6,167.9,334.0,443.0,83.3,123.2,216.5,316.1,332.4,469.9,315.2,425.4,266.5,240.3,203.4,423.9,32.5,302.7,279.1,0.0,205.0,418.6,313.3
ZL,247.6,216.7,185.8,287.6,295.3,160.6,243.4,236.7,191.6,81.1,547.0,228.4,238.6,172.1,166.8,247.4,606.1,235.8,182.1,11.9,517.2,562.9,529.1,128.1,119.7,603.2,245.6,92.4,80.0,411.4,202.4,2043.1,523.3,57.2,262.9,130.6,80.5,210.6,64.0,665.9,387.2,230.6,224.0,125.4,42.9,189.3,389.3,173.3,139.3,168.3,253.9,541.5,229.3,232.0,216.0,222.6,513.7,657.2,147.4,220.1,204.4,282.0,165.9,641.1,494.9,605.1,154.1,212.2,158.7,574.2,199.0,268.6,137.8,229.5,0.0,594.0,279.2
ZQ,354.5,376.7,578.1,386.2,409.7,529.7,512.4,496.3,512.9,456.3,35.4,371.2,352.1,591.7,577.5,343.0,96.7,361.3,410.6,474.8,101.0,64.2,98.8,488.1,564.5,88.8,505.2,449.7,528.2,223.9,564.3,2299.3,100.8,544.0,361.5,453.6,522.4,427.5,512.2,128.6,196.3,546.4,393.7,608.8,487.7,514.1,199.8,513.9,465.7,417.4,417.6,73.0,612.7,550.6,444.1,449.6,117.9,68.5,444.5,401.5,498.2,588.6,610.7,131.7,143.9,99.1,544.8,513.1,481.7,64.8,393.7,584.4,560.8,361.1,483.3,0.0,595.0
ZW,282.3,268.4,197.6,322.3,330.0,105.0,386.2,89.7,84.8,254.0,581.7,284.9,287.2,206.9,168.4,301.2,640.8,349.0,355.0,243.1,551.9,597.6,563.8,301.0,267.7,637.9,164.7,265.3,237.4,446.1,166.1,1968.0,558.0,312.3,297.6,303.5,237.9,271.4,268.7,700.6,421.9,78.3,262.5,380.5,247.6,211.1,424.0,127.7,312.2,308.5,310.4,576.2,209.4,45.4,294.8,283.4,548.4,691.9,320.3,289.4,103.0,89.0,228.3,675.8,529.6,639.8,135.7,85.6,331.6,608.9,371.9,75.6,172.6,325.2,255.0,633.0,0.0
