from_stop,AG,AK,AS,AW,BA,BI,BY,CA,CJ,CQ,CV,DC,DL,DM,DO,DR,DV,EC,EI,EQ,EU,EV,FA,FM,FX,GG,GO,GU,GV,HJ,HX,IM,IQ,IS,IW,JG,JJ,JP,JQ,JV,JZ,KC,KE,KK,KO,KR,KT,LG,LH,LQ,LR,LW,LZ,MI,MM,MY,ND,NP,OE,OJ,PD,PF,PK,PM,PV,PZ,QF,QH,QI,QK,QL,QO,QP,QR,QW,RT,SB,SQ,SS,ST,SY,TJ,TW,UD,UI,UM,UN,UR,UU,UW,UY,VA,VL,VP,VS,WA,WE,WS,WU,XJ,XK,XM,XO,XX,YA,YH,YQ,YS,ZE,ZN,ZP,ZT,ZW,ZY
GV,200.1,163.0,110.1,178.7,138.1,97.1,147.8,118.0,99.4,196.2,212.3,102.4,150.4,93.1,79.7,159.8,170.3,114.3,252.5,154.8,137.4,185.7,117.6,151.9,187.2,59.1,152.6,104.7,0.0,67.1,246.4,76.0,225.4,133.5,138.4,60.5,99.5,142.4,148.0,2244.5,153.9,192.4,112.8,197.4,106.1,205.2,148.7,180.5,148.0,93.3,176.7,108.3,82.1,252.6,155.2,106.2,143.3,125.0,119.2,99.9,217.3,56.8,133.7,111.6,174.4,172.0,78.1,183.5,154.4,184.3,116.8,95.4,85.3,129.6,94.1,188.0,211.3,169.7,59.8,71.5,94.9,121.8,139.7,219.9,88.3,184.3,101.6,53.3,135.4,166.8,143.0,292.4,246.5,134.7,82.8,248.4,118.2,251.4,161.3,128.8,77.0,71.6,235.8,86.3,131.1,176.7,164.5,67.2,131.8,119.5,129.2,131.0,96.6,110.6
HJ,158.2,140.0,42.9,166.9,184.7,85.8,151.8,106.2,117.2,139.7,170.4,79.1,157.7,68.3,91.8,202.1,177.6,102.5,199.4,141.1,196.8,180.6,122.5,98.8,120.0,66.4,140.8,126.6,78.1,0.0,193.3,140.8,183.5,129.6,96.5,82.4,106.8,130.9,106.1,2267.9,84.1,150.5,112.7,185.6,63.3,152.1,143.7,138.6,194.6,105.4,109.5,65.5,134.2,238.8,113.3,113.5,150.6,199.1,105.5,172.3,168.6,51.1,123.5,62.3,132.3,160.3,85.4,190.8,142.6,172.5,192.3,156.2,160.6,189.0,159.9,176.2,169.4,168.4,135.1,78.8,121.8,72.5,162.8,147.1,63.5,172.5,84.4,128.6,144.5,168.0,131.5,250.5,179.3,91.9,40.0,245.7,155.8,239.6,103.1,117.0,34.2,56.0,168.6,19.1,153.0,190.6,171.8,50.0,195.1,111.3,121.0,117.3,101.0,181.7
HX,68.2,150.8,155.7,183.2,340.6,245.5,311.0,120.3,281.2,72.2,50.2,186.8,313.6,177.5,231.3,362.3,333.5,124.0,6.1,191.5,352.7,337.5,222.4,93.2,88.6,222.3,128.1,235.3,253.9,191.1,0.0,287.0,23.5,296.7,138.3,256.3,262.7,130.2,162.7,2399.0,111.9,83.0,276.0,83.0,254.5,39.9,194.1,106.6,350.5,219.3,91.4,256.7,280.4,163.3,121.7,269.4,306.5,344.1,155.9,318.5,27.8,202.5,246.9,133.5,169.6,198.1,241.3,346.7,81.8,85.5,335.9,314.0,321.9,344.9,304.9,114.5,56.7,96.2,313.8,234.7,324.4,123.3,318.4,55.8,156.8,85.5,258.3,307.3,298.6,323.9,130.8,137.8,60.9,283.1,231.2,150.2,311.7,137.6,117.3,109.4,225.4,229.9,71.6,173.1,209.9,346.5,327.7,223.9,350.9,196.0,187.3,167.7,259.8,320.6
IM,254.8,199.7,168.3,215.4,87.6,94.4,109.8,154.7,65.0,243.3,267.0,168.5,112.4,147.8,126.0,109.3,132.3,151.0,291.6,191.5,86.9,135.2,163.9,195.9,225.3,61.4,189.3,151.0,97.4,125.3,285.5,0.0,280.1,95.5,193.1,106.8,61.5,179.1,202.7,2207.7,192.0,247.1,87.4,234.1,103.4,244.3,194.1,235.2,97.5,139.6,214.8,76.7,6.0,289.3,209.9,68.2,105.3,74.5,155.9,31.4,256.4,115.0,172.0,160.5,203.0,208.7,41.3,145.5,191.1,221.0,66.3,26.9,34.8,79.1,43.6,224.7,266.0,206.4,28.9,51.5,69.6,170.7,89.2,258.0,143.0,221.0,138.3,80.5,97.4,116.3,179.7,297.6,284.6,103.1,94.0,285.1,67.7,288.1,198.0,165.5,98.0,109.9,273.9,144.5,177.4,126.2,126.5,103.9,54.2,159.8,169.5,167.7,40.6,60.1
IQ,74.0,156.6,153.4,142.0,328.4,248.3,298.8,108.1,269.0,78.0,56.0,192.6,301.4,183.3,229.9,350.1,321.3,111.8,43.9,197.3,340.5,325.3,222.2,99.0,94.4,210.1,115.9,235.1,235.9,195.2,37.8,274.8,0.0,284.5,114.7,244.1,250.5,136.0,105.2,2435.1,109.6,88.8,263.8,119.1,257.3,45.7,199.9,112.4,338.3,217.9,86.8,260.8,268.2,181.4,98.1,257.2,294.3,331.9,161.7,306.3,33.6,206.6,223.2,139.3,146.0,192.7,229.1,334.5,69.6,121.6,323.7,301.8,309.7,332.7,292.7,102.3,33.1,84.0,295.8,222.5,273.6,129.1,306.2,43.6,162.6,121.6,246.1,254.4,286.4,311.7,136.6,114.2,74.9,287.2,235.3,126.6,299.5,173.7,123.1,97.2,229.5,217.7,64.2,177.2,215.7,334.3,315.5,211.7,338.7,201.8,193.1,173.5,247.6,308.4
IS,249.3,230.3,154.9,246.0,107.7,134.3,65.3,185.3,136.5,245.4,261.5,121.7,67.9,131.0,187.5,125.6,87.8,181.6,311.4,222.1,89.0,91.8,201.6,210.8,232.0,92.0,219.9,222.3,145.7,111.9,305.3,96.4,274.6,0.0,187.6,178.1,49.3,209.7,197.2,2233.4,198.7,241.6,57.1,264.7,124.1,264.1,224.7,229.7,117.6,201.1,221.5,51.1,89.8,319.9,204.4,42.5,60.8,131.6,186.5,141.3,276.2,101.6,202.6,174.3,156.2,239.3,71.9,101.0,221.7,251.6,123.4,136.8,93.2,81.2,87.9,255.3,260.5,237.0,120.8,82.1,141.1,184.5,72.7,264.7,151.1,251.6,180.1,121.9,52.9,78.2,210.3,341.6,291.3,27.0,80.6,354.0,48.0,318.7,215.1,196.1,84.6,151.7,280.6,131.1,218.0,100.8,82.0,145.7,136.4,190.4,200.1,198.3,78.8,56.9
IW,61.6,137.2,81.9,190.8,260.2,128.5,230.6,116.7,170.5,57.7,73.8,84.6,233.2,103.4,161.7,277.6,254.0,120.4,130.9,142.8,272.3,256.1,154.0,62.5,78.8,137.7,164.7,166.9,177.2,99.0,124.8,206.6,86.9,216.3,0.0,181.5,182.3,120.4,9.5,2349.1,102.1,53.9,195.6,172.7,99.3,91.2,145.4,43.5,270.1,149.1,117.0,164.6,200.0,222.4,16.7,189.0,226.1,263.7,107.2,238.1,110.6,110.4,155.0,59.4,31.2,162.0,160.9,266.3,156.6,175.2,256.9,233.6,205.5,264.5,224.5,200.1,72.8,192.3,180.0,154.3,175.1,49.2,238.3,136.2,82.7,175.2,183.5,155.9,218.2,243.5,120.7,153.9,150.6,191.0,139.1,166.3,231.3,227.3,68.6,146.0,133.3,155.1,151.2,81.0,161.2,266.1,247.3,149.1,270.5,147.3,138.6,119.0,179.4,245.0
JG,231.2,156.1,115.9,174.9,166.2,131.0,179.3,123.0,94.7,212.7,243.4,154.3,181.9,145.0,34.4,157.1,201.8,119.3,272.4,97.9,165.5,213.8,57.0,171.8,193.0,90.6,157.6,44.1,59.2,72.9,266.3,104.1,256.5,165.0,169.5,0.0,131.0,147.4,179.1,2257.8,159.7,223.5,144.3,202.4,140.0,225.1,88.1,211.6,166.0,48.0,182.5,142.2,110.2,257.6,186.3,137.7,174.8,127.5,124.2,117.3,237.2,88.0,73.1,135.3,209.0,112.5,109.6,215.0,159.4,189.3,134.2,123.5,113.4,155.3,122.2,193.0,242.4,174.7,87.9,103.0,90.2,145.5,167.8,225.7,140.2,189.3,65.2,81.4,166.9,194.9,148.0,265.9,252.3,168.6,116.7,253.4,146.3,222.6,166.3,133.8,110.9,26.3,241.6,92.1,70.5,204.8,196.0,32.3,159.9,74.2,83.9,105.7,128.1,138.7
JJ,236.0,180.9,139.2,196.6,77.8,75.6,48.2,135.9,76.3,224.5,248.2,118.7,50.8,128.0,126.9,99.5,70.7,132.2,272.8,172.7,89.9,74.7,152.2,177.1,206.5,42.6,170.5,161.7,82.8,103.0,266.7,47.0,261.3,33.9,174.3,117.5,0.0,160.3,183.9,2227.0,173.2,228.3,29.6,215.3,84.6,225.5,175.3,216.4,87.7,140.5,196.0,66.1,40.4,270.5,191.1,6.6,43.7,77.7,137.1,78.5,237.6,92.7,153.2,141.7,153.2,200.6,22.5,83.9,172.3,202.2,69.5,74.0,56.0,82.1,38.5,205.9,247.2,187.6,76.0,32.7,80.9,151.9,55.6,239.2,124.2,202.2,119.5,61.7,35.8,61.1,160.9,278.8,265.8,61.0,93.2,266.3,48.9,269.3,179.2,146.7,97.2,91.1,255.1,116.5,168.6,83.7,64.9,85.1,84.5,141.0,150.7,148.9,39.8,57.8
JP,118.4,20.5,101.1,75.5,279.4,197.3,228.2,37.5,198.6,64.4,110.8,197.0,230.8,187.7,193.6,261.0,250.7,41.2,130.7,114.8,287.4,254.7,143.9,103.4,44.7,139.5,49.4,156.8,201.1,142.9,124.6,254.0,136.1,213.9,142.6,161.4,179.9,0.0,172.9,2361.6,57.3,110.7,193.2,94.2,206.3,83.4,119.3,98.8,269.9,181.6,52.2,208.5,197.6,149.4,126.0,186.6,223.7,231.4,112.3,221.2,95.5,154.3,116.6,143.7,173.9,101.7,158.5,263.9,51.2,81.1,238.1,249.7,273.3,259.2,268.8,84.8,129.6,66.5,247.8,151.9,194.1,133.5,235.6,95.4,167.0,81.1,226.7,213.9,215.8,241.1,0.5,157.7,122.0,234.9,183.0,145.2,228.9,140.1,107.8,25.6,177.2,187.8,111.3,124.9,140.3,263.7,244.9,193.0,263.3,154.7,147.2,127.6,177.0,283.9
JQ,52.0,119.9,94.1,203.3,293.5,138.9,219.1,107.1,180.0,48.1,64.2,94.1,266.5,86.8,173.0,310.9,286.7,110.8,121.3,133.2,267.1,289.4,164.1,52.9,69.2,171.0,139.0,177.0,145.2,135.9,115.2,205.7,77.3,197.3,9.4,211.2,215.6,110.8,0.0,2358.6,92.5,44.3,162.4,163.1,108.8,81.6,135.8,32.4,303.4,160.4,107.4,144.6,233.3,212.8,7.1,222.3,259.4,248.8,97.6,229.6,101.0,147.3,183.1,93.2,40.7,139.8,194.2,299.6,147.0,165.6,242.0,225.1,215.0,259.3,209.6,174.1,63.2,166.6,189.5,187.6,184.6,83.0,271.6,126.6,116.5,165.6,220.4,165.4,253.3,276.8,111.1,144.3,141.0,159.6,125.1,156.7,264.6,217.7,59.0,136.4,119.3,192.0,141.6,117.9,151.6,299.4,280.6,186.0,255.6,137.7,129.0,109.4,212.7,236.1
JV,2444.8,2352.3,2356.0,2371.1,2186.4,2276.7,2251.3,2355.0,2210.2,2438.6,2457.0,2311.0,2244.2,2320.3,2299.5,2168.0,2214.4,2351.3,2426.8,2355.0,2209.0,2222.3,2314.3,2404.6,2418.9,2261.7,2389.6,2301.4,2270.9,2313.0,2432.2,2248.2,2470.1,2275.9,2383.1,2273.7,2254.2,2374.1,2392.7,0.0,2399.8,2437.1,2275.5,2356.1,2285.7,2457.6,2329.1,2425.2,2176.9,2313.1,2422.6,2312.0,2254.3,2433.3,2399.9,2247.4,2237.1,2194.3,2352.5,2215.4,2469.7,2302.7,2287.8,2364.3,2351.7,2343.5,2276.8,2240.2,2391.4,2421.3,2201.0,2243.9,2231.4,2214.9,2231.7,2425.0,2456.0,2406.7,2249.6,2287.0,2205.7,2374.5,2211.6,2425.3,2341.0,2421.3,2330.3,2225.5,2238.9,2234.5,2373.4,2453.5,2398.7,2299.4,2281.7,2441.0,2246.0,2375.9,2398.3,2365.8,2285.7,2291.4,2409.4,2332.2,2311.5,2231.3,2258.3,2297.4,2226.2,2325.9,2335.6,2357.4,2288.9,2238.4
JZ,101.6,53.2,43.7,136.6,260.7,171.4,231.3,40.4,242.8,52.9,83.6,162.1,233.7,149.9,140.6,278.1,253.9,44.1,119.2,71.4,272.8,256.6,131.7,64.9,33.2,138.2,72.3,144.6,163.7,82.9,113.1,207.1,115.0,215.2,149.6,168.0,182.8,44.1,114.7,2378.5,0.0,99.2,196.1,150.8,148.9,71.9,100.8,88.8,272.0,128.0,23.7,148.5,200.5,197.0,124.5,189.5,226.6,275.6,65.2,238.6,88.4,96.9,160.8,106.1,142.3,104.8,161.4,266.8,105.2,143.1,257.4,222.5,243.6,265.0,225.0,107.4,118.1,99.9,220.7,154.8,238.3,95.9,240.2,60.3,129.2,139.2,170.0,214.2,220.5,244.0,44.4,170.9,92.5,177.5,123.0,158.9,231.8,184.3,50.4,81.5,117.2,141.6,81.8,67.5,119.2,266.6,249.2,133.0,271.0,105.3,96.6,77.0,179.9,245.5
KC,22.3,189.6,123.8,218.9,314.5,165.7,266.2,141.1,226.7,111.0,34.5,142.8,275.4,133.5,202.7,326.3,295.3,144.8,76.9,162.9,313.8,299.3,193.8,82.6,127.4,184.1,148.9,206.7,191.9,142.5,70.8,252.4,32.9,244.0,56.1,225.0,224.5,169.0,46.6,2405.3,142.6,0.0,209.1,118.7,155.5,78.7,165.5,12.0,324.4,190.7,119.8,191.3,242.2,170.4,39.5,231.2,268.3,295.5,127.3,276.3,66.6,153.9,212.8,112.5,87.4,169.5,203.1,308.5,102.6,121.2,287.3,271.8,261.7,306.0,256.3,135.3,18.8,117.0,236.2,196.5,231.3,102.3,280.2,76.6,122.6,121.2,227.0,212.1,260.4,285.7,169.6,99.9,96.6,206.3,171.8,112.3,273.5,173.3,88.7,130.2,166.0,198.6,97.2,134.1,181.3,308.3,289.5,192.6,302.3,167.4,158.7,139.1,221.6,287.0
KE,216.6,207.5,140.2,223.2,100.8,101.6,71.2,162.5,102.9,212.7,228.8,89.0,73.8,98.3,153.5,133.5,93.7,158.8,283.2,199.3,114.7,97.7,178.8,182.6,217.3,69.2,197.1,188.3,109.4,97.2,277.1,73.6,241.9,56.9,154.9,144.1,22.9,186.9,164.5,2239.3,184.0,208.9,0.0,241.9,91.4,235.9,201.9,197.0,110.7,167.1,206.8,36.4,67.0,297.1,171.7,29.6,66.7,86.3,163.7,114.0,248.0,86.9,179.8,142.3,123.5,227.2,49.1,106.9,198.9,228.8,78.1,109.5,64.6,108.9,47.1,232.5,227.8,214.2,93.5,59.3,107.5,152.5,78.6,250.0,119.0,228.8,146.1,88.3,58.8,84.1,187.5,308.9,276.6,41.6,65.9,321.3,71.9,295.9,200.4,173.3,69.9,117.7,265.9,116.4,195.2,106.7,87.9,111.7,93.1,167.6,177.3,175.5,64.1,89.9
KK,143.3,134.4,177.9,105.7,342.4,261.0,280.4,89.5,261.6,147.3,125.3,306.0,282.8,252.6,256.6,333.9,303.0,93.2,69.6,167.4,350.4,331.0,206.9,168.3,139.5,187.3,122.3,226.4,264.1,219.7,75.0,256.2,98.6,265.9,203.6,224.4,231.9,138.4,194.1,2314.9,136.7,122.1,245.2,0.0,238.7,115.0,188.9,132.8,339.5,244.0,110.3,285.3,329.7,99.4,161.7,238.6,275.7,301.0,181.9,284.2,98.5,256.4,179.6,208.6,209.6,164.7,210.5,315.9,51.0,29.3,306.6,300.9,336.3,328.8,331.8,158.3,99.8,150.8,310.8,203.9,257.1,198.4,374.0,73.7,257.2,25.4,296.3,276.9,269.6,293.1,138.0,95.8,41.5,337.0,259.8,83.8,280.9,41.1,154.0,78.6,254.0,250.8,52.2,201.7,203.3,315.7,296.9,193.1,326.3,217.7,210.2,190.6,229.0,349.3
KO,162.0,229.7,129.8,209.4,158.9,10.1,118.9,148.7,71.1,158.1,174.2,25.2,121.5,34.5,162.4,170.7,141.4,145.0,219.4,218.6,158.2,145.4,165.0,118.8,167.5,55.4,183.3,197.2,116.4,86.8,213.3,96.8,187.3,99.8,100.3,153.0,70.6,209.1,109.9,2221.8,173.6,154.3,82.9,228.1,0.0,172.1,221.2,142.4,168.8,176.0,196.4,35.7,102.9,324.8,117.1,77.3,114.4,141.1,183.0,120.7,184.2,76.5,166.0,78.5,68.9,225.2,49.2,154.6,185.1,215.0,137.6,116.2,106.1,150.4,114.9,218.7,173.2,200.4,80.6,42.6,75.7,88.7,126.3,231.0,55.2,215.0,155.0,56.5,106.5,131.8,209.7,254.3,251.0,62.1,55.5,266.7,119.6,282.1,144.4,159.5,59.5,126.6,251.6,106.0,223.6,154.4,135.6,120.6,152.6,153.8,163.5,194.8,67.7,131.4
KR,45.3,110.8,115.1,114.6,301.0,205.5,271.4,80.7,241.6,32.2,27.3,146.8,274.0,137.5,191.3,322.7,293.9,84.4,47.2,151.5,313.1,297.9,182.4,53.2,48.6,182.7,88.5,195.3,213.9,151.1,41.1,247.4,52.6,257.1,110.4,216.7,223.1,90.2,122.7,2392.3,71.3,60.1,236.4,124.2,214.5,0.0,154.1,66.6,310.9,179.3,48.5,216.7,240.8,202.7,129.9,229.8,266.9,304.5,115.9,278.9,12.0,162.5,206.9,93.5,141.7,192.0,201.7,307.1,90.9,126.7,296.3,274.4,282.3,305.3,265.3,108.1,79.0,89.8,273.8,195.1,284.4,83.3,278.8,64.9,116.8,126.7,218.7,267.3,259.0,284.3,90.8,160.1,96.2,243.1,191.2,172.5,272.1,178.8,77.3,69.8,185.4,190.3,85.5,133.1,169.9,306.9,288.1,184.3,311.3,156.0,147.3,127.7,220.2,281.0
KT,178.6,130.4,124.5,138.0,241.6,214.1,234.1,87.1,163.4,157.7,186.1,208.4,236.7,196.9,95.9,229.1,256.6,83.4,206.0,43.4,240.9,259.6,28.2,126.9,139.7,141.2,121.7,41.1,134.6,148.3,199.9,179.5,203.9,219.8,199.2,75.3,185.8,111.5,175.4,2308.4,103.8,170.9,199.1,166.5,192.6,158.7,0.0,160.5,234.7,83.3,129.2,217.6,185.6,219.7,182.6,192.5,229.6,196.2,51.3,186.0,175.2,163.4,47.2,164.2,204.3,24.3,164.4,269.8,123.5,147.7,201.8,198.9,188.8,224.0,197.6,156.8,189.8,149.3,163.3,157.8,158.9,154.0,243.0,166.8,176.2,153.4,140.6,156.8,221.7,270.3,111.8,270.9,199.0,244.0,192.1,217.5,221.7,185.7,112.4,97.9,186.3,101.7,188.3,139.8,15.7,280.2,250.8,107.7,235.3,57.0,66.7,88.5,182.9,209.9
LG,19.5,154.7,149.2,147.2,302.4,172.6,254.1,113.3,214.6,81.4,31.7,128.7,308.1,121.4,190.6,317.5,328.3,118.5,88.8,121.4,301.7,331.0,181.7,100.9,97.8,212.6,122.6,194.6,179.8,130.4,82.7,240.3,44.8,231.9,44.0,212.9,257.2,139.4,34.5,2393.2,108.0,11.8,197.0,144.7,143.4,49.1,154.8,0.0,312.3,178.0,81.6,179.2,273.4,178.8,27.4,262.4,301.0,283.4,115.2,264.2,67.0,130.5,229.9,142.7,75.3,170.0,235.8,341.2,113.0,137.0,276.6,248.1,249.6,293.9,244.2,141.9,30.7,132.9,224.1,229.2,219.2,132.5,313.2,92.6,110.5,133.1,216.3,200.0,294.9,318.4,139.7,112.3,107.0,194.2,161.1,124.2,306.2,185.2,76.6,103.9,153.9,186.5,107.6,122.0,169.2,341.0,320.7,180.5,290.2,155.3,146.6,127.0,254.3,272.1
LH,321.2,258.1,220.2,277.6,9.4,182.3,74.5,216.9,118.1,317.3,333.4,181.4,101.7,215.9,179.1,7.4,114.8,213.2,353.8,224.3,32.0,99.6,217.0,258.1,287.5,123.6,251.5,204.1,150.5,184.0,347.7,98.6,346.5,115.2,259.5,159.9,80.9,241.3,269.1,2133.3,251.6,313.5,110.6,296.3,209.0,306.5,248.1,301.6,0.0,192.7,277.0,146.5,104.7,349.5,276.3,74.1,94.6,92.8,218.1,102.5,323.0,192.8,199.5,222.7,228.1,270.9,103.5,128.0,253.3,283.2,86.0,98.0,54.4,60.4,81.9,286.9,332.4,279.1,82.0,113.7,122.7,232.9,34.4,314.6,205.2,283.2,200.5,142.7,61.9,79.7,241.9,359.3,346.8,122.4,176.0,347.3,69.0,323.7,260.2,227.7,180.0,171.0,336.1,197.5,230.5,89.6,115.8,166.1,88.4,218.9,228.6,229.9,120.8,57.2
LQ,209.2,141.8,125.8,168.4,185.9,172.4,189.4,107.7,149.7,188.3,216.7,165.7,191.8,154.9,11.9,203.3,212.6,104.6,236.6,71.6,185.2,234.5,55.3,148.9,170.3,96.3,142.9,67.6,78.9,82.8,230.5,123.8,234.5,174.9,179.4,54.9,140.9,132.7,162.5,2310.3,134.4,201.5,154.2,201.8,149.9,189.3,89.3,191.1,195.8,0.0,160.8,152.1,129.9,240.9,169.7,147.6,184.7,172.8,81.3,147.7,205.2,97.9,56.3,145.2,218.9,113.7,119.5,224.9,144.7,168.9,166.6,131.6,133.1,177.4,141.9,178.0,220.4,169.9,107.6,112.9,145.2,155.4,187.9,196.8,150.7,174.6,75.7,101.1,178.6,214.6,133.0,250.7,229.0,178.5,126.6,238.7,166.0,234.7,143.0,119.1,120.8,36.2,218.3,102.0,71.7,224.5,205.9,42.2,179.6,26.1,35.8,57.6,138.0,154.2
LR,78.8,68.1,66.5,102.5,275.6,194.2,247.2,56.3,257.7,47.8,60.8,187.5,248.6,171.1,163.4,293.0,268.8,59.0,98.7,94.2,287.7,272.5,154.5,86.8,28.1,153.1,77.4,168.4,186.5,108.3,92.6,222.0,92.2,231.7,126.0,190.8,197.7,59.0,140.1,2366.9,25.3,93.6,211.0,128.0,171.7,66.8,127.2,83.7,285.5,150.8,0.0,173.9,215.4,173.2,147.3,204.4,241.5,290.5,88.0,253.5,66.9,149.4,175.7,127.1,157.3,160.8,176.3,281.7,81.4,120.3,272.3,237.4,269.0,280.9,239.9,96.7,112.5,88.2,243.5,169.7,253.2,116.9,253.7,36.5,150.4,116.4,192.8,237.0,235.4,258.9,59.3,148.1,68.7,200.3,148.4,136.1,246.7,168.5,73.2,58.7,142.6,164.4,58.0,90.3,142.0,281.5,262.7,158.4,285.9,128.1,119.4,99.8,194.8,260.4
LW,211.7,200.8,103.7,224.0,150.7,42.4,84.8,163.3,85.3,200.5,223.9,67.2,112.0,101.0,136.3,168.1,131.9,159.6,260.2,201.9,153.1,134.9,184.0,159.6,180.8,82.5,197.9,171.1,94.5,60.7,254.1,67.4,237.0,64.0,150.0,126.9,61.1,191.7,159.6,2236.0,144.9,204.0,47.1,256.8,94.1,212.9,204.5,192.1,160.6,149.9,170.3,0.0,60.8,295.9,166.8,67.8,104.9,133.5,166.3,98.9,229.4,50.4,180.6,123.1,126.2,208.5,63.4,145.1,199.7,229.6,126.7,82.8,102.3,145.3,94.3,233.3,222.9,225.5,94.8,56.8,89.9,133.3,128.8,207.9,99.9,229.6,128.9,70.7,97.0,122.3,192.3,304.0,240.1,26.3,29.4,316.4,112.1,296.7,163.9,174.1,33.4,100.5,229.4,79.9,197.5,144.9,102.9,94.5,121.7,176.1,185.8,178.1,27.6,123.4
LZ,248.7,182.1,162.2,209.3,94.2,114.9,104.9,148.6,71.6,237.2,260.9,113.1,106.3,141.7,132.6,111.6,126.5,144.9,285.5,185.4,93.5,142.8,164.9,189.8,219.2,55.3,183.2,157.6,95.5,119.2,279.4,6.6,274.0,89.4,187.0,113.4,55.4,173.0,196.6,2214.3,183.3,241.0,68.7,228.0,97.3,238.2,188.0,229.1,104.1,146.2,208.7,70.6,0.0,281.2,203.8,62.1,99.2,81.1,149.8,38.0,254.7,108.9,165.9,154.4,196.9,202.6,35.2,139.4,185.0,209.2,74.3,33.5,41.4,85.7,50.2,218.6,259.9,210.8,35.5,45.4,76.2,164.6,95.6,246.3,136.9,214.9,132.2,74.4,91.3,122.9,173.6,291.5,278.5,97.0,87.9,279.0,74.3,282.0,191.9,159.4,91.9,103.8,267.8,138.4,181.3,132.8,120.4,97.8,60.8,153.7,163.4,161.6,34.5,62.5
MI,182.9,160.9,217.5,132.2,375.5,269.3,320.1,129.1,294.7,186.9,164.9,320.3,322.4,292.2,289.7,360.4,342.3,132.8,109.2,200.5,383.5,345.3,240.0,207.9,179.1,226.9,155.4,252.9,297.2,259.3,114.6,295.8,138.2,305.5,217.9,257.5,271.5,171.5,208.4,2348.0,173.7,161.7,284.8,38.5,278.3,154.6,215.4,173.8,366.0,277.7,150.9,324.9,289.2,0.0,201.3,278.2,315.3,327.5,208.4,317.3,138.1,259.3,212.7,248.2,249.2,197.8,250.1,355.5,90.6,65.0,333.1,334.0,369.4,355.3,313.7,191.4,139.4,183.9,343.9,243.5,290.2,238.0,327.5,113.3,271.5,65.0,267.1,310.0,307.4,332.7,170.8,135.9,81.1,351.3,299.4,123.4,320.5,86.6,193.6,118.2,293.6,238.7,91.8,241.3,236.4,355.3,336.5,232.7,359.4,250.8,243.3,223.7,268.6,375.8
MM,44.8,124.2,86.9,196.1,286.3,126.1,256.7,99.9,187.1,40.9,57.0,139.3,259.3,130.0,165.8,308.0,279.2,103.6,114.1,126.0,298.4,283.2,156.9,45.7,62.0,168.0,131.8,169.8,152.3,128.7,108.0,232.7,70.1,242.4,16.5,204.0,208.4,103.6,7.0,2365.7,85.3,37.1,169.5,155.9,115.9,74.4,128.6,25.2,296.2,153.8,100.2,194.3,226.1,207.6,0.0,215.1,252.2,298.4,90.4,264.2,89.4,140.1,175.9,86.0,47.8,132.6,187.0,292.4,139.8,158.4,247.7,259.7,222.1,290.6,216.7,167.2,56.0,148.9,196.6,180.4,191.7,75.8,264.1,113.8,109.3,158.4,213.2,172.5,244.3,269.6,104.2,137.1,133.8,166.7,168.8,149.5,257.4,210.5,51.8,129.2,163.0,184.8,134.4,110.7,144.4,292.2,273.4,178.8,262.7,130.5,121.8,102.2,205.5,266.3
MY,242.8,176.2,146.0,203.4,71.1,82.4,41.8,142.7,83.1,231.3,255.0,107.2,44.1,134.8,133.7,88.5,64.0,139.0,279.6,179.5,83.2,67.0,159.0,183.9,213.3,49.4,177.3,168.5,89.6,109.8,273.5,53.8,268.1,27.2,181.1,124.3,6.7,167.1,190.7,2209.6,177.4,235.1,36.4,236.2,91.4,232.3,182.1,224.7,81.0,147.3,202.8,78.4,47.2,275.3,197.9,0.0,37.0,84.5,143.9,85.3,248.8,99.5,160.0,148.5,160.0,196.7,29.3,77.2,179.1,209.0,77.7,80.8,62.8,75.4,45.3,212.4,254.0,204.9,82.8,39.5,87.7,158.7,49.2,240.4,131.0,209.0,126.3,68.5,29.1,54.4,167.4,285.1,272.6,54.3,107.9,273.1,42.2,276.1,186.0,153.5,111.9,97.9,261.9,123.3,175.4,77.0,58.2,91.9,91.3,147.8,157.5,155.7,46.6,55.9
ND,269.0,234.4,214.1,250.1,74.4,179.9,83.1,189.4,129.8,265.1,281.2,167.3,7.1,176.6,180.4,96.1,43.3,185.7,338.3,226.2,115.6,47.3,205.7,230.6,286.2,96.1,224.0,215.2,136.3,171.1,332.2,100.5,294.3,99.6,207.3,171.0,53.4,213.8,216.9,2188.9,226.7,261.3,83.1,268.8,169.7,298.6,228.8,249.4,84.3,194.0,249.5,110.3,93.9,324.0,224.1,46.6,0.0,131.2,190.6,132.0,313.6,160.8,206.7,220.6,175.9,243.4,76.0,56.5,225.8,255.7,123.0,127.5,107.8,103.3,92.0,259.4,280.2,241.1,129.5,86.2,134.4,230.8,52.2,292.7,197.3,255.7,173.0,115.2,52.4,15.7,214.4,361.3,319.3,86.2,139.8,373.7,70.1,322.8,232.7,200.2,143.8,144.6,308.6,190.3,222.1,56.3,21.1,138.6,138.0,194.5,204.2,202.4,93.3,79.0
