from_stop,AD,AO,CC,CO,CX,DO,DV,EB,EC,ED,EG,EH,EX,FB,FD,FF,FI,FL,FQ,FT,GF,GG,GJ,GN,GO,GQ,HR,IK,IO,IT,JB,JF,JH,JO,JT,JU,JW,JZ,KN,KV,KW,LD,LK,LU,LX,MG,MQ,ND,NH,NI,NO,NX,OH,OI,OR,PA,PE,PR,PX,PY,PZ,QB,QK,QO,RB,RD,RH,RL,RT,RY,SE,SM,TD,TW,TZ,UM,UU,UV,UX,VB,VH,VN,VV,WC,WF,WM,WR,WU,XN,XO,XX,XZ,YO,ZA,ZE,ZI,ZJ,ZV,ZX
JO,627.1,768.0,705.1,648.7,612.3,225.4,369.1,356.3,306.4,626.7,604.0,588.3,65.2,298.7,700.1,372.6,42.6,482.5,545.3,802.4,450.3,409.7,458.7,51.9,284.7,376.4,617.4,747.2,353.7,400.9,641.2,346.8,545.2,0.0,536.3,513.7,361.4,483.1,496.4,344.2,393.8,377.0,555.1,746.7,577.9,352.5,321.7,723.5,580.6,233.6,579.7,537.1,216.0,568.8,499.0,241.0,306.9,601.5,368.3,424.7,536.5,584.5,10.4,497.4,723.6,458.5,633.2,426.2,233.3,601.7,344.2,400.6,264.0,178.6,195.1,41.2,641.1,450.9,713.7,259.5,241.2,1768.6,64.0,339.0,465.9,400.4,400.4,579.0,522.6,499.8,618.8,570.1,415.4,465.8,368.3,480.4,658.6,362.6,400.0
JT,184.0,378.5,315.6,235.3,169.2,466.8,356.8,408.8,363.6,240.6,214.5,145.2,503.3,453.1,257.0,359.0,475.2,110.8,8.8,409.7,240.1,307.4,229.6,488.0,352.7,401.1,234.5,357.7,344.6,342.0,251.7,392.4,98.9,512.4,0.0,62.1,404.1,113.2,167.0,428.1,226.8,392.0,136.2,357.2,155.8,437.9,335.5,334.0,191.1,458.7,196.8,40.5,455.7,176.1,273.1,448.1,414.0,208.8,336.7,179.4,264.2,172.2,522.7,75.3,334.1,135.8,240.5,322.4,502.0,209.0,374.7,378.2,486.1,426.3,502.5,551.5,251.6,196.1,267.4,453.9,486.9,1791.3,453.8,366.9,115.8,326.9,314.1,139.3,133.1,104.9,235.9,213.3,205.2,252.1,333.5,80.4,275.7,442.5,306.5
JU,182.6,353.1,290.2,233.8,167.8,464.8,355.4,289.5,362.2,208.6,189.1,149.8,477.9,354.1,255.6,253.9,449.8,109.4,37.5,384.3,238.7,306.0,228.2,462.6,327.3,306.4,208.5,332.3,349.2,340.6,226.3,276.8,97.5,480.4,46.4,0.0,291.4,111.8,141.6,326.8,225.4,390.6,134.8,331.8,154.4,338.9,334.1,308.6,165.7,457.3,170.8,26.1,454.3,150.7,271.7,452.7,412.6,183.4,335.3,178.0,268.8,170.2,497.3,73.9,308.7,134.4,215.1,321.0,386.4,183.6,373.3,376.2,386.5,400.9,402.9,526.1,226.2,129.4,266.0,452.5,371.9,1765.9,428.4,272.2,114.4,325.5,312.7,137.3,107.7,96.9,209.9,211.9,203.8,250.7,332.1,79.0,249.7,343.5,305.1
JW,408.9,549.8,486.9,442.2,459.3,181.4,88.1,19.3,88.0,405.3,385.8,370.1,331.9,130.8,481.9,114.5,305.8,261.1,327.1,581.0,215.9,131.0,205.4,318.6,128.1,26.4,399.2,529.0,100.3,105.0,423.0,47.9,312.0,336.4,314.9,289.5,0.0,261.7,278.2,40.2,172.4,42.9,336.9,528.5,356.5,110.1,96.6,505.3,362.4,154.2,361.5,315.7,180.5,347.4,252.2,164.8,94.7,380.1,140.5,215.6,309.1,366.3,351.3,276.0,505.4,237.1,411.8,120.0,173.1,380.3,60.2,100.2,157.2,256.3,166.6,346.4,422.9,232.7,492.3,175.1,164.6,1962.6,283.0,64.5,247.7,175.3,126.3,357.6,304.4,281.6,400.6,351.9,194.1,207.3,137.3,249.1,440.4,120.2,170.8
JZ,170.6,412.5,349.6,233.6,221.0,346.9,243.5,288.9,250.3,268.0,248.5,131.8,447.3,339.8,243.6,245.7,421.2,44.0,142.9,443.7,126.8,194.1,116.3,434.0,355.1,287.8,255.1,391.7,231.3,228.9,285.7,279.1,73.7,451.8,112.3,110.9,290.8,0.0,149.3,307.9,113.5,278.7,80.6,391.2,100.2,319.1,233.5,368.0,225.1,345.4,224.2,137.1,346.0,210.1,159.8,334.8,300.7,242.8,223.4,59.1,148.7,110.0,466.7,38.0,368.1,34.6,274.5,207.1,382.1,243.0,261.4,258.3,366.2,372.3,373.5,497.5,285.6,82.8,254.0,340.6,373.6,1825.3,398.4,253.6,55.0,213.6,200.8,119.3,167.1,14.8,263.3,100.0,91.8,138.8,220.2,75.5,303.1,329.2,193.2
KN,381.5,522.4,459.5,414.8,431.9,515.7,413.7,378.7,481.0,377.9,358.4,342.7,565.1,443.3,454.5,343.1,539.0,233.7,299.7,553.6,357.5,335.9,347.0,551.8,416.5,395.6,371.8,501.6,462.0,371.4,395.6,366.0,284.6,569.6,287.5,262.1,380.6,271.8,0.0,415.7,287.8,399.4,352.5,501.1,372.1,422.6,464.2,477.9,335.0,466.7,334.1,288.3,520.2,320.0,390.5,477.3,447.3,352.7,338.8,289.8,379.4,381.9,584.5,248.6,478.0,255.9,384.4,357.6,469.6,352.9,416.7,371.1,469.7,490.1,479.1,615.3,395.5,175.0,464.9,522.8,461.1,1935.2,516.2,361.4,220.3,444.3,363.9,330.2,277.0,286.7,373.2,352.7,322.5,369.5,335.6,221.7,413.0,432.7,423.9
KV,438.6,579.5,516.6,471.9,489.0,144.8,86.0,51.9,80.5,435.0,415.5,399.8,345.3,125.5,511.6,112.4,317.2,290.8,356.8,610.7,213.8,128.9,203.3,330.0,139.5,19.8,428.9,558.7,98.2,103.1,452.7,54.8,353.5,347.8,344.6,325.2,29.6,281.8,307.9,0.0,202.1,58.8,362.5,558.2,382.1,110.3,106.5,535.0,392.1,143.3,391.2,345.4,140.3,377.1,250.1,132.7,98.6,409.8,163.8,245.3,309.2,391.9,364.7,305.7,535.1,266.8,441.5,115.9,167.8,410.0,76.1,98.1,151.9,251.0,168.3,341.1,452.6,262.4,522.0,138.5,159.3,1992.3,294.4,94.2,277.4,174.5,124.2,387.3,334.1,296.7,430.3,362.7,218.3,205.2,160.6,291.9,470.1,114.9,168.7
KW,275.2,416.1,353.2,308.5,325.6,295.4,192.0,234.5,198.8,271.6,252.1,236.4,362.5,288.3,348.2,194.2,336.4,127.4,193.4,447.3,74.7,142.6,64.8,349.2,303.6,236.3,265.5,395.3,179.8,177.4,289.3,227.6,178.3,369.4,181.2,155.8,239.3,123.8,162.3,256.4,0.0,227.2,203.2,394.8,222.8,267.6,182.0,371.6,228.7,293.9,227.8,182.0,294.5,213.7,108.3,283.3,249.2,246.4,171.9,81.9,149.0,232.6,381.9,142.3,371.7,103.4,278.1,155.6,330.6,246.6,209.9,204.2,314.7,287.5,322.0,412.7,289.2,135.6,358.6,289.1,322.1,1828.9,313.6,202.1,114.0,162.1,149.3,223.9,170.7,138.7,266.9,204.7,21.6,87.3,168.7,115.4,306.7,277.7,141.7
LD,418.2,559.1,496.2,451.5,468.6,141.6,57.2,20.6,45.0,414.6,395.1,379.4,353.8,144.6,491.2,83.6,327.7,270.4,336.4,590.3,185.0,100.1,174.5,340.5,175.3,79.9,408.5,538.3,69.4,74.1,432.3,57.2,321.3,360.7,324.2,298.8,53.4,253.0,287.5,93.7,181.7,0.0,333.7,537.8,353.3,139.3,53.6,514.6,371.7,140.1,370.8,325.0,140.7,356.7,221.3,129.5,95.4,389.4,135.0,224.9,278.2,363.1,373.2,285.3,514.7,246.4,421.1,89.1,202.3,389.6,17.3,69.3,170.6,285.5,168.2,375.6,432.2,242.0,501.6,135.3,193.8,1971.9,304.9,73.8,257.0,132.3,95.4,366.9,313.7,267.9,409.9,333.9,189.5,176.4,131.8,258.4,449.7,149.4,131.9
LK,184.0,434.2,371.3,247.0,234.4,438.0,334.6,377.1,341.4,289.7,270.2,145.2,524.1,430.9,257.0,336.8,498.0,82.6,156.3,465.4,217.9,285.2,207.4,510.8,446.2,378.9,268.5,413.4,322.4,320.0,307.4,370.2,87.1,528.6,125.7,124.3,381.9,91.0,189.8,399.0,204.6,369.8,0.0,412.9,22.2,410.2,324.6,389.7,246.8,436.5,245.9,150.5,437.1,231.8,250.9,425.9,391.8,264.5,314.5,150.2,239.8,32.0,543.5,51.4,389.8,110.7,296.2,298.2,473.2,264.7,352.5,346.8,457.3,449.1,464.6,574.3,307.3,173.9,267.4,431.7,464.7,1847.0,475.2,344.7,93.6,304.7,291.9,132.7,188.8,76.1,285.0,191.1,182.9,229.9,311.3,88.9,324.8,420.3,284.3
LU,491.2,99.3,145.0,418.4,541.6,685.5,583.5,545.6,614.3,282.6,186.3,452.4,734.9,613.1,492.0,512.9,708.8,393.3,409.4,452.7,490.8,505.7,496.0,721.6,586.3,565.4,355.6,78.5,595.7,541.2,250.4,535.8,394.3,739.4,397.2,371.8,550.4,420.4,400.6,585.5,431.1,569.2,443.4,0.0,463.0,592.4,598.1,377.0,202.9,636.5,327.0,398.0,690.0,388.7,539.5,647.1,617.1,180.6,508.6,428.1,543.1,472.8,754.3,382.5,63.9,440.1,212.3,527.4,639.4,336.7,586.5,540.9,639.5,659.9,648.9,785.1,223.4,388.4,502.4,692.6,630.9,1834.3,686.0,531.2,379.9,590.0,533.7,439.9,330.3,405.5,201.1,520.5,452.8,506.3,505.4,359.2,77.7,602.5,572.9
LX,194.6,444.8,381.9,257.6,245.0,448.6,345.2,387.7,352.0,300.3,280.8,155.8,534.7,441.5,267.6,347.4,508.6,93.2,166.9,476.0,228.5,295.8,218.0,521.4,456.8,389.5,279.1,424.0,333.0,330.6,318.0,380.8,97.7,539.2,136.3,134.9,392.5,101.6,200.4,409.6,215.2,380.4,33.2,423.5,0.0,420.8,335.2,400.3,257.4,447.1,256.5,161.1,447.7,242.4,261.5,436.5,402.4,275.1,325.1,160.8,250.4,9.8,554.1,62.0,400.4,121.3,306.8,308.8,483.8,275.3,363.1,360.0,467.9,459.7,475.2,584.9,317.9,184.5,278.0,442.3,475.3,1857.6,485.8,355.3,104.2,315.3,302.5,143.3,199.4,86.7,295.6,201.7,193.5,240.5,321.9,99.5,335.4,430.9,294.9
MG,460.4,601.3,538.4,482.0,445.6,93.0,162.9,144.3,147.0,456.8,437.3,416.1,250.6,78.5,533.4,189.3,244.0,305.3,378.6,632.5,283.6,205.8,280.2,235.3,58.3,143.9,450.7,580.5,169.6,180.0,474.5,180.9,375.3,273.5,373.0,347.0,153.7,313.2,329.7,124.0,223.9,135.7,388.4,580.0,408.0,0.0,173.0,556.8,413.9,44.0,413.0,367.2,93.9,398.9,332.3,49.1,110.0,431.6,201.6,258.0,369.8,417.8,264.7,327.5,556.9,285.7,463.3,192.8,57.4,431.8,153.0,169.5,41.5,146.1,57.9,236.2,474.4,284.2,543.8,100.1,54.4,1786.2,243.5,172.3,299.2,241.0,201.1,409.1,355.9,333.1,452.1,403.4,245.5,282.1,198.4,313.7,491.9,10.1,240.6
MQ,393.3,589.9,527.0,444.6,378.5,113.3,44.1,65.8,16.7,434.7,425.9,354.5,381.4,116.3,466.3,93.5,372.9,272.7,354.9,621.1,154.6,101.0,144.1,366.1,201.2,106.7,428.6,569.1,21.2,66.3,463.1,102.4,308.2,417.2,341.6,335.6,98.6,222.6,342.9,98.1,180.8,45.1,303.3,568.6,322.9,178.8,0.0,545.4,402.5,111.8,401.6,355.8,108.8,387.5,190.9,112.5,67.1,420.2,144.9,203.8,250.0,322.0,395.5,260.7,545.5,260.2,451.9,83.7,178.3,420.4,27.8,71.2,153.6,276.9,153.6,367.0,463.0,284.3,476.7,107.0,186.2,2002.7,351.5,119.0,277.7,78.6,75.4,331.3,344.5,226.8,440.7,303.5,159.2,146.0,141.7,285.1,480.5,183.4,78.2
ND,558.7,536.6,473.7,535.6,609.1,753.0,651.0,616.0,681.8,498.7,372.6,519.9,802.4,680.6,609.2,580.4,776.3,460.8,476.9,146.5,558.3,573.2,563.5,789.1,653.8,632.9,492.6,515.8,663.2,608.7,409.8,603.3,461.8,809.3,464.7,439.3,617.9,487.9,468.1,653.0,498.6,636.7,510.9,515.3,530.5,659.9,665.6,0.0,395.3,704.0,454.9,465.5,757.5,440.8,607.0,714.6,684.6,366.9,576.1,495.6,610.6,540.3,821.8,450.0,492.2,507.6,398.6,594.9,706.9,473.7,654.0,608.4,707.0,727.4,716.4,852.6,409.7,455.9,619.6,760.1,698.4,1737.0,753.5,598.7,447.4,657.5,601.2,507.4,397.8,473.0,387.4,588.0,520.3,573.8,572.9,426.7,427.2,670.0,640.4
NH,288.2,211.6,148.7,215.4,338.6,482.5,380.5,345.5,411.3,79.6,109.0,249.4,531.9,410.1,289.0,309.9,505.8,190.3,206.4,334.7,287.8,302.7,293.0,518.6,383.3,362.4,152.6,190.8,392.7,338.2,173.1,332.8,191.3,536.4,194.2,168.8,347.4,217.4,197.6,382.5,228.1,366.2,240.4,190.3,260.0,389.4,395.1,259.0,0.0,433.5,124.0,195.0,487.0,185.7,336.5,444.1,414.1,103.3,305.6,225.1,340.1,269.8,551.3,179.5,167.2,237.1,135.0,324.4,436.4,133.7,383.5,337.9,436.5,456.9,445.9,582.1,146.1,185.4,299.4,489.6,427.9,1716.3,483.0,328.2,176.9,387.0,330.7,236.9,127.3,202.5,123.8,317.5,249.8,303.3,302.4,156.2,102.2,399.5,369.9
NI,511.6,655.0,592.1,547.4,562.0,54.3,146.3,129.5,102.9,510.5,491.0,472.8,283.7,61.9,584.6,172.7,279.1,366.3,432.3,686.2,272.9,189.2,262.4,270.4,120.5,127.3,504.4,634.2,150.2,163.2,528.2,164.3,414.7,306.2,420.1,394.7,137.1,340.9,383.4,107.7,277.6,119.1,421.6,633.7,441.2,118.9,118.2,610.5,467.6,0.0,466.7,420.9,53.4,452.6,309.2,10.5,93.4,485.3,224.1,315.1,366.1,451.0,301.8,379.0,610.6,342.3,517.0,178.2,69.1,485.5,136.4,160.8,30.4,181.2,37.4,271.3,528.1,337.9,595.0,56.0,77.0,1821.3,280.0,180.9,352.9,196.9,184.5,460.3,409.6,355.8,505.8,421.8,277.4,264.3,220.9,354.3,545.6,129.0,196.5
NO,225.8,325.1,262.2,88.7,211.0,487.0,385.0,347.1,415.8,43.7,187.2,187.0,536.4,414.6,174.0,314.4,510.3,258.7,286.5,382.4,292.3,307.2,379.8,523.1,387.8,366.9,37.6,304.3,397.2,342.9,224.4,337.3,178.6,540.9,262.5,260.5,351.9,263.4,202.1,387.3,232.6,370.7,286.4,303.8,306.0,393.9,388.3,306.7,113.4,438.0,0.0,280.7,491.5,61.6,423.3,448.6,418.6,181.5,310.1,220.5,414.4,315.8,555.8,225.5,280.7,283.1,213.2,328.9,440.9,18.7,388.0,345.0,441.0,461.4,457.4,586.6,224.3,189.9,184.4,494.1,432.4,1764.0,488.9,332.7,266.0,477.1,335.2,192.5,48.3,248.5,202.0,363.5,254.3,307.8,306.9,230.6,215.7,404.0,456.7
NX,208.8,379.3,316.4,271.7,259.2,485.0,381.6,312.8,388.4,234.8,215.3,170.0,502.1,380.3,281.8,280.1,476.0,129.6,9.9,410.5,264.9,332.2,254.4,488.8,353.5,332.6,228.7,358.5,369.4,367.0,252.5,303.0,111.9,506.6,30.5,26.1,317.6,138.0,167.8,352.7,251.6,416.8,161.0,358.0,180.6,359.6,371.6,334.8,191.9,483.5,191.0,0.0,484.1,176.9,297.9,472.9,438.8,209.6,361.5,197.2,286.8,190.4,521.5,100.1,334.9,157.7,241.3,345.2,406.6,209.8,399.5,393.8,406.7,427.1,416.1,552.3,252.4,155.6,292.2,478.7,398.1,1792.1,453.2,298.4,140.6,351.7,338.9,157.5,133.9,123.1,230.1,238.1,229.9,276.9,358.3,118.3,269.9,369.7,331.3
OH,502.2,650.6,587.7,531.3,487.4,35.3,153.0,169.3,93.5,509.7,486.6,459.8,268.9,103.8,575.2,202.4,262.3,354.6,427.9,681.8,263.5,209.9,253.0,253.6,132.3,171.2,500.0,629.8,137.2,175.2,523.8,205.9,417.1,289.4,422.3,396.3,179.1,331.5,379.0,151.3,273.2,148.6,412.2,629.3,431.8,166.3,119.5,606.1,463.2,63.4,465.9,416.5,0.0,448.2,299.8,49.2,94.0,480.9,250.9,307.3,355.3,441.6,283.0,369.6,606.2,335.0,512.6,192.6,80.9,481.1,131.3,193.2,90.3,164.4,42.7,254.5,523.7,333.5,585.6,46.6,88.8,1804.5,261.8,221.6,348.5,187.5,184.3,450.9,405.2,346.4,505.0,412.4,268.1,254.9,247.7,363.0,544.8,170.9,187.1
OI,220.1,344.5,281.6,94.7,270.5,480.3,378.3,340.4,409.1,92.8,180.5,181.3,529.7,407.9,168.3,307.7,503.6,249.3,280.8,375.7,285.6,300.5,374.1,516.4,381.1,360.2,54.8,323.7,390.5,336.0,217.7,330.6,184.7,536.6,250.2,248.8,345.2,257.7,195.4,380.3,225.9,364.0,280.7,323.2,300.3,387.2,392.9,300.0,157.1,431.3,49.0,275.0,484.8,0.0,417.6,441.9,411.9,174.8,303.4,222.9,406.5,310.1,549.1,219.8,300.1,277.4,206.5,322.2,434.2,67.8,381.3,338.3,434.3,454.7,443.7,579.9,217.6,183.2,178.7,487.4,425.7,1757.3,480.8,326.0,260.3,471.4,328.5,186.8,41.6,242.8,195.3,357.8,247.6,301.1,300.2,238.0,235.1,397.3,451.0
OR,320.8,524.5,461.6,383.8,371.2,325.5,222.1,264.6,228.9,380.0,360.5,282.0,470.9,318.4,393.8,224.3,444.8,194.2,293.1,555.7,105.4,172.7,94.9,457.6,333.7,266.4,373.9,503.7,209.9,207.5,397.7,257.7,223.9,475.4,262.5,261.1,269.4,150.1,270.4,286.5,108.3,257.3,230.8,503.2,250.4,297.7,212.1,480.0,337.1,324.0,336.2,287.3,324.6,322.1,0.0,313.4,279.3,354.8,202.0,124.3,175.3,260.2,490.3,188.2,480.1,184.8,386.5,185.7,360.7,355.0,240.0,234.3,344.8,395.9,352.1,521.1,397.6,211.8,404.2,319.2,352.2,1937.3,422.0,232.2,205.2,192.2,179.4,269.5,279.1,165.0,375.3,231.0,86.6,117.4,198.8,223.8,415.1,307.8,171.8
PA,501.0,665.6,602.7,546.3,536.6,43.7,151.8,138.3,92.3,521.1,501.6,462.2,296.3,72.5,574.0,183.3,289.7,369.6,442.9,696.8,262.3,199.8,251.8,281.0,131.1,137.9,515.0,644.8,139.6,173.8,538.8,174.9,411.9,316.8,437.3,411.3,147.7,330.3,394.0,118.0,288.2,129.7,411.0,644.3,430.6,129.5,107.6,621.1,478.2,10.5,477.3,431.5,42.8,463.2,298.6,0.0,92.8,495.9,234.7,304.5,357.7,440.4,312.4,368.4,621.2,352.9,527.6,186.8,79.7,496.1,130.1,169.0,41.0,191.8,55.0,281.9,538.7,392.0,584.4,45.4,87.6,1831.9,289.2,191.5,363.5,186.3,183.1,449.7,420.2,345.2,516.4,411.2,266.8,253.7,231.5,364.9,556.2,139.6,185.9
PE,460.9,601.8,538.9,494.2,511.3,86.6,111.1,92.5,59.9,457.3,437.8,422.1,337.8,89.6,533.9,137.5,311.7,313.1,379.1,633.0,229.9,154.0,219.4,324.5,134.0,92.1,451.2,581.0,107.2,128.0,475.0,129.1,364.0,344.7,366.9,341.5,85.0,297.9,330.2,72.5,224.4,83.9,378.6,580.5,398.2,116.0,75.2,557.3,414.4,85.1,413.5,367.7,85.7,399.4,266.2,74.5,0.0,432.1,188.9,267.6,323.1,408.0,357.2,328.0,557.4,289.1,463.8,143.0,151.6,432.3,97.7,123.2,115.6,250.2,113.2,340.3,474.9,284.7,544.3,80.3,159.5,1890.3,288.9,145.7,299.7,153.9,149.3,409.6,356.4,312.8,452.6,378.8,234.4,221.3,185.7,301.1,492.4,126.1,153.5
PR,381.6,199.3,136.4,308.8,432.0,575.9,473.9,436.0,504.7,173.0,5.6,342.8,625.3,503.5,382.4,403.3,599.2,283.7,299.8,321.7,381.2,396.1,386.4,612.0,476.7,455.8,246.0,178.5,486.1,431.6,92.7,426.2,284.7,632.2,287.6,262.2,440.8,310.8,291.0,475.9,321.5,459.6,333.8,178.0,353.4,482.8,488.5,246.0,93.3,526.9,217.4,288.4,580.4,279.1,429.9,537.5,507.5,0.0,399.0,318.5,433.5,363.2,644.7,272.9,154.9,330.5,31.6,417.8,529.8,227.1,476.9,433.9,529.9,550.3,539.3,675.5,42.7,278.8,392.8,583.0,521.3,1703.3,576.4,421.6,270.3,480.4,424.1,330.3,220.7,295.9,20.4,410.9,343.2,396.7,395.8,249.6,89.9,492.9,463.3
PX,392.5,533.4,470.5,425.8,442.9,188.7,74.8,65.4,126.5,388.9,369.4,353.7,328.1,116.3,465.5,119.2,302.0,244.7,310.7,564.6,215.7,135.7,210.1,314.8,131.6,64.3,382.8,512.6,87.0,109.7,406.6,52.7,295.6,332.6,298.5,273.1,67.3,245.3,261.8,84.4,156.0,86.1,320.5,512.1,340.1,95.6,109.7,488.9,346.0,139.7,345.1,299.3,193.2,331.0,264.4,150.3,138.3,363.7,0.0,199.2,299.7,349.9,347.5,259.6,489.0,220.7,395.4,124.7,158.6,363.9,103.4,32.2,142.7,241.8,152.1,331.9,406.5,216.3,475.9,195.8,150.1,1946.2,279.2,30.1,231.3,174.2,131.0,341.2,288.0,265.2,384.2,335.5,177.7,212.0,120.9,232.7,424.0,105.7,173.8
PY,241.8,407.5,344.6,288.2,227.0,313.1,209.7,264.2,216.5,256.0,243.5,203.0,402.1,306.0,314.8,211.9,374.0,111.5,184.8,438.7,93.0,160.3,82.5,386.8,321.3,254.0,256.9,386.7,197.5,194.9,280.7,245.3,156.7,400.0,179.2,153.2,257.0,71.1,146.0,283.5,79.7,244.9,151.8,386.2,171.4,290.8,188.4,363.0,220.1,311.6,219.2,173.4,308.6,205.1,126.0,301.0,266.9,237.8,189.6,0.0,117.1,181.2,421.5,109.2,363.1,91.9,269.5,175.3,357.4,238.0,227.6,224.5,332.4,325.1,348.8,450.3,280.6,119.3,325.2,306.8,339.8,1820.3,352.6,219.8,105.4,179.8,167.0,190.5,162.1,86.0,258.3,152.0,58.1,105.0,186.4,119.9,298.1,295.4,159.4
PZ,296.6,507.7,444.8,358.8,281.8,369.3,265.9,308.4,272.7,363.2,343.7,257.8,498.5,362.2,369.6,268.1,472.4,170.0,268.9,538.9,149.2,216.5,138.7,485.2,377.5,310.2,357.1,486.9,253.7,251.3,380.9,301.5,199.7,505.4,244.9,242.9,313.2,125.9,246.2,330.6,135.9,301.1,206.6,486.4,226.2,347.0,244.6,463.2,320.3,367.8,319.4,263.1,368.4,305.3,182.2,357.2,323.1,338.0,245.8,107.1,0.0,236.0,517.9,164.0,463.3,160.6,369.7,229.5,404.5,338.2,283.8,278.1,388.6,423.5,405.0,548.7,380.8,187.6,380.0,363.0,396.0,1920.5,451.0,276.0,181.0,236.0,223.2,245.3,262.3,140.8,358.5,206.8,114.2,161.2,242.6,195.9,398.3,351.6,215.6
QB,205.3,455.5,392.6,256.6,240.9,459.3,355.9,401.3,362.7,311.0,291.5,166.5,545.4,452.2,278.3,358.1,519.3,103.9,177.6,486.7,239.2,306.5,228.7,532.1,467.5,400.2,289.8,434.7,343.7,341.1,328.7,391.5,108.4,552.3,153.6,145.6,403.2,112.3,211.1,420.6,225.9,391.1,43.9,434.2,10.7,437.0,345.9,411.0,268.1,457.8,267.2,171.8,458.4,253.1,272.2,447.2,413.1,285.8,335.8,178.5,263.3,0.0,564.8,72.7,411.1,132.0,317.5,321.5,494.5,286.0,373.8,368.1,478.6,470.4,495.0,595.6,328.6,195.2,288.7,453.0,486.0,1868.3,496.5,366.0,114.9,326.0,313.2,154.0,210.1,97.4,306.3,212.4,204.3,251.2,332.6,97.1,346.1,441.6,305.6
QK,621.3,762.2,699.3,642.9,606.5,219.6,360.1,352.5,300.6,617.7,598.2,584.5,61.4,289.7,694.3,366.8,36.8,466.2,539.5,793.4,444.5,400.7,449.7,46.1,278.9,367.4,611.6,741.4,347.9,395.3,635.4,337.8,536.2,9.7,533.9,507.9,352.4,474.1,490.6,335.8,384.8,371.2,549.3,740.9,568.9,352.2,326.6,717.7,574.8,224.6,573.9,528.1,210.6,559.8,493.2,235.2,301.1,592.5,362.5,418.9,530.7,578.7,0.0,488.4,717.8,446.6,624.2,422.4,227.5,592.7,338.4,394.8,258.2,169.6,189.3,30.7,635.3,445.1,704.7,253.7,235.4,1759.6,56.8,333.2,460.1,394.6,391.4,570.0,516.8,496.0,613.0,564.3,406.4,460.0,359.3,474.6,652.8,356.8,394.2
QO,132.5,382.7,319.8,195.5,182.9,384.8,281.4,323.9,288.2,238.2,218.7,93.7,470.9,377.7,205.5,283.6,444.8,29.4,104.8,413.9,164.7,232.0,154.2,457.6,393.0,325.7,217.0,361.9,269.2,266.8,255.9,317.0,35.6,475.4,74.2,72.8,328.7,37.8,136.6,345.8,151.4,316.6,60.8,361.4,80.4,357.0,271.4,338.2,195.3,383.3,194.4,99.0,383.9,180.3,197.7,372.7,338.6,213.0,261.3,97.0,186.6,90.2,490.3,0.0,338.3,57.5,244.7,245.0,420.0,213.2,299.3,296.2,404.1,395.9,411.4,521.1,255.8,120.7,215.9,378.5,411.5,1795.5,422.0,291.5,40.4,251.5,238.7,81.2,137.3,22.9,233.5,137.9,129.7,176.7,258.1,37.4,273.3,367.1,231.1
RB,462.5,99.6,116.3,389.7,512.9,656.8,554.8,516.9,585.6,253.9,157.6,423.7,706.2,584.4,463.3,484.2,680.1,364.6,380.7,424.0,462.1,477.0,467.3,692.9,557.6,536.7,326.9,78.8,567.0,512.5,221.7,507.1,365.6,713.1,368.5,343.1,521.7,391.7,371.9,556.8,402.4,540.5,414.7,78.3,434.3,563.7,569.4,348.3,174.2,607.8,298.3,369.3,661.3,360.0,510.8,618.4,588.4,151.9,479.9,399.4,514.4,444.1,725.6,353.8,0.0,411.4,183.6,498.7,610.7,308.0,557.8,512.2,610.8,631.2,620.2,756.4,194.7,359.7,473.7,663.9,602.2,1805.6,657.3,502.5,351.2,561.3,505.0,411.2,301.6,376.8,172.4,491.8,424.1,477.6,476.7,330.5,49.0,573.8,544.2
RD,200.2,377.8,314.9,251.5,185.4,371.5,268.1,313.5,274.9,233.3,213.8,161.4,473.9,364.4,273.2,270.3,445.8,79.6,152.2,409.0,151.4,218.7,140.9,458.6,379.7,312.4,224.3,357.0,258.8,253.3,251.0,303.7,115.1,481.7,148.5,123.5,315.4,24.5,106.2,335.7,138.1,303.3,110.2,356.5,129.8,349.2,246.8,333.3,190.4,370.0,186.6,143.7,367.0,175.4,184.4,362.3,325.3,208.1,248.0,90.7,178.4,139.6,493.3,67.6,333.4,0.0,239.8,233.7,409.6,208.3,286.0,280.3,393.7,396.9,410.1,522.1,250.9,107.4,283.6,365.2,398.2,1790.6,424.4,278.2,75.7,238.2,225.4,148.9,132.4,44.4,225.7,124.6,116.5,163.4,244.8,90.2,265.5,353.8,217.8
RH,406.3,224.0,161.1,333.5,456.7,600.6,498.6,460.7,529.4,197.7,36.2,367.5,650.0,528.2,407.1,428.0,623.9,308.4,324.5,346.4,405.9,420.8,411.1,636.7,501.4,480.5,270.7,203.2,510.8,456.3,123.3,450.9,309.4,656.9,312.3,286.9,465.5,335.5,315.7,500.6,346.2,484.3,358.5,202.7,378.1,507.5,513.2,270.7,118.0,551.6,242.1,313.1,605.1,303.8,454.6,562.2,532.2,24.6,423.7,343.2,458.2,387.9,669.4,297.6,179.6,355.2,0.0,442.5,554.5,251.8,501.6,456.0,554.6,575.0,564.0,700.2,73.3,303.5,417.5,607.7,546.0,1728.0,601.1,446.3,295.0,505.1,448.8,355.0,245.4,320.6,51.0,435.6,367.9,421.4,420.5,274.3,114.6,517.6,488.0
