from_stop,AF,AI,AK,AQ,AT,BO,BV,CC,CE,CO,CP,DB,DK,DN,DR,DW,EB,EF,EJ,EN,EP,ET,FF,FJ,FL,FO,FQ,FR,FT,FW,FX,FZ,GD,GG,GI,GK,GR,GT,GV,HA,HB,HG,HH,HO,HP,HT,IF,IS,IT,IY,IZ,JE,JM,JP,JV,KB,KE,KH,KL,KN,KO,KP,KS,LC,ME,MH,ML,MW,NB,NK,NO,NT,NU,NX,NZ,OE,OG,OK,PC,PD,PE,PG,PP,QD,QH,QY,RD,RN,SJ,SL,SU,SX,TE,TL,TO,TS,TY,UL,UM,UV,VA,VF,VR,VV,VX,WA,WE,WR,WW,WY,XC,XI,XO,YE,YF,YI,YJ,YT,YX,YY,ZE,ZT
FO,549.5,694.4,354.2,520.9,166.9,561.4,193.2,499.2,538.3,497.8,156.7,41.8,57.4,580.7,670.9,451.5,572.4,730.7,261.9,432.0,405.5,162.3,746.0,380.2,266.4,0.0,490.9,289.3,175.9,1185.4,393.2,517.4,92.9,469.3,108.1,1187.3,29.9,1221.0,318.2,1263.9,597.3,125.5,352.3,558.2,301.8,194.0,74.6,554.2,492.9,539.8,166.4,183.7,243.5,1209.3,168.5,458.1,483.6,167.0,142.2,429.3,298.5,119.5,596.8,1198.3,535.1,272.4,1162.1,287.6,431.6,1808.5,315.9,704.9,541.5,557.2,686.5,722.7,1197.8,564.7,1199.1,586.1,563.2,98.4,88.0,534.5,804.5,149.4,508.8,1164.4,1186.5,561.1,80.9,37.3,484.1,608.2,147.6,498.4,513.7,121.8,234.0,583.9,221.0,664.5,484.6,118.2,535.3,565.7,452.3,583.0,691.4,388.8,96.7,145.6,609.3,83.7,621.9,509.5,141.7,573.2,222.8,115.7,530.1,523.6
FQ,967.0,203.4,771.7,221.6,584.4,978.9,359.7,209.3,955.8,915.3,574.2,459.3,479.1,998.2,179.9,152.2,989.9,239.7,376.2,849.5,148.3,404.0,255.0,797.7,380.7,440.7,0.0,706.8,593.4,694.4,810.7,934.9,359.0,886.8,479.1,696.3,470.7,730.0,735.7,772.9,1014.8,545.3,157.3,975.7,719.3,387.1,406.1,971.7,1.9,957.3,369.6,286.4,359.8,718.3,384.4,158.8,901.1,300.7,559.7,846.8,716.0,361.2,1014.3,707.3,952.6,689.9,671.1,365.2,174.4,1440.3,353.2,1122.4,959.0,974.7,1104.0,231.7,706.8,982.2,708.1,1003.6,980.7,465.0,505.5,952.0,313.5,566.9,18.3,673.4,695.5,261.8,472.4,454.8,184.8,1025.7,565.1,199.1,22.7,329.3,651.5,284.6,250.6,173.5,902.1,535.7,44.3,983.2,869.8,1000.5,200.4,131.6,355.1,410.0,1026.8,452.8,1039.4,18.5,559.2,990.7,640.3,533.2,230.8,941.1
FR,441.8,1094.4,240.8,920.9,390.2,453.7,593.2,899.2,430.6,390.1,388.9,419.7,485.7,473.0,1070.9,851.5,774.4,1130.7,592.1,324.3,805.5,563.8,1146.0,591.5,597.2,443.2,890.9,0.0,361.2,1444.9,604.5,409.7,492.9,361.6,479.8,1441.1,473.2,1480.5,28.8,1393.5,489.6,468.9,752.3,450.5,487.1,513.5,450.9,446.5,892.9,432.1,566.4,583.7,657.3,1365.2,568.5,858.1,368.9,567.0,404.3,640.6,59.8,519.5,489.1,1457.8,427.4,457.7,1421.6,609.9,825.9,1700.8,616.0,597.2,752.8,449.5,897.8,1122.7,1457.3,457.0,1480.3,481.1,449.8,471.6,348.2,426.8,1204.5,381.6,908.8,1423.9,1440.3,961.1,432.8,420.0,884.1,500.5,409.7,893.7,913.7,521.8,419.3,978.2,621.0,1064.5,376.9,344.7,935.3,458.0,649.6,475.3,1091.4,788.8,496.7,545.6,820.6,459.4,514.2,909.5,327.0,465.5,432.9,377.8,930.1,415.9
FT,473.5,807.1,278.2,633.6,111.8,485.4,305.9,611.9,462.3,421.8,101.6,132.4,198.4,504.7,783.6,564.2,377.3,843.4,305.4,356.0,518.2,275.0,858.7,185.1,309.9,155.9,603.6,213.3,0.0,1298.1,198.1,441.4,205.6,393.3,194.0,1300.0,185.9,1333.7,242.2,1376.6,521.3,181.6,465.0,482.2,125.8,226.2,187.3,478.2,605.6,463.8,279.1,296.4,356.2,1322.0,281.2,570.8,407.6,279.7,117.0,234.2,222.5,232.2,520.8,1311.0,459.1,96.4,1274.8,322.6,544.3,1732.5,341.4,628.9,346.4,481.2,491.4,835.4,1310.5,488.7,1311.8,510.1,487.2,184.3,60.9,458.5,917.2,94.3,621.5,1277.1,1299.2,673.8,145.5,110.7,596.8,532.2,122.4,611.1,626.4,234.5,58.0,696.6,333.7,777.2,408.6,63.1,648.0,489.7,257.2,507.0,804.1,501.5,209.4,258.3,414.2,172.1,545.9,622.2,25.8,497.2,145.6,90.5,642.8,447.6
FW,1498.9,790.8,1493.6,1049.9,1412.7,1597.2,1188.0,1028.2,1487.7,1512.9,1402.5,1287.6,1307.4,1530.1,817.2,980.5,1818.2,692.3,1204.5,1482.0,976.6,1232.3,707.6,1626.0,1209.0,1269.0,828.2,1535.1,1421.7,0.0,1639.0,1466.8,1187.3,1418.7,1307.4,103.9,1299.0,154.2,1564.0,362.8,1552.3,1373.6,985.6,1594.0,1547.6,1215.4,1234.4,1503.6,826.0,1489.2,1197.9,1114.7,1188.1,308.2,1212.7,987.1,1523.1,1129.0,1388.0,1675.1,1544.3,1189.5,1546.2,114.9,1593.2,1518.2,78.7,1193.5,1002.7,1520.1,1181.5,1654.3,1787.3,1512.2,1932.3,598.5,131.0,1514.1,162.2,1535.5,1512.6,1293.3,1333.8,1483.9,766.1,1395.2,846.6,202.0,117.5,1090.1,1300.7,1283.1,1013.1,1557.6,1393.4,1027.4,805.2,1157.6,1479.8,1112.9,1078.9,748.9,1434.0,1364.0,783.8,1515.1,1698.1,1618.8,633.4,959.9,1183.4,1238.3,1855.1,1281.1,1576.9,809.4,1387.5,1522.6,1468.6,1361.5,1059.1,1473.0
FX,692.5,1052.1,497.2,878.6,356.8,704.4,550.9,856.9,681.3,640.8,346.6,377.4,443.4,723.7,1028.6,809.2,179.1,1088.4,550.4,575.0,763.2,520.0,1103.7,12.9,554.9,400.9,848.6,432.3,223.8,1543.1,0.0,660.4,450.6,612.3,439.0,1545.0,517.4,1578.7,461.2,1644.2,740.3,426.6,710.0,701.2,199.9,471.2,432.3,697.2,850.6,682.8,524.1,541.4,601.2,1567.0,526.2,815.8,626.6,524.7,362.0,36.0,441.5,477.2,739.8,1556.0,678.1,121.8,1519.8,567.6,789.3,1951.5,586.4,847.9,148.2,700.2,293.2,1080.4,1555.5,707.7,1556.8,729.1,706.2,429.3,305.9,677.5,1162.2,339.3,866.5,1522.1,1544.2,918.8,390.5,355.7,841.8,751.2,367.4,856.1,871.4,479.5,161.4,941.6,578.7,1022.2,627.6,308.1,893.0,708.7,59.0,726.0,1049.1,746.5,454.4,503.3,216.0,417.1,764.9,867.2,266.7,716.2,390.6,335.5,887.8,666.6
FZ,124.0,1166.0,328.2,992.5,470.7,261.4,664.8,970.8,151.9,159.1,460.5,491.3,557.3,79.7,1142.5,923.1,855.3,1189.9,664.3,244.3,877.1,633.9,1205.2,663.1,668.8,514.8,962.5,426.7,432.8,1312.9,676.1,0.0,564.5,64.9,552.9,1314.8,544.8,1348.5,455.6,1261.5,216.5,540.5,823.9,258.2,558.7,585.1,546.2,53.2,964.5,153.4,638.0,655.3,715.1,1233.2,640.1,929.7,169.3,638.6,475.9,712.2,435.9,591.1,152.8,1325.8,268.3,529.3,1289.6,681.5,903.2,1568.8,700.3,223.9,824.4,176.4,969.4,1096.1,1325.3,63.7,1326.6,68.6,45.7,543.2,419.8,70.1,1263.7,453.2,980.4,1291.9,1314.0,1032.7,504.4,469.6,955.7,127.2,481.3,970.0,985.3,593.4,490.9,1055.5,692.6,1136.1,80.2,422.0,1006.9,48.2,735.2,283.0,1131.0,860.4,568.3,617.2,892.2,531.0,241.1,981.1,398.6,186.8,504.5,449.4,1001.7,137.2
GD,607.9,601.4,412.6,427.9,225.3,619.8,129.9,406.2,596.7,556.2,215.1,100.2,120.0,639.1,577.9,358.5,630.8,637.7,119.1,490.4,312.5,69.3,653.0,438.6,123.6,81.6,397.9,347.7,234.3,1092.4,451.6,575.8,0.0,527.7,156.1,1094.3,111.6,1128.0,376.6,1170.9,655.7,186.2,259.3,616.6,360.2,28.0,47.0,612.6,399.9,598.2,73.4,90.7,150.5,1116.3,105.2,365.1,542.0,74.0,200.6,487.7,356.9,26.5,655.2,1105.3,593.5,330.8,1069.1,144.8,338.6,1866.9,173.1,763.3,599.9,615.6,744.9,629.7,1104.8,623.1,1106.1,644.5,621.6,165.3,146.4,592.9,711.5,207.8,415.8,1071.4,1093.5,468.1,113.3,95.7,391.1,666.6,206.0,405.4,420.7,28.8,292.4,490.9,128.0,571.5,543.0,176.6,442.3,624.1,510.7,641.4,598.4,295.8,3.7,75.3,667.7,93.7,680.3,416.5,200.1,631.6,281.2,174.1,437.1,582.0
GG,114.4,1133.9,296.1,960.4,438.6,212.7,632.7,938.7,103.2,94.1,428.4,459.2,525.2,127.6,1110.4,891.0,823.2,1167.2,632.2,221.6,845.0,601.8,1182.5,631.0,636.7,482.7,930.4,394.6,400.7,1290.2,644.0,64.3,532.4,0.0,520.8,1292.1,512.7,1325.8,423.5,1238.8,167.8,508.4,791.8,209.5,526.6,553.0,514.1,101.1,932.4,104.7,605.9,623.2,683.0,1210.5,608.0,897.6,104.3,606.5,443.8,680.1,403.8,559.0,161.7,1303.1,219.6,497.2,1266.9,649.4,871.1,1546.1,668.2,251.8,792.3,127.7,937.3,1073.4,1302.6,111.6,1303.9,133.0,110.1,511.1,387.7,81.4,1241.0,421.1,948.3,1269.2,1291.3,1000.6,472.3,437.5,923.6,155.1,449.2,937.9,953.2,561.3,458.8,1023.4,660.5,1104.0,15.2,389.9,974.8,112.6,703.1,234.3,1108.3,828.3,536.2,585.1,860.1,498.9,192.4,949.0,366.5,138.1,472.4,417.3,969.6,88.5
GI,598.3,699.1,401.5,524.1,206.8,610.2,225.5,513.3,587.1,546.6,205.5,115.8,59.8,629.5,675.6,456.2,611.9,735.4,221.2,480.8,410.2,97.5,749.2,429.0,226.3,72.0,495.6,332.1,224.7,1190.1,442.0,566.2,97.6,518.1,0.0,1192.0,128.8,1225.7,367.0,1268.6,646.1,140.8,355.5,607.0,350.6,130.7,55.6,603.0,497.6,588.6,197.7,188.4,262.0,1214.0,173.2,462.8,525.4,171.7,191.0,478.1,347.3,124.2,644.1,1203.0,582.4,321.2,1166.8,214.6,434.8,1857.3,247.3,753.7,590.3,606.0,735.3,727.4,1202.5,613.5,1225.5,636.1,610.5,9.1,136.8,583.3,809.2,198.2,513.5,1169.1,1189.7,565.8,96.2,112.5,488.8,657.0,196.4,498.4,518.4,125.0,281.3,587.1,225.7,669.2,533.4,165.5,540.0,614.5,487.1,631.8,696.1,392.0,101.4,91.5,656.6,33.5,670.7,514.2,190.5,620.5,271.6,164.5,534.8,572.4
GK,1507.7,799.6,1502.4,1058.7,1412.6,1606.0,1196.8,1037.0,1496.5,1521.7,1411.3,1296.4,1316.2,1538.9,826.0,989.3,1817.7,701.1,1212.7,1490.8,985.4,1241.9,716.4,1634.8,1217.8,1277.8,837.0,1537.9,1430.5,90.8,1647.8,1475.6,1196.1,1427.5,1316.2,0.0,1307.8,163.0,1572.8,371.6,1561.1,1382.4,994.4,1602.8,1556.4,1224.2,1243.2,1512.4,834.8,1498.0,1206.7,1123.5,1210.7,317.0,1221.5,995.9,1531.9,1137.8,1396.8,1683.9,1553.1,1198.3,1555.0,23.9,1602.0,1527.0,58.5,1202.3,1011.5,1528.9,1177.7,1663.1,1796.1,1521.0,1941.1,607.3,139.8,1522.9,171.0,1547.0,1521.4,1302.1,1342.6,1492.7,774.9,1404.0,855.4,210.8,126.3,1098.9,1309.5,1320.9,1021.9,1566.4,1402.2,1036.2,814.0,1166.4,1488.6,1121.7,1087.7,757.7,1442.8,1372.8,792.6,1523.9,1706.9,1627.6,642.2,968.7,1192.2,1247.1,1863.9,1289.9,1585.7,818.2,1396.3,1531.4,1477.4,1370.3,1067.9,1481.8
GR,595.9,740.8,400.6,567.3,213.3,607.8,255.5,545.6,584.7,544.2,203.1,93.4,103.8,627.1,717.3,497.9,618.8,777.1,231.9,478.4,451.9,214.6,792.4,426.6,236.4,46.3,537.3,335.7,222.3,1231.8,439.6,563.8,139.3,515.7,117.0,1233.7,0.0,1267.4,364.6,1310.3,643.7,171.9,398.7,604.6,348.2,164.0,167.0,600.6,539.3,586.2,247.4,230.1,289.9,1255.7,242.6,504.5,530.0,213.4,188.6,475.7,344.9,165.9,643.2,1244.7,581.5,318.8,1208.5,257.6,478.0,1854.9,285.9,751.3,587.9,603.6,732.9,769.1,1244.2,611.1,1245.5,632.5,609.6,107.3,134.4,580.9,850.9,195.8,555.2,1210.8,1232.9,607.5,106.5,83.7,530.5,654.6,194.0,544.8,560.1,168.2,280.4,630.3,324.9,710.9,531.0,164.6,581.7,612.1,498.7,629.4,737.8,435.2,143.1,208.6,655.7,95.1,668.3,555.9,188.1,619.6,269.2,162.1,576.5,570.0
GT,1518.2,810.1,1512.9,1069.2,1432.0,1616.5,1207.3,1056.9,1507.0,1532.2,1421.8,1306.9,1326.7,1549.4,836.5,999.8,1837.5,711.6,1223.8,1501.3,995.9,1251.6,726.9,1645.3,1228.3,1288.3,847.5,1554.4,1441.0,157.9,1658.3,1486.1,1206.6,1438.0,1326.7,159.8,1318.3,0.0,1583.3,382.1,1571.6,1392.9,1004.9,1613.3,1566.9,1234.7,1253.7,1522.9,845.3,1508.5,1217.2,1134.0,1207.4,327.5,1232.0,1006.4,1542.4,1148.3,1407.3,1694.4,1563.6,1208.8,1565.5,170.8,1612.5,1537.5,134.6,1212.8,1022.0,1539.4,1200.8,1673.6,1806.6,1531.5,1951.6,617.8,38.9,1533.4,130.1,1554.8,1531.9,1312.6,1353.1,1503.2,785.4,1414.5,865.9,221.3,85.4,1109.4,1320.0,1302.4,1032.4,1576.9,1412.7,1046.7,824.5,1176.9,1499.1,1132.2,1098.2,768.2,1453.3,1383.3,803.1,1534.4,1717.4,1638.1,652.7,979.2,1202.7,1257.6,1874.4,1300.4,1596.2,828.7,1406.8,1541.9,1487.9,1380.8,1078.4,1492.3
GV,478.4,1131.0,283.1,957.5,435.7,490.3,629.8,945.2,467.2,426.7,425.5,456.3,522.3,509.6,1107.5,888.1,820.3,1167.3,629.3,360.9,842.1,598.9,1182.6,628.1,633.8,479.8,927.5,36.5,397.8,1481.5,641.1,446.3,529.5,398.2,517.9,1483.4,509.8,1517.1,0.0,1430.1,526.2,505.5,788.9,487.1,523.7,550.1,511.2,483.1,929.5,468.7,603.0,620.3,680.1,1401.8,605.1,894.7,412.5,603.6,440.9,677.2,96.4,556.1,525.7,1494.4,464.0,494.3,1458.2,646.5,868.2,1737.4,665.3,633.8,789.4,486.1,934.4,1159.3,1493.9,493.6,1495.2,515.0,492.1,508.2,384.8,463.4,1241.1,418.2,945.4,1460.5,1482.6,997.7,469.4,434.6,920.7,537.1,446.3,935.0,950.3,558.4,455.9,1020.5,657.6,1101.1,413.5,387.0,971.9,494.6,700.2,511.9,1128.0,825.4,533.3,582.2,857.2,496.0,550.8,946.1,363.6,502.1,469.5,414.4,966.7,452.5
HA,1389.5,681.4,1384.2,940.5,1303.3,1487.8,1078.6,928.2,1378.3,1403.5,1293.1,1178.2,1198.0,1420.7,707.8,871.1,1708.8,582.9,1095.1,1372.6,867.2,1122.9,598.2,1516.6,1099.6,1159.6,718.8,1425.7,1312.3,395.4,1529.6,1357.4,1077.9,1309.3,1198.0,397.3,1189.6,431.0,1454.6,0.0,1442.9,1264.2,876.2,1484.6,1438.2,1106.0,1125.0,1394.2,716.6,1379.8,1088.5,1005.3,1078.7,230.6,1103.3,877.7,1413.7,1019.6,1278.6,1565.7,1434.9,1080.1,1436.8,408.3,1483.8,1408.8,372.1,1084.1,893.3,1410.7,1072.1,1544.9,1677.9,1402.8,1822.9,489.1,407.8,1404.7,439.0,1426.1,1403.2,1183.9,1224.4,1374.5,656.7,1285.8,737.2,374.4,394.3,980.7,1191.3,1173.7,903.7,1448.2,1284.0,918.0,695.8,1048.2,1370.4,1003.5,969.5,639.5,1324.6,1254.6,674.4,1405.7,1588.7,1509.4,524.0,850.5,1074.0,1128.9,1745.7,1171.7,1467.5,700.0,1278.1,1413.2,1359.2,1252.1,949.7,1363.6
HB,120.5,1196.2,358.4,1022.7,500.9,140.7,695.0,1001.0,80.4,235.4,490.7,521.5,587.5,252.6,1172.7,953.3,885.5,1274.2,694.5,328.6,907.3,664.1,1289.5,693.3,699.0,545.0,992.7,456.9,463.0,1397.2,706.3,189.3,594.7,167.2,583.1,1399.1,575.0,1432.8,485.8,1345.8,0.0,570.7,854.1,137.5,588.9,615.3,576.4,226.1,994.7,106.1,668.2,685.5,745.3,1317.5,670.3,959.9,221.2,668.8,506.1,742.4,466.1,621.3,167.8,1410.1,147.6,559.5,1373.9,711.7,933.4,1653.1,730.5,330.5,854.6,25.1,999.6,1180.4,1409.6,236.6,1410.9,258.0,235.1,573.4,450.0,206.4,1348.0,483.4,1010.6,1376.2,1398.3,1062.9,534.6,499.8,985.9,253.8,511.5,1000.2,1015.5,623.6,521.1,1085.7,722.8,1166.3,182.5,452.2,1037.1,237.6,765.4,162.3,1215.3,890.6,598.5,647.4,922.4,561.2,24.5,1011.3,428.8,139.5,534.7,479.6,1031.9,69.4
HG,666.9,822.4,471.6,648.9,275.4,678.8,321.2,627.2,655.7,615.2,274.1,128.6,100.9,698.1,798.9,579.5,680.5,858.7,320.7,549.4,533.5,248.7,874.0,497.6,325.2,162.0,618.9,400.7,293.3,1313.4,510.6,634.8,220.9,586.7,150.1,1315.3,192.0,1349.0,435.6,1391.9,714.7,0.0,480.3,675.6,419.2,282.4,202.6,671.6,620.9,657.2,294.4,311.7,385.3,1337.3,296.5,586.1,601.0,295.0,259.6,546.7,415.9,247.5,714.2,1326.3,652.5,389.8,1290.1,337.9,559.6,1925.9,344.0,822.3,658.9,674.6,803.9,850.7,1325.8,682.1,1348.8,706.2,680.6,141.9,205.4,651.9,932.5,266.8,636.8,1292.4,1314.5,689.1,109.0,162.4,612.1,725.6,265.0,626.4,641.7,249.8,351.4,711.9,349.0,792.5,602.0,235.6,663.3,683.1,569.7,700.4,819.4,516.8,224.7,243.2,726.7,127.2,739.3,637.5,259.1,690.6,340.2,233.1,658.1,641.0
HH,809.6,568.2,614.3,394.7,418.1,821.5,202.3,373.0,798.4,757.9,416.8,301.9,321.7,840.8,544.7,325.3,832.5,604.5,218.2,692.1,279.3,248.1,619.8,640.3,223.3,283.3,364.7,549.4,436.0,1059.2,653.3,777.5,201.6,729.4,321.7,1061.1,313.3,1094.8,578.3,1137.7,857.4,387.9,0.0,818.3,561.9,229.7,248.7,814.3,366.7,799.9,212.2,129.0,216.2,1083.1,227.0,331.9,736.7,143.3,402.3,689.4,558.6,203.8,856.9,1072.1,795.2,532.5,1035.9,207.8,305.4,1805.1,195.8,965.0,801.6,817.3,946.6,596.5,1071.6,824.8,1072.9,848.9,823.3,307.6,348.1,794.6,678.3,409.5,382.6,1038.2,1060.3,434.9,315.0,297.4,357.9,868.3,407.7,372.2,387.5,171.9,494.1,457.7,93.2,538.3,744.7,378.3,409.1,825.8,712.4,843.1,565.2,262.6,197.7,252.6,869.4,295.4,882.0,383.3,401.8,833.3,482.9,375.8,403.9,783.7
HO,158.0,1192.9,355.1,1019.4,497.6,56.0,691.7,997.7,117.9,232.1,487.4,518.2,584.2,290.1,1169.4,950.0,882.2,1229.2,691.2,319.9,904.0,660.8,1244.5,690.0,695.7,541.7,989.4,453.6,459.7,1434.7,703.0,226.8,591.4,204.7,579.8,1436.6,571.7,1470.3,482.5,1383.3,153.3,567.4,850.8,0.0,585.6,612.0,573.1,263.6,991.4,143.6,664.9,682.2,742.0,1355.0,667.0,956.6,217.9,665.5,502.8,739.1,462.8,618.0,205.3,1447.6,144.3,556.2,1411.4,708.4,930.1,1690.6,727.2,368.0,851.3,113.2,996.3,1217.9,1447.1,274.1,1448.4,295.5,272.6,570.1,446.7,243.9,1303.0,480.1,1007.3,1413.7,1435.8,1059.6,531.3,496.5,982.6,291.3,508.2,996.9,1012.2,620.3,517.8,1082.4,719.5,1163.0,219.5,448.9,1033.8,275.1,762.1,106.6,1252.8,887.3,595.2,644.1,919.1,557.9,177.9,1008.0,425.5,177.0,531.4,476.3,1028.6,106.9
HP,608.8,942.4,413.5,768.9,247.1,620.7,441.2,747.2,597.6,557.1,236.9,267.7,333.7,640.0,918.9,699.5,342.8,978.7,440.7,491.3,653.5,410.3,994.0,150.6,445.2,291.2,738.9,348.6,135.2,1433.4,163.6,576.7,340.9,528.6,329.3,1435.3,321.2,1469.0,377.5,1511.9,656.6,316.9,600.3,617.5,0.0,361.5,322.6,613.5,740.9,599.1,414.4,431.7,491.5,1457.3,416.5,706.1,542.9,415.0,252.3,199.7,357.8,367.5,656.1,1446.3,594.4,61.9,1410.1,457.9,679.6,1867.8,476.7,764.2,311.9,616.5,456.9,970.7,1445.8,624.0,1447.1,645.4,622.5,319.6,196.2,593.8,1052.5,229.6,756.8,1412.4,1434.5,809.1,280.8,246.0,732.1,667.5,257.7,746.4,761.7,369.8,72.8,831.9,469.0,912.5,543.9,198.4,783.3,625.0,222.7,642.3,939.4,636.8,344.7,393.6,379.7,307.4,681.2,757.5,161.1,632.5,280.9,225.8,778.1,582.9
HT,634.7,671.4,439.4,497.9,252.1,646.6,114.6,476.2,623.5,583.0,241.9,127.0,146.8,665.9,647.9,428.5,657.6,707.7,91.0,517.2,382.5,94.9,723.0,465.4,95.5,108.4,467.9,374.5,261.1,1162.4,478.4,602.6,54.2,554.5,128.8,1164.3,138.4,1198.0,403.4,1240.9,682.5,213.0,329.3,643.4,387.0,0.0,73.8,639.4,469.9,625.0,106.5,165.3,225.1,1186.3,93.0,435.1,568.8,148.6,227.4,514.5,383.7,89.8,682.0,1175.3,620.3,357.6,1139.1,116.7,408.6,1893.7,145.0,790.1,626.7,642.4,771.7,699.7,1174.8,649.9,1176.1,671.3,648.4,138.0,173.2,619.7,781.5,234.6,485.8,1141.4,1163.5,538.1,140.1,122.5,461.1,693.4,232.8,475.4,490.7,83.1,319.2,560.9,184.0,641.5,569.8,203.4,512.3,650.9,537.5,668.2,668.4,365.8,101.7,88.9,694.5,120.5,707.1,486.5,226.9,658.4,308.0,200.9,507.1,608.8
IF,564.8,642.5,369.4,468.8,182.1,576.7,156.9,456.7,553.6,513.1,172.0,57.1,76.9,596.0,619.0,399.6,587.6,678.8,140.8,447.3,353.6,110.4,709.7,395.5,145.3,38.5,439.0,304.5,191.2,1133.5,408.5,532.7,41.0,484.6,72.4,1135.2,68.5,1169.1,333.5,1212.0,612.6,143.1,316.0,573.5,317.1,61.6,0.0,569.5,441.0,555.1,114.5,131.8,205.2,1157.4,116.6,406.2,498.8,115.1,157.5,444.6,313.8,67.6,612.1,1146.4,550.4,287.7,1110.2,158.0,379.7,1823.8,176.8,720.2,556.8,572.5,701.8,670.8,1145.9,580.0,1147.2,618.5,592.9,62.8,103.3,549.8,768.2,164.7,456.9,1112.5,1134.6,509.2,70.2,96.0,432.2,623.5,162.9,446.5,461.8,69.9,249.2,531.8,169.1,612.6,499.9,133.4,483.4,581.0,467.5,598.3,639.5,352.5,44.8,93.7,624.5,50.6,637.2,457.6,157.0,602.9,238.1,131.0,478.2,538.9
IS,143.7,1203.7,365.9,1030.2,508.4,299.1,702.5,1008.5,189.6,196.8,498.2,529.0,595.0,52.4,1180.2,960.8,893.0,1227.6,702.0,282.0,914.8,671.6,1242.9,700.8,706.5,552.5,1000.2,464.4,470.5,1350.6,713.8,74.1,602.2,102.6,590.6,1352.5,582.5,1386.2,493.3,1299.2,254.2,578.2,861.6,295.9,596.4,622.8,583.9,0.0,1002.2,191.1,675.7,693.0,752.8,1270.9,677.8,967.4,207.0,676.3,513.6,749.9,473.6,628.8,172.5,1363.5,306.0,567.0,1327.3,719.2,940.9,1606.5,738.0,243.6,862.1,214.1,1007.1,1133.8,1363.0,36.4,1364.3,142.8,119.9,580.9,457.5,107.8,1301.4,490.9,1018.1,1329.6,1351.7,1070.4,542.1,507.3,993.4,146.9,519.0,1007.7,1023.0,631.1,528.6,1093.2,730.3,1173.8,117.9,459.7,1044.6,122.4,772.9,320.7,1168.7,898.1,606.0,654.9,929.9,568.7,278.8,1018.8,436.3,224.5,542.2,487.1,1039.4,174.9
IT,969.2,201.4,773.9,223.8,586.6,981.1,361.9,202.1,958.0,917.5,576.4,461.5,481.3,1000.4,177.9,154.4,992.1,237.7,378.4,851.7,150.5,406.2,253.0,799.9,382.9,442.9,2.2,709.0,595.6,692.4,812.9,937.1,361.2,889.0,481.3,694.3,472.9,728.0,737.9,770.9,1017.0,547.5,159.5,977.9,721.5,389.3,408.3,973.9,0.0,959.5,371.8,288.6,362.0,716.3,386.6,161.0,903.3,302.9,561.9,849.0,718.2,363.4,1016.5,705.3,954.8,692.1,669.1,367.4,176.6,1438.3,355.4,1124.6,961.2,976.9,1106.2,229.7,704.8,984.4,706.1,1005.8,982.9,467.2,507.7,954.2,311.5,569.1,20.5,671.4,693.5,264.0,474.6,457.0,187.0,1027.9,567.3,201.3,20.7,331.5,653.7,286.8,252.8,171.5,904.3,537.9,42.3,985.4,872.0,1002.7,198.4,133.8,357.3,412.2,1029.0,455.0,1041.6,16.5,561.4,992.9,642.5,535.4,233.0,943.3
IY,71.3,1200.4,362.6,1026.9,505.1,144.9,699.2,1005.2,35.4,212.2,494.9,525.7,591.7,203.4,1176.9,957.5,889.7,1225.0,698.7,279.4,911.5,668.3,1240.3,697.5,703.2,549.2,996.9,461.1,467.2,1348.0,710.5,140.1,598.9,118.0,587.3,1349.9,579.2,1383.6,490.0,1296.6,100.0,574.9,858.3,141.7,593.1,619.5,580.6,176.9,998.9,0.0,672.4,689.7,749.5,1268.3,674.5,964.1,222.4,673.0,510.3,746.6,470.3,625.5,118.6,1360.9,151.8,563.7,1324.7,715.9,937.6,1603.9,734.7,281.3,858.8,59.9,1003.8,1131.2,1360.4,187.4,1361.7,208.8,185.9,577.6,454.2,157.2,1298.8,487.6,1014.8,1327.0,1349.1,1067.1,538.8,504.0,990.1,204.6,515.7,1004.4,1019.7,627.8,525.3,1089.9,727.0,1170.5,133.3,456.4,1041.3,188.4,769.6,166.5,1166.1,894.8,602.7,651.6,926.6,565.4,124.6,1015.5,433.0,33.4,538.9,483.8,1036.1,20.7
IZ,673.0,583.4,477.7,409.9,290.4,684.9,27.7,388.2,661.8,621.3,280.2,165.3,185.1,704.2,559.9,340.5,695.9,619.7,26.2,555.5,294.5,103.1,635.0,503.7,30.7,146.7,379.9,412.8,299.4,1074.4,516.7,640.9,65.0,592.8,189.9,1076.3,176.7,1110.0,441.7,1152.9,720.8,251.3,241.3,681.7,425.3,93.1,112.1,677.7,381.9,663.3,0.0,58.7,118.5,1098.3,52.4,347.1,607.1,42.0,265.7,552.8,422.0,97.0,720.3,1087.3,658.6,395.9,1051.1,58.2,320.6,1820.3,62.2,828.4,665.0,680.7,810.0,611.7,1086.8,688.2,1088.1,709.6,686.7,199.1,211.5,658.0,693.5,272.9,397.8,1053.4,1075.5,450.1,178.4,160.8,373.1,731.7,271.1,387.4,402.7,35.3,357.5,472.9,96.0,553.5,608.1,241.7,424.3,689.2,575.8,706.5,580.4,277.8,61.1,109.1,732.8,158.8,745.4,398.5,265.2,696.7,346.3,239.2,419.1,647.1
