from_stop,AD,AE,AH,BB,BC,BD,BH,BK,BQ,BV,CA,CF,CL,CR,DI,DL,DP,DU,DV,EL,EQ,FA,FJ,FN,FP,FU,FX,GP,GQ,GS,GU,HH,IB,IJ,IM,IQ,IR,IY,JH,JM,JO,JQ,JT,JV,JZ,KH,KP,KV,KX,KY,LC,LD,LF,LK,LW,ME,MW,MY,ND,NM,NN,NU,NW,NY,OB,OQ,PF,PG,PH,PM,PN,PZ,QA,QB,QK,QV,RB,RH,RW,SE,SG,SK,SM,SN,ST,SV,TB,TE,TG,TN,TO,UC,UD,UF,UN,UW,VC,VK,VT,VV,WQ,WR,WT,WV,WY,XC,XF,XI,XR,XV,XY,YC,YD,YE,YG,YY,ZF,ZO,ZY
GP,490.4,207.5,453.2,236.2,303.4,357.5,461.3,138.0,163.2,454.1,197.0,627.9,334.2,378.2,236.6,318.7,218.9,299.8,493.7,465.9,327.4,385.0,469.8,402.5,382.6,115.1,364.4,0.0,232.1,264.3,206.4,347.9,445.1,232.5,69.6,239.7,362.2,624.8,197.7,420.5,379.7,141.9,245.7,171.5,355.5,232.5,354.6,464.5,384.8,599.2,265.1,256.0,472.9,269.2,486.0,238.3,365.9,330.7,354.1,69.6,264.8,191.8,468.1,214.9,473.2,468.8,357.5,578.1,207.4,499.2,406.6,394.0,288.7,183.5,311.3,123.9,423.3,249.9,203.4,349.1,308.3,202.5,145.9,355.5,403.0,169.0,85.5,433.4,172.8,134.6,343.5,225.6,207.5,222.4,278.7,666.4,219.2,302.9,505.5,547.6,242.2,445.2,526.0,99.4,374.1,368.5,173.1,216.4,605.0,1136.0,392.0,347.9,542.9,250.6,365.4,363.8,265.3,225.6,348.0
GQ,537.6,190.6,500.4,289.5,366.2,194.1,508.5,173.8,249.8,501.3,267.0,675.1,383.8,425.4,39.8,365.9,202.0,142.0,540.9,513.1,390.2,251.4,532.6,449.7,219.2,231.8,412.6,222.2,0.0,123.4,189.5,395.1,511.1,199.5,209.3,123.7,198.8,672.0,180.8,481.7,442.5,228.5,51.3,122.5,402.7,118.5,209.4,522.6,221.4,646.4,91.9,98.4,517.3,111.4,533.2,108.3,413.1,377.0,401.3,244.8,92.1,262.8,529.8,124.4,520.4,531.6,401.2,638.2,278.4,546.4,453.8,441.2,140.9,119.2,147.9,196.2,470.5,92.1,274.4,396.3,144.9,113.9,238.1,192.1,450.2,217.3,240.8,270.0,129.9,189.2,390.7,192.6,186.2,174.8,112.5,713.6,171.6,144.0,560.1,594.8,209.2,492.4,571.3,239.1,421.3,415.7,244.1,183.4,633.1,1173.7,460.8,200.1,590.1,120.6,428.2,411.0,122.8,111.8,395.2
GS,607.5,216.2,570.3,260.7,440.7,252.5,578.4,243.7,225.6,571.2,239.2,745.0,451.3,495.3,163.4,435.8,232.2,69.7,610.8,583.0,464.7,280.0,602.5,519.6,282.2,272.7,481.5,262.5,143.3,0.0,215.1,465.0,562.2,196.9,263.2,121.1,257.2,746.5,206.4,537.6,512.4,199.7,161.5,119.9,472.6,89.7,249.6,581.6,279.8,716.3,129.3,131.2,594.6,49.7,603.1,79.5,483.0,447.8,471.2,298.7,124.4,234.0,585.2,154.5,594.9,601.5,474.6,695.2,249.6,616.3,523.7,511.1,199.3,90.4,206.3,266.1,545.0,19.7,245.6,466.2,203.3,111.3,304.8,250.5,520.1,193.5,299.3,328.4,105.7,160.4,460.6,190.0,155.1,170.0,119.9,788.1,166.8,197.9,622.6,664.7,195.1,562.3,643.1,293.0,491.2,485.6,219.9,180.8,722.1,1186.6,529.3,258.5,660.0,91.8,498.1,480.9,50.6,109.2,465.1
GU,527.9,16.7,490.7,277.7,356.5,349.9,498.8,164.1,220.3,491.6,237.5,665.4,374.1,415.7,229.8,356.2,83.1,256.8,531.2,503.4,380.5,407.2,522.9,440.0,375.0,222.1,402.9,212.5,209.7,238.2,0.0,385.4,501.4,189.5,199.6,196.7,354.6,662.3,43.9,472.0,432.8,199.0,223.3,128.5,393.0,211.1,365.2,512.9,377.2,636.7,222.1,228.6,507.6,226.2,523.5,216.9,403.4,367.3,391.6,235.1,222.3,233.3,520.1,170.0,510.7,521.9,391.5,628.5,248.9,536.7,444.1,431.5,296.7,177.7,303.7,186.5,460.8,206.9,244.9,386.6,300.7,159.5,228.4,347.9,440.5,205.5,231.1,425.8,167.0,176.1,381.0,182.6,192.2,180.8,221.1,703.9,177.6,299.8,550.4,585.1,199.2,482.7,561.6,229.4,411.6,406.0,214.6,173.4,623.4,1154.9,451.1,355.9,580.4,229.2,418.5,401.3,237.6,184.8,385.5
HH,294.7,344.4,257.5,415.1,199.7,478.6,265.6,281.2,357.7,258.4,374.9,432.2,217.3,29.1,373.3,199.4,355.8,441.8,298.0,239.9,223.7,535.9,259.4,141.4,503.7,324.7,80.0,344.8,353.2,423.2,343.3,0.0,237.9,393.4,331.9,400.6,483.3,429.1,334.6,208.5,133.8,336.4,366.8,332.4,236.2,415.0,493.9,279.7,505.9,403.5,391.7,398.2,274.4,411.2,260.0,420.8,246.6,134.1,5.0,367.4,391.9,370.7,256.6,373.9,277.5,288.7,143.2,395.3,386.3,273.2,47.3,50.6,425.4,381.6,432.4,315.1,197.3,391.9,382.3,162.3,429.4,363.4,263.2,476.6,178.1,342.9,363.4,554.5,370.9,313.5,4.3,386.5,396.1,384.7,425.0,470.7,381.5,428.5,317.2,351.9,403.1,249.5,298.1,361.7,171.0,104.2,352.0,377.3,390.2,1129.7,187.6,484.6,347.2,433.1,31.9,125.8,422.6,388.7,228.7
IB,318.8,450.4,281.6,521.1,386.2,584.6,289.7,387.2,480.6,282.5,480.9,456.3,405.7,196.0,496.2,387.8,481.6,545.9,322.1,42.5,410.2,631.0,40.2,329.8,609.7,430.7,133.7,450.8,459.2,529.2,449.3,206.0,0.0,499.4,437.9,506.6,589.3,451.3,440.6,64.6,320.3,440.5,489.7,438.4,424.6,521.0,599.9,303.8,611.9,427.6,514.6,504.2,299.4,517.2,40.8,526.8,435.0,102.1,212.2,473.4,514.3,476.7,127.4,517.1,299.7,312.8,331.6,419.4,490.4,96.0,177.8,165.2,548.3,504.5,538.4,421.1,104.9,497.9,488.3,350.7,552.3,469.4,397.0,582.6,366.5,452.0,486.3,660.5,475.0,419.5,201.6,492.5,502.1,490.7,555.7,492.9,487.5,534.5,341.3,376.0,507.2,273.6,82.9,467.7,359.4,292.6,456.1,483.3,431.2,1153.8,97.4,588.7,371.3,539.1,201.6,312.3,528.6,494.7,417.1
IJ,593.8,182.6,556.6,265.5,422.4,343.7,564.7,240.0,225.8,557.5,243.0,731.3,440.0,481.6,254.6,422.1,194.0,250.6,597.1,569.3,446.4,401.0,588.8,505.9,368.8,274.6,468.8,231.0,234.5,232.0,181.5,451.3,567.3,0.0,218.1,190.5,348.4,728.2,172.8,537.9,498.7,204.5,248.1,93.2,458.9,164.9,359.0,578.8,371.0,702.6,215.9,222.4,573.5,220.0,589.4,170.7,469.3,433.2,457.5,253.6,216.1,238.8,586.0,141.9,576.6,587.8,457.4,694.4,254.4,602.6,510.0,497.4,290.5,131.5,297.5,254.4,526.7,200.7,250.4,452.5,294.5,153.3,241.5,341.7,506.4,193.3,249.6,419.6,120.8,165.2,446.9,62.0,77.1,80.2,174.9,769.8,80.9,293.6,616.3,651.0,65.4,548.6,627.5,247.9,477.5,471.9,220.1,69.2,689.3,1153.0,517.0,349.7,646.3,183.0,484.4,467.2,231.4,158.0,451.4
IM,501.3,218.4,464.1,247.1,329.9,368.4,472.2,128.9,189.7,465.0,206.9,638.8,347.5,389.1,263.1,329.6,232.7,310.7,504.6,476.8,353.9,425.7,496.3,413.4,393.5,135.0,376.3,73.4,243.0,292.1,217.3,358.8,474.8,243.4,0.0,250.6,373.1,635.7,208.6,445.4,406.2,168.4,256.6,182.4,366.4,243.4,383.7,486.3,395.7,610.1,276.0,282.5,481.0,280.1,496.9,249.2,376.8,340.7,365.0,96.0,276.2,202.7,493.5,220.4,484.1,495.3,364.9,601.9,218.3,510.1,417.5,404.9,315.2,210.0,322.2,114.8,434.2,260.8,214.3,360.0,319.2,213.4,122.5,366.4,413.9,174.9,75.5,444.3,199.3,145.5,354.4,236.5,244.7,233.3,253.4,677.3,230.1,318.3,523.8,558.5,253.1,456.1,535.0,73.8,385.0,379.4,184.0,227.3,596.8,1146.9,424.5,374.4,553.8,261.5,391.9,374.7,291.5,236.5,358.9
IQ,602.6,191.4,565.4,256.3,431.2,269.5,573.5,248.8,216.6,566.3,233.8,740.1,448.8,490.4,180.4,430.9,202.8,176.4,605.9,578.1,455.2,326.8,597.6,514.7,294.6,283.4,477.6,239.8,160.3,157.8,190.3,460.1,576.1,172.1,226.9,0.0,274.2,737.0,181.6,546.7,507.5,195.3,173.9,95.1,467.7,96.3,284.8,587.6,296.8,711.4,141.7,148.2,582.3,145.8,598.2,102.1,478.1,442.0,466.3,262.4,141.9,229.6,594.8,97.0,585.4,596.6,466.2,703.2,245.2,611.4,518.8,506.2,216.3,86.0,223.3,263.2,535.5,126.5,241.2,461.3,220.3,86.5,250.3,267.5,515.2,184.1,258.4,345.4,96.7,156.0,455.7,165.2,158.8,147.4,106.3,778.6,144.2,219.4,625.1,659.8,181.8,557.4,636.3,256.7,486.3,480.7,210.9,156.0,698.1,1161.8,525.8,275.5,655.1,114.4,493.2,476.0,157.2,49.2,460.2
IR,631.2,312.5,594.0,398.2,459.8,72.1,602.1,295.7,358.5,594.9,375.7,768.7,477.4,519.0,233.7,459.5,323.9,250.7,634.5,606.7,483.8,74.5,626.2,543.3,75.2,353.7,506.2,344.1,213.6,232.1,311.4,488.7,604.7,308.2,331.2,232.4,0.0,765.6,302.7,575.3,536.1,337.2,227.2,231.2,496.3,227.2,57.2,616.2,109.4,740.0,200.6,207.1,610.9,220.1,626.8,217.0,506.7,470.6,494.9,366.7,200.8,371.5,623.4,233.1,614.0,625.2,494.8,731.8,387.1,640.0,547.4,534.8,97.3,227.9,59.0,318.1,564.1,200.8,383.1,489.9,101.3,222.6,360.0,42.9,543.8,326.0,362.7,93.1,238.6,297.9,484.3,301.3,294.9,283.5,221.2,807.2,280.3,100.4,653.7,688.4,317.9,586.0,664.9,361.0,514.9,509.3,352.8,292.1,726.7,1272.0,554.4,78.1,683.7,229.3,521.8,504.6,231.5,220.5,488.8
IY,391.6,676.1,354.4,746.8,757.5,810.3,362.5,612.9,689.4,304.0,706.6,100.3,772.7,505.3,705.0,757.2,690.4,773.5,394.9,546.4,781.5,856.7,565.9,571.9,835.4,656.4,444.9,676.5,684.9,754.9,675.0,515.3,544.4,725.1,663.6,732.3,815.0,0.0,666.3,501.0,564.3,668.1,698.5,664.1,794.0,746.7,825.6,376.6,837.6,134.9,723.4,729.9,374.1,742.9,566.5,752.5,804.4,410.3,521.5,699.1,723.1,702.4,563.1,725.9,374.4,385.6,577.2,113.8,718.0,579.7,487.1,474.5,757.1,713.3,764.1,646.8,503.8,723.6,714.0,592.8,761.1,695.1,624.6,808.3,608.6,674.6,695.1,886.2,702.6,645.2,510.9,718.2,701.5,716.4,792.9,138.8,713.2,760.2,406.7,101.3,734.8,346.4,604.6,693.4,601.5,534.7,683.7,709.0,121.6,1312.6,488.1,816.3,96.6,764.8,510.9,556.3,754.3,720.4,786.5
JH,501.4,47.2,464.2,251.2,330.0,323.4,472.3,137.6,193.8,465.1,211.0,638.9,347.6,389.2,203.3,329.7,56.6,230.3,504.7,476.9,354.0,380.7,496.4,413.5,348.5,195.6,376.4,186.0,183.2,211.7,46.1,358.9,474.9,163.0,173.1,170.2,328.1,635.8,0.0,445.5,406.3,172.5,196.8,102.0,366.5,184.6,338.7,486.4,350.7,610.2,195.6,202.1,481.1,199.7,497.0,190.4,376.9,340.8,365.1,208.6,195.8,206.8,493.6,143.5,484.2,495.4,365.0,602.0,222.4,510.2,417.6,405.0,270.2,151.2,277.2,160.0,434.3,180.4,218.4,360.1,274.2,133.0,201.9,321.4,414.0,179.0,204.6,399.3,140.5,149.6,354.5,156.1,165.7,154.3,194.6,677.4,151.1,273.3,523.9,558.6,172.7,456.2,535.1,202.9,385.1,379.5,188.1,146.9,596.9,1128.4,424.6,329.4,553.9,202.7,392.0,374.8,211.1,158.3,359.0
JM,292.3,423.9,255.1,494.6,361.6,558.1,263.2,360.7,437.2,256.0,454.4,429.8,376.8,169.5,452.8,361.3,435.3,521.3,295.6,45.3,385.6,615.4,64.8,303.3,583.2,385.8,109.1,424.3,432.7,485.8,422.8,179.5,24.5,472.9,411.4,480.1,562.8,426.7,414.1,0.0,295.7,415.9,446.3,411.9,398.1,494.5,555.2,266.4,585.4,401.1,471.2,477.7,274.8,490.7,65.4,500.3,408.5,73.3,185.7,446.9,470.9,450.2,105.7,473.7,275.1,286.3,305.1,392.9,465.8,78.6,151.3,138.7,504.9,461.1,511.9,394.6,78.4,471.4,461.8,324.2,508.9,442.9,372.4,556.1,340.0,422.4,442.9,634.0,450.4,393.0,175.1,466.0,449.3,464.2,504.5,468.3,461.0,503.5,314.8,349.5,482.6,247.1,107.5,441.2,332.9,266.1,431.5,456.8,387.8,1127.3,62.7,564.1,344.8,512.6,175.1,287.7,486.8,468.2,390.6
JO,386.3,436.0,349.1,506.7,180.8,570.2,357.2,372.8,449.3,350.0,466.5,523.8,196.0,185.5,464.9,180.5,450.3,533.4,389.6,357.5,204.8,616.6,377.0,88.2,595.3,416.3,198.6,436.4,444.8,497.9,434.9,155.2,336.7,485.0,423.5,492.2,574.9,520.7,426.2,312.1,0.0,428.0,458.4,424.0,217.3,506.6,585.5,360.4,597.5,495.1,483.3,489.8,368.8,502.8,377.6,512.4,227.7,225.7,161.4,459.0,483.0,462.3,374.2,485.8,369.1,380.3,75.3,474.0,477.9,390.8,203.7,220.7,517.0,473.2,524.0,406.7,314.9,483.5,473.9,118.7,521.0,455.0,384.5,568.2,86.7,434.5,455.0,646.1,462.5,405.1,150.8,478.1,461.4,476.3,552.8,562.3,473.1,520.1,408.8,443.5,494.7,341.1,417.6,453.3,79.6,91.7,443.6,468.9,481.8,1221.3,299.2,576.2,438.8,524.7,188.3,103.2,514.2,480.3,209.8
JQ,494.5,168.2,457.3,156.2,323.1,353.6,465.4,140.2,21.2,458.2,49.3,632.0,338.3,382.3,264.5,322.8,179.6,238.2,497.8,470.0,347.1,400.0,489.5,406.6,378.7,170.2,368.5,113.0,244.4,202.7,167.1,352.0,449.2,186.5,113.7,199.4,358.3,628.9,158.4,424.6,399.4,0.0,258.0,121.0,359.6,152.5,368.9,468.6,380.9,603.3,225.8,232.3,477.0,207.6,490.1,158.3,370.0,333.9,358.2,149.2,225.5,34.2,486.7,150.5,477.3,488.5,358.1,582.2,49.9,503.3,410.7,398.1,300.4,119.1,307.4,150.0,427.4,188.3,56.7,353.2,304.4,141.1,172.0,351.6,407.1,84.0,145.2,429.5,108.4,54.6,347.6,172.8,153.8,142.4,162.5,670.5,139.2,303.5,517.0,551.7,167.5,449.3,528.2,143.5,378.2,372.6,26.4,177.1,590.0,1066.6,411.7,359.6,547.0,170.6,385.1,367.9,203.7,145.6,352.1
JT,552.9,205.9,515.7,304.8,381.5,209.4,523.8,189.1,265.1,516.6,282.3,690.4,399.1,440.7,73.1,381.2,217.3,157.3,556.2,528.4,405.5,266.7,547.9,465.0,234.5,218.1,426.9,237.5,33.0,121.8,204.8,410.4,526.4,214.8,224.6,139.0,214.1,687.3,196.1,483.0,457.8,243.8,0.0,137.8,418.0,133.8,224.7,537.9,236.7,661.7,107.2,113.7,535.4,126.7,548.5,123.6,428.4,392.3,416.6,260.1,106.9,278.1,545.1,160.0,535.7,546.9,416.5,640.6,293.7,561.7,469.1,456.5,156.2,134.5,163.2,211.5,485.8,107.4,289.7,411.6,160.2,129.2,267.7,207.4,465.5,232.6,256.1,285.3,145.2,204.5,406.0,207.9,201.5,190.1,164.0,728.9,186.9,154.8,568.0,610.1,224.5,507.7,586.6,254.4,436.6,431.0,259.4,198.7,648.4,1189.0,470.1,215.4,605.4,135.9,443.5,426.3,122.8,127.1,410.5
JV,517.1,105.9,479.9,183.1,345.7,251.0,488.0,163.3,143.4,480.8,160.6,654.6,363.3,404.9,161.9,345.4,120.2,157.9,520.4,492.6,369.7,308.3,512.1,429.2,276.1,197.9,392.1,154.3,141.8,139.3,104.8,374.6,490.6,86.6,141.4,97.8,255.7,651.5,96.1,461.2,422.0,122.1,155.4,0.0,382.2,82.5,266.3,502.1,278.3,625.9,123.2,129.7,496.8,127.3,512.7,88.3,392.6,356.5,380.8,176.9,123.4,156.4,509.3,59.5,499.9,511.1,380.7,617.7,172.0,525.9,433.3,420.7,197.8,49.1,204.8,177.7,450.0,108.0,168.0,375.8,201.8,60.6,164.8,249.0,429.7,110.9,172.9,326.9,38.4,82.8,370.2,79.7,63.6,52.2,92.5,693.1,49.0,200.9,539.6,574.3,77.3,471.9,550.8,171.2,400.8,395.2,137.7,70.5,612.6,1076.3,440.3,257.0,569.6,100.6,407.7,390.5,138.7,75.6,374.7
JZ,396.0,463.7,358.8,534.4,101.7,597.9,366.9,400.5,477.0,359.7,494.2,533.5,95.8,266.8,492.6,32.7,475.1,561.1,399.3,371.5,39.3,655.2,391.0,220.2,623.0,444.0,271.0,464.1,472.5,542.5,462.6,236.5,369.5,512.7,451.2,519.9,602.6,530.4,453.9,340.1,213.0,455.7,486.1,451.7,0.0,534.3,613.2,381.0,625.2,504.8,511.0,517.5,375.7,530.5,391.6,540.1,83.0,235.4,242.7,486.7,511.2,490.0,388.2,493.2,378.8,390.0,171.7,496.6,505.6,404.8,285.0,299.6,544.7,500.9,551.7,434.4,328.9,511.2,501.6,166.8,548.7,482.7,382.5,595.9,220.7,462.2,482.7,673.8,490.2,432.8,232.1,505.8,515.4,504.0,544.3,572.0,500.8,547.8,418.5,453.2,522.4,350.8,429.7,481.0,191.8,236.5,471.3,496.6,491.5,1231.0,319.2,603.9,448.5,552.4,269.6,181.5,541.9,508.0,14.8
KH,579.0,189.6,541.8,195.7,407.6,249.7,549.9,224.7,156.0,542.7,173.2,716.5,425.2,466.8,160.6,407.3,201.0,130.4,582.3,554.5,431.6,307.0,574.0,491.1,274.8,254.7,454.0,211.1,140.5,111.8,188.5,436.5,552.5,149.1,198.2,102.6,254.4,713.4,179.8,523.1,483.9,134.7,154.1,83.6,444.1,0.0,265.0,564.0,277.0,687.8,121.9,128.4,558.7,99.8,574.6,50.5,454.5,418.4,442.7,233.7,122.1,169.0,571.2,63.9,561.8,573.0,442.6,679.6,184.6,587.8,495.2,482.6,196.5,25.4,203.5,234.5,511.9,80.5,180.6,437.7,200.5,75.5,239.6,247.7,491.6,123.5,229.7,325.6,36.1,95.4,432.1,135.4,116.4,105.0,54.7,755.0,101.8,199.6,601.5,636.2,130.1,533.8,612.7,228.0,462.7,457.1,150.3,142.6,674.5,1151.1,502.2,255.7,631.5,62.8,469.6,452.4,111.2,48.8,436.6
KP,671.8,353.1,634.6,438.8,472.2,102.0,642.7,336.3,399.1,635.5,417.3,809.3,515.6,559.6,274.3,500.1,336.3,291.3,675.1,647.3,496.2,129.5,666.8,583.9,36.1,365.3,545.8,371.1,254.2,255.8,352.0,529.3,626.5,348.8,371.8,273.0,67.2,778.0,343.3,601.9,576.7,377.8,239.6,271.8,536.9,267.8,0.0,645.9,129.3,780.6,241.2,219.5,626.1,260.7,667.4,257.6,547.3,512.1,535.5,407.3,240.9,412.1,649.5,294.0,626.4,665.8,538.9,759.5,427.7,680.6,588.0,575.4,137.9,240.3,77.8,358.7,576.5,241.4,423.7,530.5,113.7,263.2,386.7,55.7,584.4,371.6,403.3,160.4,251.0,338.5,524.9,341.9,309.2,324.1,298.0,819.6,320.9,136.5,686.9,729.0,330.3,626.6,707.4,401.6,555.5,549.9,393.4,332.7,786.4,1312.6,560.8,45.5,724.3,269.9,562.4,545.2,256.8,261.1,529.4
KV,97.3,474.7,60.1,545.4,419.3,608.9,68.2,411.5,488.0,124.8,506.2,298.6,444.0,303.9,503.6,428.5,489.0,562.6,77.1,345.0,443.3,636.4,355.0,370.5,624.5,436.6,234.0,461.5,483.5,536.6,473.6,313.9,324.2,523.7,462.2,530.9,613.6,286.0,464.9,290.1,353.4,457.2,497.1,462.7,465.3,545.3,606.0,0.0,636.2,269.9,512.5,519.0,70.3,541.5,365.1,551.1,475.7,209.8,320.1,497.7,521.7,501.0,347.2,515.0,80.1,58.3,375.8,248.8,516.6,368.8,285.7,273.1,546.2,502.4,562.7,445.4,292.9,522.2,512.6,391.4,550.2,493.7,413.7,606.9,407.2,478.2,484.2,684.8,491.7,443.8,309.5,516.8,500.1,515.0,591.5,337.1,511.8,554.3,88.9,218.3,523.9,52.1,405.1,492.0,400.1,333.3,472.8,507.6,275.7,1113.0,277.2,605.4,213.6,563.4,300.0,345.4,537.6,519.0,448.3
KX,662.8,344.1,625.6,429.8,491.4,37.2,633.7,327.3,390.1,626.5,407.3,800.3,509.0,550.6,265.3,491.1,355.5,282.3,666.1,638.3,515.4,94.5,657.8,574.9,146.3,385.3,537.8,375.7,245.2,263.7,343.0,520.3,636.3,339.8,362.8,264.0,89.4,797.2,334.3,606.9,567.7,368.8,258.8,262.8,527.9,258.8,128.3,647.8,0.0,771.6,232.2,238.7,642.5,251.7,658.4,248.6,538.3,502.2,526.5,398.3,232.4,403.1,655.0,264.7,645.6,656.8,526.4,763.4,418.7,671.6,579.0,566.4,128.9,259.5,90.6,349.7,595.7,232.4,414.7,521.5,132.9,254.2,391.6,114.0,575.4,357.6,394.3,113.1,270.2,329.5,515.9,332.9,326.5,315.1,252.8,838.8,311.9,132.0,685.3,720.0,349.5,617.6,696.5,392.6,546.5,540.9,384.4,323.7,758.3,1303.6,586.0,142.8,715.3,260.9,553.4,536.2,263.1,252.1,520.4
KY,397.3,681.8,360.1,752.5,763.2,816.0,368.2,618.6,695.1,309.7,712.3,139.1,780.8,511.0,710.7,762.9,696.1,779.2,400.6,552.1,787.2,873.3,571.6,577.6,841.1,662.1,451.6,682.2,690.6,760.6,680.7,521.0,550.1,730.8,669.3,738.0,820.7,136.0,672.0,520.7,570.0,673.8,704.2,669.8,799.7,752.4,831.3,382.3,843.3,0.0,729.1,735.6,377.0,748.6,572.2,758.2,810.1,416.0,527.2,704.8,729.3,708.1,568.8,711.3,380.1,391.3,579.4,55.4,723.7,585.4,492.8,480.2,762.8,719.0,769.8,652.5,509.5,729.3,719.7,598.5,766.8,700.8,600.6,814.0,614.3,680.3,700.8,891.9,708.3,650.9,516.6,723.9,733.5,722.1,762.4,177.6,718.9,765.9,419.8,76.8,740.5,352.1,610.3,699.1,607.2,540.4,689.4,714.7,66.0,1318.3,499.8,822.0,72.1,770.5,516.6,562.0,760.0,726.1,792.2
LC,585.9,210.0,548.7,280.7,414.5,230.9,556.8,222.1,241.0,549.6,258.2,723.4,432.1,473.7,141.8,414.2,224.3,133.2,589.2,561.4,438.5,288.2,580.9,498.0,256.0,280.1,459.9,258.4,121.7,114.6,208.9,443.4,559.4,190.7,245.5,114.9,235.6,720.3,200.2,516.0,490.8,219.7,135.3,113.7,451.0,109.7,228.0,560.0,258.2,694.7,0.0,45.9,568.4,102.6,581.5,99.5,461.4,425.3,449.6,281.0,48.4,254.0,563.6,135.9,568.7,579.9,449.5,673.6,269.6,594.7,502.1,489.5,177.7,110.4,184.7,244.5,518.8,83.3,265.6,444.6,181.7,105.1,298.6,228.9,498.5,208.5,277.0,306.8,121.1,180.4,439.0,183.8,177.4,166.0,128.4,761.9,162.8,176.3,608.4,643.1,200.4,540.7,619.6,275.3,469.6,464.0,235.3,174.6,681.4,1180.4,503.1,236.9,638.4,111.8,476.5,459.3,114.0,103.0,443.5
LD,598.2,222.3,561.0,293.0,426.8,243.2,569.1,234.4,253.3,561.9,270.5,735.7,442.0,486.0,154.1,426.5,233.7,145.5,601.5,573.7,450.8,289.6,593.2,510.3,268.3,292.4,472.2,257.1,134.0,110.0,221.2,455.7,552.9,203.0,257.8,127.2,247.9,732.6,212.5,528.3,503.1,232.0,147.6,126.0,463.3,122.0,258.5,583.2,270.5,707.0,31.7,0.0,580.7,114.9,593.8,111.8,473.7,437.6,461.9,293.3,60.7,266.3,590.4,148.2,581.0,592.2,461.8,685.9,281.9,607.0,514.4,501.8,190.0,122.7,197.0,256.8,531.1,95.6,277.9,456.9,194.0,117.4,310.9,241.2,510.8,225.8,289.3,319.1,133.4,192.7,451.3,196.1,163.4,178.3,140.7,774.2,175.1,193.1,613.3,655.4,212.7,553.0,633.8,287.6,481.9,476.3,247.6,186.9,695.1,1192.7,515.4,249.2,650.7,124.1,488.8,471.6,111.0,115.3,455.8
LF,39.6,518.0,65.5,588.7,472.1,652.2,19.2,454.8,531.3,168.1,548.5,341.9,489.7,347.2,546.9,471.8,529.4,615.4,117.0,388.3,496.1,709.5,407.8,413.8,677.3,498.3,286.8,504.8,526.8,579.9,516.9,357.2,386.3,567.0,505.5,574.2,656.9,338.8,508.2,342.9,406.2,510.0,540.4,506.0,508.6,588.6,649.3,98.7,679.5,313.2,565.3,571.8,0.0,584.8,408.4,594.4,519.0,252.2,363.4,541.0,565.0,544.3,405.0,567.8,100.9,107.7,419.1,305.0,559.9,421.6,329.0,316.4,599.0,555.2,606.0,488.7,345.7,565.5,555.9,434.7,603.0,537.0,466.5,650.2,450.5,516.5,537.0,728.1,544.5,487.1,352.8,560.1,569.7,558.3,623.3,380.4,555.1,602.1,136.2,261.6,576.7,34.4,448.4,535.3,443.4,376.6,525.6,550.9,299.9,1156.3,330.0,658.2,256.9,606.7,352.8,398.2,596.2,562.3,501.1
LK,597.0,205.7,559.8,250.2,425.6,242.0,567.9,233.2,210.5,560.7,227.7,734.5,443.2,484.8,152.9,425.3,217.1,89.8,600.3,572.5,449.6,299.3,592.0,509.1,267.1,291.2,472.0,265.6,132.8,71.2,204.6,454.5,570.5,186.4,252.7,110.6,246.7,731.4,195.9,541.1,501.9,189.2,146.4,109.4,462.1,79.2,257.3,582.0,269.3,705.8,114.2,120.7,576.7,0.0,592.6,69.0,472.5,436.4,460.7,288.2,114.4,223.5,589.2,111.3,579.8,591.0,460.6,697.6,239.1,605.8,513.2,500.6,188.8,79.9,195.8,255.6,529.9,39.9,235.1,455.7,192.8,100.8,264.6,240.0,509.6,178.0,284.2,317.9,90.6,149.9,450.1,179.5,170.9,159.5,73.2,773.0,156.3,191.9,619.5,654.2,184.6,551.8,630.7,282.5,480.7,475.1,204.8,170.3,692.5,1176.1,520.2,248.0,649.5,81.3,487.6,470.4,70.6,98.7,454.6
LW,347.8,479.4,310.6,550.1,417.1,613.6,318.7,416.2,492.7,311.5,509.9,485.3,434.7,225.0,508.3,416.8,490.8,576.8,351.1,59.1,441.1,670.9,53.6,358.8,638.7,459.7,165.6,479.8,488.2,558.2,478.3,235.0,46.1,528.4,466.9,535.6,618.3,482.2,469.6,41.4,351.2,471.4,501.8,467.4,453.6,550.0,628.9,332.8,640.9,456.6,526.7,533.2,327.5,546.2,0.0,555.8,464.0,131.1,241.2,502.4,526.9,505.7,142.7,508.9,330.6,341.8,360.6,448.4,521.3,41.0,206.8,194.2,560.4,516.6,567.4,450.1,129.4,526.9,517.3,379.7,564.4,498.4,398.2,611.6,395.5,477.9,498.4,689.5,505.9,448.5,230.6,521.5,531.1,519.7,560.0,523.8,516.5,563.5,370.3,405.0,538.1,302.6,98.2,496.7,388.4,321.6,487.0,512.3,443.3,1182.8,124.2,619.6,400.3,568.1,230.6,343.2,557.6,523.7,446.1
