from_stop,AD,AL,AR,AZ,BM,CG,CK,CT,DC,DF,DH,DI,DR,DS,DW,EA,EC,ED,EF,EI,ET,FI,GA,GD,GF,GT,HL,HO,HQ,HT,ID,IN,IR,JH,JJ,JK,JN,JO,JQ,KD,KY,LA,LI,LR,ME,MK,MW,NA,NB,NJ,NQ,NU,NX,OC,OJ,OM,OP,OQ,OS,PA,PH,PI,PX,PY,QE,QF,QM,QO,QR,QU,RN,RS,RV,RW,SB,SC,ST,SW,TE,TH,TI,TO,TU,UC,UT,UX,UY,VA,VC,VE,VG,VI,VL,VZ,WL,WM,WY,WZ,XK,XQ,YD,YF,YJ,YM,YN,YY,ZD,ZH,ZJ,ZM,ZY
HT,452.2,334.9,472.0,452.4,459.7,328.3,478.8,331.4,339.9,233.9,483.5,305.6,297.8,174.8,490.4,444.7,430.3,618.3,225.5,520.8,356.4,388.2,364.7,338.3,335.5,356.5,527.6,259.0,55.4,0.0,155.5,282.4,500.6,393.3,401.3,352.9,571.2,574.8,324.0,595.1,299.6,117.1,201.5,262.1,318.8,355.0,371.4,302.2,533.5,326.0,227.3,537.3,285.5,389.4,424.6,97.1,461.9,492.0,340.7,478.8,428.5,352.7,302.0,357.5,522.6,387.8,320.3,227.4,425.5,272.6,208.7,525.7,353.7,280.6,423.2,346.3,339.0,363.3,473.5,541.0,345.9,328.3,464.0,576.4,507.0,60.6,205.0,170.0,310.4,522.5,373.0,325.9,330.5,511.9,311.2,221.7,213.3,339.8,350.3,208.6,634.9,412.7,335.8,349.2,356.9,481.3,370.0,156.9,307.3,366.0,1992.4
ID,384.4,172.0,404.2,331.9,391.9,174.8,411.0,162.4,184.3,203.0,415.7,150.0,281.3,178.1,422.6,376.9,362.5,550.5,209.0,453.0,206.5,225.3,296.9,184.8,319.0,193.6,459.8,223.9,109.7,192.5,0.0,208.8,432.8,237.7,280.8,190.0,503.4,507.0,161.1,527.3,231.8,100.6,45.9,245.6,266.8,199.4,303.6,146.6,465.7,170.4,71.7,469.5,217.7,226.5,271.1,80.6,394.1,424.2,177.8,411.0,275.0,189.8,193.3,289.7,454.8,320.0,164.7,82.8,275.6,211.2,192.2,457.9,203.8,264.1,260.3,177.3,176.1,212.3,405.7,473.2,278.1,260.5,396.2,508.6,439.2,182.3,208.3,160.3,242.6,454.7,223.1,217.2,167.6,444.1,160.2,205.2,57.7,176.9,187.4,64.0,567.1,344.9,172.9,186.3,289.1,413.5,302.2,140.4,198.6,210.4,1924.6
IN,495.9,233.9,515.7,287.8,503.4,126.6,522.5,203.3,168.3,184.8,527.2,134.0,184.8,206.4,534.1,488.4,474.0,662.0,183.6,564.5,164.1,229.4,408.4,136.6,216.5,263.5,571.3,187.9,233.6,265.7,199.9,0.0,544.3,221.7,236.7,251.9,614.9,618.5,223.0,638.8,343.3,186.6,199.8,203.8,163.6,183.4,415.1,123.0,577.2,104.2,138.8,581.0,329.2,256.0,217.5,207.9,505.6,535.7,256.7,522.5,221.4,246.9,137.4,401.2,566.3,431.5,141.1,240.0,218.4,108.0,166.8,569.4,155.6,167.6,244.7,218.2,246.0,253.2,517.2,584.7,389.6,372.0,507.7,620.1,550.7,255.5,236.6,147.8,354.1,566.2,165.9,161.3,246.5,555.6,201.1,141.9,153.4,273.4,266.3,239.4,678.6,456.4,225.8,261.7,400.6,525.0,413.7,191.0,142.7,194.4,2036.1
IR,107.6,487.2,236.0,640.3,198.3,508.0,114.8,483.7,508.4,447.9,138.9,483.2,639.7,462.7,352.6,183.3,152.0,273.2,564.1,97.8,547.5,540.5,396.8,518.0,660.7,508.8,277.1,544.4,480.9,563.7,410.3,542.0,0.0,570.9,614.0,505.2,226.1,229.7,476.3,250.0,261.3,471.8,433.7,588.4,644.0,492.7,540.2,479.8,188.4,503.6,419.0,257.9,454.3,541.7,586.3,451.8,117.3,147.4,493.0,124.0,546.2,505.0,526.5,526.3,144.1,556.6,497.9,405.1,608.8,544.4,545.4,147.2,537.0,605.8,575.5,498.6,491.3,515.6,212.1,127.2,514.7,499.9,304.6,231.3,144.4,553.5,492.9,503.6,479.2,231.1,556.3,550.4,488.8,157.1,463.5,571.2,444.6,492.1,502.6,449.4,289.8,169.6,488.1,501.5,480.1,126.5,493.7,508.0,538.7,530.6,2012.7
JH,573.4,175.8,593.2,360.4,580.9,203.3,600.0,267.8,110.2,243.7,604.7,97.2,359.9,283.9,611.6,565.9,551.5,739.5,366.7,642.0,96.6,107.8,485.9,213.3,348.2,221.3,648.8,234.4,369.2,417.9,264.4,243.3,621.8,0.0,309.3,193.8,692.4,696.0,164.9,716.3,420.8,338.8,264.3,386.9,295.3,125.3,492.6,187.5,654.7,144.8,203.3,658.5,406.7,134.4,95.9,345.1,583.1,613.2,192.5,600.0,99.8,252.4,221.8,478.7,643.8,509.0,205.6,304.5,106.4,239.7,349.9,646.9,118.0,342.7,123.1,275.1,203.8,305.9,594.7,662.2,467.1,449.5,585.2,697.6,628.2,407.7,314.1,324.8,431.6,643.7,77.8,245.7,182.3,633.1,265.6,325.0,217.9,151.8,215.1,303.9,756.1,533.9,123.1,140.1,478.1,602.5,491.2,329.2,227.1,91.7,2113.6
JJ,591.7,329.7,611.5,112.8,599.2,167.9,618.3,299.1,264.1,280.6,623.0,229.8,271.5,302.2,629.9,584.2,569.8,757.8,297.9,660.3,219.6,299.7,504.2,177.9,259.8,359.3,667.1,283.7,347.9,380.0,295.7,236.4,640.1,314.9,0.0,347.7,710.7,714.3,318.8,734.6,439.1,300.9,295.6,318.1,206.9,279.2,510.9,218.8,673.0,218.0,234.6,676.8,425.0,326.3,287.8,322.2,601.4,631.5,352.5,618.3,291.7,342.7,133.4,497.0,662.1,527.3,236.9,335.8,288.7,151.3,281.1,665.2,216.9,254.3,315.0,314.0,341.8,349.0,613.0,680.5,485.4,467.8,603.5,715.9,646.5,369.8,332.4,262.1,449.9,662.0,236.2,157.3,342.3,651.4,296.9,256.2,249.2,343.7,362.1,335.2,774.4,552.2,321.6,332.0,496.4,620.8,509.5,305.3,138.7,290.2,2131.9
JK,428.3,158.7,448.1,240.7,435.8,83.6,454.9,135.7,93.1,99.2,459.6,58.8,240.2,138.8,466.5,420.8,406.4,594.4,240.2,496.9,115.3,195.4,340.8,93.6,228.5,195.9,503.7,132.7,242.1,272.8,132.3,117.6,476.7,146.5,189.6,0.0,547.3,550.9,147.8,571.2,275.7,193.7,132.2,267.2,175.6,108.2,347.5,37.4,509.6,79.2,71.2,513.4,261.6,167.6,183.5,213.0,438.0,468.1,189.1,454.9,187.4,179.3,102.1,333.6,498.7,363.9,55.5,139.3,184.4,120.0,223.4,501.8,112.6,223.0,196.5,150.6,178.4,185.6,449.6,517.1,322.0,304.4,440.1,552.5,483.1,262.6,169.0,179.7,286.5,498.6,131.9,126.0,178.9,488.0,133.5,205.3,85.8,239.4,198.7,171.8,611.0,388.8,150.6,227.7,333.0,457.4,346.1,184.1,107.4,119.2,1968.5
JN,238.5,548.8,378.8,726.7,227.2,569.6,126.8,545.3,570.0,509.5,143.3,544.8,684.6,524.3,384.3,212.2,180.9,124.0,625.7,168.8,601.3,602.1,458.4,579.6,722.3,570.4,434.4,606.0,542.5,625.3,471.9,603.6,205.4,632.5,675.6,566.8,0.0,80.5,537.9,100.8,322.9,533.4,495.3,667.4,705.6,554.3,601.8,541.4,51.8,565.2,491.6,400.7,515.9,603.3,647.9,513.4,228.0,158.0,554.6,132.6,651.8,566.6,588.1,587.9,186.9,618.2,559.5,466.7,670.4,606.0,608.9,190.0,598.6,667.4,637.1,560.2,552.9,577.2,241.0,189.0,576.3,558.7,357.9,11.9,146.6,615.1,554.5,565.2,540.8,373.9,617.9,612.0,544.4,88.0,525.1,632.8,506.2,553.7,564.2,511.0,140.6,198.5,549.7,563.1,541.7,129.9,554.8,569.6,593.4,592.6,1917.2
JO,245.6,555.9,385.9,709.0,234.3,576.7,133.9,552.4,577.1,516.6,150.4,551.9,691.7,531.4,391.4,219.3,188.0,43.4,632.8,151.2,608.4,609.2,465.5,586.7,729.4,577.5,427.0,613.1,556.8,632.4,479.0,610.7,212.5,639.6,682.7,573.9,90.0,0.0,545.0,17.6,330.0,540.5,502.4,657.1,712.7,561.4,608.9,548.5,49.8,572.3,487.7,407.8,523.0,610.4,655.0,520.5,235.1,163.4,561.7,139.7,658.9,573.7,595.2,595.0,194.0,625.3,566.6,473.8,677.5,613.1,614.1,197.1,605.7,674.5,644.2,567.3,560.0,584.3,248.1,196.1,583.4,568.6,355.4,73.6,153.7,622.2,561.6,572.3,547.9,381.0,625.0,619.1,554.4,95.1,532.2,635.6,513.3,560.8,571.3,518.1,64.3,205.6,584.4,570.2,548.8,137.0,562.4,576.7,600.5,599.3,1855.3
JQ,457.2,10.8,477.0,269.6,464.7,112.5,483.8,164.6,122.0,128.1,488.5,87.7,269.1,167.7,495.4,449.7,435.3,623.3,269.1,525.8,144.2,224.3,369.7,122.5,257.4,224.8,532.6,161.6,271.0,301.7,161.2,146.5,505.6,175.4,218.5,28.8,576.2,579.8,0.0,600.1,304.6,222.6,161.1,296.1,204.5,137.1,376.4,66.3,538.5,108.1,100.1,542.3,290.5,196.5,212.4,241.9,466.9,497.0,218.0,483.8,216.3,208.2,131.0,362.5,527.6,392.8,84.4,168.2,213.3,148.9,252.3,530.7,141.5,251.9,225.4,179.5,207.3,214.5,478.5,546.0,350.9,333.3,469.0,581.4,512.0,291.5,197.9,208.6,315.4,527.5,160.8,154.9,207.8,516.9,162.4,234.2,114.7,268.3,227.6,200.7,639.9,417.7,179.5,256.6,361.9,486.3,375.0,213.0,136.3,148.1,1997.4
KD,265.9,576.2,406.2,729.3,252.0,594.4,151.6,570.1,597.4,536.9,170.7,572.2,728.7,552.4,411.7,237.0,208.3,23.1,653.1,171.5,636.5,629.5,485.8,607.0,747.1,597.8,444.7,633.4,577.1,652.7,499.3,631.0,232.8,659.9,703.0,594.2,110.3,17.6,565.3,0.0,347.7,560.8,522.7,674.8,733.0,581.7,626.6,568.8,70.1,592.6,505.4,428.1,540.7,630.7,675.3,542.0,255.4,181.1,582.0,160.0,635.2,594.0,612.9,615.3,214.3,643.0,586.9,494.1,697.8,633.4,634.4,227.1,626.0,694.8,664.5,587.6,580.3,604.6,268.4,216.4,603.7,588.9,375.7,93.9,174.0,642.5,579.3,592.6,568.2,401.3,645.3,639.4,577.8,112.8,552.5,655.9,531.0,581.1,591.6,538.4,44.0,225.9,604.7,592.0,570.1,157.3,580.1,597.0,627.7,619.6,1875.6
KY,215.3,295.8,235.1,448.9,222.8,316.6,241.9,292.3,317.0,256.5,246.6,291.8,448.3,272.0,253.5,207.8,193.4,381.4,372.7,259.2,356.1,349.1,296.1,326.6,469.3,317.4,276.2,353.0,296.7,372.3,218.9,350.6,263.7,379.5,422.6,313.8,334.3,337.9,284.9,355.6,0.0,280.4,242.3,397.0,452.6,301.3,285.2,288.4,296.6,312.2,227.6,305.0,199.3,350.3,394.9,260.4,225.0,255.1,301.6,241.9,354.8,313.6,335.1,271.3,285.7,301.6,306.5,213.7,417.4,353.0,354.0,288.8,345.6,414.4,384.1,307.2,299.9,324.2,236.6,304.1,259.7,244.9,217.5,339.5,270.1,362.1,301.5,312.2,224.2,285.6,364.9,359.0,297.4,275.0,272.1,379.8,253.2,300.7,311.2,258.0,402.3,175.8,296.7,310.1,270.7,244.4,284.3,316.6,347.3,339.2,1923.8
LA,410.8,224.6,430.6,335.2,418.3,211.1,437.4,221.1,245.8,123.6,442.1,256.5,180.6,77.4,449.0,403.3,388.9,576.9,108.3,479.4,239.2,319.3,323.3,221.1,218.3,246.2,486.2,161.6,46.9,91.8,114.1,165.2,459.2,334.5,284.1,242.6,529.8,533.4,213.7,553.7,258.2,0.0,171.1,144.9,201.6,230.1,330.0,238.4,492.1,237.6,167.4,495.9,244.1,279.1,307.4,21.2,420.5,450.6,230.4,437.4,311.3,242.4,184.8,316.1,481.2,346.4,256.5,142.5,308.3,155.4,91.5,484.3,236.5,163.4,312.9,236.0,228.7,253.0,432.1,499.6,304.5,286.9,422.6,535.0,465.6,81.6,107.6,59.6,269.0,481.1,255.8,208.7,220.2,470.5,200.9,104.5,182.0,229.5,240.0,167.2,593.5,371.3,225.5,238.9,315.5,439.9,328.6,39.7,190.1,268.4,1951.0
LI,417.6,143.8,437.4,321.7,425.1,164.6,444.2,131.7,165.0,192.8,448.9,139.8,314.5,211.3,455.8,410.1,395.7,583.7,242.2,486.2,196.3,197.1,330.1,174.6,352.2,165.4,493.0,213.7,142.9,225.7,33.1,198.6,466.0,227.5,270.6,161.8,536.6,540.2,132.9,560.5,265.0,133.8,0.0,278.8,256.6,149.3,336.8,136.4,498.9,160.2,85.2,502.7,250.9,198.3,242.9,113.8,427.3,457.4,149.6,444.2,246.8,161.6,183.1,322.9,488.0,353.2,154.5,40.1,265.4,201.0,225.4,491.1,193.6,297.3,232.1,146.6,147.9,172.2,438.9,506.4,311.3,293.7,429.4,541.8,472.4,215.5,241.5,193.5,275.8,487.9,212.9,207.0,139.4,477.3,120.1,238.4,64.8,148.7,159.2,72.6,600.3,378.1,144.7,158.1,322.3,446.7,335.4,173.6,188.4,187.6,1957.8
LR,500.2,286.0,520.0,307.7,507.7,208.4,526.8,282.5,295.8,168.2,531.5,261.5,80.0,138.8,538.4,492.7,478.3,666.3,13.9,544.1,236.5,316.6,412.7,218.4,105.3,307.6,561.1,166.6,179.6,204.5,239.6,162.5,548.6,331.8,281.4,304.0,619.2,622.8,275.1,643.1,347.6,125.4,232.5,0.0,114.6,310.9,419.4,235.7,581.5,234.9,217.8,585.3,333.5,340.5,304.7,145.3,509.9,540.0,291.8,526.8,308.6,303.8,182.1,405.5,570.6,435.8,253.8,203.9,305.6,152.7,32.6,573.7,233.8,88.4,331.9,297.4,290.1,314.4,521.5,589.0,393.9,379.1,512.0,624.4,555.0,194.3,169.0,86.2,358.4,570.5,253.1,206.0,281.6,559.9,262.3,25.5,243.4,290.9,301.4,305.2,687.2,460.7,336.2,301.8,404.9,529.3,418.5,129.8,194.3,321.9,2040.4
ME,547.9,285.9,567.7,271.8,555.4,147.7,574.5,255.3,220.3,236.8,579.2,186.0,77.7,245.7,586.1,540.4,526.0,714.0,148.2,616.5,175.8,255.9,460.4,157.7,57.3,315.5,623.3,204.3,262.4,294.5,251.9,162.2,596.3,271.1,220.7,303.9,666.9,670.5,275.0,690.8,395.3,215.4,251.8,128.1,0.0,235.4,467.1,175.0,629.2,174.2,190.8,633.0,381.2,282.5,244.0,236.7,557.6,587.7,308.7,574.5,247.9,298.9,121.4,453.2,618.3,483.5,193.1,292.0,244.9,65.1,165.0,621.4,173.1,60.5,271.2,270.2,298.0,305.2,569.2,636.7,441.6,424.0,559.7,672.1,602.7,284.3,275.9,176.6,406.1,618.2,192.4,145.3,298.5,607.6,253.1,156.4,205.4,299.9,318.3,291.4,730.6,508.4,277.8,288.2,452.6,577.0,465.7,219.8,126.7,246.4,2088.1
MK,455.1,69.9,474.9,322.4,462.6,165.3,481.7,145.8,15.1,150.8,486.4,59.2,321.9,165.6,493.3,447.6,433.2,621.2,267.0,523.7,171.8,136.8,367.6,175.3,310.2,121.7,530.5,196.4,260.1,299.6,177.1,199.3,503.5,105.6,271.3,87.9,574.1,577.7,59.0,598.0,302.5,220.5,177.0,308.7,257.3,0.0,374.3,125.4,536.4,160.9,116.0,540.2,288.4,85.2,124.9,241.8,464.8,494.9,105.9,481.7,128.8,134.2,183.8,360.4,525.5,390.7,143.5,217.2,181.6,201.7,250.2,528.6,193.2,304.7,114.1,130.9,104.2,161.7,476.4,543.9,348.8,331.2,466.9,579.3,509.9,289.4,195.8,206.5,313.3,525.4,153.0,207.7,95.7,514.8,127.7,274.1,130.6,180.8,115.5,216.6,637.8,415.6,46.5,169.1,359.8,484.2,372.9,210.9,189.1,78.3,1995.3
MW,475.6,335.8,448.8,513.7,483.1,356.6,502.2,332.3,357.0,296.5,506.9,331.8,488.3,311.3,513.8,468.1,453.7,641.7,412.7,544.2,388.3,389.1,370.1,366.6,509.3,357.4,489.9,393.0,329.5,412.3,258.9,390.6,524.0,419.5,462.6,353.8,594.6,598.2,324.9,615.9,273.6,320.4,282.3,437.0,492.6,341.3,0.0,328.4,558.3,352.2,267.6,524.7,85.8,390.3,434.9,300.4,485.3,515.4,341.6,502.2,394.8,353.6,375.1,13.8,546.0,16.4,346.5,253.7,457.4,393.0,394.0,549.1,385.6,454.4,424.1,347.2,339.9,364.2,496.9,564.4,25.4,40.2,487.4,599.8,530.4,402.1,341.5,352.2,60.9,484.9,404.9,399.0,331.4,535.3,312.1,419.8,293.2,340.7,351.2,298.0,658.3,436.1,364.3,351.6,41.7,504.7,29.1,356.6,387.3,379.6,1997.8
NA,413.7,183.9,433.5,435.5,421.2,278.4,440.3,180.4,269.9,61.7,445.0,235.6,284.5,124.2,451.9,406.2,391.8,579.8,225.6,482.3,310.1,237.2,326.2,288.4,322.2,205.5,489.1,205.9,218.7,258.2,163.6,287.1,462.1,323.3,384.4,201.9,532.7,536.3,173.0,556.6,261.1,179.1,130.4,267.3,305.5,189.4,332.9,0.0,495.0,274.0,126.7,498.8,247.0,238.4,283.0,200.4,423.4,453.5,189.7,440.3,286.9,201.7,306.7,319.0,484.1,349.3,18.0,101.8,379.2,277.3,208.8,487.2,307.4,267.3,272.2,195.3,188.0,212.3,435.0,502.5,307.4,289.8,425.5,537.9,468.5,248.0,154.4,165.1,271.9,484.0,326.7,330.6,179.5,473.4,160.2,232.7,141.3,188.8,199.3,203.1,596.4,374.2,184.8,198.2,318.4,442.8,331.5,169.5,312.0,296.0,1953.9
NB,194.3,504.6,334.6,657.7,184.4,525.4,82.6,501.1,525.8,465.3,99.1,500.6,657.1,480.8,340.1,168.0,136.7,84.7,581.5,99.9,564.9,557.9,414.2,535.4,678.1,526.2,377.1,561.8,505.5,581.1,427.7,559.4,161.2,588.3,631.4,522.6,59.2,41.2,493.7,58.9,280.1,489.2,451.1,605.8,661.4,510.1,559.0,497.2,0.0,521.0,436.4,356.5,471.7,559.1,603.7,470.4,183.8,113.8,510.4,88.4,563.6,522.4,545.3,543.7,142.7,574.0,515.3,422.5,626.2,561.8,562.8,155.5,554.4,623.2,592.9,516.0,508.7,533.0,196.8,144.8,532.1,517.3,304.1,42.8,102.4,570.9,510.3,521.0,496.6,329.7,573.7,567.8,506.2,43.8,480.9,584.3,462.0,509.5,520.0,466.8,105.6,154.3,533.1,520.4,498.5,85.7,512.5,525.4,556.1,548.0,1877.9
NJ,471.7,237.0,491.5,239.5,479.2,82.4,498.3,179.1,144.1,160.6,503.0,109.8,239.0,182.2,509.9,464.2,449.8,637.8,245.8,540.3,59.8,125.1,384.2,92.4,227.3,238.6,547.1,163.7,285.5,316.2,175.7,98.4,520.1,140.3,188.4,255.0,590.7,594.3,226.1,614.6,319.1,237.1,175.6,266.0,174.4,159.2,390.9,98.8,553.0,0.0,114.6,556.8,305.0,151.7,113.2,256.4,481.4,511.5,209.8,498.3,117.1,222.7,100.9,377.0,542.1,407.3,116.9,215.8,114.1,118.8,229.0,545.2,81.2,221.8,140.4,194.0,221.1,229.0,493.0,560.5,365.4,347.8,483.5,595.9,526.5,306.0,212.4,210.0,329.9,542.0,61.6,124.8,199.6,531.4,176.9,204.1,129.2,169.1,232.4,215.2,654.4,432.2,186.1,157.4,376.4,500.8,389.5,227.5,106.2,181.6,2011.9
NQ,398.4,89.4,418.2,224.5,405.9,92.2,425.0,71.1,101.7,120.4,429.7,67.4,248.8,108.9,436.6,390.9,376.5,564.5,210.3,467.0,123.9,142.7,310.9,102.2,237.1,111.0,459.3,141.3,181.8,264.6,72.0,126.2,446.8,155.1,198.2,107.4,517.4,521.0,78.5,538.7,245.8,172.7,71.9,240.9,184.2,116.8,317.6,64.0,481.1,87.8,0.0,483.5,231.7,143.9,188.5,152.7,408.1,438.2,95.2,425.0,192.4,107.2,110.7,303.7,468.8,334.0,82.1,112.1,193.0,128.6,191.6,471.9,121.2,231.6,177.7,86.0,93.5,117.8,419.7,487.2,292.1,277.3,400.6,522.6,453.2,254.4,139.1,149.8,256.6,468.7,140.5,134.6,85.0,458.1,65.7,209.6,25.5,94.3,104.8,111.5,585.4,358.9,90.3,105.2,304.1,427.5,316.7,154.2,122.9,114.8,1938.6
NU,187.0,452.7,67.3,630.6,200.4,473.5,213.6,449.2,473.9,413.4,218.3,448.7,588.5,428.2,165.9,185.4,171.0,353.1,529.6,255.6,505.2,506.0,362.3,483.5,626.2,474.3,122.9,509.9,446.4,529.2,375.8,507.5,235.4,536.4,579.5,470.7,306.0,309.6,441.8,329.9,219.1,437.3,399.2,571.3,609.5,458.2,472.4,445.3,268.3,469.1,395.5,0.0,386.5,507.2,551.8,417.3,196.7,226.8,458.5,219.5,555.7,470.5,492.0,458.5,257.4,488.8,463.4,370.6,574.3,509.9,512.8,260.5,502.5,571.3,541.0,464.1,456.8,481.1,214.2,275.8,446.9,429.3,127.5,311.2,257.9,519.0,458.4,469.1,411.4,44.4,521.8,515.9,448.3,252.6,429.0,536.7,410.1,457.6,468.1,414.9,369.7,153.4,453.6,467.0,457.9,222.0,471.0,473.5,497.3,496.5,2008.0
NX,389.7,249.9,362.9,427.8,397.2,270.7,416.3,246.4,271.1,210.6,421.0,245.9,385.7,225.4,427.9,382.2,367.8,555.8,326.8,458.3,302.4,303.2,284.2,280.7,423.4,271.5,404.0,307.1,243.6,326.4,173.0,304.7,438.1,333.6,376.7,267.9,508.7,512.3,239.0,530.0,187.7,234.5,196.4,351.1,406.7,255.4,85.8,242.5,471.0,266.3,181.7,438.8,0.0,304.4,349.0,214.5,399.4,429.5,255.7,416.3,352.9,267.7,289.2,72.0,460.1,102.2,260.6,167.8,371.5,307.1,308.1,489.2,299.7,368.5,338.2,261.3,254.0,278.3,411.0,478.5,60.4,45.5,391.9,513.9,444.5,316.2,255.6,266.3,24.9,399.0,319.0,313.1,245.5,449.4,226.2,329.6,207.3,254.8,265.3,212.1,576.7,350.2,278.4,262.2,128.5,418.8,115.0,270.7,294.5,293.3,1911.9
OC,446.8,85.2,466.6,315.7,454.3,158.6,473.4,155.5,94.2,142.5,478.1,131.0,315.2,157.3,485.0,439.3,424.9,612.9,258.7,515.4,118.8,56.4,359.3,168.6,303.5,86.8,522.2,207.7,251.8,291.3,168.8,192.6,495.2,132.8,264.6,103.2,565.8,569.4,74.3,589.7,294.2,212.2,168.7,300.4,250.6,79.0,366.0,140.7,528.1,154.2,107.7,531.9,280.1,0.0,44.5,233.5,456.5,486.6,106.3,473.4,48.4,117.9,177.1,352.1,517.2,382.4,158.8,208.9,128.6,195.0,241.9,520.3,140.2,298.0,33.7,140.6,69.3,171.4,468.1,535.6,340.5,322.9,458.6,571.0,501.6,281.1,187.5,198.2,305.0,517.1,100.0,201.0,96.1,506.5,119.4,265.8,122.3,100.4,80.6,208.3,629.5,407.3,59.2,88.7,351.5,475.9,364.6,202.6,182.4,60.4,1987.0
OJ,500.6,139.0,520.4,357.3,508.1,200.2,527.2,196.8,139.9,196.3,531.9,159.9,356.8,211.1,538.8,493.1,478.7,666.7,312.5,569.2,69.5,11.9,413.1,210.2,345.1,133.9,576.0,261.5,305.6,345.1,222.6,216.2,549.0,115.9,306.2,157.0,619.6,623.2,128.1,643.5,348.0,266.0,222.5,354.2,292.2,124.7,419.8,194.5,581.9,117.7,161.5,585.7,333.9,53.7,0.0,287.3,510.3,540.4,96.5,527.2,3.8,159.2,218.7,405.9,571.0,436.2,212.6,262.7,79.3,236.6,295.7,574.1,90.9,339.6,42.4,181.9,123.1,212.7,521.9,589.4,394.3,376.7,512.4,624.8,555.4,334.9,241.3,252.0,358.8,570.9,50.7,242.6,86.3,560.3,216.5,319.6,176.1,55.8,134.4,262.1,683.3,461.1,88.1,44.1,405.3,529.7,418.4,256.4,224.0,89.3,2040.8
OM,389.5,244.6,409.3,330.4,397.0,229.9,416.1,239.9,277.2,143.6,420.8,242.9,217.3,98.1,427.7,382.0,369.0,555.6,128.3,433.4,267.0,339.3,302.0,241.1,237.1,266.2,450.4,181.6,32.8,111.8,92.8,185.2,437.9,354.5,304.1,262.6,508.5,512.1,233.7,529.8,236.9,19.9,138.8,150.3,221.6,250.1,310.1,258.4,472.2,257.6,176.4,474.6,224.2,299.1,327.4,0.0,399.2,429.3,250.4,416.1,333.6,262.4,203.6,294.8,459.9,325.1,276.5,162.5,328.3,175.4,108.4,489.0,256.5,183.4,331.7,256.0,248.7,273.0,410.8,478.3,283.2,268.4,391.7,513.7,444.3,101.6,126.4,79.6,247.7,459.8,275.8,228.7,246.2,449.2,220.9,120.2,152.0,249.5,260.0,145.9,576.5,350.0,273.1,260.4,295.2,418.6,307.8,59.7,217.0,290.3,1929.7
OP,10.4,525.9,274.7,703.8,237.0,546.7,67.9,522.4,547.1,486.6,72.6,521.9,661.7,501.4,391.3,222.0,190.7,207.4,602.8,84.5,578.4,579.2,435.5,556.7,699.4,547.5,330.3,583.1,519.6,602.4,449.0,580.7,38.6,609.6,652.7,543.9,160.3,163.9,515.0,184.2,300.0,510.5,472.4,644.5,682.7,531.4,578.9,518.5,122.6,542.3,468.7,296.6,493.0,580.4,625.0,490.5,0.0,81.1,531.7,162.7,628.9,543.7,565.2,565.0,111.7,595.3,536.6,443.8,647.5,583.1,586.0,114.8,575.7,644.5,614.2,537.3,530.0,554.3,250.8,130.1,553.4,535.8,352.9,165.5,183.1,592.2,531.6,542.3,517.9,269.8,595.0,589.1,521.5,111.2,502.2,609.9,483.3,530.8,541.3,488.1,224.0,208.3,526.8,540.2,518.8,165.2,531.9,546.7,570.5,569.7,1937.2
OQ,149.4,530.2,352.4,683.3,264.0,551.0,55.0,526.7,551.4,490.9,90.7,526.2,682.7,505.7,365.7,249.0,217.7,221.0,607.1,64.6,590.5,583.5,439.8,561.0,703.7,551.8,393.5,587.4,531.1,606.7,453.3,585.0,116.3,613.9,657.0,548.2,173.9,177.5,519.3,195.2,304.3,514.8,476.7,631.4,687.0,535.7,583.2,522.8,136.2,546.6,462.0,370.6,497.3,584.7,629.3,496.0,138.9,0.0,536.0,169.4,633.2,548.0,569.5,569.3,30.5,599.6,540.9,448.1,651.8,587.4,588.4,33.6,580.0,648.8,618.5,541.6,534.3,558.6,277.8,112.7,557.7,542.9,329.7,179.1,183.4,596.5,535.9,546.6,522.2,347.5,599.3,593.4,528.7,124.8,506.5,609.9,487.6,535.1,545.6,492.4,241.9,189.9,531.1,544.5,523.1,166.7,536.7,551.0,581.7,573.6,1986.3
OS,516.7,155.1,536.5,385.6,524.2,228.5,543.3,100.2,164.1,212.4,548.0,244.1,385.1,227.2,554.9,509.2,494.8,682.8,328.6,585.3,231.9,169.5,429.2,238.5,373.4,37.3,592.1,277.6,288.9,371.7,179.1,262.5,565.1,245.9,334.5,173.1,635.7,639.3,144.2,659.6,364.1,279.8,179.0,370.3,320.5,148.9,435.9,210.6,598.0,224.1,178.3,601.8,350.0,113.0,157.6,259.8,526.4,556.5,0.0,543.3,161.5,62.6,247.0,422.0,587.1,452.3,228.7,219.2,241.7,264.9,311.8,590.2,253.3,367.9,146.8,85.3,52.6,116.1,538.0,605.5,410.4,392.8,528.5,640.9,571.5,361.5,257.4,268.1,374.9,587.0,213.1,270.9,91.9,576.4,119.9,335.7,164.3,124.0,38.7,218.6,699.4,477.2,172.3,133.4,421.4,545.8,434.5,272.5,252.3,173.5,2056.9
