from_stop,AI,AR,AY,BA,BE,BK,BM,BR,BS,BW,BX,CO,CV,DA,DE,DG,DL,DW,EE,EO,FA,FH,FJ,FK,FL,FS,FU,FZ,GL,GN,GX,HJ,HL,HN,HS,IA,IF,IT,JI,JO,JR,JT,KT,LB,LC,LE,LV,ML,MN,MS,MV,MW,MY,NE,NG,NN,NR,OH,OM,OW,PF,PH,PP,QA,QT,QU,QY,QZ,RA,RB,RI,SA,SC,SJ,SL,SU,SV,SY,TB,TI,TK,TL,TN,TR,UE,UG,UH,UJ,UX,VF,VH,VI,VK,VW,WI,WJ,WO,WX,XG,XI,XJ,XP,XY,YJ,YT,ZI,ZK,ZN
GX,451.9,276.3,434.2,334.5,758.3,266.4,443.9,96.1,108.1,604.3,722.6,642.6,424.1,556.2,509.4,403.4,111.2,452.1,627.5,575.5,630.9,74.2,119.5,580.7,395.1,596.8,710.1,449.9,232.3,346.6,0.0,435.3,312.3,741.7,741.1,471.3,88.4,189.2,464.0,132.6,130.5,720.4,599.7,615.0,581.4,754.2,735.9,198.9,421.0,372.2,135.8,147.8,637.9,78.1,271.4,416.6,611.0,552.0,180.1,591.5,436.4,685.9,263.7,166.7,469.9,140.7,429.3,795.8,283.2,73.8,1716.7,83.3,731.3,195.7,79.4,240.0,690.5,89.6,684.3,781.7,696.6,109.1,356.5,416.8,583.9,547.5,427.0,413.8,35.6,148.9,612.1,272.4,366.3,735.8,399.9,149.3,284.5,402.3,448.0,458.7,413.6,745.2,128.5,473.9,391.2,180.2,417.4,449.3
HJ,407.6,557.4,414.8,454.8,440.3,386.7,424.5,575.5,483.2,286.3,404.6,324.6,404.7,238.2,151.3,384.0,590.6,432.7,309.5,257.5,312.9,553.6,535.6,262.7,375.7,278.8,392.1,166.9,483.0,327.2,507.6,0.0,432.6,423.7,423.1,451.9,504.5,668.6,68.6,515.3,609.9,402.4,281.7,297.0,263.4,436.2,417.9,678.3,77.9,352.8,579.6,627.2,319.9,557.5,292.9,397.2,293.0,234.0,659.5,273.5,417.0,367.9,544.8,646.1,450.5,620.1,409.9,457.1,564.3,560.3,1672.4,527.1,413.3,446.4,565.9,490.7,372.5,569.0,366.3,463.7,378.6,588.5,337.1,397.4,265.9,229.5,185.2,394.4,543.3,531.6,294.1,392.7,346.9,506.2,380.5,628.7,404.8,382.9,40.9,439.3,394.2,427.2,607.9,454.5,200.4,659.6,398.0,429.9
HL,357.6,362.8,339.9,64.5,664.0,36.5,349.6,380.9,288.6,510.0,628.3,548.3,329.8,461.9,415.1,309.1,396.0,357.8,533.2,481.2,536.6,359.0,341.0,486.4,300.8,502.5,615.8,355.6,288.4,252.3,313.0,341.0,0.0,647.4,646.8,377.0,309.9,474.0,369.7,320.7,415.3,626.1,505.4,520.7,487.1,659.9,641.6,483.7,326.7,277.9,385.0,432.6,543.6,362.9,177.1,322.3,516.7,457.7,464.9,497.2,342.1,591.6,350.2,451.5,375.6,425.5,335.0,680.8,369.7,365.7,1622.4,332.5,637.0,251.8,371.3,296.1,596.2,374.4,590.0,687.4,602.3,393.9,262.2,322.5,489.6,453.2,332.7,319.5,348.7,337.0,517.8,61.6,272.0,641.5,305.6,434.1,118.9,308.0,353.7,364.4,319.3,650.9,413.3,379.6,296.9,465.0,323.1,355.0
HN,500.3,846.3,703.7,743.7,44.4,675.6,713.4,864.4,772.1,418.7,105.8,443.3,693.6,411.8,561.7,672.9,879.5,721.6,453.3,431.1,359.1,842.5,824.5,406.5,664.6,422.6,40.2,482.9,771.9,616.1,796.5,497.5,721.5,0.0,124.3,740.8,793.4,957.5,479.0,804.2,898.8,103.6,399.9,415.2,437.0,12.4,119.1,967.2,436.0,641.7,868.5,916.1,438.1,846.4,581.8,686.1,465.9,407.6,948.4,447.1,705.9,586.8,833.7,935.0,739.4,909.0,698.8,33.3,853.2,849.2,1731.6,816.0,114.5,735.3,854.8,779.6,73.7,857.9,126.1,164.9,79.8,877.4,626.0,686.3,439.5,403.1,474.1,683.3,832.2,820.5,437.9,681.6,635.8,558.0,669.4,917.6,693.7,671.8,463.0,728.2,683.1,31.3,896.8,743.4,489.3,948.5,686.9,718.8
HS,509.2,855.2,712.6,752.6,170.8,716.7,722.3,873.8,781.0,468.0,50.3,484.4,702.5,461.1,611.0,681.8,875.9,770.9,476.1,440.0,368.5,857.4,833.4,415.4,673.5,431.5,82.7,498.5,780.8,625.5,805.4,506.4,730.4,113.8,0.0,749.7,802.3,998.6,487.9,813.1,907.7,16.7,408.8,424.6,478.1,126.3,44.1,976.1,444.9,650.6,877.4,925.0,444.6,829.8,590.7,695.0,474.8,416.5,989.5,456.0,719.2,636.1,842.6,943.9,748.3,917.9,707.7,168.4,862.1,858.1,1740.5,824.9,99.4,744.2,863.7,789.9,60.3,866.8,135.0,33.1,50.7,886.3,634.9,695.2,448.9,412.0,483.0,692.2,856.7,833.7,479.0,690.5,676.9,571.6,678.3,926.5,702.6,680.7,471.9,737.6,724.2,117.3,905.7,752.3,498.2,957.4,695.8,727.7
IA,333.3,501.1,208.7,398.5,657.7,330.4,218.4,519.2,426.9,503.7,622.0,542.0,47.1,455.6,408.8,87.0,534.3,226.6,526.9,474.9,530.3,497.3,479.3,480.1,95.3,496.2,609.5,349.3,426.7,173.4,451.3,334.7,376.3,641.1,640.5,0.0,448.2,612.3,363.4,459.0,553.6,619.8,499.1,514.4,480.8,653.6,635.3,622.0,320.4,199.0,523.3,570.9,537.3,501.2,236.6,89.9,510.4,451.4,603.2,490.9,47.9,585.3,488.5,589.8,244.4,563.8,203.8,674.5,508.0,504.0,1598.1,470.8,632.5,390.1,509.6,434.4,589.9,512.7,583.7,681.1,596.0,532.2,183.3,213.5,483.3,446.9,326.4,188.3,487.0,475.3,511.5,336.4,193.1,617.2,65.9,572.4,348.5,176.8,347.4,105.8,57.7,644.6,551.6,11.9,290.6,603.3,197.1,22.0
IF,459.3,330.1,441.6,341.9,765.7,273.8,451.3,149.9,138.6,611.7,730.0,650.0,431.5,563.6,516.8,410.8,165.0,459.5,634.9,582.9,638.3,128.0,31.1,588.1,402.5,604.2,717.5,457.3,239.7,354.0,77.0,442.7,319.7,749.1,748.5,478.7,0.0,243.0,471.4,140.0,184.3,727.8,607.1,622.4,588.8,761.6,743.3,252.7,428.4,379.6,154.0,201.6,645.3,131.9,278.8,424.0,618.4,559.4,233.9,598.9,443.8,693.3,317.5,220.5,477.3,194.5,436.7,803.2,337.0,53.5,1724.1,101.5,738.7,203.1,59.1,247.4,697.9,143.4,691.7,789.1,704.0,162.9,363.9,424.2,591.3,554.9,434.4,421.2,40.9,177.5,619.5,279.8,373.7,743.2,407.3,203.1,291.9,409.7,455.4,466.1,421.0,752.6,182.3,481.3,398.6,234.0,424.8,456.7
IT,582.7,306.4,565.0,465.3,889.1,397.2,574.7,218.9,238.9,735.1,853.4,773.4,554.9,687.0,640.2,534.2,201.4,582.9,772.2,706.3,761.7,153.5,253.4,711.5,525.9,727.6,840.9,605.4,363.1,477.4,179.0,566.1,443.1,872.5,872.4,602.1,222.3,0.0,594.8,263.4,203.8,853.5,730.0,745.8,712.2,885.0,866.7,84.5,551.8,503.0,266.6,221.1,768.7,178.9,402.2,547.4,741.8,682.8,65.7,722.3,571.6,816.7,293.8,52.3,600.7,57.7,560.1,905.9,313.3,252.9,1847.5,214.1,862.1,326.5,258.5,371.7,821.3,212.4,815.1,884.2,827.4,182.4,487.3,547.6,714.7,678.3,557.8,544.6,214.7,284.0,742.9,403.2,497.1,866.6,530.7,249.9,415.3,533.1,578.8,589.5,544.4,876.0,201.3,604.7,522.0,5.9,548.2,580.1
JI,362.6,512.4,369.8,409.8,412.3,341.7,379.5,530.5,438.2,258.3,376.6,296.6,359.7,210.2,82.6,339.0,545.6,387.7,281.5,229.5,284.9,508.6,490.6,234.7,330.7,250.8,364.1,98.2,438.0,282.2,462.6,62.1,387.6,395.7,395.1,406.9,459.5,623.6,0.0,470.3,564.9,374.4,253.7,269.0,235.4,408.2,389.9,633.3,32.9,307.8,534.6,582.2,291.9,512.5,247.9,352.2,265.0,206.0,614.5,245.5,372.0,339.9,499.8,601.1,405.5,575.1,364.9,449.8,519.3,515.3,1627.4,482.1,385.3,401.4,520.9,445.7,344.5,524.0,338.3,435.7,350.6,543.5,292.1,352.4,237.9,201.5,140.2,349.4,498.3,486.6,266.1,347.7,301.9,478.2,335.5,583.7,359.8,337.9,27.6,394.3,349.2,399.2,562.9,409.5,155.4,614.6,353.0,384.9
JO,439.2,231.6,421.5,321.8,745.6,253.7,431.2,188.9,103.8,591.6,709.9,629.9,411.4,543.5,496.7,390.7,211.2,439.4,614.8,562.8,618.2,174.2,156.2,568.0,382.4,584.1,697.4,437.2,219.6,333.9,128.2,422.6,299.6,729.0,728.4,458.6,125.1,289.2,451.3,0.0,230.5,707.7,587.0,602.3,568.7,741.5,723.2,298.9,408.3,359.5,172.0,247.8,625.2,178.1,258.7,403.9,598.3,539.3,280.1,578.8,423.7,673.2,219.0,266.7,457.2,240.7,416.6,762.4,238.5,180.9,1704.0,139.5,720.4,183.0,186.5,227.3,677.8,273.5,671.6,769.0,683.9,209.1,343.8,404.1,571.2,534.8,414.3,401.1,163.9,83.8,599.4,259.7,353.6,723.1,387.2,249.3,271.8,389.6,435.3,446.0,400.9,732.5,228.5,461.2,378.5,280.2,404.7,436.6
JR,542.8,311.8,525.1,425.4,849.2,357.3,534.8,179.0,199.0,695.2,813.5,733.5,515.0,647.1,600.3,494.3,16.5,543.0,718.4,666.4,721.8,66.2,213.5,671.6,486.0,687.7,801.0,540.8,323.2,437.5,139.1,526.2,403.2,832.6,832.0,562.2,182.4,224.7,554.9,223.5,0.0,811.3,690.6,705.9,672.3,845.1,826.8,234.4,511.9,463.1,226.7,84.5,728.8,48.5,362.3,507.5,701.9,642.9,215.6,682.4,527.3,776.8,299.2,202.2,560.8,176.2,520.2,866.0,318.7,213.0,1807.6,174.2,824.0,286.6,218.6,330.9,781.4,172.5,775.2,872.6,787.5,77.6,447.4,507.7,674.8,638.4,517.9,504.7,174.8,239.8,703.0,363.3,457.2,826.7,490.8,77.5,375.4,493.2,538.9,549.6,504.5,836.1,65.2,564.8,482.1,215.7,508.3,540.2
JT,492.4,838.4,695.8,735.8,113.6,667.7,705.5,856.5,764.2,410.8,33.5,435.4,685.7,403.9,553.8,665.0,859.1,713.7,445.4,423.2,351.2,834.6,816.6,398.6,656.7,414.7,65.4,481.7,764.0,608.2,788.6,489.6,713.6,97.0,18.8,732.9,785.5,949.6,471.1,796.3,890.9,0.0,392.0,407.3,429.1,109.5,26.8,959.3,428.1,633.8,860.6,908.2,427.8,838.5,573.9,678.2,458.0,399.7,940.5,439.2,698.0,578.9,825.8,927.1,731.5,901.1,690.9,130.4,845.3,841.3,1723.7,808.1,42.2,727.4,846.9,772.6,43.5,850.0,118.2,30.6,33.9,869.5,618.1,678.4,431.6,395.2,466.2,675.4,824.3,816.9,430.0,673.7,627.9,554.8,661.5,909.7,685.8,663.9,455.1,720.3,675.2,100.5,888.4,735.5,481.4,940.6,679.0,710.9
KT,487.4,637.2,494.6,534.6,430.1,466.0,504.3,654.8,563.0,45.1,394.9,43.8,484.5,71.2,352.6,463.3,657.9,512.5,158.1,91.0,96.8,639.4,615.4,97.4,455.5,113.5,381.9,280.5,562.8,406.5,587.4,288.4,512.4,414.0,413.4,531.7,584.3,747.9,269.9,595.1,689.7,394.5,0.0,15.7,96.9,426.0,407.7,758.1,226.9,432.6,659.4,707.0,35.7,611.8,372.7,477.0,156.8,67.5,738.8,160.8,501.2,377.7,624.6,725.9,530.3,699.9,489.7,468.1,644.1,640.1,1692.1,606.9,404.9,526.2,645.7,571.4,362.8,648.8,356.1,425.7,368.9,668.3,416.9,477.2,98.9,121.2,265.0,474.2,638.7,615.7,128.8,472.5,426.2,520.7,460.3,708.5,484.6,462.7,253.9,518.6,473.5,417.5,687.2,534.3,280.2,739.4,477.8,509.7
LB,512.7,662.5,519.9,559.9,455.9,491.8,529.6,680.6,588.3,56.3,420.2,28.0,509.8,97.0,377.9,489.1,683.2,537.8,169.5,116.3,122.1,664.7,640.7,122.7,480.8,138.8,407.7,305.8,588.1,432.3,612.7,313.7,537.7,439.3,482.6,557.0,609.6,773.7,295.2,620.4,715.0,420.3,25.2,0.0,122.2,451.8,433.5,783.4,252.2,457.9,684.7,732.3,20.4,662.6,398.0,502.3,182.1,92.8,764.6,186.1,522.1,403.0,649.9,751.2,555.6,725.2,515.0,493.4,669.4,665.4,1717.4,632.2,428.9,551.5,671.0,596.7,388.1,674.1,381.9,451.0,394.2,693.6,442.2,502.5,124.7,146.5,290.3,499.5,648.4,641.0,154.1,497.8,452.0,546.0,485.6,733.8,509.9,488.0,279.2,544.4,499.3,442.8,712.5,559.6,305.5,764.7,503.1,535.0
LC,474.9,624.7,482.1,522.1,418.1,454.0,491.8,642.8,550.5,69.1,382.4,107.4,472.0,10.2,340.1,451.3,645.4,500.0,163.6,43.5,153.1,620.9,602.9,102.9,443.0,119.0,369.9,268.0,550.3,394.5,574.9,275.9,499.9,401.5,401.4,519.2,571.8,735.9,257.4,582.6,677.2,382.5,76.9,92.2,0.0,414.0,395.7,745.6,214.4,420.1,646.9,694.5,112.7,599.3,360.2,464.5,162.3,19.3,726.8,148.3,484.3,365.2,612.1,713.4,517.8,687.4,477.2,455.6,631.6,627.6,1679.6,594.4,391.1,513.7,633.2,558.9,350.3,636.3,344.1,413.2,356.4,655.8,404.4,464.7,51.9,104.3,252.5,461.7,610.6,598.9,134.3,460.0,414.2,503.5,447.8,696.0,472.1,450.2,241.4,506.6,461.5,405.0,674.7,521.8,267.7,726.9,465.3,497.2
LE,512.3,858.3,715.7,755.7,56.4,687.6,725.4,876.4,784.1,430.7,117.8,455.3,705.6,423.8,573.7,684.9,879.0,733.6,465.3,443.1,371.1,860.5,836.5,418.5,676.6,434.6,52.2,501.6,783.9,628.1,808.5,509.5,733.5,11.9,136.8,752.8,805.4,969.5,491.0,816.2,910.8,117.9,411.9,427.2,449.0,0.0,131.1,979.2,448.0,653.7,880.5,928.1,450.1,864.4,593.8,698.1,477.9,419.6,960.4,459.1,722.3,598.8,845.7,947.0,751.4,921.0,710.8,41.5,865.2,861.2,1743.6,828.0,128.3,747.3,866.8,792.5,85.7,869.9,138.1,148.6,91.8,889.4,638.0,698.3,451.5,415.1,486.1,695.3,859.8,832.5,449.9,693.6,647.8,570.0,681.4,929.6,705.7,683.8,475.0,740.2,695.1,43.3,908.3,755.4,501.3,960.5,698.9,730.8
LV,493.7,839.7,697.1,737.1,114.9,669.0,706.8,857.8,765.5,412.1,16.8,436.7,687.0,405.2,555.1,666.3,860.4,715.0,460.6,424.5,352.5,835.9,817.9,399.9,658.0,416.0,66.7,483.0,765.3,609.5,789.9,490.9,714.9,98.3,53.8,734.2,786.8,950.9,472.4,797.6,892.2,34.9,392.8,408.6,430.4,110.8,0.0,960.6,429.4,635.1,861.9,909.5,429.1,811.6,575.2,679.5,459.3,401.0,941.8,440.5,699.3,580.2,827.1,928.4,732.8,902.4,692.2,131.7,846.6,842.6,1725.0,809.4,27.3,728.7,848.2,773.9,44.8,851.3,119.5,65.6,35.2,870.8,619.4,679.7,432.9,396.5,467.5,676.7,841.2,813.9,431.3,675.0,629.2,551.4,662.8,911.0,687.1,665.2,456.4,721.6,676.5,101.8,889.7,736.8,482.7,941.9,680.3,712.2
ML,576.9,289.4,559.2,459.5,883.3,391.4,568.9,213.1,233.1,729.3,847.6,767.6,549.1,681.2,634.4,528.4,183.1,577.1,752.5,700.5,755.9,141.7,247.6,705.7,520.1,721.8,835.1,574.9,357.3,471.6,173.2,560.3,437.3,866.7,866.1,596.3,216.5,96.4,589.0,257.6,198.0,845.4,724.7,740.0,706.4,879.2,860.9,0.0,546.0,497.2,260.8,215.3,762.9,201.3,396.4,541.6,736.0,677.0,12.9,716.5,561.4,810.9,276.8,22.1,594.9,99.3,554.3,920.8,296.3,247.1,1841.7,208.3,856.3,320.7,252.7,365.0,815.5,206.6,809.3,906.7,821.6,176.6,481.5,541.8,708.9,672.5,552.0,538.8,208.9,273.9,737.1,397.4,491.3,860.8,524.9,244.1,409.5,527.3,573.0,583.7,538.6,870.2,196.0,598.9,516.2,87.4,542.4,574.3
MN,329.6,479.4,336.8,376.8,379.3,308.7,346.5,497.5,405.2,225.3,343.6,263.6,326.7,177.2,125.6,306.0,512.6,354.7,248.5,196.5,251.9,475.6,457.6,201.7,297.7,217.8,331.1,141.2,405.0,249.2,429.6,61.4,354.6,362.7,362.1,373.9,426.5,590.6,42.9,437.3,531.9,341.4,220.7,236.0,202.4,375.2,356.9,600.3,0.0,274.8,501.6,549.2,258.9,479.5,214.9,319.2,232.0,173.0,581.5,212.5,339.0,306.9,466.8,568.1,372.5,542.1,331.9,416.8,486.3,482.3,1594.4,449.1,352.3,368.4,487.9,412.7,311.5,491.0,305.3,402.7,317.6,510.5,259.1,319.4,204.9,168.5,107.2,316.4,465.3,453.6,233.1,314.7,268.9,445.2,302.5,550.7,326.8,304.9,26.9,361.3,316.2,366.2,529.9,376.5,122.4,581.6,320.0,351.9
MS,257.4,425.2,124.1,322.6,581.8,254.5,133.8,443.3,351.0,427.8,546.1,466.1,149.9,379.7,332.9,129.2,458.4,155.8,451.0,399.0,454.4,421.4,403.4,404.2,120.9,420.3,533.6,273.4,350.8,20.8,375.4,258.8,300.4,565.2,564.6,197.1,372.3,536.4,287.5,383.1,477.7,543.9,423.2,438.5,404.9,577.7,559.4,546.1,244.5,0.0,447.4,495.0,461.4,425.3,160.7,142.4,434.5,375.5,527.3,415.0,162.2,509.4,412.6,513.9,173.6,487.9,133.0,619.3,432.1,428.1,1522.2,394.9,554.8,314.2,433.7,358.5,514.0,436.8,507.8,605.2,520.1,456.3,15.6,61.5,407.4,371.0,250.5,117.5,411.1,399.4,435.6,260.5,5.9,541.3,125.7,496.5,272.6,106.0,271.5,184.5,139.4,568.7,475.7,199.7,214.7,527.4,45.1,175.1
MV,479.4,271.8,461.7,362.0,785.8,293.9,471.4,119.0,135.6,631.8,750.1,670.1,451.6,583.7,536.9,430.9,194.3,479.6,655.0,603.0,658.4,157.3,150.1,608.2,422.6,624.3,737.6,477.4,259.8,374.1,111.3,462.8,339.8,769.2,768.6,498.8,119.0,272.3,491.5,173.3,213.6,747.9,627.2,642.5,608.9,781.7,763.4,282.0,448.5,399.7,0.0,230.9,665.4,161.2,298.9,444.1,638.5,579.5,263.2,619.0,463.9,713.4,259.2,249.8,497.4,223.8,456.8,802.6,278.7,174.8,1744.2,69.6,760.6,223.2,180.4,267.5,718.0,203.6,711.8,809.2,724.1,192.2,384.0,444.3,611.4,575.0,454.5,441.3,147.0,163.6,639.6,299.9,393.8,763.3,427.4,232.4,312.0,429.8,475.5,486.2,441.1,772.7,211.6,501.4,418.7,263.3,444.9,476.8
MW,552.2,299.1,534.5,434.8,858.6,366.7,544.2,188.4,208.4,704.6,822.9,742.9,524.4,656.5,609.7,503.7,59.6,552.4,727.8,675.8,731.2,53.5,222.9,681.0,495.4,697.1,810.4,550.2,332.6,446.9,148.5,535.6,412.6,842.0,841.4,571.6,191.8,212.0,564.3,232.9,74.5,820.7,700.0,715.3,681.7,854.5,836.2,221.7,521.3,472.5,236.1,0.0,738.2,91.6,371.7,516.9,711.3,652.3,202.9,691.8,536.7,786.2,286.5,189.5,570.2,163.5,529.6,896.1,306.0,222.4,1817.0,183.6,833.4,296.0,228.0,340.3,790.8,181.9,784.6,882.0,796.9,64.9,456.8,517.1,684.2,647.8,527.3,514.1,184.2,249.2,712.4,372.7,466.6,836.1,500.2,120.6,384.8,502.6,548.3,559.0,513.9,845.5,9.2,574.2,491.5,203.0,517.7,549.6
MY,535.6,685.4,542.8,582.8,476.4,512.3,552.5,701.1,611.2,58.9,443.1,33.6,532.7,117.5,400.8,512.0,706.1,560.7,206.3,139.2,145.0,687.6,663.6,145.6,503.7,161.7,428.2,328.7,611.0,452.8,635.6,336.6,560.6,462.2,505.5,579.9,632.5,794.2,318.1,643.3,737.9,443.2,48.6,20.4,142.7,472.3,454.0,806.3,275.1,480.8,707.6,755.2,0.0,660.0,420.9,525.2,205.0,115.7,785.1,209.0,549.4,425.9,672.8,774.1,578.5,748.1,537.9,513.9,692.3,688.3,1740.3,655.1,449.4,574.4,693.9,617.2,411.0,697.0,402.4,473.9,417.1,716.5,465.1,525.4,145.2,169.4,313.2,522.4,686.9,663.9,177.0,520.7,472.5,568.9,508.5,756.7,532.8,510.9,302.1,564.9,522.2,465.7,733.0,582.5,328.4,787.6,526.0,557.9
NE,494.2,296.8,476.5,376.8,800.6,314.3,486.2,136.0,150.4,628.0,764.9,690.5,466.4,582.8,536.0,451.3,14.5,475.8,683.7,617.8,673.2,67.2,164.9,623.0,437.4,639.1,736.7,516.9,274.6,394.5,90.5,477.6,354.6,784.0,827.3,513.6,133.8,209.7,506.3,174.9,59.6,770.6,641.5,641.6,608.0,777.9,778.2,219.4,463.3,414.5,178.1,92.7,677.8,0.0,313.7,458.9,653.3,594.3,200.6,633.8,483.1,728.2,284.2,187.2,512.2,161.2,453.0,801.7,303.7,164.4,1759.0,125.6,773.6,238.0,170.0,288.8,732.8,123.9,708.0,801.3,738.9,85.8,380.2,459.1,626.2,589.8,469.3,456.1,141.8,195.5,638.7,314.7,408.6,782.8,442.2,71.1,326.8,444.6,490.3,485.3,440.2,787.5,66.9,516.2,433.5,200.7,459.7,491.6
NG,249.9,313.9,232.2,211.3,556.3,143.2,241.9,332.0,239.7,402.3,520.6,440.6,222.1,354.2,307.4,201.4,347.1,250.1,425.5,373.5,428.9,310.1,292.1,378.7,193.1,394.8,508.1,247.9,239.5,144.6,264.1,233.3,189.1,539.7,539.1,269.3,261.0,425.1,262.0,271.8,366.4,518.4,397.7,413.0,379.4,552.2,533.9,434.8,219.0,170.2,336.1,383.7,435.9,314.0,0.0,214.6,409.0,350.0,416.0,389.5,234.4,483.9,301.3,402.6,267.9,376.6,227.3,593.8,320.8,316.8,1514.7,283.6,529.3,202.9,322.4,247.2,488.5,325.5,482.3,579.7,494.6,345.0,154.5,214.8,381.9,345.5,225.0,211.8,299.8,288.1,410.1,149.2,164.3,533.8,197.9,385.2,161.3,200.3,246.0,256.7,211.6,543.2,364.4,271.9,189.2,416.1,215.4,247.3
NN,271.8,439.6,147.2,337.0,596.2,268.9,156.9,457.7,365.4,442.2,560.5,480.5,50.5,394.1,347.3,75.6,472.8,165.1,465.4,413.4,468.8,435.8,417.8,418.6,67.3,434.7,548.0,287.8,365.2,111.9,389.8,273.2,314.8,579.6,579.0,97.7,386.7,550.8,301.9,397.5,492.1,558.3,437.6,452.9,419.3,592.1,573.8,560.5,258.9,137.5,461.8,509.4,475.8,439.7,175.1,0.0,448.9,389.9,541.7,429.4,108.6,523.8,427.0,528.3,182.9,502.3,142.3,633.7,446.5,442.5,1536.6,409.3,569.2,328.6,448.1,372.9,528.4,451.2,522.2,619.6,534.5,470.7,121.8,152.0,421.8,385.4,264.9,126.8,425.5,413.8,450.0,274.9,131.6,555.7,72.1,510.9,287.0,115.3,285.9,130.9,40.0,583.1,490.1,109.7,229.1,541.8,135.6,75.7
NR,474.5,624.3,481.7,521.7,417.7,453.6,491.4,642.4,550.1,177.3,382.0,198.1,471.6,129.2,339.7,450.9,657.5,499.6,125.5,148.5,185.9,620.5,602.5,78.7,442.6,89.8,369.5,260.9,549.9,394.1,574.5,275.5,499.5,401.1,400.5,518.8,571.4,735.5,257.0,582.2,676.8,379.8,154.7,170.0,154.4,413.6,395.3,745.2,214.0,419.7,646.5,694.1,192.9,624.4,359.8,464.1,0.0,125.0,726.4,77.4,483.9,364.8,611.7,713.0,517.4,687.0,476.8,434.5,631.2,627.2,1679.2,594.0,392.5,513.3,632.8,557.6,349.9,635.9,343.7,441.1,356.0,655.4,404.0,464.3,156.9,43.4,252.1,461.3,610.2,598.5,110.1,459.6,413.8,503.1,447.4,695.6,471.7,449.8,241.0,506.2,461.1,404.6,674.8,521.4,267.3,726.5,464.9,496.8
OH,455.5,605.3,462.7,502.7,398.7,434.6,472.4,623.4,531.1,49.7,363.0,88.0,452.6,4.1,320.7,431.9,638.5,480.6,130.3,23.4,133.7,601.5,583.5,83.5,423.6,99.6,350.5,241.9,530.9,375.1,555.5,256.5,480.5,382.1,381.5,499.8,552.4,716.5,238.0,563.2,657.8,360.8,57.5,72.8,29.3,394.6,376.3,726.2,195.0,400.7,627.5,675.1,95.7,605.4,340.8,445.1,142.9,0.0,707.4,128.9,464.9,345.8,592.7,694.0,498.4,668.0,457.8,436.2,612.2,608.2,1660.2,575.0,371.7,494.3,613.8,538.6,330.9,616.9,324.7,422.1,337.0,636.4,385.0,445.3,31.8,84.9,233.1,442.3,591.2,579.5,114.9,440.6,394.8,484.1,428.4,676.6,452.7,430.8,222.0,487.2,442.1,385.6,655.8,502.4,248.3,707.5,445.9,477.8
OM,564.0,276.5,546.3,446.6,870.4,378.5,556.0,200.2,220.2,716.4,834.7,754.7,536.2,668.3,621.5,515.5,182.7,564.2,753.5,687.6,743.0,128.8,234.7,692.8,507.2,708.9,822.2,586.7,344.4,458.7,160.3,547.4,424.4,853.8,897.1,583.4,203.6,83.5,576.1,244.7,185.1,834.8,711.3,727.1,693.5,866.3,848.0,18.7,533.1,484.3,247.9,202.4,747.6,160.2,383.5,528.7,723.1,664.1,0.0,703.6,552.9,798.0,263.9,9.2,582.0,86.4,541.4,907.9,283.4,234.2,1828.8,195.4,843.4,307.8,239.8,353.0,802.6,193.7,796.4,865.5,808.7,163.7,468.6,528.9,696.0,659.6,539.1,525.9,211.6,265.3,724.2,384.5,478.4,852.6,512.0,231.2,396.6,514.4,560.1,570.8,525.7,857.3,182.6,586.0,503.3,74.5,529.5,561.4
OW,465.0,614.8,472.2,512.2,408.2,444.1,481.9,632.9,540.6,171.2,372.5,209.5,462.1,123.1,330.2,441.4,648.0,490.1,147.5,142.4,197.8,611.0,593.0,100.7,433.1,111.8,360.0,251.4,540.4,384.6,565.0,266.0,490.0,391.6,391.0,509.3,561.9,726.0,247.5,572.7,667.3,370.3,166.6,181.9,148.3,404.1,385.8,735.7,204.5,410.2,637.0,684.6,204.8,614.9,350.3,454.6,83.5,118.9,716.9,0.0,474.4,355.3,602.2,703.5,507.9,677.5,467.3,425.0,621.7,617.7,1669.7,584.5,381.2,503.8,623.3,548.1,340.4,626.4,334.2,431.6,346.5,645.9,394.5,454.8,150.8,59.6,242.6,451.8,600.7,589.0,132.1,450.1,404.3,493.6,437.9,686.1,462.2,440.3,231.5,496.7,451.6,395.1,665.3,511.9,257.8,717.0,455.4,487.3
PF,313.8,481.6,189.2,379.0,638.2,312.6,198.9,499.7,407.4,484.2,602.5,522.5,105.1,436.1,389.3,34.6,504.0,208.8,521.3,455.4,512.5,483.8,459.8,460.6,47.3,476.7,590.0,354.5,407.2,153.9,431.8,315.2,356.8,621.6,664.9,57.9,428.7,592.8,343.9,439.5,534.1,602.6,479.1,496.6,461.3,634.1,615.8,602.5,300.9,179.5,503.8,551.4,515.4,456.2,217.1,110.8,490.9,431.9,585.4,471.4,0.0,565.8,469.0,570.3,224.9,544.3,184.3,675.7,488.5,484.5,1578.6,451.3,611.2,370.6,490.1,417.5,570.4,493.2,564.2,633.3,576.5,512.7,163.8,194.0,465.5,427.4,306.9,168.8,483.1,460.1,492.0,316.9,173.6,602.4,46.4,552.9,329.0,157.3,327.9,57.8,107.8,625.1,533.3,45.9,271.1,583.8,177.6,79.9
