from_stop,AB,AE,AH,AO,AP,AQ,AR,AT,AX,BB,BE,BG,BH,BK,BO,BU,BY,CM,CV,DG,DJ,DQ,DR,DS,DU,ED,EI,EK,ER,EZ,FA,FG,FM,FP,FS,FY,GD,GI,GP,GS,GW,HA,HH,HQ,HV,HZ,ID,II,IQ,IS,IX,JB,JT,JX,JZ,KA,KM,KP,KR,KW,KY,LG,LL,LX,MA,MJ,ML,NA,ND,NE,NG,NH,NL,NN,NZ,OB,OE,ON,OR,OT,OV,OY,PE,PG,PL,PO,QA,QB,QD,QE,QH,QN,QV,QW,RA,RC,RH,RI,RX,SI,SL,SM,TC,TE,TL,TO,TT,UC,UD,UE,UF,UP,UQ,UU,UV,UW,VA,VB,VJ,VV,VW,WB,WD,WF,WO,WX,WY,WZ,XD,XF,XQ,XY,XZ,YF,YL,YO,YT,YU,ZM,ZO,ZS
DS,81.7,541.5,646.2,65.4,555.5,478.6,731.3,661.3,573.7,697.4,451.2,570.5,658.5,569.6,555.5,611.3,636.0,573.8,637.5,609.8,650.1,541.9,507.5,0.0,648.5,570.2,585.8,497.0,502.4,688.9,656.4,569.6,516.9,639.2,665.2,519.1,488.5,49.8,648.2,623.3,699.4,6.1,571.2,552.5,695.0,536.5,630.3,44.6,694.0,526.6,150.5,597.5,520.6,45.9,521.2,606.4,457.0,684.5,565.7,571.5,617.7,567.8,529.7,580.6,716.5,649.3,533.9,523.1,29.9,482.5,555.7,698.7,24.8,40.1,490.8,621.6,577.6,130.0,503.8,539.0,533.3,658.6,590.3,532.9,7.5,603.1,404.3,530.9,557.7,148.7,654.4,639.9,445.8,53.8,109.4,653.9,2479.3,501.9,649.9,587.7,465.6,124.7,267.4,666.1,469.6,558.8,611.4,735.9,453.8,480.1,562.8,495.5,755.5,470.7,466.4,104.4,609.3,508.1,586.4,511.6,603.9,663.5,458.2,650.2,586.6,170.6,721.8,649.3,489.2,539.9,634.0,121.1,464.7,536.5,690.7,74.9,558.3,532.1,735.8,653.5,469.2
DU,651.0,214.4,250.4,613.8,790.7,713.8,203.7,919.7,188.4,236.0,710.2,177.4,89.7,225.7,789.8,124.2,197.1,264.7,259.1,122.7,908.5,777.1,747.8,691.9,0.0,261.1,258.8,732.2,737.6,353.2,91.1,804.8,752.1,897.6,328.5,210.0,723.7,680.0,55.3,273.3,50.8,698.1,244.1,254.6,204.9,771.7,72.7,709.3,244.1,217.5,520.4,274.7,755.8,499.4,779.6,290.2,692.2,348.8,800.9,185.4,876.1,86.9,770.2,815.8,218.9,212.3,224.8,758.3,685.6,717.7,790.9,228.8,710.7,639.1,726.0,131.0,812.8,647.5,739.0,125.6,165.2,265.5,208.9,768.1,682.6,861.5,302.5,766.1,239.6,518.4,165.2,898.3,681.0,625.4,626.9,24.9,2207.5,728.1,304.1,818.7,700.8,533.3,536.0,330.4,704.8,249.7,876.1,153.7,689.0,715.3,825.2,730.7,201.7,705.9,713.7,630.3,216.2,766.5,821.6,227.8,211.5,921.9,693.4,908.6,277.5,496.5,194.2,907.7,724.4,269.8,240.9,638.6,699.9,771.7,206.3,731.4,793.5,790.5,182.0,166.4,704.4
ED,535.8,108.0,141.0,498.6,708.9,632.0,226.1,814.7,97.4,192.2,604.6,127.2,246.7,173.6,708.9,194.0,130.1,68.6,132.3,198.0,803.5,695.3,660.9,576.7,236.7,0.0,80.6,650.4,655.8,183.7,244.6,723.0,670.3,792.6,160.0,62.8,641.9,564.8,236.4,118.1,287.6,582.9,96.6,189.9,189.8,689.9,218.5,585.9,188.8,70.3,405.2,95.8,674.0,384.2,674.6,101.2,610.4,179.3,719.1,115.2,771.1,156.0,683.1,734.0,211.3,143.4,47.2,676.5,571.2,635.9,709.1,193.5,601.6,523.9,644.2,183.7,731.0,532.3,657.2,127.2,126.5,152.7,130.6,686.3,567.4,756.5,179.8,684.3,34.5,403.2,205.6,793.3,599.2,510.2,511.7,242.1,2281.1,655.3,144.7,741.1,619.0,418.1,420.8,160.9,623.0,53.6,764.8,230.7,607.2,633.5,716.2,648.9,250.3,624.1,619.8,515.1,103.4,661.5,739.8,149.0,80.7,816.9,611.6,803.6,16.4,381.3,216.6,802.7,642.6,177.3,128.1,523.4,618.1,689.9,184.8,616.2,711.7,685.5,230.6,160.8,622.6
EI,578.9,151.1,97.7,541.7,752.0,675.1,182.8,857.8,90.5,148.9,647.7,111.3,252.1,174.4,752.0,148.4,84.5,67.8,109.3,177.8,872.8,738.4,704.0,619.8,242.1,88.1,0.0,693.5,698.9,182.9,250.0,766.1,713.4,835.7,159.2,105.9,685.0,607.9,241.8,117.3,270.1,626.0,139.7,203.3,146.5,733.0,223.9,629.0,145.5,113.4,448.3,138.9,717.1,427.3,717.7,100.4,653.5,178.5,762.2,99.3,814.2,161.4,726.2,777.1,168.0,97.8,90.3,719.6,614.3,679.0,752.2,150.2,644.7,567.0,687.3,138.1,774.1,575.4,700.3,132.6,113.9,107.1,126.4,729.4,610.5,799.6,222.9,727.4,90.9,446.3,160.0,836.4,642.3,553.3,554.8,247.5,2358.7,698.4,143.9,784.2,662.1,461.2,463.9,160.1,666.1,52.8,807.9,187.4,650.3,676.6,759.3,692.0,207.0,667.2,662.9,558.2,72.3,704.6,782.9,176.5,82.8,860.0,654.7,846.7,104.5,424.4,173.3,845.8,685.7,218.5,82.5,566.5,661.2,733.0,139.2,659.3,754.8,728.6,187.3,115.2,665.7
EK,409.7,685.8,790.5,372.5,195.5,64.2,875.6,366.2,718.0,841.7,175.6,714.8,802.8,713.9,194.6,755.6,780.3,718.1,781.8,754.1,355.0,196.8,147.5,450.6,792.8,714.5,730.1,0.0,88.0,833.2,738.3,209.6,217.5,344.1,807.9,663.4,242.2,438.7,792.5,767.6,756.6,456.8,715.5,696.8,839.3,176.5,774.6,459.8,838.3,670.9,394.3,741.8,160.6,496.6,226.1,750.7,210.7,828.8,205.7,715.8,322.6,712.1,167.9,220.6,860.8,810.0,678.2,226.3,444.2,122.5,195.7,843.0,469.4,397.8,244.5,762.4,217.6,406.2,204.4,683.3,677.6,802.9,734.6,172.9,421.7,308.0,548.6,170.9,702.0,392.5,796.6,344.6,146.4,384.1,385.6,798.2,2501.6,132.9,794.2,223.5,166.2,368.5,450.6,810.4,170.2,703.1,322.6,833.7,207.5,233.8,267.7,135.5,881.7,110.7,224.6,389.0,753.6,213.0,226.4,655.9,748.2,366.2,158.8,355.1,730.9,414.4,866.1,354.2,74.8,684.2,778.3,397.3,218.4,176.5,835.0,490.1,198.3,237.0,862.0,797.8,36.0
ER,407.0,683.1,787.8,369.8,192.8,45.4,872.9,363.5,715.3,839.0,149.1,712.1,800.1,711.2,192.8,752.9,777.6,715.4,779.1,751.4,352.3,194.1,144.8,447.9,790.1,711.8,727.4,99.9,0.0,830.5,735.6,206.9,214.8,341.4,806.8,660.7,239.5,436.0,789.8,764.9,753.9,454.1,712.8,694.1,836.6,173.8,771.9,457.1,835.6,668.2,391.6,739.1,157.9,493.9,223.4,748.0,208.0,826.1,203.0,713.1,319.9,709.4,170.5,217.9,858.1,790.9,675.5,223.6,442.4,119.8,193.0,840.3,472.8,395.1,241.8,763.2,214.9,403.5,201.7,680.6,674.9,800.2,731.9,170.2,438.6,305.3,545.9,168.2,699.3,389.8,796.0,342.1,143.7,381.4,382.9,795.5,2498.9,139.2,791.5,225.0,163.5,365.8,447.9,807.7,167.5,700.4,313.6,836.5,204.8,231.1,265.0,132.8,879.0,108.0,217.4,386.3,750.9,210.3,223.7,653.2,745.5,365.7,156.1,352.4,728.2,411.7,863.4,351.5,14.1,681.5,775.6,394.6,215.7,173.8,832.3,487.4,195.6,234.3,859.3,795.1,72.1
EZ,661.6,233.8,112.3,624.4,834.7,757.8,197.4,940.5,202.1,163.5,730.4,222.9,363.7,286.0,834.7,245.8,181.9,104.6,103.6,275.2,929.3,821.1,786.7,702.5,322.4,170.8,182.5,776.2,781.6,0.0,319.2,848.8,796.1,918.4,23.4,188.6,767.7,690.6,353.4,89.4,284.7,708.7,222.4,314.9,161.1,815.7,335.5,711.7,160.1,196.1,531.0,221.6,799.8,510.0,800.4,72.0,736.2,41.6,844.9,210.9,896.9,273.0,808.9,859.8,182.6,195.2,173.0,802.3,697.0,761.7,834.9,164.8,727.4,649.7,770.0,235.5,856.8,658.1,783.0,244.2,225.5,186.9,238.0,812.1,693.2,882.3,305.6,810.1,178.3,529.0,257.4,919.1,725.0,636.0,637.5,347.4,2391.8,781.1,62.4,866.9,744.8,543.9,546.6,55.4,748.8,119.6,890.6,202.0,733.0,759.3,842.0,774.7,221.6,749.9,745.6,640.9,183.9,787.3,865.6,274.8,194.4,942.7,737.4,929.4,187.2,507.1,187.9,928.5,768.4,303.1,119.9,649.2,743.9,815.7,236.6,742.0,837.5,811.3,201.9,212.6,748.4
FA,552.1,232.4,224.5,514.9,691.8,614.9,177.8,820.8,206.4,210.1,587.5,195.4,107.7,243.7,691.8,142.2,215.1,282.7,233.2,140.7,809.6,678.2,643.8,593.0,76.6,279.1,276.8,633.3,638.7,327.3,0.0,705.9,653.2,798.7,303.6,228.0,624.8,581.1,76.3,247.4,50.7,599.2,262.1,272.6,179.0,672.8,24.0,602.2,218.2,235.5,421.5,292.7,656.9,400.5,680.7,264.3,593.3,322.9,702.0,203.4,777.2,104.9,666.0,716.9,193.0,201.8,242.8,659.4,587.5,618.8,692.0,202.9,617.9,540.2,627.1,152.5,713.9,548.6,640.1,143.6,183.2,283.5,226.9,669.2,583.7,762.6,235.6,667.2,257.6,419.5,185.3,799.4,582.1,526.5,528.0,82.0,2108.6,638.2,278.2,724.0,601.9,434.4,437.1,304.5,605.9,267.7,770.9,133.3,590.1,616.4,722.3,631.8,175.8,607.0,602.7,531.4,234.2,667.6,722.7,245.8,229.5,823.0,594.5,809.7,295.5,397.6,168.3,808.8,625.5,287.8,249.2,539.7,601.0,672.8,224.3,632.5,694.6,691.6,156.1,184.4,605.5
FG,451.6,727.7,832.4,414.4,68.0,185.3,917.5,432.9,759.9,883.6,193.7,756.7,844.7,755.8,23.6,797.5,822.2,760.0,823.7,796.0,421.7,99.3,169.2,492.5,834.7,756.4,772.0,203.7,209.1,875.1,780.2,0.0,192.2,410.8,851.4,705.3,284.1,480.6,834.4,809.5,798.5,498.7,757.4,738.7,881.2,49.0,816.5,501.7,880.2,712.8,436.2,783.7,128.1,538.5,292.8,792.6,252.6,870.7,128.2,757.7,389.3,754.0,140.7,93.1,902.7,835.5,720.1,154.6,487.0,120.4,118.2,884.9,517.4,439.7,286.4,807.8,7.9,448.1,179.1,725.2,719.5,844.8,776.5,95.4,483.2,374.7,590.5,168.8,743.9,434.4,840.6,411.5,185.4,426.0,427.5,840.1,2543.5,139.8,836.1,73.8,205.5,410.4,517.3,852.3,171.6,745.0,383.0,881.1,249.4,275.7,334.4,103.0,923.6,132.4,262.0,430.9,795.5,279.7,148.9,697.8,790.1,435.1,200.7,421.8,772.8,456.3,908.0,420.9,195.9,726.1,820.2,439.2,260.3,99.0,876.9,532.0,44.4,303.7,903.9,839.7,175.9
FM,386.1,662.2,766.9,348.9,200.0,175.6,852.0,405.2,694.4,818.1,91.7,691.2,779.2,690.3,198.1,732.0,756.7,694.5,758.2,730.5,420.2,94.2,211.5,427.0,769.2,690.9,706.5,194.0,199.4,809.6,714.7,213.1,0.0,383.1,785.9,639.8,218.6,416.1,768.9,744.0,733.0,434.2,691.9,673.2,815.7,180.0,751.0,444.4,814.7,647.3,370.7,718.2,94.6,473.0,265.1,727.1,187.1,805.2,192.2,692.2,361.6,688.5,87.3,224.1,837.2,786.4,654.6,75.4,420.6,154.2,181.2,819.4,451.9,374.2,220.9,738.8,221.1,382.6,8.4,659.7,654.0,779.3,711.0,158.4,398.1,347.0,525.0,202.6,678.4,368.9,773.0,383.6,42.4,360.5,362.0,774.6,2478.0,164.6,770.6,227.0,62.5,344.9,388.1,786.8,28.6,679.5,361.6,812.3,183.9,210.2,310.7,119.7,858.1,166.2,208.6,365.4,730.0,252.0,211.9,632.3,724.6,405.2,74.9,394.1,707.3,390.8,839.1,393.2,186.2,660.6,754.7,373.7,194.8,162.0,811.4,466.5,201.8,276.0,838.4,774.2,166.2
FP,534.2,797.3,902.0,497.0,353.5,301.4,990.2,40.9,829.5,953.2,291.8,826.3,914.3,825.4,353.5,867.1,891.8,829.6,893.3,865.6,10.8,354.8,305.5,575.1,900.8,826.0,841.6,319.8,325.2,944.7,844.8,367.6,357.5,0.0,921.0,774.9,382.2,563.2,921.2,879.1,863.1,581.3,827.0,808.3,991.4,334.5,868.9,584.3,949.8,782.4,518.8,853.3,318.6,617.1,235.8,862.2,350.7,940.3,363.7,827.3,64.6,823.6,331.2,378.6,1005.4,905.1,789.7,363.7,569.6,280.5,353.7,954.5,600.0,522.3,384.5,877.4,375.6,530.7,344.4,794.8,789.1,914.4,846.1,330.9,565.8,75.3,660.1,328.9,813.5,517.0,910.2,32.5,286.4,508.6,510.1,925.8,2608.1,299.9,905.7,385.7,306.2,493.0,482.9,921.9,310.2,814.6,26.7,945.7,347.5,373.8,277.4,293.5,988.2,268.7,360.1,513.5,865.1,222.7,384.4,767.4,859.7,56.1,298.8,364.8,842.4,538.9,980.7,17.0,312.0,795.7,889.8,521.8,358.4,334.5,946.5,614.6,356.3,246.7,968.5,909.3,292.0
FS,637.0,209.2,88.8,599.8,809.6,732.7,172.8,915.4,177.0,138.4,705.3,197.8,338.6,261.4,809.6,221.2,157.3,80.0,79.0,250.6,930.4,796.5,767.2,677.9,297.3,146.2,157.9,751.1,757.0,24.6,294.6,824.2,772.6,893.8,0.0,164.0,743.1,665.5,328.3,64.8,260.1,683.6,197.8,289.8,136.5,791.1,310.9,686.6,135.5,171.5,506.4,197.0,776.3,485.4,775.8,47.4,712.7,20.2,819.8,186.3,872.3,248.4,783.8,835.2,158.0,170.1,148.4,777.2,671.9,736.6,810.3,139.7,702.8,625.1,745.4,213.9,832.2,633.5,758.4,219.1,200.4,162.3,213.4,787.5,668.1,857.7,281.0,785.5,153.7,504.4,232.3,894.0,699.9,611.4,612.9,322.8,2367.2,756.0,37.8,841.8,720.2,518.8,521.5,30.8,723.7,95.0,865.5,180.7,708.4,734.7,816.9,750.1,197.0,725.3,725.5,616.3,159.3,762.7,841.0,250.2,169.8,917.6,712.8,904.8,162.6,482.5,162.8,903.9,743.8,278.5,95.3,624.6,719.3,791.1,212.0,716.9,812.9,786.7,177.3,188.0,723.8
FY,492.4,45.1,166.5,455.2,665.5,588.6,251.6,771.3,94.0,217.7,561.2,106.2,203.3,130.2,665.5,156.1,162.6,94.1,157.8,154.6,760.1,651.9,617.5,533.3,193.3,90.5,106.1,607.0,612.4,209.2,201.2,679.6,626.9,749.2,185.5,0.0,598.5,521.4,193.0,143.6,244.2,539.5,74.8,146.5,215.3,646.5,175.1,542.5,214.3,7.5,361.8,105.4,630.6,340.8,631.2,126.7,567.0,204.8,675.7,91.8,727.7,112.6,639.7,690.6,236.8,175.9,54.2,633.1,527.8,592.5,665.7,219.0,558.2,480.5,600.8,166.4,687.6,488.9,613.8,83.8,83.1,185.2,110.6,642.9,524.0,713.1,136.4,640.9,78.0,359.8,199.2,749.9,555.8,466.8,468.3,198.7,2237.7,611.9,170.2,697.7,575.6,374.7,377.4,186.4,579.6,79.1,721.4,256.2,563.8,590.1,672.8,605.5,275.8,580.7,576.4,471.7,135.9,618.1,696.4,105.6,124.2,773.5,568.2,760.2,106.9,337.9,242.1,759.3,599.2,133.9,160.6,480.0,574.7,646.5,217.3,572.8,668.3,642.1,256.1,193.3,579.2
GD,366.4,642.5,747.2,329.2,245.9,169.0,832.3,398.6,674.7,798.4,141.6,671.5,759.5,670.6,245.9,712.3,737.0,674.8,738.5,710.8,387.4,232.3,197.9,407.3,749.5,671.2,686.8,187.4,192.8,789.9,695.0,260.0,207.3,376.5,766.2,620.1,0.0,395.4,749.2,724.3,713.3,413.5,672.2,653.5,796.0,226.9,731.3,416.5,795.0,627.6,351.0,698.5,211.0,453.3,258.5,707.4,113.0,785.5,256.1,672.5,355.0,668.8,220.1,271.0,817.5,750.3,634.9,213.5,401.8,172.9,246.1,799.7,432.2,354.5,146.8,722.6,268.0,362.9,194.2,640.0,634.3,759.6,691.3,223.3,398.0,340.4,505.3,221.3,658.7,349.2,755.4,377.2,136.2,340.8,342.3,754.9,2458.3,192.3,750.9,278.1,156.0,325.2,368.4,767.1,160.0,659.8,348.7,795.9,59.6,45.0,300.1,185.9,838.4,161.1,47.0,345.7,710.3,245.4,276.8,612.6,704.9,400.8,148.6,387.5,687.6,371.1,822.8,386.6,179.6,640.9,735.0,354.0,48.4,226.9,791.7,446.8,248.7,269.4,818.7,754.5,159.6
GI,31.9,547.8,652.5,82.6,561.8,484.9,737.6,667.6,580.0,703.7,457.5,576.8,664.8,575.9,560.9,617.6,642.3,580.1,643.8,616.1,656.4,548.2,513.8,62.9,654.8,576.5,592.1,503.3,508.7,695.2,662.7,575.9,523.2,645.5,669.9,525.4,494.8,0.0,654.5,629.6,705.7,69.1,577.5,558.8,701.3,542.8,636.6,48.3,700.3,532.9,156.8,603.8,526.9,104.8,527.5,612.7,463.3,690.8,572.0,577.8,624.0,574.1,536.0,586.9,722.8,672.0,540.2,529.4,5.6,488.8,562.0,705.0,81.7,87.6,497.1,624.4,583.9,96.1,510.1,545.3,539.6,664.9,596.6,539.2,48.0,609.4,410.6,537.2,564.0,155.0,658.6,646.0,452.1,94.2,75.5,660.2,2485.6,499.2,656.2,594.0,471.9,131.0,273.7,672.4,475.9,565.1,624.0,737.6,460.1,486.4,569.1,501.8,761.8,477.0,472.7,54.6,615.6,514.4,592.7,517.9,610.2,667.6,464.5,656.5,592.9,176.9,728.1,655.6,495.5,546.2,640.3,87.2,471.0,542.8,697.0,78.6,564.6,538.4,742.1,659.8,475.5
GP,651.7,215.1,256.8,614.5,791.4,714.5,277.4,920.4,189.1,308.0,710.9,178.1,90.4,226.4,790.5,124.9,197.8,265.4,268.4,123.4,909.2,777.8,751.9,692.6,76.3,261.8,259.5,732.9,738.3,362.5,99.5,805.5,752.8,898.3,337.8,210.7,724.4,680.7,0.0,282.6,127.2,698.8,244.8,255.3,278.6,772.4,73.4,701.8,304.6,218.2,521.1,275.4,756.5,500.1,780.3,298.0,692.9,358.1,801.6,186.1,876.8,87.6,770.9,816.5,292.6,184.5,225.5,759.0,686.2,718.4,791.6,302.5,711.4,639.8,726.7,131.7,813.5,648.2,739.7,126.3,165.9,266.2,209.6,768.8,683.3,862.2,303.2,766.8,240.3,519.1,168.0,898.8,681.7,626.1,627.6,81.7,2208.2,728.8,323.5,819.4,701.5,534.0,536.7,339.7,705.5,250.4,876.8,232.9,689.7,716.0,825.9,731.4,275.4,706.6,714.4,631.0,216.9,767.2,822.3,228.5,212.2,920.4,694.1,909.3,278.2,497.2,264.5,908.4,725.1,270.5,241.6,639.3,700.6,772.4,207.0,732.1,794.2,791.2,255.7,167.1,705.1
GS,606.4,178.6,22.8,569.2,779.5,702.6,107.9,885.3,112.6,74.0,675.2,133.4,274.2,196.5,779.5,156.3,92.4,49.4,14.1,185.7,874.1,765.9,731.5,647.3,232.9,115.6,102.5,721.0,726.4,79.8,229.7,793.6,740.9,863.2,56.1,133.4,712.5,635.4,263.9,0.0,195.2,653.5,167.2,225.4,71.6,760.5,246.0,656.5,70.6,140.9,475.8,166.4,744.6,454.8,745.2,16.8,681.0,75.4,789.7,121.4,841.7,183.5,753.7,804.6,93.1,105.7,117.8,747.1,641.8,706.5,779.7,75.3,672.2,594.5,714.8,146.0,801.6,602.9,727.8,154.7,136.0,97.4,148.5,756.9,638.0,827.1,250.4,754.9,113.0,473.8,167.9,863.9,669.8,580.8,582.3,257.9,2302.3,725.9,40.8,811.7,689.6,488.7,491.4,57.0,693.6,64.4,835.4,112.5,677.8,704.1,786.8,719.5,132.1,694.7,690.4,585.7,94.4,732.1,810.4,198.6,104.9,887.5,682.2,874.2,132.0,451.9,98.4,873.3,713.2,240.6,30.4,594.0,688.7,760.5,147.1,686.8,782.3,756.1,112.4,123.1,693.2
GW,586.3,252.1,199.5,549.1,726.0,649.1,152.8,855.0,226.1,185.1,621.7,215.1,127.4,263.4,726.0,161.9,234.8,271.9,208.2,160.4,843.8,712.4,678.0,627.2,37.6,298.8,296.3,667.5,672.9,302.3,40.2,740.1,687.4,832.9,278.6,247.7,659.0,615.3,93.0,222.4,0.0,633.4,281.8,292.3,154.0,707.0,64.3,636.4,193.2,255.2,455.7,312.4,691.1,434.7,714.9,239.3,627.5,297.9,736.2,223.1,811.4,124.6,700.2,751.1,168.0,221.5,262.5,693.6,621.7,653.0,726.2,177.9,652.1,574.4,661.3,172.2,748.1,582.8,674.3,163.3,202.9,291.2,246.6,703.4,617.9,796.8,269.8,701.4,277.3,453.7,189.7,833.6,616.3,560.7,562.2,62.6,2142.8,672.4,253.2,758.2,636.1,468.6,471.3,279.5,640.1,286.9,805.1,108.3,624.3,650.6,756.5,666.0,150.8,641.2,636.9,565.6,253.9,701.8,756.9,265.5,249.2,857.2,628.7,843.9,315.2,431.8,143.3,843.0,659.7,307.5,224.2,573.9,635.2,707.0,244.0,666.7,728.8,725.8,131.1,204.1,639.7
HA,86.7,546.5,651.2,70.4,560.5,483.6,736.3,666.3,578.7,702.4,456.2,575.5,663.5,574.6,560.5,616.3,641.0,578.8,642.5,614.8,681.3,546.9,512.5,5.0,653.5,575.2,590.8,502.0,507.4,693.9,661.4,574.6,521.9,644.2,669.2,524.1,493.5,54.8,653.2,628.3,704.4,0.0,576.2,557.5,700.0,541.5,635.3,49.6,699.0,531.6,155.5,602.5,525.6,39.7,526.2,611.4,462.0,689.5,570.7,576.5,622.7,572.8,540.0,585.6,721.5,670.7,538.9,528.1,34.9,487.5,560.7,703.7,12.6,45.1,495.8,623.1,582.6,135.0,508.8,544.0,538.3,663.6,595.3,537.9,12.5,608.1,409.3,535.9,562.7,153.7,657.3,644.7,450.8,58.8,114.4,658.9,2484.3,497.9,654.9,592.7,470.6,129.7,272.4,671.1,474.6,563.8,616.4,736.3,458.8,485.1,571.8,500.5,760.5,475.7,483.5,109.4,614.3,513.1,591.4,516.6,608.9,666.3,463.2,655.2,591.6,175.6,723.4,654.3,494.2,544.9,639.0,126.1,469.7,541.5,695.7,79.9,563.3,537.1,740.8,658.5,474.2
HH,556.6,39.6,200.3,519.4,729.7,652.8,285.4,835.5,127.8,251.5,625.4,154.3,253.3,193.6,729.7,206.1,200.3,127.9,191.6,204.6,824.3,716.1,681.7,597.5,243.3,124.3,139.9,671.2,676.6,243.0,251.2,743.8,691.1,813.4,219.3,83.6,662.7,585.6,243.0,177.4,294.2,603.7,0.0,210.7,249.1,710.7,225.1,606.7,248.1,87.3,426.0,54.4,694.8,405.0,695.4,160.5,631.2,238.6,739.9,142.3,791.9,162.6,703.9,754.8,270.6,213.6,49.3,697.3,592.0,656.7,729.9,252.8,622.4,544.7,665.0,216.4,751.8,553.1,678.0,133.8,133.1,222.9,151.4,707.1,588.2,777.3,200.6,705.1,111.8,424.0,249.2,814.1,620.0,531.0,532.5,248.7,2301.9,676.1,204.0,761.9,639.8,438.9,441.6,220.2,643.8,112.9,785.6,290.0,628.0,654.3,737.0,669.7,309.6,644.9,640.6,535.9,173.6,682.3,760.6,169.8,158.0,837.7,632.4,824.4,140.7,402.1,275.9,823.5,663.4,198.1,198.3,544.2,638.9,710.7,255.0,637.0,732.5,706.3,289.9,231.0,643.4
HQ,548.7,164.4,188.1,511.5,721.8,644.9,273.2,827.6,120.4,239.3,617.5,109.4,215.4,60.2,720.9,168.2,174.9,198.0,199.7,166.7,816.4,708.2,673.8,589.6,205.4,194.4,190.8,663.3,668.7,293.8,213.3,735.9,683.2,805.5,268.5,143.3,654.8,577.7,205.1,213.9,256.3,595.8,194.1,0.0,236.9,702.8,187.2,598.8,235.9,150.8,418.1,221.7,686.9,397.1,687.5,230.6,623.3,289.4,732.0,117.4,784.0,124.7,696.0,746.9,258.4,204.6,158.1,689.4,584.1,648.8,722.0,240.6,608.4,536.8,657.1,175.0,743.9,545.2,670.1,95.9,65.1,197.5,140.9,699.2,560.7,769.4,192.7,697.2,171.6,416.1,209.2,806.0,612.1,523.1,524.6,210.8,2322.0,659.2,254.8,754.0,631.9,431.0,433.7,271.0,635.9,183.0,784.0,281.1,620.1,646.4,729.1,661.8,297.4,637.0,632.7,528.0,148.2,674.4,752.7,44.6,143.5,827.6,624.5,816.5,210.8,394.2,260.3,815.6,655.5,86.6,172.9,536.3,631.0,702.8,229.6,629.1,724.6,698.4,277.7,205.6,635.5
HV,674.1,246.2,48.7,636.9,813.8,736.9,40.4,942.8,155.6,37.8,709.5,176.4,276.9,239.5,813.8,199.3,135.4,121.1,57.4,228.7,931.6,800.2,765.8,715.0,187.1,187.3,145.5,755.3,760.7,151.5,183.9,827.9,775.2,920.7,127.8,205.1,746.8,703.1,242.5,71.6,149.4,721.2,238.9,268.4,0.0,794.8,208.0,724.2,76.8,212.6,543.5,238.1,778.9,522.5,802.7,88.5,715.3,147.1,824.0,164.4,899.2,226.5,788.0,838.9,44.6,148.7,189.5,781.4,709.5,740.8,814.0,45.6,739.9,662.2,749.1,189.0,835.9,670.6,762.1,197.7,179.0,140.4,191.5,791.2,705.7,884.6,322.1,789.2,156.0,541.5,180.4,921.4,704.1,648.5,650.0,212.1,2230.6,760.2,99.1,846.0,723.9,556.4,559.1,128.7,727.9,136.1,892.9,104.9,712.1,738.4,844.3,753.8,124.5,729.0,724.7,653.4,137.4,789.6,844.7,241.6,147.9,945.0,716.5,931.7,203.7,519.6,49.9,930.8,747.5,283.6,73.4,661.7,723.0,794.8,190.1,754.5,816.6,813.6,104.8,166.1,727.5
HZ,435.6,711.7,816.4,398.4,19.0,169.3,901.5,416.9,743.9,867.6,177.7,740.7,828.7,739.8,36.0,781.5,806.2,744.0,807.7,780.0,405.7,83.3,153.2,476.5,818.7,740.4,756.0,187.7,193.1,859.1,764.2,50.1,176.2,394.8,835.4,689.3,268.1,464.6,818.4,793.5,782.5,482.7,741.4,722.7,865.2,0.0,800.5,485.7,864.2,696.8,420.2,767.7,112.1,522.5,276.8,776.6,236.6,854.7,112.2,741.7,373.3,738.0,124.7,44.0,886.7,819.5,704.1,138.6,471.0,104.4,102.2,868.9,501.4,423.7,270.4,791.8,58.1,432.1,163.1,709.2,703.5,828.8,760.5,79.4,467.2,358.7,574.5,152.8,727.9,418.4,824.6,395.5,169.4,410.0,411.5,824.1,2527.5,123.8,820.1,68.2,189.5,394.4,501.3,836.3,155.6,729.0,367.0,865.1,233.4,259.7,318.4,87.0,907.6,116.4,246.0,414.9,779.5,263.7,132.9,681.8,774.1,419.1,184.7,405.8,756.8,440.3,892.0,404.9,179.9,710.1,804.2,423.2,244.3,83.0,860.9,516.0,38.8,287.7,887.9,823.7,159.9
